context: Scary Lucy is back! response:	On the inside, Scary Lucy isn't so different than the real one.
context: Yeah, and it doesn't seem like you'd be much help anyway.\Carla!\Are you, perhaps, Wendy-san?\Yes.\You're all small and cute!\And you, sir, are the me from Earthland?\Who're you callin' sir?\I'm Happy, and that's Carla. response:	And I'm... Well, I think you know by now.
context: Carla!\Are you, perhaps, Wendy-san?\Yes.\You're all small and cute!\And you, sir, are the me from Earthland?\Who're you callin' sir?\I'm Happy, and that's Carla.\And I'm... Well, I think you know by now. response:	I'm sorry! I'll do whatever you say!
context: Are you, perhaps, Wendy-san?\Yes.\You're all small and cute!\And you, sir, are the me from Earthland?\Who're you callin' sir?\I'm Happy, and that's Carla.\And I'm... Well, I think you know by now.\I'm sorry! I'll do whatever you say! response:	Take it a little easier on me over there, would ya?
context: Yes.\You're all small and cute!\And you, sir, are the me from Earthland?\Who're you callin' sir?\I'm Happy, and that's Carla.\And I'm... Well, I think you know by now.\I'm sorry! I'll do whatever you say!\Take it a little easier on me over there, would ya? response:	Our Lucy-san told me to carry you all here, and that's why I did it...
context: You're all small and cute!\And you, sir, are the me from Earthland?\Who're you callin' sir?\I'm Happy, and that's Carla.\And I'm... Well, I think you know by now.\I'm sorry! I'll do whatever you say!\Take it a little easier on me over there, would ya?\Our Lucy-san told me to carry you all here, and that's why I did it... response:	T-That's...
context: And you, sir, are the me from Earthland?\Who're you callin' sir?\I'm Happy, and that's Carla.\And I'm... Well, I think you know by now.\I'm sorry! I'll do whatever you say!\Take it a little easier on me over there, would ya?\Our Lucy-san told me to carry you all here, and that's why I did it...\T-That's... response:	Is that the Royal City?
context: Who're you callin' sir?\I'm Happy, and that's Carla.\And I'm... Well, I think you know by now.\I'm sorry! I'll do whatever you say!\Take it a little easier on me over there, would ya?\Our Lucy-san told me to carry you all here, and that's why I did it...\T-That's...\Is that the Royal City? response:	Oh, how pretty!
context: I'm Happy, and that's Carla.\And I'm... Well, I think you know by now.\I'm sorry! I'll do whatever you say!\Take it a little easier on me over there, would ya?\Our Lucy-san told me to carry you all here, and that's why I did it...\T-That's...\Is that the Royal City?\Oh, how pretty! response:	Wait, what? If we've arrived, tell us that in the first place!
context: And I'm... Well, I think you know by now.\I'm sorry! I'll do whatever you say!\Take it a little easier on me over there, would ya?\Our Lucy-san told me to carry you all here, and that's why I did it...\T-That's...\Is that the Royal City?\Oh, how pretty!\Wait, what? If we've arrived, tell us that in the first place! response:	I'm so sorry!
context: I'm sorry! I'll do whatever you say!\Take it a little easier on me over there, would ya?\Our Lucy-san told me to carry you all here, and that's why I did it...\T-That's...\Is that the Royal City?\Oh, how pretty!\Wait, what? If we've arrived, tell us that in the first place!\I'm so sorry! response:	Great! I didn't think we'd get here this early!
context: Take it a little easier on me over there, would ya?\Our Lucy-san told me to carry you all here, and that's why I did it...\T-That's...\Is that the Royal City?\Oh, how pretty!\Wait, what? If we've arrived, tell us that in the first place!\I'm so sorry!\Great! I didn't think we'd get here this early! response:	Somewhere down there is the lacrima that they turned everyone into.
context: Our Lucy-san told me to carry you all here, and that's why I did it...\T-That's...\Is that the Royal City?\Oh, how pretty!\Wait, what? If we've arrived, tell us that in the first place!\I'm so sorry!\Great! I didn't think we'd get here this early!\Somewhere down there is the lacrima that they turned everyone into. response:	Let's hurry up and go!
context: T-That's...\Is that the Royal City?\Oh, how pretty!\Wait, what? If we've arrived, tell us that in the first place!\I'm so sorry!\Great! I didn't think we'd get here this early!\Somewhere down there is the lacrima that they turned everyone into.\Let's hurry up and go! response:	Hold it, Carla!
context: Is that the Royal City?\Oh, how pretty!\Wait, what? If we've arrived, tell us that in the first place!\I'm so sorry!\Great! I didn't think we'd get here this early!\Somewhere down there is the lacrima that they turned everyone into.\Let's hurry up and go!\Hold it, Carla! response:	Thanks!
context: Oh, how pretty!\Wait, what? If we've arrived, tell us that in the first place!\I'm so sorry!\Great! I didn't think we'd get here this early!\Somewhere down there is the lacrima that they turned everyone into.\Let's hurry up and go!\Hold it, Carla!\Thanks! response:	Give my regards to me!
context: Wait, what? If we've arrived, tell us that in the first place!\I'm so sorry!\Great! I didn't think we'd get here this early!\Somewhere down there is the lacrima that they turned everyone into.\Let's hurry up and go!\Hold it, Carla!\Thanks!\Give my regards to me! response:	U-Um... Are you really... going to fight the Kingdom?
context: I'm so sorry!\Great! I didn't think we'd get here this early!\Somewhere down there is the lacrima that they turned everyone into.\Let's hurry up and go!\Hold it, Carla!\Thanks!\Give my regards to me!\U-Um... Are you really... going to fight the Kingdom? response:	I don't know. As long as we can rescue our friends, that's all I care about.
context: Great! I didn't think we'd get here this early!\Somewhere down there is the lacrima that they turned everyone into.\Let's hurry up and go!\Hold it, Carla!\Thanks!\Give my regards to me!\U-Um... Are you really... going to fight the Kingdom?\I don't know. As long as we can rescue our friends, that's all I care about. response:	But if they aren't gonna return'em so easily, then we got no other choice than to fight!
context: Somewhere down there is the lacrima that they turned everyone into.\Let's hurry up and go!\Hold it, Carla!\Thanks!\Give my regards to me!\U-Um... Are you really... going to fight the Kingdom?\I don't know. As long as we can rescue our friends, that's all I care about.\But if they aren't gonna return'em so easily, then we got no other choice than to fight! response:	There's no winning against the Kingdom.
context: Let's hurry up and go!\Hold it, Carla!\Thanks!\Give my regards to me!\U-Um... Are you really... going to fight the Kingdom?\I don't know. As long as we can rescue our friends, that's all I care about.\But if they aren't gonna return'em so easily, then we got no other choice than to fight!\There's no winning against the Kingdom. response:	What is this?
context: Hold it, Carla!\Thanks!\Give my regards to me!\U-Um... Are you really... going to fight the Kingdom?\I don't know. As long as we can rescue our friends, that's all I care about.\But if they aren't gonna return'em so easily, then we got no other choice than to fight!\There's no winning against the Kingdom.\What is this? response:	This is surprising. I thought the Kingdom was ruled by a dictator, so...
context: Thanks!\Give my regards to me!\U-Um... Are you really... going to fight the Kingdom?\I don't know. As long as we can rescue our friends, that's all I care about.\But if they aren't gonna return'em so easily, then we got no other choice than to fight!\There's no winning against the Kingdom.\What is this?\This is surprising. I thought the Kingdom was ruled by a dictator, so... response:	I expected the city to be more run-down.
context: Give my regards to me!\U-Um... Are you really... going to fight the Kingdom?\I don't know. As long as we can rescue our friends, that's all I care about.\But if they aren't gonna return'em so easily, then we got no other choice than to fight!\There's no winning against the Kingdom.\What is this?\This is surprising. I thought the Kingdom was ruled by a dictator, so...\I expected the city to be more run-down. response:	Plus, we got into the city no prob.
context: U-Um... Are you really... going to fight the Kingdom?\I don't know. As long as we can rescue our friends, that's all I care about.\But if they aren't gonna return'em so easily, then we got no other choice than to fight!\There's no winning against the Kingdom.\What is this?\This is surprising. I thought the Kingdom was ruled by a dictator, so...\I expected the city to be more run-down.\Plus, we got into the city no prob. response:	This place is totally different than Louen and Sycca.
context: I don't know. As long as we can rescue our friends, that's all I care about.\But if they aren't gonna return'em so easily, then we got no other choice than to fight!\There's no winning against the Kingdom.\What is this?\This is surprising. I thought the Kingdom was ruled by a dictator, so...\I expected the city to be more run-down.\Plus, we got into the city no prob.\This place is totally different than Louen and Sycca. response:	It's like an amusement park.
context: But if they aren't gonna return'em so easily, then we got no other choice than to fight!\There's no winning against the Kingdom.\What is this?\This is surprising. I thought the Kingdom was ruled by a dictator, so...\I expected the city to be more run-down.\Plus, we got into the city no prob.\This place is totally different than Louen and Sycca.\It's like an amusement park. response:	They steal magic power and collect it here in the Royal City.
context: There's no winning against the Kingdom.\What is this?\This is surprising. I thought the Kingdom was ruled by a dictator, so...\I expected the city to be more run-down.\Plus, we got into the city no prob.\This place is totally different than Louen and Sycca.\It's like an amusement park.\They steal magic power and collect it here in the Royal City. response:	They created this pleasure-town to gain popularity with the citizens.
context: What is this?\This is surprising. I thought the Kingdom was ruled by a dictator, so...\I expected the city to be more run-down.\Plus, we got into the city no prob.\This place is totally different than Louen and Sycca.\It's like an amusement park.\They steal magic power and collect it here in the Royal City.\They created this pleasure-town to gain popularity with the citizens. response:	This King's got a screw loose.
context: This is surprising. I thought the Kingdom was ruled by a dictator, so...\I expected the city to be more run-down.\Plus, we got into the city no prob.\This place is totally different than Louen and Sycca.\It's like an amusement park.\They steal magic power and collect it here in the Royal City.\They created this pleasure-town to gain popularity with the citizens.\This King's got a screw loose. response:	It looks like something's going on over there.
context: I expected the city to be more run-down.\Plus, we got into the city no prob.\This place is totally different than Louen and Sycca.\It's like an amusement park.\They steal magic power and collect it here in the Royal City.\They created this pleasure-town to gain popularity with the citizens.\This King's got a screw loose.\It looks like something's going on over there. response:	Are they having a parade or something?
context: Plus, we got into the city no prob.\This place is totally different than Louen and Sycca.\It's like an amusement park.\They steal magic power and collect it here in the Royal City.\They created this pleasure-town to gain popularity with the citizens.\This King's got a screw loose.\It looks like something's going on over there.\Are they having a parade or something? response:	Let's go check it out!
context: This place is totally different than Louen and Sycca.\It's like an amusement park.\They steal magic power and collect it here in the Royal City.\They created this pleasure-town to gain popularity with the citizens.\This King's got a screw loose.\It looks like something's going on over there.\Are they having a parade or something?\Let's go check it out! response:	Aye, sir!
context: It's like an amusement park.\They steal magic power and collect it here in the Royal City.\They created this pleasure-town to gain popularity with the citizens.\This King's got a screw loose.\It looks like something's going on over there.\Are they having a parade or something?\Let's go check it out!\Aye, sir! response:	We didn't come here to play, you people!
context: They steal magic power and collect it here in the Royal City.\They created this pleasure-town to gain popularity with the citizens.\This King's got a screw loose.\It looks like something's going on over there.\Are they having a parade or something?\Let's go check it out!\Aye, sir!\We didn't come here to play, you people! response:	What is it? What is sit?
context: They created this pleasure-town to gain popularity with the citizens.\This King's got a screw loose.\It looks like something's going on over there.\Are they having a parade or something?\Let's go check it out!\Aye, sir!\We didn't come here to play, you people!\What is it? What is sit? response:	Wait, Natsu!
context: This King's got a screw loose.\It looks like something's going on over there.\Are they having a parade or something?\Let's go check it out!\Aye, sir!\We didn't come here to play, you people!\What is it? What is sit?\Wait, Natsu! response:	What a huge crowd of people!
context: It looks like something's going on over there.\Are they having a parade or something?\Let's go check it out!\Aye, sir!\We didn't come here to play, you people!\What is it? What is sit?\Wait, Natsu!\What a huge crowd of people! response:	Sheesh...
context: Are they having a parade or something?\Let's go check it out!\Aye, sir!\We didn't come here to play, you people!\What is it? What is sit?\Wait, Natsu!\What a huge crowd of people!\Sheesh... response:	Hey, don't just stop like that!
context: Let's go check it out!\Aye, sir!\We didn't come here to play, you people!\What is it? What is sit?\Wait, Natsu!\What a huge crowd of people!\Sheesh...\Hey, don't just stop like that! response:	A-A lacrima?
context: Aye, sir!\We didn't come here to play, you people!\What is it? What is sit?\Wait, Natsu!\What a huge crowd of people!\Sheesh...\Hey, don't just stop like that!\A-A lacrima? response:	Could... that be...
context: We didn't come here to play, you people!\What is it? What is sit?\Wait, Natsu!\What a huge crowd of people!\Sheesh...\Hey, don't just stop like that!\A-A lacrima?\Could... that be... response:	Everyone from Magnolia...
context: What is it? What is sit?\Wait, Natsu!\What a huge crowd of people!\Sheesh...\Hey, don't just stop like that!\A-A lacrima?\Could... that be...\Everyone from Magnolia... response:	Plus, there's a chunk that's been removed.
context: Wait, Natsu!\What a huge crowd of people!\Sheesh...\Hey, don't just stop like that!\A-A lacrima?\Could... that be...\Everyone from Magnolia...\Plus, there's a chunk that's been removed. response:	There are marks that show a piece has been cut off.
context: What a huge crowd of people!\Sheesh...\Hey, don't just stop like that!\A-A lacrima?\Could... that be...\Everyone from Magnolia...\Plus, there's a chunk that's been removed.\There are marks that show a piece has been cut off. response:	That's not all of it?
context: Sheesh...\Hey, don't just stop like that!\A-A lacrima?\Could... that be...\Everyone from Magnolia...\Plus, there's a chunk that's been removed.\There are marks that show a piece has been cut off.\That's not all of it? response:	Children of Edolas!
context: Hey, don't just stop like that!\A-A lacrima?\Could... that be...\Everyone from Magnolia...\Plus, there's a chunk that's been removed.\There are marks that show a piece has been cut off.\That's not all of it?\Children of Edolas! response:	Our blessed land of Edolas has used Anima to call forth ten years' worth of magic power!
context: A-A lacrima?\Could... that be...\Everyone from Magnolia...\Plus, there's a chunk that's been removed.\There are marks that show a piece has been cut off.\That's not all of it?\Children of Edolas!\Our blessed land of Edolas has used Anima to call forth ten years' worth of magic power! response:	Call forth, my butt! He stole it from our world!
context: Could... that be...\Everyone from Magnolia...\Plus, there's a chunk that's been removed.\There are marks that show a piece has been cut off.\That's not all of it?\Children of Edolas!\Our blessed land of Edolas has used Anima to call forth ten years' worth of magic power!\Call forth, my butt! He stole it from our world! response:	Stay calm, he-cat.
context: Everyone from Magnolia...\Plus, there's a chunk that's been removed.\There are marks that show a piece has been cut off.\That's not all of it?\Children of Edolas!\Our blessed land of Edolas has used Anima to call forth ten years' worth of magic power!\Call forth, my butt! He stole it from our world!\Stay calm, he-cat. response:	Everyone, sing a song! Everyone, laugh out loud!
context: Plus, there's a chunk that's been removed.\There are marks that show a piece has been cut off.\That's not all of it?\Children of Edolas!\Our blessed land of Edolas has used Anima to call forth ten years' worth of magic power!\Call forth, my butt! He stole it from our world!\Stay calm, he-cat.\Everyone, sing a song! Everyone, laugh out loud! response:	Let us raise up our voices together in jubilation!
context: There are marks that show a piece has been cut off.\That's not all of it?\Children of Edolas!\Our blessed land of Edolas has used Anima to call forth ten years' worth of magic power!\Call forth, my butt! He stole it from our world!\Stay calm, he-cat.\Everyone, sing a song! Everyone, laugh out loud!\Let us raise up our voices together in jubilation! response:	This magic power belongs jointly to the citizens of Edolas!
context: That's not all of it?\Children of Edolas!\Our blessed land of Edolas has used Anima to call forth ten years' worth of magic power!\Call forth, my butt! He stole it from our world!\Stay calm, he-cat.\Everyone, sing a song! Everyone, laugh out loud!\Let us raise up our voices together in jubilation!\This magic power belongs jointly to the citizens of Edolas! response:	Also, only the citizens of Edolas are the race blessed with inheriting the future!
context: Children of Edolas!\Our blessed land of Edolas has used Anima to call forth ten years' worth of magic power!\Call forth, my butt! He stole it from our world!\Stay calm, he-cat.\Everyone, sing a song! Everyone, laugh out loud!\Let us raise up our voices together in jubilation!\This magic power belongs jointly to the citizens of Edolas!\Also, only the citizens of Edolas are the race blessed with inheriting the future! response:	No one will steal magic power from our kingdom!
context: Our blessed land of Edolas has used Anima to call forth ten years' worth of magic power!\Call forth, my butt! He stole it from our world!\Stay calm, he-cat.\Everyone, sing a song! Everyone, laugh out loud!\Let us raise up our voices together in jubilation!\This magic power belongs jointly to the citizens of Edolas!\Also, only the citizens of Edolas are the race blessed with inheriting the future!\No one will steal magic power from our kingdom! response:	And I promise to obtain even greater magic power!
context: Call forth, my butt! He stole it from our world!\Stay calm, he-cat.\Everyone, sing a song! Everyone, laugh out loud!\Let us raise up our voices together in jubilation!\This magic power belongs jointly to the citizens of Edolas!\Also, only the citizens of Edolas are the race blessed with inheriting the future!\No one will steal magic power from our kingdom!\And I promise to obtain even greater magic power! response:	Enough to make this pittance of magic seem like mere garbage!
context: Stay calm, he-cat.\Everyone, sing a song! Everyone, laugh out loud!\Let us raise up our voices together in jubilation!\This magic power belongs jointly to the citizens of Edolas!\Also, only the citizens of Edolas are the race blessed with inheriting the future!\No one will steal magic power from our kingdom!\And I promise to obtain even greater magic power!\Enough to make this pittance of magic seem like mere garbage! response:	Edolas! Edolas!
context: Everyone, sing a song! Everyone, laugh out loud!\Let us raise up our voices together in jubilation!\This magic power belongs jointly to the citizens of Edolas!\Also, only the citizens of Edolas are the race blessed with inheriting the future!\No one will steal magic power from our kingdom!\And I promise to obtain even greater magic power!\Enough to make this pittance of magic seem like mere garbage!\Edolas! Edolas! response:	Edolas! Edolas!
context: Let us raise up our voices together in jubilation!\This magic power belongs jointly to the citizens of Edolas!\Also, only the citizens of Edolas are the race blessed with inheriting the future!\No one will steal magic power from our kingdom!\And I promise to obtain even greater magic power!\Enough to make this pittance of magic seem like mere garbage!\Edolas! Edolas!\Edolas! Edolas! response:	Hmph. How stupid.
context: This magic power belongs jointly to the citizens of Edolas!\Also, only the citizens of Edolas are the race blessed with inheriting the future!\No one will steal magic power from our kingdom!\And I promise to obtain even greater magic power!\Enough to make this pittance of magic seem like mere garbage!\Edolas! Edolas!\Edolas! Edolas!\Hmph. How stupid. response:	You can manipulate that many people with such a flimsy speech?
context: Also, only the citizens of Edolas are the race blessed with inheriting the future!\No one will steal magic power from our kingdom!\And I promise to obtain even greater magic power!\Enough to make this pittance of magic seem like mere garbage!\Edolas! Edolas!\Edolas! Edolas!\Hmph. How stupid.\You can manipulate that many people with such a flimsy speech? response:	What will I do now?
context: No one will steal magic power from our kingdom!\And I promise to obtain even greater magic power!\Enough to make this pittance of magic seem like mere garbage!\Edolas! Edolas!\Edolas! Edolas!\Hmph. How stupid.\You can manipulate that many people with such a flimsy speech?\What will I do now? response:	Keep control of yourself!
context: And I promise to obtain even greater magic power!\Enough to make this pittance of magic seem like mere garbage!\Edolas! Edolas!\Edolas! Edolas!\Hmph. How stupid.\You can manipulate that many people with such a flimsy speech?\What will I do now?\Keep control of yourself! response:	I can't!
context: Enough to make this pittance of magic seem like mere garbage!\Edolas! Edolas!\Edolas! Edolas!\Hmph. How stupid.\You can manipulate that many people with such a flimsy speech?\What will I do now?\Keep control of yourself!\I can't! response:	That... That lacrima is...
context: Edolas! Edolas!\Edolas! Edolas!\Hmph. How stupid.\You can manipulate that many people with such a flimsy speech?\What will I do now?\Keep control of yourself!\I can't!\That... That lacrima is... response:	Please!
context: Edolas! Edolas!\Hmph. How stupid.\You can manipulate that many people with such a flimsy speech?\What will I do now?\Keep control of yourself!\I can't!\That... That lacrima is...\Please! response:	Everyone feels the same way, so...
context: Hmph. How stupid.\You can manipulate that many people with such a flimsy speech?\What will I do now?\Keep control of yourself!\I can't!\That... That lacrima is...\Please!\Everyone feels the same way, so... response:	Okay, Natsu?
context: You can manipulate that many people with such a flimsy speech?\What will I do now?\Keep control of yourself!\I can't!\That... That lacrima is...\Please!\Everyone feels the same way, so...\Okay, Natsu? response:	Yeah, I can't take it any more.
context: What will I do now?\Keep control of yourself!\I can't!\That... That lacrima is...\Please!\Everyone feels the same way, so...\Okay, Natsu?\Yeah, I can't take it any more. response:	We'll charge into the castle!
context: Keep control of yourself!\I can't!\That... That lacrima is...\Please!\Everyone feels the same way, so...\Okay, Natsu?\Yeah, I can't take it any more.\We'll charge into the castle! response:	Wait a little more.
context: I can't!\That... That lacrima is...\Please!\Everyone feels the same way, so...\Okay, Natsu?\Yeah, I can't take it any more.\We'll charge into the castle!\Wait a little more. response:	What for?
context: That... That lacrima is...\Please!\Everyone feels the same way, so...\Okay, Natsu?\Yeah, I can't take it any more.\We'll charge into the castle!\Wait a little more.\What for? response:	We have to make a plan, or we'll never return everyone to normal.
context: Please!\Everyone feels the same way, so...\Okay, Natsu?\Yeah, I can't take it any more.\We'll charge into the castle!\Wait a little more.\What for?\We have to make a plan, or we'll never return everyone to normal. response:	Everyone's been turned into that crystal. How can we turn them back, I wonder?
context: Everyone feels the same way, so...\Okay, Natsu?\Yeah, I can't take it any more.\We'll charge into the castle!\Wait a little more.\What for?\We have to make a plan, or we'll never return everyone to normal.\Everyone's been turned into that crystal. How can we turn them back, I wonder? response:	We have no choice but to ask the King directly.
context: Okay, Natsu?\Yeah, I can't take it any more.\We'll charge into the castle!\Wait a little more.\What for?\We have to make a plan, or we'll never return everyone to normal.\Everyone's been turned into that crystal. How can we turn them back, I wonder?\We have no choice but to ask the King directly. response:	There's no way he'd just tell us!
context: Yeah, I can't take it any more.\We'll charge into the castle!\Wait a little more.\What for?\We have to make a plan, or we'll never return everyone to normal.\Everyone's been turned into that crystal. How can we turn them back, I wonder?\We have no choice but to ask the King directly.\There's no way he'd just tell us! response:	Then we should hit him until he does!
context: We'll charge into the castle!\Wait a little more.\What for?\We have to make a plan, or we'll never return everyone to normal.\Everyone's been turned into that crystal. How can we turn them back, I wonder?\We have no choice but to ask the King directly.\There's no way he'd just tell us!\Then we should hit him until he does! response:	I see! The King knows how to bring everyone back?
context: Wait a little more.\What for?\We have to make a plan, or we'll never return everyone to normal.\Everyone's been turned into that crystal. How can we turn them back, I wonder?\We have no choice but to ask the King directly.\There's no way he'd just tell us!\Then we should hit him until he does!\I see! The King knows how to bring everyone back? response:	Perhaps.
context: What for?\We have to make a plan, or we'll never return everyone to normal.\Everyone's been turned into that crystal. How can we turn them back, I wonder?\We have no choice but to ask the King directly.\There's no way he'd just tell us!\Then we should hit him until he does!\I see! The King knows how to bring everyone back?\Perhaps. response:	This might work! If I can just get close enough to him...
context: We have to make a plan, or we'll never return everyone to normal.\Everyone's been turned into that crystal. How can we turn them back, I wonder?\We have no choice but to ask the King directly.\There's no way he'd just tell us!\Then we should hit him until he does!\I see! The King knows how to bring everyone back?\Perhaps.\This might work! If I can just get close enough to him... response:	Really?
context: Everyone's been turned into that crystal. How can we turn them back, I wonder?\We have no choice but to ask the King directly.\There's no way he'd just tell us!\Then we should hit him until he does!\I see! The King knows how to bring everyone back?\Perhaps.\This might work! If I can just get close enough to him...\Really? response:	What are you talking about?
context: We have no choice but to ask the King directly.\There's no way he'd just tell us!\Then we should hit him until he does!\I see! The King knows how to bring everyone back?\Perhaps.\This might work! If I can just get close enough to him...\Really?\What are you talking about? response:	Gemini!
context: There's no way he'd just tell us!\Then we should hit him until he does!\I see! The King knows how to bring everyone back?\Perhaps.\This might work! If I can just get close enough to him...\Really?\What are you talking about?\Gemini! response:	Gemini can transform into anyone they touch,
context: Then we should hit him until he does!\I see! The King knows how to bring everyone back?\Perhaps.\This might work! If I can just get close enough to him...\Really?\What are you talking about?\Gemini!\Gemini can transform into anyone they touch, response:	and while they're transformed they can also know what that person knew.
