context: What's happened so far! response:	Our sister, the masked honor student Miyazawa Yukino...
context: Quit talking bullshit and wasting my goddamn time! We're LEAVING!\I don't wanna!\Move your ass already! I said I don't wanna!\Scary...we can't get a word in edgewise...\Things have now changed from a deadlock to something worse.\Now now...\You don't have to force her home if she doesn't want to go.\One or two more girls won't make much difference. response:	It's summer vacation,
context: I don't wanna!\Move your ass already! I said I don't wanna!\Scary...we can't get a word in edgewise...\Things have now changed from a deadlock to something worse.\Now now...\You don't have to force her home if she doesn't want to go.\One or two more girls won't make much difference.\It's summer vacation, response:	so we wouldn't really mind.
context: Move your ass already! I said I don't wanna!\Scary...we can't get a word in edgewise...\Things have now changed from a deadlock to something worse.\Now now...\You don't have to force her home if she doesn't want to go.\One or two more girls won't make much difference.\It's summer vacation,\so we wouldn't really mind. response:	Don't spoil her like that!
context: Scary...we can't get a word in edgewise...\Things have now changed from a deadlock to something worse.\Now now...\You don't have to force her home if she doesn't want to go.\One or two more girls won't make much difference.\It's summer vacation,\so we wouldn't really mind.\Don't spoil her like that! response:	This is her trick!
context: Things have now changed from a deadlock to something worse.\Now now...\You don't have to force her home if she doesn't want to go.\One or two more girls won't make much difference.\It's summer vacation,\so we wouldn't really mind.\Don't spoil her like that!\This is her trick! response:	She knows she's cute.
context: Now now...\You don't have to force her home if she doesn't want to go.\One or two more girls won't make much difference.\It's summer vacation,\so we wouldn't really mind.\Don't spoil her like that!\This is her trick!\She knows she's cute. response:	If you begin to indulge her, she'll take you for all she can!
context: You don't have to force her home if she doesn't want to go.\One or two more girls won't make much difference.\It's summer vacation,\so we wouldn't really mind.\Don't spoil her like that!\This is her trick!\She knows she's cute.\If you begin to indulge her, she'll take you for all she can! response:	Just shut up and go home already.
context: One or two more girls won't make much difference.\It's summer vacation,\so we wouldn't really mind.\Don't spoil her like that!\This is her trick!\She knows she's cute.\If you begin to indulge her, she'll take you for all she can!\Just shut up and go home already. response:	I want to go home.
context: It's summer vacation,\so we wouldn't really mind.\Don't spoil her like that!\This is her trick!\She knows she's cute.\If you begin to indulge her, she'll take you for all she can!\Just shut up and go home already.\I want to go home. response:	By the way, I told your dad about this.
context: so we wouldn't really mind.\Don't spoil her like that!\This is her trick!\She knows she's cute.\If you begin to indulge her, she'll take you for all she can!\Just shut up and go home already.\I want to go home.\By the way, I told your dad about this. response:	He said he would come straight over after work.
context: Don't spoil her like that!\This is her trick!\She knows she's cute.\If you begin to indulge her, she'll take you for all she can!\Just shut up and go home already.\I want to go home.\By the way, I told your dad about this.\He said he would come straight over after work. response:	Huh!
context: This is her trick!\She knows she's cute.\If you begin to indulge her, she'll take you for all she can!\Just shut up and go home already.\I want to go home.\By the way, I told your dad about this.\He said he would come straight over after work.\Huh! response:	You can't sulk forever.
context: She knows she's cute.\If you begin to indulge her, she'll take you for all she can!\Just shut up and go home already.\I want to go home.\By the way, I told your dad about this.\He said he would come straight over after work.\Huh!\You can't sulk forever. response:	Solve your problems yourself.
context: If you begin to indulge her, she'll take you for all she can!\Just shut up and go home already.\I want to go home.\By the way, I told your dad about this.\He said he would come straight over after work.\Huh!\You can't sulk forever.\Solve your problems yourself. response:	Sorry you came all the way out here for nothing.
context: Just shut up and go home already.\I want to go home.\By the way, I told your dad about this.\He said he would come straight over after work.\Huh!\You can't sulk forever.\Solve your problems yourself.\Sorry you came all the way out here for nothing. response:	She's such a pain!
context: I want to go home.\By the way, I told your dad about this.\He said he would come straight over after work.\Huh!\You can't sulk forever.\Solve your problems yourself.\Sorry you came all the way out here for nothing.\She's such a pain! response:	She makes me want to hang her upside down and fix her attitude with a whip!
context: By the way, I told your dad about this.\He said he would come straight over after work.\Huh!\You can't sulk forever.\Solve your problems yourself.\Sorry you came all the way out here for nothing.\She's such a pain!\She makes me want to hang her upside down and fix her attitude with a whip! response:	S M...not a world I know.
context: He said he would come straight over after work.\Huh!\You can't sulk forever.\Solve your problems yourself.\Sorry you came all the way out here for nothing.\She's such a pain!\She makes me want to hang her upside down and fix her attitude with a whip!\S M...not a world I know. response:	Well, I can see why she's like that though.
context: Huh!\You can't sulk forever.\Solve your problems yourself.\Sorry you came all the way out here for nothing.\She's such a pain!\She makes me want to hang her upside down and fix her attitude with a whip!\S M...not a world I know.\Well, I can see why she's like that though. response:	Tsubasa's family circumstances are pretty complicated.
context: You can't sulk forever.\Solve your problems yourself.\Sorry you came all the way out here for nothing.\She's such a pain!\She makes me want to hang her upside down and fix her attitude with a whip!\S M...not a world I know.\Well, I can see why she's like that though.\Tsubasa's family circumstances are pretty complicated. response:	Her mother died giving birth to her.
context: Solve your problems yourself.\Sorry you came all the way out here for nothing.\She's such a pain!\She makes me want to hang her upside down and fix her attitude with a whip!\S M...not a world I know.\Well, I can see why she's like that though.\Tsubasa's family circumstances are pretty complicated.\Her mother died giving birth to her. response:	So her father cherishes Tsubasa,
context: Sorry you came all the way out here for nothing.\She's such a pain!\She makes me want to hang her upside down and fix her attitude with a whip!\S M...not a world I know.\Well, I can see why she's like that though.\Tsubasa's family circumstances are pretty complicated.\Her mother died giving birth to her.\So her father cherishes Tsubasa, response:	but he's busy with work...
context: She's such a pain!\She makes me want to hang her upside down and fix her attitude with a whip!\S M...not a world I know.\Well, I can see why she's like that though.\Tsubasa's family circumstances are pretty complicated.\Her mother died giving birth to her.\So her father cherishes Tsubasa,\but he's busy with work... response:	So he had to often leave her for others to look after.
context: She makes me want to hang her upside down and fix her attitude with a whip!\S M...not a world I know.\Well, I can see why she's like that though.\Tsubasa's family circumstances are pretty complicated.\Her mother died giving birth to her.\So her father cherishes Tsubasa,\but he's busy with work...\So he had to often leave her for others to look after. response:	Because she grew up in that kind of environment...
context: S M...not a world I know.\Well, I can see why she's like that though.\Tsubasa's family circumstances are pretty complicated.\Her mother died giving birth to her.\So her father cherishes Tsubasa,\but he's busy with work...\So he had to often leave her for others to look after.\Because she grew up in that kind of environment... response:	Her most basic emotional needs weren't being met.
context: Well, I can see why she's like that though.\Tsubasa's family circumstances are pretty complicated.\Her mother died giving birth to her.\So her father cherishes Tsubasa,\but he's busy with work...\So he had to often leave her for others to look after.\Because she grew up in that kind of environment...\Her most basic emotional needs weren't being met. response:	Still,
context: Tsubasa's family circumstances are pretty complicated.\Her mother died giving birth to her.\So her father cherishes Tsubasa,\but he's busy with work...\So he had to often leave her for others to look after.\Because she grew up in that kind of environment...\Her most basic emotional needs weren't being met.\Still, response:	she was doing okay with her father...
context: Her mother died giving birth to her.\So her father cherishes Tsubasa,\but he's busy with work...\So he had to often leave her for others to look after.\Because she grew up in that kind of environment...\Her most basic emotional needs weren't being met.\Still,\she was doing okay with her father... response:	I could see how she'd hate it.
context: So her father cherishes Tsubasa,\but he's busy with work...\So he had to often leave her for others to look after.\Because she grew up in that kind of environment...\Her most basic emotional needs weren't being met.\Still,\she was doing okay with her father...\I could see how she'd hate it. response:	I don't think her needs have been met for a long, long time.
context: but he's busy with work...\So he had to often leave her for others to look after.\Because she grew up in that kind of environment...\Her most basic emotional needs weren't being met.\Still,\she was doing okay with her father...\I could see how she'd hate it.\I don't think her needs have been met for a long, long time. response:	My family's still all together,
context: So he had to often leave her for others to look after.\Because she grew up in that kind of environment...\Her most basic emotional needs weren't being met.\Still,\she was doing okay with her father...\I could see how she'd hate it.\I don't think her needs have been met for a long, long time.\My family's still all together, response:	so I can only
context: Because she grew up in that kind of environment...\Her most basic emotional needs weren't being met.\Still,\she was doing okay with her father...\I could see how she'd hate it.\I don't think her needs have been met for a long, long time.\My family's still all together,\so I can only response:	imagine these things.
