context: Kiss Him, Not Me response:	The Strange Room And The Four High School Boys
context: What?\It's the new mini dolls!\This is the first time I've seen them!\Mini Shion is so cute!\Um, I guess as thanks for today...\I'd like all of you to have one!\anime i to\Mu response:	Iga
context: It's the new mini dolls!\This is the first time I've seen them!\Mini Shion is so cute!\Um, I guess as thanks for today...\I'd like all of you to have one!\anime i to\Mu\Iga response:	Nana
context: This is the first time I've seen them!\Mini Shion is so cute!\Um, I guess as thanks for today...\I'd like all of you to have one!\anime i to\Mu\Iga\Nana response:	Shi
context: Mini Shion is so cute!\Um, I guess as thanks for today...\I'd like all of you to have one!\anime i to\Mu\Iga\Nana\Shi response:	She gave us anime character keychains!
context: Um, I guess as thanks for today...\I'd like all of you to have one!\anime i to\Mu\Iga\Nana\Shi\She gave us anime character keychains! response:	Who wants those?!
context: I'd like all of you to have one!\anime i to\Mu\Iga\Nana\Shi\She gave us anime character keychains!\Who wants those?! response:	Don't laugh, man.
context: anime i to\Mu\Iga\Nana\Shi\She gave us anime character keychains!\Who wants those?!\Don't laugh, man. response:	Isn't it a turn off, though?
context: Mu\Iga\Nana\Shi\She gave us anime character keychains!\Who wants those?!\Don't laugh, man.\Isn't it a turn off, though? response:	Not just the anime characters, but matching ones for us four.
context: Iga\Nana\Shi\She gave us anime character keychains!\Who wants those?!\Don't laugh, man.\Isn't it a turn off, though?\Not just the anime characters, but matching ones for us four. response:	I dunno, I'd say it's interesting.
context: Nana\Shi\She gave us anime character keychains!\Who wants those?!\Don't laugh, man.\Isn't it a turn off, though?\Not just the anime characters, but matching ones for us four.\I dunno, I'd say it's interesting. response:	Really?
context: Shi\She gave us anime character keychains!\Who wants those?!\Don't laugh, man.\Isn't it a turn off, though?\Not just the anime characters, but matching ones for us four.\I dunno, I'd say it's interesting.\Really? response:	So you're giving up, then?
context: She gave us anime character keychains!\Who wants those?!\Don't laugh, man.\Isn't it a turn off, though?\Not just the anime characters, but matching ones for us four.\I dunno, I'd say it's interesting.\Really?\So you're giving up, then? response:	That's one less rival for me, so I'd be pretty happy, personally.
context: Who wants those?!\Don't laugh, man.\Isn't it a turn off, though?\Not just the anime characters, but matching ones for us four.\I dunno, I'd say it's interesting.\Really?\So you're giving up, then?\That's one less rival for me, so I'd be pretty happy, personally. response:	Seriously? You're really something, man.
context: Don't laugh, man.\Isn't it a turn off, though?\Not just the anime characters, but matching ones for us four.\I dunno, I'd say it's interesting.\Really?\So you're giving up, then?\That's one less rival for me, so I'd be pretty happy, personally.\Seriously? You're really something, man. response:	Here it comes!
context: Isn't it a turn off, though?\Not just the anime characters, but matching ones for us four.\I dunno, I'd say it's interesting.\Really?\So you're giving up, then?\That's one less rival for me, so I'd be pretty happy, personally.\Seriously? You're really something, man.\Here it comes! response:	Leave it to me!
context: Not just the anime characters, but matching ones for us four.\I dunno, I'd say it's interesting.\Really?\So you're giving up, then?\That's one less rival for me, so I'd be pretty happy, personally.\Seriously? You're really something, man.\Here it comes!\Leave it to me! response:	Amazing!
context: I dunno, I'd say it's interesting.\Really?\So you're giving up, then?\That's one less rival for me, so I'd be pretty happy, personally.\Seriously? You're really something, man.\Here it comes!\Leave it to me!\Amazing! response:	Serinuma-san!
context: Really?\So you're giving up, then?\That's one less rival for me, so I'd be pretty happy, personally.\Seriously? You're really something, man.\Here it comes!\Leave it to me!\Amazing!\Serinuma-san! response:	I knew you were pretty athletic, but I didn't know you were this good.
context: So you're giving up, then?\That's one less rival for me, so I'd be pretty happy, personally.\Seriously? You're really something, man.\Here it comes!\Leave it to me!\Amazing!\Serinuma-san!\I knew you were pretty athletic, but I didn't know you were this good. response:	My body feels so light! It's like I've grown wings!
context: That's one less rival for me, so I'd be pretty happy, personally.\Seriously? You're really something, man.\Here it comes!\Leave it to me!\Amazing!\Serinuma-san!\I knew you were pretty athletic, but I didn't know you were this good.\My body feels so light! It's like I've grown wings! response:	Wow, someone's getting ahead of themselves.
context: Seriously? You're really something, man.\Here it comes!\Leave it to me!\Amazing!\Serinuma-san!\I knew you were pretty athletic, but I didn't know you were this good.\My body feels so light! It's like I've grown wings!\Wow, someone's getting ahead of themselves. response:	Now that I think about it,
context: Here it comes!\Leave it to me!\Amazing!\Serinuma-san!\I knew you were pretty athletic, but I didn't know you were this good.\My body feels so light! It's like I've grown wings!\Wow, someone's getting ahead of themselves.\Now that I think about it, response:	she was always really fast at the jumping side to side test.
context: Leave it to me!\Amazing!\Serinuma-san!\I knew you were pretty athletic, but I didn't know you were this good.\My body feels so light! It's like I've grown wings!\Wow, someone's getting ahead of themselves.\Now that I think about it,\she was always really fast at the jumping side to side test. response:	It was scary.
context: Amazing!\Serinuma-san!\I knew you were pretty athletic, but I didn't know you were this good.\My body feels so light! It's like I've grown wings!\Wow, someone's getting ahead of themselves.\Now that I think about it,\she was always really fast at the jumping side to side test.\It was scary. response:	That was a brilliant receive.
context: Serinuma-san!\I knew you were pretty athletic, but I didn't know you were this good.\My body feels so light! It's like I've grown wings!\Wow, someone's getting ahead of themselves.\Now that I think about it,\she was always really fast at the jumping side to side test.\It was scary.\That was a brilliant receive. response:	Why are you acting so excited?
context: I knew you were pretty athletic, but I didn't know you were this good.\My body feels so light! It's like I've grown wings!\Wow, someone's getting ahead of themselves.\Now that I think about it,\she was always really fast at the jumping side to side test.\It was scary.\That was a brilliant receive.\Why are you acting so excited? response:	Girls' Locker Room
context: My body feels so light! It's like I've grown wings!\Wow, someone's getting ahead of themselves.\Now that I think about it,\she was always really fast at the jumping side to side test.\It was scary.\That was a brilliant receive.\Why are you acting so excited?\Girls' Locker Room response:	The girls' soccer club... needs my help?
context: Wow, someone's getting ahead of themselves.\Now that I think about it,\she was always really fast at the jumping side to side test.\It was scary.\That was a brilliant receive.\Why are you acting so excited?\Girls' Locker Room\The girls' soccer club... needs my help? response:	Yeah. Our club has 11 members, which is just enough to play,
context: Now that I think about it,\she was always really fast at the jumping side to side test.\It was scary.\That was a brilliant receive.\Why are you acting so excited?\Girls' Locker Room\The girls' soccer club... needs my help?\Yeah. Our club has 11 members, which is just enough to play, response:	and we've got a practice match next weekend, but...
context: she was always really fast at the jumping side to side test.\It was scary.\That was a brilliant receive.\Why are you acting so excited?\Girls' Locker Room\The girls' soccer club... needs my help?\Yeah. Our club has 11 members, which is just enough to play,\and we've got a practice match next weekend, but... response:	But I hurt my leg.
context: It was scary.\That was a brilliant receive.\Why are you acting so excited?\Girls' Locker Room\The girls' soccer club... needs my help?\Yeah. Our club has 11 members, which is just enough to play,\and we've got a practice match next weekend, but...\But I hurt my leg. response:	Since you seem so good at sports, I was wondering if you could help.
context: That was a brilliant receive.\Why are you acting so excited?\Girls' Locker Room\The girls' soccer club... needs my help?\Yeah. Our club has 11 members, which is just enough to play,\and we've got a practice match next weekend, but...\But I hurt my leg.\Since you seem so good at sports, I was wondering if you could help. response:	Please!
context: Why are you acting so excited?\Girls' Locker Room\The girls' soccer club... needs my help?\Yeah. Our club has 11 members, which is just enough to play,\and we've got a practice match next weekend, but...\But I hurt my leg.\Since you seem so good at sports, I was wondering if you could help.\Please! response:	Seeming good at sports doesn't mean good at soccer.
context: Girls' Locker Room\The girls' soccer club... needs my help?\Yeah. Our club has 11 members, which is just enough to play,\and we've got a practice match next weekend, but...\But I hurt my leg.\Since you seem so good at sports, I was wondering if you could help.\Please!\Seeming good at sports doesn't mean good at soccer. response:	Okay!
context: The girls' soccer club... needs my help?\Yeah. Our club has 11 members, which is just enough to play,\and we've got a practice match next weekend, but...\But I hurt my leg.\Since you seem so good at sports, I was wondering if you could help.\Please!\Seeming good at sports doesn't mean good at soccer.\Okay! response:	Huh?
context: Yeah. Our club has 11 members, which is just enough to play,\and we've got a practice match next weekend, but...\But I hurt my leg.\Since you seem so good at sports, I was wondering if you could help.\Please!\Seeming good at sports doesn't mean good at soccer.\Okay!\Huh? response:	Really?
context: and we've got a practice match next weekend, but...\But I hurt my leg.\Since you seem so good at sports, I was wondering if you could help.\Please!\Seeming good at sports doesn't mean good at soccer.\Okay!\Huh?\Really? response:	You're a lifesaver! Thanks!
context: But I hurt my leg.\Since you seem so good at sports, I was wondering if you could help.\Please!\Seeming good at sports doesn't mean good at soccer.\Okay!\Huh?\Really?\You're a lifesaver! Thanks! response:	Hey, Kae-chan. You shouldn't just agree without giving it some thought.
context: Since you seem so good at sports, I was wondering if you could help.\Please!\Seeming good at sports doesn't mean good at soccer.\Okay!\Huh?\Really?\You're a lifesaver! Thanks!\Hey, Kae-chan. You shouldn't just agree without giving it some thought. response:	It'll be fine! I may not look like it, but I know a lot about soccer!
context: Please!\Seeming good at sports doesn't mean good at soccer.\Okay!\Huh?\Really?\You're a lifesaver! Thanks!\Hey, Kae-chan. You shouldn't just agree without giving it some thought.\It'll be fine! I may not look like it, but I know a lot about soccer! response:	Huh?!
context: Seeming good at sports doesn't mean good at soccer.\Okay!\Huh?\Really?\You're a lifesaver! Thanks!\Hey, Kae-chan. You shouldn't just agree without giving it some thought.\It'll be fine! I may not look like it, but I know a lot about soccer!\Huh?! response:	I'm a fan of Cap-Tsuba, Ina-11 , and Gi-Killi!
context: Okay!\Huh?\Really?\You're a lifesaver! Thanks!\Hey, Kae-chan. You shouldn't just agree without giving it some thought.\It'll be fine! I may not look like it, but I know a lot about soccer!\Huh?!\I'm a fan of Cap-Tsuba, Ina-11 , and Gi-Killi! response:	So you watch soccer, Serinuma-san?
context: Huh?\Really?\You're a lifesaver! Thanks!\Hey, Kae-chan. You shouldn't just agree without giving it some thought.\It'll be fine! I may not look like it, but I know a lot about soccer!\Huh?!\I'm a fan of Cap-Tsuba, Ina-11 , and Gi-Killi!\So you watch soccer, Serinuma-san? response:	Yes! I always supported Gazel from Aliea in Ina-11 !
context: Really?\You're a lifesaver! Thanks!\Hey, Kae-chan. You shouldn't just agree without giving it some thought.\It'll be fine! I may not look like it, but I know a lot about soccer!\Huh?!\I'm a fan of Cap-Tsuba, Ina-11 , and Gi-Killi!\So you watch soccer, Serinuma-san?\Yes! I always supported Gazel from Aliea in Ina-11 ! response:	Yeah?
context: You're a lifesaver! Thanks!\Hey, Kae-chan. You shouldn't just agree without giving it some thought.\It'll be fine! I may not look like it, but I know a lot about soccer!\Huh?!\I'm a fan of Cap-Tsuba, Ina-11 , and Gi-Killi!\So you watch soccer, Serinuma-san?\Yes! I always supported Gazel from Aliea in Ina-11 !\Yeah? response:	Is that right?
context: Hey, Kae-chan. You shouldn't just agree without giving it some thought.\It'll be fine! I may not look like it, but I know a lot about soccer!\Huh?!\I'm a fan of Cap-Tsuba, Ina-11 , and Gi-Killi!\So you watch soccer, Serinuma-san?\Yes! I always supported Gazel from Aliea in Ina-11 !\Yeah?\Is that right? response:	Is that some kind of good luck charm?
context: It'll be fine! I may not look like it, but I know a lot about soccer!\Huh?!\I'm a fan of Cap-Tsuba, Ina-11 , and Gi-Killi!\So you watch soccer, Serinuma-san?\Yes! I always supported Gazel from Aliea in Ina-11 !\Yeah?\Is that right?\Is that some kind of good luck charm? response:	Still, it's my first time playing, so I have to practice.
context: Huh?!\I'm a fan of Cap-Tsuba, Ina-11 , and Gi-Killi!\So you watch soccer, Serinuma-san?\Yes! I always supported Gazel from Aliea in Ina-11 !\Yeah?\Is that right?\Is that some kind of good luck charm?\Still, it's my first time playing, so I have to practice. response:	Don't worry about us at the history club, and do your best at soccer.
context: I'm a fan of Cap-Tsuba, Ina-11 , and Gi-Killi!\So you watch soccer, Serinuma-san?\Yes! I always supported Gazel from Aliea in Ina-11 !\Yeah?\Is that right?\Is that some kind of good luck charm?\Still, it's my first time playing, so I have to practice.\Don't worry about us at the history club, and do your best at soccer. response:	I'll cheer you on.
context: So you watch soccer, Serinuma-san?\Yes! I always supported Gazel from Aliea in Ina-11 !\Yeah?\Is that right?\Is that some kind of good luck charm?\Still, it's my first time playing, so I have to practice.\Don't worry about us at the history club, and do your best at soccer.\I'll cheer you on. response:	I-I'll support you, too! You can count on me.
context: Yes! I always supported Gazel from Aliea in Ina-11 !\Yeah?\Is that right?\Is that some kind of good luck charm?\Still, it's my first time playing, so I have to practice.\Don't worry about us at the history club, and do your best at soccer.\I'll cheer you on.\I-I'll support you, too! You can count on me. response:	Should I coach you?
context: Yeah?\Is that right?\Is that some kind of good luck charm?\Still, it's my first time playing, so I have to practice.\Don't worry about us at the history club, and do your best at soccer.\I'll cheer you on.\I-I'll support you, too! You can count on me.\Should I coach you? response:	Since I'm in the soccer club, I think I could help.
context: Is that right?\Is that some kind of good luck charm?\Still, it's my first time playing, so I have to practice.\Don't worry about us at the history club, and do your best at soccer.\I'll cheer you on.\I-I'll support you, too! You can count on me.\Should I coach you?\Since I'm in the soccer club, I think I could help. response:	What? Really?!
context: Is that some kind of good luck charm?\Still, it's my first time playing, so I have to practice.\Don't worry about us at the history club, and do your best at soccer.\I'll cheer you on.\I-I'll support you, too! You can count on me.\Should I coach you?\Since I'm in the soccer club, I think I could help.\What? Really?! response:	Mutsumi-senpai, Shinomiya-kun, Igarashi-kun, thank you!
context: Still, it's my first time playing, so I have to practice.\Don't worry about us at the history club, and do your best at soccer.\I'll cheer you on.\I-I'll support you, too! You can count on me.\Should I coach you?\Since I'm in the soccer club, I think I could help.\What? Really?!\Mutsumi-senpai, Shinomiya-kun, Igarashi-kun, thank you! response:	Look at them go.
context: Don't worry about us at the history club, and do your best at soccer.\I'll cheer you on.\I-I'll support you, too! You can count on me.\Should I coach you?\Since I'm in the soccer club, I think I could help.\What? Really?!\Mutsumi-senpai, Shinomiya-kun, Igarashi-kun, thank you!\Look at them go. response:	Oh, but I have practice after school too, so I can't be there the whole time.
context: I'll cheer you on.\I-I'll support you, too! You can count on me.\Should I coach you?\Since I'm in the soccer club, I think I could help.\What? Really?!\Mutsumi-senpai, Shinomiya-kun, Igarashi-kun, thank you!\Look at them go.\Oh, but I have practice after school too, so I can't be there the whole time. response:	In that case, Nana can teach you. He used to play himself.
context: I-I'll support you, too! You can count on me.\Should I coach you?\Since I'm in the soccer club, I think I could help.\What? Really?!\Mutsumi-senpai, Shinomiya-kun, Igarashi-kun, thank you!\Look at them go.\Oh, but I have practice after school too, so I can't be there the whole time.\In that case, Nana can teach you. He used to play himself. response:	No way.
context: Should I coach you?\Since I'm in the soccer club, I think I could help.\What? Really?!\Mutsumi-senpai, Shinomiya-kun, Igarashi-kun, thank you!\Look at them go.\Oh, but I have practice after school too, so I can't be there the whole time.\In that case, Nana can teach you. He used to play himself.\No way. response:	Stuff like that can't be taught overnight.
context: Since I'm in the soccer club, I think I could help.\What? Really?!\Mutsumi-senpai, Shinomiya-kun, Igarashi-kun, thank you!\Look at them go.\Oh, but I have practice after school too, so I can't be there the whole time.\In that case, Nana can teach you. He used to play himself.\No way.\Stuff like that can't be taught overnight. response:	A total novice with only one week of practice will just get in the way.
context: What? Really?!\Mutsumi-senpai, Shinomiya-kun, Igarashi-kun, thank you!\Look at them go.\Oh, but I have practice after school too, so I can't be there the whole time.\In that case, Nana can teach you. He used to play himself.\No way.\Stuff like that can't be taught overnight.\A total novice with only one week of practice will just get in the way. response:	That's why I'm going to practice!
context: Mutsumi-senpai, Shinomiya-kun, Igarashi-kun, thank you!\Look at them go.\Oh, but I have practice after school too, so I can't be there the whole time.\In that case, Nana can teach you. He used to play himself.\No way.\Stuff like that can't be taught overnight.\A total novice with only one week of practice will just get in the way.\That's why I'm going to practice! response:	The ball is my friend! We can get along!
context: Look at them go.\Oh, but I have practice after school too, so I can't be there the whole time.\In that case, Nana can teach you. He used to play himself.\No way.\Stuff like that can't be taught overnight.\A total novice with only one week of practice will just get in the way.\That's why I'm going to practice!\The ball is my friend! We can get along! response:	Tsubasa-kun became friends with the ball because he was with it 24/7!
context: Oh, but I have practice after school too, so I can't be there the whole time.\In that case, Nana can teach you. He used to play himself.\No way.\Stuff like that can't be taught overnight.\A total novice with only one week of practice will just get in the way.\That's why I'm going to practice!\The ball is my friend! We can get along!\Tsubasa-kun became friends with the ball because he was with it 24/7! response:	Th-The length of time doesn't matter! It's what you do with it!
context: In that case, Nana can teach you. He used to play himself.\No way.\Stuff like that can't be taught overnight.\A total novice with only one week of practice will just get in the way.\That's why I'm going to practice!\The ball is my friend! We can get along!\Tsubasa-kun became friends with the ball because he was with it 24/7!\Th-The length of time doesn't matter! It's what you do with it! response:	You've done nothing with it! Don't take Tsubasa-kun lightly!
context: No way.\Stuff like that can't be taught overnight.\A total novice with only one week of practice will just get in the way.\That's why I'm going to practice!\The ball is my friend! We can get along!\Tsubasa-kun became friends with the ball because he was with it 24/7!\Th-The length of time doesn't matter! It's what you do with it!\You've done nothing with it! Don't take Tsubasa-kun lightly! response:	The ball has the right to choose its friends, too!
context: Stuff like that can't be taught overnight.\A total novice with only one week of practice will just get in the way.\That's why I'm going to practice!\The ball is my friend! We can get along!\Tsubasa-kun became friends with the ball because he was with it 24/7!\Th-The length of time doesn't matter! It's what you do with it!\You've done nothing with it! Don't take Tsubasa-kun lightly!\The ball has the right to choose its friends, too! response:	You're heartless, Nanashima-kun!
context: A total novice with only one week of practice will just get in the way.\That's why I'm going to practice!\The ball is my friend! We can get along!\Tsubasa-kun became friends with the ball because he was with it 24/7!\Th-The length of time doesn't matter! It's what you do with it!\You've done nothing with it! Don't take Tsubasa-kun lightly!\The ball has the right to choose its friends, too!\You're heartless, Nanashima-kun! response:	Now, now. Let's all relax.
context: That's why I'm going to practice!\The ball is my friend! We can get along!\Tsubasa-kun became friends with the ball because he was with it 24/7!\Th-The length of time doesn't matter! It's what you do with it!\You've done nothing with it! Don't take Tsubasa-kun lightly!\The ball has the right to choose its friends, too!\You're heartless, Nanashima-kun!\Now, now. Let's all relax. response:	Calm down, Nana. What are you talking about?
context: The ball is my friend! We can get along!\Tsubasa-kun became friends with the ball because he was with it 24/7!\Th-The length of time doesn't matter! It's what you do with it!\You've done nothing with it! Don't take Tsubasa-kun lightly!\The ball has the right to choose its friends, too!\You're heartless, Nanashima-kun!\Now, now. Let's all relax.\Calm down, Nana. What are you talking about? response:	Anyway, I'm not gonna have any part in this. Do what you want.
context: Tsubasa-kun became friends with the ball because he was with it 24/7!\Th-The length of time doesn't matter! It's what you do with it!\You've done nothing with it! Don't take Tsubasa-kun lightly!\The ball has the right to choose its friends, too!\You're heartless, Nanashima-kun!\Now, now. Let's all relax.\Calm down, Nana. What are you talking about?\Anyway, I'm not gonna have any part in this. Do what you want. response:	What's his deal?! Did he have to put it like that?
context: Th-The length of time doesn't matter! It's what you do with it!\You've done nothing with it! Don't take Tsubasa-kun lightly!\The ball has the right to choose its friends, too!\You're heartless, Nanashima-kun!\Now, now. Let's all relax.\Calm down, Nana. What are you talking about?\Anyway, I'm not gonna have any part in this. Do what you want.\What's his deal?! Did he have to put it like that? response:	I'll get good at soccer no matter what!
context: You've done nothing with it! Don't take Tsubasa-kun lightly!\The ball has the right to choose its friends, too!\You're heartless, Nanashima-kun!\Now, now. Let's all relax.\Calm down, Nana. What are you talking about?\Anyway, I'm not gonna have any part in this. Do what you want.\What's his deal?! Did he have to put it like that?\I'll get good at soccer no matter what! response:	And I'll win!
context: The ball has the right to choose its friends, too!\You're heartless, Nanashima-kun!\Now, now. Let's all relax.\Calm down, Nana. What are you talking about?\Anyway, I'm not gonna have any part in this. Do what you want.\What's his deal?! Did he have to put it like that?\I'll get good at soccer no matter what!\And I'll win! response:	Good to meet you!
context: You're heartless, Nanashima-kun!\Now, now. Let's all relax.\Calm down, Nana. What are you talking about?\Anyway, I'm not gonna have any part in this. Do what you want.\What's his deal?! Did he have to put it like that?\I'll get good at soccer no matter what!\And I'll win!\Good to meet you! response:	Thanks for coming!
context: Now, now. Let's all relax.\Calm down, Nana. What are you talking about?\Anyway, I'm not gonna have any part in this. Do what you want.\What's his deal?! Did he have to put it like that?\I'll get good at soccer no matter what!\And I'll win!\Good to meet you!\Thanks for coming! response:	Let's start with our usual warm-up routine.
context: Calm down, Nana. What are you talking about?\Anyway, I'm not gonna have any part in this. Do what you want.\What's his deal?! Did he have to put it like that?\I'll get good at soccer no matter what!\And I'll win!\Good to meet you!\Thanks for coming!\Let's start with our usual warm-up routine. response:	Sounds good!
context: Anyway, I'm not gonna have any part in this. Do what you want.\What's his deal?! Did he have to put it like that?\I'll get good at soccer no matter what!\And I'll win!\Good to meet you!\Thanks for coming!\Let's start with our usual warm-up routine.\Sounds good! response:	After some light stretches, 20 laps around the school grounds.
context: What's his deal?! Did he have to put it like that?\I'll get good at soccer no matter what!\And I'll win!\Good to meet you!\Thanks for coming!\Let's start with our usual warm-up routine.\Sounds good!\After some light stretches, 20 laps around the school grounds. response:	Twent
context: I'll get good at soccer no matter what!\And I'll win!\Good to meet you!\Thanks for coming!\Let's start with our usual warm-up routine.\Sounds good!\After some light stretches, 20 laps around the school grounds.\Twent response:	Fight! On! Fight! On!
context: And I'll win!\Good to meet you!\Thanks for coming!\Let's start with our usual warm-up routine.\Sounds good!\After some light stretches, 20 laps around the school grounds.\Twent\Fight! On! Fight! On! response:	Fight! On! Fight! On!
context: Good to meet you!\Thanks for coming!\Let's start with our usual warm-up routine.\Sounds good!\After some light stretches, 20 laps around the school grounds.\Twent\Fight! On! Fight! On!\Fight! On! Fight! On! response:	After that, five sets of 20 sit-ups and reverse sit-ups!
context: Thanks for coming!\Let's start with our usual warm-up routine.\Sounds good!\After some light stretches, 20 laps around the school grounds.\Twent\Fight! On! Fight! On!\Fight! On! Fight! On!\After that, five sets of 20 sit-ups and reverse sit-ups! response:	Hands behind your head, and keep your legs together.
context: Let's start with our usual warm-up routine.\Sounds good!\After some light stretches, 20 laps around the school grounds.\Twent\Fight! On! Fight! On!\Fight! On! Fight! On!\After that, five sets of 20 sit-ups and reverse sit-ups!\Hands behind your head, and keep your legs together. response:	Now, two sets of 10 push-ups!
context: Sounds good!\After some light stretches, 20 laps around the school grounds.\Twent\Fight! On! Fight! On!\Fight! On! Fight! On!\After that, five sets of 20 sit-ups and reverse sit-ups!\Hands behind your head, and keep your legs together.\Now, two sets of 10 push-ups! response:	Lastly, some cool down exercises.
context: After some light stretches, 20 laps around the school grounds.\Twent\Fight! On! Fight! On!\Fight! On! Fight! On!\After that, five sets of 20 sit-ups and reverse sit-ups!\Hands behind your head, and keep your legs together.\Now, two sets of 10 push-ups!\Lastly, some cool down exercises. response:	Okay, time to start practice!
context: Twent\Fight! On! Fight! On!\Fight! On! Fight! On!\After that, five sets of 20 sit-ups and reverse sit-ups!\Hands behind your head, and keep your legs together.\Now, two sets of 10 push-ups!\Lastly, some cool down exercises.\Okay, time to start practice! response:	That's all for today!
context: Fight! On! Fight! On!\Fight! On! Fight! On!\After that, five sets of 20 sit-ups and reverse sit-ups!\Hands behind your head, and keep your legs together.\Now, two sets of 10 push-ups!\Lastly, some cool down exercises.\Okay, time to start practice!\That's all for today! response:	Thanks everyone!
context: Fight! On! Fight! On!\After that, five sets of 20 sit-ups and reverse sit-ups!\Hands behind your head, and keep your legs together.\Now, two sets of 10 push-ups!\Lastly, some cool down exercises.\Okay, time to start practice!\That's all for today!\Thanks everyone! response:	A-Are you okay, Serinuma-san?
context: After that, five sets of 20 sit-ups and reverse sit-ups!\Hands behind your head, and keep your legs together.\Now, two sets of 10 push-ups!\Lastly, some cool down exercises.\Okay, time to start practice!\That's all for today!\Thanks everyone!\A-Are you okay, Serinuma-san? response:	I'm... fine...
context: Hands behind your head, and keep your legs together.\Now, two sets of 10 push-ups!\Lastly, some cool down exercises.\Okay, time to start practice!\That's all for today!\Thanks everyone!\A-Are you okay, Serinuma-san?\I'm... fine... response:	Amazing. You look like a newborn fawn.
context: Now, two sets of 10 push-ups!\Lastly, some cool down exercises.\Okay, time to start practice!\That's all for today!\Thanks everyone!\A-Are you okay, Serinuma-san?\I'm... fine...\Amazing. You look like a newborn fawn. response:	Totally fine!
context: Lastly, some cool down exercises.\Okay, time to start practice!\That's all for today!\Thanks everyone!\A-Are you okay, Serinuma-san?\I'm... fine...\Amazing. You look like a newborn fawn.\Totally fine! response:	Actually, I'm not fine at all.
context: Okay, time to start practice!\That's all for today!\Thanks everyone!\A-Are you okay, Serinuma-san?\I'm... fine...\Amazing. You look like a newborn fawn.\Totally fine!\Actually, I'm not fine at all. response:	Sure, I lost some weight and can move more freely,
context: That's all for today!\Thanks everyone!\A-Are you okay, Serinuma-san?\I'm... fine...\Amazing. You look like a newborn fawn.\Totally fine!\Actually, I'm not fine at all.\Sure, I lost some weight and can move more freely, response:	but I forgot I was originally an indoor person,
context: Thanks everyone!\A-Are you okay, Serinuma-san?\I'm... fine...\Amazing. You look like a newborn fawn.\Totally fine!\Actually, I'm not fine at all.\Sure, I lost some weight and can move more freely,\but I forgot I was originally an indoor person, response:	so I've got no muscle at all!
context: A-Are you okay, Serinuma-san?\I'm... fine...\Amazing. You look like a newborn fawn.\Totally fine!\Actually, I'm not fine at all.\Sure, I lost some weight and can move more freely,\but I forgot I was originally an indoor person,\so I've got no muscle at all! response:	Should we call it a day?
context: I'm... fine...\Amazing. You look like a newborn fawn.\Totally fine!\Actually, I'm not fine at all.\Sure, I lost some weight and can move more freely,\but I forgot I was originally an indoor person,\so I've got no muscle at all!\Should we call it a day? response:	N-No! I can keep going
context: Amazing. You look like a newborn fawn.\Totally fine!\Actually, I'm not fine at all.\Sure, I lost some weight and can move more freely,\but I forgot I was originally an indoor person,\so I've got no muscle at all!\Should we call it a day?\N-No! I can keep going response:	5 Days Left
