context: Why? response:	How come?
context: Kerberos the Appointer'\'cannot defeat Yue the Judge,\The Clow Cards, and everyone involved with the Clow Cards will forget'\'the feeling of'love' towards the person they love most.\What?!\The Clow Cards treasure most the person\who sealed and signed on them.\But if this person does not qualify as the Master or the Mistress, response:	In order not to grieve,
context: 'cannot defeat Yue the Judge,\The Clow Cards, and everyone involved with the Clow Cards will forget'\'the feeling of'love' towards the person they love most.\What?!\The Clow Cards treasure most the person\who sealed and signed on them.\But if this person does not qualify as the Master or the Mistress,\In order not to grieve, response:	the cards would forget the person
context: The Clow Cards, and everyone involved with the Clow Cards will forget'\'the feeling of'love' towards the person they love most.\What?!\The Clow Cards treasure most the person\who sealed and signed on them.\But if this person does not qualify as the Master or the Mistress,\In order not to grieve,\the cards would forget the person response:	they love most.
context: 'the feeling of'love' towards the person they love most.\What?!\The Clow Cards treasure most the person\who sealed and signed on them.\But if this person does not qualify as the Master or the Mistress,\In order not to grieve,\the cards would forget the person\they love most. response:	Forgotten'
context: What?!\The Clow Cards treasure most the person\who sealed and signed on them.\But if this person does not qualify as the Master or the Mistress,\In order not to grieve,\the cards would forget the person\they love most.\Forgotten' response:	Everyone's feeling of loving someone the most would be forgotten'
context: The Clow Cards treasure most the person\who sealed and signed on them.\But if this person does not qualify as the Master or the Mistress,\In order not to grieve,\the cards would forget the person\they love most.\Forgotten'\Everyone's feeling of loving someone the most would be forgotten' response:	Even mine'
context: who sealed and signed on them.\But if this person does not qualify as the Master or the Mistress,\In order not to grieve,\the cards would forget the person\they love most.\Forgotten'\Everyone's feeling of loving someone the most would be forgotten'\Even mine' response:	'would be forgotten'
context: But if this person does not qualify as the Master or the Mistress,\In order not to grieve,\the cards would forget the person\they love most.\Forgotten'\Everyone's feeling of loving someone the most would be forgotten'\Even mine'\'would be forgotten' response:	I can't'
context: In order not to grieve,\the cards would forget the person\they love most.\Forgotten'\Everyone's feeling of loving someone the most would be forgotten'\Even mine'\'would be forgotten'\I can't' response:	I definitely can't'
context: the cards would forget the person\they love most.\Forgotten'\Everyone's feeling of loving someone the most would be forgotten'\Even mine'\'would be forgotten'\I can't'\I definitely can't' response:	'let this happen!!
context: they love most.\Forgotten'\Everyone's feeling of loving someone the most would be forgotten'\Even mine'\'would be forgotten'\I can't'\I definitely can't'\'let this happen!! response:	You have broken the magic that was backfired at you.
context: Forgotten'\Everyone's feeling of loving someone the most would be forgotten'\Even mine'\'would be forgotten'\I can't'\I definitely can't'\'let this happen!!\You have broken the magic that was backfired at you. response:	Still, I will not say that you did not lose.
context: Everyone's feeling of loving someone the most would be forgotten'\Even mine'\'would be forgotten'\I can't'\I definitely can't'\'let this happen!!\You have broken the magic that was backfired at you.\Still, I will not say that you did not lose. response:	Only Clow Reed is able to defeat me.
context: Even mine'\'would be forgotten'\I can't'\I definitely can't'\'let this happen!!\You have broken the magic that was backfired at you.\Still, I will not say that you did not lose.\Only Clow Reed is able to defeat me. response:	Dammit!!
context: 'would be forgotten'\I can't'\I definitely can't'\'let this happen!!\You have broken the magic that was backfired at you.\Still, I will not say that you did not lose.\Only Clow Reed is able to defeat me.\Dammit!! response:	I can't' Everyone would forget'
context: I can't'\I definitely can't'\'let this happen!!\You have broken the magic that was backfired at you.\Still, I will not say that you did not lose.\Only Clow Reed is able to defeat me.\Dammit!!\I can't' Everyone would forget' response:	They'd forget the people they love'
context: I definitely can't'\'let this happen!!\You have broken the magic that was backfired at you.\Still, I will not say that you did not lose.\Only Clow Reed is able to defeat me.\Dammit!!\I can't' Everyone would forget'\They'd forget the people they love' response:	A dream?
context: 'let this happen!!\You have broken the magic that was backfired at you.\Still, I will not say that you did not lose.\Only Clow Reed is able to defeat me.\Dammit!!\I can't' Everyone would forget'\They'd forget the people they love'\A dream? response:	Good morning!
context: You have broken the magic that was backfired at you.\Still, I will not say that you did not lose.\Only Clow Reed is able to defeat me.\Dammit!!\I can't' Everyone would forget'\They'd forget the people they love'\A dream?\Good morning! response:	Good morning.
context: Still, I will not say that you did not lose.\Only Clow Reed is able to defeat me.\Dammit!!\I can't' Everyone would forget'\They'd forget the people they love'\A dream?\Good morning!\Good morning. response:	Good morning! Good morning, Father.
context: Only Clow Reed is able to defeat me.\Dammit!!\I can't' Everyone would forget'\They'd forget the people they love'\A dream?\Good morning!\Good morning.\Good morning! Good morning, Father. response:	Good morning'
context: Dammit!!\I can't' Everyone would forget'\They'd forget the people they love'\A dream?\Good morning!\Good morning.\Good morning! Good morning, Father.\Good morning' response:	Is there something?
context: I can't' Everyone would forget'\They'd forget the people they love'\A dream?\Good morning!\Good morning.\Good morning! Good morning, Father.\Good morning'\Is there something? response:	No, it's nothing.
context: They'd forget the people they love'\A dream?\Good morning!\Good morning.\Good morning! Good morning, Father.\Good morning'\Is there something?\No, it's nothing. response:	Good morning!
context: A dream?\Good morning!\Good morning.\Good morning! Good morning, Father.\Good morning'\Is there something?\No, it's nothing.\Good morning! response:	Good morning, Tomoyo-chan!
context: Good morning!\Good morning.\Good morning! Good morning, Father.\Good morning'\Is there something?\No, it's nothing.\Good morning!\Good morning, Tomoyo-chan! response:	Class is going to start!
context: Good morning.\Good morning! Good morning, Father.\Good morning'\Is there something?\No, it's nothing.\Good morning!\Good morning, Tomoyo-chan!\Class is going to start! response:	' Good morning!' Good morning!
context: Good morning! Good morning, Father.\Good morning'\Is there something?\No, it's nothing.\Good morning!\Good morning, Tomoyo-chan!\Class is going to start!\' Good morning!' Good morning! response:	Mihara-san, the Japanese class material for the first period.
context: Good morning'\Is there something?\No, it's nothing.\Good morning!\Good morning, Tomoyo-chan!\Class is going to start!\' Good morning!' Good morning!\Mihara-san, the Japanese class material for the first period. response:	Please get it ready now. Miss Midori will be here soon.
context: Is there something?\No, it's nothing.\Good morning!\Good morning, Tomoyo-chan!\Class is going to start!\' Good morning!' Good morning!\Mihara-san, the Japanese class material for the first period.\Please get it ready now. Miss Midori will be here soon. response:	That's right.
context: No, it's nothing.\Good morning!\Good morning, Tomoyo-chan!\Class is going to start!\' Good morning!' Good morning!\Mihara-san, the Japanese class material for the first period.\Please get it ready now. Miss Midori will be here soon.\That's right. response:	Hey Chiharu-chan, Yamazaki-kun calls you'Mihara-san'?
context: Good morning!\Good morning, Tomoyo-chan!\Class is going to start!\' Good morning!' Good morning!\Mihara-san, the Japanese class material for the first period.\Please get it ready now. Miss Midori will be here soon.\That's right.\Hey Chiharu-chan, Yamazaki-kun calls you'Mihara-san'? response:	Yeah,
context: Good morning, Tomoyo-chan!\Class is going to start!\' Good morning!' Good morning!\Mihara-san, the Japanese class material for the first period.\Please get it ready now. Miss Midori will be here soon.\That's right.\Hey Chiharu-chan, Yamazaki-kun calls you'Mihara-san'?\Yeah, response:	it's not like we know each other very well'
context: Class is going to start!\' Good morning!' Good morning!\Mihara-san, the Japanese class material for the first period.\Please get it ready now. Miss Midori will be here soon.\That's right.\Hey Chiharu-chan, Yamazaki-kun calls you'Mihara-san'?\Yeah,\it's not like we know each other very well' response:	Can you come here for a second? Yes.
context: ' Good morning!' Good morning!\Mihara-san, the Japanese class material for the first period.\Please get it ready now. Miss Midori will be here soon.\That's right.\Hey Chiharu-chan, Yamazaki-kun calls you'Mihara-san'?\Yeah,\it's not like we know each other very well'\Can you come here for a second? Yes. response:	Can you hand these to your class teacher?
context: Mihara-san, the Japanese class material for the first period.\Please get it ready now. Miss Midori will be here soon.\That's right.\Hey Chiharu-chan, Yamazaki-kun calls you'Mihara-san'?\Yeah,\it's not like we know each other very well'\Can you come here for a second? Yes.\Can you hand these to your class teacher? response:	Yes.
context: Please get it ready now. Miss Midori will be here soon.\That's right.\Hey Chiharu-chan, Yamazaki-kun calls you'Mihara-san'?\Yeah,\it's not like we know each other very well'\Can you come here for a second? Yes.\Can you hand these to your class teacher?\Yes. response:	' Good morning.' Good morning!
context: That's right.\Hey Chiharu-chan, Yamazaki-kun calls you'Mihara-san'?\Yeah,\it's not like we know each other very well'\Can you come here for a second? Yes.\Can you hand these to your class teacher?\Yes.\' Good morning.' Good morning! response:	' What?' No, it's nothing.
context: Hey Chiharu-chan, Yamazaki-kun calls you'Mihara-san'?\Yeah,\it's not like we know each other very well'\Can you come here for a second? Yes.\Can you hand these to your class teacher?\Yes.\' Good morning.' Good morning!\' What?' No, it's nothing. response:	No one is here'
context: Yeah,\it's not like we know each other very well'\Can you come here for a second? Yes.\Can you hand these to your class teacher?\Yes.\' Good morning.' Good morning!\' What?' No, it's nothing.\No one is here' response:	Sakura-chan!
context: it's not like we know each other very well'\Can you come here for a second? Yes.\Can you hand these to your class teacher?\Yes.\' Good morning.' Good morning!\' What?' No, it's nothing.\No one is here'\Sakura-chan! response:	That person'
context: Can you come here for a second? Yes.\Can you hand these to your class teacher?\Yes.\' Good morning.' Good morning!\' What?' No, it's nothing.\No one is here'\Sakura-chan!\That person' response:	He is'
context: Can you hand these to your class teacher?\Yes.\' Good morning.' Good morning!\' What?' No, it's nothing.\No one is here'\Sakura-chan!\That person'\He is' response:	That's it! He is'
context: Yes.\' Good morning.' Good morning!\' What?' No, it's nothing.\No one is here'\Sakura-chan!\That person'\He is'\That's it! He is' response:	'the person I love most!
context: ' Good morning.' Good morning!\' What?' No, it's nothing.\No one is here'\Sakura-chan!\That person'\He is'\That's it! He is'\'the person I love most! response:	She broke it!
context: ' What?' No, it's nothing.\No one is here'\Sakura-chan!\That person'\He is'\That's it! He is'\'the person I love most!\She broke it! response:	Mizuki-sensei!
context: No one is here'\Sakura-chan!\That person'\He is'\That's it! He is'\'the person I love most!\She broke it!\Mizuki-sensei! response:	I'm glad you noticed it!
context: Sakura-chan!\That person'\He is'\That's it! He is'\'the person I love most!\She broke it!\Mizuki-sensei!\I'm glad you noticed it! response:	The bell'
context: That person'\He is'\That's it! He is'\'the person I love most!\She broke it!\Mizuki-sensei!\I'm glad you noticed it!\The bell' response:	This bell is left behind by Clow Reed,
context: He is'\That's it! He is'\'the person I love most!\She broke it!\Mizuki-sensei!\I'm glad you noticed it!\The bell'\This bell is left behind by Clow Reed, response:	in order to give you a second chance.
context: That's it! He is'\'the person I love most!\She broke it!\Mizuki-sensei!\I'm glad you noticed it!\The bell'\This bell is left behind by Clow Reed,\in order to give you a second chance. response:	Its task is over,
context: 'the person I love most!\She broke it!\Mizuki-sensei!\I'm glad you noticed it!\The bell'\This bell is left behind by Clow Reed,\in order to give you a second chance.\Its task is over, response:	so it vanished.
context: She broke it!\Mizuki-sensei!\I'm glad you noticed it!\The bell'\This bell is left behind by Clow Reed,\in order to give you a second chance.\Its task is over,\so it vanished. response:	There will not be another chance again.
context: Mizuki-sensei!\I'm glad you noticed it!\The bell'\This bell is left behind by Clow Reed,\in order to give you a second chance.\Its task is over,\so it vanished.\There will not be another chance again. response:	I got it.
context: I'm glad you noticed it!\The bell'\This bell is left behind by Clow Reed,\in order to give you a second chance.\Its task is over,\so it vanished.\There will not be another chance again.\I got it. response:	Living in a world without the feeling for the person you love most,
context: The bell'\This bell is left behind by Clow Reed,\in order to give you a second chance.\Its task is over,\so it vanished.\There will not be another chance again.\I got it.\Living in a world without the feeling for the person you love most, response:	That is too harsh!
context: This bell is left behind by Clow Reed,\in order to give you a second chance.\Its task is over,\so it vanished.\There will not be another chance again.\I got it.\Living in a world without the feeling for the person you love most,\That is too harsh! response:	I'll do my best!
context: in order to give you a second chance.\Its task is over,\so it vanished.\There will not be another chance again.\I got it.\Living in a world without the feeling for the person you love most,\That is too harsh!\I'll do my best! response:	I can do it!
context: Its task is over,\so it vanished.\There will not be another chance again.\I got it.\Living in a world without the feeling for the person you love most,\That is too harsh!\I'll do my best!\I can do it! response:	It'll be okay for sure!
context: so it vanished.\There will not be another chance again.\I got it.\Living in a world without the feeling for the person you love most,\That is too harsh!\I'll do my best!\I can do it!\It'll be okay for sure! response:	Now, lift up your wand.
context: There will not be another chance again.\I got it.\Living in a world without the feeling for the person you love most,\That is too harsh!\I'll do my best!\I can do it!\It'll be okay for sure!\Now, lift up your wand. response:	What is this?!
context: I got it.\Living in a world without the feeling for the person you love most,\That is too harsh!\I'll do my best!\I can do it!\It'll be okay for sure!\Now, lift up your wand.\What is this?! response:	A new power.
context: Living in a world without the feeling for the person you love most,\That is too harsh!\I'll do my best!\I can do it!\It'll be okay for sure!\Now, lift up your wand.\What is this?!\A new power. response:	Release!
context: That is too harsh!\I'll do my best!\I can do it!\It'll be okay for sure!\Now, lift up your wand.\What is this?!\A new power.\Release! response:	The wand changed!
context: I'll do my best!\I can do it!\It'll be okay for sure!\Now, lift up your wand.\What is this?!\A new power.\Release!\The wand changed! response:	Wind, capture the one before you!
context: I can do it!\It'll be okay for sure!\Now, lift up your wand.\What is this?!\A new power.\Release!\The wand changed!\Wind, capture the one before you! response:	Windy!
context: It'll be okay for sure!\Now, lift up your wand.\What is this?!\A new power.\Release!\The wand changed!\Wind, capture the one before you!\Windy! response:	Useless. Windy serves under me'
context: Now, lift up your wand.\What is this?!\A new power.\Release!\The wand changed!\Wind, capture the one before you!\Windy!\Useless. Windy serves under me' response:	Impossible!
context: What is this?!\A new power.\Release!\The wand changed!\Wind, capture the one before you!\Windy!\Useless. Windy serves under me'\Impossible! response:	Yue-san,
context: A new power.\Release!\The wand changed!\Wind, capture the one before you!\Windy!\Useless. Windy serves under me'\Impossible!\Yue-san, response:	you must like Clow-san very much.
context: Release!\The wand changed!\Wind, capture the one before you!\Windy!\Useless. Windy serves under me'\Impossible!\Yue-san,\you must like Clow-san very much. response:	Therefore, I'm sure you understand how sad it is'
context: The wand changed!\Wind, capture the one before you!\Windy!\Useless. Windy serves under me'\Impossible!\Yue-san,\you must like Clow-san very much.\Therefore, I'm sure you understand how sad it is' response:	'to forget the feeling for the person you love most.
context: Wind, capture the one before you!\Windy!\Useless. Windy serves under me'\Impossible!\Yue-san,\you must like Clow-san very much.\Therefore, I'm sure you understand how sad it is'\'to forget the feeling for the person you love most. response:	I'm still a kid,
context: Windy!\Useless. Windy serves under me'\Impossible!\Yue-san,\you must like Clow-san very much.\Therefore, I'm sure you understand how sad it is'\'to forget the feeling for the person you love most.\I'm still a kid, response:	and I'm not nearly
context: Useless. Windy serves under me'\Impossible!\Yue-san,\you must like Clow-san very much.\Therefore, I'm sure you understand how sad it is'\'to forget the feeling for the person you love most.\I'm still a kid,\and I'm not nearly response:	as powerful as Clow,
