context: You're the one who gives me my future response:	Even on a road without signs, I'll be fine, if we're together
context: You're the one who gives me my future\If I'm beaten down by the rain of tears\I wanna hold you, call my name immediately\I'll go embrace you\I'll accept sadness and bluffing in my hands\Boy\I suddenly turned my back on you and ran away\Because you've been so gentle to many other girls response:	Boy, please chase after me
context: If I'm beaten down by the rain of tears\I wanna hold you, call my name immediately\I'll go embrace you\I'll accept sadness and bluffing in my hands\Boy\I suddenly turned my back on you and ran away\Because you've been so gentle to many other girls\Boy, please chase after me response:	Because it won't be over after this
context: I wanna hold you, call my name immediately\I'll go embrace you\I'll accept sadness and bluffing in my hands\Boy\I suddenly turned my back on you and ran away\Because you've been so gentle to many other girls\Boy, please chase after me\Because it won't be over after this response:	I can't say I'm sorry, sorry
context: I'll go embrace you\I'll accept sadness and bluffing in my hands\Boy\I suddenly turned my back on you and ran away\Because you've been so gentle to many other girls\Boy, please chase after me\Because it won't be over after this\I can't say I'm sorry, sorry response:	Even though I believe you, my lips are pouting
context: I'll accept sadness and bluffing in my hands\Boy\I suddenly turned my back on you and ran away\Because you've been so gentle to many other girls\Boy, please chase after me\Because it won't be over after this\I can't say I'm sorry, sorry\Even though I believe you, my lips are pouting response:	I can't be cute, sorry
context: Boy\I suddenly turned my back on you and ran away\Because you've been so gentle to many other girls\Boy, please chase after me\Because it won't be over after this\I can't say I'm sorry, sorry\Even though I believe you, my lips are pouting\I can't be cute, sorry response:	Catch me in the town where a drizzle is falling
context: I suddenly turned my back on you and ran away\Because you've been so gentle to many other girls\Boy, please chase after me\Because it won't be over after this\I can't say I'm sorry, sorry\Even though I believe you, my lips are pouting\I can't be cute, sorry\Catch me in the town where a drizzle is falling response:	Because I'll turn around and give you a make-up kiss
context: Because you've been so gentle to many other girls\Boy, please chase after me\Because it won't be over after this\I can't say I'm sorry, sorry\Even though I believe you, my lips are pouting\I can't be cute, sorry\Catch me in the town where a drizzle is falling\Because I'll turn around and give you a make-up kiss response:	In your warm arms
context: Boy, please chase after me\Because it won't be over after this\I can't say I'm sorry, sorry\Even though I believe you, my lips are pouting\I can't be cute, sorry\Catch me in the town where a drizzle is falling\Because I'll turn around and give you a make-up kiss\In your warm arms response:	The Path to the Border
context: Because it won't be over after this\I can't say I'm sorry, sorry\Even though I believe you, my lips are pouting\I can't be cute, sorry\Catch me in the town where a drizzle is falling\Because I'll turn around and give you a make-up kiss\In your warm arms\The Path to the Border response:	The Path to the Border
context: I can't say I'm sorry, sorry\Even though I believe you, my lips are pouting\I can't be cute, sorry\Catch me in the town where a drizzle is falling\Because I'll turn around and give you a make-up kiss\In your warm arms\The Path to the Border\The Path to the Border response:	Next Time
context: Even though I believe you, my lips are pouting\I can't be cute, sorry\Catch me in the town where a drizzle is falling\Because I'll turn around and give you a make-up kiss\In your warm arms\The Path to the Border\The Path to the Border\Next Time response:	Captive in Al Hambra
context: I can't be cute, sorry\Catch me in the town where a drizzle is falling\Because I'll turn around and give you a make-up kiss\In your warm arms\The Path to the Border\The Path to the Border\Next Time\Captive in Al Hambra response:	I'm sorry for the blunder I've committed.
context: Catch me in the town where a drizzle is falling\Because I'll turn around and give you a make-up kiss\In your warm arms\The Path to the Border\The Path to the Border\Next Time\Captive in Al Hambra\I'm sorry for the blunder I've committed. response:	It's all right.
context: Because I'll turn around and give you a make-up kiss\In your warm arms\The Path to the Border\The Path to the Border\Next Time\Captive in Al Hambra\I'm sorry for the blunder I've committed.\It's all right. response:	You're not responsible for anything, Agnes.
context: In your warm arms\The Path to the Border\The Path to the Border\Next Time\Captive in Al Hambra\I'm sorry for the blunder I've committed.\It's all right.\You're not responsible for anything, Agnes. response:	Everything was my...
context: The Path to the Border\The Path to the Border\Next Time\Captive in Al Hambra\I'm sorry for the blunder I've committed.\It's all right.\You're not responsible for anything, Agnes.\Everything was my... response:	Your Highness.
context: The Path to the Border\Next Time\Captive in Al Hambra\I'm sorry for the blunder I've committed.\It's all right.\You're not responsible for anything, Agnes.\Everything was my...\Your Highness. response:	The ship has been seized, and we are currently searching for the crew throughout the city.
context: Next Time\Captive in Al Hambra\I'm sorry for the blunder I've committed.\It's all right.\You're not responsible for anything, Agnes.\Everything was my...\Your Highness.\The ship has been seized, and we are currently searching for the crew throughout the city. response:	We will find them in no time.
context: Captive in Al Hambra\I'm sorry for the blunder I've committed.\It's all right.\You're not responsible for anything, Agnes.\Everything was my...\Your Highness.\The ship has been seized, and we are currently searching for the crew throughout the city.\We will find them in no time. response:	Excuse me.
context: I'm sorry for the blunder I've committed.\It's all right.\You're not responsible for anything, Agnes.\Everything was my...\Your Highness.\The ship has been seized, and we are currently searching for the crew throughout the city.\We will find them in no time.\Excuse me. response:	Agnes.
context: It's all right.\You're not responsible for anything, Agnes.\Everything was my...\Your Highness.\The ship has been seized, and we are currently searching for the crew throughout the city.\We will find them in no time.\Excuse me.\Agnes. response:	Yes?
context: You're not responsible for anything, Agnes.\Everything was my...\Your Highness.\The ship has been seized, and we are currently searching for the crew throughout the city.\We will find them in no time.\Excuse me.\Agnes.\Yes? response:	Do not hurt them.
context: Everything was my...\Your Highness.\The ship has been seized, and we are currently searching for the crew throughout the city.\We will find them in no time.\Excuse me.\Agnes.\Yes?\Do not hurt them. response:	Ma'am!
context: Your Highness.\The ship has been seized, and we are currently searching for the crew throughout the city.\We will find them in no time.\Excuse me.\Agnes.\Yes?\Do not hurt them.\Ma'am! response:	Have you found them?! Keep searching!
context: The ship has been seized, and we are currently searching for the crew throughout the city.\We will find them in no time.\Excuse me.\Agnes.\Yes?\Do not hurt them.\Ma'am!\Have you found them?! Keep searching! response:	Nothing over here!
context: We will find them in no time.\Excuse me.\Agnes.\Yes?\Do not hurt them.\Ma'am!\Have you found them?! Keep searching!\Nothing over here! response:	Looks like quite the commotion.
context: Excuse me.\Agnes.\Yes?\Do not hurt them.\Ma'am!\Have you found them?! Keep searching!\Nothing over here!\Looks like quite the commotion. response:	Has there been a break-in or something?
context: Agnes.\Yes?\Do not hurt them.\Ma'am!\Have you found them?! Keep searching!\Nothing over here!\Looks like quite the commotion.\Has there been a break-in or something? response:	I'm so scared.
context: Yes?\Do not hurt them.\Ma'am!\Have you found them?! Keep searching!\Nothing over here!\Looks like quite the commotion.\Has there been a break-in or something?\I'm so scared. response:	Um.
context: Do not hurt them.\Ma'am!\Have you found them?! Keep searching!\Nothing over here!\Looks like quite the commotion.\Has there been a break-in or something?\I'm so scared.\Um. response:	No! Don't hurt me! If you must, do it gently!
context: Ma'am!\Have you found them?! Keep searching!\Nothing over here!\Looks like quite the commotion.\Has there been a break-in or something?\I'm so scared.\Um.\No! Don't hurt me! If you must, do it gently! response:	Hey, wait. Scarron-san!
context: Have you found them?! Keep searching!\Nothing over here!\Looks like quite the commotion.\Has there been a break-in or something?\I'm so scared.\Um.\No! Don't hurt me! If you must, do it gently!\Hey, wait. Scarron-san! response:	Hello.
context: Nothing over here!\Looks like quite the commotion.\Has there been a break-in or something?\I'm so scared.\Um.\No! Don't hurt me! If you must, do it gently!\Hey, wait. Scarron-san!\Hello. response:	Oh, it's you guys.
context: Looks like quite the commotion.\Has there been a break-in or something?\I'm so scared.\Um.\No! Don't hurt me! If you must, do it gently!\Hey, wait. Scarron-san!\Hello.\Oh, it's you guys. response:	Don't worry. You weren't followed.
context: Has there been a break-in or something?\I'm so scared.\Um.\No! Don't hurt me! If you must, do it gently!\Hey, wait. Scarron-san!\Hello.\Oh, it's you guys.\Don't worry. You weren't followed. response:	I had no idea that you were all being held in the castle.
context: I'm so scared.\Um.\No! Don't hurt me! If you must, do it gently!\Hey, wait. Scarron-san!\Hello.\Oh, it's you guys.\Don't worry. You weren't followed.\I had no idea that you were all being held in the castle. response:	To give up the status of an aristocrat just to help a friend?
context: Um.\No! Don't hurt me! If you must, do it gently!\Hey, wait. Scarron-san!\Hello.\Oh, it's you guys.\Don't worry. You weren't followed.\I had no idea that you were all being held in the castle.\To give up the status of an aristocrat just to help a friend? response:	It's so idiotic that I could expect it only from you guys.
context: No! Don't hurt me! If you must, do it gently!\Hey, wait. Scarron-san!\Hello.\Oh, it's you guys.\Don't worry. You weren't followed.\I had no idea that you were all being held in the castle.\To give up the status of an aristocrat just to help a friend?\It's so idiotic that I could expect it only from you guys. response:	We managed to get out, but what's our plan from here on?
context: Hey, wait. Scarron-san!\Hello.\Oh, it's you guys.\Don't worry. You weren't followed.\I had no idea that you were all being held in the castle.\To give up the status of an aristocrat just to help a friend?\It's so idiotic that I could expect it only from you guys.\We managed to get out, but what's our plan from here on? response:	Yeah. The city's crawling with guards.
context: Hello.\Oh, it's you guys.\Don't worry. You weren't followed.\I had no idea that you were all being held in the castle.\To give up the status of an aristocrat just to help a friend?\It's so idiotic that I could expect it only from you guys.\We managed to get out, but what's our plan from here on?\Yeah. The city's crawling with guards. response:	It won't be easy getting out of here.
context: Oh, it's you guys.\Don't worry. You weren't followed.\I had no idea that you were all being held in the castle.\To give up the status of an aristocrat just to help a friend?\It's so idiotic that I could expect it only from you guys.\We managed to get out, but what's our plan from here on?\Yeah. The city's crawling with guards.\It won't be easy getting out of here. response:	We'll walk to Gallia.
context: Don't worry. You weren't followed.\I had no idea that you were all being held in the castle.\To give up the status of an aristocrat just to help a friend?\It's so idiotic that I could expect it only from you guys.\We managed to get out, but what's our plan from here on?\Yeah. The city's crawling with guards.\It won't be easy getting out of here.\We'll walk to Gallia. response:	Colbert-sensei?
context: I had no idea that you were all being held in the castle.\To give up the status of an aristocrat just to help a friend?\It's so idiotic that I could expect it only from you guys.\We managed to get out, but what's our plan from here on?\Yeah. The city's crawling with guards.\It won't be easy getting out of here.\We'll walk to Gallia.\Colbert-sensei? response:	Everyone, take a look at this map.
context: To give up the status of an aristocrat just to help a friend?\It's so idiotic that I could expect it only from you guys.\We managed to get out, but what's our plan from here on?\Yeah. The city's crawling with guards.\It won't be easy getting out of here.\We'll walk to Gallia.\Colbert-sensei?\Everyone, take a look at this map. response:	I'll first fly the Ostland to Germania, in the opposite direction of Gallia.
context: It's so idiotic that I could expect it only from you guys.\We managed to get out, but what's our plan from here on?\Yeah. The city's crawling with guards.\It won't be easy getting out of here.\We'll walk to Gallia.\Colbert-sensei?\Everyone, take a look at this map.\I'll first fly the Ostland to Germania, in the opposite direction of Gallia. response:	The military will think we're going to enter Gallia via Germania, so they'll come after me.
context: We managed to get out, but what's our plan from here on?\Yeah. The city's crawling with guards.\It won't be easy getting out of here.\We'll walk to Gallia.\Colbert-sensei?\Everyone, take a look at this map.\I'll first fly the Ostland to Germania, in the opposite direction of Gallia.\The military will think we're going to enter Gallia via Germania, so they'll come after me. response:	And that's when we take the chance to walk into Gallia.
context: Yeah. The city's crawling with guards.\It won't be easy getting out of here.\We'll walk to Gallia.\Colbert-sensei?\Everyone, take a look at this map.\I'll first fly the Ostland to Germania, in the opposite direction of Gallia.\The military will think we're going to enter Gallia via Germania, so they'll come after me.\And that's when we take the chance to walk into Gallia. response:	Yes. Head over to the former territory of Orleans.
context: It won't be easy getting out of here.\We'll walk to Gallia.\Colbert-sensei?\Everyone, take a look at this map.\I'll first fly the Ostland to Germania, in the opposite direction of Gallia.\The military will think we're going to enter Gallia via Germania, so they'll come after me.\And that's when we take the chance to walk into Gallia.\Yes. Head over to the former territory of Orleans. response:	That is where Miss Tabitha's residence is.
context: We'll walk to Gallia.\Colbert-sensei?\Everyone, take a look at this map.\I'll first fly the Ostland to Germania, in the opposite direction of Gallia.\The military will think we're going to enter Gallia via Germania, so they'll come after me.\And that's when we take the chance to walk into Gallia.\Yes. Head over to the former territory of Orleans.\That is where Miss Tabitha's residence is. response:	We might find some clues there, is that the idea?
context: Colbert-sensei?\Everyone, take a look at this map.\I'll first fly the Ostland to Germania, in the opposite direction of Gallia.\The military will think we're going to enter Gallia via Germania, so they'll come after me.\And that's when we take the chance to walk into Gallia.\Yes. Head over to the former territory of Orleans.\That is where Miss Tabitha's residence is.\We might find some clues there, is that the idea? response:	I'm sure we'll find something.
context: Everyone, take a look at this map.\I'll first fly the Ostland to Germania, in the opposite direction of Gallia.\The military will think we're going to enter Gallia via Germania, so they'll come after me.\And that's when we take the chance to walk into Gallia.\Yes. Head over to the former territory of Orleans.\That is where Miss Tabitha's residence is.\We might find some clues there, is that the idea?\I'm sure we'll find something. response:	Yes.
context: I'll first fly the Ostland to Germania, in the opposite direction of Gallia.\The military will think we're going to enter Gallia via Germania, so they'll come after me.\And that's when we take the chance to walk into Gallia.\Yes. Head over to the former territory of Orleans.\That is where Miss Tabitha's residence is.\We might find some clues there, is that the idea?\I'm sure we'll find something.\Yes. response:	Hold on!
context: The military will think we're going to enter Gallia via Germania, so they'll come after me.\And that's when we take the chance to walk into Gallia.\Yes. Head over to the former territory of Orleans.\That is where Miss Tabitha's residence is.\We might find some clues there, is that the idea?\I'm sure we'll find something.\Yes.\Hold on! response:	Are you guys thinking of going all the way to Gallian Kingdom?
context: And that's when we take the chance to walk into Gallia.\Yes. Head over to the former territory of Orleans.\That is where Miss Tabitha's residence is.\We might find some clues there, is that the idea?\I'm sure we'll find something.\Yes.\Hold on!\Are you guys thinking of going all the way to Gallian Kingdom? response:	If you disobey the Queen that much, that will be a serious felony.
context: Yes. Head over to the former territory of Orleans.\That is where Miss Tabitha's residence is.\We might find some clues there, is that the idea?\I'm sure we'll find something.\Yes.\Hold on!\Are you guys thinking of going all the way to Gallian Kingdom?\If you disobey the Queen that much, that will be a serious felony. response:	Not only will they take your titles away,
context: That is where Miss Tabitha's residence is.\We might find some clues there, is that the idea?\I'm sure we'll find something.\Yes.\Hold on!\Are you guys thinking of going all the way to Gallian Kingdom?\If you disobey the Queen that much, that will be a serious felony.\Not only will they take your titles away, response:	but you might experience something even worse.
context: We might find some clues there, is that the idea?\I'm sure we'll find something.\Yes.\Hold on!\Are you guys thinking of going all the way to Gallian Kingdom?\If you disobey the Queen that much, that will be a serious felony.\Not only will they take your titles away,\but you might experience something even worse. response:	I-I wouldn't want that.
context: I'm sure we'll find something.\Yes.\Hold on!\Are you guys thinking of going all the way to Gallian Kingdom?\If you disobey the Queen that much, that will be a serious felony.\Not only will they take your titles away,\but you might experience something even worse.\I-I wouldn't want that. response:	Even so...
context: Yes.\Hold on!\Are you guys thinking of going all the way to Gallian Kingdom?\If you disobey the Queen that much, that will be a serious felony.\Not only will they take your titles away,\but you might experience something even worse.\I-I wouldn't want that.\Even so... response:	We still have to go!
context: Hold on!\Are you guys thinking of going all the way to Gallian Kingdom?\If you disobey the Queen that much, that will be a serious felony.\Not only will they take your titles away,\but you might experience something even worse.\I-I wouldn't want that.\Even so...\We still have to go! response:	Yeah. Since Tabitha's our friend.
context: Are you guys thinking of going all the way to Gallian Kingdom?\If you disobey the Queen that much, that will be a serious felony.\Not only will they take your titles away,\but you might experience something even worse.\I-I wouldn't want that.\Even so...\We still have to go!\Yeah. Since Tabitha's our friend. response:	She's my dear sister!
context: If you disobey the Queen that much, that will be a serious felony.\Not only will they take your titles away,\but you might experience something even worse.\I-I wouldn't want that.\Even so...\We still have to go!\Yeah. Since Tabitha's our friend.\She's my dear sister! response:	She's my best friend.
context: Not only will they take your titles away,\but you might experience something even worse.\I-I wouldn't want that.\Even so...\We still have to go!\Yeah. Since Tabitha's our friend.\She's my dear sister!\She's my best friend. response:	You can never find a cure for idiots.
context: but you might experience something even worse.\I-I wouldn't want that.\Even so...\We still have to go!\Yeah. Since Tabitha's our friend.\She's my dear sister!\She's my best friend.\You can never find a cure for idiots. response:	Oh fine.
context: I-I wouldn't want that.\Even so...\We still have to go!\Yeah. Since Tabitha's our friend.\She's my dear sister!\She's my best friend.\You can never find a cure for idiots.\Oh fine. response:	Jessica, give me a hand.
context: Even so...\We still have to go!\Yeah. Since Tabitha's our friend.\She's my dear sister!\She's my best friend.\You can never find a cure for idiots.\Oh fine.\Jessica, give me a hand. response:	But Sensei, to use the Ostland as a distraction,
context: We still have to go!\Yeah. Since Tabitha's our friend.\She's my dear sister!\She's my best friend.\You can never find a cure for idiots.\Oh fine.\Jessica, give me a hand.\But Sensei, to use the Ostland as a distraction, response:	we need to go back to the castle.
context: Yeah. Since Tabitha's our friend.\She's my dear sister!\She's my best friend.\You can never find a cure for idiots.\Oh fine.\Jessica, give me a hand.\But Sensei, to use the Ostland as a distraction,\we need to go back to the castle. response:	Yeah. By the timing of the escape,
context: She's my dear sister!\She's my best friend.\You can never find a cure for idiots.\Oh fine.\Jessica, give me a hand.\But Sensei, to use the Ostland as a distraction,\we need to go back to the castle.\Yeah. By the timing of the escape, response:	it's obvious the Ostland assisted in it.
context: She's my best friend.\You can never find a cure for idiots.\Oh fine.\Jessica, give me a hand.\But Sensei, to use the Ostland as a distraction,\we need to go back to the castle.\Yeah. By the timing of the escape,\it's obvious the Ostland assisted in it. response:	I'm sure guards have been stationed on it.
context: You can never find a cure for idiots.\Oh fine.\Jessica, give me a hand.\But Sensei, to use the Ostland as a distraction,\we need to go back to the castle.\Yeah. By the timing of the escape,\it's obvious the Ostland assisted in it.\I'm sure guards have been stationed on it. response:	Then what do we do?
context: Oh fine.\Jessica, give me a hand.\But Sensei, to use the Ostland as a distraction,\we need to go back to the castle.\Yeah. By the timing of the escape,\it's obvious the Ostland assisted in it.\I'm sure guards have been stationed on it.\Then what do we do? response:	Leave the Ostland to me. You should all make haste to Gallia.
context: Jessica, give me a hand.\But Sensei, to use the Ostland as a distraction,\we need to go back to the castle.\Yeah. By the timing of the escape,\it's obvious the Ostland assisted in it.\I'm sure guards have been stationed on it.\Then what do we do?\Leave the Ostland to me. You should all make haste to Gallia. response:	Jean! Are you serious about that?
context: But Sensei, to use the Ostland as a distraction,\we need to go back to the castle.\Yeah. By the timing of the escape,\it's obvious the Ostland assisted in it.\I'm sure guards have been stationed on it.\Then what do we do?\Leave the Ostland to me. You should all make haste to Gallia.\Jean! Are you serious about that? response:	I can't put you in such danger alone!
context: we need to go back to the castle.\Yeah. By the timing of the escape,\it's obvious the Ostland assisted in it.\I'm sure guards have been stationed on it.\Then what do we do?\Leave the Ostland to me. You should all make haste to Gallia.\Jean! Are you serious about that?\I can't put you in such danger alone! response:	He's right. We can't do that!
context: Yeah. By the timing of the escape,\it's obvious the Ostland assisted in it.\I'm sure guards have been stationed on it.\Then what do we do?\Leave the Ostland to me. You should all make haste to Gallia.\Jean! Are you serious about that?\I can't put you in such danger alone!\He's right. We can't do that! response:	Use your heads.
context: it's obvious the Ostland assisted in it.\I'm sure guards have been stationed on it.\Then what do we do?\Leave the Ostland to me. You should all make haste to Gallia.\Jean! Are you serious about that?\I can't put you in such danger alone!\He's right. We can't do that!\Use your heads. response:	The one in greatest danger now is Miss Tabitha.
context: I'm sure guards have been stationed on it.\Then what do we do?\Leave the Ostland to me. You should all make haste to Gallia.\Jean! Are you serious about that?\I can't put you in such danger alone!\He's right. We can't do that!\Use your heads.\The one in greatest danger now is Miss Tabitha. response:	We don't have time to lose by arguing.
context: Then what do we do?\Leave the Ostland to me. You should all make haste to Gallia.\Jean! Are you serious about that?\I can't put you in such danger alone!\He's right. We can't do that!\Use your heads.\The one in greatest danger now is Miss Tabitha.\We don't have time to lose by arguing. response:	Okay.
context: Leave the Ostland to me. You should all make haste to Gallia.\Jean! Are you serious about that?\I can't put you in such danger alone!\He's right. We can't do that!\Use your heads.\The one in greatest danger now is Miss Tabitha.\We don't have time to lose by arguing.\Okay. response:	Sensei!
context: Jean! Are you serious about that?\I can't put you in such danger alone!\He's right. We can't do that!\Use your heads.\The one in greatest danger now is Miss Tabitha.\We don't have time to lose by arguing.\Okay.\Sensei! response:	I'm coming with you!
context: I can't put you in such danger alone!\He's right. We can't do that!\Use your heads.\The one in greatest danger now is Miss Tabitha.\We don't have time to lose by arguing.\Okay.\Sensei!\I'm coming with you! response:	I think we can help with manoeuvring the Ostland.
context: He's right. We can't do that!\Use your heads.\The one in greatest danger now is Miss Tabitha.\We don't have time to lose by arguing.\Okay.\Sensei!\I'm coming with you!\I think we can help with manoeuvring the Ostland. response:	I'm sure we'll be of use.
context: Use your heads.\The one in greatest danger now is Miss Tabitha.\We don't have time to lose by arguing.\Okay.\Sensei!\I'm coming with you!\I think we can help with manoeuvring the Ostland.\I'm sure we'll be of use. response:	Thank you.
context: The one in greatest danger now is Miss Tabitha.\We don't have time to lose by arguing.\Okay.\Sensei!\I'm coming with you!\I think we can help with manoeuvring the Ostland.\I'm sure we'll be of use.\Thank you. response:	I'll go anywhere with you, Saito-san.
context: We don't have time to lose by arguing.\Okay.\Sensei!\I'm coming with you!\I think we can help with manoeuvring the Ostland.\I'm sure we'll be of use.\Thank you.\I'll go anywhere with you, Saito-san. response:	After all, I am your personal maid.
context: Okay.\Sensei!\I'm coming with you!\I think we can help with manoeuvring the Ostland.\I'm sure we'll be of use.\Thank you.\I'll go anywhere with you, Saito-san.\After all, I am your personal maid. response:	Siesta...
context: Sensei!\I'm coming with you!\I think we can help with manoeuvring the Ostland.\I'm sure we'll be of use.\Thank you.\I'll go anywhere with you, Saito-san.\After all, I am your personal maid.\Siesta... response:	Hey! Saito is no longer a chevalier,
context: I'm coming with you!\I think we can help with manoeuvring the Ostland.\I'm sure we'll be of use.\Thank you.\I'll go anywhere with you, Saito-san.\After all, I am your personal maid.\Siesta...\Hey! Saito is no longer a chevalier, response:	so he doesn't need a personal maid!
context: I think we can help with manoeuvring the Ostland.\I'm sure we'll be of use.\Thank you.\I'll go anywhere with you, Saito-san.\After all, I am your personal maid.\Siesta...\Hey! Saito is no longer a chevalier,\so he doesn't need a personal maid! response:	Being a chevalier has nothing to do with this!
context: I'm sure we'll be of use.\Thank you.\I'll go anywhere with you, Saito-san.\After all, I am your personal maid.\Siesta...\Hey! Saito is no longer a chevalier,\so he doesn't need a personal maid!\Being a chevalier has nothing to do with this! response:	You're no longer an aristocrat either.
context: Thank you.\I'll go anywhere with you, Saito-san.\After all, I am your personal maid.\Siesta...\Hey! Saito is no longer a chevalier,\so he doesn't need a personal maid!\Being a chevalier has nothing to do with this!\You're no longer an aristocrat either. response:	So I don't want to hear a plebeian boss me around.
context: I'll go anywhere with you, Saito-san.\After all, I am your personal maid.\Siesta...\Hey! Saito is no longer a chevalier,\so he doesn't need a personal maid!\Being a chevalier has nothing to do with this!\You're no longer an aristocrat either.\So I don't want to hear a plebeian boss me around. response:	Hey, both of you. Calm down.
context: After all, I am your personal maid.\Siesta...\Hey! Saito is no longer a chevalier,\so he doesn't need a personal maid!\Being a chevalier has nothing to do with this!\You're no longer an aristocrat either.\So I don't want to hear a plebeian boss me around.\Hey, both of you. Calm down. response:	It's not the time to argue over thing like this.
context: Siesta...\Hey! Saito is no longer a chevalier,\so he doesn't need a personal maid!\Being a chevalier has nothing to do with this!\You're no longer an aristocrat either.\So I don't want to hear a plebeian boss me around.\Hey, both of you. Calm down.\It's not the time to argue over thing like this. response:	Shut up!
context: Hey! Saito is no longer a chevalier,\so he doesn't need a personal maid!\Being a chevalier has nothing to do with this!\You're no longer an aristocrat either.\So I don't want to hear a plebeian boss me around.\Hey, both of you. Calm down.\It's not the time to argue over thing like this.\Shut up! response:	Shut up!
context: so he doesn't need a personal maid!\Being a chevalier has nothing to do with this!\You're no longer an aristocrat either.\So I don't want to hear a plebeian boss me around.\Hey, both of you. Calm down.\It's not the time to argue over thing like this.\Shut up!\Shut up! response:	First of all, what are you thinking?!
context: Being a chevalier has nothing to do with this!\You're no longer an aristocrat either.\So I don't want to hear a plebeian boss me around.\Hey, both of you. Calm down.\It's not the time to argue over thing like this.\Shut up!\Shut up!\First of all, what are you thinking?! response:	Um...
context: You're no longer an aristocrat either.\So I don't want to hear a plebeian boss me around.\Hey, both of you. Calm down.\It's not the time to argue over thing like this.\Shut up!\Shut up!\First of all, what are you thinking?!\Um... response:	Yes! You make the choice!
context: So I don't want to hear a plebeian boss me around.\Hey, both of you. Calm down.\It's not the time to argue over thing like this.\Shut up!\Shut up!\First of all, what are you thinking?!\Um...\Yes! You make the choice! response:	I'm amazed how they can keep going with that.
context: Hey, both of you. Calm down.\It's not the time to argue over thing like this.\Shut up!\Shut up!\First of all, what are you thinking?!\Um...\Yes! You make the choice!\I'm amazed how they can keep going with that. response:	I'm so jealous of him.
context: It's not the time to argue over thing like this.\Shut up!\Shut up!\First of all, what are you thinking?!\Um...\Yes! You make the choice!\I'm amazed how they can keep going with that.\I'm so jealous of him. response:	Hey, where did Jessica and Scarron go?
context: Shut up!\Shut up!\First of all, what are you thinking?!\Um...\Yes! You make the choice!\I'm amazed how they can keep going with that.\I'm so jealous of him.\Hey, where did Jessica and Scarron go? response:	Everyone.
context: Shut up!\First of all, what are you thinking?!\Um...\Yes! You make the choice!\I'm amazed how they can keep going with that.\I'm so jealous of him.\Hey, where did Jessica and Scarron go?\Everyone. response:	Sorry for the wait.
context: First of all, what are you thinking?!\Um...\Yes! You make the choice!\I'm amazed how they can keep going with that.\I'm so jealous of him.\Hey, where did Jessica and Scarron go?\Everyone.\Sorry for the wait. response:	What's all that?
