context: Original Translation by Triad/ Softsub by Urusai response:	Sign: Rumors about Yano...
context: Hey, anyone?\Anyone have change for 5,000 yen?\Yano just doesn't change...\I guess it's to be expected.\Since we met, Yano's just been like that.\I guess I just don't know anything about him yet...\See you!\Bye bye! response:	That committee meeting lasted longer than I expected...
context: Anyone have change for 5,000 yen?\Yano just doesn't change...\I guess it's to be expected.\Since we met, Yano's just been like that.\I guess I just don't know anything about him yet...\See you!\Bye bye!\That committee meeting lasted longer than I expected... response:	What class was she in again...?
context: Yano just doesn't change...\I guess it's to be expected.\Since we met, Yano's just been like that.\I guess I just don't know anything about him yet...\See you!\Bye bye!\That committee meeting lasted longer than I expected...\What class was she in again...? response:	Class 3-5.
context: I guess it's to be expected.\Since we met, Yano's just been like that.\I guess I just don't know anything about him yet...\See you!\Bye bye!\That committee meeting lasted longer than I expected...\What class was she in again...?\Class 3-5. response:	I'm sorry, Yano...
context: Since we met, Yano's just been like that.\I guess I just don't know anything about him yet...\See you!\Bye bye!\That committee meeting lasted longer than I expected...\What class was she in again...?\Class 3-5.\I'm sorry, Yano... response:	I was just curious...
context: I guess I just don't know anything about him yet...\See you!\Bye bye!\That committee meeting lasted longer than I expected...\What class was she in again...?\Class 3-5.\I'm sorry, Yano...\I was just curious... response:	This must look pretty bad.
context: See you!\Bye bye!\That committee meeting lasted longer than I expected...\What class was she in again...?\Class 3-5.\I'm sorry, Yano...\I was just curious...\This must look pretty bad. response:	Book: Asahi Middle School Yearbook
context: Bye bye!\That committee meeting lasted longer than I expected...\What class was she in again...?\Class 3-5.\I'm sorry, Yano...\I was just curious...\This must look pretty bad.\Book: Asahi Middle School Yearbook response:	Show me that.
context: That committee meeting lasted longer than I expected...\What class was she in again...?\Class 3-5.\I'm sorry, Yano...\I was just curious...\This must look pretty bad.\Book: Asahi Middle School Yearbook\Show me that. response:	I still haven't looked at it myself.
context: What class was she in again...?\Class 3-5.\I'm sorry, Yano...\I was just curious...\This must look pretty bad.\Book: Asahi Middle School Yearbook\Show me that.\I still haven't looked at it myself. response:	Wanna see?
context: Class 3-5.\I'm sorry, Yano...\I was just curious...\This must look pretty bad.\Book: Asahi Middle School Yearbook\Show me that.\I still haven't looked at it myself.\Wanna see? response:	Not really!
context: I'm sorry, Yano...\I was just curious...\This must look pretty bad.\Book: Asahi Middle School Yearbook\Show me that.\I still haven't looked at it myself.\Wanna see?\Not really! response:	I guess I do!
context: I was just curious...\This must look pretty bad.\Book: Asahi Middle School Yearbook\Show me that.\I still haven't looked at it myself.\Wanna see?\Not really!\I guess I do! response:	Though I didn't want to see it under these circumstances...
context: This must look pretty bad.\Book: Asahi Middle School Yearbook\Show me that.\I still haven't looked at it myself.\Wanna see?\Not really!\I guess I do!\Though I didn't want to see it under these circumstances... response:	Since I don't know what kind of expression to-
context: Book: Asahi Middle School Yearbook\Show me that.\I still haven't looked at it myself.\Wanna see?\Not really!\I guess I do!\Though I didn't want to see it under these circumstances...\Since I don't know what kind of expression to- response:	Yamamoto Nana
context: Show me that.\I still haven't looked at it myself.\Wanna see?\Not really!\I guess I do!\Though I didn't want to see it under these circumstances...\Since I don't know what kind of expression to-\Yamamoto Nana response:	He only goes for pretty faces!
context: I still haven't looked at it myself.\Wanna see?\Not really!\I guess I do!\Though I didn't want to see it under these circumstances...\Since I don't know what kind of expression to-\Yamamoto Nana\He only goes for pretty faces! response:	Surprised
context: Wanna see?\Not really!\I guess I do!\Though I didn't want to see it under these circumstances...\Since I don't know what kind of expression to-\Yamamoto Nana\He only goes for pretty faces!\Surprised response:	Surprised
context: Not really!\I guess I do!\Though I didn't want to see it under these circumstances...\Since I don't know what kind of expression to-\Yamamoto Nana\He only goes for pretty faces!\Surprised\Surprised response:	S-She's really pretty, isn't she?
context: I guess I do!\Though I didn't want to see it under these circumstances...\Since I don't know what kind of expression to-\Yamamoto Nana\He only goes for pretty faces!\Surprised\Surprised\S-She's really pretty, isn't she? response:	Yeah, but this is nothing. In person, she's even prettier.
context: Though I didn't want to see it under these circumstances...\Since I don't know what kind of expression to-\Yamamoto Nana\He only goes for pretty faces!\Surprised\Surprised\S-She's really pretty, isn't she?\Yeah, but this is nothing. In person, she's even prettier. response:	I-It's over...
context: Since I don't know what kind of expression to-\Yamamoto Nana\He only goes for pretty faces!\Surprised\Surprised\S-She's really pretty, isn't she?\Yeah, but this is nothing. In person, she's even prettier.\I-It's over... response:	I've completely lost to her.
context: Yamamoto Nana\He only goes for pretty faces!\Surprised\Surprised\S-She's really pretty, isn't she?\Yeah, but this is nothing. In person, she's even prettier.\I-It's over...\I've completely lost to her. response:	She doesn't really... resemble Yamamoto-san, huh?
context: He only goes for pretty faces!\Surprised\Surprised\S-She's really pretty, isn't she?\Yeah, but this is nothing. In person, she's even prettier.\I-It's over...\I've completely lost to her.\She doesn't really... resemble Yamamoto-san, huh? response:	I guess not.
context: Surprised\Surprised\S-She's really pretty, isn't she?\Yeah, but this is nothing. In person, she's even prettier.\I-It's over...\I've completely lost to her.\She doesn't really... resemble Yamamoto-san, huh?\I guess not. response:	Which one of you fell for the other first?
context: Surprised\S-She's really pretty, isn't she?\Yeah, but this is nothing. In person, she's even prettier.\I-It's over...\I've completely lost to her.\She doesn't really... resemble Yamamoto-san, huh?\I guess not.\Which one of you fell for the other first? response:	Me. It was love at first sight.
context: S-She's really pretty, isn't she?\Yeah, but this is nothing. In person, she's even prettier.\I-It's over...\I've completely lost to her.\She doesn't really... resemble Yamamoto-san, huh?\I guess not.\Which one of you fell for the other first?\Me. It was love at first sight. response:	So you started dating right away?
context: Yeah, but this is nothing. In person, she's even prettier.\I-It's over...\I've completely lost to her.\She doesn't really... resemble Yamamoto-san, huh?\I guess not.\Which one of you fell for the other first?\Me. It was love at first sight.\So you started dating right away? response:	No, it took a while. She had a boyfriend at the time.
context: I-It's over...\I've completely lost to her.\She doesn't really... resemble Yamamoto-san, huh?\I guess not.\Which one of you fell for the other first?\Me. It was love at first sight.\So you started dating right away?\No, it took a while. She had a boyfriend at the time. response:	Did you steal her away?
context: I've completely lost to her.\She doesn't really... resemble Yamamoto-san, huh?\I guess not.\Which one of you fell for the other first?\Me. It was love at first sight.\So you started dating right away?\No, it took a while. She had a boyfriend at the time.\Did you steal her away? response:	That's right!
context: She doesn't really... resemble Yamamoto-san, huh?\I guess not.\Which one of you fell for the other first?\Me. It was love at first sight.\So you started dating right away?\No, it took a while. She had a boyfriend at the time.\Did you steal her away?\That's right! response:	Er, are you trying to make me look bad?
context: I guess not.\Which one of you fell for the other first?\Me. It was love at first sight.\So you started dating right away?\No, it took a while. She had a boyfriend at the time.\Did you steal her away?\That's right!\Er, are you trying to make me look bad? response:	What is it?
context: Which one of you fell for the other first?\Me. It was love at first sight.\So you started dating right away?\No, it took a while. She had a boyfriend at the time.\Did you steal her away?\That's right!\Er, are you trying to make me look bad?\What is it? response:	Nothing...
context: Me. It was love at first sight.\So you started dating right away?\No, it took a while. She had a boyfriend at the time.\Did you steal her away?\That's right!\Er, are you trying to make me look bad?\What is it?\Nothing... response:	I've just never seen Yano so fixated on one thing before...
context: So you started dating right away?\No, it took a while. She had a boyfriend at the time.\Did you steal her away?\That's right!\Er, are you trying to make me look bad?\What is it?\Nothing...\I've just never seen Yano so fixated on one thing before... response:	You must have loved to brag about her, huh?
context: No, it took a while. She had a boyfriend at the time.\Did you steal her away?\That's right!\Er, are you trying to make me look bad?\What is it?\Nothing...\I've just never seen Yano so fixated on one thing before...\You must have loved to brag about her, huh? response:	She was my first. The first I'd ever really loved.
context: Did you steal her away?\That's right!\Er, are you trying to make me look bad?\What is it?\Nothing...\I've just never seen Yano so fixated on one thing before...\You must have loved to brag about her, huh?\She was my first. The first I'd ever really loved. response:	My chest hurt, but since Yano smiled as he talked, it quickly settled down.
context: That's right!\Er, are you trying to make me look bad?\What is it?\Nothing...\I've just never seen Yano so fixated on one thing before...\You must have loved to brag about her, huh?\She was my first. The first I'd ever really loved.\My chest hurt, but since Yano smiled as he talked, it quickly settled down. response:	I probably didn't want to accept it...
context: Er, are you trying to make me look bad?\What is it?\Nothing...\I've just never seen Yano so fixated on one thing before...\You must have loved to brag about her, huh?\She was my first. The first I'd ever really loved.\My chest hurt, but since Yano smiled as he talked, it quickly settled down.\I probably didn't want to accept it... response:	The existence of someone Yano loved...
context: What is it?\Nothing...\I've just never seen Yano so fixated on one thing before...\You must have loved to brag about her, huh?\She was my first. The first I'd ever really loved.\My chest hurt, but since Yano smiled as he talked, it quickly settled down.\I probably didn't want to accept it...\The existence of someone Yano loved... response:	Yano, I...
context: Nothing...\I've just never seen Yano so fixated on one thing before...\You must have loved to brag about her, huh?\She was my first. The first I'd ever really loved.\My chest hurt, but since Yano smiled as he talked, it quickly settled down.\I probably didn't want to accept it...\The existence of someone Yano loved...\Yano, I... response:	I think I might like you...
context: I've just never seen Yano so fixated on one thing before...\You must have loved to brag about her, huh?\She was my first. The first I'd ever really loved.\My chest hurt, but since Yano smiled as he talked, it quickly settled down.\I probably didn't want to accept it...\The existence of someone Yano loved...\Yano, I...\I think I might like you... response:	Just ignore me! I just wanted to try sayin-
context: You must have loved to brag about her, huh?\She was my first. The first I'd ever really loved.\My chest hurt, but since Yano smiled as he talked, it quickly settled down.\I probably didn't want to accept it...\The existence of someone Yano loved...\Yano, I...\I think I might like you...\Just ignore me! I just wanted to try sayin- response:	Then, wanna go out?
context: She was my first. The first I'd ever really loved.\My chest hurt, but since Yano smiled as he talked, it quickly settled down.\I probably didn't want to accept it...\The existence of someone Yano loved...\Yano, I...\I think I might like you...\Just ignore me! I just wanted to try sayin-\Then, wanna go out? response:	H-Huh? W-Wait a sec...
context: My chest hurt, but since Yano smiled as he talked, it quickly settled down.\I probably didn't want to accept it...\The existence of someone Yano loved...\Yano, I...\I think I might like you...\Just ignore me! I just wanted to try sayin-\Then, wanna go out?\H-Huh? W-Wait a sec... response:	You really like me back?
context: I probably didn't want to accept it...\The existence of someone Yano loved...\Yano, I...\I think I might like you...\Just ignore me! I just wanted to try sayin-\Then, wanna go out?\H-Huh? W-Wait a sec...\You really like me back? response:	Yeah.
context: The existence of someone Yano loved...\Yano, I...\I think I might like you...\Just ignore me! I just wanted to try sayin-\Then, wanna go out?\H-Huh? W-Wait a sec...\You really like me back?\Yeah. response:	W-Wait a second! You hesitated!
context: Yano, I...\I think I might like you...\Just ignore me! I just wanted to try sayin-\Then, wanna go out?\H-Huh? W-Wait a sec...\You really like me back?\Yeah.\W-Wait a second! You hesitated! response:	Did not.
context: I think I might like you...\Just ignore me! I just wanted to try sayin-\Then, wanna go out?\H-Huh? W-Wait a sec...\You really like me back?\Yeah.\W-Wait a second! You hesitated!\Did not. response:	Did too! You definitely did!
context: Just ignore me! I just wanted to try sayin-\Then, wanna go out?\H-Huh? W-Wait a sec...\You really like me back?\Yeah.\W-Wait a second! You hesitated!\Did not.\Did too! You definitely did! response:	Forget it!
context: Then, wanna go out?\H-Huh? W-Wait a sec...\You really like me back?\Yeah.\W-Wait a second! You hesitated!\Did not.\Did too! You definitely did!\Forget it! response:	No.
context: H-Huh? W-Wait a sec...\You really like me back?\Yeah.\W-Wait a second! You hesitated!\Did not.\Did too! You definitely did!\Forget it!\No. response:	Do you really like me?
context: You really like me back?\Yeah.\W-Wait a second! You hesitated!\Did not.\Did too! You definitely did!\Forget it!\No.\Do you really like me? response:	Yeah, I guess.
context: Yeah.\W-Wait a second! You hesitated!\Did not.\Did too! You definitely did!\Forget it!\No.\Do you really like me?\Yeah, I guess. response:	Not that sort of like.
context: W-Wait a second! You hesitated!\Did not.\Did too! You definitely did!\Forget it!\No.\Do you really like me?\Yeah, I guess.\Not that sort of like. response:	I'm asking if you really, really like me.
context: Did not.\Did too! You definitely did!\Forget it!\No.\Do you really like me?\Yeah, I guess.\Not that sort of like.\I'm asking if you really, really like me. response:	I'm sorry... I don't know.
context: Did too! You definitely did!\Forget it!\No.\Do you really like me?\Yeah, I guess.\Not that sort of like.\I'm asking if you really, really like me.\I'm sorry... I don't know. response:	What's up with that...?
context: Forget it!\No.\Do you really like me?\Yeah, I guess.\Not that sort of like.\I'm asking if you really, really like me.\I'm sorry... I don't know.\What's up with that...? response:	Then, let's just forget it.
context: No.\Do you really like me?\Yeah, I guess.\Not that sort of like.\I'm asking if you really, really like me.\I'm sorry... I don't know.\What's up with that...?\Then, let's just forget it. response:	I don't want something like that.
context: Do you really like me?\Yeah, I guess.\Not that sort of like.\I'm asking if you really, really like me.\I'm sorry... I don't know.\What's up with that...?\Then, let's just forget it.\I don't want something like that. response:	If we're going to go out, I want you to like me back...
context: Yeah, I guess.\Not that sort of like.\I'm asking if you really, really like me.\I'm sorry... I don't know.\What's up with that...?\Then, let's just forget it.\I don't want something like that.\If we're going to go out, I want you to like me back... response:	Okay.
context: Not that sort of like.\I'm asking if you really, really like me.\I'm sorry... I don't know.\What's up with that...?\Then, let's just forget it.\I don't want something like that.\If we're going to go out, I want you to like me back...\Okay. response:	Okay?
