context: Sosomme Tiextrira! response:	It's upside-down!
context: Chariot must have partaken in forbidden love.\Chariot isn't dumb enough to let that happen!\How embarrassing, it's been so long since I had a visitor.\Professor, you're an alumna here, right?\What?\Or were you even classmates, maybe?\Well...\I can't believe it was true. response:	Wow! What kind of person was Chariot? Did she stand out in class?
context: Chariot isn't dumb enough to let that happen!\How embarrassing, it's been so long since I had a visitor.\Professor, you're an alumna here, right?\What?\Or were you even classmates, maybe?\Well...\I can't believe it was true.\Wow! What kind of person was Chariot? Did she stand out in class? response:	She must've been so pretty.
context: How embarrassing, it's been so long since I had a visitor.\Professor, you're an alumna here, right?\What?\Or were you even classmates, maybe?\Well...\I can't believe it was true.\Wow! What kind of person was Chariot? Did she stand out in class?\She must've been so pretty. response:	Why did Chariot disappear? Where is she, and what is she doing?
context: Professor, you're an alumna here, right?\What?\Or were you even classmates, maybe?\Well...\I can't believe it was true.\Wow! What kind of person was Chariot? Did she stand out in class?\She must've been so pretty.\Why did Chariot disappear? Where is she, and what is she doing? response:	Ever since I saw her show, it's been my dream to be like Shiny Chariot.
context: What?\Or were you even classmates, maybe?\Well...\I can't believe it was true.\Wow! What kind of person was Chariot? Did she stand out in class?\She must've been so pretty.\Why did Chariot disappear? Where is she, and what is she doing?\Ever since I saw her show, it's been my dream to be like Shiny Chariot. response:	And once, she said to me, Fedoarae Afergou.
context: Or were you even classmates, maybe?\Well...\I can't believe it was true.\Wow! What kind of person was Chariot? Did she stand out in class?\She must've been so pretty.\Why did Chariot disappear? Where is she, and what is she doing?\Ever since I saw her show, it's been my dream to be like Shiny Chariot.\And once, she said to me, Fedoarae Afergou. response:	Fedoarae Afergou?
context: Well...\I can't believe it was true.\Wow! What kind of person was Chariot? Did she stand out in class?\She must've been so pretty.\Why did Chariot disappear? Where is she, and what is she doing?\Ever since I saw her show, it's been my dream to be like Shiny Chariot.\And once, she said to me, Fedoarae Afergou.\Fedoarae Afergou? response:	Reach for what you dream of and you reach in vain. Work for what you dream of, day after day, and it is yours to grasp.
context: I can't believe it was true.\Wow! What kind of person was Chariot? Did she stand out in class?\She must've been so pretty.\Why did Chariot disappear? Where is she, and what is she doing?\Ever since I saw her show, it's been my dream to be like Shiny Chariot.\And once, she said to me, Fedoarae Afergou.\Fedoarae Afergou?\Reach for what you dream of and you reach in vain. Work for what you dream of, day after day, and it is yours to grasp. response:	That which is dreamed cannot be grasped. Only what is worked for one step at a time may be obtained.
context: Wow! What kind of person was Chariot? Did she stand out in class?\She must've been so pretty.\Why did Chariot disappear? Where is she, and what is she doing?\Ever since I saw her show, it's been my dream to be like Shiny Chariot.\And once, she said to me, Fedoarae Afergou.\Fedoarae Afergou?\Reach for what you dream of and you reach in vain. Work for what you dream of, day after day, and it is yours to grasp.\That which is dreamed cannot be grasped. Only what is worked for one step at a time may be obtained. response:	But open your hands and there you will find the fruits of your daily efforts.
context: She must've been so pretty.\Why did Chariot disappear? Where is she, and what is she doing?\Ever since I saw her show, it's been my dream to be like Shiny Chariot.\And once, she said to me, Fedoarae Afergou.\Fedoarae Afergou?\Reach for what you dream of and you reach in vain. Work for what you dream of, day after day, and it is yours to grasp.\That which is dreamed cannot be grasped. Only what is worked for one step at a time may be obtained.\But open your hands and there you will find the fruits of your daily efforts. response:	In any case, you should keep the Shiny Rod close to your heart.
context: Why did Chariot disappear? Where is she, and what is she doing?\Ever since I saw her show, it's been my dream to be like Shiny Chariot.\And once, she said to me, Fedoarae Afergou.\Fedoarae Afergou?\Reach for what you dream of and you reach in vain. Work for what you dream of, day after day, and it is yours to grasp.\That which is dreamed cannot be grasped. Only what is worked for one step at a time may be obtained.\But open your hands and there you will find the fruits of your daily efforts.\In any case, you should keep the Shiny Rod close to your heart. response:	In the meanwhile, take good care of the Shiny Rod.
context: Ever since I saw her show, it's been my dream to be like Shiny Chariot.\And once, she said to me, Fedoarae Afergou.\Fedoarae Afergou?\Reach for what you dream of and you reach in vain. Work for what you dream of, day after day, and it is yours to grasp.\That which is dreamed cannot be grasped. Only what is worked for one step at a time may be obtained.\But open your hands and there you will find the fruits of your daily efforts.\In any case, you should keep the Shiny Rod close to your heart.\In the meanwhile, take good care of the Shiny Rod. response:	The moon's shining so bright!
context: And once, she said to me, Fedoarae Afergou.\Fedoarae Afergou?\Reach for what you dream of and you reach in vain. Work for what you dream of, day after day, and it is yours to grasp.\That which is dreamed cannot be grasped. Only what is worked for one step at a time may be obtained.\But open your hands and there you will find the fruits of your daily efforts.\In any case, you should keep the Shiny Rod close to your heart.\In the meanwhile, take good care of the Shiny Rod.\The moon's shining so bright! response:	The moon is so big.
context: Fedoarae Afergou?\Reach for what you dream of and you reach in vain. Work for what you dream of, day after day, and it is yours to grasp.\That which is dreamed cannot be grasped. Only what is worked for one step at a time may be obtained.\But open your hands and there you will find the fruits of your daily efforts.\In any case, you should keep the Shiny Rod close to your heart.\In the meanwhile, take good care of the Shiny Rod.\The moon's shining so bright!\The moon is so big. response:	They founded this school in an era when magic was still in abundance.
context: Reach for what you dream of and you reach in vain. Work for what you dream of, day after day, and it is yours to grasp.\That which is dreamed cannot be grasped. Only what is worked for one step at a time may be obtained.\But open your hands and there you will find the fruits of your daily efforts.\In any case, you should keep the Shiny Rod close to your heart.\In the meanwhile, take good care of the Shiny Rod.\The moon's shining so bright!\The moon is so big.\They founded this school in an era when magic was still in abundance. response:	That was sixteen-hundred years ago, back when Luna Nova existed in its full glory.
context: That which is dreamed cannot be grasped. Only what is worked for one step at a time may be obtained.\But open your hands and there you will find the fruits of your daily efforts.\In any case, you should keep the Shiny Rod close to your heart.\In the meanwhile, take good care of the Shiny Rod.\The moon's shining so bright!\The moon is so big.\They founded this school in an era when magic was still in abundance.\That was sixteen-hundred years ago, back when Luna Nova existed in its full glory. response:	I was unable to find it in the library, and hoped that you might know of its whereabouts.
context: But open your hands and there you will find the fruits of your daily efforts.\In any case, you should keep the Shiny Rod close to your heart.\In the meanwhile, take good care of the Shiny Rod.\The moon's shining so bright!\The moon is so big.\They founded this school in an era when magic was still in abundance.\That was sixteen-hundred years ago, back when Luna Nova existed in its full glory.\I was unable to find it in the library, and hoped that you might know of its whereabouts. response:	Ah, yesDiana?
context: In any case, you should keep the Shiny Rod close to your heart.\In the meanwhile, take good care of the Shiny Rod.\The moon's shining so bright!\The moon is so big.\They founded this school in an era when magic was still in abundance.\That was sixteen-hundred years ago, back when Luna Nova existed in its full glory.\I was unable to find it in the library, and hoped that you might know of its whereabouts.\Ah, yesDiana? response:	Fedoarae Afergou.
context: In the meanwhile, take good care of the Shiny Rod.\The moon's shining so bright!\The moon is so big.\They founded this school in an era when magic was still in abundance.\That was sixteen-hundred years ago, back when Luna Nova existed in its full glory.\I was unable to find it in the library, and hoped that you might know of its whereabouts.\Ah, yesDiana?\Fedoarae Afergou. response:	Reach for what you dream of and you reach in vain. Work for what you dream of, day after day, and it is yours to grasp.
context: The moon's shining so bright!\The moon is so big.\They founded this school in an era when magic was still in abundance.\That was sixteen-hundred years ago, back when Luna Nova existed in its full glory.\I was unable to find it in the library, and hoped that you might know of its whereabouts.\Ah, yesDiana?\Fedoarae Afergou.\Reach for what you dream of and you reach in vain. Work for what you dream of, day after day, and it is yours to grasp. response:	That which is dreamed cannot be grasped. Only what is worked for one step at a time may be obtained.
context: The moon is so big.\They founded this school in an era when magic was still in abundance.\That was sixteen-hundred years ago, back when Luna Nova existed in its full glory.\I was unable to find it in the library, and hoped that you might know of its whereabouts.\Ah, yesDiana?\Fedoarae Afergou.\Reach for what you dream of and you reach in vain. Work for what you dream of, day after day, and it is yours to grasp.\That which is dreamed cannot be grasped. Only what is worked for one step at a time may be obtained. response:	The apparition of yore, appearing only during a blue moon
context: They founded this school in an era when magic was still in abundance.\That was sixteen-hundred years ago, back when Luna Nova existed in its full glory.\I was unable to find it in the library, and hoped that you might know of its whereabouts.\Ah, yesDiana?\Fedoarae Afergou.\Reach for what you dream of and you reach in vain. Work for what you dream of, day after day, and it is yours to grasp.\That which is dreamed cannot be grasped. Only what is worked for one step at a time may be obtained.\The apparition of yore, appearing only during a blue moon response:	It will answer the questions of those who can appease it with its boundless knowledge.
context: That was sixteen-hundred years ago, back when Luna Nova existed in its full glory.\I was unable to find it in the library, and hoped that you might know of its whereabouts.\Ah, yesDiana?\Fedoarae Afergou.\Reach for what you dream of and you reach in vain. Work for what you dream of, day after day, and it is yours to grasp.\That which is dreamed cannot be grasped. Only what is worked for one step at a time may be obtained.\The apparition of yore, appearing only during a blue moon\It will answer the questions of those who can appease it with its boundless knowledge. response:	Tonight is my only chance for several years.
context: I was unable to find it in the library, and hoped that you might know of its whereabouts.\Ah, yesDiana?\Fedoarae Afergou.\Reach for what you dream of and you reach in vain. Work for what you dream of, day after day, and it is yours to grasp.\That which is dreamed cannot be grasped. Only what is worked for one step at a time may be obtained.\The apparition of yore, appearing only during a blue moon\It will answer the questions of those who can appease it with its boundless knowledge.\Tonight is my only chance for several years. response:	The apparition will appear in the Blue Moon Abyss.
context: Ah, yesDiana?\Fedoarae Afergou.\Reach for what you dream of and you reach in vain. Work for what you dream of, day after day, and it is yours to grasp.\That which is dreamed cannot be grasped. Only what is worked for one step at a time may be obtained.\The apparition of yore, appearing only during a blue moon\It will answer the questions of those who can appease it with its boundless knowledge.\Tonight is my only chance for several years.\The apparition will appear in the Blue Moon Abyss. response:	At the base of Luna Nova's New Moon Tower,
context: Fedoarae Afergou.\Reach for what you dream of and you reach in vain. Work for what you dream of, day after day, and it is yours to grasp.\That which is dreamed cannot be grasped. Only what is worked for one step at a time may be obtained.\The apparition of yore, appearing only during a blue moon\It will answer the questions of those who can appease it with its boundless knowledge.\Tonight is my only chance for several years.\The apparition will appear in the Blue Moon Abyss.\At the base of Luna Nova's New Moon Tower, response:	underneath the chapel, lies a cave known as the Blue Moon Abyss.
context: Reach for what you dream of and you reach in vain. Work for what you dream of, day after day, and it is yours to grasp.\That which is dreamed cannot be grasped. Only what is worked for one step at a time may be obtained.\The apparition of yore, appearing only during a blue moon\It will answer the questions of those who can appease it with its boundless knowledge.\Tonight is my only chance for several years.\The apparition will appear in the Blue Moon Abyss.\At the base of Luna Nova's New Moon Tower,\underneath the chapel, lies a cave known as the Blue Moon Abyss. response:	That is where the apparition will appear.
context: That which is dreamed cannot be grasped. Only what is worked for one step at a time may be obtained.\The apparition of yore, appearing only during a blue moon\It will answer the questions of those who can appease it with its boundless knowledge.\Tonight is my only chance for several years.\The apparition will appear in the Blue Moon Abyss.\At the base of Luna Nova's New Moon Tower,\underneath the chapel, lies a cave known as the Blue Moon Abyss.\That is where the apparition will appear. response:	According to legend, the entrance to the cave only opens on the night of a blue moon.
context: The apparition of yore, appearing only during a blue moon\It will answer the questions of those who can appease it with its boundless knowledge.\Tonight is my only chance for several years.\The apparition will appear in the Blue Moon Abyss.\At the base of Luna Nova's New Moon Tower,\underneath the chapel, lies a cave known as the Blue Moon Abyss.\That is where the apparition will appear.\According to legend, the entrance to the cave only opens on the night of a blue moon. response:	There exists a hidden art that witches have passed down from the age of megaliths.
context: It will answer the questions of those who can appease it with its boundless knowledge.\Tonight is my only chance for several years.\The apparition will appear in the Blue Moon Abyss.\At the base of Luna Nova's New Moon Tower,\underneath the chapel, lies a cave known as the Blue Moon Abyss.\That is where the apparition will appear.\According to legend, the entrance to the cave only opens on the night of a blue moon.\There exists a hidden art that witches have passed down from the age of megaliths. response:	The hidden art known as the Grand Triskelion has the power to change the world.
context: Tonight is my only chance for several years.\The apparition will appear in the Blue Moon Abyss.\At the base of Luna Nova's New Moon Tower,\underneath the chapel, lies a cave known as the Blue Moon Abyss.\That is where the apparition will appear.\According to legend, the entrance to the cave only opens on the night of a blue moon.\There exists a hidden art that witches have passed down from the age of megaliths.\The hidden art known as the Grand Triskelion has the power to change the world. response:	In the seventh century, the Nine Olde Witches sealed the Grand Triskelion within Arcturus.
context: The apparition will appear in the Blue Moon Abyss.\At the base of Luna Nova's New Moon Tower,\underneath the chapel, lies a cave known as the Blue Moon Abyss.\That is where the apparition will appear.\According to legend, the entrance to the cave only opens on the night of a blue moon.\There exists a hidden art that witches have passed down from the age of megaliths.\The hidden art known as the Grand Triskelion has the power to change the world.\In the seventh century, the Nine Olde Witches sealed the Grand Triskelion within Arcturus. response:	Only the staff bearing the seven stars, Claiomh Solais, may break the seal.
context: At the base of Luna Nova's New Moon Tower,\underneath the chapel, lies a cave known as the Blue Moon Abyss.\That is where the apparition will appear.\According to legend, the entrance to the cave only opens on the night of a blue moon.\There exists a hidden art that witches have passed down from the age of megaliths.\The hidden art known as the Grand Triskelion has the power to change the world.\In the seventh century, the Nine Olde Witches sealed the Grand Triskelion within Arcturus.\Only the staff bearing the seven stars, Claiomh Solais, may break the seal. response:	Only the staff bearing seven stars, Claiomh Solais, may break the seal.
context: underneath the chapel, lies a cave known as the Blue Moon Abyss.\That is where the apparition will appear.\According to legend, the entrance to the cave only opens on the night of a blue moon.\There exists a hidden art that witches have passed down from the age of megaliths.\The hidden art known as the Grand Triskelion has the power to change the world.\In the seventh century, the Nine Olde Witches sealed the Grand Triskelion within Arcturus.\Only the staff bearing the seven stars, Claiomh Solais, may break the seal.\Only the staff bearing seven stars, Claiomh Solais, may break the seal. response:	To use it, one must speak the seven Words of Arcturus.
context: That is where the apparition will appear.\According to legend, the entrance to the cave only opens on the night of a blue moon.\There exists a hidden art that witches have passed down from the age of megaliths.\The hidden art known as the Grand Triskelion has the power to change the world.\In the seventh century, the Nine Olde Witches sealed the Grand Triskelion within Arcturus.\Only the staff bearing the seven stars, Claiomh Solais, may break the seal.\Only the staff bearing seven stars, Claiomh Solais, may break the seal.\To use it, one must speak the seven Words of Arcturus. response:	Noctu Orfei Aude Fraetor.
context: According to legend, the entrance to the cave only opens on the night of a blue moon.\There exists a hidden art that witches have passed down from the age of megaliths.\The hidden art known as the Grand Triskelion has the power to change the world.\In the seventh century, the Nine Olde Witches sealed the Grand Triskelion within Arcturus.\Only the staff bearing the seven stars, Claiomh Solais, may break the seal.\Only the staff bearing seven stars, Claiomh Solais, may break the seal.\To use it, one must speak the seven Words of Arcturus.\Noctu Orfei Aude Fraetor. response:	Strive for utopia.
context: There exists a hidden art that witches have passed down from the age of megaliths.\The hidden art known as the Grand Triskelion has the power to change the world.\In the seventh century, the Nine Olde Witches sealed the Grand Triskelion within Arcturus.\Only the staff bearing the seven stars, Claiomh Solais, may break the seal.\Only the staff bearing seven stars, Claiomh Solais, may break the seal.\To use it, one must speak the seven Words of Arcturus.\Noctu Orfei Aude Fraetor.\Strive for utopia. response:	You're a lie.
context: The hidden art known as the Grand Triskelion has the power to change the world.\In the seventh century, the Nine Olde Witches sealed the Grand Triskelion within Arcturus.\Only the staff bearing the seven stars, Claiomh Solais, may break the seal.\Only the staff bearing seven stars, Claiomh Solais, may break the seal.\To use it, one must speak the seven Words of Arcturus.\Noctu Orfei Aude Fraetor.\Strive for utopia.\You're a lie. response:	The future can only be obtained at a cost.
context: In the seventh century, the Nine Olde Witches sealed the Grand Triskelion within Arcturus.\Only the staff bearing the seven stars, Claiomh Solais, may break the seal.\Only the staff bearing seven stars, Claiomh Solais, may break the seal.\To use it, one must speak the seven Words of Arcturus.\Noctu Orfei Aude Fraetor.\Strive for utopia.\You're a lie.\The future can only be obtained at a cost. response:	I've failed so much and made so many mistakes, but I don't want any of that past to be erased!
context: Only the staff bearing the seven stars, Claiomh Solais, may break the seal.\Only the staff bearing seven stars, Claiomh Solais, may break the seal.\To use it, one must speak the seven Words of Arcturus.\Noctu Orfei Aude Fraetor.\Strive for utopia.\You're a lie.\The future can only be obtained at a cost.\I've failed so much and made so many mistakes, but I don't want any of that past to be erased! response:	The tears and frustration and laughter are all a part of me.
context: Only the staff bearing seven stars, Claiomh Solais, may break the seal.\To use it, one must speak the seven Words of Arcturus.\Noctu Orfei Aude Fraetor.\Strive for utopia.\You're a lie.\The future can only be obtained at a cost.\I've failed so much and made so many mistakes, but I don't want any of that past to be erased!\The tears and frustration and laughter are all a part of me. response:	Reach for what you dream of and you reach in vain. Work for what you dream of, day after day, and it is yours to grasp!
context: To use it, one must speak the seven Words of Arcturus.\Noctu Orfei Aude Fraetor.\Strive for utopia.\You're a lie.\The future can only be obtained at a cost.\I've failed so much and made so many mistakes, but I don't want any of that past to be erased!\The tears and frustration and laughter are all a part of me.\Reach for what you dream of and you reach in vain. Work for what you dream of, day after day, and it is yours to grasp! response:	That which is dreamed cannot be grasped. Only what is worked for one step at a time may be obtained!
context: Noctu Orfei Aude Fraetor.\Strive for utopia.\You're a lie.\The future can only be obtained at a cost.\I've failed so much and made so many mistakes, but I don't want any of that past to be erased!\The tears and frustration and laughter are all a part of me.\Reach for what you dream of and you reach in vain. Work for what you dream of, day after day, and it is yours to grasp!\That which is dreamed cannot be grasped. Only what is worked for one step at a time may be obtained! response:	Fedoarae...
context: Strive for utopia.\You're a lie.\The future can only be obtained at a cost.\I've failed so much and made so many mistakes, but I don't want any of that past to be erased!\The tears and frustration and laughter are all a part of me.\Reach for what you dream of and you reach in vain. Work for what you dream of, day after day, and it is yours to grasp!\That which is dreamed cannot be grasped. Only what is worked for one step at a time may be obtained!\Fedoarae... response:	Afergou!
context: You're a lie.\The future can only be obtained at a cost.\I've failed so much and made so many mistakes, but I don't want any of that past to be erased!\The tears and frustration and laughter are all a part of me.\Reach for what you dream of and you reach in vain. Work for what you dream of, day after day, and it is yours to grasp!\That which is dreamed cannot be grasped. Only what is worked for one step at a time may be obtained!\Fedoarae...\Afergou! response:	Quite a few years have passed since last we met, Professor Woodward.
context: The future can only be obtained at a cost.\I've failed so much and made so many mistakes, but I don't want any of that past to be erased!\The tears and frustration and laughter are all a part of me.\Reach for what you dream of and you reach in vain. Work for what you dream of, day after day, and it is yours to grasp!\That which is dreamed cannot be grasped. Only what is worked for one step at a time may be obtained!\Fedoarae...\Afergou!\Quite a few years have passed since last we met, Professor Woodward. response:	Just as you tested me.
context: I've failed so much and made so many mistakes, but I don't want any of that past to be erased!\The tears and frustration and laughter are all a part of me.\Reach for what you dream of and you reach in vain. Work for what you dream of, day after day, and it is yours to grasp!\That which is dreamed cannot be grasped. Only what is worked for one step at a time may be obtained!\Fedoarae...\Afergou!\Quite a few years have passed since last we met, Professor Woodward.\Just as you tested me. response:	Just as you did for me.
context: The tears and frustration and laughter are all a part of me.\Reach for what you dream of and you reach in vain. Work for what you dream of, day after day, and it is yours to grasp!\That which is dreamed cannot be grasped. Only what is worked for one step at a time may be obtained!\Fedoarae...\Afergou!\Quite a few years have passed since last we met, Professor Woodward.\Just as you tested me.\Just as you did for me. response:	Fedoarae Afergou.
context: Reach for what you dream of and you reach in vain. Work for what you dream of, day after day, and it is yours to grasp!\That which is dreamed cannot be grasped. Only what is worked for one step at a time may be obtained!\Fedoarae...\Afergou!\Quite a few years have passed since last we met, Professor Woodward.\Just as you tested me.\Just as you did for me.\Fedoarae Afergou. response:	Sosomme Tiextrilla!
context: That which is dreamed cannot be grasped. Only what is worked for one step at a time may be obtained!\Fedoarae...\Afergou!\Quite a few years have passed since last we met, Professor Woodward.\Just as you tested me.\Just as you did for me.\Fedoarae Afergou.\Sosomme Tiextrilla! response:	You can do it!
context: Fedoarae...\Afergou!\Quite a few years have passed since last we met, Professor Woodward.\Just as you tested me.\Just as you did for me.\Fedoarae Afergou.\Sosomme Tiextrilla!\You can do it! response:	One last piece!
context: Afergou!\Quite a few years have passed since last we met, Professor Woodward.\Just as you tested me.\Just as you did for me.\Fedoarae Afergou.\Sosomme Tiextrilla!\You can do it!\One last piece! response:	It's upside down!
context: Quite a few years have passed since last we met, Professor Woodward.\Just as you tested me.\Just as you did for me.\Fedoarae Afergou.\Sosomme Tiextrilla!\You can do it!\One last piece!\It's upside down! response:	I did it!
context: Just as you tested me.\Just as you did for me.\Fedoarae Afergou.\Sosomme Tiextrilla!\You can do it!\One last piece!\It's upside down!\I did it! response:	Oh, goodness.
context: Just as you did for me.\Fedoarae Afergou.\Sosomme Tiextrilla!\You can do it!\One last piece!\It's upside down!\I did it!\Oh, goodness. response:	So close!
context: Fedoarae Afergou.\Sosomme Tiextrilla!\You can do it!\One last piece!\It's upside down!\I did it!\Oh, goodness.\So close! response:	Restoration magic attempt one hundred, fell just short.
context: Sosomme Tiextrilla!\You can do it!\One last piece!\It's upside down!\I did it!\Oh, goodness.\So close!\Restoration magic attempt one hundred, fell just short. response:	That was the one hundred and first...
context: You can do it!\One last piece!\It's upside down!\I did it!\Oh, goodness.\So close!\Restoration magic attempt one hundred, fell just short.\That was the one hundred and first... response:	Don't let that get you down! You'll get it right tomorrow...
context: One last piece!\It's upside down!\I did it!\Oh, goodness.\So close!\Restoration magic attempt one hundred, fell just short.\That was the one hundred and first...\Don't let that get you down! You'll get it right tomorrow... response:	I hope.
context: It's upside down!\I did it!\Oh, goodness.\So close!\Restoration magic attempt one hundred, fell just short.\That was the one hundred and first...\Don't let that get you down! You'll get it right tomorrow...\I hope. response:	Yeah, me too.
context: I did it!\Oh, goodness.\So close!\Restoration magic attempt one hundred, fell just short.\That was the one hundred and first...\Don't let that get you down! You'll get it right tomorrow...\I hope.\Yeah, me too. response:	Here where our long journey has finally led us
context: Oh, goodness.\So close!\Restoration magic attempt one hundred, fell just short.\That was the one hundred and first...\Don't let that get you down! You'll get it right tomorrow...\I hope.\Yeah, me too.\Here where our long journey has finally led us response:	Here where our long journey has finally led us
context: So close!\Restoration magic attempt one hundred, fell just short.\That was the one hundred and first...\Don't let that get you down! You'll get it right tomorrow...\I hope.\Yeah, me too.\Here where our long journey has finally led us\Here where our long journey has finally led us response:	kakedashita hibi ni yukitsuita kono basho
context: Restoration magic attempt one hundred, fell just short.\That was the one hundred and first...\Don't let that get you down! You'll get it right tomorrow...\I hope.\Yeah, me too.\Here where our long journey has finally led us\Here where our long journey has finally led us\kakedashita hibi ni yukitsuita kono basho response:	kakedashita hibi ni yukitsuita kono basho
context: That was the one hundred and first...\Don't let that get you down! You'll get it right tomorrow...\I hope.\Yeah, me too.\Here where our long journey has finally led us\Here where our long journey has finally led us\kakedashita hibi ni yukitsuita kono basho\kakedashita hibi ni yukitsuita kono basho response:	We can push open the door
context: Don't let that get you down! You'll get it right tomorrow...\I hope.\Yeah, me too.\Here where our long journey has finally led us\Here where our long journey has finally led us\kakedashita hibi ni yukitsuita kono basho\kakedashita hibi ni yukitsuita kono basho\We can push open the door response:	We can push open the door
context: I hope.\Yeah, me too.\Here where our long journey has finally led us\Here where our long journey has finally led us\kakedashita hibi ni yukitsuita kono basho\kakedashita hibi ni yukitsuita kono basho\We can push open the door\We can push open the door response:	fureta tobira hiraite
context: Yeah, me too.\Here where our long journey has finally led us\Here where our long journey has finally led us\kakedashita hibi ni yukitsuita kono basho\kakedashita hibi ni yukitsuita kono basho\We can push open the door\We can push open the door\fureta tobira hiraite response:	fureta tobira hiraite
context: Here where our long journey has finally led us\Here where our long journey has finally led us\kakedashita hibi ni yukitsuita kono basho\kakedashita hibi ni yukitsuita kono basho\We can push open the door\We can push open the door\fureta tobira hiraite\fureta tobira hiraite response:	In the footsteps of our dreams far beyond the stars
context: Here where our long journey has finally led us\kakedashita hibi ni yukitsuita kono basho\kakedashita hibi ni yukitsuita kono basho\We can push open the door\We can push open the door\fureta tobira hiraite\fureta tobira hiraite\In the footsteps of our dreams far beyond the stars response:	In the footsteps of our dreams far beyond the stars
