context: Ah... I can't come up with anything good. response:	What's the matter? It's unusual to see you lost in thought.
context: Please be careful.\There we go.\Of all the many water guide companies, thank you for choosing Himeya today.\It was a lot of fun.\Yeah. Gondolas are the best! It was a lot of fun.\Yeah. Gondolas are the best!\Thank you very much!\From the bottom of my heart, I hope that your vacation will be a memorable one. response:	I hope you become a Prima soon!
context: There we go.\Of all the many water guide companies, thank you for choosing Himeya today.\It was a lot of fun.\Yeah. Gondolas are the best! It was a lot of fun.\Yeah. Gondolas are the best!\Thank you very much!\From the bottom of my heart, I hope that your vacation will be a memorable one.\I hope you become a Prima soon! response:	We'll be rooting for you.
context: Of all the many water guide companies, thank you for choosing Himeya today.\It was a lot of fun.\Yeah. Gondolas are the best! It was a lot of fun.\Yeah. Gondolas are the best!\Thank you very much!\From the bottom of my heart, I hope that your vacation will be a memorable one.\I hope you become a Prima soon!\We'll be rooting for you. response:	Thank you very much! I'll do my best!
context: It was a lot of fun.\Yeah. Gondolas are the best! It was a lot of fun.\Yeah. Gondolas are the best!\Thank you very much!\From the bottom of my heart, I hope that your vacation will be a memorable one.\I hope you become a Prima soon!\We'll be rooting for you.\Thank you very much! I'll do my best! response:	Both Himeya and I look forward to seeing you again during your next visit!
context: Yeah. Gondolas are the best! It was a lot of fun.\Yeah. Gondolas are the best!\Thank you very much!\From the bottom of my heart, I hope that your vacation will be a memorable one.\I hope you become a Prima soon!\We'll be rooting for you.\Thank you very much! I'll do my best!\Both Himeya and I look forward to seeing you again during your next visit! response:	Now then...
context: Yeah. Gondolas are the best!\Thank you very much!\From the bottom of my heart, I hope that your vacation will be a memorable one.\I hope you become a Prima soon!\We'll be rooting for you.\Thank you very much! I'll do my best!\Both Himeya and I look forward to seeing you again during your next visit!\Now then... response:	Wha-?!
context: Thank you very much!\From the bottom of my heart, I hope that your vacation will be a memorable one.\I hope you become a Prima soon!\We'll be rooting for you.\Thank you very much! I'll do my best!\Both Himeya and I look forward to seeing you again during your next visit!\Now then...\Wha-?! response:	Is something wrong, Akira?
context: From the bottom of my heart, I hope that your vacation will be a memorable one.\I hope you become a Prima soon!\We'll be rooting for you.\Thank you very much! I'll do my best!\Both Himeya and I look forward to seeing you again during your next visit!\Now then...\Wha-?!\Is something wrong, Akira? response:	Ah, no...
context: I hope you become a Prima soon!\We'll be rooting for you.\Thank you very much! I'll do my best!\Both Himeya and I look forward to seeing you again during your next visit!\Now then...\Wha-?!\Is something wrong, Akira?\Ah, no... response:	By any chance, did I give them wrong information during the tour?
context: We'll be rooting for you.\Thank you very much! I'll do my best!\Both Himeya and I look forward to seeing you again during your next visit!\Now then...\Wha-?!\Is something wrong, Akira?\Ah, no...\By any chance, did I give them wrong information during the tour? response:	Ah, no...
context: Thank you very much! I'll do my best!\Both Himeya and I look forward to seeing you again during your next visit!\Now then...\Wha-?!\Is something wrong, Akira?\Ah, no...\By any chance, did I give them wrong information during the tour?\Ah, no... response:	Then, was I going over the speed limit somewhere?
context: Both Himeya and I look forward to seeing you again during your next visit!\Now then...\Wha-?!\Is something wrong, Akira?\Ah, no...\By any chance, did I give them wrong information during the tour?\Ah, no...\Then, was I going over the speed limit somewhere? response:	Ah, no...
context: Now then...\Wha-?!\Is something wrong, Akira?\Ah, no...\By any chance, did I give them wrong information during the tour?\Ah, no...\Then, was I going over the speed limit somewhere?\Ah, no... response:	Aika!
context: Wha-?!\Is something wrong, Akira?\Ah, no...\By any chance, did I give them wrong information during the tour?\Ah, no...\Then, was I going over the speed limit somewhere?\Ah, no...\Aika! response:	Yes?! Aika!
context: Is something wrong, Akira?\Ah, no...\By any chance, did I give them wrong information during the tour?\Ah, no...\Then, was I going over the speed limit somewhere?\Ah, no...\Aika!\Yes?! Aika! response:	Flap Flap Flap
context: Ah, no...\By any chance, did I give them wrong information during the tour?\Ah, no...\Then, was I going over the speed limit somewhere?\Ah, no...\Aika!\Yes?! Aika!\Flap Flap Flap response:	Umm...
context: By any chance, did I give them wrong information during the tour?\Ah, no...\Then, was I going over the speed limit somewhere?\Ah, no...\Aika!\Yes?! Aika!\Flap Flap Flap\Umm... response:	After this, all I have left today is a night cruise.
context: Ah, no...\Then, was I going over the speed limit somewhere?\Ah, no...\Aika!\Yes?! Aika!\Flap Flap Flap\Umm...\After this, all I have left today is a night cruise. response:	Yeah, that's right. And I'll be joining you as your assistant, remember?
context: Then, was I going over the speed limit somewhere?\Ah, no...\Aika!\Yes?! Aika!\Flap Flap Flap\Umm...\After this, all I have left today is a night cruise.\Yeah, that's right. And I'll be joining you as your assistant, remember? response:	All right.
context: Ah, no...\Aika!\Yes?! Aika!\Flap Flap Flap\Umm...\After this, all I have left today is a night cruise.\Yeah, that's right. And I'll be joining you as your assistant, remember?\All right. response:	I found a really good gelato shop the other day. Let's go there.
context: Aika!\Yes?! Aika!\Flap Flap Flap\Umm...\After this, all I have left today is a night cruise.\Yeah, that's right. And I'll be joining you as your assistant, remember?\All right.\I found a really good gelato shop the other day. Let's go there. response:	Huh? Okay...
context: Yes?! Aika!\Flap Flap Flap\Umm...\After this, all I have left today is a night cruise.\Yeah, that's right. And I'll be joining you as your assistant, remember?\All right.\I found a really good gelato shop the other day. Let's go there.\Huh? Okay... response:	Here's your limone.
context: Flap Flap Flap\Umm...\After this, all I have left today is a night cruise.\Yeah, that's right. And I'll be joining you as your assistant, remember?\All right.\I found a really good gelato shop the other day. Let's go there.\Huh? Okay...\Here's your limone. response:	Thank you!
context: Umm...\After this, all I have left today is a night cruise.\Yeah, that's right. And I'll be joining you as your assistant, remember?\All right.\I found a really good gelato shop the other day. Let's go there.\Huh? Okay...\Here's your limone.\Thank you! response:	It looks delicious!
context: After this, all I have left today is a night cruise.\Yeah, that's right. And I'll be joining you as your assistant, remember?\All right.\I found a really good gelato shop the other day. Let's go there.\Huh? Okay...\Here's your limone.\Thank you!\It looks delicious! response:	Aren't you going to have one, Akira?
context: Yeah, that's right. And I'll be joining you as your assistant, remember?\All right.\I found a really good gelato shop the other day. Let's go there.\Huh? Okay...\Here's your limone.\Thank you!\It looks delicious!\Aren't you going to have one, Akira? response:	Huh? No, I'm fine.
context: All right.\I found a really good gelato shop the other day. Let's go there.\Huh? Okay...\Here's your limone.\Thank you!\It looks delicious!\Aren't you going to have one, Akira?\Huh? No, I'm fine. response:	But you're the one who asked me to come with you.
context: I found a really good gelato shop the other day. Let's go there.\Huh? Okay...\Here's your limone.\Thank you!\It looks delicious!\Aren't you going to have one, Akira?\Huh? No, I'm fine.\But you're the one who asked me to come with you. response:	It's fine. Be thankful and just eat it.
context: Huh? Okay...\Here's your limone.\Thank you!\It looks delicious!\Aren't you going to have one, Akira?\Huh? No, I'm fine.\But you're the one who asked me to come with you.\It's fine. Be thankful and just eat it. response:	Okay, snack time!
context: Here's your limone.\Thank you!\It looks delicious!\Aren't you going to have one, Akira?\Huh? No, I'm fine.\But you're the one who asked me to come with you.\It's fine. Be thankful and just eat it.\Okay, snack time! response:	Yum!
context: Thank you!\It looks delicious!\Aren't you going to have one, Akira?\Huh? No, I'm fine.\But you're the one who asked me to come with you.\It's fine. Be thankful and just eat it.\Okay, snack time!\Yum! response:	It really is delicious.
context: It looks delicious!\Aren't you going to have one, Akira?\Huh? No, I'm fine.\But you're the one who asked me to come with you.\It's fine. Be thankful and just eat it.\Okay, snack time!\Yum!\It really is delicious. response:	You should have gotten one too, Akira.
context: Aren't you going to have one, Akira?\Huh? No, I'm fine.\But you're the one who asked me to come with you.\It's fine. Be thankful and just eat it.\Okay, snack time!\Yum!\It really is delicious.\You should have gotten one too, Akira. response:	You seem pretty cheerful.
context: Huh? No, I'm fine.\But you're the one who asked me to come with you.\It's fine. Be thankful and just eat it.\Okay, snack time!\Yum!\It really is delicious.\You should have gotten one too, Akira.\You seem pretty cheerful. response:	Yes! I'm super-cheerful!
context: But you're the one who asked me to come with you.\It's fine. Be thankful and just eat it.\Okay, snack time!\Yum!\It really is delicious.\You should have gotten one too, Akira.\You seem pretty cheerful.\Yes! I'm super-cheerful! response:	Oh, that's right!
context: It's fine. Be thankful and just eat it.\Okay, snack time!\Yum!\It really is delicious.\You should have gotten one too, Akira.\You seem pretty cheerful.\Yes! I'm super-cheerful!\Oh, that's right! response:	You heard about it too, right?
context: Okay, snack time!\Yum!\It really is delicious.\You should have gotten one too, Akira.\You seem pretty cheerful.\Yes! I'm super-cheerful!\Oh, that's right!\You heard about it too, right? response:	About Junior skipping a rank and getting promoted to Prima.
context: Yum!\It really is delicious.\You should have gotten one too, Akira.\You seem pretty cheerful.\Yes! I'm super-cheerful!\Oh, that's right!\You heard about it too, right?\About Junior skipping a rank and getting promoted to Prima. response:	I got to see the very moment it happened, together with Akari.
context: It really is delicious.\You should have gotten one too, Akira.\You seem pretty cheerful.\Yes! I'm super-cheerful!\Oh, that's right!\You heard about it too, right?\About Junior skipping a rank and getting promoted to Prima.\I got to see the very moment it happened, together with Akari. response:	I was really lucky!
context: You should have gotten one too, Akira.\You seem pretty cheerful.\Yes! I'm super-cheerful!\Oh, that's right!\You heard about it too, right?\About Junior skipping a rank and getting promoted to Prima.\I got to see the very moment it happened, together with Akari.\I was really lucky! response:	You were there, too?
context: You seem pretty cheerful.\Yes! I'm super-cheerful!\Oh, that's right!\You heard about it too, right?\About Junior skipping a rank and getting promoted to Prima.\I got to see the very moment it happened, together with Akari.\I was really lucky!\You were there, too? response:	Yes! In fact, we had front row seats.
context: Yes! I'm super-cheerful!\Oh, that's right!\You heard about it too, right?\About Junior skipping a rank and getting promoted to Prima.\I got to see the very moment it happened, together with Akari.\I was really lucky!\You were there, too?\Yes! In fact, we had front row seats. response:	One of her gloves was removed, and then off came her other glove.
context: Oh, that's right!\You heard about it too, right?\About Junior skipping a rank and getting promoted to Prima.\I got to see the very moment it happened, together with Akari.\I was really lucky!\You were there, too?\Yes! In fact, we had front row seats.\One of her gloves was removed, and then off came her other glove. response:	I can't tell you how surprised I was! As expected of Alice!
context: You heard about it too, right?\About Junior skipping a rank and getting promoted to Prima.\I got to see the very moment it happened, together with Akari.\I was really lucky!\You were there, too?\Yes! In fact, we had front row seats.\One of her gloves was removed, and then off came her other glove.\I can't tell you how surprised I was! As expected of Alice! response:	Girl geniuses sure do things differently.
context: About Junior skipping a rank and getting promoted to Prima.\I got to see the very moment it happened, together with Akari.\I was really lucky!\You were there, too?\Yes! In fact, we had front row seats.\One of her gloves was removed, and then off came her other glove.\I can't tell you how surprised I was! As expected of Alice!\Girl geniuses sure do things differently. response:	I've got a lot of catching up to do!
context: I got to see the very moment it happened, together with Akari.\I was really lucky!\You were there, too?\Yes! In fact, we had front row seats.\One of her gloves was removed, and then off came her other glove.\I can't tell you how surprised I was! As expected of Alice!\Girl geniuses sure do things differently.\I've got a lot of catching up to do! response:	Aika...
context: I was really lucky!\You were there, too?\Yes! In fact, we had front row seats.\One of her gloves was removed, and then off came her other glove.\I can't tell you how surprised I was! As expected of Alice!\Girl geniuses sure do things differently.\I've got a lot of catching up to do!\Aika... response:	To tomorrow and beyond! Let's go!
context: You were there, too?\Yes! In fact, we had front row seats.\One of her gloves was removed, and then off came her other glove.\I can't tell you how surprised I was! As expected of Alice!\Girl geniuses sure do things differently.\I've got a lot of catching up to do!\Aika...\To tomorrow and beyond! Let's go! response:	It's all right.
context: Yes! In fact, we had front row seats.\One of her gloves was removed, and then off came her other glove.\I can't tell you how surprised I was! As expected of Alice!\Girl geniuses sure do things differently.\I've got a lot of catching up to do!\Aika...\To tomorrow and beyond! Let's go!\It's all right. response:	It's all right, Aika.
context: One of her gloves was removed, and then off came her other glove.\I can't tell you how surprised I was! As expected of Alice!\Girl geniuses sure do things differently.\I've got a lot of catching up to do!\Aika...\To tomorrow and beyond! Let's go!\It's all right.\It's all right, Aika. response:	It's not all right!
context: I can't tell you how surprised I was! As expected of Alice!\Girl geniuses sure do things differently.\I've got a lot of catching up to do!\Aika...\To tomorrow and beyond! Let's go!\It's all right.\It's all right, Aika.\It's not all right! response:	Akira!
context: Girl geniuses sure do things differently.\I've got a lot of catching up to do!\Aika...\To tomorrow and beyond! Let's go!\It's all right.\It's all right, Aika.\It's not all right!\Akira! response:	I, Aika S. Granzchesta of Himeya, am all fired up!
context: I've got a lot of catching up to do!\Aika...\To tomorrow and beyond! Let's go!\It's all right.\It's all right, Aika.\It's not all right!\Akira!\I, Aika S. Granzchesta of Himeya, am all fired up! response:	You know that feeling you get when someone's running just a bit ahead of you, pulling you along?
context: Aika...\To tomorrow and beyond! Let's go!\It's all right.\It's all right, Aika.\It's not all right!\Akira!\I, Aika S. Granzchesta of Himeya, am all fired up!\You know that feeling you get when someone's running just a bit ahead of you, pulling you along? response:	It's like that!
context: To tomorrow and beyond! Let's go!\It's all right.\It's all right, Aika.\It's not all right!\Akira!\I, Aika S. Granzchesta of Himeya, am all fired up!\You know that feeling you get when someone's running just a bit ahead of you, pulling you along?\It's like that! response:	It's how you feel when you know you're running faster than usual.
context: It's all right.\It's all right, Aika.\It's not all right!\Akira!\I, Aika S. Granzchesta of Himeya, am all fired up!\You know that feeling you get when someone's running just a bit ahead of you, pulling you along?\It's like that!\It's how you feel when you know you're running faster than usual. response:	This is my chance to excel further as an Undine, Akira!
context: It's all right, Aika.\It's not all right!\Akira!\I, Aika S. Granzchesta of Himeya, am all fired up!\You know that feeling you get when someone's running just a bit ahead of you, pulling you along?\It's like that!\It's how you feel when you know you're running faster than usual.\This is my chance to excel further as an Undine, Akira! response:	I'm grateful to Junior...
context: It's not all right!\Akira!\I, Aika S. Granzchesta of Himeya, am all fired up!\You know that feeling you get when someone's running just a bit ahead of you, pulling you along?\It's like that!\It's how you feel when you know you're running faster than usual.\This is my chance to excel further as an Undine, Akira!\I'm grateful to Junior... response:	So please train me hard, okay, Akira?
