context: What?! response:	Our precious training time...
context: Lyon! Jura! This time, you're going to participate, too!\Crap. I can't refuse Obaba.\A festival can be nice once in a while.\Lyon and Jura-san are gonna be in it this year?!\Now we'll win it for sure!\Lamia will be Fiore's number one guild!\Hey, did you hear?!\It seems that Wizard Saint Jura-chan from Lamia Scale response:	is going to be in the Grand Magic Games.
context: Crap. I can't refuse Obaba.\A festival can be nice once in a while.\Lyon and Jura-san are gonna be in it this year?!\Now we'll win it for sure!\Lamia will be Fiore's number one guild!\Hey, did you hear?!\It seems that Wizard Saint Jura-chan from Lamia Scale\is going to be in the Grand Magic Games. response:	This man is Master Bob of the wizards' guild Blue Pegasus.
context: A festival can be nice once in a while.\Lyon and Jura-san are gonna be in it this year?!\Now we'll win it for sure!\Lamia will be Fiore's number one guild!\Hey, did you hear?!\It seems that Wizard Saint Jura-chan from Lamia Scale\is going to be in the Grand Magic Games.\This man is Master Bob of the wizards' guild Blue Pegasus. response:	Men. That is indeed a foul perfume.
context: Lyon and Jura-san are gonna be in it this year?!\Now we'll win it for sure!\Lamia will be Fiore's number one guild!\Hey, did you hear?!\It seems that Wizard Saint Jura-chan from Lamia Scale\is going to be in the Grand Magic Games.\This man is Master Bob of the wizards' guild Blue Pegasus.\Men. That is indeed a foul perfume. response:	And just when we were aiming for victory this year...
context: Now we'll win it for sure!\Lamia will be Fiore's number one guild!\Hey, did you hear?!\It seems that Wizard Saint Jura-chan from Lamia Scale\is going to be in the Grand Magic Games.\This man is Master Bob of the wizards' guild Blue Pegasus.\Men. That is indeed a foul perfume.\And just when we were aiming for victory this year... response:	Then we'll just have to release you-know-who.
context: Lamia will be Fiore's number one guild!\Hey, did you hear?!\It seems that Wizard Saint Jura-chan from Lamia Scale\is going to be in the Grand Magic Games.\This man is Master Bob of the wizards' guild Blue Pegasus.\Men. That is indeed a foul perfume.\And just when we were aiming for victory this year...\Then we'll just have to release you-know-who. response:	Y-You don't mean...?!
context: Hey, did you hear?!\It seems that Wizard Saint Jura-chan from Lamia Scale\is going to be in the Grand Magic Games.\This man is Master Bob of the wizards' guild Blue Pegasus.\Men. That is indeed a foul perfume.\And just when we were aiming for victory this year...\Then we'll just have to release you-know-who.\Y-You don't mean...?! response:	Men. A dangerous perfume is raging around the Grand Magic Games this time.
context: It seems that Wizard Saint Jura-chan from Lamia Scale\is going to be in the Grand Magic Games.\This man is Master Bob of the wizards' guild Blue Pegasus.\Men. That is indeed a foul perfume.\And just when we were aiming for victory this year...\Then we'll just have to release you-know-who.\Y-You don't mean...?!\Men. A dangerous perfume is raging around the Grand Magic Games this time. response:	And at the wizards' guild called Sabertooth,
context: is going to be in the Grand Magic Games.\This man is Master Bob of the wizards' guild Blue Pegasus.\Men. That is indeed a foul perfume.\And just when we were aiming for victory this year...\Then we'll just have to release you-know-who.\Y-You don't mean...?!\Men. A dangerous perfume is raging around the Grand Magic Games this time.\And at the wizards' guild called Sabertooth, response:	Sting and Rogue are...
context: This man is Master Bob of the wizards' guild Blue Pegasus.\Men. That is indeed a foul perfume.\And just when we were aiming for victory this year...\Then we'll just have to release you-know-who.\Y-You don't mean...?!\Men. A dangerous perfume is raging around the Grand Magic Games this time.\And at the wizards' guild called Sabertooth,\Sting and Rogue are... response:	Seriously?!
context: Men. That is indeed a foul perfume.\And just when we were aiming for victory this year...\Then we'll just have to release you-know-who.\Y-You don't mean...?!\Men. A dangerous perfume is raging around the Grand Magic Games this time.\And at the wizards' guild called Sabertooth,\Sting and Rogue are...\Seriously?! response:	Natsu and the others are gonna be in the Grand Magic Games?!
context: And just when we were aiming for victory this year...\Then we'll just have to release you-know-who.\Y-You don't mean...?!\Men. A dangerous perfume is raging around the Grand Magic Games this time.\And at the wizards' guild called Sabertooth,\Sting and Rogue are...\Seriously?!\Natsu and the others are gonna be in the Grand Magic Games?! response:	Yeah! That's the rumor going around Magnolia.
context: Then we'll just have to release you-know-who.\Y-You don't mean...?!\Men. A dangerous perfume is raging around the Grand Magic Games this time.\And at the wizards' guild called Sabertooth,\Sting and Rogue are...\Seriously?!\Natsu and the others are gonna be in the Grand Magic Games?!\Yeah! That's the rumor going around Magnolia. response:	Fro heard that, too.
context: Y-You don't mean...?!\Men. A dangerous perfume is raging around the Grand Magic Games this time.\And at the wizards' guild called Sabertooth,\Sting and Rogue are...\Seriously?!\Natsu and the others are gonna be in the Grand Magic Games?!\Yeah! That's the rumor going around Magnolia.\Fro heard that, too. response:	I'm actually lookin' forward to this now, y'know, Rogue?
context: Men. A dangerous perfume is raging around the Grand Magic Games this time.\And at the wizards' guild called Sabertooth,\Sting and Rogue are...\Seriously?!\Natsu and the others are gonna be in the Grand Magic Games?!\Yeah! That's the rumor going around Magnolia.\Fro heard that, too.\I'm actually lookin' forward to this now, y'know, Rogue? response:	Not interested.
context: And at the wizards' guild called Sabertooth,\Sting and Rogue are...\Seriously?!\Natsu and the others are gonna be in the Grand Magic Games?!\Yeah! That's the rumor going around Magnolia.\Fro heard that, too.\I'm actually lookin' forward to this now, y'know, Rogue?\Not interested. response:	And at yet another wizards' guild, Raven Tail,
context: Sting and Rogue are...\Seriously?!\Natsu and the others are gonna be in the Grand Magic Games?!\Yeah! That's the rumor going around Magnolia.\Fro heard that, too.\I'm actually lookin' forward to this now, y'know, Rogue?\Not interested.\And at yet another wizards' guild, Raven Tail, response:	Master Ivan was also making plans.
context: Seriously?!\Natsu and the others are gonna be in the Grand Magic Games?!\Yeah! That's the rumor going around Magnolia.\Fro heard that, too.\I'm actually lookin' forward to this now, y'know, Rogue?\Not interested.\And at yet another wizards' guild, Raven Tail,\Master Ivan was also making plans. response:	Damn you, Makarov. You made me wait seven years...
context: Natsu and the others are gonna be in the Grand Magic Games?!\Yeah! That's the rumor going around Magnolia.\Fro heard that, too.\I'm actually lookin' forward to this now, y'know, Rogue?\Not interested.\And at yet another wizards' guild, Raven Tail,\Master Ivan was also making plans.\Damn you, Makarov. You made me wait seven years... response:	But the time has finally come to punish the Fairies,
context: Yeah! That's the rumor going around Magnolia.\Fro heard that, too.\I'm actually lookin' forward to this now, y'know, Rogue?\Not interested.\And at yet another wizards' guild, Raven Tail,\Master Ivan was also making plans.\Damn you, Makarov. You made me wait seven years...\But the time has finally come to punish the Fairies, response:	blot them all out!
context: Fro heard that, too.\I'm actually lookin' forward to this now, y'know, Rogue?\Not interested.\And at yet another wizards' guild, Raven Tail,\Master Ivan was also making plans.\Damn you, Makarov. You made me wait seven years...\But the time has finally come to punish the Fairies,\blot them all out! response:	I'm so looking forward to the Grand Magic Games.
context: I'm actually lookin' forward to this now, y'know, Rogue?\Not interested.\And at yet another wizards' guild, Raven Tail,\Master Ivan was also making plans.\Damn you, Makarov. You made me wait seven years...\But the time has finally come to punish the Fairies,\blot them all out!\I'm so looking forward to the Grand Magic Games. response:	Just Enough Time to Pass Each Other!
context: Not interested.\And at yet another wizards' guild, Raven Tail,\Master Ivan was also making plans.\Damn you, Makarov. You made me wait seven years...\But the time has finally come to punish the Fairies,\blot them all out!\I'm so looking forward to the Grand Magic Games.\Just Enough Time to Pass Each Other! response:	Even though there are only five more days'til the Grand Magic Games...
context: And at yet another wizards' guild, Raven Tail,\Master Ivan was also making plans.\Damn you, Makarov. You made me wait seven years...\But the time has finally come to punish the Fairies,\blot them all out!\I'm so looking forward to the Grand Magic Games.\Just Enough Time to Pass Each Other!\Even though there are only five more days'til the Grand Magic Games... response:	It looks like all we can do this time is rely on the others.
context: Master Ivan was also making plans.\Damn you, Makarov. You made me wait seven years...\But the time has finally come to punish the Fairies,\blot them all out!\I'm so looking forward to the Grand Magic Games.\Just Enough Time to Pass Each Other!\Even though there are only five more days'til the Grand Magic Games...\It looks like all we can do this time is rely on the others. response:	The gap between my strength and Lily's has widened again.
context: Damn you, Makarov. You made me wait seven years...\But the time has finally come to punish the Fairies,\blot them all out!\I'm so looking forward to the Grand Magic Games.\Just Enough Time to Pass Each Other!\Even though there are only five more days'til the Grand Magic Games...\It looks like all we can do this time is rely on the others.\The gap between my strength and Lily's has widened again. response:	You cared about that?
context: But the time has finally come to punish the Fairies,\blot them all out!\I'm so looking forward to the Grand Magic Games.\Just Enough Time to Pass Each Other!\Even though there are only five more days'til the Grand Magic Games...\It looks like all we can do this time is rely on the others.\The gap between my strength and Lily's has widened again.\You cared about that? response:	Even now, it's not too late! We can train like hell these last five days!
context: blot them all out!\I'm so looking forward to the Grand Magic Games.\Just Enough Time to Pass Each Other!\Even though there are only five more days'til the Grand Magic Games...\It looks like all we can do this time is rely on the others.\The gap between my strength and Lily's has widened again.\You cared about that?\Even now, it's not too late! We can train like hell these last five days! response:	All of you steel yourselves! We're not going to have time to sleep!
context: I'm so looking forward to the Grand Magic Games.\Just Enough Time to Pass Each Other!\Even though there are only five more days'til the Grand Magic Games...\It looks like all we can do this time is rely on the others.\The gap between my strength and Lily's has widened again.\You cared about that?\Even now, it's not too late! We can train like hell these last five days!\All of you steel yourselves! We're not going to have time to sleep! response:	Erza's fighting spirit is on fire!
context: Just Enough Time to Pass Each Other!\Even though there are only five more days'til the Grand Magic Games...\It looks like all we can do this time is rely on the others.\The gap between my strength and Lily's has widened again.\You cared about that?\Even now, it's not too late! We can train like hell these last five days!\All of you steel yourselves! We're not going to have time to sleep!\Erza's fighting spirit is on fire! response:	Sounds good to me! I'm fired up about training like hell!
context: Even though there are only five more days'til the Grand Magic Games...\It looks like all we can do this time is rely on the others.\The gap between my strength and Lily's has widened again.\You cared about that?\Even now, it's not too late! We can train like hell these last five days!\All of you steel yourselves! We're not going to have time to sleep!\Erza's fighting spirit is on fire!\Sounds good to me! I'm fired up about training like hell! response:	Alright! Follow me! We'll start with running!
context: It looks like all we can do this time is rely on the others.\The gap between my strength and Lily's has widened again.\You cared about that?\Even now, it's not too late! We can train like hell these last five days!\All of you steel yourselves! We're not going to have time to sleep!\Erza's fighting spirit is on fire!\Sounds good to me! I'm fired up about training like hell!\Alright! Follow me! We'll start with running! response:	A pigeon?!
context: The gap between my strength and Lily's has widened again.\You cared about that?\Even now, it's not too late! We can train like hell these last five days!\All of you steel yourselves! We're not going to have time to sleep!\Erza's fighting spirit is on fire!\Sounds good to me! I'm fired up about training like hell!\Alright! Follow me! We'll start with running!\A pigeon?! response:	Something's on its leg.
context: You cared about that?\Even now, it's not too late! We can train like hell these last five days!\All of you steel yourselves! We're not going to have time to sleep!\Erza's fighting spirit is on fire!\Sounds good to me! I'm fired up about training like hell!\Alright! Follow me! We'll start with running!\A pigeon?!\Something's on its leg. response:	It's a note! Let's see...
context: Even now, it's not too late! We can train like hell these last five days!\All of you steel yourselves! We're not going to have time to sleep!\Erza's fighting spirit is on fire!\Sounds good to me! I'm fired up about training like hell!\Alright! Follow me! We'll start with running!\A pigeon?!\Something's on its leg.\It's a note! Let's see... response:	Don't tell me it's a love letter from Gray-sama?!
context: All of you steel yourselves! We're not going to have time to sleep!\Erza's fighting spirit is on fire!\Sounds good to me! I'm fired up about training like hell!\Alright! Follow me! We'll start with running!\A pigeon?!\Something's on its leg.\It's a note! Let's see...\Don't tell me it's a love letter from Gray-sama?! response:	Not even close!
context: Erza's fighting spirit is on fire!\Sounds good to me! I'm fired up about training like hell!\Alright! Follow me! We'll start with running!\A pigeon?!\Something's on its leg.\It's a note! Let's see...\Don't tell me it's a love letter from Gray-sama?!\Not even close! response:	It says here...
context: Sounds good to me! I'm fired up about training like hell!\Alright! Follow me! We'll start with running!\A pigeon?!\Something's on its leg.\It's a note! Let's see...\Don't tell me it's a love letter from Gray-sama?!\Not even close!\It says here... response:	Dear Fairy Tail, come to the broken suspension bridge on the hill.
context: Alright! Follow me! We'll start with running!\A pigeon?!\Something's on its leg.\It's a note! Let's see...\Don't tell me it's a love letter from Gray-sama?!\Not even close!\It says here...\Dear Fairy Tail, come to the broken suspension bridge on the hill. response:	Who do they think they are?!
context: A pigeon?!\Something's on its leg.\It's a note! Let's see...\Don't tell me it's a love letter from Gray-sama?!\Not even close!\It says here...\Dear Fairy Tail, come to the broken suspension bridge on the hill.\Who do they think they are?! response:	Yeah, I don't like how they're givin' us orders!
context: Something's on its leg.\It's a note! Let's see...\Don't tell me it's a love letter from Gray-sama?!\Not even close!\It says here...\Dear Fairy Tail, come to the broken suspension bridge on the hill.\Who do they think they are?!\Yeah, I don't like how they're givin' us orders! response:	What shall we do?
context: It's a note! Let's see...\Don't tell me it's a love letter from Gray-sama?!\Not even close!\It says here...\Dear Fairy Tail, come to the broken suspension bridge on the hill.\Who do they think they are?!\Yeah, I don't like how they're givin' us orders!\What shall we do? response:	It sounds fishy.
context: Don't tell me it's a love letter from Gray-sama?!\Not even close!\It says here...\Dear Fairy Tail, come to the broken suspension bridge on the hill.\Who do they think they are?!\Yeah, I don't like how they're givin' us orders!\What shall we do?\It sounds fishy. response:	No, let's check it out.
context: Not even close!\It says here...\Dear Fairy Tail, come to the broken suspension bridge on the hill.\Who do they think they are?!\Yeah, I don't like how they're givin' us orders!\What shall we do?\It sounds fishy.\No, let's check it out. response:	But it could be a trap...
context: It says here...\Dear Fairy Tail, come to the broken suspension bridge on the hill.\Who do they think they are?!\Yeah, I don't like how they're givin' us orders!\What shall we do?\It sounds fishy.\No, let's check it out.\But it could be a trap... response:	That's right! I don't think we should go!
context: Dear Fairy Tail, come to the broken suspension bridge on the hill.\Who do they think they are?!\Yeah, I don't like how they're givin' us orders!\What shall we do?\It sounds fishy.\No, let's check it out.\But it could be a trap...\That's right! I don't think we should go! response:	We'll know what it is if we go.
context: Who do they think they are?!\Yeah, I don't like how they're givin' us orders!\What shall we do?\It sounds fishy.\No, let's check it out.\But it could be a trap...\That's right! I don't think we should go!\We'll know what it is if we go. response:	Yeah! This is gettin' interesting!
context: Yeah, I don't like how they're givin' us orders!\What shall we do?\It sounds fishy.\No, let's check it out.\But it could be a trap...\That's right! I don't think we should go!\We'll know what it is if we go.\Yeah! This is gettin' interesting! response:	This is what they meant by the broken suspension bridge?
context: What shall we do?\It sounds fishy.\No, let's check it out.\But it could be a trap...\That's right! I don't think we should go!\We'll know what it is if we go.\Yeah! This is gettin' interesting!\This is what they meant by the broken suspension bridge? response:	The hell? Nobody's here!
context: It sounds fishy.\No, let's check it out.\But it could be a trap...\That's right! I don't think we should go!\We'll know what it is if we go.\Yeah! This is gettin' interesting!\This is what they meant by the broken suspension bridge?\The hell? Nobody's here! response:	Why are you so ready for a fight?
context: No, let's check it out.\But it could be a trap...\That's right! I don't think we should go!\We'll know what it is if we go.\Yeah! This is gettin' interesting!\This is what they meant by the broken suspension bridge?\The hell? Nobody's here!\Why are you so ready for a fight? response:	What was it, just a prank?!
context: But it could be a trap...\That's right! I don't think we should go!\We'll know what it is if we go.\Yeah! This is gettin' interesting!\This is what they meant by the broken suspension bridge?\The hell? Nobody's here!\Why are you so ready for a fight?\What was it, just a prank?! response:	I said we shouldn't come here, didn't I?
context: That's right! I don't think we should go!\We'll know what it is if we go.\Yeah! This is gettin' interesting!\This is what they meant by the broken suspension bridge?\The hell? Nobody's here!\Why are you so ready for a fight?\What was it, just a prank?!\I said we shouldn't come here, didn't I? response:	What the...?
context: We'll know what it is if we go.\Yeah! This is gettin' interesting!\This is what they meant by the broken suspension bridge?\The hell? Nobody's here!\Why are you so ready for a fight?\What was it, just a prank?!\I said we shouldn't come here, didn't I?\What the...? response:	What's this?!
context: Yeah! This is gettin' interesting!\This is what they meant by the broken suspension bridge?\The hell? Nobody's here!\Why are you so ready for a fight?\What was it, just a prank?!\I said we shouldn't come here, didn't I?\What the...?\What's this?! response:	The bridge...
context: This is what they meant by the broken suspension bridge?\The hell? Nobody's here!\Why are you so ready for a fight?\What was it, just a prank?!\I said we shouldn't come here, didn't I?\What the...?\What's this?!\The bridge... response:	It fixed itself!
context: The hell? Nobody's here!\Why are you so ready for a fight?\What was it, just a prank?!\I said we shouldn't come here, didn't I?\What the...?\What's this?!\The bridge...\It fixed itself! response:	It's connected to the other bank.
context: Why are you so ready for a fight?\What was it, just a prank?!\I said we shouldn't come here, didn't I?\What the...?\What's this?!\The bridge...\It fixed itself!\It's connected to the other bank. response:	Telling us to cross it then...
context: What was it, just a prank?!\I said we shouldn't come here, didn't I?\What the...?\What's this?!\The bridge...\It fixed itself!\It's connected to the other bank.\Telling us to cross it then... response:	This may be a trap after all.
context: I said we shouldn't come here, didn't I?\What the...?\What's this?!\The bridge...\It fixed itself!\It's connected to the other bank.\Telling us to cross it then...\This may be a trap after all. response:	I'm kind of scared!
context: What the...?\What's this?!\The bridge...\It fixed itself!\It's connected to the other bank.\Telling us to cross it then...\This may be a trap after all.\I'm kind of scared! response:	I don't know who's behind it, but I say we go!
context: What's this?!\The bridge...\It fixed itself!\It's connected to the other bank.\Telling us to cross it then...\This may be a trap after all.\I'm kind of scared!\I don't know who's behind it, but I say we go! response:	Then you go first, Natsu!
context: The bridge...\It fixed itself!\It's connected to the other bank.\Telling us to cross it then...\This may be a trap after all.\I'm kind of scared!\I don't know who's behind it, but I say we go!\Then you go first, Natsu! response:	Alright! Go!
context: It fixed itself!\It's connected to the other bank.\Telling us to cross it then...\This may be a trap after all.\I'm kind of scared!\I don't know who's behind it, but I say we go!\Then you go first, Natsu!\Alright! Go! response:	Don't suddenly push me! You scared the crap outta me!
context: It's connected to the other bank.\Telling us to cross it then...\This may be a trap after all.\I'm kind of scared!\I don't know who's behind it, but I say we go!\Then you go first, Natsu!\Alright! Go!\Don't suddenly push me! You scared the crap outta me! response:	He gets motion sickness even on a hanging bridge?
context: Telling us to cross it then...\This may be a trap after all.\I'm kind of scared!\I don't know who's behind it, but I say we go!\Then you go first, Natsu!\Alright! Go!\Don't suddenly push me! You scared the crap outta me!\He gets motion sickness even on a hanging bridge? response:	Damn you, suspension bridge! I'll show you to underestimate me!
context: This may be a trap after all.\I'm kind of scared!\I don't know who's behind it, but I say we go!\Then you go first, Natsu!\Alright! Go!\Don't suddenly push me! You scared the crap outta me!\He gets motion sickness even on a hanging bridge?\Damn you, suspension bridge! I'll show you to underestimate me! response:	I really thought that anybody who crossed this bridge would fall down the gorge...
context: I'm kind of scared!\I don't know who's behind it, but I say we go!\Then you go first, Natsu!\Alright! Go!\Don't suddenly push me! You scared the crap outta me!\He gets motion sickness even on a hanging bridge?\Damn you, suspension bridge! I'll show you to underestimate me!\I really thought that anybody who crossed this bridge would fall down the gorge... response:	What am I, a guinea pig?!
context: I don't know who's behind it, but I say we go!\Then you go first, Natsu!\Alright! Go!\Don't suddenly push me! You scared the crap outta me!\He gets motion sickness even on a hanging bridge?\Damn you, suspension bridge! I'll show you to underestimate me!\I really thought that anybody who crossed this bridge would fall down the gorge...\What am I, a guinea pig?! response:	Thanks to Natsu, we know it's safe.
context: Then you go first, Natsu!\Alright! Go!\Don't suddenly push me! You scared the crap outta me!\He gets motion sickness even on a hanging bridge?\Damn you, suspension bridge! I'll show you to underestimate me!\I really thought that anybody who crossed this bridge would fall down the gorge...\What am I, a guinea pig?!\Thanks to Natsu, we know it's safe. response:	Let's all go!
context: Alright! Go!\Don't suddenly push me! You scared the crap outta me!\He gets motion sickness even on a hanging bridge?\Damn you, suspension bridge! I'll show you to underestimate me!\I really thought that anybody who crossed this bridge would fall down the gorge...\What am I, a guinea pig?!\Thanks to Natsu, we know it's safe.\Let's all go! response:	Come out, come out, wherever you are.
context: Don't suddenly push me! You scared the crap outta me!\He gets motion sickness even on a hanging bridge?\Damn you, suspension bridge! I'll show you to underestimate me!\I really thought that anybody who crossed this bridge would fall down the gorge...\What am I, a guinea pig?!\Thanks to Natsu, we know it's safe.\Let's all go!\Come out, come out, wherever you are. response:	Yeah. And if it's a strong opponent, all the better for our training.
context: He gets motion sickness even on a hanging bridge?\Damn you, suspension bridge! I'll show you to underestimate me!\I really thought that anybody who crossed this bridge would fall down the gorge...\What am I, a guinea pig?!\Thanks to Natsu, we know it's safe.\Let's all go!\Come out, come out, wherever you are.\Yeah. And if it's a strong opponent, all the better for our training. response:	Is training all you think about?
context: Damn you, suspension bridge! I'll show you to underestimate me!\I really thought that anybody who crossed this bridge would fall down the gorge...\What am I, a guinea pig?!\Thanks to Natsu, we know it's safe.\Let's all go!\Come out, come out, wherever you are.\Yeah. And if it's a strong opponent, all the better for our training.\Is training all you think about? response:	People are over there!
context: I really thought that anybody who crossed this bridge would fall down the gorge...\What am I, a guinea pig?!\Thanks to Natsu, we know it's safe.\Let's all go!\Come out, come out, wherever you are.\Yeah. And if it's a strong opponent, all the better for our training.\Is training all you think about?\People are over there! response:	Be careful, everyone!
context: What am I, a guinea pig?!\Thanks to Natsu, we know it's safe.\Let's all go!\Come out, come out, wherever you are.\Yeah. And if it's a strong opponent, all the better for our training.\Is training all you think about?\People are over there!\Be careful, everyone! response:	They're...
context: Thanks to Natsu, we know it's safe.\Let's all go!\Come out, come out, wherever you are.\Yeah. And if it's a strong opponent, all the better for our training.\Is training all you think about?\People are over there!\Be careful, everyone!\They're... response:	Thank you...
context: Let's all go!\Come out, come out, wherever you are.\Yeah. And if it's a strong opponent, all the better for our training.\Is training all you think about?\People are over there!\Be careful, everyone!\They're...\Thank you... response:	Jellal!
context: Come out, come out, wherever you are.\Yeah. And if it's a strong opponent, all the better for our training.\Is training all you think about?\People are over there!\Be careful, everyone!\They're...\Thank you...\Jellal! response:	You haven't changed, Erza.
context: Yeah. And if it's a strong opponent, all the better for our training.\Is training all you think about?\People are over there!\Be careful, everyone!\They're...\Thank you...\Jellal!\You haven't changed, Erza. response:	Have you already heard how I escaped?
context: Is training all you think about?\People are over there!\Be careful, everyone!\They're...\Thank you...\Jellal!\You haven't changed, Erza.\Have you already heard how I escaped? response:	Yeah.
context: People are over there!\Be careful, everyone!\They're...\Thank you...\Jellal!\You haven't changed, Erza.\Have you already heard how I escaped?\Yeah. response:	Although I didn't intend to...
context: Be careful, everyone!\They're...\Thank you...\Jellal!\You haven't changed, Erza.\Have you already heard how I escaped?\Yeah.\Although I didn't intend to... response:	Meldy and I broke him out of prison.
context: They're...\Thank you...\Jellal!\You haven't changed, Erza.\Have you already heard how I escaped?\Yeah.\Although I didn't intend to...\Meldy and I broke him out of prison. response:	I didn't do anything.
context: Thank you...\Jellal!\You haven't changed, Erza.\Have you already heard how I escaped?\Yeah.\Although I didn't intend to...\Meldy and I broke him out of prison.\I didn't do anything. response:	Ultear, you did most of it by yourself.
context: Jellal!\You haven't changed, Erza.\Have you already heard how I escaped?\Yeah.\Although I didn't intend to...\Meldy and I broke him out of prison.\I didn't do anything.\Ultear, you did most of it by yourself. response:	Meldy...
context: You haven't changed, Erza.\Have you already heard how I escaped?\Yeah.\Although I didn't intend to...\Meldy and I broke him out of prison.\I didn't do anything.\Ultear, you did most of it by yourself.\Meldy... response:	Juvia! Long time no see!
