context: Signs response:	Point
context: Oh, Isshiki! You sort of look like a grade schooler.\The bursts of sunlight and gamma rays are threatening me with death!\Dark Limited Unknown Shield, equip! Yeah!\Her eighth-grader syndrome is more like second-grader syndrome now.\Did you say something, Fake Summer?!\Huh? I didn't say a word!\Oh, really?\It sure sounded like you lumped me together with that crew-cut kid! response:	Who're you calling crew-cut kid?!
context: The bursts of sunlight and gamma rays are threatening me with death!\Dark Limited Unknown Shield, equip! Yeah!\Her eighth-grader syndrome is more like second-grader syndrome now.\Did you say something, Fake Summer?!\Huh? I didn't say a word!\Oh, really?\It sure sounded like you lumped me together with that crew-cut kid!\Who're you calling crew-cut kid?! response:	The grade schoolers have two options: silence or death!
context: Dark Limited Unknown Shield, equip! Yeah!\Her eighth-grader syndrome is more like second-grader syndrome now.\Did you say something, Fake Summer?!\Huh? I didn't say a word!\Oh, really?\It sure sounded like you lumped me together with that crew-cut kid!\Who're you calling crew-cut kid?!\The grade schoolers have two options: silence or death! response:	Come with Rikka on our summer vacation.
context: Her eighth-grader syndrome is more like second-grader syndrome now.\Did you say something, Fake Summer?!\Huh? I didn't say a word!\Oh, really?\It sure sounded like you lumped me together with that crew-cut kid!\Who're you calling crew-cut kid?!\The grade schoolers have two options: silence or death!\Come with Rikka on our summer vacation. response:	I need you.
context: Did you say something, Fake Summer?!\Huh? I didn't say a word!\Oh, really?\It sure sounded like you lumped me together with that crew-cut kid!\Who're you calling crew-cut kid?!\The grade schoolers have two options: silence or death!\Come with Rikka on our summer vacation.\I need you. response:	Hear that, Fake Summer?!
context: Huh? I didn't say a word!\Oh, really?\It sure sounded like you lumped me together with that crew-cut kid!\Who're you calling crew-cut kid?!\The grade schoolers have two options: silence or death!\Come with Rikka on our summer vacation.\I need you.\Hear that, Fake Summer?! response:	Summer's here.
context: Oh, really?\It sure sounded like you lumped me together with that crew-cut kid!\Who're you calling crew-cut kid?!\The grade schoolers have two options: silence or death!\Come with Rikka on our summer vacation.\I need you.\Hear that, Fake Summer?!\Summer's here. response:	You wanna fight? I won't hold back!
context: It sure sounded like you lumped me together with that crew-cut kid!\Who're you calling crew-cut kid?!\The grade schoolers have two options: silence or death!\Come with Rikka on our summer vacation.\I need you.\Hear that, Fake Summer?!\Summer's here.\You wanna fight? I won't hold back! response:	Punish her!
context: Who're you calling crew-cut kid?!\The grade schoolers have two options: silence or death!\Come with Rikka on our summer vacation.\I need you.\Hear that, Fake Summer?!\Summer's here.\You wanna fight? I won't hold back!\Punish her! response:	Summer vacation's here.
context: The grade schoolers have two options: silence or death!\Come with Rikka on our summer vacation.\I need you.\Hear that, Fake Summer?!\Summer's here.\You wanna fight? I won't hold back!\Punish her!\Summer vacation's here. response:	Good luck!
context: Come with Rikka on our summer vacation.\I need you.\Hear that, Fake Summer?!\Summer's here.\You wanna fight? I won't hold back!\Punish her!\Summer vacation's here.\Good luck! response:	Motion sickness? Seriously?
context: I need you.\Hear that, Fake Summer?!\Summer's here.\You wanna fight? I won't hold back!\Punish her!\Summer vacation's here.\Good luck!\Motion sickness? Seriously? response:	Told you she's like a grade schooler.
context: Hear that, Fake Summer?!\Summer's here.\You wanna fight? I won't hold back!\Punish her!\Summer vacation's here.\Good luck!\Motion sickness? Seriously?\Told you she's like a grade schooler. response:	Shut up!
context: Summer's here.\You wanna fight? I won't hold back!\Punish her!\Summer vacation's here.\Good luck!\Motion sickness? Seriously?\Told you she's like a grade schooler.\Shut up! response:	Just look out the window! Watch the trees in the distance!
context: You wanna fight? I won't hold back!\Punish her!\Summer vacation's here.\Good luck!\Motion sickness? Seriously?\Told you she's like a grade schooler.\Shut up!\Just look out the window! Watch the trees in the distance! response:	Shut up!
context: Punish her!\Summer vacation's here.\Good luck!\Motion sickness? Seriously?\Told you she's like a grade schooler.\Shut up!\Just look out the window! Watch the trees in the distance!\Shut up! response:	At times like this I must summon the wisdom of the Mabinogion
context: Summer vacation's here.\Good luck!\Motion sickness? Seriously?\Told you she's like a grade schooler.\Shut up!\Just look out the window! Watch the trees in the distance!\Shut up!\At times like this I must summon the wisdom of the Mabinogion response:	to purge myself of this malady!
context: Good luck!\Motion sickness? Seriously?\Told you she's like a grade schooler.\Shut up!\Just look out the window! Watch the trees in the distance!\Shut up!\At times like this I must summon the wisdom of the Mabinogion\to purge myself of this malady! response:	The soul is th
context: Motion sickness? Seriously?\Told you she's like a grade schooler.\Shut up!\Just look out the window! Watch the trees in the distance!\Shut up!\At times like this I must summon the wisdom of the Mabinogion\to purge myself of this malady!\The soul is th response:	That'll make it worse!
context: Told you she's like a grade schooler.\Shut up!\Just look out the window! Watch the trees in the distance!\Shut up!\At times like this I must summon the wisdom of the Mabinogion\to purge myself of this malady!\The soul is th\That'll make it worse! response:	Nibutani, there's a restroom that way. Could you?
context: Shut up!\Just look out the window! Watch the trees in the distance!\Shut up!\At times like this I must summon the wisdom of the Mabinogion\to purge myself of this malady!\The soul is th\That'll make it worse!\Nibutani, there's a restroom that way. Could you? response:	Why me?!
context: Just look out the window! Watch the trees in the distance!\Shut up!\At times like this I must summon the wisdom of the Mabinogion\to purge myself of this malady!\The soul is th\That'll make it worse!\Nibutani, there's a restroom that way. Could you?\Why me?! response:	I think a guy going there with a girl would raise a few eyebrows.
context: Shut up!\At times like this I must summon the wisdom of the Mabinogion\to purge myself of this malady!\The soul is th\That'll make it worse!\Nibutani, there's a restroom that way. Could you?\Why me?!\I think a guy going there with a girl would raise a few eyebrows. response:	I'd sooner face death than accept help from a fake!
context: At times like this I must summon the wisdom of the Mabinogion\to purge myself of this malady!\The soul is th\That'll make it worse!\Nibutani, there's a restroom that way. Could you?\Why me?!\I think a guy going there with a girl would raise a few eyebrows.\I'd sooner face death than accept help from a fake! response:	Oh, geez...
context: to purge myself of this malady!\The soul is th\That'll make it worse!\Nibutani, there's a restroom that way. Could you?\Why me?!\I think a guy going there with a girl would raise a few eyebrows.\I'd sooner face death than accept help from a fake!\Oh, geez... response:	D-Don't touch me!
context: The soul is th\That'll make it worse!\Nibutani, there's a restroom that way. Could you?\Why me?!\I think a guy going there with a girl would raise a few eyebrows.\I'd sooner face death than accept help from a fake!\Oh, geez...\D-Don't touch me! response:	Hang in there. We don't have long to go.
context: That'll make it worse!\Nibutani, there's a restroom that way. Could you?\Why me?!\I think a guy going there with a girl would raise a few eyebrows.\I'd sooner face death than accept help from a fake!\Oh, geez...\D-Don't touch me!\Hang in there. We don't have long to go. response:	Aided by my enemy in my greatest moment of distress. This could be deathly cool.
context: Nibutani, there's a restroom that way. Could you?\Why me?!\I think a guy going there with a girl would raise a few eyebrows.\I'd sooner face death than accept help from a fake!\Oh, geez...\D-Don't touch me!\Hang in there. We don't have long to go.\Aided by my enemy in my greatest moment of distress. This could be deathly cool. response:	Don't talk.
context: Why me?!\I think a guy going there with a girl would raise a few eyebrows.\I'd sooner face death than accept help from a fake!\Oh, geez...\D-Don't touch me!\Hang in there. We don't have long to go.\Aided by my enemy in my greatest moment of distress. This could be deathly cool.\Don't talk. response:	Isshiki, you help too!
context: I think a guy going there with a girl would raise a few eyebrows.\I'd sooner face death than accept help from a fake!\Oh, geez...\D-Don't touch me!\Hang in there. We don't have long to go.\Aided by my enemy in my greatest moment of distress. This could be deathly cool.\Don't talk.\Isshiki, you help too! response:	Isshiki?
context: I'd sooner face death than accept help from a fake!\Oh, geez...\D-Don't touch me!\Hang in there. We don't have long to go.\Aided by my enemy in my greatest moment of distress. This could be deathly cool.\Don't talk.\Isshiki, you help too!\Isshiki? response:	A mole!
context: Oh, geez...\D-Don't touch me!\Hang in there. We don't have long to go.\Aided by my enemy in my greatest moment of distress. This could be deathly cool.\Don't talk.\Isshiki, you help too!\Isshiki?\A mole! response:	It's obvious as hell where you're looking.
context: D-Don't touch me!\Hang in there. We don't have long to go.\Aided by my enemy in my greatest moment of distress. This could be deathly cool.\Don't talk.\Isshiki, you help too!\Isshiki?\A mole!\It's obvious as hell where you're looking. response:	Come along.
context: Hang in there. We don't have long to go.\Aided by my enemy in my greatest moment of distress. This could be deathly cool.\Don't talk.\Isshiki, you help too!\Isshiki?\A mole!\It's obvious as hell where you're looking.\Come along. response:	Okay.
context: Aided by my enemy in my greatest moment of distress. This could be deathly cool.\Don't talk.\Isshiki, you help too!\Isshiki?\A mole!\It's obvious as hell where you're looking.\Come along.\Okay. response:	Just a little longer.
context: Don't talk.\Isshiki, you help too!\Isshiki?\A mole!\It's obvious as hell where you're looking.\Come along.\Okay.\Just a little longer. response:	Hey.
context: Isshiki, you help too!\Isshiki?\A mole!\It's obvious as hell where you're looking.\Come along.\Okay.\Just a little longer.\Hey. response:	Rikka.
context: Isshiki?\A mole!\It's obvious as hell where you're looking.\Come along.\Okay.\Just a little longer.\Hey.\Rikka. response:	What?
context: A mole!\It's obvious as hell where you're looking.\Come along.\Okay.\Just a little longer.\Hey.\Rikka.\What? response:	Aren't you gonna react in some way?!
context: It's obvious as hell where you're looking.\Come along.\Okay.\Just a little longer.\Hey.\Rikka.\What?\Aren't you gonna react in some way?! response:	Or have you got motion sickness too?
context: Come along.\Okay.\Just a little longer.\Hey.\Rikka.\What?\Aren't you gonna react in some way?!\Or have you got motion sickness too? response:	I'm fine.
context: Okay.\Just a little longer.\Hey.\Rikka.\What?\Aren't you gonna react in some way?!\Or have you got motion sickness too?\I'm fine. response:	I have trained myself well.
context: Just a little longer.\Hey.\Rikka.\What?\Aren't you gonna react in some way?!\Or have you got motion sickness too?\I'm fine.\I have trained myself well. response:	Then why are you so quiet?
context: Hey.\Rikka.\What?\Aren't you gonna react in some way?!\Or have you got motion sickness too?\I'm fine.\I have trained myself well.\Then why are you so quiet? response:	I'm worried too.
context: Rikka.\What?\Aren't you gonna react in some way?!\Or have you got motion sickness too?\I'm fine.\I have trained myself well.\Then why are you so quiet?\I'm worried too. response:	You're awake?
context: What?\Aren't you gonna react in some way?!\Or have you got motion sickness too?\I'm fine.\I have trained myself well.\Then why are you so quiet?\I'm worried too.\You're awake? response:	Did something happen, Rikka?
context: Aren't you gonna react in some way?!\Or have you got motion sickness too?\I'm fine.\I have trained myself well.\Then why are you so quiet?\I'm worried too.\You're awake?\Did something happen, Rikka? response:	Not that I know of...
context: Or have you got motion sickness too?\I'm fine.\I have trained myself well.\Then why are you so quiet?\I'm worried too.\You're awake?\Did something happen, Rikka?\Not that I know of... response:	The world is spinning like a carousel of death!
context: I'm fine.\I have trained myself well.\Then why are you so quiet?\I'm worried too.\You're awake?\Did something happen, Rikka?\Not that I know of...\The world is spinning like a carousel of death! response:	Mjolnir Tornado...
context: I have trained myself well.\Then why are you so quiet?\I'm worried too.\You're awake?\Did something happen, Rikka?\Not that I know of...\The world is spinning like a carousel of death!\Mjolnir Tornado... response:	I told you to shut up!
context: Then why are you so quiet?\I'm worried too.\You're awake?\Did something happen, Rikka?\Not that I know of...\The world is spinning like a carousel of death!\Mjolnir Tornado...\I told you to shut up! response:	Geez.
context: I'm worried too.\You're awake?\Did something happen, Rikka?\Not that I know of...\The world is spinning like a carousel of death!\Mjolnir Tornado...\I told you to shut up!\Geez. response:	Why do I have to take care of her?
context: You're awake?\Did something happen, Rikka?\Not that I know of...\The world is spinning like a carousel of death!\Mjolnir Tornado...\I told you to shut up!\Geez.\Why do I have to take care of her? response:	You make a good class rep. You're good at taking care of others.
context: Did something happen, Rikka?\Not that I know of...\The world is spinning like a carousel of death!\Mjolnir Tornado...\I told you to shut up!\Geez.\Why do I have to take care of her?\You make a good class rep. You're good at taking care of others. response:	Doesn't mean I like it!
context: Not that I know of...\The world is spinning like a carousel of death!\Mjolnir Tornado...\I told you to shut up!\Geez.\Why do I have to take care of her?\You make a good class rep. You're good at taking care of others.\Doesn't mean I like it! response:	This is all'cos you had to barf all over us!
context: The world is spinning like a carousel of death!\Mjolnir Tornado...\I told you to shut up!\Geez.\Why do I have to take care of her?\You make a good class rep. You're good at taking care of others.\Doesn't mean I like it!\This is all'cos you had to barf all over us! response:	By the way, is she all right?
context: Mjolnir Tornado...\I told you to shut up!\Geez.\Why do I have to take care of her?\You make a good class rep. You're good at taking care of others.\Doesn't mean I like it!\This is all'cos you had to barf all over us!\By the way, is she all right? response:	Takanashi did invite us.
context: I told you to shut up!\Geez.\Why do I have to take care of her?\You make a good class rep. You're good at taking care of others.\Doesn't mean I like it!\This is all'cos you had to barf all over us!\By the way, is she all right?\Takanashi did invite us. response:	I'm going home. Want to come along to hang out?
context: Geez.\Why do I have to take care of her?\You make a good class rep. You're good at taking care of others.\Doesn't mean I like it!\This is all'cos you had to barf all over us!\By the way, is she all right?\Takanashi did invite us.\I'm going home. Want to come along to hang out? response:	No one invited you, though.
context: Why do I have to take care of her?\You make a good class rep. You're good at taking care of others.\Doesn't mean I like it!\This is all'cos you had to barf all over us!\By the way, is she all right?\Takanashi did invite us.\I'm going home. Want to come along to hang out?\No one invited you, though. response:	Maybe there's something here for her.
context: You make a good class rep. You're good at taking care of others.\Doesn't mean I like it!\This is all'cos you had to barf all over us!\By the way, is she all right?\Takanashi did invite us.\I'm going home. Want to come along to hang out?\No one invited you, though.\Maybe there's something here for her. response:	How do you mean?
context: Doesn't mean I like it!\This is all'cos you had to barf all over us!\By the way, is she all right?\Takanashi did invite us.\I'm going home. Want to come along to hang out?\No one invited you, though.\Maybe there's something here for her.\How do you mean? response:	You know, the usual kind of thing!
context: This is all'cos you had to barf all over us!\By the way, is she all right?\Takanashi did invite us.\I'm going home. Want to come along to hang out?\No one invited you, though.\Maybe there's something here for her.\How do you mean?\You know, the usual kind of thing! response:	Maybe her sweetheart from junior high went to a different high school,
context: By the way, is she all right?\Takanashi did invite us.\I'm going home. Want to come along to hang out?\No one invited you, though.\Maybe there's something here for her.\How do you mean?\You know, the usual kind of thing!\Maybe her sweetheart from junior high went to a different high school, response:	but they waited for each other in a kind of long-distance relationship...
context: Takanashi did invite us.\I'm going home. Want to come along to hang out?\No one invited you, though.\Maybe there's something here for her.\How do you mean?\You know, the usual kind of thing!\Maybe her sweetheart from junior high went to a different high school,\but they waited for each other in a kind of long-distance relationship... response:	In other words, a battlefield of love?
context: I'm going home. Want to come along to hang out?\No one invited you, though.\Maybe there's something here for her.\How do you mean?\You know, the usual kind of thing!\Maybe her sweetheart from junior high went to a different high school,\but they waited for each other in a kind of long-distance relationship...\In other words, a battlefield of love? response:	Battlefield of Love is a powerful barrier spell...
context: No one invited you, though.\Maybe there's something here for her.\How do you mean?\You know, the usual kind of thing!\Maybe her sweetheart from junior high went to a different high school,\but they waited for each other in a kind of long-distance relationship...\In other words, a battlefield of love?\Battlefield of Love is a powerful barrier spell... response:	Nobody asked you!
context: Maybe there's something here for her.\How do you mean?\You know, the usual kind of thing!\Maybe her sweetheart from junior high went to a different high school,\but they waited for each other in a kind of long-distance relationship...\In other words, a battlefield of love?\Battlefield of Love is a powerful barrier spell...\Nobody asked you! response:	Love, huh?
context: How do you mean?\You know, the usual kind of thing!\Maybe her sweetheart from junior high went to a different high school,\but they waited for each other in a kind of long-distance relationship...\In other words, a battlefield of love?\Battlefield of Love is a powerful barrier spell...\Nobody asked you!\Love, huh? response:	My Wicked Eye...
context: You know, the usual kind of thing!\Maybe her sweetheart from junior high went to a different high school,\but they waited for each other in a kind of long-distance relationship...\In other words, a battlefield of love?\Battlefield of Love is a powerful barrier spell...\Nobody asked you!\Love, huh?\My Wicked Eye... response:	is yours.
context: Maybe her sweetheart from junior high went to a different high school,\but they waited for each other in a kind of long-distance relationship...\In other words, a battlefield of love?\Battlefield of Love is a powerful barrier spell...\Nobody asked you!\Love, huh?\My Wicked Eye...\is yours. response:	No way.
context: but they waited for each other in a kind of long-distance relationship...\In other words, a battlefield of love?\Battlefield of Love is a powerful barrier spell...\Nobody asked you!\Love, huh?\My Wicked Eye...\is yours.\No way. response:	Look!
context: In other words, a battlefield of love?\Battlefield of Love is a powerful barrier spell...\Nobody asked you!\Love, huh?\My Wicked Eye...\is yours.\No way.\Look! response:	Who's that?
context: Battlefield of Love is a powerful barrier spell...\Nobody asked you!\Love, huh?\My Wicked Eye...\is yours.\No way.\Look!\Who's that? response:	Tooka. Rikka's sister.
context: Nobody asked you!\Love, huh?\My Wicked Eye...\is yours.\No way.\Look!\Who's that?\Tooka. Rikka's sister. response:	What's going on?
context: Love, huh?\My Wicked Eye...\is yours.\No way.\Look!\Who's that?\Tooka. Rikka's sister.\What's going on? response:	It's such a big house!
context: My Wicked Eye...\is yours.\No way.\Look!\Who's that?\Tooka. Rikka's sister.\What's going on?\It's such a big house! response:	Takanashi, you're rich?
context: is yours.\No way.\Look!\Who's that?\Tooka. Rikka's sister.\What's going on?\It's such a big house!\Takanashi, you're rich? response:	Thank you for coming all this way.
context: No way.\Look!\Who's that?\Tooka. Rikka's sister.\What's going on?\It's such a big house!\Takanashi, you're rich?\Thank you for coming all this way. response:	Oh, no!
context: Look!\Who's that?\Tooka. Rikka's sister.\What's going on?\It's such a big house!\Takanashi, you're rich?\Thank you for coming all this way.\Oh, no! response:	Takanashi always does so much for us,
context: Who's that?\Tooka. Rikka's sister.\What's going on?\It's such a big house!\Takanashi, you're rich?\Thank you for coming all this way.\Oh, no!\Takanashi always does so much for us, response:	and now you've even invited us into your home.
context: Tooka. Rikka's sister.\What's going on?\It's such a big house!\Takanashi, you're rich?\Thank you for coming all this way.\Oh, no!\Takanashi always does so much for us,\and now you've even invited us into your home. response:	I'm still worried that we're imposing on you.
context: What's going on?\It's such a big house!\Takanashi, you're rich?\Thank you for coming all this way.\Oh, no!\Takanashi always does so much for us,\and now you've even invited us into your home.\I'm still worried that we're imposing on you. response:	Not at all.
context: It's such a big house!\Takanashi, you're rich?\Thank you for coming all this way.\Oh, no!\Takanashi always does so much for us,\and now you've even invited us into your home.\I'm still worried that we're imposing on you.\Not at all. response:	So, Rikka's still pretending to be a pirate?
context: Takanashi, you're rich?\Thank you for coming all this way.\Oh, no!\Takanashi always does so much for us,\and now you've even invited us into your home.\I'm still worried that we're imposing on you.\Not at all.\So, Rikka's still pretending to be a pirate? response:	The things kids do these days.
context: Thank you for coming all this way.\Oh, no!\Takanashi always does so much for us,\and now you've even invited us into your home.\I'm still worried that we're imposing on you.\Not at all.\So, Rikka's still pretending to be a pirate?\The things kids do these days. response:	I hoped she'd have grown up a little...
context: Oh, no!\Takanashi always does so much for us,\and now you've even invited us into your home.\I'm still worried that we're imposing on you.\Not at all.\So, Rikka's still pretending to be a pirate?\The things kids do these days.\I hoped she'd have grown up a little... response:	Dear!
context: Takanashi always does so much for us,\and now you've even invited us into your home.\I'm still worried that we're imposing on you.\Not at all.\So, Rikka's still pretending to be a pirate?\The things kids do these days.\I hoped she'd have grown up a little...\Dear! response:	Grandmother,
context: and now you've even invited us into your home.\I'm still worried that we're imposing on you.\Not at all.\So, Rikka's still pretending to be a pirate?\The things kids do these days.\I hoped she'd have grown up a little...\Dear!\Grandmother, response:	let's give them the Dark Brown Liquid!
context: I'm still worried that we're imposing on you.\Not at all.\So, Rikka's still pretending to be a pirate?\The things kids do these days.\I hoped she'd have grown up a little...\Dear!\Grandmother,\let's give them the Dark Brown Liquid! response:	Rikka!
context: Not at all.\So, Rikka's still pretending to be a pirate?\The things kids do these days.\I hoped she'd have grown up a little...\Dear!\Grandmother,\let's give them the Dark Brown Liquid!\Rikka! response:	Hey, Rikka!
context: So, Rikka's still pretending to be a pirate?\The things kids do these days.\I hoped she'd have grown up a little...\Dear!\Grandmother,\let's give them the Dark Brown Liquid!\Rikka!\Hey, Rikka! response:	Please accept this small token of our appreciation.
context: The things kids do these days.\I hoped she'd have grown up a little...\Dear!\Grandmother,\let's give them the Dark Brown Liquid!\Rikka!\Hey, Rikka!\Please accept this small token of our appreciation. response:	Thank you for having us.
context: I hoped she'd have grown up a little...\Dear!\Grandmother,\let's give them the Dark Brown Liquid!\Rikka!\Hey, Rikka!\Please accept this small token of our appreciation.\Thank you for having us. response:	Ah, please, don't worry about it.
context: Dear!\Grandmother,\let's give them the Dark Brown Liquid!\Rikka!\Hey, Rikka!\Please accept this small token of our appreciation.\Thank you for having us.\Ah, please, don't worry about it. response:	Just enjoy your stay.
context: Grandmother,\let's give them the Dark Brown Liquid!\Rikka!\Hey, Rikka!\Please accept this small token of our appreciation.\Thank you for having us.\Ah, please, don't worry about it.\Just enjoy your stay. response:	Thank you very much.
context: let's give them the Dark Brown Liquid!\Rikka!\Hey, Rikka!\Please accept this small token of our appreciation.\Thank you for having us.\Ah, please, don't worry about it.\Just enjoy your stay.\Thank you very much. response:	Wow, you're polite. Like an old lady.
context: Rikka!\Hey, Rikka!\Please accept this small token of our appreciation.\Thank you for having us.\Ah, please, don't worry about it.\Just enjoy your stay.\Thank you very much.\Wow, you're polite. Like an old lady. response:	Shut up!
context: Hey, Rikka!\Please accept this small token of our appreciation.\Thank you for having us.\Ah, please, don't worry about it.\Just enjoy your stay.\Thank you very much.\Wow, you're polite. Like an old lady.\Shut up! response:	What's that?!
context: Please accept this small token of our appreciation.\Thank you for having us.\Ah, please, don't worry about it.\Just enjoy your stay.\Thank you very much.\Wow, you're polite. Like an old lady.\Shut up!\What's that?! response:	A canine familiar?!
context: Thank you for having us.\Ah, please, don't worry about it.\Just enjoy your stay.\Thank you very much.\Wow, you're polite. Like an old lady.\Shut up!\What's that?!\A canine familiar?! response:	Deathly good! Send her to her death!
context: Ah, please, don't worry about it.\Just enjoy your stay.\Thank you very much.\Wow, you're polite. Like an old lady.\Shut up!\What's that?!\A canine familiar?!\Deathly good! Send her to her death! response:	Come in.
context: Just enjoy your stay.\Thank you very much.\Wow, you're polite. Like an old lady.\Shut up!\What's that?!\A canine familiar?!\Deathly good! Send her to her death!\Come in. response:	You don't have much stuff here.
context: Thank you very much.\Wow, you're polite. Like an old lady.\Shut up!\What's that?!\A canine familiar?!\Deathly good! Send her to her death!\Come in.\You don't have much stuff here. response:	What's that?
context: Wow, you're polite. Like an old lady.\Shut up!\What's that?!\A canine familiar?!\Deathly good! Send her to her death!\Come in.\You don't have much stuff here.\What's that? response:	I'm engaged in communications with the other side of the Ethereal Horizon.
context: Shut up!\What's that?!\A canine familiar?!\Deathly good! Send her to her death!\Come in.\You don't have much stuff here.\What's that?\I'm engaged in communications with the other side of the Ethereal Horizon. response:	Where did you find that? It's quite unusual.
context: What's that?!\A canine familiar?!\Deathly good! Send her to her death!\Come in.\You don't have much stuff here.\What's that?\I'm engaged in communications with the other side of the Ethereal Horizon.\Where did you find that? It's quite unusual. response:	I found it last year.
context: A canine familiar?!\Deathly good! Send her to her death!\Come in.\You don't have much stuff here.\What's that?\I'm engaged in communications with the other side of the Ethereal Horizon.\Where did you find that? It's quite unusual.\I found it last year. response:	I attempted to move it to my current base,
context: Deathly good! Send her to her death!\Come in.\You don't have much stuff here.\What's that?\I'm engaged in communications with the other side of the Ethereal Horizon.\Where did you find that? It's quite unusual.\I found it last year.\I attempted to move it to my current base, response:	but the Priestess denied me permission.
context: Come in.\You don't have much stuff here.\What's that?\I'm engaged in communications with the other side of the Ethereal Horizon.\Where did you find that? It's quite unusual.\I found it last year.\I attempted to move it to my current base,\but the Priestess denied me permission. response:	No surprise there.
context: You don't have much stuff here.\What's that?\I'm engaged in communications with the other side of the Ethereal Horizon.\Where did you find that? It's quite unusual.\I found it last year.\I attempted to move it to my current base,\but the Priestess denied me permission.\No surprise there. response:	What's wrong?
