context: And there! response:	What's all this?!
context: What's wrong?\We haven't had food or water for three days.\Isn't this good, Serina?\Uh-huh!\There's more. Another serving?\- Yes! - Please!\I'm the elder, Serina.\And I'm Suzuna. response:	After leaving the village,
context: We haven't had food or water for three days.\Isn't this good, Serina?\Uh-huh!\There's more. Another serving?\- Yes! - Please!\I'm the elder, Serina.\And I'm Suzuna.\After leaving the village, response:	we followed rumors in search of the Demon Slayers' hideout.
context: Isn't this good, Serina?\Uh-huh!\There's more. Another serving?\- Yes! - Please!\I'm the elder, Serina.\And I'm Suzuna.\After leaving the village,\we followed rumors in search of the Demon Slayers' hideout. response:	You attacked me knowing that I am a Demon Slayer?
context: Uh-huh!\There's more. Another serving?\- Yes! - Please!\I'm the elder, Serina.\And I'm Suzuna.\After leaving the village,\we followed rumors in search of the Demon Slayers' hideout.\You attacked me knowing that I am a Demon Slayer? response:	We just wanted to test your skills.
context: There's more. Another serving?\- Yes! - Please!\I'm the elder, Serina.\And I'm Suzuna.\After leaving the village,\we followed rumors in search of the Demon Slayers' hideout.\You attacked me knowing that I am a Demon Slayer?\We just wanted to test your skills. response:	You're pretty good, sister!
context: - Yes! - Please!\I'm the elder, Serina.\And I'm Suzuna.\After leaving the village,\we followed rumors in search of the Demon Slayers' hideout.\You attacked me knowing that I am a Demon Slayer?\We just wanted to test your skills.\You're pretty good, sister! response:	Please accept us as apprentices!
context: I'm the elder, Serina.\And I'm Suzuna.\After leaving the village,\we followed rumors in search of the Demon Slayers' hideout.\You attacked me knowing that I am a Demon Slayer?\We just wanted to test your skills.\You're pretty good, sister!\Please accept us as apprentices! response:	Apprentices?
context: And I'm Suzuna.\After leaving the village,\we followed rumors in search of the Demon Slayers' hideout.\You attacked me knowing that I am a Demon Slayer?\We just wanted to test your skills.\You're pretty good, sister!\Please accept us as apprentices!\Apprentices? response:	You need a massage, sister!
context: After leaving the village,\we followed rumors in search of the Demon Slayers' hideout.\You attacked me knowing that I am a Demon Slayer?\We just wanted to test your skills.\You're pretty good, sister!\Please accept us as apprentices!\Apprentices?\You need a massage, sister! response:	Teacher, please accept us!
context: we followed rumors in search of the Demon Slayers' hideout.\You attacked me knowing that I am a Demon Slayer?\We just wanted to test your skills.\You're pretty good, sister!\Please accept us as apprentices!\Apprentices?\You need a massage, sister!\Teacher, please accept us! response:	No.
context: You attacked me knowing that I am a Demon Slayer?\We just wanted to test your skills.\You're pretty good, sister!\Please accept us as apprentices!\Apprentices?\You need a massage, sister!\Teacher, please accept us!\No. response:	Oh c'mon, Teacher!
context: We just wanted to test your skills.\You're pretty good, sister!\Please accept us as apprentices!\Apprentices?\You need a massage, sister!\Teacher, please accept us!\No.\Oh c'mon, Teacher! response:	I said, no!
context: You're pretty good, sister!\Please accept us as apprentices!\Apprentices?\You need a massage, sister!\Teacher, please accept us!\No.\Oh c'mon, Teacher!\I said, no! response:	Please, Teacher!
context: Please accept us as apprentices!\Apprentices?\You need a massage, sister!\Teacher, please accept us!\No.\Oh c'mon, Teacher!\I said, no!\Please, Teacher! response:	I'm not your teacher.
context: Apprentices?\You need a massage, sister!\Teacher, please accept us!\No.\Oh c'mon, Teacher!\I said, no!\Please, Teacher!\I'm not your teacher. response:	And no is no!
context: You need a massage, sister!\Teacher, please accept us!\No.\Oh c'mon, Teacher!\I said, no!\Please, Teacher!\I'm not your teacher.\And no is no! response:	I'm in a hurry!
context: Teacher, please accept us!\No.\Oh c'mon, Teacher!\I said, no!\Please, Teacher!\I'm not your teacher.\And no is no!\I'm in a hurry! response:	We cannot return to our village until you take us in as your pupils...
context: No.\Oh c'mon, Teacher!\I said, no!\Please, Teacher!\I'm not your teacher.\And no is no!\I'm in a hurry!\We cannot return to our village until you take us in as your pupils... response:	and train us in the art of demon extermination!
context: Oh c'mon, Teacher!\I said, no!\Please, Teacher!\I'm not your teacher.\And no is no!\I'm in a hurry!\We cannot return to our village until you take us in as your pupils...\and train us in the art of demon extermination! response:	Please!
context: I said, no!\Please, Teacher!\I'm not your teacher.\And no is no!\I'm in a hurry!\We cannot return to our village until you take us in as your pupils...\and train us in the art of demon extermination!\Please! response:	There seems to be a reason for this.
context: Please, Teacher!\I'm not your teacher.\And no is no!\I'm in a hurry!\We cannot return to our village until you take us in as your pupils...\and train us in the art of demon extermination!\Please!\There seems to be a reason for this. response:	We live in a village of farmers in a clearing in the mountains.
context: I'm not your teacher.\And no is no!\I'm in a hurry!\We cannot return to our village until you take us in as your pupils...\and train us in the art of demon extermination!\Please!\There seems to be a reason for this.\We live in a village of farmers in a clearing in the mountains. response:	In order to expand the farms,
context: And no is no!\I'm in a hurry!\We cannot return to our village until you take us in as your pupils...\and train us in the art of demon extermination!\Please!\There seems to be a reason for this.\We live in a village of farmers in a clearing in the mountains.\In order to expand the farms, response:	we began clearing part of the mountain of our local deity.
context: I'm in a hurry!\We cannot return to our village until you take us in as your pupils...\and train us in the art of demon extermination!\Please!\There seems to be a reason for this.\We live in a village of farmers in a clearing in the mountains.\In order to expand the farms,\we began clearing part of the mountain of our local deity. response:	Then all kinds of demons began attacking us.
context: We cannot return to our village until you take us in as your pupils...\and train us in the art of demon extermination!\Please!\There seems to be a reason for this.\We live in a village of farmers in a clearing in the mountains.\In order to expand the farms,\we began clearing part of the mountain of our local deity.\Then all kinds of demons began attacking us. response:	Not just one or two!
context: and train us in the art of demon extermination!\Please!\There seems to be a reason for this.\We live in a village of farmers in a clearing in the mountains.\In order to expand the farms,\we began clearing part of the mountain of our local deity.\Then all kinds of demons began attacking us.\Not just one or two! response:	Many of our villagers have died.
context: Please!\There seems to be a reason for this.\We live in a village of farmers in a clearing in the mountains.\In order to expand the farms,\we began clearing part of the mountain of our local deity.\Then all kinds of demons began attacking us.\Not just one or two!\Many of our villagers have died. response:	It's fine if you're able to move to another village.
context: There seems to be a reason for this.\We live in a village of farmers in a clearing in the mountains.\In order to expand the farms,\we began clearing part of the mountain of our local deity.\Then all kinds of demons began attacking us.\Not just one or two!\Many of our villagers have died.\It's fine if you're able to move to another village. response:	But the elderly and those with children cannot leave...
context: We live in a village of farmers in a clearing in the mountains.\In order to expand the farms,\we began clearing part of the mountain of our local deity.\Then all kinds of demons began attacking us.\Not just one or two!\Many of our villagers have died.\It's fine if you're able to move to another village.\But the elderly and those with children cannot leave... response:	and each day is spent in dread.
context: In order to expand the farms,\we began clearing part of the mountain of our local deity.\Then all kinds of demons began attacking us.\Not just one or two!\Many of our villagers have died.\It's fine if you're able to move to another village.\But the elderly and those with children cannot leave...\and each day is spent in dread. response:	Hmm... The forest of the deity had provided a barrier for you.
context: we began clearing part of the mountain of our local deity.\Then all kinds of demons began attacking us.\Not just one or two!\Many of our villagers have died.\It's fine if you're able to move to another village.\But the elderly and those with children cannot leave...\and each day is spent in dread.\Hmm... The forest of the deity had provided a barrier for you. response:	We heard of a village of Demon Slayers.
context: Then all kinds of demons began attacking us.\Not just one or two!\Many of our villagers have died.\It's fine if you're able to move to another village.\But the elderly and those with children cannot leave...\and each day is spent in dread.\Hmm... The forest of the deity had provided a barrier for you.\We heard of a village of Demon Slayers. response:	As you can see, there are no Demon Slayers left.
context: Not just one or two!\Many of our villagers have died.\It's fine if you're able to move to another village.\But the elderly and those with children cannot leave...\and each day is spent in dread.\Hmm... The forest of the deity had provided a barrier for you.\We heard of a village of Demon Slayers.\As you can see, there are no Demon Slayers left. response:	Or I can go with you?
context: Many of our villagers have died.\It's fine if you're able to move to another village.\But the elderly and those with children cannot leave...\and each day is spent in dread.\Hmm... The forest of the deity had provided a barrier for you.\We heard of a village of Demon Slayers.\As you can see, there are no Demon Slayers left.\Or I can go with you? response:	Our village has no money for payment.
context: It's fine if you're able to move to another village.\But the elderly and those with children cannot leave...\and each day is spent in dread.\Hmm... The forest of the deity had provided a barrier for you.\We heard of a village of Demon Slayers.\As you can see, there are no Demon Slayers left.\Or I can go with you?\Our village has no money for payment. response:	We didn't come here thinking we would hire a Demon Slayer.
context: But the elderly and those with children cannot leave...\and each day is spent in dread.\Hmm... The forest of the deity had provided a barrier for you.\We heard of a village of Demon Slayers.\As you can see, there are no Demon Slayers left.\Or I can go with you?\Our village has no money for payment.\We didn't come here thinking we would hire a Demon Slayer. response:	And our village is so far away.
context: and each day is spent in dread.\Hmm... The forest of the deity had provided a barrier for you.\We heard of a village of Demon Slayers.\As you can see, there are no Demon Slayers left.\Or I can go with you?\Our village has no money for payment.\We didn't come here thinking we would hire a Demon Slayer.\And our village is so far away. response:	Thwarting them once or twice doesn't faze those demons.
context: Hmm... The forest of the deity had provided a barrier for you.\We heard of a village of Demon Slayers.\As you can see, there are no Demon Slayers left.\Or I can go with you?\Our village has no money for payment.\We didn't come here thinking we would hire a Demon Slayer.\And our village is so far away.\Thwarting them once or twice doesn't faze those demons. response:	So please train us!
context: We heard of a village of Demon Slayers.\As you can see, there are no Demon Slayers left.\Or I can go with you?\Our village has no money for payment.\We didn't come here thinking we would hire a Demon Slayer.\And our village is so far away.\Thwarting them once or twice doesn't faze those demons.\So please train us! response:	We'll do our best for everyone's sake!
context: As you can see, there are no Demon Slayers left.\Or I can go with you?\Our village has no money for payment.\We didn't come here thinking we would hire a Demon Slayer.\And our village is so far away.\Thwarting them once or twice doesn't faze those demons.\So please train us!\We'll do our best for everyone's sake! response:	Suzuna!
context: Or I can go with you?\Our village has no money for payment.\We didn't come here thinking we would hire a Demon Slayer.\And our village is so far away.\Thwarting them once or twice doesn't faze those demons.\So please train us!\We'll do our best for everyone's sake!\Suzuna! response:	I'll do my best!
context: Our village has no money for payment.\We didn't come here thinking we would hire a Demon Slayer.\And our village is so far away.\Thwarting them once or twice doesn't faze those demons.\So please train us!\We'll do our best for everyone's sake!\Suzuna!\I'll do my best! response:	You can't learn the Demon Slayers' art overnight.
context: We didn't come here thinking we would hire a Demon Slayer.\And our village is so far away.\Thwarting them once or twice doesn't faze those demons.\So please train us!\We'll do our best for everyone's sake!\Suzuna!\I'll do my best!\You can't learn the Demon Slayers' art overnight. response:	But I can teach you how to deter minor demons.
context: And our village is so far away.\Thwarting them once or twice doesn't faze those demons.\So please train us!\We'll do our best for everyone's sake!\Suzuna!\I'll do my best!\You can't learn the Demon Slayers' art overnight.\But I can teach you how to deter minor demons. response:	Thank you!
context: Thwarting them once or twice doesn't faze those demons.\So please train us!\We'll do our best for everyone's sake!\Suzuna!\I'll do my best!\You can't learn the Demon Slayers' art overnight.\But I can teach you how to deter minor demons.\Thank you! response:	They'll wait for me even if I delay my departure one or two days.
context: So please train us!\We'll do our best for everyone's sake!\Suzuna!\I'll do my best!\You can't learn the Demon Slayers' art overnight.\But I can teach you how to deter minor demons.\Thank you!\They'll wait for me even if I delay my departure one or two days. response:	Here are the weapons to slay demons.
context: We'll do our best for everyone's sake!\Suzuna!\I'll do my best!\You can't learn the Demon Slayers' art overnight.\But I can teach you how to deter minor demons.\Thank you!\They'll wait for me even if I delay my departure one or two days.\Here are the weapons to slay demons. response:	Yes!
context: Suzuna!\I'll do my best!\You can't learn the Demon Slayers' art overnight.\But I can teach you how to deter minor demons.\Thank you!\They'll wait for me even if I delay my departure one or two days.\Here are the weapons to slay demons.\Yes! response:	Let's try it here.
context: I'll do my best!\You can't learn the Demon Slayers' art overnight.\But I can teach you how to deter minor demons.\Thank you!\They'll wait for me even if I delay my departure one or two days.\Here are the weapons to slay demons.\Yes!\Let's try it here. response:	Don't just look, help fan!
context: You can't learn the Demon Slayers' art overnight.\But I can teach you how to deter minor demons.\Thank you!\They'll wait for me even if I delay my departure one or two days.\Here are the weapons to slay demons.\Yes!\Let's try it here.\Don't just look, help fan! response:	W-What is this?!
context: But I can teach you how to deter minor demons.\Thank you!\They'll wait for me even if I delay my departure one or two days.\Here are the weapons to slay demons.\Yes!\Let's try it here.\Don't just look, help fan!\W-What is this?! response:	A powder mixture of herbs and medicines which demons hate.
context: Thank you!\They'll wait for me even if I delay my departure one or two days.\Here are the weapons to slay demons.\Yes!\Let's try it here.\Don't just look, help fan!\W-What is this?!\A powder mixture of herbs and medicines which demons hate. response:	We can exterminate demons with this?!
context: They'll wait for me even if I delay my departure one or two days.\Here are the weapons to slay demons.\Yes!\Let's try it here.\Don't just look, help fan!\W-What is this?!\A powder mixture of herbs and medicines which demons hate.\We can exterminate demons with this?! response:	You can protect the village, yes!
context: Here are the weapons to slay demons.\Yes!\Let's try it here.\Don't just look, help fan!\W-What is this?!\A powder mixture of herbs and medicines which demons hate.\We can exterminate demons with this?!\You can protect the village, yes! response:	This smoke is really something, but...
context: Yes!\Let's try it here.\Don't just look, help fan!\W-What is this?!\A powder mixture of herbs and medicines which demons hate.\We can exterminate demons with this?!\You can protect the village, yes!\This smoke is really something, but... response:	Can we really beat them off with this?!
context: Let's try it here.\Don't just look, help fan!\W-What is this?!\A powder mixture of herbs and medicines which demons hate.\We can exterminate demons with this?!\You can protect the village, yes!\This smoke is really something, but...\Can we really beat them off with this?! response:	Sister...
context: Don't just look, help fan!\W-What is this?!\A powder mixture of herbs and medicines which demons hate.\We can exterminate demons with this?!\You can protect the village, yes!\This smoke is really something, but...\Can we really beat them off with this?!\Sister... response:	I mean, Teacher... Isn't there something more exciting?
context: W-What is this?!\A powder mixture of herbs and medicines which demons hate.\We can exterminate demons with this?!\You can protect the village, yes!\This smoke is really something, but...\Can we really beat them off with this?!\Sister...\I mean, Teacher... Isn't there something more exciting? response:	Learning tricks haphazardly can be dangerous.
context: A powder mixture of herbs and medicines which demons hate.\We can exterminate demons with this?!\You can protect the village, yes!\This smoke is really something, but...\Can we really beat them off with this?!\Sister...\I mean, Teacher... Isn't there something more exciting?\Learning tricks haphazardly can be dangerous. response:	It's late today. Tomorrow, I'll show you how to make this powder.
context: We can exterminate demons with this?!\You can protect the village, yes!\This smoke is really something, but...\Can we really beat them off with this?!\Sister...\I mean, Teacher... Isn't there something more exciting?\Learning tricks haphazardly can be dangerous.\It's late today. Tomorrow, I'll show you how to make this powder. response:	Sango didn't come back.
context: You can protect the village, yes!\This smoke is really something, but...\Can we really beat them off with this?!\Sister...\I mean, Teacher... Isn't there something more exciting?\Learning tricks haphazardly can be dangerous.\It's late today. Tomorrow, I'll show you how to make this powder.\Sango didn't come back. response:	Umm... I'd like to ask you a question.
context: This smoke is really something, but...\Can we really beat them off with this?!\Sister...\I mean, Teacher... Isn't there something more exciting?\Learning tricks haphazardly can be dangerous.\It's late today. Tomorrow, I'll show you how to make this powder.\Sango didn't come back.\Umm... I'd like to ask you a question. response:	Yes?
context: Can we really beat them off with this?!\Sister...\I mean, Teacher... Isn't there something more exciting?\Learning tricks haphazardly can be dangerous.\It's late today. Tomorrow, I'll show you how to make this powder.\Sango didn't come back.\Umm... I'd like to ask you a question.\Yes? response:	Will stroking a woman's bottom destroy mutual trust between two people?
context: Sister...\I mean, Teacher... Isn't there something more exciting?\Learning tricks haphazardly can be dangerous.\It's late today. Tomorrow, I'll show you how to make this powder.\Sango didn't come back.\Umm... I'd like to ask you a question.\Yes?\Will stroking a woman's bottom destroy mutual trust between two people? response:	Trust is also respecting the distance between each other.
context: I mean, Teacher... Isn't there something more exciting?\Learning tricks haphazardly can be dangerous.\It's late today. Tomorrow, I'll show you how to make this powder.\Sango didn't come back.\Umm... I'd like to ask you a question.\Yes?\Will stroking a woman's bottom destroy mutual trust between two people?\Trust is also respecting the distance between each other. response:	Is that how it is?
context: Learning tricks haphazardly can be dangerous.\It's late today. Tomorrow, I'll show you how to make this powder.\Sango didn't come back.\Umm... I'd like to ask you a question.\Yes?\Will stroking a woman's bottom destroy mutual trust between two people?\Trust is also respecting the distance between each other.\Is that how it is? response:	If Sango doesn't return, it's all your fault!
context: It's late today. Tomorrow, I'll show you how to make this powder.\Sango didn't come back.\Umm... I'd like to ask you a question.\Yes?\Will stroking a woman's bottom destroy mutual trust between two people?\Trust is also respecting the distance between each other.\Is that how it is?\If Sango doesn't return, it's all your fault! response:	She WILL return without fail!
context: Sango didn't come back.\Umm... I'd like to ask you a question.\Yes?\Will stroking a woman's bottom destroy mutual trust between two people?\Trust is also respecting the distance between each other.\Is that how it is?\If Sango doesn't return, it's all your fault!\She WILL return without fail! response:	He sounds confident, but he sure doesn't look it.
context: Umm... I'd like to ask you a question.\Yes?\Will stroking a woman's bottom destroy mutual trust between two people?\Trust is also respecting the distance between each other.\Is that how it is?\If Sango doesn't return, it's all your fault!\She WILL return without fail!\He sounds confident, but he sure doesn't look it. response:	Serina, just leave it to me!
context: Yes?\Will stroking a woman's bottom destroy mutual trust between two people?\Trust is also respecting the distance between each other.\Is that how it is?\If Sango doesn't return, it's all your fault!\She WILL return without fail!\He sounds confident, but he sure doesn't look it.\Serina, just leave it to me! response:	So easy! Can't beat a ninja's skills.
context: Will stroking a woman's bottom destroy mutual trust between two people?\Trust is also respecting the distance between each other.\Is that how it is?\If Sango doesn't return, it's all your fault!\She WILL return without fail!\He sounds confident, but he sure doesn't look it.\Serina, just leave it to me!\So easy! Can't beat a ninja's skills. response:	You're so dependable!
context: Trust is also respecting the distance between each other.\Is that how it is?\If Sango doesn't return, it's all your fault!\She WILL return without fail!\He sounds confident, but he sure doesn't look it.\Serina, just leave it to me!\So easy! Can't beat a ninja's skills.\You're so dependable! response:	Look!
context: Is that how it is?\If Sango doesn't return, it's all your fault!\She WILL return without fail!\He sounds confident, but he sure doesn't look it.\Serina, just leave it to me!\So easy! Can't beat a ninja's skills.\You're so dependable!\Look! response:	It's just like Pa said...
context: If Sango doesn't return, it's all your fault!\She WILL return without fail!\He sounds confident, but he sure doesn't look it.\Serina, just leave it to me!\So easy! Can't beat a ninja's skills.\You're so dependable!\Look!\It's just like Pa said... response:	The materials are the secret to the Demon Slayer's weapons!
context: She WILL return without fail!\He sounds confident, but he sure doesn't look it.\Serina, just leave it to me!\So easy! Can't beat a ninja's skills.\You're so dependable!\Look!\It's just like Pa said...\The materials are the secret to the Demon Slayer's weapons! response:	Materials?
context: He sounds confident, but he sure doesn't look it.\Serina, just leave it to me!\So easy! Can't beat a ninja's skills.\You're so dependable!\Look!\It's just like Pa said...\The materials are the secret to the Demon Slayer's weapons!\Materials? response:	The fangs of demons, bones, hides...
context: Serina, just leave it to me!\So easy! Can't beat a ninja's skills.\You're so dependable!\Look!\It's just like Pa said...\The materials are the secret to the Demon Slayer's weapons!\Materials?\The fangs of demons, bones, hides... response:	No wonder Slayers can counter demon attacks.
context: So easy! Can't beat a ninja's skills.\You're so dependable!\Look!\It's just like Pa said...\The materials are the secret to the Demon Slayer's weapons!\Materials?\The fangs of demons, bones, hides...\No wonder Slayers can counter demon attacks. response:	Then if we have these, we can...
context: You're so dependable!\Look!\It's just like Pa said...\The materials are the secret to the Demon Slayer's weapons!\Materials?\The fangs of demons, bones, hides...\No wonder Slayers can counter demon attacks.\Then if we have these, we can... response:	Become just as strong!
context: Look!\It's just like Pa said...\The materials are the secret to the Demon Slayer's weapons!\Materials?\The fangs of demons, bones, hides...\No wonder Slayers can counter demon attacks.\Then if we have these, we can...\Become just as strong! response:	Oww! Serina!
