context: There really aren't many espers, are there? response:	Potato
context: I'm gonna borrow him for a bit.\Him?\Someone's using my name and fighting?\Yeah. It's a student from Salt Middle School.\You might know him.\He's back there. You should go see for yourself.\Ritsu...\What are you doing? response:	Mob Psycho 100
context: Him?\Someone's using my name and fighting?\Yeah. It's a student from Salt Middle School.\You might know him.\He's back there. You should go see for yourself.\Ritsu...\What are you doing?\Mob Psycho 100 response:	The Older Brother Bows Destructive Intent
context: Someone's using my name and fighting?\Yeah. It's a student from Salt Middle School.\You might know him.\He's back there. You should go see for yourself.\Ritsu...\What are you doing?\Mob Psycho 100\The Older Brother Bows Destructive Intent response:	Nii-san... What are you doing here?
context: Yeah. It's a student from Salt Middle School.\You might know him.\He's back there. You should go see for yourself.\Ritsu...\What are you doing?\Mob Psycho 100\The Older Brother Bows Destructive Intent\Nii-san... What are you doing here? response:	I could ask you the same thing, Ritsu.
context: You might know him.\He's back there. You should go see for yourself.\Ritsu...\What are you doing?\Mob Psycho 100\The Older Brother Bows Destructive Intent\Nii-san... What are you doing here?\I could ask you the same thing, Ritsu. response:	Oh, that's his younger brother.
context: He's back there. You should go see for yourself.\Ritsu...\What are you doing?\Mob Psycho 100\The Older Brother Bows Destructive Intent\Nii-san... What are you doing here?\I could ask you the same thing, Ritsu.\Oh, that's his younger brother. response:	Someone just showed up.
context: Ritsu...\What are you doing?\Mob Psycho 100\The Older Brother Bows Destructive Intent\Nii-san... What are you doing here?\I could ask you the same thing, Ritsu.\Oh, that's his younger brother.\Someone just showed up. response:	Who are all of these people on the ground?
context: What are you doing?\Mob Psycho 100\The Older Brother Bows Destructive Intent\Nii-san... What are you doing here?\I could ask you the same thing, Ritsu.\Oh, that's his younger brother.\Someone just showed up.\Who are all of these people on the ground? response:	Did you do this, Ritsu?
context: Mob Psycho 100\The Older Brother Bows Destructive Intent\Nii-san... What are you doing here?\I could ask you the same thing, Ritsu.\Oh, that's his younger brother.\Someone just showed up.\Who are all of these people on the ground?\Did you do this, Ritsu? response:	Ritsu?
context: The Older Brother Bows Destructive Intent\Nii-san... What are you doing here?\I could ask you the same thing, Ritsu.\Oh, that's his younger brother.\Someone just showed up.\Who are all of these people on the ground?\Did you do this, Ritsu?\Ritsu? response:	Yes, I did this.
context: Nii-san... What are you doing here?\I could ask you the same thing, Ritsu.\Oh, that's his younger brother.\Someone just showed up.\Who are all of these people on the ground?\Did you do this, Ritsu?\Ritsu?\Yes, I did this. response:	I'm not so boorish as to watch siblings fight.
context: I could ask you the same thing, Ritsu.\Oh, that's his younger brother.\Someone just showed up.\Who are all of these people on the ground?\Did you do this, Ritsu?\Ritsu?\Yes, I did this.\I'm not so boorish as to watch siblings fight. response:	Really? You really did this, Ritsu?
context: Oh, that's his younger brother.\Someone just showed up.\Who are all of these people on the ground?\Did you do this, Ritsu?\Ritsu?\Yes, I did this.\I'm not so boorish as to watch siblings fight.\Really? You really did this, Ritsu? response:	It's true.
context: Someone just showed up.\Who are all of these people on the ground?\Did you do this, Ritsu?\Ritsu?\Yes, I did this.\I'm not so boorish as to watch siblings fight.\Really? You really did this, Ritsu?\It's true. response:	It's not true.
context: Who are all of these people on the ground?\Did you do this, Ritsu?\Ritsu?\Yes, I did this.\I'm not so boorish as to watch siblings fight.\Really? You really did this, Ritsu?\It's true.\It's not true. response:	There's no way you would do this.
context: Did you do this, Ritsu?\Ritsu?\Yes, I did this.\I'm not so boorish as to watch siblings fight.\Really? You really did this, Ritsu?\It's true.\It's not true.\There's no way you would do this. response:	I mean... seriously...
context: Ritsu?\Yes, I did this.\I'm not so boorish as to watch siblings fight.\Really? You really did this, Ritsu?\It's true.\It's not true.\There's no way you would do this.\I mean... seriously... response:	Nii-san, I did this.
context: Yes, I did this.\I'm not so boorish as to watch siblings fight.\Really? You really did this, Ritsu?\It's true.\It's not true.\There's no way you would do this.\I mean... seriously...\Nii-san, I did this. response:	I obtained psychic powers.
context: I'm not so boorish as to watch siblings fight.\Really? You really did this, Ritsu?\It's true.\It's not true.\There's no way you would do this.\I mean... seriously...\Nii-san, I did this.\I obtained psychic powers. response:	Huh?
context: Really? You really did this, Ritsu?\It's true.\It's not true.\There's no way you would do this.\I mean... seriously...\Nii-san, I did this.\I obtained psychic powers.\Huh? response:	Wait, Ritsu! You're up against Shigeo!
context: It's true.\It's not true.\There's no way you would do this.\I mean... seriously...\Nii-san, I did this.\I obtained psychic powers.\Huh?\Wait, Ritsu! You're up against Shigeo! response:	Shut up, Dimple.
context: It's not true.\There's no way you would do this.\I mean... seriously...\Nii-san, I did this.\I obtained psychic powers.\Huh?\Wait, Ritsu! You're up against Shigeo!\Shut up, Dimple. response:	Tch! He's drunk with power.
context: There's no way you would do this.\I mean... seriously...\Nii-san, I did this.\I obtained psychic powers.\Huh?\Wait, Ritsu! You're up against Shigeo!\Shut up, Dimple.\Tch! He's drunk with power. response:	This is why I hate brats.
context: I mean... seriously...\Nii-san, I did this.\I obtained psychic powers.\Huh?\Wait, Ritsu! You're up against Shigeo!\Shut up, Dimple.\Tch! He's drunk with power.\This is why I hate brats. response:	I'm not gonna hang around for a battle I know he'll lose!
context: Nii-san, I did this.\I obtained psychic powers.\Huh?\Wait, Ritsu! You're up against Shigeo!\Shut up, Dimple.\Tch! He's drunk with power.\This is why I hate brats.\I'm not gonna hang around for a battle I know he'll lose! response:	Dimple?!
context: I obtained psychic powers.\Huh?\Wait, Ritsu! You're up against Shigeo!\Shut up, Dimple.\Tch! He's drunk with power.\This is why I hate brats.\I'm not gonna hang around for a battle I know he'll lose!\Dimple?! response:	That's fine.
context: Huh?\Wait, Ritsu! You're up against Shigeo!\Shut up, Dimple.\Tch! He's drunk with power.\This is why I hate brats.\I'm not gonna hang around for a battle I know he'll lose!\Dimple?!\That's fine. response:	I've got the feel of it now.
context: Wait, Ritsu! You're up against Shigeo!\Shut up, Dimple.\Tch! He's drunk with power.\This is why I hate brats.\I'm not gonna hang around for a battle I know he'll lose!\Dimple?!\That's fine.\I've got the feel of it now. response:	Nii-san, I've realized something very important.
context: Shut up, Dimple.\Tch! He's drunk with power.\This is why I hate brats.\I'm not gonna hang around for a battle I know he'll lose!\Dimple?!\That's fine.\I've got the feel of it now.\Nii-san, I've realized something very important. response:	Ritsu, what's wrong?
context: Tch! He's drunk with power.\This is why I hate brats.\I'm not gonna hang around for a battle I know he'll lose!\Dimple?!\That's fine.\I've got the feel of it now.\Nii-san, I've realized something very important.\Ritsu, what's wrong? response:	If something's bothering you...
context: This is why I hate brats.\I'm not gonna hang around for a battle I know he'll lose!\Dimple?!\That's fine.\I've got the feel of it now.\Nii-san, I've realized something very important.\Ritsu, what's wrong?\If something's bothering you... response:	You really do have psychic powers...
context: I'm not gonna hang around for a battle I know he'll lose!\Dimple?!\That's fine.\I've got the feel of it now.\Nii-san, I've realized something very important.\Ritsu, what's wrong?\If something's bothering you...\You really do have psychic powers... response:	I missed...
context: Dimple?!\That's fine.\I've got the feel of it now.\Nii-san, I've realized something very important.\Ritsu, what's wrong?\If something's bothering you...\You really do have psychic powers...\I missed... response:	Ritsu...
context: That's fine.\I've got the feel of it now.\Nii-san, I've realized something very important.\Ritsu, what's wrong?\If something's bothering you...\You really do have psychic powers...\I missed...\Ritsu... response:	Congratulations!
context: I've got the feel of it now.\Nii-san, I've realized something very important.\Ritsu, what's wrong?\If something's bothering you...\You really do have psychic powers...\I missed...\Ritsu...\Congratulations! response:	You've wanted to use them for so long!
context: Nii-san, I've realized something very important.\Ritsu, what's wrong?\If something's bothering you...\You really do have psychic powers...\I missed...\Ritsu...\Congratulations!\You've wanted to use them for so long! response:	Do you remember?
context: Ritsu, what's wrong?\If something's bothering you...\You really do have psychic powers...\I missed...\Ritsu...\Congratulations!\You've wanted to use them for so long!\Do you remember? response:	When you were little, you used to cry your eyes out because you couldn't bend spoons.
context: If something's bothering you...\You really do have psychic powers...\I missed...\Ritsu...\Congratulations!\You've wanted to use them for so long!\Do you remember?\When you were little, you used to cry your eyes out because you couldn't bend spoons. response:	Who would've thought that now
context: You really do have psychic powers...\I missed...\Ritsu...\Congratulations!\You've wanted to use them for so long!\Do you remember?\When you were little, you used to cry your eyes out because you couldn't bend spoons.\Who would've thought that now response:	That hadn't changed up until recently.
context: I missed...\Ritsu...\Congratulations!\You've wanted to use them for so long!\Do you remember?\When you were little, you used to cry your eyes out because you couldn't bend spoons.\Who would've thought that now\That hadn't changed up until recently. response:	Just listen, Nii-san.
context: Ritsu...\Congratulations!\You've wanted to use them for so long!\Do you remember?\When you were little, you used to cry your eyes out because you couldn't bend spoons.\Who would've thought that now\That hadn't changed up until recently.\Just listen, Nii-san. response:	I've always wanted psychic powers.
context: Congratulations!\You've wanted to use them for so long!\Do you remember?\When you were little, you used to cry your eyes out because you couldn't bend spoons.\Who would've thought that now\That hadn't changed up until recently.\Just listen, Nii-san.\I've always wanted psychic powers. response:	And I've always admired you, Nii-san.
context: You've wanted to use them for so long!\Do you remember?\When you were little, you used to cry your eyes out because you couldn't bend spoons.\Who would've thought that now\That hadn't changed up until recently.\Just listen, Nii-san.\I've always wanted psychic powers.\And I've always admired you, Nii-san. response:	Aw, you're making me blush...
context: Do you remember?\When you were little, you used to cry your eyes out because you couldn't bend spoons.\Who would've thought that now\That hadn't changed up until recently.\Just listen, Nii-san.\I've always wanted psychic powers.\And I've always admired you, Nii-san.\Aw, you're making me blush... response:	But that was a big misunderstanding.
context: When you were little, you used to cry your eyes out because you couldn't bend spoons.\Who would've thought that now\That hadn't changed up until recently.\Just listen, Nii-san.\I've always wanted psychic powers.\And I've always admired you, Nii-san.\Aw, you're making me blush...\But that was a big misunderstanding. response:	Huh?
context: Who would've thought that now\That hadn't changed up until recently.\Just listen, Nii-san.\I've always wanted psychic powers.\And I've always admired you, Nii-san.\Aw, you're making me blush...\But that was a big misunderstanding.\Huh? response:	I couldn't handle my inferiority complex and fear towards you,
context: That hadn't changed up until recently.\Just listen, Nii-san.\I've always wanted psychic powers.\And I've always admired you, Nii-san.\Aw, you're making me blush...\But that was a big misunderstanding.\Huh?\I couldn't handle my inferiority complex and fear towards you, response:	so I was protecting myself by thinking it was admiration.
context: Just listen, Nii-san.\I've always wanted psychic powers.\And I've always admired you, Nii-san.\Aw, you're making me blush...\But that was a big misunderstanding.\Huh?\I couldn't handle my inferiority complex and fear towards you,\so I was protecting myself by thinking it was admiration. response:	I was scared of you.
context: I've always wanted psychic powers.\And I've always admired you, Nii-san.\Aw, you're making me blush...\But that was a big misunderstanding.\Huh?\I couldn't handle my inferiority complex and fear towards you,\so I was protecting myself by thinking it was admiration.\I was scared of you. response:	I never knew what you'd do if you got stressed out.
context: And I've always admired you, Nii-san.\Aw, you're making me blush...\But that was a big misunderstanding.\Huh?\I couldn't handle my inferiority complex and fear towards you,\so I was protecting myself by thinking it was admiration.\I was scared of you.\I never knew what you'd do if you got stressed out. response:	We could never even have a fight as brothers...
context: Aw, you're making me blush...\But that was a big misunderstanding.\Huh?\I couldn't handle my inferiority complex and fear towards you,\so I was protecting myself by thinking it was admiration.\I was scared of you.\I never knew what you'd do if you got stressed out.\We could never even have a fight as brothers... response:	Because I have no way to protect myself from your powers.
context: But that was a big misunderstanding.\Huh?\I couldn't handle my inferiority complex and fear towards you,\so I was protecting myself by thinking it was admiration.\I was scared of you.\I never knew what you'd do if you got stressed out.\We could never even have a fight as brothers...\Because I have no way to protect myself from your powers. response:	So I did my best not to stress you out in any way.
context: Huh?\I couldn't handle my inferiority complex and fear towards you,\so I was protecting myself by thinking it was admiration.\I was scared of you.\I never knew what you'd do if you got stressed out.\We could never even have a fight as brothers...\Because I have no way to protect myself from your powers.\So I did my best not to stress you out in any way. response:	Now, that's just a humiliating past.
context: I couldn't handle my inferiority complex and fear towards you,\so I was protecting myself by thinking it was admiration.\I was scared of you.\I never knew what you'd do if you got stressed out.\We could never even have a fight as brothers...\Because I have no way to protect myself from your powers.\So I did my best not to stress you out in any way.\Now, that's just a humiliating past. response:	I tried so hard for so long,
context: so I was protecting myself by thinking it was admiration.\I was scared of you.\I never knew what you'd do if you got stressed out.\We could never even have a fight as brothers...\Because I have no way to protect myself from your powers.\So I did my best not to stress you out in any way.\Now, that's just a humiliating past.\I tried so hard for so long, response:	no matter how crazy it made me...
context: I was scared of you.\I never knew what you'd do if you got stressed out.\We could never even have a fight as brothers...\Because I have no way to protect myself from your powers.\So I did my best not to stress you out in any way.\Now, that's just a humiliating past.\I tried so hard for so long,\no matter how crazy it made me... response:	And yet,
context: I never knew what you'd do if you got stressed out.\We could never even have a fight as brothers...\Because I have no way to protect myself from your powers.\So I did my best not to stress you out in any way.\Now, that's just a humiliating past.\I tried so hard for so long,\no matter how crazy it made me...\And yet, response:	you never worked hard in your life, so why?
context: We could never even have a fight as brothers...\Because I have no way to protect myself from your powers.\So I did my best not to stress you out in any way.\Now, that's just a humiliating past.\I tried so hard for so long,\no matter how crazy it made me...\And yet,\you never worked hard in your life, so why? response:	But now, I've obtained them.
context: Because I have no way to protect myself from your powers.\So I did my best not to stress you out in any way.\Now, that's just a humiliating past.\I tried so hard for so long,\no matter how crazy it made me...\And yet,\you never worked hard in your life, so why?\But now, I've obtained them. response:	Now I don't have to be scared anymore.
context: So I did my best not to stress you out in any way.\Now, that's just a humiliating past.\I tried so hard for so long,\no matter how crazy it made me...\And yet,\you never worked hard in your life, so why?\But now, I've obtained them.\Now I don't have to be scared anymore. response:	The delusional admiration is gone.
context: Now, that's just a humiliating past.\I tried so hard for so long,\no matter how crazy it made me...\And yet,\you never worked hard in your life, so why?\But now, I've obtained them.\Now I don't have to be scared anymore.\The delusional admiration is gone. response:	Actually...
context: I tried so hard for so long,\no matter how crazy it made me...\And yet,\you never worked hard in your life, so why?\But now, I've obtained them.\Now I don't have to be scared anymore.\The delusional admiration is gone.\Actually... response:	Now I've just lost all interest...
context: no matter how crazy it made me...\And yet,\you never worked hard in your life, so why?\But now, I've obtained them.\Now I don't have to be scared anymore.\The delusional admiration is gone.\Actually...\Now I've just lost all interest... response:	The buddy-buddy brothers act ends now, Nii-san.
context: And yet,\you never worked hard in your life, so why?\But now, I've obtained them.\Now I don't have to be scared anymore.\The delusional admiration is gone.\Actually...\Now I've just lost all interest...\The buddy-buddy brothers act ends now, Nii-san. response:	Ritsu... I can tell. That's a lie.
context: you never worked hard in your life, so why?\But now, I've obtained them.\Now I don't have to be scared anymore.\The delusional admiration is gone.\Actually...\Now I've just lost all interest...\The buddy-buddy brothers act ends now, Nii-san.\Ritsu... I can tell. That's a lie. response:	Face me, right now! Hit me with your powers!
context: But now, I've obtained them.\Now I don't have to be scared anymore.\The delusional admiration is gone.\Actually...\Now I've just lost all interest...\The buddy-buddy brothers act ends now, Nii-san.\Ritsu... I can tell. That's a lie.\Face me, right now! Hit me with your powers! response:	But I guess it's true...
context: Now I don't have to be scared anymore.\The delusional admiration is gone.\Actually...\Now I've just lost all interest...\The buddy-buddy brothers act ends now, Nii-san.\Ritsu... I can tell. That's a lie.\Face me, right now! Hit me with your powers!\But I guess it's true... response:	I'm your brother, Ritsu.
context: The delusional admiration is gone.\Actually...\Now I've just lost all interest...\The buddy-buddy brothers act ends now, Nii-san.\Ritsu... I can tell. That's a lie.\Face me, right now! Hit me with your powers!\But I guess it's true...\I'm your brother, Ritsu. response:	Hey, Ritsu.
context: Actually...\Now I've just lost all interest...\The buddy-buddy brothers act ends now, Nii-san.\Ritsu... I can tell. That's a lie.\Face me, right now! Hit me with your powers!\But I guess it's true...\I'm your brother, Ritsu.\Hey, Ritsu. response:	Half of that is true, right?
context: Now I've just lost all interest...\The buddy-buddy brothers act ends now, Nii-san.\Ritsu... I can tell. That's a lie.\Face me, right now! Hit me with your powers!\But I guess it's true...\I'm your brother, Ritsu.\Hey, Ritsu.\Half of that is true, right? response:	I'm terribly sorry that my little brother hurt you.
context: The buddy-buddy brothers act ends now, Nii-san.\Ritsu... I can tell. That's a lie.\Face me, right now! Hit me with your powers!\But I guess it's true...\I'm your brother, Ritsu.\Hey, Ritsu.\Half of that is true, right?\I'm terribly sorry that my little brother hurt you. response:	Please still be friends with him from now on.
context: Ritsu... I can tell. That's a lie.\Face me, right now! Hit me with your powers!\But I guess it's true...\I'm your brother, Ritsu.\Hey, Ritsu.\Half of that is true, right?\I'm terribly sorry that my little brother hurt you.\Please still be friends with him from now on. response:	Huh?
context: Face me, right now! Hit me with your powers!\But I guess it's true...\I'm your brother, Ritsu.\Hey, Ritsu.\Half of that is true, right?\I'm terribly sorry that my little brother hurt you.\Please still be friends with him from now on.\Huh? response:	What? You're his older brother?
context: But I guess it's true...\I'm your brother, Ritsu.\Hey, Ritsu.\Half of that is true, right?\I'm terribly sorry that my little brother hurt you.\Please still be friends with him from now on.\Huh?\What? You're his older brother? response:	Yes. I'm very sorry.
context: I'm your brother, Ritsu.\Hey, Ritsu.\Half of that is true, right?\I'm terribly sorry that my little brother hurt you.\Please still be friends with him from now on.\Huh?\What? You're his older brother?\Yes. I'm very sorry. response:	You idiot! You think that's enough to be forgiven?!
context: Hey, Ritsu.\Half of that is true, right?\I'm terribly sorry that my little brother hurt you.\Please still be friends with him from now on.\Huh?\What? You're his older brother?\Yes. I'm very sorry.\You idiot! You think that's enough to be forgiven?! response:	You need to grovel first!
context: Half of that is true, right?\I'm terribly sorry that my little brother hurt you.\Please still be friends with him from now on.\Huh?\What? You're his older brother?\Yes. I'm very sorry.\You idiot! You think that's enough to be forgiven?!\You need to grovel first! response:	O-Okay...
context: I'm terribly sorry that my little brother hurt you.\Please still be friends with him from now on.\Huh?\What? You're his older brother?\Yes. I'm very sorry.\You idiot! You think that's enough to be forgiven?!\You need to grovel first!\O-Okay... response:	Hey... Stop.
context: Please still be friends with him from now on.\Huh?\What? You're his older brother?\Yes. I'm very sorry.\You idiot! You think that's enough to be forgiven?!\You need to grovel first!\O-Okay...\Hey... Stop. response:	Why, Nii-san?
context: Huh?\What? You're his older brother?\Yes. I'm very sorry.\You idiot! You think that's enough to be forgiven?!\You need to grovel first!\O-Okay...\Hey... Stop.\Why, Nii-san? response:	What are you doing?!
context: What? You're his older brother?\Yes. I'm very sorry.\You idiot! You think that's enough to be forgiven?!\You need to grovel first!\O-Okay...\Hey... Stop.\Why, Nii-san?\What are you doing?! response:	Ritsu... It's no use trying to get rid of me...
context: Yes. I'm very sorry.\You idiot! You think that's enough to be forgiven?!\You need to grovel first!\O-Okay...\Hey... Stop.\Why, Nii-san?\What are you doing?!\Ritsu... It's no use trying to get rid of me... response:	Progress Towards
context: You idiot! You think that's enough to be forgiven?!\You need to grovel first!\O-Okay...\Hey... Stop.\Why, Nii-san?\What are you doing?!\Ritsu... It's no use trying to get rid of me...\Progress Towards response:	Mob's Explosion
context: You need to grovel first!\O-Okay...\Hey... Stop.\Why, Nii-san?\What are you doing?!\Ritsu... It's no use trying to get rid of me...\Progress Towards\Mob's Explosion response:	Progress Towards Mob's Explosion: 7
context: O-Okay...\Hey... Stop.\Why, Nii-san?\What are you doing?!\Ritsu... It's no use trying to get rid of me...\Progress Towards\Mob's Explosion\Progress Towards Mob's Explosion: 7 response:	Because we're brothers.
context: Hey... Stop.\Why, Nii-san?\What are you doing?!\Ritsu... It's no use trying to get rid of me...\Progress Towards\Mob's Explosion\Progress Towards Mob's Explosion: 7\Because we're brothers. response:	Hello?
context: Why, Nii-san?\What are you doing?!\Ritsu... It's no use trying to get rid of me...\Progress Towards\Mob's Explosion\Progress Towards Mob's Explosion: 7\Because we're brothers.\Hello? response:	I'd like a status update.
context: What are you doing?!\Ritsu... It's no use trying to get rid of me...\Progress Towards\Mob's Explosion\Progress Towards Mob's Explosion: 7\Because we're brothers.\Hello?\I'd like a status update. response:	It's been ten minutes since you reported that you've found the target.
context: Ritsu... It's no use trying to get rid of me...\Progress Towards\Mob's Explosion\Progress Towards Mob's Explosion: 7\Because we're brothers.\Hello?\I'd like a status update.\It's been ten minutes since you reported that you've found the target. response:	What are you doing?
context: Progress Towards\Mob's Explosion\Progress Towards Mob's Explosion: 7\Because we're brothers.\Hello?\I'd like a status update.\It's been ten minutes since you reported that you've found the target.\What are you doing? response:	I'm just observ
context: Mob's Explosion\Progress Towards Mob's Explosion: 7\Because we're brothers.\Hello?\I'd like a status update.\It's been ten minutes since you reported that you've found the target.\What are you doing?\I'm just observ response:	Are you an idiot? Hurry up and bring him here.
context: Progress Towards Mob's Explosion: 7\Because we're brothers.\Hello?\I'd like a status update.\It's been ten minutes since you reported that you've found the target.\What are you doing?\I'm just observ\Are you an idiot? Hurry up and bring him here. response:	All right.
context: Because we're brothers.\Hello?\I'd like a status update.\It's been ten minutes since you reported that you've found the target.\What are you doing?\I'm just observ\Are you an idiot? Hurry up and bring him here.\All right. response:	Sakurai
context: Hello?\I'd like a status update.\It's been ten minutes since you reported that you've found the target.\What are you doing?\I'm just observ\Are you an idiot? Hurry up and bring him here.\All right.\Sakurai response:	Actually, just in case, send a photo.
context: I'd like a status update.\It's been ten minutes since you reported that you've found the target.\What are you doing?\I'm just observ\Are you an idiot? Hurry up and bring him here.\All right.\Sakurai\Actually, just in case, send a photo. response:	It'll be troublesome if you bring the wrong brat.
context: It's been ten minutes since you reported that you've found the target.\What are you doing?\I'm just observ\Are you an idiot? Hurry up and bring him here.\All right.\Sakurai\Actually, just in case, send a photo.\It'll be troublesome if you bring the wrong brat. response:	Yeah, yeah...
context: What are you doing?\I'm just observ\Are you an idiot? Hurry up and bring him here.\All right.\Sakurai\Actually, just in case, send a photo.\It'll be troublesome if you bring the wrong brat.\Yeah, yeah... response:	How dare he mock me?
context: I'm just observ\Are you an idiot? Hurry up and bring him here.\All right.\Sakurai\Actually, just in case, send a photo.\It'll be troublesome if you bring the wrong brat.\Yeah, yeah...\How dare he mock me? response:	There you go. It's sent.
context: Are you an idiot? Hurry up and bring him here.\All right.\Sakurai\Actually, just in case, send a photo.\It'll be troublesome if you bring the wrong brat.\Yeah, yeah...\How dare he mock me?\There you go. It's sent. response:	Confirmed.
context: All right.\Sakurai\Actually, just in case, send a photo.\It'll be troublesome if you bring the wrong brat.\Yeah, yeah...\How dare he mock me?\There you go. It's sent.\Confirmed. response:	There's no doubt that that's Kageyama Shigeo.
context: Sakurai\Actually, just in case, send a photo.\It'll be troublesome if you bring the wrong brat.\Yeah, yeah...\How dare he mock me?\There you go. It's sent.\Confirmed.\There's no doubt that that's Kageyama Shigeo. response:	Right?
context: Actually, just in case, send a photo.\It'll be troublesome if you bring the wrong brat.\Yeah, yeah...\How dare he mock me?\There you go. It's sent.\Confirmed.\There's no doubt that that's Kageyama Shigeo.\Right? response:	It's just as the data from the Awakening Lab says.
context: It'll be troublesome if you bring the wrong brat.\Yeah, yeah...\How dare he mock me?\There you go. It's sent.\Confirmed.\There's no doubt that that's Kageyama Shigeo.\Right?\It's just as the data from the Awakening Lab says. response:	What an exaggerated name.
context: Yeah, yeah...\How dare he mock me?\There you go. It's sent.\Confirmed.\There's no doubt that that's Kageyama Shigeo.\Right?\It's just as the data from the Awakening Lab says.\What an exaggerated name. response:	It's embarrassing to say.
context: How dare he mock me?\There you go. It's sent.\Confirmed.\There's no doubt that that's Kageyama Shigeo.\Right?\It's just as the data from the Awakening Lab says.\What an exaggerated name.\It's embarrassing to say. response:	Listen up.
context: There you go. It's sent.\Confirmed.\There's no doubt that that's Kageyama Shigeo.\Right?\It's just as the data from the Awakening Lab says.\What an exaggerated name.\It's embarrassing to say.\Listen up. response:	Don't mess this up.
context: Confirmed.\There's no doubt that that's Kageyama Shigeo.\Right?\It's just as the data from the Awakening Lab says.\What an exaggerated name.\It's embarrassing to say.\Listen up.\Don't mess this up. response:	The more information we leak, the more annoying it'll be.
context: There's no doubt that that's Kageyama Shigeo.\Right?\It's just as the data from the Awakening Lab says.\What an exaggerated name.\It's embarrassing to say.\Listen up.\Don't mess this up.\The more information we leak, the more annoying it'll be. response:	Don't play around.
context: Right?\It's just as the data from the Awakening Lab says.\What an exaggerated name.\It's embarrassing to say.\Listen up.\Don't mess this up.\The more information we leak, the more annoying it'll be.\Don't play around. response:	Yeah, yeah...
context: It's just as the data from the Awakening Lab says.\What an exaggerated name.\It's embarrassing to say.\Listen up.\Don't mess this up.\The more information we leak, the more annoying it'll be.\Don't play around.\Yeah, yeah... response:	Acting all high-and-mighty...
context: What an exaggerated name.\It's embarrassing to say.\Listen up.\Don't mess this up.\The more information we leak, the more annoying it'll be.\Don't play around.\Yeah, yeah...\Acting all high-and-mighty... response:	Now, then...
context: It's embarrassing to say.\Listen up.\Don't mess this up.\The more information we leak, the more annoying it'll be.\Don't play around.\Yeah, yeah...\Acting all high-and-mighty...\Now, then... response:	The tables have turned!
context: Listen up.\Don't mess this up.\The more information we leak, the more annoying it'll be.\Don't play around.\Yeah, yeah...\Acting all high-and-mighty...\Now, then...\The tables have turned! response:	White T Poison!
