context: In the year 845... response:	the Colossal and Armored Titans
context: At this rate, we'll all fail out!\We're being graded on this exercise.\If you do that, you'll lose points, as well.\Just don't let them find out!\And don't make me change my mind!\Reiner Braun.\A strong soldier, physically and mentally.\And trusted by his comrades. response:	I will not slow everyone down, even if it kills me!
context: We're being graded on this exercise.\If you do that, you'll lose points, as well.\Just don't let them find out!\And don't make me change my mind!\Reiner Braun.\A strong soldier, physically and mentally.\And trusted by his comrades.\I will not slow everyone down, even if it kills me! response:	Armin Arlert.
context: If you do that, you'll lose points, as well.\Just don't let them find out!\And don't make me change my mind!\Reiner Braun.\A strong soldier, physically and mentally.\And trusted by his comrades.\I will not slow everyone down, even if it kills me!\Armin Arlert. response:	While lacking in physical strength,
context: Just don't let them find out!\And don't make me change my mind!\Reiner Braun.\A strong soldier, physically and mentally.\And trusted by his comrades.\I will not slow everyone down, even if it kills me!\Armin Arlert.\While lacking in physical strength, response:	he's demonstrated an extraordinary aptitude for his studies.
context: And don't make me change my mind!\Reiner Braun.\A strong soldier, physically and mentally.\And trusted by his comrades.\I will not slow everyone down, even if it kills me!\Armin Arlert.\While lacking in physical strength,\he's demonstrated an extraordinary aptitude for his studies. response:	Annie Leonhart.
context: Reiner Braun.\A strong soldier, physically and mentally.\And trusted by his comrades.\I will not slow everyone down, even if it kills me!\Armin Arlert.\While lacking in physical strength,\he's demonstrated an extraordinary aptitude for his studies.\Annie Leonhart. response:	Her strike form is flawless,
context: A strong soldier, physically and mentally.\And trusted by his comrades.\I will not slow everyone down, even if it kills me!\Armin Arlert.\While lacking in physical strength,\he's demonstrated an extraordinary aptitude for his studies.\Annie Leonhart.\Her strike form is flawless, response:	but she works poorly with others and tends to isolate herself.
context: And trusted by his comrades.\I will not slow everyone down, even if it kills me!\Armin Arlert.\While lacking in physical strength,\he's demonstrated an extraordinary aptitude for his studies.\Annie Leonhart.\Her strike form is flawless,\but she works poorly with others and tends to isolate herself. response:	Bertolt Hoover.
context: I will not slow everyone down, even if it kills me!\Armin Arlert.\While lacking in physical strength,\he's demonstrated an extraordinary aptitude for his studies.\Annie Leonhart.\Her strike form is flawless,\but she works poorly with others and tends to isolate herself.\Bertolt Hoover. response:	He has great potential, but lacks initiative.
context: Armin Arlert.\While lacking in physical strength,\he's demonstrated an extraordinary aptitude for his studies.\Annie Leonhart.\Her strike form is flawless,\but she works poorly with others and tends to isolate herself.\Bertolt Hoover.\He has great potential, but lacks initiative. response:	Jean Kirschstein.
context: While lacking in physical strength,\he's demonstrated an extraordinary aptitude for his studies.\Annie Leonhart.\Her strike form is flawless,\but she works poorly with others and tends to isolate herself.\Bertolt Hoover.\He has great potential, but lacks initiative.\Jean Kirschstein. response:	A master of 3D Maneuver Gear,
context: he's demonstrated an extraordinary aptitude for his studies.\Annie Leonhart.\Her strike form is flawless,\but she works poorly with others and tends to isolate herself.\Bertolt Hoover.\He has great potential, but lacks initiative.\Jean Kirschstein.\A master of 3D Maneuver Gear, response:	but his brash personality causes friction with the team.
context: Annie Leonhart.\Her strike form is flawless,\but she works poorly with others and tends to isolate herself.\Bertolt Hoover.\He has great potential, but lacks initiative.\Jean Kirschstein.\A master of 3D Maneuver Gear,\but his brash personality causes friction with the team. response:	I can't strike as hard as those two,
context: Her strike form is flawless,\but she works poorly with others and tends to isolate herself.\Bertolt Hoover.\He has great potential, but lacks initiative.\Jean Kirschstein.\A master of 3D Maneuver Gear,\but his brash personality causes friction with the team.\I can't strike as hard as those two, response:	so I'll have to find the Titan first!
context: but she works poorly with others and tends to isolate herself.\Bertolt Hoover.\He has great potential, but lacks initiative.\Jean Kirschstein.\A master of 3D Maneuver Gear,\but his brash personality causes friction with the team.\I can't strike as hard as those two,\so I'll have to find the Titan first! response:	I'll be the one who makes it into the Military Police!
context: Bertolt Hoover.\He has great potential, but lacks initiative.\Jean Kirschstein.\A master of 3D Maneuver Gear,\but his brash personality causes friction with the team.\I can't strike as hard as those two,\so I'll have to find the Titan first!\I'll be the one who makes it into the Military Police! response:	Thanks, Jean!
context: He has great potential, but lacks initiative.\Jean Kirschstein.\A master of 3D Maneuver Gear,\but his brash personality causes friction with the team.\I can't strike as hard as those two,\so I'll have to find the Titan first!\I'll be the one who makes it into the Military Police!\Thanks, Jean! response:	I was right to follow you!
context: Jean Kirschstein.\A master of 3D Maneuver Gear,\but his brash personality causes friction with the team.\I can't strike as hard as those two,\so I'll have to find the Titan first!\I'll be the one who makes it into the Military Police!\Thanks, Jean!\I was right to follow you! response:	Sasha Blause.
context: A master of 3D Maneuver Gear,\but his brash personality causes friction with the team.\I can't strike as hard as those two,\so I'll have to find the Titan first!\I'll be the one who makes it into the Military Police!\Thanks, Jean!\I was right to follow you!\Sasha Blause. response:	She has unconventional, good instincts,
context: but his brash personality causes friction with the team.\I can't strike as hard as those two,\so I'll have to find the Titan first!\I'll be the one who makes it into the Military Police!\Thanks, Jean!\I was right to follow you!\Sasha Blause.\She has unconventional, good instincts, response:	but they make her unsuited to teamwork.
context: I can't strike as hard as those two,\so I'll have to find the Titan first!\I'll be the one who makes it into the Military Police!\Thanks, Jean!\I was right to follow you!\Sasha Blause.\She has unconventional, good instincts,\but they make her unsuited to teamwork. response:	Connie Springer.
context: so I'll have to find the Titan first!\I'll be the one who makes it into the Military Police!\Thanks, Jean!\I was right to follow you!\Sasha Blause.\She has unconventional, good instincts,\but they make her unsuited to teamwork.\Connie Springer. response:	He demonstrates superior physical agility, but lacks mental agility.
context: I'll be the one who makes it into the Military Police!\Thanks, Jean!\I was right to follow you!\Sasha Blause.\She has unconventional, good instincts,\but they make her unsuited to teamwork.\Connie Springer.\He demonstrates superior physical agility, but lacks mental agility. response:	They're coming!
context: Thanks, Jean!\I was right to follow you!\Sasha Blause.\She has unconventional, good instincts,\but they make her unsuited to teamwork.\Connie Springer.\He demonstrates superior physical agility, but lacks mental agility.\They're coming! response:	Damn.
context: I was right to follow you!\Sasha Blause.\She has unconventional, good instincts,\but they make her unsuited to teamwork.\Connie Springer.\He demonstrates superior physical agility, but lacks mental agility.\They're coming!\Damn. response:	Mikasa's beat me again in strike depth!
context: Sasha Blause.\She has unconventional, good instincts,\but they make her unsuited to teamwork.\Connie Springer.\He demonstrates superior physical agility, but lacks mental agility.\They're coming!\Damn.\Mikasa's beat me again in strike depth! response:	Mikasa Ackerman.
context: She has unconventional, good instincts,\but they make her unsuited to teamwork.\Connie Springer.\He demonstrates superior physical agility, but lacks mental agility.\They're coming!\Damn.\Mikasa's beat me again in strike depth!\Mikasa Ackerman. response:	A master of all subjects,
context: but they make her unsuited to teamwork.\Connie Springer.\He demonstrates superior physical agility, but lacks mental agility.\They're coming!\Damn.\Mikasa's beat me again in strike depth!\Mikasa Ackerman.\A master of all subjects, response:	and widely considered one of the best in our history.
context: Connie Springer.\He demonstrates superior physical agility, but lacks mental agility.\They're coming!\Damn.\Mikasa's beat me again in strike depth!\Mikasa Ackerman.\A master of all subjects,\and widely considered one of the best in our history. response:	Eren Jaeger.
context: He demonstrates superior physical agility, but lacks mental agility.\They're coming!\Damn.\Mikasa's beat me again in strike depth!\Mikasa Ackerman.\A master of all subjects,\and widely considered one of the best in our history.\Eren Jaeger. response:	He has no outstanding talents,
context: They're coming!\Damn.\Mikasa's beat me again in strike depth!\Mikasa Ackerman.\A master of all subjects,\and widely considered one of the best in our history.\Eren Jaeger.\He has no outstanding talents, response:	but he's worked harder than anyone to improve his marks.
context: Damn.\Mikasa's beat me again in strike depth!\Mikasa Ackerman.\A master of all subjects,\and widely considered one of the best in our history.\Eren Jaeger.\He has no outstanding talents,\but he's worked harder than anyone to improve his marks. response:	And he is more motivated to attain his goal than anyone.
context: Mikasa's beat me again in strike depth!\Mikasa Ackerman.\A master of all subjects,\and widely considered one of the best in our history.\Eren Jaeger.\He has no outstanding talents,\but he's worked harder than anyone to improve his marks.\And he is more motivated to attain his goal than anyone. response:	Ouch...
context: Mikasa Ackerman.\A master of all subjects,\and widely considered one of the best in our history.\Eren Jaeger.\He has no outstanding talents,\but he's worked harder than anyone to improve his marks.\And he is more motivated to attain his goal than anyone.\Ouch... response:	Sorry, I'm not good at holding back...
context: A master of all subjects,\and widely considered one of the best in our history.\Eren Jaeger.\He has no outstanding talents,\but he's worked harder than anyone to improve his marks.\And he is more motivated to attain his goal than anyone.\Ouch...\Sorry, I'm not good at holding back... response:	Now it's your turn to be the bandit.
context: and widely considered one of the best in our history.\Eren Jaeger.\He has no outstanding talents,\but he's worked harder than anyone to improve his marks.\And he is more motivated to attain his goal than anyone.\Ouch...\Sorry, I'm not good at holding back...\Now it's your turn to be the bandit. response:	What's wrong?
context: Eren Jaeger.\He has no outstanding talents,\but he's worked harder than anyone to improve his marks.\And he is more motivated to attain his goal than anyone.\Ouch...\Sorry, I'm not good at holding back...\Now it's your turn to be the bandit.\What's wrong? response:	What's the point of this training?
context: He has no outstanding talents,\but he's worked harder than anyone to improve his marks.\And he is more motivated to attain his goal than anyone.\Ouch...\Sorry, I'm not good at holding back...\Now it's your turn to be the bandit.\What's wrong?\What's the point of this training? response:	Why are soldiers training to fight people like this?
context: but he's worked harder than anyone to improve his marks.\And he is more motivated to attain his goal than anyone.\Ouch...\Sorry, I'm not good at holding back...\Now it's your turn to be the bandit.\What's wrong?\What's the point of this training?\Why are soldiers training to fight people like this? response:	Only an idiot would fight an opponent unarmed.
context: And he is more motivated to attain his goal than anyone.\Ouch...\Sorry, I'm not good at holding back...\Now it's your turn to be the bandit.\What's wrong?\What's the point of this training?\Why are soldiers training to fight people like this?\Only an idiot would fight an opponent unarmed. response:	Where's your sense of responsibility?
context: Ouch...\Sorry, I'm not good at holding back...\Now it's your turn to be the bandit.\What's wrong?\What's the point of this training?\Why are soldiers training to fight people like this?\Only an idiot would fight an opponent unarmed.\Where's your sense of responsibility? response:	We're soldiers.
context: Sorry, I'm not good at holding back...\Now it's your turn to be the bandit.\What's wrong?\What's the point of this training?\Why are soldiers training to fight people like this?\Only an idiot would fight an opponent unarmed.\Where's your sense of responsibility?\We're soldiers. response:	We may be called on to fight at a severe disadvantage, and retreat will not be an option.
context: Now it's your turn to be the bandit.\What's wrong?\What's the point of this training?\Why are soldiers training to fight people like this?\Only an idiot would fight an opponent unarmed.\Where's your sense of responsibility?\We're soldiers.\We may be called on to fight at a severe disadvantage, and retreat will not be an option. response:	We must be able to handle any opponent,
context: What's wrong?\What's the point of this training?\Why are soldiers training to fight people like this?\Only an idiot would fight an opponent unarmed.\Where's your sense of responsibility?\We're soldiers.\We may be called on to fight at a severe disadvantage, and retreat will not be an option.\We must be able to handle any opponent, response:	whether that means using a cannon or martial arts.
context: What's the point of this training?\Why are soldiers training to fight people like this?\Only an idiot would fight an opponent unarmed.\Where's your sense of responsibility?\We're soldiers.\We may be called on to fight at a severe disadvantage, and retreat will not be an option.\We must be able to handle any opponent,\whether that means using a cannon or martial arts. response:	That is our responsibility as soldiers.
context: Why are soldiers training to fight people like this?\Only an idiot would fight an opponent unarmed.\Where's your sense of responsibility?\We're soldiers.\We may be called on to fight at a severe disadvantage, and retreat will not be an option.\We must be able to handle any opponent,\whether that means using a cannon or martial arts.\That is our responsibility as soldiers. response:	Forget all that... Look.
context: Only an idiot would fight an opponent unarmed.\Where's your sense of responsibility?\We're soldiers.\We may be called on to fight at a severe disadvantage, and retreat will not be an option.\We must be able to handle any opponent,\whether that means using a cannon or martial arts.\That is our responsibility as soldiers.\Forget all that... Look. response:	Oh, Annie?
context: Where's your sense of responsibility?\We're soldiers.\We may be called on to fight at a severe disadvantage, and retreat will not be an option.\We must be able to handle any opponent,\whether that means using a cannon or martial arts.\That is our responsibility as soldiers.\Forget all that... Look.\Oh, Annie? response:	As usual, she's good at slacking off without getting found out by the instructor.
context: We're soldiers.\We may be called on to fight at a severe disadvantage, and retreat will not be an option.\We must be able to handle any opponent,\whether that means using a cannon or martial arts.\That is our responsibility as soldiers.\Forget all that... Look.\Oh, Annie?\As usual, she's good at slacking off without getting found out by the instructor. response:	Okay, Eren...
context: We may be called on to fight at a severe disadvantage, and retreat will not be an option.\We must be able to handle any opponent,\whether that means using a cannon or martial arts.\That is our responsibility as soldiers.\Forget all that... Look.\Oh, Annie?\As usual, she's good at slacking off without getting found out by the instructor.\Okay, Eren... response:	I think that slacker needs a lesson.
context: We must be able to handle any opponent,\whether that means using a cannon or martial arts.\That is our responsibility as soldiers.\Forget all that... Look.\Oh, Annie?\As usual, she's good at slacking off without getting found out by the instructor.\Okay, Eren...\I think that slacker needs a lesson. response:	Let us show her what a soldier should strive to be.
context: whether that means using a cannon or martial arts.\That is our responsibility as soldiers.\Forget all that... Look.\Oh, Annie?\As usual, she's good at slacking off without getting found out by the instructor.\Okay, Eren...\I think that slacker needs a lesson.\Let us show her what a soldier should strive to be. response:	You don't want the instructor to headbutt you again, do you?
context: That is our responsibility as soldiers.\Forget all that... Look.\Oh, Annie?\As usual, she's good at slacking off without getting found out by the instructor.\Okay, Eren...\I think that slacker needs a lesson.\Let us show her what a soldier should strive to be.\You don't want the instructor to headbutt you again, do you? response:	If you don't want to get any shorter,
context: Forget all that... Look.\Oh, Annie?\As usual, she's good at slacking off without getting found out by the instructor.\Okay, Eren...\I think that slacker needs a lesson.\Let us show her what a soldier should strive to be.\You don't want the instructor to headbutt you again, do you?\If you don't want to get any shorter, response:	remember what happened when you came here, and take this seriously.
context: Oh, Annie?\As usual, she's good at slacking off without getting found out by the instructor.\Okay, Eren...\I think that slacker needs a lesson.\Let us show her what a soldier should strive to be.\You don't want the instructor to headbutt you again, do you?\If you don't want to get any shorter,\remember what happened when you came here, and take this seriously. response:	Hey, isn't that a little harsh?
context: As usual, she's good at slacking off without getting found out by the instructor.\Okay, Eren...\I think that slacker needs a lesson.\Let us show her what a soldier should strive to be.\You don't want the instructor to headbutt you again, do you?\If you don't want to get any shorter,\remember what happened when you came here, and take this seriously.\Hey, isn't that a little harsh? response:	She's really mad.
context: Okay, Eren...\I think that slacker needs a lesson.\Let us show her what a soldier should strive to be.\You don't want the instructor to headbutt you again, do you?\If you don't want to get any shorter,\remember what happened when you came here, and take this seriously.\Hey, isn't that a little harsh?\She's really mad. response:	I always thought she was scary looking,
context: I think that slacker needs a lesson.\Let us show her what a soldier should strive to be.\You don't want the instructor to headbutt you again, do you?\If you don't want to get any shorter,\remember what happened when you came here, and take this seriously.\Hey, isn't that a little harsh?\She's really mad.\I always thought she was scary looking, response:	but she's way worse when she's really mad.
context: Let us show her what a soldier should strive to be.\You don't want the instructor to headbutt you again, do you?\If you don't want to get any shorter,\remember what happened when you came here, and take this seriously.\Hey, isn't that a little harsh?\She's really mad.\I always thought she was scary looking,\but she's way worse when she's really mad. response:	Let's get going, Eren.
context: You don't want the instructor to headbutt you again, do you?\If you don't want to get any shorter,\remember what happened when you came here, and take this seriously.\Hey, isn't that a little harsh?\She's really mad.\I always thought she was scary looking,\but she's way worse when she's really mad.\Let's get going, Eren. response:	Me?
context: If you don't want to get any shorter,\remember what happened when you came here, and take this seriously.\Hey, isn't that a little harsh?\She's really mad.\I always thought she was scary looking,\but she's way worse when she's really mad.\Let's get going, Eren.\Me? response:	Annie, you know how to do this, right?
context: remember what happened when you came here, and take this seriously.\Hey, isn't that a little harsh?\She's really mad.\I always thought she was scary looking,\but she's way worse when she's really mad.\Let's get going, Eren.\Me?\Annie, you know how to do this, right? response:	Here I go!
context: Hey, isn't that a little harsh?\She's really mad.\I always thought she was scary looking,\but she's way worse when she's really mad.\Let's get going, Eren.\Me?\Annie, you know how to do this, right?\Here I go! response:	What?
context: She's really mad.\I always thought she was scary looking,\but she's way worse when she's really mad.\Let's get going, Eren.\Me?\Annie, you know how to do this, right?\Here I go!\What? response:	Did she kick my leg?
context: I always thought she was scary looking,\but she's way worse when she's really mad.\Let's get going, Eren.\Me?\Annie, you know how to do this, right?\Here I go!\What?\Did she kick my leg? response:	Can I go?
context: but she's way worse when she's really mad.\Let's get going, Eren.\Me?\Annie, you know how to do this, right?\Here I go!\What?\Did she kick my leg?\Can I go? response:	No, this drill doesn't end until you grab the dagger.
context: Let's get going, Eren.\Me?\Annie, you know how to do this, right?\Here I go!\What?\Did she kick my leg?\Can I go?\No, this drill doesn't end until you grab the dagger. response:	Wait, Annie.
context: Me?\Annie, you know how to do this, right?\Here I go!\What?\Did she kick my leg?\Can I go?\No, this drill doesn't end until you grab the dagger.\Wait, Annie. response:	You're supposed to do this a certain way!
context: Annie, you know how to do this, right?\Here I go!\What?\Did she kick my leg?\Can I go?\No, this drill doesn't end until you grab the dagger.\Wait, Annie.\You're supposed to do this a certain way! response:	Here.
context: Here I go!\What?\Did she kick my leg?\Can I go?\No, this drill doesn't end until you grab the dagger.\Wait, Annie.\You're supposed to do this a certain way!\Here. response:	Now it's your turn to attack me.
context: What?\Did she kick my leg?\Can I go?\No, this drill doesn't end until you grab the dagger.\Wait, Annie.\You're supposed to do this a certain way!\Here.\Now it's your turn to attack me. response:	No, I...
context: Did she kick my leg?\Can I go?\No, this drill doesn't end until you grab the dagger.\Wait, Annie.\You're supposed to do this a certain way!\Here.\Now it's your turn to attack me.\No, I... response:	Go on, Reiner...
context: Can I go?\No, this drill doesn't end until you grab the dagger.\Wait, Annie.\You're supposed to do this a certain way!\Here.\Now it's your turn to attack me.\No, I...\Go on, Reiner... response:	Weren't you going to teach her a soldier's responsibilities?
context: No, this drill doesn't end until you grab the dagger.\Wait, Annie.\You're supposed to do this a certain way!\Here.\Now it's your turn to attack me.\No, I...\Go on, Reiner...\Weren't you going to teach her a soldier's responsibilities? response:	Yeah.
context: Wait, Annie.\You're supposed to do this a certain way!\Here.\Now it's your turn to attack me.\No, I...\Go on, Reiner...\Weren't you going to teach her a soldier's responsibilities?\Yeah. response:	Sometimes, a soldier can't retreat.
context: You're supposed to do this a certain way!\Here.\Now it's your turn to attack me.\No, I...\Go on, Reiner...\Weren't you going to teach her a soldier's responsibilities?\Yeah.\Sometimes, a soldier can't retreat. response:	Like now!
context: Here.\Now it's your turn to attack me.\No, I...\Go on, Reiner...\Weren't you going to teach her a soldier's responsibilities?\Yeah.\Sometimes, a soldier can't retreat.\Like now! response:	That was amazing.
context: Now it's your turn to attack me.\No, I...\Go on, Reiner...\Weren't you going to teach her a soldier's responsibilities?\Yeah.\Sometimes, a soldier can't retreat.\Like now!\That was amazing. response:	Where did you learn that?
context: No, I...\Go on, Reiner...\Weren't you going to teach her a soldier's responsibilities?\Yeah.\Sometimes, a soldier can't retreat.\Like now!\That was amazing.\Where did you learn that? response:	My father.
context: Go on, Reiner...\Weren't you going to teach her a soldier's responsibilities?\Yeah.\Sometimes, a soldier can't retreat.\Like now!\That was amazing.\Where did you learn that?\My father. response:	Your dad taught you that?
context: Weren't you going to teach her a soldier's responsibilities?\Yeah.\Sometimes, a soldier can't retreat.\Like now!\That was amazing.\Where did you learn that?\My father.\Your dad taught you that? response:	It doesn't matter.
context: Yeah.\Sometimes, a soldier can't retreat.\Like now!\That was amazing.\Where did you learn that?\My father.\Your dad taught you that?\It doesn't matter. response:	There isn't any point in doing this.
context: Sometimes, a soldier can't retreat.\Like now!\That was amazing.\Where did you learn that?\My father.\Your dad taught you that?\It doesn't matter.\There isn't any point in doing this. response:	You mean this exercise?
context: Like now!\That was amazing.\Where did you learn that?\My father.\Your dad taught you that?\It doesn't matter.\There isn't any point in doing this.\You mean this exercise? response:	Martial arts won't improve your score.
context: That was amazing.\Where did you learn that?\My father.\Your dad taught you that?\It doesn't matter.\There isn't any point in doing this.\You mean this exercise?\Martial arts won't improve your score. response:	You should just go through the motions, like them.
context: Where did you learn that?\My father.\Your dad taught you that?\It doesn't matter.\There isn't any point in doing this.\You mean this exercise?\Martial arts won't improve your score.\You should just go through the motions, like them. response:	The only ones allowed to join the Military Police and go deep within the walls
context: My father.\Your dad taught you that?\It doesn't matter.\There isn't any point in doing this.\You mean this exercise?\Martial arts won't improve your score.\You should just go through the motions, like them.\The only ones allowed to join the Military Police and go deep within the walls response:	are those who rank in the final top ten.
context: Your dad taught you that?\It doesn't matter.\There isn't any point in doing this.\You mean this exercise?\Martial arts won't improve your score.\You should just go through the motions, like them.\The only ones allowed to join the Military Police and go deep within the walls\are those who rank in the final top ten. response:	The only ones who take this seriously
context: It doesn't matter.\There isn't any point in doing this.\You mean this exercise?\Martial arts won't improve your score.\You should just go through the motions, like them.\The only ones allowed to join the Military Police and go deep within the walls\are those who rank in the final top ten.\The only ones who take this seriously response:	are either people like you, who do whatever they're told,
context: There isn't any point in doing this.\You mean this exercise?\Martial arts won't improve your score.\You should just go through the motions, like them.\The only ones allowed to join the Military Police and go deep within the walls\are those who rank in the final top ten.\The only ones who take this seriously\are either people like you, who do whatever they're told, response:	or real idiots.
context: You mean this exercise?\Martial arts won't improve your score.\You should just go through the motions, like them.\The only ones allowed to join the Military Police and go deep within the walls\are those who rank in the final top ten.\The only ones who take this seriously\are either people like you, who do whatever they're told,\or real idiots. response:	Crap, the instructor...
context: Martial arts won't improve your score.\You should just go through the motions, like them.\The only ones allowed to join the Military Police and go deep within the walls\are those who rank in the final top ten.\The only ones who take this seriously\are either people like you, who do whatever they're told,\or real idiots.\Crap, the instructor... response:	For whatever reason,
context: You should just go through the motions, like them.\The only ones allowed to join the Military Police and go deep within the walls\are those who rank in the final top ten.\The only ones who take this seriously\are either people like you, who do whatever they're told,\or real idiots.\Crap, the instructor...\For whatever reason, response:	the better equipped you are to fight Titans,
context: The only ones allowed to join the Military Police and go deep within the walls\are those who rank in the final top ten.\The only ones who take this seriously\are either people like you, who do whatever they're told,\or real idiots.\Crap, the instructor...\For whatever reason,\the better equipped you are to fight Titans, response:	the farther you're assigned from them.
