context: What is it, Akatsuki? response:	N-Nothing, just...
context: Th-Thank you!\After all you've done, and all the help you've given me...\Friends should stay together, right?\Leave Miss Isuzu to me.\With the strength of the adventurer Rundel Haus Code, Akihabara is\Thank you! Thank you!\I'm happy for Isuzu.\Shiroe? response:	Shiroe?
context: After all you've done, and all the help you've given me...\Friends should stay together, right?\Leave Miss Isuzu to me.\With the strength of the adventurer Rundel Haus Code, Akihabara is\Thank you! Thank you!\I'm happy for Isuzu.\Shiroe?\Shiroe? response:	Why are you looking there?
context: Friends should stay together, right?\Leave Miss Isuzu to me.\With the strength of the adventurer Rundel Haus Code, Akihabara is\Thank you! Thank you!\I'm happy for Isuzu.\Shiroe?\Shiroe?\Why are you looking there? response:	Is something wrong?
context: Leave Miss Isuzu to me.\With the strength of the adventurer Rundel Haus Code, Akihabara is\Thank you! Thank you!\I'm happy for Isuzu.\Shiroe?\Shiroe?\Why are you looking there?\Is something wrong? response:	Come to think of it, I haven't seen him.
context: With the strength of the adventurer Rundel Haus Code, Akihabara is\Thank you! Thank you!\I'm happy for Isuzu.\Shiroe?\Shiroe?\Why are you looking there?\Is something wrong?\Come to think of it, I haven't seen him. response:	Shiroe is the Akihabara army's strategist.
context: Thank you! Thank you!\I'm happy for Isuzu.\Shiroe?\Shiroe?\Why are you looking there?\Is something wrong?\Come to think of it, I haven't seen him.\Shiroe is the Akihabara army's strategist. response:	He should be one of the guests of honor.
context: I'm happy for Isuzu.\Shiroe?\Shiroe?\Why are you looking there?\Is something wrong?\Come to think of it, I haven't seen him.\Shiroe is the Akihabara army's strategist.\He should be one of the guests of honor. response:	But he isn't even here to say hello?
context: Shiroe?\Shiroe?\Why are you looking there?\Is something wrong?\Come to think of it, I haven't seen him.\Shiroe is the Akihabara army's strategist.\He should be one of the guests of honor.\But he isn't even here to say hello? response:	I see...
context: Shiroe?\Why are you looking there?\Is something wrong?\Come to think of it, I haven't seen him.\Shiroe is the Akihabara army's strategist.\He should be one of the guests of honor.\But he isn't even here to say hello?\I see... response:	That sounds like him.
context: Why are you looking there?\Is something wrong?\Come to think of it, I haven't seen him.\Shiroe is the Akihabara army's strategist.\He should be one of the guests of honor.\But he isn't even here to say hello?\I see...\That sounds like him. response:	Sounding like him doesn't excuse this behavior!
context: Is something wrong?\Come to think of it, I haven't seen him.\Shiroe is the Akihabara army's strategist.\He should be one of the guests of honor.\But he isn't even here to say hello?\I see...\That sounds like him.\Sounding like him doesn't excuse this behavior! response:	Meow...
context: Come to think of it, I haven't seen him.\Shiroe is the Akihabara army's strategist.\He should be one of the guests of honor.\But he isn't even here to say hello?\I see...\That sounds like him.\Sounding like him doesn't excuse this behavior!\Meow... response:	My lord...
context: Shiroe is the Akihabara army's strategist.\He should be one of the guests of honor.\But he isn't even here to say hello?\I see...\That sounds like him.\Sounding like him doesn't excuse this behavior!\Meow...\My lord... response:	Um...
context: He should be one of the guests of honor.\But he isn't even here to say hello?\I see...\That sounds like him.\Sounding like him doesn't excuse this behavior!\Meow...\My lord...\Um... response:	Shiroe!
context: But he isn't even here to say hello?\I see...\That sounds like him.\Sounding like him doesn't excuse this behavior!\Meow...\My lord...\Um...\Shiroe! response:	Oh, no.
context: I see...\That sounds like him.\Sounding like him doesn't excuse this behavior!\Meow...\My lord...\Um...\Shiroe!\Oh, no. response:	Akatsuki, take care of this.
context: That sounds like him.\Sounding like him doesn't excuse this behavior!\Meow...\My lord...\Um...\Shiroe!\Oh, no.\Akatsuki, take care of this. response:	My lord!
context: Sounding like him doesn't excuse this behavior!\Meow...\My lord...\Um...\Shiroe!\Oh, no.\Akatsuki, take care of this.\My lord! response:	Akatsuki!
context: Meow...\My lord...\Um...\Shiroe!\Oh, no.\Akatsuki, take care of this.\My lord!\Akatsuki! response:	Let's get you changed!
context: My lord...\Um...\Shiroe!\Oh, no.\Akatsuki, take care of this.\My lord!\Akatsuki!\Let's get you changed! response:	Oh, do you know where Shiroe is?
context: Um...\Shiroe!\Oh, no.\Akatsuki, take care of this.\My lord!\Akatsuki!\Let's get you changed!\Oh, do you know where Shiroe is? response:	Oh, you smell so good!
context: Shiroe!\Oh, no.\Akatsuki, take care of this.\My lord!\Akatsuki!\Let's get you changed!\Oh, do you know where Shiroe is?\Oh, you smell so good! response:	Akatsuki?
context: Oh, no.\Akatsuki, take care of this.\My lord!\Akatsuki!\Let's get you changed!\Oh, do you know where Shiroe is?\Oh, you smell so good!\Akatsuki? response:	That was close.
context: Akatsuki, take care of this.\My lord!\Akatsuki!\Let's get you changed!\Oh, do you know where Shiroe is?\Oh, you smell so good!\Akatsuki?\That was close. response:	Ooshima The Little Birdies
context: My lord!\Akatsuki!\Let's get you changed!\Oh, do you know where Shiroe is?\Oh, you smell so good!\Akatsuki?\That was close.\Ooshima The Little Birdies response:	Ooshima?
context: Akatsuki!\Let's get you changed!\Oh, do you know where Shiroe is?\Oh, you smell so good!\Akatsuki?\That was close.\Ooshima The Little Birdies\Ooshima? response:	How's it going since then?
context: Let's get you changed!\Oh, do you know where Shiroe is?\Oh, you smell so good!\Akatsuki?\That was close.\Ooshima The Little Birdies\Ooshima?\How's it going since then? response:	What? In the west?
context: Oh, do you know where Shiroe is?\Oh, you smell so good!\Akatsuki?\That was close.\Ooshima The Little Birdies\Ooshima?\How's it going since then?\What? In the west? response:	The Demon Festival of Suzaku Gate?
context: Oh, you smell so good!\Akatsuki?\That was close.\Ooshima The Little Birdies\Ooshima?\How's it going since then?\What? In the west?\The Demon Festival of Suzaku Gate? response:	I see.
context: Akatsuki?\That was close.\Ooshima The Little Birdies\Ooshima?\How's it going since then?\What? In the west?\The Demon Festival of Suzaku Gate?\I see. response:	So that's it.
context: That was close.\Ooshima The Little Birdies\Ooshima?\How's it going since then?\What? In the west?\The Demon Festival of Suzaku Gate?\I see.\So that's it. response:	So we were just ripping up goblins, tossing them aside...
context: Ooshima The Little Birdies\Ooshima?\How's it going since then?\What? In the west?\The Demon Festival of Suzaku Gate?\I see.\So that's it.\So we were just ripping up goblins, tossing them aside... response:	You could hear the Phoenix's roar echo through the whole valley!
context: Ooshima?\How's it going since then?\What? In the west?\The Demon Festival of Suzaku Gate?\I see.\So that's it.\So we were just ripping up goblins, tossing them aside...\You could hear the Phoenix's roar echo through the whole valley! response:	Boom!
context: How's it going since then?\What? In the west?\The Demon Festival of Suzaku Gate?\I see.\So that's it.\So we were just ripping up goblins, tossing them aside...\You could hear the Phoenix's roar echo through the whole valley!\Boom! response:	They don't know that they'll lose some of their memories if they die.
context: What? In the west?\The Demon Festival of Suzaku Gate?\I see.\So that's it.\So we were just ripping up goblins, tossing them aside...\You could hear the Phoenix's roar echo through the whole valley!\Boom!\They don't know that they'll lose some of their memories if they die. response:	We've only told the Round Table's major members about that.
context: The Demon Festival of Suzaku Gate?\I see.\So that's it.\So we were just ripping up goblins, tossing them aside...\You could hear the Phoenix's roar echo through the whole valley!\Boom!\They don't know that they'll lose some of their memories if they die.\We've only told the Round Table's major members about that. response:	Well, knowing Shiro, I'm sure he'll handle it.
context: I see.\So that's it.\So we were just ripping up goblins, tossing them aside...\You could hear the Phoenix's roar echo through the whole valley!\Boom!\They don't know that they'll lose some of their memories if they die.\We've only told the Round Table's major members about that.\Well, knowing Shiro, I'm sure he'll handle it. response:	I'd love it if you'd visit my territory sometime.
context: So that's it.\So we were just ripping up goblins, tossing them aside...\You could hear the Phoenix's roar echo through the whole valley!\Boom!\They don't know that they'll lose some of their memories if they die.\We've only told the Round Table's major members about that.\Well, knowing Shiro, I'm sure he'll handle it.\I'd love it if you'd visit my territory sometime. response:	I'd love for you to tell my troops some tales of your victories!
context: So we were just ripping up goblins, tossing them aside...\You could hear the Phoenix's roar echo through the whole valley!\Boom!\They don't know that they'll lose some of their memories if they die.\We've only told the Round Table's major members about that.\Well, knowing Shiro, I'm sure he'll handle it.\I'd love it if you'd visit my territory sometime.\I'd love for you to tell my troops some tales of your victories! response:	No, no, please visit me, as well!
context: You could hear the Phoenix's roar echo through the whole valley!\Boom!\They don't know that they'll lose some of their memories if they die.\We've only told the Round Table's major members about that.\Well, knowing Shiro, I'm sure he'll handle it.\I'd love it if you'd visit my territory sometime.\I'd love for you to tell my troops some tales of your victories!\No, no, please visit me, as well! response:	My daughter is seeking a husband, and I think you'd get along well.
context: Boom!\They don't know that they'll lose some of their memories if they die.\We've only told the Round Table's major members about that.\Well, knowing Shiro, I'm sure he'll handle it.\I'd love it if you'd visit my territory sometime.\I'd love for you to tell my troops some tales of your victories!\No, no, please visit me, as well!\My daughter is seeking a husband, and I think you'd get along well. response:	Grandfather, is that...
context: They don't know that they'll lose some of their memories if they die.\We've only told the Round Table's major members about that.\Well, knowing Shiro, I'm sure he'll handle it.\I'd love it if you'd visit my territory sometime.\I'd love for you to tell my troops some tales of your victories!\No, no, please visit me, as well!\My daughter is seeking a husband, and I think you'd get along well.\Grandfather, is that... response:	And then? And then?
context: We've only told the Round Table's major members about that.\Well, knowing Shiro, I'm sure he'll handle it.\I'd love it if you'd visit my territory sometime.\I'd love for you to tell my troops some tales of your victories!\No, no, please visit me, as well!\My daughter is seeking a husband, and I think you'd get along well.\Grandfather, is that...\And then? And then? response:	What happened?
context: Well, knowing Shiro, I'm sure he'll handle it.\I'd love it if you'd visit my territory sometime.\I'd love for you to tell my troops some tales of your victories!\No, no, please visit me, as well!\My daughter is seeking a husband, and I think you'd get along well.\Grandfather, is that...\And then? And then?\What happened? response:	And then, heroes from a different world came to ours.
context: I'd love it if you'd visit my territory sometime.\I'd love for you to tell my troops some tales of your victories!\No, no, please visit me, as well!\My daughter is seeking a husband, and I think you'd get along well.\Grandfather, is that...\And then? And then?\What happened?\And then, heroes from a different world came to ours. response:	They were immortal, strong, and wise.
context: I'd love for you to tell my troops some tales of your victories!\No, no, please visit me, as well!\My daughter is seeking a husband, and I think you'd get along well.\Grandfather, is that...\And then? And then?\What happened?\And then, heroes from a different world came to ours.\They were immortal, strong, and wise. response:	I know that!
context: No, no, please visit me, as well!\My daughter is seeking a husband, and I think you'd get along well.\Grandfather, is that...\And then? And then?\What happened?\And then, heroes from a different world came to ours.\They were immortal, strong, and wise.\I know that! response:	The Precursors, right?
context: My daughter is seeking a husband, and I think you'd get along well.\Grandfather, is that...\And then? And then?\What happened?\And then, heroes from a different world came to ours.\They were immortal, strong, and wise.\I know that!\The Precursors, right? response:	The Izumo Knights, right?
context: Grandfather, is that...\And then? And then?\What happened?\And then, heroes from a different world came to ours.\They were immortal, strong, and wise.\I know that!\The Precursors, right?\The Izumo Knights, right? response:	No, they were far more powerful than the Precursors.
context: And then? And then?\What happened?\And then, heroes from a different world came to ours.\They were immortal, strong, and wise.\I know that!\The Precursors, right?\The Izumo Knights, right?\No, they were far more powerful than the Precursors. response:	Oh, my!
context: What happened?\And then, heroes from a different world came to ours.\They were immortal, strong, and wise.\I know that!\The Precursors, right?\The Izumo Knights, right?\No, they were far more powerful than the Precursors.\Oh, my! response:	One day, the king of monsters appeared with his army,
context: And then, heroes from a different world came to ours.\They were immortal, strong, and wise.\I know that!\The Precursors, right?\The Izumo Knights, right?\No, they were far more powerful than the Precursors.\Oh, my!\One day, the king of monsters appeared with his army, response:	burning villages, destroying castles,
context: They were immortal, strong, and wise.\I know that!\The Precursors, right?\The Izumo Knights, right?\No, they were far more powerful than the Precursors.\Oh, my!\One day, the king of monsters appeared with his army,\burning villages, destroying castles, response:	and ruining fields.
context: I know that!\The Precursors, right?\The Izumo Knights, right?\No, they were far more powerful than the Precursors.\Oh, my!\One day, the king of monsters appeared with his army,\burning villages, destroying castles,\and ruining fields. response:	The heroes came quickly, and defeated the monsters, one after the next.
context: The Precursors, right?\The Izumo Knights, right?\No, they were far more powerful than the Precursors.\Oh, my!\One day, the king of monsters appeared with his army,\burning villages, destroying castles,\and ruining fields.\The heroes came quickly, and defeated the monsters, one after the next. response:	The monsters that had covered the beaches, those that blackened the forest...
context: The Izumo Knights, right?\No, they were far more powerful than the Precursors.\Oh, my!\One day, the king of monsters appeared with his army,\burning villages, destroying castles,\and ruining fields.\The heroes came quickly, and defeated the monsters, one after the next.\The monsters that had covered the beaches, those that blackened the forest... response:	But during the battle,
context: No, they were far more powerful than the Precursors.\Oh, my!\One day, the king of monsters appeared with his army,\burning villages, destroying castles,\and ruining fields.\The heroes came quickly, and defeated the monsters, one after the next.\The monsters that had covered the beaches, those that blackened the forest...\But during the battle, response:	one of them lost his life.
context: Oh, my!\One day, the king of monsters appeared with his army,\burning villages, destroying castles,\and ruining fields.\The heroes came quickly, and defeated the monsters, one after the next.\The monsters that had covered the beaches, those that blackened the forest...\But during the battle,\one of them lost his life. response:	That's strange...
context: One day, the king of monsters appeared with his army,\burning villages, destroying castles,\and ruining fields.\The heroes came quickly, and defeated the monsters, one after the next.\The monsters that had covered the beaches, those that blackened the forest...\But during the battle,\one of them lost his life.\That's strange... response:	Weren't they immortal?
context: burning villages, destroying castles,\and ruining fields.\The heroes came quickly, and defeated the monsters, one after the next.\The monsters that had covered the beaches, those that blackened the forest...\But during the battle,\one of them lost his life.\That's strange...\Weren't they immortal? response:	The boy who died was merely one of the People of the Land,
context: and ruining fields.\The heroes came quickly, and defeated the monsters, one after the next.\The monsters that had covered the beaches, those that blackened the forest...\But during the battle,\one of them lost his life.\That's strange...\Weren't they immortal?\The boy who died was merely one of the People of the Land, response:	one who longed to be one of those heroes.
context: The heroes came quickly, and defeated the monsters, one after the next.\The monsters that had covered the beaches, those that blackened the forest...\But during the battle,\one of them lost his life.\That's strange...\Weren't they immortal?\The boy who died was merely one of the People of the Land,\one who longed to be one of those heroes. response:	Oh, my!
context: The monsters that had covered the beaches, those that blackened the forest...\But during the battle,\one of them lost his life.\That's strange...\Weren't they immortal?\The boy who died was merely one of the People of the Land,\one who longed to be one of those heroes.\Oh, my! response:	The heroes begged their wizard to save him.
context: But during the battle,\one of them lost his life.\That's strange...\Weren't they immortal?\The boy who died was merely one of the People of the Land,\one who longed to be one of those heroes.\Oh, my!\The heroes begged their wizard to save him. response:	But not even their wizard
context: one of them lost his life.\That's strange...\Weren't they immortal?\The boy who died was merely one of the People of the Land,\one who longed to be one of those heroes.\Oh, my!\The heroes begged their wizard to save him.\But not even their wizard response:	knew how to restore one of the People of the Land.
context: That's strange...\Weren't they immortal?\The boy who died was merely one of the People of the Land,\one who longed to be one of those heroes.\Oh, my!\The heroes begged their wizard to save him.\But not even their wizard\knew how to restore one of the People of the Land. response:	And then?
context: Weren't they immortal?\The boy who died was merely one of the People of the Land,\one who longed to be one of those heroes.\Oh, my!\The heroes begged their wizard to save him.\But not even their wizard\knew how to restore one of the People of the Land.\And then? response:	What happened next?
context: The boy who died was merely one of the People of the Land,\one who longed to be one of those heroes.\Oh, my!\The heroes begged their wizard to save him.\But not even their wizard\knew how to restore one of the People of the Land.\And then?\What happened next? response:	So the wizard thought, and then, of all things,
