context: hajimete no kimochi my first feelings response:	shonbori no mune ni upon my downhearted chest
context: kowareru omoi wa these trembling feelings are\maichiru hanabirane fluttering petals,\sukininatte iino is it okay for me to fall in love?\soretomo or will...\tamerau kokoro ga my hesitating heart\bureiki kakerukedo put on my brakes,\kurushikute it's so painful\ikiga tomarisou desu I can't breathe response:	First Flower
context: maichiru hanabirane fluttering petals,\sukininatte iino is it okay for me to fall in love?\soretomo or will...\tamerau kokoro ga my hesitating heart\bureiki kakerukedo put on my brakes,\kurushikute it's so painful\ikiga tomarisou desu I can't breathe\First Flower response:	It's been a while since I've stopped caring about the changing of the seasons.
context: sukininatte iino is it okay for me to fall in love?\soretomo or will...\tamerau kokoro ga my hesitating heart\bureiki kakerukedo put on my brakes,\kurushikute it's so painful\ikiga tomarisou desu I can't breathe\First Flower\It's been a while since I've stopped caring about the changing of the seasons. response:	Shirasugi...
context: soretomo or will...\tamerau kokoro ga my hesitating heart\bureiki kakerukedo put on my brakes,\kurushikute it's so painful\ikiga tomarisou desu I can't breathe\First Flower\It's been a while since I've stopped caring about the changing of the seasons.\Shirasugi... response:	Last stop, Wakase...
context: tamerau kokoro ga my hesitating heart\bureiki kakerukedo put on my brakes,\kurushikute it's so painful\ikiga tomarisou desu I can't breathe\First Flower\It's been a while since I've stopped caring about the changing of the seasons.\Shirasugi...\Last stop, Wakase... response:	Please wait for the express train, it will come after...
context: bureiki kakerukedo put on my brakes,\kurushikute it's so painful\ikiga tomarisou desu I can't breathe\First Flower\It's been a while since I've stopped caring about the changing of the seasons.\Shirasugi...\Last stop, Wakase...\Please wait for the express train, it will come after... response:	How much meaning is there to the fact that it is spring right now?
context: kurushikute it's so painful\ikiga tomarisou desu I can't breathe\First Flower\It's been a while since I've stopped caring about the changing of the seasons.\Shirasugi...\Last stop, Wakase...\Please wait for the express train, it will come after...\How much meaning is there to the fact that it is spring right now? response:	There's someone else I've fallen in love with.
context: ikiga tomarisou desu I can't breathe\First Flower\It's been a while since I've stopped caring about the changing of the seasons.\Shirasugi...\Last stop, Wakase...\Please wait for the express train, it will come after...\How much meaning is there to the fact that it is spring right now?\There's someone else I've fallen in love with. response:	Oh... Really?
context: First Flower\It's been a while since I've stopped caring about the changing of the seasons.\Shirasugi...\Last stop, Wakase...\Please wait for the express train, it will come after...\How much meaning is there to the fact that it is spring right now?\There's someone else I've fallen in love with.\Oh... Really? response:	Tsubana. Tsubana.
context: It's been a while since I've stopped caring about the changing of the seasons.\Shirasugi...\Last stop, Wakase...\Please wait for the express train, it will come after...\How much meaning is there to the fact that it is spring right now?\There's someone else I've fallen in love with.\Oh... Really?\Tsubana. Tsubana. response:	Please wait until the train comes to a complete stop.
context: Shirasugi...\Last stop, Wakase...\Please wait for the express train, it will come after...\How much meaning is there to the fact that it is spring right now?\There's someone else I've fallen in love with.\Oh... Really?\Tsubana. Tsubana.\Please wait until the train comes to a complete stop. response:	Excuse me, I'm getting off.
context: Last stop, Wakase...\Please wait for the express train, it will come after...\How much meaning is there to the fact that it is spring right now?\There's someone else I've fallen in love with.\Oh... Really?\Tsubana. Tsubana.\Please wait until the train comes to a complete stop.\Excuse me, I'm getting off. response:	Hey... Excuse me.
context: Please wait for the express train, it will come after...\How much meaning is there to the fact that it is spring right now?\There's someone else I've fallen in love with.\Oh... Really?\Tsubana. Tsubana.\Please wait until the train comes to a complete stop.\Excuse me, I'm getting off.\Hey... Excuse me. response:	Hey, you there!
context: How much meaning is there to the fact that it is spring right now?\There's someone else I've fallen in love with.\Oh... Really?\Tsubana. Tsubana.\Please wait until the train comes to a complete stop.\Excuse me, I'm getting off.\Hey... Excuse me.\Hey, you there! response:	Hey, student!
context: There's someone else I've fallen in love with.\Oh... Really?\Tsubana. Tsubana.\Please wait until the train comes to a complete stop.\Excuse me, I'm getting off.\Hey... Excuse me.\Hey, you there!\Hey, student! response:	Umm?
context: Oh... Really?\Tsubana. Tsubana.\Please wait until the train comes to a complete stop.\Excuse me, I'm getting off.\Hey... Excuse me.\Hey, you there!\Hey, student!\Umm? response:	Oh... here...
context: Tsubana. Tsubana.\Please wait until the train comes to a complete stop.\Excuse me, I'm getting off.\Hey... Excuse me.\Hey, you there!\Hey, student!\Umm?\Oh... here... response:	Oh no... I'm so out of it.
context: Please wait until the train comes to a complete stop.\Excuse me, I'm getting off.\Hey... Excuse me.\Hey, you there!\Hey, student!\Umm?\Oh... here...\Oh no... I'm so out of it. response:	Thank you very much.
context: Excuse me, I'm getting off.\Hey... Excuse me.\Hey, you there!\Hey, student!\Umm?\Oh... here...\Oh no... I'm so out of it.\Thank you very much. response:	That's all I have about the next arranged marriage party.
context: Hey... Excuse me.\Hey, you there!\Hey, student!\Umm?\Oh... here...\Oh no... I'm so out of it.\Thank you very much.\That's all I have about the next arranged marriage party. response:	If you don't have any particular questions, then I would like to end the meeting.
context: Hey, you there!\Hey, student!\Umm?\Oh... here...\Oh no... I'm so out of it.\Thank you very much.\That's all I have about the next arranged marriage party.\If you don't have any particular questions, then I would like to end the meeting. response:	Yes!
context: Hey, student!\Umm?\Oh... here...\Oh no... I'm so out of it.\Thank you very much.\That's all I have about the next arranged marriage party.\If you don't have any particular questions, then I would like to end the meeting.\Yes! response:	Odagiri?
context: Umm?\Oh... here...\Oh no... I'm so out of it.\Thank you very much.\That's all I have about the next arranged marriage party.\If you don't have any particular questions, then I would like to end the meeting.\Yes!\Odagiri? response:	This party is restricted to members in their late 20's to early 30's.
context: Oh... here...\Oh no... I'm so out of it.\Thank you very much.\That's all I have about the next arranged marriage party.\If you don't have any particular questions, then I would like to end the meeting.\Yes!\Odagiri?\This party is restricted to members in their late 20's to early 30's. response:	However, someday I hope to bring down the membership age to mid-teens,
context: Oh no... I'm so out of it.\Thank you very much.\That's all I have about the next arranged marriage party.\If you don't have any particular questions, then I would like to end the meeting.\Yes!\Odagiri?\This party is restricted to members in their late 20's to early 30's.\However, someday I hope to bring down the membership age to mid-teens, response:	and have a party restricted to women in their teens...
context: Thank you very much.\That's all I have about the next arranged marriage party.\If you don't have any particular questions, then I would like to end the meeting.\Yes!\Odagiri?\This party is restricted to members in their late 20's to early 30's.\However, someday I hope to bring down the membership age to mid-teens,\and have a party restricted to women in their teens... response:	That's all!
context: That's all I have about the next arranged marriage party.\If you don't have any particular questions, then I would like to end the meeting.\Yes!\Odagiri?\This party is restricted to members in their late 20's to early 30's.\However, someday I hope to bring down the membership age to mid-teens,\and have a party restricted to women in their teens...\That's all! response:	Good work guys.
context: If you don't have any particular questions, then I would like to end the meeting.\Yes!\Odagiri?\This party is restricted to members in their late 20's to early 30's.\However, someday I hope to bring down the membership age to mid-teens,\and have a party restricted to women in their teens...\That's all!\Good work guys. response:	Let's go eat!
context: Yes!\Odagiri?\This party is restricted to members in their late 20's to early 30's.\However, someday I hope to bring down the membership age to mid-teens,\and have a party restricted to women in their teens...\That's all!\Good work guys.\Let's go eat! response:	Where do you want to go?
context: Odagiri?\This party is restricted to members in their late 20's to early 30's.\However, someday I hope to bring down the membership age to mid-teens,\and have a party restricted to women in their teens...\That's all!\Good work guys.\Let's go eat!\Where do you want to go? response:	Didn't a new restaurant open up in Kanami?
context: This party is restricted to members in their late 20's to early 30's.\However, someday I hope to bring down the membership age to mid-teens,\and have a party restricted to women in their teens...\That's all!\Good work guys.\Let's go eat!\Where do you want to go?\Didn't a new restaurant open up in Kanami? response:	Really?
context: However, someday I hope to bring down the membership age to mid-teens,\and have a party restricted to women in their teens...\That's all!\Good work guys.\Let's go eat!\Where do you want to go?\Didn't a new restaurant open up in Kanami?\Really? response:	Koshiro.
context: and have a party restricted to women in their teens...\That's all!\Good work guys.\Let's go eat!\Where do you want to go?\Didn't a new restaurant open up in Kanami?\Really?\Koshiro. response:	Huh?
context: That's all!\Good work guys.\Let's go eat!\Where do you want to go?\Didn't a new restaurant open up in Kanami?\Really?\Koshiro.\Huh? response:	You're sorting the membership data files in the back today.
context: Good work guys.\Let's go eat!\Where do you want to go?\Didn't a new restaurant open up in Kanami?\Really?\Koshiro.\Huh?\You're sorting the membership data files in the back today. response:	Why?
context: Let's go eat!\Where do you want to go?\Didn't a new restaurant open up in Kanami?\Really?\Koshiro.\Huh?\You're sorting the membership data files in the back today.\Why? response:	That face... that smell!
context: Where do you want to go?\Didn't a new restaurant open up in Kanami?\Really?\Koshiro.\Huh?\You're sorting the membership data files in the back today.\Why?\That face... that smell! response:	I can't show that to customers.
context: Didn't a new restaurant open up in Kanami?\Really?\Koshiro.\Huh?\You're sorting the membership data files in the back today.\Why?\That face... that smell!\I can't show that to customers. response:	There should definitely be a demand.
context: Really?\Koshiro.\Huh?\You're sorting the membership data files in the back today.\Why?\That face... that smell!\I can't show that to customers.\There should definitely be a demand. response:	You think so?
context: Koshiro.\Huh?\You're sorting the membership data files in the back today.\Why?\That face... that smell!\I can't show that to customers.\There should definitely be a demand.\You think so? response:	From experience, even men my age can only meet teenage girls in an unlawful way.
context: Huh?\You're sorting the membership data files in the back today.\Why?\That face... that smell!\I can't show that to customers.\There should definitely be a demand.\You think so?\From experience, even men my age can only meet teenage girls in an unlawful way. response:	A demand for you?
context: You're sorting the membership data files in the back today.\Why?\That face... that smell!\I can't show that to customers.\There should definitely be a demand.\You think so?\From experience, even men my age can only meet teenage girls in an unlawful way.\A demand for you? response:	Aren't there any opportunities to meet a female high school student?
context: Why?\That face... that smell!\I can't show that to customers.\There should definitely be a demand.\You think so?\From experience, even men my age can only meet teenage girls in an unlawful way.\A demand for you?\Aren't there any opportunities to meet a female high school student? response:	You just keep working.
context: That face... that smell!\I can't show that to customers.\There should definitely be a demand.\You think so?\From experience, even men my age can only meet teenage girls in an unlawful way.\A demand for you?\Aren't there any opportunities to meet a female high school student?\You just keep working. response:	I'm ho...me...
context: I can't show that to customers.\There should definitely be a demand.\You think so?\From experience, even men my age can only meet teenage girls in an unlawful way.\A demand for you?\Aren't there any opportunities to meet a female high school student?\You just keep working.\I'm ho...me... response:	I didn't hear about this!
context: There should definitely be a demand.\You think so?\From experience, even men my age can only meet teenage girls in an unlawful way.\A demand for you?\Aren't there any opportunities to meet a female high school student?\You just keep working.\I'm ho...me...\I didn't hear about this! response:	Anyway, you're going to live with Nanoka starting tomorrow night.
context: You think so?\From experience, even men my age can only meet teenage girls in an unlawful way.\A demand for you?\Aren't there any opportunities to meet a female high school student?\You just keep working.\I'm ho...me...\I didn't hear about this!\Anyway, you're going to live with Nanoka starting tomorrow night. response:	Be prepared!
context: From experience, even men my age can only meet teenage girls in an unlawful way.\A demand for you?\Aren't there any opportunities to meet a female high school student?\You just keep working.\I'm ho...me...\I didn't hear about this!\Anyway, you're going to live with Nanoka starting tomorrow night.\Be prepared! response:	So suddenly...
context: A demand for you?\Aren't there any opportunities to meet a female high school student?\You just keep working.\I'm ho...me...\I didn't hear about this!\Anyway, you're going to live with Nanoka starting tomorrow night.\Be prepared!\So suddenly... response:	I wanted to show you Nanoka.
context: Aren't there any opportunities to meet a female high school student?\You just keep working.\I'm ho...me...\I didn't hear about this!\Anyway, you're going to live with Nanoka starting tomorrow night.\Be prepared!\So suddenly...\I wanted to show you Nanoka. response:	You don't remember her, do you?
context: You just keep working.\I'm ho...me...\I didn't hear about this!\Anyway, you're going to live with Nanoka starting tomorrow night.\Be prepared!\So suddenly...\I wanted to show you Nanoka.\You don't remember her, do you? response:	Yes I do... I do, but I don't remember her face.
context: I'm ho...me...\I didn't hear about this!\Anyway, you're going to live with Nanoka starting tomorrow night.\Be prepared!\So suddenly...\I wanted to show you Nanoka.\You don't remember her, do you?\Yes I do... I do, but I don't remember her face. response:	She's a freshman in high school now.
context: I didn't hear about this!\Anyway, you're going to live with Nanoka starting tomorrow night.\Be prepared!\So suddenly...\I wanted to show you Nanoka.\You don't remember her, do you?\Yes I do... I do, but I don't remember her face.\She's a freshman in high school now. response:	She's 15 years old. She is so cute!
context: Anyway, you're going to live with Nanoka starting tomorrow night.\Be prepared!\So suddenly...\I wanted to show you Nanoka.\You don't remember her, do you?\Yes I do... I do, but I don't remember her face.\She's a freshman in high school now.\She's 15 years old. She is so cute! response:	Everyone commutes from far away nowadays.
context: Be prepared!\So suddenly...\I wanted to show you Nanoka.\You don't remember her, do you?\Yes I do... I do, but I don't remember her face.\She's a freshman in high school now.\She's 15 years old. She is so cute!\Everyone commutes from far away nowadays. response:	She can cut her commute time from two hours to one!
context: So suddenly...\I wanted to show you Nanoka.\You don't remember her, do you?\Yes I do... I do, but I don't remember her face.\She's a freshman in high school now.\She's 15 years old. She is so cute!\Everyone commutes from far away nowadays.\She can cut her commute time from two hours to one! response:	Isn't it natural that you let her stay?
context: I wanted to show you Nanoka.\You don't remember her, do you?\Yes I do... I do, but I don't remember her face.\She's a freshman in high school now.\She's 15 years old. She is so cute!\Everyone commutes from far away nowadays.\She can cut her commute time from two hours to one!\Isn't it natural that you let her stay? response:	Just because you got dumped by your lover,
context: You don't remember her, do you?\Yes I do... I do, but I don't remember her face.\She's a freshman in high school now.\She's 15 years old. She is so cute!\Everyone commutes from far away nowadays.\She can cut her commute time from two hours to one!\Isn't it natural that you let her stay?\Just because you got dumped by your lover, response:	you don't intend on getting back together with mom, do you?
context: Yes I do... I do, but I don't remember her face.\She's a freshman in high school now.\She's 15 years old. She is so cute!\Everyone commutes from far away nowadays.\She can cut her commute time from two hours to one!\Isn't it natural that you let her stay?\Just because you got dumped by your lover,\you don't intend on getting back together with mom, do you? response:	That's not how it is!
context: She's a freshman in high school now.\She's 15 years old. She is so cute!\Everyone commutes from far away nowadays.\She can cut her commute time from two hours to one!\Isn't it natural that you let her stay?\Just because you got dumped by your lover,\you don't intend on getting back together with mom, do you?\That's not how it is! response:	It's not?
context: She's 15 years old. She is so cute!\Everyone commutes from far away nowadays.\She can cut her commute time from two hours to one!\Isn't it natural that you let her stay?\Just because you got dumped by your lover,\you don't intend on getting back together with mom, do you?\That's not how it is!\It's not? response:	No!
context: Everyone commutes from far away nowadays.\She can cut her commute time from two hours to one!\Isn't it natural that you let her stay?\Just because you got dumped by your lover,\you don't intend on getting back together with mom, do you?\That's not how it is!\It's not?\No! response:	She's my daughter!
context: She can cut her commute time from two hours to one!\Isn't it natural that you let her stay?\Just because you got dumped by your lover,\you don't intend on getting back together with mom, do you?\That's not how it is!\It's not?\No!\She's my daughter! response:	She's a relative!
context: Isn't it natural that you let her stay?\Just because you got dumped by your lover,\you don't intend on getting back together with mom, do you?\That's not how it is!\It's not?\No!\She's my daughter!\She's a relative! response:	Your younger sister!
context: Just because you got dumped by your lover,\you don't intend on getting back together with mom, do you?\That's not how it is!\It's not?\No!\She's my daughter!\She's a relative!\Your younger sister! response:	With my carefree life living with pop,
context: you don't intend on getting back together with mom, do you?\That's not how it is!\It's not?\No!\She's my daughter!\She's a relative!\Your younger sister!\With my carefree life living with pop, response:	sometimes there's something I forget about.
context: That's not how it is!\It's not?\No!\She's my daughter!\She's a relative!\Your younger sister!\With my carefree life living with pop,\sometimes there's something I forget about. response:	I have a mother and a sister who's 12 years younger.
context: It's not?\No!\She's my daughter!\She's a relative!\Your younger sister!\With my carefree life living with pop,\sometimes there's something I forget about.\I have a mother and a sister who's 12 years younger. response:	Please introduce her to me!
context: No!\She's my daughter!\She's a relative!\Your younger sister!\With my carefree life living with pop,\sometimes there's something I forget about.\I have a mother and a sister who's 12 years younger.\Please introduce her to me! response:	What the hell are you thinking?
context: She's my daughter!\She's a relative!\Your younger sister!\With my carefree life living with pop,\sometimes there's something I forget about.\I have a mother and a sister who's 12 years younger.\Please introduce her to me!\What the hell are you thinking? response:	Why were you hiding such an important thing from me?!
context: She's a relative!\Your younger sister!\With my carefree life living with pop,\sometimes there's something I forget about.\I have a mother and a sister who's 12 years younger.\Please introduce her to me!\What the hell are you thinking?\Why were you hiding such an important thing from me?! response:	I wasn't hiding.
context: Your younger sister!\With my carefree life living with pop,\sometimes there's something I forget about.\I have a mother and a sister who's 12 years younger.\Please introduce her to me!\What the hell are you thinking?\Why were you hiding such an important thing from me?!\I wasn't hiding. response:	It's basically like I don't know about it.
context: With my carefree life living with pop,\sometimes there's something I forget about.\I have a mother and a sister who's 12 years younger.\Please introduce her to me!\What the hell are you thinking?\Why were you hiding such an important thing from me?!\I wasn't hiding.\It's basically like I don't know about it. response:	My parents got divorced.
context: sometimes there's something I forget about.\I have a mother and a sister who's 12 years younger.\Please introduce her to me!\What the hell are you thinking?\Why were you hiding such an important thing from me?!\I wasn't hiding.\It's basically like I don't know about it.\My parents got divorced. response:	I met my mom, who took custody of her, a couple times.
context: I have a mother and a sister who's 12 years younger.\Please introduce her to me!\What the hell are you thinking?\Why were you hiding such an important thing from me?!\I wasn't hiding.\It's basically like I don't know about it.\My parents got divorced.\I met my mom, who took custody of her, a couple times. response:	But I haven't seen my sister at all.
context: Please introduce her to me!\What the hell are you thinking?\Why were you hiding such an important thing from me?!\I wasn't hiding.\It's basically like I don't know about it.\My parents got divorced.\I met my mom, who took custody of her, a couple times.\But I haven't seen my sister at all. response:	Customer!
context: What the hell are you thinking?\Why were you hiding such an important thing from me?!\I wasn't hiding.\It's basically like I don't know about it.\My parents got divorced.\I met my mom, who took custody of her, a couple times.\But I haven't seen my sister at all.\Customer! response:	Sorry to keep you waiting.
context: Why were you hiding such an important thing from me?!\I wasn't hiding.\It's basically like I don't know about it.\My parents got divorced.\I met my mom, who took custody of her, a couple times.\But I haven't seen my sister at all.\Customer!\Sorry to keep you waiting. response:	And...
context: I wasn't hiding.\It's basically like I don't know about it.\My parents got divorced.\I met my mom, who took custody of her, a couple times.\But I haven't seen my sister at all.\Customer!\Sorry to keep you waiting.\And... response:	What kind of partner are you interested in?
context: It's basically like I don't know about it.\My parents got divorced.\I met my mom, who took custody of her, a couple times.\But I haven't seen my sister at all.\Customer!\Sorry to keep you waiting.\And...\What kind of partner are you interested in? response:	Don't get mad.
context: My parents got divorced.\I met my mom, who took custody of her, a couple times.\But I haven't seen my sister at all.\Customer!\Sorry to keep you waiting.\And...\What kind of partner are you interested in?\Don't get mad. response:	I'm sorry I came while you're working.
context: I met my mom, who took custody of her, a couple times.\But I haven't seen my sister at all.\Customer!\Sorry to keep you waiting.\And...\What kind of partner are you interested in?\Don't get mad.\I'm sorry I came while you're working. response:	It's all right.
context: But I haven't seen my sister at all.\Customer!\Sorry to keep you waiting.\And...\What kind of partner are you interested in?\Don't get mad.\I'm sorry I came while you're working.\It's all right. response:	It's my lunch break anyway.
context: Customer!\Sorry to keep you waiting.\And...\What kind of partner are you interested in?\Don't get mad.\I'm sorry I came while you're working.\It's all right.\It's my lunch break anyway. response:	I came to get the keys to my place back.
context: Sorry to keep you waiting.\And...\What kind of partner are you interested in?\Don't get mad.\I'm sorry I came while you're working.\It's all right.\It's my lunch break anyway.\I came to get the keys to my place back. response:	I thought it'd be better during the day.
context: And...\What kind of partner are you interested in?\Don't get mad.\I'm sorry I came while you're working.\It's all right.\It's my lunch break anyway.\I came to get the keys to my place back.\I thought it'd be better during the day. response:	Wait a little.
context: What kind of partner are you interested in?\Don't get mad.\I'm sorry I came while you're working.\It's all right.\It's my lunch break anyway.\I came to get the keys to my place back.\I thought it'd be better during the day.\Wait a little. response:	Bye.
context: Don't get mad.\I'm sorry I came while you're working.\It's all right.\It's my lunch break anyway.\I came to get the keys to my place back.\I thought it'd be better during the day.\Wait a little.\Bye. response:	Yeah.
context: I'm sorry I came while you're working.\It's all right.\It's my lunch break anyway.\I came to get the keys to my place back.\I thought it'd be better during the day.\Wait a little.\Bye.\Yeah. response:	You're really letting me go easy.
context: It's all right.\It's my lunch break anyway.\I came to get the keys to my place back.\I thought it'd be better during the day.\Wait a little.\Bye.\Yeah.\You're really letting me go easy. response:	Sorry...
context: It's my lunch break anyway.\I came to get the keys to my place back.\I thought it'd be better during the day.\Wait a little.\Bye.\Yeah.\You're really letting me go easy.\Sorry... response:	But...
context: I came to get the keys to my place back.\I thought it'd be better during the day.\Wait a little.\Bye.\Yeah.\You're really letting me go easy.\Sorry...\But... response:	You dismissed it so lightly.
context: I thought it'd be better during the day.\Wait a little.\Bye.\Yeah.\You're really letting me go easy.\Sorry...\But...\You dismissed it so lightly. response:	I just felt like...
context: Wait a little.\Bye.\Yeah.\You're really letting me go easy.\Sorry...\But...\You dismissed it so lightly.\I just felt like... response:	Oh, this is all I meant to you.
context: Bye.\Yeah.\You're really letting me go easy.\Sorry...\But...\You dismissed it so lightly.\I just felt like...\Oh, this is all I meant to you. response:	Koshiro, have you ever loved anyone from the bottom of your heart?
context: Yeah.\You're really letting me go easy.\Sorry...\But...\You dismissed it so lightly.\I just felt like...\Oh, this is all I meant to you.\Koshiro, have you ever loved anyone from the bottom of your heart? response:	Koshiro, have you ever loved anyone from the bottom of your heart?
context: You're really letting me go easy.\Sorry...\But...\You dismissed it so lightly.\I just felt like...\Oh, this is all I meant to you.\Koshiro, have you ever loved anyone from the bottom of your heart?\Koshiro, have you ever loved anyone from the bottom of your heart? response:	Then what should I have done?
context: Sorry...\But...\You dismissed it so lightly.\I just felt like...\Oh, this is all I meant to you.\Koshiro, have you ever loved anyone from the bottom of your heart?\Koshiro, have you ever loved anyone from the bottom of your heart?\Then what should I have done? response:	During the party, we're planning to have three events,
context: But...\You dismissed it so lightly.\I just felt like...\Oh, this is all I meant to you.\Koshiro, have you ever loved anyone from the bottom of your heart?\Koshiro, have you ever loved anyone from the bottom of your heart?\Then what should I have done?\During the party, we're planning to have three events, response:	so if we could divide the food and have it brought out to match the timing...
context: You dismissed it so lightly.\I just felt like...\Oh, this is all I meant to you.\Koshiro, have you ever loved anyone from the bottom of your heart?\Koshiro, have you ever loved anyone from the bottom of your heart?\Then what should I have done?\During the party, we're planning to have three events,\so if we could divide the food and have it brought out to match the timing... response:	Next, concerning the audio equipment...
context: I just felt like...\Oh, this is all I meant to you.\Koshiro, have you ever loved anyone from the bottom of your heart?\Koshiro, have you ever loved anyone from the bottom of your heart?\Then what should I have done?\During the party, we're planning to have three events,\so if we could divide the food and have it brought out to match the timing...\Next, concerning the audio equipment... response:	Thank you for your business.
context: Oh, this is all I meant to you.\Koshiro, have you ever loved anyone from the bottom of your heart?\Koshiro, have you ever loved anyone from the bottom of your heart?\Then what should I have done?\During the party, we're planning to have three events,\so if we could divide the food and have it brought out to match the timing...\Next, concerning the audio equipment...\Thank you for your business. response:	Same here.
context: Koshiro, have you ever loved anyone from the bottom of your heart?\Koshiro, have you ever loved anyone from the bottom of your heart?\Then what should I have done?\During the party, we're planning to have three events,\so if we could divide the food and have it brought out to match the timing...\Next, concerning the audio equipment...\Thank you for your business.\Same here. response:	Oh yes
context: Koshiro, have you ever loved anyone from the bottom of your heart?\Then what should I have done?\During the party, we're planning to have three events,\so if we could divide the food and have it brought out to match the timing...\Next, concerning the audio equipment...\Thank you for your business.\Same here.\Oh yes response:	Here. If you'd like it, it's next door.
context: Then what should I have done?\During the party, we're planning to have three events,\so if we could divide the food and have it brought out to match the timing...\Next, concerning the audio equipment...\Thank you for your business.\Same here.\Oh yes\Here. If you'd like it, it's next door. response:	Oh, thank you very much. Don't mind if I do.
context: During the party, we're planning to have three events,\so if we could divide the food and have it brought out to match the timing...\Next, concerning the audio equipment...\Thank you for your business.\Same here.\Oh yes\Here. If you'd like it, it's next door.\Oh, thank you very much. Don't mind if I do. response:	What do I say to a woman that says she has another man...?
context: so if we could divide the food and have it brought out to match the timing...\Next, concerning the audio equipment...\Thank you for your business.\Same here.\Oh yes\Here. If you'd like it, it's next door.\Oh, thank you very much. Don't mind if I do.\What do I say to a woman that says she has another man...? response:	What should I have done?
context: Next, concerning the audio equipment...\Thank you for your business.\Same here.\Oh yes\Here. If you'd like it, it's next door.\Oh, thank you very much. Don't mind if I do.\What do I say to a woman that says she has another man...?\What should I have done? response:	What a great view.
context: Thank you for your business.\Same here.\Oh yes\Here. If you'd like it, it's next door.\Oh, thank you very much. Don't mind if I do.\What do I say to a woman that says she has another man...?\What should I have done?\What a great view. response:	It's a place that kind of hurts for a bachelor.
context: Same here.\Oh yes\Here. If you'd like it, it's next door.\Oh, thank you very much. Don't mind if I do.\What do I say to a woman that says she has another man...?\What should I have done?\What a great view.\It's a place that kind of hurts for a bachelor. response:	So you broke up?
