context: How many years has it been since I last stepped on this soil? response:	Oh, my God,
context: So, Sid-kun,\Yes.\Justin seems to have just arrived.\With him, and the two that arrived earlier, that makes four of them.\So, then... what happened to the other four?\So, then... what happened to the other four?\The representatives in Europe and in West Asia are on missions, so they couldn't come.\That's tough... response:	What about South America's representative, then?
context: Yes.\Justin seems to have just arrived.\With him, and the two that arrived earlier, that makes four of them.\So, then... what happened to the other four?\So, then... what happened to the other four?\The representatives in Europe and in West Asia are on missions, so they couldn't come.\That's tough...\What about South America's representative, then? response:	Sounds like a barking dog, so we can't communicate with words.
context: Justin seems to have just arrived.\With him, and the two that arrived earlier, that makes four of them.\So, then... what happened to the other four?\So, then... what happened to the other four?\The representatives in Europe and in West Asia are on missions, so they couldn't come.\That's tough...\What about South America's representative, then?\Sounds like a barking dog, so we can't communicate with words. response:	And Africa?
context: With him, and the two that arrived earlier, that makes four of them.\So, then... what happened to the other four?\So, then... what happened to the other four?\The representatives in Europe and in West Asia are on missions, so they couldn't come.\That's tough...\What about South America's representative, then?\Sounds like a barking dog, so we can't communicate with words.\And Africa? response:	Blocked our contacts.
context: So, then... what happened to the other four?\So, then... what happened to the other four?\The representatives in Europe and in West Asia are on missions, so they couldn't come.\That's tough...\What about South America's representative, then?\Sounds like a barking dog, so we can't communicate with words.\And Africa?\Blocked our contacts. response:	Well, at least half of them assembled, isn't that great?
context: So, then... what happened to the other four?\The representatives in Europe and in West Asia are on missions, so they couldn't come.\That's tough...\What about South America's representative, then?\Sounds like a barking dog, so we can't communicate with words.\And Africa?\Blocked our contacts.\Well, at least half of them assembled, isn't that great? response:	No more...
context: The representatives in Europe and in West Asia are on missions, so they couldn't come.\That's tough...\What about South America's representative, then?\Sounds like a barking dog, so we can't communicate with words.\And Africa?\Blocked our contacts.\Well, at least half of them assembled, isn't that great?\No more... response:	I hate this! Hate it!
context: That's tough...\What about South America's representative, then?\Sounds like a barking dog, so we can't communicate with words.\And Africa?\Blocked our contacts.\Well, at least half of them assembled, isn't that great?\No more...\I hate this! Hate it! response:	What's wrong?
context: What about South America's representative, then?\Sounds like a barking dog, so we can't communicate with words.\And Africa?\Blocked our contacts.\Well, at least half of them assembled, isn't that great?\No more...\I hate this! Hate it!\What's wrong? response:	Right now, I shouldn't be here...
context: Sounds like a barking dog, so we can't communicate with words.\And Africa?\Blocked our contacts.\Well, at least half of them assembled, isn't that great?\No more...\I hate this! Hate it!\What's wrong?\Right now, I shouldn't be here... response:	I can't stay in a place like this.
context: And Africa?\Blocked our contacts.\Well, at least half of them assembled, isn't that great?\No more...\I hate this! Hate it!\What's wrong?\Right now, I shouldn't be here...\I can't stay in a place like this. response:	What are you saying?
context: Blocked our contacts.\Well, at least half of them assembled, isn't that great?\No more...\I hate this! Hate it!\What's wrong?\Right now, I shouldn't be here...\I can't stay in a place like this.\What are you saying? response:	The Kishin resurrected, you know.
context: Well, at least half of them assembled, isn't that great?\No more...\I hate this! Hate it!\What's wrong?\Right now, I shouldn't be here...\I can't stay in a place like this.\What are you saying?\The Kishin resurrected, you know. response:	Can there be anything more important?
context: No more...\I hate this! Hate it!\What's wrong?\Right now, I shouldn't be here...\I can't stay in a place like this.\What are you saying?\The Kishin resurrected, you know.\Can there be anything more important? response:	Azusa, you're still young, so you wouldn't understand.
context: I hate this! Hate it!\What's wrong?\Right now, I shouldn't be here...\I can't stay in a place like this.\What are you saying?\The Kishin resurrected, you know.\Can there be anything more important?\Azusa, you're still young, so you wouldn't understand. response:	I wanted to marry and immediately retire, but I'm still single.
context: What's wrong?\Right now, I shouldn't be here...\I can't stay in a place like this.\What are you saying?\The Kishin resurrected, you know.\Can there be anything more important?\Azusa, you're still young, so you wouldn't understand.\I wanted to marry and immediately retire, but I'm still single. response:	Don't you think that's strange?
context: Right now, I shouldn't be here...\I can't stay in a place like this.\What are you saying?\The Kishin resurrected, you know.\Can there be anything more important?\Azusa, you're still young, so you wouldn't understand.\I wanted to marry and immediately retire, but I'm still single.\Don't you think that's strange? response:	I think you're great.
context: I can't stay in a place like this.\What are you saying?\The Kishin resurrected, you know.\Can there be anything more important?\Azusa, you're still young, so you wouldn't understand.\I wanted to marry and immediately retire, but I'm still single.\Don't you think that's strange?\I think you're great. response:	I completely commit myself to them, but, in the end, we always break up.
context: What are you saying?\The Kishin resurrected, you know.\Can there be anything more important?\Azusa, you're still young, so you wouldn't understand.\I wanted to marry and immediately retire, but I'm still single.\Don't you think that's strange?\I think you're great.\I completely commit myself to them, but, in the end, we always break up. response:	When men think of commitment, they feel pressured and want to run away.
context: The Kishin resurrected, you know.\Can there be anything more important?\Azusa, you're still young, so you wouldn't understand.\I wanted to marry and immediately retire, but I'm still single.\Don't you think that's strange?\I think you're great.\I completely commit myself to them, but, in the end, we always break up.\When men think of commitment, they feel pressured and want to run away. response:	You don't understand the power of love!
context: Can there be anything more important?\Azusa, you're still young, so you wouldn't understand.\I wanted to marry and immediately retire, but I'm still single.\Don't you think that's strange?\I think you're great.\I completely commit myself to them, but, in the end, we always break up.\When men think of commitment, they feel pressured and want to run away.\You don't understand the power of love! response:	Marie-senpai, you don't understand the power of your punches.
context: Azusa, you're still young, so you wouldn't understand.\I wanted to marry and immediately retire, but I'm still single.\Don't you think that's strange?\I think you're great.\I completely commit myself to them, but, in the end, we always break up.\When men think of commitment, they feel pressured and want to run away.\You don't understand the power of love!\Marie-senpai, you don't understand the power of your punches. response:	S-Sorry...
context: I wanted to marry and immediately retire, but I'm still single.\Don't you think that's strange?\I think you're great.\I completely commit myself to them, but, in the end, we always break up.\When men think of commitment, they feel pressured and want to run away.\You don't understand the power of love!\Marie-senpai, you don't understand the power of your punches.\S-Sorry... response:	In any case, the idea that marriage is a woman's happiness is outdated.
context: Don't you think that's strange?\I think you're great.\I completely commit myself to them, but, in the end, we always break up.\When men think of commitment, they feel pressured and want to run away.\You don't understand the power of love!\Marie-senpai, you don't understand the power of your punches.\S-Sorry...\In any case, the idea that marriage is a woman's happiness is outdated. response:	What is it?
context: I think you're great.\I completely commit myself to them, but, in the end, we always break up.\When men think of commitment, they feel pressured and want to run away.\You don't understand the power of love!\Marie-senpai, you don't understand the power of your punches.\S-Sorry...\In any case, the idea that marriage is a woman's happiness is outdated.\What is it? response:	I'm... going to marry the toilet.
context: I completely commit myself to them, but, in the end, we always break up.\When men think of commitment, they feel pressured and want to run away.\You don't understand the power of love!\Marie-senpai, you don't understand the power of your punches.\S-Sorry...\In any case, the idea that marriage is a woman's happiness is outdated.\What is it?\I'm... going to marry the toilet. response:	I'm... going to marry the toilet.
context: When men think of commitment, they feel pressured and want to run away.\You don't understand the power of love!\Marie-senpai, you don't understand the power of your punches.\S-Sorry...\In any case, the idea that marriage is a woman's happiness is outdated.\What is it?\I'm... going to marry the toilet.\I'm... going to marry the toilet. response:	Don't you see? The toilet will accept anything I do!
context: You don't understand the power of love!\Marie-senpai, you don't understand the power of your punches.\S-Sorry...\In any case, the idea that marriage is a woman's happiness is outdated.\What is it?\I'm... going to marry the toilet.\I'm... going to marry the toilet.\Don't you see? The toilet will accept anything I do! response:	It's my ideal companion!
context: Marie-senpai, you don't understand the power of your punches.\S-Sorry...\In any case, the idea that marriage is a woman's happiness is outdated.\What is it?\I'm... going to marry the toilet.\I'm... going to marry the toilet.\Don't you see? The toilet will accept anything I do!\It's my ideal companion! response:	I know it's a women's toilet, but doesn't it annoy you that the seat is up?
context: S-Sorry...\In any case, the idea that marriage is a woman's happiness is outdated.\What is it?\I'm... going to marry the toilet.\I'm... going to marry the toilet.\Don't you see? The toilet will accept anything I do!\It's my ideal companion!\I know it's a women's toilet, but doesn't it annoy you that the seat is up? response:	I can deal with something like that.
context: In any case, the idea that marriage is a woman's happiness is outdated.\What is it?\I'm... going to marry the toilet.\I'm... going to marry the toilet.\Don't you see? The toilet will accept anything I do!\It's my ideal companion!\I know it's a women's toilet, but doesn't it annoy you that the seat is up?\I can deal with something like that. response:	Not good. If I don't stop Marie-san...!
context: What is it?\I'm... going to marry the toilet.\I'm... going to marry the toilet.\Don't you see? The toilet will accept anything I do!\It's my ideal companion!\I know it's a women's toilet, but doesn't it annoy you that the seat is up?\I can deal with something like that.\Not good. If I don't stop Marie-san...! response:	T-There will be times when even it won't handle the pressure and won't be able to breathe.
context: I'm... going to marry the toilet.\I'm... going to marry the toilet.\Don't you see? The toilet will accept anything I do!\It's my ideal companion!\I know it's a women's toilet, but doesn't it annoy you that the seat is up?\I can deal with something like that.\Not good. If I don't stop Marie-san...!\T-There will be times when even it won't handle the pressure and won't be able to breathe. response:	It might hide from you, Marie-san, and even leak behind your back.
context: I'm... going to marry the toilet.\Don't you see? The toilet will accept anything I do!\It's my ideal companion!\I know it's a women's toilet, but doesn't it annoy you that the seat is up?\I can deal with something like that.\Not good. If I don't stop Marie-san...!\T-There will be times when even it won't handle the pressure and won't be able to breathe.\It might hide from you, Marie-san, and even leak behind your back. response:	H-How indecent.
context: Don't you see? The toilet will accept anything I do!\It's my ideal companion!\I know it's a women's toilet, but doesn't it annoy you that the seat is up?\I can deal with something like that.\Not good. If I don't stop Marie-san...!\T-There will be times when even it won't handle the pressure and won't be able to breathe.\It might hide from you, Marie-san, and even leak behind your back.\H-How indecent. response:	Unforgivable.
context: It's my ideal companion!\I know it's a women's toilet, but doesn't it annoy you that the seat is up?\I can deal with something like that.\Not good. If I don't stop Marie-san...!\T-There will be times when even it won't handle the pressure and won't be able to breathe.\It might hide from you, Marie-san, and even leak behind your back.\H-How indecent.\Unforgivable. response:	You cheating bastard!
context: I know it's a women's toilet, but doesn't it annoy you that the seat is up?\I can deal with something like that.\Not good. If I don't stop Marie-san...!\T-There will be times when even it won't handle the pressure and won't be able to breathe.\It might hide from you, Marie-san, and even leak behind your back.\H-How indecent.\Unforgivable.\You cheating bastard! response:	Anyway, let's go to where Shinigami-sama is.
context: I can deal with something like that.\Not good. If I don't stop Marie-san...!\T-There will be times when even it won't handle the pressure and won't be able to breathe.\It might hide from you, Marie-san, and even leak behind your back.\H-How indecent.\Unforgivable.\You cheating bastard!\Anyway, let's go to where Shinigami-sama is. response:	As expected of the Crushing Weapon...
context: Not good. If I don't stop Marie-san...!\T-There will be times when even it won't handle the pressure and won't be able to breathe.\It might hide from you, Marie-san, and even leak behind your back.\H-How indecent.\Unforgivable.\You cheating bastard!\Anyway, let's go to where Shinigami-sama is.\As expected of the Crushing Weapon... response:	You're still very capable.
context: T-There will be times when even it won't handle the pressure and won't be able to breathe.\It might hide from you, Marie-san, and even leak behind your back.\H-How indecent.\Unforgivable.\You cheating bastard!\Anyway, let's go to where Shinigami-sama is.\As expected of the Crushing Weapon...\You're still very capable. response:	Want something?
context: It might hide from you, Marie-san, and even leak behind your back.\H-How indecent.\Unforgivable.\You cheating bastard!\Anyway, let's go to where Shinigami-sama is.\As expected of the Crushing Weapon...\You're still very capable.\Want something? response:	Yeah... We have to go to where Shinigami-sama is.
context: H-How indecent.\Unforgivable.\You cheating bastard!\Anyway, let's go to where Shinigami-sama is.\As expected of the Crushing Weapon...\You're still very capable.\Want something?\Yeah... We have to go to where Shinigami-sama is. response:	I'm not going.
context: Unforgivable.\You cheating bastard!\Anyway, let's go to where Shinigami-sama is.\As expected of the Crushing Weapon...\You're still very capable.\Want something?\Yeah... We have to go to where Shinigami-sama is.\I'm not going. response:	Why not?
context: You cheating bastard!\Anyway, let's go to where Shinigami-sama is.\As expected of the Crushing Weapon...\You're still very capable.\Want something?\Yeah... We have to go to where Shinigami-sama is.\I'm not going.\Why not? response:	Say, Stein,
context: Anyway, let's go to where Shinigami-sama is.\As expected of the Crushing Weapon...\You're still very capable.\Want something?\Yeah... We have to go to where Shinigami-sama is.\I'm not going.\Why not?\Say, Stein, response:	Since the Kishin was revived, he probably wants to plan some counter-measures.
context: As expected of the Crushing Weapon...\You're still very capable.\Want something?\Yeah... We have to go to where Shinigami-sama is.\I'm not going.\Why not?\Say, Stein,\Since the Kishin was revived, he probably wants to plan some counter-measures. response:	No, you're wrong. He definitely wants to relocate me.
context: You're still very capable.\Want something?\Yeah... We have to go to where Shinigami-sama is.\I'm not going.\Why not?\Say, Stein,\Since the Kishin was revived, he probably wants to plan some counter-measures.\No, you're wrong. He definitely wants to relocate me. response:	It's a demotion, a demotion!
context: Want something?\Yeah... We have to go to where Shinigami-sama is.\I'm not going.\Why not?\Say, Stein,\Since the Kishin was revived, he probably wants to plan some counter-measures.\No, you're wrong. He definitely wants to relocate me.\It's a demotion, a demotion! response:	You think so?
context: Yeah... We have to go to where Shinigami-sama is.\I'm not going.\Why not?\Say, Stein,\Since the Kishin was revived, he probably wants to plan some counter-measures.\No, you're wrong. He definitely wants to relocate me.\It's a demotion, a demotion!\You think so? response:	Don't you think so, too?
context: I'm not going.\Why not?\Say, Stein,\Since the Kishin was revived, he probably wants to plan some counter-measures.\No, you're wrong. He definitely wants to relocate me.\It's a demotion, a demotion!\You think so?\Don't you think so, too? response:	If I didn't leave Shinigami's side, he could have used me to stop the Kishin!
context: Why not?\Say, Stein,\Since the Kishin was revived, he probably wants to plan some counter-measures.\No, you're wrong. He definitely wants to relocate me.\It's a demotion, a demotion!\You think so?\Don't you think so, too?\If I didn't leave Shinigami's side, he could have used me to stop the Kishin! response:	So, you're trying to score some points by polishing the candle stands?
context: Say, Stein,\Since the Kishin was revived, he probably wants to plan some counter-measures.\No, you're wrong. He definitely wants to relocate me.\It's a demotion, a demotion!\You think so?\Don't you think so, too?\If I didn't leave Shinigami's side, he could have used me to stop the Kishin!\So, you're trying to score some points by polishing the candle stands? response:	Something wrong with that?
context: Since the Kishin was revived, he probably wants to plan some counter-measures.\No, you're wrong. He definitely wants to relocate me.\It's a demotion, a demotion!\You think so?\Don't you think so, too?\If I didn't leave Shinigami's side, he could have used me to stop the Kishin!\So, you're trying to score some points by polishing the candle stands?\Something wrong with that? response:	You're an idiot...
context: No, you're wrong. He definitely wants to relocate me.\It's a demotion, a demotion!\You think so?\Don't you think so, too?\If I didn't leave Shinigami's side, he could have used me to stop the Kishin!\So, you're trying to score some points by polishing the candle stands?\Something wrong with that?\You're an idiot... response:	So what if I'm desperate?
context: It's a demotion, a demotion!\You think so?\Don't you think so, too?\If I didn't leave Shinigami's side, he could have used me to stop the Kishin!\So, you're trying to score some points by polishing the candle stands?\Something wrong with that?\You're an idiot...\So what if I'm desperate? response:	My ex-wife already has Maka's acknowledgment.
context: You think so?\Don't you think so, too?\If I didn't leave Shinigami's side, he could have used me to stop the Kishin!\So, you're trying to score some points by polishing the candle stands?\Something wrong with that?\You're an idiot...\So what if I'm desperate?\My ex-wife already has Maka's acknowledgment. response:	If the distance between us gets any bigger, she won't feel like Papa exists at all!
context: Don't you think so, too?\If I didn't leave Shinigami's side, he could have used me to stop the Kishin!\So, you're trying to score some points by polishing the candle stands?\Something wrong with that?\You're an idiot...\So what if I'm desperate?\My ex-wife already has Maka's acknowledgment.\If the distance between us gets any bigger, she won't feel like Papa exists at all! response:	She already feels that way.
context: If I didn't leave Shinigami's side, he could have used me to stop the Kishin!\So, you're trying to score some points by polishing the candle stands?\Something wrong with that?\You're an idiot...\So what if I'm desperate?\My ex-wife already has Maka's acknowledgment.\If the distance between us gets any bigger, she won't feel like Papa exists at all!\She already feels that way. response:	You must be desperate since you rolled up your tuxedo sleeves.
context: So, you're trying to score some points by polishing the candle stands?\Something wrong with that?\You're an idiot...\So what if I'm desperate?\My ex-wife already has Maka's acknowledgment.\If the distance between us gets any bigger, she won't feel like Papa exists at all!\She already feels that way.\You must be desperate since you rolled up your tuxedo sleeves. response:	That's right!
context: Something wrong with that?\You're an idiot...\So what if I'm desperate?\My ex-wife already has Maka's acknowledgment.\If the distance between us gets any bigger, she won't feel like Papa exists at all!\She already feels that way.\You must be desperate since you rolled up your tuxedo sleeves.\That's right! response:	I'm going to roll them up even further by 10 cm.
context: You're an idiot...\So what if I'm desperate?\My ex-wife already has Maka's acknowledgment.\If the distance between us gets any bigger, she won't feel like Papa exists at all!\She already feels that way.\You must be desperate since you rolled up your tuxedo sleeves.\That's right!\I'm going to roll them up even further by 10 cm. response:	Oh.
context: So what if I'm desperate?\My ex-wife already has Maka's acknowledgment.\If the distance between us gets any bigger, she won't feel like Papa exists at all!\She already feels that way.\You must be desperate since you rolled up your tuxedo sleeves.\That's right!\I'm going to roll them up even further by 10 cm.\Oh. response:	It's Stein-san. Marie-san's first love.
context: My ex-wife already has Maka's acknowledgment.\If the distance between us gets any bigger, she won't feel like Papa exists at all!\She already feels that way.\You must be desperate since you rolled up your tuxedo sleeves.\That's right!\I'm going to roll them up even further by 10 cm.\Oh.\It's Stein-san. Marie-san's first love. response:	That was a long time ago.
context: If the distance between us gets any bigger, she won't feel like Papa exists at all!\She already feels that way.\You must be desperate since you rolled up your tuxedo sleeves.\That's right!\I'm going to roll them up even further by 10 cm.\Oh.\It's Stein-san. Marie-san's first love.\That was a long time ago. response:	Huh?
context: She already feels that way.\You must be desperate since you rolled up your tuxedo sleeves.\That's right!\I'm going to roll them up even further by 10 cm.\Oh.\It's Stein-san. Marie-san's first love.\That was a long time ago.\Huh? response:	It's been a while!
context: You must be desperate since you rolled up your tuxedo sleeves.\That's right!\I'm going to roll them up even further by 10 cm.\Oh.\It's Stein-san. Marie-san's first love.\That was a long time ago.\Huh?\It's been a while! response:	Good afternoon.
context: That's right!\I'm going to roll them up even further by 10 cm.\Oh.\It's Stein-san. Marie-san's first love.\That was a long time ago.\Huh?\It's been a while!\Good afternoon. response:	Oh...!
