context: Don't you die, Goku. response:	Father...
context: W- what the hell is that thing?\K- Kuririn- san, o- over there!\Get down, Gohan! Get down, and hide!\W- what is that?\Hurry up, you stupid twit!\Ah, it's those guys.\lt can't be... He's turned into a Great Ape!\Feels like most of your bones just broke, huh? Does it hurt? response:	Goku is getting done in! This is bad!
context: K- Kuririn- san, o- over there!\Get down, Gohan! Get down, and hide!\W- what is that?\Hurry up, you stupid twit!\Ah, it's those guys.\lt can't be... He's turned into a Great Ape!\Feels like most of your bones just broke, huh? Does it hurt?\Goku is getting done in! This is bad! response:	This way!
context: Get down, Gohan! Get down, and hide!\W- what is that?\Hurry up, you stupid twit!\Ah, it's those guys.\lt can't be... He's turned into a Great Ape!\Feels like most of your bones just broke, huh? Does it hurt?\Goku is getting done in! This is bad!\This way! response:	Right!
context: W- what is that?\Hurry up, you stupid twit!\Ah, it's those guys.\lt can't be... He's turned into a Great Ape!\Feels like most of your bones just broke, huh? Does it hurt?\Goku is getting done in! This is bad!\This way!\Right! response:	Hey!
context: Hurry up, you stupid twit!\Ah, it's those guys.\lt can't be... He's turned into a Great Ape!\Feels like most of your bones just broke, huh? Does it hurt?\Goku is getting done in! This is bad!\This way!\Right!\Hey! response:	Yajirobe!
context: Ah, it's those guys.\lt can't be... He's turned into a Great Ape!\Feels like most of your bones just broke, huh? Does it hurt?\Goku is getting done in! This is bad!\This way!\Right!\Hey!\Yajirobe! response:	Hey, who d'ya think that monster is? It's the Saiyan, I tell ya, the Saiyan!
context: lt can't be... He's turned into a Great Ape!\Feels like most of your bones just broke, huh? Does it hurt?\Goku is getting done in! This is bad!\This way!\Right!\Hey!\Yajirobe!\Hey, who d'ya think that monster is? It's the Saiyan, I tell ya, the Saiyan! response:	I know.
context: Feels like most of your bones just broke, huh? Does it hurt?\Goku is getting done in! This is bad!\This way!\Right!\Hey!\Yajirobe!\Hey, who d'ya think that monster is? It's the Saiyan, I tell ya, the Saiyan!\I know. response:	There's no way you can stand up to that monster, you know! Give it up!
context: Goku is getting done in! This is bad!\This way!\Right!\Hey!\Yajirobe!\Hey, who d'ya think that monster is? It's the Saiyan, I tell ya, the Saiyan!\I know.\There's no way you can stand up to that monster, you know! Give it up! response:	I know that, too. But if we cut off his tail, he'll return to normal.
context: This way!\Right!\Hey!\Yajirobe!\Hey, who d'ya think that monster is? It's the Saiyan, I tell ya, the Saiyan!\I know.\There's no way you can stand up to that monster, you know! Give it up!\I know that, too. But if we cut off his tail, he'll return to normal. response:	His tail?
context: Right!\Hey!\Yajirobe!\Hey, who d'ya think that monster is? It's the Saiyan, I tell ya, the Saiyan!\I know.\There's no way you can stand up to that monster, you know! Give it up!\I know that, too. But if we cut off his tail, he'll return to normal.\His tail? response:	His tail?
context: Hey!\Yajirobe!\Hey, who d'ya think that monster is? It's the Saiyan, I tell ya, the Saiyan!\I know.\There's no way you can stand up to that monster, you know! Give it up!\I know that, too. But if we cut off his tail, he'll return to normal.\His tail?\His tail? response:	Listen up.
context: Yajirobe!\Hey, who d'ya think that monster is? It's the Saiyan, I tell ya, the Saiyan!\I know.\There's no way you can stand up to that monster, you know! Give it up!\I know that, too. But if we cut off his tail, he'll return to normal.\His tail?\His tail?\Listen up. response:	Gohan and Yajirobe, you guys circle around in front of him, and get his attention.
context: Hey, who d'ya think that monster is? It's the Saiyan, I tell ya, the Saiyan!\I know.\There's no way you can stand up to that monster, you know! Give it up!\I know that, too. But if we cut off his tail, he'll return to normal.\His tail?\His tail?\Listen up.\Gohan and Yajirobe, you guys circle around in front of him, and get his attention. response:	I'll find an opportunity to cut off his tail from the back!
context: I know.\There's no way you can stand up to that monster, you know! Give it up!\I know that, too. But if we cut off his tail, he'll return to normal.\His tail?\His tail?\Listen up.\Gohan and Yajirobe, you guys circle around in front of him, and get his attention.\I'll find an opportunity to cut off his tail from the back! response:	Hurry! Goku is going to die!
context: There's no way you can stand up to that monster, you know! Give it up!\I know that, too. But if we cut off his tail, he'll return to normal.\His tail?\His tail?\Listen up.\Gohan and Yajirobe, you guys circle around in front of him, and get his attention.\I'll find an opportunity to cut off his tail from the back!\Hurry! Goku is going to die! response:	R- right.
context: I know that, too. But if we cut off his tail, he'll return to normal.\His tail?\His tail?\Listen up.\Gohan and Yajirobe, you guys circle around in front of him, and get his attention.\I'll find an opportunity to cut off his tail from the back!\Hurry! Goku is going to die!\R- right. response:	Y- ya gotta be kiddin' me.
context: His tail?\His tail?\Listen up.\Gohan and Yajirobe, you guys circle around in front of him, and get his attention.\I'll find an opportunity to cut off his tail from the back!\Hurry! Goku is going to die!\R- right.\Y- ya gotta be kiddin' me. response:	Get his attention, did'ja say? You guys don't even know!
context: His tail?\Listen up.\Gohan and Yajirobe, you guys circle around in front of him, and get his attention.\I'll find an opportunity to cut off his tail from the back!\Hurry! Goku is going to die!\R- right.\Y- ya gotta be kiddin' me.\Get his attention, did'ja say? You guys don't even know! response:	Even after he's back to normal, he's still gonna have unbelievable strength!
context: Listen up.\Gohan and Yajirobe, you guys circle around in front of him, and get his attention.\I'll find an opportunity to cut off his tail from the back!\Hurry! Goku is going to die!\R- right.\Y- ya gotta be kiddin' me.\Get his attention, did'ja say? You guys don't even know!\Even after he's back to normal, he's still gonna have unbelievable strength! response:	Father, don't die!
context: Gohan and Yajirobe, you guys circle around in front of him, and get his attention.\I'll find an opportunity to cut off his tail from the back!\Hurry! Goku is going to die!\R- right.\Y- ya gotta be kiddin' me.\Get his attention, did'ja say? You guys don't even know!\Even after he's back to normal, he's still gonna have unbelievable strength!\Father, don't die! response:	Goku's Ki is almost completely gone! Dammit, he's moments from death!
context: I'll find an opportunity to cut off his tail from the back!\Hurry! Goku is going to die!\R- right.\Y- ya gotta be kiddin' me.\Get his attention, did'ja say? You guys don't even know!\Even after he's back to normal, he's still gonna have unbelievable strength!\Father, don't die!\Goku's Ki is almost completely gone! Dammit, he's moments from death! response:	Eh, do whatever you wanna.
context: Hurry! Goku is going to die!\R- right.\Y- ya gotta be kiddin' me.\Get his attention, did'ja say? You guys don't even know!\Even after he's back to normal, he's still gonna have unbelievable strength!\Father, don't die!\Goku's Ki is almost completely gone! Dammit, he's moments from death!\Eh, do whatever you wanna. response:	There's something out there.
context: R- right.\Y- ya gotta be kiddin' me.\Get his attention, did'ja say? You guys don't even know!\Even after he's back to normal, he's still gonna have unbelievable strength!\Father, don't die!\Goku's Ki is almost completely gone! Dammit, he's moments from death!\Eh, do whatever you wanna.\There's something out there. response:	Where is it?
context: Y- ya gotta be kiddin' me.\Get his attention, did'ja say? You guys don't even know!\Even after he's back to normal, he's still gonna have unbelievable strength!\Father, don't die!\Goku's Ki is almost completely gone! Dammit, he's moments from death!\Eh, do whatever you wanna.\There's something out there.\Where is it? response:	Over here!
context: Get his attention, did'ja say? You guys don't even know!\Even after he's back to normal, he's still gonna have unbelievable strength!\Father, don't die!\Goku's Ki is almost completely gone! Dammit, he's moments from death!\Eh, do whatever you wanna.\There's something out there.\Where is it?\Over here! response:	L- let my father go!
context: Even after he's back to normal, he's still gonna have unbelievable strength!\Father, don't die!\Goku's Ki is almost completely gone! Dammit, he's moments from death!\Eh, do whatever you wanna.\There's something out there.\Where is it?\Over here!\L- let my father go! response:	This is a surprise. If it isn't Kakarrot's kid.
context: Father, don't die!\Goku's Ki is almost completely gone! Dammit, he's moments from death!\Eh, do whatever you wanna.\There's something out there.\Where is it?\Over here!\L- let my father go!\This is a surprise. If it isn't Kakarrot's kid. response:	I get it. So you've come here just to see your father meet his end, have you?
context: Goku's Ki is almost completely gone! Dammit, he's moments from death!\Eh, do whatever you wanna.\There's something out there.\Where is it?\Over here!\L- let my father go!\This is a surprise. If it isn't Kakarrot's kid.\I get it. So you've come here just to see your father meet his end, have you? response:	You've got good timing. He was just about to die.
context: Eh, do whatever you wanna.\There's something out there.\Where is it?\Over here!\L- let my father go!\This is a surprise. If it isn't Kakarrot's kid.\I get it. So you've come here just to see your father meet his end, have you?\You've got good timing. He was just about to die. response:	I was right about to finish him off.
context: There's something out there.\Where is it?\Over here!\L- let my father go!\This is a surprise. If it isn't Kakarrot's kid.\I get it. So you've come here just to see your father meet his end, have you?\You've got good timing. He was just about to die.\I was right about to finish him off. response:	Kienzan!!
context: Where is it?\Over here!\L- let my father go!\This is a surprise. If it isn't Kakarrot's kid.\I get it. So you've come here just to see your father meet his end, have you?\You've got good timing. He was just about to die.\I was right about to finish him off.\Kienzan!! response:	Damn it all...
context: Over here!\L- let my father go!\This is a surprise. If it isn't Kakarrot's kid.\I get it. So you've come here just to see your father meet his end, have you?\You've got good timing. He was just about to die.\I was right about to finish him off.\Kienzan!!\Damn it all... response:	Watch very closely. I'm going to crush him until there's nothing left.
context: L- let my father go!\This is a surprise. If it isn't Kakarrot's kid.\I get it. So you've come here just to see your father meet his end, have you?\You've got good timing. He was just about to die.\I was right about to finish him off.\Kienzan!!\Damn it all...\Watch very closely. I'm going to crush him until there's nothing left. response:	Kuririn-san, hurry!
context: This is a surprise. If it isn't Kakarrot's kid.\I get it. So you've come here just to see your father meet his end, have you?\You've got good timing. He was just about to die.\I was right about to finish him off.\Kienzan!!\Damn it all...\Watch very closely. I'm going to crush him until there's nothing left.\Kuririn-san, hurry! response:	Unfortunately, it appears he has already lost consciousness.
context: I get it. So you've come here just to see your father meet his end, have you?\You've got good timing. He was just about to die.\I was right about to finish him off.\Kienzan!!\Damn it all...\Watch very closely. I'm going to crush him until there's nothing left.\Kuririn-san, hurry!\Unfortunately, it appears he has already lost consciousness. response:	I- i- it can't be!
context: You've got good timing. He was just about to die.\I was right about to finish him off.\Kienzan!!\Damn it all...\Watch very closely. I'm going to crush him until there's nothing left.\Kuririn-san, hurry!\Unfortunately, it appears he has already lost consciousness.\I- i- it can't be! response:	Did you think I wouldn't notice that there was another one of you?
context: I was right about to finish him off.\Kienzan!!\Damn it all...\Watch very closely. I'm going to crush him until there's nothing left.\Kuririn-san, hurry!\Unfortunately, it appears he has already lost consciousness.\I- i- it can't be!\Did you think I wouldn't notice that there was another one of you? response:	You guys seem to share some worthless attachment for each other, after all.
context: Kienzan!!\Damn it all...\Watch very closely. I'm going to crush him until there's nothing left.\Kuririn-san, hurry!\Unfortunately, it appears he has already lost consciousness.\I- i- it can't be!\Did you think I wouldn't notice that there was another one of you?\You guys seem to share some worthless attachment for each other, after all. response:	There's no way this kid would just come strolling back by himself,
context: Damn it all...\Watch very closely. I'm going to crush him until there's nothing left.\Kuririn-san, hurry!\Unfortunately, it appears he has already lost consciousness.\I- i- it can't be!\Did you think I wouldn't notice that there was another one of you?\You guys seem to share some worthless attachment for each other, after all.\There's no way this kid would just come strolling back by himself, response:	so I was just waiting to see what would happen.
context: Watch very closely. I'm going to crush him until there's nothing left.\Kuririn-san, hurry!\Unfortunately, it appears he has already lost consciousness.\I- i- it can't be!\Did you think I wouldn't notice that there was another one of you?\You guys seem to share some worthless attachment for each other, after all.\There's no way this kid would just come strolling back by himself,\so I was just waiting to see what would happen. response:	Apparently, you know about our tails. Too bad for you.
context: Kuririn-san, hurry!\Unfortunately, it appears he has already lost consciousness.\I- i- it can't be!\Did you think I wouldn't notice that there was another one of you?\You guys seem to share some worthless attachment for each other, after all.\There's no way this kid would just come strolling back by himself,\so I was just waiting to see what would happen.\Apparently, you know about our tails. Too bad for you. response:	Just you wait. Once I've taken care of Kakarrot, it will be your turn next.
context: Unfortunately, it appears he has already lost consciousness.\I- i- it can't be!\Did you think I wouldn't notice that there was another one of you?\You guys seem to share some worthless attachment for each other, after all.\There's no way this kid would just come strolling back by himself,\so I was just waiting to see what would happen.\Apparently, you know about our tails. Too bad for you.\Just you wait. Once I've taken care of Kakarrot, it will be your turn next. response:	D - damn! What kind of beast is this?
context: I- i- it can't be!\Did you think I wouldn't notice that there was another one of you?\You guys seem to share some worthless attachment for each other, after all.\There's no way this kid would just come strolling back by himself,\so I was just waiting to see what would happen.\Apparently, you know about our tails. Too bad for you.\Just you wait. Once I've taken care of Kakarrot, it will be your turn next.\D - damn! What kind of beast is this? response:	Even after turning into a monster,
context: Did you think I wouldn't notice that there was another one of you?\You guys seem to share some worthless attachment for each other, after all.\There's no way this kid would just come strolling back by himself,\so I was just waiting to see what would happen.\Apparently, you know about our tails. Too bad for you.\Just you wait. Once I've taken care of Kakarrot, it will be your turn next.\D - damn! What kind of beast is this?\Even after turning into a monster, response:	he still has his presence of mind and his guard is flawless.
context: You guys seem to share some worthless attachment for each other, after all.\There's no way this kid would just come strolling back by himself,\so I was just waiting to see what would happen.\Apparently, you know about our tails. Too bad for you.\Just you wait. Once I've taken care of Kakarrot, it will be your turn next.\D - damn! What kind of beast is this?\Even after turning into a monster,\he still has his presence of mind and his guard is flawless. response:	l'm sorry, Goku. I don't want to just let you die,
context: There's no way this kid would just come strolling back by himself,\so I was just waiting to see what would happen.\Apparently, you know about our tails. Too bad for you.\Just you wait. Once I've taken care of Kakarrot, it will be your turn next.\D - damn! What kind of beast is this?\Even after turning into a monster,\he still has his presence of mind and his guard is flawless.\l'm sorry, Goku. I don't want to just let you die, response:	but this guy's Ki is so incredible, l can't even get close to him.
context: so I was just waiting to see what would happen.\Apparently, you know about our tails. Too bad for you.\Just you wait. Once I've taken care of Kakarrot, it will be your turn next.\D - damn! What kind of beast is this?\Even after turning into a monster,\he still has his presence of mind and his guard is flawless.\l'm sorry, Goku. I don't want to just let you die,\but this guy's Ki is so incredible, l can't even get close to him. response:	You guys were mistaken to have challenged me to battle!
context: Apparently, you know about our tails. Too bad for you.\Just you wait. Once I've taken care of Kakarrot, it will be your turn next.\D - damn! What kind of beast is this?\Even after turning into a monster,\he still has his presence of mind and his guard is flawless.\l'm sorry, Goku. I don't want to just let you die,\but this guy's Ki is so incredible, l can't even get close to him.\You guys were mistaken to have challenged me to battle! response:	Dammit! If we don't do something...
context: Just you wait. Once I've taken care of Kakarrot, it will be your turn next.\D - damn! What kind of beast is this?\Even after turning into a monster,\he still has his presence of mind and his guard is flawless.\l'm sorry, Goku. I don't want to just let you die,\but this guy's Ki is so incredible, l can't even get close to him.\You guys were mistaken to have challenged me to battle!\Dammit! If we don't do something... response:	Stop...
context: D - damn! What kind of beast is this?\Even after turning into a monster,\he still has his presence of mind and his guard is flawless.\l'm sorry, Goku. I don't want to just let you die,\but this guy's Ki is so incredible, l can't even get close to him.\You guys were mistaken to have challenged me to battle!\Dammit! If we don't do something...\Stop... response:	Stop! Stop! Stop! Stop!
context: Even after turning into a monster,\he still has his presence of mind and his guard is flawless.\l'm sorry, Goku. I don't want to just let you die,\but this guy's Ki is so incredible, l can't even get close to him.\You guys were mistaken to have challenged me to battle!\Dammit! If we don't do something...\Stop...\Stop! Stop! Stop! Stop! response:	So, you want to die ahead of your father, do you?
context: he still has his presence of mind and his guard is flawless.\l'm sorry, Goku. I don't want to just let you die,\but this guy's Ki is so incredible, l can't even get close to him.\You guys were mistaken to have challenged me to battle!\Dammit! If we don't do something...\Stop...\Stop! Stop! Stop! Stop!\So, you want to die ahead of your father, do you? response:	T- this is bad!
context: l'm sorry, Goku. I don't want to just let you die,\but this guy's Ki is so incredible, l can't even get close to him.\You guys were mistaken to have challenged me to battle!\Dammit! If we don't do something...\Stop...\Stop! Stop! Stop! Stop!\So, you want to die ahead of your father, do you?\T- this is bad! response:	What's the matter? Too scared to move?
context: but this guy's Ki is so incredible, l can't even get close to him.\You guys were mistaken to have challenged me to battle!\Dammit! If we don't do something...\Stop...\Stop! Stop! Stop! Stop!\So, you want to die ahead of your father, do you?\T- this is bad!\What's the matter? Too scared to move? response:	Dammit! I didn't know there was yet another one!
context: You guys were mistaken to have challenged me to battle!\Dammit! If we don't do something...\Stop...\Stop! Stop! Stop! Stop!\So, you want to die ahead of your father, do you?\T- this is bad!\What's the matter? Too scared to move?\Dammit! I didn't know there was yet another one! response:	My tail!
context: Dammit! If we don't do something...\Stop...\Stop! Stop! Stop! Stop!\So, you want to die ahead of your father, do you?\T- this is bad!\What's the matter? Too scared to move?\Dammit! I didn't know there was yet another one!\My tail! response:	H- he did it!
context: Stop...\Stop! Stop! Stop! Stop!\So, you want to die ahead of your father, do you?\T- this is bad!\What's the matter? Too scared to move?\Dammit! I didn't know there was yet another one!\My tail!\H- he did it! response:	I got nothin' to do with this...
context: Stop! Stop! Stop! Stop!\So, you want to die ahead of your father, do you?\T- this is bad!\What's the matter? Too scared to move?\Dammit! I didn't know there was yet another one!\My tail!\H- he did it!\I got nothin' to do with this... response:	I- I got nothin' to do with this from here on...
context: So, you want to die ahead of your father, do you?\T- this is bad!\What's the matter? Too scared to move?\Dammit! I didn't know there was yet another one!\My tail!\H- he did it!\I got nothin' to do with this...\I- I got nothin' to do with this from here on... response:	I- it's gone! His tail is gone!
context: T- this is bad!\What's the matter? Too scared to move?\Dammit! I didn't know there was yet another one!\My tail!\H- he did it!\I got nothin' to do with this...\I- I got nothin' to do with this from here on...\I- it's gone! His tail is gone! response:	You did it, Yajirobe! He returned to his original form!
context: What's the matter? Too scared to move?\Dammit! I didn't know there was yet another one!\My tail!\H- he did it!\I got nothin' to do with this...\I- I got nothin' to do with this from here on...\I- it's gone! His tail is gone!\You did it, Yajirobe! He returned to his original form! response:	lt's not my problem... Whatever happens now, it's not my problem...
context: Dammit! I didn't know there was yet another one!\My tail!\H- he did it!\I got nothin' to do with this...\I- I got nothin' to do with this from here on...\I- it's gone! His tail is gone!\You did it, Yajirobe! He returned to his original form!\lt's not my problem... Whatever happens now, it's not my problem... response:	W- why, you!
context: My tail!\H- he did it!\I got nothin' to do with this...\I- I got nothin' to do with this from here on...\I- it's gone! His tail is gone!\You did it, Yajirobe! He returned to his original form!\lt's not my problem... Whatever happens now, it's not my problem...\W- why, you! response:	You want to die so badly that you've made me angry!?
context: H- he did it!\I got nothin' to do with this...\I- I got nothin' to do with this from here on...\I- it's gone! His tail is gone!\You did it, Yajirobe! He returned to his original form!\lt's not my problem... Whatever happens now, it's not my problem...\W- why, you!\You want to die so badly that you've made me angry!? response:	W- what's going on? Why did that monster-?
context: I got nothin' to do with this...\I- I got nothin' to do with this from here on...\I- it's gone! His tail is gone!\You did it, Yajirobe! He returned to his original form!\lt's not my problem... Whatever happens now, it's not my problem...\W- why, you!\You want to die so badly that you've made me angry!?\W- what's going on? Why did that monster-? response:	In that case, as you wish, I will kill you, you miserable scum!
context: I- I got nothin' to do with this from here on...\I- it's gone! His tail is gone!\You did it, Yajirobe! He returned to his original form!\lt's not my problem... Whatever happens now, it's not my problem...\W- why, you!\You want to die so badly that you've made me angry!?\W- what's going on? Why did that monster-?\In that case, as you wish, I will kill you, you miserable scum! response:	There, ya see?
context: I- it's gone! His tail is gone!\You did it, Yajirobe! He returned to his original form!\lt's not my problem... Whatever happens now, it's not my problem...\W- why, you!\You want to die so badly that you've made me angry!?\W- what's going on? Why did that monster-?\In that case, as you wish, I will kill you, you miserable scum!\There, ya see? response:	Gohan! Get out of there!
context: You did it, Yajirobe! He returned to his original form!\lt's not my problem... Whatever happens now, it's not my problem...\W- why, you!\You want to die so badly that you've made me angry!?\W- what's going on? Why did that monster-?\In that case, as you wish, I will kill you, you miserable scum!\There, ya see?\Gohan! Get out of there! response:	I'll start with you.
context: lt's not my problem... Whatever happens now, it's not my problem...\W- why, you!\You want to die so badly that you've made me angry!?\W- what's going on? Why did that monster-?\In that case, as you wish, I will kill you, you miserable scum!\There, ya see?\Gohan! Get out of there!\I'll start with you. response:	What's the matter? Wasn't a Super Saiyan supposed to be strong?
context: W- why, you!\You want to die so badly that you've made me angry!?\W- what's going on? Why did that monster-?\In that case, as you wish, I will kill you, you miserable scum!\There, ya see?\Gohan! Get out of there!\I'll start with you.\What's the matter? Wasn't a Super Saiyan supposed to be strong? response:	Show me your true power.
context: You want to die so badly that you've made me angry!?\W- what's going on? Why did that monster-?\In that case, as you wish, I will kill you, you miserable scum!\There, ya see?\Gohan! Get out of there!\I'll start with you.\What's the matter? Wasn't a Super Saiyan supposed to be strong?\Show me your true power. response:	Maybe the order has been changed.
context: W- what's going on? Why did that monster-?\In that case, as you wish, I will kill you, you miserable scum!\There, ya see?\Gohan! Get out of there!\I'll start with you.\What's the matter? Wasn't a Super Saiyan supposed to be strong?\Show me your true power.\Maybe the order has been changed. response:	There, you see? Don't say I didn't warn ya.
context: In that case, as you wish, I will kill you, you miserable scum!\There, ya see?\Gohan! Get out of there!\I'll start with you.\What's the matter? Wasn't a Super Saiyan supposed to be strong?\Show me your true power.\Maybe the order has been changed.\There, you see? Don't say I didn't warn ya. response:	Come on, get up! Amuse me a little while longer.
context: There, ya see?\Gohan! Get out of there!\I'll start with you.\What's the matter? Wasn't a Super Saiyan supposed to be strong?\Show me your true power.\Maybe the order has been changed.\There, you see? Don't say I didn't warn ya.\Come on, get up! Amuse me a little while longer. response:	Hey, what's wrong? Is that the best you can do?
context: Gohan! Get out of there!\I'll start with you.\What's the matter? Wasn't a Super Saiyan supposed to be strong?\Show me your true power.\Maybe the order has been changed.\There, you see? Don't say I didn't warn ya.\Come on, get up! Amuse me a little while longer.\Hey, what's wrong? Is that the best you can do? response:	I guess the son of scum...
context: I'll start with you.\What's the matter? Wasn't a Super Saiyan supposed to be strong?\Show me your true power.\Maybe the order has been changed.\There, you see? Don't say I didn't warn ya.\Come on, get up! Amuse me a little while longer.\Hey, what's wrong? Is that the best you can do?\I guess the son of scum... response:	You may be scum, but it looks like your blood is red, at least.
context: What's the matter? Wasn't a Super Saiyan supposed to be strong?\Show me your true power.\Maybe the order has been changed.\There, you see? Don't say I didn't warn ya.\Come on, get up! Amuse me a little while longer.\Hey, what's wrong? Is that the best you can do?\I guess the son of scum...\You may be scum, but it looks like your blood is red, at least. response:	How awful!
context: Show me your true power.\Maybe the order has been changed.\There, you see? Don't say I didn't warn ya.\Come on, get up! Amuse me a little while longer.\Hey, what's wrong? Is that the best you can do?\I guess the son of scum...\You may be scum, but it looks like your blood is red, at least.\How awful! response:	How can he be so cruel to a child!?
context: Maybe the order has been changed.\There, you see? Don't say I didn't warn ya.\Come on, get up! Amuse me a little while longer.\Hey, what's wrong? Is that the best you can do?\I guess the son of scum...\You may be scum, but it looks like your blood is red, at least.\How awful!\How can he be so cruel to a child!? response:	She's strangely tranquil, huh?
context: There, you see? Don't say I didn't warn ya.\Come on, get up! Amuse me a little while longer.\Hey, what's wrong? Is that the best you can do?\I guess the son of scum...\You may be scum, but it looks like your blood is red, at least.\How awful!\How can he be so cruel to a child!?\She's strangely tranquil, huh? response:	I'm sure she must have run out of tears.
context: Come on, get up! Amuse me a little while longer.\Hey, what's wrong? Is that the best you can do?\I guess the son of scum...\You may be scum, but it looks like your blood is red, at least.\How awful!\How can he be so cruel to a child!?\She's strangely tranquil, huh?\I'm sure she must have run out of tears. response:	She hasn't fainted, has she? Hey!
context: Hey, what's wrong? Is that the best you can do?\I guess the son of scum...\You may be scum, but it looks like your blood is red, at least.\How awful!\How can he be so cruel to a child!?\She's strangely tranquil, huh?\I'm sure she must have run out of tears.\She hasn't fainted, has she? Hey! response:	Hey!
context: I guess the son of scum...\You may be scum, but it looks like your blood is red, at least.\How awful!\How can he be so cruel to a child!?\She's strangely tranquil, huh?\I'm sure she must have run out of tears.\She hasn't fainted, has she? Hey!\Hey! response:	Ee-yow!
context: You may be scum, but it looks like your blood is red, at least.\How awful!\How can he be so cruel to a child!?\She's strangely tranquil, huh?\I'm sure she must have run out of tears.\She hasn't fainted, has she? Hey!\Hey!\Ee-yow! response:	-Yow! Yow! Yow! -Fight...
context: How awful!\How can he be so cruel to a child!?\She's strangely tranquil, huh?\I'm sure she must have run out of tears.\She hasn't fainted, has she? Hey!\Hey!\Ee-yow!\-Yow! Yow! Yow! -Fight... response:	Fight.
context: How can he be so cruel to a child!?\She's strangely tranquil, huh?\I'm sure she must have run out of tears.\She hasn't fainted, has she? Hey!\Hey!\Ee-yow!\-Yow! Yow! Yow! -Fight...\Fight. response:	Fight! Fight, Gohan! Fight!
context: She's strangely tranquil, huh?\I'm sure she must have run out of tears.\She hasn't fainted, has she? Hey!\Hey!\Ee-yow!\-Yow! Yow! Yow! -Fight...\Fight.\Fight! Fight, Gohan! Fight! response:	Avenge your daddy's death! Get up, Gohan! Fight, Gohan! Fight!
