context: The evil souls that try to sabotage a girl's dream to become thin. response:	That's unforgivable!
context: Yeah...\I understand. I'm having a hard time too! Yeah...\I understand. I'm having a hard time too!\We know.\Hey, Usagi. Why don't you try swimming? You'll get pretty thin.\No, she can't swim that well.\Oh...\I've tried fasting and just eating pineapple. response:	But the effect doesn't last that long.
context: I understand. I'm having a hard time too! Yeah...\I understand. I'm having a hard time too!\We know.\Hey, Usagi. Why don't you try swimming? You'll get pretty thin.\No, she can't swim that well.\Oh...\I've tried fasting and just eating pineapple.\But the effect doesn't last that long. response:	I've tried several things, you know.
context: I understand. I'm having a hard time too!\We know.\Hey, Usagi. Why don't you try swimming? You'll get pretty thin.\No, she can't swim that well.\Oh...\I've tried fasting and just eating pineapple.\But the effect doesn't last that long.\I've tried several things, you know. response:	We know.
context: We know.\Hey, Usagi. Why don't you try swimming? You'll get pretty thin.\No, she can't swim that well.\Oh...\I've tried fasting and just eating pineapple.\But the effect doesn't last that long.\I've tried several things, you know.\We know. response:	Losing weight by falling in love would be the ideal diet.
context: Hey, Usagi. Why don't you try swimming? You'll get pretty thin.\No, she can't swim that well.\Oh...\I've tried fasting and just eating pineapple.\But the effect doesn't last that long.\I've tried several things, you know.\We know.\Losing weight by falling in love would be the ideal diet. response:	Have you ever been in love?
context: No, she can't swim that well.\Oh...\I've tried fasting and just eating pineapple.\But the effect doesn't last that long.\I've tried several things, you know.\We know.\Losing weight by falling in love would be the ideal diet.\Have you ever been in love? response:	No.
context: Oh...\I've tried fasting and just eating pineapple.\But the effect doesn't last that long.\I've tried several things, you know.\We know.\Losing weight by falling in love would be the ideal diet.\Have you ever been in love?\No. response:	We know.
context: I've tried fasting and just eating pineapple.\But the effect doesn't last that long.\I've tried several things, you know.\We know.\Losing weight by falling in love would be the ideal diet.\Have you ever been in love?\No.\We know. response:	Right?
context: But the effect doesn't last that long.\I've tried several things, you know.\We know.\Losing weight by falling in love would be the ideal diet.\Have you ever been in love?\No.\We know.\Right? response:	Hey, what do you mean?
context: I've tried several things, you know.\We know.\Losing weight by falling in love would be the ideal diet.\Have you ever been in love?\No.\We know.\Right?\Hey, what do you mean? response:	It's okay. We can't help the way we were born.
context: We know.\Losing weight by falling in love would be the ideal diet.\Have you ever been in love?\No.\We know.\Right?\Hey, what do you mean?\It's okay. We can't help the way we were born. response:	You're the last person I wanted to hear that from.
context: Losing weight by falling in love would be the ideal diet.\Have you ever been in love?\No.\We know.\Right?\Hey, what do you mean?\It's okay. We can't help the way we were born.\You're the last person I wanted to hear that from. response:	What?!
context: Have you ever been in love?\No.\We know.\Right?\Hey, what do you mean?\It's okay. We can't help the way we were born.\You're the last person I wanted to hear that from.\What?! response:	You want to fight?!
context: No.\We know.\Right?\Hey, what do you mean?\It's okay. We can't help the way we were born.\You're the last person I wanted to hear that from.\What?!\You want to fight?! response:	Speaking of diets, Ms. Haruna got really thin all of a sudden.
context: We know.\Right?\Hey, what do you mean?\It's okay. We can't help the way we were born.\You're the last person I wanted to hear that from.\What?!\You want to fight?!\Speaking of diets, Ms. Haruna got really thin all of a sudden. response:	Really! How?
context: Right?\Hey, what do you mean?\It's okay. We can't help the way we were born.\You're the last person I wanted to hear that from.\What?!\You want to fight?!\Speaking of diets, Ms. Haruna got really thin all of a sudden.\Really! How? response:	I don't know.
context: Hey, what do you mean?\It's okay. We can't help the way we were born.\You're the last person I wanted to hear that from.\What?!\You want to fight?!\Speaking of diets, Ms. Haruna got really thin all of a sudden.\Really! How?\I don't know. response:	Hello everyone.
context: It's okay. We can't help the way we were born.\You're the last person I wanted to hear that from.\What?!\You want to fight?!\Speaking of diets, Ms. Haruna got really thin all of a sudden.\Really! How?\I don't know.\Hello everyone. response:	She doesn't look that much thinner.
context: You're the last person I wanted to hear that from.\What?!\You want to fight?!\Speaking of diets, Ms. Haruna got really thin all of a sudden.\Really! How?\I don't know.\Hello everyone.\She doesn't look that much thinner. response:	You can't tell because she's wearing clothes.
context: What?!\You want to fight?!\Speaking of diets, Ms. Haruna got really thin all of a sudden.\Really! How?\I don't know.\Hello everyone.\She doesn't look that much thinner.\You can't tell because she's wearing clothes. response:	Look at these.
context: You want to fight?!\Speaking of diets, Ms. Haruna got really thin all of a sudden.\Really! How?\I don't know.\Hello everyone.\She doesn't look that much thinner.\You can't tell because she's wearing clothes.\Look at these. response:	This is the before...
context: Speaking of diets, Ms. Haruna got really thin all of a sudden.\Really! How?\I don't know.\Hello everyone.\She doesn't look that much thinner.\You can't tell because she's wearing clothes.\Look at these.\This is the before... response:	and this is the after. See?
context: Really! How?\I don't know.\Hello everyone.\She doesn't look that much thinner.\You can't tell because she's wearing clothes.\Look at these.\This is the before...\and this is the after. See? response:	Wow.
context: I don't know.\Hello everyone.\She doesn't look that much thinner.\You can't tell because she's wearing clothes.\Look at these.\This is the before...\and this is the after. See?\Wow. response:	And in just two days.
context: Hello everyone.\She doesn't look that much thinner.\You can't tell because she's wearing clothes.\Look at these.\This is the before...\and this is the after. See?\Wow.\And in just two days. response:	Umino, how did you get these pictures?
context: She doesn't look that much thinner.\You can't tell because she's wearing clothes.\Look at these.\This is the before...\and this is the after. See?\Wow.\And in just two days.\Umino, how did you get these pictures? response:	Oh, that's top secret.
context: You can't tell because she's wearing clothes.\Look at these.\This is the before...\and this is the after. See?\Wow.\And in just two days.\Umino, how did you get these pictures?\Oh, that's top secret. response:	You didn't...
context: Look at these.\This is the before...\and this is the after. See?\Wow.\And in just two days.\Umino, how did you get these pictures?\Oh, that's top secret.\You didn't... response:	Didn't what?
context: This is the before...\and this is the after. See?\Wow.\And in just two days.\Umino, how did you get these pictures?\Oh, that's top secret.\You didn't...\Didn't what? response:	How did you take these pictures?
context: and this is the after. See?\Wow.\And in just two days.\Umino, how did you get these pictures?\Oh, that's top secret.\You didn't...\Didn't what?\How did you take these pictures? response:	Say it!
context: Wow.\And in just two days.\Umino, how did you get these pictures?\Oh, that's top secret.\You didn't...\Didn't what?\How did you take these pictures?\Say it! response:	Tell us! Say it!
context: And in just two days.\Umino, how did you get these pictures?\Oh, that's top secret.\You didn't...\Didn't what?\How did you take these pictures?\Say it!\Tell us! Say it! response:	Tell us!
context: Umino, how did you get these pictures?\Oh, that's top secret.\You didn't...\Didn't what?\How did you take these pictures?\Say it!\Tell us! Say it!\Tell us! response:	Wait!
context: Oh, that's top secret.\You didn't...\Didn't what?\How did you take these pictures?\Say it!\Tell us! Say it!\Tell us!\Wait! response:	Hey, Umino!
context: You didn't...\Didn't what?\How did you take these pictures?\Say it!\Tell us! Say it!\Tell us!\Wait!\Hey, Umino! response:	I shouldn't have said anything.
context: Didn't what?\How did you take these pictures?\Say it!\Tell us! Say it!\Tell us!\Wait!\Hey, Umino!\I shouldn't have said anything. response:	Tell me.
context: How did you take these pictures?\Say it!\Tell us! Say it!\Tell us!\Wait!\Hey, Umino!\I shouldn't have said anything.\Tell me. response:	I'll tell you. I'll tell you.
context: Say it!\Tell us! Say it!\Tell us!\Wait!\Hey, Umino!\I shouldn't have said anything.\Tell me.\I'll tell you. I'll tell you. response:	I followed Haruna and secretly took those pictures with my camera.
context: Tell us! Say it!\Tell us!\Wait!\Hey, Umino!\I shouldn't have said anything.\Tell me.\I'll tell you. I'll tell you.\I followed Haruna and secretly took those pictures with my camera. response:	No, not about that. Where is this gym located?
context: Tell us!\Wait!\Hey, Umino!\I shouldn't have said anything.\Tell me.\I'll tell you. I'll tell you.\I followed Haruna and secretly took those pictures with my camera.\No, not about that. Where is this gym located? response:	Huh?
context: Wait!\Hey, Umino!\I shouldn't have said anything.\Tell me.\I'll tell you. I'll tell you.\I followed Haruna and secretly took those pictures with my camera.\No, not about that. Where is this gym located?\Huh? response:	This is it. This is the gym that Haruna goes to.
context: Hey, Umino!\I shouldn't have said anything.\Tell me.\I'll tell you. I'll tell you.\I followed Haruna and secretly took those pictures with my camera.\No, not about that. Where is this gym located?\Huh?\This is it. This is the gym that Haruna goes to. response:	But isn't it expensive to join a gym?
context: I shouldn't have said anything.\Tell me.\I'll tell you. I'll tell you.\I followed Haruna and secretly took those pictures with my camera.\No, not about that. Where is this gym located?\Huh?\This is it. This is the gym that Haruna goes to.\But isn't it expensive to join a gym? response:	Oh look, it's Rie Gotou, the actress.
context: Tell me.\I'll tell you. I'll tell you.\I followed Haruna and secretly took those pictures with my camera.\No, not about that. Where is this gym located?\Huh?\This is it. This is the gym that Haruna goes to.\But isn't it expensive to join a gym?\Oh look, it's Rie Gotou, the actress. response:	Oh look, it's Rie Gotou, the actress.
context: I'll tell you. I'll tell you.\I followed Haruna and secretly took those pictures with my camera.\No, not about that. Where is this gym located?\Huh?\This is it. This is the gym that Haruna goes to.\But isn't it expensive to join a gym?\Oh look, it's Rie Gotou, the actress.\Oh look, it's Rie Gotou, the actress. response:	She's so cute.
context: I followed Haruna and secretly took those pictures with my camera.\No, not about that. Where is this gym located?\Huh?\This is it. This is the gym that Haruna goes to.\But isn't it expensive to join a gym?\Oh look, it's Rie Gotou, the actress.\Oh look, it's Rie Gotou, the actress.\She's so cute. response:	One kilogram a day, five kilograms in two days.
context: No, not about that. Where is this gym located?\Huh?\This is it. This is the gym that Haruna goes to.\But isn't it expensive to join a gym?\Oh look, it's Rie Gotou, the actress.\Oh look, it's Rie Gotou, the actress.\She's so cute.\One kilogram a day, five kilograms in two days. response:	If you go for three days, you too will be beautiful.
context: Huh?\This is it. This is the gym that Haruna goes to.\But isn't it expensive to join a gym?\Oh look, it's Rie Gotou, the actress.\Oh look, it's Rie Gotou, the actress.\She's so cute.\One kilogram a day, five kilograms in two days.\If you go for three days, you too will be beautiful. response:	Come on everyone, time to shape up.
context: This is it. This is the gym that Haruna goes to.\But isn't it expensive to join a gym?\Oh look, it's Rie Gotou, the actress.\Oh look, it's Rie Gotou, the actress.\She's so cute.\One kilogram a day, five kilograms in two days.\If you go for three days, you too will be beautiful.\Come on everyone, time to shape up. response:	Right now at Gym Shapely, we're having free introductory memberships.
context: But isn't it expensive to join a gym?\Oh look, it's Rie Gotou, the actress.\Oh look, it's Rie Gotou, the actress.\She's so cute.\One kilogram a day, five kilograms in two days.\If you go for three days, you too will be beautiful.\Come on everyone, time to shape up.\Right now at Gym Shapely, we're having free introductory memberships. response:	What, free?
context: Oh look, it's Rie Gotou, the actress.\Oh look, it's Rie Gotou, the actress.\She's so cute.\One kilogram a day, five kilograms in two days.\If you go for three days, you too will be beautiful.\Come on everyone, time to shape up.\Right now at Gym Shapely, we're having free introductory memberships.\What, free? response:	Nothing is cheaper than free.
context: Oh look, it's Rie Gotou, the actress.\She's so cute.\One kilogram a day, five kilograms in two days.\If you go for three days, you too will be beautiful.\Come on everyone, time to shape up.\Right now at Gym Shapely, we're having free introductory memberships.\What, free?\Nothing is cheaper than free. response:	Let's go!
context: She's so cute.\One kilogram a day, five kilograms in two days.\If you go for three days, you too will be beautiful.\Come on everyone, time to shape up.\Right now at Gym Shapely, we're having free introductory memberships.\What, free?\Nothing is cheaper than free.\Let's go! response:	Here comes more stupid prey.
context: One kilogram a day, five kilograms in two days.\If you go for three days, you too will be beautiful.\Come on everyone, time to shape up.\Right now at Gym Shapely, we're having free introductory memberships.\What, free?\Nothing is cheaper than free.\Let's go!\Here comes more stupid prey. response:	Nothing costs more than something that's free.
context: If you go for three days, you too will be beautiful.\Come on everyone, time to shape up.\Right now at Gym Shapely, we're having free introductory memberships.\What, free?\Nothing is cheaper than free.\Let's go!\Here comes more stupid prey.\Nothing costs more than something that's free. response:	It was a good thing we brought our gym clothes.
context: Come on everyone, time to shape up.\Right now at Gym Shapely, we're having free introductory memberships.\What, free?\Nothing is cheaper than free.\Let's go!\Here comes more stupid prey.\Nothing costs more than something that's free.\It was a good thing we brought our gym clothes. response:	Here we go. Let's go get'em!
context: Right now at Gym Shapely, we're having free introductory memberships.\What, free?\Nothing is cheaper than free.\Let's go!\Here comes more stupid prey.\Nothing costs more than something that's free.\It was a good thing we brought our gym clothes.\Here we go. Let's go get'em! response:	Wow, he's gorgeous.
context: What, free?\Nothing is cheaper than free.\Let's go!\Here comes more stupid prey.\Nothing costs more than something that's free.\It was a good thing we brought our gym clothes.\Here we go. Let's go get'em!\Wow, he's gorgeous. response:	He's so cute.
context: Nothing is cheaper than free.\Let's go!\Here comes more stupid prey.\Nothing costs more than something that's free.\It was a good thing we brought our gym clothes.\Here we go. Let's go get'em!\Wow, he's gorgeous.\He's so cute. response:	I'm the instructor here.
context: Let's go!\Here comes more stupid prey.\Nothing costs more than something that's free.\It was a good thing we brought our gym clothes.\Here we go. Let's go get'em!\Wow, he's gorgeous.\He's so cute.\I'm the instructor here. response:	Um, we're new here.
context: Here comes more stupid prey.\Nothing costs more than something that's free.\It was a good thing we brought our gym clothes.\Here we go. Let's go get'em!\Wow, he's gorgeous.\He's so cute.\I'm the instructor here.\Um, we're new here. response:	Please come this way.
context: Nothing costs more than something that's free.\It was a good thing we brought our gym clothes.\Here we go. Let's go get'em!\Wow, he's gorgeous.\He's so cute.\I'm the instructor here.\Um, we're new here.\Please come this way. response:	Okay, one more time.
context: It was a good thing we brought our gym clothes.\Here we go. Let's go get'em!\Wow, he's gorgeous.\He's so cute.\I'm the instructor here.\Um, we're new here.\Please come this way.\Okay, one more time. response:	Okay, now 10 faster.
context: Here we go. Let's go get'em!\Wow, he's gorgeous.\He's so cute.\I'm the instructor here.\Um, we're new here.\Please come this way.\Okay, one more time.\Okay, now 10 faster. response:	Wha...?!
context: Wow, he's gorgeous.\He's so cute.\I'm the instructor here.\Um, we're new here.\Please come this way.\Okay, one more time.\Okay, now 10 faster.\Wha...?! response:	One sweat for two kilograms. Two sweats for five kilograms.
context: He's so cute.\I'm the instructor here.\Um, we're new here.\Please come this way.\Okay, one more time.\Okay, now 10 faster.\Wha...?!\One sweat for two kilograms. Two sweats for five kilograms. response:	Three sweats and you too will be beautiful. Now try harder.
context: I'm the instructor here.\Um, we're new here.\Please come this way.\Okay, one more time.\Okay, now 10 faster.\Wha...?!\One sweat for two kilograms. Two sweats for five kilograms.\Three sweats and you too will be beautiful. Now try harder. response:	Hey! Where's Usagi?
context: Um, we're new here.\Please come this way.\Okay, one more time.\Okay, now 10 faster.\Wha...?!\One sweat for two kilograms. Two sweats for five kilograms.\Three sweats and you too will be beautiful. Now try harder.\Hey! Where's Usagi? response:	Huh? She was doing the rowing machine until just a minute ago.
context: Please come this way.\Okay, one more time.\Okay, now 10 faster.\Wha...?!\One sweat for two kilograms. Two sweats for five kilograms.\Three sweats and you too will be beautiful. Now try harder.\Hey! Where's Usagi?\Huh? She was doing the rowing machine until just a minute ago. response:	You over there. If you stop, you won't get beautiful.
context: Okay, one more time.\Okay, now 10 faster.\Wha...?!\One sweat for two kilograms. Two sweats for five kilograms.\Three sweats and you too will be beautiful. Now try harder.\Hey! Where's Usagi?\Huh? She was doing the rowing machine until just a minute ago.\You over there. If you stop, you won't get beautiful. response:	That's too bad, you're off to a good start.
