context: In Elder Tale, a quest is a type of mission. response:	There are many types,
context: In the race to buy them, the large guilds have an advantage...\The Roderic Merchant Guild and the Marine Agency have absorbed many smaller guilds.\We may be the third biggest crafting guild, but it doesn't mean we can take it easy.\We must take full advantage of this chance.\Chance?\Villain in Glasses\Villain in Glasses.\L-Let me go... response:	I don't have time to waste here.
context: The Roderic Merchant Guild and the Marine Agency have absorbed many smaller guilds.\We may be the third biggest crafting guild, but it doesn't mean we can take it easy.\We must take full advantage of this chance.\Chance?\Villain in Glasses\Villain in Glasses.\L-Let me go...\I don't have time to waste here. response:	You look so relaxed, Henrietta.
context: We may be the third biggest crafting guild, but it doesn't mean we can take it easy.\We must take full advantage of this chance.\Chance?\Villain in Glasses\Villain in Glasses.\L-Let me go...\I don't have time to waste here.\You look so relaxed, Henrietta. response:	My heart is pounding...
context: We must take full advantage of this chance.\Chance?\Villain in Glasses\Villain in Glasses.\L-Let me go...\I don't have time to waste here.\You look so relaxed, Henrietta.\My heart is pounding... response:	I'm not relaxed...
context: Chance?\Villain in Glasses\Villain in Glasses.\L-Let me go...\I don't have time to waste here.\You look so relaxed, Henrietta.\My heart is pounding...\I'm not relaxed... response:	That's why I'm trying to calm my mind.
context: Villain in Glasses\Villain in Glasses.\L-Let me go...\I don't have time to waste here.\You look so relaxed, Henrietta.\My heart is pounding...\I'm not relaxed...\That's why I'm trying to calm my mind. response:	Assassins are not tools to help you relax.
context: Villain in Glasses.\L-Let me go...\I don't have time to waste here.\You look so relaxed, Henrietta.\My heart is pounding...\I'm not relaxed...\That's why I'm trying to calm my mind.\Assassins are not tools to help you relax. response:	I'm going into battle.
context: L-Let me go...\I don't have time to waste here.\You look so relaxed, Henrietta.\My heart is pounding...\I'm not relaxed...\That's why I'm trying to calm my mind.\Assassins are not tools to help you relax.\I'm going into battle. response:	Dragon's Nest
context: I don't have time to waste here.\You look so relaxed, Henrietta.\My heart is pounding...\I'm not relaxed...\That's why I'm trying to calm my mind.\Assassins are not tools to help you relax.\I'm going into battle.\Dragon's Nest response:	I must stay strong!
context: You look so relaxed, Henrietta.\My heart is pounding...\I'm not relaxed...\That's why I'm trying to calm my mind.\Assassins are not tools to help you relax.\I'm going into battle.\Dragon's Nest\I must stay strong! response:	Hey, sorry for keeping you.
context: My heart is pounding...\I'm not relaxed...\That's why I'm trying to calm my mind.\Assassins are not tools to help you relax.\I'm going into battle.\Dragon's Nest\I must stay strong!\Hey, sorry for keeping you. response:	You look pretty scary, Marie...
context: I'm not relaxed...\That's why I'm trying to calm my mind.\Assassins are not tools to help you relax.\I'm going into battle.\Dragon's Nest\I must stay strong!\Hey, sorry for keeping you.\You look pretty scary, Marie... response:	Karashin Race/ Human Summoner, Lv. 90 Shopping Street 8
context: That's why I'm trying to calm my mind.\Assassins are not tools to help you relax.\I'm going into battle.\Dragon's Nest\I must stay strong!\Hey, sorry for keeping you.\You look pretty scary, Marie...\Karashin Race/ Human Summoner, Lv. 90 Shopping Street 8 response:	No...
context: Assassins are not tools to help you relax.\I'm going into battle.\Dragon's Nest\I must stay strong!\Hey, sorry for keeping you.\You look pretty scary, Marie...\Karashin Race/ Human Summoner, Lv. 90 Shopping Street 8\No... response:	It really has been a while, Karashin.
context: I'm going into battle.\Dragon's Nest\I must stay strong!\Hey, sorry for keeping you.\You look pretty scary, Marie...\Karashin Race/ Human Summoner, Lv. 90 Shopping Street 8\No...\It really has been a while, Karashin. response:	I'm told you two have known one another for a long time.
context: Dragon's Nest\I must stay strong!\Hey, sorry for keeping you.\You look pretty scary, Marie...\Karashin Race/ Human Summoner, Lv. 90 Shopping Street 8\No...\It really has been a while, Karashin.\I'm told you two have known one another for a long time. response:	When we were just starting out, we went hunting together.
context: I must stay strong!\Hey, sorry for keeping you.\You look pretty scary, Marie...\Karashin Race/ Human Summoner, Lv. 90 Shopping Street 8\No...\It really has been a while, Karashin.\I'm told you two have known one another for a long time.\When we were just starting out, we went hunting together. response:	But once we founded our own guilds, we both became so busy...
context: Hey, sorry for keeping you.\You look pretty scary, Marie...\Karashin Race/ Human Summoner, Lv. 90 Shopping Street 8\No...\It really has been a while, Karashin.\I'm told you two have known one another for a long time.\When we were just starting out, we went hunting together.\But once we founded our own guilds, we both became so busy... response:	We both started guilds. But isn't yours huge, with seven hundred members?
context: You look pretty scary, Marie...\Karashin Race/ Human Summoner, Lv. 90 Shopping Street 8\No...\It really has been a while, Karashin.\I'm told you two have known one another for a long time.\When we were just starting out, we went hunting together.\But once we founded our own guilds, we both became so busy...\We both started guilds. But isn't yours huge, with seven hundred members? response:	Far bigger than mine.
context: Karashin Race/ Human Summoner, Lv. 90 Shopping Street 8\No...\It really has been a while, Karashin.\I'm told you two have known one another for a long time.\When we were just starting out, we went hunting together.\But once we founded our own guilds, we both became so busy...\We both started guilds. But isn't yours huge, with seven hundred members?\Far bigger than mine. response:	Well, there are still larger guilds,
context: No...\It really has been a while, Karashin.\I'm told you two have known one another for a long time.\When we were just starting out, we went hunting together.\But once we founded our own guilds, we both became so busy...\We both started guilds. But isn't yours huge, with seven hundred members?\Far bigger than mine.\Well, there are still larger guilds, response:	like the Marine Agency or the Roderic Merchant Guild.
context: It really has been a while, Karashin.\I'm told you two have known one another for a long time.\When we were just starting out, we went hunting together.\But once we founded our own guilds, we both became so busy...\We both started guilds. But isn't yours huge, with seven hundred members?\Far bigger than mine.\Well, there are still larger guilds,\like the Marine Agency or the Roderic Merchant Guild. response:	Well? What brings you here today? You had something to ask?
context: I'm told you two have known one another for a long time.\When we were just starting out, we went hunting together.\But once we founded our own guilds, we both became so busy...\We both started guilds. But isn't yours huge, with seven hundred members?\Far bigger than mine.\Well, there are still larger guilds,\like the Marine Agency or the Roderic Merchant Guild.\Well? What brings you here today? You had something to ask? response:	That's a businessman's face...
context: When we were just starting out, we went hunting together.\But once we founded our own guilds, we both became so busy...\We both started guilds. But isn't yours huge, with seven hundred members?\Far bigger than mine.\Well, there are still larger guilds,\like the Marine Agency or the Roderic Merchant Guild.\Well? What brings you here today? You had something to ask?\That's a businessman's face... response:	I'd like your help with ingredient stocks.
context: But once we founded our own guilds, we both became so busy...\We both started guilds. But isn't yours huge, with seven hundred members?\Far bigger than mine.\Well, there are still larger guilds,\like the Marine Agency or the Roderic Merchant Guild.\Well? What brings you here today? You had something to ask?\That's a businessman's face...\I'd like your help with ingredient stocks. response:	Ingredients for our guild to use.
context: We both started guilds. But isn't yours huge, with seven hundred members?\Far bigger than mine.\Well, there are still larger guilds,\like the Marine Agency or the Roderic Merchant Guild.\Well? What brings you here today? You had something to ask?\That's a businessman's face...\I'd like your help with ingredient stocks.\Ingredients for our guild to use. response:	We're trying to outsource our resource collection.
context: Far bigger than mine.\Well, there are still larger guilds,\like the Marine Agency or the Roderic Merchant Guild.\Well? What brings you here today? You had something to ask?\That's a businessman's face...\I'd like your help with ingredient stocks.\Ingredients for our guild to use.\We're trying to outsource our resource collection. response:	Specifically, we need young deer meat, lettuce, tomatoes...
context: Well, there are still larger guilds,\like the Marine Agency or the Roderic Merchant Guild.\Well? What brings you here today? You had something to ask?\That's a businessman's face...\I'd like your help with ingredient stocks.\Ingredients for our guild to use.\We're trying to outsource our resource collection.\Specifically, we need young deer meat, lettuce, tomatoes... response:	Flour, potatoes, haruharu fish, and grouse meat.
context: like the Marine Agency or the Roderic Merchant Guild.\Well? What brings you here today? You had something to ask?\That's a businessman's face...\I'd like your help with ingredient stocks.\Ingredients for our guild to use.\We're trying to outsource our resource collection.\Specifically, we need young deer meat, lettuce, tomatoes...\Flour, potatoes, haruharu fish, and grouse meat. response:	Just as I thought, she's here for ingredients for Crescent Moon.
context: Well? What brings you here today? You had something to ask?\That's a businessman's face...\I'd like your help with ingredient stocks.\Ingredients for our guild to use.\We're trying to outsource our resource collection.\Specifically, we need young deer meat, lettuce, tomatoes...\Flour, potatoes, haruharu fish, and grouse meat.\Just as I thought, she's here for ingredients for Crescent Moon. response:	Once you eat their food, you can't go back to the old stuff.
context: That's a businessman's face...\I'd like your help with ingredient stocks.\Ingredients for our guild to use.\We're trying to outsource our resource collection.\Specifically, we need young deer meat, lettuce, tomatoes...\Flour, potatoes, haruharu fish, and grouse meat.\Just as I thought, she's here for ingredients for Crescent Moon.\Once you eat their food, you can't go back to the old stuff. response:	If I could get all that business for myself...
context: I'd like your help with ingredient stocks.\Ingredients for our guild to use.\We're trying to outsource our resource collection.\Specifically, we need young deer meat, lettuce, tomatoes...\Flour, potatoes, haruharu fish, and grouse meat.\Just as I thought, she's here for ingredients for Crescent Moon.\Once you eat their food, you can't go back to the old stuff.\If I could get all that business for myself... response:	Ingredients?
context: Ingredients for our guild to use.\We're trying to outsource our resource collection.\Specifically, we need young deer meat, lettuce, tomatoes...\Flour, potatoes, haruharu fish, and grouse meat.\Just as I thought, she's here for ingredients for Crescent Moon.\Once you eat their food, you can't go back to the old stuff.\If I could get all that business for myself...\Ingredients? response:	How much and at what price?
context: We're trying to outsource our resource collection.\Specifically, we need young deer meat, lettuce, tomatoes...\Flour, potatoes, haruharu fish, and grouse meat.\Just as I thought, she's here for ingredients for Crescent Moon.\Once you eat their food, you can't go back to the old stuff.\If I could get all that business for myself...\Ingredients?\How much and at what price? response:	I see...
context: Specifically, we need young deer meat, lettuce, tomatoes...\Flour, potatoes, haruharu fish, and grouse meat.\Just as I thought, she's here for ingredients for Crescent Moon.\Once you eat their food, you can't go back to the old stuff.\If I could get all that business for myself...\Ingredients?\How much and at what price?\I see... response:	At that price, it's not a bad deal.
context: Flour, potatoes, haruharu fish, and grouse meat.\Just as I thought, she's here for ingredients for Crescent Moon.\Once you eat their food, you can't go back to the old stuff.\If I could get all that business for myself...\Ingredients?\How much and at what price?\I see...\At that price, it's not a bad deal. response:	But...
context: Just as I thought, she's here for ingredients for Crescent Moon.\Once you eat their food, you can't go back to the old stuff.\If I could get all that business for myself...\Ingredients?\How much and at what price?\I see...\At that price, it's not a bad deal.\But... response:	It's a very good deal for them.
context: Once you eat their food, you can't go back to the old stuff.\If I could get all that business for myself...\Ingredients?\How much and at what price?\I see...\At that price, it's not a bad deal.\But...\It's a very good deal for them. response:	But that doesn't mean he can simply agree to whatever is proposed.
context: If I could get all that business for myself...\Ingredients?\How much and at what price?\I see...\At that price, it's not a bad deal.\But...\It's a very good deal for them.\But that doesn't mean he can simply agree to whatever is proposed. response:	Indeed.
context: Ingredients?\How much and at what price?\I see...\At that price, it's not a bad deal.\But...\It's a very good deal for them.\But that doesn't mean he can simply agree to whatever is proposed.\Indeed. response:	They'll try to improve the terms.
context: How much and at what price?\I see...\At that price, it's not a bad deal.\But...\It's a very good deal for them.\But that doesn't mean he can simply agree to whatever is proposed.\Indeed.\They'll try to improve the terms. response:	Anyway, these are for
context: I see...\At that price, it's not a bad deal.\But...\It's a very good deal for them.\But that doesn't mean he can simply agree to whatever is proposed.\Indeed.\They'll try to improve the terms.\Anyway, these are for response:	Crescent Moon, correct?
context: At that price, it's not a bad deal.\But...\It's a very good deal for them.\But that doesn't mean he can simply agree to whatever is proposed.\Indeed.\They'll try to improve the terms.\Anyway, these are for\Crescent Moon, correct? response:	That's right.
context: But...\It's a very good deal for them.\But that doesn't mean he can simply agree to whatever is proposed.\Indeed.\They'll try to improve the terms.\Anyway, these are for\Crescent Moon, correct?\That's right. response:	I'm told your business is going well.
context: It's a very good deal for them.\But that doesn't mean he can simply agree to whatever is proposed.\Indeed.\They'll try to improve the terms.\Anyway, these are for\Crescent Moon, correct?\That's right.\I'm told your business is going well. response:	Thank you.
context: But that doesn't mean he can simply agree to whatever is proposed.\Indeed.\They'll try to improve the terms.\Anyway, these are for\Crescent Moon, correct?\That's right.\I'm told your business is going well.\Thank you. response:	Our chefs are pleased everyone enjoys the food so much!
context: Indeed.\They'll try to improve the terms.\Anyway, these are for\Crescent Moon, correct?\That's right.\I'm told your business is going well.\Thank you.\Our chefs are pleased everyone enjoys the food so much! response:	So are you using a new recipe?
context: They'll try to improve the terms.\Anyway, these are for\Crescent Moon, correct?\That's right.\I'm told your business is going well.\Thank you.\Our chefs are pleased everyone enjoys the food so much!\So are you using a new recipe? response:	Our chefs are simply that good.
context: Anyway, these are for\Crescent Moon, correct?\That's right.\I'm told your business is going well.\Thank you.\Our chefs are pleased everyone enjoys the food so much!\So are you using a new recipe?\Our chefs are simply that good. response:	This is right, isn't it, Shiro?
context: Crescent Moon, correct?\That's right.\I'm told your business is going well.\Thank you.\Our chefs are pleased everyone enjoys the food so much!\So are you using a new recipe?\Our chefs are simply that good.\This is right, isn't it, Shiro? response:	I don't think
context: That's right.\I'm told your business is going well.\Thank you.\Our chefs are pleased everyone enjoys the food so much!\So are you using a new recipe?\Our chefs are simply that good.\This is right, isn't it, Shiro?\I don't think response:	I can keep this up...
context: I'm told your business is going well.\Thank you.\Our chefs are pleased everyone enjoys the food so much!\So are you using a new recipe?\Our chefs are simply that good.\This is right, isn't it, Shiro?\I don't think\I can keep this up... response:	Listen.
context: Thank you.\Our chefs are pleased everyone enjoys the food so much!\So are you using a new recipe?\Our chefs are simply that good.\This is right, isn't it, Shiro?\I don't think\I can keep this up...\Listen. response:	No matter what happens, just keep smiling.
context: Our chefs are pleased everyone enjoys the food so much!\So are you using a new recipe?\Our chefs are simply that good.\This is right, isn't it, Shiro?\I don't think\I can keep this up...\Listen.\No matter what happens, just keep smiling. response:	Smiling?
context: So are you using a new recipe?\Our chefs are simply that good.\This is right, isn't it, Shiro?\I don't think\I can keep this up...\Listen.\No matter what happens, just keep smiling.\Smiling? response:	Yes, that's the most important thing.
context: Our chefs are simply that good.\This is right, isn't it, Shiro?\I don't think\I can keep this up...\Listen.\No matter what happens, just keep smiling.\Smiling?\Yes, that's the most important thing. response:	As long as you keep smiling, your partner will handle the rest.
context: This is right, isn't it, Shiro?\I don't think\I can keep this up...\Listen.\No matter what happens, just keep smiling.\Smiling?\Yes, that's the most important thing.\As long as you keep smiling, your partner will handle the rest. response:	She's going to need some help soon.
context: I don't think\I can keep this up...\Listen.\No matter what happens, just keep smiling.\Smiling?\Yes, that's the most important thing.\As long as you keep smiling, your partner will handle the rest.\She's going to need some help soon. response:	I can give this serious consideration...
context: I can keep this up...\Listen.\No matter what happens, just keep smiling.\Smiling?\Yes, that's the most important thing.\As long as you keep smiling, your partner will handle the rest.\She's going to need some help soon.\I can give this serious consideration... response:	But have you thought of a partnership with Shopping Street 8,
context: Listen.\No matter what happens, just keep smiling.\Smiling?\Yes, that's the most important thing.\As long as you keep smiling, your partner will handle the rest.\She's going to need some help soon.\I can give this serious consideration...\But have you thought of a partnership with Shopping Street 8, response:	in order to grow your business
context: No matter what happens, just keep smiling.\Smiling?\Yes, that's the most important thing.\As long as you keep smiling, your partner will handle the rest.\She's going to need some help soon.\I can give this serious consideration...\But have you thought of a partnership with Shopping Street 8,\in order to grow your business response:	Excuse me, Karashin...
context: Smiling?\Yes, that's the most important thing.\As long as you keep smiling, your partner will handle the rest.\She's going to need some help soon.\I can give this serious consideration...\But have you thought of a partnership with Shopping Street 8,\in order to grow your business\Excuse me, Karashin... response:	But it's time.
context: Yes, that's the most important thing.\As long as you keep smiling, your partner will handle the rest.\She's going to need some help soon.\I can give this serious consideration...\But have you thought of a partnership with Shopping Street 8,\in order to grow your business\Excuse me, Karashin...\But it's time. response:	Time?
context: As long as you keep smiling, your partner will handle the rest.\She's going to need some help soon.\I can give this serious consideration...\But have you thought of a partnership with Shopping Street 8,\in order to grow your business\Excuse me, Karashin...\But it's time.\Time? response:	Yes, our other guests have arrived.
context: She's going to need some help soon.\I can give this serious consideration...\But have you thought of a partnership with Shopping Street 8,\in order to grow your business\Excuse me, Karashin...\But it's time.\Time?\Yes, our other guests have arrived. response:	I'm sorry...
context: I can give this serious consideration...\But have you thought of a partnership with Shopping Street 8,\in order to grow your business\Excuse me, Karashin...\But it's time.\Time?\Yes, our other guests have arrived.\I'm sorry... response:	Since I knew you already, I slipped you in a bit early.
context: But have you thought of a partnership with Shopping Street 8,\in order to grow your business\Excuse me, Karashin...\But it's time.\Time?\Yes, our other guests have arrived.\I'm sorry...\Since I knew you already, I slipped you in a bit early. response:	But Henrietta says we should really handle this fairly.
context: in order to grow your business\Excuse me, Karashin...\But it's time.\Time?\Yes, our other guests have arrived.\I'm sorry...\Since I knew you already, I slipped you in a bit early.\But Henrietta says we should really handle this fairly. response:	So... What does all this mean?
context: Excuse me, Karashin...\But it's time.\Time?\Yes, our other guests have arrived.\I'm sorry...\Since I knew you already, I slipped you in a bit early.\But Henrietta says we should really handle this fairly.\So... What does all this mean? response:	The Marine Agency,
context: But it's time.\Time?\Yes, our other guests have arrived.\I'm sorry...\Since I knew you already, I slipped you in a bit early.\But Henrietta says we should really handle this fairly.\So... What does all this mean?\The Marine Agency, response:	as well as the Roderic Merchant Guild, will be coming, too.
context: Time?\Yes, our other guests have arrived.\I'm sorry...\Since I knew you already, I slipped you in a bit early.\But Henrietta says we should really handle this fairly.\So... What does all this mean?\The Marine Agency,\as well as the Roderic Merchant Guild, will be coming, too. response:	But on to other matters...
context: Yes, our other guests have arrived.\I'm sorry...\Since I knew you already, I slipped you in a bit early.\But Henrietta says we should really handle this fairly.\So... What does all this mean?\The Marine Agency,\as well as the Roderic Merchant Guild, will be coming, too.\But on to other matters... response:	Wha
context: I'm sorry...\Since I knew you already, I slipped you in a bit early.\But Henrietta says we should really handle this fairly.\So... What does all this mean?\The Marine Agency,\as well as the Roderic Merchant Guild, will be coming, too.\But on to other matters...\Wha response:	What do you mean by other matters?
context: Since I knew you already, I slipped you in a bit early.\But Henrietta says we should really handle this fairly.\So... What does all this mean?\The Marine Agency,\as well as the Roderic Merchant Guild, will be coming, too.\But on to other matters...\Wha\What do you mean by other matters? response:	Well, investment...
context: But Henrietta says we should really handle this fairly.\So... What does all this mean?\The Marine Agency,\as well as the Roderic Merchant Guild, will be coming, too.\But on to other matters...\Wha\What do you mean by other matters?\Well, investment... response:	Specifically, selling Crescent Moon.
context: So... What does all this mean?\The Marine Agency,\as well as the Roderic Merchant Guild, will be coming, too.\But on to other matters...\Wha\What do you mean by other matters?\Well, investment...\Specifically, selling Crescent Moon. response:	Hey, why don't we ask Karashin to stay?
context: The Marine Agency,\as well as the Roderic Merchant Guild, will be coming, too.\But on to other matters...\Wha\What do you mean by other matters?\Well, investment...\Specifically, selling Crescent Moon.\Hey, why don't we ask Karashin to stay? response:	Until we have a stable source of ingredients,
context: as well as the Roderic Merchant Guild, will be coming, too.\But on to other matters...\Wha\What do you mean by other matters?\Well, investment...\Specifically, selling Crescent Moon.\Hey, why don't we ask Karashin to stay?\Until we have a stable source of ingredients, response:	we can't move to the next step.
context: But on to other matters...\Wha\What do you mean by other matters?\Well, investment...\Specifically, selling Crescent Moon.\Hey, why don't we ask Karashin to stay?\Until we have a stable source of ingredients,\we can't move to the next step. response:	H-Hold on a second...
context: Wha\What do you mean by other matters?\Well, investment...\Specifically, selling Crescent Moon.\Hey, why don't we ask Karashin to stay?\Until we have a stable source of ingredients,\we can't move to the next step.\H-Hold on a second... response:	What is the Crescent Moon Alliance thinking?
context: What do you mean by other matters?\Well, investment...\Specifically, selling Crescent Moon.\Hey, why don't we ask Karashin to stay?\Until we have a stable source of ingredients,\we can't move to the next step.\H-Hold on a second...\What is the Crescent Moon Alliance thinking? response:	What do you mean by investment?
context: Well, investment...\Specifically, selling Crescent Moon.\Hey, why don't we ask Karashin to stay?\Until we have a stable source of ingredients,\we can't move to the next step.\H-Hold on a second...\What is the Crescent Moon Alliance thinking?\What do you mean by investment? response:	Well
context: Specifically, selling Crescent Moon.\Hey, why don't we ask Karashin to stay?\Until we have a stable source of ingredients,\we can't move to the next step.\H-Hold on a second...\What is the Crescent Moon Alliance thinking?\What do you mean by investment?\Well response:	How much is Shopping Street 8 willing to pay
context: Hey, why don't we ask Karashin to stay?\Until we have a stable source of ingredients,\we can't move to the next step.\H-Hold on a second...\What is the Crescent Moon Alliance thinking?\What do you mean by investment?\Well\How much is Shopping Street 8 willing to pay response:	for that information?
context: Until we have a stable source of ingredients,\we can't move to the next step.\H-Hold on a second...\What is the Crescent Moon Alliance thinking?\What do you mean by investment?\Well\How much is Shopping Street 8 willing to pay\for that information? response:	We'll agree to the matter we were discussing just now.
context: we can't move to the next step.\H-Hold on a second...\What is the Crescent Moon Alliance thinking?\What do you mean by investment?\Well\How much is Shopping Street 8 willing to pay\for that information?\We'll agree to the matter we were discussing just now. response:	We'll get what you want, in any bulk you want, for this price.
context: H-Hold on a second...\What is the Crescent Moon Alliance thinking?\What do you mean by investment?\Well\How much is Shopping Street 8 willing to pay\for that information?\We'll agree to the matter we were discussing just now.\We'll get what you want, in any bulk you want, for this price. response:	Thirty thousand.
context: What is the Crescent Moon Alliance thinking?\What do you mean by investment?\Well\How much is Shopping Street 8 willing to pay\for that information?\We'll agree to the matter we were discussing just now.\We'll get what you want, in any bulk you want, for this price.\Thirty thousand. response:	Thirty
context: What do you mean by investment?\Well\How much is Shopping Street 8 willing to pay\for that information?\We'll agree to the matter we were discussing just now.\We'll get what you want, in any bulk you want, for this price.\Thirty thousand.\Thirty response:	Fine... Agreed!
context: Well\How much is Shopping Street 8 willing to pay\for that information?\We'll agree to the matter we were discussing just now.\We'll get what you want, in any bulk you want, for this price.\Thirty thousand.\Thirty\Fine... Agreed! response:	On behalf of Shopping Street 8, I accept the contract...
context: How much is Shopping Street 8 willing to pay\for that information?\We'll agree to the matter we were discussing just now.\We'll get what you want, in any bulk you want, for this price.\Thirty thousand.\Thirty\Fine... Agreed!\On behalf of Shopping Street 8, I accept the contract... response:	That's great!
context: for that information?\We'll agree to the matter we were discussing just now.\We'll get what you want, in any bulk you want, for this price.\Thirty thousand.\Thirty\Fine... Agreed!\On behalf of Shopping Street 8, I accept the contract...\That's great! response:	Now we can let him stay for the next part, right?
context: We'll agree to the matter we were discussing just now.\We'll get what you want, in any bulk you want, for this price.\Thirty thousand.\Thirty\Fine... Agreed!\On behalf of Shopping Street 8, I accept the contract...\That's great!\Now we can let him stay for the next part, right? response:	Of course... I don't mind at all.
