context: Tomoe, what do you say to coming home next week? response:	What? What on earth are you talking about?
context: that they have to hire students, correct?\Just how much information\did you get from our neighbors?!\Anyway, the meeting's next week.\I don't want to die before I see my grandchild's face.\Whatever!\Take care!\Wait, Mom?! response:	Hello!
context: Just how much information\did you get from our neighbors?!\Anyway, the meeting's next week.\I don't want to die before I see my grandchild's face.\Whatever!\Take care!\Wait, Mom?!\Hello! response:	Jesus...
context: did you get from our neighbors?!\Anyway, the meeting's next week.\I don't want to die before I see my grandchild's face.\Whatever!\Take care!\Wait, Mom?!\Hello!\Jesus... response:	Pestering me about marriage...
context: Anyway, the meeting's next week.\I don't want to die before I see my grandchild's face.\Whatever!\Take care!\Wait, Mom?!\Hello!\Jesus...\Pestering me about marriage... response:	I mean, I do want to show them
context: I don't want to die before I see my grandchild's face.\Whatever!\Take care!\Wait, Mom?!\Hello!\Jesus...\Pestering me about marriage...\I mean, I do want to show them response:	a grandchild while they're still healthy, but...
context: Whatever!\Take care!\Wait, Mom?!\Hello!\Jesus...\Pestering me about marriage...\I mean, I do want to show them\a grandchild while they're still healthy, but... response:	I wonder if there's any point in continuing this job...
context: Take care!\Wait, Mom?!\Hello!\Jesus...\Pestering me about marriage...\I mean, I do want to show them\a grandchild while they're still healthy, but...\I wonder if there's any point in continuing this job... response:	Episode 7 All Quiet on the Kissui Front
context: Wait, Mom?!\Hello!\Jesus...\Pestering me about marriage...\I mean, I do want to show them\a grandchild while they're still healthy, but...\I wonder if there's any point in continuing this job...\Episode 7 All Quiet on the Kissui Front response:	Oh, good morning, Tomoe.
context: Hello!\Jesus...\Pestering me about marriage...\I mean, I do want to show them\a grandchild while they're still healthy, but...\I wonder if there's any point in continuing this job...\Episode 7 All Quiet on the Kissui Front\Oh, good morning, Tomoe. response:	Morning. Are you off to school now?
context: Jesus...\Pestering me about marriage...\I mean, I do want to show them\a grandchild while they're still healthy, but...\I wonder if there's any point in continuing this job...\Episode 7 All Quiet on the Kissui Front\Oh, good morning, Tomoe.\Morning. Are you off to school now? response:	Yes, we finished our job pretty fast,
context: Pestering me about marriage...\I mean, I do want to show them\a grandchild while they're still healthy, but...\I wonder if there's any point in continuing this job...\Episode 7 All Quiet on the Kissui Front\Oh, good morning, Tomoe.\Morning. Are you off to school now?\Yes, we finished our job pretty fast, response:	so we wouldn't have to rush to school today.
context: I mean, I do want to show them\a grandchild while they're still healthy, but...\I wonder if there's any point in continuing this job...\Episode 7 All Quiet on the Kissui Front\Oh, good morning, Tomoe.\Morning. Are you off to school now?\Yes, we finished our job pretty fast,\so we wouldn't have to rush to school today. response:	It must be great to be young...
context: a grandchild while they're still healthy, but...\I wonder if there's any point in continuing this job...\Episode 7 All Quiet on the Kissui Front\Oh, good morning, Tomoe.\Morning. Are you off to school now?\Yes, we finished our job pretty fast,\so we wouldn't have to rush to school today.\It must be great to be young... response:	Nonsense. You're young too, Tomoe!
context: I wonder if there's any point in continuing this job...\Episode 7 All Quiet on the Kissui Front\Oh, good morning, Tomoe.\Morning. Are you off to school now?\Yes, we finished our job pretty fast,\so we wouldn't have to rush to school today.\It must be great to be young...\Nonsense. You're young too, Tomoe! response:	I think you're the only person
context: Episode 7 All Quiet on the Kissui Front\Oh, good morning, Tomoe.\Morning. Are you off to school now?\Yes, we finished our job pretty fast,\so we wouldn't have to rush to school today.\It must be great to be young...\Nonsense. You're young too, Tomoe!\I think you're the only person response:	who can say something like that without sounding sarcastic.
context: Oh, good morning, Tomoe.\Morning. Are you off to school now?\Yes, we finished our job pretty fast,\so we wouldn't have to rush to school today.\It must be great to be young...\Nonsense. You're young too, Tomoe!\I think you're the only person\who can say something like that without sounding sarcastic. response:	Did something happen?
context: Morning. Are you off to school now?\Yes, we finished our job pretty fast,\so we wouldn't have to rush to school today.\It must be great to be young...\Nonsense. You're young too, Tomoe!\I think you're the only person\who can say something like that without sounding sarcastic.\Did something happen? response:	Nope, nothing. Run along now.
context: Yes, we finished our job pretty fast,\so we wouldn't have to rush to school today.\It must be great to be young...\Nonsense. You're young too, Tomoe!\I think you're the only person\who can say something like that without sounding sarcastic.\Did something happen?\Nope, nothing. Run along now. response:	Bye!
context: so we wouldn't have to rush to school today.\It must be great to be young...\Nonsense. You're young too, Tomoe!\I think you're the only person\who can say something like that without sounding sarcastic.\Did something happen?\Nope, nothing. Run along now.\Bye! response:	Seriously, it must be great to be young.
context: It must be great to be young...\Nonsense. You're young too, Tomoe!\I think you're the only person\who can say something like that without sounding sarcastic.\Did something happen?\Nope, nothing. Run along now.\Bye!\Seriously, it must be great to be young. response:	They have a bright future ahead of them,
context: Nonsense. You're young too, Tomoe!\I think you're the only person\who can say something like that without sounding sarcastic.\Did something happen?\Nope, nothing. Run along now.\Bye!\Seriously, it must be great to be young.\They have a bright future ahead of them, response:	Morning, Minchi.
context: I think you're the only person\who can say something like that without sounding sarcastic.\Did something happen?\Nope, nothing. Run along now.\Bye!\Seriously, it must be great to be young.\They have a bright future ahead of them,\Morning, Minchi. response:	and they're filled with hopes and dreams.
context: who can say something like that without sounding sarcastic.\Did something happen?\Nope, nothing. Run along now.\Bye!\Seriously, it must be great to be young.\They have a bright future ahead of them,\Morning, Minchi.\and they're filled with hopes and dreams. response:	Morning. Let's go.
context: Did something happen?\Nope, nothing. Run along now.\Bye!\Seriously, it must be great to be young.\They have a bright future ahead of them,\Morning, Minchi.\and they're filled with hopes and dreams.\Morning. Let's go. response:	They can wear mini-skirts.
context: Nope, nothing. Run along now.\Bye!\Seriously, it must be great to be young.\They have a bright future ahead of them,\Morning, Minchi.\and they're filled with hopes and dreams.\Morning. Let's go.\They can wear mini-skirts. response:	They can fall in love, go out, have fun,
context: Bye!\Seriously, it must be great to be young.\They have a bright future ahead of them,\Morning, Minchi.\and they're filled with hopes and dreams.\Morning. Let's go.\They can wear mini-skirts.\They can fall in love, go out, have fun, response:	and still find time for more recreation.
context: Seriously, it must be great to be young.\They have a bright future ahead of them,\Morning, Minchi.\and they're filled with hopes and dreams.\Morning. Let's go.\They can wear mini-skirts.\They can fall in love, go out, have fun,\and still find time for more recreation. response:	Compared to them,
context: They have a bright future ahead of them,\Morning, Minchi.\and they're filled with hopes and dreams.\Morning. Let's go.\They can wear mini-skirts.\They can fall in love, go out, have fun,\and still find time for more recreation.\Compared to them, response:	my life is just an endless cycle of doing the same thing...
context: Morning, Minchi.\and they're filled with hopes and dreams.\Morning. Let's go.\They can wear mini-skirts.\They can fall in love, go out, have fun,\and still find time for more recreation.\Compared to them,\my life is just an endless cycle of doing the same thing... response:	I don't feel alive anymore!
context: and they're filled with hopes and dreams.\Morning. Let's go.\They can wear mini-skirts.\They can fall in love, go out, have fun,\and still find time for more recreation.\Compared to them,\my life is just an endless cycle of doing the same thing...\I don't feel alive anymore! response:	Could you stop acting like an idiot
context: Morning. Let's go.\They can wear mini-skirts.\They can fall in love, go out, have fun,\and still find time for more recreation.\Compared to them,\my life is just an endless cycle of doing the same thing...\I don't feel alive anymore!\Could you stop acting like an idiot response:	and get ready to greet the customers.
context: They can wear mini-skirts.\They can fall in love, go out, have fun,\and still find time for more recreation.\Compared to them,\my life is just an endless cycle of doing the same thing...\I don't feel alive anymore!\Could you stop acting like an idiot\and get ready to greet the customers. response:	Yes, Ma'am.
context: They can fall in love, go out, have fun,\and still find time for more recreation.\Compared to them,\my life is just an endless cycle of doing the same thing...\I don't feel alive anymore!\Could you stop acting like an idiot\and get ready to greet the customers.\Yes, Ma'am. response:	Oh, and about those customers...
context: and still find time for more recreation.\Compared to them,\my life is just an endless cycle of doing the same thing...\I don't feel alive anymore!\Could you stop acting like an idiot\and get ready to greet the customers.\Yes, Ma'am.\Oh, and about those customers... response:	Yes?
context: Compared to them,\my life is just an endless cycle of doing the same thing...\I don't feel alive anymore!\Could you stop acting like an idiot\and get ready to greet the customers.\Yes, Ma'am.\Oh, and about those customers...\Yes? response:	It's them again.
context: my life is just an endless cycle of doing the same thing...\I don't feel alive anymore!\Could you stop acting like an idiot\and get ready to greet the customers.\Yes, Ma'am.\Oh, and about those customers...\Yes?\It's them again. response:	Again?
context: I don't feel alive anymore!\Could you stop acting like an idiot\and get ready to greet the customers.\Yes, Ma'am.\Oh, and about those customers...\Yes?\It's them again.\Again? response:	Don't tell me...
context: Could you stop acting like an idiot\and get ready to greet the customers.\Yes, Ma'am.\Oh, and about those customers...\Yes?\It's them again.\Again?\Don't tell me... response:	Things will get hectic around here.
context: and get ready to greet the customers.\Yes, Ma'am.\Oh, and about those customers...\Yes?\It's them again.\Again?\Don't tell me...\Things will get hectic around here. response:	Hey, why don't we go out the day after tomorrow?
context: Yes, Ma'am.\Oh, and about those customers...\Yes?\It's them again.\Again?\Don't tell me...\Things will get hectic around here.\Hey, why don't we go out the day after tomorrow? response:	We can't.
context: Oh, and about those customers...\Yes?\It's them again.\Again?\Don't tell me...\Things will get hectic around here.\Hey, why don't we go out the day after tomorrow?\We can't. response:	Didn't you see the reservation for that group of customers?
context: Yes?\It's them again.\Again?\Don't tell me...\Things will get hectic around here.\Hey, why don't we go out the day after tomorrow?\We can't.\Didn't you see the reservation for that group of customers? response:	Darn, you're right!
context: It's them again.\Again?\Don't tell me...\Things will get hectic around here.\Hey, why don't we go out the day after tomorrow?\We can't.\Didn't you see the reservation for that group of customers?\Darn, you're right! response:	Guess we won't be relaxing this week either...
context: Again?\Don't tell me...\Things will get hectic around here.\Hey, why don't we go out the day after tomorrow?\We can't.\Didn't you see the reservation for that group of customers?\Darn, you're right!\Guess we won't be relaxing this week either... response:	But it's probably better than
context: Don't tell me...\Things will get hectic around here.\Hey, why don't we go out the day after tomorrow?\We can't.\Didn't you see the reservation for that group of customers?\Darn, you're right!\Guess we won't be relaxing this week either...\But it's probably better than response:	having no customers at all.
context: Things will get hectic around here.\Hey, why don't we go out the day after tomorrow?\We can't.\Didn't you see the reservation for that group of customers?\Darn, you're right!\Guess we won't be relaxing this week either...\But it's probably better than\having no customers at all. response:	Target located.
context: Hey, why don't we go out the day after tomorrow?\We can't.\Didn't you see the reservation for that group of customers?\Darn, you're right!\Guess we won't be relaxing this week either...\But it's probably better than\having no customers at all.\Target located. response:	Roger that. Commence pursuit.
context: We can't.\Didn't you see the reservation for that group of customers?\Darn, you're right!\Guess we won't be relaxing this week either...\But it's probably better than\having no customers at all.\Target located.\Roger that. Commence pursuit. response:	Roger.
context: Didn't you see the reservation for that group of customers?\Darn, you're right!\Guess we won't be relaxing this week either...\But it's probably better than\having no customers at all.\Target located.\Roger that. Commence pursuit.\Roger. response:	Roger.
context: Darn, you're right!\Guess we won't be relaxing this week either...\But it's probably better than\having no customers at all.\Target located.\Roger that. Commence pursuit.\Roger.\Roger. response:	What's this? New stalkers?
context: Guess we won't be relaxing this week either...\But it's probably better than\having no customers at all.\Target located.\Roger that. Commence pursuit.\Roger.\Roger.\What's this? New stalkers? response:	Are they Nakochi fans or something?
context: But it's probably better than\having no customers at all.\Target located.\Roger that. Commence pursuit.\Roger.\Roger.\What's this? New stalkers?\Are they Nakochi fans or something? response:	How would I know?!
context: having no customers at all.\Target located.\Roger that. Commence pursuit.\Roger.\Roger.\What's this? New stalkers?\Are they Nakochi fans or something?\How would I know?! response:	Nakochi, wait!
context: Target located.\Roger that. Commence pursuit.\Roger.\Roger.\What's this? New stalkers?\Are they Nakochi fans or something?\How would I know?!\Nakochi, wait! response:	According to the spy squadron,
context: Roger that. Commence pursuit.\Roger.\Roger.\What's this? New stalkers?\Are they Nakochi fans or something?\How would I know?!\Nakochi, wait!\According to the spy squadron, response:	our target works at that inn.
context: Roger.\Roger.\What's this? New stalkers?\Are they Nakochi fans or something?\How would I know?!\Nakochi, wait!\According to the spy squadron,\our target works at that inn. response:	Perfect.
context: Roger.\What's this? New stalkers?\Are they Nakochi fans or something?\How would I know?!\Nakochi, wait!\According to the spy squadron,\our target works at that inn.\Perfect. response:	This is Bravo 1.
context: What's this? New stalkers?\Are they Nakochi fans or something?\How would I know?!\Nakochi, wait!\According to the spy squadron,\our target works at that inn.\Perfect.\This is Bravo 1. response:	Let's begin and enjoy our game.
context: Are they Nakochi fans or something?\How would I know?!\Nakochi, wait!\According to the spy squadron,\our target works at that inn.\Perfect.\This is Bravo 1.\Let's begin and enjoy our game. response:	Bravo 2, roger.
context: How would I know?!\Nakochi, wait!\According to the spy squadron,\our target works at that inn.\Perfect.\This is Bravo 1.\Let's begin and enjoy our game.\Bravo 2, roger. response:	Roger.
context: Nakochi, wait!\According to the spy squadron,\our target works at that inn.\Perfect.\This is Bravo 1.\Let's begin and enjoy our game.\Bravo 2, roger.\Roger. response:	Okay, let's move!
context: According to the spy squadron,\our target works at that inn.\Perfect.\This is Bravo 1.\Let's begin and enjoy our game.\Bravo 2, roger.\Roger.\Okay, let's move! response:	Survival Gamers?
context: our target works at that inn.\Perfect.\This is Bravo 1.\Let's begin and enjoy our game.\Bravo 2, roger.\Roger.\Okay, let's move!\Survival Gamers? response:	What are they?
context: Perfect.\This is Bravo 1.\Let's begin and enjoy our game.\Bravo 2, roger.\Roger.\Okay, let's move!\Survival Gamers?\What are they? response:	People who play survival games.
context: This is Bravo 1.\Let's begin and enjoy our game.\Bravo 2, roger.\Roger.\Okay, let's move!\Survival Gamers?\What are they?\People who play survival games. response:	No, for starters, I was wondering
context: Let's begin and enjoy our game.\Bravo 2, roger.\Roger.\Okay, let's move!\Survival Gamers?\What are they?\People who play survival games.\No, for starters, I was wondering response:	what survival games are...
context: Bravo 2, roger.\Roger.\Okay, let's move!\Survival Gamers?\What are they?\People who play survival games.\No, for starters, I was wondering\what survival games are... response:	What's up?
context: Roger.\Okay, let's move!\Survival Gamers?\What are they?\People who play survival games.\No, for starters, I was wondering\what survival games are...\What's up? response:	Huh?
context: Okay, let's move!\Survival Gamers?\What are they?\People who play survival games.\No, for starters, I was wondering\what survival games are...\What's up?\Huh? response:	Take a wild guess, Nako!
context: Survival Gamers?\What are they?\People who play survival games.\No, for starters, I was wondering\what survival games are...\What's up?\Huh?\Take a wild guess, Nako! response:	Basically, they shoot each other with toy guns.
context: What are they?\People who play survival games.\No, for starters, I was wondering\what survival games are...\What's up?\Huh?\Take a wild guess, Nako!\Basically, they shoot each other with toy guns. response:	Wow, do they come often?
context: People who play survival games.\No, for starters, I was wondering\what survival games are...\What's up?\Huh?\Take a wild guess, Nako!\Basically, they shoot each other with toy guns.\Wow, do they come often? response:	Those types of customers come by every now and then,
context: No, for starters, I was wondering\what survival games are...\What's up?\Huh?\Take a wild guess, Nako!\Basically, they shoot each other with toy guns.\Wow, do they come often?\Those types of customers come by every now and then, response:	but they're generally calm.
context: what survival games are...\What's up?\Huh?\Take a wild guess, Nako!\Basically, they shoot each other with toy guns.\Wow, do they come often?\Those types of customers come by every now and then,\but they're generally calm. response:	But they're...
context: What's up?\Huh?\Take a wild guess, Nako!\Basically, they shoot each other with toy guns.\Wow, do they come often?\Those types of customers come by every now and then,\but they're generally calm.\But they're... response:	They're?
context: Huh?\Take a wild guess, Nako!\Basically, they shoot each other with toy guns.\Wow, do they come often?\Those types of customers come by every now and then,\but they're generally calm.\But they're...\They're? response:	They're different.
context: Take a wild guess, Nako!\Basically, they shoot each other with toy guns.\Wow, do they come often?\Those types of customers come by every now and then,\but they're generally calm.\But they're...\They're?\They're different. response:	They've come by for the past two years already,
context: Basically, they shoot each other with toy guns.\Wow, do they come often?\Those types of customers come by every now and then,\but they're generally calm.\But they're...\They're?\They're different.\They've come by for the past two years already, response:	and they're insane.
context: Wow, do they come often?\Those types of customers come by every now and then,\but they're generally calm.\But they're...\They're?\They're different.\They've come by for the past two years already,\and they're insane. response:	They do things that are on the verge of being illegal.
context: Those types of customers come by every now and then,\but they're generally calm.\But they're...\They're?\They're different.\They've come by for the past two years already,\and they're insane.\They do things that are on the verge of being illegal. response:	I think Nakochi just had a taste of one of their activities.
context: but they're generally calm.\But they're...\They're?\They're different.\They've come by for the past two years already,\and they're insane.\They do things that are on the verge of being illegal.\I think Nakochi just had a taste of one of their activities. response:	Th-That was the first time in my life
context: But they're...\They're?\They're different.\They've come by for the past two years already,\and they're insane.\They do things that are on the verge of being illegal.\I think Nakochi just had a taste of one of their activities.\Th-That was the first time in my life response:	I've ever run so fast.
context: They're?\They're different.\They've come by for the past two years already,\and they're insane.\They do things that are on the verge of being illegal.\I think Nakochi just had a taste of one of their activities.\Th-That was the first time in my life\I've ever run so fast. response:	That's not the first time
context: They're different.\They've come by for the past two years already,\and they're insane.\They do things that are on the verge of being illegal.\I think Nakochi just had a taste of one of their activities.\Th-That was the first time in my life\I've ever run so fast.\That's not the first time response:	they've chased people around to practice what they call pursuing.
context: They've come by for the past two years already,\and they're insane.\They do things that are on the verge of being illegal.\I think Nakochi just had a taste of one of their activities.\Th-That was the first time in my life\I've ever run so fast.\That's not the first time\they've chased people around to practice what they call pursuing. response:	But they'll only chase you.
context: and they're insane.\They do things that are on the verge of being illegal.\I think Nakochi just had a taste of one of their activities.\Th-That was the first time in my life\I've ever run so fast.\That's not the first time\they've chased people around to practice what they call pursuing.\But they'll only chase you. response:	They won't do anything else.
context: They do things that are on the verge of being illegal.\I think Nakochi just had a taste of one of their activities.\Th-That was the first time in my life\I've ever run so fast.\That's not the first time\they've chased people around to practice what they call pursuing.\But they'll only chase you.\They won't do anything else. response:	I-I just don't trust them!
context: I think Nakochi just had a taste of one of their activities.\Th-That was the first time in my life\I've ever run so fast.\That's not the first time\they've chased people around to practice what they call pursuing.\But they'll only chase you.\They won't do anything else.\I-I just don't trust them! response:	We've reached our destination.
context: Th-That was the first time in my life\I've ever run so fast.\That's not the first time\they've chased people around to practice what they call pursuing.\But they'll only chase you.\They won't do anything else.\I-I just don't trust them!\We've reached our destination. response:	We're ready to enter at any time.
context: I've ever run so fast.\That's not the first time\they've chased people around to practice what they call pursuing.\But they'll only chase you.\They won't do anything else.\I-I just don't trust them!\We've reached our destination.\We're ready to enter at any time. response:	Wait until backup arrives.
context: That's not the first time\they've chased people around to practice what they call pursuing.\But they'll only chase you.\They won't do anything else.\I-I just don't trust them!\We've reached our destination.\We're ready to enter at any time.\Wait until backup arrives. response:	But we can't miss this opportunity.
context: they've chased people around to practice what they call pursuing.\But they'll only chase you.\They won't do anything else.\I-I just don't trust them!\We've reached our destination.\We're ready to enter at any time.\Wait until backup arrives.\But we can't miss this opportunity. response:	While she's cleaning the men's bath-
context: But they'll only chase you.\They won't do anything else.\I-I just don't trust them!\We've reached our destination.\We're ready to enter at any time.\Wait until backup arrives.\But we can't miss this opportunity.\While she's cleaning the men's bath- response:	Remain on standby, Bravo 2!
context: They won't do anything else.\I-I just don't trust them!\We've reached our destination.\We're ready to enter at any time.\Wait until backup arrives.\But we can't miss this opportunity.\While she's cleaning the men's bath-\Remain on standby, Bravo 2! response:	Commander...
context: I-I just don't trust them!\We've reached our destination.\We're ready to enter at any time.\Wait until backup arrives.\But we can't miss this opportunity.\While she's cleaning the men's bath-\Remain on standby, Bravo 2!\Commander... response:	This is an order.
context: We've reached our destination.\We're ready to enter at any time.\Wait until backup arrives.\But we can't miss this opportunity.\While she's cleaning the men's bath-\Remain on standby, Bravo 2!\Commander...\This is an order. response:	Commander!
context: We're ready to enter at any time.\Wait until backup arrives.\But we can't miss this opportunity.\While she's cleaning the men's bath-\Remain on standby, Bravo 2!\Commander...\This is an order.\Commander! response:	What are you doing?
context: Wait until backup arrives.\But we can't miss this opportunity.\While she's cleaning the men's bath-\Remain on standby, Bravo 2!\Commander...\This is an order.\Commander!\What are you doing? response:	E-Excuse me? Sirs?!
context: But we can't miss this opportunity.\While she's cleaning the men's bath-\Remain on standby, Bravo 2!\Commander...\This is an order.\Commander!\What are you doing?\E-Excuse me? Sirs?! response:	Is someone there?
context: While she's cleaning the men's bath-\Remain on standby, Bravo 2!\Commander...\This is an order.\Commander!\What are you doing?\E-Excuse me? Sirs?!\Is someone there? response:	A-A peeking squadron?!
context: Remain on standby, Bravo 2!\Commander...\This is an order.\Commander!\What are you doing?\E-Excuse me? Sirs?!\Is someone there?\A-A peeking squadron?! response:	They only went as far as peeping in the dressing room last year,
context: Commander...\This is an order.\Commander!\What are you doing?\E-Excuse me? Sirs?!\Is someone there?\A-A peeking squadron?!\They only went as far as peeping in the dressing room last year, response:	but their actions keep getting worse and worse...
context: This is an order.\Commander!\What are you doing?\E-Excuse me? Sirs?!\Is someone there?\A-A peeking squadron?!\They only went as far as peeping in the dressing room last year,\but their actions keep getting worse and worse... response:	Wait, Ohana,
context: Commander!\What are you doing?\E-Excuse me? Sirs?!\Is someone there?\A-A peeking squadron?!\They only went as far as peeping in the dressing room last year,\but their actions keep getting worse and worse...\Wait, Ohana, response:	were you taking a bath while cleaning?
context: What are you doing?\E-Excuse me? Sirs?!\Is someone there?\A-A peeking squadron?!\They only went as far as peeping in the dressing room last year,\but their actions keep getting worse and worse...\Wait, Ohana,\were you taking a bath while cleaning? response:	I couldn't help it...
context: E-Excuse me? Sirs?!\Is someone there?\A-A peeking squadron?!\They only went as far as peeping in the dressing room last year,\but their actions keep getting worse and worse...\Wait, Ohana,\were you taking a bath while cleaning?\I couldn't help it... response:	Then I guess you deserve to be peeped at...
context: Is someone there?\A-A peeking squadron?!\They only went as far as peeping in the dressing room last year,\but their actions keep getting worse and worse...\Wait, Ohana,\were you taking a bath while cleaning?\I couldn't help it...\Then I guess you deserve to be peeped at... response:	I'm sorry!
context: A-A peeking squadron?!\They only went as far as peeping in the dressing room last year,\but their actions keep getting worse and worse...\Wait, Ohana,\were you taking a bath while cleaning?\I couldn't help it...\Then I guess you deserve to be peeped at...\I'm sorry! response:	Oh dear...
context: They only went as far as peeping in the dressing room last year,\but their actions keep getting worse and worse...\Wait, Ohana,\were you taking a bath while cleaning?\I couldn't help it...\Then I guess you deserve to be peeped at...\I'm sorry!\Oh dear... response:	Hello.
context: but their actions keep getting worse and worse...\Wait, Ohana,\were you taking a bath while cleaning?\I couldn't help it...\Then I guess you deserve to be peeped at...\I'm sorry!\Oh dear...\Hello. response:	Hi.
context: Wait, Ohana,\were you taking a bath while cleaning?\I couldn't help it...\Then I guess you deserve to be peeped at...\I'm sorry!\Oh dear...\Hello.\Hi. response:	One of the rich marriage candidates
context: were you taking a bath while cleaning?\I couldn't help it...\Then I guess you deserve to be peeped at...\I'm sorry!\Oh dear...\Hello.\Hi.\One of the rich marriage candidates response:	turned out to be a fraud too.
context: I couldn't help it...\Then I guess you deserve to be peeped at...\I'm sorry!\Oh dear...\Hello.\Hi.\One of the rich marriage candidates\turned out to be a fraud too. response:	What?
context: Then I guess you deserve to be peeped at...\I'm sorry!\Oh dear...\Hello.\Hi.\One of the rich marriage candidates\turned out to be a fraud too.\What? response:	It's too big a task for those girls.
context: I'm sorry!\Oh dear...\Hello.\Hi.\One of the rich marriage candidates\turned out to be a fraud too.\What?\It's too big a task for those girls. response:	But we can't just turn the customers away.
context: Oh dear...\Hello.\Hi.\One of the rich marriage candidates\turned out to be a fraud too.\What?\It's too big a task for those girls.\But we can't just turn the customers away. response:	Force them to work harder.
context: Hello.\Hi.\One of the rich marriage candidates\turned out to be a fraud too.\What?\It's too big a task for those girls.\But we can't just turn the customers away.\Force them to work harder. response:	Excuse me, Madam Manager?
context: Hi.\One of the rich marriage candidates\turned out to be a fraud too.\What?\It's too big a task for those girls.\But we can't just turn the customers away.\Force them to work harder.\Excuse me, Madam Manager? response:	Yes?
context: One of the rich marriage candidates\turned out to be a fraud too.\What?\It's too big a task for those girls.\But we can't just turn the customers away.\Force them to work harder.\Excuse me, Madam Manager?\Yes? response:	I know this isn't the best time to tell you,
