context: I'm Gouda Takeo, a first-year in high school. response:	It's summer.
context: I love you.\My Mountain\Yamato,\I'll stay with you today, no matter what happens.\Oh, I told you it's all good.\It was a great birthday.\I have no regrets.\But that makes me happy. response:	Yamato and I are having a picnic, as a do-over of her birthday.
context: My Mountain\Yamato,\I'll stay with you today, no matter what happens.\Oh, I told you it's all good.\It was a great birthday.\I have no regrets.\But that makes me happy.\Yamato and I are having a picnic, as a do-over of her birthday. response:	ha ha ha
context: Yamato,\I'll stay with you today, no matter what happens.\Oh, I told you it's all good.\It was a great birthday.\I have no regrets.\But that makes me happy.\Yamato and I are having a picnic, as a do-over of her birthday.\ha ha ha response:	Yamato, looks like your backpack's too heavy.
context: I'll stay with you today, no matter what happens.\Oh, I told you it's all good.\It was a great birthday.\I have no regrets.\But that makes me happy.\Yamato and I are having a picnic, as a do-over of her birthday.\ha ha ha\Yamato, looks like your backpack's too heavy. response:	Here, let me carry it.
context: Oh, I told you it's all good.\It was a great birthday.\I have no regrets.\But that makes me happy.\Yamato and I are having a picnic, as a do-over of her birthday.\ha ha ha\Yamato, looks like your backpack's too heavy.\Here, let me carry it. response:	Thanks.
context: It was a great birthday.\I have no regrets.\But that makes me happy.\Yamato and I are having a picnic, as a do-over of her birthday.\ha ha ha\Yamato, looks like your backpack's too heavy.\Here, let me carry it.\Thanks. response:	What's inside?
context: I have no regrets.\But that makes me happy.\Yamato and I are having a picnic, as a do-over of her birthday.\ha ha ha\Yamato, looks like your backpack's too heavy.\Here, let me carry it.\Thanks.\What's inside? response:	Uh, like bento boxes and a water bottle and stuff.
context: But that makes me happy.\Yamato and I are having a picnic, as a do-over of her birthday.\ha ha ha\Yamato, looks like your backpack's too heavy.\Here, let me carry it.\Thanks.\What's inside?\Uh, like bento boxes and a water bottle and stuff. response:	This is all from bento boxes?
context: Yamato and I are having a picnic, as a do-over of her birthday.\ha ha ha\Yamato, looks like your backpack's too heavy.\Here, let me carry it.\Thanks.\What's inside?\Uh, like bento boxes and a water bottle and stuff.\This is all from bento boxes? response:	Well, there are snacks, hand towels,
context: ha ha ha\Yamato, looks like your backpack's too heavy.\Here, let me carry it.\Thanks.\What's inside?\Uh, like bento boxes and a water bottle and stuff.\This is all from bento boxes?\Well, there are snacks, hand towels, response:	a picnic blanket,
context: Yamato, looks like your backpack's too heavy.\Here, let me carry it.\Thanks.\What's inside?\Uh, like bento boxes and a water bottle and stuff.\This is all from bento boxes?\Well, there are snacks, hand towels,\a picnic blanket, response:	and trash bags.
context: Here, let me carry it.\Thanks.\What's inside?\Uh, like bento boxes and a water bottle and stuff.\This is all from bento boxes?\Well, there are snacks, hand towels,\a picnic blanket,\and trash bags. response:	So much... It must've been tough to carry.
context: Thanks.\What's inside?\Uh, like bento boxes and a water bottle and stuff.\This is all from bento boxes?\Well, there are snacks, hand towels,\a picnic blanket,\and trash bags.\So much... It must've been tough to carry. response:	I wonder if I made too much.
context: What's inside?\Uh, like bento boxes and a water bottle and stuff.\This is all from bento boxes?\Well, there are snacks, hand towels,\a picnic blanket,\and trash bags.\So much... It must've been tough to carry.\I wonder if I made too much. response:	I got ahead of myself.
context: Uh, like bento boxes and a water bottle and stuff.\This is all from bento boxes?\Well, there are snacks, hand towels,\a picnic blanket,\and trash bags.\So much... It must've been tough to carry.\I wonder if I made too much.\I got ahead of myself. response:	I wonder if you can finish everything, Takeo-kun.
context: This is all from bento boxes?\Well, there are snacks, hand towels,\a picnic blanket,\and trash bags.\So much... It must've been tough to carry.\I wonder if I made too much.\I got ahead of myself.\I wonder if you can finish everything, Takeo-kun. response:	Oh, great!
context: Well, there are snacks, hand towels,\a picnic blanket,\and trash bags.\So much... It must've been tough to carry.\I wonder if I made too much.\I got ahead of myself.\I wonder if you can finish everything, Takeo-kun.\Oh, great! response:	Yamato...
context: a picnic blanket,\and trash bags.\So much... It must've been tough to carry.\I wonder if I made too much.\I got ahead of myself.\I wonder if you can finish everything, Takeo-kun.\Oh, great!\Yamato... response:	That pin looks great on you.
context: and trash bags.\So much... It must've been tough to carry.\I wonder if I made too much.\I got ahead of myself.\I wonder if you can finish everything, Takeo-kun.\Oh, great!\Yamato...\That pin looks great on you. response:	2km to Summit
context: So much... It must've been tough to carry.\I wonder if I made too much.\I got ahead of myself.\I wonder if you can finish everything, Takeo-kun.\Oh, great!\Yamato...\That pin looks great on you.\2km to Summit response:	Turn right here, right?
context: I wonder if I made too much.\I got ahead of myself.\I wonder if you can finish everything, Takeo-kun.\Oh, great!\Yamato...\That pin looks great on you.\2km to Summit\Turn right here, right? response:	Yeah.
context: I got ahead of myself.\I wonder if you can finish everything, Takeo-kun.\Oh, great!\Yamato...\That pin looks great on you.\2km to Summit\Turn right here, right?\Yeah. response:	I have to say, it's a really nice day.
context: I wonder if you can finish everything, Takeo-kun.\Oh, great!\Yamato...\That pin looks great on you.\2km to Summit\Turn right here, right?\Yeah.\I have to say, it's a really nice day. response:	Sorry, Yamato!
context: Oh, great!\Yamato...\That pin looks great on you.\2km to Summit\Turn right here, right?\Yeah.\I have to say, it's a really nice day.\Sorry, Yamato! response:	Are you tired?
context: Yamato...\That pin looks great on you.\2km to Summit\Turn right here, right?\Yeah.\I have to say, it's a really nice day.\Sorry, Yamato!\Are you tired? response:	Do you want to take a small break?
context: That pin looks great on you.\2km to Summit\Turn right here, right?\Yeah.\I have to say, it's a really nice day.\Sorry, Yamato!\Are you tired?\Do you want to take a small break? response:	I'm fine.
context: 2km to Summit\Turn right here, right?\Yeah.\I have to say, it's a really nice day.\Sorry, Yamato!\Are you tired?\Do you want to take a small break?\I'm fine. response:	Are you sure?
context: Turn right here, right?\Yeah.\I have to say, it's a really nice day.\Sorry, Yamato!\Are you tired?\Do you want to take a small break?\I'm fine.\Are you sure? response:	I'm totally fine.
context: Yeah.\I have to say, it's a really nice day.\Sorry, Yamato!\Are you tired?\Do you want to take a small break?\I'm fine.\Are you sure?\I'm totally fine. response:	I'm stronger than I look.
context: I have to say, it's a really nice day.\Sorry, Yamato!\Are you tired?\Do you want to take a small break?\I'm fine.\Are you sure?\I'm totally fine.\I'm stronger than I look. response:	Sorry I'm slow, though.
context: Sorry, Yamato!\Are you tired?\Do you want to take a small break?\I'm fine.\Are you sure?\I'm totally fine.\I'm stronger than I look.\Sorry I'm slow, though. response:	Isn't this more of a hike than a picnic?
context: Are you tired?\Do you want to take a small break?\I'm fine.\Are you sure?\I'm totally fine.\I'm stronger than I look.\Sorry I'm slow, though.\Isn't this more of a hike than a picnic? response:	Didn't ask Sunakawa this time
context: Do you want to take a small break?\I'm fine.\Are you sure?\I'm totally fine.\I'm stronger than I look.\Sorry I'm slow, though.\Isn't this more of a hike than a picnic?\Didn't ask Sunakawa this time response:	I might have made a mistake.
context: I'm fine.\Are you sure?\I'm totally fine.\I'm stronger than I look.\Sorry I'm slow, though.\Isn't this more of a hike than a picnic?\Didn't ask Sunakawa this time\I might have made a mistake. response:	Oh, sorry.
context: Are you sure?\I'm totally fine.\I'm stronger than I look.\Sorry I'm slow, though.\Isn't this more of a hike than a picnic?\Didn't ask Sunakawa this time\I might have made a mistake.\Oh, sorry. response:	I was having so much fun, I started humming without realizing it.
context: I'm totally fine.\I'm stronger than I look.\Sorry I'm slow, though.\Isn't this more of a hike than a picnic?\Didn't ask Sunakawa this time\I might have made a mistake.\Oh, sorry.\I was having so much fun, I started humming without realizing it. response:	I'm so embarrassed!
context: I'm stronger than I look.\Sorry I'm slow, though.\Isn't this more of a hike than a picnic?\Didn't ask Sunakawa this time\I might have made a mistake.\Oh, sorry.\I was having so much fun, I started humming without realizing it.\I'm so embarrassed! response:	Yamato...
context: Sorry I'm slow, though.\Isn't this more of a hike than a picnic?\Didn't ask Sunakawa this time\I might have made a mistake.\Oh, sorry.\I was having so much fun, I started humming without realizing it.\I'm so embarrassed!\Yamato... response:	I love you!
context: Isn't this more of a hike than a picnic?\Didn't ask Sunakawa this time\I might have made a mistake.\Oh, sorry.\I was having so much fun, I started humming without realizing it.\I'm so embarrassed!\Yamato...\I love you! response:	We're here.
context: Didn't ask Sunakawa this time\I might have made a mistake.\Oh, sorry.\I was having so much fun, I started humming without realizing it.\I'm so embarrassed!\Yamato...\I love you!\We're here. response:	This feels great!
context: I might have made a mistake.\Oh, sorry.\I was having so much fun, I started humming without realizing it.\I'm so embarrassed!\Yamato...\I love you!\We're here.\This feels great! response:	I bet bentos taste great at the top of a mountain!
context: Oh, sorry.\I was having so much fun, I started humming without realizing it.\I'm so embarrassed!\Yamato...\I love you!\We're here.\This feels great!\I bet bentos taste great at the top of a mountain! response:	Yeah.
context: I was having so much fun, I started humming without realizing it.\I'm so embarrassed!\Yamato...\I love you!\We're here.\This feels great!\I bet bentos taste great at the top of a mountain!\Yeah. response:	It gets hot when you walk...
context: I'm so embarrassed!\Yamato...\I love you!\We're here.\This feels great!\I bet bentos taste great at the top of a mountain!\Yeah.\It gets hot when you walk... response:	Yeah.
context: Yamato...\I love you!\We're here.\This feels great!\I bet bentos taste great at the top of a mountain!\Yeah.\It gets hot when you walk...\Yeah. response:	Oh!
context: I love you!\We're here.\This feels great!\I bet bentos taste great at the top of a mountain!\Yeah.\It gets hot when you walk...\Yeah.\Oh! response:	The pin you gave me!
context: We're here.\This feels great!\I bet bentos taste great at the top of a mountain!\Yeah.\It gets hot when you walk...\Yeah.\Oh!\The pin you gave me! response:	No!
context: This feels great!\I bet bentos taste great at the top of a mountain!\Yeah.\It gets hot when you walk...\Yeah.\Oh!\The pin you gave me!\No! response:	Yamato...
context: I bet bentos taste great at the top of a mountain!\Yeah.\It gets hot when you walk...\Yeah.\Oh!\The pin you gave me!\No!\Yamato... response:	Yamato's bentos!
context: Yeah.\It gets hot when you walk...\Yeah.\Oh!\The pin you gave me!\No!\Yamato...\Yamato's bentos! response:	The crown of flowers!
context: It gets hot when you walk...\Yeah.\Oh!\The pin you gave me!\No!\Yamato...\Yamato's bentos!\The crown of flowers! response:	Takeo-kun, are you okay?
context: Yeah.\Oh!\The pin you gave me!\No!\Yamato...\Yamato's bentos!\The crown of flowers!\Takeo-kun, are you okay? response:	Are you okay?
context: Oh!\The pin you gave me!\No!\Yamato...\Yamato's bentos!\The crown of flowers!\Takeo-kun, are you okay?\Are you okay? response:	I'm fine.
context: The pin you gave me!\No!\Yamato...\Yamato's bentos!\The crown of flowers!\Takeo-kun, are you okay?\Are you okay?\I'm fine. response:	I saved the bentos, too.
context: No!\Yamato...\Yamato's bentos!\The crown of flowers!\Takeo-kun, are you okay?\Are you okay?\I'm fine.\I saved the bentos, too. response:	But I don't think we can get back up there by ourselves.
context: Yamato...\Yamato's bentos!\The crown of flowers!\Takeo-kun, are you okay?\Are you okay?\I'm fine.\I saved the bentos, too.\But I don't think we can get back up there by ourselves. response:	Where are we?
context: Yamato's bentos!\The crown of flowers!\Takeo-kun, are you okay?\Are you okay?\I'm fine.\I saved the bentos, too.\But I don't think we can get back up there by ourselves.\Where are we? response:	We have to get help.
context: The crown of flowers!\Takeo-kun, are you okay?\Are you okay?\I'm fine.\I saved the bentos, too.\But I don't think we can get back up there by ourselves.\Where are we?\We have to get help. response:	No Signal
context: Takeo-kun, are you okay?\Are you okay?\I'm fine.\I saved the bentos, too.\But I don't think we can get back up there by ourselves.\Where are we?\We have to get help.\No Signal response:	Takeo-kun, we don't have a signal...
context: Are you okay?\I'm fine.\I saved the bentos, too.\But I don't think we can get back up there by ourselves.\Where are we?\We have to get help.\No Signal\Takeo-kun, we don't have a signal... response:	What?
context: I'm fine.\I saved the bentos, too.\But I don't think we can get back up there by ourselves.\Where are we?\We have to get help.\No Signal\Takeo-kun, we don't have a signal...\What? response:	Missing After Going on a Picnic
context: I saved the bentos, too.\But I don't think we can get back up there by ourselves.\Where are we?\We have to get help.\No Signal\Takeo-kun, we don't have a signal...\What?\Missing After Going on a Picnic response:	Meanwhile, Yamato's Friends
context: But I don't think we can get back up there by ourselves.\Where are we?\We have to get help.\No Signal\Takeo-kun, we don't have a signal...\What?\Missing After Going on a Picnic\Meanwhile, Yamato's Friends response:	Hey, where's Rinko today?
context: Where are we?\We have to get help.\No Signal\Takeo-kun, we don't have a signal...\What?\Missing After Going on a Picnic\Meanwhile, Yamato's Friends\Hey, where's Rinko today? response:	She's on a picnic with Takeo-kun.
context: We have to get help.\No Signal\Takeo-kun, we don't have a signal...\What?\Missing After Going on a Picnic\Meanwhile, Yamato's Friends\Hey, where's Rinko today?\She's on a picnic with Takeo-kun. response:	Oh, a picnic?
context: No Signal\Takeo-kun, we don't have a signal...\What?\Missing After Going on a Picnic\Meanwhile, Yamato's Friends\Hey, where's Rinko today?\She's on a picnic with Takeo-kun.\Oh, a picnic? response:	That sounds like them.
context: Takeo-kun, we don't have a signal...\What?\Missing After Going on a Picnic\Meanwhile, Yamato's Friends\Hey, where's Rinko today?\She's on a picnic with Takeo-kun.\Oh, a picnic?\That sounds like them. response:	It's nice to have a boyfriend.
context: What?\Missing After Going on a Picnic\Meanwhile, Yamato's Friends\Hey, where's Rinko today?\She's on a picnic with Takeo-kun.\Oh, a picnic?\That sounds like them.\It's nice to have a boyfriend. response:	How long have they been dating? Two months?
context: Missing After Going on a Picnic\Meanwhile, Yamato's Friends\Hey, where's Rinko today?\She's on a picnic with Takeo-kun.\Oh, a picnic?\That sounds like them.\It's nice to have a boyfriend.\How long have they been dating? Two months? response:	Sunakawa-kun was hot, but I bet he's not an option.
context: Meanwhile, Yamato's Friends\Hey, where's Rinko today?\She's on a picnic with Takeo-kun.\Oh, a picnic?\That sounds like them.\It's nice to have a boyfriend.\How long have they been dating? Two months?\Sunakawa-kun was hot, but I bet he's not an option. response:	We could barely talk to him.
context: Hey, where's Rinko today?\She's on a picnic with Takeo-kun.\Oh, a picnic?\That sounds like them.\It's nice to have a boyfriend.\How long have they been dating? Two months?\Sunakawa-kun was hot, but I bet he's not an option.\We could barely talk to him. response:	Yeah.
context: She's on a picnic with Takeo-kun.\Oh, a picnic?\That sounds like them.\It's nice to have a boyfriend.\How long have they been dating? Two months?\Sunakawa-kun was hot, but I bet he's not an option.\We could barely talk to him.\Yeah. response:	Rinko's boyfriend isn't bad, either.
context: Oh, a picnic?\That sounds like them.\It's nice to have a boyfriend.\How long have they been dating? Two months?\Sunakawa-kun was hot, but I bet he's not an option.\We could barely talk to him.\Yeah.\Rinko's boyfriend isn't bad, either. response:	He's, like, not hot, but...
context: That sounds like them.\It's nice to have a boyfriend.\How long have they been dating? Two months?\Sunakawa-kun was hot, but I bet he's not an option.\We could barely talk to him.\Yeah.\Rinko's boyfriend isn't bad, either.\He's, like, not hot, but... response:	Manly
context: It's nice to have a boyfriend.\How long have they been dating? Two months?\Sunakawa-kun was hot, but I bet he's not an option.\We could barely talk to him.\Yeah.\Rinko's boyfriend isn't bad, either.\He's, like, not hot, but...\Manly response:	Manly, right?
context: How long have they been dating? Two months?\Sunakawa-kun was hot, but I bet he's not an option.\We could barely talk to him.\Yeah.\Rinko's boyfriend isn't bad, either.\He's, like, not hot, but...\Manly\Manly, right? response:	Oh, right. Manly.
context: Sunakawa-kun was hot, but I bet he's not an option.\We could barely talk to him.\Yeah.\Rinko's boyfriend isn't bad, either.\He's, like, not hot, but...\Manly\Manly, right?\Oh, right. Manly. response:	Not hot, but...
context: We could barely talk to him.\Yeah.\Rinko's boyfriend isn't bad, either.\He's, like, not hot, but...\Manly\Manly, right?\Oh, right. Manly.\Not hot, but... response:	Seems Rinko thinks he's hotter than Sunakawa-kun, though.
context: Yeah.\Rinko's boyfriend isn't bad, either.\He's, like, not hot, but...\Manly\Manly, right?\Oh, right. Manly.\Not hot, but...\Seems Rinko thinks he's hotter than Sunakawa-kun, though. response:	Yeah.
context: Rinko's boyfriend isn't bad, either.\He's, like, not hot, but...\Manly\Manly, right?\Oh, right. Manly.\Not hot, but...\Seems Rinko thinks he's hotter than Sunakawa-kun, though.\Yeah. response:	Yeah, totally.
context: He's, like, not hot, but...\Manly\Manly, right?\Oh, right. Manly.\Not hot, but...\Seems Rinko thinks he's hotter than Sunakawa-kun, though.\Yeah.\Yeah, totally. response:	Meanwhile, at the Gouda household
context: Manly\Manly, right?\Oh, right. Manly.\Not hot, but...\Seems Rinko thinks he's hotter than Sunakawa-kun, though.\Yeah.\Yeah, totally.\Meanwhile, at the Gouda household response:	Honey, how are you feeling?
context: Manly, right?\Oh, right. Manly.\Not hot, but...\Seems Rinko thinks he's hotter than Sunakawa-kun, though.\Yeah.\Yeah, totally.\Meanwhile, at the Gouda household\Honey, how are you feeling? response:	Hmm? I'm fine.
context: Oh, right. Manly.\Not hot, but...\Seems Rinko thinks he's hotter than Sunakawa-kun, though.\Yeah.\Yeah, totally.\Meanwhile, at the Gouda household\Honey, how are you feeling?\Hmm? I'm fine. response:	I see.
context: Not hot, but...\Seems Rinko thinks he's hotter than Sunakawa-kun, though.\Yeah.\Yeah, totally.\Meanwhile, at the Gouda household\Honey, how are you feeling?\Hmm? I'm fine.\I see. response:	Honey, where'd Takeo run off to?
context: Seems Rinko thinks he's hotter than Sunakawa-kun, though.\Yeah.\Yeah, totally.\Meanwhile, at the Gouda household\Honey, how are you feeling?\Hmm? I'm fine.\I see.\Honey, where'd Takeo run off to? response:	Now that you mention it, I haven't seen him.
context: Yeah.\Yeah, totally.\Meanwhile, at the Gouda household\Honey, how are you feeling?\Hmm? I'm fine.\I see.\Honey, where'd Takeo run off to?\Now that you mention it, I haven't seen him. response:	Hey, you're in the way.
context: Yeah, totally.\Meanwhile, at the Gouda household\Honey, how are you feeling?\Hmm? I'm fine.\I see.\Honey, where'd Takeo run off to?\Now that you mention it, I haven't seen him.\Hey, you're in the way. response:	Isn't he with Makoto-kun?
context: Meanwhile, at the Gouda household\Honey, how are you feeling?\Hmm? I'm fine.\I see.\Honey, where'd Takeo run off to?\Now that you mention it, I haven't seen him.\Hey, you're in the way.\Isn't he with Makoto-kun? response:	I'm sure he'll come home soon.
context: Honey, how are you feeling?\Hmm? I'm fine.\I see.\Honey, where'd Takeo run off to?\Now that you mention it, I haven't seen him.\Hey, you're in the way.\Isn't he with Makoto-kun?\I'm sure he'll come home soon. response:	I see.
context: Hmm? I'm fine.\I see.\Honey, where'd Takeo run off to?\Now that you mention it, I haven't seen him.\Hey, you're in the way.\Isn't he with Makoto-kun?\I'm sure he'll come home soon.\I see. response:	Meanwhile, Sunakawa
context: I see.\Honey, where'd Takeo run off to?\Now that you mention it, I haven't seen him.\Hey, you're in the way.\Isn't he with Makoto-kun?\I'm sure he'll come home soon.\I see.\Meanwhile, Sunakawa response:	Book 1...
context: Honey, where'd Takeo run off to?\Now that you mention it, I haven't seen him.\Hey, you're in the way.\Isn't he with Makoto-kun?\I'm sure he'll come home soon.\I see.\Meanwhile, Sunakawa\Book 1... response:	Book 2...
context: Now that you mention it, I haven't seen him.\Hey, you're in the way.\Isn't he with Makoto-kun?\I'm sure he'll come home soon.\I see.\Meanwhile, Sunakawa\Book 1...\Book 2... response:	There aren't any signs of anyone having passed through here.
context: Hey, you're in the way.\Isn't he with Makoto-kun?\I'm sure he'll come home soon.\I see.\Meanwhile, Sunakawa\Book 1...\Book 2...\There aren't any signs of anyone having passed through here. response:	Takeo-kun, I'm sorry.
context: Isn't he with Makoto-kun?\I'm sure he'll come home soon.\I see.\Meanwhile, Sunakawa\Book 1...\Book 2...\There aren't any signs of anyone having passed through here.\Takeo-kun, I'm sorry. response:	It's my fault...
context: I'm sure he'll come home soon.\I see.\Meanwhile, Sunakawa\Book 1...\Book 2...\There aren't any signs of anyone having passed through here.\Takeo-kun, I'm sorry.\It's my fault... response:	Don't worry.
context: I see.\Meanwhile, Sunakawa\Book 1...\Book 2...\There aren't any signs of anyone having passed through here.\Takeo-kun, I'm sorry.\It's my fault...\Don't worry. response:	We'll get through this.
context: Meanwhile, Sunakawa\Book 1...\Book 2...\There aren't any signs of anyone having passed through here.\Takeo-kun, I'm sorry.\It's my fault...\Don't worry.\We'll get through this. response:	Wait here.
context: Book 1...\Book 2...\There aren't any signs of anyone having passed through here.\Takeo-kun, I'm sorry.\It's my fault...\Don't worry.\We'll get through this.\Wait here. response:	I'll try looking around from above.
context: Book 2...\There aren't any signs of anyone having passed through here.\Takeo-kun, I'm sorry.\It's my fault...\Don't worry.\We'll get through this.\Wait here.\I'll try looking around from above. response:	Huh? Above?
context: There aren't any signs of anyone having passed through here.\Takeo-kun, I'm sorry.\It's my fault...\Don't worry.\We'll get through this.\Wait here.\I'll try looking around from above.\Huh? Above? response:	Yep.
context: Takeo-kun, I'm sorry.\It's my fault...\Don't worry.\We'll get through this.\Wait here.\I'll try looking around from above.\Huh? Above?\Yep. response:	Be careful, Takeo-kun!
context: It's my fault...\Don't worry.\We'll get through this.\Wait here.\I'll try looking around from above.\Huh? Above?\Yep.\Be careful, Takeo-kun! response:	If I'd grabbed on to a tree or something,
context: Don't worry.\We'll get through this.\Wait here.\I'll try looking around from above.\Huh? Above?\Yep.\Be careful, Takeo-kun!\If I'd grabbed on to a tree or something, response:	we wouldn't have fallen.
context: We'll get through this.\Wait here.\I'll try looking around from above.\Huh? Above?\Yep.\Be careful, Takeo-kun!\If I'd grabbed on to a tree or something,\we wouldn't have fallen. response:	But no use crying over spilled milk.
context: Wait here.\I'll try looking around from above.\Huh? Above?\Yep.\Be careful, Takeo-kun!\If I'd grabbed on to a tree or something,\we wouldn't have fallen.\But no use crying over spilled milk. response:	Right now, what I should do
context: I'll try looking around from above.\Huh? Above?\Yep.\Be careful, Takeo-kun!\If I'd grabbed on to a tree or something,\we wouldn't have fallen.\But no use crying over spilled milk.\Right now, what I should do response:	is to get Yamato home safe and sound.
context: Huh? Above?\Yep.\Be careful, Takeo-kun!\If I'd grabbed on to a tree or something,\we wouldn't have fallen.\But no use crying over spilled milk.\Right now, what I should do\is to get Yamato home safe and sound. response:	Takeo-kun...
context: Yep.\Be careful, Takeo-kun!\If I'd grabbed on to a tree or something,\we wouldn't have fallen.\But no use crying over spilled milk.\Right now, what I should do\is to get Yamato home safe and sound.\Takeo-kun... response:	It's okay, Yamato.
context: Be careful, Takeo-kun!\If I'd grabbed on to a tree or something,\we wouldn't have fallen.\But no use crying over spilled milk.\Right now, what I should do\is to get Yamato home safe and sound.\Takeo-kun...\It's okay, Yamato. response:	I'll get you home.
context: If I'd grabbed on to a tree or something,\we wouldn't have fallen.\But no use crying over spilled milk.\Right now, what I should do\is to get Yamato home safe and sound.\Takeo-kun...\It's okay, Yamato.\I'll get you home. response:	Huh?
context: we wouldn't have fallen.\But no use crying over spilled milk.\Right now, what I should do\is to get Yamato home safe and sound.\Takeo-kun...\It's okay, Yamato.\I'll get you home.\Huh? response:	I could hear cars in the distance.
context: But no use crying over spilled milk.\Right now, what I should do\is to get Yamato home safe and sound.\Takeo-kun...\It's okay, Yamato.\I'll get you home.\Huh?\I could hear cars in the distance. response:	There's a road over there.
context: Right now, what I should do\is to get Yamato home safe and sound.\Takeo-kun...\It's okay, Yamato.\I'll get you home.\Huh?\I could hear cars in the distance.\There's a road over there. response:	Huh?
context: is to get Yamato home safe and sound.\Takeo-kun...\It's okay, Yamato.\I'll get you home.\Huh?\I could hear cars in the distance.\There's a road over there.\Huh? response:	You're amazing, Takeo-kun!
context: Takeo-kun...\It's okay, Yamato.\I'll get you home.\Huh?\I could hear cars in the distance.\There's a road over there.\Huh?\You're amazing, Takeo-kun! response:	But it's far away.
context: It's okay, Yamato.\I'll get you home.\Huh?\I could hear cars in the distance.\There's a road over there.\Huh?\You're amazing, Takeo-kun!\But it's far away. response:	Reaching the city might take till tomorrow.
context: I'll get you home.\Huh?\I could hear cars in the distance.\There's a road over there.\Huh?\You're amazing, Takeo-kun!\But it's far away.\Reaching the city might take till tomorrow. response:	Huh?
context: Huh?\I could hear cars in the distance.\There's a road over there.\Huh?\You're amazing, Takeo-kun!\But it's far away.\Reaching the city might take till tomorrow.\Huh? response:	Then... We'd have to spend the whole night by ourselves...
context: I could hear cars in the distance.\There's a road over there.\Huh?\You're amazing, Takeo-kun!\But it's far away.\Reaching the city might take till tomorrow.\Huh?\Then... We'd have to spend the whole night by ourselves... response:	Right.
context: There's a road over there.\Huh?\You're amazing, Takeo-kun!\But it's far away.\Reaching the city might take till tomorrow.\Huh?\Then... We'd have to spend the whole night by ourselves...\Right. response:	The whole night by ourselves
context: Huh?\You're amazing, Takeo-kun!\But it's far away.\Reaching the city might take till tomorrow.\Huh?\Then... We'd have to spend the whole night by ourselves...\Right.\The whole night by ourselves response:	She must be worried.
context: You're amazing, Takeo-kun!\But it's far away.\Reaching the city might take till tomorrow.\Huh?\Then... We'd have to spend the whole night by ourselves...\Right.\The whole night by ourselves\She must be worried. response:	Don't worry.
context: But it's far away.\Reaching the city might take till tomorrow.\Huh?\Then... We'd have to spend the whole night by ourselves...\Right.\The whole night by ourselves\She must be worried.\Don't worry. response:	Let me handle this.
context: Reaching the city might take till tomorrow.\Huh?\Then... We'd have to spend the whole night by ourselves...\Right.\The whole night by ourselves\She must be worried.\Don't worry.\Let me handle this. response:	First, we have to head south.
