context: No matter how close we are as friends, response:	and no matter how often I commute to the studio to see them practice,
context: Baby my wish on a wing\This sky is torn\By a single overflowing word\Shin, where did you forget your keys?\Ring, ring!\Wh-What?\Where's the woman?\Woman? response:	Good for you. You haven't brought one in.
context: This sky is torn\By a single overflowing word\Shin, where did you forget your keys?\Ring, ring!\Wh-What?\Where's the woman?\Woman?\Good for you. You haven't brought one in. response:	Mind your own business.
context: By a single overflowing word\Shin, where did you forget your keys?\Ring, ring!\Wh-What?\Where's the woman?\Woman?\Good for you. You haven't brought one in.\Mind your own business. response:	I brought you breakfast, darling.
context: Shin, where did you forget your keys?\Ring, ring!\Wh-What?\Where's the woman?\Woman?\Good for you. You haven't brought one in.\Mind your own business.\I brought you breakfast, darling. response:	What the hell are you up to?
context: Ring, ring!\Wh-What?\Where's the woman?\Woman?\Good for you. You haven't brought one in.\Mind your own business.\I brought you breakfast, darling.\What the hell are you up to? response:	How do you expect me to eat all that, first thing in the morning?
context: Wh-What?\Where's the woman?\Woman?\Good for you. You haven't brought one in.\Mind your own business.\I brought you breakfast, darling.\What the hell are you up to?\How do you expect me to eat all that, first thing in the morning? response:	I have cake, too.
context: Where's the woman?\Woman?\Good for you. You haven't brought one in.\Mind your own business.\I brought you breakfast, darling.\What the hell are you up to?\How do you expect me to eat all that, first thing in the morning?\I have cake, too. response:	I don't get it!
context: Woman?\Good for you. You haven't brought one in.\Mind your own business.\I brought you breakfast, darling.\What the hell are you up to?\How do you expect me to eat all that, first thing in the morning?\I have cake, too.\I don't get it! response:	Here!
context: Good for you. You haven't brought one in.\Mind your own business.\I brought you breakfast, darling.\What the hell are you up to?\How do you expect me to eat all that, first thing in the morning?\I have cake, too.\I don't get it!\Here! response:	And a whole cake at that?
context: Mind your own business.\I brought you breakfast, darling.\What the hell are you up to?\How do you expect me to eat all that, first thing in the morning?\I have cake, too.\I don't get it!\Here!\And a whole cake at that? response:	It's gotten cold,
context: I brought you breakfast, darling.\What the hell are you up to?\How do you expect me to eat all that, first thing in the morning?\I have cake, too.\I don't get it!\Here!\And a whole cake at that?\It's gotten cold, response:	so I'll warm it up in the microwave, okay?
context: What the hell are you up to?\How do you expect me to eat all that, first thing in the morning?\I have cake, too.\I don't get it!\Here!\And a whole cake at that?\It's gotten cold,\so I'll warm it up in the microwave, okay? response:	What is all this?
context: How do you expect me to eat all that, first thing in the morning?\I have cake, too.\I don't get it!\Here!\And a whole cake at that?\It's gotten cold,\so I'll warm it up in the microwave, okay?\What is all this? response:	You still don't get it? Boy, you're slow.
context: I have cake, too.\I don't get it!\Here!\And a whole cake at that?\It's gotten cold,\so I'll warm it up in the microwave, okay?\What is all this?\You still don't get it? Boy, you're slow. response:	Wait, Nobu. Where are you going?
context: I don't get it!\Here!\And a whole cake at that?\It's gotten cold,\so I'll warm it up in the microwave, okay?\What is all this?\You still don't get it? Boy, you're slow.\Wait, Nobu. Where are you going? response:	To thank her. Or actually, to apologize.
context: Here!\And a whole cake at that?\It's gotten cold,\so I'll warm it up in the microwave, okay?\What is all this?\You still don't get it? Boy, you're slow.\Wait, Nobu. Where are you going?\To thank her. Or actually, to apologize. response:	But it's still six in the morning!
context: And a whole cake at that?\It's gotten cold,\so I'll warm it up in the microwave, okay?\What is all this?\You still don't get it? Boy, you're slow.\Wait, Nobu. Where are you going?\To thank her. Or actually, to apologize.\But it's still six in the morning! response:	Hachiko will still be asleep.
context: It's gotten cold,\so I'll warm it up in the microwave, okay?\What is all this?\You still don't get it? Boy, you're slow.\Wait, Nobu. Where are you going?\To thank her. Or actually, to apologize.\But it's still six in the morning!\Hachiko will still be asleep. response:	You're right.
context: so I'll warm it up in the microwave, okay?\What is all this?\You still don't get it? Boy, you're slow.\Wait, Nobu. Where are you going?\To thank her. Or actually, to apologize.\But it's still six in the morning!\Hachiko will still be asleep.\You're right. response:	She said she's working today,
context: What is all this?\You still don't get it? Boy, you're slow.\Wait, Nobu. Where are you going?\To thank her. Or actually, to apologize.\But it's still six in the morning!\Hachiko will still be asleep.\You're right.\She said she's working today, response:	so if you wanna apologize, do it in the evening.
context: You still don't get it? Boy, you're slow.\Wait, Nobu. Where are you going?\To thank her. Or actually, to apologize.\But it's still six in the morning!\Hachiko will still be asleep.\You're right.\She said she's working today,\so if you wanna apologize, do it in the evening. response:	Besides, you've got work during the day too, right?
context: Wait, Nobu. Where are you going?\To thank her. Or actually, to apologize.\But it's still six in the morning!\Hachiko will still be asleep.\You're right.\She said she's working today,\so if you wanna apologize, do it in the evening.\Besides, you've got work during the day too, right? response:	Anyway, let's eat.
context: To thank her. Or actually, to apologize.\But it's still six in the morning!\Hachiko will still be asleep.\You're right.\She said she's working today,\so if you wanna apologize, do it in the evening.\Besides, you've got work during the day too, right?\Anyway, let's eat. response:	Today is Sunday the 29th of July.
context: But it's still six in the morning!\Hachiko will still be asleep.\You're right.\She said she's working today,\so if you wanna apologize, do it in the evening.\Besides, you've got work during the day too, right?\Anyway, let's eat.\Today is Sunday the 29th of July. response:	The weather will be pleasant across the country.
context: Hachiko will still be asleep.\You're right.\She said she's working today,\so if you wanna apologize, do it in the evening.\Besides, you've got work during the day too, right?\Anyway, let's eat.\Today is Sunday the 29th of July.\The weather will be pleasant across the country. response:	However, in the Tokyo region,
context: You're right.\She said she's working today,\so if you wanna apologize, do it in the evening.\Besides, you've got work during the day too, right?\Anyway, let's eat.\Today is Sunday the 29th of July.\The weather will be pleasant across the country.\However, in the Tokyo region, response:	there will likely be strong winds in the evening.
context: She said she's working today,\so if you wanna apologize, do it in the evening.\Besides, you've got work during the day too, right?\Anyway, let's eat.\Today is Sunday the 29th of July.\The weather will be pleasant across the country.\However, in the Tokyo region,\there will likely be strong winds in the evening. response:	Coming up after the commercial break
context: so if you wanna apologize, do it in the evening.\Besides, you've got work during the day too, right?\Anyway, let's eat.\Today is Sunday the 29th of July.\The weather will be pleasant across the country.\However, in the Tokyo region,\there will likely be strong winds in the evening.\Coming up after the commercial break response:	is fortune-telling based on blood type.
context: Besides, you've got work during the day too, right?\Anyway, let's eat.\Today is Sunday the 29th of July.\The weather will be pleasant across the country.\However, in the Tokyo region,\there will likely be strong winds in the evening.\Coming up after the commercial break\is fortune-telling based on blood type. response:	You know, I've been thinking from before...
context: Anyway, let's eat.\Today is Sunday the 29th of July.\The weather will be pleasant across the country.\However, in the Tokyo region,\there will likely be strong winds in the evening.\Coming up after the commercial break\is fortune-telling based on blood type.\You know, I've been thinking from before... response:	Hachi's a really good cook.
context: Today is Sunday the 29th of July.\The weather will be pleasant across the country.\However, in the Tokyo region,\there will likely be strong winds in the evening.\Coming up after the commercial break\is fortune-telling based on blood type.\You know, I've been thinking from before...\Hachi's a really good cook. response:	You think so? I think she's normal.
context: The weather will be pleasant across the country.\However, in the Tokyo region,\there will likely be strong winds in the evening.\Coming up after the commercial break\is fortune-telling based on blood type.\You know, I've been thinking from before...\Hachi's a really good cook.\You think so? I think she's normal. response:	I'll leave the leftovers,
context: However, in the Tokyo region,\there will likely be strong winds in the evening.\Coming up after the commercial break\is fortune-telling based on blood type.\You know, I've been thinking from before...\Hachi's a really good cook.\You think so? I think she's normal.\I'll leave the leftovers, response:	so share it with Shin, and have Yasu come over, too.
context: there will likely be strong winds in the evening.\Coming up after the commercial break\is fortune-telling based on blood type.\You know, I've been thinking from before...\Hachi's a really good cook.\You think so? I think she's normal.\I'll leave the leftovers,\so share it with Shin, and have Yasu come over, too. response:	I'll tell him to drop by on his way back from work.
context: Coming up after the commercial break\is fortune-telling based on blood type.\You know, I've been thinking from before...\Hachi's a really good cook.\You think so? I think she's normal.\I'll leave the leftovers,\so share it with Shin, and have Yasu come over, too.\I'll tell him to drop by on his way back from work. response:	But don't you think it would be nicer for all of us
context: is fortune-telling based on blood type.\You know, I've been thinking from before...\Hachi's a really good cook.\You think so? I think she's normal.\I'll leave the leftovers,\so share it with Shin, and have Yasu come over, too.\I'll tell him to drop by on his way back from work.\But don't you think it would be nicer for all of us response:	to go and see Hachi tonight?
context: You know, I've been thinking from before...\Hachi's a really good cook.\You think so? I think she's normal.\I'll leave the leftovers,\so share it with Shin, and have Yasu come over, too.\I'll tell him to drop by on his way back from work.\But don't you think it would be nicer for all of us\to go and see Hachi tonight? response:	We should also say hi to Misato while we're at it.
context: Hachi's a really good cook.\You think so? I think she's normal.\I'll leave the leftovers,\so share it with Shin, and have Yasu come over, too.\I'll tell him to drop by on his way back from work.\But don't you think it would be nicer for all of us\to go and see Hachi tonight?\We should also say hi to Misato while we're at it. response:	Do as you wish. I've got work tonight,
context: You think so? I think she's normal.\I'll leave the leftovers,\so share it with Shin, and have Yasu come over, too.\I'll tell him to drop by on his way back from work.\But don't you think it would be nicer for all of us\to go and see Hachi tonight?\We should also say hi to Misato while we're at it.\Do as you wish. I've got work tonight, response:	so I'll have some of this cake while I still have the chance.
context: I'll leave the leftovers,\so share it with Shin, and have Yasu come over, too.\I'll tell him to drop by on his way back from work.\But don't you think it would be nicer for all of us\to go and see Hachi tonight?\We should also say hi to Misato while we're at it.\Do as you wish. I've got work tonight,\so I'll have some of this cake while I still have the chance. response:	But it would be a shame to cut it.
context: so share it with Shin, and have Yasu come over, too.\I'll tell him to drop by on his way back from work.\But don't you think it would be nicer for all of us\to go and see Hachi tonight?\We should also say hi to Misato while we're at it.\Do as you wish. I've got work tonight,\so I'll have some of this cake while I still have the chance.\But it would be a shame to cut it. response:	Let's take a picture of it.
context: I'll tell him to drop by on his way back from work.\But don't you think it would be nicer for all of us\to go and see Hachi tonight?\We should also say hi to Misato while we're at it.\Do as you wish. I've got work tonight,\so I'll have some of this cake while I still have the chance.\But it would be a shame to cut it.\Let's take a picture of it. response:	Took one already.
context: But don't you think it would be nicer for all of us\to go and see Hachi tonight?\We should also say hi to Misato while we're at it.\Do as you wish. I've got work tonight,\so I'll have some of this cake while I still have the chance.\But it would be a shame to cut it.\Let's take a picture of it.\Took one already. response:	Give it to me!
context: to go and see Hachi tonight?\We should also say hi to Misato while we're at it.\Do as you wish. I've got work tonight,\so I'll have some of this cake while I still have the chance.\But it would be a shame to cut it.\Let's take a picture of it.\Took one already.\Give it to me! response:	He didn't respond to the alarm clock, or the noise I made.
context: We should also say hi to Misato while we're at it.\Do as you wish. I've got work tonight,\so I'll have some of this cake while I still have the chance.\But it would be a shame to cut it.\Let's take a picture of it.\Took one already.\Give it to me!\He didn't respond to the alarm clock, or the noise I made. response:	Takumi must be really tired.
context: Do as you wish. I've got work tonight,\so I'll have some of this cake while I still have the chance.\But it would be a shame to cut it.\Let's take a picture of it.\Took one already.\Give it to me!\He didn't respond to the alarm clock, or the noise I made.\Takumi must be really tired. response:	And still, he agreed to see me.
context: so I'll have some of this cake while I still have the chance.\But it would be a shame to cut it.\Let's take a picture of it.\Took one already.\Give it to me!\He didn't respond to the alarm clock, or the noise I made.\Takumi must be really tired.\And still, he agreed to see me. response:	I'm glad, but... I'm feeling a bit guilty.
context: But it would be a shame to cut it.\Let's take a picture of it.\Took one already.\Give it to me!\He didn't respond to the alarm clock, or the noise I made.\Takumi must be really tired.\And still, he agreed to see me.\I'm glad, but... I'm feeling a bit guilty. response:	SORRY TO BOTHER YOU DURING A BUSY TIME. THANKS. I'LL EMAIL YOU.
context: Let's take a picture of it.\Took one already.\Give it to me!\He didn't respond to the alarm clock, or the noise I made.\Takumi must be really tired.\And still, he agreed to see me.\I'm glad, but... I'm feeling a bit guilty.\SORRY TO BOTHER YOU DURING A BUSY TIME. THANKS. I'LL EMAIL YOU. response:	I thought that for Takumi,
context: Took one already.\Give it to me!\He didn't respond to the alarm clock, or the noise I made.\Takumi must be really tired.\And still, he agreed to see me.\I'm glad, but... I'm feeling a bit guilty.\SORRY TO BOTHER YOU DURING A BUSY TIME. THANKS. I'LL EMAIL YOU.\I thought that for Takumi, response:	I was just a convenient woman he could do it with whenever he pleased.
context: Give it to me!\He didn't respond to the alarm clock, or the noise I made.\Takumi must be really tired.\And still, he agreed to see me.\I'm glad, but... I'm feeling a bit guilty.\SORRY TO BOTHER YOU DURING A BUSY TIME. THANKS. I'LL EMAIL YOU.\I thought that for Takumi,\I was just a convenient woman he could do it with whenever he pleased. response:	But as things stand,
context: He didn't respond to the alarm clock, or the noise I made.\Takumi must be really tired.\And still, he agreed to see me.\I'm glad, but... I'm feeling a bit guilty.\SORRY TO BOTHER YOU DURING A BUSY TIME. THANKS. I'LL EMAIL YOU.\I thought that for Takumi,\I was just a convenient woman he could do it with whenever he pleased.\But as things stand, response:	I'm the one who's taking advantage of Takumi,
context: Takumi must be really tired.\And still, he agreed to see me.\I'm glad, but... I'm feeling a bit guilty.\SORRY TO BOTHER YOU DURING A BUSY TIME. THANKS. I'LL EMAIL YOU.\I thought that for Takumi,\I was just a convenient woman he could do it with whenever he pleased.\But as things stand,\I'm the one who's taking advantage of Takumi, response:	as a man who will hold me whenever I feel lonely.
context: And still, he agreed to see me.\I'm glad, but... I'm feeling a bit guilty.\SORRY TO BOTHER YOU DURING A BUSY TIME. THANKS. I'LL EMAIL YOU.\I thought that for Takumi,\I was just a convenient woman he could do it with whenever he pleased.\But as things stand,\I'm the one who's taking advantage of Takumi,\as a man who will hold me whenever I feel lonely. response:	I don't want it.
context: I'm glad, but... I'm feeling a bit guilty.\SORRY TO BOTHER YOU DURING A BUSY TIME. THANKS. I'LL EMAIL YOU.\I thought that for Takumi,\I was just a convenient woman he could do it with whenever he pleased.\But as things stand,\I'm the one who's taking advantage of Takumi,\as a man who will hold me whenever I feel lonely.\I don't want it. response:	I said I don't want it!
context: SORRY TO BOTHER YOU DURING A BUSY TIME. THANKS. I'LL EMAIL YOU.\I thought that for Takumi,\I was just a convenient woman he could do it with whenever he pleased.\But as things stand,\I'm the one who's taking advantage of Takumi,\as a man who will hold me whenever I feel lonely.\I don't want it.\I said I don't want it! response:	I told you, I only came here because you gave me too much last time!
context: I thought that for Takumi,\I was just a convenient woman he could do it with whenever he pleased.\But as things stand,\I'm the one who's taking advantage of Takumi,\as a man who will hold me whenever I feel lonely.\I don't want it.\I said I don't want it!\I told you, I only came here because you gave me too much last time! response:	Then you can take this as an advance payment for the next time.
context: I was just a convenient woman he could do it with whenever he pleased.\But as things stand,\I'm the one who's taking advantage of Takumi,\as a man who will hold me whenever I feel lonely.\I don't want it.\I said I don't want it!\I told you, I only came here because you gave me too much last time!\Then you can take this as an advance payment for the next time. response:	Sorry, Take. I was still asleep. Am I late?
context: But as things stand,\I'm the one who's taking advantage of Takumi,\as a man who will hold me whenever I feel lonely.\I don't want it.\I said I don't want it!\I told you, I only came here because you gave me too much last time!\Then you can take this as an advance payment for the next time.\Sorry, Take. I was still asleep. Am I late? response:	I figured as much, so I told you to be ready at an earlier time.
context: I'm the one who's taking advantage of Takumi,\as a man who will hold me whenever I feel lonely.\I don't want it.\I said I don't want it!\I told you, I only came here because you gave me too much last time!\Then you can take this as an advance payment for the next time.\Sorry, Take. I was still asleep. Am I late?\I figured as much, so I told you to be ready at an earlier time. response:	Not to worry.
context: as a man who will hold me whenever I feel lonely.\I don't want it.\I said I don't want it!\I told you, I only came here because you gave me too much last time!\Then you can take this as an advance payment for the next time.\Sorry, Take. I was still asleep. Am I late?\I figured as much, so I told you to be ready at an earlier time.\Not to worry. response:	I brought you a change of clothes.
context: I don't want it.\I said I don't want it!\I told you, I only came here because you gave me too much last time!\Then you can take this as an advance payment for the next time.\Sorry, Take. I was still asleep. Am I late?\I figured as much, so I told you to be ready at an earlier time.\Not to worry.\I brought you a change of clothes. response:	Oh, thanks.
context: I said I don't want it!\I told you, I only came here because you gave me too much last time!\Then you can take this as an advance payment for the next time.\Sorry, Take. I was still asleep. Am I late?\I figured as much, so I told you to be ready at an earlier time.\Not to worry.\I brought you a change of clothes.\Oh, thanks. response:	I'll put them here,
context: I told you, I only came here because you gave me too much last time!\Then you can take this as an advance payment for the next time.\Sorry, Take. I was still asleep. Am I late?\I figured as much, so I told you to be ready at an earlier time.\Not to worry.\I brought you a change of clothes.\Oh, thanks.\I'll put them here, response:	so get ready while I go and get Reira checked out.
context: Then you can take this as an advance payment for the next time.\Sorry, Take. I was still asleep. Am I late?\I figured as much, so I told you to be ready at an earlier time.\Not to worry.\I brought you a change of clothes.\Oh, thanks.\I'll put them here,\so get ready while I go and get Reira checked out. response:	Huh?
context: Sorry, Take. I was still asleep. Am I late?\I figured as much, so I told you to be ready at an earlier time.\Not to worry.\I brought you a change of clothes.\Oh, thanks.\I'll put them here,\so get ready while I go and get Reira checked out.\Huh? response:	Reira stayed here, too?
context: I figured as much, so I told you to be ready at an earlier time.\Not to worry.\I brought you a change of clothes.\Oh, thanks.\I'll put them here,\so get ready while I go and get Reira checked out.\Huh?\Reira stayed here, too? response:	I heard you're not feeling well. You have a cold?
context: Not to worry.\I brought you a change of clothes.\Oh, thanks.\I'll put them here,\so get ready while I go and get Reira checked out.\Huh?\Reira stayed here, too?\I heard you're not feeling well. You have a cold? response:	No, no. I just got carsick.
context: I brought you a change of clothes.\Oh, thanks.\I'll put them here,\so get ready while I go and get Reira checked out.\Huh?\Reira stayed here, too?\I heard you're not feeling well. You have a cold?\No, no. I just got carsick. response:	But I've never known you to have motion sickness before.
context: Oh, thanks.\I'll put them here,\so get ready while I go and get Reira checked out.\Huh?\Reira stayed here, too?\I heard you're not feeling well. You have a cold?\No, no. I just got carsick.\But I've never known you to have motion sickness before. response:	Are you worried?
context: I'll put them here,\so get ready while I go and get Reira checked out.\Huh?\Reira stayed here, too?\I heard you're not feeling well. You have a cold?\No, no. I just got carsick.\But I've never known you to have motion sickness before.\Are you worried? response:	Of course. If you break down, our entire band comes to a stop.
context: so get ready while I go and get Reira checked out.\Huh?\Reira stayed here, too?\I heard you're not feeling well. You have a cold?\No, no. I just got carsick.\But I've never known you to have motion sickness before.\Are you worried?\Of course. If you break down, our entire band comes to a stop. response:	You'll cause problems for everyone. Don't forget to oil the joints.
context: Huh?\Reira stayed here, too?\I heard you're not feeling well. You have a cold?\No, no. I just got carsick.\But I've never known you to have motion sickness before.\Are you worried?\Of course. If you break down, our entire band comes to a stop.\You'll cause problems for everyone. Don't forget to oil the joints. response:	Don't talk of me like some object!
context: Reira stayed here, too?\I heard you're not feeling well. You have a cold?\No, no. I just got carsick.\But I've never known you to have motion sickness before.\Are you worried?\Of course. If you break down, our entire band comes to a stop.\You'll cause problems for everyone. Don't forget to oil the joints.\Don't talk of me like some object! response:	Just a figure of speech. Then I'll drink it myself.
context: I heard you're not feeling well. You have a cold?\No, no. I just got carsick.\But I've never known you to have motion sickness before.\Are you worried?\Of course. If you break down, our entire band comes to a stop.\You'll cause problems for everyone. Don't forget to oil the joints.\Don't talk of me like some object!\Just a figure of speech. Then I'll drink it myself. response:	That day, my work involved selling milk at a supermarket.
context: No, no. I just got carsick.\But I've never known you to have motion sickness before.\Are you worried?\Of course. If you break down, our entire band comes to a stop.\You'll cause problems for everyone. Don't forget to oil the joints.\Don't talk of me like some object!\Just a figure of speech. Then I'll drink it myself.\That day, my work involved selling milk at a supermarket. response:	It's a sweet and delicious milk...
context: But I've never known you to have motion sickness before.\Are you worried?\Of course. If you break down, our entire band comes to a stop.\You'll cause problems for everyone. Don't forget to oil the joints.\Don't talk of me like some object!\Just a figure of speech. Then I'll drink it myself.\That day, my work involved selling milk at a supermarket.\It's a sweet and delicious milk... response:	- I wonder how much longer...produced in Hokkaido.
context: Are you worried?\Of course. If you break down, our entire band comes to a stop.\You'll cause problems for everyone. Don't forget to oil the joints.\Don't talk of me like some object!\Just a figure of speech. Then I'll drink it myself.\That day, my work involved selling milk at a supermarket.\It's a sweet and delicious milk...\- I wonder how much longer...produced in Hokkaido. response:	- I'll be repeating days like this. - Please give it a try.
context: Of course. If you break down, our entire band comes to a stop.\You'll cause problems for everyone. Don't forget to oil the joints.\Don't talk of me like some object!\Just a figure of speech. Then I'll drink it myself.\That day, my work involved selling milk at a supermarket.\It's a sweet and delicious milk...\- I wonder how much longer...produced in Hokkaido.\- I'll be repeating days like this. - Please give it a try. response:	It's a sweet and delicious milk...
context: You'll cause problems for everyone. Don't forget to oil the joints.\Don't talk of me like some object!\Just a figure of speech. Then I'll drink it myself.\That day, my work involved selling milk at a supermarket.\It's a sweet and delicious milk...\- I wonder how much longer...produced in Hokkaido.\- I'll be repeating days like this. - Please give it a try.\It's a sweet and delicious milk... response:	- Days of no progress....produced in Hokkaido.
context: Don't talk of me like some object!\Just a figure of speech. Then I'll drink it myself.\That day, my work involved selling milk at a supermarket.\It's a sweet and delicious milk...\- I wonder how much longer...produced in Hokkaido.\- I'll be repeating days like this. - Please give it a try.\It's a sweet and delicious milk...\- Days of no progress....produced in Hokkaido. response:	Huh? My keys aren't in here. Did Misato not go out today?
context: Just a figure of speech. Then I'll drink it myself.\That day, my work involved selling milk at a supermarket.\It's a sweet and delicious milk...\- I wonder how much longer...produced in Hokkaido.\- I'll be repeating days like this. - Please give it a try.\It's a sweet and delicious milk...\- Days of no progress....produced in Hokkaido.\Huh? My keys aren't in here. Did Misato not go out today? response:	NANA KOMATSU FROM SEIICHI AND HARUE MIZUKOSHI
context: That day, my work involved selling milk at a supermarket.\It's a sweet and delicious milk...\- I wonder how much longer...produced in Hokkaido.\- I'll be repeating days like this. - Please give it a try.\It's a sweet and delicious milk...\- Days of no progress....produced in Hokkaido.\Huh? My keys aren't in here. Did Misato not go out today?\NANA KOMATSU FROM SEIICHI AND HARUE MIZUKOSHI response:	No way! From Mr. Mizukoshi? What is it?!
context: It's a sweet and delicious milk...\- I wonder how much longer...produced in Hokkaido.\- I'll be repeating days like this. - Please give it a try.\It's a sweet and delicious milk...\- Days of no progress....produced in Hokkaido.\Huh? My keys aren't in here. Did Misato not go out today?\NANA KOMATSU FROM SEIICHI AND HARUE MIZUKOSHI\No way! From Mr. Mizukoshi? What is it?! response:	WE GOT MARRIED
context: - I wonder how much longer...produced in Hokkaido.\- I'll be repeating days like this. - Please give it a try.\It's a sweet and delicious milk...\- Days of no progress....produced in Hokkaido.\Huh? My keys aren't in here. Did Misato not go out today?\NANA KOMATSU FROM SEIICHI AND HARUE MIZUKOSHI\No way! From Mr. Mizukoshi? What is it?!\WE GOT MARRIED response:	He didn't hafta notify me about that.
context: - I'll be repeating days like this. - Please give it a try.\It's a sweet and delicious milk...\- Days of no progress....produced in Hokkaido.\Huh? My keys aren't in here. Did Misato not go out today?\NANA KOMATSU FROM SEIICHI AND HARUE MIZUKOSHI\No way! From Mr. Mizukoshi? What is it?!\WE GOT MARRIED\He didn't hafta notify me about that. response:	That's so nice. I envy them.
context: It's a sweet and delicious milk...\- Days of no progress....produced in Hokkaido.\Huh? My keys aren't in here. Did Misato not go out today?\NANA KOMATSU FROM SEIICHI AND HARUE MIZUKOSHI\No way! From Mr. Mizukoshi? What is it?!\WE GOT MARRIED\He didn't hafta notify me about that.\That's so nice. I envy them. response:	I wanna hurry and get married, too. His wife is so cute.
