context: HONNOUJI ACADEMY response:	NATURALS ELECTION
context: RAID TRIP\TRI-CITY SCHOOLS RAID TRIP STRATEGY MEETING\Athletic Committee squads 1 through 11, preparations complete.\Assigning to Osaka Raid Trip Brigade.\Non-Athletic Committee squads 1 through 18, preparations complete.\Assigning to Kyoto Raid Trip Brigade.\The Disciplinary Committee is more than sufficient for the Kobe Raid Trip Brigade!\Being an elite corps is all well and good, but don't fail. response:	Yeah, nobody wants to see you committing seppuku, Ira.
context: TRI-CITY SCHOOLS RAID TRIP STRATEGY MEETING\Athletic Committee squads 1 through 11, preparations complete.\Assigning to Osaka Raid Trip Brigade.\Non-Athletic Committee squads 1 through 18, preparations complete.\Assigning to Kyoto Raid Trip Brigade.\The Disciplinary Committee is more than sufficient for the Kobe Raid Trip Brigade!\Being an elite corps is all well and good, but don't fail.\Yeah, nobody wants to see you committing seppuku, Ira. response:	The cleanup of your guts would be a pain.
context: Athletic Committee squads 1 through 11, preparations complete.\Assigning to Osaka Raid Trip Brigade.\Non-Athletic Committee squads 1 through 18, preparations complete.\Assigning to Kyoto Raid Trip Brigade.\The Disciplinary Committee is more than sufficient for the Kobe Raid Trip Brigade!\Being an elite corps is all well and good, but don't fail.\Yeah, nobody wants to see you committing seppuku, Ira.\The cleanup of your guts would be a pain. response:	You needn't worry. We'll succeed.
context: Assigning to Osaka Raid Trip Brigade.\Non-Athletic Committee squads 1 through 18, preparations complete.\Assigning to Kyoto Raid Trip Brigade.\The Disciplinary Committee is more than sufficient for the Kobe Raid Trip Brigade!\Being an elite corps is all well and good, but don't fail.\Yeah, nobody wants to see you committing seppuku, Ira.\The cleanup of your guts would be a pain.\You needn't worry. We'll succeed. response:	I have formed an Information Strategy Team with the PC Club at its core,
context: Non-Athletic Committee squads 1 through 18, preparations complete.\Assigning to Kyoto Raid Trip Brigade.\The Disciplinary Committee is more than sufficient for the Kobe Raid Trip Brigade!\Being an elite corps is all well and good, but don't fail.\Yeah, nobody wants to see you committing seppuku, Ira.\The cleanup of your guts would be a pain.\You needn't worry. We'll succeed.\I have formed an Information Strategy Team with the PC Club at its core, response:	using Two-Star students from the Information Systems class.
context: Assigning to Kyoto Raid Trip Brigade.\The Disciplinary Committee is more than sufficient for the Kobe Raid Trip Brigade!\Being an elite corps is all well and good, but don't fail.\Yeah, nobody wants to see you committing seppuku, Ira.\The cleanup of your guts would be a pain.\You needn't worry. We'll succeed.\I have formed an Information Strategy Team with the PC Club at its core,\using Two-Star students from the Information Systems class. response:	The information network in each city is already under our control.
context: The Disciplinary Committee is more than sufficient for the Kobe Raid Trip Brigade!\Being an elite corps is all well and good, but don't fail.\Yeah, nobody wants to see you committing seppuku, Ira.\The cleanup of your guts would be a pain.\You needn't worry. We'll succeed.\I have formed an Information Strategy Team with the PC Club at its core,\using Two-Star students from the Information Systems class.\The information network in each city is already under our control. response:	We are monitoring all communications in the high schools of each city.
context: Being an elite corps is all well and good, but don't fail.\Yeah, nobody wants to see you committing seppuku, Ira.\The cleanup of your guts would be a pain.\You needn't worry. We'll succeed.\I have formed an Information Strategy Team with the PC Club at its core,\using Two-Star students from the Information Systems class.\The information network in each city is already under our control.\We are monitoring all communications in the high schools of each city. response:	Iori, are the Special Goku Uniforms ready?
context: Yeah, nobody wants to see you committing seppuku, Ira.\The cleanup of your guts would be a pain.\You needn't worry. We'll succeed.\I have formed an Information Strategy Team with the PC Club at its core,\using Two-Star students from the Information Systems class.\The information network in each city is already under our control.\We are monitoring all communications in the high schools of each city.\Iori, are the Special Goku Uniforms ready? response:	Yes, Milady. Development and manufacture of the Anti-Osaka,
context: The cleanup of your guts would be a pain.\You needn't worry. We'll succeed.\I have formed an Information Strategy Team with the PC Club at its core,\using Two-Star students from the Information Systems class.\The information network in each city is already under our control.\We are monitoring all communications in the high schools of each city.\Iori, are the Special Goku Uniforms ready?\Yes, Milady. Development and manufacture of the Anti-Osaka, response:	RAID
context: You needn't worry. We'll succeed.\I have formed an Information Strategy Team with the PC Club at its core,\using Two-Star students from the Information Systems class.\The information network in each city is already under our control.\We are monitoring all communications in the high schools of each city.\Iori, are the Special Goku Uniforms ready?\Yes, Milady. Development and manufacture of the Anti-Osaka,\RAID response:	Anti-Kyoto, and Anti-Kobe Combat-spec Goku Uniforms are complete.
context: I have formed an Information Strategy Team with the PC Club at its core,\using Two-Star students from the Information Systems class.\The information network in each city is already under our control.\We are monitoring all communications in the high schools of each city.\Iori, are the Special Goku Uniforms ready?\Yes, Milady. Development and manufacture of the Anti-Osaka,\RAID\Anti-Kyoto, and Anti-Kobe Combat-spec Goku Uniforms are complete. response:	They are being distributed to the Raid Trip Brigades as we speak.
context: using Two-Star students from the Information Systems class.\The information network in each city is already under our control.\We are monitoring all communications in the high schools of each city.\Iori, are the Special Goku Uniforms ready?\Yes, Milady. Development and manufacture of the Anti-Osaka,\RAID\Anti-Kyoto, and Anti-Kobe Combat-spec Goku Uniforms are complete.\They are being distributed to the Raid Trip Brigades as we speak. response:	As for you Elite Four,
context: The information network in each city is already under our control.\We are monitoring all communications in the high schools of each city.\Iori, are the Special Goku Uniforms ready?\Yes, Milady. Development and manufacture of the Anti-Osaka,\RAID\Anti-Kyoto, and Anti-Kobe Combat-spec Goku Uniforms are complete.\They are being distributed to the Raid Trip Brigades as we speak.\As for you Elite Four, response:	new Three-Star Goku Uniforms are currently being made for all of you.
context: We are monitoring all communications in the high schools of each city.\Iori, are the Special Goku Uniforms ready?\Yes, Milady. Development and manufacture of the Anti-Osaka,\RAID\Anti-Kyoto, and Anti-Kobe Combat-spec Goku Uniforms are complete.\They are being distributed to the Raid Trip Brigades as we speak.\As for you Elite Four,\new Three-Star Goku Uniforms are currently being made for all of you. response:	However, owing to the fact that final adjustments will take some time,
context: Iori, are the Special Goku Uniforms ready?\Yes, Milady. Development and manufacture of the Anti-Osaka,\RAID\Anti-Kyoto, and Anti-Kobe Combat-spec Goku Uniforms are complete.\They are being distributed to the Raid Trip Brigades as we speak.\As for you Elite Four,\new Three-Star Goku Uniforms are currently being made for all of you.\However, owing to the fact that final adjustments will take some time, response:	you will have to set out with the same Special Goku
context: Yes, Milady. Development and manufacture of the Anti-Osaka,\RAID\Anti-Kyoto, and Anti-Kobe Combat-spec Goku Uniforms are complete.\They are being distributed to the Raid Trip Brigades as we speak.\As for you Elite Four,\new Three-Star Goku Uniforms are currently being made for all of you.\However, owing to the fact that final adjustments will take some time,\you will have to set out with the same Special Goku response:	Uniforms as the other students.
context: RAID\Anti-Kyoto, and Anti-Kobe Combat-spec Goku Uniforms are complete.\They are being distributed to the Raid Trip Brigades as we speak.\As for you Elite Four,\new Three-Star Goku Uniforms are currently being made for all of you.\However, owing to the fact that final adjustments will take some time,\you will have to set out with the same Special Goku\Uniforms as the other students. response:	They have been improved based on your battles with Ryuko Matoi and Nui Harime.
context: Anti-Kyoto, and Anti-Kobe Combat-spec Goku Uniforms are complete.\They are being distributed to the Raid Trip Brigades as we speak.\As for you Elite Four,\new Three-Star Goku Uniforms are currently being made for all of you.\However, owing to the fact that final adjustments will take some time,\you will have to set out with the same Special Goku\Uniforms as the other students.\They have been improved based on your battles with Ryuko Matoi and Nui Harime. response:	Look forward to them.
context: They are being distributed to the Raid Trip Brigades as we speak.\As for you Elite Four,\new Three-Star Goku Uniforms are currently being made for all of you.\However, owing to the fact that final adjustments will take some time,\you will have to set out with the same Special Goku\Uniforms as the other students.\They have been improved based on your battles with Ryuko Matoi and Nui Harime.\Look forward to them. response:	There is no shame in your defeat at the hands
context: As for you Elite Four,\new Three-Star Goku Uniforms are currently being made for all of you.\However, owing to the fact that final adjustments will take some time,\you will have to set out with the same Special Goku\Uniforms as the other students.\They have been improved based on your battles with Ryuko Matoi and Nui Harime.\Look forward to them.\There is no shame in your defeat at the hands response:	of the Pure Life Fiber Kamui Senketsu and the High Order Tailor Nui Harime.
context: new Three-Star Goku Uniforms are currently being made for all of you.\However, owing to the fact that final adjustments will take some time,\you will have to set out with the same Special Goku\Uniforms as the other students.\They have been improved based on your battles with Ryuko Matoi and Nui Harime.\Look forward to them.\There is no shame in your defeat at the hands\of the Pure Life Fiber Kamui Senketsu and the High Order Tailor Nui Harime. response:	You will mature even further.
context: However, owing to the fact that final adjustments will take some time,\you will have to set out with the same Special Goku\Uniforms as the other students.\They have been improved based on your battles with Ryuko Matoi and Nui Harime.\Look forward to them.\There is no shame in your defeat at the hands\of the Pure Life Fiber Kamui Senketsu and the High Order Tailor Nui Harime.\You will mature even further. response:	It is merely a rite of passage.
context: you will have to set out with the same Special Goku\Uniforms as the other students.\They have been improved based on your battles with Ryuko Matoi and Nui Harime.\Look forward to them.\There is no shame in your defeat at the hands\of the Pure Life Fiber Kamui Senketsu and the High Order Tailor Nui Harime.\You will mature even further.\It is merely a rite of passage. response:	And now, I look forward to your maturation as commanders.
context: Uniforms as the other students.\They have been improved based on your battles with Ryuko Matoi and Nui Harime.\Look forward to them.\There is no shame in your defeat at the hands\of the Pure Life Fiber Kamui Senketsu and the High Order Tailor Nui Harime.\You will mature even further.\It is merely a rite of passage.\And now, I look forward to your maturation as commanders. response:	Lead the Raid Trip Brigades to victory!
context: They have been improved based on your battles with Ryuko Matoi and Nui Harime.\Look forward to them.\There is no shame in your defeat at the hands\of the Pure Life Fiber Kamui Senketsu and the High Order Tailor Nui Harime.\You will mature even further.\It is merely a rite of passage.\And now, I look forward to your maturation as commanders.\Lead the Raid Trip Brigades to victory! response:	Understood!
context: Look forward to them.\There is no shame in your defeat at the hands\of the Pure Life Fiber Kamui Senketsu and the High Order Tailor Nui Harime.\You will mature even further.\It is merely a rite of passage.\And now, I look forward to your maturation as commanders.\Lead the Raid Trip Brigades to victory!\Understood! response:	Very well, the Raid Trip is set to leave at 0200 hours the day after tomorrow.
context: There is no shame in your defeat at the hands\of the Pure Life Fiber Kamui Senketsu and the High Order Tailor Nui Harime.\You will mature even further.\It is merely a rite of passage.\And now, I look forward to your maturation as commanders.\Lead the Raid Trip Brigades to victory!\Understood!\Very well, the Raid Trip is set to leave at 0200 hours the day after tomorrow. response:	Understood!
context: of the Pure Life Fiber Kamui Senketsu and the High Order Tailor Nui Harime.\You will mature even further.\It is merely a rite of passage.\And now, I look forward to your maturation as commanders.\Lead the Raid Trip Brigades to victory!\Understood!\Very well, the Raid Trip is set to leave at 0200 hours the day after tomorrow.\Understood! response:	Is the helicopter ready?
context: You will mature even further.\It is merely a rite of passage.\And now, I look forward to your maturation as commanders.\Lead the Raid Trip Brigades to victory!\Understood!\Very well, the Raid Trip is set to leave at 0200 hours the day after tomorrow.\Understood!\Is the helicopter ready? response:	It is, Milady.
context: It is merely a rite of passage.\And now, I look forward to your maturation as commanders.\Lead the Raid Trip Brigades to victory!\Understood!\Very well, the Raid Trip is set to leave at 0200 hours the day after tomorrow.\Understood!\Is the helicopter ready?\It is, Milady. response:	Thank you.
context: And now, I look forward to your maturation as commanders.\Lead the Raid Trip Brigades to victory!\Understood!\Very well, the Raid Trip is set to leave at 0200 hours the day after tomorrow.\Understood!\Is the helicopter ready?\It is, Milady.\Thank you. response:	EPISODE 13 CRAZY FOR YOU
context: Lead the Raid Trip Brigades to victory!\Understood!\Very well, the Raid Trip is set to leave at 0200 hours the day after tomorrow.\Understood!\Is the helicopter ready?\It is, Milady.\Thank you.\EPISODE 13 CRAZY FOR YOU response:	Boy, I wish I could go!
context: Understood!\Very well, the Raid Trip is set to leave at 0200 hours the day after tomorrow.\Understood!\Is the helicopter ready?\It is, Milady.\Thank you.\EPISODE 13 CRAZY FOR YOU\Boy, I wish I could go! response:	I don't want to go! But I wish I could!
context: Very well, the Raid Trip is set to leave at 0200 hours the day after tomorrow.\Understood!\Is the helicopter ready?\It is, Milady.\Thank you.\EPISODE 13 CRAZY FOR YOU\Boy, I wish I could go!\I don't want to go! But I wish I could! response:	I do wish I could go! But I don't want to!
context: Understood!\Is the helicopter ready?\It is, Milady.\Thank you.\EPISODE 13 CRAZY FOR YOU\Boy, I wish I could go!\I don't want to go! But I wish I could!\I do wish I could go! But I don't want to! response:	But I really wish I could go anyway!
context: Is the helicopter ready?\It is, Milady.\Thank you.\EPISODE 13 CRAZY FOR YOU\Boy, I wish I could go!\I don't want to go! But I wish I could!\I do wish I could go! But I don't want to!\But I really wish I could go anyway! response:	A woman's heart is a fickle thing...
context: It is, Milady.\Thank you.\EPISODE 13 CRAZY FOR YOU\Boy, I wish I could go!\I don't want to go! But I wish I could!\I do wish I could go! But I don't want to!\But I really wish I could go anyway!\A woman's heart is a fickle thing... response:	I know, right?
context: Thank you.\EPISODE 13 CRAZY FOR YOU\Boy, I wish I could go!\I don't want to go! But I wish I could!\I do wish I could go! But I don't want to!\But I really wish I could go anyway!\A woman's heart is a fickle thing...\I know, right? response:	It's not like being asked if you want to
context: EPISODE 13 CRAZY FOR YOU\Boy, I wish I could go!\I don't want to go! But I wish I could!\I do wish I could go! But I don't want to!\But I really wish I could go anyway!\A woman's heart is a fickle thing...\I know, right?\It's not like being asked if you want to response:	go somewhere makes you want to go,
context: Boy, I wish I could go!\I don't want to go! But I wish I could!\I do wish I could go! But I don't want to!\But I really wish I could go anyway!\A woman's heart is a fickle thing...\I know, right?\It's not like being asked if you want to\go somewhere makes you want to go, response:	but I sure would've loved to go to Kyoto!
context: I don't want to go! But I wish I could!\I do wish I could go! But I don't want to!\But I really wish I could go anyway!\A woman's heart is a fickle thing...\I know, right?\It's not like being asked if you want to\go somewhere makes you want to go,\but I sure would've loved to go to Kyoto! response:	So you short bus students are getting left out of the School Raid Trip, huh?
context: I do wish I could go! But I don't want to!\But I really wish I could go anyway!\A woman's heart is a fickle thing...\I know, right?\It's not like being asked if you want to\go somewhere makes you want to go,\but I sure would've loved to go to Kyoto!\So you short bus students are getting left out of the School Raid Trip, huh? response:	Yeah,'cause it's practically a war.
context: But I really wish I could go anyway!\A woman's heart is a fickle thing...\I know, right?\It's not like being asked if you want to\go somewhere makes you want to go,\but I sure would've loved to go to Kyoto!\So you short bus students are getting left out of the School Raid Trip, huh?\Yeah,'cause it's practically a war. response:	I hate fighting, but it's free!
context: A woman's heart is a fickle thing...\I know, right?\It's not like being asked if you want to\go somewhere makes you want to go,\but I sure would've loved to go to Kyoto!\So you short bus students are getting left out of the School Raid Trip, huh?\Yeah,'cause it's practically a war.\I hate fighting, but it's free! response:	If you could go somewhere for free, you'd want to go, right?
context: I know, right?\It's not like being asked if you want to\go somewhere makes you want to go,\but I sure would've loved to go to Kyoto!\So you short bus students are getting left out of the School Raid Trip, huh?\Yeah,'cause it's practically a war.\I hate fighting, but it's free!\If you could go somewhere for free, you'd want to go, right? response:	Kyoto! Kobe! Osaka!
context: It's not like being asked if you want to\go somewhere makes you want to go,\but I sure would've loved to go to Kyoto!\So you short bus students are getting left out of the School Raid Trip, huh?\Yeah,'cause it's practically a war.\I hate fighting, but it's free!\If you could go somewhere for free, you'd want to go, right?\Kyoto! Kobe! Osaka! response:	You got every one wrong.
context: go somewhere makes you want to go,\but I sure would've loved to go to Kyoto!\So you short bus students are getting left out of the School Raid Trip, huh?\Yeah,'cause it's practically a war.\I hate fighting, but it's free!\If you could go somewhere for free, you'd want to go, right?\Kyoto! Kobe! Osaka!\You got every one wrong. response:	Kyoto is here. Kobe is here. Osaka is here.
context: but I sure would've loved to go to Kyoto!\So you short bus students are getting left out of the School Raid Trip, huh?\Yeah,'cause it's practically a war.\I hate fighting, but it's free!\If you could go somewhere for free, you'd want to go, right?\Kyoto! Kobe! Osaka!\You got every one wrong.\Kyoto is here. Kobe is here. Osaka is here. response:	Oh my! All three are really close together!
context: So you short bus students are getting left out of the School Raid Trip, huh?\Yeah,'cause it's practically a war.\I hate fighting, but it's free!\If you could go somewhere for free, you'd want to go, right?\Kyoto! Kobe! Osaka!\You got every one wrong.\Kyoto is here. Kobe is here. Osaka is here.\Oh my! All three are really close together! response:	Pretty much. It's the Kansai region, after all.
context: Yeah,'cause it's practically a war.\I hate fighting, but it's free!\If you could go somewhere for free, you'd want to go, right?\Kyoto! Kobe! Osaka!\You got every one wrong.\Kyoto is here. Kobe is here. Osaka is here.\Oh my! All three are really close together!\Pretty much. It's the Kansai region, after all. response:	It boggles my mind that you managed to make it to high school.
context: I hate fighting, but it's free!\If you could go somewhere for free, you'd want to go, right?\Kyoto! Kobe! Osaka!\You got every one wrong.\Kyoto is here. Kobe is here. Osaka is here.\Oh my! All three are really close together!\Pretty much. It's the Kansai region, after all.\It boggles my mind that you managed to make it to high school. response:	It's my mind that's boggled!
context: If you could go somewhere for free, you'd want to go, right?\Kyoto! Kobe! Osaka!\You got every one wrong.\Kyoto is here. Kobe is here. Osaka is here.\Oh my! All three are really close together!\Pretty much. It's the Kansai region, after all.\It boggles my mind that you managed to make it to high school.\It's my mind that's boggled! response:	By the way, is Ryuko still in a bad way?
context: Kyoto! Kobe! Osaka!\You got every one wrong.\Kyoto is here. Kobe is here. Osaka is here.\Oh my! All three are really close together!\Pretty much. It's the Kansai region, after all.\It boggles my mind that you managed to make it to high school.\It's my mind that's boggled!\By the way, is Ryuko still in a bad way? response:	Ryuko is suddenly allergic to wearing her uniform.
context: You got every one wrong.\Kyoto is here. Kobe is here. Osaka is here.\Oh my! All three are really close together!\Pretty much. It's the Kansai region, after all.\It boggles my mind that you managed to make it to high school.\It's my mind that's boggled!\By the way, is Ryuko still in a bad way?\Ryuko is suddenly allergic to wearing her uniform. response:	After she snapped out of her rampage,
context: Kyoto is here. Kobe is here. Osaka is here.\Oh my! All three are really close together!\Pretty much. It's the Kansai region, after all.\It boggles my mind that you managed to make it to high school.\It's my mind that's boggled!\By the way, is Ryuko still in a bad way?\Ryuko is suddenly allergic to wearing her uniform.\After she snapped out of her rampage, response:	she went straight to the school,
context: Oh my! All three are really close together!\Pretty much. It's the Kansai region, after all.\It boggles my mind that you managed to make it to high school.\It's my mind that's boggled!\By the way, is Ryuko still in a bad way?\Ryuko is suddenly allergic to wearing her uniform.\After she snapped out of her rampage,\she went straight to the school, response:	but after she came back, she was all mopey for some reason.
context: Pretty much. It's the Kansai region, after all.\It boggles my mind that you managed to make it to high school.\It's my mind that's boggled!\By the way, is Ryuko still in a bad way?\Ryuko is suddenly allergic to wearing her uniform.\After she snapped out of her rampage,\she went straight to the school,\but after she came back, she was all mopey for some reason. response:	She doesn't even try to put on poor Senketsu.
context: It boggles my mind that you managed to make it to high school.\It's my mind that's boggled!\By the way, is Ryuko still in a bad way?\Ryuko is suddenly allergic to wearing her uniform.\After she snapped out of her rampage,\she went straight to the school,\but after she came back, she was all mopey for some reason.\She doesn't even try to put on poor Senketsu. response:	Oh, I see...
context: It's my mind that's boggled!\By the way, is Ryuko still in a bad way?\Ryuko is suddenly allergic to wearing her uniform.\After she snapped out of her rampage,\she went straight to the school,\but after she came back, she was all mopey for some reason.\She doesn't even try to put on poor Senketsu.\Oh, I see... response:	You there.
context: By the way, is Ryuko still in a bad way?\Ryuko is suddenly allergic to wearing her uniform.\After she snapped out of her rampage,\she went straight to the school,\but after she came back, she was all mopey for some reason.\She doesn't even try to put on poor Senketsu.\Oh, I see...\You there. response:	You're Mako Mankanshoku, right?
context: Ryuko is suddenly allergic to wearing her uniform.\After she snapped out of her rampage,\she went straight to the school,\but after she came back, she was all mopey for some reason.\She doesn't even try to put on poor Senketsu.\Oh, I see...\You there.\You're Mako Mankanshoku, right? response:	Yes.
context: After she snapped out of her rampage,\she went straight to the school,\but after she came back, she was all mopey for some reason.\She doesn't even try to put on poor Senketsu.\Oh, I see...\You there.\You're Mako Mankanshoku, right?\Yes. response:	Please! Take me to see Ryuko Matoi!
context: she went straight to the school,\but after she came back, she was all mopey for some reason.\She doesn't even try to put on poor Senketsu.\Oh, I see...\You there.\You're Mako Mankanshoku, right?\Yes.\Please! Take me to see Ryuko Matoi! response:	You can trust me!
context: but after she came back, she was all mopey for some reason.\She doesn't even try to put on poor Senketsu.\Oh, I see...\You there.\You're Mako Mankanshoku, right?\Yes.\Please! Take me to see Ryuko Matoi!\You can trust me! response:	I'm Shinjiro Nagita, formerly of the Newspaper Club!
context: She doesn't even try to put on poor Senketsu.\Oh, I see...\You there.\You're Mako Mankanshoku, right?\Yes.\Please! Take me to see Ryuko Matoi!\You can trust me!\I'm Shinjiro Nagita, formerly of the Newspaper Club! response:	FORMERLY WITH THE NEWSPAPER CLUB SHINJIRO NAGITA
context: Oh, I see...\You there.\You're Mako Mankanshoku, right?\Yes.\Please! Take me to see Ryuko Matoi!\You can trust me!\I'm Shinjiro Nagita, formerly of the Newspaper Club!\FORMERLY WITH THE NEWSPAPER CLUB SHINJIRO NAGITA response:	- Found him! - There he is!
context: You there.\You're Mako Mankanshoku, right?\Yes.\Please! Take me to see Ryuko Matoi!\You can trust me!\I'm Shinjiro Nagita, formerly of the Newspaper Club!\FORMERLY WITH THE NEWSPAPER CLUB SHINJIRO NAGITA\- Found him! - There he is! response:	Hold it right there, Newsie!
context: You're Mako Mankanshoku, right?\Yes.\Please! Take me to see Ryuko Matoi!\You can trust me!\I'm Shinjiro Nagita, formerly of the Newspaper Club!\FORMERLY WITH THE NEWSPAPER CLUB SHINJIRO NAGITA\- Found him! - There he is!\Hold it right there, Newsie! response:	Crap!
context: Yes.\Please! Take me to see Ryuko Matoi!\You can trust me!\I'm Shinjiro Nagita, formerly of the Newspaper Club!\FORMERLY WITH THE NEWSPAPER CLUB SHINJIRO NAGITA\- Found him! - There he is!\Hold it right there, Newsie!\Crap! response:	H-Hey, what are you doing?!
context: Please! Take me to see Ryuko Matoi!\You can trust me!\I'm Shinjiro Nagita, formerly of the Newspaper Club!\FORMERLY WITH THE NEWSPAPER CLUB SHINJIRO NAGITA\- Found him! - There he is!\Hold it right there, Newsie!\Crap!\H-Hey, what are you doing?! response:	They're with the Disciplinary Committee!
context: You can trust me!\I'm Shinjiro Nagita, formerly of the Newspaper Club!\FORMERLY WITH THE NEWSPAPER CLUB SHINJIRO NAGITA\- Found him! - There he is!\Hold it right there, Newsie!\Crap!\H-Hey, what are you doing?!\They're with the Disciplinary Committee! response:	I cant let them find me!
context: I'm Shinjiro Nagita, formerly of the Newspaper Club!\FORMERLY WITH THE NEWSPAPER CLUB SHINJIRO NAGITA\- Found him! - There he is!\Hold it right there, Newsie!\Crap!\H-Hey, what are you doing?!\They're with the Disciplinary Committee!\I cant let them find me! response:	I've been banned from school grounds!
context: FORMERLY WITH THE NEWSPAPER CLUB SHINJIRO NAGITA\- Found him! - There he is!\Hold it right there, Newsie!\Crap!\H-Hey, what are you doing?!\They're with the Disciplinary Committee!\I cant let them find me!\I've been banned from school grounds! response:	- Come back here! - Stop right there!
context: - Found him! - There he is!\Hold it right there, Newsie!\Crap!\H-Hey, what are you doing?!\They're with the Disciplinary Committee!\I cant let them find me!\I've been banned from school grounds!\- Come back here! - Stop right there! response:	But I don't even read the newspaper!
context: Hold it right there, Newsie!\Crap!\H-Hey, what are you doing?!\They're with the Disciplinary Committee!\I cant let them find me!\I've been banned from school grounds!\- Come back here! - Stop right there!\But I don't even read the newspaper! response:	You're not getting away!
context: Crap!\H-Hey, what are you doing?!\They're with the Disciplinary Committee!\I cant let them find me!\I've been banned from school grounds!\- Come back here! - Stop right there!\But I don't even read the newspaper!\You're not getting away! response:	Banned from school grounds, huh?
context: H-Hey, what are you doing?!\They're with the Disciplinary Committee!\I cant let them find me!\I've been banned from school grounds!\- Come back here! - Stop right there!\But I don't even read the newspaper!\You're not getting away!\Banned from school grounds, huh? response:	I made you something, Ryuko!
context: They're with the Disciplinary Committee!\I cant let them find me!\I've been banned from school grounds!\- Come back here! - Stop right there!\But I don't even read the newspaper!\You're not getting away!\Banned from school grounds, huh?\I made you something, Ryuko! response:	What's that?
context: I cant let them find me!\I've been banned from school grounds!\- Come back here! - Stop right there!\But I don't even read the newspaper!\You're not getting away!\Banned from school grounds, huh?\I made you something, Ryuko!\What's that? response:	Special Croquettes, made with finely chopped,
context: I've been banned from school grounds!\- Come back here! - Stop right there!\But I don't even read the newspaper!\You're not getting away!\Banned from school grounds, huh?\I made you something, Ryuko!\What's that?\Special Croquettes, made with finely chopped, response:	super-mysterious mystery ingredients!
context: - Come back here! - Stop right there!\But I don't even read the newspaper!\You're not getting away!\Banned from school grounds, huh?\I made you something, Ryuko!\What's that?\Special Croquettes, made with finely chopped,\super-mysterious mystery ingredients! response:	They'll get you back on your feet!
context: But I don't even read the newspaper!\You're not getting away!\Banned from school grounds, huh?\I made you something, Ryuko!\What's that?\Special Croquettes, made with finely chopped,\super-mysterious mystery ingredients!\They'll get you back on your feet! response:	Mataro and the others had some earlier.
context: You're not getting away!\Banned from school grounds, huh?\I made you something, Ryuko!\What's that?\Special Croquettes, made with finely chopped,\super-mysterious mystery ingredients!\They'll get you back on your feet!\Mataro and the others had some earlier. response:	See?
