context: Galactic Calendar, Year 211 response:	Year 0 of the Third Galactic Empire.
context: Is this the planet called Earth?\The Empire began from such a tiny world?\Not even from a world.\It all began from a single Module.\Module?\I suppose Module is an obsolete word now.\Our originator, the Founder, lost many classmates in the battle for Module 77, and then...\he happened across the Magius. response:	Rukino Saki...
context: The Empire began from such a tiny world?\Not even from a world.\It all began from a single Module.\Module?\I suppose Module is an obsolete word now.\Our originator, the Founder, lost many classmates in the battle for Module 77, and then...\he happened across the Magius.\Rukino Saki... response:	Will you...
context: Not even from a world.\It all began from a single Module.\Module?\I suppose Module is an obsolete word now.\Our originator, the Founder, lost many classmates in the battle for Module 77, and then...\he happened across the Magius.\Rukino Saki...\Will you... response:	marry me?
context: It all began from a single Module.\Module?\I suppose Module is an obsolete word now.\Our originator, the Founder, lost many classmates in the battle for Module 77, and then...\he happened across the Magius.\Rukino Saki...\Will you...\marry me? response:	I want you to make me spend the rest of my life to pay for what I did.
context: Module?\I suppose Module is an obsolete word now.\Our originator, the Founder, lost many classmates in the battle for Module 77, and then...\he happened across the Magius.\Rukino Saki...\Will you...\marry me?\I want you to make me spend the rest of my life to pay for what I did. response:	Are you some kind of idiot?
context: I suppose Module is an obsolete word now.\Our originator, the Founder, lost many classmates in the battle for Module 77, and then...\he happened across the Magius.\Rukino Saki...\Will you...\marry me?\I want you to make me spend the rest of my life to pay for what I did.\Are you some kind of idiot? response:	I'm an idol, you know.
context: Our originator, the Founder, lost many classmates in the battle for Module 77, and then...\he happened across the Magius.\Rukino Saki...\Will you...\marry me?\I want you to make me spend the rest of my life to pay for what I did.\Are you some kind of idiot?\I'm an idol, you know. response:	It's impossible for me to belong to one person.
context: he happened across the Magius.\Rukino Saki...\Will you...\marry me?\I want you to make me spend the rest of my life to pay for what I did.\Are you some kind of idiot?\I'm an idol, you know.\It's impossible for me to belong to one person. response:	But what I did to you was
context: Rukino Saki...\Will you...\marry me?\I want you to make me spend the rest of my life to pay for what I did.\Are you some kind of idiot?\I'm an idol, you know.\It's impossible for me to belong to one person.\But what I did to you was response:	You're such a child.
context: Will you...\marry me?\I want you to make me spend the rest of my life to pay for what I did.\Are you some kind of idiot?\I'm an idol, you know.\It's impossible for me to belong to one person.\But what I did to you was\You're such a child. response:	I'm an entertainer.
context: marry me?\I want you to make me spend the rest of my life to pay for what I did.\Are you some kind of idiot?\I'm an idol, you know.\It's impossible for me to belong to one person.\But what I did to you was\You're such a child.\I'm an entertainer. response:	I've done that tons of times.
context: I want you to make me spend the rest of my life to pay for what I did.\Are you some kind of idiot?\I'm an idol, you know.\It's impossible for me to belong to one person.\But what I did to you was\You're such a child.\I'm an entertainer.\I've done that tons of times. response:	I was part of an adult, filthy world that you know nothing about.
context: Are you some kind of idiot?\I'm an idol, you know.\It's impossible for me to belong to one person.\But what I did to you was\You're such a child.\I'm an entertainer.\I've done that tons of times.\I was part of an adult, filthy world that you know nothing about. response:	You're lying.
context: I'm an idol, you know.\It's impossible for me to belong to one person.\But what I did to you was\You're such a child.\I'm an entertainer.\I've done that tons of times.\I was part of an adult, filthy world that you know nothing about.\You're lying. response:	You're not that kind of
context: It's impossible for me to belong to one person.\But what I did to you was\You're such a child.\I'm an entertainer.\I've done that tons of times.\I was part of an adult, filthy world that you know nothing about.\You're lying.\You're not that kind of response:	You know perfectly well what that was.
context: But what I did to you was\You're such a child.\I'm an entertainer.\I've done that tons of times.\I was part of an adult, filthy world that you know nothing about.\You're lying.\You're not that kind of\You know perfectly well what that was. response:	It was a Kamitsuki attack.
context: You're such a child.\I'm an entertainer.\I've done that tons of times.\I was part of an adult, filthy world that you know nothing about.\You're lying.\You're not that kind of\You know perfectly well what that was.\It was a Kamitsuki attack. response:	Now go rescue our prime minister, Haruto.
context: I'm an entertainer.\I've done that tons of times.\I was part of an adult, filthy world that you know nothing about.\You're lying.\You're not that kind of\You know perfectly well what that was.\It was a Kamitsuki attack.\Now go rescue our prime minister, Haruto. response:	After all, I don't hate her.
context: I've done that tons of times.\I was part of an adult, filthy world that you know nothing about.\You're lying.\You're not that kind of\You know perfectly well what that was.\It was a Kamitsuki attack.\Now go rescue our prime minister, Haruto.\After all, I don't hate her. response:	Oh, hey! Why don't you come join us?
context: I was part of an adult, filthy world that you know nothing about.\You're lying.\You're not that kind of\You know perfectly well what that was.\It was a Kamitsuki attack.\Now go rescue our prime minister, Haruto.\After all, I don't hate her.\Oh, hey! Why don't you come join us? response:	No! No!
context: You're lying.\You're not that kind of\You know perfectly well what that was.\It was a Kamitsuki attack.\Now go rescue our prime minister, Haruto.\After all, I don't hate her.\Oh, hey! Why don't you come join us?\No! No! response:	Rejected...
context: You're not that kind of\You know perfectly well what that was.\It was a Kamitsuki attack.\Now go rescue our prime minister, Haruto.\After all, I don't hate her.\Oh, hey! Why don't you come join us?\No! No!\Rejected... response:	I rejected her...
context: You know perfectly well what that was.\It was a Kamitsuki attack.\Now go rescue our prime minister, Haruto.\After all, I don't hate her.\Oh, hey! Why don't you come join us?\No! No!\Rejected...\I rejected her... response:	Sashinami Shoko. We're moving.
context: It was a Kamitsuki attack.\Now go rescue our prime minister, Haruto.\After all, I don't hate her.\Oh, hey! Why don't you come join us?\No! No!\Rejected...\I rejected her...\Sashinami Shoko. We're moving. response:	If you sit here, your father will have died for nothing.
context: Now go rescue our prime minister, Haruto.\After all, I don't hate her.\Oh, hey! Why don't you come join us?\No! No!\Rejected...\I rejected her...\Sashinami Shoko. We're moving.\If you sit here, your father will have died for nothing. response:	L-elf! Where are you?!
context: After all, I don't hate her.\Oh, hey! Why don't you come join us?\No! No!\Rejected...\I rejected her...\Sashinami Shoko. We're moving.\If you sit here, your father will have died for nothing.\L-elf! Where are you?! response:	The school. Sashinami is with me.
context: Oh, hey! Why don't you come join us?\No! No!\Rejected...\I rejected her...\Sashinami Shoko. We're moving.\If you sit here, your father will have died for nothing.\L-elf! Where are you?!\The school. Sashinami is with me. response:	My Valvrave will be offline for a while.
context: No! No!\Rejected...\I rejected her...\Sashinami Shoko. We're moving.\If you sit here, your father will have died for nothing.\L-elf! Where are you?!\The school. Sashinami is with me.\My Valvrave will be offline for a while. response:	In the meantime, use me!
context: Rejected...\I rejected her...\Sashinami Shoko. We're moving.\If you sit here, your father will have died for nothing.\L-elf! Where are you?!\The school. Sashinami is with me.\My Valvrave will be offline for a while.\In the meantime, use me! response:	Drive the Dorssian soldiers out of the Module!
context: I rejected her...\Sashinami Shoko. We're moving.\If you sit here, your father will have died for nothing.\L-elf! Where are you?!\The school. Sashinami is with me.\My Valvrave will be offline for a while.\In the meantime, use me!\Drive the Dorssian soldiers out of the Module! response:	That's an effective decision, coming from you.
context: Sashinami Shoko. We're moving.\If you sit here, your father will have died for nothing.\L-elf! Where are you?!\The school. Sashinami is with me.\My Valvrave will be offline for a while.\In the meantime, use me!\Drive the Dorssian soldiers out of the Module!\That's an effective decision, coming from you. response:	Wait for me in front of the 2 track. I'll pick you up.
context: If you sit here, your father will have died for nothing.\L-elf! Where are you?!\The school. Sashinami is with me.\My Valvrave will be offline for a while.\In the meantime, use me!\Drive the Dorssian soldiers out of the Module!\That's an effective decision, coming from you.\Wait for me in front of the 2 track. I'll pick you up. response:	Understood. And tell Shoko something for me.
context: L-elf! Where are you?!\The school. Sashinami is with me.\My Valvrave will be offline for a while.\In the meantime, use me!\Drive the Dorssian soldiers out of the Module!\That's an effective decision, coming from you.\Wait for me in front of the 2 track. I'll pick you up.\Understood. And tell Shoko something for me. response:	We're going to win, no matter what.
context: The school. Sashinami is with me.\My Valvrave will be offline for a while.\In the meantime, use me!\Drive the Dorssian soldiers out of the Module!\That's an effective decision, coming from you.\Wait for me in front of the 2 track. I'll pick you up.\Understood. And tell Shoko something for me.\We're going to win, no matter what. response:	Did you hear that?
context: My Valvrave will be offline for a while.\In the meantime, use me!\Drive the Dorssian soldiers out of the Module!\That's an effective decision, coming from you.\Wait for me in front of the 2 track. I'll pick you up.\Understood. And tell Shoko something for me.\We're going to win, no matter what.\Did you hear that? response:	Don't tell Haruto...
context: In the meantime, use me!\Drive the Dorssian soldiers out of the Module!\That's an effective decision, coming from you.\Wait for me in front of the 2 track. I'll pick you up.\Understood. And tell Shoko something for me.\We're going to win, no matter what.\Did you hear that?\Don't tell Haruto... response:	Would Tokishima Haruto suffer if he knew he killed Prime Minister Sashinami?
context: Drive the Dorssian soldiers out of the Module!\That's an effective decision, coming from you.\Wait for me in front of the 2 track. I'll pick you up.\Understood. And tell Shoko something for me.\We're going to win, no matter what.\Did you hear that?\Don't tell Haruto...\Would Tokishima Haruto suffer if he knew he killed Prime Minister Sashinami? response:	You two are so much alike.
context: That's an effective decision, coming from you.\Wait for me in front of the 2 track. I'll pick you up.\Understood. And tell Shoko something for me.\We're going to win, no matter what.\Did you hear that?\Don't tell Haruto...\Would Tokishima Haruto suffer if he knew he killed Prime Minister Sashinami?\You two are so much alike. response:	Bulkhead G-17 has been breached!
context: Wait for me in front of the 2 track. I'll pick you up.\Understood. And tell Shoko something for me.\We're going to win, no matter what.\Did you hear that?\Don't tell Haruto...\Would Tokishima Haruto suffer if he knew he killed Prime Minister Sashinami?\You two are so much alike.\Bulkhead G-17 has been breached! response:	Power feed to spaceport block is falling!
context: Understood. And tell Shoko something for me.\We're going to win, no matter what.\Did you hear that?\Don't tell Haruto...\Would Tokishima Haruto suffer if he knew he killed Prime Minister Sashinami?\You two are so much alike.\Bulkhead G-17 has been breached!\Power feed to spaceport block is falling! response:	Confirmation of drill launch by enemy forces that infiltrated the Pit!
context: We're going to win, no matter what.\Did you hear that?\Don't tell Haruto...\Would Tokishima Haruto suffer if he knew he killed Prime Minister Sashinami?\You two are so much alike.\Bulkhead G-17 has been breached!\Power feed to spaceport block is falling!\Confirmation of drill launch by enemy forces that infiltrated the Pit! response:	It will arrive at the school in 60 minutes!
context: Did you hear that?\Don't tell Haruto...\Would Tokishima Haruto suffer if he knew he killed Prime Minister Sashinami?\You two are so much alike.\Bulkhead G-17 has been breached!\Power feed to spaceport block is falling!\Confirmation of drill launch by enemy forces that infiltrated the Pit!\It will arrive at the school in 60 minutes! response:	Oh, no... My sister is in
context: Don't tell Haruto...\Would Tokishima Haruto suffer if he knew he killed Prime Minister Sashinami?\You two are so much alike.\Bulkhead G-17 has been breached!\Power feed to spaceport block is falling!\Confirmation of drill launch by enemy forces that infiltrated the Pit!\It will arrive at the school in 60 minutes!\Oh, no... My sister is in response:	That's a drill, isnt it?
context: Would Tokishima Haruto suffer if he knew he killed Prime Minister Sashinami?\You two are so much alike.\Bulkhead G-17 has been breached!\Power feed to spaceport block is falling!\Confirmation of drill launch by enemy forces that infiltrated the Pit!\It will arrive at the school in 60 minutes!\Oh, no... My sister is in\That's a drill, isnt it? response:	That doesn't look good...
context: You two are so much alike.\Bulkhead G-17 has been breached!\Power feed to spaceport block is falling!\Confirmation of drill launch by enemy forces that infiltrated the Pit!\It will arrive at the school in 60 minutes!\Oh, no... My sister is in\That's a drill, isnt it?\That doesn't look good... response:	It's climbing this way! Get clear, hurry!
context: Bulkhead G-17 has been breached!\Power feed to spaceport block is falling!\Confirmation of drill launch by enemy forces that infiltrated the Pit!\It will arrive at the school in 60 minutes!\Oh, no... My sister is in\That's a drill, isnt it?\That doesn't look good...\It's climbing this way! Get clear, hurry! response:	What's that?
context: Power feed to spaceport block is falling!\Confirmation of drill launch by enemy forces that infiltrated the Pit!\It will arrive at the school in 60 minutes!\Oh, no... My sister is in\That's a drill, isnt it?\That doesn't look good...\It's climbing this way! Get clear, hurry!\What's that? response:	Smoke?
context: Confirmation of drill launch by enemy forces that infiltrated the Pit!\It will arrive at the school in 60 minutes!\Oh, no... My sister is in\That's a drill, isnt it?\That doesn't look good...\It's climbing this way! Get clear, hurry!\What's that?\Smoke? response:	Something stings...
context: It will arrive at the school in 60 minutes!\Oh, no... My sister is in\That's a drill, isnt it?\That doesn't look good...\It's climbing this way! Get clear, hurry!\What's that?\Smoke?\Something stings... response:	Hirata?
context: Oh, no... My sister is in\That's a drill, isnt it?\That doesn't look good...\It's climbing this way! Get clear, hurry!\What's that?\Smoke?\Something stings...\Hirata? response:	Run! It's gas!
context: That's a drill, isnt it?\That doesn't look good...\It's climbing this way! Get clear, hurry!\What's that?\Smoke?\Something stings...\Hirata?\Run! It's gas! response:	Hurry, it's headed right for us!
context: That doesn't look good...\It's climbing this way! Get clear, hurry!\What's that?\Smoke?\Something stings...\Hirata?\Run! It's gas!\Hurry, it's headed right for us! response:	It's gas!
context: It's climbing this way! Get clear, hurry!\What's that?\Smoke?\Something stings...\Hirata?\Run! It's gas!\Hurry, it's headed right for us!\It's gas! response:	Hurry! Move to higher ground!
context: What's that?\Smoke?\Something stings...\Hirata?\Run! It's gas!\Hurry, it's headed right for us!\It's gas!\Hurry! Move to higher ground! response:	Bansho, run! It's not safe here!
context: Smoke?\Something stings...\Hirata?\Run! It's gas!\Hurry, it's headed right for us!\It's gas!\Hurry! Move to higher ground!\Bansho, run! It's not safe here! response:	Poison gas?!
context: Something stings...\Hirata?\Run! It's gas!\Hurry, it's headed right for us!\It's gas!\Hurry! Move to higher ground!\Bansho, run! It's not safe here!\Poison gas?! response:	Is that true?
context: Hirata?\Run! It's gas!\Hurry, it's headed right for us!\It's gas!\Hurry! Move to higher ground!\Bansho, run! It's not safe here!\Poison gas?!\Is that true? response:	Yes! If that drill reaches the surface, poison gas will spread through the whole Module!
context: Run! It's gas!\Hurry, it's headed right for us!\It's gas!\Hurry! Move to higher ground!\Bansho, run! It's not safe here!\Poison gas?!\Is that true?\Yes! If that drill reaches the surface, poison gas will spread through the whole Module! response:	We'll all die!
context: Hurry, it's headed right for us!\It's gas!\Hurry! Move to higher ground!\Bansho, run! It's not safe here!\Poison gas?!\Is that true?\Yes! If that drill reaches the surface, poison gas will spread through the whole Module!\We'll all die! response:	He's ignoring the New Guinea Treaty, is he?
context: It's gas!\Hurry! Move to higher ground!\Bansho, run! It's not safe here!\Poison gas?!\Is that true?\Yes! If that drill reaches the surface, poison gas will spread through the whole Module!\We'll all die!\He's ignoring the New Guinea Treaty, is he? response:	That's so like you, Cain, a man who puts results ahead of methods.
context: Hurry! Move to higher ground!\Bansho, run! It's not safe here!\Poison gas?!\Is that true?\Yes! If that drill reaches the surface, poison gas will spread through the whole Module!\We'll all die!\He's ignoring the New Guinea Treaty, is he?\That's so like you, Cain, a man who puts results ahead of methods. response:	You know him?
context: Bansho, run! It's not safe here!\Poison gas?!\Is that true?\Yes! If that drill reaches the surface, poison gas will spread through the whole Module!\We'll all die!\He's ignoring the New Guinea Treaty, is he?\That's so like you, Cain, a man who puts results ahead of methods.\You know him? response:	He's the hero who was awarded three Dorssian medals of valor.
context: Poison gas?!\Is that true?\Yes! If that drill reaches the surface, poison gas will spread through the whole Module!\We'll all die!\He's ignoring the New Guinea Treaty, is he?\That's so like you, Cain, a man who puts results ahead of methods.\You know him?\He's the hero who was awarded three Dorssian medals of valor. response:	He was the central figure of the reformation 12 years ago, the Chancellor's right-hand man.
context: Is that true?\Yes! If that drill reaches the surface, poison gas will spread through the whole Module!\We'll all die!\He's ignoring the New Guinea Treaty, is he?\That's so like you, Cain, a man who puts results ahead of methods.\You know him?\He's the hero who was awarded three Dorssian medals of valor.\He was the central figure of the reformation 12 years ago, the Chancellor's right-hand man. response:	As well as the man who tamed me.
context: Yes! If that drill reaches the surface, poison gas will spread through the whole Module!\We'll all die!\He's ignoring the New Guinea Treaty, is he?\That's so like you, Cain, a man who puts results ahead of methods.\You know him?\He's the hero who was awarded three Dorssian medals of valor.\He was the central figure of the reformation 12 years ago, the Chancellor's right-hand man.\As well as the man who tamed me. response:	You're a soldier, I take it?
context: We'll all die!\He's ignoring the New Guinea Treaty, is he?\That's so like you, Cain, a man who puts results ahead of methods.\You know him?\He's the hero who was awarded three Dorssian medals of valor.\He was the central figure of the reformation 12 years ago, the Chancellor's right-hand man.\As well as the man who tamed me.\You're a soldier, I take it? response:	Professor?
context: He's ignoring the New Guinea Treaty, is he?\That's so like you, Cain, a man who puts results ahead of methods.\You know him?\He's the hero who was awarded three Dorssian medals of valor.\He was the central figure of the reformation 12 years ago, the Chancellor's right-hand man.\As well as the man who tamed me.\You're a soldier, I take it?\Professor? response:	The wound in your left shoulder is from a gunshot. A.45 caliber frangible.
context: That's so like you, Cain, a man who puts results ahead of methods.\You know him?\He's the hero who was awarded three Dorssian medals of valor.\He was the central figure of the reformation 12 years ago, the Chancellor's right-hand man.\As well as the man who tamed me.\You're a soldier, I take it?\Professor?\The wound in your left shoulder is from a gunshot. A.45 caliber frangible. response:	The rough scar left from the suturing tells me that it was a battlefield patch job.
context: You know him?\He's the hero who was awarded three Dorssian medals of valor.\He was the central figure of the reformation 12 years ago, the Chancellor's right-hand man.\As well as the man who tamed me.\You're a soldier, I take it?\Professor?\The wound in your left shoulder is from a gunshot. A.45 caliber frangible.\The rough scar left from the suturing tells me that it was a battlefield patch job. response:	Judging from the cleanliness of your hands, you're either a military surgeon or a scientist.
context: He's the hero who was awarded three Dorssian medals of valor.\He was the central figure of the reformation 12 years ago, the Chancellor's right-hand man.\As well as the man who tamed me.\You're a soldier, I take it?\Professor?\The wound in your left shoulder is from a gunshot. A.45 caliber frangible.\The rough scar left from the suturing tells me that it was a battlefield patch job.\Judging from the cleanliness of your hands, you're either a military surgeon or a scientist. response:	We'll interrogate him separately.
context: He was the central figure of the reformation 12 years ago, the Chancellor's right-hand man.\As well as the man who tamed me.\You're a soldier, I take it?\Professor?\The wound in your left shoulder is from a gunshot. A.45 caliber frangible.\The rough scar left from the suturing tells me that it was a battlefield patch job.\Judging from the cleanliness of your hands, you're either a military surgeon or a scientist.\We'll interrogate him separately. response:	Add him to the list.
context: As well as the man who tamed me.\You're a soldier, I take it?\Professor?\The wound in your left shoulder is from a gunshot. A.45 caliber frangible.\The rough scar left from the suturing tells me that it was a battlefield patch job.\Judging from the cleanliness of your hands, you're either a military surgeon or a scientist.\We'll interrogate him separately.\Add him to the list. response:	Captain? Where are you going?
context: You're a soldier, I take it?\Professor?\The wound in your left shoulder is from a gunshot. A.45 caliber frangible.\The rough scar left from the suturing tells me that it was a battlefield patch job.\Judging from the cleanliness of your hands, you're either a military surgeon or a scientist.\We'll interrogate him separately.\Add him to the list.\Captain? Where are you going? response:	The graduation ceremony.
context: Professor?\The wound in your left shoulder is from a gunshot. A.45 caliber frangible.\The rough scar left from the suturing tells me that it was a battlefield patch job.\Judging from the cleanliness of your hands, you're either a military surgeon or a scientist.\We'll interrogate him separately.\Add him to the list.\Captain? Where are you going?\The graduation ceremony. response:	Professor?
context: The wound in your left shoulder is from a gunshot. A.45 caliber frangible.\The rough scar left from the suturing tells me that it was a battlefield patch job.\Judging from the cleanliness of your hands, you're either a military surgeon or a scientist.\We'll interrogate him separately.\Add him to the list.\Captain? Where are you going?\The graduation ceremony.\Professor? response:	Professor!
context: The rough scar left from the suturing tells me that it was a battlefield patch job.\Judging from the cleanliness of your hands, you're either a military surgeon or a scientist.\We'll interrogate him separately.\Add him to the list.\Captain? Where are you going?\The graduation ceremony.\Professor?\Professor! response:	Poison gas?! These bastards are fighting dirty!
context: Judging from the cleanliness of your hands, you're either a military surgeon or a scientist.\We'll interrogate him separately.\Add him to the list.\Captain? Where are you going?\The graduation ceremony.\Professor?\Professor!\Poison gas?! These bastards are fighting dirty! response:	If we don't do something, they'll be wiped out!
context: We'll interrogate him separately.\Add him to the list.\Captain? Where are you going?\The graduation ceremony.\Professor?\Professor!\Poison gas?! These bastards are fighting dirty!\If we don't do something, they'll be wiped out! response:	We have to stop that drill no matter what it takes!
context: Add him to the list.\Captain? Where are you going?\The graduation ceremony.\Professor?\Professor!\Poison gas?! These bastards are fighting dirty!\If we don't do something, they'll be wiped out!\We have to stop that drill no matter what it takes! response:	Let's head to the Pit's entrance!
context: Captain? Where are you going?\The graduation ceremony.\Professor?\Professor!\Poison gas?! These bastards are fighting dirty!\If we don't do something, they'll be wiped out!\We have to stop that drill no matter what it takes!\Let's head to the Pit's entrance! response:	I'll be our shield! Yamada, you're support!
context: The graduation ceremony.\Professor?\Professor!\Poison gas?! These bastards are fighting dirty!\If we don't do something, they'll be wiped out!\We have to stop that drill no matter what it takes!\Let's head to the Pit's entrance!\I'll be our shield! Yamada, you're support! response:	Rukino, you're our lead-off man!
context: Professor?\Professor!\Poison gas?! These bastards are fighting dirty!\If we don't do something, they'll be wiped out!\We have to stop that drill no matter what it takes!\Let's head to the Pit's entrance!\I'll be our shield! Yamada, you're support!\Rukino, you're our lead-off man! response:	Roger!
context: Professor!\Poison gas?! These bastards are fighting dirty!\If we don't do something, they'll be wiped out!\We have to stop that drill no matter what it takes!\Let's head to the Pit's entrance!\I'll be our shield! Yamada, you're support!\Rukino, you're our lead-off man!\Roger! response:	It's Thunder!
context: Poison gas?! These bastards are fighting dirty!\If we don't do something, they'll be wiped out!\We have to stop that drill no matter what it takes!\Let's head to the Pit's entrance!\I'll be our shield! Yamada, you're support!\Rukino, you're our lead-off man!\Roger!\It's Thunder! response:	Ha... Haru
context: If we don't do something, they'll be wiped out!\We have to stop that drill no matter what it takes!\Let's head to the Pit's entrance!\I'll be our shield! Yamada, you're support!\Rukino, you're our lead-off man!\Roger!\It's Thunder!\Ha... Haru response:	Hello? Sashinami? It's me, Renbokoji!
context: We have to stop that drill no matter what it takes!\Let's head to the Pit's entrance!\I'll be our shield! Yamada, you're support!\Rukino, you're our lead-off man!\Roger!\It's Thunder!\Ha... Haru\Hello? Sashinami? It's me, Renbokoji! response:	Please, save my sister! Save Akira!
context: Let's head to the Pit's entrance!\I'll be our shield! Yamada, you're support!\Rukino, you're our lead-off man!\Roger!\It's Thunder!\Ha... Haru\Hello? Sashinami? It's me, Renbokoji!\Please, save my sister! Save Akira! response:	The drill is headed right for the school.
context: I'll be our shield! Yamada, you're support!\Rukino, you're our lead-off man!\Roger!\It's Thunder!\Ha... Haru\Hello? Sashinami? It's me, Renbokoji!\Please, save my sister! Save Akira!\The drill is headed right for the school. response:	If we don't do something Akira will Please!
context: Rukino, you're our lead-off man!\Roger!\It's Thunder!\Ha... Haru\Hello? Sashinami? It's me, Renbokoji!\Please, save my sister! Save Akira!\The drill is headed right for the school.\If we don't do something Akira will Please! response:	Big brother...
context: Roger!\It's Thunder!\Ha... Haru\Hello? Sashinami? It's me, Renbokoji!\Please, save my sister! Save Akira!\The drill is headed right for the school.\If we don't do something Akira will Please!\Big brother... response:	She had a rough time at school a long time ago.
context: It's Thunder!\Ha... Haru\Hello? Sashinami? It's me, Renbokoji!\Please, save my sister! Save Akira!\The drill is headed right for the school.\If we don't do something Akira will Please!\Big brother...\She had a rough time at school a long time ago. response:	That's why she's scared of going outside.
context: Ha... Haru\Hello? Sashinami? It's me, Renbokoji!\Please, save my sister! Save Akira!\The drill is headed right for the school.\If we don't do something Akira will Please!\Big brother...\She had a rough time at school a long time ago.\That's why she's scared of going outside. response:	She hasn't answered any of my texts or calls.
context: Hello? Sashinami? It's me, Renbokoji!\Please, save my sister! Save Akira!\The drill is headed right for the school.\If we don't do something Akira will Please!\Big brother...\She had a rough time at school a long time ago.\That's why she's scared of going outside.\She hasn't answered any of my texts or calls. response:	Please, Sashinami!
context: Please, save my sister! Save Akira!\The drill is headed right for the school.\If we don't do something Akira will Please!\Big brother...\She had a rough time at school a long time ago.\That's why she's scared of going outside.\She hasn't answered any of my texts or calls.\Please, Sashinami! response:	You're the only person
context: The drill is headed right for the school.\If we don't do something Akira will Please!\Big brother...\She had a rough time at school a long time ago.\That's why she's scared of going outside.\She hasn't answered any of my texts or calls.\Please, Sashinami!\You're the only person response:	I don't want your help!
context: If we don't do something Akira will Please!\Big brother...\She had a rough time at school a long time ago.\That's why she's scared of going outside.\She hasn't answered any of my texts or calls.\Please, Sashinami!\You're the only person\I don't want your help! response:	Akira?
context: Big brother...\She had a rough time at school a long time ago.\That's why she's scared of going outside.\She hasn't answered any of my texts or calls.\Please, Sashinami!\You're the only person\I don't want your help!\Akira? response:	Akira-chan?
context: She had a rough time at school a long time ago.\That's why she's scared of going outside.\She hasn't answered any of my texts or calls.\Please, Sashinami!\You're the only person\I don't want your help!\Akira?\Akira-chan? response:	I'm not scared. I'm here because I love this place.
context: That's why she's scared of going outside.\She hasn't answered any of my texts or calls.\Please, Sashinami!\You're the only person\I don't want your help!\Akira?\Akira-chan?\I'm not scared. I'm here because I love this place. response:	There aren't any people that I hate here.
context: She hasn't answered any of my texts or calls.\Please, Sashinami!\You're the only person\I don't want your help!\Akira?\Akira-chan?\I'm not scared. I'm here because I love this place.\There aren't any people that I hate here. response:	Idiots are automatically weeded out.
context: Please, Sashinami!\You're the only person\I don't want your help!\Akira?\Akira-chan?\I'm not scared. I'm here because I love this place.\There aren't any people that I hate here.\Idiots are automatically weeded out. response:	It is clean and just and a world that's only mine!
context: You're the only person\I don't want your help!\Akira?\Akira-chan?\I'm not scared. I'm here because I love this place.\There aren't any people that I hate here.\Idiots are automatically weeded out.\It is clean and just and a world that's only mine! response:	Let them take Unit 1?
context: I don't want your help!\Akira?\Akira-chan?\I'm not scared. I'm here because I love this place.\There aren't any people that I hate here.\Idiots are automatically weeded out.\It is clean and just and a world that's only mine!\Let them take Unit 1? response:	A Trojan horse. We'll be hidden in the engine, and they'll take us right to the heart of their operation.
