context: There are likely no Titans among the 104th Cadet Corps recruits! response:	Multiple Titans from the south!
context: today marks the new darkest day in humanity's history!\If ever humankind needed to give its all, that time is now!\However...\What?!\They all started sprinting!\The cause of this crisis remains in the dark.\For now, no one yet knows.\I must say, what a clever idea. response:	I'm Home
context: If ever humankind needed to give its all, that time is now!\However...\What?!\They all started sprinting!\The cause of this crisis remains in the dark.\For now, no one yet knows.\I must say, what a clever idea.\I'm Home response:	Trost District
context: However...\What?!\They all started sprinting!\The cause of this crisis remains in the dark.\For now, no one yet knows.\I must say, what a clever idea.\I'm Home\Trost District response:	Commander Pyxis!
context: What?!\They all started sprinting!\The cause of this crisis remains in the dark.\For now, no one yet knows.\I must say, what a clever idea.\I'm Home\Trost District\Commander Pyxis! response:	Titans have been spotted!
context: They all started sprinting!\The cause of this crisis remains in the dark.\For now, no one yet knows.\I must say, what a clever idea.\I'm Home\Trost District\Commander Pyxis!\Titans have been spotted! response:	Wall Rose has been breached!
context: The cause of this crisis remains in the dark.\For now, no one yet knows.\I must say, what a clever idea.\I'm Home\Trost District\Commander Pyxis!\Titans have been spotted!\Wall Rose has been breached! response:	Hmm.
context: For now, no one yet knows.\I must say, what a clever idea.\I'm Home\Trost District\Commander Pyxis!\Titans have been spotted!\Wall Rose has been breached!\Hmm. response:	Stohess District
context: I must say, what a clever idea.\I'm Home\Trost District\Commander Pyxis!\Titans have been spotted!\Wall Rose has been breached!\Hmm.\Stohess District response:	What the hell does all this mean?
context: I'm Home\Trost District\Commander Pyxis!\Titans have been spotted!\Wall Rose has been breached!\Hmm.\Stohess District\What the hell does all this mean? response:	Damn it!
context: Trost District\Commander Pyxis!\Titans have been spotted!\Wall Rose has been breached!\Hmm.\Stohess District\What the hell does all this mean?\Damn it! response:	But...
context: Commander Pyxis!\Titans have been spotted!\Wall Rose has been breached!\Hmm.\Stohess District\What the hell does all this mean?\Damn it!\But... response:	Would Titans break walls with Titans in them?
context: Titans have been spotted!\Wall Rose has been breached!\Hmm.\Stohess District\What the hell does all this mean?\Damn it!\But...\Would Titans break walls with Titans in them? response:	It's happened before. They busted the wall into our city.
context: Wall Rose has been breached!\Hmm.\Stohess District\What the hell does all this mean?\Damn it!\But...\Would Titans break walls with Titans in them?\It's happened before. They busted the wall into our city. response:	That was a gate.
context: Hmm.\Stohess District\What the hell does all this mean?\Damn it!\But...\Would Titans break walls with Titans in them?\It's happened before. They busted the wall into our city.\That was a gate. response:	Armin? What are you saying?
context: Stohess District\What the hell does all this mean?\Damn it!\But...\Would Titans break walls with Titans in them?\It's happened before. They busted the wall into our city.\That was a gate.\Armin? What are you saying? response:	The thing about the walls...
context: What the hell does all this mean?\Damn it!\But...\Would Titans break walls with Titans in them?\It's happened before. They busted the wall into our city.\That was a gate.\Armin? What are you saying?\The thing about the walls... response:	There's no crevices between the rocks or any signs of cracking.
context: Damn it!\But...\Would Titans break walls with Titans in them?\It's happened before. They busted the wall into our city.\That was a gate.\Armin? What are you saying?\The thing about the walls...\There's no crevices between the rocks or any signs of cracking. response:	We can't really tell how they're made.
context: But...\Would Titans break walls with Titans in them?\It's happened before. They busted the wall into our city.\That was a gate.\Armin? What are you saying?\The thing about the walls...\There's no crevices between the rocks or any signs of cracking.\We can't really tell how they're made. response:	So what if they're made of hardened Titan skin?
context: Would Titans break walls with Titans in them?\It's happened before. They busted the wall into our city.\That was a gate.\Armin? What are you saying?\The thing about the walls...\There's no crevices between the rocks or any signs of cracking.\We can't really tell how they're made.\So what if they're made of hardened Titan skin? response:	It must be pretty versatile if Annie can encase herself.
context: It's happened before. They busted the wall into our city.\That was a gate.\Armin? What are you saying?\The thing about the walls...\There's no crevices between the rocks or any signs of cracking.\We can't really tell how they're made.\So what if they're made of hardened Titan skin?\It must be pretty versatile if Annie can encase herself. response:	Titans... in the wall...
context: That was a gate.\Armin? What are you saying?\The thing about the walls...\There's no crevices between the rocks or any signs of cracking.\We can't really tell how they're made.\So what if they're made of hardened Titan skin?\It must be pretty versatile if Annie can encase herself.\Titans... in the wall... response:	Section Commander! What are you doing?
context: Armin? What are you saying?\The thing about the walls...\There's no crevices between the rocks or any signs of cracking.\We can't really tell how they're made.\So what if they're made of hardened Titan skin?\It must be pretty versatile if Annie can encase herself.\Titans... in the wall...\Section Commander! What are you doing? response:	We're supposed to leave in 5 minutes!
context: The thing about the walls...\There's no crevices between the rocks or any signs of cracking.\We can't really tell how they're made.\So what if they're made of hardened Titan skin?\It must be pretty versatile if Annie can encase herself.\Titans... in the wall...\Section Commander! What are you doing?\We're supposed to leave in 5 minutes! response:	Please hurry up!
context: There's no crevices between the rocks or any signs of cracking.\We can't really tell how they're made.\So what if they're made of hardened Titan skin?\It must be pretty versatile if Annie can encase herself.\Titans... in the wall...\Section Commander! What are you doing?\We're supposed to leave in 5 minutes!\Please hurry up! response:	There's something I need to confirm-
context: We can't really tell how they're made.\So what if they're made of hardened Titan skin?\It must be pretty versatile if Annie can encase herself.\Titans... in the wall...\Section Commander! What are you doing?\We're supposed to leave in 5 minutes!\Please hurry up!\There's something I need to confirm- response:	Hey.
context: So what if they're made of hardened Titan skin?\It must be pretty versatile if Annie can encase herself.\Titans... in the wall...\Section Commander! What are you doing?\We're supposed to leave in 5 minutes!\Please hurry up!\There's something I need to confirm-\Hey. response:	Get moving.
context: It must be pretty versatile if Annie can encase herself.\Titans... in the wall...\Section Commander! What are you doing?\We're supposed to leave in 5 minutes!\Please hurry up!\There's something I need to confirm-\Hey.\Get moving. response:	Ah, sorry!
context: Titans... in the wall...\Section Commander! What are you doing?\We're supposed to leave in 5 minutes!\Please hurry up!\There's something I need to confirm-\Hey.\Get moving.\Ah, sorry! response:	What about him?
context: Section Commander! What are you doing?\We're supposed to leave in 5 minutes!\Please hurry up!\There's something I need to confirm-\Hey.\Get moving.\Ah, sorry!\What about him? response:	He's been ready for a while now.
context: We're supposed to leave in 5 minutes!\Please hurry up!\There's something I need to confirm-\Hey.\Get moving.\Ah, sorry!\What about him?\He's been ready for a while now. response:	Eren. Wear it right.
context: Please hurry up!\There's something I need to confirm-\Hey.\Get moving.\Ah, sorry!\What about him?\He's been ready for a while now.\Eren. Wear it right. response:	It's cold at night.
context: There's something I need to confirm-\Hey.\Get moving.\Ah, sorry!\What about him?\He's been ready for a while now.\Eren. Wear it right.\It's cold at night. response:	Sorry to keep ya!
context: Hey.\Get moving.\Ah, sorry!\What about him?\He's been ready for a while now.\Eren. Wear it right.\It's cold at night.\Sorry to keep ya! response:	Took longer to prepare than we thought.
context: Get moving.\Ah, sorry!\What about him?\He's been ready for a while now.\Eren. Wear it right.\It's cold at night.\Sorry to keep ya!\Took longer to prepare than we thought. response:	Um...
context: Ah, sorry!\What about him?\He's been ready for a while now.\Eren. Wear it right.\It's cold at night.\Sorry to keep ya!\Took longer to prepare than we thought.\Um... response:	Isn't this a priest from the Order of the Walls?
context: What about him?\He's been ready for a while now.\Eren. Wear it right.\It's cold at night.\Sorry to keep ya!\Took longer to prepare than we thought.\Um...\Isn't this a priest from the Order of the Walls? response:	Yeah. Nick and I are best buddies.
context: He's been ready for a while now.\Eren. Wear it right.\It's cold at night.\Sorry to keep ya!\Took longer to prepare than we thought.\Um...\Isn't this a priest from the Order of the Walls?\Yeah. Nick and I are best buddies. response:	Right?
context: Eren. Wear it right.\It's cold at night.\Sorry to keep ya!\Took longer to prepare than we thought.\Um...\Isn't this a priest from the Order of the Walls?\Yeah. Nick and I are best buddies.\Right? response:	Don't let him bother you.
context: It's cold at night.\Sorry to keep ya!\Took longer to prepare than we thought.\Um...\Isn't this a priest from the Order of the Walls?\Yeah. Nick and I are best buddies.\Right?\Don't let him bother you. response:	The whole makeup of this squad doesn't make any sense.
context: Sorry to keep ya!\Took longer to prepare than we thought.\Um...\Isn't this a priest from the Order of the Walls?\Yeah. Nick and I are best buddies.\Right?\Don't let him bother you.\The whole makeup of this squad doesn't make any sense. response:	Does it, Levi?
context: Took longer to prepare than we thought.\Um...\Isn't this a priest from the Order of the Walls?\Yeah. Nick and I are best buddies.\Right?\Don't let him bother you.\The whole makeup of this squad doesn't make any sense.\Does it, Levi? response:	No, I think it might.
context: Um...\Isn't this a priest from the Order of the Walls?\Yeah. Nick and I are best buddies.\Right?\Don't let him bother you.\The whole makeup of this squad doesn't make any sense.\Does it, Levi?\No, I think it might. response:	Erwin picked them out for a reason.
context: Isn't this a priest from the Order of the Walls?\Yeah. Nick and I are best buddies.\Right?\Don't let him bother you.\The whole makeup of this squad doesn't make any sense.\Does it, Levi?\No, I think it might.\Erwin picked them out for a reason. response:	Open the gate!
context: Yeah. Nick and I are best buddies.\Right?\Don't let him bother you.\The whole makeup of this squad doesn't make any sense.\Does it, Levi?\No, I think it might.\Erwin picked them out for a reason.\Open the gate! response:	The situation within Wall Rose is unclear.
context: Right?\Don't let him bother you.\The whole makeup of this squad doesn't make any sense.\Does it, Levi?\No, I think it might.\Erwin picked them out for a reason.\Open the gate!\The situation within Wall Rose is unclear. response:	But everything up until Ehrmich is safe.
context: Don't let him bother you.\The whole makeup of this squad doesn't make any sense.\Does it, Levi?\No, I think it might.\Erwin picked them out for a reason.\Open the gate!\The situation within Wall Rose is unclear.\But everything up until Ehrmich is safe. response:	We'll save time going through there.
context: The whole makeup of this squad doesn't make any sense.\Does it, Levi?\No, I think it might.\Erwin picked them out for a reason.\Open the gate!\The situation within Wall Rose is unclear.\But everything up until Ehrmich is safe.\We'll save time going through there. response:	Move out!
context: Does it, Levi?\No, I think it might.\Erwin picked them out for a reason.\Open the gate!\The situation within Wall Rose is unclear.\But everything up until Ehrmich is safe.\We'll save time going through there.\Move out! response:	Yes, sir!
context: No, I think it might.\Erwin picked them out for a reason.\Open the gate!\The situation within Wall Rose is unclear.\But everything up until Ehrmich is safe.\We'll save time going through there.\Move out!\Yes, sir! response:	Take us out.
context: Erwin picked them out for a reason.\Open the gate!\The situation within Wall Rose is unclear.\But everything up until Ehrmich is safe.\We'll save time going through there.\Move out!\Yes, sir!\Take us out. response:	Yes, sir!
context: Open the gate!\The situation within Wall Rose is unclear.\But everything up until Ehrmich is safe.\We'll save time going through there.\Move out!\Yes, sir!\Take us out.\Yes, sir! response:	This whole time, Titans have been protecting us from Titans.
context: The situation within Wall Rose is unclear.\But everything up until Ehrmich is safe.\We'll save time going through there.\Move out!\Yes, sir!\Take us out.\Yes, sir!\This whole time, Titans have been protecting us from Titans. response:	Huh? He knew?
context: But everything up until Ehrmich is safe.\We'll save time going through there.\Move out!\Yes, sir!\Take us out.\Yes, sir!\This whole time, Titans have been protecting us from Titans.\Huh? He knew? response:	There's Titans inside the walls and he's known about it?!
context: We'll save time going through there.\Move out!\Yes, sir!\Take us out.\Yes, sir!\This whole time, Titans have been protecting us from Titans.\Huh? He knew?\There's Titans inside the walls and he's known about it?! response:	Yes, though...
context: Move out!\Yes, sir!\Take us out.\Yes, sir!\This whole time, Titans have been protecting us from Titans.\Huh? He knew?\There's Titans inside the walls and he's known about it?!\Yes, though... response:	But now he's coming with us to witness the harsh reality.
context: Yes, sir!\Take us out.\Yes, sir!\This whole time, Titans have been protecting us from Titans.\Huh? He knew?\There's Titans inside the walls and he's known about it?!\Yes, though...\But now he's coming with us to witness the harsh reality. response:	Will his beliefs be strong enough for him to stay silent?
context: Take us out.\Yes, sir!\This whole time, Titans have been protecting us from Titans.\Huh? He knew?\There's Titans inside the walls and he's known about it?!\Yes, though...\But now he's coming with us to witness the harsh reality.\Will his beliefs be strong enough for him to stay silent? response:	Or will seeing it with his own eyes make him question himself?
context: Yes, sir!\This whole time, Titans have been protecting us from Titans.\Huh? He knew?\There's Titans inside the walls and he's known about it?!\Yes, though...\But now he's coming with us to witness the harsh reality.\Will his beliefs be strong enough for him to stay silent?\Or will seeing it with his own eyes make him question himself? response:	No, no, no, no! This is all backwards!
context: This whole time, Titans have been protecting us from Titans.\Huh? He knew?\There's Titans inside the walls and he's known about it?!\Yes, though...\But now he's coming with us to witness the harsh reality.\Will his beliefs be strong enough for him to stay silent?\Or will seeing it with his own eyes make him question himself?\No, no, no, no! This is all backwards! response:	If there's something you know, tell us about it!
context: Huh? He knew?\There's Titans inside the walls and he's known about it?!\Yes, though...\But now he's coming with us to witness the harsh reality.\Will his beliefs be strong enough for him to stay silent?\Or will seeing it with his own eyes make him question himself?\No, no, no, no! This is all backwards!\If there's something you know, tell us about it! response:	Nothing's more important than keeping humans from going extinct!
context: There's Titans inside the walls and he's known about it?!\Yes, though...\But now he's coming with us to witness the harsh reality.\Will his beliefs be strong enough for him to stay silent?\Or will seeing it with his own eyes make him question himself?\No, no, no, no! This is all backwards!\If there's something you know, tell us about it!\Nothing's more important than keeping humans from going extinct! response:	Eren, settle down.
context: Yes, though...\But now he's coming with us to witness the harsh reality.\Will his beliefs be strong enough for him to stay silent?\Or will seeing it with his own eyes make him question himself?\No, no, no, no! This is all backwards!\If there's something you know, tell us about it!\Nothing's more important than keeping humans from going extinct!\Eren, settle down. response:	You're still not fully healed.
context: But now he's coming with us to witness the harsh reality.\Will his beliefs be strong enough for him to stay silent?\Or will seeing it with his own eyes make him question himself?\No, no, no, no! This is all backwards!\If there's something you know, tell us about it!\Nothing's more important than keeping humans from going extinct!\Eren, settle down.\You're still not fully healed. response:	There's more than one way to get answers.
context: Will his beliefs be strong enough for him to stay silent?\Or will seeing it with his own eyes make him question himself?\No, no, no, no! This is all backwards!\If there's something you know, tell us about it!\Nothing's more important than keeping humans from going extinct!\Eren, settle down.\You're still not fully healed.\There's more than one way to get answers. response:	I may be injured and useless right now, but it doesn't take much to watch one man.
context: Or will seeing it with his own eyes make him question himself?\No, no, no, no! This is all backwards!\If there's something you know, tell us about it!\Nothing's more important than keeping humans from going extinct!\Eren, settle down.\You're still not fully healed.\There's more than one way to get answers.\I may be injured and useless right now, but it doesn't take much to watch one man. response:	I'm hoping we can settle this without blasting a hole in anyone.
context: No, no, no, no! This is all backwards!\If there's something you know, tell us about it!\Nothing's more important than keeping humans from going extinct!\Eren, settle down.\You're still not fully healed.\There's more than one way to get answers.\I may be injured and useless right now, but it doesn't take much to watch one man.\I'm hoping we can settle this without blasting a hole in anyone. response:	Aren't you?
context: If there's something you know, tell us about it!\Nothing's more important than keeping humans from going extinct!\Eren, settle down.\You're still not fully healed.\There's more than one way to get answers.\I may be injured and useless right now, but it doesn't take much to watch one man.\I'm hoping we can settle this without blasting a hole in anyone.\Aren't you? response:	Threatening him doesn't work, Levi.
context: Nothing's more important than keeping humans from going extinct!\Eren, settle down.\You're still not fully healed.\There's more than one way to get answers.\I may be injured and useless right now, but it doesn't take much to watch one man.\I'm hoping we can settle this without blasting a hole in anyone.\Aren't you?\Threatening him doesn't work, Levi. response:	Believe me, I've tried.
context: Eren, settle down.\You're still not fully healed.\There's more than one way to get answers.\I may be injured and useless right now, but it doesn't take much to watch one man.\I'm hoping we can settle this without blasting a hole in anyone.\Aren't you?\Threatening him doesn't work, Levi.\Believe me, I've tried. response:	It seems to me that this priest is capable of sound judgment.
context: You're still not fully healed.\There's more than one way to get answers.\I may be injured and useless right now, but it doesn't take much to watch one man.\I'm hoping we can settle this without blasting a hole in anyone.\Aren't you?\Threatening him doesn't work, Levi.\Believe me, I've tried.\It seems to me that this priest is capable of sound judgment. response:	That's why I wonder...
context: There's more than one way to get answers.\I may be injured and useless right now, but it doesn't take much to watch one man.\I'm hoping we can settle this without blasting a hole in anyone.\Aren't you?\Threatening him doesn't work, Levi.\Believe me, I've tried.\It seems to me that this priest is capable of sound judgment.\That's why I wonder... response:	What if the reason he doesn't talk
context: I may be injured and useless right now, but it doesn't take much to watch one man.\I'm hoping we can settle this without blasting a hole in anyone.\Aren't you?\Threatening him doesn't work, Levi.\Believe me, I've tried.\It seems to me that this priest is capable of sound judgment.\That's why I wonder...\What if the reason he doesn't talk response:	is because he knows something more important than the fate of humanity?
context: I'm hoping we can settle this without blasting a hole in anyone.\Aren't you?\Threatening him doesn't work, Levi.\Believe me, I've tried.\It seems to me that this priest is capable of sound judgment.\That's why I wonder...\What if the reason he doesn't talk\is because he knows something more important than the fate of humanity? response:	See that? It's the village!
context: Aren't you?\Threatening him doesn't work, Levi.\Believe me, I've tried.\It seems to me that this priest is capable of sound judgment.\That's why I wonder...\What if the reason he doesn't talk\is because he knows something more important than the fate of humanity?\See that? It's the village! response:	Is that the last one?
context: Threatening him doesn't work, Levi.\Believe me, I've tried.\It seems to me that this priest is capable of sound judgment.\That's why I wonder...\What if the reason he doesn't talk\is because he knows something more important than the fate of humanity?\See that? It's the village!\Is that the last one? response:	No! My village is deep in the forest!
context: Believe me, I've tried.\It seems to me that this priest is capable of sound judgment.\That's why I wonder...\What if the reason he doesn't talk\is because he knows something more important than the fate of humanity?\See that? It's the village!\Is that the last one?\No! My village is deep in the forest! response:	I'll go there alone!
context: It seems to me that this priest is capable of sound judgment.\That's why I wonder...\What if the reason he doesn't talk\is because he knows something more important than the fate of humanity?\See that? It's the village!\Is that the last one?\No! My village is deep in the forest!\I'll go there alone! response:	All right!
context: That's why I wonder...\What if the reason he doesn't talk\is because he knows something more important than the fate of humanity?\See that? It's the village!\Is that the last one?\No! My village is deep in the forest!\I'll go there alone!\All right! response:	Leave this village to me!
context: What if the reason he doesn't talk\is because he knows something more important than the fate of humanity?\See that? It's the village!\Is that the last one?\No! My village is deep in the forest!\I'll go there alone!\All right!\Leave this village to me! response:	Got it!
context: is because he knows something more important than the fate of humanity?\See that? It's the village!\Is that the last one?\No! My village is deep in the forest!\I'll go there alone!\All right!\Leave this village to me!\Got it! response:	Hey! Quit it, Sasha!
context: See that? It's the village!\Is that the last one?\No! My village is deep in the forest!\I'll go there alone!\All right!\Leave this village to me!\Got it!\Hey! Quit it, Sasha! response:	Sasha! You been nabbing snacks again?!
context: Is that the last one?\No! My village is deep in the forest!\I'll go there alone!\All right!\Leave this village to me!\Got it!\Hey! Quit it, Sasha!\Sasha! You been nabbing snacks again?! response:	Stop! Spit it out!
context: No! My village is deep in the forest!\I'll go there alone!\All right!\Leave this village to me!\Got it!\Hey! Quit it, Sasha!\Sasha! You been nabbing snacks again?!\Stop! Spit it out! response:	Get it out of yer mouth!
context: I'll go there alone!\All right!\Leave this village to me!\Got it!\Hey! Quit it, Sasha!\Sasha! You been nabbing snacks again?!\Stop! Spit it out!\Get it out of yer mouth! response:	We fixin' to smoke that for winter, ya moron!
context: All right!\Leave this village to me!\Got it!\Hey! Quit it, Sasha!\Sasha! You been nabbing snacks again?!\Stop! Spit it out!\Get it out of yer mouth!\We fixin' to smoke that for winter, ya moron! response:	You damn dumb girl!
context: Leave this village to me!\Got it!\Hey! Quit it, Sasha!\Sasha! You been nabbing snacks again?!\Stop! Spit it out!\Get it out of yer mouth!\We fixin' to smoke that for winter, ya moron!\You damn dumb girl! response:	Fine!
context: Got it!\Hey! Quit it, Sasha!\Sasha! You been nabbing snacks again?!\Stop! Spit it out!\Get it out of yer mouth!\We fixin' to smoke that for winter, ya moron!\You damn dumb girl!\Fine! response:	Have it yer way.
context: Hey! Quit it, Sasha!\Sasha! You been nabbing snacks again?!\Stop! Spit it out!\Get it out of yer mouth!\We fixin' to smoke that for winter, ya moron!\You damn dumb girl!\Fine!\Have it yer way. response:	Dagnabbit.
context: Sasha! You been nabbing snacks again?!\Stop! Spit it out!\Get it out of yer mouth!\We fixin' to smoke that for winter, ya moron!\You damn dumb girl!\Fine!\Have it yer way.\Dagnabbit. response:	Sasha.
context: Stop! Spit it out!\Get it out of yer mouth!\We fixin' to smoke that for winter, ya moron!\You damn dumb girl!\Fine!\Have it yer way.\Dagnabbit.\Sasha. response:	Have you asked yerself why the world is a-changing?
context: Get it out of yer mouth!\We fixin' to smoke that for winter, ya moron!\You damn dumb girl!\Fine!\Have it yer way.\Dagnabbit.\Sasha.\Have you asked yerself why the world is a-changing? response:	Why these past few years the forest be shrinkin' and game harder to find?
context: We fixin' to smoke that for winter, ya moron!\You damn dumb girl!\Fine!\Have it yer way.\Dagnabbit.\Sasha.\Have you asked yerself why the world is a-changing?\Why these past few years the forest be shrinkin' and game harder to find? response:	Have you ever thunk about it?
context: You damn dumb girl!\Fine!\Have it yer way.\Dagnabbit.\Sasha.\Have you asked yerself why the world is a-changing?\Why these past few years the forest be shrinkin' and game harder to find?\Have you ever thunk about it? response:	It's'cause more people be comin' and taking food and game from the forest.
context: Fine!\Have it yer way.\Dagnabbit.\Sasha.\Have you asked yerself why the world is a-changing?\Why these past few years the forest be shrinkin' and game harder to find?\Have you ever thunk about it?\It's'cause more people be comin' and taking food and game from the forest. response:	That's why I'm hungry.
context: Have it yer way.\Dagnabbit.\Sasha.\Have you asked yerself why the world is a-changing?\Why these past few years the forest be shrinkin' and game harder to find?\Have you ever thunk about it?\It's'cause more people be comin' and taking food and game from the forest.\That's why I'm hungry. response:	That's true.
context: Dagnabbit.\Sasha.\Have you asked yerself why the world is a-changing?\Why these past few years the forest be shrinkin' and game harder to find?\Have you ever thunk about it?\It's'cause more people be comin' and taking food and game from the forest.\That's why I'm hungry.\That's true. response:	But, hey...
context: Sasha.\Have you asked yerself why the world is a-changing?\Why these past few years the forest be shrinkin' and game harder to find?\Have you ever thunk about it?\It's'cause more people be comin' and taking food and game from the forest.\That's why I'm hungry.\That's true.\But, hey... response:	They lost their homes and got no place to go. They got no other choice.
context: Have you asked yerself why the world is a-changing?\Why these past few years the forest be shrinkin' and game harder to find?\Have you ever thunk about it?\It's'cause more people be comin' and taking food and game from the forest.\That's why I'm hungry.\That's true.\But, hey...\They lost their homes and got no place to go. They got no other choice. response:	Their fault for losing it.
context: Why these past few years the forest be shrinkin' and game harder to find?\Have you ever thunk about it?\It's'cause more people be comin' and taking food and game from the forest.\That's why I'm hungry.\That's true.\But, hey...\They lost their homes and got no place to go. They got no other choice.\Their fault for losing it. response:	They oughta leave ours.
context: Have you ever thunk about it?\It's'cause more people be comin' and taking food and game from the forest.\That's why I'm hungry.\That's true.\But, hey...\They lost their homes and got no place to go. They got no other choice.\Their fault for losing it.\They oughta leave ours. response:	Titans took it from'em.
context: It's'cause more people be comin' and taking food and game from the forest.\That's why I'm hungry.\That's true.\But, hey...\They lost their homes and got no place to go. They got no other choice.\Their fault for losing it.\They oughta leave ours.\Titans took it from'em. response:	They knocked a hole straight through Wall Maria. Where else can they go?
context: That's why I'm hungry.\That's true.\But, hey...\They lost their homes and got no place to go. They got no other choice.\Their fault for losing it.\They oughta leave ours.\Titans took it from'em.\They knocked a hole straight through Wall Maria. Where else can they go? response:	You can feed a hell of a lot more people by clearin' the forest and plantin' grain.
context: That's true.\But, hey...\They lost their homes and got no place to go. They got no other choice.\Their fault for losing it.\They oughta leave ours.\Titans took it from'em.\They knocked a hole straight through Wall Maria. Where else can they go?\You can feed a hell of a lot more people by clearin' the forest and plantin' grain. response:	Maybe it's time for our family to let go of the forest and give up huntin' for good.
context: But, hey...\They lost their homes and got no place to go. They got no other choice.\Their fault for losing it.\They oughta leave ours.\Titans took it from'em.\They knocked a hole straight through Wall Maria. Where else can they go?\You can feed a hell of a lot more people by clearin' the forest and plantin' grain.\Maybe it's time for our family to let go of the forest and give up huntin' for good. response:	The government said they would pay us.
context: They lost their homes and got no place to go. They got no other choice.\Their fault for losing it.\They oughta leave ours.\Titans took it from'em.\They knocked a hole straight through Wall Maria. Where else can they go?\You can feed a hell of a lot more people by clearin' the forest and plantin' grain.\Maybe it's time for our family to let go of the forest and give up huntin' for good.\The government said they would pay us. response:	Every horse that we raise is money in our pockets.
context: Their fault for losing it.\They oughta leave ours.\Titans took it from'em.\They knocked a hole straight through Wall Maria. Where else can they go?\You can feed a hell of a lot more people by clearin' the forest and plantin' grain.\Maybe it's time for our family to let go of the forest and give up huntin' for good.\The government said they would pay us.\Every horse that we raise is money in our pockets. response:	You gotta be kidding!
context: They oughta leave ours.\Titans took it from'em.\They knocked a hole straight through Wall Maria. Where else can they go?\You can feed a hell of a lot more people by clearin' the forest and plantin' grain.\Maybe it's time for our family to let go of the forest and give up huntin' for good.\The government said they would pay us.\Every horse that we raise is money in our pockets.\You gotta be kidding! response:	If we give up huntin', we be givin' up who we are!
context: Titans took it from'em.\They knocked a hole straight through Wall Maria. Where else can they go?\You can feed a hell of a lot more people by clearin' the forest and plantin' grain.\Maybe it's time for our family to let go of the forest and give up huntin' for good.\The government said they would pay us.\Every horse that we raise is money in our pockets.\You gotta be kidding!\If we give up huntin', we be givin' up who we are! response:	Why should we give a hoot about the people who make fun of our lifestyle?
