context: It's the battle part of day four of the Grand Magic Games! response:	Due to the disqualification of Raven Tail,
context: Dragon Slayers, like Natsu and Gajeel...\But their magic is still an unknown...\Well, let's see what happens...\I think they're done testing each other.\From here on in, they're going to get serious, so let's really cheer them on!\It's over, garbage guild.\Sting...\Yeah... response:	Alright, the silent face-off continues...
context: But their magic is still an unknown...\Well, let's see what happens...\I think they're done testing each other.\From here on in, they're going to get serious, so let's really cheer them on!\It's over, garbage guild.\Sting...\Yeah...\Alright, the silent face-off continues... response:	Which side will make the first move?!
context: Well, let's see what happens...\I think they're done testing each other.\From here on in, they're going to get serious, so let's really cheer them on!\It's over, garbage guild.\Sting...\Yeah...\Alright, the silent face-off continues...\Which side will make the first move?! response:	Sabertooth's Sting makes his move!
context: I think they're done testing each other.\From here on in, they're going to get serious, so let's really cheer them on!\It's over, garbage guild.\Sting...\Yeah...\Alright, the silent face-off continues...\Which side will make the first move?!\Sabertooth's Sting makes his move! response:	Fairy Tail's Natsu held it back!
context: From here on in, they're going to get serious, so let's really cheer them on!\It's over, garbage guild.\Sting...\Yeah...\Alright, the silent face-off continues...\Which side will make the first move?!\Sabertooth's Sting makes his move!\Fairy Tail's Natsu held it back! response:	Receive Holy White Judgment!
context: It's over, garbage guild.\Sting...\Yeah...\Alright, the silent face-off continues...\Which side will make the first move?!\Sabertooth's Sting makes his move!\Fairy Tail's Natsu held it back!\Receive Holy White Judgment! response:	Salamander!
context: Sting...\Yeah...\Alright, the silent face-off continues...\Which side will make the first move?!\Sabertooth's Sting makes his move!\Fairy Tail's Natsu held it back!\Receive Holy White Judgment!\Salamander! response:	Oh, my! It looks like Fairy Tail's Gajeel is at the mercy of Rogue's Shadow Drive!
context: Yeah...\Alright, the silent face-off continues...\Which side will make the first move?!\Sabertooth's Sting makes his move!\Fairy Tail's Natsu held it back!\Receive Holy White Judgment!\Salamander!\Oh, my! It looks like Fairy Tail's Gajeel is at the mercy of Rogue's Shadow Drive! response:	You can't get ahold of shadows.
context: Alright, the silent face-off continues...\Which side will make the first move?!\Sabertooth's Sting makes his move!\Fairy Tail's Natsu held it back!\Receive Holy White Judgment!\Salamander!\Oh, my! It looks like Fairy Tail's Gajeel is at the mercy of Rogue's Shadow Drive!\You can't get ahold of shadows. response:	Take this!
context: Which side will make the first move?!\Sabertooth's Sting makes his move!\Fairy Tail's Natsu held it back!\Receive Holy White Judgment!\Salamander!\Oh, my! It looks like Fairy Tail's Gajeel is at the mercy of Rogue's Shadow Drive!\You can't get ahold of shadows.\Take this! response:	Don't get in my way!
context: Sabertooth's Sting makes his move!\Fairy Tail's Natsu held it back!\Receive Holy White Judgment!\Salamander!\Oh, my! It looks like Fairy Tail's Gajeel is at the mercy of Rogue's Shadow Drive!\You can't get ahold of shadows.\Take this!\Don't get in my way! response:	Squabbling in the middle of a match?! You guys sure have confidence!
context: Fairy Tail's Natsu held it back!\Receive Holy White Judgment!\Salamander!\Oh, my! It looks like Fairy Tail's Gajeel is at the mercy of Rogue's Shadow Drive!\You can't get ahold of shadows.\Take this!\Don't get in my way!\Squabbling in the middle of a match?! You guys sure have confidence! response:	Their power has suddenly increased.
context: Receive Holy White Judgment!\Salamander!\Oh, my! It looks like Fairy Tail's Gajeel is at the mercy of Rogue's Shadow Drive!\You can't get ahold of shadows.\Take this!\Don't get in my way!\Squabbling in the middle of a match?! You guys sure have confidence!\Their power has suddenly increased. response:	Is that a kind of Dragon Slayer Magic?
context: Salamander!\Oh, my! It looks like Fairy Tail's Gajeel is at the mercy of Rogue's Shadow Drive!\You can't get ahold of shadows.\Take this!\Don't get in my way!\Squabbling in the middle of a match?! You guys sure have confidence!\Their power has suddenly increased.\Is that a kind of Dragon Slayer Magic? response:	Take care of business, Natsu!
context: Oh, my! It looks like Fairy Tail's Gajeel is at the mercy of Rogue's Shadow Drive!\You can't get ahold of shadows.\Take this!\Don't get in my way!\Squabbling in the middle of a match?! You guys sure have confidence!\Their power has suddenly increased.\Is that a kind of Dragon Slayer Magic?\Take care of business, Natsu! response:	What the hell?! You've gotten faster for some reason...
context: You can't get ahold of shadows.\Take this!\Don't get in my way!\Squabbling in the middle of a match?! You guys sure have confidence!\Their power has suddenly increased.\Is that a kind of Dragon Slayer Magic?\Take care of business, Natsu!\What the hell?! You've gotten faster for some reason... response:	Come on, come on, Natsu-san! You call that defense?!
context: Take this!\Don't get in my way!\Squabbling in the middle of a match?! You guys sure have confidence!\Their power has suddenly increased.\Is that a kind of Dragon Slayer Magic?\Take care of business, Natsu!\What the hell?! You've gotten faster for some reason...\Come on, come on, Natsu-san! You call that defense?! response:	What on Earthland...?
context: Don't get in my way!\Squabbling in the middle of a match?! You guys sure have confidence!\Their power has suddenly increased.\Is that a kind of Dragon Slayer Magic?\Take care of business, Natsu!\What the hell?! You've gotten faster for some reason...\Come on, come on, Natsu-san! You call that defense?!\What on Earthland...? response:	It's a magic amplification technique.
context: Squabbling in the middle of a match?! You guys sure have confidence!\Their power has suddenly increased.\Is that a kind of Dragon Slayer Magic?\Take care of business, Natsu!\What the hell?! You've gotten faster for some reason...\Come on, come on, Natsu-san! You call that defense?!\What on Earthland...?\It's a magic amplification technique. response:	On top of that, their combination skills are seamless.
context: Their power has suddenly increased.\Is that a kind of Dragon Slayer Magic?\Take care of business, Natsu!\What the hell?! You've gotten faster for some reason...\Come on, come on, Natsu-san! You call that defense?!\What on Earthland...?\It's a magic amplification technique.\On top of that, their combination skills are seamless. response:	This isn't as thrilling as I thought it'd be.
context: Is that a kind of Dragon Slayer Magic?\Take care of business, Natsu!\What the hell?! You've gotten faster for some reason...\Come on, come on, Natsu-san! You call that defense?!\What on Earthland...?\It's a magic amplification technique.\On top of that, their combination skills are seamless.\This isn't as thrilling as I thought it'd be. response:	Compared to those two, it seems Fairy Tail's duo aren't in sync with each other.
context: Take care of business, Natsu!\What the hell?! You've gotten faster for some reason...\Come on, come on, Natsu-san! You call that defense?!\What on Earthland...?\It's a magic amplification technique.\On top of that, their combination skills are seamless.\This isn't as thrilling as I thought it'd be.\Compared to those two, it seems Fairy Tail's duo aren't in sync with each other. response:	Go! You're in your assured victory pattern!
context: What the hell?! You've gotten faster for some reason...\Come on, come on, Natsu-san! You call that defense?!\What on Earthland...?\It's a magic amplification technique.\On top of that, their combination skills are seamless.\This isn't as thrilling as I thought it'd be.\Compared to those two, it seems Fairy Tail's duo aren't in sync with each other.\Go! You're in your assured victory pattern! response:	Fro thinks so, too!
context: Come on, come on, Natsu-san! You call that defense?!\What on Earthland...?\It's a magic amplification technique.\On top of that, their combination skills are seamless.\This isn't as thrilling as I thought it'd be.\Compared to those two, it seems Fairy Tail's duo aren't in sync with each other.\Go! You're in your assured victory pattern!\Fro thinks so, too! response:	Four Dragons!
context: What on Earthland...?\It's a magic amplification technique.\On top of that, their combination skills are seamless.\This isn't as thrilling as I thought it'd be.\Compared to those two, it seems Fairy Tail's duo aren't in sync with each other.\Go! You're in your assured victory pattern!\Fro thinks so, too!\Four Dragons! response:	Sabertooth!
context: It's a magic amplification technique.\On top of that, their combination skills are seamless.\This isn't as thrilling as I thought it'd be.\Compared to those two, it seems Fairy Tail's duo aren't in sync with each other.\Go! You're in your assured victory pattern!\Fro thinks so, too!\Four Dragons!\Sabertooth! response:	The tone of the crowd's cheering has changed.
context: On top of that, their combination skills are seamless.\This isn't as thrilling as I thought it'd be.\Compared to those two, it seems Fairy Tail's duo aren't in sync with each other.\Go! You're in your assured victory pattern!\Fro thinks so, too!\Four Dragons!\Sabertooth!\The tone of the crowd's cheering has changed. response:	Natsu-san and Gajeel-san...
context: This isn't as thrilling as I thought it'd be.\Compared to those two, it seems Fairy Tail's duo aren't in sync with each other.\Go! You're in your assured victory pattern!\Fro thinks so, too!\Four Dragons!\Sabertooth!\The tone of the crowd's cheering has changed.\Natsu-san and Gajeel-san... response:	It's only just begun. There's no need to be so anxious.
context: Compared to those two, it seems Fairy Tail's duo aren't in sync with each other.\Go! You're in your assured victory pattern!\Fro thinks so, too!\Four Dragons!\Sabertooth!\The tone of the crowd's cheering has changed.\Natsu-san and Gajeel-san...\It's only just begun. There's no need to be so anxious. response:	I admired you for the longest time!
context: Go! You're in your assured victory pattern!\Fro thinks so, too!\Four Dragons!\Sabertooth!\The tone of the crowd's cheering has changed.\Natsu-san and Gajeel-san...\It's only just begun. There's no need to be so anxious.\I admired you for the longest time! response:	And then I set my sights on surpassing you!
context: Fro thinks so, too!\Four Dragons!\Sabertooth!\The tone of the crowd's cheering has changed.\Natsu-san and Gajeel-san...\It's only just begun. There's no need to be so anxious.\I admired you for the longest time!\And then I set my sights on surpassing you! response:	Now is that time!
context: Four Dragons!\Sabertooth!\The tone of the crowd's cheering has changed.\Natsu-san and Gajeel-san...\It's only just begun. There's no need to be so anxious.\I admired you for the longest time!\And then I set my sights on surpassing you!\Now is that time! response:	Natsu!
context: Sabertooth!\The tone of the crowd's cheering has changed.\Natsu-san and Gajeel-san...\It's only just begun. There's no need to be so anxious.\I admired you for the longest time!\And then I set my sights on surpassing you!\Now is that time!\Natsu! response:	That attack just now...
context: The tone of the crowd's cheering has changed.\Natsu-san and Gajeel-san...\It's only just begun. There's no need to be so anxious.\I admired you for the longest time!\And then I set my sights on surpassing you!\Now is that time!\Natsu!\That attack just now... response:	There's something different about it compared to previous attacks.
context: Natsu-san and Gajeel-san...\It's only just begun. There's no need to be so anxious.\I admired you for the longest time!\And then I set my sights on surpassing you!\Now is that time!\Natsu!\That attack just now...\There's something different about it compared to previous attacks. response:	What do you mean?
context: It's only just begun. There's no need to be so anxious.\I admired you for the longest time!\And then I set my sights on surpassing you!\Now is that time!\Natsu!\That attack just now...\There's something different about it compared to previous attacks.\What do you mean? response:	And what the hell is that?! It looks like a Magic Circle...
context: I admired you for the longest time!\And then I set my sights on surpassing you!\Now is that time!\Natsu!\That attack just now...\There's something different about it compared to previous attacks.\What do you mean?\And what the hell is that?! It looks like a Magic Circle... response:	C-Can't...
context: And then I set my sights on surpassing you!\Now is that time!\Natsu!\That attack just now...\There's something different about it compared to previous attacks.\What do you mean?\And what the hell is that?! It looks like a Magic Circle...\C-Can't... response:	The Claw of the White Dragon is a holy attack.
context: Now is that time!\Natsu!\That attack just now...\There's something different about it compared to previous attacks.\What do you mean?\And what the hell is that?! It looks like a Magic Circle...\C-Can't...\The Claw of the White Dragon is a holy attack. response:	A body that's marked by its stigmata loses its freedom.
context: Natsu!\That attack just now...\There's something different about it compared to previous attacks.\What do you mean?\And what the hell is that?! It looks like a Magic Circle...\C-Can't...\The Claw of the White Dragon is a holy attack.\A body that's marked by its stigmata loses its freedom. response:	And with this, I'll surpass you!
context: That attack just now...\There's something different about it compared to previous attacks.\What do you mean?\And what the hell is that?! It looks like a Magic Circle...\C-Can't...\The Claw of the White Dragon is a holy attack.\A body that's marked by its stigmata loses its freedom.\And with this, I'll surpass you! response:	The dragon that becomes shadow hides its form.
context: There's something different about it compared to previous attacks.\What do you mean?\And what the hell is that?! It looks like a Magic Circle...\C-Can't...\The Claw of the White Dragon is a holy attack.\A body that's marked by its stigmata loses its freedom.\And with this, I'll surpass you!\The dragon that becomes shadow hides its form. response:	It always takes down its prey!
context: What do you mean?\And what the hell is that?! It looks like a Magic Circle...\C-Can't...\The Claw of the White Dragon is a holy attack.\A body that's marked by its stigmata loses its freedom.\And with this, I'll surpass you!\The dragon that becomes shadow hides its form.\It always takes down its prey! response:	It always takes down...
context: And what the hell is that?! It looks like a Magic Circle...\C-Can't...\The Claw of the White Dragon is a holy attack.\A body that's marked by its stigmata loses its freedom.\And with this, I'll surpass you!\The dragon that becomes shadow hides its form.\It always takes down its prey!\It always takes down... response:	What is it?
context: C-Can't...\The Claw of the White Dragon is a holy attack.\A body that's marked by its stigmata loses its freedom.\And with this, I'll surpass you!\The dragon that becomes shadow hides its form.\It always takes down its prey!\It always takes down...\What is it? response:	Yeah!
context: The Claw of the White Dragon is a holy attack.\A body that's marked by its stigmata loses its freedom.\And with this, I'll surpass you!\The dragon that becomes shadow hides its form.\It always takes down its prey!\It always takes down...\What is it?\Yeah! response:	That's the way, Gajeel!
context: A body that's marked by its stigmata loses its freedom.\And with this, I'll surpass you!\The dragon that becomes shadow hides its form.\It always takes down its prey!\It always takes down...\What is it?\Yeah!\That's the way, Gajeel! response:	He caught him! Even though before, he wasn't even able to land a hit!
context: And with this, I'll surpass you!\The dragon that becomes shadow hides its form.\It always takes down its prey!\It always takes down...\What is it?\Yeah!\That's the way, Gajeel!\He caught him! Even though before, he wasn't even able to land a hit! response:	Of course! After fighting for a while, Gajeel gets used to it.
context: The dragon that becomes shadow hides its form.\It always takes down its prey!\It always takes down...\What is it?\Yeah!\That's the way, Gajeel!\He caught him! Even though before, he wasn't even able to land a hit!\Of course! After fighting for a while, Gajeel gets used to it. response:	Natsu can do the same thing with ease!
context: It always takes down its prey!\It always takes down...\What is it?\Yeah!\That's the way, Gajeel!\He caught him! Even though before, he wasn't even able to land a hit!\Of course! After fighting for a while, Gajeel gets used to it.\Natsu can do the same thing with ease! response:	Get'im, Natsu!
context: It always takes down...\What is it?\Yeah!\That's the way, Gajeel!\He caught him! Even though before, he wasn't even able to land a hit!\Of course! After fighting for a while, Gajeel gets used to it.\Natsu can do the same thing with ease!\Get'im, Natsu! response:	How can you move?!
context: What is it?\Yeah!\That's the way, Gajeel!\He caught him! Even though before, he wasn't even able to land a hit!\Of course! After fighting for a while, Gajeel gets used to it.\Natsu can do the same thing with ease!\Get'im, Natsu!\How can you move?! response:	You burned off the stigmata!
context: Yeah!\That's the way, Gajeel!\He caught him! Even though before, he wasn't even able to land a hit!\Of course! After fighting for a while, Gajeel gets used to it.\Natsu can do the same thing with ease!\Get'im, Natsu!\How can you move?!\You burned off the stigmata! response:	Not too shabby...
context: That's the way, Gajeel!\He caught him! Even though before, he wasn't even able to land a hit!\Of course! After fighting for a while, Gajeel gets used to it.\Natsu can do the same thing with ease!\Get'im, Natsu!\How can you move?!\You burned off the stigmata!\Not too shabby... response:	But you've got a ways to go.
context: He caught him! Even though before, he wasn't even able to land a hit!\Of course! After fighting for a while, Gajeel gets used to it.\Natsu can do the same thing with ease!\Get'im, Natsu!\How can you move?!\You burned off the stigmata!\Not too shabby...\But you've got a ways to go. response:	He burned it off... That guy knows no bounds...
context: Of course! After fighting for a while, Gajeel gets used to it.\Natsu can do the same thing with ease!\Get'im, Natsu!\How can you move?!\You burned off the stigmata!\Not too shabby...\But you've got a ways to go.\He burned it off... That guy knows no bounds... response:	Only the Salamander could do that... I guess I should say...
context: Natsu can do the same thing with ease!\Get'im, Natsu!\How can you move?!\You burned off the stigmata!\Not too shabby...\But you've got a ways to go.\He burned it off... That guy knows no bounds...\Only the Salamander could do that... I guess I should say... response:	Don't get too stuck on yourselves, brats.
context: Get'im, Natsu!\How can you move?!\You burned off the stigmata!\Not too shabby...\But you've got a ways to go.\He burned it off... That guy knows no bounds...\Only the Salamander could do that... I guess I should say...\Don't get too stuck on yourselves, brats. response:	And don't make light of Fairy Tail!
context: How can you move?!\You burned off the stigmata!\Not too shabby...\But you've got a ways to go.\He burned it off... That guy knows no bounds...\Only the Salamander could do that... I guess I should say...\Don't get too stuck on yourselves, brats.\And don't make light of Fairy Tail! response:	Just like that! Go! Go!
context: You burned off the stigmata!\Not too shabby...\But you've got a ways to go.\He burned it off... That guy knows no bounds...\Only the Salamander could do that... I guess I should say...\Don't get too stuck on yourselves, brats.\And don't make light of Fairy Tail!\Just like that! Go! Go! response:	That was great, Gajeel!
context: Not too shabby...\But you've got a ways to go.\He burned it off... That guy knows no bounds...\Only the Salamander could do that... I guess I should say...\Don't get too stuck on yourselves, brats.\And don't make light of Fairy Tail!\Just like that! Go! Go!\That was great, Gajeel! response:	I-I can't breathe... Calm down, Levy!
context: But you've got a ways to go.\He burned it off... That guy knows no bounds...\Only the Salamander could do that... I guess I should say...\Don't get too stuck on yourselves, brats.\And don't make light of Fairy Tail!\Just like that! Go! Go!\That was great, Gajeel!\I-I can't breathe... Calm down, Levy! response:	Oh, my! The course of the battle has just shifted again!
context: He burned it off... That guy knows no bounds...\Only the Salamander could do that... I guess I should say...\Don't get too stuck on yourselves, brats.\And don't make light of Fairy Tail!\Just like that! Go! Go!\That was great, Gajeel!\I-I can't breathe... Calm down, Levy!\Oh, my! The course of the battle has just shifted again! response:	You guys really are the best.
context: Only the Salamander could do that... I guess I should say...\Don't get too stuck on yourselves, brats.\And don't make light of Fairy Tail!\Just like that! Go! Go!\That was great, Gajeel!\I-I can't breathe... Calm down, Levy!\Oh, my! The course of the battle has just shifted again!\You guys really are the best. response:	We have to give this our all and then some.
context: Don't get too stuck on yourselves, brats.\And don't make light of Fairy Tail!\Just like that! Go! Go!\That was great, Gajeel!\I-I can't breathe... Calm down, Levy!\Oh, my! The course of the battle has just shifted again!\You guys really are the best.\We have to give this our all and then some. response:	The Fist of the White Dragon even reduces flames to smithereens.
context: And don't make light of Fairy Tail!\Just like that! Go! Go!\That was great, Gajeel!\I-I can't breathe... Calm down, Levy!\Oh, my! The course of the battle has just shifted again!\You guys really are the best.\We have to give this our all and then some.\The Fist of the White Dragon even reduces flames to smithereens. response:	What is that magic?! The pressure is incredible!
context: Just like that! Go! Go!\That was great, Gajeel!\I-I can't breathe... Calm down, Levy!\Oh, my! The course of the battle has just shifted again!\You guys really are the best.\We have to give this our all and then some.\The Fist of the White Dragon even reduces flames to smithereens.\What is that magic?! The pressure is incredible! response:	I don't like this... I think it might be...
context: That was great, Gajeel!\I-I can't breathe... Calm down, Levy!\Oh, my! The course of the battle has just shifted again!\You guys really are the best.\We have to give this our all and then some.\The Fist of the White Dragon even reduces flames to smithereens.\What is that magic?! The pressure is incredible!\I don't like this... I think it might be... response:	S-So bright! Yajima-san, what is this?!
context: I-I can't breathe... Calm down, Levy!\Oh, my! The course of the battle has just shifted again!\You guys really are the best.\We have to give this our all and then some.\The Fist of the White Dragon even reduces flames to smithereens.\What is that magic?! The pressure is incredible!\I don't like this... I think it might be...\S-So bright! Yajima-san, what is this?! response:	Sting-kun is concentrating his magic into a single point.
context: Oh, my! The course of the battle has just shifted again!\You guys really are the best.\We have to give this our all and then some.\The Fist of the White Dragon even reduces flames to smithereens.\What is that magic?! The pressure is incredible!\I don't like this... I think it might be...\S-So bright! Yajima-san, what is this?!\Sting-kun is concentrating his magic into a single point. response:	Here I go, Natsu-san!
context: You guys really are the best.\We have to give this our all and then some.\The Fist of the White Dragon even reduces flames to smithereens.\What is that magic?! The pressure is incredible!\I don't like this... I think it might be...\S-So bright! Yajima-san, what is this?!\Sting-kun is concentrating his magic into a single point.\Here I go, Natsu-san! response:	Dragon Slayer Arcana!
context: We have to give this our all and then some.\The Fist of the White Dragon even reduces flames to smithereens.\What is that magic?! The pressure is incredible!\I don't like this... I think it might be...\S-So bright! Yajima-san, what is this?!\Sting-kun is concentrating his magic into a single point.\Here I go, Natsu-san!\Dragon Slayer Arcana! response:	Holy Nova!
context: The Fist of the White Dragon even reduces flames to smithereens.\What is that magic?! The pressure is incredible!\I don't like this... I think it might be...\S-So bright! Yajima-san, what is this?!\Sting-kun is concentrating his magic into a single point.\Here I go, Natsu-san!\Dragon Slayer Arcana!\Holy Nova! response:	Whoa! What's this?!
context: What is that magic?! The pressure is incredible!\I don't like this... I think it might be...\S-So bright! Yajima-san, what is this?!\Sting-kun is concentrating his magic into a single point.\Here I go, Natsu-san!\Dragon Slayer Arcana!\Holy Nova!\Whoa! What's this?! response:	He stopped that tremendous attack with one hand!
context: I don't like this... I think it might be...\S-So bright! Yajima-san, what is this?!\Sting-kun is concentrating his magic into a single point.\Here I go, Natsu-san!\Dragon Slayer Arcana!\Holy Nova!\Whoa! What's this?!\He stopped that tremendous attack with one hand! response:	I-I don't believe it...
context: S-So bright! Yajima-san, what is this?!\Sting-kun is concentrating his magic into a single point.\Here I go, Natsu-san!\Dragon Slayer Arcana!\Holy Nova!\Whoa! What's this?!\He stopped that tremendous attack with one hand!\I-I don't believe it... response:	Huh?
context: Sting-kun is concentrating his magic into a single point.\Here I go, Natsu-san!\Dragon Slayer Arcana!\Holy Nova!\Whoa! What's this?!\He stopped that tremendous attack with one hand!\I-I don't believe it...\Huh? response:	No way...
context: Here I go, Natsu-san!\Dragon Slayer Arcana!\Holy Nova!\Whoa! What's this?!\He stopped that tremendous attack with one hand!\I-I don't believe it...\Huh?\No way... response:	I have no memory of that skill ever being blocked.
context: Dragon Slayer Arcana!\Holy Nova!\Whoa! What's this?!\He stopped that tremendous attack with one hand!\I-I don't believe it...\Huh?\No way...\I have no memory of that skill ever being blocked. response:	I see...
context: Holy Nova!\Whoa! What's this?!\He stopped that tremendous attack with one hand!\I-I don't believe it...\Huh?\No way...\I have no memory of that skill ever being blocked.\I see... response:	Now it makes sense why he would storm into our inn on his own.
