context: May, Five years ago response:	Karasuno Sports Park Gymnasium
context: at the Inter-High preliminaries in June.\In March of the following year,\Karasuno High School of Miyagi\and Nekoma High School as second to represent Tokyo\attended the spring high-school volleyball nationals, but...\Karasuno was defeated in the third round,\and Nekoma was eliminated in the quarterfinals.\Though both teams repeatedly played each other in practice matches, response:	they never battled each other in a public arena.
context: In March of the following year,\Karasuno High School of Miyagi\and Nekoma High School as second to represent Tokyo\attended the spring high-school volleyball nationals, but...\Karasuno was defeated in the third round,\and Nekoma was eliminated in the quarterfinals.\Though both teams repeatedly played each other in practice matches,\they never battled each other in a public arena. response:	Eventually, both coaches retired.
context: Karasuno High School of Miyagi\and Nekoma High School as second to represent Tokyo\attended the spring high-school volleyball nationals, but...\Karasuno was defeated in the third round,\and Nekoma was eliminated in the quarterfinals.\Though both teams repeatedly played each other in practice matches,\they never battled each other in a public arena.\Eventually, both coaches retired. response:	Subsequently, both teams plunged into a period of steady decline.
context: and Nekoma High School as second to represent Tokyo\attended the spring high-school volleyball nationals, but...\Karasuno was defeated in the third round,\and Nekoma was eliminated in the quarterfinals.\Though both teams repeatedly played each other in practice matches,\they never battled each other in a public arena.\Eventually, both coaches retired.\Subsequently, both teams plunged into a period of steady decline. response:	Karasuno High School Volleyball Club
context: attended the spring high-school volleyball nationals, but...\Karasuno was defeated in the third round,\and Nekoma was eliminated in the quarterfinals.\Though both teams repeatedly played each other in practice matches,\they never battled each other in a public arena.\Eventually, both coaches retired.\Subsequently, both teams plunged into a period of steady decline.\Karasuno High School Volleyball Club response:	But now...
context: Karasuno was defeated in the third round,\and Nekoma was eliminated in the quarterfinals.\Though both teams repeatedly played each other in practice matches,\they never battled each other in a public arena.\Eventually, both coaches retired.\Subsequently, both teams plunged into a period of steady decline.\Karasuno High School Volleyball Club\But now... response:	Ah!
context: and Nekoma was eliminated in the quarterfinals.\Though both teams repeatedly played each other in practice matches,\they never battled each other in a public arena.\Eventually, both coaches retired.\Subsequently, both teams plunged into a period of steady decline.\Karasuno High School Volleyball Club\But now...\Ah! response:	The rematch of destiny is about to begin!
context: Though both teams repeatedly played each other in practice matches,\they never battled each other in a public arena.\Eventually, both coaches retired.\Subsequently, both teams plunged into a period of steady decline.\Karasuno High School Volleyball Club\But now...\Ah!\The rematch of destiny is about to begin! response:	Haikyu!!
context: they never battled each other in a public arena.\Eventually, both coaches retired.\Subsequently, both teams plunged into a period of steady decline.\Karasuno High School Volleyball Club\But now...\Ah!\The rematch of destiny is about to begin!\Haikyu!! response:	Episode 12: The Neko-Karasu Reunion
context: Eventually, both coaches retired.\Subsequently, both teams plunged into a period of steady decline.\Karasuno High School Volleyball Club\But now...\Ah!\The rematch of destiny is about to begin!\Haikyu!!\Episode 12: The Neko-Karasu Reunion response:	Kenma.
context: Subsequently, both teams plunged into a period of steady decline.\Karasuno High School Volleyball Club\But now...\Ah!\The rematch of destiny is about to begin!\Haikyu!!\Episode 12: The Neko-Karasu Reunion\Kenma. response:	Hey, you're with Nekoma?
context: Karasuno High School Volleyball Club\But now...\Ah!\The rematch of destiny is about to begin!\Haikyu!!\Episode 12: The Neko-Karasu Reunion\Kenma.\Hey, you're with Nekoma? response:	Oh. Yeah.
context: But now...\Ah!\The rematch of destiny is about to begin!\Haikyu!!\Episode 12: The Neko-Karasu Reunion\Kenma.\Hey, you're with Nekoma?\Oh. Yeah. response:	Why didn't you tell me?
context: Ah!\The rematch of destiny is about to begin!\Haikyu!!\Episode 12: The Neko-Karasu Reunion\Kenma.\Hey, you're with Nekoma?\Oh. Yeah.\Why didn't you tell me? response:	Because you didn't ask...
context: The rematch of destiny is about to begin!\Haikyu!!\Episode 12: The Neko-Karasu Reunion\Kenma.\Hey, you're with Nekoma?\Oh. Yeah.\Why didn't you tell me?\Because you didn't ask... response:	But you said, see you soon.
context: Haikyu!!\Episode 12: The Neko-Karasu Reunion\Kenma.\Hey, you're with Nekoma?\Oh. Yeah.\Why didn't you tell me?\Because you didn't ask...\But you said, see you soon. response:	You must've known something.
context: Episode 12: The Neko-Karasu Reunion\Kenma.\Hey, you're with Nekoma?\Oh. Yeah.\Why didn't you tell me?\Because you didn't ask...\But you said, see you soon.\You must've known something. response:	Your t-shirt said Karasuno High School.
context: Kenma.\Hey, you're with Nekoma?\Oh. Yeah.\Why didn't you tell me?\Because you didn't ask...\But you said, see you soon.\You must've known something.\Your t-shirt said Karasuno High School. response:	Hey, hey, hey.
context: Hey, you're with Nekoma?\Oh. Yeah.\Why didn't you tell me?\Because you didn't ask...\But you said, see you soon.\You must've known something.\Your t-shirt said Karasuno High School.\Hey, hey, hey. response:	What business might you have with our setter?
context: Oh. Yeah.\Why didn't you tell me?\Because you didn't ask...\But you said, see you soon.\You must've known something.\Your t-shirt said Karasuno High School.\Hey, hey, hey.\What business might you have with our setter? response:	It's fine.
context: Why didn't you tell me?\Because you didn't ask...\But you said, see you soon.\You must've known something.\Your t-shirt said Karasuno High School.\Hey, hey, hey.\What business might you have with our setter?\It's fine. response:	S-Sorry...
context: Because you didn't ask...\But you said, see you soon.\You must've known something.\Your t-shirt said Karasuno High School.\Hey, hey, hey.\What business might you have with our setter?\It's fine.\S-Sorry... response:	You, too...
context: But you said, see you soon.\You must've known something.\Your t-shirt said Karasuno High School.\Hey, hey, hey.\What business might you have with our setter?\It's fine.\S-Sorry...\You, too... response:	What business might you have with our first-year?
context: You must've known something.\Your t-shirt said Karasuno High School.\Hey, hey, hey.\What business might you have with our setter?\It's fine.\S-Sorry...\You, too...\What business might you have with our first-year? response:	Is there a problem?
context: Your t-shirt said Karasuno High School.\Hey, hey, hey.\What business might you have with our setter?\It's fine.\S-Sorry...\You, too...\What business might you have with our first-year?\Is there a problem? response:	Wanna fight, city boy?
context: Hey, hey, hey.\What business might you have with our setter?\It's fine.\S-Sorry...\You, too...\What business might you have with our first-year?\Is there a problem?\Wanna fight, city boy? response:	We're going to fight. That's why we're here to play the match.
context: What business might you have with our setter?\It's fine.\S-Sorry...\You, too...\What business might you have with our first-year?\Is there a problem?\Wanna fight, city boy?\We're going to fight. That's why we're here to play the match. response:	And stop the city boy thing. It's embarrassing.
context: It's fine.\S-Sorry...\You, too...\What business might you have with our first-year?\Is there a problem?\Wanna fight, city boy?\We're going to fight. That's why we're here to play the match.\And stop the city boy thing. It's embarrassing. response:	Yamamoto, you're always quick to pick a fight. Stop it.
context: S-Sorry...\You, too...\What business might you have with our first-year?\Is there a problem?\Wanna fight, city boy?\We're going to fight. That's why we're here to play the match.\And stop the city boy thing. It's embarrassing.\Yamamoto, you're always quick to pick a fight. Stop it. response:	It makes you look stupid.
context: You, too...\What business might you have with our first-year?\Is there a problem?\Wanna fight, city boy?\We're going to fight. That's why we're here to play the match.\And stop the city boy thing. It's embarrassing.\Yamamoto, you're always quick to pick a fight. Stop it.\It makes you look stupid. response:	I'm sorry about that. He's an embarrassment.
context: What business might you have with our first-year?\Is there a problem?\Wanna fight, city boy?\We're going to fight. That's why we're here to play the match.\And stop the city boy thing. It's embarrassing.\Yamamoto, you're always quick to pick a fight. Stop it.\It makes you look stupid.\I'm sorry about that. He's an embarrassment. response:	I'm sorry, too. I'm embarrassed.
context: Is there a problem?\Wanna fight, city boy?\We're going to fight. That's why we're here to play the match.\And stop the city boy thing. It's embarrassing.\Yamamoto, you're always quick to pick a fight. Stop it.\It makes you look stupid.\I'm sorry about that. He's an embarrassment.\I'm sorry, too. I'm embarrassed. response:	A lady... manager... beauty...
context: Wanna fight, city boy?\We're going to fight. That's why we're here to play the match.\And stop the city boy thing. It's embarrassing.\Yamamoto, you're always quick to pick a fight. Stop it.\It makes you look stupid.\I'm sorry about that. He's an embarrassment.\I'm sorry, too. I'm embarrassed.\A lady... manager... beauty... response:	Score!
context: We're going to fight. That's why we're here to play the match.\And stop the city boy thing. It's embarrassing.\Yamamoto, you're always quick to pick a fight. Stop it.\It makes you look stupid.\I'm sorry about that. He's an embarrassment.\I'm sorry, too. I'm embarrassed.\A lady... manager... beauty...\Score! response:	A lady manager.
context: And stop the city boy thing. It's embarrassing.\Yamamoto, you're always quick to pick a fight. Stop it.\It makes you look stupid.\I'm sorry about that. He's an embarrassment.\I'm sorry, too. I'm embarrassed.\A lady... manager... beauty...\Score!\A lady manager. response:	We win yakisoba bread.
context: Yamamoto, you're always quick to pick a fight. Stop it.\It makes you look stupid.\I'm sorry about that. He's an embarrassment.\I'm sorry, too. I'm embarrassed.\A lady... manager... beauty...\Score!\A lady manager.\We win yakisoba bread. response:	I'll make you regret this!
context: It makes you look stupid.\I'm sorry about that. He's an embarrassment.\I'm sorry, too. I'm embarrassed.\A lady... manager... beauty...\Score!\A lady manager.\We win yakisoba bread.\I'll make you regret this! response:	Taketora-san, you can't escape.
context: I'm sorry about that. He's an embarrassment.\I'm sorry, too. I'm embarrassed.\A lady... manager... beauty...\Score!\A lady manager.\We win yakisoba bread.\I'll make you regret this!\Taketora-san, you can't escape. response:	How come you know that guy?
context: I'm sorry, too. I'm embarrassed.\A lady... manager... beauty...\Score!\A lady manager.\We win yakisoba bread.\I'll make you regret this!\Taketora-san, you can't escape.\How come you know that guy? response:	I met him by coincidence during a town run.
context: A lady... manager... beauty...\Score!\A lady manager.\We win yakisoba bread.\I'll make you regret this!\Taketora-san, you can't escape.\How come you know that guy?\I met him by coincidence during a town run. response:	He said he's Nekoma's setter.
context: Score!\A lady manager.\We win yakisoba bread.\I'll make you regret this!\Taketora-san, you can't escape.\How come you know that guy?\I met him by coincidence during a town run.\He said he's Nekoma's setter. response:	Setter...
context: A lady manager.\We win yakisoba bread.\I'll make you regret this!\Taketora-san, you can't escape.\How come you know that guy?\I met him by coincidence during a town run.\He said he's Nekoma's setter.\Setter... response:	We're looking forward to our match today.
context: We win yakisoba bread.\I'll make you regret this!\Taketora-san, you can't escape.\How come you know that guy?\I met him by coincidence during a town run.\He said he's Nekoma's setter.\Setter...\We're looking forward to our match today. response:	We're look forward to it, as well.
context: I'll make you regret this!\Taketora-san, you can't escape.\How come you know that guy?\I met him by coincidence during a town run.\He said he's Nekoma's setter.\Setter...\We're looking forward to our match today.\We're look forward to it, as well. response:	Wow, the ceiling's so high!
context: Taketora-san, you can't escape.\How come you know that guy?\I met him by coincidence during a town run.\He said he's Nekoma's setter.\Setter...\We're looking forward to our match today.\We're look forward to it, as well.\Wow, the ceiling's so high! response:	This is normal.
context: How come you know that guy?\I met him by coincidence during a town run.\He said he's Nekoma's setter.\Setter...\We're looking forward to our match today.\We're look forward to it, as well.\Wow, the ceiling's so high!\This is normal. response:	This guy is the crafty type.
context: I met him by coincidence during a town run.\He said he's Nekoma's setter.\Setter...\We're looking forward to our match today.\We're look forward to it, as well.\Wow, the ceiling's so high!\This is normal.\This guy is the crafty type. response:	It's been eight years. What's with the hair, Ukai?
context: He said he's Nekoma's setter.\Setter...\We're looking forward to our match today.\We're look forward to it, as well.\Wow, the ceiling's so high!\This is normal.\This guy is the crafty type.\It's been eight years. What's with the hair, Ukai? response:	Shut up, Naoi. You haven't changed a bit.
context: Setter...\We're looking forward to our match today.\We're look forward to it, as well.\Wow, the ceiling's so high!\This is normal.\This guy is the crafty type.\It's been eight years. What's with the hair, Ukai?\Shut up, Naoi. You haven't changed a bit. response:	Hey, Keishin.
context: We're looking forward to our match today.\We're look forward to it, as well.\Wow, the ceiling's so high!\This is normal.\This guy is the crafty type.\It's been eight years. What's with the hair, Ukai?\Shut up, Naoi. You haven't changed a bit.\Hey, Keishin. response:	It has been a long time, Nekomata-sensei.
context: We're look forward to it, as well.\Wow, the ceiling's so high!\This is normal.\This guy is the crafty type.\It's been eight years. What's with the hair, Ukai?\Shut up, Naoi. You haven't changed a bit.\Hey, Keishin.\It has been a long time, Nekomata-sensei. response:	You look just like your geezer of a granddad.
context: Wow, the ceiling's so high!\This is normal.\This guy is the crafty type.\It's been eight years. What's with the hair, Ukai?\Shut up, Naoi. You haven't changed a bit.\Hey, Keishin.\It has been a long time, Nekomata-sensei.\You look just like your geezer of a granddad. response:	I'm Takeda. We spoke on the phone.
context: This is normal.\This guy is the crafty type.\It's been eight years. What's with the hair, Ukai?\Shut up, Naoi. You haven't changed a bit.\Hey, Keishin.\It has been a long time, Nekomata-sensei.\You look just like your geezer of a granddad.\I'm Takeda. We spoke on the phone. response:	Thank you very much for engaging us today.
context: This guy is the crafty type.\It's been eight years. What's with the hair, Ukai?\Shut up, Naoi. You haven't changed a bit.\Hey, Keishin.\It has been a long time, Nekomata-sensei.\You look just like your geezer of a granddad.\I'm Takeda. We spoke on the phone.\Thank you very much for engaging us today. response:	You barraged me with calls until I had no choice.
context: It's been eight years. What's with the hair, Ukai?\Shut up, Naoi. You haven't changed a bit.\Hey, Keishin.\It has been a long time, Nekomata-sensei.\You look just like your geezer of a granddad.\I'm Takeda. We spoke on the phone.\Thank you very much for engaging us today.\You barraged me with calls until I had no choice. response:	I-I'm sorry.
context: Shut up, Naoi. You haven't changed a bit.\Hey, Keishin.\It has been a long time, Nekomata-sensei.\You look just like your geezer of a granddad.\I'm Takeda. We spoke on the phone.\Thank you very much for engaging us today.\You barraged me with calls until I had no choice.\I-I'm sorry. response:	I'm just kidding. Just kidding.
context: Hey, Keishin.\It has been a long time, Nekomata-sensei.\You look just like your geezer of a granddad.\I'm Takeda. We spoke on the phone.\Thank you very much for engaging us today.\You barraged me with calls until I had no choice.\I-I'm sorry.\I'm just kidding. Just kidding. response:	We've had good practice matches these last three days.
context: It has been a long time, Nekomata-sensei.\You look just like your geezer of a granddad.\I'm Takeda. We spoke on the phone.\Thank you very much for engaging us today.\You barraged me with calls until I had no choice.\I-I'm sorry.\I'm just kidding. Just kidding.\We've had good practice matches these last three days. response:	We're looking forward to today's match.
context: You look just like your geezer of a granddad.\I'm Takeda. We spoke on the phone.\Thank you very much for engaging us today.\You barraged me with calls until I had no choice.\I-I'm sorry.\I'm just kidding. Just kidding.\We've had good practice matches these last three days.\We're looking forward to today's match. response:	Yes. We are as well.
context: I'm Takeda. We spoke on the phone.\Thank you very much for engaging us today.\You barraged me with calls until I had no choice.\I-I'm sorry.\I'm just kidding. Just kidding.\We've had good practice matches these last three days.\We're looking forward to today's match.\Yes. We are as well. response:	Even though my opponent isn't that geezer Ukai,
context: Thank you very much for engaging us today.\You barraged me with calls until I had no choice.\I-I'm sorry.\I'm just kidding. Just kidding.\We've had good practice matches these last three days.\We're looking forward to today's match.\Yes. We are as well.\Even though my opponent isn't that geezer Ukai, response:	I'll show no mercy.
context: You barraged me with calls until I had no choice.\I-I'm sorry.\I'm just kidding. Just kidding.\We've had good practice matches these last three days.\We're looking forward to today's match.\Yes. We are as well.\Even though my opponent isn't that geezer Ukai,\I'll show no mercy. response:	Let me be frank.
context: I-I'm sorry.\I'm just kidding. Just kidding.\We've had good practice matches these last three days.\We're looking forward to today's match.\Yes. We are as well.\Even though my opponent isn't that geezer Ukai,\I'll show no mercy.\Let me be frank. response:	We've all just met.
context: I'm just kidding. Just kidding.\We've had good practice matches these last three days.\We're looking forward to today's match.\Yes. We are as well.\Even though my opponent isn't that geezer Ukai,\I'll show no mercy.\Let me be frank.\We've all just met. response:	We're awkward and fragmented.
context: We've had good practice matches these last three days.\We're looking forward to today's match.\Yes. We are as well.\Even though my opponent isn't that geezer Ukai,\I'll show no mercy.\Let me be frank.\We've all just met.\We're awkward and fragmented. response:	But regardless, we're facing our first match.
context: We're looking forward to today's match.\Yes. We are as well.\Even though my opponent isn't that geezer Ukai,\I'll show no mercy.\Let me be frank.\We've all just met.\We're awkward and fragmented.\But regardless, we're facing our first match. response:	We know nothing about Nekoma's team, nor the kind of walls we'll hit.
context: Yes. We are as well.\Even though my opponent isn't that geezer Ukai,\I'll show no mercy.\Let me be frank.\We've all just met.\We're awkward and fragmented.\But regardless, we're facing our first match.\We know nothing about Nekoma's team, nor the kind of walls we'll hit. response:	But when we find a wall,
context: Even though my opponent isn't that geezer Ukai,\I'll show no mercy.\Let me be frank.\We've all just met.\We're awkward and fragmented.\But regardless, we're facing our first match.\We know nothing about Nekoma's team, nor the kind of walls we'll hit.\But when we find a wall, response:	that's our chance to jump over it.
context: I'll show no mercy.\Let me be frank.\We've all just met.\We're awkward and fragmented.\But regardless, we're facing our first match.\We know nothing about Nekoma's team, nor the kind of walls we'll hit.\But when we find a wall,\that's our chance to jump over it. response:	We're like the blood in our veins.
context: Let me be frank.\We've all just met.\We're awkward and fragmented.\But regardless, we're facing our first match.\We know nothing about Nekoma's team, nor the kind of walls we'll hit.\But when we find a wall,\that's our chance to jump over it.\We're like the blood in our veins. response:	We must flow without stopping.
context: We've all just met.\We're awkward and fragmented.\But regardless, we're facing our first match.\We know nothing about Nekoma's team, nor the kind of walls we'll hit.\But when we find a wall,\that's our chance to jump over it.\We're like the blood in our veins.\We must flow without stopping. response:	Keep the oxygen moving
context: We're awkward and fragmented.\But regardless, we're facing our first match.\We know nothing about Nekoma's team, nor the kind of walls we'll hit.\But when we find a wall,\that's our chance to jump over it.\We're like the blood in our veins.\We must flow without stopping.\Keep the oxygen moving response:	and your mind working.
context: But regardless, we're facing our first match.\We know nothing about Nekoma's team, nor the kind of walls we'll hit.\But when we find a wall,\that's our chance to jump over it.\We're like the blood in our veins.\We must flow without stopping.\Keep the oxygen moving\and your mind working. response:	Let's do this.
context: We know nothing about Nekoma's team, nor the kind of walls we'll hit.\But when we find a wall,\that's our chance to jump over it.\We're like the blood in our veins.\We must flow without stopping.\Keep the oxygen moving\and your mind working.\Let's do this. response:	Yeah.
context: But when we find a wall,\that's our chance to jump over it.\We're like the blood in our veins.\We must flow without stopping.\Keep the oxygen moving\and your mind working.\Let's do this.\Yeah. response:	Kuro, can you stop giving those speeches?
context: that's our chance to jump over it.\We're like the blood in our veins.\We must flow without stopping.\Keep the oxygen moving\and your mind working.\Let's do this.\Yeah.\Kuro, can you stop giving those speeches? response:	They're embarrassing.
context: We're like the blood in our veins.\We must flow without stopping.\Keep the oxygen moving\and your mind working.\Let's do this.\Yeah.\Kuro, can you stop giving those speeches?\They're embarrassing. response:	Who cares? They help set the mood.
context: We must flow without stopping.\Keep the oxygen moving\and your mind working.\Let's do this.\Yeah.\Kuro, can you stop giving those speeches?\They're embarrassing.\Who cares? They help set the mood. response:	They're supposed to be thought-provoking.
context: Keep the oxygen moving\and your mind working.\Let's do this.\Yeah.\Kuro, can you stop giving those speeches?\They're embarrassing.\Who cares? They help set the mood.\They're supposed to be thought-provoking. response:	And that's that.
context: and your mind working.\Let's do this.\Yeah.\Kuro, can you stop giving those speeches?\They're embarrassing.\Who cares? They help set the mood.\They're supposed to be thought-provoking.\And that's that. response:	We're on time.
context: Let's do this.\Yeah.\Kuro, can you stop giving those speeches?\They're embarrassing.\Who cares? They help set the mood.\They're supposed to be thought-provoking.\And that's that.\We're on time. response:	It's been so long...
context: Yeah.\Kuro, can you stop giving those speeches?\They're embarrassing.\Who cares? They help set the mood.\They're supposed to be thought-provoking.\And that's that.\We're on time.\It's been so long... response:	since the last Battle at the Garbage Dump.
context: Kuro, can you stop giving those speeches?\They're embarrassing.\Who cares? They help set the mood.\They're supposed to be thought-provoking.\And that's that.\We're on time.\It's been so long...\since the last Battle at the Garbage Dump. response:	We now begin the practice match of
context: They're embarrassing.\Who cares? They help set the mood.\They're supposed to be thought-provoking.\And that's that.\We're on time.\It's been so long...\since the last Battle at the Garbage Dump.\We now begin the practice match of response:	Nekoma High School versus Karasuno High School.
context: Who cares? They help set the mood.\They're supposed to be thought-provoking.\And that's that.\We're on time.\It's been so long...\since the last Battle at the Garbage Dump.\We now begin the practice match of\Nekoma High School versus Karasuno High School. response:	Let's play.
context: They're supposed to be thought-provoking.\And that's that.\We're on time.\It's been so long...\since the last Battle at the Garbage Dump.\We now begin the practice match of\Nekoma High School versus Karasuno High School.\Let's play. response:	You're not nervous today, right?
context: And that's that.\We're on time.\It's been so long...\since the last Battle at the Garbage Dump.\We now begin the practice match of\Nekoma High School versus Karasuno High School.\Let's play.\You're not nervous today, right? response:	Right.
context: We're on time.\It's been so long...\since the last Battle at the Garbage Dump.\We now begin the practice match of\Nekoma High School versus Karasuno High School.\Let's play.\You're not nervous today, right?\Right. response:	Wow.
context: It's been so long...\since the last Battle at the Garbage Dump.\We now begin the practice match of\Nekoma High School versus Karasuno High School.\Let's play.\You're not nervous today, right?\Right.\Wow. response:	Short...
context: since the last Battle at the Garbage Dump.\We now begin the practice match of\Nekoma High School versus Karasuno High School.\Let's play.\You're not nervous today, right?\Right.\Wow.\Short... response:	D-Don't underestimate me!
context: We now begin the practice match of\Nekoma High School versus Karasuno High School.\Let's play.\You're not nervous today, right?\Right.\Wow.\Short...\D-Don't underestimate me! response:	I'm not underestimating you at all.
context: Nekoma High School versus Karasuno High School.\Let's play.\You're not nervous today, right?\Right.\Wow.\Short...\D-Don't underestimate me!\I'm not underestimating you at all. response:	Really?
context: Let's play.\You're not nervous today, right?\Right.\Wow.\Short...\D-Don't underestimate me!\I'm not underestimating you at all.\Really? response:	Yeah.
context: You're not nervous today, right?\Right.\Wow.\Short...\D-Don't underestimate me!\I'm not underestimating you at all.\Really?\Yeah. response:	Underestimate him at least a little, you bastard.
context: Right.\Wow.\Short...\D-Don't underestimate me!\I'm not underestimating you at all.\Really?\Yeah.\Underestimate him at least a little, you bastard. response:	Shoya.
context: Wow.\Short...\D-Don't underestimate me!\I'm not underestimating you at all.\Really?\Yeah.\Underestimate him at least a little, you bastard.\Shoya. response:	I told you I thought we're a strong team,
context: Short...\D-Don't underestimate me!\I'm not underestimating you at all.\Really?\Yeah.\Underestimate him at least a little, you bastard.\Shoya.\I told you I thought we're a strong team, response:	but it's not me that's strong.
context: D-Don't underestimate me!\I'm not underestimating you at all.\Really?\Yeah.\Underestimate him at least a little, you bastard.\Shoya.\I told you I thought we're a strong team,\but it's not me that's strong. response:	It's everyone together.
context: I'm not underestimating you at all.\Really?\Yeah.\Underestimate him at least a little, you bastard.\Shoya.\I told you I thought we're a strong team,\but it's not me that's strong.\It's everyone together. response:	Kenma, nice serve.
context: Really?\Yeah.\Underestimate him at least a little, you bastard.\Shoya.\I told you I thought we're a strong team,\but it's not me that's strong.\It's everyone together.\Kenma, nice serve. response:	Asahi-san.
context: Yeah.\Underestimate him at least a little, you bastard.\Shoya.\I told you I thought we're a strong team,\but it's not me that's strong.\It's everyone together.\Kenma, nice serve.\Asahi-san. response:	All right.
context: Underestimate him at least a little, you bastard.\Shoya.\I told you I thought we're a strong team,\but it's not me that's strong.\It's everyone together.\Kenma, nice serve.\Asahi-san.\All right. response:	Sorry, a little short.
context: Shoya.\I told you I thought we're a strong team,\but it's not me that's strong.\It's everyone together.\Kenma, nice serve.\Asahi-san.\All right.\Sorry, a little short. response:	That's what you get for ditching a month, Asahi-san.
context: I told you I thought we're a strong team,\but it's not me that's strong.\It's everyone together.\Kenma, nice serve.\Asahi-san.\All right.\Sorry, a little short.\That's what you get for ditching a month, Asahi-san. response:	I'm sorry.
context: but it's not me that's strong.\It's everyone together.\Kenma, nice serve.\Asahi-san.\All right.\Sorry, a little short.\That's what you get for ditching a month, Asahi-san.\I'm sorry. response:	Kageyama, cover.
context: It's everyone together.\Kenma, nice serve.\Asahi-san.\All right.\Sorry, a little short.\That's what you get for ditching a month, Asahi-san.\I'm sorry.\Kageyama, cover. response:	Yes.
context: Kenma, nice serve.\Asahi-san.\All right.\Sorry, a little short.\That's what you get for ditching a month, Asahi-san.\I'm sorry.\Kageyama, cover.\Yes. response:	Amazing speed. What the...
context: Asahi-san.\All right.\Sorry, a little short.\That's what you get for ditching a month, Asahi-san.\I'm sorry.\Kageyama, cover.\Yes.\Amazing speed. What the... response:	A fast attack from a place like that?
context: All right.\Sorry, a little short.\That's what you get for ditching a month, Asahi-san.\I'm sorry.\Kageyama, cover.\Yes.\Amazing speed. What the...\A fast attack from a place like that? response:	What the heck was that?
context: Sorry, a little short.\That's what you get for ditching a month, Asahi-san.\I'm sorry.\Kageyama, cover.\Yes.\Amazing speed. What the...\A fast attack from a place like that?\What the heck was that? response:	He wasn't watching the toss.
context: That's what you get for ditching a month, Asahi-san.\I'm sorry.\Kageyama, cover.\Yes.\Amazing speed. What the...\A fast attack from a place like that?\What the heck was that?\He wasn't watching the toss. response:	That was amazing.
context: I'm sorry.\Kageyama, cover.\Yes.\Amazing speed. What the...\A fast attack from a place like that?\What the heck was that?\He wasn't watching the toss.\That was amazing. response:	I'm shocked.
context: Kageyama, cover.\Yes.\Amazing speed. What the...\A fast attack from a place like that?\What the heck was that?\He wasn't watching the toss.\That was amazing.\I'm shocked. response:	Nice, Shoyo.
