context: Hunt them to extinction! response:	Those in Lutiel's fleet are now under my command.
context: So a long-range battle has been rendered impossible?\Yes.\The 1st and 2nd Area Fleets' rate of attrition is at 45!\The Bela-Russian and the Great Chinese Alliance's\fleets have begun to pull back.\All fleets, tighten your formation!\Anyone who pulls away from the main fleet will get picked off!\But the Straggle Laser and our response:	saturation attack with sublight guided missiles ended in failure.
context: Yes.\The 1st and 2nd Area Fleets' rate of attrition is at 45!\The Bela-Russian and the Great Chinese Alliance's\fleets have begun to pull back.\All fleets, tighten your formation!\Anyone who pulls away from the main fleet will get picked off!\But the Straggle Laser and our\saturation attack with sublight guided missiles ended in failure. response:	We'll have to land a direct hit...
context: The 1st and 2nd Area Fleets' rate of attrition is at 45!\The Bela-Russian and the Great Chinese Alliance's\fleets have begun to pull back.\All fleets, tighten your formation!\Anyone who pulls away from the main fleet will get picked off!\But the Straggle Laser and our\saturation attack with sublight guided missiles ended in failure.\We'll have to land a direct hit... response:	Information on Team Rabbits... just came in!
context: The Bela-Russian and the Great Chinese Alliance's\fleets have begun to pull back.\All fleets, tighten your formation!\Anyone who pulls away from the main fleet will get picked off!\But the Straggle Laser and our\saturation attack with sublight guided missiles ended in failure.\We'll have to land a direct hit...\Information on Team Rabbits... just came in! response:	No matter how many I shoot, there's still more of'em!
context: fleets have begun to pull back.\All fleets, tighten your formation!\Anyone who pulls away from the main fleet will get picked off!\But the Straggle Laser and our\saturation attack with sublight guided missiles ended in failure.\We'll have to land a direct hit...\Information on Team Rabbits... just came in!\No matter how many I shoot, there's still more of'em! response:	They have us completely surrounded.
context: All fleets, tighten your formation!\Anyone who pulls away from the main fleet will get picked off!\But the Straggle Laser and our\saturation attack with sublight guided missiles ended in failure.\We'll have to land a direct hit...\Information on Team Rabbits... just came in!\No matter how many I shoot, there's still more of'em!\They have us completely surrounded. response:	My ammunition is down to 15!
context: Anyone who pulls away from the main fleet will get picked off!\But the Straggle Laser and our\saturation attack with sublight guided missiles ended in failure.\We'll have to land a direct hit...\Information on Team Rabbits... just came in!\No matter how many I shoot, there's still more of'em!\They have us completely surrounded.\My ammunition is down to 15! response:	I'm just about outta energy!
context: But the Straggle Laser and our\saturation attack with sublight guided missiles ended in failure.\We'll have to land a direct hit...\Information on Team Rabbits... just came in!\No matter how many I shoot, there's still more of'em!\They have us completely surrounded.\My ammunition is down to 15!\I'm just about outta energy! response:	Move it, you lowly insects!
context: saturation attack with sublight guided missiles ended in failure.\We'll have to land a direct hit...\Information on Team Rabbits... just came in!\No matter how many I shoot, there's still more of'em!\They have us completely surrounded.\My ammunition is down to 15!\I'm just about outta energy!\Move it, you lowly insects! response:	It makes me sick how you're swarming everywhere!
context: We'll have to land a direct hit...\Information on Team Rabbits... just came in!\No matter how many I shoot, there's still more of'em!\They have us completely surrounded.\My ammunition is down to 15!\I'm just about outta energy!\Move it, you lowly insects!\It makes me sick how you're swarming everywhere! response:	Guys...
context: Information on Team Rabbits... just came in!\No matter how many I shoot, there's still more of'em!\They have us completely surrounded.\My ammunition is down to 15!\I'm just about outta energy!\Move it, you lowly insects!\It makes me sick how you're swarming everywhere!\Guys... response:	If you refuse to show yourself,
context: No matter how many I shoot, there's still more of'em!\They have us completely surrounded.\My ammunition is down to 15!\I'm just about outta energy!\Move it, you lowly insects!\It makes me sick how you're swarming everywhere!\Guys...\If you refuse to show yourself, response:	I will force you to come out of hiding.
context: They have us completely surrounded.\My ammunition is down to 15!\I'm just about outta energy!\Move it, you lowly insects!\It makes me sick how you're swarming everywhere!\Guys...\If you refuse to show yourself,\I will force you to come out of hiding. response:	Blue 1's remaining energy is down to 25.
context: My ammunition is down to 15!\I'm just about outta energy!\Move it, you lowly insects!\It makes me sick how you're swarming everywhere!\Guys...\If you refuse to show yourself,\I will force you to come out of hiding.\Blue 1's remaining energy is down to 25. response:	Rose 3 is down to 18.
context: I'm just about outta energy!\Move it, you lowly insects!\It makes me sick how you're swarming everywhere!\Guys...\If you refuse to show yourself,\I will force you to come out of hiding.\Blue 1's remaining energy is down to 25.\Rose 3 is down to 18. response:	It will be difficult for them to continue fighting.
context: Move it, you lowly insects!\It makes me sick how you're swarming everywhere!\Guys...\If you refuse to show yourself,\I will force you to come out of hiding.\Blue 1's remaining energy is down to 25.\Rose 3 is down to 18.\It will be difficult for them to continue fighting. response:	Have them pull back, restock and refuel.
context: It makes me sick how you're swarming everywhere!\Guys...\If you refuse to show yourself,\I will force you to come out of hiding.\Blue 1's remaining energy is down to 25.\Rose 3 is down to 18.\It will be difficult for them to continue fighting.\Have them pull back, restock and refuel. response:	This is the Godinion. Do you read, Kitty?
context: Guys...\If you refuse to show yourself,\I will force you to come out of hiding.\Blue 1's remaining energy is down to 25.\Rose 3 is down to 18.\It will be difficult for them to continue fighting.\Have them pull back, restock and refuel.\This is the Godinion. Do you read, Kitty? response:	I repeat, this is the Godinion.
context: If you refuse to show yourself,\I will force you to come out of hiding.\Blue 1's remaining energy is down to 25.\Rose 3 is down to 18.\It will be difficult for them to continue fighting.\Have them pull back, restock and refuel.\This is the Godinion. Do you read, Kitty?\I repeat, this is the Godinion. response:	Meow, I hear ya!
context: I will force you to come out of hiding.\Blue 1's remaining energy is down to 25.\Rose 3 is down to 18.\It will be difficult for them to continue fighting.\Have them pull back, restock and refuel.\This is the Godinion. Do you read, Kitty?\I repeat, this is the Godinion.\Meow, I hear ya! response:	All units are to return for now.
context: Blue 1's remaining energy is down to 25.\Rose 3 is down to 18.\It will be difficult for them to continue fighting.\Have them pull back, restock and refuel.\This is the Godinion. Do you read, Kitty?\I repeat, this is the Godinion.\Meow, I hear ya!\All units are to return for now. response:	I'm confirming the route.
context: Rose 3 is down to 18.\It will be difficult for them to continue fighting.\Have them pull back, restock and refuel.\This is the Godinion. Do you read, Kitty?\I repeat, this is the Godinion.\Meow, I hear ya!\All units are to return for now.\I'm confirming the route. response:	Retreat through Points 21-AF through EM.
context: It will be difficult for them to continue fighting.\Have them pull back, restock and refuel.\This is the Godinion. Do you read, Kitty?\I repeat, this is the Godinion.\Meow, I hear ya!\All units are to return for now.\I'm confirming the route.\Retreat through Points 21-AF through EM. response:	I'll transfer the data.
context: Have them pull back, restock and refuel.\This is the Godinion. Do you read, Kitty?\I repeat, this is the Godinion.\Meow, I hear ya!\All units are to return for now.\I'm confirming the route.\Retreat through Points 21-AF through EM.\I'll transfer the data. response:	Pull back while I keep'em busy with some diversionary shots!
context: This is the Godinion. Do you read, Kitty?\I repeat, this is the Godinion.\Meow, I hear ya!\All units are to return for now.\I'm confirming the route.\Retreat through Points 21-AF through EM.\I'll transfer the data.\Pull back while I keep'em busy with some diversionary shots! response:	Roger!
context: I repeat, this is the Godinion.\Meow, I hear ya!\All units are to return for now.\I'm confirming the route.\Retreat through Points 21-AF through EM.\I'll transfer the data.\Pull back while I keep'em busy with some diversionary shots!\Roger! response:	All units-
context: Meow, I hear ya!\All units are to return for now.\I'm confirming the route.\Retreat through Points 21-AF through EM.\I'll transfer the data.\Pull back while I keep'em busy with some diversionary shots!\Roger!\All units- response:	Look out!
context: All units are to return for now.\I'm confirming the route.\Retreat through Points 21-AF through EM.\I'll transfer the data.\Pull back while I keep'em busy with some diversionary shots!\Roger!\All units-\Look out! response:	There is a rapidly approaching high speed heat source!
context: I'm confirming the route.\Retreat through Points 21-AF through EM.\I'll transfer the data.\Pull back while I keep'em busy with some diversionary shots!\Roger!\All units-\Look out!\There is a rapidly approaching high speed heat source! response:	Tamaki, run for it!
context: Retreat through Points 21-AF through EM.\I'll transfer the data.\Pull back while I keep'em busy with some diversionary shots!\Roger!\All units-\Look out!\There is a rapidly approaching high speed heat source!\Tamaki, run for it! response:	What happened?!
context: I'll transfer the data.\Pull back while I keep'em busy with some diversionary shots!\Roger!\All units-\Look out!\There is a rapidly approaching high speed heat source!\Tamaki, run for it!\What happened?! response:	It's that fighter from way back...!
context: Pull back while I keep'em busy with some diversionary shots!\Roger!\All units-\Look out!\There is a rapidly approaching high speed heat source!\Tamaki, run for it!\What happened?!\It's that fighter from way back...! response:	He's dangerous! Get out of there, Big Brother!
context: Roger!\All units-\Look out!\There is a rapidly approaching high speed heat source!\Tamaki, run for it!\What happened?!\It's that fighter from way back...!\He's dangerous! Get out of there, Big Brother! response:	You heard him, Big Brother!
context: All units-\Look out!\There is a rapidly approaching high speed heat source!\Tamaki, run for it!\What happened?!\It's that fighter from way back...!\He's dangerous! Get out of there, Big Brother!\You heard him, Big Brother! response:	Verification on the hostile object: Complete!
context: Look out!\There is a rapidly approaching high speed heat source!\Tamaki, run for it!\What happened?!\It's that fighter from way back...!\He's dangerous! Get out of there, Big Brother!\You heard him, Big Brother!\Verification on the hostile object: Complete! response:	It's the guy from Ceres!
context: There is a rapidly approaching high speed heat source!\Tamaki, run for it!\What happened?!\It's that fighter from way back...!\He's dangerous! Get out of there, Big Brother!\You heard him, Big Brother!\Verification on the hostile object: Complete!\It's the guy from Ceres! response:	He's blocking our escape route.
context: Tamaki, run for it!\What happened?!\It's that fighter from way back...!\He's dangerous! Get out of there, Big Brother!\You heard him, Big Brother!\Verification on the hostile object: Complete!\It's the guy from Ceres!\He's blocking our escape route. response:	Are there any other routes?
context: What happened?!\It's that fighter from way back...!\He's dangerous! Get out of there, Big Brother!\You heard him, Big Brother!\Verification on the hostile object: Complete!\It's the guy from Ceres!\He's blocking our escape route.\Are there any other routes? response:	We'd have to cut straight through the middle of the enemy's fleet.
context: It's that fighter from way back...!\He's dangerous! Get out of there, Big Brother!\You heard him, Big Brother!\Verification on the hostile object: Complete!\It's the guy from Ceres!\He's blocking our escape route.\Are there any other routes?\We'd have to cut straight through the middle of the enemy's fleet. response:	This sucks...
context: He's dangerous! Get out of there, Big Brother!\You heard him, Big Brother!\Verification on the hostile object: Complete!\It's the guy from Ceres!\He's blocking our escape route.\Are there any other routes?\We'd have to cut straight through the middle of the enemy's fleet.\This sucks... response:	Why are you acting like wusses?!
context: You heard him, Big Brother!\Verification on the hostile object: Complete!\It's the guy from Ceres!\He's blocking our escape route.\Are there any other routes?\We'd have to cut straight through the middle of the enemy's fleet.\This sucks...\Why are you acting like wusses?! response:	It's just a single fighter!
context: Verification on the hostile object: Complete!\It's the guy from Ceres!\He's blocking our escape route.\Are there any other routes?\We'd have to cut straight through the middle of the enemy's fleet.\This sucks...\Why are you acting like wusses?!\It's just a single fighter! response:	I'm sure we'll manage somehow if everyone goes after him.
context: It's the guy from Ceres!\He's blocking our escape route.\Are there any other routes?\We'd have to cut straight through the middle of the enemy's fleet.\This sucks...\Why are you acting like wusses?!\It's just a single fighter!\I'm sure we'll manage somehow if everyone goes after him. response:	I guess that's our only option...
context: He's blocking our escape route.\Are there any other routes?\We'd have to cut straight through the middle of the enemy's fleet.\This sucks...\Why are you acting like wusses?!\It's just a single fighter!\I'm sure we'll manage somehow if everyone goes after him.\I guess that's our only option... response:	Kei, navigate!
context: Are there any other routes?\We'd have to cut straight through the middle of the enemy's fleet.\This sucks...\Why are you acting like wusses?!\It's just a single fighter!\I'm sure we'll manage somehow if everyone goes after him.\I guess that's our only option...\Kei, navigate! response:	Suruga, offer backup support!
context: We'd have to cut straight through the middle of the enemy's fleet.\This sucks...\Why are you acting like wusses?!\It's just a single fighter!\I'm sure we'll manage somehow if everyone goes after him.\I guess that's our only option...\Kei, navigate!\Suruga, offer backup support! response:	Roger!
context: This sucks...\Why are you acting like wusses?!\It's just a single fighter!\I'm sure we'll manage somehow if everyone goes after him.\I guess that's our only option...\Kei, navigate!\Suruga, offer backup support!\Roger! response:	Tamaki, take the front of the Kette.
context: Why are you acting like wusses?!\It's just a single fighter!\I'm sure we'll manage somehow if everyone goes after him.\I guess that's our only option...\Kei, navigate!\Suruga, offer backup support!\Roger!\Tamaki, take the front of the Kette. response:	Ange, take the support position.
context: It's just a single fighter!\I'm sure we'll manage somehow if everyone goes after him.\I guess that's our only option...\Kei, navigate!\Suruga, offer backup support!\Roger!\Tamaki, take the front of the Kette.\Ange, take the support position. response:	Roger!
context: I'm sure we'll manage somehow if everyone goes after him.\I guess that's our only option...\Kei, navigate!\Suruga, offer backup support!\Roger!\Tamaki, take the front of the Kette.\Ange, take the support position.\Roger! response:	Okay! Charge!
context: I guess that's our only option...\Kei, navigate!\Suruga, offer backup support!\Roger!\Tamaki, take the front of the Kette.\Ange, take the support position.\Roger!\Okay! Charge! response:	I may have lost my boosters, but I still have my weapons!
context: Kei, navigate!\Suruga, offer backup support!\Roger!\Tamaki, take the front of the Kette.\Ange, take the support position.\Roger!\Okay! Charge!\I may have lost my boosters, but I still have my weapons! response:	Leave him to me!
context: Suruga, offer backup support!\Roger!\Tamaki, take the front of the Kette.\Ange, take the support position.\Roger!\Okay! Charge!\I may have lost my boosters, but I still have my weapons!\Leave him to me! response:	He's in position!
context: Roger!\Tamaki, take the front of the Kette.\Ange, take the support position.\Roger!\Okay! Charge!\I may have lost my boosters, but I still have my weapons!\Leave him to me!\He's in position! response:	He dodged that?
context: Tamaki, take the front of the Kette.\Ange, take the support position.\Roger!\Okay! Charge!\I may have lost my boosters, but I still have my weapons!\Leave him to me!\He's in position!\He dodged that? response:	Damn it!
context: Ange, take the support position.\Roger!\Okay! Charge!\I may have lost my boosters, but I still have my weapons!\Leave him to me!\He's in position!\He dodged that?\Damn it! response:	I'm not done yet!
context: Roger!\Okay! Charge!\I may have lost my boosters, but I still have my weapons!\Leave him to me!\He's in position!\He dodged that?\Damn it!\I'm not done yet! response:	Big Brother!
context: Okay! Charge!\I may have lost my boosters, but I still have my weapons!\Leave him to me!\He's in position!\He dodged that?\Damn it!\I'm not done yet!\Big Brother! response:	How much energy do they have left?
context: I may have lost my boosters, but I still have my weapons!\Leave him to me!\He's in position!\He dodged that?\Damn it!\I'm not done yet!\Big Brother!\How much energy do they have left? response:	Blue 1 is at 1.9.
context: Leave him to me!\He's in position!\He dodged that?\Damn it!\I'm not done yet!\Big Brother!\How much energy do they have left?\Blue 1 is at 1.9. response:	He can't even get back off that...
context: He's in position!\He dodged that?\Damn it!\I'm not done yet!\Big Brother!\How much energy do they have left?\Blue 1 is at 1.9.\He can't even get back off that... response:	Should we send him a booster?
context: He dodged that?\Damn it!\I'm not done yet!\Big Brother!\How much energy do they have left?\Blue 1 is at 1.9.\He can't even get back off that...\Should we send him a booster? response:	Can we?
context: Damn it!\I'm not done yet!\Big Brother!\How much energy do they have left?\Blue 1 is at 1.9.\He can't even get back off that...\Should we send him a booster?\Can we? response:	The preparations are already complete,
context: I'm not done yet!\Big Brother!\How much energy do they have left?\Blue 1 is at 1.9.\He can't even get back off that...\Should we send him a booster?\Can we?\The preparations are already complete, response:	but I'm not sure the enemy will give him enough time to dock...
context: Big Brother!\How much energy do they have left?\Blue 1 is at 1.9.\He can't even get back off that...\Should we send him a booster?\Can we?\The preparations are already complete,\but I'm not sure the enemy will give him enough time to dock... response:	What are his chances of successfully docking?
context: How much energy do they have left?\Blue 1 is at 1.9.\He can't even get back off that...\Should we send him a booster?\Can we?\The preparations are already complete,\but I'm not sure the enemy will give him enough time to dock...\What are his chances of successfully docking? response:	43.8.
context: Blue 1 is at 1.9.\He can't even get back off that...\Should we send him a booster?\Can we?\The preparations are already complete,\but I'm not sure the enemy will give him enough time to dock...\What are his chances of successfully docking?\43.8. response:	It beats doing nothing and watching him
context: He can't even get back off that...\Should we send him a booster?\Can we?\The preparations are already complete,\but I'm not sure the enemy will give him enough time to dock...\What are his chances of successfully docking?\43.8.\It beats doing nothing and watching him response:	get cut down when he runs out of energy.
context: Should we send him a booster?\Can we?\The preparations are already complete,\but I'm not sure the enemy will give him enough time to dock...\What are his chances of successfully docking?\43.8.\It beats doing nothing and watching him\get cut down when he runs out of energy. response:	Launch it!
context: Can we?\The preparations are already complete,\but I'm not sure the enemy will give him enough time to dock...\What are his chances of successfully docking?\43.8.\It beats doing nothing and watching him\get cut down when he runs out of energy.\Launch it! response:	Roger!
context: The preparations are already complete,\but I'm not sure the enemy will give him enough time to dock...\What are his chances of successfully docking?\43.8.\It beats doing nothing and watching him\get cut down when he runs out of energy.\Launch it!\Roger! response:	Asagi, your booster is coming. Dock with it!
context: but I'm not sure the enemy will give him enough time to dock...\What are his chances of successfully docking?\43.8.\It beats doing nothing and watching him\get cut down when he runs out of energy.\Launch it!\Roger!\Asagi, your booster is coming. Dock with it! response:	Roger!
context: What are his chances of successfully docking?\43.8.\It beats doing nothing and watching him\get cut down when he runs out of energy.\Launch it!\Roger!\Asagi, your booster is coming. Dock with it!\Roger! response:	Ange, fill in for me right quick!
context: 43.8.\It beats doing nothing and watching him\get cut down when he runs out of energy.\Launch it!\Roger!\Asagi, your booster is coming. Dock with it!\Roger!\Ange, fill in for me right quick! response:	Sure thing! Suruga, back me up!
context: It beats doing nothing and watching him\get cut down when he runs out of energy.\Launch it!\Roger!\Asagi, your booster is coming. Dock with it!\Roger!\Ange, fill in for me right quick!\Sure thing! Suruga, back me up! response:	She finally said my name!
context: get cut down when he runs out of energy.\Launch it!\Roger!\Asagi, your booster is coming. Dock with it!\Roger!\Ange, fill in for me right quick!\Sure thing! Suruga, back me up!\She finally said my name! response:	Hurry it up, ya damn bug!
context: Launch it!\Roger!\Asagi, your booster is coming. Dock with it!\Roger!\Ange, fill in for me right quick!\Sure thing! Suruga, back me up!\She finally said my name!\Hurry it up, ya damn bug! response:	I'll help you out!
context: Roger!\Asagi, your booster is coming. Dock with it!\Roger!\Ange, fill in for me right quick!\Sure thing! Suruga, back me up!\She finally said my name!\Hurry it up, ya damn bug!\I'll help you out! response:	Reinforcements!
context: Asagi, your booster is coming. Dock with it!\Roger!\Ange, fill in for me right quick!\Sure thing! Suruga, back me up!\She finally said my name!\Hurry it up, ya damn bug!\I'll help you out!\Reinforcements! response:	To think that I would feel the urge to
context: Roger!\Ange, fill in for me right quick!\Sure thing! Suruga, back me up!\She finally said my name!\Hurry it up, ya damn bug!\I'll help you out!\Reinforcements!\To think that I would feel the urge to response:	immerse myself in the hunt after all this time!
context: Ange, fill in for me right quick!\Sure thing! Suruga, back me up!\She finally said my name!\Hurry it up, ya damn bug!\I'll help you out!\Reinforcements!\To think that I would feel the urge to\immerse myself in the hunt after all this time! response:	I never expected Dolgana to personally enter the fray!
context: Sure thing! Suruga, back me up!\She finally said my name!\Hurry it up, ya damn bug!\I'll help you out!\Reinforcements!\To think that I would feel the urge to\immerse myself in the hunt after all this time!\I never expected Dolgana to personally enter the fray! response:	He is the Wulgaru's greatest general.
