context: It hurts! response:	Mommy!
context: We Exorcists have been on the defensive for 2000 years,\now is our chance to take the offensive.\That's no answer.\I was asking why you didn't report to the Vatican.\As you can see, his powers are still incomplete.\Gregori wouldn't be satisfied with something incomplete, would he?\Then I'm gonna ask you again.\Did Shiro Fujimoto have anything to do with this case? response:	Anything? He was raising him until his flames got stronger.
context: now is our chance to take the offensive.\That's no answer.\I was asking why you didn't report to the Vatican.\As you can see, his powers are still incomplete.\Gregori wouldn't be satisfied with something incomplete, would he?\Then I'm gonna ask you again.\Did Shiro Fujimoto have anything to do with this case?\Anything? He was raising him until his flames got stronger. response:	I was just keeping an eye on him.
context: That's no answer.\I was asking why you didn't report to the Vatican.\As you can see, his powers are still incomplete.\Gregori wouldn't be satisfied with something incomplete, would he?\Then I'm gonna ask you again.\Did Shiro Fujimoto have anything to do with this case?\Anything? He was raising him until his flames got stronger.\I was just keeping an eye on him. response:	I see. Either way, I'll have to report this.
context: I was asking why you didn't report to the Vatican.\As you can see, his powers are still incomplete.\Gregori wouldn't be satisfied with something incomplete, would he?\Then I'm gonna ask you again.\Did Shiro Fujimoto have anything to do with this case?\Anything? He was raising him until his flames got stronger.\I was just keeping an eye on him.\I see. Either way, I'll have to report this. response:	But before that I gotta interrogate him. I'll use the Great Cell.
context: As you can see, his powers are still incomplete.\Gregori wouldn't be satisfied with something incomplete, would he?\Then I'm gonna ask you again.\Did Shiro Fujimoto have anything to do with this case?\Anything? He was raising him until his flames got stronger.\I was just keeping an eye on him.\I see. Either way, I'll have to report this.\But before that I gotta interrogate him. I'll use the Great Cell. response:	Feel free to. He's a real laugh.
context: Gregori wouldn't be satisfied with something incomplete, would he?\Then I'm gonna ask you again.\Did Shiro Fujimoto have anything to do with this case?\Anything? He was raising him until his flames got stronger.\I was just keeping an eye on him.\I see. Either way, I'll have to report this.\But before that I gotta interrogate him. I'll use the Great Cell.\Feel free to. He's a real laugh. response:	Don't act so relaxed. You'll be sorry for this.
context: Then I'm gonna ask you again.\Did Shiro Fujimoto have anything to do with this case?\Anything? He was raising him until his flames got stronger.\I was just keeping an eye on him.\I see. Either way, I'll have to report this.\But before that I gotta interrogate him. I'll use the Great Cell.\Feel free to. He's a real laugh.\Don't act so relaxed. You'll be sorry for this. response:	Shura, wait! It's pointless to question my brother.
context: Did Shiro Fujimoto have anything to do with this case?\Anything? He was raising him until his flames got stronger.\I was just keeping an eye on him.\I see. Either way, I'll have to report this.\But before that I gotta interrogate him. I'll use the Great Cell.\Feel free to. He's a real laugh.\Don't act so relaxed. You'll be sorry for this.\Shura, wait! It's pointless to question my brother. response:	I'll explain everything.
context: Anything? He was raising him until his flames got stronger.\I was just keeping an eye on him.\I see. Either way, I'll have to report this.\But before that I gotta interrogate him. I'll use the Great Cell.\Feel free to. He's a real laugh.\Don't act so relaxed. You'll be sorry for this.\Shura, wait! It's pointless to question my brother.\I'll explain everything. response:	You sure haven't changed, Yukio.
context: I was just keeping an eye on him.\I see. Either way, I'll have to report this.\But before that I gotta interrogate him. I'll use the Great Cell.\Feel free to. He's a real laugh.\Don't act so relaxed. You'll be sorry for this.\Shura, wait! It's pointless to question my brother.\I'll explain everything.\You sure haven't changed, Yukio. response:	Well okay, you did get taller.
context: I see. Either way, I'll have to report this.\But before that I gotta interrogate him. I'll use the Great Cell.\Feel free to. He's a real laugh.\Don't act so relaxed. You'll be sorry for this.\Shura, wait! It's pointless to question my brother.\I'll explain everything.\You sure haven't changed, Yukio.\Well okay, you did get taller. response:	Huh?
context: But before that I gotta interrogate him. I'll use the Great Cell.\Feel free to. He's a real laugh.\Don't act so relaxed. You'll be sorry for this.\Shura, wait! It's pointless to question my brother.\I'll explain everything.\You sure haven't changed, Yukio.\Well okay, you did get taller.\Huh? response:	Thanks for the trouble, go home and hit your bunk.
context: Feel free to. He's a real laugh.\Don't act so relaxed. You'll be sorry for this.\Shura, wait! It's pointless to question my brother.\I'll explain everything.\You sure haven't changed, Yukio.\Well okay, you did get taller.\Huh?\Thanks for the trouble, go home and hit your bunk. response:	Shura!
context: Don't act so relaxed. You'll be sorry for this.\Shura, wait! It's pointless to question my brother.\I'll explain everything.\You sure haven't changed, Yukio.\Well okay, you did get taller.\Huh?\Thanks for the trouble, go home and hit your bunk.\Shura! response:	You sure were meek like a scared little kitty cat.
context: Shura, wait! It's pointless to question my brother.\I'll explain everything.\You sure haven't changed, Yukio.\Well okay, you did get taller.\Huh?\Thanks for the trouble, go home and hit your bunk.\Shura!\You sure were meek like a scared little kitty cat. response:	You knew my dad and Yukio?
context: I'll explain everything.\You sure haven't changed, Yukio.\Well okay, you did get taller.\Huh?\Thanks for the trouble, go home and hit your bunk.\Shura!\You sure were meek like a scared little kitty cat.\You knew my dad and Yukio? response:	Well... I was Shiro Fujimoto's apprentice.
context: You sure haven't changed, Yukio.\Well okay, you did get taller.\Huh?\Thanks for the trouble, go home and hit your bunk.\Shura!\You sure were meek like a scared little kitty cat.\You knew my dad and Yukio?\Well... I was Shiro Fujimoto's apprentice. response:	Apprentice?
context: Well okay, you did get taller.\Huh?\Thanks for the trouble, go home and hit your bunk.\Shura!\You sure were meek like a scared little kitty cat.\You knew my dad and Yukio?\Well... I was Shiro Fujimoto's apprentice.\Apprentice? response:	Then are you a nun?
context: Huh?\Thanks for the trouble, go home and hit your bunk.\Shura!\You sure were meek like a scared little kitty cat.\You knew my dad and Yukio?\Well... I was Shiro Fujimoto's apprentice.\Apprentice?\Then are you a nun? response:	Unfortunately I've never once prayed to God.
context: Thanks for the trouble, go home and hit your bunk.\Shura!\You sure were meek like a scared little kitty cat.\You knew my dad and Yukio?\Well... I was Shiro Fujimoto's apprentice.\Apprentice?\Then are you a nun?\Unfortunately I've never once prayed to God. response:	I grew up in a place outside the range of reason.
context: Shura!\You sure were meek like a scared little kitty cat.\You knew my dad and Yukio?\Well... I was Shiro Fujimoto's apprentice.\Apprentice?\Then are you a nun?\Unfortunately I've never once prayed to God.\I grew up in a place outside the range of reason. response:	Shiro Fujimoto saved me from staying alive every day just for the sake of staying alive.
context: You sure were meek like a scared little kitty cat.\You knew my dad and Yukio?\Well... I was Shiro Fujimoto's apprentice.\Apprentice?\Then are you a nun?\Unfortunately I've never once prayed to God.\I grew up in a place outside the range of reason.\Shiro Fujimoto saved me from staying alive every day just for the sake of staying alive. response:	That was way before you two were born.
context: You knew my dad and Yukio?\Well... I was Shiro Fujimoto's apprentice.\Apprentice?\Then are you a nun?\Unfortunately I've never once prayed to God.\I grew up in a place outside the range of reason.\Shiro Fujimoto saved me from staying alive every day just for the sake of staying alive.\That was way before you two were born. response:	What's wrong? Did you get hurt earlier?
context: Well... I was Shiro Fujimoto's apprentice.\Apprentice?\Then are you a nun?\Unfortunately I've never once prayed to God.\I grew up in a place outside the range of reason.\Shiro Fujimoto saved me from staying alive every day just for the sake of staying alive.\That was way before you two were born.\What's wrong? Did you get hurt earlier? response:	Idiot! How could you fall for that?
context: Apprentice?\Then are you a nun?\Unfortunately I've never once prayed to God.\I grew up in a place outside the range of reason.\Shiro Fujimoto saved me from staying alive every day just for the sake of staying alive.\That was way before you two were born.\What's wrong? Did you get hurt earlier?\Idiot! How could you fall for that? response:	Was this shit so cheap you'll let anyone take it?
context: Then are you a nun?\Unfortunately I've never once prayed to God.\I grew up in a place outside the range of reason.\Shiro Fujimoto saved me from staying alive every day just for the sake of staying alive.\That was way before you two were born.\What's wrong? Did you get hurt earlier?\Idiot! How could you fall for that?\Was this shit so cheap you'll let anyone take it? response:	Like hell!
context: Unfortunately I've never once prayed to God.\I grew up in a place outside the range of reason.\Shiro Fujimoto saved me from staying alive every day just for the sake of staying alive.\That was way before you two were born.\What's wrong? Did you get hurt earlier?\Idiot! How could you fall for that?\Was this shit so cheap you'll let anyone take it?\Like hell! response:	The sword is still sheathed...
context: I grew up in a place outside the range of reason.\Shiro Fujimoto saved me from staying alive every day just for the sake of staying alive.\That was way before you two were born.\What's wrong? Did you get hurt earlier?\Idiot! How could you fall for that?\Was this shit so cheap you'll let anyone take it?\Like hell!\The sword is still sheathed... response:	So the Demon-Slaying Blade can't suppress his power completely?
context: Shiro Fujimoto saved me from staying alive every day just for the sake of staying alive.\That was way before you two were born.\What's wrong? Did you get hurt earlier?\Idiot! How could you fall for that?\Was this shit so cheap you'll let anyone take it?\Like hell!\The sword is still sheathed...\So the Demon-Slaying Blade can't suppress his power completely? response:	You want me to take that scaredy four-eyes as my pupil?
context: That was way before you two were born.\What's wrong? Did you get hurt earlier?\Idiot! How could you fall for that?\Was this shit so cheap you'll let anyone take it?\Like hell!\The sword is still sheathed...\So the Demon-Slaying Blade can't suppress his power completely?\You want me to take that scaredy four-eyes as my pupil? response:	No, the other one.
context: What's wrong? Did you get hurt earlier?\Idiot! How could you fall for that?\Was this shit so cheap you'll let anyone take it?\Like hell!\The sword is still sheathed...\So the Demon-Slaying Blade can't suppress his power completely?\You want me to take that scaredy four-eyes as my pupil?\No, the other one. response:	He's a laugh.
context: Idiot! How could you fall for that?\Was this shit so cheap you'll let anyone take it?\Like hell!\The sword is still sheathed...\So the Demon-Slaying Blade can't suppress his power completely?\You want me to take that scaredy four-eyes as my pupil?\No, the other one.\He's a laugh. response:	Huh? Why me?
context: Was this shit so cheap you'll let anyone take it?\Like hell!\The sword is still sheathed...\So the Demon-Slaying Blade can't suppress his power completely?\You want me to take that scaredy four-eyes as my pupil?\No, the other one.\He's a laugh.\Huh? Why me? response:	Because you're familiar with using demon swords.
context: Like hell!\The sword is still sheathed...\So the Demon-Slaying Blade can't suppress his power completely?\You want me to take that scaredy four-eyes as my pupil?\No, the other one.\He's a laugh.\Huh? Why me?\Because you're familiar with using demon swords. response:	Are you going to give him a demon sword?
context: The sword is still sheathed...\So the Demon-Slaying Blade can't suppress his power completely?\You want me to take that scaredy four-eyes as my pupil?\No, the other one.\He's a laugh.\Huh? Why me?\Because you're familiar with using demon swords.\Are you going to give him a demon sword? response:	Giving a demon sword to a child is insanity.
context: So the Demon-Slaying Blade can't suppress his power completely?\You want me to take that scaredy four-eyes as my pupil?\No, the other one.\He's a laugh.\Huh? Why me?\Because you're familiar with using demon swords.\Are you going to give him a demon sword?\Giving a demon sword to a child is insanity. response:	You should know that!
context: You want me to take that scaredy four-eyes as my pupil?\No, the other one.\He's a laugh.\Huh? Why me?\Because you're familiar with using demon swords.\Are you going to give him a demon sword?\Giving a demon sword to a child is insanity.\You should know that! response:	I know. But we have no other choice.
context: No, the other one.\He's a laugh.\Huh? Why me?\Because you're familiar with using demon swords.\Are you going to give him a demon sword?\Giving a demon sword to a child is insanity.\You should know that!\I know. But we have no other choice. response:	If something ever happens to me...
context: He's a laugh.\Huh? Why me?\Because you're familiar with using demon swords.\Are you going to give him a demon sword?\Giving a demon sword to a child is insanity.\You should know that!\I know. But we have no other choice.\If something ever happens to me... response:	Please, teach him how to use his sword.
context: Huh? Why me?\Because you're familiar with using demon swords.\Are you going to give him a demon sword?\Giving a demon sword to a child is insanity.\You should know that!\I know. But we have no other choice.\If something ever happens to me...\Please, teach him how to use his sword. response:	I beg you.
context: Because you're familiar with using demon swords.\Are you going to give him a demon sword?\Giving a demon sword to a child is insanity.\You should know that!\I know. But we have no other choice.\If something ever happens to me...\Please, teach him how to use his sword.\I beg you. response:	What the hell? You were so cool and strong and perfect, what happened to you?!
context: Are you going to give him a demon sword?\Giving a demon sword to a child is insanity.\You should know that!\I know. But we have no other choice.\If something ever happens to me...\Please, teach him how to use his sword.\I beg you.\What the hell? You were so cool and strong and perfect, what happened to you?! response:	Are you scared because you saw a glance of the end of your road?
context: Giving a demon sword to a child is insanity.\You should know that!\I know. But we have no other choice.\If something ever happens to me...\Please, teach him how to use his sword.\I beg you.\What the hell? You were so cool and strong and perfect, what happened to you?!\Are you scared because you saw a glance of the end of your road? response:	You threw me away, and now you want to push that kid on me too?
context: You should know that!\I know. But we have no other choice.\If something ever happens to me...\Please, teach him how to use his sword.\I beg you.\What the hell? You were so cool and strong and perfect, what happened to you?!\Are you scared because you saw a glance of the end of your road?\You threw me away, and now you want to push that kid on me too? response:	I misjudged you. Never show yourself in front of me again!
context: I know. But we have no other choice.\If something ever happens to me...\Please, teach him how to use his sword.\I beg you.\What the hell? You were so cool and strong and perfect, what happened to you?!\Are you scared because you saw a glance of the end of your road?\You threw me away, and now you want to push that kid on me too?\I misjudged you. Never show yourself in front of me again! response:	Shiro... I wanted to believe in you.
context: If something ever happens to me...\Please, teach him how to use his sword.\I beg you.\What the hell? You were so cool and strong and perfect, what happened to you?!\Are you scared because you saw a glance of the end of your road?\You threw me away, and now you want to push that kid on me too?\I misjudged you. Never show yourself in front of me again!\Shiro... I wanted to believe in you. response:	I wanted to believe that you're the strongest.
context: Please, teach him how to use his sword.\I beg you.\What the hell? You were so cool and strong and perfect, what happened to you?!\Are you scared because you saw a glance of the end of your road?\You threw me away, and now you want to push that kid on me too?\I misjudged you. Never show yourself in front of me again!\Shiro... I wanted to believe in you.\I wanted to believe that you're the strongest. response:	Sever the head of the snake...
context: I beg you.\What the hell? You were so cool and strong and perfect, what happened to you?!\Are you scared because you saw a glance of the end of your road?\You threw me away, and now you want to push that kid on me too?\I misjudged you. Never show yourself in front of me again!\Shiro... I wanted to believe in you.\I wanted to believe that you're the strongest.\Sever the head of the snake... response:	that devours the eight princesses!
context: What the hell? You were so cool and strong and perfect, what happened to you?!\Are you scared because you saw a glance of the end of your road?\You threw me away, and now you want to push that kid on me too?\I misjudged you. Never show yourself in front of me again!\Shiro... I wanted to believe in you.\I wanted to believe that you're the strongest.\Sever the head of the snake...\that devours the eight princesses! response:	Why? Why would my dad's apprentice point her sword at me?
context: Are you scared because you saw a glance of the end of your road?\You threw me away, and now you want to push that kid on me too?\I misjudged you. Never show yourself in front of me again!\Shiro... I wanted to believe in you.\I wanted to believe that you're the strongest.\Sever the head of the snake...\that devours the eight princesses!\Why? Why would my dad's apprentice point her sword at me? response:	The day Shiro died the Vatican headquarters dispatched me as High Inspector with secret orders.
