context: Damn! I can't move! response:	Fool! You can jump or run... but you can't escape my wind!
context: But... Naraku has...\Yes!\That one!\He has the power to sever the bond between me and Naraku!\W-What is this?!\Yo!\Yo?! Why you!\Wind Sorceress Kagura, I recall? response:	I'm glad you remembered me.
context: Yes!\That one!\He has the power to sever the bond between me and Naraku!\W-What is this?!\Yo!\Yo?! Why you!\Wind Sorceress Kagura, I recall?\I'm glad you remembered me. response:	Take your hand off your sword.
context: That one!\He has the power to sever the bond between me and Naraku!\W-What is this?!\Yo!\Yo?! Why you!\Wind Sorceress Kagura, I recall?\I'm glad you remembered me.\Take your hand off your sword. response:	I didn't come here to fight.
context: He has the power to sever the bond between me and Naraku!\W-What is this?!\Yo!\Yo?! Why you!\Wind Sorceress Kagura, I recall?\I'm glad you remembered me.\Take your hand off your sword.\I didn't come here to fight. response:	Sesshomaru, I want to make a deal with you.
context: W-What is this?!\Yo!\Yo?! Why you!\Wind Sorceress Kagura, I recall?\I'm glad you remembered me.\Take your hand off your sword.\I didn't come here to fight.\Sesshomaru, I want to make a deal with you. response:	A deal?
context: Yo!\Yo?! Why you!\Wind Sorceress Kagura, I recall?\I'm glad you remembered me.\Take your hand off your sword.\I didn't come here to fight.\Sesshomaru, I want to make a deal with you.\A deal? response:	You know what these are.
context: Yo?! Why you!\Wind Sorceress Kagura, I recall?\I'm glad you remembered me.\Take your hand off your sword.\I didn't come here to fight.\Sesshomaru, I want to make a deal with you.\A deal?\You know what these are. response:	I'll give these Sacred Jewel shards to you.
context: Wind Sorceress Kagura, I recall?\I'm glad you remembered me.\Take your hand off your sword.\I didn't come here to fight.\Sesshomaru, I want to make a deal with you.\A deal?\You know what these are.\I'll give these Sacred Jewel shards to you. response:	In return... kill Naraku.
context: I'm glad you remembered me.\Take your hand off your sword.\I didn't come here to fight.\Sesshomaru, I want to make a deal with you.\A deal?\You know what these are.\I'll give these Sacred Jewel shards to you.\In return... kill Naraku. response:	What?!
context: Take your hand off your sword.\I didn't come here to fight.\Sesshomaru, I want to make a deal with you.\A deal?\You know what these are.\I'll give these Sacred Jewel shards to you.\In return... kill Naraku.\What?! response:	Free me from his grip.
context: I didn't come here to fight.\Sesshomaru, I want to make a deal with you.\A deal?\You know what these are.\I'll give these Sacred Jewel shards to you.\In return... kill Naraku.\What?!\Free me from his grip. response:	You have the power to do it.
context: Sesshomaru, I want to make a deal with you.\A deal?\You know what these are.\I'll give these Sacred Jewel shards to you.\In return... kill Naraku.\What?!\Free me from his grip.\You have the power to do it. response:	When you kill Naraku,
context: A deal?\You know what these are.\I'll give these Sacred Jewel shards to you.\In return... kill Naraku.\What?!\Free me from his grip.\You have the power to do it.\When you kill Naraku, response:	all the Sacred Jewel shards he has gathered will be yours.
context: You know what these are.\I'll give these Sacred Jewel shards to you.\In return... kill Naraku.\What?!\Free me from his grip.\You have the power to do it.\When you kill Naraku,\all the Sacred Jewel shards he has gathered will be yours. response:	Let's use these shards and have some fun.
context: I'll give these Sacred Jewel shards to you.\In return... kill Naraku.\What?!\Free me from his grip.\You have the power to do it.\When you kill Naraku,\all the Sacred Jewel shards he has gathered will be yours.\Let's use these shards and have some fun. response:	You intend to betray Naraku?
context: In return... kill Naraku.\What?!\Free me from his grip.\You have the power to do it.\When you kill Naraku,\all the Sacred Jewel shards he has gathered will be yours.\Let's use these shards and have some fun.\You intend to betray Naraku? response:	It's not like I ever wanted to be under his command.
context: What?!\Free me from his grip.\You have the power to do it.\When you kill Naraku,\all the Sacred Jewel shards he has gathered will be yours.\Let's use these shards and have some fun.\You intend to betray Naraku?\It's not like I ever wanted to be under his command. response:	Well, Sesshomaru?
context: Free me from his grip.\You have the power to do it.\When you kill Naraku,\all the Sacred Jewel shards he has gathered will be yours.\Let's use these shards and have some fun.\You intend to betray Naraku?\It's not like I ever wanted to be under his command.\Well, Sesshomaru? response:	I don't think it's a bad idea to team up with me.
context: You have the power to do it.\When you kill Naraku,\all the Sacred Jewel shards he has gathered will be yours.\Let's use these shards and have some fun.\You intend to betray Naraku?\It's not like I ever wanted to be under his command.\Well, Sesshomaru?\I don't think it's a bad idea to team up with me. response:	Unfortunately, I have no interest in the Sacred Jewel.
context: When you kill Naraku,\all the Sacred Jewel shards he has gathered will be yours.\Let's use these shards and have some fun.\You intend to betray Naraku?\It's not like I ever wanted to be under his command.\Well, Sesshomaru?\I don't think it's a bad idea to team up with me.\Unfortunately, I have no interest in the Sacred Jewel. response:	If you wish to become free,
context: all the Sacred Jewel shards he has gathered will be yours.\Let's use these shards and have some fun.\You intend to betray Naraku?\It's not like I ever wanted to be under his command.\Well, Sesshomaru?\I don't think it's a bad idea to team up with me.\Unfortunately, I have no interest in the Sacred Jewel.\If you wish to become free, response:	use those shards yourself and destroy Naraku.
context: Let's use these shards and have some fun.\You intend to betray Naraku?\It's not like I ever wanted to be under his command.\Well, Sesshomaru?\I don't think it's a bad idea to team up with me.\Unfortunately, I have no interest in the Sacred Jewel.\If you wish to become free,\use those shards yourself and destroy Naraku. response:	Are you afraid of Naraku?
context: You intend to betray Naraku?\It's not like I ever wanted to be under his command.\Well, Sesshomaru?\I don't think it's a bad idea to team up with me.\Unfortunately, I have no interest in the Sacred Jewel.\If you wish to become free,\use those shards yourself and destroy Naraku.\Are you afraid of Naraku? response:	I'm just saying I'm under no obligation to help you.
context: It's not like I ever wanted to be under his command.\Well, Sesshomaru?\I don't think it's a bad idea to team up with me.\Unfortunately, I have no interest in the Sacred Jewel.\If you wish to become free,\use those shards yourself and destroy Naraku.\Are you afraid of Naraku?\I'm just saying I'm under no obligation to help you. response:	If you don't have the resolve to go it alone,
context: Well, Sesshomaru?\I don't think it's a bad idea to team up with me.\Unfortunately, I have no interest in the Sacred Jewel.\If you wish to become free,\use those shards yourself and destroy Naraku.\Are you afraid of Naraku?\I'm just saying I'm under no obligation to help you.\If you don't have the resolve to go it alone, response:	don't even think about betrayal.
context: I don't think it's a bad idea to team up with me.\Unfortunately, I have no interest in the Sacred Jewel.\If you wish to become free,\use those shards yourself and destroy Naraku.\Are you afraid of Naraku?\I'm just saying I'm under no obligation to help you.\If you don't have the resolve to go it alone,\don't even think about betrayal. response:	Why you coward! You still call yourself a man?!
context: Unfortunately, I have no interest in the Sacred Jewel.\If you wish to become free,\use those shards yourself and destroy Naraku.\Are you afraid of Naraku?\I'm just saying I'm under no obligation to help you.\If you don't have the resolve to go it alone,\don't even think about betrayal.\Why you coward! You still call yourself a man?! response:	W-What?!
context: If you wish to become free,\use those shards yourself and destroy Naraku.\Are you afraid of Naraku?\I'm just saying I'm under no obligation to help you.\If you don't have the resolve to go it alone,\don't even think about betrayal.\Why you coward! You still call yourself a man?!\W-What?! response:	Fool!
context: use those shards yourself and destroy Naraku.\Are you afraid of Naraku?\I'm just saying I'm under no obligation to help you.\If you don't have the resolve to go it alone,\don't even think about betrayal.\Why you coward! You still call yourself a man?!\W-What?!\Fool! response:	Why, that woman!
context: Are you afraid of Naraku?\I'm just saying I'm under no obligation to help you.\If you don't have the resolve to go it alone,\don't even think about betrayal.\Why you coward! You still call yourself a man?!\W-What?!\Fool!\Why, that woman! response:	I wonder if she really intended to make you her protector?
context: I'm just saying I'm under no obligation to help you.\If you don't have the resolve to go it alone,\don't even think about betrayal.\Why you coward! You still call yourself a man?!\W-What?!\Fool!\Why, that woman!\I wonder if she really intended to make you her protector? response:	Talk about gall... the nerve of her!
context: If you don't have the resolve to go it alone,\don't even think about betrayal.\Why you coward! You still call yourself a man?!\W-What?!\Fool!\Why, that woman!\I wonder if she really intended to make you her protector?\Talk about gall... the nerve of her! response:	Apart of Naraku... That's all she is!
context: don't even think about betrayal.\Why you coward! You still call yourself a man?!\W-What?!\Fool!\Why, that woman!\I wonder if she really intended to make you her protector?\Talk about gall... the nerve of her!\Apart of Naraku... That's all she is! response:	Lord Sesshomaru is so strong!
context: Why you coward! You still call yourself a man?!\W-What?!\Fool!\Why, that woman!\I wonder if she really intended to make you her protector?\Talk about gall... the nerve of her!\Apart of Naraku... That's all she is!\Lord Sesshomaru is so strong! response:	You don't need the power of the Sacred Jewel!
context: W-What?!\Fool!\Why, that woman!\I wonder if she really intended to make you her protector?\Talk about gall... the nerve of her!\Apart of Naraku... That's all she is!\Lord Sesshomaru is so strong!\You don't need the power of the Sacred Jewel! response:	Kagura... the Wind Sorceress
context: Fool!\Why, that woman!\I wonder if she really intended to make you her protector?\Talk about gall... the nerve of her!\Apart of Naraku... That's all she is!\Lord Sesshomaru is so strong!\You don't need the power of the Sacred Jewel!\Kagura... the Wind Sorceress response:	I wonder if she can use the Sacred Jewel and defeat Naraku by herself?
context: Why, that woman!\I wonder if she really intended to make you her protector?\Talk about gall... the nerve of her!\Apart of Naraku... That's all she is!\Lord Sesshomaru is so strong!\You don't need the power of the Sacred Jewel!\Kagura... the Wind Sorceress\I wonder if she can use the Sacred Jewel and defeat Naraku by herself? response:	But however it turns out... It doesn't matter to me.
context: I wonder if she really intended to make you her protector?\Talk about gall... the nerve of her!\Apart of Naraku... That's all she is!\Lord Sesshomaru is so strong!\You don't need the power of the Sacred Jewel!\Kagura... the Wind Sorceress\I wonder if she can use the Sacred Jewel and defeat Naraku by herself?\But however it turns out... It doesn't matter to me. response:	Lord Sesshomaru, leaving already?
context: Talk about gall... the nerve of her!\Apart of Naraku... That's all she is!\Lord Sesshomaru is so strong!\You don't need the power of the Sacred Jewel!\Kagura... the Wind Sorceress\I wonder if she can use the Sacred Jewel and defeat Naraku by herself?\But however it turns out... It doesn't matter to me.\Lord Sesshomaru, leaving already? response:	Oops... I forgot. Now come.
context: Apart of Naraku... That's all she is!\Lord Sesshomaru is so strong!\You don't need the power of the Sacred Jewel!\Kagura... the Wind Sorceress\I wonder if she can use the Sacred Jewel and defeat Naraku by herself?\But however it turns out... It doesn't matter to me.\Lord Sesshomaru, leaving already?\Oops... I forgot. Now come. response:	Lord Sesshomaru...
context: Lord Sesshomaru is so strong!\You don't need the power of the Sacred Jewel!\Kagura... the Wind Sorceress\I wonder if she can use the Sacred Jewel and defeat Naraku by herself?\But however it turns out... It doesn't matter to me.\Lord Sesshomaru, leaving already?\Oops... I forgot. Now come.\Lord Sesshomaru... response:	I am not lonely anymore.
context: You don't need the power of the Sacred Jewel!\Kagura... the Wind Sorceress\I wonder if she can use the Sacred Jewel and defeat Naraku by herself?\But however it turns out... It doesn't matter to me.\Lord Sesshomaru, leaving already?\Oops... I forgot. Now come.\Lord Sesshomaru...\I am not lonely anymore. response:	But I wonder if she was lonely because she was all alone?
context: Kagura... the Wind Sorceress\I wonder if she can use the Sacred Jewel and defeat Naraku by herself?\But however it turns out... It doesn't matter to me.\Lord Sesshomaru, leaving already?\Oops... I forgot. Now come.\Lord Sesshomaru...\I am not lonely anymore.\But I wonder if she was lonely because she was all alone? response:	Lord Sesshomaru! What shall we do about dinner?
context: I wonder if she can use the Sacred Jewel and defeat Naraku by herself?\But however it turns out... It doesn't matter to me.\Lord Sesshomaru, leaving already?\Oops... I forgot. Now come.\Lord Sesshomaru...\I am not lonely anymore.\But I wonder if she was lonely because she was all alone?\Lord Sesshomaru! What shall we do about dinner? response:	Oww!
context: But however it turns out... It doesn't matter to me.\Lord Sesshomaru, leaving already?\Oops... I forgot. Now come.\Lord Sesshomaru...\I am not lonely anymore.\But I wonder if she was lonely because she was all alone?\Lord Sesshomaru! What shall we do about dinner?\Oww! response:	Oh, maybe I wound it too tight.
context: Lord Sesshomaru, leaving already?\Oops... I forgot. Now come.\Lord Sesshomaru...\I am not lonely anymore.\But I wonder if she was lonely because she was all alone?\Lord Sesshomaru! What shall we do about dinner?\Oww!\Oh, maybe I wound it too tight. response:	No.
context: Oops... I forgot. Now come.\Lord Sesshomaru...\I am not lonely anymore.\But I wonder if she was lonely because she was all alone?\Lord Sesshomaru! What shall we do about dinner?\Oww!\Oh, maybe I wound it too tight.\No. response:	Thanks.
context: Lord Sesshomaru...\I am not lonely anymore.\But I wonder if she was lonely because she was all alone?\Lord Sesshomaru! What shall we do about dinner?\Oww!\Oh, maybe I wound it too tight.\No.\Thanks. response:	Because of your gentleness, I don't feel the pain anymore.
context: I am not lonely anymore.\But I wonder if she was lonely because she was all alone?\Lord Sesshomaru! What shall we do about dinner?\Oww!\Oh, maybe I wound it too tight.\No.\Thanks.\Because of your gentleness, I don't feel the pain anymore. response:	Leave that half-dead wolf demon alone, Kagome!
context: But I wonder if she was lonely because she was all alone?\Lord Sesshomaru! What shall we do about dinner?\Oww!\Oh, maybe I wound it too tight.\No.\Thanks.\Because of your gentleness, I don't feel the pain anymore.\Leave that half-dead wolf demon alone, Kagome! response:	What?!
context: Lord Sesshomaru! What shall we do about dinner?\Oww!\Oh, maybe I wound it too tight.\No.\Thanks.\Because of your gentleness, I don't feel the pain anymore.\Leave that half-dead wolf demon alone, Kagome!\What?! response:	If it doesn't hurt anymore, just go on home!
context: Oww!\Oh, maybe I wound it too tight.\No.\Thanks.\Because of your gentleness, I don't feel the pain anymore.\Leave that half-dead wolf demon alone, Kagome!\What?!\If it doesn't hurt anymore, just go on home! response:	You runt!
context: Oh, maybe I wound it too tight.\No.\Thanks.\Because of your gentleness, I don't feel the pain anymore.\Leave that half-dead wolf demon alone, Kagome!\What?!\If it doesn't hurt anymore, just go on home!\You runt! response:	What about you?!
context: No.\Thanks.\Because of your gentleness, I don't feel the pain anymore.\Leave that half-dead wolf demon alone, Kagome!\What?!\If it doesn't hurt anymore, just go on home!\You runt!\What about you?! response:	Standing there weak and mortal!
context: Thanks.\Because of your gentleness, I don't feel the pain anymore.\Leave that half-dead wolf demon alone, Kagome!\What?!\If it doesn't hurt anymore, just go on home!\You runt!\What about you?!\Standing there weak and mortal! response:	You should talk?!
context: Because of your gentleness, I don't feel the pain anymore.\Leave that half-dead wolf demon alone, Kagome!\What?!\If it doesn't hurt anymore, just go on home!\You runt!\What about you?!\Standing there weak and mortal!\You should talk?! response:	Wanna fight?!
context: Leave that half-dead wolf demon alone, Kagome!\What?!\If it doesn't hurt anymore, just go on home!\You runt!\What about you?!\Standing there weak and mortal!\You should talk?!\Wanna fight?! response:	With pleasure!
context: What?!\If it doesn't hurt anymore, just go on home!\You runt!\What about you?!\Standing there weak and mortal!\You should talk?!\Wanna fight?!\With pleasure! response:	Hey... Aren't we going to take back the Sacred Jewel shards?
context: If it doesn't hurt anymore, just go on home!\You runt!\What about you?!\Standing there weak and mortal!\You should talk?!\Wanna fight?!\With pleasure!\Hey... Aren't we going to take back the Sacred Jewel shards? response:	Why must you come along?!
context: You runt!\What about you?!\Standing there weak and mortal!\You should talk?!\Wanna fight?!\With pleasure!\Hey... Aren't we going to take back the Sacred Jewel shards?\Why must you come along?! response:	Shaddup! They belong to me! Why would I let you have them?!
context: What about you?!\Standing there weak and mortal!\You should talk?!\Wanna fight?!\With pleasure!\Hey... Aren't we going to take back the Sacred Jewel shards?\Why must you come along?!\Shaddup! They belong to me! Why would I let you have them?! response:	Then Kagura hasn't returned to the castle?
context: Standing there weak and mortal!\You should talk?!\Wanna fight?!\With pleasure!\Hey... Aren't we going to take back the Sacred Jewel shards?\Why must you come along?!\Shaddup! They belong to me! Why would I let you have them?!\Then Kagura hasn't returned to the castle? response:	No.
context: You should talk?!\Wanna fight?!\With pleasure!\Hey... Aren't we going to take back the Sacred Jewel shards?\Why must you come along?!\Shaddup! They belong to me! Why would I let you have them?!\Then Kagura hasn't returned to the castle?\No. response:	Instead, I feel as though the Sacred Jewel shards are going...
context: Wanna fight?!\With pleasure!\Hey... Aren't we going to take back the Sacred Jewel shards?\Why must you come along?!\Shaddup! They belong to me! Why would I let you have them?!\Then Kagura hasn't returned to the castle?\No.\Instead, I feel as though the Sacred Jewel shards are going... response:	farther and farther away from Naraku's castle.
context: With pleasure!\Hey... Aren't we going to take back the Sacred Jewel shards?\Why must you come along?!\Shaddup! They belong to me! Why would I let you have them?!\Then Kagura hasn't returned to the castle?\No.\Instead, I feel as though the Sacred Jewel shards are going...\farther and farther away from Naraku's castle. response:	What's going on?!
context: Hey... Aren't we going to take back the Sacred Jewel shards?\Why must you come along?!\Shaddup! They belong to me! Why would I let you have them?!\Then Kagura hasn't returned to the castle?\No.\Instead, I feel as though the Sacred Jewel shards are going...\farther and farther away from Naraku's castle.\What's going on?! response:	Kagura is an offshoot of Naraku himself.
context: Why must you come along?!\Shaddup! They belong to me! Why would I let you have them?!\Then Kagura hasn't returned to the castle?\No.\Instead, I feel as though the Sacred Jewel shards are going...\farther and farther away from Naraku's castle.\What's going on?!\Kagura is an offshoot of Naraku himself. response:	Isn't she acting according to Naraku's will?
context: Shaddup! They belong to me! Why would I let you have them?!\Then Kagura hasn't returned to the castle?\No.\Instead, I feel as though the Sacred Jewel shards are going...\farther and farther away from Naraku's castle.\What's going on?!\Kagura is an offshoot of Naraku himself.\Isn't she acting according to Naraku's will? response:	Does that mean Kagura is stealing the shards?
context: Then Kagura hasn't returned to the castle?\No.\Instead, I feel as though the Sacred Jewel shards are going...\farther and farther away from Naraku's castle.\What's going on?!\Kagura is an offshoot of Naraku himself.\Isn't she acting according to Naraku's will?\Does that mean Kagura is stealing the shards? response:	It's not impossible.
context: No.\Instead, I feel as though the Sacred Jewel shards are going...\farther and farther away from Naraku's castle.\What's going on?!\Kagura is an offshoot of Naraku himself.\Isn't she acting according to Naraku's will?\Does that mean Kagura is stealing the shards?\It's not impossible. response:	Don't you think it's strange, Inuyasha?
context: Instead, I feel as though the Sacred Jewel shards are going...\farther and farther away from Naraku's castle.\What's going on?!\Kagura is an offshoot of Naraku himself.\Isn't she acting according to Naraku's will?\Does that mean Kagura is stealing the shards?\It's not impossible.\Don't you think it's strange, Inuyasha? response:	Even the barrier.
context: farther and farther away from Naraku's castle.\What's going on?!\Kagura is an offshoot of Naraku himself.\Isn't she acting according to Naraku's will?\Does that mean Kagura is stealing the shards?\It's not impossible.\Don't you think it's strange, Inuyasha?\Even the barrier. response:	Why did you and Koga pick up the scent of the castle?
context: What's going on?!\Kagura is an offshoot of Naraku himself.\Isn't she acting according to Naraku's will?\Does that mean Kagura is stealing the shards?\It's not impossible.\Don't you think it's strange, Inuyasha?\Even the barrier.\Why did you and Koga pick up the scent of the castle? response:	The barrier is weakened.
context: Kagura is an offshoot of Naraku himself.\Isn't she acting according to Naraku's will?\Does that mean Kagura is stealing the shards?\It's not impossible.\Don't you think it's strange, Inuyasha?\Even the barrier.\Why did you and Koga pick up the scent of the castle?\The barrier is weakened. response:	Isn't that because Naraku's own powers are weak?
context: Isn't she acting according to Naraku's will?\Does that mean Kagura is stealing the shards?\It's not impossible.\Don't you think it's strange, Inuyasha?\Even the barrier.\Why did you and Koga pick up the scent of the castle?\The barrier is weakened.\Isn't that because Naraku's own powers are weak? response:	Powers are weak?
context: Does that mean Kagura is stealing the shards?\It's not impossible.\Don't you think it's strange, Inuyasha?\Even the barrier.\Why did you and Koga pick up the scent of the castle?\The barrier is weakened.\Isn't that because Naraku's own powers are weak?\Powers are weak? response:	That's like!
context: It's not impossible.\Don't you think it's strange, Inuyasha?\Even the barrier.\Why did you and Koga pick up the scent of the castle?\The barrier is weakened.\Isn't that because Naraku's own powers are weak?\Powers are weak?\That's like! response:	Yes! Naraku is also a half-demon!
context: Don't you think it's strange, Inuyasha?\Even the barrier.\Why did you and Koga pick up the scent of the castle?\The barrier is weakened.\Isn't that because Naraku's own powers are weak?\Powers are weak?\That's like!\Yes! Naraku is also a half-demon! response:	He used the body of a human named Onigumo,
context: Even the barrier.\Why did you and Koga pick up the scent of the castle?\The barrier is weakened.\Isn't that because Naraku's own powers are weak?\Powers are weak?\That's like!\Yes! Naraku is also a half-demon!\He used the body of a human named Onigumo, response:	and gathered the powers of countless demons.
context: Why did you and Koga pick up the scent of the castle?\The barrier is weakened.\Isn't that because Naraku's own powers are weak?\Powers are weak?\That's like!\Yes! Naraku is also a half-demon!\He used the body of a human named Onigumo,\and gathered the powers of countless demons. response:	That's Naraku!
context: The barrier is weakened.\Isn't that because Naraku's own powers are weak?\Powers are weak?\That's like!\Yes! Naraku is also a half-demon!\He used the body of a human named Onigumo,\and gathered the powers of countless demons.\That's Naraku! response:	Naraku is a half-demon, huh?
context: Isn't that because Naraku's own powers are weak?\Powers are weak?\That's like!\Yes! Naraku is also a half-demon!\He used the body of a human named Onigumo,\and gathered the powers of countless demons.\That's Naraku!\Naraku is a half-demon, huh? response:	In the same way that Inuyasha loses his powers on the night of the new moon,
context: Powers are weak?\That's like!\Yes! Naraku is also a half-demon!\He used the body of a human named Onigumo,\and gathered the powers of countless demons.\That's Naraku!\Naraku is a half-demon, huh?\In the same way that Inuyasha loses his powers on the night of the new moon, response:	perhaps Naraku has a day when his powers wane.
context: That's like!\Yes! Naraku is also a half-demon!\He used the body of a human named Onigumo,\and gathered the powers of countless demons.\That's Naraku!\Naraku is a half-demon, huh?\In the same way that Inuyasha loses his powers on the night of the new moon,\perhaps Naraku has a day when his powers wane. response:	Naraku has a weakness, too?!
context: Yes! Naraku is also a half-demon!\He used the body of a human named Onigumo,\and gathered the powers of countless demons.\That's Naraku!\Naraku is a half-demon, huh?\In the same way that Inuyasha loses his powers on the night of the new moon,\perhaps Naraku has a day when his powers wane.\Naraku has a weakness, too?! response:	Kagura... It's useless to run.
context: He used the body of a human named Onigumo,\and gathered the powers of countless demons.\That's Naraku!\Naraku is a half-demon, huh?\In the same way that Inuyasha loses his powers on the night of the new moon,\perhaps Naraku has a day when his powers wane.\Naraku has a weakness, too?!\Kagura... It's useless to run. response:	That cocky bastard... How dare he say those things to me?!
context: and gathered the powers of countless demons.\That's Naraku!\Naraku is a half-demon, huh?\In the same way that Inuyasha loses his powers on the night of the new moon,\perhaps Naraku has a day when his powers wane.\Naraku has a weakness, too?!\Kagura... It's useless to run.\That cocky bastard... How dare he say those things to me?! response:	Damn!
context: That's Naraku!\Naraku is a half-demon, huh?\In the same way that Inuyasha loses his powers on the night of the new moon,\perhaps Naraku has a day when his powers wane.\Naraku has a weakness, too?!\Kagura... It's useless to run.\That cocky bastard... How dare he say those things to me?!\Damn! response:	If you don't have the resolve to go it alone,
context: Naraku is a half-demon, huh?\In the same way that Inuyasha loses his powers on the night of the new moon,\perhaps Naraku has a day when his powers wane.\Naraku has a weakness, too?!\Kagura... It's useless to run.\That cocky bastard... How dare he say those things to me?!\Damn!\If you don't have the resolve to go it alone, response:	don't even think of betrayal.
context: In the same way that Inuyasha loses his powers on the night of the new moon,\perhaps Naraku has a day when his powers wane.\Naraku has a weakness, too?!\Kagura... It's useless to run.\That cocky bastard... How dare he say those things to me?!\Damn!\If you don't have the resolve to go it alone,\don't even think of betrayal. response:	And kill Naraku?
context: perhaps Naraku has a day when his powers wane.\Naraku has a weakness, too?!\Kagura... It's useless to run.\That cocky bastard... How dare he say those things to me?!\Damn!\If you don't have the resolve to go it alone,\don't even think of betrayal.\And kill Naraku? response:	I've caught the scent! It's Kagura!
context: Naraku has a weakness, too?!\Kagura... It's useless to run.\That cocky bastard... How dare he say those things to me?!\Damn!\If you don't have the resolve to go it alone,\don't even think of betrayal.\And kill Naraku?\I've caught the scent! It's Kagura! response:	Thanks for taking care of me! I'm going on ahead!
context: Kagura... It's useless to run.\That cocky bastard... How dare he say those things to me?!\Damn!\If you don't have the resolve to go it alone,\don't even think of betrayal.\And kill Naraku?\I've caught the scent! It's Kagura!\Thanks for taking care of me! I'm going on ahead! response:	Koga!
context: That cocky bastard... How dare he say those things to me?!\Damn!\If you don't have the resolve to go it alone,\don't even think of betrayal.\And kill Naraku?\I've caught the scent! It's Kagura!\Thanks for taking care of me! I'm going on ahead!\Koga! response:	Why, that!
context: Damn!\If you don't have the resolve to go it alone,\don't even think of betrayal.\And kill Naraku?\I've caught the scent! It's Kagura!\Thanks for taking care of me! I'm going on ahead!\Koga!\Why, that! response:	Koga, what about your wound?
context: If you don't have the resolve to go it alone,\don't even think of betrayal.\And kill Naraku?\I've caught the scent! It's Kagura!\Thanks for taking care of me! I'm going on ahead!\Koga!\Why, that!\Koga, what about your wound? response:	I'm fine now. Unlike that twerp, I'm a REAL demon!
context: don't even think of betrayal.\And kill Naraku?\I've caught the scent! It's Kagura!\Thanks for taking care of me! I'm going on ahead!\Koga!\Why, that!\Koga, what about your wound?\I'm fine now. Unlike that twerp, I'm a REAL demon! response:	What?!
context: And kill Naraku?\I've caught the scent! It's Kagura!\Thanks for taking care of me! I'm going on ahead!\Koga!\Why, that!\Koga, what about your wound?\I'm fine now. Unlike that twerp, I'm a REAL demon!\What?! response:	See ya!
context: I've caught the scent! It's Kagura!\Thanks for taking care of me! I'm going on ahead!\Koga!\Why, that!\Koga, what about your wound?\I'm fine now. Unlike that twerp, I'm a REAL demon!\What?!\See ya! response:	Who's the twerp! Hey!
context: Thanks for taking care of me! I'm going on ahead!\Koga!\Why, that!\Koga, what about your wound?\I'm fine now. Unlike that twerp, I'm a REAL demon!\What?!\See ya!\Who's the twerp! Hey! response:	Sango, Koga doesn't have his Sacred Jewel shards anymore.
context: Koga!\Why, that!\Koga, what about your wound?\I'm fine now. Unlike that twerp, I'm a REAL demon!\What?!\See ya!\Who's the twerp! Hey!\Sango, Koga doesn't have his Sacred Jewel shards anymore. response:	He doesn't have a chance!
context: Why, that!\Koga, what about your wound?\I'm fine now. Unlike that twerp, I'm a REAL demon!\What?!\See ya!\Who's the twerp! Hey!\Sango, Koga doesn't have his Sacred Jewel shards anymore.\He doesn't have a chance! response:	I understand. Kirara! Let Inuyasha down!
