context: Father, please speak. response:	I am giving you a golden lotus.
context: Xuan Nu has disturbed you.\You must be Si Yin's friend.\Yes, I just came from the herb drying area.\I am taking a walk around the area.\I'll take my leave.\Master.\Xuan Nu looks quite graceful, much like Seventeenth.\I am going into seclusion tonight. response:	I will be gone for anywhere from 10 days to half a month.
context: You must be Si Yin's friend.\Yes, I just came from the herb drying area.\I am taking a walk around the area.\I'll take my leave.\Master.\Xuan Nu looks quite graceful, much like Seventeenth.\I am going into seclusion tonight.\I will be gone for anywhere from 10 days to half a month. response:	While I am gone, you will be in charge of keeping an eye on Seventeenth.
context: Yes, I just came from the herb drying area.\I am taking a walk around the area.\I'll take my leave.\Master.\Xuan Nu looks quite graceful, much like Seventeenth.\I am going into seclusion tonight.\I will be gone for anywhere from 10 days to half a month.\While I am gone, you will be in charge of keeping an eye on Seventeenth. response:	But Seventeenth has so many mischievous ideas.
context: I am taking a walk around the area.\I'll take my leave.\Master.\Xuan Nu looks quite graceful, much like Seventeenth.\I am going into seclusion tonight.\I will be gone for anywhere from 10 days to half a month.\While I am gone, you will be in charge of keeping an eye on Seventeenth.\But Seventeenth has so many mischievous ideas. response:	No matter how many mischievous ideas he has
context: I'll take my leave.\Master.\Xuan Nu looks quite graceful, much like Seventeenth.\I am going into seclusion tonight.\I will be gone for anywhere from 10 days to half a month.\While I am gone, you will be in charge of keeping an eye on Seventeenth.\But Seventeenth has so many mischievous ideas.\No matter how many mischievous ideas he has response:	30,000 copies of True Classic of Vacuity
context: Master.\Xuan Nu looks quite graceful, much like Seventeenth.\I am going into seclusion tonight.\I will be gone for anywhere from 10 days to half a month.\While I am gone, you will be in charge of keeping an eye on Seventeenth.\But Seventeenth has so many mischievous ideas.\No matter how many mischievous ideas he has\30,000 copies of True Classic of Vacuity response:	will be enough to last him half a month.
context: Xuan Nu looks quite graceful, much like Seventeenth.\I am going into seclusion tonight.\I will be gone for anywhere from 10 days to half a month.\While I am gone, you will be in charge of keeping an eye on Seventeenth.\But Seventeenth has so many mischievous ideas.\No matter how many mischievous ideas he has\30,000 copies of True Classic of Vacuity\will be enough to last him half a month. response:	So the punishment you gave him
context: I am going into seclusion tonight.\I will be gone for anywhere from 10 days to half a month.\While I am gone, you will be in charge of keeping an eye on Seventeenth.\But Seventeenth has so many mischievous ideas.\No matter how many mischievous ideas he has\30,000 copies of True Classic of Vacuity\will be enough to last him half a month.\So the punishment you gave him response:	was to keep him from straying from Kunlun Mountain?
context: I will be gone for anywhere from 10 days to half a month.\While I am gone, you will be in charge of keeping an eye on Seventeenth.\But Seventeenth has so many mischievous ideas.\No matter how many mischievous ideas he has\30,000 copies of True Classic of Vacuity\will be enough to last him half a month.\So the punishment you gave him\was to keep him from straying from Kunlun Mountain? response:	That's correct.
context: While I am gone, you will be in charge of keeping an eye on Seventeenth.\But Seventeenth has so many mischievous ideas.\No matter how many mischievous ideas he has\30,000 copies of True Classic of Vacuity\will be enough to last him half a month.\So the punishment you gave him\was to keep him from straying from Kunlun Mountain?\That's correct. response:	Seventeenth's temper is undisciplined and he avoids practicing asceticism.
context: But Seventeenth has so many mischievous ideas.\No matter how many mischievous ideas he has\30,000 copies of True Classic of Vacuity\will be enough to last him half a month.\So the punishment you gave him\was to keep him from straying from Kunlun Mountain?\That's correct.\Seventeenth's temper is undisciplined and he avoids practicing asceticism. response:	He does not yet know that in half a month
context: No matter how many mischievous ideas he has\30,000 copies of True Classic of Vacuity\will be enough to last him half a month.\So the punishment you gave him\was to keep him from straying from Kunlun Mountain?\That's correct.\Seventeenth's temper is undisciplined and he avoids practicing asceticism.\He does not yet know that in half a month response:	he will face a heavenly trial to his godly ascension.
context: 30,000 copies of True Classic of Vacuity\will be enough to last him half a month.\So the punishment you gave him\was to keep him from straying from Kunlun Mountain?\That's correct.\Seventeenth's temper is undisciplined and he avoids practicing asceticism.\He does not yet know that in half a month\he will face a heavenly trial to his godly ascension. response:	Look after him for now.
context: will be enough to last him half a month.\So the punishment you gave him\was to keep him from straying from Kunlun Mountain?\That's correct.\Seventeenth's temper is undisciplined and he avoids practicing asceticism.\He does not yet know that in half a month\he will face a heavenly trial to his godly ascension.\Look after him for now. response:	We will figure something out after I am back.
context: So the punishment you gave him\was to keep him from straying from Kunlun Mountain?\That's correct.\Seventeenth's temper is undisciplined and he avoids practicing asceticism.\He does not yet know that in half a month\he will face a heavenly trial to his godly ascension.\Look after him for now.\We will figure something out after I am back. response:	Yes, Master.
context: was to keep him from straying from Kunlun Mountain?\That's correct.\Seventeenth's temper is undisciplined and he avoids practicing asceticism.\He does not yet know that in half a month\he will face a heavenly trial to his godly ascension.\Look after him for now.\We will figure something out after I am back.\Yes, Master. response:	Ninth Disciple.
context: That's correct.\Seventeenth's temper is undisciplined and he avoids practicing asceticism.\He does not yet know that in half a month\he will face a heavenly trial to his godly ascension.\Look after him for now.\We will figure something out after I am back.\Yes, Master.\Ninth Disciple. response:	Please review.
context: Seventeenth's temper is undisciplined and he avoids practicing asceticism.\He does not yet know that in half a month\he will face a heavenly trial to his godly ascension.\Look after him for now.\We will figure something out after I am back.\Yes, Master.\Ninth Disciple.\Please review. response:	- Ninth Disciple. - No need for insincere words.
context: He does not yet know that in half a month\he will face a heavenly trial to his godly ascension.\Look after him for now.\We will figure something out after I am back.\Yes, Master.\Ninth Disciple.\Please review.\- Ninth Disciple. - No need for insincere words. response:	Copying the scripture is the proper thing to do.
context: he will face a heavenly trial to his godly ascension.\Look after him for now.\We will figure something out after I am back.\Yes, Master.\Ninth Disciple.\Please review.\- Ninth Disciple. - No need for insincere words.\Copying the scripture is the proper thing to do. response:	I want to talk to you about Qing Qiu.
context: Look after him for now.\We will figure something out after I am back.\Yes, Master.\Ninth Disciple.\Please review.\- Ninth Disciple. - No need for insincere words.\Copying the scripture is the proper thing to do.\I want to talk to you about Qing Qiu. response:	I heard there is an auspicious event happening soon in Qing Qiu.
context: We will figure something out after I am back.\Yes, Master.\Ninth Disciple.\Please review.\- Ninth Disciple. - No need for insincere words.\Copying the scripture is the proper thing to do.\I want to talk to you about Qing Qiu.\I heard there is an auspicious event happening soon in Qing Qiu. response:	Fox King Bai Zhi's first grandchild is about to be born.
context: Yes, Master.\Ninth Disciple.\Please review.\- Ninth Disciple. - No need for insincere words.\Copying the scripture is the proper thing to do.\I want to talk to you about Qing Qiu.\I heard there is an auspicious event happening soon in Qing Qiu.\Fox King Bai Zhi's first grandchild is about to be born. response:	I heard you greatly admire the two gods, Fox King Bai Zhi and Zhe Yan.
context: Ninth Disciple.\Please review.\- Ninth Disciple. - No need for insincere words.\Copying the scripture is the proper thing to do.\I want to talk to you about Qing Qiu.\I heard there is an auspicious event happening soon in Qing Qiu.\Fox King Bai Zhi's first grandchild is about to be born.\I heard you greatly admire the two gods, Fox King Bai Zhi and Zhe Yan. response:	The two of them will be there.
context: Please review.\- Ninth Disciple. - No need for insincere words.\Copying the scripture is the proper thing to do.\I want to talk to you about Qing Qiu.\I heard there is an auspicious event happening soon in Qing Qiu.\Fox King Bai Zhi's first grandchild is about to be born.\I heard you greatly admire the two gods, Fox King Bai Zhi and Zhe Yan.\The two of them will be there. response:	Why don't we join in the festivities?
context: - Ninth Disciple. - No need for insincere words.\Copying the scripture is the proper thing to do.\I want to talk to you about Qing Qiu.\I heard there is an auspicious event happening soon in Qing Qiu.\Fox King Bai Zhi's first grandchild is about to be born.\I heard you greatly admire the two gods, Fox King Bai Zhi and Zhe Yan.\The two of them will be there.\Why don't we join in the festivities? response:	Fox King hasn't appeared in thousands of years.
context: Copying the scripture is the proper thing to do.\I want to talk to you about Qing Qiu.\I heard there is an auspicious event happening soon in Qing Qiu.\Fox King Bai Zhi's first grandchild is about to be born.\I heard you greatly admire the two gods, Fox King Bai Zhi and Zhe Yan.\The two of them will be there.\Why don't we join in the festivities?\Fox King hasn't appeared in thousands of years. response:	Is your information verified?
context: I want to talk to you about Qing Qiu.\I heard there is an auspicious event happening soon in Qing Qiu.\Fox King Bai Zhi's first grandchild is about to be born.\I heard you greatly admire the two gods, Fox King Bai Zhi and Zhe Yan.\The two of them will be there.\Why don't we join in the festivities?\Fox King hasn't appeared in thousands of years.\Is your information verified? response:	Absolutely.
context: I heard there is an auspicious event happening soon in Qing Qiu.\Fox King Bai Zhi's first grandchild is about to be born.\I heard you greatly admire the two gods, Fox King Bai Zhi and Zhe Yan.\The two of them will be there.\Why don't we join in the festivities?\Fox King hasn't appeared in thousands of years.\Is your information verified?\Absolutely. response:	All right. Continue copying.
context: Fox King Bai Zhi's first grandchild is about to be born.\I heard you greatly admire the two gods, Fox King Bai Zhi and Zhe Yan.\The two of them will be there.\Why don't we join in the festivities?\Fox King hasn't appeared in thousands of years.\Is your information verified?\Absolutely.\All right. Continue copying. response:	I am not done talking yet.
context: I heard you greatly admire the two gods, Fox King Bai Zhi and Zhe Yan.\The two of them will be there.\Why don't we join in the festivities?\Fox King hasn't appeared in thousands of years.\Is your information verified?\Absolutely.\All right. Continue copying.\I am not done talking yet. response:	Everyone knows one must cross the Sea of Rebirth to reach Qing Qiu.
context: The two of them will be there.\Why don't we join in the festivities?\Fox King hasn't appeared in thousands of years.\Is your information verified?\Absolutely.\All right. Continue copying.\I am not done talking yet.\Everyone knows one must cross the Sea of Rebirth to reach Qing Qiu. response:	However, I know a shortcut.
context: Why don't we join in the festivities?\Fox King hasn't appeared in thousands of years.\Is your information verified?\Absolutely.\All right. Continue copying.\I am not done talking yet.\Everyone knows one must cross the Sea of Rebirth to reach Qing Qiu.\However, I know a shortcut. response:	With your cloud jumping techniques
context: Fox King hasn't appeared in thousands of years.\Is your information verified?\Absolutely.\All right. Continue copying.\I am not done talking yet.\Everyone knows one must cross the Sea of Rebirth to reach Qing Qiu.\However, I know a shortcut.\With your cloud jumping techniques response:	we won't be gone for more than half a day.
context: Is your information verified?\Absolutely.\All right. Continue copying.\I am not done talking yet.\Everyone knows one must cross the Sea of Rebirth to reach Qing Qiu.\However, I know a shortcut.\With your cloud jumping techniques\we won't be gone for more than half a day. response:	When we get there, we'll watch the two gods from afar, drink a toast
context: Absolutely.\All right. Continue copying.\I am not done talking yet.\Everyone knows one must cross the Sea of Rebirth to reach Qing Qiu.\However, I know a shortcut.\With your cloud jumping techniques\we won't be gone for more than half a day.\When we get there, we'll watch the two gods from afar, drink a toast response:	and then we'll return.
context: All right. Continue copying.\I am not done talking yet.\Everyone knows one must cross the Sea of Rebirth to reach Qing Qiu.\However, I know a shortcut.\With your cloud jumping techniques\we won't be gone for more than half a day.\When we get there, we'll watch the two gods from afar, drink a toast\and then we'll return. response:	What do you think?
context: I am not done talking yet.\Everyone knows one must cross the Sea of Rebirth to reach Qing Qiu.\However, I know a shortcut.\With your cloud jumping techniques\we won't be gone for more than half a day.\When we get there, we'll watch the two gods from afar, drink a toast\and then we'll return.\What do you think? response:	No! Master ordered me to watch you day and night.
context: Everyone knows one must cross the Sea of Rebirth to reach Qing Qiu.\However, I know a shortcut.\With your cloud jumping techniques\we won't be gone for more than half a day.\When we get there, we'll watch the two gods from afar, drink a toast\and then we'll return.\What do you think?\No! Master ordered me to watch you day and night. response:	I must not stray from my duties.
context: However, I know a shortcut.\With your cloud jumping techniques\we won't be gone for more than half a day.\When we get there, we'll watch the two gods from afar, drink a toast\and then we'll return.\What do you think?\No! Master ordered me to watch you day and night.\I must not stray from my duties. response:	Let me put it this way.
context: With your cloud jumping techniques\we won't be gone for more than half a day.\When we get there, we'll watch the two gods from afar, drink a toast\and then we'll return.\What do you think?\No! Master ordered me to watch you day and night.\I must not stray from my duties.\Let me put it this way. response:	Even if you watch me day and night, you won't be able to guard me.
context: we won't be gone for more than half a day.\When we get there, we'll watch the two gods from afar, drink a toast\and then we'll return.\What do you think?\No! Master ordered me to watch you day and night.\I must not stray from my duties.\Let me put it this way.\Even if you watch me day and night, you won't be able to guard me. response:	I will still find a way to sneak out.
context: When we get there, we'll watch the two gods from afar, drink a toast\and then we'll return.\What do you think?\No! Master ordered me to watch you day and night.\I must not stray from my duties.\Let me put it this way.\Even if you watch me day and night, you won't be able to guard me.\I will still find a way to sneak out. response:	It's true.
context: and then we'll return.\What do you think?\No! Master ordered me to watch you day and night.\I must not stray from my duties.\Let me put it this way.\Even if you watch me day and night, you won't be able to guard me.\I will still find a way to sneak out.\It's true. response:	That's why you should accompany me.
context: What do you think?\No! Master ordered me to watch you day and night.\I must not stray from my duties.\Let me put it this way.\Even if you watch me day and night, you won't be able to guard me.\I will still find a way to sneak out.\It's true.\That's why you should accompany me. response:	That's still considered watching me day and night.
context: No! Master ordered me to watch you day and night.\I must not stray from my duties.\Let me put it this way.\Even if you watch me day and night, you won't be able to guard me.\I will still find a way to sneak out.\It's true.\That's why you should accompany me.\That's still considered watching me day and night. response:	You wouldn't be defying orders.
context: I must not stray from my duties.\Let me put it this way.\Even if you watch me day and night, you won't be able to guard me.\I will still find a way to sneak out.\It's true.\That's why you should accompany me.\That's still considered watching me day and night.\You wouldn't be defying orders. response:	How about it?
context: Let me put it this way.\Even if you watch me day and night, you won't be able to guard me.\I will still find a way to sneak out.\It's true.\That's why you should accompany me.\That's still considered watching me day and night.\You wouldn't be defying orders.\How about it? response:	This area is the border between Qing Qiu and Ghost Realm.
context: Even if you watch me day and night, you won't be able to guard me.\I will still find a way to sneak out.\It's true.\That's why you should accompany me.\That's still considered watching me day and night.\You wouldn't be defying orders.\How about it?\This area is the border between Qing Qiu and Ghost Realm. response:	This has been the case for thousands of years.
context: I will still find a way to sneak out.\It's true.\That's why you should accompany me.\That's still considered watching me day and night.\You wouldn't be defying orders.\How about it?\This area is the border between Qing Qiu and Ghost Realm.\This has been the case for thousands of years. response:	We should reach Qing Qiu in an hour.
context: It's true.\That's why you should accompany me.\That's still considered watching me day and night.\You wouldn't be defying orders.\How about it?\This area is the border between Qing Qiu and Ghost Realm.\This has been the case for thousands of years.\We should reach Qing Qiu in an hour. response:	This place feels evil.
context: That's why you should accompany me.\That's still considered watching me day and night.\You wouldn't be defying orders.\How about it?\This area is the border between Qing Qiu and Ghost Realm.\This has been the case for thousands of years.\We should reach Qing Qiu in an hour.\This place feels evil. response:	I can't use my cloud leaping abilities at all.
context: That's still considered watching me day and night.\You wouldn't be defying orders.\How about it?\This area is the border between Qing Qiu and Ghost Realm.\This has been the case for thousands of years.\We should reach Qing Qiu in an hour.\This place feels evil.\I can't use my cloud leaping abilities at all. response:	We must be careful.
context: You wouldn't be defying orders.\How about it?\This area is the border between Qing Qiu and Ghost Realm.\This has been the case for thousands of years.\We should reach Qing Qiu in an hour.\This place feels evil.\I can't use my cloud leaping abilities at all.\We must be careful. response:	I've heard Dong Hua Dijun talk to Master about the Ghost Realm.
context: How about it?\This area is the border between Qing Qiu and Ghost Realm.\This has been the case for thousands of years.\We should reach Qing Qiu in an hour.\This place feels evil.\I can't use my cloud leaping abilities at all.\We must be careful.\I've heard Dong Hua Dijun talk to Master about the Ghost Realm. response:	He said the current Ghost Lord is very ambitious
context: This area is the border between Qing Qiu and Ghost Realm.\This has been the case for thousands of years.\We should reach Qing Qiu in an hour.\This place feels evil.\I can't use my cloud leaping abilities at all.\We must be careful.\I've heard Dong Hua Dijun talk to Master about the Ghost Realm.\He said the current Ghost Lord is very ambitious response:	and he'll surely wage a fierce war against the Celestials in the future.
context: This has been the case for thousands of years.\We should reach Qing Qiu in an hour.\This place feels evil.\I can't use my cloud leaping abilities at all.\We must be careful.\I've heard Dong Hua Dijun talk to Master about the Ghost Realm.\He said the current Ghost Lord is very ambitious\and he'll surely wage a fierce war against the Celestials in the future. response:	What would be the point of the war?
context: We should reach Qing Qiu in an hour.\This place feels evil.\I can't use my cloud leaping abilities at all.\We must be careful.\I've heard Dong Hua Dijun talk to Master about the Ghost Realm.\He said the current Ghost Lord is very ambitious\and he'll surely wage a fierce war against the Celestials in the future.\What would be the point of the war? response:	Ambition, probably.
context: This place feels evil.\I can't use my cloud leaping abilities at all.\We must be careful.\I've heard Dong Hua Dijun talk to Master about the Ghost Realm.\He said the current Ghost Lord is very ambitious\and he'll surely wage a fierce war against the Celestials in the future.\What would be the point of the war?\Ambition, probably. response:	Speaking of the Ghost Lord, I think I have seen a painting of him.
context: I can't use my cloud leaping abilities at all.\We must be careful.\I've heard Dong Hua Dijun talk to Master about the Ghost Realm.\He said the current Ghost Lord is very ambitious\and he'll surely wage a fierce war against the Celestials in the future.\What would be the point of the war?\Ambition, probably.\Speaking of the Ghost Lord, I think I have seen a painting of him. response:	Watch out!
context: We must be careful.\I've heard Dong Hua Dijun talk to Master about the Ghost Realm.\He said the current Ghost Lord is very ambitious\and he'll surely wage a fierce war against the Celestials in the future.\What would be the point of the war?\Ambition, probably.\Speaking of the Ghost Lord, I think I have seen a painting of him.\Watch out! response:	Speak! Why are you attacking us?
context: I've heard Dong Hua Dijun talk to Master about the Ghost Realm.\He said the current Ghost Lord is very ambitious\and he'll surely wage a fierce war against the Celestials in the future.\What would be the point of the war?\Ambition, probably.\Speaking of the Ghost Lord, I think I have seen a painting of him.\Watch out!\Speak! Why are you attacking us? response:	Why did they take their own lives without saying anything?
context: He said the current Ghost Lord is very ambitious\and he'll surely wage a fierce war against the Celestials in the future.\What would be the point of the war?\Ambition, probably.\Speaking of the Ghost Lord, I think I have seen a painting of him.\Watch out!\Speak! Why are you attacking us?\Why did they take their own lives without saying anything? response:	We weren't trying to kill them.
context: and he'll surely wage a fierce war against the Celestials in the future.\What would be the point of the war?\Ambition, probably.\Speaking of the Ghost Lord, I think I have seen a painting of him.\Watch out!\Speak! Why are you attacking us?\Why did they take their own lives without saying anything?\We weren't trying to kill them. response:	That shriek was their secret signal to commit suicide.
context: What would be the point of the war?\Ambition, probably.\Speaking of the Ghost Lord, I think I have seen a painting of him.\Watch out!\Speak! Why are you attacking us?\Why did they take their own lives without saying anything?\We weren't trying to kill them.\That shriek was their secret signal to commit suicide. response:	Run!
context: Ambition, probably.\Speaking of the Ghost Lord, I think I have seen a painting of him.\Watch out!\Speak! Why are you attacking us?\Why did they take their own lives without saying anything?\We weren't trying to kill them.\That shriek was their secret signal to commit suicide.\Run! response:	Brother, they are dressed so strangely.
context: Speaking of the Ghost Lord, I think I have seen a painting of him.\Watch out!\Speak! Why are you attacking us?\Why did they take their own lives without saying anything?\We weren't trying to kill them.\That shriek was their secret signal to commit suicide.\Run!\Brother, they are dressed so strangely. response:	They don't look like the ones we are searching for.
context: Watch out!\Speak! Why are you attacking us?\Why did they take their own lives without saying anything?\We weren't trying to kill them.\That shriek was their secret signal to commit suicide.\Run!\Brother, they are dressed so strangely.\They don't look like the ones we are searching for. response:	Nor do they seem to be from the Ghost Tribe.
context: Speak! Why are you attacking us?\Why did they take their own lives without saying anything?\We weren't trying to kill them.\That shriek was their secret signal to commit suicide.\Run!\Brother, they are dressed so strangely.\They don't look like the ones we are searching for.\Nor do they seem to be from the Ghost Tribe. response:	That's right. They are of the Celestial Tribe.
context: Why did they take their own lives without saying anything?\We weren't trying to kill them.\That shriek was their secret signal to commit suicide.\Run!\Brother, they are dressed so strangely.\They don't look like the ones we are searching for.\Nor do they seem to be from the Ghost Tribe.\That's right. They are of the Celestial Tribe. response:	The Celestial Tribe?
context: We weren't trying to kill them.\That shriek was their secret signal to commit suicide.\Run!\Brother, they are dressed so strangely.\They don't look like the ones we are searching for.\Nor do they seem to be from the Ghost Tribe.\That's right. They are of the Celestial Tribe.\The Celestial Tribe? response:	So what of it?
context: That shriek was their secret signal to commit suicide.\Run!\Brother, they are dressed so strangely.\They don't look like the ones we are searching for.\Nor do they seem to be from the Ghost Tribe.\That's right. They are of the Celestial Tribe.\The Celestial Tribe?\So what of it? response:	Sooner or later, I will have them bow before us and they will be our prisoners.
context: Run!\Brother, they are dressed so strangely.\They don't look like the ones we are searching for.\Nor do they seem to be from the Ghost Tribe.\That's right. They are of the Celestial Tribe.\The Celestial Tribe?\So what of it?\Sooner or later, I will have them bow before us and they will be our prisoners. response:	As will the entire world.
context: Brother, they are dressed so strangely.\They don't look like the ones we are searching for.\Nor do they seem to be from the Ghost Tribe.\That's right. They are of the Celestial Tribe.\The Celestial Tribe?\So what of it?\Sooner or later, I will have them bow before us and they will be our prisoners.\As will the entire world. response:	All right.
context: They don't look like the ones we are searching for.\Nor do they seem to be from the Ghost Tribe.\That's right. They are of the Celestial Tribe.\The Celestial Tribe?\So what of it?\Sooner or later, I will have them bow before us and they will be our prisoners.\As will the entire world.\All right. response:	But, Celestials are all so beautiful.
context: Nor do they seem to be from the Ghost Tribe.\That's right. They are of the Celestial Tribe.\The Celestial Tribe?\So what of it?\Sooner or later, I will have them bow before us and they will be our prisoners.\As will the entire world.\All right.\But, Celestials are all so beautiful. response:	When they become our prisoners
context: That's right. They are of the Celestial Tribe.\The Celestial Tribe?\So what of it?\Sooner or later, I will have them bow before us and they will be our prisoners.\As will the entire world.\All right.\But, Celestials are all so beautiful.\When they become our prisoners response:	you can pick a few to keep as pets in the palace.
context: The Celestial Tribe?\So what of it?\Sooner or later, I will have them bow before us and they will be our prisoners.\As will the entire world.\All right.\But, Celestials are all so beautiful.\When they become our prisoners\you can pick a few to keep as pets in the palace. response:	Is that Ghost Lord Qing Cang?
context: So what of it?\Sooner or later, I will have them bow before us and they will be our prisoners.\As will the entire world.\All right.\But, Celestials are all so beautiful.\When they become our prisoners\you can pick a few to keep as pets in the palace.\Is that Ghost Lord Qing Cang? response:	Yes.
context: Sooner or later, I will have them bow before us and they will be our prisoners.\As will the entire world.\All right.\But, Celestials are all so beautiful.\When they become our prisoners\you can pick a few to keep as pets in the palace.\Is that Ghost Lord Qing Cang?\Yes. response:	I stay at my post in Ten-mile Peach Tree Woods all year long.
context: As will the entire world.\All right.\But, Celestials are all so beautiful.\When they become our prisoners\you can pick a few to keep as pets in the palace.\Is that Ghost Lord Qing Cang?\Yes.\I stay at my post in Ten-mile Peach Tree Woods all year long. response:	This is my first time outside. I didn't expect to lose my way.
context: All right.\But, Celestials are all so beautiful.\When they become our prisoners\you can pick a few to keep as pets in the palace.\Is that Ghost Lord Qing Cang?\Yes.\I stay at my post in Ten-mile Peach Tree Woods all year long.\This is my first time outside. I didn't expect to lose my way. response:	You are Zhe Yan's men?
context: But, Celestials are all so beautiful.\When they become our prisoners\you can pick a few to keep as pets in the palace.\Is that Ghost Lord Qing Cang?\Yes.\I stay at my post in Ten-mile Peach Tree Woods all year long.\This is my first time outside. I didn't expect to lose my way.\You are Zhe Yan's men? response:	I am an immortal under Zhe Yan.
context: When they become our prisoners\you can pick a few to keep as pets in the palace.\Is that Ghost Lord Qing Cang?\Yes.\I stay at my post in Ten-mile Peach Tree Woods all year long.\This is my first time outside. I didn't expect to lose my way.\You are Zhe Yan's men?\I am an immortal under Zhe Yan. response:	Zhe Yan and Qing Qiu are like one.
context: you can pick a few to keep as pets in the palace.\Is that Ghost Lord Qing Cang?\Yes.\I stay at my post in Ten-mile Peach Tree Woods all year long.\This is my first time outside. I didn't expect to lose my way.\You are Zhe Yan's men?\I am an immortal under Zhe Yan.\Zhe Yan and Qing Qiu are like one. response:	Ever since Bai Zhi took over as Fox King
context: Is that Ghost Lord Qing Cang?\Yes.\I stay at my post in Ten-mile Peach Tree Woods all year long.\This is my first time outside. I didn't expect to lose my way.\You are Zhe Yan's men?\I am an immortal under Zhe Yan.\Zhe Yan and Qing Qiu are like one.\Ever since Bai Zhi took over as Fox King response:	he has not interfered in the grudges between Celestials, Demons, and Ghosts.
context: Yes.\I stay at my post in Ten-mile Peach Tree Woods all year long.\This is my first time outside. I didn't expect to lose my way.\You are Zhe Yan's men?\I am an immortal under Zhe Yan.\Zhe Yan and Qing Qiu are like one.\Ever since Bai Zhi took over as Fox King\he has not interfered in the grudges between Celestials, Demons, and Ghosts. response:	He has preserved the peace
context: I stay at my post in Ten-mile Peach Tree Woods all year long.\This is my first time outside. I didn't expect to lose my way.\You are Zhe Yan's men?\I am an immortal under Zhe Yan.\Zhe Yan and Qing Qiu are like one.\Ever since Bai Zhi took over as Fox King\he has not interfered in the grudges between Celestials, Demons, and Ghosts.\He has preserved the peace response:	that has existed in Qing Qiu for hundreds of thousands of years.
context: This is my first time outside. I didn't expect to lose my way.\You are Zhe Yan's men?\I am an immortal under Zhe Yan.\Zhe Yan and Qing Qiu are like one.\Ever since Bai Zhi took over as Fox King\he has not interfered in the grudges between Celestials, Demons, and Ghosts.\He has preserved the peace\that has existed in Qing Qiu for hundreds of thousands of years. response:	Yes, our Zhe Yan told us
context: You are Zhe Yan's men?\I am an immortal under Zhe Yan.\Zhe Yan and Qing Qiu are like one.\Ever since Bai Zhi took over as Fox King\he has not interfered in the grudges between Celestials, Demons, and Ghosts.\He has preserved the peace\that has existed in Qing Qiu for hundreds of thousands of years.\Yes, our Zhe Yan told us response:	not to get involved in the affairs of Celestials, Demons, and Ghosts
context: I am an immortal under Zhe Yan.\Zhe Yan and Qing Qiu are like one.\Ever since Bai Zhi took over as Fox King\he has not interfered in the grudges between Celestials, Demons, and Ghosts.\He has preserved the peace\that has existed in Qing Qiu for hundreds of thousands of years.\Yes, our Zhe Yan told us\not to get involved in the affairs of Celestials, Demons, and Ghosts response:	to allow peace and quiet in Ten-mile Peach Tree Woods.
