context: Let's see... My dear Dark Kingdom, response:	as of today, I, Sailor Moon
context: Hey, Sailor Mars!\Thanks so much for picking on me all this time!\In the name of the moon, I'm gonna punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon response:	We will meet again and again
context: Thanks so much for picking on me all this time!\In the name of the moon, I'm gonna punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again response:	I count the sparkle of constellations to foretell the future of my love
context: In the name of the moon, I'm gonna punish you!\I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love response:	We were born in the same land, miracle romance
context: I'm sorry I'm not straightforward, I can say it in my dreams\My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance response:	I believe in it, miracle romance
context: My thoughts are about to short circuit, I want to see you right now\Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance response:	Sailor Moon, prepare yourself!
context: Moonlight that makes me want to cry, midnight that keeps me from calling\Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\Sailor Moon, prepare yourself! response:	It's time to give up, Sailor Moon!
context: Because I'm so innocent, what should I do? The heart is a kaleidoscope\Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\Sailor Moon, prepare yourself!\It's time to give up, Sailor Moon! response:	No way!
context: Guided by the light of the moon\We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\Sailor Moon, prepare yourself!\It's time to give up, Sailor Moon!\No way! response:	Really?
context: We will meet again and again\I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\Sailor Moon, prepare yourself!\It's time to give up, Sailor Moon!\No way!\Really? response:	Then, we have no choice.
context: I count the sparkle of constellations to foretell the future of my love\We were born in the same land, miracle romance\I believe in it, miracle romance\Sailor Moon, prepare yourself!\It's time to give up, Sailor Moon!\No way!\Really?\Then, we have no choice. response:	Good-bye, you dummy.
context: We were born in the same land, miracle romance\I believe in it, miracle romance\Sailor Moon, prepare yourself!\It's time to give up, Sailor Moon!\No way!\Really?\Then, we have no choice.\Good-bye, you dummy. response:	Sailor Moon,
context: I believe in it, miracle romance\Sailor Moon, prepare yourself!\It's time to give up, Sailor Moon!\No way!\Really?\Then, we have no choice.\Good-bye, you dummy.\Sailor Moon, response:	in the name of Mars, I will chastise you!
context: Sailor Moon, prepare yourself!\It's time to give up, Sailor Moon!\No way!\Really?\Then, we have no choice.\Good-bye, you dummy.\Sailor Moon,\in the name of Mars, I will chastise you! response:	Fire
context: It's time to give up, Sailor Moon!\No way!\Really?\Then, we have no choice.\Good-bye, you dummy.\Sailor Moon,\in the name of Mars, I will chastise you!\Fire response:	Soul!
context: No way!\Really?\Then, we have no choice.\Good-bye, you dummy.\Sailor Moon,\in the name of Mars, I will chastise you!\Fire\Soul! response:	Ouch!
context: Really?\Then, we have no choice.\Good-bye, you dummy.\Sailor Moon,\in the name of Mars, I will chastise you!\Fire\Soul!\Ouch! response:	Oops!
context: Then, we have no choice.\Good-bye, you dummy.\Sailor Moon,\in the name of Mars, I will chastise you!\Fire\Soul!\Ouch!\Oops! response:	Ouch!
context: Good-bye, you dummy.\Sailor Moon,\in the name of Mars, I will chastise you!\Fire\Soul!\Ouch!\Oops!\Ouch! response:	Is Usagi Going It Alone? The Sailor Warriors Get Into a Big Fight
context: Sailor Moon,\in the name of Mars, I will chastise you!\Fire\Soul!\Ouch!\Oops!\Ouch!\Is Usagi Going It Alone? The Sailor Warriors Get Into a Big Fight response:	Yet another abnormal energy reaction.
context: in the name of Mars, I will chastise you!\Fire\Soul!\Ouch!\Oops!\Ouch!\Is Usagi Going It Alone? The Sailor Warriors Get Into a Big Fight\Yet another abnormal energy reaction. response:	For the last several days,
context: Fire\Soul!\Ouch!\Oops!\Ouch!\Is Usagi Going It Alone? The Sailor Warriors Get Into a Big Fight\Yet another abnormal energy reaction.\For the last several days, response:	a similar energy reaction has been detected.
context: Soul!\Ouch!\Oops!\Ouch!\Is Usagi Going It Alone? The Sailor Warriors Get Into a Big Fight\Yet another abnormal energy reaction.\For the last several days,\a similar energy reaction has been detected. response:	Perhaps some change is coming over the Silver Crystal.
context: Ouch!\Oops!\Ouch!\Is Usagi Going It Alone? The Sailor Warriors Get Into a Big Fight\Yet another abnormal energy reaction.\For the last several days,\a similar energy reaction has been detected.\Perhaps some change is coming over the Silver Crystal. response:	What?
context: Oops!\Ouch!\Is Usagi Going It Alone? The Sailor Warriors Get Into a Big Fight\Yet another abnormal energy reaction.\For the last several days,\a similar energy reaction has been detected.\Perhaps some change is coming over the Silver Crystal.\What? response:	He should be done investigating about now.
context: Ouch!\Is Usagi Going It Alone? The Sailor Warriors Get Into a Big Fight\Yet another abnormal energy reaction.\For the last several days,\a similar energy reaction has been detected.\Perhaps some change is coming over the Silver Crystal.\What?\He should be done investigating about now. response:	Monster Oniwa Bandana, are you there?
context: Is Usagi Going It Alone? The Sailor Warriors Get Into a Big Fight\Yet another abnormal energy reaction.\For the last several days,\a similar energy reaction has been detected.\Perhaps some change is coming over the Silver Crystal.\What?\He should be done investigating about now.\Monster Oniwa Bandana, are you there? response:	Yes!
context: Yet another abnormal energy reaction.\For the last several days,\a similar energy reaction has been detected.\Perhaps some change is coming over the Silver Crystal.\What?\He should be done investigating about now.\Monster Oniwa Bandana, are you there?\Yes! response:	Oniwaw Bandana is here.
context: For the last several days,\a similar energy reaction has been detected.\Perhaps some change is coming over the Silver Crystal.\What?\He should be done investigating about now.\Monster Oniwa Bandana, are you there?\Yes!\Oniwaw Bandana is here. response:	Did you find the origin of the abnormal energy?
context: a similar energy reaction has been detected.\Perhaps some change is coming over the Silver Crystal.\What?\He should be done investigating about now.\Monster Oniwa Bandana, are you there?\Yes!\Oniwaw Bandana is here.\Did you find the origin of the abnormal energy? response:	Banban.
context: Perhaps some change is coming over the Silver Crystal.\What?\He should be done investigating about now.\Monster Oniwa Bandana, are you there?\Yes!\Oniwaw Bandana is here.\Did you find the origin of the abnormal energy?\Banban. response:	Pardon.
context: What?\He should be done investigating about now.\Monster Oniwa Bandana, are you there?\Yes!\Oniwaw Bandana is here.\Did you find the origin of the abnormal energy?\Banban.\Pardon. response:	This is?
context: He should be done investigating about now.\Monster Oniwa Bandana, are you there?\Yes!\Oniwaw Bandana is here.\Did you find the origin of the abnormal energy?\Banban.\Pardon.\This is? response:	Banban.
context: Monster Oniwa Bandana, are you there?\Yes!\Oniwaw Bandana is here.\Did you find the origin of the abnormal energy?\Banban.\Pardon.\This is?\Banban. response:	As we expected,
context: Yes!\Oniwaw Bandana is here.\Did you find the origin of the abnormal energy?\Banban.\Pardon.\This is?\Banban.\As we expected, response:	the abnormal energy is coming from the sailor warriors.
context: Oniwaw Bandana is here.\Did you find the origin of the abnormal energy?\Banban.\Pardon.\This is?\Banban.\As we expected,\the abnormal energy is coming from the sailor warriors. response:	Not only that, but it is because
context: Did you find the origin of the abnormal energy?\Banban.\Pardon.\This is?\Banban.\As we expected,\the abnormal energy is coming from the sailor warriors.\Not only that, but it is because response:	Sailor Moon is fighting with the other warriors.
context: Banban.\Pardon.\This is?\Banban.\As we expected,\the abnormal energy is coming from the sailor warriors.\Not only that, but it is because\Sailor Moon is fighting with the other warriors. response:	Banban.
context: Pardon.\This is?\Banban.\As we expected,\the abnormal energy is coming from the sailor warriors.\Not only that, but it is because\Sailor Moon is fighting with the other warriors.\Banban. response:	Unbelievable! Sailor Moon and the other warriors?
context: This is?\Banban.\As we expected,\the abnormal energy is coming from the sailor warriors.\Not only that, but it is because\Sailor Moon is fighting with the other warriors.\Banban.\Unbelievable! Sailor Moon and the other warriors? response:	Is this infighting? Or a trap?
context: Banban.\As we expected,\the abnormal energy is coming from the sailor warriors.\Not only that, but it is because\Sailor Moon is fighting with the other warriors.\Banban.\Unbelievable! Sailor Moon and the other warriors?\Is this infighting? Or a trap? response:	What do you think, Kunzite?
context: As we expected,\the abnormal energy is coming from the sailor warriors.\Not only that, but it is because\Sailor Moon is fighting with the other warriors.\Banban.\Unbelievable! Sailor Moon and the other warriors?\Is this infighting? Or a trap?\What do you think, Kunzite? response:	Please give me some time.
context: the abnormal energy is coming from the sailor warriors.\Not only that, but it is because\Sailor Moon is fighting with the other warriors.\Banban.\Unbelievable! Sailor Moon and the other warriors?\Is this infighting? Or a trap?\What do you think, Kunzite?\Please give me some time. response:	Very well.
context: Not only that, but it is because\Sailor Moon is fighting with the other warriors.\Banban.\Unbelievable! Sailor Moon and the other warriors?\Is this infighting? Or a trap?\What do you think, Kunzite?\Please give me some time.\Very well. response:	Continue investigating!
context: Sailor Moon is fighting with the other warriors.\Banban.\Unbelievable! Sailor Moon and the other warriors?\Is this infighting? Or a trap?\What do you think, Kunzite?\Please give me some time.\Very well.\Continue investigating! response:	Certainly. Banban.
context: Banban.\Unbelievable! Sailor Moon and the other warriors?\Is this infighting? Or a trap?\What do you think, Kunzite?\Please give me some time.\Very well.\Continue investigating!\Certainly. Banban. response:	Jewelry
context: Unbelievable! Sailor Moon and the other warriors?\Is this infighting? Or a trap?\What do you think, Kunzite?\Please give me some time.\Very well.\Continue investigating!\Certainly. Banban.\Jewelry response:	Banban.
context: Is this infighting? Or a trap?\What do you think, Kunzite?\Please give me some time.\Very well.\Continue investigating!\Certainly. Banban.\Jewelry\Banban. response:	Who are you?!
context: What do you think, Kunzite?\Please give me some time.\Very well.\Continue investigating!\Certainly. Banban.\Jewelry\Banban.\Who are you?! response:	A burglar!
context: Please give me some time.\Very well.\Continue investigating!\Certainly. Banban.\Jewelry\Banban.\Who are you?!\A burglar! response:	I am taking the jewelry! Banban!
context: Very well.\Continue investigating!\Certainly. Banban.\Jewelry\Banban.\Who are you?!\A burglar!\I am taking the jewelry! Banban! response:	Mom!
context: Continue investigating!\Certainly. Banban.\Jewelry\Banban.\Who are you?!\A burglar!\I am taking the jewelry! Banban!\Mom! response:	Banban!
context: Certainly. Banban.\Jewelry\Banban.\Who are you?!\A burglar!\I am taking the jewelry! Banban!\Mom!\Banban! response:	Hold it right there!
context: Jewelry\Banban.\Who are you?!\A burglar!\I am taking the jewelry! Banban!\Mom!\Banban!\Hold it right there! response:	Sailor Moon!
context: Banban.\Who are you?!\A burglar!\I am taking the jewelry! Banban!\Mom!\Banban!\Hold it right there!\Sailor Moon! response:	I'm a sailor warrior of love and justice, Sailor Moon!
context: Who are you?!\A burglar!\I am taking the jewelry! Banban!\Mom!\Banban!\Hold it right there!\Sailor Moon!\I'm a sailor warrior of love and justice, Sailor Moon! response:	Banban.
context: A burglar!\I am taking the jewelry! Banban!\Mom!\Banban!\Hold it right there!\Sailor Moon!\I'm a sailor warrior of love and justice, Sailor Moon!\Banban. response:	In the name of the moon...
context: I am taking the jewelry! Banban!\Mom!\Banban!\Hold it right there!\Sailor Moon!\I'm a sailor warrior of love and justice, Sailor Moon!\Banban.\In the name of the moon... response:	Hey! In the name of the moon...
context: Mom!\Banban!\Hold it right there!\Sailor Moon!\I'm a sailor warrior of love and justice, Sailor Moon!\Banban.\In the name of the moon...\Hey! In the name of the moon... response:	What are you doing?!
context: Banban!\Hold it right there!\Sailor Moon!\I'm a sailor warrior of love and justice, Sailor Moon!\Banban.\In the name of the moon...\Hey! In the name of the moon...\What are you doing?! response:	Quit acting cool all by yourself!
context: Hold it right there!\Sailor Moon!\I'm a sailor warrior of love and justice, Sailor Moon!\Banban.\In the name of the moon...\Hey! In the name of the moon...\What are you doing?!\Quit acting cool all by yourself! response:	You messed up my pretty face!
context: Sailor Moon!\I'm a sailor warrior of love and justice, Sailor Moon!\Banban.\In the name of the moon...\Hey! In the name of the moon...\What are you doing?!\Quit acting cool all by yourself!\You messed up my pretty face! response:	I think you actually look better than before.
context: I'm a sailor warrior of love and justice, Sailor Moon!\Banban.\In the name of the moon...\Hey! In the name of the moon...\What are you doing?!\Quit acting cool all by yourself!\You messed up my pretty face!\I think you actually look better than before. response:	What did you say?!
context: Banban.\In the name of the moon...\Hey! In the name of the moon...\What are you doing?!\Quit acting cool all by yourself!\You messed up my pretty face!\I think you actually look better than before.\What did you say?! response:	Why did you come here?
context: In the name of the moon...\Hey! In the name of the moon...\What are you doing?!\Quit acting cool all by yourself!\You messed up my pretty face!\I think you actually look better than before.\What did you say?!\Why did you come here? response:	You're an eyesore!
context: Hey! In the name of the moon...\What are you doing?!\Quit acting cool all by yourself!\You messed up my pretty face!\I think you actually look better than before.\What did you say?!\Why did you come here?\You're an eyesore! response:	I'm the one who first got wind of this case!
context: What are you doing?!\Quit acting cool all by yourself!\You messed up my pretty face!\I think you actually look better than before.\What did you say?!\Why did you come here?\You're an eyesore!\I'm the one who first got wind of this case! response:	You were probably eavesdropping on us.
context: Quit acting cool all by yourself!\You messed up my pretty face!\I think you actually look better than before.\What did you say?!\Why did you come here?\You're an eyesore!\I'm the one who first got wind of this case!\You were probably eavesdropping on us. response:	Don't talk about me like I'm some thief!
context: You messed up my pretty face!\I think you actually look better than before.\What did you say?!\Why did you come here?\You're an eyesore!\I'm the one who first got wind of this case!\You were probably eavesdropping on us.\Don't talk about me like I'm some thief! response:	Oh, I've heard just about enough!
context: I think you actually look better than before.\What did you say?!\Why did you come here?\You're an eyesore!\I'm the one who first got wind of this case!\You were probably eavesdropping on us.\Don't talk about me like I'm some thief!\Oh, I've heard just about enough! response:	You are in our way!
context: What did you say?!\Why did you come here?\You're an eyesore!\I'm the one who first got wind of this case!\You were probably eavesdropping on us.\Don't talk about me like I'm some thief!\Oh, I've heard just about enough!\You are in our way! response:	Look who's talking!
context: Why did you come here?\You're an eyesore!\I'm the one who first got wind of this case!\You were probably eavesdropping on us.\Don't talk about me like I'm some thief!\Oh, I've heard just about enough!\You are in our way!\Look who's talking! response:	Sailor Moon my butt!
context: You're an eyesore!\I'm the one who first got wind of this case!\You were probably eavesdropping on us.\Don't talk about me like I'm some thief!\Oh, I've heard just about enough!\You are in our way!\Look who's talking!\Sailor Moon my butt! response:	What's going on? Sailor Moon my butt!
context: I'm the one who first got wind of this case!\You were probably eavesdropping on us.\Don't talk about me like I'm some thief!\Oh, I've heard just about enough!\You are in our way!\Look who's talking!\Sailor Moon my butt!\What's going on? Sailor Moon my butt! response:	Shut up! You're always clumsy and making mistakes,
context: You were probably eavesdropping on us.\Don't talk about me like I'm some thief!\Oh, I've heard just about enough!\You are in our way!\Look who's talking!\Sailor Moon my butt!\What's going on? Sailor Moon my butt!\Shut up! You're always clumsy and making mistakes, response:	You're always clumsy and making mistakes,
context: Don't talk about me like I'm some thief!\Oh, I've heard just about enough!\You are in our way!\Look who's talking!\Sailor Moon my butt!\What's going on? Sailor Moon my butt!\Shut up! You're always clumsy and making mistakes,\You're always clumsy and making mistakes, response:	always nothing but useless!
context: Oh, I've heard just about enough!\You are in our way!\Look who's talking!\Sailor Moon my butt!\What's going on? Sailor Moon my butt!\Shut up! You're always clumsy and making mistakes,\You're always clumsy and making mistakes,\always nothing but useless! response:	On top of that, you've got this long dragging hair!
context: You are in our way!\Look who's talking!\Sailor Moon my butt!\What's going on? Sailor Moon my butt!\Shut up! You're always clumsy and making mistakes,\You're always clumsy and making mistakes,\always nothing but useless!\On top of that, you've got this long dragging hair! response:	Aren't you just ashamed of yourself?! Honestly!
context: Look who's talking!\Sailor Moon my butt!\What's going on? Sailor Moon my butt!\Shut up! You're always clumsy and making mistakes,\You're always clumsy and making mistakes,\always nothing but useless!\On top of that, you've got this long dragging hair!\Aren't you just ashamed of yourself?! Honestly! response:	What?!
context: Sailor Moon my butt!\What's going on? Sailor Moon my butt!\Shut up! You're always clumsy and making mistakes,\You're always clumsy and making mistakes,\always nothing but useless!\On top of that, you've got this long dragging hair!\Aren't you just ashamed of yourself?! Honestly!\What?! response:	Sailor warriors in a big fight at the site of an incident!
context: What's going on? Sailor Moon my butt!\Shut up! You're always clumsy and making mistakes,\You're always clumsy and making mistakes,\always nothing but useless!\On top of that, you've got this long dragging hair!\Aren't you just ashamed of yourself?! Honestly!\What?!\Sailor warriors in a big fight at the site of an incident! response:	Oh! Hey! Wait! Sailor warriors in a big fight at the site of an incident!
context: Shut up! You're always clumsy and making mistakes,\You're always clumsy and making mistakes,\always nothing but useless!\On top of that, you've got this long dragging hair!\Aren't you just ashamed of yourself?! Honestly!\What?!\Sailor warriors in a big fight at the site of an incident!\Oh! Hey! Wait! Sailor warriors in a big fight at the site of an incident! response:	Oh! Hey! Wait! This is a huge scoop!
context: You're always clumsy and making mistakes,\always nothing but useless!\On top of that, you've got this long dragging hair!\Aren't you just ashamed of yourself?! Honestly!\What?!\Sailor warriors in a big fight at the site of an incident!\Oh! Hey! Wait! Sailor warriors in a big fight at the site of an incident!\Oh! Hey! Wait! This is a huge scoop! response:	Who are you?! This is a huge scoop!
context: always nothing but useless!\On top of that, you've got this long dragging hair!\Aren't you just ashamed of yourself?! Honestly!\What?!\Sailor warriors in a big fight at the site of an incident!\Oh! Hey! Wait! Sailor warriors in a big fight at the site of an incident!\Oh! Hey! Wait! This is a huge scoop!\Who are you?! This is a huge scoop! response:	Who are you?!
context: On top of that, you've got this long dragging hair!\Aren't you just ashamed of yourself?! Honestly!\What?!\Sailor warriors in a big fight at the site of an incident!\Oh! Hey! Wait! Sailor warriors in a big fight at the site of an incident!\Oh! Hey! Wait! This is a huge scoop!\Who are you?! This is a huge scoop!\Who are you?! response:	I'm a freelance reporter for the weekly, Surprise.
context: Aren't you just ashamed of yourself?! Honestly!\What?!\Sailor warriors in a big fight at the site of an incident!\Oh! Hey! Wait! Sailor warriors in a big fight at the site of an incident!\Oh! Hey! Wait! This is a huge scoop!\Who are you?! This is a huge scoop!\Who are you?!\I'm a freelance reporter for the weekly, Surprise. response:	That's enough already!
context: What?!\Sailor warriors in a big fight at the site of an incident!\Oh! Hey! Wait! Sailor warriors in a big fight at the site of an incident!\Oh! Hey! Wait! This is a huge scoop!\Who are you?! This is a huge scoop!\Who are you?!\I'm a freelance reporter for the weekly, Surprise.\That's enough already! response:	The weekly, Surprise, is that notorious tabloid magazine
context: Sailor warriors in a big fight at the site of an incident!\Oh! Hey! Wait! Sailor warriors in a big fight at the site of an incident!\Oh! Hey! Wait! This is a huge scoop!\Who are you?! This is a huge scoop!\Who are you?!\I'm a freelance reporter for the weekly, Surprise.\That's enough already!\The weekly, Surprise, is that notorious tabloid magazine response:	that writes about anything, whether it's true or not!
context: Oh! Hey! Wait! Sailor warriors in a big fight at the site of an incident!\Oh! Hey! Wait! This is a huge scoop!\Who are you?! This is a huge scoop!\Who are you?!\I'm a freelance reporter for the weekly, Surprise.\That's enough already!\The weekly, Surprise, is that notorious tabloid magazine\that writes about anything, whether it's true or not! response:	Something like that. So, how did the fight start?
context: Oh! Hey! Wait! This is a huge scoop!\Who are you?! This is a huge scoop!\Who are you?!\I'm a freelance reporter for the weekly, Surprise.\That's enough already!\The weekly, Surprise, is that notorious tabloid magazine\that writes about anything, whether it's true or not!\Something like that. So, how did the fight start? response:	The thing is, the thing is, that was just a joke!
context: Who are you?! This is a huge scoop!\Who are you?!\I'm a freelance reporter for the weekly, Surprise.\That's enough already!\The weekly, Surprise, is that notorious tabloid magazine\that writes about anything, whether it's true or not!\Something like that. So, how did the fight start?\The thing is, the thing is, that was just a joke! response:	There's no way the sailor warriors of justice
context: Who are you?!\I'm a freelance reporter for the weekly, Surprise.\That's enough already!\The weekly, Surprise, is that notorious tabloid magazine\that writes about anything, whether it's true or not!\Something like that. So, how did the fight start?\The thing is, the thing is, that was just a joke!\There's no way the sailor warriors of justice response:	would be fighting among themselves, right?!
context: I'm a freelance reporter for the weekly, Surprise.\That's enough already!\The weekly, Surprise, is that notorious tabloid magazine\that writes about anything, whether it's true or not!\Something like that. So, how did the fight start?\The thing is, the thing is, that was just a joke!\There's no way the sailor warriors of justice\would be fighting among themselves, right?! response:	Isn't that right?
context: That's enough already!\The weekly, Surprise, is that notorious tabloid magazine\that writes about anything, whether it's true or not!\Something like that. So, how did the fight start?\The thing is, the thing is, that was just a joke!\There's no way the sailor warriors of justice\would be fighting among themselves, right?!\Isn't that right? response:	There's something weird going on! Oh, I know!
context: The weekly, Surprise, is that notorious tabloid magazine\that writes about anything, whether it's true or not!\Something like that. So, how did the fight start?\The thing is, the thing is, that was just a joke!\There's no way the sailor warriors of justice\would be fighting among themselves, right?!\Isn't that right?\There's something weird going on! Oh, I know! response:	It's because Sailor Moon keeps messing up, isn't it?!
context: that writes about anything, whether it's true or not!\Something like that. So, how did the fight start?\The thing is, the thing is, that was just a joke!\There's no way the sailor warriors of justice\would be fighting among themselves, right?!\Isn't that right?\There's something weird going on! Oh, I know!\It's because Sailor Moon keeps messing up, isn't it?! response:	Or are you fighting over a boyfriend?
context: Something like that. So, how did the fight start?\The thing is, the thing is, that was just a joke!\There's no way the sailor warriors of justice\would be fighting among themselves, right?!\Isn't that right?\There's something weird going on! Oh, I know!\It's because Sailor Moon keeps messing up, isn't it?!\Or are you fighting over a boyfriend? response:	This is ridiculous! Or are you fighting over a boyfriend?
context: The thing is, the thing is, that was just a joke!\There's no way the sailor warriors of justice\would be fighting among themselves, right?!\Isn't that right?\There's something weird going on! Oh, I know!\It's because Sailor Moon keeps messing up, isn't it?!\Or are you fighting over a boyfriend?\This is ridiculous! Or are you fighting over a boyfriend? response:	This is ridiculous! Let's go home!
context: There's no way the sailor warriors of justice\would be fighting among themselves, right?!\Isn't that right?\There's something weird going on! Oh, I know!\It's because Sailor Moon keeps messing up, isn't it?!\Or are you fighting over a boyfriend?\This is ridiculous! Or are you fighting over a boyfriend?\This is ridiculous! Let's go home! response:	Oh, wait! You can tell me!
context: would be fighting among themselves, right?!\Isn't that right?\There's something weird going on! Oh, I know!\It's because Sailor Moon keeps messing up, isn't it?!\Or are you fighting over a boyfriend?\This is ridiculous! Or are you fighting over a boyfriend?\This is ridiculous! Let's go home!\Oh, wait! You can tell me! response:	I can't believe this.
context: Isn't that right?\There's something weird going on! Oh, I know!\It's because Sailor Moon keeps messing up, isn't it?!\Or are you fighting over a boyfriend?\This is ridiculous! Or are you fighting over a boyfriend?\This is ridiculous! Let's go home!\Oh, wait! You can tell me!\I can't believe this. response:	Come on!
context: There's something weird going on! Oh, I know!\It's because Sailor Moon keeps messing up, isn't it?!\Or are you fighting over a boyfriend?\This is ridiculous! Or are you fighting over a boyfriend?\This is ridiculous! Let's go home!\Oh, wait! You can tell me!\I can't believe this.\Come on! response:	What was with that?
context: It's because Sailor Moon keeps messing up, isn't it?!\Or are you fighting over a boyfriend?\This is ridiculous! Or are you fighting over a boyfriend?\This is ridiculous! Let's go home!\Oh, wait! You can tell me!\I can't believe this.\Come on!\What was with that? response:	Excuse me... What was with that?
context: Or are you fighting over a boyfriend?\This is ridiculous! Or are you fighting over a boyfriend?\This is ridiculous! Let's go home!\Oh, wait! You can tell me!\I can't believe this.\Come on!\What was with that?\Excuse me... What was with that? response:	Excuse me...
context: This is ridiculous! Or are you fighting over a boyfriend?\This is ridiculous! Let's go home!\Oh, wait! You can tell me!\I can't believe this.\Come on!\What was with that?\Excuse me... What was with that?\Excuse me... response:	That's right! Where's the monster?!
context: This is ridiculous! Let's go home!\Oh, wait! You can tell me!\I can't believe this.\Come on!\What was with that?\Excuse me... What was with that?\Excuse me...\That's right! Where's the monster?! response:	I think she left during that commotion.
context: Oh, wait! You can tell me!\I can't believe this.\Come on!\What was with that?\Excuse me... What was with that?\Excuse me...\That's right! Where's the monster?!\I think she left during that commotion. response:	Oh...
context: I can't believe this.\Come on!\What was with that?\Excuse me... What was with that?\Excuse me...\That's right! Where's the monster?!\I think she left during that commotion.\Oh... response:	Excuse me...
context: Come on!\What was with that?\Excuse me... What was with that?\Excuse me...\That's right! Where's the monster?!\I think she left during that commotion.\Oh...\Excuse me... response:	Yes?
context: What was with that?\Excuse me... What was with that?\Excuse me...\That's right! Where's the monster?!\I think she left during that commotion.\Oh...\Excuse me...\Yes? response:	Could you help us?
context: Excuse me... What was with that?\Excuse me...\That's right! Where's the monster?!\I think she left during that commotion.\Oh...\Excuse me...\Yes?\Could you help us? response:	Sorry about that!
