context: Kuu-chan, are you okay? response:	Why is it so hot every day?
context: Wow, it's nice!\Isn't it?\Mayu-chan, there are so many, I can't decide!\I know, but don't worry.\I'll give all my effort to helping you choose a swimsuit.\Okay! Thanks!\You can count on me.\Good luck, Hina-chan... response:	What do you think, Mayu-chan?
context: Isn't it?\Mayu-chan, there are so many, I can't decide!\I know, but don't worry.\I'll give all my effort to helping you choose a swimsuit.\Okay! Thanks!\You can count on me.\Good luck, Hina-chan...\What do you think, Mayu-chan? response:	Yeah, it's cute.
context: Mayu-chan, there are so many, I can't decide!\I know, but don't worry.\I'll give all my effort to helping you choose a swimsuit.\Okay! Thanks!\You can count on me.\Good luck, Hina-chan...\What do you think, Mayu-chan?\Yeah, it's cute. response:	All right, try this one next.
context: I know, but don't worry.\I'll give all my effort to helping you choose a swimsuit.\Okay! Thanks!\You can count on me.\Good luck, Hina-chan...\What do you think, Mayu-chan?\Yeah, it's cute.\All right, try this one next. response:	Okay, I'll try it.
context: I'll give all my effort to helping you choose a swimsuit.\Okay! Thanks!\You can count on me.\Good luck, Hina-chan...\What do you think, Mayu-chan?\Yeah, it's cute.\All right, try this one next.\Okay, I'll try it. response:	How many more is she going to make me try on?
context: Okay! Thanks!\You can count on me.\Good luck, Hina-chan...\What do you think, Mayu-chan?\Yeah, it's cute.\All right, try this one next.\Okay, I'll try it.\How many more is she going to make me try on? response:	Ta-da!
context: You can count on me.\Good luck, Hina-chan...\What do you think, Mayu-chan?\Yeah, it's cute.\All right, try this one next.\Okay, I'll try it.\How many more is she going to make me try on?\Ta-da! response:	How do I look?
context: Good luck, Hina-chan...\What do you think, Mayu-chan?\Yeah, it's cute.\All right, try this one next.\Okay, I'll try it.\How many more is she going to make me try on?\Ta-da!\How do I look? response:	It suits you, but I'm surprised that was your choice.
context: What do you think, Mayu-chan?\Yeah, it's cute.\All right, try this one next.\Okay, I'll try it.\How many more is she going to make me try on?\Ta-da!\How do I look?\It suits you, but I'm surprised that was your choice. response:	I thought you'd pick a more revealing one.
context: Yeah, it's cute.\All right, try this one next.\Okay, I'll try it.\How many more is she going to make me try on?\Ta-da!\How do I look?\It suits you, but I'm surprised that was your choice.\I thought you'd pick a more revealing one. response:	Well... I've gained a little weight lately,
context: All right, try this one next.\Okay, I'll try it.\How many more is she going to make me try on?\Ta-da!\How do I look?\It suits you, but I'm surprised that was your choice.\I thought you'd pick a more revealing one.\Well... I've gained a little weight lately, response:	so I want to cover my stomach.
context: Okay, I'll try it.\How many more is she going to make me try on?\Ta-da!\How do I look?\It suits you, but I'm surprised that was your choice.\I thought you'd pick a more revealing one.\Well... I've gained a little weight lately,\so I want to cover my stomach. response:	I really was planning to buy a bikini, but...
context: How many more is she going to make me try on?\Ta-da!\How do I look?\It suits you, but I'm surprised that was your choice.\I thought you'd pick a more revealing one.\Well... I've gained a little weight lately,\so I want to cover my stomach.\I really was planning to buy a bikini, but... response:	With your proportions, I think you're perfectly thin now.
context: Ta-da!\How do I look?\It suits you, but I'm surprised that was your choice.\I thought you'd pick a more revealing one.\Well... I've gained a little weight lately,\so I want to cover my stomach.\I really was planning to buy a bikini, but...\With your proportions, I think you're perfectly thin now. response:	Ch-Chiaki-senpai!
context: How do I look?\It suits you, but I'm surprised that was your choice.\I thought you'd pick a more revealing one.\Well... I've gained a little weight lately,\so I want to cover my stomach.\I really was planning to buy a bikini, but...\With your proportions, I think you're perfectly thin now.\Ch-Chiaki-senpai! response:	You don't need to worry.
context: It suits you, but I'm surprised that was your choice.\I thought you'd pick a more revealing one.\Well... I've gained a little weight lately,\so I want to cover my stomach.\I really was planning to buy a bikini, but...\With your proportions, I think you're perfectly thin now.\Ch-Chiaki-senpai!\You don't need to worry. response:	Hearing that from you makes me more confident!
context: I thought you'd pick a more revealing one.\Well... I've gained a little weight lately,\so I want to cover my stomach.\I really was planning to buy a bikini, but...\With your proportions, I think you're perfectly thin now.\Ch-Chiaki-senpai!\You don't need to worry.\Hearing that from you makes me more confident! response:	I'm going to try on a bikini right now!
context: Well... I've gained a little weight lately,\so I want to cover my stomach.\I really was planning to buy a bikini, but...\With your proportions, I think you're perfectly thin now.\Ch-Chiaki-senpai!\You don't need to worry.\Hearing that from you makes me more confident!\I'm going to try on a bikini right now! response:	She switches gears fast...
context: so I want to cover my stomach.\I really was planning to buy a bikini, but...\With your proportions, I think you're perfectly thin now.\Ch-Chiaki-senpai!\You don't need to worry.\Hearing that from you makes me more confident!\I'm going to try on a bikini right now!\She switches gears fast... response:	This one's kind of a funny shape.
context: I really was planning to buy a bikini, but...\With your proportions, I think you're perfectly thin now.\Ch-Chiaki-senpai!\You don't need to worry.\Hearing that from you makes me more confident!\I'm going to try on a bikini right now!\She switches gears fast...\This one's kind of a funny shape. response:	Is this the first time you've worn one like that?
context: With your proportions, I think you're perfectly thin now.\Ch-Chiaki-senpai!\You don't need to worry.\Hearing that from you makes me more confident!\I'm going to try on a bikini right now!\She switches gears fast...\This one's kind of a funny shape.\Is this the first time you've worn one like that? response:	Yeah... or to be exact,
context: Ch-Chiaki-senpai!\You don't need to worry.\Hearing that from you makes me more confident!\I'm going to try on a bikini right now!\She switches gears fast...\This one's kind of a funny shape.\Is this the first time you've worn one like that?\Yeah... or to be exact, response:	I've never worn anything but school swimsuits.
context: You don't need to worry.\Hearing that from you makes me more confident!\I'm going to try on a bikini right now!\She switches gears fast...\This one's kind of a funny shape.\Is this the first time you've worn one like that?\Yeah... or to be exact,\I've never worn anything but school swimsuits. response:	Really?
context: Hearing that from you makes me more confident!\I'm going to try on a bikini right now!\She switches gears fast...\This one's kind of a funny shape.\Is this the first time you've worn one like that?\Yeah... or to be exact,\I've never worn anything but school swimsuits.\Really? response:	Then we were right to go swimsuit shopping today!
context: I'm going to try on a bikini right now!\She switches gears fast...\This one's kind of a funny shape.\Is this the first time you've worn one like that?\Yeah... or to be exact,\I've never worn anything but school swimsuits.\Really?\Then we were right to go swimsuit shopping today! response:	No high schooler wants to go to the ocean wearing a school swimsuit.
context: She switches gears fast...\This one's kind of a funny shape.\Is this the first time you've worn one like that?\Yeah... or to be exact,\I've never worn anything but school swimsuits.\Really?\Then we were right to go swimsuit shopping today!\No high schooler wants to go to the ocean wearing a school swimsuit. response:	I'm planning to go in my school swimsuit.
context: This one's kind of a funny shape.\Is this the first time you've worn one like that?\Yeah... or to be exact,\I've never worn anything but school swimsuits.\Really?\Then we were right to go swimsuit shopping today!\No high schooler wants to go to the ocean wearing a school swimsuit.\I'm planning to go in my school swimsuit. response:	Huh? You are?
context: Is this the first time you've worn one like that?\Yeah... or to be exact,\I've never worn anything but school swimsuits.\Really?\Then we were right to go swimsuit shopping today!\No high schooler wants to go to the ocean wearing a school swimsuit.\I'm planning to go in my school swimsuit.\Huh? You are? response:	Yes. The one I used in elementary school still fits,
context: Yeah... or to be exact,\I've never worn anything but school swimsuits.\Really?\Then we were right to go swimsuit shopping today!\No high schooler wants to go to the ocean wearing a school swimsuit.\I'm planning to go in my school swimsuit.\Huh? You are?\Yes. The one I used in elementary school still fits, response:	so I don't see the need to buy one.
context: I've never worn anything but school swimsuits.\Really?\Then we were right to go swimsuit shopping today!\No high schooler wants to go to the ocean wearing a school swimsuit.\I'm planning to go in my school swimsuit.\Huh? You are?\Yes. The one I used in elementary school still fits,\so I don't see the need to buy one. response:	I see... That is an option...
context: Really?\Then we were right to go swimsuit shopping today!\No high schooler wants to go to the ocean wearing a school swimsuit.\I'm planning to go in my school swimsuit.\Huh? You are?\Yes. The one I used in elementary school still fits,\so I don't see the need to buy one.\I see... That is an option... response:	Mayu-chan, I still have my swimsuit from last year, so I
context: Then we were right to go swimsuit shopping today!\No high schooler wants to go to the ocean wearing a school swimsuit.\I'm planning to go in my school swimsuit.\Huh? You are?\Yes. The one I used in elementary school still fits,\so I don't see the need to buy one.\I see... That is an option...\Mayu-chan, I still have my swimsuit from last year, so I response:	No! You have to buy a new one, Aki-chan!
context: No high schooler wants to go to the ocean wearing a school swimsuit.\I'm planning to go in my school swimsuit.\Huh? You are?\Yes. The one I used in elementary school still fits,\so I don't see the need to buy one.\I see... That is an option...\Mayu-chan, I still have my swimsuit from last year, so I\No! You have to buy a new one, Aki-chan! response:	You can't use that one! No, no, no!
context: I'm planning to go in my school swimsuit.\Huh? You are?\Yes. The one I used in elementary school still fits,\so I don't see the need to buy one.\I see... That is an option...\Mayu-chan, I still have my swimsuit from last year, so I\No! You have to buy a new one, Aki-chan!\You can't use that one! No, no, no! response:	O-Okay...
context: Huh? You are?\Yes. The one I used in elementary school still fits,\so I don't see the need to buy one.\I see... That is an option...\Mayu-chan, I still have my swimsuit from last year, so I\No! You have to buy a new one, Aki-chan!\You can't use that one! No, no, no!\O-Okay... response:	What do you think?
context: Yes. The one I used in elementary school still fits,\so I don't see the need to buy one.\I see... That is an option...\Mayu-chan, I still have my swimsuit from last year, so I\No! You have to buy a new one, Aki-chan!\You can't use that one! No, no, no!\O-Okay...\What do you think? response:	You look so composed and beautiful in a swimsuit, Miss Landlady!
context: so I don't see the need to buy one.\I see... That is an option...\Mayu-chan, I still have my swimsuit from last year, so I\No! You have to buy a new one, Aki-chan!\You can't use that one! No, no, no!\O-Okay...\What do you think?\You look so composed and beautiful in a swimsuit, Miss Landlady! response:	You have grown-up appeal!
context: I see... That is an option...\Mayu-chan, I still have my swimsuit from last year, so I\No! You have to buy a new one, Aki-chan!\You can't use that one! No, no, no!\O-Okay...\What do you think?\You look so composed and beautiful in a swimsuit, Miss Landlady!\You have grown-up appeal! response:	You do like simple styles, don't you, Aki-chan?
context: Mayu-chan, I still have my swimsuit from last year, so I\No! You have to buy a new one, Aki-chan!\You can't use that one! No, no, no!\O-Okay...\What do you think?\You look so composed and beautiful in a swimsuit, Miss Landlady!\You have grown-up appeal!\You do like simple styles, don't you, Aki-chan? response:	I figure I could wear something like this at home, too.
context: No! You have to buy a new one, Aki-chan!\You can't use that one! No, no, no!\O-Okay...\What do you think?\You look so composed and beautiful in a swimsuit, Miss Landlady!\You have grown-up appeal!\You do like simple styles, don't you, Aki-chan?\I figure I could wear something like this at home, too. response:	Or, like, when I clean the bath.
context: You can't use that one! No, no, no!\O-Okay...\What do you think?\You look so composed and beautiful in a swimsuit, Miss Landlady!\You have grown-up appeal!\You do like simple styles, don't you, Aki-chan?\I figure I could wear something like this at home, too.\Or, like, when I clean the bath. response:	You use yours on normal days?
context: O-Okay...\What do you think?\You look so composed and beautiful in a swimsuit, Miss Landlady!\You have grown-up appeal!\You do like simple styles, don't you, Aki-chan?\I figure I could wear something like this at home, too.\Or, like, when I clean the bath.\You use yours on normal days? response:	Yeah.
context: What do you think?\You look so composed and beautiful in a swimsuit, Miss Landlady!\You have grown-up appeal!\You do like simple styles, don't you, Aki-chan?\I figure I could wear something like this at home, too.\Or, like, when I clean the bath.\You use yours on normal days?\Yeah. response:	I only wear a swimsuit a few times in a year, so it's wasted otherwise.
