context: Just a little farther till we're at Kame House. Hang in there, Gohan. response:	Right.
context: T- this is impossible!\W- what is that? There's a tremendous Ki rising up.\Father's Ki hasn't risen again, right?\N- no. This nasty feeling is coming from the other one's Ki.\And you know, that's an incredible amount of Ki. What's going on!?\F- Father...\Gohan!\I- I'm going back. response:	I'm going back.
context: W- what is that? There's a tremendous Ki rising up.\Father's Ki hasn't risen again, right?\N- no. This nasty feeling is coming from the other one's Ki.\And you know, that's an incredible amount of Ki. What's going on!?\F- Father...\Gohan!\I- I'm going back.\I'm going back. response:	G- going back? You mean to where Goku is?
context: Father's Ki hasn't risen again, right?\N- no. This nasty feeling is coming from the other one's Ki.\And you know, that's an incredible amount of Ki. What's going on!?\F- Father...\Gohan!\I- I'm going back.\I'm going back.\G- going back? You mean to where Goku is? response:	I can tell... Father is in trouble. He's going to die if this keeps up...
context: N- no. This nasty feeling is coming from the other one's Ki.\And you know, that's an incredible amount of Ki. What's going on!?\F- Father...\Gohan!\I- I'm going back.\I'm going back.\G- going back? You mean to where Goku is?\I can tell... Father is in trouble. He's going to die if this keeps up... response:	What are you talking about, Gohan?
context: And you know, that's an incredible amount of Ki. What's going on!?\F- Father...\Gohan!\I- I'm going back.\I'm going back.\G- going back? You mean to where Goku is?\I can tell... Father is in trouble. He's going to die if this keeps up...\What are you talking about, Gohan? response:	There's no way Goku- your father is going to die, is there?
context: F- Father...\Gohan!\I- I'm going back.\I'm going back.\G- going back? You mean to where Goku is?\I can tell... Father is in trouble. He's going to die if this keeps up...\What are you talking about, Gohan?\There's no way Goku- your father is going to die, is there? response:	Besides, even if we go back there,
context: Gohan!\I- I'm going back.\I'm going back.\G- going back? You mean to where Goku is?\I can tell... Father is in trouble. He's going to die if this keeps up...\What are you talking about, Gohan?\There's no way Goku- your father is going to die, is there?\Besides, even if we go back there, response:	we can't do anything against a guy with a Ki that incredible.
context: I- I'm going back.\I'm going back.\G- going back? You mean to where Goku is?\I can tell... Father is in trouble. He's going to die if this keeps up...\What are you talking about, Gohan?\There's no way Goku- your father is going to die, is there?\Besides, even if we go back there,\we can't do anything against a guy with a Ki that incredible. response:	Yeah, I know.
context: I'm going back.\G- going back? You mean to where Goku is?\I can tell... Father is in trouble. He's going to die if this keeps up...\What are you talking about, Gohan?\There's no way Goku- your father is going to die, is there?\Besides, even if we go back there,\we can't do anything against a guy with a Ki that incredible.\Yeah, I know. response:	Even so...
context: G- going back? You mean to where Goku is?\I can tell... Father is in trouble. He's going to die if this keeps up...\What are you talking about, Gohan?\There's no way Goku- your father is going to die, is there?\Besides, even if we go back there,\we can't do anything against a guy with a Ki that incredible.\Yeah, I know.\Even so... response:	Even so!
context: I can tell... Father is in trouble. He's going to die if this keeps up...\What are you talking about, Gohan?\There's no way Goku- your father is going to die, is there?\Besides, even if we go back there,\we can't do anything against a guy with a Ki that incredible.\Yeah, I know.\Even so...\Even so! response:	I absolutely have to go back there!
context: What are you talking about, Gohan?\There's no way Goku- your father is going to die, is there?\Besides, even if we go back there,\we can't do anything against a guy with a Ki that incredible.\Yeah, I know.\Even so...\Even so!\I absolutely have to go back there! response:	Hey!
context: There's no way Goku- your father is going to die, is there?\Besides, even if we go back there,\we can't do anything against a guy with a Ki that incredible.\Yeah, I know.\Even so...\Even so!\I absolutely have to go back there!\Hey! response:	Wait up, Gohan!
context: Besides, even if we go back there,\we can't do anything against a guy with a Ki that incredible.\Yeah, I know.\Even so...\Even so!\I absolutely have to go back there!\Hey!\Wait up, Gohan! response:	How about it, Kakarrot?
context: we can't do anything against a guy with a Ki that incredible.\Yeah, I know.\Even so...\Even so!\I absolutely have to go back there!\Hey!\Wait up, Gohan!\How about it, Kakarrot? response:	You're finished now!
context: Yeah, I know.\Even so...\Even so!\I absolutely have to go back there!\Hey!\Wait up, Gohan!\How about it, Kakarrot?\You're finished now! response:	What's going on!?
context: Even so...\Even so!\I absolutely have to go back there!\Hey!\Wait up, Gohan!\How about it, Kakarrot?\You're finished now!\What's going on!? response:	A Great Ape? A Great Ape monster?
context: Even so!\I absolutely have to go back there!\Hey!\Wait up, Gohan!\How about it, Kakarrot?\You're finished now!\What's going on!?\A Great Ape? A Great Ape monster? response:	Let me give you some good news.
context: I absolutely have to go back there!\Hey!\Wait up, Gohan!\How about it, Kakarrot?\You're finished now!\What's going on!?\A Great Ape? A Great Ape monster?\Let me give you some good news. response:	A Saiyan who has become a Great Ape has ten times more battle power!
context: Hey!\Wait up, Gohan!\How about it, Kakarrot?\You're finished now!\What's going on!?\A Great Ape? A Great Ape monster?\Let me give you some good news.\A Saiyan who has become a Great Ape has ten times more battle power! response:	Goku, there's a great ape monster that comes out during the full moon.
context: Wait up, Gohan!\How about it, Kakarrot?\You're finished now!\What's going on!?\A Great Ape? A Great Ape monster?\Let me give you some good news.\A Saiyan who has become a Great Ape has ten times more battle power!\Goku, there's a great ape monster that comes out during the full moon. response:	You must not go outside. As long as you stay asleep, you'll be safe.
context: How about it, Kakarrot?\You're finished now!\What's going on!?\A Great Ape? A Great Ape monster?\Let me give you some good news.\A Saiyan who has become a Great Ape has ten times more battle power!\Goku, there's a great ape monster that comes out during the full moon.\You must not go outside. As long as you stay asleep, you'll be safe. response:	I- I'll make it so that tail of yours never grows back.
context: You're finished now!\What's going on!?\A Great Ape? A Great Ape monster?\Let me give you some good news.\A Saiyan who has become a Great Ape has ten times more battle power!\Goku, there's a great ape monster that comes out during the full moon.\You must not go outside. As long as you stay asleep, you'll be safe.\I- I'll make it so that tail of yours never grows back. response:	It's something of a nuisance.
context: What's going on!?\A Great Ape? A Great Ape monster?\Let me give you some good news.\A Saiyan who has become a Great Ape has ten times more battle power!\Goku, there's a great ape monster that comes out during the full moon.\You must not go outside. As long as you stay asleep, you'll be safe.\I- I'll make it so that tail of yours never grows back.\It's something of a nuisance. response:	S - so that's it! l finally get it!
context: A Great Ape? A Great Ape monster?\Let me give you some good news.\A Saiyan who has become a Great Ape has ten times more battle power!\Goku, there's a great ape monster that comes out during the full moon.\You must not go outside. As long as you stay asleep, you'll be safe.\I- I'll make it so that tail of yours never grows back.\It's something of a nuisance.\S - so that's it! l finally get it! response:	H- how awful...
context: Let me give you some good news.\A Saiyan who has become a Great Ape has ten times more battle power!\Goku, there's a great ape monster that comes out during the full moon.\You must not go outside. As long as you stay asleep, you'll be safe.\I- I'll make it so that tail of yours never grows back.\It's something of a nuisance.\S - so that's it! l finally get it!\H- how awful... response:	The monster that crushed Grandpa to death...
context: A Saiyan who has become a Great Ape has ten times more battle power!\Goku, there's a great ape monster that comes out during the full moon.\You must not go outside. As long as you stay asleep, you'll be safe.\I- I'll make it so that tail of yours never grows back.\It's something of a nuisance.\S - so that's it! l finally get it!\H- how awful...\The monster that crushed Grandpa to death... response:	and busted everything up...
context: Goku, there's a great ape monster that comes out during the full moon.\You must not go outside. As long as you stay asleep, you'll be safe.\I- I'll make it so that tail of yours never grows back.\It's something of a nuisance.\S - so that's it! l finally get it!\H- how awful...\The monster that crushed Grandpa to death...\and busted everything up... response:	l'm sorry, Grandpa. This guy is incredible.
context: You must not go outside. As long as you stay asleep, you'll be safe.\I- I'll make it so that tail of yours never grows back.\It's something of a nuisance.\S - so that's it! l finally get it!\H- how awful...\The monster that crushed Grandpa to death...\and busted everything up...\l'm sorry, Grandpa. This guy is incredible. response:	l'll probably have to use up all of my Ki, or I won't be able to beat him.
context: I- I'll make it so that tail of yours never grows back.\It's something of a nuisance.\S - so that's it! l finally get it!\H- how awful...\The monster that crushed Grandpa to death...\and busted everything up...\l'm sorry, Grandpa. This guy is incredible.\l'll probably have to use up all of my Ki, or I won't be able to beat him. response:	Once I die, and go back over to the Next World, l'll go apologize to you.
context: It's something of a nuisance.\S - so that's it! l finally get it!\H- how awful...\The monster that crushed Grandpa to death...\and busted everything up...\l'm sorry, Grandpa. This guy is incredible.\l'll probably have to use up all of my Ki, or I won't be able to beat him.\Once I die, and go back over to the Next World, l'll go apologize to you. response:	What is that monster!?
context: S - so that's it! l finally get it!\H- how awful...\The monster that crushed Grandpa to death...\and busted everything up...\l'm sorry, Grandpa. This guy is incredible.\l'll probably have to use up all of my Ki, or I won't be able to beat him.\Once I die, and go back over to the Next World, l'll go apologize to you.\What is that monster!? response:	I- it's outrageously huge!
context: H- how awful...\The monster that crushed Grandpa to death...\and busted everything up...\l'm sorry, Grandpa. This guy is incredible.\l'll probably have to use up all of my Ki, or I won't be able to beat him.\Once I die, and go back over to the Next World, l'll go apologize to you.\What is that monster!?\I- it's outrageously huge! response:	That monster's clothes're the same as the Saiyan's! Is he that Saiyan!?
context: The monster that crushed Grandpa to death...\and busted everything up...\l'm sorry, Grandpa. This guy is incredible.\l'll probably have to use up all of my Ki, or I won't be able to beat him.\Once I die, and go back over to the Next World, l'll go apologize to you.\What is that monster!?\I- it's outrageously huge!\That monster's clothes're the same as the Saiyan's! Is he that Saiyan!? response:	I'll show you, Vegeta!
context: and busted everything up...\l'm sorry, Grandpa. This guy is incredible.\l'll probably have to use up all of my Ki, or I won't be able to beat him.\Once I die, and go back over to the Next World, l'll go apologize to you.\What is that monster!?\I- it's outrageously huge!\That monster's clothes're the same as the Saiyan's! Is he that Saiyan!?\I'll show you, Vegeta! response:	I'm going to feed you your fill of me and the earth's Genki Dama!
context: l'm sorry, Grandpa. This guy is incredible.\l'll probably have to use up all of my Ki, or I won't be able to beat him.\Once I die, and go back over to the Next World, l'll go apologize to you.\What is that monster!?\I- it's outrageously huge!\That monster's clothes're the same as the Saiyan's! Is he that Saiyan!?\I'll show you, Vegeta!\I'm going to feed you your fill of me and the earth's Genki Dama! response:	You're at last going to use the Genki Dama, are you?
context: l'll probably have to use up all of my Ki, or I won't be able to beat him.\Once I die, and go back over to the Next World, l'll go apologize to you.\What is that monster!?\I- it's outrageously huge!\That monster's clothes're the same as the Saiyan's! Is he that Saiyan!?\I'll show you, Vegeta!\I'm going to feed you your fill of me and the earth's Genki Dama!\You're at last going to use the Genki Dama, are you? response:	Still, with your body as ragged as it is,
context: Once I die, and go back over to the Next World, l'll go apologize to you.\What is that monster!?\I- it's outrageously huge!\That monster's clothes're the same as the Saiyan's! Is he that Saiyan!?\I'll show you, Vegeta!\I'm going to feed you your fill of me and the earth's Genki Dama!\You're at last going to use the Genki Dama, are you?\Still, with your body as ragged as it is, response:	this is going to put too much of a burden on it.
context: What is that monster!?\I- it's outrageously huge!\That monster's clothes're the same as the Saiyan's! Is he that Saiyan!?\I'll show you, Vegeta!\I'm going to feed you your fill of me and the earth's Genki Dama!\You're at last going to use the Genki Dama, are you?\Still, with your body as ragged as it is,\this is going to put too much of a burden on it. response:	K - Kaio-ken!!
context: I- it's outrageously huge!\That monster's clothes're the same as the Saiyan's! Is he that Saiyan!?\I'll show you, Vegeta!\I'm going to feed you your fill of me and the earth's Genki Dama!\You're at last going to use the Genki Dama, are you?\Still, with your body as ragged as it is,\this is going to put too much of a burden on it.\K - Kaio-ken!! response:	What's the matter?
context: That monster's clothes're the same as the Saiyan's! Is he that Saiyan!?\I'll show you, Vegeta!\I'm going to feed you your fill of me and the earth's Genki Dama!\You're at last going to use the Genki Dama, are you?\Still, with your body as ragged as it is,\this is going to put too much of a burden on it.\K - Kaio-ken!!\What's the matter? response:	Can't you even get away?
context: I'll show you, Vegeta!\I'm going to feed you your fill of me and the earth's Genki Dama!\You're at last going to use the Genki Dama, are you?\Still, with your body as ragged as it is,\this is going to put too much of a burden on it.\K - Kaio-ken!!\What's the matter?\Can't you even get away? response:	Die!!
context: I'm going to feed you your fill of me and the earth's Genki Dama!\You're at last going to use the Genki Dama, are you?\Still, with your body as ragged as it is,\this is going to put too much of a burden on it.\K - Kaio-ken!!\What's the matter?\Can't you even get away?\Die!! response:	What is it?
context: You're at last going to use the Genki Dama, are you?\Still, with your body as ragged as it is,\this is going to put too much of a burden on it.\K - Kaio-ken!!\What's the matter?\Can't you even get away?\Die!!\What is it? response:	Is anything appearing?
context: Still, with your body as ragged as it is,\this is going to put too much of a burden on it.\K - Kaio-ken!!\What's the matter?\Can't you even get away?\Die!!\What is it?\Is anything appearing? response:	I'm starting to see some light. Goku's Ki has subsided.
context: this is going to put too much of a burden on it.\K - Kaio-ken!!\What's the matter?\Can't you even get away?\Die!!\What is it?\Is anything appearing?\I'm starting to see some light. Goku's Ki has subsided. response:	Goku- sa has won, right?
context: K - Kaio-ken!!\What's the matter?\Can't you even get away?\Die!!\What is it?\Is anything appearing?\I'm starting to see some light. Goku's Ki has subsided.\Goku- sa has won, right? response:	-Goku! -Son- kun!
context: What's the matter?\Can't you even get away?\Die!!\What is it?\Is anything appearing?\I'm starting to see some light. Goku's Ki has subsided.\Goku- sa has won, right?\-Goku! -Son- kun! response:	Goku- sa!
context: Can't you even get away?\Die!!\What is it?\Is anything appearing?\I'm starting to see some light. Goku's Ki has subsided.\Goku- sa has won, right?\-Goku! -Son- kun!\Goku- sa! response:	I- is he dead?
context: Die!!\What is it?\Is anything appearing?\I'm starting to see some light. Goku's Ki has subsided.\Goku- sa has won, right?\-Goku! -Son- kun!\Goku- sa!\I- is he dead? response:	No, he is not dead.
context: What is it?\Is anything appearing?\I'm starting to see some light. Goku's Ki has subsided.\Goku- sa has won, right?\-Goku! -Son- kun!\Goku- sa!\I- is he dead?\No, he is not dead. response:	What the hell has happened?
context: Is anything appearing?\I'm starting to see some light. Goku's Ki has subsided.\Goku- sa has won, right?\-Goku! -Son- kun!\Goku- sa!\I- is he dead?\No, he is not dead.\What the hell has happened? response:	I- impossible!
context: I'm starting to see some light. Goku's Ki has subsided.\Goku- sa has won, right?\-Goku! -Son- kun!\Goku- sa!\I- is he dead?\No, he is not dead.\What the hell has happened?\I- impossible! response:	You mean the Saiyan has transformed, even without the moon!?
context: Goku- sa has won, right?\-Goku! -Son- kun!\Goku- sa!\I- is he dead?\No, he is not dead.\What the hell has happened?\I- impossible!\You mean the Saiyan has transformed, even without the moon!? response:	It's hopeless now! There's no way he can stand up to that monster!
context: -Goku! -Son- kun!\Goku- sa!\I- is he dead?\No, he is not dead.\What the hell has happened?\I- impossible!\You mean the Saiyan has transformed, even without the moon!?\It's hopeless now! There's no way he can stand up to that monster! response:	What about Gohan- chan!? What's Gohan- chan doin'!?
context: Goku- sa!\I- is he dead?\No, he is not dead.\What the hell has happened?\I- impossible!\You mean the Saiyan has transformed, even without the moon!?\It's hopeless now! There's no way he can stand up to that monster!\What about Gohan- chan!? What's Gohan- chan doin'!? response:	Where's Gohan- chan!?
context: I- is he dead?\No, he is not dead.\What the hell has happened?\I- impossible!\You mean the Saiyan has transformed, even without the moon!?\It's hopeless now! There's no way he can stand up to that monster!\What about Gohan- chan!? What's Gohan- chan doin'!?\Where's Gohan- chan!? response:	There's someone else there...
context: No, he is not dead.\What the hell has happened?\I- impossible!\You mean the Saiyan has transformed, even without the moon!?\It's hopeless now! There's no way he can stand up to that monster!\What about Gohan- chan!? What's Gohan- chan doin'!?\Where's Gohan- chan!?\There's someone else there... response:	It's Yajirobe!
context: What the hell has happened?\I- impossible!\You mean the Saiyan has transformed, even without the moon!?\It's hopeless now! There's no way he can stand up to that monster!\What about Gohan- chan!? What's Gohan- chan doin'!?\Where's Gohan- chan!?\There's someone else there...\It's Yajirobe! response:	What is he doing!?
context: I- impossible!\You mean the Saiyan has transformed, even without the moon!?\It's hopeless now! There's no way he can stand up to that monster!\What about Gohan- chan!? What's Gohan- chan doin'!?\Where's Gohan- chan!?\There's someone else there...\It's Yajirobe!\What is he doing!? response:	Come on, Yajirobe! Why aren't you helping Son- kun!?
context: You mean the Saiyan has transformed, even without the moon!?\It's hopeless now! There's no way he can stand up to that monster!\What about Gohan- chan!? What's Gohan- chan doin'!?\Where's Gohan- chan!?\There's someone else there...\It's Yajirobe!\What is he doing!?\Come on, Yajirobe! Why aren't you helping Son- kun!? response:	Hey!
context: It's hopeless now! There's no way he can stand up to that monster!\What about Gohan- chan!? What's Gohan- chan doin'!?\Where's Gohan- chan!?\There's someone else there...\It's Yajirobe!\What is he doing!?\Come on, Yajirobe! Why aren't you helping Son- kun!?\Hey! response:	G- Gohan- chan...
context: What about Gohan- chan!? What's Gohan- chan doin'!?\Where's Gohan- chan!?\There's someone else there...\It's Yajirobe!\What is he doing!?\Come on, Yajirobe! Why aren't you helping Son- kun!?\Hey!\G- Gohan- chan... response:	Chichi!
context: Where's Gohan- chan!?\There's someone else there...\It's Yajirobe!\What is he doing!?\Come on, Yajirobe! Why aren't you helping Son- kun!?\Hey!\G- Gohan- chan...\Chichi! response:	Father!
context: There's someone else there...\It's Yajirobe!\What is he doing!?\Come on, Yajirobe! Why aren't you helping Son- kun!?\Hey!\G- Gohan- chan...\Chichi!\Father! response:	Goku, he's your son, all right.
context: It's Yajirobe!\What is he doing!?\Come on, Yajirobe! Why aren't you helping Son- kun!?\Hey!\G- Gohan- chan...\Chichi!\Father!\Goku, he's your son, all right. response:	What's the matter, Kakarrot? Can't you manage anything!?
context: What is he doing!?\Come on, Yajirobe! Why aren't you helping Son- kun!?\Hey!\G- Gohan- chan...\Chichi!\Father!\Goku, he's your son, all right.\What's the matter, Kakarrot? Can't you manage anything!? response:	H- he's so fast for as big as he is!
context: Come on, Yajirobe! Why aren't you helping Son- kun!?\Hey!\G- Gohan- chan...\Chichi!\Father!\Goku, he's your son, all right.\What's the matter, Kakarrot? Can't you manage anything!?\H- he's so fast for as big as he is! response:	I don't have enough time to mentally focus so I can create a Genki Dama!
context: Hey!\G- Gohan- chan...\Chichi!\Father!\Goku, he's your son, all right.\What's the matter, Kakarrot? Can't you manage anything!?\H- he's so fast for as big as he is!\I don't have enough time to mentally focus so I can create a Genki Dama! response:	And even if I went to a 5X Kaio-ken, it wouldn't be any use against him!
context: G- Gohan- chan...\Chichi!\Father!\Goku, he's your son, all right.\What's the matter, Kakarrot? Can't you manage anything!?\H- he's so fast for as big as he is!\I don't have enough time to mentally focus so I can create a Genki Dama!\And even if I went to a 5X Kaio-ken, it wouldn't be any use against him! response:	Hmph. If you're not going to come at me, then I'm coming after you!
context: Chichi!\Father!\Goku, he's your son, all right.\What's the matter, Kakarrot? Can't you manage anything!?\H- he's so fast for as big as he is!\I don't have enough time to mentally focus so I can create a Genki Dama!\And even if I went to a 5X Kaio-ken, it wouldn't be any use against him!\Hmph. If you're not going to come at me, then I'm coming after you! response:	I- I just need ten seconds! I need some time to concentrate!
context: Father!\Goku, he's your son, all right.\What's the matter, Kakarrot? Can't you manage anything!?\H- he's so fast for as big as he is!\I don't have enough time to mentally focus so I can create a Genki Dama!\And even if I went to a 5X Kaio-ken, it wouldn't be any use against him!\Hmph. If you're not going to come at me, then I'm coming after you!\I- I just need ten seconds! I need some time to concentrate! response:	T- that's it!
context: Goku, he's your son, all right.\What's the matter, Kakarrot? Can't you manage anything!?\H- he's so fast for as big as he is!\I don't have enough time to mentally focus so I can create a Genki Dama!\And even if I went to a 5X Kaio-ken, it wouldn't be any use against him!\Hmph. If you're not going to come at me, then I'm coming after you!\I- I just need ten seconds! I need some time to concentrate!\T- that's it! response:	Tenshinhan, I'm going to borrow your technique!
context: What's the matter, Kakarrot? Can't you manage anything!?\H- he's so fast for as big as he is!\I don't have enough time to mentally focus so I can create a Genki Dama!\And even if I went to a 5X Kaio-ken, it wouldn't be any use against him!\Hmph. If you're not going to come at me, then I'm coming after you!\I- I just need ten seconds! I need some time to concentrate!\T- that's it!\Tenshinhan, I'm going to borrow your technique! response:	Taiyo-ken!!
context: H- he's so fast for as big as he is!\I don't have enough time to mentally focus so I can create a Genki Dama!\And even if I went to a 5X Kaio-ken, it wouldn't be any use against him!\Hmph. If you're not going to come at me, then I'm coming after you!\I- I just need ten seconds! I need some time to concentrate!\T- that's it!\Tenshinhan, I'm going to borrow your technique!\Taiyo-ken!! response:	Now, while his eyes are blinded by the glare!
context: I don't have enough time to mentally focus so I can create a Genki Dama!\And even if I went to a 5X Kaio-ken, it wouldn't be any use against him!\Hmph. If you're not going to come at me, then I'm coming after you!\I- I just need ten seconds! I need some time to concentrate!\T- that's it!\Tenshinhan, I'm going to borrow your technique!\Taiyo-ken!!\Now, while his eyes are blinded by the glare! response:	M- my eyes! My eyes!
context: And even if I went to a 5X Kaio-ken, it wouldn't be any use against him!\Hmph. If you're not going to come at me, then I'm coming after you!\I- I just need ten seconds! I need some time to concentrate!\T- that's it!\Tenshinhan, I'm going to borrow your technique!\Taiyo-ken!!\Now, while his eyes are blinded by the glare!\M- my eyes! My eyes! response:	All right... At this distance...
context: Hmph. If you're not going to come at me, then I'm coming after you!\I- I just need ten seconds! I need some time to concentrate!\T- that's it!\Tenshinhan, I'm going to borrow your technique!\Taiyo-ken!!\Now, while his eyes are blinded by the glare!\M- my eyes! My eyes!\All right... At this distance... response:	T- the Land...
context: I- I just need ten seconds! I need some time to concentrate!\T- that's it!\Tenshinhan, I'm going to borrow your technique!\Taiyo-ken!!\Now, while his eyes are blinded by the glare!\M- my eyes! My eyes!\All right... At this distance...\T- the Land... response:	Each of you, share with me just a little bit of your Genki energy!
context: T- that's it!\Tenshinhan, I'm going to borrow your technique!\Taiyo-ken!!\Now, while his eyes are blinded by the glare!\M- my eyes! My eyes!\All right... At this distance...\T- the Land...\Each of you, share with me just a little bit of your Genki energy! response:	l beg you!
context: Tenshinhan, I'm going to borrow your technique!\Taiyo-ken!!\Now, while his eyes are blinded by the glare!\M- my eyes! My eyes!\All right... At this distance...\T- the Land...\Each of you, share with me just a little bit of your Genki energy!\l beg you! response:	Dammit, that was an insolent stunt!
context: Taiyo-ken!!\Now, while his eyes are blinded by the glare!\M- my eyes! My eyes!\All right... At this distance...\T- the Land...\Each of you, share with me just a little bit of your Genki energy!\l beg you!\Dammit, that was an insolent stunt! response:	J - just a little longer...
context: Now, while his eyes are blinded by the glare!\M- my eyes! My eyes!\All right... At this distance...\T- the Land...\Each of you, share with me just a little bit of your Genki energy!\l beg you!\Dammit, that was an insolent stunt!\J - just a little longer... response:	Just a little more, and I can form a Genki Dama...
context: M- my eyes! My eyes!\All right... At this distance...\T- the Land...\Each of you, share with me just a little bit of your Genki energy!\l beg you!\Dammit, that was an insolent stunt!\J - just a little longer...\Just a little more, and I can form a Genki Dama... response:	W - what's he doin'?
context: All right... At this distance...\T- the Land...\Each of you, share with me just a little bit of your Genki energy!\l beg you!\Dammit, that was an insolent stunt!\J - just a little longer...\Just a little more, and I can form a Genki Dama...\W - what's he doin'? response:	He's starting to get his sight back.
context: T- the Land...\Each of you, share with me just a little bit of your Genki energy!\l beg you!\Dammit, that was an insolent stunt!\J - just a little longer...\Just a little more, and I can form a Genki Dama...\W - what's he doin'?\He's starting to get his sight back. response:	Still, at this distance,
context: Each of you, share with me just a little bit of your Genki energy!\l beg you!\Dammit, that was an insolent stunt!\J - just a little longer...\Just a little more, and I can form a Genki Dama...\W - what's he doin'?\He's starting to get his sight back.\Still, at this distance, response:	l'll be able to launch the Genki Dama before he can attack.
context: l beg you!\Dammit, that was an insolent stunt!\J - just a little longer...\Just a little more, and I can form a Genki Dama...\W - what's he doin'?\He's starting to get his sight back.\Still, at this distance,\l'll be able to launch the Genki Dama before he can attack. response:	Dammit!
context: Dammit, that was an insolent stunt!\J - just a little longer...\Just a little more, and I can form a Genki Dama...\W - what's he doin'?\He's starting to get his sight back.\Still, at this distance,\l'll be able to launch the Genki Dama before he can attack.\Dammit! response:	Where are you!?
context: J - just a little longer...\Just a little more, and I can form a Genki Dama...\W - what's he doin'?\He's starting to get his sight back.\Still, at this distance,\l'll be able to launch the Genki Dama before he can attack.\Dammit!\Where are you!? response:	Where are you!? Where did you go!?
context: Just a little more, and I can form a Genki Dama...\W - what's he doin'?\He's starting to get his sight back.\Still, at this distance,\l'll be able to launch the Genki Dama before he can attack.\Dammit!\Where are you!?\Where are you!? Where did you go!? response:	It's useless to run away from me! I can sense your presence!
context: W - what's he doin'?\He's starting to get his sight back.\Still, at this distance,\l'll be able to launch the Genki Dama before he can attack.\Dammit!\Where are you!?\Where are you!? Where did you go!?\It's useless to run away from me! I can sense your presence! response:	Dammit!
context: He's starting to get his sight back.\Still, at this distance,\l'll be able to launch the Genki Dama before he can attack.\Dammit!\Where are you!?\Where are you!? Where did you go!?\It's useless to run away from me! I can sense your presence!\Dammit! response:	l've gathered the Genki energy together.
context: Still, at this distance,\l'll be able to launch the Genki Dama before he can attack.\Dammit!\Where are you!?\Where are you!? Where did you go!?\It's useless to run away from me! I can sense your presence!\Dammit!\l've gathered the Genki energy together. response:	Why, you!
context: l'll be able to launch the Genki Dama before he can attack.\Dammit!\Where are you!?\Where are you!? Where did you go!?\It's useless to run away from me! I can sense your presence!\Dammit!\l've gathered the Genki energy together.\Why, you! response:	He found me! Please, let there be enough time!
context: Dammit!\Where are you!?\Where are you!? Where did you go!?\It's useless to run away from me! I can sense your presence!\Dammit!\l've gathered the Genki energy together.\Why, you!\He found me! Please, let there be enough time! response:	I-it's done. I've collected the Genki energy from all earthlings.
