context: Looks like Freeza is out and about, all right. response:	And so then, right there, I told him...
context: Hey!\Where are the Dragon Balls?\Look at all of you, lined up so loyally!\If you don't want to tell me...\Lousy small fry.\You can swear your allegiance to Freeza from the Other Side now.\Damn it all, Freeza...\Seeing as how Ginyu stayed behind, response:	the Dragon Balls must be around here somewhere.
context: Where are the Dragon Balls?\Look at all of you, lined up so loyally!\If you don't want to tell me...\Lousy small fry.\You can swear your allegiance to Freeza from the Other Side now.\Damn it all, Freeza...\Seeing as how Ginyu stayed behind,\the Dragon Balls must be around here somewhere. response:	In any event, those Earth punks can locate them
context: Look at all of you, lined up so loyally!\If you don't want to tell me...\Lousy small fry.\You can swear your allegiance to Freeza from the Other Side now.\Damn it all, Freeza...\Seeing as how Ginyu stayed behind,\the Dragon Balls must be around here somewhere.\In any event, those Earth punks can locate them response:	with that strange device of theirs.
context: If you don't want to tell me...\Lousy small fry.\You can swear your allegiance to Freeza from the Other Side now.\Damn it all, Freeza...\Seeing as how Ginyu stayed behind,\the Dragon Balls must be around here somewhere.\In any event, those Earth punks can locate them\with that strange device of theirs. response:	They should be here very shortly now.
context: Lousy small fry.\You can swear your allegiance to Freeza from the Other Side now.\Damn it all, Freeza...\Seeing as how Ginyu stayed behind,\the Dragon Balls must be around here somewhere.\In any event, those Earth punks can locate them\with that strange device of theirs.\They should be here very shortly now. response:	Until then, I'll see about changing into some new battle wear.
context: You can swear your allegiance to Freeza from the Other Side now.\Damn it all, Freeza...\Seeing as how Ginyu stayed behind,\the Dragon Balls must be around here somewhere.\In any event, those Earth punks can locate them\with that strange device of theirs.\They should be here very shortly now.\Until then, I'll see about changing into some new battle wear. response:	So, this is what it's like to have a body with a power of 180,000?
context: Damn it all, Freeza...\Seeing as how Ginyu stayed behind,\the Dragon Balls must be around here somewhere.\In any event, those Earth punks can locate them\with that strange device of theirs.\They should be here very shortly now.\Until then, I'll see about changing into some new battle wear.\So, this is what it's like to have a body with a power of 180,000? response:	However, I think my previous face was more handsome. Right, Jheese?
context: Seeing as how Ginyu stayed behind,\the Dragon Balls must be around here somewhere.\In any event, those Earth punks can locate them\with that strange device of theirs.\They should be here very shortly now.\Until then, I'll see about changing into some new battle wear.\So, this is what it's like to have a body with a power of 180,000?\However, I think my previous face was more handsome. Right, Jheese? response:	Absolutely!
context: the Dragon Balls must be around here somewhere.\In any event, those Earth punks can locate them\with that strange device of theirs.\They should be here very shortly now.\Until then, I'll see about changing into some new battle wear.\So, this is what it's like to have a body with a power of 180,000?\However, I think my previous face was more handsome. Right, Jheese?\Absolutely! response:	I- I've got to go faster, or Kuririn and Gohan will get killed!
context: In any event, those Earth punks can locate them\with that strange device of theirs.\They should be here very shortly now.\Until then, I'll see about changing into some new battle wear.\So, this is what it's like to have a body with a power of 180,000?\However, I think my previous face was more handsome. Right, Jheese?\Absolutely!\I- I've got to go faster, or Kuririn and Gohan will get killed! response:	That way? No, this way!
context: with that strange device of theirs.\They should be here very shortly now.\Until then, I'll see about changing into some new battle wear.\So, this is what it's like to have a body with a power of 180,000?\However, I think my previous face was more handsome. Right, Jheese?\Absolutely!\I- I've got to go faster, or Kuririn and Gohan will get killed!\That way? No, this way! response:	Ribbit... ribbit... ribbit...
context: They should be here very shortly now.\Until then, I'll see about changing into some new battle wear.\So, this is what it's like to have a body with a power of 180,000?\However, I think my previous face was more handsome. Right, Jheese?\Absolutely!\I- I've got to go faster, or Kuririn and Gohan will get killed!\That way? No, this way!\Ribbit... ribbit... ribbit... response:	Damn it, I can't keep my balance very well in this body.
context: Until then, I'll see about changing into some new battle wear.\So, this is what it's like to have a body with a power of 180,000?\However, I think my previous face was more handsome. Right, Jheese?\Absolutely!\I- I've got to go faster, or Kuririn and Gohan will get killed!\That way? No, this way!\Ribbit... ribbit... ribbit...\Damn it, I can't keep my balance very well in this body. response:	You know, there's something very unusual about the medicine Kakarrot was using.
context: So, this is what it's like to have a body with a power of 180,000?\However, I think my previous face was more handsome. Right, Jheese?\Absolutely!\I- I've got to go faster, or Kuririn and Gohan will get killed!\That way? No, this way!\Ribbit... ribbit... ribbit...\Damn it, I can't keep my balance very well in this body.\You know, there's something very unusual about the medicine Kakarrot was using. response:	Not only does it heal injuries,
context: However, I think my previous face was more handsome. Right, Jheese?\Absolutely!\I- I've got to go faster, or Kuririn and Gohan will get killed!\That way? No, this way!\Ribbit... ribbit... ribbit...\Damn it, I can't keep my balance very well in this body.\You know, there's something very unusual about the medicine Kakarrot was using.\Not only does it heal injuries, response:	but it completely restores one's strength as well.
context: Absolutely!\I- I've got to go faster, or Kuririn and Gohan will get killed!\That way? No, this way!\Ribbit... ribbit... ribbit...\Damn it, I can't keep my balance very well in this body.\You know, there's something very unusual about the medicine Kakarrot was using.\Not only does it heal injuries,\but it completely restores one's strength as well. response:	The only ones in my size are the older models, huh?
context: I- I've got to go faster, or Kuririn and Gohan will get killed!\That way? No, this way!\Ribbit... ribbit... ribbit...\Damn it, I can't keep my balance very well in this body.\You know, there's something very unusual about the medicine Kakarrot was using.\Not only does it heal injuries,\but it completely restores one's strength as well.\The only ones in my size are the older models, huh? response:	We're almost there, Kuririn- san!
context: That way? No, this way!\Ribbit... ribbit... ribbit...\Damn it, I can't keep my balance very well in this body.\You know, there's something very unusual about the medicine Kakarrot was using.\Not only does it heal injuries,\but it completely restores one's strength as well.\The only ones in my size are the older models, huh?\We're almost there, Kuririn- san! response:	Kuririn- san, there it is!
context: Ribbit... ribbit... ribbit...\Damn it, I can't keep my balance very well in this body.\You know, there's something very unusual about the medicine Kakarrot was using.\Not only does it heal injuries,\but it completely restores one's strength as well.\The only ones in my size are the older models, huh?\We're almost there, Kuririn- san!\Kuririn- san, there it is! response:	G- got it! So that's their spaceship, huh?
context: Damn it, I can't keep my balance very well in this body.\You know, there's something very unusual about the medicine Kakarrot was using.\Not only does it heal injuries,\but it completely restores one's strength as well.\The only ones in my size are the older models, huh?\We're almost there, Kuririn- san!\Kuririn- san, there it is!\G- got it! So that's their spaceship, huh? response:	So, you've arrived, Earthlings.
context: You know, there's something very unusual about the medicine Kakarrot was using.\Not only does it heal injuries,\but it completely restores one's strength as well.\The only ones in my size are the older models, huh?\We're almost there, Kuririn- san!\Kuririn- san, there it is!\G- got it! So that's their spaceship, huh?\So, you've arrived, Earthlings. response:	It's no good if they realize I'm here.
context: Not only does it heal injuries,\but it completely restores one's strength as well.\The only ones in my size are the older models, huh?\We're almost there, Kuririn- san!\Kuririn- san, there it is!\G- got it! So that's their spaceship, huh?\So, you've arrived, Earthlings.\It's no good if they realize I'm here. response:	I have to suppress my battle power, the way they do.
context: but it completely restores one's strength as well.\The only ones in my size are the older models, huh?\We're almost there, Kuririn- san!\Kuririn- san, there it is!\G- got it! So that's their spaceship, huh?\So, you've arrived, Earthlings.\It's no good if they realize I'm here.\I have to suppress my battle power, the way they do. response:	Let's hurry and find them! No one else seems to be here.
context: The only ones in my size are the older models, huh?\We're almost there, Kuririn- san!\Kuririn- san, there it is!\G- got it! So that's their spaceship, huh?\So, you've arrived, Earthlings.\It's no good if they realize I'm here.\I have to suppress my battle power, the way they do.\Let's hurry and find them! No one else seems to be here. response:	Kuririn- san, wait!
context: We're almost there, Kuririn- san!\Kuririn- san, there it is!\G- got it! So that's their spaceship, huh?\So, you've arrived, Earthlings.\It's no good if they realize I'm here.\I have to suppress my battle power, the way they do.\Let's hurry and find them! No one else seems to be here.\Kuririn- san, wait! response:	According to the readings on the Radar,
context: Kuririn- san, there it is!\G- got it! So that's their spaceship, huh?\So, you've arrived, Earthlings.\It's no good if they realize I'm here.\I have to suppress my battle power, the way they do.\Let's hurry and find them! No one else seems to be here.\Kuririn- san, wait!\According to the readings on the Radar, response:	the Dragon Balls aren't inside the ship, but away from it.
context: G- got it! So that's their spaceship, huh?\So, you've arrived, Earthlings.\It's no good if they realize I'm here.\I have to suppress my battle power, the way they do.\Let's hurry and find them! No one else seems to be here.\Kuririn- san, wait!\According to the readings on the Radar,\the Dragon Balls aren't inside the ship, but away from it. response:	Where are they, Gohan?
context: So, you've arrived, Earthlings.\It's no good if they realize I'm here.\I have to suppress my battle power, the way they do.\Let's hurry and find them! No one else seems to be here.\Kuririn- san, wait!\According to the readings on the Radar,\the Dragon Balls aren't inside the ship, but away from it.\Where are they, Gohan? response:	Let's see... this way.
context: It's no good if they realize I'm here.\I have to suppress my battle power, the way they do.\Let's hurry and find them! No one else seems to be here.\Kuririn- san, wait!\According to the readings on the Radar,\the Dragon Balls aren't inside the ship, but away from it.\Where are they, Gohan?\Let's see... this way. response:	Right over here.
context: I have to suppress my battle power, the way they do.\Let's hurry and find them! No one else seems to be here.\Kuririn- san, wait!\According to the readings on the Radar,\the Dragon Balls aren't inside the ship, but away from it.\Where are they, Gohan?\Let's see... this way.\Right over here. response:	Here they are, Kuririn- san, here!
context: Let's hurry and find them! No one else seems to be here.\Kuririn- san, wait!\According to the readings on the Radar,\the Dragon Balls aren't inside the ship, but away from it.\Where are they, Gohan?\Let's see... this way.\Right over here.\Here they are, Kuririn- san, here! response:	Yeah, looks like something was buried here, all right.
context: Kuririn- san, wait!\According to the readings on the Radar,\the Dragon Balls aren't inside the ship, but away from it.\Where are they, Gohan?\Let's see... this way.\Right over here.\Here they are, Kuririn- san, here!\Yeah, looks like something was buried here, all right. response:	Why would they put them here?
context: According to the readings on the Radar,\the Dragon Balls aren't inside the ship, but away from it.\Where are they, Gohan?\Let's see... this way.\Right over here.\Here they are, Kuririn- san, here!\Yeah, looks like something was buried here, all right.\Why would they put them here? response:	Okay, let's dig them out!
context: the Dragon Balls aren't inside the ship, but away from it.\Where are they, Gohan?\Let's see... this way.\Right over here.\Here they are, Kuririn- san, here!\Yeah, looks like something was buried here, all right.\Why would they put them here?\Okay, let's dig them out! response:	Right!
context: Where are they, Gohan?\Let's see... this way.\Right over here.\Here they are, Kuririn- san, here!\Yeah, looks like something was buried here, all right.\Why would they put them here?\Okay, let's dig them out!\Right! response:	Here's one! I found one!
context: Let's see... this way.\Right over here.\Here they are, Kuririn- san, here!\Yeah, looks like something was buried here, all right.\Why would they put them here?\Okay, let's dig them out!\Right!\Here's one! I found one! response:	There's another one over here!
context: Right over here.\Here they are, Kuririn- san, here!\Yeah, looks like something was buried here, all right.\Why would they put them here?\Okay, let's dig them out!\Right!\Here's one! I found one!\There's another one over here! response:	Hooray! Here's another!
context: Here they are, Kuririn- san, here!\Yeah, looks like something was buried here, all right.\Why would they put them here?\Okay, let's dig them out!\Right!\Here's one! I found one!\There's another one over here!\Hooray! Here's another! response:	Looks like all seven are here after all!
context: Yeah, looks like something was buried here, all right.\Why would they put them here?\Okay, let's dig them out!\Right!\Here's one! I found one!\There's another one over here!\Hooray! Here's another!\Looks like all seven are here after all! response:	So that's where they hid them, huh?
context: Why would they put them here?\Okay, let's dig them out!\Right!\Here's one! I found one!\There's another one over here!\Hooray! Here's another!\Looks like all seven are here after all!\So that's where they hid them, huh? response:	We've got them all! We've got them all!
context: Okay, let's dig them out!\Right!\Here's one! I found one!\There's another one over here!\Hooray! Here's another!\Looks like all seven are here after all!\So that's where they hid them, huh?\We've got them all! We've got them all! response:	Good. Now just summon that Shen Long thing.
context: Right!\Here's one! I found one!\There's another one over here!\Hooray! Here's another!\Looks like all seven are here after all!\So that's where they hid them, huh?\We've got them all! We've got them all!\Good. Now just summon that Shen Long thing. response:	l'll put you two away,
context: Here's one! I found one!\There's another one over here!\Hooray! Here's another!\Looks like all seven are here after all!\So that's where they hid them, huh?\We've got them all! We've got them all!\Good. Now just summon that Shen Long thing.\l'll put you two away, response:	and then have my wish of eternal life and youth given to me!
context: There's another one over here!\Hooray! Here's another!\Looks like all seven are here after all!\So that's where they hid them, huh?\We've got them all! We've got them all!\Good. Now just summon that Shen Long thing.\l'll put you two away,\and then have my wish of eternal life and youth given to me! response:	We did it!
context: Hooray! Here's another!\Looks like all seven are here after all!\So that's where they hid them, huh?\We've got them all! We've got them all!\Good. Now just summon that Shen Long thing.\l'll put you two away,\and then have my wish of eternal life and youth given to me!\We did it! response:	Hey, Gohan, what's that on your face?
context: Looks like all seven are here after all!\So that's where they hid them, huh?\We've got them all! We've got them all!\Good. Now just summon that Shen Long thing.\l'll put you two away,\and then have my wish of eternal life and youth given to me!\We did it!\Hey, Gohan, what's that on your face? response:	Well, what about you, Kuririn- san?
context: So that's where they hid them, huh?\We've got them all! We've got them all!\Good. Now just summon that Shen Long thing.\l'll put you two away,\and then have my wish of eternal life and youth given to me!\We did it!\Hey, Gohan, what's that on your face?\Well, what about you, Kuririn- san? response:	Hurry up and summon it, would you!?
context: We've got them all! We've got them all!\Good. Now just summon that Shen Long thing.\l'll put you two away,\and then have my wish of eternal life and youth given to me!\We did it!\Hey, Gohan, what's that on your face?\Well, what about you, Kuririn- san?\Hurry up and summon it, would you!? response:	We sure worked hard for this, huh?
context: Good. Now just summon that Shen Long thing.\l'll put you two away,\and then have my wish of eternal life and youth given to me!\We did it!\Hey, Gohan, what's that on your face?\Well, what about you, Kuririn- san?\Hurry up and summon it, would you!?\We sure worked hard for this, huh? response:	Yes. Now Piccolo- san and everyone else can finally be brought back to life.
context: l'll put you two away,\and then have my wish of eternal life and youth given to me!\We did it!\Hey, Gohan, what's that on your face?\Well, what about you, Kuririn- san?\Hurry up and summon it, would you!?\We sure worked hard for this, huh?\Yes. Now Piccolo- san and everyone else can finally be brought back to life. response:	Do it already! Summon it!
context: and then have my wish of eternal life and youth given to me!\We did it!\Hey, Gohan, what's that on your face?\Well, what about you, Kuririn- san?\Hurry up and summon it, would you!?\We sure worked hard for this, huh?\Yes. Now Piccolo- san and everyone else can finally be brought back to life.\Do it already! Summon it! response:	Okay, here goes. We've come such a long way for this moment.
context: We did it!\Hey, Gohan, what's that on your face?\Well, what about you, Kuririn- san?\Hurry up and summon it, would you!?\We sure worked hard for this, huh?\Yes. Now Piccolo- san and everyone else can finally be brought back to life.\Do it already! Summon it!\Okay, here goes. We've come such a long way for this moment. response:	Let's have ourselves a look at what the original Shen Long looks like!
context: Hey, Gohan, what's that on your face?\Well, what about you, Kuririn- san?\Hurry up and summon it, would you!?\We sure worked hard for this, huh?\Yes. Now Piccolo- san and everyone else can finally be brought back to life.\Do it already! Summon it!\Okay, here goes. We've come such a long way for this moment.\Let's have ourselves a look at what the original Shen Long looks like! response:	Right.
context: Well, what about you, Kuririn- san?\Hurry up and summon it, would you!?\We sure worked hard for this, huh?\Yes. Now Piccolo- san and everyone else can finally be brought back to life.\Do it already! Summon it!\Okay, here goes. We've come such a long way for this moment.\Let's have ourselves a look at what the original Shen Long looks like!\Right. response:	Come forth, Shen Long, and grant me my wish!
context: Hurry up and summon it, would you!?\We sure worked hard for this, huh?\Yes. Now Piccolo- san and everyone else can finally be brought back to life.\Do it already! Summon it!\Okay, here goes. We've come such a long way for this moment.\Let's have ourselves a look at what the original Shen Long looks like!\Right.\Come forth, Shen Long, and grant me my wish! response:	Come forth, Shen Long, and grant me my wish!
context: We sure worked hard for this, huh?\Yes. Now Piccolo- san and everyone else can finally be brought back to life.\Do it already! Summon it!\Okay, here goes. We've come such a long way for this moment.\Let's have ourselves a look at what the original Shen Long looks like!\Right.\Come forth, Shen Long, and grant me my wish!\Come forth, Shen Long, and grant me my wish! response:	The incantation is as simple as that?
context: Yes. Now Piccolo- san and everyone else can finally be brought back to life.\Do it already! Summon it!\Okay, here goes. We've come such a long way for this moment.\Let's have ourselves a look at what the original Shen Long looks like!\Right.\Come forth, Shen Long, and grant me my wish!\Come forth, Shen Long, and grant me my wish!\The incantation is as simple as that? response:	W - what's wrong? lsn't something supposed to happen?
context: Do it already! Summon it!\Okay, here goes. We've come such a long way for this moment.\Let's have ourselves a look at what the original Shen Long looks like!\Right.\Come forth, Shen Long, and grant me my wish!\Come forth, Shen Long, and grant me my wish!\The incantation is as simple as that?\W - what's wrong? lsn't something supposed to happen? response:	What is this Shen Long?
context: Okay, here goes. We've come such a long way for this moment.\Let's have ourselves a look at what the original Shen Long looks like!\Right.\Come forth, Shen Long, and grant me my wish!\Come forth, Shen Long, and grant me my wish!\The incantation is as simple as that?\W - what's wrong? lsn't something supposed to happen?\What is this Shen Long? response:	H- h- he's not coming out...
context: Let's have ourselves a look at what the original Shen Long looks like!\Right.\Come forth, Shen Long, and grant me my wish!\Come forth, Shen Long, and grant me my wish!\The incantation is as simple as that?\W - what's wrong? lsn't something supposed to happen?\What is this Shen Long?\H- h- he's not coming out... response:	Shen Long isn't coming out. Why not?
context: Right.\Come forth, Shen Long, and grant me my wish!\Come forth, Shen Long, and grant me my wish!\The incantation is as simple as that?\W - what's wrong? lsn't something supposed to happen?\What is this Shen Long?\H- h- he's not coming out...\Shen Long isn't coming out. Why not? response:	Why isn't Shen Long blasting out of there?
context: Come forth, Shen Long, and grant me my wish!\Come forth, Shen Long, and grant me my wish!\The incantation is as simple as that?\W - what's wrong? lsn't something supposed to happen?\What is this Shen Long?\H- h- he's not coming out...\Shen Long isn't coming out. Why not?\Why isn't Shen Long blasting out of there? response:	Maybe the incantation is a little different.
context: Come forth, Shen Long, and grant me my wish!\The incantation is as simple as that?\W - what's wrong? lsn't something supposed to happen?\What is this Shen Long?\H- h- he's not coming out...\Shen Long isn't coming out. Why not?\Why isn't Shen Long blasting out of there?\Maybe the incantation is a little different. response:	-Shen Long, come forth! - Those dirty punks! What are they doing?
context: The incantation is as simple as that?\W - what's wrong? lsn't something supposed to happen?\What is this Shen Long?\H- h- he's not coming out...\Shen Long isn't coming out. Why not?\Why isn't Shen Long blasting out of there?\Maybe the incantation is a little different.\-Shen Long, come forth! - Those dirty punks! What are they doing? response:	-Please grant us our wish! - Those dirty punks! What are they doing?
context: W - what's wrong? lsn't something supposed to happen?\What is this Shen Long?\H- h- he's not coming out...\Shen Long isn't coming out. Why not?\Why isn't Shen Long blasting out of there?\Maybe the incantation is a little different.\-Shen Long, come forth! - Those dirty punks! What are they doing?\-Please grant us our wish! - Those dirty punks! What are they doing? response:	Maybe his name isn't Shen Long.
context: What is this Shen Long?\H- h- he's not coming out...\Shen Long isn't coming out. Why not?\Why isn't Shen Long blasting out of there?\Maybe the incantation is a little different.\-Shen Long, come forth! - Those dirty punks! What are they doing?\-Please grant us our wish! - Those dirty punks! What are they doing?\Maybe his name isn't Shen Long. response:	That's strange.
context: H- h- he's not coming out...\Shen Long isn't coming out. Why not?\Why isn't Shen Long blasting out of there?\Maybe the incantation is a little different.\-Shen Long, come forth! - Those dirty punks! What are they doing?\-Please grant us our wish! - Those dirty punks! What are they doing?\Maybe his name isn't Shen Long.\That's strange. response:	Kuririn- san, someone is coming this way!
context: Shen Long isn't coming out. Why not?\Why isn't Shen Long blasting out of there?\Maybe the incantation is a little different.\-Shen Long, come forth! - Those dirty punks! What are they doing?\-Please grant us our wish! - Those dirty punks! What are they doing?\Maybe his name isn't Shen Long.\That's strange.\Kuririn- san, someone is coming this way! response:	Hey, I can feel two Ki! Is it those two Ginyu guys?
context: Why isn't Shen Long blasting out of there?\Maybe the incantation is a little different.\-Shen Long, come forth! - Those dirty punks! What are they doing?\-Please grant us our wish! - Those dirty punks! What are they doing?\Maybe his name isn't Shen Long.\That's strange.\Kuririn- san, someone is coming this way!\Hey, I can feel two Ki! Is it those two Ginyu guys? response:	If so, does that mean that Father was beaten?
context: Maybe the incantation is a little different.\-Shen Long, come forth! - Those dirty punks! What are they doing?\-Please grant us our wish! - Those dirty punks! What are they doing?\Maybe his name isn't Shen Long.\That's strange.\Kuririn- san, someone is coming this way!\Hey, I can feel two Ki! Is it those two Ginyu guys?\If so, does that mean that Father was beaten? response:	Things are turning for the worse again!
context: -Shen Long, come forth! - Those dirty punks! What are they doing?\-Please grant us our wish! - Those dirty punks! What are they doing?\Maybe his name isn't Shen Long.\That's strange.\Kuririn- san, someone is coming this way!\Hey, I can feel two Ki! Is it those two Ginyu guys?\If so, does that mean that Father was beaten?\Things are turning for the worse again! response:	They're evil Ki! There's no mistake,
context: -Please grant us our wish! - Those dirty punks! What are they doing?\Maybe his name isn't Shen Long.\That's strange.\Kuririn- san, someone is coming this way!\Hey, I can feel two Ki! Is it those two Ginyu guys?\If so, does that mean that Father was beaten?\Things are turning for the worse again!\They're evil Ki! There's no mistake, response:	it has to be those two from before!
context: Maybe his name isn't Shen Long.\That's strange.\Kuririn- san, someone is coming this way!\Hey, I can feel two Ki! Is it those two Ginyu guys?\If so, does that mean that Father was beaten?\Things are turning for the worse again!\They're evil Ki! There's no mistake,\it has to be those two from before! response:	W- what happened to Goku, then?
context: That's strange.\Kuririn- san, someone is coming this way!\Hey, I can feel two Ki! Is it those two Ginyu guys?\If so, does that mean that Father was beaten?\Things are turning for the worse again!\They're evil Ki! There's no mistake,\it has to be those two from before!\W- what happened to Goku, then? response:	We've got to suppress our own Ki and take cover, Gohan!
context: Kuririn- san, someone is coming this way!\Hey, I can feel two Ki! Is it those two Ginyu guys?\If so, does that mean that Father was beaten?\Things are turning for the worse again!\They're evil Ki! There's no mistake,\it has to be those two from before!\W- what happened to Goku, then?\We've got to suppress our own Ki and take cover, Gohan! response:	Right!
context: Hey, I can feel two Ki! Is it those two Ginyu guys?\If so, does that mean that Father was beaten?\Things are turning for the worse again!\They're evil Ki! There's no mistake,\it has to be those two from before!\W- what happened to Goku, then?\We've got to suppress our own Ki and take cover, Gohan!\Right! response:	The Dragon Balls have been dug up!
context: If so, does that mean that Father was beaten?\Things are turning for the worse again!\They're evil Ki! There's no mistake,\it has to be those two from before!\W- what happened to Goku, then?\We've got to suppress our own Ki and take cover, Gohan!\Right!\The Dragon Balls have been dug up! response:	What's going on?
context: Things are turning for the worse again!\They're evil Ki! There's no mistake,\it has to be those two from before!\W- what happened to Goku, then?\We've got to suppress our own Ki and take cover, Gohan!\Right!\The Dragon Balls have been dug up!\What's going on? response:	How did anyone know where they were buried?
context: They're evil Ki! There's no mistake,\it has to be those two from before!\W- what happened to Goku, then?\We've got to suppress our own Ki and take cover, Gohan!\Right!\The Dragon Balls have been dug up!\What's going on?\How did anyone know where they were buried? response:	Goku!
context: it has to be those two from before!\W- what happened to Goku, then?\We've got to suppress our own Ki and take cover, Gohan!\Right!\The Dragon Balls have been dug up!\What's going on?\How did anyone know where they were buried?\Goku! response:	It's me, it's me! You sure surprised me!
context: W- what happened to Goku, then?\We've got to suppress our own Ki and take cover, Gohan!\Right!\The Dragon Balls have been dug up!\What's going on?\How did anyone know where they were buried?\Goku!\It's me, it's me! You sure surprised me! response:	I thought, Ginyu! It must be that Ginyu guy coming!
context: We've got to suppress our own Ki and take cover, Gohan!\Right!\The Dragon Balls have been dug up!\What's going on?\How did anyone know where they were buried?\Goku!\It's me, it's me! You sure surprised me!\I thought, Ginyu! It must be that Ginyu guy coming! response:	I didn't know you had beat him,
context: Right!\The Dragon Balls have been dug up!\What's going on?\How did anyone know where they were buried?\Goku!\It's me, it's me! You sure surprised me!\I thought, Ginyu! It must be that Ginyu guy coming!\I didn't know you had beat him, response:	and convinced his pal to come over to our side.
context: The Dragon Balls have been dug up!\What's going on?\How did anyone know where they were buried?\Goku!\It's me, it's me! You sure surprised me!\I thought, Ginyu! It must be that Ginyu guy coming!\I didn't know you had beat him,\and convinced his pal to come over to our side. response:	Are you the one that found the Dragon Balls here?
context: What's going on?\How did anyone know where they were buried?\Goku!\It's me, it's me! You sure surprised me!\I thought, Ginyu! It must be that Ginyu guy coming!\I didn't know you had beat him,\and convinced his pal to come over to our side.\Are you the one that found the Dragon Balls here? response:	How did you know where they were?
context: How did anyone know where they were buried?\Goku!\It's me, it's me! You sure surprised me!\I thought, Ginyu! It must be that Ginyu guy coming!\I didn't know you had beat him,\and convinced his pal to come over to our side.\Are you the one that found the Dragon Balls here?\How did you know where they were? response:	What are you talking about, Goku?
context: Goku!\It's me, it's me! You sure surprised me!\I thought, Ginyu! It must be that Ginyu guy coming!\I didn't know you had beat him,\and convinced his pal to come over to our side.\Are you the one that found the Dragon Balls here?\How did you know where they were?\What are you talking about, Goku? response:	I used the Dragon Radar to find them, of course.
context: It's me, it's me! You sure surprised me!\I thought, Ginyu! It must be that Ginyu guy coming!\I didn't know you had beat him,\and convinced his pal to come over to our side.\Are you the one that found the Dragon Balls here?\How did you know where they were?\What are you talking about, Goku?\I used the Dragon Radar to find them, of course. response:	Radar, did he say? Damn, they've got something like that?
context: I thought, Ginyu! It must be that Ginyu guy coming!\I didn't know you had beat him,\and convinced his pal to come over to our side.\Are you the one that found the Dragon Balls here?\How did you know where they were?\What are you talking about, Goku?\I used the Dragon Radar to find them, of course.\Radar, did he say? Damn, they've got something like that? response:	So, have you gotten your wish granted then?
context: I didn't know you had beat him,\and convinced his pal to come over to our side.\Are you the one that found the Dragon Balls here?\How did you know where they were?\What are you talking about, Goku?\I used the Dragon Radar to find them, of course.\Radar, did he say? Damn, they've got something like that?\So, have you gotten your wish granted then? response:	That's the funny thing. It didn't work.
context: and convinced his pal to come over to our side.\Are you the one that found the Dragon Balls here?\How did you know where they were?\What are you talking about, Goku?\I used the Dragon Radar to find them, of course.\Radar, did he say? Damn, they've got something like that?\So, have you gotten your wish granted then?\That's the funny thing. It didn't work. response:	Shen Long won't appear. I can't figure out why.
