context: This isn't personal. response:	We're just trying to live.
context: To tell you the truth, because it's garbage.\It might be fine with you, but I don't think it'll go well with the girl behind you.\She looks like she'll fall over if the wind blows, just like me when I was young.\That's why I can tell she wouldn't want to.\I won't say anything bad, but you should take an airplane.\I told you to stay in the room!\This place is safe.\She says so too. response:	I'll be the one to decide that.
context: It might be fine with you, but I don't think it'll go well with the girl behind you.\She looks like she'll fall over if the wind blows, just like me when I was young.\That's why I can tell she wouldn't want to.\I won't say anything bad, but you should take an airplane.\I told you to stay in the room!\This place is safe.\She says so too.\I'll be the one to decide that. response:	I know.
context: She looks like she'll fall over if the wind blows, just like me when I was young.\That's why I can tell she wouldn't want to.\I won't say anything bad, but you should take an airplane.\I told you to stay in the room!\This place is safe.\She says so too.\I'll be the one to decide that.\I know. response:	Where'd you get that hat?
context: That's why I can tell she wouldn't want to.\I won't say anything bad, but you should take an airplane.\I told you to stay in the room!\This place is safe.\She says so too.\I'll be the one to decide that.\I know.\Where'd you get that hat? response:	The man from the hotel lent it to me.
context: I won't say anything bad, but you should take an airplane.\I told you to stay in the room!\This place is safe.\She says so too.\I'll be the one to decide that.\I know.\Where'd you get that hat?\The man from the hotel lent it to me. response:	You talked with him?
context: I told you to stay in the room!\This place is safe.\She says so too.\I'll be the one to decide that.\I know.\Where'd you get that hat?\The man from the hotel lent it to me.\You talked with him? response:	Yes.
context: This place is safe.\She says so too.\I'll be the one to decide that.\I know.\Where'd you get that hat?\The man from the hotel lent it to me.\You talked with him?\Yes. response:	If you act carelessly like that, you'll leave behind evidence.
context: She says so too.\I'll be the one to decide that.\I know.\Where'd you get that hat?\The man from the hotel lent it to me.\You talked with him?\Yes.\If you act carelessly like that, you'll leave behind evidence. response:	You can't be sure even with someone you trust.
context: I'll be the one to decide that.\I know.\Where'd you get that hat?\The man from the hotel lent it to me.\You talked with him?\Yes.\If you act carelessly like that, you'll leave behind evidence.\You can't be sure even with someone you trust. response:	Don't act on your own. Understood?
context: I know.\Where'd you get that hat?\The man from the hotel lent it to me.\You talked with him?\Yes.\If you act carelessly like that, you'll leave behind evidence.\You can't be sure even with someone you trust.\Don't act on your own. Understood? response:	Yes.
context: Where'd you get that hat?\The man from the hotel lent it to me.\You talked with him?\Yes.\If you act carelessly like that, you'll leave behind evidence.\You can't be sure even with someone you trust.\Don't act on your own. Understood?\Yes. response:	Be sure to return that.
context: The man from the hotel lent it to me.\You talked with him?\Yes.\If you act carelessly like that, you'll leave behind evidence.\You can't be sure even with someone you trust.\Don't act on your own. Understood?\Yes.\Be sure to return that. response:	Were you able to get your hands on boat tickets?
context: You talked with him?\Yes.\If you act carelessly like that, you'll leave behind evidence.\You can't be sure even with someone you trust.\Don't act on your own. Understood?\Yes.\Be sure to return that.\Were you able to get your hands on boat tickets? response:	Y-Yeah.
context: Yes.\If you act carelessly like that, you'll leave behind evidence.\You can't be sure even with someone you trust.\Don't act on your own. Understood?\Yes.\Be sure to return that.\Were you able to get your hands on boat tickets?\Y-Yeah. response:	That's good to hear!
context: If you act carelessly like that, you'll leave behind evidence.\You can't be sure even with someone you trust.\Don't act on your own. Understood?\Yes.\Be sure to return that.\Were you able to get your hands on boat tickets?\Y-Yeah.\That's good to hear! response:	I'll go prepare some dinner for you after I finish taking these down.
context: You can't be sure even with someone you trust.\Don't act on your own. Understood?\Yes.\Be sure to return that.\Were you able to get your hands on boat tickets?\Y-Yeah.\That's good to hear!\I'll go prepare some dinner for you after I finish taking these down. response:	Huh? Meals were included?
context: Don't act on your own. Understood?\Yes.\Be sure to return that.\Were you able to get your hands on boat tickets?\Y-Yeah.\That's good to hear!\I'll go prepare some dinner for you after I finish taking these down.\Huh? Meals were included? response:	Your wife requested it.
context: Yes.\Be sure to return that.\Were you able to get your hands on boat tickets?\Y-Yeah.\That's good to hear!\I'll go prepare some dinner for you after I finish taking these down.\Huh? Meals were included?\Your wife requested it. response:	You did?
context: Be sure to return that.\Were you able to get your hands on boat tickets?\Y-Yeah.\That's good to hear!\I'll go prepare some dinner for you after I finish taking these down.\Huh? Meals were included?\Your wife requested it.\You did? response:	Yeah.
context: Were you able to get your hands on boat tickets?\Y-Yeah.\That's good to hear!\I'll go prepare some dinner for you after I finish taking these down.\Huh? Meals were included?\Your wife requested it.\You did?\Yeah. response:	All done!
context: Y-Yeah.\That's good to hear!\I'll go prepare some dinner for you after I finish taking these down.\Huh? Meals were included?\Your wife requested it.\You did?\Yeah.\All done! response:	Oh yes, you can take a bath beforehand if you'd like.
context: That's good to hear!\I'll go prepare some dinner for you after I finish taking these down.\Huh? Meals were included?\Your wife requested it.\You did?\Yeah.\All done!\Oh yes, you can take a bath beforehand if you'd like. response:	Ah, what a lot of work to do!
context: I'll go prepare some dinner for you after I finish taking these down.\Huh? Meals were included?\Your wife requested it.\You did?\Yeah.\All done!\Oh yes, you can take a bath beforehand if you'd like.\Ah, what a lot of work to do! response:	What did you say when you ordered?
context: Huh? Meals were included?\Your wife requested it.\You did?\Yeah.\All done!\Oh yes, you can take a bath beforehand if you'd like.\Ah, what a lot of work to do!\What did you say when you ordered? response:	Enough for ten people.
context: Your wife requested it.\You did?\Yeah.\All done!\Oh yes, you can take a bath beforehand if you'd like.\Ah, what a lot of work to do!\What did you say when you ordered?\Enough for ten people. response:	There are only two of us!
context: You did?\Yeah.\All done!\Oh yes, you can take a bath beforehand if you'd like.\Ah, what a lot of work to do!\What did you say when you ordered?\Enough for ten people.\There are only two of us! response:	It makes us look suspicious!
context: Yeah.\All done!\Oh yes, you can take a bath beforehand if you'd like.\Ah, what a lot of work to do!\What did you say when you ordered?\Enough for ten people.\There are only two of us!\It makes us look suspicious! response:	You've been fighting ever since we left Tokyo.
context: All done!\Oh yes, you can take a bath beforehand if you'd like.\Ah, what a lot of work to do!\What did you say when you ordered?\Enough for ten people.\There are only two of us!\It makes us look suspicious!\You've been fighting ever since we left Tokyo. response:	This place is safe.
context: Oh yes, you can take a bath beforehand if you'd like.\Ah, what a lot of work to do!\What did you say when you ordered?\Enough for ten people.\There are only two of us!\It makes us look suspicious!\You've been fighting ever since we left Tokyo.\This place is safe. response:	Take your time and eat.
context: Ah, what a lot of work to do!\What did you say when you ordered?\Enough for ten people.\There are only two of us!\It makes us look suspicious!\You've been fighting ever since we left Tokyo.\This place is safe.\Take your time and eat. response:	Yin...
context: What did you say when you ordered?\Enough for ten people.\There are only two of us!\It makes us look suspicious!\You've been fighting ever since we left Tokyo.\This place is safe.\Take your time and eat.\Yin... response:	I'll keep watch.
context: Enough for ten people.\There are only two of us!\It makes us look suspicious!\You've been fighting ever since we left Tokyo.\This place is safe.\Take your time and eat.\Yin...\I'll keep watch. response:	Come again!
context: There are only two of us!\It makes us look suspicious!\You've been fighting ever since we left Tokyo.\This place is safe.\Take your time and eat.\Yin...\I'll keep watch.\Come again! response:	Thank you.
context: It makes us look suspicious!\You've been fighting ever since we left Tokyo.\This place is safe.\Take your time and eat.\Yin...\I'll keep watch.\Come again!\Thank you. response:	Hei.
context: You've been fighting ever since we left Tokyo.\This place is safe.\Take your time and eat.\Yin...\I'll keep watch.\Come again!\Thank you.\Hei. response:	I envy you.
context: This place is safe.\Take your time and eat.\Yin...\I'll keep watch.\Come again!\Thank you.\Hei.\I envy you. response:	For what?
context: Take your time and eat.\Yin...\I'll keep watch.\Come again!\Thank you.\Hei.\I envy you.\For what? response:	It's a honeymoon, but you're able to prolong your stay if you want to.
context: Yin...\I'll keep watch.\Come again!\Thank you.\Hei.\I envy you.\For what?\It's a honeymoon, but you're able to prolong your stay if you want to. response:	Well, it only happens once in your life.
context: I'll keep watch.\Come again!\Thank you.\Hei.\I envy you.\For what?\It's a honeymoon, but you're able to prolong your stay if you want to.\Well, it only happens once in your life. response:	Yes.
context: Come again!\Thank you.\Hei.\I envy you.\For what?\It's a honeymoon, but you're able to prolong your stay if you want to.\Well, it only happens once in your life.\Yes. response:	Thank you.
context: Thank you.\Hei.\I envy you.\For what?\It's a honeymoon, but you're able to prolong your stay if you want to.\Well, it only happens once in your life.\Yes.\Thank you. response:	Ah, did you want something?
context: Hei.\I envy you.\For what?\It's a honeymoon, but you're able to prolong your stay if you want to.\Well, it only happens once in your life.\Yes.\Thank you.\Ah, did you want something? response:	Sorry! It's just so hot I was in a daze!
context: I envy you.\For what?\It's a honeymoon, but you're able to prolong your stay if you want to.\Well, it only happens once in your life.\Yes.\Thank you.\Ah, did you want something?\Sorry! It's just so hot I was in a daze! response:	What's wrong?
context: For what?\It's a honeymoon, but you're able to prolong your stay if you want to.\Well, it only happens once in your life.\Yes.\Thank you.\Ah, did you want something?\Sorry! It's just so hot I was in a daze!\What's wrong? response:	It's nothing. Come on.
context: It's a honeymoon, but you're able to prolong your stay if you want to.\Well, it only happens once in your life.\Yes.\Thank you.\Ah, did you want something?\Sorry! It's just so hot I was in a daze!\What's wrong?\It's nothing. Come on. response:	Really?
context: Well, it only happens once in your life.\Yes.\Thank you.\Ah, did you want something?\Sorry! It's just so hot I was in a daze!\What's wrong?\It's nothing. Come on.\Really? response:	True, the smell is strong,
context: Yes.\Thank you.\Ah, did you want something?\Sorry! It's just so hot I was in a daze!\What's wrong?\It's nothing. Come on.\Really?\True, the smell is strong, response:	but with our secret curry you'll experience a mild taste.
context: Thank you.\Ah, did you want something?\Sorry! It's just so hot I was in a daze!\What's wrong?\It's nothing. Come on.\Really?\True, the smell is strong,\but with our secret curry you'll experience a mild taste. response:	I recommended trying this dish at least once.
context: Ah, did you want something?\Sorry! It's just so hot I was in a daze!\What's wrong?\It's nothing. Come on.\Really?\True, the smell is strong,\but with our secret curry you'll experience a mild taste.\I recommended trying this dish at least once. response:	Then I'll have this, this and...
context: Sorry! It's just so hot I was in a daze!\What's wrong?\It's nothing. Come on.\Really?\True, the smell is strong,\but with our secret curry you'll experience a mild taste.\I recommended trying this dish at least once.\Then I'll have this, this and... response:	this, please.
context: What's wrong?\It's nothing. Come on.\Really?\True, the smell is strong,\but with our secret curry you'll experience a mild taste.\I recommended trying this dish at least once.\Then I'll have this, this and...\this, please. response:	Very well. Please wait a moment.
context: It's nothing. Come on.\Really?\True, the smell is strong,\but with our secret curry you'll experience a mild taste.\I recommended trying this dish at least once.\Then I'll have this, this and...\this, please.\Very well. Please wait a moment. response:	Come on, kitty.
context: Really?\True, the smell is strong,\but with our secret curry you'll experience a mild taste.\I recommended trying this dish at least once.\Then I'll have this, this and...\this, please.\Very well. Please wait a moment.\Come on, kitty. response:	Hello.
context: True, the smell is strong,\but with our secret curry you'll experience a mild taste.\I recommended trying this dish at least once.\Then I'll have this, this and...\this, please.\Very well. Please wait a moment.\Come on, kitty.\Hello. response:	Too bad.
context: but with our secret curry you'll experience a mild taste.\I recommended trying this dish at least once.\Then I'll have this, this and...\this, please.\Very well. Please wait a moment.\Come on, kitty.\Hello.\Too bad. response:	We almost got along there.
context: I recommended trying this dish at least once.\Then I'll have this, this and...\this, please.\Very well. Please wait a moment.\Come on, kitty.\Hello.\Too bad.\We almost got along there. response:	Where's your wife?
context: Then I'll have this, this and...\this, please.\Very well. Please wait a moment.\Come on, kitty.\Hello.\Too bad.\We almost got along there.\Where's your wife? response:	Sorry, I wasn't sure what kind of relationship you had, so I asked the manager.
context: this, please.\Very well. Please wait a moment.\Come on, kitty.\Hello.\Too bad.\We almost got along there.\Where's your wife?\Sorry, I wasn't sure what kind of relationship you had, so I asked the manager. response:	She's preparing to go out now.
context: Very well. Please wait a moment.\Come on, kitty.\Hello.\Too bad.\We almost got along there.\Where's your wife?\Sorry, I wasn't sure what kind of relationship you had, so I asked the manager.\She's preparing to go out now. response:	Where will you be going today?
context: Come on, kitty.\Hello.\Too bad.\We almost got along there.\Where's your wife?\Sorry, I wasn't sure what kind of relationship you had, so I asked the manager.\She's preparing to go out now.\Where will you be going today? response:	Nowhere in particular.
context: Hello.\Too bad.\We almost got along there.\Where's your wife?\Sorry, I wasn't sure what kind of relationship you had, so I asked the manager.\She's preparing to go out now.\Where will you be going today?\Nowhere in particular. response:	I guess it's because there's nothing here.
context: Too bad.\We almost got along there.\Where's your wife?\Sorry, I wasn't sure what kind of relationship you had, so I asked the manager.\She's preparing to go out now.\Where will you be going today?\Nowhere in particular.\I guess it's because there's nothing here. response:	I used to spend my time here like that with someone I used to go out with.
context: We almost got along there.\Where's your wife?\Sorry, I wasn't sure what kind of relationship you had, so I asked the manager.\She's preparing to go out now.\Where will you be going today?\Nowhere in particular.\I guess it's because there's nothing here.\I used to spend my time here like that with someone I used to go out with. response:	And where is he?
context: Where's your wife?\Sorry, I wasn't sure what kind of relationship you had, so I asked the manager.\She's preparing to go out now.\Where will you be going today?\Nowhere in particular.\I guess it's because there's nothing here.\I used to spend my time here like that with someone I used to go out with.\And where is he? response:	Would you normally ask that?
context: Sorry, I wasn't sure what kind of relationship you had, so I asked the manager.\She's preparing to go out now.\Where will you be going today?\Nowhere in particular.\I guess it's because there's nothing here.\I used to spend my time here like that with someone I used to go out with.\And where is he?\Would you normally ask that? response:	I'm sorry.
context: She's preparing to go out now.\Where will you be going today?\Nowhere in particular.\I guess it's because there's nothing here.\I used to spend my time here like that with someone I used to go out with.\And where is he?\Would you normally ask that?\I'm sorry. response:	Don't worry about it.
context: Where will you be going today?\Nowhere in particular.\I guess it's because there's nothing here.\I used to spend my time here like that with someone I used to go out with.\And where is he?\Would you normally ask that?\I'm sorry.\Don't worry about it. response:	It's better to let these kinds of things out than to keep them in.
context: Nowhere in particular.\I guess it's because there's nothing here.\I used to spend my time here like that with someone I used to go out with.\And where is he?\Would you normally ask that?\I'm sorry.\Don't worry about it.\It's better to let these kinds of things out than to keep them in. response:	He's probably having an illicit affair with a young girl right now.
context: I guess it's because there's nothing here.\I used to spend my time here like that with someone I used to go out with.\And where is he?\Would you normally ask that?\I'm sorry.\Don't worry about it.\It's better to let these kinds of things out than to keep them in.\He's probably having an illicit affair with a young girl right now. response:	Hei.
context: I used to spend my time here like that with someone I used to go out with.\And where is he?\Would you normally ask that?\I'm sorry.\Don't worry about it.\It's better to let these kinds of things out than to keep them in.\He's probably having an illicit affair with a young girl right now.\Hei. response:	Hei.
context: And where is he?\Would you normally ask that?\I'm sorry.\Don't worry about it.\It's better to let these kinds of things out than to keep them in.\He's probably having an illicit affair with a young girl right now.\Hei.\Hei. response:	Oh, did I cause a misunderstanding?
context: Would you normally ask that?\I'm sorry.\Don't worry about it.\It's better to let these kinds of things out than to keep them in.\He's probably having an illicit affair with a young girl right now.\Hei.\Hei.\Oh, did I cause a misunderstanding? response:	Hei...
context: I'm sorry.\Don't worry about it.\It's better to let these kinds of things out than to keep them in.\He's probably having an illicit affair with a young girl right now.\Hei.\Hei.\Oh, did I cause a misunderstanding?\Hei... response:	It was you? Don't scare me like that!
context: Don't worry about it.\It's better to let these kinds of things out than to keep them in.\He's probably having an illicit affair with a young girl right now.\Hei.\Hei.\Oh, did I cause a misunderstanding?\Hei...\It was you? Don't scare me like that! response:	What are you doing?
context: It's better to let these kinds of things out than to keep them in.\He's probably having an illicit affair with a young girl right now.\Hei.\Hei.\Oh, did I cause a misunderstanding?\Hei...\It was you? Don't scare me like that!\What are you doing? response:	What were you looking for?
context: He's probably having an illicit affair with a young girl right now.\Hei.\Hei.\Oh, did I cause a misunderstanding?\Hei...\It was you? Don't scare me like that!\What are you doing?\What were you looking for? response:	She isn't Amber.
context: Hei.\Hei.\Oh, did I cause a misunderstanding?\Hei...\It was you? Don't scare me like that!\What are you doing?\What were you looking for?\She isn't Amber. response:	She only looks like her.
context: Hei.\Oh, did I cause a misunderstanding?\Hei...\It was you? Don't scare me like that!\What are you doing?\What were you looking for?\She isn't Amber.\She only looks like her. response:	What are you talking about?
context: Oh, did I cause a misunderstanding?\Hei...\It was you? Don't scare me like that!\What are you doing?\What were you looking for?\She isn't Amber.\She only looks like her.\What are you talking about? response:	She's a contractor.
context: Hei...\It was you? Don't scare me like that!\What are you doing?\What were you looking for?\She isn't Amber.\She only looks like her.\What are you talking about?\She's a contractor. response:	It's best if we leave this place quickly.
context: It was you? Don't scare me like that!\What are you doing?\What were you looking for?\She isn't Amber.\She only looks like her.\What are you talking about?\She's a contractor.\It's best if we leave this place quickly. response:	Believe me.
context: What are you doing?\What were you looking for?\She isn't Amber.\She only looks like her.\What are you talking about?\She's a contractor.\It's best if we leave this place quickly.\Believe me. response:	Hei...
context: What were you looking for?\She isn't Amber.\She only looks like her.\What are you talking about?\She's a contractor.\It's best if we leave this place quickly.\Believe me.\Hei... response:	You should believe in me too.
context: She isn't Amber.\She only looks like her.\What are you talking about?\She's a contractor.\It's best if we leave this place quickly.\Believe me.\Hei...\You should believe in me too. response:	I won't leave you alone.
context: She only looks like her.\What are you talking about?\She's a contractor.\It's best if we leave this place quickly.\Believe me.\Hei...\You should believe in me too.\I won't leave you alone. response:	You're lying.
context: What are you talking about?\She's a contractor.\It's best if we leave this place quickly.\Believe me.\Hei...\You should believe in me too.\I won't leave you alone.\You're lying. response:	That's too bad.
context: She's a contractor.\It's best if we leave this place quickly.\Believe me.\Hei...\You should believe in me too.\I won't leave you alone.\You're lying.\That's too bad. response:	Why are you leaving so suddenly?
context: It's best if we leave this place quickly.\Believe me.\Hei...\You should believe in me too.\I won't leave you alone.\You're lying.\That's too bad.\Why are you leaving so suddenly? response:	No real reason. Just felt like it.
context: Believe me.\Hei...\You should believe in me too.\I won't leave you alone.\You're lying.\That's too bad.\Why are you leaving so suddenly?\No real reason. Just felt like it. response:	I see. That's okay then.
context: Hei...\You should believe in me too.\I won't leave you alone.\You're lying.\That's too bad.\Why are you leaving so suddenly?\No real reason. Just felt like it.\I see. That's okay then. response:	The truth is, yesterday, a lone man left in a hurry too.
context: You should believe in me too.\I won't leave you alone.\You're lying.\That's too bad.\Why are you leaving so suddenly?\No real reason. Just felt like it.\I see. That's okay then.\The truth is, yesterday, a lone man left in a hurry too. response:	There was a man staying here too?
context: I won't leave you alone.\You're lying.\That's too bad.\Why are you leaving so suddenly?\No real reason. Just felt like it.\I see. That's okay then.\The truth is, yesterday, a lone man left in a hurry too.\There was a man staying here too? response:	Didn't I tell you?
context: You're lying.\That's too bad.\Why are you leaving so suddenly?\No real reason. Just felt like it.\I see. That's okay then.\The truth is, yesterday, a lone man left in a hurry too.\There was a man staying here too?\Didn't I tell you? response:	No, it was a lady.
context: That's too bad.\Why are you leaving so suddenly?\No real reason. Just felt like it.\I see. That's okay then.\The truth is, yesterday, a lone man left in a hurry too.\There was a man staying here too?\Didn't I tell you?\No, it was a lady. response:	I'm pretty sure it was a man.
context: Why are you leaving so suddenly?\No real reason. Just felt like it.\I see. That's okay then.\The truth is, yesterday, a lone man left in a hurry too.\There was a man staying here too?\Didn't I tell you?\No, it was a lady.\I'm pretty sure it was a man. response:	An illusion?
context: No real reason. Just felt like it.\I see. That's okay then.\The truth is, yesterday, a lone man left in a hurry too.\There was a man staying here too?\Didn't I tell you?\No, it was a lady.\I'm pretty sure it was a man.\An illusion? response:	Sir?
context: I see. That's okay then.\The truth is, yesterday, a lone man left in a hurry too.\There was a man staying here too?\Didn't I tell you?\No, it was a lady.\I'm pretty sure it was a man.\An illusion?\Sir? response:	We're leaving here now!
context: The truth is, yesterday, a lone man left in a hurry too.\There was a man staying here too?\Didn't I tell you?\No, it was a lady.\I'm pretty sure it was a man.\An illusion?\Sir?\We're leaving here now! response:	Yin?
context: There was a man staying here too?\Didn't I tell you?\No, it was a lady.\I'm pretty sure it was a man.\An illusion?\Sir?\We're leaving here now!\Yin? response:	Yin!
