context: At 18:00 Space Standard Time, response:	a GDF Special Forces unit set up transmission satellites
context: I can go through life without common sense!\What type of retort was that?\They keep showing the clip where I botched it.\Check out my Asagi Special.\Knock it off! Not before my checkup.\Man, even our cutting-edge units look pathetic...\Sorry to have kept you waiting.\Nah, you didn't make us wait any! response:	I'd like the boys to proceed to Examination Room 1
context: What type of retort was that?\They keep showing the clip where I botched it.\Check out my Asagi Special.\Knock it off! Not before my checkup.\Man, even our cutting-edge units look pathetic...\Sorry to have kept you waiting.\Nah, you didn't make us wait any!\I'd like the boys to proceed to Examination Room 1 response:	and the girls to proceed to the Measurements Room.
context: They keep showing the clip where I botched it.\Check out my Asagi Special.\Knock it off! Not before my checkup.\Man, even our cutting-edge units look pathetic...\Sorry to have kept you waiting.\Nah, you didn't make us wait any!\I'd like the boys to proceed to Examination Room 1\and the girls to proceed to the Measurements Room. response:	Okay!
context: Check out my Asagi Special.\Knock it off! Not before my checkup.\Man, even our cutting-edge units look pathetic...\Sorry to have kept you waiting.\Nah, you didn't make us wait any!\I'd like the boys to proceed to Examination Room 1\and the girls to proceed to the Measurements Room.\Okay! response:	I've gained! I knew I gained weight!
context: Knock it off! Not before my checkup.\Man, even our cutting-edge units look pathetic...\Sorry to have kept you waiting.\Nah, you didn't make us wait any!\I'd like the boys to proceed to Examination Room 1\and the girls to proceed to the Measurements Room.\Okay!\I've gained! I knew I gained weight! response:	Let's try that again...
context: Man, even our cutting-edge units look pathetic...\Sorry to have kept you waiting.\Nah, you didn't make us wait any!\I'd like the boys to proceed to Examination Room 1\and the girls to proceed to the Measurements Room.\Okay!\I've gained! I knew I gained weight!\Let's try that again... response:	It will turn out the same each time.
context: Sorry to have kept you waiting.\Nah, you didn't make us wait any!\I'd like the boys to proceed to Examination Room 1\and the girls to proceed to the Measurements Room.\Okay!\I've gained! I knew I gained weight!\Let's try that again...\It will turn out the same each time. response:	It just says I've gained because of the sudden bursts of gravity!
context: Nah, you didn't make us wait any!\I'd like the boys to proceed to Examination Room 1\and the girls to proceed to the Measurements Room.\Okay!\I've gained! I knew I gained weight!\Let's try that again...\It will turn out the same each time.\It just says I've gained because of the sudden bursts of gravity! response:	I don't wanna drink that...
context: I'd like the boys to proceed to Examination Room 1\and the girls to proceed to the Measurements Room.\Okay!\I've gained! I knew I gained weight!\Let's try that again...\It will turn out the same each time.\It just says I've gained because of the sudden bursts of gravity!\I don't wanna drink that... response:	You can choose from a selection of flavors.
context: and the girls to proceed to the Measurements Room.\Okay!\I've gained! I knew I gained weight!\Let's try that again...\It will turn out the same each time.\It just says I've gained because of the sudden bursts of gravity!\I don't wanna drink that...\You can choose from a selection of flavors. response:	It comes in yogurt, vanilla and chocolate.
context: Okay!\I've gained! I knew I gained weight!\Let's try that again...\It will turn out the same each time.\It just says I've gained because of the sudden bursts of gravity!\I don't wanna drink that...\You can choose from a selection of flavors.\It comes in yogurt, vanilla and chocolate. response:	I'll let you decide!
context: I've gained! I knew I gained weight!\Let's try that again...\It will turn out the same each time.\It just says I've gained because of the sudden bursts of gravity!\I don't wanna drink that...\You can choose from a selection of flavors.\It comes in yogurt, vanilla and chocolate.\I'll let you decide! response:	Sheesh! That crazy stunt is giving us a run for our money.
context: Let's try that again...\It will turn out the same each time.\It just says I've gained because of the sudden bursts of gravity!\I don't wanna drink that...\You can choose from a selection of flavors.\It comes in yogurt, vanilla and chocolate.\I'll let you decide!\Sheesh! That crazy stunt is giving us a run for our money. response:	Could you make the five units activate quicker?
context: It will turn out the same each time.\It just says I've gained because of the sudden bursts of gravity!\I don't wanna drink that...\You can choose from a selection of flavors.\It comes in yogurt, vanilla and chocolate.\I'll let you decide!\Sheesh! That crazy stunt is giving us a run for our money.\Could you make the five units activate quicker? response:	Forget it!
context: It just says I've gained because of the sudden bursts of gravity!\I don't wanna drink that...\You can choose from a selection of flavors.\It comes in yogurt, vanilla and chocolate.\I'll let you decide!\Sheesh! That crazy stunt is giving us a run for our money.\Could you make the five units activate quicker?\Forget it! response:	Just getting them all operational is near-enough miraculous.
context: I don't wanna drink that...\You can choose from a selection of flavors.\It comes in yogurt, vanilla and chocolate.\I'll let you decide!\Sheesh! That crazy stunt is giving us a run for our money.\Could you make the five units activate quicker?\Forget it!\Just getting them all operational is near-enough miraculous. response:	That isn't good enough!
context: You can choose from a selection of flavors.\It comes in yogurt, vanilla and chocolate.\I'll let you decide!\Sheesh! That crazy stunt is giving us a run for our money.\Could you make the five units activate quicker?\Forget it!\Just getting them all operational is near-enough miraculous.\That isn't good enough! response:	I can't do what I can't do.
context: It comes in yogurt, vanilla and chocolate.\I'll let you decide!\Sheesh! That crazy stunt is giving us a run for our money.\Could you make the five units activate quicker?\Forget it!\Just getting them all operational is near-enough miraculous.\That isn't good enough!\I can't do what I can't do. response:	And could you make the linkage a simpler auto function?
context: I'll let you decide!\Sheesh! That crazy stunt is giving us a run for our money.\Could you make the five units activate quicker?\Forget it!\Just getting them all operational is near-enough miraculous.\That isn't good enough!\I can't do what I can't do.\And could you make the linkage a simpler auto function? response:	I'll think about it.
context: Sheesh! That crazy stunt is giving us a run for our money.\Could you make the five units activate quicker?\Forget it!\Just getting them all operational is near-enough miraculous.\That isn't good enough!\I can't do what I can't do.\And could you make the linkage a simpler auto function?\I'll think about it. response:	None of them have mastered the JURIA-SYSTEM yet,
context: Could you make the five units activate quicker?\Forget it!\Just getting them all operational is near-enough miraculous.\That isn't good enough!\I can't do what I can't do.\And could you make the linkage a simpler auto function?\I'll think about it.\None of them have mastered the JURIA-SYSTEM yet, response:	so it's our job to help them however we can.
context: Forget it!\Just getting them all operational is near-enough miraculous.\That isn't good enough!\I can't do what I can't do.\And could you make the linkage a simpler auto function?\I'll think about it.\None of them have mastered the JURIA-SYSTEM yet,\so it's our job to help them however we can. response:	Please take your job more seriously, Head Mechanic.
context: Just getting them all operational is near-enough miraculous.\That isn't good enough!\I can't do what I can't do.\And could you make the linkage a simpler auto function?\I'll think about it.\None of them have mastered the JURIA-SYSTEM yet,\so it's our job to help them however we can.\Please take your job more seriously, Head Mechanic. response:	There is a difference between serious and frantic, Rin-Rin.
context: That isn't good enough!\I can't do what I can't do.\And could you make the linkage a simpler auto function?\I'll think about it.\None of them have mastered the JURIA-SYSTEM yet,\so it's our job to help them however we can.\Please take your job more seriously, Head Mechanic.\There is a difference between serious and frantic, Rin-Rin. response:	You've gotta relax some. Otherwise you're going to break.
context: I can't do what I can't do.\And could you make the linkage a simpler auto function?\I'll think about it.\None of them have mastered the JURIA-SYSTEM yet,\so it's our job to help them however we can.\Please take your job more seriously, Head Mechanic.\There is a difference between serious and frantic, Rin-Rin.\You've gotta relax some. Otherwise you're going to break. response:	A Special Forces unit set up new transmission satellites.
context: And could you make the linkage a simpler auto function?\I'll think about it.\None of them have mastered the JURIA-SYSTEM yet,\so it's our job to help them however we can.\Please take your job more seriously, Head Mechanic.\There is a difference between serious and frantic, Rin-Rin.\You've gotta relax some. Otherwise you're going to break.\A Special Forces unit set up new transmission satellites. response:	When rushed by a Wulgaru squad, they tried to counter the attack.
context: I'll think about it.\None of them have mastered the JURIA-SYSTEM yet,\so it's our job to help them however we can.\Please take your job more seriously, Head Mechanic.\There is a difference between serious and frantic, Rin-Rin.\You've gotta relax some. Otherwise you're going to break.\A Special Forces unit set up new transmission satellites.\When rushed by a Wulgaru squad, they tried to counter the attack. response:	However, they were-
context: None of them have mastered the JURIA-SYSTEM yet,\so it's our job to help them however we can.\Please take your job more seriously, Head Mechanic.\There is a difference between serious and frantic, Rin-Rin.\You've gotta relax some. Otherwise you're going to break.\A Special Forces unit set up new transmission satellites.\When rushed by a Wulgaru squad, they tried to counter the attack.\However, they were- response:	Not again!
context: so it's our job to help them however we can.\Please take your job more seriously, Head Mechanic.\There is a difference between serious and frantic, Rin-Rin.\You've gotta relax some. Otherwise you're going to break.\A Special Forces unit set up new transmission satellites.\When rushed by a Wulgaru squad, they tried to counter the attack.\However, they were-\Not again! response:	You've got it lucky!
context: Please take your job more seriously, Head Mechanic.\There is a difference between serious and frantic, Rin-Rin.\You've gotta relax some. Otherwise you're going to break.\A Special Forces unit set up new transmission satellites.\When rushed by a Wulgaru squad, they tried to counter the attack.\However, they were-\Not again!\You've got it lucky! response:	They only show the part where you managed to fire a shot.
context: There is a difference between serious and frantic, Rin-Rin.\You've gotta relax some. Otherwise you're going to break.\A Special Forces unit set up new transmission satellites.\When rushed by a Wulgaru squad, they tried to counter the attack.\However, they were-\Not again!\You've got it lucky!\They only show the part where you managed to fire a shot. response:	Just like a hero to steal the glory.
context: You've gotta relax some. Otherwise you're going to break.\A Special Forces unit set up new transmission satellites.\When rushed by a Wulgaru squad, they tried to counter the attack.\However, they were-\Not again!\You've got it lucky!\They only show the part where you managed to fire a shot.\Just like a hero to steal the glory. response:	Thank you!
context: A Special Forces unit set up new transmission satellites.\When rushed by a Wulgaru squad, they tried to counter the attack.\However, they were-\Not again!\You've got it lucky!\They only show the part where you managed to fire a shot.\Just like a hero to steal the glory.\Thank you! response:	That wasn't a compliment!
context: When rushed by a Wulgaru squad, they tried to counter the attack.\However, they were-\Not again!\You've got it lucky!\They only show the part where you managed to fire a shot.\Just like a hero to steal the glory.\Thank you!\That wasn't a compliment! response:	Huh? But you just said...
context: However, they were-\Not again!\You've got it lucky!\They only show the part where you managed to fire a shot.\Just like a hero to steal the glory.\Thank you!\That wasn't a compliment!\Huh? But you just said... response:	You're all done.
context: Not again!\You've got it lucky!\They only show the part where you managed to fire a shot.\Just like a hero to steal the glory.\Thank you!\That wasn't a compliment!\Huh? But you just said...\You're all done. response:	Detailed reports will be ready in a few days,
context: You've got it lucky!\They only show the part where you managed to fire a shot.\Just like a hero to steal the glory.\Thank you!\That wasn't a compliment!\Huh? But you just said...\You're all done.\Detailed reports will be ready in a few days, response:	but from what I saw today, everyone seems to be doing fine.
context: They only show the part where you managed to fire a shot.\Just like a hero to steal the glory.\Thank you!\That wasn't a compliment!\Huh? But you just said...\You're all done.\Detailed reports will be ready in a few days,\but from what I saw today, everyone seems to be doing fine. response:	Thank you very much.
context: Just like a hero to steal the glory.\Thank you!\That wasn't a compliment!\Huh? But you just said...\You're all done.\Detailed reports will be ready in a few days,\but from what I saw today, everyone seems to be doing fine.\Thank you very much. response:	Isn't that great news?
context: Thank you!\That wasn't a compliment!\Huh? But you just said...\You're all done.\Detailed reports will be ready in a few days,\but from what I saw today, everyone seems to be doing fine.\Thank you very much.\Isn't that great news? response:	Totally!
context: That wasn't a compliment!\Huh? But you just said...\You're all done.\Detailed reports will be ready in a few days,\but from what I saw today, everyone seems to be doing fine.\Thank you very much.\Isn't that great news?\Totally! response:	Have you finished your exams?
context: Huh? But you just said...\You're all done.\Detailed reports will be ready in a few days,\but from what I saw today, everyone seems to be doing fine.\Thank you very much.\Isn't that great news?\Totally!\Have you finished your exams? response:	Uh, yes.
context: You're all done.\Detailed reports will be ready in a few days,\but from what I saw today, everyone seems to be doing fine.\Thank you very much.\Isn't that great news?\Totally!\Have you finished your exams?\Uh, yes. response:	Then move over to the briefing room.
context: Detailed reports will be ready in a few days,\but from what I saw today, everyone seems to be doing fine.\Thank you very much.\Isn't that great news?\Totally!\Have you finished your exams?\Uh, yes.\Then move over to the briefing room. response:	Huh?
context: but from what I saw today, everyone seems to be doing fine.\Thank you very much.\Isn't that great news?\Totally!\Have you finished your exams?\Uh, yes.\Then move over to the briefing room.\Huh? response:	We will explain your next mission there.
context: Thank you very much.\Isn't that great news?\Totally!\Have you finished your exams?\Uh, yes.\Then move over to the briefing room.\Huh?\We will explain your next mission there. response:	Everyone, get running!
context: Isn't that great news?\Totally!\Have you finished your exams?\Uh, yes.\Then move over to the briefing room.\Huh?\We will explain your next mission there.\Everyone, get running! response:	How are they?
context: Totally!\Have you finished your exams?\Uh, yes.\Then move over to the briefing room.\Huh?\We will explain your next mission there.\Everyone, get running!\How are they? response:	From what I saw, I'm worried about psychological fatigue.
context: Have you finished your exams?\Uh, yes.\Then move over to the briefing room.\Huh?\We will explain your next mission there.\Everyone, get running!\How are they?\From what I saw, I'm worried about psychological fatigue. response:	I believe they could use some down time instead of another mission.
context: Uh, yes.\Then move over to the briefing room.\Huh?\We will explain your next mission there.\Everyone, get running!\How are they?\From what I saw, I'm worried about psychological fatigue.\I believe they could use some down time instead of another mission. response:	Aren't those children more developed than normal humans in some areas?
context: Then move over to the briefing room.\Huh?\We will explain your next mission there.\Everyone, get running!\How are they?\From what I saw, I'm worried about psychological fatigue.\I believe they could use some down time instead of another mission.\Aren't those children more developed than normal humans in some areas? response:	Toshikazu Asagi is able to process vast amounts of data.
context: Huh?\We will explain your next mission there.\Everyone, get running!\How are they?\From what I saw, I'm worried about psychological fatigue.\I believe they could use some down time instead of another mission.\Aren't those children more developed than normal humans in some areas?\Toshikazu Asagi is able to process vast amounts of data. response:	Kei Kugimiya has highly developed auditory perception.
context: We will explain your next mission there.\Everyone, get running!\How are they?\From what I saw, I'm worried about psychological fatigue.\I believe they could use some down time instead of another mission.\Aren't those children more developed than normal humans in some areas?\Toshikazu Asagi is able to process vast amounts of data.\Kei Kugimiya has highly developed auditory perception. response:	Tamaki Irie has an abnormally high G-tolerance.
context: Everyone, get running!\How are they?\From what I saw, I'm worried about psychological fatigue.\I believe they could use some down time instead of another mission.\Aren't those children more developed than normal humans in some areas?\Toshikazu Asagi is able to process vast amounts of data.\Kei Kugimiya has highly developed auditory perception.\Tamaki Irie has an abnormally high G-tolerance. response:	Ataru Suruga has outstanding memory in select areas.
context: How are they?\From what I saw, I'm worried about psychological fatigue.\I believe they could use some down time instead of another mission.\Aren't those children more developed than normal humans in some areas?\Toshikazu Asagi is able to process vast amounts of data.\Kei Kugimiya has highly developed auditory perception.\Tamaki Irie has an abnormally high G-tolerance.\Ataru Suruga has outstanding memory in select areas. response:	Izuru Hitachi has an excellent capacity to concentrate.
context: From what I saw, I'm worried about psychological fatigue.\I believe they could use some down time instead of another mission.\Aren't those children more developed than normal humans in some areas?\Toshikazu Asagi is able to process vast amounts of data.\Kei Kugimiya has highly developed auditory perception.\Tamaki Irie has an abnormally high G-tolerance.\Ataru Suruga has outstanding memory in select areas.\Izuru Hitachi has an excellent capacity to concentrate. response:	But it looks like these strengths are hard on their bodies.
context: I believe they could use some down time instead of another mission.\Aren't those children more developed than normal humans in some areas?\Toshikazu Asagi is able to process vast amounts of data.\Kei Kugimiya has highly developed auditory perception.\Tamaki Irie has an abnormally high G-tolerance.\Ataru Suruga has outstanding memory in select areas.\Izuru Hitachi has an excellent capacity to concentrate.\But it looks like these strengths are hard on their bodies. response:	Why did you choose those five?
context: Aren't those children more developed than normal humans in some areas?\Toshikazu Asagi is able to process vast amounts of data.\Kei Kugimiya has highly developed auditory perception.\Tamaki Irie has an abnormally high G-tolerance.\Ataru Suruga has outstanding memory in select areas.\Izuru Hitachi has an excellent capacity to concentrate.\But it looks like these strengths are hard on their bodies.\Why did you choose those five? response:	I'm sure there were more evenly balanced students.
context: Toshikazu Asagi is able to process vast amounts of data.\Kei Kugimiya has highly developed auditory perception.\Tamaki Irie has an abnormally high G-tolerance.\Ataru Suruga has outstanding memory in select areas.\Izuru Hitachi has an excellent capacity to concentrate.\But it looks like these strengths are hard on their bodies.\Why did you choose those five?\I'm sure there were more evenly balanced students. response:	All five of them showed top-class survival instincts.
context: Kei Kugimiya has highly developed auditory perception.\Tamaki Irie has an abnormally high G-tolerance.\Ataru Suruga has outstanding memory in select areas.\Izuru Hitachi has an excellent capacity to concentrate.\But it looks like these strengths are hard on their bodies.\Why did you choose those five?\I'm sure there were more evenly balanced students.\All five of them showed top-class survival instincts. response:	That made them ideal pilots for AHSMB units,
context: Tamaki Irie has an abnormally high G-tolerance.\Ataru Suruga has outstanding memory in select areas.\Izuru Hitachi has an excellent capacity to concentrate.\But it looks like these strengths are hard on their bodies.\Why did you choose those five?\I'm sure there were more evenly balanced students.\All five of them showed top-class survival instincts.\That made them ideal pilots for AHSMB units, response:	which were installed with the JURIA-SYSTEM.
context: Ataru Suruga has outstanding memory in select areas.\Izuru Hitachi has an excellent capacity to concentrate.\But it looks like these strengths are hard on their bodies.\Why did you choose those five?\I'm sure there were more evenly balanced students.\All five of them showed top-class survival instincts.\That made them ideal pilots for AHSMB units,\which were installed with the JURIA-SYSTEM. response:	I see...
context: Izuru Hitachi has an excellent capacity to concentrate.\But it looks like these strengths are hard on their bodies.\Why did you choose those five?\I'm sure there were more evenly balanced students.\All five of them showed top-class survival instincts.\That made them ideal pilots for AHSMB units,\which were installed with the JURIA-SYSTEM.\I see... response:	Also, about Izuru Hitachi...
context: But it looks like these strengths are hard on their bodies.\Why did you choose those five?\I'm sure there were more evenly balanced students.\All five of them showed top-class survival instincts.\That made them ideal pilots for AHSMB units,\which were installed with the JURIA-SYSTEM.\I see...\Also, about Izuru Hitachi... response:	He may require a reexamination.
context: Why did you choose those five?\I'm sure there were more evenly balanced students.\All five of them showed top-class survival instincts.\That made them ideal pilots for AHSMB units,\which were installed with the JURIA-SYSTEM.\I see...\Also, about Izuru Hitachi...\He may require a reexamination. response:	Why is that?
context: I'm sure there were more evenly balanced students.\All five of them showed top-class survival instincts.\That made them ideal pilots for AHSMB units,\which were installed with the JURIA-SYSTEM.\I see...\Also, about Izuru Hitachi...\He may require a reexamination.\Why is that? response:	I cannot pinpoint the problem, hence the reexamination.
context: All five of them showed top-class survival instincts.\That made them ideal pilots for AHSMB units,\which were installed with the JURIA-SYSTEM.\I see...\Also, about Izuru Hitachi...\He may require a reexamination.\Why is that?\I cannot pinpoint the problem, hence the reexamination. response:	I see.
context: That made them ideal pilots for AHSMB units,\which were installed with the JURIA-SYSTEM.\I see...\Also, about Izuru Hitachi...\He may require a reexamination.\Why is that?\I cannot pinpoint the problem, hence the reexamination.\I see. response:	Jeez, what are they going to make us do next?
context: which were installed with the JURIA-SYSTEM.\I see...\Also, about Izuru Hitachi...\He may require a reexamination.\Why is that?\I cannot pinpoint the problem, hence the reexamination.\I see.\Jeez, what are they going to make us do next? response:	This is depressing.
context: I see...\Also, about Izuru Hitachi...\He may require a reexamination.\Why is that?\I cannot pinpoint the problem, hence the reexamination.\I see.\Jeez, what are they going to make us do next?\This is depressing. response:	At ease.
context: Also, about Izuru Hitachi...\He may require a reexamination.\Why is that?\I cannot pinpoint the problem, hence the reexamination.\I see.\Jeez, what are they going to make us do next?\This is depressing.\At ease. response:	Sir.
context: He may require a reexamination.\Why is that?\I cannot pinpoint the problem, hence the reexamination.\I see.\Jeez, what are they going to make us do next?\This is depressing.\At ease.\Sir. response:	GDF Headquarters is calling you to arms.
context: Why is that?\I cannot pinpoint the problem, hence the reexamination.\I see.\Jeez, what are they going to make us do next?\This is depressing.\At ease.\Sir.\GDF Headquarters is calling you to arms. response:	They found an enemy supply route.
context: I cannot pinpoint the problem, hence the reexamination.\I see.\Jeez, what are they going to make us do next?\This is depressing.\At ease.\Sir.\GDF Headquarters is calling you to arms.\They found an enemy supply route. response:	Your next mission will be to launch a surprise attack on their supply ships.
context: I see.\Jeez, what are they going to make us do next?\This is depressing.\At ease.\Sir.\GDF Headquarters is calling you to arms.\They found an enemy supply route.\Your next mission will be to launch a surprise attack on their supply ships. response:	We're attacking them?
context: Jeez, what are they going to make us do next?\This is depressing.\At ease.\Sir.\GDF Headquarters is calling you to arms.\They found an enemy supply route.\Your next mission will be to launch a surprise attack on their supply ships.\We're attacking them? response:	That is why it's called a surprise attack!
context: This is depressing.\At ease.\Sir.\GDF Headquarters is calling you to arms.\They found an enemy supply route.\Your next mission will be to launch a surprise attack on their supply ships.\We're attacking them?\That is why it's called a surprise attack! response:	The mission commences in 36 hours. That is all.
context: At ease.\Sir.\GDF Headquarters is calling you to arms.\They found an enemy supply route.\Your next mission will be to launch a surprise attack on their supply ships.\We're attacking them?\That is why it's called a surprise attack!\The mission commences in 36 hours. That is all. response:	Sir, could you go over the mission in more detail...?
context: Sir.\GDF Headquarters is calling you to arms.\They found an enemy supply route.\Your next mission will be to launch a surprise attack on their supply ships.\We're attacking them?\That is why it's called a surprise attack!\The mission commences in 36 hours. That is all.\Sir, could you go over the mission in more detail...? response:	I will right before you set out.
context: GDF Headquarters is calling you to arms.\They found an enemy supply route.\Your next mission will be to launch a surprise attack on their supply ships.\We're attacking them?\That is why it's called a surprise attack!\The mission commences in 36 hours. That is all.\Sir, could you go over the mission in more detail...?\I will right before you set out. response:	Uh, were we the ones assigned to this mission?
context: They found an enemy supply route.\Your next mission will be to launch a surprise attack on their supply ships.\We're attacking them?\That is why it's called a surprise attack!\The mission commences in 36 hours. That is all.\Sir, could you go over the mission in more detail...?\I will right before you set out.\Uh, were we the ones assigned to this mission? response:	That was a pointless question.
context: Your next mission will be to launch a surprise attack on their supply ships.\We're attacking them?\That is why it's called a surprise attack!\The mission commences in 36 hours. That is all.\Sir, could you go over the mission in more detail...?\I will right before you set out.\Uh, were we the ones assigned to this mission?\That was a pointless question. response:	Yesterday's mission ended in failure
context: We're attacking them?\That is why it's called a surprise attack!\The mission commences in 36 hours. That is all.\Sir, could you go over the mission in more detail...?\I will right before you set out.\Uh, were we the ones assigned to this mission?\That was a pointless question.\Yesterday's mission ended in failure response:	and we still aren't accustomed to piloting the AHSMBs.
context: That is why it's called a surprise attack!\The mission commences in 36 hours. That is all.\Sir, could you go over the mission in more detail...?\I will right before you set out.\Uh, were we the ones assigned to this mission?\That was a pointless question.\Yesterday's mission ended in failure\and we still aren't accustomed to piloting the AHSMBs. response:	Your opinion has been dismissed.
