context: Doing things that bring attention to myself... response:	That is what I, Yoshikage Kira, hate the most.
context: I'll tie them for you.\A square knot! That's super nice of you!\H-Hey, what's wrong?\Deadly Queen's first bomb.\It turns anything it touches into a bomb.\Th-The doctor! Call the doctor!\What a terrible day.\Get me a doctor! response:	I just want to live a quiet life,
context: A square knot! That's super nice of you!\H-Hey, what's wrong?\Deadly Queen's first bomb.\It turns anything it touches into a bomb.\Th-The doctor! Call the doctor!\What a terrible day.\Get me a doctor!\I just want to live a quiet life, response:	and yet I had to deal with those two pieces of trash today...
context: H-Hey, what's wrong?\Deadly Queen's first bomb.\It turns anything it touches into a bomb.\Th-The doctor! Call the doctor!\What a terrible day.\Get me a doctor!\I just want to live a quiet life,\and yet I had to deal with those two pieces of trash today... response:	JoJo's Bizarre Adventure
context: Deadly Queen's first bomb.\It turns anything it touches into a bomb.\Th-The doctor! Call the doctor!\What a terrible day.\Get me a doctor!\I just want to live a quiet life,\and yet I had to deal with those two pieces of trash today...\JoJo's Bizarre Adventure response:	Diamond is Unbreakable
context: It turns anything it touches into a bomb.\Th-The doctor! Call the doctor!\What a terrible day.\Get me a doctor!\I just want to live a quiet life,\and yet I had to deal with those two pieces of trash today...\JoJo's Bizarre Adventure\Diamond is Unbreakable response:	Jojo's Bizarre Adventure
context: Th-The doctor! Call the doctor!\What a terrible day.\Get me a doctor!\I just want to live a quiet life,\and yet I had to deal with those two pieces of trash today...\JoJo's Bizarre Adventure\Diamond is Unbreakable\Jojo's Bizarre Adventure response:	Diamond is Unbreakable
context: What a terrible day.\Get me a doctor!\I just want to live a quiet life,\and yet I had to deal with those two pieces of trash today...\JoJo's Bizarre Adventure\Diamond is Unbreakable\Jojo's Bizarre Adventure\Diamond is Unbreakable response:	Episode 24 Heart Attack, Part 2
context: Get me a doctor!\I just want to live a quiet life,\and yet I had to deal with those two pieces of trash today...\JoJo's Bizarre Adventure\Diamond is Unbreakable\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 24 Heart Attack, Part 2 response:	Hey, Josuke.
context: I just want to live a quiet life,\and yet I had to deal with those two pieces of trash today...\JoJo's Bizarre Adventure\Diamond is Unbreakable\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 24 Heart Attack, Part 2\Hey, Josuke. response:	What the heck happened at Centipede Shoes?
context: and yet I had to deal with those two pieces of trash today...\JoJo's Bizarre Adventure\Diamond is Unbreakable\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 24 Heart Attack, Part 2\Hey, Josuke.\What the heck happened at Centipede Shoes? response:	I don't really know, but it wasn't good.
context: JoJo's Bizarre Adventure\Diamond is Unbreakable\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 24 Heart Attack, Part 2\Hey, Josuke.\What the heck happened at Centipede Shoes?\I don't really know, but it wasn't good. response:	Hurry! It'll take about five minutes.
context: Diamond is Unbreakable\Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 24 Heart Attack, Part 2\Hey, Josuke.\What the heck happened at Centipede Shoes?\I don't really know, but it wasn't good.\Hurry! It'll take about five minutes. response:	There are cracks in it.
context: Jojo's Bizarre Adventure\Diamond is Unbreakable\Episode 24 Heart Attack, Part 2\Hey, Josuke.\What the heck happened at Centipede Shoes?\I don't really know, but it wasn't good.\Hurry! It'll take about five minutes.\There are cracks in it. response:	That means the actual Stand's been damaged, too, right?
context: Diamond is Unbreakable\Episode 24 Heart Attack, Part 2\Hey, Josuke.\What the heck happened at Centipede Shoes?\I don't really know, but it wasn't good.\Hurry! It'll take about five minutes.\There are cracks in it.\That means the actual Stand's been damaged, too, right? response:	Please don't go too far away from me.
context: Episode 24 Heart Attack, Part 2\Hey, Josuke.\What the heck happened at Centipede Shoes?\I don't really know, but it wasn't good.\Hurry! It'll take about five minutes.\There are cracks in it.\That means the actual Stand's been damaged, too, right?\Please don't go too far away from me. response:	My range is five meters.
context: Hey, Josuke.\What the heck happened at Centipede Shoes?\I don't really know, but it wasn't good.\Hurry! It'll take about five minutes.\There are cracks in it.\That means the actual Stand's been damaged, too, right?\Please don't go too far away from me.\My range is five meters. response:	Act 3's is five meters.
context: What the heck happened at Centipede Shoes?\I don't really know, but it wasn't good.\Hurry! It'll take about five minutes.\There are cracks in it.\That means the actual Stand's been damaged, too, right?\Please don't go too far away from me.\My range is five meters.\Act 3's is five meters. response:	We have matured.
context: I don't really know, but it wasn't good.\Hurry! It'll take about five minutes.\There are cracks in it.\That means the actual Stand's been damaged, too, right?\Please don't go too far away from me.\My range is five meters.\Act 3's is five meters.\We have matured. response:	We're even more powerful now.
context: Hurry! It'll take about five minutes.\There are cracks in it.\That means the actual Stand's been damaged, too, right?\Please don't go too far away from me.\My range is five meters.\Act 3's is five meters.\We have matured.\We're even more powerful now. response:	It can't be helped that my range is shorter than Act 2's.
context: There are cracks in it.\That means the actual Stand's been damaged, too, right?\Please don't go too far away from me.\My range is five meters.\Act 3's is five meters.\We have matured.\We're even more powerful now.\It can't be helped that my range is shorter than Act 2's. response:	Gravity
context: That means the actual Stand's been damaged, too, right?\Please don't go too far away from me.\My range is five meters.\Act 3's is five meters.\We have matured.\We're even more powerful now.\It can't be helped that my range is shorter than Act 2's.\Gravity response:	If you move more than five meters from me,
context: Please don't go too far away from me.\My range is five meters.\Act 3's is five meters.\We have matured.\We're even more powerful now.\It can't be helped that my range is shorter than Act 2's.\Gravity\If you move more than five meters from me, response:	5 Meters
context: My range is five meters.\Act 3's is five meters.\We have matured.\We're even more powerful now.\It can't be helped that my range is shorter than Act 2's.\Gravity\If you move more than five meters from me,\5 Meters response:	the weight on that thing will disappear.
context: Act 3's is five meters.\We have matured.\We're even more powerful now.\It can't be helped that my range is shorter than Act 2's.\Gravity\If you move more than five meters from me,\5 Meters\the weight on that thing will disappear. response:	It'll stop struggling and regain its vigor,
context: We have matured.\We're even more powerful now.\It can't be helped that my range is shorter than Act 2's.\Gravity\If you move more than five meters from me,\5 Meters\the weight on that thing will disappear.\It'll stop struggling and regain its vigor, response:	and rush toward us like a dog in heat.
context: We're even more powerful now.\It can't be helped that my range is shorter than Act 2's.\Gravity\If you move more than five meters from me,\5 Meters\the weight on that thing will disappear.\It'll stop struggling and regain its vigor,\and rush toward us like a dog in heat. response:	On the other hand, the closer you get to it,
context: It can't be helped that my range is shorter than Act 2's.\Gravity\If you move more than five meters from me,\5 Meters\the weight on that thing will disappear.\It'll stop struggling and regain its vigor,\and rush toward us like a dog in heat.\On the other hand, the closer you get to it, response:	the heavier I can make it.
context: Gravity\If you move more than five meters from me,\5 Meters\the weight on that thing will disappear.\It'll stop struggling and regain its vigor,\and rush toward us like a dog in heat.\On the other hand, the closer you get to it,\the heavier I can make it. response:	What would you like to do?
context: If you move more than five meters from me,\5 Meters\the weight on that thing will disappear.\It'll stop struggling and regain its vigor,\and rush toward us like a dog in heat.\On the other hand, the closer you get to it,\the heavier I can make it.\What would you like to do? response:	N-No... This distance is plenty.
context: 5 Meters\the weight on that thing will disappear.\It'll stop struggling and regain its vigor,\and rush toward us like a dog in heat.\On the other hand, the closer you get to it,\the heavier I can make it.\What would you like to do?\N-No... This distance is plenty. response:	I hope Josuke gets here soon.
context: the weight on that thing will disappear.\It'll stop struggling and regain its vigor,\and rush toward us like a dog in heat.\On the other hand, the closer you get to it,\the heavier I can make it.\What would you like to do?\N-No... This distance is plenty.\I hope Josuke gets here soon. response:	Apparently, a gym will be opening near Budogaoka High School soon.
context: It'll stop struggling and regain its vigor,\and rush toward us like a dog in heat.\On the other hand, the closer you get to it,\the heavier I can make it.\What would you like to do?\N-No... This distance is plenty.\I hope Josuke gets here soon.\Apparently, a gym will be opening near Budogaoka High School soon. response:	I was really considering getting a membership.
context: and rush toward us like a dog in heat.\On the other hand, the closer you get to it,\the heavier I can make it.\What would you like to do?\N-No... This distance is plenty.\I hope Josuke gets here soon.\Apparently, a gym will be opening near Budogaoka High School soon.\I was really considering getting a membership. response:	I have to gain more stamina.
context: On the other hand, the closer you get to it,\the heavier I can make it.\What would you like to do?\N-No... This distance is plenty.\I hope Josuke gets here soon.\Apparently, a gym will be opening near Budogaoka High School soon.\I was really considering getting a membership.\I have to gain more stamina. response:	But I wonder if I'll be lifting the same dumbbells
context: the heavier I can make it.\What would you like to do?\N-No... This distance is plenty.\I hope Josuke gets here soon.\Apparently, a gym will be opening near Budogaoka High School soon.\I was really considering getting a membership.\I have to gain more stamina.\But I wonder if I'll be lifting the same dumbbells response:	who've been playing with their dicks after not bathing for a week,
context: What would you like to do?\N-No... This distance is plenty.\I hope Josuke gets here soon.\Apparently, a gym will be opening near Budogaoka High School soon.\I was really considering getting a membership.\I have to gain more stamina.\But I wonder if I'll be lifting the same dumbbells\who've been playing with their dicks after not bathing for a week, response:	or getting in the same pool with them.
context: N-No... This distance is plenty.\I hope Josuke gets here soon.\Apparently, a gym will be opening near Budogaoka High School soon.\I was really considering getting a membership.\I have to gain more stamina.\But I wonder if I'll be lifting the same dumbbells\who've been playing with their dicks after not bathing for a week,\or getting in the same pool with them. response:	It took me three minutes to get here.
context: I hope Josuke gets here soon.\Apparently, a gym will be opening near Budogaoka High School soon.\I was really considering getting a membership.\I have to gain more stamina.\But I wonder if I'll be lifting the same dumbbells\who've been playing with their dicks after not bathing for a week,\or getting in the same pool with them.\It took me three minutes to get here. response:	I felt my lack of stamina the most when I tried to cross at the crosswalk.
context: Apparently, a gym will be opening near Budogaoka High School soon.\I was really considering getting a membership.\I have to gain more stamina.\But I wonder if I'll be lifting the same dumbbells\who've been playing with their dicks after not bathing for a week,\or getting in the same pool with them.\It took me three minutes to get here.\I felt my lack of stamina the most when I tried to cross at the crosswalk. response:	By the way, who's going to show up here?
context: I was really considering getting a membership.\I have to gain more stamina.\But I wonder if I'll be lifting the same dumbbells\who've been playing with their dicks after not bathing for a week,\or getting in the same pool with them.\It took me three minutes to get here.\I felt my lack of stamina the most when I tried to cross at the crosswalk.\By the way, who's going to show up here? response:	You called someone for help, didn't you?
context: I have to gain more stamina.\But I wonder if I'll be lifting the same dumbbells\who've been playing with their dicks after not bathing for a week,\or getting in the same pool with them.\It took me three minutes to get here.\I felt my lack of stamina the most when I tried to cross at the crosswalk.\By the way, who's going to show up here?\You called someone for help, didn't you? response:	Josuke Higashikata and Okuyasu Nijimura live the closest.
context: But I wonder if I'll be lifting the same dumbbells\who've been playing with their dicks after not bathing for a week,\or getting in the same pool with them.\It took me three minutes to get here.\I felt my lack of stamina the most when I tried to cross at the crosswalk.\By the way, who's going to show up here?\You called someone for help, didn't you?\Josuke Higashikata and Okuyasu Nijimura live the closest. response:	It'll take them about five minutes, so two minutes to go?
context: who've been playing with their dicks after not bathing for a week,\or getting in the same pool with them.\It took me three minutes to get here.\I felt my lack of stamina the most when I tried to cross at the crosswalk.\By the way, who's going to show up here?\You called someone for help, didn't you?\Josuke Higashikata and Okuyasu Nijimura live the closest.\It'll take them about five minutes, so two minutes to go? response:	You're their friend, aren't you?
context: or getting in the same pool with them.\It took me three minutes to get here.\I felt my lack of stamina the most when I tried to cross at the crosswalk.\By the way, who's going to show up here?\You called someone for help, didn't you?\Josuke Higashikata and Okuyasu Nijimura live the closest.\It'll take them about five minutes, so two minutes to go?\You're their friend, aren't you? response:	H-H...
context: It took me three minutes to get here.\I felt my lack of stamina the most when I tried to cross at the crosswalk.\By the way, who's going to show up here?\You called someone for help, didn't you?\Josuke Higashikata and Okuyasu Nijimura live the closest.\It'll take them about five minutes, so two minutes to go?\You're their friend, aren't you?\H-H... response:	Yukako Yamagishi and the woman
context: I felt my lack of stamina the most when I tried to cross at the crosswalk.\By the way, who's going to show up here?\You called someone for help, didn't you?\Josuke Higashikata and Okuyasu Nijimura live the closest.\It'll take them about five minutes, so two minutes to go?\You're their friend, aren't you?\H-H...\Yukako Yamagishi and the woman response:	who runs Salon Cinderella are also what you call Stand users, aren't they?
context: By the way, who's going to show up here?\You called someone for help, didn't you?\Josuke Higashikata and Okuyasu Nijimura live the closest.\It'll take them about five minutes, so two minutes to go?\You're their friend, aren't you?\H-H...\Yukako Yamagishi and the woman\who runs Salon Cinderella are also what you call Stand users, aren't they? response:	You wouldn't actually call a lady for help, would you?
context: You called someone for help, didn't you?\Josuke Higashikata and Okuyasu Nijimura live the closest.\It'll take them about five minutes, so two minutes to go?\You're their friend, aren't you?\H-H...\Yukako Yamagishi and the woman\who runs Salon Cinderella are also what you call Stand users, aren't they?\You wouldn't actually call a lady for help, would you? response:	H-He's...
context: Josuke Higashikata and Okuyasu Nijimura live the closest.\It'll take them about five minutes, so two minutes to go?\You're their friend, aren't you?\H-H...\Yukako Yamagishi and the woman\who runs Salon Cinderella are also what you call Stand users, aren't they?\You wouldn't actually call a lady for help, would you?\H-He's... response:	I left my jacket with the button behind.
context: It'll take them about five minutes, so two minutes to go?\You're their friend, aren't you?\H-H...\Yukako Yamagishi and the woman\who runs Salon Cinderella are also what you call Stand users, aren't they?\You wouldn't actually call a lady for help, would you?\H-He's...\I left my jacket with the button behind. response:	I'll go get it later...
context: You're their friend, aren't you?\H-H...\Yukako Yamagishi and the woman\who runs Salon Cinderella are also what you call Stand users, aren't they?\You wouldn't actually call a lady for help, would you?\H-He's...\I left my jacket with the button behind.\I'll go get it later... response:	After I'm done with you.
context: H-H...\Yukako Yamagishi and the woman\who runs Salon Cinderella are also what you call Stand users, aren't they?\You wouldn't actually call a lady for help, would you?\H-He's...\I left my jacket with the button behind.\I'll go get it later...\After I'm done with you. response:	H-He's... right in front of me!
context: Yukako Yamagishi and the woman\who runs Salon Cinderella are also what you call Stand users, aren't they?\You wouldn't actually call a lady for help, would you?\H-He's...\I left my jacket with the button behind.\I'll go get it later...\After I'm done with you.\H-He's... right in front of me! response:	This man...
context: who runs Salon Cinderella are also what you call Stand users, aren't they?\You wouldn't actually call a lady for help, would you?\H-He's...\I left my jacket with the button behind.\I'll go get it later...\After I'm done with you.\H-He's... right in front of me!\This man... response:	The one who killed all those people over all those years...
context: You wouldn't actually call a lady for help, would you?\H-He's...\I left my jacket with the button behind.\I'll go get it later...\After I'm done with you.\H-He's... right in front of me!\This man...\The one who killed all those people over all those years... response:	And Reimi and Shigechi...
context: H-He's...\I left my jacket with the button behind.\I'll go get it later...\After I'm done with you.\H-He's... right in front of me!\This man...\The one who killed all those people over all those years...\And Reimi and Shigechi... response:	Let him have it, Act 3!
context: I left my jacket with the button behind.\I'll go get it later...\After I'm done with you.\H-He's... right in front of me!\This man...\The one who killed all those people over all those years...\And Reimi and Shigechi...\Let him have it, Act 3! response:	Dogyuun
context: I'll go get it later...\After I'm done with you.\H-He's... right in front of me!\This man...\The one who killed all those people over all those years...\And Reimi and Shigechi...\Let him have it, Act 3!\Dogyuun response:	Deadly Queen!
context: After I'm done with you.\H-He's... right in front of me!\This man...\The one who killed all those people over all those years...\And Reimi and Shigechi...\Let him have it, Act 3!\Dogyuun\Deadly Queen! response:	Why does he have two Stands?
context: H-He's... right in front of me!\This man...\The one who killed all those people over all those years...\And Reimi and Shigechi...\Let him have it, Act 3!\Dogyuun\Deadly Queen!\Why does he have two Stands? response:	I thought a user could only have one Stand!
context: This man...\The one who killed all those people over all those years...\And Reimi and Shigechi...\Let him have it, Act 3!\Dogyuun\Deadly Queen!\Why does he have two Stands?\I thought a user could only have one Stand! response:	Heart Attack is a tracer bomb that was launched from Deadly Queen's left hand.
context: The one who killed all those people over all those years...\And Reimi and Shigechi...\Let him have it, Act 3!\Dogyuun\Deadly Queen!\Why does he have two Stands?\I thought a user could only have one Stand!\Heart Attack is a tracer bomb that was launched from Deadly Queen's left hand. response:	That's why the damage is only in my left hand.
context: And Reimi and Shigechi...\Let him have it, Act 3!\Dogyuun\Deadly Queen!\Why does he have two Stands?\I thought a user could only have one Stand!\Heart Attack is a tracer bomb that was launched from Deadly Queen's left hand.\That's why the damage is only in my left hand. response:	Warning, Sir Koichi.
context: Let him have it, Act 3!\Dogyuun\Deadly Queen!\Why does he have two Stands?\I thought a user could only have one Stand!\Heart Attack is a tracer bomb that was launched from Deadly Queen's left hand.\That's why the damage is only in my left hand.\Warning, Sir Koichi. response:	You have just left my range of five meters.
context: Dogyuun\Deadly Queen!\Why does he have two Stands?\I thought a user could only have one Stand!\Heart Attack is a tracer bomb that was launched from Deadly Queen's left hand.\That's why the damage is only in my left hand.\Warning, Sir Koichi.\You have just left my range of five meters. response:	The bomb Stand's weight will disappear.
context: Deadly Queen!\Why does he have two Stands?\I thought a user could only have one Stand!\Heart Attack is a tracer bomb that was launched from Deadly Queen's left hand.\That's why the damage is only in my left hand.\Warning, Sir Koichi.\You have just left my range of five meters.\The bomb Stand's weight will disappear. response:	S-h-i-t. I'll have to attack it with 3 Freeze again.
context: Why does he have two Stands?\I thought a user could only have one Stand!\Heart Attack is a tracer bomb that was launched from Deadly Queen's left hand.\That's why the damage is only in my left hand.\Warning, Sir Koichi.\You have just left my range of five meters.\The bomb Stand's weight will disappear.\S-h-i-t. I'll have to attack it with 3 Freeze again. response:	I see... Range, eh?
context: I thought a user could only have one Stand!\Heart Attack is a tracer bomb that was launched from Deadly Queen's left hand.\That's why the damage is only in my left hand.\Warning, Sir Koichi.\You have just left my range of five meters.\The bomb Stand's weight will disappear.\S-h-i-t. I'll have to attack it with 3 Freeze again.\I see... Range, eh? response:	Who would you like me to hit?
context: Heart Attack is a tracer bomb that was launched from Deadly Queen's left hand.\That's why the damage is only in my left hand.\Warning, Sir Koichi.\You have just left my range of five meters.\The bomb Stand's weight will disappear.\S-h-i-t. I'll have to attack it with 3 Freeze again.\I see... Range, eh?\Who would you like me to hit? response:	The actual murderer, or that shitty bomb Stand?
context: That's why the damage is only in my left hand.\Warning, Sir Koichi.\You have just left my range of five meters.\The bomb Stand's weight will disappear.\S-h-i-t. I'll have to attack it with 3 Freeze again.\I see... Range, eh?\Who would you like me to hit?\The actual murderer, or that shitty bomb Stand? response:	3 Freeze cannot make two things heavy at once.
context: Warning, Sir Koichi.\You have just left my range of five meters.\The bomb Stand's weight will disappear.\S-h-i-t. I'll have to attack it with 3 Freeze again.\I see... Range, eh?\Who would you like me to hit?\The actual murderer, or that shitty bomb Stand?\3 Freeze cannot make two things heavy at once. response:	Even if we make the user heavier,
context: You have just left my range of five meters.\The bomb Stand's weight will disappear.\S-h-i-t. I'll have to attack it with 3 Freeze again.\I see... Range, eh?\Who would you like me to hit?\The actual murderer, or that shitty bomb Stand?\3 Freeze cannot make two things heavy at once.\Even if we make the user heavier, response:	the bomb Stand is on auto-pilot, so it won't stop.
context: The bomb Stand's weight will disappear.\S-h-i-t. I'll have to attack it with 3 Freeze again.\I see... Range, eh?\Who would you like me to hit?\The actual murderer, or that shitty bomb Stand?\3 Freeze cannot make two things heavy at once.\Even if we make the user heavier,\the bomb Stand is on auto-pilot, so it won't stop. response:	Even if we make the bomb heavier, the user will come after me.
context: S-h-i-t. I'll have to attack it with 3 Freeze again.\I see... Range, eh?\Who would you like me to hit?\The actual murderer, or that shitty bomb Stand?\3 Freeze cannot make two things heavy at once.\Even if we make the user heavier,\the bomb Stand is on auto-pilot, so it won't stop.\Even if we make the bomb heavier, the user will come after me. response:	Which will it be?
context: I see... Range, eh?\Who would you like me to hit?\The actual murderer, or that shitty bomb Stand?\3 Freeze cannot make two things heavy at once.\Even if we make the user heavier,\the bomb Stand is on auto-pilot, so it won't stop.\Even if we make the bomb heavier, the user will come after me.\Which will it be? response:	Please hurry and give me orders.
context: Who would you like me to hit?\The actual murderer, or that shitty bomb Stand?\3 Freeze cannot make two things heavy at once.\Even if we make the user heavier,\the bomb Stand is on auto-pilot, so it won't stop.\Even if we make the bomb heavier, the user will come after me.\Which will it be?\Please hurry and give me orders. response:	Which one are you going to attack?
context: The actual murderer, or that shitty bomb Stand?\3 Freeze cannot make two things heavy at once.\Even if we make the user heavier,\the bomb Stand is on auto-pilot, so it won't stop.\Even if we make the bomb heavier, the user will come after me.\Which will it be?\Please hurry and give me orders.\Which one are you going to attack? response:	S-Stop the bomb!
context: 3 Freeze cannot make two things heavy at once.\Even if we make the user heavier,\the bomb Stand is on auto-pilot, so it won't stop.\Even if we make the bomb heavier, the user will come after me.\Which will it be?\Please hurry and give me orders.\Which one are you going to attack?\S-Stop the bomb! response:	3 Freeze!
context: Even if we make the user heavier,\the bomb Stand is on auto-pilot, so it won't stop.\Even if we make the bomb heavier, the user will come after me.\Which will it be?\Please hurry and give me orders.\Which one are you going to attack?\S-Stop the bomb!\3 Freeze! response:	Ker-bam-bam
context: the bomb Stand is on auto-pilot, so it won't stop.\Even if we make the bomb heavier, the user will come after me.\Which will it be?\Please hurry and give me orders.\Which one are you going to attack?\S-Stop the bomb!\3 Freeze!\Ker-bam-bam response:	It appears that, no matter who you attacked, you were still fated to lose.
context: Even if we make the bomb heavier, the user will come after me.\Which will it be?\Please hurry and give me orders.\Which one are you going to attack?\S-Stop the bomb!\3 Freeze!\Ker-bam-bam\It appears that, no matter who you attacked, you were still fated to lose. response:	However, to think that Heart Attack, which I thought had no weak points,
context: Which will it be?\Please hurry and give me orders.\Which one are you going to attack?\S-Stop the bomb!\3 Freeze!\Ker-bam-bam\It appears that, no matter who you attacked, you were still fated to lose.\However, to think that Heart Attack, which I thought had no weak points, response:	would be completely useless...
context: Please hurry and give me orders.\Which one are you going to attack?\S-Stop the bomb!\3 Freeze!\Ker-bam-bam\It appears that, no matter who you attacked, you were still fated to lose.\However, to think that Heart Attack, which I thought had no weak points,\would be completely useless... response:	I had to pay some expenses at the cafe,
