context: Kiss Him, Not Me response:	Let The Shipping Wars Begin!
context: Senpai, what's the matter?\You're acting strange.\Shima-chan. The truth is, I...\I found someone special to me.\Wh-Who is it?!\It's...\Akane-chan from Katchu Ranbu, Kachu Rabu for short!\The anime just started, but the first second I saw him, I was like, response:	Be my waifu!
context: You're acting strange.\Shima-chan. The truth is, I...\I found someone special to me.\Wh-Who is it?!\It's...\Akane-chan from Katchu Ranbu, Kachu Rabu for short!\The anime just started, but the first second I saw him, I was like,\Be my waifu! response:	I looked it up, saved tons of pics,
context: Shima-chan. The truth is, I...\I found someone special to me.\Wh-Who is it?!\It's...\Akane-chan from Katchu Ranbu, Kachu Rabu for short!\The anime just started, but the first second I saw him, I was like,\Be my waifu!\I looked it up, saved tons of pics, response:	and I haven't slept at all, but I feel great!
context: I found someone special to me.\Wh-Who is it?!\It's...\Akane-chan from Katchu Ranbu, Kachu Rabu for short!\The anime just started, but the first second I saw him, I was like,\Be my waifu!\I looked it up, saved tons of pics,\and I haven't slept at all, but I feel great! response:	That's what I thought you'd say.
context: Wh-Who is it?!\It's...\Akane-chan from Katchu Ranbu, Kachu Rabu for short!\The anime just started, but the first second I saw him, I was like,\Be my waifu!\I looked it up, saved tons of pics,\and I haven't slept at all, but I feel great!\That's what I thought you'd say. response:	I've already made him into the wallpaper for my phone.
context: It's...\Akane-chan from Katchu Ranbu, Kachu Rabu for short!\The anime just started, but the first second I saw him, I was like,\Be my waifu!\I looked it up, saved tons of pics,\and I haven't slept at all, but I feel great!\That's what I thought you'd say.\I've already made him into the wallpaper for my phone. response:	Nothing less from you, Shima-chan! You get it.
context: Akane-chan from Katchu Ranbu, Kachu Rabu for short!\The anime just started, but the first second I saw him, I was like,\Be my waifu!\I looked it up, saved tons of pics,\and I haven't slept at all, but I feel great!\That's what I thought you'd say.\I've already made him into the wallpaper for my phone.\Nothing less from you, Shima-chan! You get it. response:	I'm not following in the slightest. Akane-chan?
context: The anime just started, but the first second I saw him, I was like,\Be my waifu!\I looked it up, saved tons of pics,\and I haven't slept at all, but I feel great!\That's what I thought you'd say.\I've already made him into the wallpaper for my phone.\Nothing less from you, Shima-chan! You get it.\I'm not following in the slightest. Akane-chan? response:	Right!
context: Be my waifu!\I looked it up, saved tons of pics,\and I haven't slept at all, but I feel great!\That's what I thought you'd say.\I've already made him into the wallpaper for my phone.\Nothing less from you, Shima-chan! You get it.\I'm not following in the slightest. Akane-chan?\Right! response:	Akane-chan's like, the main character's retainer,
context: I looked it up, saved tons of pics,\and I haven't slept at all, but I feel great!\That's what I thought you'd say.\I've already made him into the wallpaper for my phone.\Nothing less from you, Shima-chan! You get it.\I'm not following in the slightest. Akane-chan?\Right!\Akane-chan's like, the main character's retainer, response:	but he really likes the main character, his lord.
context: and I haven't slept at all, but I feel great!\That's what I thought you'd say.\I've already made him into the wallpaper for my phone.\Nothing less from you, Shima-chan! You get it.\I'm not following in the slightest. Akane-chan?\Right!\Akane-chan's like, the main character's retainer,\but he really likes the main character, his lord. response:	It's like true love!
context: That's what I thought you'd say.\I've already made him into the wallpaper for my phone.\Nothing less from you, Shima-chan! You get it.\I'm not following in the slightest. Akane-chan?\Right!\Akane-chan's like, the main character's retainer,\but he really likes the main character, his lord.\It's like true love! response:	But there's also a childhood friend he can't get along with,
context: I've already made him into the wallpaper for my phone.\Nothing less from you, Shima-chan! You get it.\I'm not following in the slightest. Akane-chan?\Right!\Akane-chan's like, the main character's retainer,\but he really likes the main character, his lord.\It's like true love!\But there's also a childhood friend he can't get along with, response:	who's younger and acts as a big rival,
context: Nothing less from you, Shima-chan! You get it.\I'm not following in the slightest. Akane-chan?\Right!\Akane-chan's like, the main character's retainer,\but he really likes the main character, his lord.\It's like true love!\But there's also a childhood friend he can't get along with,\who's younger and acts as a big rival, response:	and a teacher that he totally admires!
context: I'm not following in the slightest. Akane-chan?\Right!\Akane-chan's like, the main character's retainer,\but he really likes the main character, his lord.\It's like true love!\But there's also a childhood friend he can't get along with,\who's younger and acts as a big rival,\and a teacher that he totally admires! response:	But right now, Akane-chan's definitely in the lead!
context: Right!\Akane-chan's like, the main character's retainer,\but he really likes the main character, his lord.\It's like true love!\But there's also a childhood friend he can't get along with,\who's younger and acts as a big rival,\and a teacher that he totally admires!\But right now, Akane-chan's definitely in the lead! response:	The moment I saw it, my entire soul trembled!
context: Akane-chan's like, the main character's retainer,\but he really likes the main character, his lord.\It's like true love!\But there's also a childhood friend he can't get along with,\who's younger and acts as a big rival,\and a teacher that he totally admires!\But right now, Akane-chan's definitely in the lead!\The moment I saw it, my entire soul trembled! response:	Mu
context: but he really likes the main character, his lord.\It's like true love!\But there's also a childhood friend he can't get along with,\who's younger and acts as a big rival,\and a teacher that he totally admires!\But right now, Akane-chan's definitely in the lead!\The moment I saw it, my entire soul trembled!\Mu response:	Shi
context: It's like true love!\But there's also a childhood friend he can't get along with,\who's younger and acts as a big rival,\and a teacher that he totally admires!\But right now, Akane-chan's definitely in the lead!\The moment I saw it, my entire soul trembled!\Mu\Shi response:	Iga
context: But there's also a childhood friend he can't get along with,\who's younger and acts as a big rival,\and a teacher that he totally admires!\But right now, Akane-chan's definitely in the lead!\The moment I saw it, my entire soul trembled!\Mu\Shi\Iga response:	Nana
context: who's younger and acts as a big rival,\and a teacher that he totally admires!\But right now, Akane-chan's definitely in the lead!\The moment I saw it, my entire soul trembled!\Mu\Shi\Iga\Nana response:	I-Is it that good?
context: and a teacher that he totally admires!\But right now, Akane-chan's definitely in the lead!\The moment I saw it, my entire soul trembled!\Mu\Shi\Iga\Nana\I-Is it that good? response:	In the lead? What about Shion?
context: But right now, Akane-chan's definitely in the lead!\The moment I saw it, my entire soul trembled!\Mu\Shi\Iga\Nana\I-Is it that good?\In the lead? What about Shion? response:	Shion's in the hall of fame. Always room for more.
context: The moment I saw it, my entire soul trembled!\Mu\Shi\Iga\Nana\I-Is it that good?\In the lead? What about Shion?\Shion's in the hall of fame. Always room for more. response:	Well, isn't that convenient?
context: Mu\Shi\Iga\Nana\I-Is it that good?\In the lead? What about Shion?\Shion's in the hall of fame. Always room for more.\Well, isn't that convenient? response:	Anyway, Akane-chan just loves his lord! Isn't it adorable?
context: Shi\Iga\Nana\I-Is it that good?\In the lead? What about Shion?\Shion's in the hall of fame. Always room for more.\Well, isn't that convenient?\Anyway, Akane-chan just loves his lord! Isn't it adorable? response:	I can't get enough of how much he calls for his lord!
context: Iga\Nana\I-Is it that good?\In the lead? What about Shion?\Shion's in the hall of fame. Always room for more.\Well, isn't that convenient?\Anyway, Akane-chan just loves his lord! Isn't it adorable?\I can't get enough of how much he calls for his lord! response:	Uh, so what exactly is this Kachu Rabu part?
context: Nana\I-Is it that good?\In the lead? What about Shion?\Shion's in the hall of fame. Always room for more.\Well, isn't that convenient?\Anyway, Akane-chan just loves his lord! Isn't it adorable?\I can't get enough of how much he calls for his lord!\Uh, so what exactly is this Kachu Rabu part? response:	Curious?! You are, aren't you?!
context: I-Is it that good?\In the lead? What about Shion?\Shion's in the hall of fame. Always room for more.\Well, isn't that convenient?\Anyway, Akane-chan just loves his lord! Isn't it adorable?\I can't get enough of how much he calls for his lord!\Uh, so what exactly is this Kachu Rabu part?\Curious?! You are, aren't you?! response:	First off, watch this trailer!
context: In the lead? What about Shion?\Shion's in the hall of fame. Always room for more.\Well, isn't that convenient?\Anyway, Akane-chan just loves his lord! Isn't it adorable?\I can't get enough of how much he calls for his lord!\Uh, so what exactly is this Kachu Rabu part?\Curious?! You are, aren't you?!\First off, watch this trailer! response:	During the Sengoku period...
context: Shion's in the hall of fame. Always room for more.\Well, isn't that convenient?\Anyway, Akane-chan just loves his lord! Isn't it adorable?\I can't get enough of how much he calls for his lord!\Uh, so what exactly is this Kachu Rabu part?\Curious?! You are, aren't you?!\First off, watch this trailer!\During the Sengoku period... response:	My Lord! My Lord!
context: Well, isn't that convenient?\Anyway, Akane-chan just loves his lord! Isn't it adorable?\I can't get enough of how much he calls for his lord!\Uh, so what exactly is this Kachu Rabu part?\Curious?! You are, aren't you?!\First off, watch this trailer!\During the Sengoku period...\My Lord! My Lord! response:	Pardon me!
context: Anyway, Akane-chan just loves his lord! Isn't it adorable?\I can't get enough of how much he calls for his lord!\Uh, so what exactly is this Kachu Rabu part?\Curious?! You are, aren't you?!\First off, watch this trailer!\During the Sengoku period...\My Lord! My Lord!\Pardon me! response:	Word from the northern mountains: The enemy has attacked!
context: I can't get enough of how much he calls for his lord!\Uh, so what exactly is this Kachu Rabu part?\Curious?! You are, aren't you?!\First off, watch this trailer!\During the Sengoku period...\My Lord! My Lord!\Pardon me!\Word from the northern mountains: The enemy has attacked! response:	What?!
context: Uh, so what exactly is this Kachu Rabu part?\Curious?! You are, aren't you?!\First off, watch this trailer!\During the Sengoku period...\My Lord! My Lord!\Pardon me!\Word from the northern mountains: The enemy has attacked!\What?! response:	Akane, we depart at once!
context: Curious?! You are, aren't you?!\First off, watch this trailer!\During the Sengoku period...\My Lord! My Lord!\Pardon me!\Word from the northern mountains: The enemy has attacked!\What?!\Akane, we depart at once! response:	Yes, my lord!
context: First off, watch this trailer!\During the Sengoku period...\My Lord! My Lord!\Pardon me!\Word from the northern mountains: The enemy has attacked!\What?!\Akane, we depart at once!\Yes, my lord! response:	There's bowmen waiting to ambush you outside!
context: During the Sengoku period...\My Lord! My Lord!\Pardon me!\Word from the northern mountains: The enemy has attacked!\What?!\Akane, we depart at once!\Yes, my lord!\There's bowmen waiting to ambush you outside! response:	What did you say?!
context: My Lord! My Lord!\Pardon me!\Word from the northern mountains: The enemy has attacked!\What?!\Akane, we depart at once!\Yes, my lord!\There's bowmen waiting to ambush you outside!\What did you say?! response:	My lord! Come inside!
context: Pardon me!\Word from the northern mountains: The enemy has attacked!\What?!\Akane, we depart at once!\Yes, my lord!\There's bowmen waiting to ambush you outside!\What did you say?!\My lord! Come inside! response:	My lord!
context: Word from the northern mountains: The enemy has attacked!\What?!\Akane, we depart at once!\Yes, my lord!\There's bowmen waiting to ambush you outside!\What did you say?!\My lord! Come inside!\My lord! response:	To battle!
context: What?!\Akane, we depart at once!\Yes, my lord!\There's bowmen waiting to ambush you outside!\What did you say?!\My lord! Come inside!\My lord!\To battle! response:	Let's go, Akane.
context: Akane, we depart at once!\Yes, my lord!\There's bowmen waiting to ambush you outside!\What did you say?!\My lord! Come inside!\My lord!\To battle!\Let's go, Akane. response:	Yes, my lord!
context: Yes, my lord!\There's bowmen waiting to ambush you outside!\What did you say?!\My lord! Come inside!\My lord!\To battle!\Let's go, Akane.\Yes, my lord! response:	I will protect you.
context: There's bowmen waiting to ambush you outside!\What did you say?!\My lord! Come inside!\My lord!\To battle!\Let's go, Akane.\Yes, my lord!\I will protect you. response:	With my entire body and soul. Even if it costs me my life!
context: What did you say?!\My lord! Come inside!\My lord!\To battle!\Let's go, Akane.\Yes, my lord!\I will protect you.\With my entire body and soul. Even if it costs me my life! response:	It's godly! Godly! Godly!
context: My lord! Come inside!\My lord!\To battle!\Let's go, Akane.\Yes, my lord!\I will protect you.\With my entire body and soul. Even if it costs me my life!\It's godly! Godly! Godly! response:	It's so amazing, it hurts!
context: My lord!\To battle!\Let's go, Akane.\Yes, my lord!\I will protect you.\With my entire body and soul. Even if it costs me my life!\It's godly! Godly! Godly!\It's so amazing, it hurts! response:	Akane-chan, priceless!
context: To battle!\Let's go, Akane.\Yes, my lord!\I will protect you.\With my entire body and soul. Even if it costs me my life!\It's godly! Godly! Godly!\It's so amazing, it hurts!\Akane-chan, priceless! response:	Uh, Akane is the redhead, right?
context: Let's go, Akane.\Yes, my lord!\I will protect you.\With my entire body and soul. Even if it costs me my life!\It's godly! Godly! Godly!\It's so amazing, it hurts!\Akane-chan, priceless!\Uh, Akane is the redhead, right? response:	Yup!
context: Yes, my lord!\I will protect you.\With my entire body and soul. Even if it costs me my life!\It's godly! Godly! Godly!\It's so amazing, it hurts!\Akane-chan, priceless!\Uh, Akane is the redhead, right?\Yup! response:	Where did he go halfway through?
context: I will protect you.\With my entire body and soul. Even if it costs me my life!\It's godly! Godly! Godly!\It's so amazing, it hurts!\Akane-chan, priceless!\Uh, Akane is the redhead, right?\Yup!\Where did he go halfway through? response:	He disappeared after he hugged that guy.
context: With my entire body and soul. Even if it costs me my life!\It's godly! Godly! Godly!\It's so amazing, it hurts!\Akane-chan, priceless!\Uh, Akane is the redhead, right?\Yup!\Where did he go halfway through?\He disappeared after he hugged that guy. response:	Well, katchu means armor and helmet.
context: It's godly! Godly! Godly!\It's so amazing, it hurts!\Akane-chan, priceless!\Uh, Akane is the redhead, right?\Yup!\Where did he go halfway through?\He disappeared after he hugged that guy.\Well, katchu means armor and helmet. response:	Huh?
context: It's so amazing, it hurts!\Akane-chan, priceless!\Uh, Akane is the redhead, right?\Yup!\Where did he go halfway through?\He disappeared after he hugged that guy.\Well, katchu means armor and helmet.\Huh? response:	Akane-chan is his lord's exclusive armor and helmet,
context: Akane-chan, priceless!\Uh, Akane is the redhead, right?\Yup!\Where did he go halfway through?\He disappeared after he hugged that guy.\Well, katchu means armor and helmet.\Huh?\Akane-chan is his lord's exclusive armor and helmet, response:	so when they enter battle, he transforms.
context: Uh, Akane is the redhead, right?\Yup!\Where did he go halfway through?\He disappeared after he hugged that guy.\Well, katchu means armor and helmet.\Huh?\Akane-chan is his lord's exclusive armor and helmet,\so when they enter battle, he transforms. response:	Into what?
context: Yup!\Where did he go halfway through?\He disappeared after he hugged that guy.\Well, katchu means armor and helmet.\Huh?\Akane-chan is his lord's exclusive armor and helmet,\so when they enter battle, he transforms.\Into what? response:	His armor and helmet!
context: Where did he go halfway through?\He disappeared after he hugged that guy.\Well, katchu means armor and helmet.\Huh?\Akane-chan is his lord's exclusive armor and helmet,\so when they enter battle, he transforms.\Into what?\His armor and helmet! response:	Huh? This is in the Sengoku Period, right?
context: He disappeared after he hugged that guy.\Well, katchu means armor and helmet.\Huh?\Akane-chan is his lord's exclusive armor and helmet,\so when they enter battle, he transforms.\Into what?\His armor and helmet!\Huh? This is in the Sengoku Period, right? response:	Why do they transform? Isn't that weird?
context: Well, katchu means armor and helmet.\Huh?\Akane-chan is his lord's exclusive armor and helmet,\so when they enter battle, he transforms.\Into what?\His armor and helmet!\Huh? This is in the Sengoku Period, right?\Why do they transform? Isn't that weird? response:	So, he's an anthropomorphized helmet and armor, right?
context: Huh?\Akane-chan is his lord's exclusive armor and helmet,\so when they enter battle, he transforms.\Into what?\His armor and helmet!\Huh? This is in the Sengoku Period, right?\Why do they transform? Isn't that weird?\So, he's an anthropomorphized helmet and armor, right? response:	You got it!
context: Akane-chan is his lord's exclusive armor and helmet,\so when they enter battle, he transforms.\Into what?\His armor and helmet!\Huh? This is in the Sengoku Period, right?\Why do they transform? Isn't that weird?\So, he's an anthropomorphized helmet and armor, right?\You got it! response:	Anthropomorphized?
context: so when they enter battle, he transforms.\Into what?\His armor and helmet!\Huh? This is in the Sengoku Period, right?\Why do they transform? Isn't that weird?\So, he's an anthropomorphized helmet and armor, right?\You got it!\Anthropomorphized? response:	It means to make various objects into humans.
context: Into what?\His armor and helmet!\Huh? This is in the Sengoku Period, right?\Why do they transform? Isn't that weird?\So, he's an anthropomorphized helmet and armor, right?\You got it!\Anthropomorphized?\It means to make various objects into humans. response:	Like countries, prefectures, battleships, household appliances, or trains.
context: His armor and helmet!\Huh? This is in the Sengoku Period, right?\Why do they transform? Isn't that weird?\So, he's an anthropomorphized helmet and armor, right?\You got it!\Anthropomorphized?\It means to make various objects into humans.\Like countries, prefectures, battleships, household appliances, or trains. response:	There's lots of them!
context: Huh? This is in the Sengoku Period, right?\Why do they transform? Isn't that weird?\So, he's an anthropomorphized helmet and armor, right?\You got it!\Anthropomorphized?\It means to make various objects into humans.\Like countries, prefectures, battleships, household appliances, or trains.\There's lots of them! response:	Is there something it hasn't been done to?
context: Why do they transform? Isn't that weird?\So, he's an anthropomorphized helmet and armor, right?\You got it!\Anthropomorphized?\It means to make various objects into humans.\Like countries, prefectures, battleships, household appliances, or trains.\There's lots of them!\Is there something it hasn't been done to? response:	What's special about Kachu Rabu is that the armor and the lord are a set, right?
context: So, he's an anthropomorphized helmet and armor, right?\You got it!\Anthropomorphized?\It means to make various objects into humans.\Like countries, prefectures, battleships, household appliances, or trains.\There's lots of them!\Is there something it hasn't been done to?\What's special about Kachu Rabu is that the armor and the lord are a set, right? response:	The lord's personality with the special addition of the armor!
context: You got it!\Anthropomorphized?\It means to make various objects into humans.\Like countries, prefectures, battleships, household appliances, or trains.\There's lots of them!\Is there something it hasn't been done to?\What's special about Kachu Rabu is that the armor and the lord are a set, right?\The lord's personality with the special addition of the armor! response:	The lord-retainer bond is priceless!
context: Anthropomorphized?\It means to make various objects into humans.\Like countries, prefectures, battleships, household appliances, or trains.\There's lots of them!\Is there something it hasn't been done to?\What's special about Kachu Rabu is that the armor and the lord are a set, right?\The lord's personality with the special addition of the armor!\The lord-retainer bond is priceless! response:	It is! No one can get between them!
context: It means to make various objects into humans.\Like countries, prefectures, battleships, household appliances, or trains.\There's lots of them!\Is there something it hasn't been done to?\What's special about Kachu Rabu is that the armor and the lord are a set, right?\The lord's personality with the special addition of the armor!\The lord-retainer bond is priceless!\It is! No one can get between them! response:	Isn't it just great?
context: Like countries, prefectures, battleships, household appliances, or trains.\There's lots of them!\Is there something it hasn't been done to?\What's special about Kachu Rabu is that the armor and the lord are a set, right?\The lord's personality with the special addition of the armor!\The lord-retainer bond is priceless!\It is! No one can get between them!\Isn't it just great? response:	Akane x Lord.
context: There's lots of them!\Is there something it hasn't been done to?\What's special about Kachu Rabu is that the armor and the lord are a set, right?\The lord's personality with the special addition of the armor!\The lord-retainer bond is priceless!\It is! No one can get between them!\Isn't it just great?\Akane x Lord. response:	Lord x Akane.
context: Is there something it hasn't been done to?\What's special about Kachu Rabu is that the armor and the lord are a set, right?\The lord's personality with the special addition of the armor!\The lord-retainer bond is priceless!\It is! No one can get between them!\Isn't it just great?\Akane x Lord.\Lord x Akane. response:	Huh? What are you saying, Senpai?
context: What's special about Kachu Rabu is that the armor and the lord are a set, right?\The lord's personality with the special addition of the armor!\The lord-retainer bond is priceless!\It is! No one can get between them!\Isn't it just great?\Akane x Lord.\Lord x Akane.\Huh? What are you saying, Senpai? response:	If you paid attention, you'd see it's Akane x Lord, no question.
context: The lord's personality with the special addition of the armor!\The lord-retainer bond is priceless!\It is! No one can get between them!\Isn't it just great?\Akane x Lord.\Lord x Akane.\Huh? What are you saying, Senpai?\If you paid attention, you'd see it's Akane x Lord, no question. response:	Oh, there you go again.
context: The lord-retainer bond is priceless!\It is! No one can get between them!\Isn't it just great?\Akane x Lord.\Lord x Akane.\Huh? What are you saying, Senpai?\If you paid attention, you'd see it's Akane x Lord, no question.\Oh, there you go again. response:	How about you, Shima-chan? Did you even read the opening and ending themes' lyrics?
context: It is! No one can get between them!\Isn't it just great?\Akane x Lord.\Lord x Akane.\Huh? What are you saying, Senpai?\If you paid attention, you'd see it's Akane x Lord, no question.\Oh, there you go again.\How about you, Shima-chan? Did you even read the opening and ending themes' lyrics? response:	However you interpret them, it's Lord x Akane.
context: Isn't it just great?\Akane x Lord.\Lord x Akane.\Huh? What are you saying, Senpai?\If you paid attention, you'd see it's Akane x Lord, no question.\Oh, there you go again.\How about you, Shima-chan? Did you even read the opening and ending themes' lyrics?\However you interpret them, it's Lord x Akane. response:	No, no. There's no way.
context: Akane x Lord.\Lord x Akane.\Huh? What are you saying, Senpai?\If you paid attention, you'd see it's Akane x Lord, no question.\Oh, there you go again.\How about you, Shima-chan? Did you even read the opening and ending themes' lyrics?\However you interpret them, it's Lord x Akane.\No, no. There's no way. response:	Followers service their masters!
context: Lord x Akane.\Huh? What are you saying, Senpai?\If you paid attention, you'd see it's Akane x Lord, no question.\Oh, there you go again.\How about you, Shima-chan? Did you even read the opening and ending themes' lyrics?\However you interpret them, it's Lord x Akane.\No, no. There's no way.\Followers service their masters! response:	That's true beauty!
context: Huh? What are you saying, Senpai?\If you paid attention, you'd see it's Akane x Lord, no question.\Oh, there you go again.\How about you, Shima-chan? Did you even read the opening and ending themes' lyrics?\However you interpret them, it's Lord x Akane.\No, no. There's no way.\Followers service their masters!\That's true beauty! response:	No, no, there's no way!
context: If you paid attention, you'd see it's Akane x Lord, no question.\Oh, there you go again.\How about you, Shima-chan? Did you even read the opening and ending themes' lyrics?\However you interpret them, it's Lord x Akane.\No, no. There's no way.\Followers service their masters!\That's true beauty!\No, no, there's no way! response:	It's lord-retainer. A follower obviously entrusts all to his lord!
context: Oh, there you go again.\How about you, Shima-chan? Did you even read the opening and ending themes' lyrics?\However you interpret them, it's Lord x Akane.\No, no. There's no way.\Followers service their masters!\That's true beauty!\No, no, there's no way!\It's lord-retainer. A follower obviously entrusts all to his lord! response:	And it's because of that that he can devote his body and soul to him!
context: How about you, Shima-chan? Did you even read the opening and ending themes' lyrics?\However you interpret them, it's Lord x Akane.\No, no. There's no way.\Followers service their masters!\That's true beauty!\No, no, there's no way!\It's lord-retainer. A follower obviously entrusts all to his lord!\And it's because of that that he can devote his body and soul to him! response:	Embracing all of his lord is why he can lay himself bare.
context: However you interpret them, it's Lord x Akane.\No, no. There's no way.\Followers service their masters!\That's true beauty!\No, no, there's no way!\It's lord-retainer. A follower obviously entrusts all to his lord!\And it's because of that that he can devote his body and soul to him!\Embracing all of his lord is why he can lay himself bare. response:	It's because he can lay himself bare that he can open his legs!
context: No, no. There's no way.\Followers service their masters!\That's true beauty!\No, no, there's no way!\It's lord-retainer. A follower obviously entrusts all to his lord!\And it's because of that that he can devote his body and soul to him!\Embracing all of his lord is why he can lay himself bare.\It's because he can lay himself bare that he can open his legs! response:	As this scene is unsightly, please stand by.
context: Followers service their masters!\That's true beauty!\No, no, there's no way!\It's lord-retainer. A follower obviously entrusts all to his lord!\And it's because of that that he can devote his body and soul to him!\Embracing all of his lord is why he can lay himself bare.\It's because he can lay himself bare that he can open his legs!\As this scene is unsightly, please stand by. response:	He can accept all of his lord's hardships, both emotionally and physically!
context: That's true beauty!\No, no, there's no way!\It's lord-retainer. A follower obviously entrusts all to his lord!\And it's because of that that he can devote his body and soul to him!\Embracing all of his lord is why he can lay himself bare.\It's because he can lay himself bare that he can open his legs!\As this scene is unsightly, please stand by.\He can accept all of his lord's hardships, both emotionally and physically! response:	Speaking of physical, the lord's body is definitely that of a bottom!
context: No, no, there's no way!\It's lord-retainer. A follower obviously entrusts all to his lord!\And it's because of that that he can devote his body and soul to him!\Embracing all of his lord is why he can lay himself bare.\It's because he can lay himself bare that he can open his legs!\As this scene is unsightly, please stand by.\He can accept all of his lord's hardships, both emotionally and physically!\Speaking of physical, the lord's body is definitely that of a bottom! response:	Were you even watching? Akane-chan has a delicate build!
context: It's lord-retainer. A follower obviously entrusts all to his lord!\And it's because of that that he can devote his body and soul to him!\Embracing all of his lord is why he can lay himself bare.\It's because he can lay himself bare that he can open his legs!\As this scene is unsightly, please stand by.\He can accept all of his lord's hardships, both emotionally and physically!\Speaking of physical, the lord's body is definitely that of a bottom!\Were you even watching? Akane-chan has a delicate build! response:	H-Hold on, you two, calm down.
context: And it's because of that that he can devote his body and soul to him!\Embracing all of his lord is why he can lay himself bare.\It's because he can lay himself bare that he can open his legs!\As this scene is unsightly, please stand by.\He can accept all of his lord's hardships, both emotionally and physically!\Speaking of physical, the lord's body is definitely that of a bottom!\Were you even watching? Akane-chan has a delicate build!\H-Hold on, you two, calm down. response:	As I was saying...
context: Embracing all of his lord is why he can lay himself bare.\It's because he can lay himself bare that he can open his legs!\As this scene is unsightly, please stand by.\He can accept all of his lord's hardships, both emotionally and physically!\Speaking of physical, the lord's body is definitely that of a bottom!\Were you even watching? Akane-chan has a delicate build!\H-Hold on, you two, calm down.\As I was saying... response:	This Lord x Akane...
context: It's because he can lay himself bare that he can open his legs!\As this scene is unsightly, please stand by.\He can accept all of his lord's hardships, both emotionally and physically!\Speaking of physical, the lord's body is definitely that of a bottom!\Were you even watching? Akane-chan has a delicate build!\H-Hold on, you two, calm down.\As I was saying...\This Lord x Akane... response:	This Akane x Lord...
context: As this scene is unsightly, please stand by.\He can accept all of his lord's hardships, both emotionally and physically!\Speaking of physical, the lord's body is definitely that of a bottom!\Were you even watching? Akane-chan has a delicate build!\H-Hold on, you two, calm down.\As I was saying...\This Lord x Akane...\This Akane x Lord... response:	What just happened?
context: He can accept all of his lord's hardships, both emotionally and physically!\Speaking of physical, the lord's body is definitely that of a bottom!\Were you even watching? Akane-chan has a delicate build!\H-Hold on, you two, calm down.\As I was saying...\This Lord x Akane...\This Akane x Lord...\What just happened? response:	I don't know.
