context: What on earth! response:	Look at that!
context: As you can see, loud explosions are going off behind me!\The damage left by the monster is at an unprecedented scale.\HUGE EXPLOSION IN CITY A The Heroes Association is currently analyzing the threat level-\Guess I'll go.\JUSTICE ENFORCEMENT\Daddy! Mommy!\And who do we have here?\Just a guy who's a hero for fun. response:	What kind...
context: The damage left by the monster is at an unprecedented scale.\HUGE EXPLOSION IN CITY A The Heroes Association is currently analyzing the threat level-\Guess I'll go.\JUSTICE ENFORCEMENT\Daddy! Mommy!\And who do we have here?\Just a guy who's a hero for fun.\What kind... response:	of half-assed backstory is that?
context: HUGE EXPLOSION IN CITY A The Heroes Association is currently analyzing the threat level-\Guess I'll go.\JUSTICE ENFORCEMENT\Daddy! Mommy!\And who do we have here?\Just a guy who's a hero for fun.\What kind...\of half-assed backstory is that? response:	I was formed from the constant stream of pollution
context: Guess I'll go.\JUSTICE ENFORCEMENT\Daddy! Mommy!\And who do we have here?\Just a guy who's a hero for fun.\What kind...\of half-assed backstory is that?\I was formed from the constant stream of pollution response:	with which you humans have suffused the earth.
context: JUSTICE ENFORCEMENT\Daddy! Mommy!\And who do we have here?\Just a guy who's a hero for fun.\What kind...\of half-assed backstory is that?\I was formed from the constant stream of pollution\with which you humans have suffused the earth. response:	I am Vaccine Man!
context: Daddy! Mommy!\And who do we have here?\Just a guy who's a hero for fun.\What kind...\of half-assed backstory is that?\I was formed from the constant stream of pollution\with which you humans have suffused the earth.\I am Vaccine Man! response:	The Earth is a single living organism.
context: And who do we have here?\Just a guy who's a hero for fun.\What kind...\of half-assed backstory is that?\I was formed from the constant stream of pollution\with which you humans have suffused the earth.\I am Vaccine Man!\The Earth is a single living organism. response:	You humans are nothing but a disease-causing bacteria
context: Just a guy who's a hero for fun.\What kind...\of half-assed backstory is that?\I was formed from the constant stream of pollution\with which you humans have suffused the earth.\I am Vaccine Man!\The Earth is a single living organism.\You humans are nothing but a disease-causing bacteria response:	eating away at her lifeforce.
context: What kind...\of half-assed backstory is that?\I was formed from the constant stream of pollution\with which you humans have suffused the earth.\I am Vaccine Man!\The Earth is a single living organism.\You humans are nothing but a disease-causing bacteria\eating away at her lifeforce. response:	In order to obliterate humans and their evil civilization,
context: of half-assed backstory is that?\I was formed from the constant stream of pollution\with which you humans have suffused the earth.\I am Vaccine Man!\The Earth is a single living organism.\You humans are nothing but a disease-causing bacteria\eating away at her lifeforce.\In order to obliterate humans and their evil civilization, response:	the Earth has given birth to me!
context: I was formed from the constant stream of pollution\with which you humans have suffused the earth.\I am Vaccine Man!\The Earth is a single living organism.\You humans are nothing but a disease-causing bacteria\eating away at her lifeforce.\In order to obliterate humans and their evil civilization,\the Earth has given birth to me! response:	You say you do this for fun? For fun?
context: with which you humans have suffused the earth.\I am Vaccine Man!\The Earth is a single living organism.\You humans are nothing but a disease-causing bacteria\eating away at her lifeforce.\In order to obliterate humans and their evil civilization,\the Earth has given birth to me!\You say you do this for fun? For fun? response:	How dare you confront me, Mother Earth's apostle,
context: I am Vaccine Man!\The Earth is a single living organism.\You humans are nothing but a disease-causing bacteria\eating away at her lifeforce.\In order to obliterate humans and their evil civilization,\the Earth has given birth to me!\You say you do this for fun? For fun?\How dare you confront me, Mother Earth's apostle, response:	for that inane reason?!
context: The Earth is a single living organism.\You humans are nothing but a disease-causing bacteria\eating away at her lifeforce.\In order to obliterate humans and their evil civilization,\the Earth has given birth to me!\You say you do this for fun? For fun?\How dare you confront me, Mother Earth's apostle,\for that inane reason?! response:	Yet, what more could be expected from a hu-
context: You humans are nothing but a disease-causing bacteria\eating away at her lifeforce.\In order to obliterate humans and their evil civilization,\the Earth has given birth to me!\You say you do this for fun? For fun?\How dare you confront me, Mother Earth's apostle,\for that inane reason?!\Yet, what more could be expected from a hu- response:	Not again... All it took was one punch!
context: eating away at her lifeforce.\In order to obliterate humans and their evil civilization,\the Earth has given birth to me!\You say you do this for fun? For fun?\How dare you confront me, Mother Earth's apostle,\for that inane reason?!\Yet, what more could be expected from a hu-\Not again... All it took was one punch! response:	DAMN IT!
context: In order to obliterate humans and their evil civilization,\the Earth has given birth to me!\You say you do this for fun? For fun?\How dare you confront me, Mother Earth's apostle,\for that inane reason?!\Yet, what more could be expected from a hu-\Not again... All it took was one punch!\DAMN IT! response:	THREE YEARS EARLIER
context: the Earth has given birth to me!\You say you do this for fun? For fun?\How dare you confront me, Mother Earth's apostle,\for that inane reason?!\Yet, what more could be expected from a hu-\Not again... All it took was one punch!\DAMN IT!\THREE YEARS EARLIER response:	- A monster! - Run!
context: You say you do this for fun? For fun?\How dare you confront me, Mother Earth's apostle,\for that inane reason?!\Yet, what more could be expected from a hu-\Not again... All it took was one punch!\DAMN IT!\THREE YEARS EARLIER\- A monster! - Run! response:	Huh?
context: How dare you confront me, Mother Earth's apostle,\for that inane reason?!\Yet, what more could be expected from a hu-\Not again... All it took was one punch!\DAMN IT!\THREE YEARS EARLIER\- A monster! - Run!\Huh? response:	You sure you don't want to run away?
context: for that inane reason?!\Yet, what more could be expected from a hu-\Not again... All it took was one punch!\DAMN IT!\THREE YEARS EARLIER\- A monster! - Run!\Huh?\You sure you don't want to run away? response:	I bet you're a newly employed businessman already tired of work.
context: Yet, what more could be expected from a hu-\Not again... All it took was one punch!\DAMN IT!\THREE YEARS EARLIER\- A monster! - Run!\Huh?\You sure you don't want to run away?\I bet you're a newly employed businessman already tired of work. response:	I ate too much crab and transformed into this, Crablante!
context: Not again... All it took was one punch!\DAMN IT!\THREE YEARS EARLIER\- A monster! - Run!\Huh?\You sure you don't want to run away?\I bet you're a newly employed businessman already tired of work.\I ate too much crab and transformed into this, Crablante! response:	Why aren't you running?
context: DAMN IT!\THREE YEARS EARLIER\- A monster! - Run!\Huh?\You sure you don't want to run away?\I bet you're a newly employed businessman already tired of work.\I ate too much crab and transformed into this, Crablante!\Why aren't you running? response:	You've got a death wish.
context: THREE YEARS EARLIER\- A monster! - Run!\Huh?\You sure you don't want to run away?\I bet you're a newly employed businessman already tired of work.\I ate too much crab and transformed into this, Crablante!\Why aren't you running?\You've got a death wish. response:	Is that it?
context: - A monster! - Run!\Huh?\You sure you don't want to run away?\I bet you're a newly employed businessman already tired of work.\I ate too much crab and transformed into this, Crablante!\Why aren't you running?\You've got a death wish.\Is that it? response:	Well, not quite.
context: Huh?\You sure you don't want to run away?\I bet you're a newly employed businessman already tired of work.\I ate too much crab and transformed into this, Crablante!\Why aren't you running?\You've got a death wish.\Is that it?\Well, not quite. response:	I'm no businessman. I'm unemployed. Right now, I'm looking for a job.
context: You sure you don't want to run away?\I bet you're a newly employed businessman already tired of work.\I ate too much crab and transformed into this, Crablante!\Why aren't you running?\You've got a death wish.\Is that it?\Well, not quite.\I'm no businessman. I'm unemployed. Right now, I'm looking for a job. response:	I had another interview today and got rejected royally.
context: I bet you're a newly employed businessman already tired of work.\I ate too much crab and transformed into this, Crablante!\Why aren't you running?\You've got a death wish.\Is that it?\Well, not quite.\I'm no businessman. I'm unemployed. Right now, I'm looking for a job.\I had another interview today and got rejected royally. response:	I couldn't care less about anything.
context: I ate too much crab and transformed into this, Crablante!\Why aren't you running?\You've got a death wish.\Is that it?\Well, not quite.\I'm no businessman. I'm unemployed. Right now, I'm looking for a job.\I had another interview today and got rejected royally.\I couldn't care less about anything. response:	So I'm in no mood to run
context: Why aren't you running?\You've got a death wish.\Is that it?\Well, not quite.\I'm no businessman. I'm unemployed. Right now, I'm looking for a job.\I had another interview today and got rejected royally.\I couldn't care less about anything.\So I'm in no mood to run response:	just because the mighty Crablante has appeared.
context: You've got a death wish.\Is that it?\Well, not quite.\I'm no businessman. I'm unemployed. Right now, I'm looking for a job.\I had another interview today and got rejected royally.\I couldn't care less about anything.\So I'm in no mood to run\just because the mighty Crablante has appeared. response:	So, what'll happen if I don't run?
context: Is that it?\Well, not quite.\I'm no businessman. I'm unemployed. Right now, I'm looking for a job.\I had another interview today and got rejected royally.\I couldn't care less about anything.\So I'm in no mood to run\just because the mighty Crablante has appeared.\So, what'll happen if I don't run? response:	Your eyes are lifeless, just like mine.
context: Well, not quite.\I'm no businessman. I'm unemployed. Right now, I'm looking for a job.\I had another interview today and got rejected royally.\I couldn't care less about anything.\So I'm in no mood to run\just because the mighty Crablante has appeared.\So, what'll happen if I don't run?\Your eyes are lifeless, just like mine. response:	From one set of lifeless eyes to another, I'll let you go.
context: I'm no businessman. I'm unemployed. Right now, I'm looking for a job.\I had another interview today and got rejected royally.\I couldn't care less about anything.\So I'm in no mood to run\just because the mighty Crablante has appeared.\So, what'll happen if I don't run?\Your eyes are lifeless, just like mine.\From one set of lifeless eyes to another, I'll let you go. response:	Besides, right now...
context: I had another interview today and got rejected royally.\I couldn't care less about anything.\So I'm in no mood to run\just because the mighty Crablante has appeared.\So, what'll happen if I don't run?\Your eyes are lifeless, just like mine.\From one set of lifeless eyes to another, I'll let you go.\Besides, right now... response:	I'm hunting different prey.
context: I couldn't care less about anything.\So I'm in no mood to run\just because the mighty Crablante has appeared.\So, what'll happen if I don't run?\Your eyes are lifeless, just like mine.\From one set of lifeless eyes to another, I'll let you go.\Besides, right now...\I'm hunting different prey. response:	A big-chinned brat.
context: So I'm in no mood to run\just because the mighty Crablante has appeared.\So, what'll happen if I don't run?\Your eyes are lifeless, just like mine.\From one set of lifeless eyes to another, I'll let you go.\Besides, right now...\I'm hunting different prey.\A big-chinned brat. response:	And when I find him, I'm gonna rip his arms off!
context: just because the mighty Crablante has appeared.\So, what'll happen if I don't run?\Your eyes are lifeless, just like mine.\From one set of lifeless eyes to another, I'll let you go.\Besides, right now...\I'm hunting different prey.\A big-chinned brat.\And when I find him, I'm gonna rip his arms off! response:	What're you looking at?
context: So, what'll happen if I don't run?\Your eyes are lifeless, just like mine.\From one set of lifeless eyes to another, I'll let you go.\Besides, right now...\I'm hunting different prey.\A big-chinned brat.\And when I find him, I'm gonna rip his arms off!\What're you looking at? response:	A big-chinned brat... If he's caught, he's dead!
context: Your eyes are lifeless, just like mine.\From one set of lifeless eyes to another, I'll let you go.\Besides, right now...\I'm hunting different prey.\A big-chinned brat.\And when I find him, I'm gonna rip his arms off!\What're you looking at?\A big-chinned brat... If he's caught, he's dead! response:	Hey, kid. Were you messing with a big crab monster?
context: From one set of lifeless eyes to another, I'll let you go.\Besides, right now...\I'm hunting different prey.\A big-chinned brat.\And when I find him, I'm gonna rip his arms off!\What're you looking at?\A big-chinned brat... If he's caught, he's dead!\Hey, kid. Were you messing with a big crab monster? response:	Huh?
context: Besides, right now...\I'm hunting different prey.\A big-chinned brat.\And when I find him, I'm gonna rip his arms off!\What're you looking at?\A big-chinned brat... If he's caught, he's dead!\Hey, kid. Were you messing with a big crab monster?\Huh? response:	He was asleep in the park,
context: I'm hunting different prey.\A big-chinned brat.\And when I find him, I'm gonna rip his arms off!\What're you looking at?\A big-chinned brat... If he's caught, he's dead!\Hey, kid. Were you messing with a big crab monster?\Huh?\He was asleep in the park, response:	so I drew some nipples on him with my marker.
context: A big-chinned brat.\And when I find him, I'm gonna rip his arms off!\What're you looking at?\A big-chinned brat... If he's caught, he's dead!\Hey, kid. Were you messing with a big crab monster?\Huh?\He was asleep in the park,\so I drew some nipples on him with my marker. response:	It's definitely him...
context: And when I find him, I'm gonna rip his arms off!\What're you looking at?\A big-chinned brat... If he's caught, he's dead!\Hey, kid. Were you messing with a big crab monster?\Huh?\He was asleep in the park,\so I drew some nipples on him with my marker.\It's definitely him... response:	He has no idea what he's done. What do I do? I could still help...
context: What're you looking at?\A big-chinned brat... If he's caught, he's dead!\Hey, kid. Were you messing with a big crab monster?\Huh?\He was asleep in the park,\so I drew some nipples on him with my marker.\It's definitely him...\He has no idea what he's done. What do I do? I could still help... response:	But man, this kid isn't cute at all.
context: A big-chinned brat... If he's caught, he's dead!\Hey, kid. Were you messing with a big crab monster?\Huh?\He was asleep in the park,\so I drew some nipples on him with my marker.\It's definitely him...\He has no idea what he's done. What do I do? I could still help...\But man, this kid isn't cute at all. response:	It's none of my business... I should just walk away.
context: Hey, kid. Were you messing with a big crab monster?\Huh?\He was asleep in the park,\so I drew some nipples on him with my marker.\It's definitely him...\He has no idea what he's done. What do I do? I could still help...\But man, this kid isn't cute at all.\It's none of my business... I should just walk away. response:	Right. I mean, who really cares?
context: Huh?\He was asleep in the park,\so I drew some nipples on him with my marker.\It's definitely him...\He has no idea what he's done. What do I do? I could still help...\But man, this kid isn't cute at all.\It's none of my business... I should just walk away.\Right. I mean, who really cares? response:	I found you!
context: He was asleep in the park,\so I drew some nipples on him with my marker.\It's definitely him...\He has no idea what he's done. What do I do? I could still help...\But man, this kid isn't cute at all.\It's none of my business... I should just walk away.\Right. I mean, who really cares?\I found you! response:	What the hell am I doing?
context: so I drew some nipples on him with my marker.\It's definitely him...\He has no idea what he's done. What do I do? I could still help...\But man, this kid isn't cute at all.\It's none of my business... I should just walk away.\Right. I mean, who really cares?\I found you!\What the hell am I doing? response:	Huh!
context: It's definitely him...\He has no idea what he's done. What do I do? I could still help...\But man, this kid isn't cute at all.\It's none of my business... I should just walk away.\Right. I mean, who really cares?\I found you!\What the hell am I doing?\Huh! response:	Kid, he's after you! Get outta here!
context: He has no idea what he's done. What do I do? I could still help...\But man, this kid isn't cute at all.\It's none of my business... I should just walk away.\Right. I mean, who really cares?\I found you!\What the hell am I doing?\Huh!\Kid, he's after you! Get outta here! response:	Don't worry about me. Just go!
context: But man, this kid isn't cute at all.\It's none of my business... I should just walk away.\Right. I mean, who really cares?\I found you!\What the hell am I doing?\Huh!\Kid, he's after you! Get outta here!\Don't worry about me. Just go! response:	B-But...
context: It's none of my business... I should just walk away.\Right. I mean, who really cares?\I found you!\What the hell am I doing?\Huh!\Kid, he's after you! Get outta here!\Don't worry about me. Just go!\B-But... response:	My soccer ball...
context: Right. I mean, who really cares?\I found you!\What the hell am I doing?\Huh!\Kid, he's after you! Get outta here!\Don't worry about me. Just go!\B-But...\My soccer ball... response:	Your ball?!
context: I found you!\What the hell am I doing?\Huh!\Kid, he's after you! Get outta here!\Don't worry about me. Just go!\B-But...\My soccer ball...\Your ball?! response:	Hey, what's the big idea?
context: What the hell am I doing?\Huh!\Kid, he's after you! Get outta here!\Don't worry about me. Just go!\B-But...\My soccer ball...\Your ball?!\Hey, what's the big idea? response:	Don't tell me you're gonna protect that stinkin' brat!
context: Huh!\Kid, he's after you! Get outta here!\Don't worry about me. Just go!\B-But...\My soccer ball...\Your ball?!\Hey, what's the big idea?\Don't tell me you're gonna protect that stinkin' brat! response:	Come on, you're gonna kill him over some harmless prank?
context: Kid, he's after you! Get outta here!\Don't worry about me. Just go!\B-But...\My soccer ball...\Your ball?!\Hey, what's the big idea?\Don't tell me you're gonna protect that stinkin' brat!\Come on, you're gonna kill him over some harmless prank? response:	Think about this!
context: Don't worry about me. Just go!\B-But...\My soccer ball...\Your ball?!\Hey, what's the big idea?\Don't tell me you're gonna protect that stinkin' brat!\Come on, you're gonna kill him over some harmless prank?\Think about this! response:	I've already mutilated lots of people.
context: B-But...\My soccer ball...\Your ball?!\Hey, what's the big idea?\Don't tell me you're gonna protect that stinkin' brat!\Come on, you're gonna kill him over some harmless prank?\Think about this!\I've already mutilated lots of people. response:	Whoever makes fun of the way I look pays the price.
context: My soccer ball...\Your ball?!\Hey, what's the big idea?\Don't tell me you're gonna protect that stinkin' brat!\Come on, you're gonna kill him over some harmless prank?\Think about this!\I've already mutilated lots of people.\Whoever makes fun of the way I look pays the price. response:	No exceptions.
context: Your ball?!\Hey, what's the big idea?\Don't tell me you're gonna protect that stinkin' brat!\Come on, you're gonna kill him over some harmless prank?\Think about this!\I've already mutilated lots of people.\Whoever makes fun of the way I look pays the price.\No exceptions. response:	By the way, that brat drew nipples on my body.
context: Hey, what's the big idea?\Don't tell me you're gonna protect that stinkin' brat!\Come on, you're gonna kill him over some harmless prank?\Think about this!\I've already mutilated lots of people.\Whoever makes fun of the way I look pays the price.\No exceptions.\By the way, that brat drew nipples on my body. response:	With a permanent marker!
context: Don't tell me you're gonna protect that stinkin' brat!\Come on, you're gonna kill him over some harmless prank?\Think about this!\I've already mutilated lots of people.\Whoever makes fun of the way I look pays the price.\No exceptions.\By the way, that brat drew nipples on my body.\With a permanent marker! response:	Look at these claws! I can't even use a towel to wipe it off!
context: Come on, you're gonna kill him over some harmless prank?\Think about this!\I've already mutilated lots of people.\Whoever makes fun of the way I look pays the price.\No exceptions.\By the way, that brat drew nipples on my body.\With a permanent marker!\Look at these claws! I can't even use a towel to wipe it off! response:	Get in my way, and I'll make sure you never go job hunting again!
context: Think about this!\I've already mutilated lots of people.\Whoever makes fun of the way I look pays the price.\No exceptions.\By the way, that brat drew nipples on my body.\With a permanent marker!\Look at these claws! I can't even use a towel to wipe it off!\Get in my way, and I'll make sure you never go job hunting again! response:	It just came to me.
context: I've already mutilated lots of people.\Whoever makes fun of the way I look pays the price.\No exceptions.\By the way, that brat drew nipples on my body.\With a permanent marker!\Look at these claws! I can't even use a towel to wipe it off!\Get in my way, and I'll make sure you never go job hunting again!\It just came to me. response:	You look exactly like a villain from this anime I used to watch!
context: Whoever makes fun of the way I look pays the price.\No exceptions.\By the way, that brat drew nipples on my body.\With a permanent marker!\Look at these claws! I can't even use a towel to wipe it off!\Get in my way, and I'll make sure you never go job hunting again!\It just came to me.\You look exactly like a villain from this anime I used to watch! response:	Die.
context: No exceptions.\By the way, that brat drew nipples on my body.\With a permanent marker!\Look at these claws! I can't even use a towel to wipe it off!\Get in my way, and I'll make sure you never go job hunting again!\It just came to me.\You look exactly like a villain from this anime I used to watch!\Die. response:	Hold it right there.
context: By the way, that brat drew nipples on my body.\With a permanent marker!\Look at these claws! I can't even use a towel to wipe it off!\Get in my way, and I'll make sure you never go job hunting again!\It just came to me.\You look exactly like a villain from this anime I used to watch!\Die.\Hold it right there. response:	In this age of declining birth rates, I can't just let you kill a kid.
context: With a permanent marker!\Look at these claws! I can't even use a towel to wipe it off!\Get in my way, and I'll make sure you never go job hunting again!\It just came to me.\You look exactly like a villain from this anime I used to watch!\Die.\Hold it right there.\In this age of declining birth rates, I can't just let you kill a kid. response:	You know what?
context: Look at these claws! I can't even use a towel to wipe it off!\Get in my way, and I'll make sure you never go job hunting again!\It just came to me.\You look exactly like a villain from this anime I used to watch!\Die.\Hold it right there.\In this age of declining birth rates, I can't just let you kill a kid.\You know what? response:	When I was a little boy, I wanted to be a hero.
context: Get in my way, and I'll make sure you never go job hunting again!\It just came to me.\You look exactly like a villain from this anime I used to watch!\Die.\Hold it right there.\In this age of declining birth rates, I can't just let you kill a kid.\You know what?\When I was a little boy, I wanted to be a hero. response:	Not a businessman,
context: It just came to me.\You look exactly like a villain from this anime I used to watch!\Die.\Hold it right there.\In this age of declining birth rates, I can't just let you kill a kid.\You know what?\When I was a little boy, I wanted to be a hero.\Not a businessman, response:	but a hero who could send rotten villains like you flying
context: You look exactly like a villain from this anime I used to watch!\Die.\Hold it right there.\In this age of declining birth rates, I can't just let you kill a kid.\You know what?\When I was a little boy, I wanted to be a hero.\Not a businessman,\but a hero who could send rotten villains like you flying response:	with one punch.
context: Die.\Hold it right there.\In this age of declining birth rates, I can't just let you kill a kid.\You know what?\When I was a little boy, I wanted to be a hero.\Not a businessman,\but a hero who could send rotten villains like you flying\with one punch. response:	Screw looking for a job!
context: Hold it right there.\In this age of declining birth rates, I can't just let you kill a kid.\You know what?\When I was a little boy, I wanted to be a hero.\Not a businessman,\but a hero who could send rotten villains like you flying\with one punch.\Screw looking for a job! response:	Bring it on!
context: In this age of declining birth rates, I can't just let you kill a kid.\You know what?\When I was a little boy, I wanted to be a hero.\Not a businessman,\but a hero who could send rotten villains like you flying\with one punch.\Screw looking for a job!\Bring it on! response:	Some hero you are!
context: You know what?\When I was a little boy, I wanted to be a hero.\Not a businessman,\but a hero who could send rotten villains like you flying\with one punch.\Screw looking for a job!\Bring it on!\Some hero you are! response:	You're pathetic!
context: When I was a little boy, I wanted to be a hero.\Not a businessman,\but a hero who could send rotten villains like you flying\with one punch.\Screw looking for a job!\Bring it on!\Some hero you are!\You're pathetic! response:	You don't stand a chance against me.
context: Not a businessman,\but a hero who could send rotten villains like you flying\with one punch.\Screw looking for a job!\Bring it on!\Some hero you are!\You're pathetic!\You don't stand a chance against me. response:	Your life ends...now!
context: but a hero who could send rotten villains like you flying\with one punch.\Screw looking for a job!\Bring it on!\Some hero you are!\You're pathetic!\You don't stand a chance against me.\Your life ends...now! response:	Has it really been three years since then?
context: with one punch.\Screw looking for a job!\Bring it on!\Some hero you are!\You're pathetic!\You don't stand a chance against me.\Your life ends...now!\Has it really been three years since then? response:	After that day, I trained so hard I went bald.
context: Screw looking for a job!\Bring it on!\Some hero you are!\You're pathetic!\You don't stand a chance against me.\Your life ends...now!\Has it really been three years since then?\After that day, I trained so hard I went bald. response:	I became so powerful, no one can beat me.
context: Bring it on!\Some hero you are!\You're pathetic!\You don't stand a chance against me.\Your life ends...now!\Has it really been three years since then?\After that day, I trained so hard I went bald.\I became so powerful, no one can beat me. response:	I'm the hero I dreamed of becoming.
context: Some hero you are!\You're pathetic!\You don't stand a chance against me.\Your life ends...now!\Has it really been three years since then?\After that day, I trained so hard I went bald.\I became so powerful, no one can beat me.\I'm the hero I dreamed of becoming. response:	So what is this? What's wrong?
context: You're pathetic!\You don't stand a chance against me.\Your life ends...now!\Has it really been three years since then?\After that day, I trained so hard I went bald.\I became so powerful, no one can beat me.\I'm the hero I dreamed of becoming.\So what is this? What's wrong? response:	Why does my heart feel so empty?
context: You don't stand a chance against me.\Your life ends...now!\Has it really been three years since then?\After that day, I trained so hard I went bald.\I became so powerful, no one can beat me.\I'm the hero I dreamed of becoming.\So what is this? What's wrong?\Why does my heart feel so empty? response:	482 yen, please.
context: Your life ends...now!\Has it really been three years since then?\After that day, I trained so hard I went bald.\I became so powerful, no one can beat me.\I'm the hero I dreamed of becoming.\So what is this? What's wrong?\Why does my heart feel so empty?\482 yen, please. response:	Okay.
context: Has it really been three years since then?\After that day, I trained so hard I went bald.\I became so powerful, no one can beat me.\I'm the hero I dreamed of becoming.\So what is this? What's wrong?\Why does my heart feel so empty?\482 yen, please.\Okay. response:	Oh, hang on.
context: After that day, I trained so hard I went bald.\I became so powerful, no one can beat me.\I'm the hero I dreamed of becoming.\So what is this? What's wrong?\Why does my heart feel so empty?\482 yen, please.\Okay.\Oh, hang on. response:	I have 82 yen.
context: I became so powerful, no one can beat me.\I'm the hero I dreamed of becoming.\So what is this? What's wrong?\Why does my heart feel so empty?\482 yen, please.\Okay.\Oh, hang on.\I have 82 yen. response:	Incredible...
context: I'm the hero I dreamed of becoming.\So what is this? What's wrong?\Why does my heart feel so empty?\482 yen, please.\Okay.\Oh, hang on.\I have 82 yen.\Incredible... response:	This is incredible, little brother!
context: So what is this? What's wrong?\Why does my heart feel so empty?\482 yen, please.\Okay.\Oh, hang on.\I have 82 yen.\Incredible...\This is incredible, little brother! response:	I never thought it would work so well.
context: Why does my heart feel so empty?\482 yen, please.\Okay.\Oh, hang on.\I have 82 yen.\Incredible...\This is incredible, little brother!\I never thought it would work so well. response:	Yes, it's more than I ever imagined, big brother.
context: 482 yen, please.\Okay.\Oh, hang on.\I have 82 yen.\Incredible...\This is incredible, little brother!\I never thought it would work so well.\Yes, it's more than I ever imagined, big brother. response:	My goal was to become the strongest man in the world.
context: Okay.\Oh, hang on.\I have 82 yen.\Incredible...\This is incredible, little brother!\I never thought it would work so well.\Yes, it's more than I ever imagined, big brother.\My goal was to become the strongest man in the world. response:	The strongest man.
context: Oh, hang on.\I have 82 yen.\Incredible...\This is incredible, little brother!\I never thought it would work so well.\Yes, it's more than I ever imagined, big brother.\My goal was to become the strongest man in the world.\The strongest man. response:	That was my dream.
context: I have 82 yen.\Incredible...\This is incredible, little brother!\I never thought it would work so well.\Yes, it's more than I ever imagined, big brother.\My goal was to become the strongest man in the world.\The strongest man.\That was my dream. response:	At last, the ultimate steroid, Biceps King, is complete!
context: Incredible...\This is incredible, little brother!\I never thought it would work so well.\Yes, it's more than I ever imagined, big brother.\My goal was to become the strongest man in the world.\The strongest man.\That was my dream.\At last, the ultimate steroid, Biceps King, is complete! response:	Little brother!
context: This is incredible, little brother!\I never thought it would work so well.\Yes, it's more than I ever imagined, big brother.\My goal was to become the strongest man in the world.\The strongest man.\That was my dream.\At last, the ultimate steroid, Biceps King, is complete!\Little brother! response:	Drink this and you will obtain the power you've been seeking!
context: I never thought it would work so well.\Yes, it's more than I ever imagined, big brother.\My goal was to become the strongest man in the world.\The strongest man.\That was my dream.\At last, the ultimate steroid, Biceps King, is complete!\Little brother!\Drink this and you will obtain the power you've been seeking! response:	What? Drink that?
context: Yes, it's more than I ever imagined, big brother.\My goal was to become the strongest man in the world.\The strongest man.\That was my dream.\At last, the ultimate steroid, Biceps King, is complete!\Little brother!\Drink this and you will obtain the power you've been seeking!\What? Drink that? response:	Indeed! I added strawberry flavoring, to make it go down easier.
context: My goal was to become the strongest man in the world.\The strongest man.\That was my dream.\At last, the ultimate steroid, Biceps King, is complete!\Little brother!\Drink this and you will obtain the power you've been seeking!\What? Drink that?\Indeed! I added strawberry flavoring, to make it go down easier. response:	Brother...
