context: I can't see Yano. response:	Summer vacation is so boring.
context: He has no sense of responsibility.\Don't worry. He'll get things done when they need to be done.\That's not the real problem here...\Geez... and I was looking forward to today, too...\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne response:	Love kanashii namida nanka ja nai yo
context: Don't worry. He'll get things done when they need to be done.\That's not the real problem here...\Geez... and I was looking forward to today, too...\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo response:	Me ga kawaite hirihiri suru dake
context: That's not the real problem here...\Geez... and I was looking forward to today, too...\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake response:	Kono unmei bakari I love
context: Geez... and I was looking forward to today, too...\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love response:	Kimi dake wo atashi dake wo
context: Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo response:	Atsui omoi wo uketomete
context: Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete response:	Doko made mo tsunagattetai
context: Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai response:	Kawaikunai nakigao mo se mo aishiteru
context: Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru response:	Why can't things go well between
context: Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between response:	the liar, you, and the crybaby, me?
context: Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me? response:	You don't notice my styled hair
context: Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair response:	or my nice set of press-on nails.
context: Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails. response:	Love isn't about the unhappy tears that go along with it.
context: Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it. response:	Those tears only leave my eyes dry and hurt me.
context: Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me. response:	I love this destiny
context: Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny response:	between only you and only me.
context: Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me. response:	I want to accept your hot feelings
context: the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings response:	and be taken by you forever.
context: You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever. response:	Despite your uncute, tearful face and your shortness, I still love you.
context: or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you. response:	Episode 3...
context: Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 3... response:	In the end, Yano didn't come to the rehearsal after that, either...
context: Those tears only leave my eyes dry and hurt me.\I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 3...\In the end, Yano didn't come to the rehearsal after that, either... response:	Hello?
context: I love this destiny\between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 3...\In the end, Yano didn't come to the rehearsal after that, either...\Hello? response:	Ah, Mizu-chin?
context: between only you and only me.\I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 3...\In the end, Yano didn't come to the rehearsal after that, either...\Hello?\Ah, Mizu-chin? response:	A festival?
context: I want to accept your hot feelings\and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 3...\In the end, Yano didn't come to the rehearsal after that, either...\Hello?\Ah, Mizu-chin?\A festival? response:	Yeah, I'll totally go.
context: and be taken by you forever.\Despite your uncute, tearful face and your shortness, I still love you.\Episode 3...\In the end, Yano didn't come to the rehearsal after that, either...\Hello?\Ah, Mizu-chin?\A festival?\Yeah, I'll totally go. response:	You're gonna wear a yukata?
context: Despite your uncute, tearful face and your shortness, I still love you.\Episode 3...\In the end, Yano didn't come to the rehearsal after that, either...\Hello?\Ah, Mizu-chin?\A festival?\Yeah, I'll totally go.\You're gonna wear a yukata? response:	I don't think I will...
context: Episode 3...\In the end, Yano didn't come to the rehearsal after that, either...\Hello?\Ah, Mizu-chin?\A festival?\Yeah, I'll totally go.\You're gonna wear a yukata?\I don't think I will... response:	I also invited Yano and the others.
context: In the end, Yano didn't come to the rehearsal after that, either...\Hello?\Ah, Mizu-chin?\A festival?\Yeah, I'll totally go.\You're gonna wear a yukata?\I don't think I will...\I also invited Yano and the others. response:	He skips out on practice, but he always shows up at times like these...
context: Hello?\Ah, Mizu-chin?\A festival?\Yeah, I'll totally go.\You're gonna wear a yukata?\I don't think I will...\I also invited Yano and the others.\He skips out on practice, but he always shows up at times like these... response:	Once he shows up, I'll really let him have it.
context: Ah, Mizu-chin?\A festival?\Yeah, I'll totally go.\You're gonna wear a yukata?\I don't think I will...\I also invited Yano and the others.\He skips out on practice, but he always shows up at times like these...\Once he shows up, I'll really let him have it. response:	Mom! Get my yukata out!
context: A festival?\Yeah, I'll totally go.\You're gonna wear a yukata?\I don't think I will...\I also invited Yano and the others.\He skips out on practice, but he always shows up at times like these...\Once he shows up, I'll really let him have it.\Mom! Get my yukata out! response:	Huh? You're wearing a yukata too, Nana!
context: Yeah, I'll totally go.\You're gonna wear a yukata?\I don't think I will...\I also invited Yano and the others.\He skips out on practice, but he always shows up at times like these...\Once he shows up, I'll really let him have it.\Mom! Get my yukata out!\Huh? You're wearing a yukata too, Nana! response:	S-Sorry for being so late.
context: You're gonna wear a yukata?\I don't think I will...\I also invited Yano and the others.\He skips out on practice, but he always shows up at times like these...\Once he shows up, I'll really let him have it.\Mom! Get my yukata out!\Huh? You're wearing a yukata too, Nana!\S-Sorry for being so late. response:	Nana, you look really cute today!
context: I don't think I will...\I also invited Yano and the others.\He skips out on practice, but he always shows up at times like these...\Once he shows up, I'll really let him have it.\Mom! Get my yukata out!\Huh? You're wearing a yukata too, Nana!\S-Sorry for being so late.\Nana, you look really cute today! response:	Y-You think so?
context: I also invited Yano and the others.\He skips out on practice, but he always shows up at times like these...\Once he shows up, I'll really let him have it.\Mom! Get my yukata out!\Huh? You're wearing a yukata too, Nana!\S-Sorry for being so late.\Nana, you look really cute today!\Y-You think so? response:	Yeah! That yukata suits you surprisingly well!
context: He skips out on practice, but he always shows up at times like these...\Once he shows up, I'll really let him have it.\Mom! Get my yukata out!\Huh? You're wearing a yukata too, Nana!\S-Sorry for being so late.\Nana, you look really cute today!\Y-You think so?\Yeah! That yukata suits you surprisingly well! response:	That color is perfect for you!
context: Once he shows up, I'll really let him have it.\Mom! Get my yukata out!\Huh? You're wearing a yukata too, Nana!\S-Sorry for being so late.\Nana, you look really cute today!\Y-You think so?\Yeah! That yukata suits you surprisingly well!\That color is perfect for you! response:	I-Is it really?
context: Mom! Get my yukata out!\Huh? You're wearing a yukata too, Nana!\S-Sorry for being so late.\Nana, you look really cute today!\Y-You think so?\Yeah! That yukata suits you surprisingly well!\That color is perfect for you!\I-Is it really? response:	I borrowed it from my cousin's older sister.
context: Huh? You're wearing a yukata too, Nana!\S-Sorry for being so late.\Nana, you look really cute today!\Y-You think so?\Yeah! That yukata suits you surprisingly well!\That color is perfect for you!\I-Is it really?\I borrowed it from my cousin's older sister. response:	The pattern on mine was just too childish.
context: S-Sorry for being so late.\Nana, you look really cute today!\Y-You think so?\Yeah! That yukata suits you surprisingly well!\That color is perfect for you!\I-Is it really?\I borrowed it from my cousin's older sister.\The pattern on mine was just too childish. response:	Your cheeks look really cute, too!
context: Nana, you look really cute today!\Y-You think so?\Yeah! That yukata suits you surprisingly well!\That color is perfect for you!\I-Is it really?\I borrowed it from my cousin's older sister.\The pattern on mine was just too childish.\Your cheeks look really cute, too! response:	It's apricot.
context: Y-You think so?\Yeah! That yukata suits you surprisingly well!\That color is perfect for you!\I-Is it really?\I borrowed it from my cousin's older sister.\The pattern on mine was just too childish.\Your cheeks look really cute, too!\It's apricot. response:	It looks like you just got out of bath.
context: Yeah! That yukata suits you surprisingly well!\That color is perfect for you!\I-Is it really?\I borrowed it from my cousin's older sister.\The pattern on mine was just too childish.\Your cheeks look really cute, too!\It's apricot.\It looks like you just got out of bath. response:	Oh! They're wearing yukatas! The yukata brigade is here!
context: That color is perfect for you!\I-Is it really?\I borrowed it from my cousin's older sister.\The pattern on mine was just too childish.\Your cheeks look really cute, too!\It's apricot.\It looks like you just got out of bath.\Oh! They're wearing yukatas! The yukata brigade is here! response:	The boys are here.
context: I-Is it really?\I borrowed it from my cousin's older sister.\The pattern on mine was just too childish.\Your cheeks look really cute, too!\It's apricot.\It looks like you just got out of bath.\Oh! They're wearing yukatas! The yukata brigade is here!\The boys are here. response:	Huh? Where's Yano?
context: I borrowed it from my cousin's older sister.\The pattern on mine was just too childish.\Your cheeks look really cute, too!\It's apricot.\It looks like you just got out of bath.\Oh! They're wearing yukatas! The yukata brigade is here!\The boys are here.\Huh? Where's Yano? response:	Ah, about that... we haven't been able to reach his cell at all.
context: The pattern on mine was just too childish.\Your cheeks look really cute, too!\It's apricot.\It looks like you just got out of bath.\Oh! They're wearing yukatas! The yukata brigade is here!\The boys are here.\Huh? Where's Yano?\Ah, about that... we haven't been able to reach his cell at all. response:	He's not coming?
context: Your cheeks look really cute, too!\It's apricot.\It looks like you just got out of bath.\Oh! They're wearing yukatas! The yukata brigade is here!\The boys are here.\Huh? Where's Yano?\Ah, about that... we haven't been able to reach his cell at all.\He's not coming? response:	No, I think he will... but probably with his local friends.
context: It's apricot.\It looks like you just got out of bath.\Oh! They're wearing yukatas! The yukata brigade is here!\The boys are here.\Huh? Where's Yano?\Ah, about that... we haven't been able to reach his cell at all.\He's not coming?\No, I think he will... but probably with his local friends. response:	We might run into them.
context: It looks like you just got out of bath.\Oh! They're wearing yukatas! The yukata brigade is here!\The boys are here.\Huh? Where's Yano?\Ah, about that... we haven't been able to reach his cell at all.\He's not coming?\No, I think he will... but probably with his local friends.\We might run into them. response:	It'd be nice... if he makes it...
context: Oh! They're wearing yukatas! The yukata brigade is here!\The boys are here.\Huh? Where's Yano?\Ah, about that... we haven't been able to reach his cell at all.\He's not coming?\No, I think he will... but probably with his local friends.\We might run into them.\It'd be nice... if he makes it... response:	Huh? Takahashi, you look completely different!
context: The boys are here.\Huh? Where's Yano?\Ah, about that... we haven't been able to reach his cell at all.\He's not coming?\No, I think he will... but probably with his local friends.\We might run into them.\It'd be nice... if he makes it...\Huh? Takahashi, you look completely different! response:	That's what I was telling her! Doesn't she look good in a yukata?
context: Huh? Where's Yano?\Ah, about that... we haven't been able to reach his cell at all.\He's not coming?\No, I think he will... but probably with his local friends.\We might run into them.\It'd be nice... if he makes it...\Huh? Takahashi, you look completely different!\That's what I was telling her! Doesn't she look good in a yukata? response:	Not at all...
context: Ah, about that... we haven't been able to reach his cell at all.\He's not coming?\No, I think he will... but probably with his local friends.\We might run into them.\It'd be nice... if he makes it...\Huh? Takahashi, you look completely different!\That's what I was telling her! Doesn't she look good in a yukata?\Not at all... response:	They do say that baby-faced kids unexpectedly look good in classic Japanese clothing.
context: He's not coming?\No, I think he will... but probably with his local friends.\We might run into them.\It'd be nice... if he makes it...\Huh? Takahashi, you look completely different!\That's what I was telling her! Doesn't she look good in a yukata?\Not at all...\They do say that baby-faced kids unexpectedly look good in classic Japanese clothing. response:	Compared to the normal you, Takahashi, you look like a heron tonight!
context: No, I think he will... but probably with his local friends.\We might run into them.\It'd be nice... if he makes it...\Huh? Takahashi, you look completely different!\That's what I was telling her! Doesn't she look good in a yukata?\Not at all...\They do say that baby-faced kids unexpectedly look good in classic Japanese clothing.\Compared to the normal you, Takahashi, you look like a heron tonight! response:	Ah... such a waste. If only yukatas had been the school uniform, I might've been so popular...
context: We might run into them.\It'd be nice... if he makes it...\Huh? Takahashi, you look completely different!\That's what I was telling her! Doesn't she look good in a yukata?\Not at all...\They do say that baby-faced kids unexpectedly look good in classic Japanese clothing.\Compared to the normal you, Takahashi, you look like a heron tonight!\Ah... such a waste. If only yukatas had been the school uniform, I might've been so popular... response:	Ah, geez! Yano, what are you doing?
context: It'd be nice... if he makes it...\Huh? Takahashi, you look completely different!\That's what I was telling her! Doesn't she look good in a yukata?\Not at all...\They do say that baby-faced kids unexpectedly look good in classic Japanese clothing.\Compared to the normal you, Takahashi, you look like a heron tonight!\Ah... such a waste. If only yukatas had been the school uniform, I might've been so popular...\Ah, geez! Yano, what are you doing? response:	Nana, they said they'd still give you one.
context: Huh? Takahashi, you look completely different!\That's what I was telling her! Doesn't she look good in a yukata?\Not at all...\They do say that baby-faced kids unexpectedly look good in classic Japanese clothing.\Compared to the normal you, Takahashi, you look like a heron tonight!\Ah... such a waste. If only yukatas had been the school uniform, I might've been so popular...\Ah, geez! Yano, what are you doing?\Nana, they said they'd still give you one. response:	Here you go!
context: That's what I was telling her! Doesn't she look good in a yukata?\Not at all...\They do say that baby-faced kids unexpectedly look good in classic Japanese clothing.\Compared to the normal you, Takahashi, you look like a heron tonight!\Ah... such a waste. If only yukatas had been the school uniform, I might've been so popular...\Ah, geez! Yano, what are you doing?\Nana, they said they'd still give you one.\Here you go! response:	Yay!
context: Not at all...\They do say that baby-faced kids unexpectedly look good in classic Japanese clothing.\Compared to the normal you, Takahashi, you look like a heron tonight!\Ah... such a waste. If only yukatas had been the school uniform, I might've been so popular...\Ah, geez! Yano, what are you doing?\Nana, they said they'd still give you one.\Here you go!\Yay! response:	How nice!
context: They do say that baby-faced kids unexpectedly look good in classic Japanese clothing.\Compared to the normal you, Takahashi, you look like a heron tonight!\Ah... such a waste. If only yukatas had been the school uniform, I might've been so popular...\Ah, geez! Yano, what are you doing?\Nana, they said they'd still give you one.\Here you go!\Yay!\How nice! response:	Nana?
context: Compared to the normal you, Takahashi, you look like a heron tonight!\Ah... such a waste. If only yukatas had been the school uniform, I might've been so popular...\Ah, geez! Yano, what are you doing?\Nana, they said they'd still give you one.\Here you go!\Yay!\How nice!\Nana? response:	Takeuchi-kun!
context: Ah... such a waste. If only yukatas had been the school uniform, I might've been so popular...\Ah, geez! Yano, what are you doing?\Nana, they said they'd still give you one.\Here you go!\Yay!\How nice!\Nana?\Takeuchi-kun! response:	Ah, you surprised me! I wasn't sure who it was.
context: Ah, geez! Yano, what are you doing?\Nana, they said they'd still give you one.\Here you go!\Yay!\How nice!\Nana?\Takeuchi-kun!\Ah, you surprised me! I wasn't sure who it was. response:	It's been a while!
context: Nana, they said they'd still give you one.\Here you go!\Yay!\How nice!\Nana?\Takeuchi-kun!\Ah, you surprised me! I wasn't sure who it was.\It's been a while! response:	Who are you here with?
context: Here you go!\Yay!\How nice!\Nana?\Takeuchi-kun!\Ah, you surprised me! I wasn't sure who it was.\It's been a while!\Who are you here with? response:	I'm here with some classmates. What about you, Takeuchi-kun?
context: Yay!\How nice!\Nana?\Takeuchi-kun!\Ah, you surprised me! I wasn't sure who it was.\It's been a while!\Who are you here with?\I'm here with some classmates. What about you, Takeuchi-kun? response:	Some people from my neighborhood.
context: How nice!\Nana?\Takeuchi-kun!\Ah, you surprised me! I wasn't sure who it was.\It's been a while!\Who are you here with?\I'm here with some classmates. What about you, Takeuchi-kun?\Some people from my neighborhood. response:	He's... not here.
context: Nana?\Takeuchi-kun!\Ah, you surprised me! I wasn't sure who it was.\It's been a while!\Who are you here with?\I'm here with some classmates. What about you, Takeuchi-kun?\Some people from my neighborhood.\He's... not here. response:	You're so innocent.
context: Takeuchi-kun!\Ah, you surprised me! I wasn't sure who it was.\It's been a while!\Who are you here with?\I'm here with some classmates. What about you, Takeuchi-kun?\Some people from my neighborhood.\He's... not here.\You're so innocent. response:	Yano couldn't make it?
context: Ah, you surprised me! I wasn't sure who it was.\It's been a while!\Who are you here with?\I'm here with some classmates. What about you, Takeuchi-kun?\Some people from my neighborhood.\He's... not here.\You're so innocent.\Yano couldn't make it? response:	That guy just doesn't seem to need other people...
context: It's been a while!\Who are you here with?\I'm here with some classmates. What about you, Takeuchi-kun?\Some people from my neighborhood.\He's... not here.\You're so innocent.\Yano couldn't make it?\That guy just doesn't seem to need other people... response:	I can't say it very well, but...
context: Who are you here with?\I'm here with some classmates. What about you, Takeuchi-kun?\Some people from my neighborhood.\He's... not here.\You're so innocent.\Yano couldn't make it?\That guy just doesn't seem to need other people...\I can't say it very well, but... response:	It's like we're not reaching him or something.
context: I'm here with some classmates. What about you, Takeuchi-kun?\Some people from my neighborhood.\He's... not here.\You're so innocent.\Yano couldn't make it?\That guy just doesn't seem to need other people...\I can't say it very well, but...\It's like we're not reaching him or something. response:	Sometimes it seems so futile...
context: Some people from my neighborhood.\He's... not here.\You're so innocent.\Yano couldn't make it?\That guy just doesn't seem to need other people...\I can't say it very well, but...\It's like we're not reaching him or something.\Sometimes it seems so futile... response:	I just feel like whatever we do will be useless in the end.
context: He's... not here.\You're so innocent.\Yano couldn't make it?\That guy just doesn't seem to need other people...\I can't say it very well, but...\It's like we're not reaching him or something.\Sometimes it seems so futile...\I just feel like whatever we do will be useless in the end. response:	Even though I got really excited and even wore a yukata...
context: You're so innocent.\Yano couldn't make it?\That guy just doesn't seem to need other people...\I can't say it very well, but...\It's like we're not reaching him or something.\Sometimes it seems so futile...\I just feel like whatever we do will be useless in the end.\Even though I got really excited and even wore a yukata... response:	Nana, want a snow cone? I'll go buy some!
context: Yano couldn't make it?\That guy just doesn't seem to need other people...\I can't say it very well, but...\It's like we're not reaching him or something.\Sometimes it seems so futile...\I just feel like whatever we do will be useless in the end.\Even though I got really excited and even wore a yukata...\Nana, want a snow cone? I'll go buy some! response:	Okay.
context: That guy just doesn't seem to need other people...\I can't say it very well, but...\It's like we're not reaching him or something.\Sometimes it seems so futile...\I just feel like whatever we do will be useless in the end.\Even though I got really excited and even wore a yukata...\Nana, want a snow cone? I'll go buy some!\Okay. response:	Sorry, looks like I can't get in touch with him.
context: I can't say it very well, but...\It's like we're not reaching him or something.\Sometimes it seems so futile...\I just feel like whatever we do will be useless in the end.\Even though I got really excited and even wore a yukata...\Nana, want a snow cone? I'll go buy some!\Okay.\Sorry, looks like I can't get in touch with him. response:	Ah, don't worry about that.
context: It's like we're not reaching him or something.\Sometimes it seems so futile...\I just feel like whatever we do will be useless in the end.\Even though I got really excited and even wore a yukata...\Nana, want a snow cone? I'll go buy some!\Okay.\Sorry, looks like I can't get in touch with him.\Ah, don't worry about that. response:	I just wanted to complain about how he skipped out on the rehearsals.
context: Sometimes it seems so futile...\I just feel like whatever we do will be useless in the end.\Even though I got really excited and even wore a yukata...\Nana, want a snow cone? I'll go buy some!\Okay.\Sorry, looks like I can't get in touch with him.\Ah, don't worry about that.\I just wanted to complain about how he skipped out on the rehearsals. response:	It was... the anniversary.
context: I just feel like whatever we do will be useless in the end.\Even though I got really excited and even wore a yukata...\Nana, want a snow cone? I'll go buy some!\Okay.\Sorry, looks like I can't get in touch with him.\Ah, don't worry about that.\I just wanted to complain about how he skipped out on the rehearsals.\It was... the anniversary. response:	The day before yesterday, for Nana-san.
context: Even though I got really excited and even wore a yukata...\Nana, want a snow cone? I'll go buy some!\Okay.\Sorry, looks like I can't get in touch with him.\Ah, don't worry about that.\I just wanted to complain about how he skipped out on the rehearsals.\It was... the anniversary.\The day before yesterday, for Nana-san. response:	It must be pretty harsh, don't you think?
context: Nana, want a snow cone? I'll go buy some!\Okay.\Sorry, looks like I can't get in touch with him.\Ah, don't worry about that.\I just wanted to complain about how he skipped out on the rehearsals.\It was... the anniversary.\The day before yesterday, for Nana-san.\It must be pretty harsh, don't you think? response:	I was just getting all festive, without knowing a thing.
