context: Keep the Chance Alive!! Piccolo's Suicide Support Strike response:	What is it? What is he doing?
context: Don't let him find out about this for a little while more, please!\ReaCoom!\Butta!\Jheese!\Ghurd!\Together we are...\The Ginyu Special Corps!\That's it! That's it! response:	Yeah, no matter how many times we do it, our Special Fighting Pose is terrific!
context: ReaCoom!\Butta!\Jheese!\Ghurd!\Together we are...\The Ginyu Special Corps!\That's it! That's it!\Yeah, no matter how many times we do it, our Special Fighting Pose is terrific! response:	It's a small planet, but still quite a nice place, isn't it? How about we make this our secret hideout for the time being?
context: Butta!\Jheese!\Ghurd!\Together we are...\The Ginyu Special Corps!\That's it! That's it!\Yeah, no matter how many times we do it, our Special Fighting Pose is terrific!\It's a small planet, but still quite a nice place, isn't it? How about we make this our secret hideout for the time being? response:	That's a Good Idea,
context: Jheese!\Ghurd!\Together we are...\The Ginyu Special Corps!\That's it! That's it!\Yeah, no matter how many times we do it, our Special Fighting Pose is terrific!\It's a small planet, but still quite a nice place, isn't it? How about we make this our secret hideout for the time being?\That's a Good Idea, response:	We, the Ginyu Special Corps, will control the Next World as well!
context: Ghurd!\Together we are...\The Ginyu Special Corps!\That's it! That's it!\Yeah, no matter how many times we do it, our Special Fighting Pose is terrific!\It's a small planet, but still quite a nice place, isn't it? How about we make this our secret hideout for the time being?\That's a Good Idea,\We, the Ginyu Special Corps, will control the Next World as well! response:	These jerks are warped!
context: Together we are...\The Ginyu Special Corps!\That's it! That's it!\Yeah, no matter how many times we do it, our Special Fighting Pose is terrific!\It's a small planet, but still quite a nice place, isn't it? How about we make this our secret hideout for the time being?\That's a Good Idea,\We, the Ginyu Special Corps, will control the Next World as well!\These jerks are warped! response:	These are the guys that were able to toss even Vegeta around like child's play, the Ginyu Special Corps!
context: The Ginyu Special Corps!\That's it! That's it!\Yeah, no matter how many times we do it, our Special Fighting Pose is terrific!\It's a small planet, but still quite a nice place, isn't it? How about we make this our secret hideout for the time being?\That's a Good Idea,\We, the Ginyu Special Corps, will control the Next World as well!\These jerks are warped!\These are the guys that were able to toss even Vegeta around like child's play, the Ginyu Special Corps! response:	Vegeta!?
context: That's it! That's it!\Yeah, no matter how many times we do it, our Special Fighting Pose is terrific!\It's a small planet, but still quite a nice place, isn't it? How about we make this our secret hideout for the time being?\That's a Good Idea,\We, the Ginyu Special Corps, will control the Next World as well!\These jerks are warped!\These are the guys that were able to toss even Vegeta around like child's play, the Ginyu Special Corps!\Vegeta!? response:	Are you folks colleagues of Vegeta-chan, then?
context: Yeah, no matter how many times we do it, our Special Fighting Pose is terrific!\It's a small planet, but still quite a nice place, isn't it? How about we make this our secret hideout for the time being?\That's a Good Idea,\We, the Ginyu Special Corps, will control the Next World as well!\These jerks are warped!\These are the guys that were able to toss even Vegeta around like child's play, the Ginyu Special Corps!\Vegeta!?\Are you folks colleagues of Vegeta-chan, then? response:	Then this won't take long. We are the Ginyu Special Corps, who collect nebulae for ourselves.
context: It's a small planet, but still quite a nice place, isn't it? How about we make this our secret hideout for the time being?\That's a Good Idea,\We, the Ginyu Special Corps, will control the Next World as well!\These jerks are warped!\These are the guys that were able to toss even Vegeta around like child's play, the Ginyu Special Corps!\Vegeta!?\Are you folks colleagues of Vegeta-chan, then?\Then this won't take long. We are the Ginyu Special Corps, who collect nebulae for ourselves. response:	We're not at all like Vegeta!
context: That's a Good Idea,\We, the Ginyu Special Corps, will control the Next World as well!\These jerks are warped!\These are the guys that were able to toss even Vegeta around like child's play, the Ginyu Special Corps!\Vegeta!?\Are you folks colleagues of Vegeta-chan, then?\Then this won't take long. We are the Ginyu Special Corps, who collect nebulae for ourselves.\We're not at all like Vegeta! response:	That's right! If my luck hadn't turned on me, I would have taken that monkey scum out with one shot!
context: We, the Ginyu Special Corps, will control the Next World as well!\These jerks are warped!\These are the guys that were able to toss even Vegeta around like child's play, the Ginyu Special Corps!\Vegeta!?\Are you folks colleagues of Vegeta-chan, then?\Then this won't take long. We are the Ginyu Special Corps, who collect nebulae for ourselves.\We're not at all like Vegeta!\That's right! If my luck hadn't turned on me, I would have taken that monkey scum out with one shot! response:	Well, we don't need to dwell on the past.
context: These jerks are warped!\These are the guys that were able to toss even Vegeta around like child's play, the Ginyu Special Corps!\Vegeta!?\Are you folks colleagues of Vegeta-chan, then?\Then this won't take long. We are the Ginyu Special Corps, who collect nebulae for ourselves.\We're not at all like Vegeta!\That's right! If my luck hadn't turned on me, I would have taken that monkey scum out with one shot!\Well, we don't need to dwell on the past. response:	In any case, we've come to like this planet. You're going to let us stay here.
context: These are the guys that were able to toss even Vegeta around like child's play, the Ginyu Special Corps!\Vegeta!?\Are you folks colleagues of Vegeta-chan, then?\Then this won't take long. We are the Ginyu Special Corps, who collect nebulae for ourselves.\We're not at all like Vegeta!\That's right! If my luck hadn't turned on me, I would have taken that monkey scum out with one shot!\Well, we don't need to dwell on the past.\In any case, we've come to like this planet. You're going to let us stay here. response:	You guys are an annoyance! You'll have to leave!
context: Vegeta!?\Are you folks colleagues of Vegeta-chan, then?\Then this won't take long. We are the Ginyu Special Corps, who collect nebulae for ourselves.\We're not at all like Vegeta!\That's right! If my luck hadn't turned on me, I would have taken that monkey scum out with one shot!\Well, we don't need to dwell on the past.\In any case, we've come to like this planet. You're going to let us stay here.\You guys are an annoyance! You'll have to leave! response:	Don't you ask such a selfish thing! You guys get out of here!
context: Are you folks colleagues of Vegeta-chan, then?\Then this won't take long. We are the Ginyu Special Corps, who collect nebulae for ourselves.\We're not at all like Vegeta!\That's right! If my luck hadn't turned on me, I would have taken that monkey scum out with one shot!\Well, we don't need to dwell on the past.\In any case, we've come to like this planet. You're going to let us stay here.\You guys are an annoyance! You'll have to leave!\Don't you ask such a selfish thing! You guys get out of here! response:	Yeah, yeah!
context: Then this won't take long. We are the Ginyu Special Corps, who collect nebulae for ourselves.\We're not at all like Vegeta!\That's right! If my luck hadn't turned on me, I would have taken that monkey scum out with one shot!\Well, we don't need to dwell on the past.\In any case, we've come to like this planet. You're going to let us stay here.\You guys are an annoyance! You'll have to leave!\Don't you ask such a selfish thing! You guys get out of here!\Yeah, yeah! response:	These young men here want to have a go at us!
context: We're not at all like Vegeta!\That's right! If my luck hadn't turned on me, I would have taken that monkey scum out with one shot!\Well, we don't need to dwell on the past.\In any case, we've come to like this planet. You're going to let us stay here.\You guys are an annoyance! You'll have to leave!\Don't you ask such a selfish thing! You guys get out of here!\Yeah, yeah!\These young men here want to have a go at us! response:	Interesting! And just as we're here wanting to get rowdy on someone!
context: That's right! If my luck hadn't turned on me, I would have taken that monkey scum out with one shot!\Well, we don't need to dwell on the past.\In any case, we've come to like this planet. You're going to let us stay here.\You guys are an annoyance! You'll have to leave!\Don't you ask such a selfish thing! You guys get out of here!\Yeah, yeah!\These young men here want to have a go at us!\Interesting! And just as we're here wanting to get rowdy on someone! response:	Whoa, before we do,
context: Well, we don't need to dwell on the past.\In any case, we've come to like this planet. You're going to let us stay here.\You guys are an annoyance! You'll have to leave!\Don't you ask such a selfish thing! You guys get out of here!\Yeah, yeah!\These young men here want to have a go at us!\Interesting! And just as we're here wanting to get rowdy on someone!\Whoa, before we do, response:	hasn't the Commander always said that once we get to a new planet, we should try out our techniques first?
context: In any case, we've come to like this planet. You're going to let us stay here.\You guys are an annoyance! You'll have to leave!\Don't you ask such a selfish thing! You guys get out of here!\Yeah, yeah!\These young men here want to have a go at us!\Interesting! And just as we're here wanting to get rowdy on someone!\Whoa, before we do,\hasn't the Commander always said that once we get to a new planet, we should try out our techniques first? response:	That there are techniques whose effectiveness depend on the place?
context: You guys are an annoyance! You'll have to leave!\Don't you ask such a selfish thing! You guys get out of here!\Yeah, yeah!\These young men here want to have a go at us!\Interesting! And just as we're here wanting to get rowdy on someone!\Whoa, before we do,\hasn't the Commander always said that once we get to a new planet, we should try out our techniques first?\That there are techniques whose effectiveness depend on the place? response:	That's right! Okay then...
context: Don't you ask such a selfish thing! You guys get out of here!\Yeah, yeah!\These young men here want to have a go at us!\Interesting! And just as we're here wanting to get rowdy on someone!\Whoa, before we do,\hasn't the Commander always said that once we get to a new planet, we should try out our techniques first?\That there are techniques whose effectiveness depend on the place?\That's right! Okay then... response:	Dammit! How dare you destroy someone else's things!
context: Yeah, yeah!\These young men here want to have a go at us!\Interesting! And just as we're here wanting to get rowdy on someone!\Whoa, before we do,\hasn't the Commander always said that once we get to a new planet, we should try out our techniques first?\That there are techniques whose effectiveness depend on the place?\That's right! Okay then...\Dammit! How dare you destroy someone else's things! response:	So, now it's my turn.
context: These young men here want to have a go at us!\Interesting! And just as we're here wanting to get rowdy on someone!\Whoa, before we do,\hasn't the Commander always said that once we get to a new planet, we should try out our techniques first?\That there are techniques whose effectiveness depend on the place?\That's right! Okay then...\Dammit! How dare you destroy someone else's things!\So, now it's my turn. response:	- Nicely done! - Ghurd's telekinesis is as good as ever!
context: Interesting! And just as we're here wanting to get rowdy on someone!\Whoa, before we do,\hasn't the Commander always said that once we get to a new planet, we should try out our techniques first?\That there are techniques whose effectiveness depend on the place?\That's right! Okay then...\Dammit! How dare you destroy someone else's things!\So, now it's my turn.\- Nicely done! - Ghurd's telekinesis is as good as ever! response:	Well then, last comes me!
context: Whoa, before we do,\hasn't the Commander always said that once we get to a new planet, we should try out our techniques first?\That there are techniques whose effectiveness depend on the place?\That's right! Okay then...\Dammit! How dare you destroy someone else's things!\So, now it's my turn.\- Nicely done! - Ghurd's telekinesis is as good as ever!\Well then, last comes me! response:	ReaCoom Eraser Gun!!
context: hasn't the Commander always said that once we get to a new planet, we should try out our techniques first?\That there are techniques whose effectiveness depend on the place?\That's right! Okay then...\Dammit! How dare you destroy someone else's things!\So, now it's my turn.\- Nicely done! - Ghurd's telekinesis is as good as ever!\Well then, last comes me!\ReaCoom Eraser Gun!! response:	That he should have that kind of force on this planet, with its tenfold gravity...!
context: That there are techniques whose effectiveness depend on the place?\That's right! Okay then...\Dammit! How dare you destroy someone else's things!\So, now it's my turn.\- Nicely done! - Ghurd's telekinesis is as good as ever!\Well then, last comes me!\ReaCoom Eraser Gun!!\That he should have that kind of force on this planet, with its tenfold gravity...! response:	Looks as though we can use all our techniques on this planet too!
context: That's right! Okay then...\Dammit! How dare you destroy someone else's things!\So, now it's my turn.\- Nicely done! - Ghurd's telekinesis is as good as ever!\Well then, last comes me!\ReaCoom Eraser Gun!!\That he should have that kind of force on this planet, with its tenfold gravity...!\Looks as though we can use all our techniques on this planet too! response:	- What's all this commotion!? - Kaio-sama!
context: Dammit! How dare you destroy someone else's things!\So, now it's my turn.\- Nicely done! - Ghurd's telekinesis is as good as ever!\Well then, last comes me!\ReaCoom Eraser Gun!!\That he should have that kind of force on this planet, with its tenfold gravity...!\Looks as though we can use all our techniques on this planet too!\- What's all this commotion!? - Kaio-sama! response:	I will not admit those of you who disrupt this planet!
context: So, now it's my turn.\- Nicely done! - Ghurd's telekinesis is as good as ever!\Well then, last comes me!\ReaCoom Eraser Gun!!\That he should have that kind of force on this planet, with its tenfold gravity...!\Looks as though we can use all our techniques on this planet too!\- What's all this commotion!? - Kaio-sama!\I will not admit those of you who disrupt this planet! response:	I will have you leave immediately.
context: - Nicely done! - Ghurd's telekinesis is as good as ever!\Well then, last comes me!\ReaCoom Eraser Gun!!\That he should have that kind of force on this planet, with its tenfold gravity...!\Looks as though we can use all our techniques on this planet too!\- What's all this commotion!? - Kaio-sama!\I will not admit those of you who disrupt this planet!\I will have you leave immediately. response:	Huh? Some strange old man has come out!
context: Well then, last comes me!\ReaCoom Eraser Gun!!\That he should have that kind of force on this planet, with its tenfold gravity...!\Looks as though we can use all our techniques on this planet too!\- What's all this commotion!? - Kaio-sama!\I will not admit those of you who disrupt this planet!\I will have you leave immediately.\Huh? Some strange old man has come out! response:	Old man, does this mean you want to play around with us?
context: ReaCoom Eraser Gun!!\That he should have that kind of force on this planet, with its tenfold gravity...!\Looks as though we can use all our techniques on this planet too!\- What's all this commotion!? - Kaio-sama!\I will not admit those of you who disrupt this planet!\I will have you leave immediately.\Huh? Some strange old man has come out!\Old man, does this mean you want to play around with us? response:	You guys wouldn't be able to lay one hand on me.
context: That he should have that kind of force on this planet, with its tenfold gravity...!\Looks as though we can use all our techniques on this planet too!\- What's all this commotion!? - Kaio-sama!\I will not admit those of you who disrupt this planet!\I will have you leave immediately.\Huh? Some strange old man has come out!\Old man, does this mean you want to play around with us?\You guys wouldn't be able to lay one hand on me. response:	You seem to enjoy your jokes.
context: Looks as though we can use all our techniques on this planet too!\- What's all this commotion!? - Kaio-sama!\I will not admit those of you who disrupt this planet!\I will have you leave immediately.\Huh? Some strange old man has come out!\Old man, does this mean you want to play around with us?\You guys wouldn't be able to lay one hand on me.\You seem to enjoy your jokes. response:	Why don't you test me to see if I'm joking or not?
context: - What's all this commotion!? - Kaio-sama!\I will not admit those of you who disrupt this planet!\I will have you leave immediately.\Huh? Some strange old man has come out!\Old man, does this mean you want to play around with us?\You guys wouldn't be able to lay one hand on me.\You seem to enjoy your jokes.\Why don't you test me to see if I'm joking or not? response:	Okay, then!
context: I will not admit those of you who disrupt this planet!\I will have you leave immediately.\Huh? Some strange old man has come out!\Old man, does this mean you want to play around with us?\You guys wouldn't be able to lay one hand on me.\You seem to enjoy your jokes.\Why don't you test me to see if I'm joking or not?\Okay, then! response:	Goku's Genki Dama...!
context: I will have you leave immediately.\Huh? Some strange old man has come out!\Old man, does this mean you want to play around with us?\You guys wouldn't be able to lay one hand on me.\You seem to enjoy your jokes.\Why don't you test me to see if I'm joking or not?\Okay, then!\Goku's Genki Dama...! response:	Cut it out already! How long do you intend to just stand there like that?
context: Huh? Some strange old man has come out!\Old man, does this mean you want to play around with us?\You guys wouldn't be able to lay one hand on me.\You seem to enjoy your jokes.\Why don't you test me to see if I'm joking or not?\Okay, then!\Goku's Genki Dama...!\Cut it out already! How long do you intend to just stand there like that? response:	Good question. How long indeed?
context: Old man, does this mean you want to play around with us?\You guys wouldn't be able to lay one hand on me.\You seem to enjoy your jokes.\Why don't you test me to see if I'm joking or not?\Okay, then!\Goku's Genki Dama...!\Cut it out already! How long do you intend to just stand there like that?\Good question. How long indeed? response:	Damn you!!
context: You guys wouldn't be able to lay one hand on me.\You seem to enjoy your jokes.\Why don't you test me to see if I'm joking or not?\Okay, then!\Goku's Genki Dama...!\Cut it out already! How long do you intend to just stand there like that?\Good question. How long indeed?\Damn you!! response:	H- He's found out!
context: You seem to enjoy your jokes.\Why don't you test me to see if I'm joking or not?\Okay, then!\Goku's Genki Dama...!\Cut it out already! How long do you intend to just stand there like that?\Good question. How long indeed?\Damn you!!\H- He's found out! response:	No! Not yet!
context: Why don't you test me to see if I'm joking or not?\Okay, then!\Goku's Genki Dama...!\Cut it out already! How long do you intend to just stand there like that?\Good question. How long indeed?\Damn you!!\H- He's found out!\No! Not yet! response:	So, what's the matter? You were going to attack me somehow, right?
context: Okay, then!\Goku's Genki Dama...!\Cut it out already! How long do you intend to just stand there like that?\Good question. How long indeed?\Damn you!!\H- He's found out!\No! Not yet!\So, what's the matter? You were going to attack me somehow, right? response:	Are you trying to make a fool of me?
context: Goku's Genki Dama...!\Cut it out already! How long do you intend to just stand there like that?\Good question. How long indeed?\Damn you!!\H- He's found out!\No! Not yet!\So, what's the matter? You were going to attack me somehow, right?\Are you trying to make a fool of me? response:	A little more...
context: Cut it out already! How long do you intend to just stand there like that?\Good question. How long indeed?\Damn you!!\H- He's found out!\No! Not yet!\So, what's the matter? You were going to attack me somehow, right?\Are you trying to make a fool of me?\A little more... response:	So, what are you going to do?
context: Good question. How long indeed?\Damn you!!\H- He's found out!\No! Not yet!\So, what's the matter? You were going to attack me somehow, right?\Are you trying to make a fool of me?\A little more...\So, what are you going to do? response:	- G- Goku! - Father!
context: Damn you!!\H- He's found out!\No! Not yet!\So, what's the matter? You were going to attack me somehow, right?\Are you trying to make a fool of me?\A little more...\So, what are you going to do?\- G- Goku! - Father! response:	Gohan, Kuririn, give over what remaining Ki you have to me!
context: H- He's found out!\No! Not yet!\So, what's the matter? You were going to attack me somehow, right?\Are you trying to make a fool of me?\A little more...\So, what are you going to do?\- G- Goku! - Father!\Gohan, Kuririn, give over what remaining Ki you have to me! response:	Give it to me, now!
