context: Today I promised to play with Saikawa in the park. response:	I see. Have fun.
context: Kanna!\Take care.\Yeah.\I hope the sun comes out today.\Cute.\Shepherd's purse, huh?\Flower Language Dictionary\Flower language? response:	Yes. It's a book about the language of flowers.
context: Take care.\Yeah.\I hope the sun comes out today.\Cute.\Shepherd's purse, huh?\Flower Language Dictionary\Flower language?\Yes. It's a book about the language of flowers. response:	Georgie lent it to me.
context: Yeah.\I hope the sun comes out today.\Cute.\Shepherd's purse, huh?\Flower Language Dictionary\Flower language?\Yes. It's a book about the language of flowers.\Georgie lent it to me. response:	It's interesting.
context: I hope the sun comes out today.\Cute.\Shepherd's purse, huh?\Flower Language Dictionary\Flower language?\Yes. It's a book about the language of flowers.\Georgie lent it to me.\It's interesting. response:	Saikawa.
context: Cute.\Shepherd's purse, huh?\Flower Language Dictionary\Flower language?\Yes. It's a book about the language of flowers.\Georgie lent it to me.\It's interesting.\Saikawa. response:	The meaning of shepherd's purse is...
context: Shepherd's purse, huh?\Flower Language Dictionary\Flower language?\Yes. It's a book about the language of flowers.\Georgie lent it to me.\It's interesting.\Saikawa.\The meaning of shepherd's purse is... response:	There!
context: Flower Language Dictionary\Flower language?\Yes. It's a book about the language of flowers.\Georgie lent it to me.\It's interesting.\Saikawa.\The meaning of shepherd's purse is...\There! response:	Shepherd's Purse Flower Meaning: I'll offer everything to you. Brassicaaceae Family, Capsella Genus, Annual.
context: Flower language?\Yes. It's a book about the language of flowers.\Georgie lent it to me.\It's interesting.\Saikawa.\The meaning of shepherd's purse is...\There!\Shepherd's Purse Flower Meaning: I'll offer everything to you. Brassicaaceae Family, Capsella Genus, Annual. response:	I'll offer everything to you?!
context: Yes. It's a book about the language of flowers.\Georgie lent it to me.\It's interesting.\Saikawa.\The meaning of shepherd's purse is...\There!\Shepherd's Purse Flower Meaning: I'll offer everything to you. Brassicaaceae Family, Capsella Genus, Annual.\I'll offer everything to you?! response:	My everything for you, Kanna-san!
context: Georgie lent it to me.\It's interesting.\Saikawa.\The meaning of shepherd's purse is...\There!\Shepherd's Purse Flower Meaning: I'll offer everything to you. Brassicaaceae Family, Capsella Genus, Annual.\I'll offer everything to you?!\My everything for you, Kanna-san! response:	My everything?
context: It's interesting.\Saikawa.\The meaning of shepherd's purse is...\There!\Shepherd's Purse Flower Meaning: I'll offer everything to you. Brassicaaceae Family, Capsella Genus, Annual.\I'll offer everything to you?!\My everything for you, Kanna-san!\My everything? response:	Here you go, Miss Kobayashi.
context: Saikawa.\The meaning of shepherd's purse is...\There!\Shepherd's Purse Flower Meaning: I'll offer everything to you. Brassicaaceae Family, Capsella Genus, Annual.\I'll offer everything to you?!\My everything for you, Kanna-san!\My everything?\Here you go, Miss Kobayashi. response:	Yeah, thanks.
context: The meaning of shepherd's purse is...\There!\Shepherd's Purse Flower Meaning: I'll offer everything to you. Brassicaaceae Family, Capsella Genus, Annual.\I'll offer everything to you?!\My everything for you, Kanna-san!\My everything?\Here you go, Miss Kobayashi.\Yeah, thanks. response:	How is it?
context: There!\Shepherd's Purse Flower Meaning: I'll offer everything to you. Brassicaaceae Family, Capsella Genus, Annual.\I'll offer everything to you?!\My everything for you, Kanna-san!\My everything?\Here you go, Miss Kobayashi.\Yeah, thanks.\How is it? response:	Oh, it's good.
context: Shepherd's Purse Flower Meaning: I'll offer everything to you. Brassicaaceae Family, Capsella Genus, Annual.\I'll offer everything to you?!\My everything for you, Kanna-san!\My everything?\Here you go, Miss Kobayashi.\Yeah, thanks.\How is it?\Oh, it's good. response:	I've been trying to change the temperature and such,
context: I'll offer everything to you?!\My everything for you, Kanna-san!\My everything?\Here you go, Miss Kobayashi.\Yeah, thanks.\How is it?\Oh, it's good.\I've been trying to change the temperature and such, response:	depending on how you're feeling.
context: My everything for you, Kanna-san!\My everything?\Here you go, Miss Kobayashi.\Yeah, thanks.\How is it?\Oh, it's good.\I've been trying to change the temperature and such,\depending on how you're feeling. response:	You dragons are amazing.
context: My everything?\Here you go, Miss Kobayashi.\Yeah, thanks.\How is it?\Oh, it's good.\I've been trying to change the temperature and such,\depending on how you're feeling.\You dragons are amazing. response:	It's not because I'm a dragon.
context: Here you go, Miss Kobayashi.\Yeah, thanks.\How is it?\Oh, it's good.\I've been trying to change the temperature and such,\depending on how you're feeling.\You dragons are amazing.\It's not because I'm a dragon. response:	It's because I'm me.
context: Yeah, thanks.\How is it?\Oh, it's good.\I've been trying to change the temperature and such,\depending on how you're feeling.\You dragons are amazing.\It's not because I'm a dragon.\It's because I'm me. response:	Well, I should go shopping soon.
context: How is it?\Oh, it's good.\I've been trying to change the temperature and such,\depending on how you're feeling.\You dragons are amazing.\It's not because I'm a dragon.\It's because I'm me.\Well, I should go shopping soon. response:	What should I make for tonight's dinner?
context: Oh, it's good.\I've been trying to change the temperature and such,\depending on how you're feeling.\You dragons are amazing.\It's not because I'm a dragon.\It's because I'm me.\Well, I should go shopping soon.\What should I make for tonight's dinner? response:	Omurice.
context: I've been trying to change the temperature and such,\depending on how you're feeling.\You dragons are amazing.\It's not because I'm a dragon.\It's because I'm me.\Well, I should go shopping soon.\What should I make for tonight's dinner?\Omurice. response:	Sounds good!
context: depending on how you're feeling.\You dragons are amazing.\It's not because I'm a dragon.\It's because I'm me.\Well, I should go shopping soon.\What should I make for tonight's dinner?\Omurice.\Sounds good! response:	Let's go with that, then.
context: You dragons are amazing.\It's not because I'm a dragon.\It's because I'm me.\Well, I should go shopping soon.\What should I make for tonight's dinner?\Omurice.\Sounds good!\Let's go with that, then. response:	Make us proper ones today, please.
context: It's not because I'm a dragon.\It's because I'm me.\Well, I should go shopping soon.\What should I make for tonight's dinner?\Omurice.\Sounds good!\Let's go with that, then.\Make us proper ones today, please. response:	Leave it to me!
context: It's because I'm me.\Well, I should go shopping soon.\What should I make for tonight's dinner?\Omurice.\Sounds good!\Let's go with that, then.\Make us proper ones today, please.\Leave it to me! response:	I'm heading out.
context: Well, I should go shopping soon.\What should I make for tonight's dinner?\Omurice.\Sounds good!\Let's go with that, then.\Make us proper ones today, please.\Leave it to me!\I'm heading out. response:	Okay.
context: What should I make for tonight's dinner?\Omurice.\Sounds good!\Let's go with that, then.\Make us proper ones today, please.\Leave it to me!\I'm heading out.\Okay. response:	Omurice, omurice!
context: Omurice.\Sounds good!\Let's go with that, then.\Make us proper ones today, please.\Leave it to me!\I'm heading out.\Okay.\Omurice, omurice! response:	LED Light Campaign On Now
context: Sounds good!\Let's go with that, then.\Make us proper ones today, please.\Leave it to me!\I'm heading out.\Okay.\Omurice, omurice!\LED Light Campaign On Now response:	Their lifespan is short!
context: Let's go with that, then.\Make us proper ones today, please.\Leave it to me!\I'm heading out.\Okay.\Omurice, omurice!\LED Light Campaign On Now\Their lifespan is short! response:	Yes. For example, the house mouse only lives for a year to a year and a half.
context: Make us proper ones today, please.\Leave it to me!\I'm heading out.\Okay.\Omurice, omurice!\LED Light Campaign On Now\Their lifespan is short!\Yes. For example, the house mouse only lives for a year to a year and a half. response:	House Mouse
context: Leave it to me!\I'm heading out.\Okay.\Omurice, omurice!\LED Light Campaign On Now\Their lifespan is short!\Yes. For example, the house mouse only lives for a year to a year and a half.\House Mouse response:	Lifespan
context: I'm heading out.\Okay.\Omurice, omurice!\LED Light Campaign On Now\Their lifespan is short!\Yes. For example, the house mouse only lives for a year to a year and a half.\House Mouse\Lifespan response:	Human
context: Okay.\Omurice, omurice!\LED Light Campaign On Now\Their lifespan is short!\Yes. For example, the house mouse only lives for a year to a year and a half.\House Mouse\Lifespan\Human response:	Ah, how sad!
context: Omurice, omurice!\LED Light Campaign On Now\Their lifespan is short!\Yes. For example, the house mouse only lives for a year to a year and a half.\House Mouse\Lifespan\Human\Ah, how sad! response:	That's not so.
context: LED Light Campaign On Now\Their lifespan is short!\Yes. For example, the house mouse only lives for a year to a year and a half.\House Mouse\Lifespan\Human\Ah, how sad!\That's not so. response:	Every living creature has its own perception of time,
context: Their lifespan is short!\Yes. For example, the house mouse only lives for a year to a year and a half.\House Mouse\Lifespan\Human\Ah, how sad!\That's not so.\Every living creature has its own perception of time, response:	and applying human standards to them is mistaken.
context: Yes. For example, the house mouse only lives for a year to a year and a half.\House Mouse\Lifespan\Human\Ah, how sad!\That's not so.\Every living creature has its own perception of time,\and applying human standards to them is mistaken. response:	How long are you planning to keep doing this?
context: House Mouse\Lifespan\Human\Ah, how sad!\That's not so.\Every living creature has its own perception of time,\and applying human standards to them is mistaken.\How long are you planning to keep doing this? response:	Are you me?
context: Lifespan\Human\Ah, how sad!\That's not so.\Every living creature has its own perception of time,\and applying human standards to them is mistaken.\How long are you planning to keep doing this?\Are you me? response:	That's right.
context: Human\Ah, how sad!\That's not so.\Every living creature has its own perception of time,\and applying human standards to them is mistaken.\How long are you planning to keep doing this?\Are you me?\That's right. response:	I'm the doubt within you.
context: Ah, how sad!\That's not so.\Every living creature has its own perception of time,\and applying human standards to them is mistaken.\How long are you planning to keep doing this?\Are you me?\That's right.\I'm the doubt within you. response:	Don't avert your eyes.
context: That's not so.\Every living creature has its own perception of time,\and applying human standards to them is mistaken.\How long are you planning to keep doing this?\Are you me?\That's right.\I'm the doubt within you.\Don't avert your eyes. response:	Don't deceive yourself.
context: Every living creature has its own perception of time,\and applying human standards to them is mistaken.\How long are you planning to keep doing this?\Are you me?\That's right.\I'm the doubt within you.\Don't avert your eyes.\Don't deceive yourself. response:	And with that...
context: and applying human standards to them is mistaken.\How long are you planning to keep doing this?\Are you me?\That's right.\I'm the doubt within you.\Don't avert your eyes.\Don't deceive yourself.\And with that... response:	I ask you. How long are you planning to keep doing this?
context: How long are you planning to keep doing this?\Are you me?\That's right.\I'm the doubt within you.\Don't avert your eyes.\Don't deceive yourself.\And with that...\I ask you. How long are you planning to keep doing this? response:	I just want to enjoy this time I have now,
context: Are you me?\That's right.\I'm the doubt within you.\Don't avert your eyes.\Don't deceive yourself.\And with that...\I ask you. How long are you planning to keep doing this?\I just want to enjoy this time I have now, response:	and spend time with Miss Kobayashi, that's all...
context: That's right.\I'm the doubt within you.\Don't avert your eyes.\Don't deceive yourself.\And with that...\I ask you. How long are you planning to keep doing this?\I just want to enjoy this time I have now,\and spend time with Miss Kobayashi, that's all... response:	How long?
context: I'm the doubt within you.\Don't avert your eyes.\Don't deceive yourself.\And with that...\I ask you. How long are you planning to keep doing this?\I just want to enjoy this time I have now,\and spend time with Miss Kobayashi, that's all...\How long? response:	You understand, don't you?
context: Don't avert your eyes.\Don't deceive yourself.\And with that...\I ask you. How long are you planning to keep doing this?\I just want to enjoy this time I have now,\and spend time with Miss Kobayashi, that's all...\How long?\You understand, don't you? response:	One day you will have to go back.
context: Don't deceive yourself.\And with that...\I ask you. How long are you planning to keep doing this?\I just want to enjoy this time I have now,\and spend time with Miss Kobayashi, that's all...\How long?\You understand, don't you?\One day you will have to go back. response:	I won't go back.
context: And with that...\I ask you. How long are you planning to keep doing this?\I just want to enjoy this time I have now,\and spend time with Miss Kobayashi, that's all...\How long?\You understand, don't you?\One day you will have to go back.\I won't go back. response:	I don't intend to go back.
context: I ask you. How long are you planning to keep doing this?\I just want to enjoy this time I have now,\and spend time with Miss Kobayashi, that's all...\How long?\You understand, don't you?\One day you will have to go back.\I won't go back.\I don't intend to go back. response:	Because I'm Miss Kobayashi's maid.
context: I just want to enjoy this time I have now,\and spend time with Miss Kobayashi, that's all...\How long?\You understand, don't you?\One day you will have to go back.\I won't go back.\I don't intend to go back.\Because I'm Miss Kobayashi's maid. response:	You're not. You're a dragon!
context: and spend time with Miss Kobayashi, that's all...\How long?\You understand, don't you?\One day you will have to go back.\I won't go back.\I don't intend to go back.\Because I'm Miss Kobayashi's maid.\You're not. You're a dragon! response:	What will you do if you have a reason to return?
context: How long?\You understand, don't you?\One day you will have to go back.\I won't go back.\I don't intend to go back.\Because I'm Miss Kobayashi's maid.\You're not. You're a dragon!\What will you do if you have a reason to return? response:	If the war back there worsens?
context: You understand, don't you?\One day you will have to go back.\I won't go back.\I don't intend to go back.\Because I'm Miss Kobayashi's maid.\You're not. You're a dragon!\What will you do if you have a reason to return?\If the war back there worsens? response:	If you long for battle?
context: One day you will have to go back.\I won't go back.\I don't intend to go back.\Because I'm Miss Kobayashi's maid.\You're not. You're a dragon!\What will you do if you have a reason to return?\If the war back there worsens?\If you long for battle? response:	If Miss Kobayashi were to...
context: I won't go back.\I don't intend to go back.\Because I'm Miss Kobayashi's maid.\You're not. You're a dragon!\What will you do if you have a reason to return?\If the war back there worsens?\If you long for battle?\If Miss Kobayashi were to... response:	Die
context: I don't intend to go back.\Because I'm Miss Kobayashi's maid.\You're not. You're a dragon!\What will you do if you have a reason to return?\If the war back there worsens?\If you long for battle?\If Miss Kobayashi were to...\Die response:	Miss Kobayashi... The place I belong...
context: Because I'm Miss Kobayashi's maid.\You're not. You're a dragon!\What will you do if you have a reason to return?\If the war back there worsens?\If you long for battle?\If Miss Kobayashi were to...\Die\Miss Kobayashi... The place I belong... response:	Father?
context: You're not. You're a dragon!\What will you do if you have a reason to return?\If the war back there worsens?\If you long for battle?\If Miss Kobayashi were to...\Die\Miss Kobayashi... The place I belong...\Father? response:	You understand why I'm here, yes?
context: What will you do if you have a reason to return?\If the war back there worsens?\If you long for battle?\If Miss Kobayashi were to...\Die\Miss Kobayashi... The place I belong...\Father?\You understand why I'm here, yes? response:	You're coming home with me.
context: If the war back there worsens?\If you long for battle?\If Miss Kobayashi were to...\Die\Miss Kobayashi... The place I belong...\Father?\You understand why I'm here, yes?\You're coming home with me. response:	Tohru, this isn't where you belong.
context: If you long for battle?\If Miss Kobayashi were to...\Die\Miss Kobayashi... The place I belong...\Father?\You understand why I'm here, yes?\You're coming home with me.\Tohru, this isn't where you belong. response:	Lady Tohru!
context: If Miss Kobayashi were to...\Die\Miss Kobayashi... The place I belong...\Father?\You understand why I'm here, yes?\You're coming home with me.\Tohru, this isn't where you belong.\Lady Tohru! response:	Yeah.
context: Die\Miss Kobayashi... The place I belong...\Father?\You understand why I'm here, yes?\You're coming home with me.\Tohru, this isn't where you belong.\Lady Tohru!\Yeah. response:	Tohru's still not back yet, huh.
context: Miss Kobayashi... The place I belong...\Father?\You understand why I'm here, yes?\You're coming home with me.\Tohru, this isn't where you belong.\Lady Tohru!\Yeah.\Tohru's still not back yet, huh. response:	Just how far did she go to shop?
context: Father?\You understand why I'm here, yes?\You're coming home with me.\Tohru, this isn't where you belong.\Lady Tohru!\Yeah.\Tohru's still not back yet, huh.\Just how far did she go to shop? response:	Lady Tohru went home.
context: You understand why I'm here, yes?\You're coming home with me.\Tohru, this isn't where you belong.\Lady Tohru!\Yeah.\Tohru's still not back yet, huh.\Just how far did she go to shop?\Lady Tohru went home. response:	No, she's not
context: You're coming home with me.\Tohru, this isn't where you belong.\Lady Tohru!\Yeah.\Tohru's still not back yet, huh.\Just how far did she go to shop?\Lady Tohru went home.\No, she's not response:	She went home.
context: Tohru, this isn't where you belong.\Lady Tohru!\Yeah.\Tohru's still not back yet, huh.\Just how far did she go to shop?\Lady Tohru went home.\No, she's not\She went home. response:	Huh?
context: Lady Tohru!\Yeah.\Tohru's still not back yet, huh.\Just how far did she go to shop?\Lady Tohru went home.\No, she's not\She went home.\Huh? response:	To the other world.
context: Yeah.\Tohru's still not back yet, huh.\Just how far did she go to shop?\Lady Tohru went home.\No, she's not\She went home.\Huh?\To the other world. response:	I think the Emperor of Demise, Lady Tohru's father, came to pick her up.
context: Tohru's still not back yet, huh.\Just how far did she go to shop?\Lady Tohru went home.\No, she's not\She went home.\Huh?\To the other world.\I think the Emperor of Demise, Lady Tohru's father, came to pick her up. response:	What do you mean?
context: Just how far did she go to shop?\Lady Tohru went home.\No, she's not\She went home.\Huh?\To the other world.\I think the Emperor of Demise, Lady Tohru's father, came to pick her up.\What do you mean? response:	I don't think she'll come back to this world anymore.
context: Lady Tohru went home.\No, she's not\She went home.\Huh?\To the other world.\I think the Emperor of Demise, Lady Tohru's father, came to pick her up.\What do you mean?\I don't think she'll come back to this world anymore. response:	Huh?
context: No, she's not\She went home.\Huh?\To the other world.\I think the Emperor of Demise, Lady Tohru's father, came to pick her up.\What do you mean?\I don't think she'll come back to this world anymore.\Huh? response:	She can't go against the Emperor of Demise.
context: She went home.\Huh?\To the other world.\I think the Emperor of Demise, Lady Tohru's father, came to pick her up.\What do you mean?\I don't think she'll come back to this world anymore.\Huh?\She can't go against the Emperor of Demise. response:	I see.
context: Huh?\To the other world.\I think the Emperor of Demise, Lady Tohru's father, came to pick her up.\What do you mean?\I don't think she'll come back to this world anymore.\Huh?\She can't go against the Emperor of Demise.\I see. response:	Seriously?
context: To the other world.\I think the Emperor of Demise, Lady Tohru's father, came to pick her up.\What do you mean?\I don't think she'll come back to this world anymore.\Huh?\She can't go against the Emperor of Demise.\I see.\Seriously? response:	Episode 13
context: I think the Emperor of Demise, Lady Tohru's father, came to pick her up.\What do you mean?\I don't think she'll come back to this world anymore.\Huh?\She can't go against the Emperor of Demise.\I see.\Seriously?\Episode 13 response:	Emperor of Demise Arrives! (It Was the Final Episode Before We Knew It)
context: What do you mean?\I don't think she'll come back to this world anymore.\Huh?\She can't go against the Emperor of Demise.\I see.\Seriously?\Episode 13\Emperor of Demise Arrives! (It Was the Final Episode Before We Knew It) response:	Crap!
context: I don't think she'll come back to this world anymore.\Huh?\She can't go against the Emperor of Demise.\I see.\Seriously?\Episode 13\Emperor of Demise Arrives! (It Was the Final Episode Before We Knew It)\Crap! response:	Kanna-chan, wake up!
context: Huh?\She can't go against the Emperor of Demise.\I see.\Seriously?\Episode 13\Emperor of Demise Arrives! (It Was the Final Episode Before We Knew It)\Crap!\Kanna-chan, wake up! response:	You'll be late!
context: She can't go against the Emperor of Demise.\I see.\Seriously?\Episode 13\Emperor of Demise Arrives! (It Was the Final Episode Before We Knew It)\Crap!\Kanna-chan, wake up!\You'll be late! response:	Shoot, shoot.
context: I see.\Seriously?\Episode 13\Emperor of Demise Arrives! (It Was the Final Episode Before We Knew It)\Crap!\Kanna-chan, wake up!\You'll be late!\Shoot, shoot. response:	I totally forgot!
context: Seriously?\Episode 13\Emperor of Demise Arrives! (It Was the Final Episode Before We Knew It)\Crap!\Kanna-chan, wake up!\You'll be late!\Shoot, shoot.\I totally forgot! response:	Hot!
context: Episode 13\Emperor of Demise Arrives! (It Was the Final Episode Before We Knew It)\Crap!\Kanna-chan, wake up!\You'll be late!\Shoot, shoot.\I totally forgot!\Hot! response:	Oh, man...
context: Emperor of Demise Arrives! (It Was the Final Episode Before We Knew It)\Crap!\Kanna-chan, wake up!\You'll be late!\Shoot, shoot.\I totally forgot!\Hot!\Oh, man... response:	I'm sorry, Kanna-chan.
context: Crap!\Kanna-chan, wake up!\You'll be late!\Shoot, shoot.\I totally forgot!\Hot!\Oh, man...\I'm sorry, Kanna-chan. response:	It's okay.
context: Kanna-chan, wake up!\You'll be late!\Shoot, shoot.\I totally forgot!\Hot!\Oh, man...\I'm sorry, Kanna-chan.\It's okay. response:	Kobayashi-san.
context: You'll be late!\Shoot, shoot.\I totally forgot!\Hot!\Oh, man...\I'm sorry, Kanna-chan.\It's okay.\Kobayashi-san. response:	Kobayashi-san.
context: Shoot, shoot.\I totally forgot!\Hot!\Oh, man...\I'm sorry, Kanna-chan.\It's okay.\Kobayashi-san.\Kobayashi-san. response:	Kobayashi-san?
context: I totally forgot!\Hot!\Oh, man...\I'm sorry, Kanna-chan.\It's okay.\Kobayashi-san.\Kobayashi-san.\Kobayashi-san? response:	Huh?
context: Hot!\Oh, man...\I'm sorry, Kanna-chan.\It's okay.\Kobayashi-san.\Kobayashi-san.\Kobayashi-san?\Huh? response:	Oh, Yamashita-kun.
context: Oh, man...\I'm sorry, Kanna-chan.\It's okay.\Kobayashi-san.\Kobayashi-san.\Kobayashi-san?\Huh?\Oh, Yamashita-kun. response:	About those revisions...
context: I'm sorry, Kanna-chan.\It's okay.\Kobayashi-san.\Kobayashi-san.\Kobayashi-san?\Huh?\Oh, Yamashita-kun.\About those revisions... response:	Yeah, I'll take care of them.
context: It's okay.\Kobayashi-san.\Kobayashi-san.\Kobayashi-san?\Huh?\Oh, Yamashita-kun.\About those revisions...\Yeah, I'll take care of them. response:	Sorry.
context: Kobayashi-san.\Kobayashi-san.\Kobayashi-san?\Huh?\Oh, Yamashita-kun.\About those revisions...\Yeah, I'll take care of them.\Sorry. response:	Kobayashi-san, did something happen?
context: Kobayashi-san.\Kobayashi-san?\Huh?\Oh, Yamashita-kun.\About those revisions...\Yeah, I'll take care of them.\Sorry.\Kobayashi-san, did something happen? response:	Tohru went home.
context: Kobayashi-san?\Huh?\Oh, Yamashita-kun.\About those revisions...\Yeah, I'll take care of them.\Sorry.\Kobayashi-san, did something happen?\Tohru went home. response:	To the other world.
context: Huh?\Oh, Yamashita-kun.\About those revisions...\Yeah, I'll take care of them.\Sorry.\Kobayashi-san, did something happen?\Tohru went home.\To the other world. response:	I see.
context: Oh, Yamashita-kun.\About those revisions...\Yeah, I'll take care of them.\Sorry.\Kobayashi-san, did something happen?\Tohru went home.\To the other world.\I see. response:	Yeah.
context: About those revisions...\Yeah, I'll take care of them.\Sorry.\Kobayashi-san, did something happen?\Tohru went home.\To the other world.\I see.\Yeah. response:	I'm home.
context: Yeah, I'll take care of them.\Sorry.\Kobayashi-san, did something happen?\Tohru went home.\To the other world.\I see.\Yeah.\I'm home. response:	Sorry I'm late.
context: Sorry.\Kobayashi-san, did something happen?\Tohru went home.\To the other world.\I see.\Yeah.\I'm home.\Sorry I'm late. response:	Let's have dinner.
context: Kobayashi-san, did something happen?\Tohru went home.\To the other world.\I see.\Yeah.\I'm home.\Sorry I'm late.\Let's have dinner. response:	Yeah.
context: Tohru went home.\To the other world.\I see.\Yeah.\I'm home.\Sorry I'm late.\Let's have dinner.\Yeah. response:	Burnable Trash
context: To the other world.\I see.\Yeah.\I'm home.\Sorry I'm late.\Let's have dinner.\Yeah.\Burnable Trash response:	Time Set
context: I see.\Yeah.\I'm home.\Sorry I'm late.\Let's have dinner.\Yeah.\Burnable Trash\Time Set response:	Are you all right?
context: Yeah.\I'm home.\Sorry I'm late.\Let's have dinner.\Yeah.\Burnable Trash\Time Set\Are you all right? response:	How so?
context: I'm home.\Sorry I'm late.\Let's have dinner.\Yeah.\Burnable Trash\Time Set\Are you all right?\How so? response:	Staying this late, pulling overtime.
context: Sorry I'm late.\Let's have dinner.\Yeah.\Burnable Trash\Time Set\Are you all right?\How so?\Staying this late, pulling overtime. response:	Kanna-chan's staying at Saikawa-san's place tonight.
context: Let's have dinner.\Yeah.\Burnable Trash\Time Set\Are you all right?\How so?\Staying this late, pulling overtime.\Kanna-chan's staying at Saikawa-san's place tonight. response:	I see.
context: Yeah.\Burnable Trash\Time Set\Are you all right?\How so?\Staying this late, pulling overtime.\Kanna-chan's staying at Saikawa-san's place tonight.\I see. response:	Want to go for drinks after we're done?
context: Burnable Trash\Time Set\Are you all right?\How so?\Staying this late, pulling overtime.\Kanna-chan's staying at Saikawa-san's place tonight.\I see.\Want to go for drinks after we're done? response:	I'll pass tonight.
context: Time Set\Are you all right?\How so?\Staying this late, pulling overtime.\Kanna-chan's staying at Saikawa-san's place tonight.\I see.\Want to go for drinks after we're done?\I'll pass tonight. response:	All right.
context: Are you all right?\How so?\Staying this late, pulling overtime.\Kanna-chan's staying at Saikawa-san's place tonight.\I see.\Want to go for drinks after we're done?\I'll pass tonight.\All right. response:	Next time, then.
context: How so?\Staying this late, pulling overtime.\Kanna-chan's staying at Saikawa-san's place tonight.\I see.\Want to go for drinks after we're done?\I'll pass tonight.\All right.\Next time, then. response:	Yeah.
context: Staying this late, pulling overtime.\Kanna-chan's staying at Saikawa-san's place tonight.\I see.\Want to go for drinks after we're done?\I'll pass tonight.\All right.\Next time, then.\Yeah. response:	Well, Kanna-sama, young lady, good night.
context: Kanna-chan's staying at Saikawa-san's place tonight.\I see.\Want to go for drinks after we're done?\I'll pass tonight.\All right.\Next time, then.\Yeah.\Well, Kanna-sama, young lady, good night. response:	Good night.
context: I see.\Want to go for drinks after we're done?\I'll pass tonight.\All right.\Next time, then.\Yeah.\Well, Kanna-sama, young lady, good night.\Good night. response:	Wh-What's the matter, Kanna-san?
context: Want to go for drinks after we're done?\I'll pass tonight.\All right.\Next time, then.\Yeah.\Well, Kanna-sama, young lady, good night.\Good night.\Wh-What's the matter, Kanna-san? response:	Tohru.
context: I'll pass tonight.\All right.\Next time, then.\Yeah.\Well, Kanna-sama, young lady, good night.\Good night.\Wh-What's the matter, Kanna-san?\Tohru. response:	Hades7: Well, time for me to drop off.
context: All right.\Next time, then.\Yeah.\Well, Kanna-sama, young lady, good night.\Good night.\Wh-What's the matter, Kanna-san?\Tohru.\Hades7: Well, time for me to drop off. response:	Ebony Holy Knight: Oh, me, too.
