context: Good morning! response:	Kirisaki-san!
context: Is that right? I go there a lot too, you know.\Now if only I could break up with this little bean sprout, my life would be perfect!\Back at'cha, Princess Gorilla.\For the longest time, she would only give me hostile looks,\but these days, I think I'm beginning to see her smile more often.\What are you staring at, you super-pervert? You're creeping me out!\Nope, she hasn't changed at all.\C'mon! We're going to get this done ASAP! response:	Hey, you help out, too!
context: Now if only I could break up with this little bean sprout, my life would be perfect!\Back at'cha, Princess Gorilla.\For the longest time, she would only give me hostile looks,\but these days, I think I'm beginning to see her smile more often.\What are you staring at, you super-pervert? You're creeping me out!\Nope, she hasn't changed at all.\C'mon! We're going to get this done ASAP!\Hey, you help out, too! response:	Those two are seriously sewn at the hip. I have to hand it to them.
context: Back at'cha, Princess Gorilla.\For the longest time, she would only give me hostile looks,\but these days, I think I'm beginning to see her smile more often.\What are you staring at, you super-pervert? You're creeping me out!\Nope, she hasn't changed at all.\C'mon! We're going to get this done ASAP!\Hey, you help out, too!\Those two are seriously sewn at the hip. I have to hand it to them. response:	Yeah. Good for them.
context: For the longest time, she would only give me hostile looks,\but these days, I think I'm beginning to see her smile more often.\What are you staring at, you super-pervert? You're creeping me out!\Nope, she hasn't changed at all.\C'mon! We're going to get this done ASAP!\Hey, you help out, too!\Those two are seriously sewn at the hip. I have to hand it to them.\Yeah. Good for them. response:	They're totally hooked on each other.
context: but these days, I think I'm beginning to see her smile more often.\What are you staring at, you super-pervert? You're creeping me out!\Nope, she hasn't changed at all.\C'mon! We're going to get this done ASAP!\Hey, you help out, too!\Those two are seriously sewn at the hip. I have to hand it to them.\Yeah. Good for them.\They're totally hooked on each other. response:	How is that good? Where does that leave you?
context: What are you staring at, you super-pervert? You're creeping me out!\Nope, she hasn't changed at all.\C'mon! We're going to get this done ASAP!\Hey, you help out, too!\Those two are seriously sewn at the hip. I have to hand it to them.\Yeah. Good for them.\They're totally hooked on each other.\How is that good? Where does that leave you? response:	What?
context: Nope, she hasn't changed at all.\C'mon! We're going to get this done ASAP!\Hey, you help out, too!\Those two are seriously sewn at the hip. I have to hand it to them.\Yeah. Good for them.\They're totally hooked on each other.\How is that good? Where does that leave you?\What? response:	You have a crush on Ichijou-kun, don't you?
context: C'mon! We're going to get this done ASAP!\Hey, you help out, too!\Those two are seriously sewn at the hip. I have to hand it to them.\Yeah. Good for them.\They're totally hooked on each other.\How is that good? Where does that leave you?\What?\You have a crush on Ichijou-kun, don't you? response:	H-How long... How long have you...
context: Hey, you help out, too!\Those two are seriously sewn at the hip. I have to hand it to them.\Yeah. Good for them.\They're totally hooked on each other.\How is that good? Where does that leave you?\What?\You have a crush on Ichijou-kun, don't you?\H-How long... How long have you... response:	Did you really think I couldn't tell? I'm amazed.
context: Those two are seriously sewn at the hip. I have to hand it to them.\Yeah. Good for them.\They're totally hooked on each other.\How is that good? Where does that leave you?\What?\You have a crush on Ichijou-kun, don't you?\H-How long... How long have you...\Did you really think I couldn't tell? I'm amazed. response:	B-But Ichijou-kun has a girlfriend, you know!
context: Yeah. Good for them.\They're totally hooked on each other.\How is that good? Where does that leave you?\What?\You have a crush on Ichijou-kun, don't you?\H-How long... How long have you...\Did you really think I couldn't tell? I'm amazed.\B-But Ichijou-kun has a girlfriend, you know! response:	I'd only come between them!
context: They're totally hooked on each other.\How is that good? Where does that leave you?\What?\You have a crush on Ichijou-kun, don't you?\H-How long... How long have you...\Did you really think I couldn't tell? I'm amazed.\B-But Ichijou-kun has a girlfriend, you know!\I'd only come between them! response:	Oh?
context: How is that good? Where does that leave you?\What?\You have a crush on Ichijou-kun, don't you?\H-How long... How long have you...\Did you really think I couldn't tell? I'm amazed.\B-But Ichijou-kun has a girlfriend, you know!\I'd only come between them!\Oh? response:	And here I was convinced this whole time that Ichijou-kun had a thing for you too.
context: What?\You have a crush on Ichijou-kun, don't you?\H-How long... How long have you...\Did you really think I couldn't tell? I'm amazed.\B-But Ichijou-kun has a girlfriend, you know!\I'd only come between them!\Oh?\And here I was convinced this whole time that Ichijou-kun had a thing for you too. response:	Wh-What?
context: You have a crush on Ichijou-kun, don't you?\H-How long... How long have you...\Did you really think I couldn't tell? I'm amazed.\B-But Ichijou-kun has a girlfriend, you know!\I'd only come between them!\Oh?\And here I was convinced this whole time that Ichijou-kun had a thing for you too.\Wh-What? response:	N-No way! He can't possibly have a crush on me!
context: H-How long... How long have you...\Did you really think I couldn't tell? I'm amazed.\B-But Ichijou-kun has a girlfriend, you know!\I'd only come between them!\Oh?\And here I was convinced this whole time that Ichijou-kun had a thing for you too.\Wh-What?\N-No way! He can't possibly have a crush on me! response:	Really? From where I stand, it's painfully obvious.
context: Did you really think I couldn't tell? I'm amazed.\B-But Ichijou-kun has a girlfriend, you know!\I'd only come between them!\Oh?\And here I was convinced this whole time that Ichijou-kun had a thing for you too.\Wh-What?\N-No way! He can't possibly have a crush on me!\Really? From where I stand, it's painfully obvious. response:	To be honest, I wished you two would get together already and get it over with.
context: B-But Ichijou-kun has a girlfriend, you know!\I'd only come between them!\Oh?\And here I was convinced this whole time that Ichijou-kun had a thing for you too.\Wh-What?\N-No way! He can't possibly have a crush on me!\Really? From where I stand, it's painfully obvious.\To be honest, I wished you two would get together already and get it over with. response:	It was pretty irritating, you know.
context: I'd only come between them!\Oh?\And here I was convinced this whole time that Ichijou-kun had a thing for you too.\Wh-What?\N-No way! He can't possibly have a crush on me!\Really? From where I stand, it's painfully obvious.\To be honest, I wished you two would get together already and get it over with.\It was pretty irritating, you know. response:	I wish you would hold back a little, Ruri-chan.
context: Oh?\And here I was convinced this whole time that Ichijou-kun had a thing for you too.\Wh-What?\N-No way! He can't possibly have a crush on me!\Really? From where I stand, it's painfully obvious.\To be honest, I wished you two would get together already and get it over with.\It was pretty irritating, you know.\I wish you would hold back a little, Ruri-chan. response:	And besides, nobody said you're not allowed to go after a boy
context: And here I was convinced this whole time that Ichijou-kun had a thing for you too.\Wh-What?\N-No way! He can't possibly have a crush on me!\Really? From where I stand, it's painfully obvious.\To be honest, I wished you two would get together already and get it over with.\It was pretty irritating, you know.\I wish you would hold back a little, Ruri-chan.\And besides, nobody said you're not allowed to go after a boy response:	just because he's already in love with someone else.
context: Wh-What?\N-No way! He can't possibly have a crush on me!\Really? From where I stand, it's painfully obvious.\To be honest, I wished you two would get together already and get it over with.\It was pretty irritating, you know.\I wish you would hold back a little, Ruri-chan.\And besides, nobody said you're not allowed to go after a boy\just because he's already in love with someone else. response:	Well, be that as it may...
context: N-No way! He can't possibly have a crush on me!\Really? From where I stand, it's painfully obvious.\To be honest, I wished you two would get together already and get it over with.\It was pretty irritating, you know.\I wish you would hold back a little, Ruri-chan.\And besides, nobody said you're not allowed to go after a boy\just because he's already in love with someone else.\Well, be that as it may... response:	Don't you worry, Kosaki.
context: Really? From where I stand, it's painfully obvious.\To be honest, I wished you two would get together already and get it over with.\It was pretty irritating, you know.\I wish you would hold back a little, Ruri-chan.\And besides, nobody said you're not allowed to go after a boy\just because he's already in love with someone else.\Well, be that as it may...\Don't you worry, Kosaki. response:	I'll set up an opportunity for you.
context: To be honest, I wished you two would get together already and get it over with.\It was pretty irritating, you know.\I wish you would hold back a little, Ruri-chan.\And besides, nobody said you're not allowed to go after a boy\just because he's already in love with someone else.\Well, be that as it may...\Don't you worry, Kosaki.\I'll set up an opportunity for you. response:	Huh? Wait! Wait a second, Ruri-chan! What are you going to do?
context: It was pretty irritating, you know.\I wish you would hold back a little, Ruri-chan.\And besides, nobody said you're not allowed to go after a boy\just because he's already in love with someone else.\Well, be that as it may...\Don't you worry, Kosaki.\I'll set up an opportunity for you.\Huh? Wait! Wait a second, Ruri-chan! What are you going to do? response:	Ichijou-kun!
context: I wish you would hold back a little, Ruri-chan.\And besides, nobody said you're not allowed to go after a boy\just because he's already in love with someone else.\Well, be that as it may...\Don't you worry, Kosaki.\I'll set up an opportunity for you.\Huh? Wait! Wait a second, Ruri-chan! What are you going to do?\Ichijou-kun! response:	Oh!
context: And besides, nobody said you're not allowed to go after a boy\just because he's already in love with someone else.\Well, be that as it may...\Don't you worry, Kosaki.\I'll set up an opportunity for you.\Huh? Wait! Wait a second, Ruri-chan! What are you going to do?\Ichijou-kun!\Oh! response:	We'd like to hold a study group in your bedroom today. How about it?
context: just because he's already in love with someone else.\Well, be that as it may...\Don't you worry, Kosaki.\I'll set up an opportunity for you.\Huh? Wait! Wait a second, Ruri-chan! What are you going to do?\Ichijou-kun!\Oh!\We'd like to hold a study group in your bedroom today. How about it? response:	Huh?!
context: Well, be that as it may...\Don't you worry, Kosaki.\I'll set up an opportunity for you.\Huh? Wait! Wait a second, Ruri-chan! What are you going to do?\Ichijou-kun!\Oh!\We'd like to hold a study group in your bedroom today. How about it?\Huh?! response:	Episode 4: The Visit
context: Don't you worry, Kosaki.\I'll set up an opportunity for you.\Huh? Wait! Wait a second, Ruri-chan! What are you going to do?\Ichijou-kun!\Oh!\We'd like to hold a study group in your bedroom today. How about it?\Huh?!\Episode 4: The Visit response:	Episode 4: The Visit
context: I'll set up an opportunity for you.\Huh? Wait! Wait a second, Ruri-chan! What are you going to do?\Ichijou-kun!\Oh!\We'd like to hold a study group in your bedroom today. How about it?\Huh?!\Episode 4: The Visit\Episode 4: The Visit response:	Episode 4: The Visit
context: Huh? Wait! Wait a second, Ruri-chan! What are you going to do?\Ichijou-kun!\Oh!\We'd like to hold a study group in your bedroom today. How about it?\Huh?!\Episode 4: The Visit\Episode 4: The Visit\Episode 4: The Visit response:	Ah...
context: Ichijou-kun!\Oh!\We'd like to hold a study group in your bedroom today. How about it?\Huh?!\Episode 4: The Visit\Episode 4: The Visit\Episode 4: The Visit\Ah... response:	el
context: Oh!\We'd like to hold a study group in your bedroom today. How about it?\Huh?!\Episode 4: The Visit\Episode 4: The Visit\Episode 4: The Visit\Ah...\el response:	co
context: We'd like to hold a study group in your bedroom today. How about it?\Huh?!\Episode 4: The Visit\Episode 4: The Visit\Episode 4: The Visit\Ah...\el\co response:	We've been waiting for you, Young Master!
context: Huh?!\Episode 4: The Visit\Episode 4: The Visit\Episode 4: The Visit\Ah...\el\co\We've been waiting for you, Young Master! response:	I hear you've got a study group with your friends planned for today!
context: Episode 4: The Visit\Episode 4: The Visit\Episode 4: The Visit\Ah...\el\co\We've been waiting for you, Young Master!\I hear you've got a study group with your friends planned for today! response:	el
context: Episode 4: The Visit\Episode 4: The Visit\Ah...\el\co\We've been waiting for you, Young Master!\I hear you've got a study group with your friends planned for today!\el response:	co
context: Episode 4: The Visit\Ah...\el\co\We've been waiting for you, Young Master!\I hear you've got a study group with your friends planned for today!\el\co response:	el
context: Ah...\el\co\We've been waiting for you, Young Master!\I hear you've got a study group with your friends planned for today!\el\co\el response:	co
context: el\co\We've been waiting for you, Young Master!\I hear you've got a study group with your friends planned for today!\el\co\el\co response:	el
context: co\We've been waiting for you, Young Master!\I hear you've got a study group with your friends planned for today!\el\co\el\co\el response:	co
context: We've been waiting for you, Young Master!\I hear you've got a study group with your friends planned for today!\el\co\el\co\el\co response:	el
context: I hear you've got a study group with your friends planned for today!\el\co\el\co\el\co\el response:	co
context: el\co\el\co\el\co\el\co response:	el
context: co\el\co\el\co\el\co\el response:	co
context: el\co\el\co\el\co\el\co response:	el
context: co\el\co\el\co\el\co\el response:	co
context: el\co\el\co\el\co\el\co response:	el
context: co\el\co\el\co\el\co\el response:	co
context: el\co\el\co\el\co\el\co response:	el
context: co\el\co\el\co\el\co\el response:	co
context: el\co\el\co\el\co\el\co response:	el
context: co\el\co\el\co\el\co\el response:	co
context: el\co\el\co\el\co\el\co response:	el
context: co\el\co\el\co\el\co\el response:	co
context: el\co\el\co\el\co\el\co response:	el
context: co\el\co\el\co\el\co\el response:	co
context: el\co\el\co\el\co\el\co response:	el
context: co\el\co\el\co\el\co\el response:	co
context: el\co\el\co\el\co\el\co response:	el
context: co\el\co\el\co\el\co\el response:	co
context: el\co\el\co\el\co\el\co response:	el
context: co\el\co\el\co\el\co\el response:	co
context: el\co\el\co\el\co\el\co response:	el
context: co\el\co\el\co\el\co\el response:	co
context: el\co\el\co\el\co\el\co response:	el
context: co\el\co\el\co\el\co\el response:	co
context: el\co\el\co\el\co\el\co response:	el
context: co\el\co\el\co\el\co\el response:	co
context: el\co\el\co\el\co\el\co response:	el
context: co\el\co\el\co\el\co\el response:	co
context: el\co\el\co\el\co\el\co response:	el
context: co\el\co\el\co\el\co\el response:	co
context: el\co\el\co\el\co\el\co response:	el
context: co\el\co\el\co\el\co\el response:	co
context: el\co\el\co\el\co\el\co response:	el
context: co\el\co\el\co\el\co\el response:	el
context: el\co\el\co\el\co\el\el response:	co
context: co\el\co\el\co\el\el\co response:	That's right, I do. Can you bring us some tea?
context: el\co\el\co\el\el\co\That's right, I do. Can you bring us some tea? response:	Coming right up!
context: co\el\co\el\el\co\That's right, I do. Can you bring us some tea?\Coming right up! response:	How did I land myself in this mess?
context: el\co\el\el\co\That's right, I do. Can you bring us some tea?\Coming right up!\How did I land myself in this mess? response:	I don't have the slightest clue why Miyamoto would suddenly suggest a study group at my place,
context: co\el\el\co\That's right, I do. Can you bring us some tea?\Coming right up!\How did I land myself in this mess?\I don't have the slightest clue why Miyamoto would suddenly suggest a study group at my place, response:	but that's not the issue at hand!
context: el\el\co\That's right, I do. Can you bring us some tea?\Coming right up!\How did I land myself in this mess?\I don't have the slightest clue why Miyamoto would suddenly suggest a study group at my place,\but that's not the issue at hand! response:	Onodera's coming over! Am I allowed to be this blessed?
context: el\co\That's right, I do. Can you bring us some tea?\Coming right up!\How did I land myself in this mess?\I don't have the slightest clue why Miyamoto would suddenly suggest a study group at my place,\but that's not the issue at hand!\Onodera's coming over! Am I allowed to be this blessed? response:	Thank you, God!
context: co\That's right, I do. Can you bring us some tea?\Coming right up!\How did I land myself in this mess?\I don't have the slightest clue why Miyamoto would suddenly suggest a study group at my place,\but that's not the issue at hand!\Onodera's coming over! Am I allowed to be this blessed?\Thank you, God! response:	Why are you tagging along, Maiko-kun?
context: That's right, I do. Can you bring us some tea?\Coming right up!\How did I land myself in this mess?\I don't have the slightest clue why Miyamoto would suddenly suggest a study group at my place,\but that's not the issue at hand!\Onodera's coming over! Am I allowed to be this blessed?\Thank you, God!\Why are you tagging along, Maiko-kun? response:	Now, now, where's the harm?
context: Coming right up!\How did I land myself in this mess?\I don't have the slightest clue why Miyamoto would suddenly suggest a study group at my place,\but that's not the issue at hand!\Onodera's coming over! Am I allowed to be this blessed?\Thank you, God!\Why are you tagging along, Maiko-kun?\Now, now, where's the harm? response:	We're eyeglasses buddies, see?
context: How did I land myself in this mess?\I don't have the slightest clue why Miyamoto would suddenly suggest a study group at my place,\but that's not the issue at hand!\Onodera's coming over! Am I allowed to be this blessed?\Thank you, God!\Why are you tagging along, Maiko-kun?\Now, now, where's the harm?\We're eyeglasses buddies, see? response:	How dare you pair us like that.
context: I don't have the slightest clue why Miyamoto would suddenly suggest a study group at my place,\but that's not the issue at hand!\Onodera's coming over! Am I allowed to be this blessed?\Thank you, God!\Why are you tagging along, Maiko-kun?\Now, now, where's the harm?\We're eyeglasses buddies, see?\How dare you pair us like that. response:	Don't tell me it was actually Onodera's idea,
context: but that's not the issue at hand!\Onodera's coming over! Am I allowed to be this blessed?\Thank you, God!\Why are you tagging along, Maiko-kun?\Now, now, where's the harm?\We're eyeglasses buddies, see?\How dare you pair us like that.\Don't tell me it was actually Onodera's idea, response:	and she just got Miyamoto to ask in her place?
context: Onodera's coming over! Am I allowed to be this blessed?\Thank you, God!\Why are you tagging along, Maiko-kun?\Now, now, where's the harm?\We're eyeglasses buddies, see?\How dare you pair us like that.\Don't tell me it was actually Onodera's idea,\and she just got Miyamoto to ask in her place? response:	D-Did she just look away? B-But why?
context: Thank you, God!\Why are you tagging along, Maiko-kun?\Now, now, where's the harm?\We're eyeglasses buddies, see?\How dare you pair us like that.\Don't tell me it was actually Onodera's idea,\and she just got Miyamoto to ask in her place?\D-Did she just look away? B-But why? response:	Really! Thanks a lot, Ruri-chan for putting strange ideas in my head!
context: Why are you tagging along, Maiko-kun?\Now, now, where's the harm?\We're eyeglasses buddies, see?\How dare you pair us like that.\Don't tell me it was actually Onodera's idea,\and she just got Miyamoto to ask in her place?\D-Did she just look away? B-But why?\Really! Thanks a lot, Ruri-chan for putting strange ideas in my head! response:	What should I do? I can't look him in the face!
context: Now, now, where's the harm?\We're eyeglasses buddies, see?\How dare you pair us like that.\Don't tell me it was actually Onodera's idea,\and she just got Miyamoto to ask in her place?\D-Did she just look away? B-But why?\Really! Thanks a lot, Ruri-chan for putting strange ideas in my head!\What should I do? I can't look him in the face! response:	I-It's... It's going to be okay!
context: We're eyeglasses buddies, see?\How dare you pair us like that.\Don't tell me it was actually Onodera's idea,\and she just got Miyamoto to ask in her place?\D-Did she just look away? B-But why?\Really! Thanks a lot, Ruri-chan for putting strange ideas in my head!\What should I do? I can't look him in the face!\I-It's... It's going to be okay! response:	Calm down, Raku! Remember, your house is the headquarters of a yakuza clan, the Shuei-gumi!
context: How dare you pair us like that.\Don't tell me it was actually Onodera's idea,\and she just got Miyamoto to ask in her place?\D-Did she just look away? B-But why?\Really! Thanks a lot, Ruri-chan for putting strange ideas in my head!\What should I do? I can't look him in the face!\I-It's... It's going to be okay!\Calm down, Raku! Remember, your house is the headquarters of a yakuza clan, the Shuei-gumi! response:	I'm sure she's just super nervous!
context: Don't tell me it was actually Onodera's idea,\and she just got Miyamoto to ask in her place?\D-Did she just look away? B-But why?\Really! Thanks a lot, Ruri-chan for putting strange ideas in my head!\What should I do? I can't look him in the face!\I-It's... It's going to be okay!\Calm down, Raku! Remember, your house is the headquarters of a yakuza clan, the Shuei-gumi!\I'm sure she's just super nervous! response:	So jittery...
context: and she just got Miyamoto to ask in her place?\D-Did she just look away? B-But why?\Really! Thanks a lot, Ruri-chan for putting strange ideas in my head!\What should I do? I can't look him in the face!\I-It's... It's going to be okay!\Calm down, Raku! Remember, your house is the headquarters of a yakuza clan, the Shuei-gumi!\I'm sure she's just super nervous!\So jittery... response:	Huh?
context: D-Did she just look away? B-But why?\Really! Thanks a lot, Ruri-chan for putting strange ideas in my head!\What should I do? I can't look him in the face!\I-It's... It's going to be okay!\Calm down, Raku! Remember, your house is the headquarters of a yakuza clan, the Shuei-gumi!\I'm sure she's just super nervous!\So jittery...\Huh? response:	My heart won't stop... So jittery...
context: Really! Thanks a lot, Ruri-chan for putting strange ideas in my head!\What should I do? I can't look him in the face!\I-It's... It's going to be okay!\Calm down, Raku! Remember, your house is the headquarters of a yakuza clan, the Shuei-gumi!\I'm sure she's just super nervous!\So jittery...\Huh?\My heart won't stop... So jittery... response:	What's got you worked up? Why're you so jittery?
context: What should I do? I can't look him in the face!\I-It's... It's going to be okay!\Calm down, Raku! Remember, your house is the headquarters of a yakuza clan, the Shuei-gumi!\I'm sure she's just super nervous!\So jittery...\Huh?\My heart won't stop... So jittery...\What's got you worked up? Why're you so jittery? response:	What... I'm not jittery, or excited, or anything!
context: I-It's... It's going to be okay!\Calm down, Raku! Remember, your house is the headquarters of a yakuza clan, the Shuei-gumi!\I'm sure she's just super nervous!\So jittery...\Huh?\My heart won't stop... So jittery...\What's got you worked up? Why're you so jittery?\What... I'm not jittery, or excited, or anything! response:	Oh, so you were excited, then?
context: Calm down, Raku! Remember, your house is the headquarters of a yakuza clan, the Shuei-gumi!\I'm sure she's just super nervous!\So jittery...\Huh?\My heart won't stop... So jittery...\What's got you worked up? Why're you so jittery?\What... I'm not jittery, or excited, or anything!\Oh, so you were excited, then? response:	I-I can't help it, can I?
context: I'm sure she's just super nervous!\So jittery...\Huh?\My heart won't stop... So jittery...\What's got you worked up? Why're you so jittery?\What... I'm not jittery, or excited, or anything!\Oh, so you were excited, then?\I-I can't help it, can I? response:	I've never been to a study group with my friends before.
context: So jittery...\Huh?\My heart won't stop... So jittery...\What's got you worked up? Why're you so jittery?\What... I'm not jittery, or excited, or anything!\Oh, so you were excited, then?\I-I can't help it, can I?\I've never been to a study group with my friends before. response:	Is it a bad thing for me to get excited?
context: Huh?\My heart won't stop... So jittery...\What's got you worked up? Why're you so jittery?\What... I'm not jittery, or excited, or anything!\Oh, so you were excited, then?\I-I can't help it, can I?\I've never been to a study group with my friends before.\Is it a bad thing for me to get excited? response:	Wow! So this is your room, Ichijou-kun?
context: My heart won't stop... So jittery...\What's got you worked up? Why're you so jittery?\What... I'm not jittery, or excited, or anything!\Oh, so you were excited, then?\I-I can't help it, can I?\I've never been to a study group with my friends before.\Is it a bad thing for me to get excited?\Wow! So this is your room, Ichijou-kun? response:	Hey, I haven't been in here in ages, either. Everything's still the same, huh?
context: What's got you worked up? Why're you so jittery?\What... I'm not jittery, or excited, or anything!\Oh, so you were excited, then?\I-I can't help it, can I?\I've never been to a study group with my friends before.\Is it a bad thing for me to get excited?\Wow! So this is your room, Ichijou-kun?\Hey, I haven't been in here in ages, either. Everything's still the same, huh? response:	Whoa, this room is tiny! And it kind of smells funny.
context: What... I'm not jittery, or excited, or anything!\Oh, so you were excited, then?\I-I can't help it, can I?\I've never been to a study group with my friends before.\Is it a bad thing for me to get excited?\Wow! So this is your room, Ichijou-kun?\Hey, I haven't been in here in ages, either. Everything's still the same, huh?\Whoa, this room is tiny! And it kind of smells funny. response:	It does not!
