context: What name do I give that feeling that was born that night? response:	Sweet words like love or adore just don't sound right.
context: living together with Ren, is nothing but a dream.\Ren was a bright light that lightened the boring life I lived until then.\But no matter how hard I try, he still remains outta my reach.\Nana...\I'm going to Tokyo.\You live your life however you like.\When I was darkness at that time\With trembling lips response:	The more I struggle
context: Ren was a bright light that lightened the boring life I lived until then.\But no matter how hard I try, he still remains outta my reach.\Nana...\I'm going to Tokyo.\You live your life however you like.\When I was darkness at that time\With trembling lips\The more I struggle response:	The more this wound deepens
context: But no matter how hard I try, he still remains outta my reach.\Nana...\I'm going to Tokyo.\You live your life however you like.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens response:	The broken promise hurt me
context: Nana...\I'm going to Tokyo.\You live your life however you like.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me response:	Nobody can save me
context: I'm going to Tokyo.\You live your life however you like.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me response:	God, I have only one request
context: You live your life however you like.\When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request response:	Stop tearing apart my love
context: When I was darkness at that time\With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love response:	I need your love
context: With trembling lips\The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love response:	I'm a broken rose
context: The more I struggle\The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose response:	Sorrow tumbling down is your song
context: The more this wound deepens\The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song response:	All alone with nowhere to go in my life
context: The broken promise hurt me\Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life response:	I need your love
context: Nobody can save me\God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love response:	I'm a broken rose
context: God, I have only one request\Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose response:	Oh baby, help me from frozen pain
context: Stop tearing apart my love\I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain response:	With your smile, your eyes, and sing me, just for me
context: I need your love\I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me response:	I wanna need your love
context: I'm a broken rose\Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love response:	I'm a broken rose
context: Sorrow tumbling down is your song\All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose response:	I wanna need your love
context: All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love response:	Tokyo?
context: I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\Tokyo? response:	Whaddaya mean, Yasu? Are you quitting university?
context: I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\Tokyo?\Whaddaya mean, Yasu? Are you quitting university? response:	I thought you were going to be a lawyer.
context: Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\Tokyo?\Whaddaya mean, Yasu? Are you quitting university?\I thought you were going to be a lawyer. response:	No, not me. Ren.
context: With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\Tokyo?\Whaddaya mean, Yasu? Are you quitting university?\I thought you were going to be a lawyer.\No, not me. Ren. response:	Remember that band Ren and I used to do gigs with
context: I wanna need your love\I'm a broken rose\I wanna need your love\Tokyo?\Whaddaya mean, Yasu? Are you quitting university?\I thought you were going to be a lawyer.\No, not me. Ren.\Remember that band Ren and I used to do gigs with response:	when we had our old band, Trapnest?
context: I'm a broken rose\I wanna need your love\Tokyo?\Whaddaya mean, Yasu? Are you quitting university?\I thought you were going to be a lawyer.\No, not me. Ren.\Remember that band Ren and I used to do gigs with\when we had our old band, Trapnest? response:	Trap? Oh Trapnest!
context: I wanna need your love\Tokyo?\Whaddaya mean, Yasu? Are you quitting university?\I thought you were going to be a lawyer.\No, not me. Ren.\Remember that band Ren and I used to do gigs with\when we had our old band, Trapnest?\Trap? Oh Trapnest! response:	They had the most awesome female vocalist!
context: Tokyo?\Whaddaya mean, Yasu? Are you quitting university?\I thought you were going to be a lawyer.\No, not me. Ren.\Remember that band Ren and I used to do gigs with\when we had our old band, Trapnest?\Trap? Oh Trapnest!\They had the most awesome female vocalist! response:	Yeah, we got along real well. Used to go out drinking and stuff.
context: Whaddaya mean, Yasu? Are you quitting university?\I thought you were going to be a lawyer.\No, not me. Ren.\Remember that band Ren and I used to do gigs with\when we had our old band, Trapnest?\Trap? Oh Trapnest!\They had the most awesome female vocalist!\Yeah, we got along real well. Used to go out drinking and stuff. response:	Well, about two years ago I guess,
context: I thought you were going to be a lawyer.\No, not me. Ren.\Remember that band Ren and I used to do gigs with\when we had our old band, Trapnest?\Trap? Oh Trapnest!\They had the most awesome female vocalist!\Yeah, we got along real well. Used to go out drinking and stuff.\Well, about two years ago I guess, response:	the whole bunch of'em went up to Tokyo looking to become pros.
context: No, not me. Ren.\Remember that band Ren and I used to do gigs with\when we had our old band, Trapnest?\Trap? Oh Trapnest!\They had the most awesome female vocalist!\Yeah, we got along real well. Used to go out drinking and stuff.\Well, about two years ago I guess,\the whole bunch of'em went up to Tokyo looking to become pros. response:	Looks like they got a contract.
context: Remember that band Ren and I used to do gigs with\when we had our old band, Trapnest?\Trap? Oh Trapnest!\They had the most awesome female vocalist!\Yeah, we got along real well. Used to go out drinking and stuff.\Well, about two years ago I guess,\the whole bunch of'em went up to Tokyo looking to become pros.\Looks like they got a contract. response:	No kidding! That's great! I gotta say, they were good, though.
context: when we had our old band, Trapnest?\Trap? Oh Trapnest!\They had the most awesome female vocalist!\Yeah, we got along real well. Used to go out drinking and stuff.\Well, about two years ago I guess,\the whole bunch of'em went up to Tokyo looking to become pros.\Looks like they got a contract.\No kidding! That's great! I gotta say, they were good, though. response:	But that contract... their debut...
context: Trap? Oh Trapnest!\They had the most awesome female vocalist!\Yeah, we got along real well. Used to go out drinking and stuff.\Well, about two years ago I guess,\the whole bunch of'em went up to Tokyo looking to become pros.\Looks like they got a contract.\No kidding! That's great! I gotta say, they were good, though.\But that contract... their debut... response:	apparently there were problems and the guitarist quit.
context: They had the most awesome female vocalist!\Yeah, we got along real well. Used to go out drinking and stuff.\Well, about two years ago I guess,\the whole bunch of'em went up to Tokyo looking to become pros.\Looks like they got a contract.\No kidding! That's great! I gotta say, they were good, though.\But that contract... their debut...\apparently there were problems and the guitarist quit. response:	So the whole band got together and decided to call on Ren.
context: Yeah, we got along real well. Used to go out drinking and stuff.\Well, about two years ago I guess,\the whole bunch of'em went up to Tokyo looking to become pros.\Looks like they got a contract.\No kidding! That's great! I gotta say, they were good, though.\But that contract... their debut...\apparently there were problems and the guitarist quit.\So the whole band got together and decided to call on Ren. response:	Ren's in Tokyo meeting producers this morning,
context: Well, about two years ago I guess,\the whole bunch of'em went up to Tokyo looking to become pros.\Looks like they got a contract.\No kidding! That's great! I gotta say, they were good, though.\But that contract... their debut...\apparently there were problems and the guitarist quit.\So the whole band got together and decided to call on Ren.\Ren's in Tokyo meeting producers this morning, response:	but they've already approved his guitar recordings,
context: the whole bunch of'em went up to Tokyo looking to become pros.\Looks like they got a contract.\No kidding! That's great! I gotta say, they were good, though.\But that contract... their debut...\apparently there were problems and the guitarist quit.\So the whole band got together and decided to call on Ren.\Ren's in Tokyo meeting producers this morning,\but they've already approved his guitar recordings, response:	so it's just like a get-together.
context: Looks like they got a contract.\No kidding! That's great! I gotta say, they were good, though.\But that contract... their debut...\apparently there were problems and the guitarist quit.\So the whole band got together and decided to call on Ren.\Ren's in Tokyo meeting producers this morning,\but they've already approved his guitar recordings,\so it's just like a get-together. response:	He's a member of the band, man.
context: No kidding! That's great! I gotta say, they were good, though.\But that contract... their debut...\apparently there were problems and the guitarist quit.\So the whole band got together and decided to call on Ren.\Ren's in Tokyo meeting producers this morning,\but they've already approved his guitar recordings,\so it's just like a get-together.\He's a member of the band, man. response:	Hey wait a minute...
context: But that contract... their debut...\apparently there were problems and the guitarist quit.\So the whole band got together and decided to call on Ren.\Ren's in Tokyo meeting producers this morning,\but they've already approved his guitar recordings,\so it's just like a get-together.\He's a member of the band, man.\Hey wait a minute... response:	It's not like he's moved there yet.
context: apparently there were problems and the guitarist quit.\So the whole band got together and decided to call on Ren.\Ren's in Tokyo meeting producers this morning,\but they've already approved his guitar recordings,\so it's just like a get-together.\He's a member of the band, man.\Hey wait a minute...\It's not like he's moved there yet. response:	He'll be back in town tomorrow.
context: So the whole band got together and decided to call on Ren.\Ren's in Tokyo meeting producers this morning,\but they've already approved his guitar recordings,\so it's just like a get-together.\He's a member of the band, man.\Hey wait a minute...\It's not like he's moved there yet.\He'll be back in town tomorrow. response:	But he's moving to Tokyo, right?! What about Blast?!
context: Ren's in Tokyo meeting producers this morning,\but they've already approved his guitar recordings,\so it's just like a get-together.\He's a member of the band, man.\Hey wait a minute...\It's not like he's moved there yet.\He'll be back in town tomorrow.\But he's moving to Tokyo, right?! What about Blast?! response:	What's going to happen to us?
context: but they've already approved his guitar recordings,\so it's just like a get-together.\He's a member of the band, man.\Hey wait a minute...\It's not like he's moved there yet.\He'll be back in town tomorrow.\But he's moving to Tokyo, right?! What about Blast?!\What's going to happen to us? response:	We've only been together for a year and a half.
context: so it's just like a get-together.\He's a member of the band, man.\Hey wait a minute...\It's not like he's moved there yet.\He'll be back in town tomorrow.\But he's moving to Tokyo, right?! What about Blast?!\What's going to happen to us?\We've only been together for a year and a half. response:	We're just getting into the groove...
context: He's a member of the band, man.\Hey wait a minute...\It's not like he's moved there yet.\He'll be back in town tomorrow.\But he's moving to Tokyo, right?! What about Blast?!\What's going to happen to us?\We've only been together for a year and a half.\We're just getting into the groove... response:	Don't worry.
context: Hey wait a minute...\It's not like he's moved there yet.\He'll be back in town tomorrow.\But he's moving to Tokyo, right?! What about Blast?!\What's going to happen to us?\We've only been together for a year and a half.\We're just getting into the groove...\Don't worry. response:	You can find bass players a dime a dozen.
context: It's not like he's moved there yet.\He'll be back in town tomorrow.\But he's moving to Tokyo, right?! What about Blast?!\What's going to happen to us?\We've only been together for a year and a half.\We're just getting into the groove...\Don't worry.\You can find bass players a dime a dozen. response:	We'll find a replacement right away.
context: He'll be back in town tomorrow.\But he's moving to Tokyo, right?! What about Blast?!\What's going to happen to us?\We've only been together for a year and a half.\We're just getting into the groove...\Don't worry.\You can find bass players a dime a dozen.\We'll find a replacement right away. response:	That's easy to say, but I don't buy it.
context: But he's moving to Tokyo, right?! What about Blast?!\What's going to happen to us?\We've only been together for a year and a half.\We're just getting into the groove...\Don't worry.\You can find bass players a dime a dozen.\We'll find a replacement right away.\That's easy to say, but I don't buy it. response:	I feel like I've been double-crossed.
context: What's going to happen to us?\We've only been together for a year and a half.\We're just getting into the groove...\Don't worry.\You can find bass players a dime a dozen.\We'll find a replacement right away.\That's easy to say, but I don't buy it.\I feel like I've been double-crossed. response:	Hey man, Ren's been sitting around in town going nowhere.
context: We've only been together for a year and a half.\We're just getting into the groove...\Don't worry.\You can find bass players a dime a dozen.\We'll find a replacement right away.\That's easy to say, but I don't buy it.\I feel like I've been double-crossed.\Hey man, Ren's been sitting around in town going nowhere. response:	Don't you think it's a waste?
context: We're just getting into the groove...\Don't worry.\You can find bass players a dime a dozen.\We'll find a replacement right away.\That's easy to say, but I don't buy it.\I feel like I've been double-crossed.\Hey man, Ren's been sitting around in town going nowhere.\Don't you think it's a waste? response:	Well then, why don't we all go to Tokyo with Ren
context: Don't worry.\You can find bass players a dime a dozen.\We'll find a replacement right away.\That's easy to say, but I don't buy it.\I feel like I've been double-crossed.\Hey man, Ren's been sitting around in town going nowhere.\Don't you think it's a waste?\Well then, why don't we all go to Tokyo with Ren response:	and venture into our professional career?!
context: You can find bass players a dime a dozen.\We'll find a replacement right away.\That's easy to say, but I don't buy it.\I feel like I've been double-crossed.\Hey man, Ren's been sitting around in town going nowhere.\Don't you think it's a waste?\Well then, why don't we all go to Tokyo with Ren\and venture into our professional career?! response:	Tokyo, look out for Blast!
context: We'll find a replacement right away.\That's easy to say, but I don't buy it.\I feel like I've been double-crossed.\Hey man, Ren's been sitting around in town going nowhere.\Don't you think it's a waste?\Well then, why don't we all go to Tokyo with Ren\and venture into our professional career?!\Tokyo, look out for Blast! response:	Sorry, but I have no intention of making a living in music.
context: That's easy to say, but I don't buy it.\I feel like I've been double-crossed.\Hey man, Ren's been sitting around in town going nowhere.\Don't you think it's a waste?\Well then, why don't we all go to Tokyo with Ren\and venture into our professional career?!\Tokyo, look out for Blast!\Sorry, but I have no intention of making a living in music. response:	I don't want to gamble my life away like that.
context: I feel like I've been double-crossed.\Hey man, Ren's been sitting around in town going nowhere.\Don't you think it's a waste?\Well then, why don't we all go to Tokyo with Ren\and venture into our professional career?!\Tokyo, look out for Blast!\Sorry, but I have no intention of making a living in music.\I don't want to gamble my life away like that. response:	Besides, if Ren goes to Tokyo, he should be playing with Trapnest.
context: Hey man, Ren's been sitting around in town going nowhere.\Don't you think it's a waste?\Well then, why don't we all go to Tokyo with Ren\and venture into our professional career?!\Tokyo, look out for Blast!\Sorry, but I have no intention of making a living in music.\I don't want to gamble my life away like that.\Besides, if Ren goes to Tokyo, he should be playing with Trapnest. response:	Why?!
context: Don't you think it's a waste?\Well then, why don't we all go to Tokyo with Ren\and venture into our professional career?!\Tokyo, look out for Blast!\Sorry, but I have no intention of making a living in music.\I don't want to gamble my life away like that.\Besides, if Ren goes to Tokyo, he should be playing with Trapnest.\Why?! response:	There's no guarantee that we'll be able to get a contract anyway.
context: Well then, why don't we all go to Tokyo with Ren\and venture into our professional career?!\Tokyo, look out for Blast!\Sorry, but I have no intention of making a living in music.\I don't want to gamble my life away like that.\Besides, if Ren goes to Tokyo, he should be playing with Trapnest.\Why?!\There's no guarantee that we'll be able to get a contract anyway. response:	We can give it a try!
context: and venture into our professional career?!\Tokyo, look out for Blast!\Sorry, but I have no intention of making a living in music.\I don't want to gamble my life away like that.\Besides, if Ren goes to Tokyo, he should be playing with Trapnest.\Why?!\There's no guarantee that we'll be able to get a contract anyway.\We can give it a try! response:	Hey, no matter how hard you try,
context: Tokyo, look out for Blast!\Sorry, but I have no intention of making a living in music.\I don't want to gamble my life away like that.\Besides, if Ren goes to Tokyo, he should be playing with Trapnest.\Why?!\There's no guarantee that we'll be able to get a contract anyway.\We can give it a try!\Hey, no matter how hard you try, response:	there're still a million out there who don't have the luck to make it.
context: Sorry, but I have no intention of making a living in music.\I don't want to gamble my life away like that.\Besides, if Ren goes to Tokyo, he should be playing with Trapnest.\Why?!\There's no guarantee that we'll be able to get a contract anyway.\We can give it a try!\Hey, no matter how hard you try,\there're still a million out there who don't have the luck to make it. response:	I don't want Ren to be one of them.
context: I don't want to gamble my life away like that.\Besides, if Ren goes to Tokyo, he should be playing with Trapnest.\Why?!\There's no guarantee that we'll be able to get a contract anyway.\We can give it a try!\Hey, no matter how hard you try,\there're still a million out there who don't have the luck to make it.\I don't want Ren to be one of them. response:	Luck is moving in his favor.
context: Besides, if Ren goes to Tokyo, he should be playing with Trapnest.\Why?!\There's no guarantee that we'll be able to get a contract anyway.\We can give it a try!\Hey, no matter how hard you try,\there're still a million out there who don't have the luck to make it.\I don't want Ren to be one of them.\Luck is moving in his favor. response:	He's gotta make it, no matter what it takes.
context: Why?!\There's no guarantee that we'll be able to get a contract anyway.\We can give it a try!\Hey, no matter how hard you try,\there're still a million out there who don't have the luck to make it.\I don't want Ren to be one of them.\Luck is moving in his favor.\He's gotta make it, no matter what it takes. response:	It's not like just because Trapnest got a contract that they'll sell...
context: There's no guarantee that we'll be able to get a contract anyway.\We can give it a try!\Hey, no matter how hard you try,\there're still a million out there who don't have the luck to make it.\I don't want Ren to be one of them.\Luck is moving in his favor.\He's gotta make it, no matter what it takes.\It's not like just because Trapnest got a contract that they'll sell... response:	No worries, man. That band will sell.
context: We can give it a try!\Hey, no matter how hard you try,\there're still a million out there who don't have the luck to make it.\I don't want Ren to be one of them.\Luck is moving in his favor.\He's gotta make it, no matter what it takes.\It's not like just because Trapnest got a contract that they'll sell...\No worries, man. That band will sell. response:	Their sound and their looks shine.
context: Hey, no matter how hard you try,\there're still a million out there who don't have the luck to make it.\I don't want Ren to be one of them.\Luck is moving in his favor.\He's gotta make it, no matter what it takes.\It's not like just because Trapnest got a contract that they'll sell...\No worries, man. That band will sell.\Their sound and their looks shine. response:	You put Ren in there? It's a done deal.
context: there're still a million out there who don't have the luck to make it.\I don't want Ren to be one of them.\Luck is moving in his favor.\He's gotta make it, no matter what it takes.\It's not like just because Trapnest got a contract that they'll sell...\No worries, man. That band will sell.\Their sound and their looks shine.\You put Ren in there? It's a done deal. response:	But!
context: I don't want Ren to be one of them.\Luck is moving in his favor.\He's gotta make it, no matter what it takes.\It's not like just because Trapnest got a contract that they'll sell...\No worries, man. That band will sell.\Their sound and their looks shine.\You put Ren in there? It's a done deal.\But! response:	Get over yourself!
context: Luck is moving in his favor.\He's gotta make it, no matter what it takes.\It's not like just because Trapnest got a contract that they'll sell...\No worries, man. That band will sell.\Their sound and their looks shine.\You put Ren in there? It's a done deal.\But!\Get over yourself! response:	If you want to go to Tokyo, then go!
context: He's gotta make it, no matter what it takes.\It's not like just because Trapnest got a contract that they'll sell...\No worries, man. That band will sell.\Their sound and their looks shine.\You put Ren in there? It's a done deal.\But!\Get over yourself!\If you want to go to Tokyo, then go! response:	But don't get in Ren's way!
context: It's not like just because Trapnest got a contract that they'll sell...\No worries, man. That band will sell.\Their sound and their looks shine.\You put Ren in there? It's a done deal.\But!\Get over yourself!\If you want to go to Tokyo, then go!\But don't get in Ren's way! response:	Besides, you're taking after your dad's Terashima Inn!
context: No worries, man. That band will sell.\Their sound and their looks shine.\You put Ren in there? It's a done deal.\But!\Get over yourself!\If you want to go to Tokyo, then go!\But don't get in Ren's way!\Besides, you're taking after your dad's Terashima Inn! response:	That's probably why you're so carefree about this all.
context: Their sound and their looks shine.\You put Ren in there? It's a done deal.\But!\Get over yourself!\If you want to go to Tokyo, then go!\But don't get in Ren's way!\Besides, you're taking after your dad's Terashima Inn!\That's probably why you're so carefree about this all. response:	You don't have to worry about a future.
context: You put Ren in there? It's a done deal.\But!\Get over yourself!\If you want to go to Tokyo, then go!\But don't get in Ren's way!\Besides, you're taking after your dad's Terashima Inn!\That's probably why you're so carefree about this all.\You don't have to worry about a future. response:	Get over your sweet dreams about becoming professional
context: But!\Get over yourself!\If you want to go to Tokyo, then go!\But don't get in Ren's way!\Besides, you're taking after your dad's Terashima Inn!\That's probably why you're so carefree about this all.\You don't have to worry about a future.\Get over your sweet dreams about becoming professional response:	and work for your dad.
context: Get over yourself!\If you want to go to Tokyo, then go!\But don't get in Ren's way!\Besides, you're taking after your dad's Terashima Inn!\That's probably why you're so carefree about this all.\You don't have to worry about a future.\Get over your sweet dreams about becoming professional\and work for your dad. response:	Being in a band is playtime.
context: If you want to go to Tokyo, then go!\But don't get in Ren's way!\Besides, you're taking after your dad's Terashima Inn!\That's probably why you're so carefree about this all.\You don't have to worry about a future.\Get over your sweet dreams about becoming professional\and work for your dad.\Being in a band is playtime. response:	Yeah maybe, but... I'm worried about Nana.
context: But don't get in Ren's way!\Besides, you're taking after your dad's Terashima Inn!\That's probably why you're so carefree about this all.\You don't have to worry about a future.\Get over your sweet dreams about becoming professional\and work for your dad.\Being in a band is playtime.\Yeah maybe, but... I'm worried about Nana. response:	Is Ren going to, like, dump her and take off?
context: Besides, you're taking after your dad's Terashima Inn!\That's probably why you're so carefree about this all.\You don't have to worry about a future.\Get over your sweet dreams about becoming professional\and work for your dad.\Being in a band is playtime.\Yeah maybe, but... I'm worried about Nana.\Is Ren going to, like, dump her and take off? response:	That's a screwed way of putting it.
context: That's probably why you're so carefree about this all.\You don't have to worry about a future.\Get over your sweet dreams about becoming professional\and work for your dad.\Being in a band is playtime.\Yeah maybe, but... I'm worried about Nana.\Is Ren going to, like, dump her and take off?\That's a screwed way of putting it. response:	Well then, he should take her with him!
context: You don't have to worry about a future.\Get over your sweet dreams about becoming professional\and work for your dad.\Being in a band is playtime.\Yeah maybe, but... I'm worried about Nana.\Is Ren going to, like, dump her and take off?\That's a screwed way of putting it.\Well then, he should take her with him! response:	What's that attitude? Dump her or take her.
context: Get over your sweet dreams about becoming professional\and work for your dad.\Being in a band is playtime.\Yeah maybe, but... I'm worried about Nana.\Is Ren going to, like, dump her and take off?\That's a screwed way of putting it.\Well then, he should take her with him!\What's that attitude? Dump her or take her. response:	Nana is not some cat that belongs to Ren.
context: and work for your dad.\Being in a band is playtime.\Yeah maybe, but... I'm worried about Nana.\Is Ren going to, like, dump her and take off?\That's a screwed way of putting it.\Well then, he should take her with him!\What's that attitude? Dump her or take her.\Nana is not some cat that belongs to Ren. response:	You know as much as I do that she's an independent woman.
context: Being in a band is playtime.\Yeah maybe, but... I'm worried about Nana.\Is Ren going to, like, dump her and take off?\That's a screwed way of putting it.\Well then, he should take her with him!\What's that attitude? Dump her or take her.\Nana is not some cat that belongs to Ren.\You know as much as I do that she's an independent woman. response:	She'll go with him if she wants to.
context: Yeah maybe, but... I'm worried about Nana.\Is Ren going to, like, dump her and take off?\That's a screwed way of putting it.\Well then, he should take her with him!\What's that attitude? Dump her or take her.\Nana is not some cat that belongs to Ren.\You know as much as I do that she's an independent woman.\She'll go with him if she wants to. response:	That's something for Nana to decide.
context: Is Ren going to, like, dump her and take off?\That's a screwed way of putting it.\Well then, he should take her with him!\What's that attitude? Dump her or take her.\Nana is not some cat that belongs to Ren.\You know as much as I do that she's an independent woman.\She'll go with him if she wants to.\That's something for Nana to decide. response:	I'm sure that's how Ren thinks, too.
context: That's a screwed way of putting it.\Well then, he should take her with him!\What's that attitude? Dump her or take her.\Nana is not some cat that belongs to Ren.\You know as much as I do that she's an independent woman.\She'll go with him if she wants to.\That's something for Nana to decide.\I'm sure that's how Ren thinks, too. response:	Yasu...
context: Well then, he should take her with him!\What's that attitude? Dump her or take her.\Nana is not some cat that belongs to Ren.\You know as much as I do that she's an independent woman.\She'll go with him if she wants to.\That's something for Nana to decide.\I'm sure that's how Ren thinks, too.\Yasu... response:	You're really mature.
context: What's that attitude? Dump her or take her.\Nana is not some cat that belongs to Ren.\You know as much as I do that she's an independent woman.\She'll go with him if she wants to.\That's something for Nana to decide.\I'm sure that's how Ren thinks, too.\Yasu...\You're really mature. response:	You're the brat.
context: Nana is not some cat that belongs to Ren.\You know as much as I do that she's an independent woman.\She'll go with him if she wants to.\That's something for Nana to decide.\I'm sure that's how Ren thinks, too.\Yasu...\You're really mature.\You're the brat. response:	But I guess if Nana decides to go to Tokyo...
context: You know as much as I do that she's an independent woman.\She'll go with him if she wants to.\That's something for Nana to decide.\I'm sure that's how Ren thinks, too.\Yasu...\You're really mature.\You're the brat.\But I guess if Nana decides to go to Tokyo... response:	that's the end of Blast.
context: She'll go with him if she wants to.\That's something for Nana to decide.\I'm sure that's how Ren thinks, too.\Yasu...\You're really mature.\You're the brat.\But I guess if Nana decides to go to Tokyo...\that's the end of Blast. response:	When that time comes, I'm out. Although I am going to miss this.
context: That's something for Nana to decide.\I'm sure that's how Ren thinks, too.\Yasu...\You're really mature.\You're the brat.\But I guess if Nana decides to go to Tokyo...\that's the end of Blast.\When that time comes, I'm out. Although I am going to miss this. response:	Time to get out.
context: I'm sure that's how Ren thinks, too.\Yasu...\You're really mature.\You're the brat.\But I guess if Nana decides to go to Tokyo...\that's the end of Blast.\When that time comes, I'm out. Although I am going to miss this.\Time to get out. response:	You go and find another band to be friendly with, Nobu.
context: Yasu...\You're really mature.\You're the brat.\But I guess if Nana decides to go to Tokyo...\that's the end of Blast.\When that time comes, I'm out. Although I am going to miss this.\Time to get out.\You go and find another band to be friendly with, Nobu. response:	When I met Ren the second time,
