context: Hey, Nana. response:	Do you remember the first time we met?
context: All alone with nowhere to go in my life\I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love response:	You have a new message Unopened messages: 1
context: I need your love\I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\You have a new message Unopened messages: 1 response:	Dear God! Great Buddha! Demon Lord!
context: I'm a broken rose\Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\You have a new message Unopened messages: 1\Dear God! Great Buddha! Demon Lord! response:	Shoji The sakura has blossomed
context: Oh baby, help me from frozen pain\With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\You have a new message Unopened messages: 1\Dear God! Great Buddha! Demon Lord!\Shoji The sakura has blossomed response:	All right!
context: With your smile, your eyes, and sing me, just for me\I wanna need your love\I'm a broken rose\I wanna need your love\You have a new message Unopened messages: 1\Dear God! Great Buddha! Demon Lord!\Shoji The sakura has blossomed\All right! response:	E-Excuse me, this...
context: I wanna need your love\I'm a broken rose\I wanna need your love\You have a new message Unopened messages: 1\Dear God! Great Buddha! Demon Lord!\Shoji The sakura has blossomed\All right!\E-Excuse me, this... response:	Nana! What are you shouting for? You're working, remember?
context: I'm a broken rose\I wanna need your love\You have a new message Unopened messages: 1\Dear God! Great Buddha! Demon Lord!\Shoji The sakura has blossomed\All right!\E-Excuse me, this...\Nana! What are you shouting for? You're working, remember? response:	Got into my top-choice university!! Yay! Call me. Nana! What are you shouting for? You're working, remember?
context: I wanna need your love\You have a new message Unopened messages: 1\Dear God! Great Buddha! Demon Lord!\Shoji The sakura has blossomed\All right!\E-Excuse me, this...\Nana! What are you shouting for? You're working, remember?\Got into my top-choice university!! Yay! Call me. Nana! What are you shouting for? You're working, remember? response:	Yay!
context: You have a new message Unopened messages: 1\Dear God! Great Buddha! Demon Lord!\Shoji The sakura has blossomed\All right!\E-Excuse me, this...\Nana! What are you shouting for? You're working, remember?\Got into my top-choice university!! Yay! Call me. Nana! What are you shouting for? You're working, remember?\Yay! response:	It's spring! Spring has finally come!
context: Dear God! Great Buddha! Demon Lord!\Shoji The sakura has blossomed\All right!\E-Excuse me, this...\Nana! What are you shouting for? You're working, remember?\Got into my top-choice university!! Yay! Call me. Nana! What are you shouting for? You're working, remember?\Yay!\It's spring! Spring has finally come! response:	After the long wait, spring has arrived!
context: Shoji The sakura has blossomed\All right!\E-Excuse me, this...\Nana! What are you shouting for? You're working, remember?\Got into my top-choice university!! Yay! Call me. Nana! What are you shouting for? You're working, remember?\Yay!\It's spring! Spring has finally come!\After the long wait, spring has arrived! response:	Now that I think back about it,
context: All right!\E-Excuse me, this...\Nana! What are you shouting for? You're working, remember?\Got into my top-choice university!! Yay! Call me. Nana! What are you shouting for? You're working, remember?\Yay!\It's spring! Spring has finally come!\After the long wait, spring has arrived!\Now that I think back about it, response:	it was like I was running away from home.
context: E-Excuse me, this...\Nana! What are you shouting for? You're working, remember?\Got into my top-choice university!! Yay! Call me. Nana! What are you shouting for? You're working, remember?\Yay!\It's spring! Spring has finally come!\After the long wait, spring has arrived!\Now that I think back about it,\it was like I was running away from home. response:	To Dad and Mom, I'm going to Tokyo! I'll be in touch as soon as I find a place, so please send me the boxes in my room.
context: Nana! What are you shouting for? You're working, remember?\Got into my top-choice university!! Yay! Call me. Nana! What are you shouting for? You're working, remember?\Yay!\It's spring! Spring has finally come!\After the long wait, spring has arrived!\Now that I think back about it,\it was like I was running away from home.\To Dad and Mom, I'm going to Tokyo! I'll be in touch as soon as I find a place, so please send me the boxes in my room. response:	To Dad and Mom, I'm going to Tokyo! I'll be in touch as soon as I find a place, so please send me the boxes in my room. But apparently, my parents weren't really shocked.
context: Got into my top-choice university!! Yay! Call me. Nana! What are you shouting for? You're working, remember?\Yay!\It's spring! Spring has finally come!\After the long wait, spring has arrived!\Now that I think back about it,\it was like I was running away from home.\To Dad and Mom, I'm going to Tokyo! I'll be in touch as soon as I find a place, so please send me the boxes in my room.\To Dad and Mom, I'm going to Tokyo! I'll be in touch as soon as I find a place, so please send me the boxes in my room. But apparently, my parents weren't really shocked. response:	To Dad and Mom, I'm going to Tokyo! I'll be in touch as soon as I find a place, so please send me the boxes in my room.
context: Yay!\It's spring! Spring has finally come!\After the long wait, spring has arrived!\Now that I think back about it,\it was like I was running away from home.\To Dad and Mom, I'm going to Tokyo! I'll be in touch as soon as I find a place, so please send me the boxes in my room.\To Dad and Mom, I'm going to Tokyo! I'll be in touch as soon as I find a place, so please send me the boxes in my room. But apparently, my parents weren't really shocked.\To Dad and Mom, I'm going to Tokyo! I'll be in touch as soon as I find a place, so please send me the boxes in my room. response:	I have a sister two years older than me
context: It's spring! Spring has finally come!\After the long wait, spring has arrived!\Now that I think back about it,\it was like I was running away from home.\To Dad and Mom, I'm going to Tokyo! I'll be in touch as soon as I find a place, so please send me the boxes in my room.\To Dad and Mom, I'm going to Tokyo! I'll be in touch as soon as I find a place, so please send me the boxes in my room. But apparently, my parents weren't really shocked.\To Dad and Mom, I'm going to Tokyo! I'll be in touch as soon as I find a place, so please send me the boxes in my room.\I have a sister two years older than me response:	and a sister two years younger than me.
context: After the long wait, spring has arrived!\Now that I think back about it,\it was like I was running away from home.\To Dad and Mom, I'm going to Tokyo! I'll be in touch as soon as I find a place, so please send me the boxes in my room.\To Dad and Mom, I'm going to Tokyo! I'll be in touch as soon as I find a place, so please send me the boxes in my room. But apparently, my parents weren't really shocked.\To Dad and Mom, I'm going to Tokyo! I'll be in touch as soon as I find a place, so please send me the boxes in my room.\I have a sister two years older than me\and a sister two years younger than me. response:	The family was already loud as it was,
context: Now that I think back about it,\it was like I was running away from home.\To Dad and Mom, I'm going to Tokyo! I'll be in touch as soon as I find a place, so please send me the boxes in my room.\To Dad and Mom, I'm going to Tokyo! I'll be in touch as soon as I find a place, so please send me the boxes in my room. But apparently, my parents weren't really shocked.\To Dad and Mom, I'm going to Tokyo! I'll be in touch as soon as I find a place, so please send me the boxes in my room.\I have a sister two years older than me\and a sister two years younger than me.\The family was already loud as it was, response:	but back then, whether awake or asleep,
context: it was like I was running away from home.\To Dad and Mom, I'm going to Tokyo! I'll be in touch as soon as I find a place, so please send me the boxes in my room.\To Dad and Mom, I'm going to Tokyo! I'll be in touch as soon as I find a place, so please send me the boxes in my room. But apparently, my parents weren't really shocked.\To Dad and Mom, I'm going to Tokyo! I'll be in touch as soon as I find a place, so please send me the boxes in my room.\I have a sister two years older than me\and a sister two years younger than me.\The family was already loud as it was,\but back then, whether awake or asleep, response:	I'd always nag about
context: To Dad and Mom, I'm going to Tokyo! I'll be in touch as soon as I find a place, so please send me the boxes in my room.\To Dad and Mom, I'm going to Tokyo! I'll be in touch as soon as I find a place, so please send me the boxes in my room. But apparently, my parents weren't really shocked.\To Dad and Mom, I'm going to Tokyo! I'll be in touch as soon as I find a place, so please send me the boxes in my room.\I have a sister two years older than me\and a sister two years younger than me.\The family was already loud as it was,\but back then, whether awake or asleep,\I'd always nag about response:	how I want to go to Tokyo or want to live in Tokyo.
context: To Dad and Mom, I'm going to Tokyo! I'll be in touch as soon as I find a place, so please send me the boxes in my room. But apparently, my parents weren't really shocked.\To Dad and Mom, I'm going to Tokyo! I'll be in touch as soon as I find a place, so please send me the boxes in my room.\I have a sister two years older than me\and a sister two years younger than me.\The family was already loud as it was,\but back then, whether awake or asleep,\I'd always nag about\how I want to go to Tokyo or want to live in Tokyo. response:	Perhaps my parents were more relieved that
context: To Dad and Mom, I'm going to Tokyo! I'll be in touch as soon as I find a place, so please send me the boxes in my room.\I have a sister two years older than me\and a sister two years younger than me.\The family was already loud as it was,\but back then, whether awake or asleep,\I'd always nag about\how I want to go to Tokyo or want to live in Tokyo.\Perhaps my parents were more relieved that response:	they'd hafta worry about one less noisy daughter.
context: I have a sister two years older than me\and a sister two years younger than me.\The family was already loud as it was,\but back then, whether awake or asleep,\I'd always nag about\how I want to go to Tokyo or want to live in Tokyo.\Perhaps my parents were more relieved that\they'd hafta worry about one less noisy daughter. response:	When I left, I didn't feel any loneliness for leaving my family
context: and a sister two years younger than me.\The family was already loud as it was,\but back then, whether awake or asleep,\I'd always nag about\how I want to go to Tokyo or want to live in Tokyo.\Perhaps my parents were more relieved that\they'd hafta worry about one less noisy daughter.\When I left, I didn't feel any loneliness for leaving my family response:	or sentiment for parting with the city I had lived in for twenty years.
context: The family was already loud as it was,\but back then, whether awake or asleep,\I'd always nag about\how I want to go to Tokyo or want to live in Tokyo.\Perhaps my parents were more relieved that\they'd hafta worry about one less noisy daughter.\When I left, I didn't feel any loneliness for leaving my family\or sentiment for parting with the city I had lived in for twenty years. response:	I was just so happy about going to Tokyo.
context: but back then, whether awake or asleep,\I'd always nag about\how I want to go to Tokyo or want to live in Tokyo.\Perhaps my parents were more relieved that\they'd hafta worry about one less noisy daughter.\When I left, I didn't feel any loneliness for leaving my family\or sentiment for parting with the city I had lived in for twenty years.\I was just so happy about going to Tokyo. response:	My heart was filled with hope and expectations.
context: I'd always nag about\how I want to go to Tokyo or want to live in Tokyo.\Perhaps my parents were more relieved that\they'd hafta worry about one less noisy daughter.\When I left, I didn't feel any loneliness for leaving my family\or sentiment for parting with the city I had lived in for twenty years.\I was just so happy about going to Tokyo.\My heart was filled with hope and expectations. response:	I'll meet your train. What time are you arriving? Which train? I'll wait for you at the platform. Am I nice or what?
context: how I want to go to Tokyo or want to live in Tokyo.\Perhaps my parents were more relieved that\they'd hafta worry about one less noisy daughter.\When I left, I didn't feel any loneliness for leaving my family\or sentiment for parting with the city I had lived in for twenty years.\I was just so happy about going to Tokyo.\My heart was filled with hope and expectations.\I'll meet your train. What time are you arriving? Which train? I'll wait for you at the platform. Am I nice or what? response:	I'll meet your train. What time are you arriving? Which train? I'll wait for you at the platform. Am I nice or what? From now on, under the skies of Tokyo, I'll be able to see Shoji every day.
context: Perhaps my parents were more relieved that\they'd hafta worry about one less noisy daughter.\When I left, I didn't feel any loneliness for leaving my family\or sentiment for parting with the city I had lived in for twenty years.\I was just so happy about going to Tokyo.\My heart was filled with hope and expectations.\I'll meet your train. What time are you arriving? Which train? I'll wait for you at the platform. Am I nice or what?\I'll meet your train. What time are you arriving? Which train? I'll wait for you at the platform. Am I nice or what? From now on, under the skies of Tokyo, I'll be able to see Shoji every day. response:	From now on, under the skies of Tokyo, I'll be able to see Shoji every day.
context: they'd hafta worry about one less noisy daughter.\When I left, I didn't feel any loneliness for leaving my family\or sentiment for parting with the city I had lived in for twenty years.\I was just so happy about going to Tokyo.\My heart was filled with hope and expectations.\I'll meet your train. What time are you arriving? Which train? I'll wait for you at the platform. Am I nice or what?\I'll meet your train. What time are you arriving? Which train? I'll wait for you at the platform. Am I nice or what? From now on, under the skies of Tokyo, I'll be able to see Shoji every day.\From now on, under the skies of Tokyo, I'll be able to see Shoji every day. response:	I can talk to him a lot, not by phone or email, but face to face.
context: When I left, I didn't feel any loneliness for leaving my family\or sentiment for parting with the city I had lived in for twenty years.\I was just so happy about going to Tokyo.\My heart was filled with hope and expectations.\I'll meet your train. What time are you arriving? Which train? I'll wait for you at the platform. Am I nice or what?\I'll meet your train. What time are you arriving? Which train? I'll wait for you at the platform. Am I nice or what? From now on, under the skies of Tokyo, I'll be able to see Shoji every day.\From now on, under the skies of Tokyo, I'll be able to see Shoji every day.\I can talk to him a lot, not by phone or email, but face to face. response:	Thank you for using the Tohoku bullet train today.
context: or sentiment for parting with the city I had lived in for twenty years.\I was just so happy about going to Tokyo.\My heart was filled with hope and expectations.\I'll meet your train. What time are you arriving? Which train? I'll wait for you at the platform. Am I nice or what?\I'll meet your train. What time are you arriving? Which train? I'll wait for you at the platform. Am I nice or what? From now on, under the skies of Tokyo, I'll be able to see Shoji every day.\From now on, under the skies of Tokyo, I'll be able to see Shoji every day.\I can talk to him a lot, not by phone or email, but face to face.\Thank you for using the Tohoku bullet train today. response:	- Due to the snow, the train's departure,., - What's this? It's packed.
context: I was just so happy about going to Tokyo.\My heart was filled with hope and expectations.\I'll meet your train. What time are you arriving? Which train? I'll wait for you at the platform. Am I nice or what?\I'll meet your train. What time are you arriving? Which train? I'll wait for you at the platform. Am I nice or what? From now on, under the skies of Tokyo, I'll be able to see Shoji every day.\From now on, under the skies of Tokyo, I'll be able to see Shoji every day.\I can talk to him a lot, not by phone or email, but face to face.\Thank you for using the Tohoku bullet train today.\- Due to the snow, the train's departure,., - What's this? It's packed. response:	- was delayed by 40 minutes. - I wanna find a seat quickly,
context: My heart was filled with hope and expectations.\I'll meet your train. What time are you arriving? Which train? I'll wait for you at the platform. Am I nice or what?\I'll meet your train. What time are you arriving? Which train? I'll wait for you at the platform. Am I nice or what? From now on, under the skies of Tokyo, I'll be able to see Shoji every day.\From now on, under the skies of Tokyo, I'll be able to see Shoji every day.\I can talk to him a lot, not by phone or email, but face to face.\Thank you for using the Tohoku bullet train today.\- Due to the snow, the train's departure,., - What's this? It's packed.\- was delayed by 40 minutes. - I wanna find a seat quickly, response:	- We apologize for the inconvenience. - so I can email Shoji.
context: I'll meet your train. What time are you arriving? Which train? I'll wait for you at the platform. Am I nice or what?\I'll meet your train. What time are you arriving? Which train? I'll wait for you at the platform. Am I nice or what? From now on, under the skies of Tokyo, I'll be able to see Shoji every day.\From now on, under the skies of Tokyo, I'll be able to see Shoji every day.\I can talk to him a lot, not by phone or email, but face to face.\Thank you for using the Tohoku bullet train today.\- Due to the snow, the train's departure,., - What's this? It's packed.\- was delayed by 40 minutes. - I wanna find a seat quickly,\- We apologize for the inconvenience. - so I can email Shoji. response:	Um...
context: I'll meet your train. What time are you arriving? Which train? I'll wait for you at the platform. Am I nice or what? From now on, under the skies of Tokyo, I'll be able to see Shoji every day.\From now on, under the skies of Tokyo, I'll be able to see Shoji every day.\I can talk to him a lot, not by phone or email, but face to face.\Thank you for using the Tohoku bullet train today.\- Due to the snow, the train's departure,., - What's this? It's packed.\- was delayed by 40 minutes. - I wanna find a seat quickly,\- We apologize for the inconvenience. - so I can email Shoji.\Um... response:	Um, excuse!
context: From now on, under the skies of Tokyo, I'll be able to see Shoji every day.\I can talk to him a lot, not by phone or email, but face to face.\Thank you for using the Tohoku bullet train today.\- Due to the snow, the train's departure,., - What's this? It's packed.\- was delayed by 40 minutes. - I wanna find a seat quickly,\- We apologize for the inconvenience. - so I can email Shoji.\Um...\Um, excuse! response:	What? Why did it suddenly stop? An accident?
context: I can talk to him a lot, not by phone or email, but face to face.\Thank you for using the Tohoku bullet train today.\- Due to the snow, the train's departure,., - What's this? It's packed.\- was delayed by 40 minutes. - I wanna find a seat quickly,\- We apologize for the inconvenience. - so I can email Shoji.\Um...\Um, excuse!\What? Why did it suddenly stop? An accident? response:	Are you all right?
context: Thank you for using the Tohoku bullet train today.\- Due to the snow, the train's departure,., - What's this? It's packed.\- was delayed by 40 minutes. - I wanna find a seat quickly,\- We apologize for the inconvenience. - so I can email Shoji.\Um...\Um, excuse!\What? Why did it suddenly stop? An accident?\Are you all right? response:	I'm fine. Sorry.
context: - Due to the snow, the train's departure,., - What's this? It's packed.\- was delayed by 40 minutes. - I wanna find a seat quickly,\- We apologize for the inconvenience. - so I can email Shoji.\Um...\Um, excuse!\What? Why did it suddenly stop? An accident?\Are you all right?\I'm fine. Sorry. response:	I'm sorry too.
context: - was delayed by 40 minutes. - I wanna find a seat quickly,\- We apologize for the inconvenience. - so I can email Shoji.\Um...\Um, excuse!\What? Why did it suddenly stop? An accident?\Are you all right?\I'm fine. Sorry.\I'm sorry too. response:	You got flattened by this, didn't you?
context: - We apologize for the inconvenience. - so I can email Shoji.\Um...\Um, excuse!\What? Why did it suddenly stop? An accident?\Are you all right?\I'm fine. Sorry.\I'm sorry too.\You got flattened by this, didn't you? response:	I'm fine.
context: Um...\Um, excuse!\What? Why did it suddenly stop? An accident?\Are you all right?\I'm fine. Sorry.\I'm sorry too.\You got flattened by this, didn't you?\I'm fine. response:	Er... by the way... is this seat open?
context: Um, excuse!\What? Why did it suddenly stop? An accident?\Are you all right?\I'm fine. Sorry.\I'm sorry too.\You got flattened by this, didn't you?\I'm fine.\Er... by the way... is this seat open? response:	Go ahead.
context: What? Why did it suddenly stop? An accident?\Are you all right?\I'm fine. Sorry.\I'm sorry too.\You got flattened by this, didn't you?\I'm fine.\Er... by the way... is this seat open?\Go ahead. response:	What a beautiful person. More like, so cool.
context: Are you all right?\I'm fine. Sorry.\I'm sorry too.\You got flattened by this, didn't you?\I'm fine.\Er... by the way... is this seat open?\Go ahead.\What a beautiful person. More like, so cool. response:	She has an aura different from that of a commoner.
context: I'm fine. Sorry.\I'm sorry too.\You got flattened by this, didn't you?\I'm fine.\Er... by the way... is this seat open?\Go ahead.\What a beautiful person. More like, so cool.\She has an aura different from that of a commoner. response:	She's skinny and has a small face. Could she be a celebrity?
context: I'm sorry too.\You got flattened by this, didn't you?\I'm fine.\Er... by the way... is this seat open?\Go ahead.\What a beautiful person. More like, so cool.\She has an aura different from that of a commoner.\She's skinny and has a small face. Could she be a celebrity? response:	And such long eyelashes!
context: You got flattened by this, didn't you?\I'm fine.\Er... by the way... is this seat open?\Go ahead.\What a beautiful person. More like, so cool.\She has an aura different from that of a commoner.\She's skinny and has a small face. Could she be a celebrity?\And such long eyelashes! response:	I envy how the loud makeup looks good on her.
context: I'm fine.\Er... by the way... is this seat open?\Go ahead.\What a beautiful person. More like, so cool.\She has an aura different from that of a commoner.\She's skinny and has a small face. Could she be a celebrity?\And such long eyelashes!\I envy how the loud makeup looks good on her. response:	Beautiful people look great, no matter what they do.
context: Er... by the way... is this seat open?\Go ahead.\What a beautiful person. More like, so cool.\She has an aura different from that of a commoner.\She's skinny and has a small face. Could she be a celebrity?\And such long eyelashes!\I envy how the loud makeup looks good on her.\Beautiful people look great, no matter what they do. response:	Wow, a well-worn Vivienne Westwood ring!
context: Go ahead.\What a beautiful person. More like, so cool.\She has an aura different from that of a commoner.\She's skinny and has a small face. Could she be a celebrity?\And such long eyelashes!\I envy how the loud makeup looks good on her.\Beautiful people look great, no matter what they do.\Wow, a well-worn Vivienne Westwood ring! response:	So cool!
context: What a beautiful person. More like, so cool.\She has an aura different from that of a commoner.\She's skinny and has a small face. Could she be a celebrity?\And such long eyelashes!\I envy how the loud makeup looks good on her.\Beautiful people look great, no matter what they do.\Wow, a well-worn Vivienne Westwood ring!\So cool! response:	Sorry. Is the smoke bothering you?
context: She has an aura different from that of a commoner.\She's skinny and has a small face. Could she be a celebrity?\And such long eyelashes!\I envy how the loud makeup looks good on her.\Beautiful people look great, no matter what they do.\Wow, a well-worn Vivienne Westwood ring!\So cool!\Sorry. Is the smoke bothering you? response:	No, I'm totally fine.
context: She's skinny and has a small face. Could she be a celebrity?\And such long eyelashes!\I envy how the loud makeup looks good on her.\Beautiful people look great, no matter what they do.\Wow, a well-worn Vivienne Westwood ring!\So cool!\Sorry. Is the smoke bothering you?\No, I'm totally fine. response:	It's not moving.
context: And such long eyelashes!\I envy how the loud makeup looks good on her.\Beautiful people look great, no matter what they do.\Wow, a well-worn Vivienne Westwood ring!\So cool!\Sorry. Is the smoke bothering you?\No, I'm totally fine.\It's not moving. response:	The train.
context: I envy how the loud makeup looks good on her.\Beautiful people look great, no matter what they do.\Wow, a well-worn Vivienne Westwood ring!\So cool!\Sorry. Is the smoke bothering you?\No, I'm totally fine.\It's not moving.\The train. response:	It's been running like this for a while now.
context: Beautiful people look great, no matter what they do.\Wow, a well-worn Vivienne Westwood ring!\So cool!\Sorry. Is the smoke bothering you?\No, I'm totally fine.\It's not moving.\The train.\It's been running like this for a while now. response:	Is that so?
context: Wow, a well-worn Vivienne Westwood ring!\So cool!\Sorry. Is the smoke bothering you?\No, I'm totally fine.\It's not moving.\The train.\It's been running like this for a while now.\Is that so? response:	What am I gonna do? I'm in a hurry.
context: So cool!\Sorry. Is the smoke bothering you?\No, I'm totally fine.\It's not moving.\The train.\It's been running like this for a while now.\Is that so?\What am I gonna do? I'm in a hurry. response:	Really? That's a problem.
context: Sorry. Is the smoke bothering you?\No, I'm totally fine.\It's not moving.\The train.\It's been running like this for a while now.\Is that so?\What am I gonna do? I'm in a hurry.\Really? That's a problem. response:	No, it's all right.
context: No, I'm totally fine.\It's not moving.\The train.\It's been running like this for a while now.\Is that so?\What am I gonna do? I'm in a hurry.\Really? That's a problem.\No, it's all right. response:	I'll send an email.
context: It's not moving.\The train.\It's been running like this for a while now.\Is that so?\What am I gonna do? I'm in a hurry.\Really? That's a problem.\No, it's all right.\I'll send an email. response:	Okay!
context: The train.\It's been running like this for a while now.\Is that so?\What am I gonna do? I'm in a hurry.\Really? That's a problem.\No, it's all right.\I'll send an email.\Okay! response:	Wow, you're really fast!
context: It's been running like this for a while now.\Is that so?\What am I gonna do? I'm in a hurry.\Really? That's a problem.\No, it's all right.\I'll send an email.\Okay!\Wow, you're really fast! response:	I'm amazed at what high school students can do nowadays.
context: Is that so?\What am I gonna do? I'm in a hurry.\Really? That's a problem.\No, it's all right.\I'll send an email.\Okay!\Wow, you're really fast!\I'm amazed at what high school students can do nowadays. response:	But I'm twenty years old.
context: What am I gonna do? I'm in a hurry.\Really? That's a problem.\No, it's all right.\I'll send an email.\Okay!\Wow, you're really fast!\I'm amazed at what high school students can do nowadays.\But I'm twenty years old. response:	Sorry. Then I guess we're the same age.
context: Really? That's a problem.\No, it's all right.\I'll send an email.\Okay!\Wow, you're really fast!\I'm amazed at what high school students can do nowadays.\But I'm twenty years old.\Sorry. Then I guess we're the same age. response:	She's so cute when she laughs.
context: No, it's all right.\I'll send an email.\Okay!\Wow, you're really fast!\I'm amazed at what high school students can do nowadays.\But I'm twenty years old.\Sorry. Then I guess we're the same age.\She's so cute when she laughs. response:	What? The same age?
context: I'll send an email.\Okay!\Wow, you're really fast!\I'm amazed at what high school students can do nowadays.\But I'm twenty years old.\Sorry. Then I guess we're the same age.\She's so cute when she laughs.\What? The same age? response:	No way, you don't look it. That's fraud!
context: Okay!\Wow, you're really fast!\I'm amazed at what high school students can do nowadays.\But I'm twenty years old.\Sorry. Then I guess we're the same age.\She's so cute when she laughs.\What? The same age?\No way, you don't look it. That's fraud! response:	The way you said high school students nowadays
context: Wow, you're really fast!\I'm amazed at what high school students can do nowadays.\But I'm twenty years old.\Sorry. Then I guess we're the same age.\She's so cute when she laughs.\What? The same age?\No way, you don't look it. That's fraud!\The way you said high school students nowadays response:	makes you seem a lot older!
context: I'm amazed at what high school students can do nowadays.\But I'm twenty years old.\Sorry. Then I guess we're the same age.\She's so cute when she laughs.\What? The same age?\No way, you don't look it. That's fraud!\The way you said high school students nowadays\makes you seem a lot older! response:	Yeah, it's a habit. I live in the analog world.
context: But I'm twenty years old.\Sorry. Then I guess we're the same age.\She's so cute when she laughs.\What? The same age?\No way, you don't look it. That's fraud!\The way you said high school students nowadays\makes you seem a lot older!\Yeah, it's a habit. I live in the analog world. response:	An announcement to our passengers.
context: Sorry. Then I guess we're the same age.\She's so cute when she laughs.\What? The same age?\No way, you don't look it. That's fraud!\The way you said high school students nowadays\makes you seem a lot older!\Yeah, it's a habit. I live in the analog world.\An announcement to our passengers. response:	Due to the snow, we will be proceeding at low speeds for a while.
context: She's so cute when she laughs.\What? The same age?\No way, you don't look it. That's fraud!\The way you said high school students nowadays\makes you seem a lot older!\Yeah, it's a habit. I live in the analog world.\An announcement to our passengers.\Due to the snow, we will be proceeding at low speeds for a while. response:	- We apologize for the inconvenience - No way!
context: What? The same age?\No way, you don't look it. That's fraud!\The way you said high school students nowadays\makes you seem a lot older!\Yeah, it's a habit. I live in the analog world.\An announcement to our passengers.\Due to the snow, we will be proceeding at low speeds for a while.\- We apologize for the inconvenience - No way! response:	- this delay is causing you. - When will we get to Tokyo?
