context: As a present for our classmate Futa's birthday, response:	I went to Waka's house to bake a ball-shaped cake.
context: Papa...\Papa!\Papa! If you're here, answer me!\Please! Papa!\Answer me! Papa!\Hey there! You okay, little lady?\Tha-\I'm sorry! Forgive me! I'm sorry! Forgive me! response:	James.
context: Papa!\Papa! If you're here, answer me!\Please! Papa!\Answer me! Papa!\Hey there! You okay, little lady?\Tha-\I'm sorry! Forgive me! I'm sorry! Forgive me!\James. response:	Dr. Gilbert!
context: Papa! If you're here, answer me!\Please! Papa!\Answer me! Papa!\Hey there! You okay, little lady?\Tha-\I'm sorry! Forgive me! I'm sorry! Forgive me!\James.\Dr. Gilbert! response:	Sorry to cut to the chase, but do you have what I asked for?
context: Please! Papa!\Answer me! Papa!\Hey there! You okay, little lady?\Tha-\I'm sorry! Forgive me! I'm sorry! Forgive me!\James.\Dr. Gilbert!\Sorry to cut to the chase, but do you have what I asked for? response:	I did just as you asked. It's on the ship.
context: Answer me! Papa!\Hey there! You okay, little lady?\Tha-\I'm sorry! Forgive me! I'm sorry! Forgive me!\James.\Dr. Gilbert!\Sorry to cut to the chase, but do you have what I asked for?\I did just as you asked. It's on the ship. response:	I can't say I understand why,
context: Hey there! You okay, little lady?\Tha-\I'm sorry! Forgive me! I'm sorry! Forgive me!\James.\Dr. Gilbert!\Sorry to cut to the chase, but do you have what I asked for?\I did just as you asked. It's on the ship.\I can't say I understand why, response:	but the further north we went, the sharper the angle became.
context: Tha-\I'm sorry! Forgive me! I'm sorry! Forgive me!\James.\Dr. Gilbert!\Sorry to cut to the chase, but do you have what I asked for?\I did just as you asked. It's on the ship.\I can't say I understand why,\but the further north we went, the sharper the angle became. response:	Oh? That's very interesting.
context: I'm sorry! Forgive me! I'm sorry! Forgive me!\James.\Dr. Gilbert!\Sorry to cut to the chase, but do you have what I asked for?\I did just as you asked. It's on the ship.\I can't say I understand why,\but the further north we went, the sharper the angle became.\Oh? That's very interesting. response:	I wrote the details here.
context: James.\Dr. Gilbert!\Sorry to cut to the chase, but do you have what I asked for?\I did just as you asked. It's on the ship.\I can't say I understand why,\but the further north we went, the sharper the angle became.\Oh? That's very interesting.\I wrote the details here. response:	Have a look.
context: Dr. Gilbert!\Sorry to cut to the chase, but do you have what I asked for?\I did just as you asked. It's on the ship.\I can't say I understand why,\but the further north we went, the sharper the angle became.\Oh? That's very interesting.\I wrote the details here.\Have a look. response:	Thank you. I'm very grateful.
context: Sorry to cut to the chase, but do you have what I asked for?\I did just as you asked. It's on the ship.\I can't say I understand why,\but the further north we went, the sharper the angle became.\Oh? That's very interesting.\I wrote the details here.\Have a look.\Thank you. I'm very grateful. response:	Oh, this is nothing.
context: I did just as you asked. It's on the ship.\I can't say I understand why,\but the further north we went, the sharper the angle became.\Oh? That's very interesting.\I wrote the details here.\Have a look.\Thank you. I'm very grateful.\Oh, this is nothing. response:	And thank you, Doctor.
context: I can't say I understand why,\but the further north we went, the sharper the angle became.\Oh? That's very interesting.\I wrote the details here.\Have a look.\Thank you. I'm very grateful.\Oh, this is nothing.\And thank you, Doctor. response:	No need for that.
context: but the further north we went, the sharper the angle became.\Oh? That's very interesting.\I wrote the details here.\Have a look.\Thank you. I'm very grateful.\Oh, this is nothing.\And thank you, Doctor.\No need for that. response:	That reminds me. Doc, you mentioned earlier...
context: Oh? That's very interesting.\I wrote the details here.\Have a look.\Thank you. I'm very grateful.\Oh, this is nothing.\And thank you, Doctor.\No need for that.\That reminds me. Doc, you mentioned earlier... response:	That Roman fellow...
context: I wrote the details here.\Have a look.\Thank you. I'm very grateful.\Oh, this is nothing.\And thank you, Doctor.\No need for that.\That reminds me. Doc, you mentioned earlier...\That Roman fellow... response:	Um, Bru...
context: Have a look.\Thank you. I'm very grateful.\Oh, this is nothing.\And thank you, Doctor.\No need for that.\That reminds me. Doc, you mentioned earlier...\That Roman fellow...\Um, Bru... response:	Giordano?
context: Thank you. I'm very grateful.\Oh, this is nothing.\And thank you, Doctor.\No need for that.\That reminds me. Doc, you mentioned earlier...\That Roman fellow...\Um, Bru...\Giordano? response:	Yes, that's it! Giordano Bruno, yeah?
context: Oh, this is nothing.\And thank you, Doctor.\No need for that.\That reminds me. Doc, you mentioned earlier...\That Roman fellow...\Um, Bru...\Giordano?\Yes, that's it! Giordano Bruno, yeah? response:	Hmm?
context: And thank you, Doctor.\No need for that.\That reminds me. Doc, you mentioned earlier...\That Roman fellow...\Um, Bru...\Giordano?\Yes, that's it! Giordano Bruno, yeah?\Hmm? response:	Last month, the Church in Rome put him on trial
context: No need for that.\That reminds me. Doc, you mentioned earlier...\That Roman fellow...\Um, Bru...\Giordano?\Yes, that's it! Giordano Bruno, yeah?\Hmm?\Last month, the Church in Rome put him on trial response:	to get him to take back his opinions.
context: That reminds me. Doc, you mentioned earlier...\That Roman fellow...\Um, Bru...\Giordano?\Yes, that's it! Giordano Bruno, yeah?\Hmm?\Last month, the Church in Rome put him on trial\to get him to take back his opinions. response:	Giordano, on trial?
context: That Roman fellow...\Um, Bru...\Giordano?\Yes, that's it! Giordano Bruno, yeah?\Hmm?\Last month, the Church in Rome put him on trial\to get him to take back his opinions.\Giordano, on trial? response:	Yeah. But he's been locked up for seven years.
context: Um, Bru...\Giordano?\Yes, that's it! Giordano Bruno, yeah?\Hmm?\Last month, the Church in Rome put him on trial\to get him to take back his opinions.\Giordano, on trial?\Yeah. But he's been locked up for seven years. response:	If taking back his opinion would set him free, why doesn't he just do it?
context: Giordano?\Yes, that's it! Giordano Bruno, yeah?\Hmm?\Last month, the Church in Rome put him on trial\to get him to take back his opinions.\Giordano, on trial?\Yeah. But he's been locked up for seven years.\If taking back his opinion would set him free, why doesn't he just do it? response:	I'm sure his pride as a scientist is at stake.
context: Yes, that's it! Giordano Bruno, yeah?\Hmm?\Last month, the Church in Rome put him on trial\to get him to take back his opinions.\Giordano, on trial?\Yeah. But he's been locked up for seven years.\If taking back his opinion would set him free, why doesn't he just do it?\I'm sure his pride as a scientist is at stake. response:	It's not as easy as you make it sound.
context: Hmm?\Last month, the Church in Rome put him on trial\to get him to take back his opinions.\Giordano, on trial?\Yeah. But he's been locked up for seven years.\If taking back his opinion would set him free, why doesn't he just do it?\I'm sure his pride as a scientist is at stake.\It's not as easy as you make it sound. response:	Um... that thing you were talking about...
context: Last month, the Church in Rome put him on trial\to get him to take back his opinions.\Giordano, on trial?\Yeah. But he's been locked up for seven years.\If taking back his opinion would set him free, why doesn't he just do it?\I'm sure his pride as a scientist is at stake.\It's not as easy as you make it sound.\Um... that thing you were talking about... response:	Yes. The Earth revolves around the sun.
context: to get him to take back his opinions.\Giordano, on trial?\Yeah. But he's been locked up for seven years.\If taking back his opinion would set him free, why doesn't he just do it?\I'm sure his pride as a scientist is at stake.\It's not as easy as you make it sound.\Um... that thing you were talking about...\Yes. The Earth revolves around the sun. response:	There's a Roman philosopher who's very insistent on the matter.
context: Giordano, on trial?\Yeah. But he's been locked up for seven years.\If taking back his opinion would set him free, why doesn't he just do it?\I'm sure his pride as a scientist is at stake.\It's not as easy as you make it sound.\Um... that thing you were talking about...\Yes. The Earth revolves around the sun.\There's a Roman philosopher who's very insistent on the matter. response:	What? About something that obvious?
context: Yeah. But he's been locked up for seven years.\If taking back his opinion would set him free, why doesn't he just do it?\I'm sure his pride as a scientist is at stake.\It's not as easy as you make it sound.\Um... that thing you were talking about...\Yes. The Earth revolves around the sun.\There's a Roman philosopher who's very insistent on the matter.\What? About something that obvious? response:	Obvious?
context: If taking back his opinion would set him free, why doesn't he just do it?\I'm sure his pride as a scientist is at stake.\It's not as easy as you make it sound.\Um... that thing you were talking about...\Yes. The Earth revolves around the sun.\There's a Roman philosopher who's very insistent on the matter.\What? About something that obvious?\Obvious? response:	I see. In your age, everyone knows that?
context: I'm sure his pride as a scientist is at stake.\It's not as easy as you make it sound.\Um... that thing you were talking about...\Yes. The Earth revolves around the sun.\There's a Roman philosopher who's very insistent on the matter.\What? About something that obvious?\Obvious?\I see. In your age, everyone knows that? response:	Yes...
context: It's not as easy as you make it sound.\Um... that thing you were talking about...\Yes. The Earth revolves around the sun.\There's a Roman philosopher who's very insistent on the matter.\What? About something that obvious?\Obvious?\I see. In your age, everyone knows that?\Yes... response:	That's wonderful.
context: Um... that thing you were talking about...\Yes. The Earth revolves around the sun.\There's a Roman philosopher who's very insistent on the matter.\What? About something that obvious?\Obvious?\I see. In your age, everyone knows that?\Yes...\That's wonderful. response:	But in our day and age, the Church calls it heresy.
context: Yes. The Earth revolves around the sun.\There's a Roman philosopher who's very insistent on the matter.\What? About something that obvious?\Obvious?\I see. In your age, everyone knows that?\Yes...\That's wonderful.\But in our day and age, the Church calls it heresy. response:	Oh, that's awful!
context: There's a Roman philosopher who's very insistent on the matter.\What? About something that obvious?\Obvious?\I see. In your age, everyone knows that?\Yes...\That's wonderful.\But in our day and age, the Church calls it heresy.\Oh, that's awful! response:	Church and astronomy have nothing to do with each other!
context: What? About something that obvious?\Obvious?\I see. In your age, everyone knows that?\Yes...\That's wonderful.\But in our day and age, the Church calls it heresy.\Oh, that's awful!\Church and astronomy have nothing to do with each other! response:	Our land was created by God, and all the heavenly bodies revolve around it.
context: Obvious?\I see. In your age, everyone knows that?\Yes...\That's wonderful.\But in our day and age, the Church calls it heresy.\Oh, that's awful!\Church and astronomy have nothing to do with each other!\Our land was created by God, and all the heavenly bodies revolve around it. response:	That's the Church's teaching. He's saying it's a lie.
context: I see. In your age, everyone knows that?\Yes...\That's wonderful.\But in our day and age, the Church calls it heresy.\Oh, that's awful!\Church and astronomy have nothing to do with each other!\Our land was created by God, and all the heavenly bodies revolve around it.\That's the Church's teaching. He's saying it's a lie. response:	If people realized that, it would be a threat to their position, wouldn't it?
context: Yes...\That's wonderful.\But in our day and age, the Church calls it heresy.\Oh, that's awful!\Church and astronomy have nothing to do with each other!\Our land was created by God, and all the heavenly bodies revolve around it.\That's the Church's teaching. He's saying it's a lie.\If people realized that, it would be a threat to their position, wouldn't it? response:	Even so... there's no reason to throw people in jail over the truth.
context: That's wonderful.\But in our day and age, the Church calls it heresy.\Oh, that's awful!\Church and astronomy have nothing to do with each other!\Our land was created by God, and all the heavenly bodies revolve around it.\That's the Church's teaching. He's saying it's a lie.\If people realized that, it would be a threat to their position, wouldn't it?\Even so... there's no reason to throw people in jail over the truth. response:	You're right.
context: But in our day and age, the Church calls it heresy.\Oh, that's awful!\Church and astronomy have nothing to do with each other!\Our land was created by God, and all the heavenly bodies revolve around it.\That's the Church's teaching. He's saying it's a lie.\If people realized that, it would be a threat to their position, wouldn't it?\Even so... there's no reason to throw people in jail over the truth.\You're right. response:	And yet, it moves.
context: Oh, that's awful!\Church and astronomy have nothing to do with each other!\Our land was created by God, and all the heavenly bodies revolve around it.\That's the Church's teaching. He's saying it's a lie.\If people realized that, it would be a threat to their position, wouldn't it?\Even so... there's no reason to throw people in jail over the truth.\You're right.\And yet, it moves. response:	Scientists have known that for over fifty years, since Copernicus's day.
context: Church and astronomy have nothing to do with each other!\Our land was created by God, and all the heavenly bodies revolve around it.\That's the Church's teaching. He's saying it's a lie.\If people realized that, it would be a threat to their position, wouldn't it?\Even so... there's no reason to throw people in jail over the truth.\You're right.\And yet, it moves.\Scientists have known that for over fifty years, since Copernicus's day. response:	But we can't say it.
context: Our land was created by God, and all the heavenly bodies revolve around it.\That's the Church's teaching. He's saying it's a lie.\If people realized that, it would be a threat to their position, wouldn't it?\Even so... there's no reason to throw people in jail over the truth.\You're right.\And yet, it moves.\Scientists have known that for over fifty years, since Copernicus's day.\But we can't say it. response:	To those in power, inconvenient truths must be crushed by force.
context: That's the Church's teaching. He's saying it's a lie.\If people realized that, it would be a threat to their position, wouldn't it?\Even so... there's no reason to throw people in jail over the truth.\You're right.\And yet, it moves.\Scientists have known that for over fifty years, since Copernicus's day.\But we can't say it.\To those in power, inconvenient truths must be crushed by force. response:	But that's awful!
context: If people realized that, it would be a threat to their position, wouldn't it?\Even so... there's no reason to throw people in jail over the truth.\You're right.\And yet, it moves.\Scientists have known that for over fifty years, since Copernicus's day.\But we can't say it.\To those in power, inconvenient truths must be crushed by force.\But that's awful! response:	Anything?
context: Even so... there's no reason to throw people in jail over the truth.\You're right.\And yet, it moves.\Scientists have known that for over fifty years, since Copernicus's day.\But we can't say it.\To those in power, inconvenient truths must be crushed by force.\But that's awful!\Anything? response:	No good. I didn't find anything.
context: You're right.\And yet, it moves.\Scientists have known that for over fifty years, since Copernicus's day.\But we can't say it.\To those in power, inconvenient truths must be crushed by force.\But that's awful!\Anything?\No good. I didn't find anything. response:	Maybe you have to get in from outside?
context: And yet, it moves.\Scientists have known that for over fifty years, since Copernicus's day.\But we can't say it.\To those in power, inconvenient truths must be crushed by force.\But that's awful!\Anything?\No good. I didn't find anything.\Maybe you have to get in from outside? response:	Yeah.
context: Scientists have known that for over fifty years, since Copernicus's day.\But we can't say it.\To those in power, inconvenient truths must be crushed by force.\But that's awful!\Anything?\No good. I didn't find anything.\Maybe you have to get in from outside?\Yeah. response:	You want to check around the outside?
context: But we can't say it.\To those in power, inconvenient truths must be crushed by force.\But that's awful!\Anything?\No good. I didn't find anything.\Maybe you have to get in from outside?\Yeah.\You want to check around the outside? response:	Well... Why don't we set up a petition or something?
context: To those in power, inconvenient truths must be crushed by force.\But that's awful!\Anything?\No good. I didn't find anything.\Maybe you have to get in from outside?\Yeah.\You want to check around the outside?\Well... Why don't we set up a petition or something? response:	Thank you, my dear.
context: But that's awful!\Anything?\No good. I didn't find anything.\Maybe you have to get in from outside?\Yeah.\You want to check around the outside?\Well... Why don't we set up a petition or something?\Thank you, my dear. response:	But as we're home now...
context: Anything?\No good. I didn't find anything.\Maybe you have to get in from outside?\Yeah.\You want to check around the outside?\Well... Why don't we set up a petition or something?\Thank you, my dear.\But as we're home now... response:	This is magnificent!
context: No good. I didn't find anything.\Maybe you have to get in from outside?\Yeah.\You want to check around the outside?\Well... Why don't we set up a petition or something?\Thank you, my dear.\But as we're home now...\This is magnificent! response:	Interested?
context: Maybe you have to get in from outside?\Yeah.\You want to check around the outside?\Well... Why don't we set up a petition or something?\Thank you, my dear.\But as we're home now...\This is magnificent!\Interested? response:	What does it say?
context: Yeah.\You want to check around the outside?\Well... Why don't we set up a petition or something?\Thank you, my dear.\But as we're home now...\This is magnificent!\Interested?\What does it say? response:	It records the changes in the dip circle's needle based on the ship's position.
context: You want to check around the outside?\Well... Why don't we set up a petition or something?\Thank you, my dear.\But as we're home now...\This is magnificent!\Interested?\What does it say?\It records the changes in the dip circle's needle based on the ship's position. response:	Dip circle?
context: Well... Why don't we set up a petition or something?\Thank you, my dear.\But as we're home now...\This is magnificent!\Interested?\What does it say?\It records the changes in the dip circle's needle based on the ship's position.\Dip circle? response:	You played with it on the ship, remember?
context: Thank you, my dear.\But as we're home now...\This is magnificent!\Interested?\What does it say?\It records the changes in the dip circle's needle based on the ship's position.\Dip circle?\You played with it on the ship, remember? response:	It's a machine designed to record
context: But as we're home now...\This is magnificent!\Interested?\What does it say?\It records the changes in the dip circle's needle based on the ship's position.\Dip circle?\You played with it on the ship, remember?\It's a machine designed to record response:	how far downward the compass needle is pointing.
context: This is magnificent!\Interested?\What does it say?\It records the changes in the dip circle's needle based on the ship's position.\Dip circle?\You played with it on the ship, remember?\It's a machine designed to record\how far downward the compass needle is pointing. response:	A compass needle can point down?
context: Interested?\What does it say?\It records the changes in the dip circle's needle based on the ship's position.\Dip circle?\You played with it on the ship, remember?\It's a machine designed to record\how far downward the compass needle is pointing.\A compass needle can point down? response:	Yes.
context: What does it say?\It records the changes in the dip circle's needle based on the ship's position.\Dip circle?\You played with it on the ship, remember?\It's a machine designed to record\how far downward the compass needle is pointing.\A compass needle can point down?\Yes. response:	A sailor named Robert Norman
context: It records the changes in the dip circle's needle based on the ship's position.\Dip circle?\You played with it on the ship, remember?\It's a machine designed to record\how far downward the compass needle is pointing.\A compass needle can point down?\Yes.\A sailor named Robert Norman response:	discovered that about 20 years ago.
context: Dip circle?\You played with it on the ship, remember?\It's a machine designed to record\how far downward the compass needle is pointing.\A compass needle can point down?\Yes.\A sailor named Robert Norman\discovered that about 20 years ago. response:	But when I asked the sailors about the angle it took,
context: You played with it on the ship, remember?\It's a machine designed to record\how far downward the compass needle is pointing.\A compass needle can point down?\Yes.\A sailor named Robert Norman\discovered that about 20 years ago.\But when I asked the sailors about the angle it took, response:	they said it changed depending on the place.
context: It's a machine designed to record\how far downward the compass needle is pointing.\A compass needle can point down?\Yes.\A sailor named Robert Norman\discovered that about 20 years ago.\But when I asked the sailors about the angle it took,\they said it changed depending on the place. response:	What does that mean?
context: how far downward the compass needle is pointing.\A compass needle can point down?\Yes.\A sailor named Robert Norman\discovered that about 20 years ago.\But when I asked the sailors about the angle it took,\they said it changed depending on the place.\What does that mean? response:	I don't know. That's why I'm investigating.
context: A compass needle can point down?\Yes.\A sailor named Robert Norman\discovered that about 20 years ago.\But when I asked the sailors about the angle it took,\they said it changed depending on the place.\What does that mean?\I don't know. That's why I'm investigating. response:	But Norman's findings did teach us one thing.
context: Yes.\A sailor named Robert Norman\discovered that about 20 years ago.\But when I asked the sailors about the angle it took,\they said it changed depending on the place.\What does that mean?\I don't know. That's why I'm investigating.\But Norman's findings did teach us one thing. response:	The theory that a compass needle points to the North Star...
context: A sailor named Robert Norman\discovered that about 20 years ago.\But when I asked the sailors about the angle it took,\they said it changed depending on the place.\What does that mean?\I don't know. That's why I'm investigating.\But Norman's findings did teach us one thing.\The theory that a compass needle points to the North Star... response:	That can't be true.
context: discovered that about 20 years ago.\But when I asked the sailors about the angle it took,\they said it changed depending on the place.\What does that mean?\I don't know. That's why I'm investigating.\But Norman's findings did teach us one thing.\The theory that a compass needle points to the North Star...\That can't be true. response:	Why not?
context: But when I asked the sailors about the angle it took,\they said it changed depending on the place.\What does that mean?\I don't know. That's why I'm investigating.\But Norman's findings did teach us one thing.\The theory that a compass needle points to the North Star...\That can't be true.\Why not? response:	If the North Star were pulling the compass's needle,
context: they said it changed depending on the place.\What does that mean?\I don't know. That's why I'm investigating.\But Norman's findings did teach us one thing.\The theory that a compass needle points to the North Star...\That can't be true.\Why not?\If the North Star were pulling the compass's needle, response:	the needle wouldn't tilt down.
context: What does that mean?\I don't know. That's why I'm investigating.\But Norman's findings did teach us one thing.\The theory that a compass needle points to the North Star...\That can't be true.\Why not?\If the North Star were pulling the compass's needle,\the needle wouldn't tilt down. response:	It would point up.
context: I don't know. That's why I'm investigating.\But Norman's findings did teach us one thing.\The theory that a compass needle points to the North Star...\That can't be true.\Why not?\If the North Star were pulling the compass's needle,\the needle wouldn't tilt down.\It would point up. response:	I see!
context: But Norman's findings did teach us one thing.\The theory that a compass needle points to the North Star...\That can't be true.\Why not?\If the North Star were pulling the compass's needle,\the needle wouldn't tilt down.\It would point up.\I see! response:	And if you went to the North Pole, it would point straight up!
context: The theory that a compass needle points to the North Star...\That can't be true.\Why not?\If the North Star were pulling the compass's needle,\the needle wouldn't tilt down.\It would point up.\I see!\And if you went to the North Pole, it would point straight up! response:	And it repudiates one more theory.
context: That can't be true.\Why not?\If the North Star were pulling the compass's needle,\the needle wouldn't tilt down.\It would point up.\I see!\And if you went to the North Pole, it would point straight up!\And it repudiates one more theory. response:	The theory of a magnetic mountain at the North Pole.
context: Why not?\If the North Star were pulling the compass's needle,\the needle wouldn't tilt down.\It would point up.\I see!\And if you went to the North Pole, it would point straight up!\And it repudiates one more theory.\The theory of a magnetic mountain at the North Pole. response:	If there were a magnetic mountain at the North Pole,
context: If the North Star were pulling the compass's needle,\the needle wouldn't tilt down.\It would point up.\I see!\And if you went to the North Pole, it would point straight up!\And it repudiates one more theory.\The theory of a magnetic mountain at the North Pole.\If there were a magnetic mountain at the North Pole, response:	then if the circle were in London,
context: the needle wouldn't tilt down.\It would point up.\I see!\And if you went to the North Pole, it would point straight up!\And it repudiates one more theory.\The theory of a magnetic mountain at the North Pole.\If there were a magnetic mountain at the North Pole,\then if the circle were in London, response:	the needle should be pointing at about a 20 degree angle downward.
context: It would point up.\I see!\And if you went to the North Pole, it would point straight up!\And it repudiates one more theory.\The theory of a magnetic mountain at the North Pole.\If there were a magnetic mountain at the North Pole,\then if the circle were in London,\the needle should be pointing at about a 20 degree angle downward. response:	20 degrees the needle should be pointing at about a 20 degree angle downward.
context: I see!\And if you went to the North Pole, it would point straight up!\And it repudiates one more theory.\The theory of a magnetic mountain at the North Pole.\If there were a magnetic mountain at the North Pole,\then if the circle were in London,\the needle should be pointing at about a 20 degree angle downward.\20 degrees the needle should be pointing at about a 20 degree angle downward. response:	But... 20 degrees
context: And if you went to the North Pole, it would point straight up!\And it repudiates one more theory.\The theory of a magnetic mountain at the North Pole.\If there were a magnetic mountain at the North Pole,\then if the circle were in London,\the needle should be pointing at about a 20 degree angle downward.\20 degrees the needle should be pointing at about a 20 degree angle downward.\But... 20 degrees response:	But? 20 degrees
context: And it repudiates one more theory.\The theory of a magnetic mountain at the North Pole.\If there were a magnetic mountain at the North Pole,\then if the circle were in London,\the needle should be pointing at about a 20 degree angle downward.\20 degrees the needle should be pointing at about a 20 degree angle downward.\But... 20 degrees\But? 20 degrees response:	But?
context: The theory of a magnetic mountain at the North Pole.\If there were a magnetic mountain at the North Pole,\then if the circle were in London,\the needle should be pointing at about a 20 degree angle downward.\20 degrees the needle should be pointing at about a 20 degree angle downward.\But... 20 degrees\But? 20 degrees\But? response:	Anything?
context: If there were a magnetic mountain at the North Pole,\then if the circle were in London,\the needle should be pointing at about a 20 degree angle downward.\20 degrees the needle should be pointing at about a 20 degree angle downward.\But... 20 degrees\But? 20 degrees\But?\Anything? response:	Nothing.
context: then if the circle were in London,\the needle should be pointing at about a 20 degree angle downward.\20 degrees the needle should be pointing at about a 20 degree angle downward.\But... 20 degrees\But? 20 degrees\But?\Anything?\Nothing. response:	You two!
context: the needle should be pointing at about a 20 degree angle downward.\20 degrees the needle should be pointing at about a 20 degree angle downward.\But... 20 degrees\But? 20 degrees\But?\Anything?\Nothing.\You two! response:	What are you doing there?
context: 20 degrees the needle should be pointing at about a 20 degree angle downward.\But... 20 degrees\But? 20 degrees\But?\Anything?\Nothing.\You two!\What are you doing there? response:	My sister says she dropped her ribbon in the area.
context: But... 20 degrees\But? 20 degrees\But?\Anything?\Nothing.\You two!\What are you doing there?\My sister says she dropped her ribbon in the area. response:	I see.
context: But? 20 degrees\But?\Anything?\Nothing.\You two!\What are you doing there?\My sister says she dropped her ribbon in the area.\I see. response:	But it's getting late. You should go home and look tomorrow.
context: But?\Anything?\Nothing.\You two!\What are you doing there?\My sister says she dropped her ribbon in the area.\I see.\But it's getting late. You should go home and look tomorrow. response:	You're right. I will.
context: Anything?\Nothing.\You two!\What are you doing there?\My sister says she dropped her ribbon in the area.\I see.\But it's getting late. You should go home and look tomorrow.\You're right. I will. response:	By the way...
context: Nothing.\You two!\What are you doing there?\My sister says she dropped her ribbon in the area.\I see.\But it's getting late. You should go home and look tomorrow.\You're right. I will.\By the way... response:	Do you know how long the lights have been on here?
context: You two!\What are you doing there?\My sister says she dropped her ribbon in the area.\I see.\But it's getting late. You should go home and look tomorrow.\You're right. I will.\By the way...\Do you know how long the lights have been on here? response:	Oh, I turned them on myself.
context: What are you doing there?\My sister says she dropped her ribbon in the area.\I see.\But it's getting late. You should go home and look tomorrow.\You're right. I will.\By the way...\Do you know how long the lights have been on here?\Oh, I turned them on myself. response:	I thought having a little light would make it easier to search.
context: My sister says she dropped her ribbon in the area.\I see.\But it's getting late. You should go home and look tomorrow.\You're right. I will.\By the way...\Do you know how long the lights have been on here?\Oh, I turned them on myself.\I thought having a little light would make it easier to search. response:	Are you related to Mr. Hayase?
context: I see.\But it's getting late. You should go home and look tomorrow.\You're right. I will.\By the way...\Do you know how long the lights have been on here?\Oh, I turned them on myself.\I thought having a little light would make it easier to search.\Are you related to Mr. Hayase? response:	No, but my little sister is in class with his daughter.
