context: So return to the capital response:	What the hell are you playing at?!
context: Mel-chan...\You're wrong!\Why won't either of you understand?\This is no time to be fighting among yourselves!\Talk to Father one more time!\Naofumi-sama...\Don't cry, Mel-chan.\I'm here for you. response:	I've decided.
context: You're wrong!\Why won't either of you understand?\This is no time to be fighting among yourselves!\Talk to Father one more time!\Naofumi-sama...\Don't cry, Mel-chan.\I'm here for you.\I've decided. response:	Oh, Master.
context: Why won't either of you understand?\This is no time to be fighting among yourselves!\Talk to Father one more time!\Naofumi-sama...\Don't cry, Mel-chan.\I'm here for you.\I've decided.\Oh, Master. response:	Listen.
context: This is no time to be fighting among yourselves!\Talk to Father one more time!\Naofumi-sama...\Don't cry, Mel-chan.\I'm here for you.\I've decided.\Oh, Master.\Listen. response:	We're going to leave the country.
context: Talk to Father one more time!\Naofumi-sama...\Don't cry, Mel-chan.\I'm here for you.\I've decided.\Oh, Master.\Listen.\We're going to leave the country. response:	What will you do?
context: Naofumi-sama...\Don't cry, Mel-chan.\I'm here for you.\I've decided.\Oh, Master.\Listen.\We're going to leave the country.\What will you do? response:	I'll return to the capital and talk to Father
context: Don't cry, Mel-chan.\I'm here for you.\I've decided.\Oh, Master.\Listen.\We're going to leave the country.\What will you do?\I'll return to the capital and talk to Father response:	Bad idea.
context: I'm here for you.\I've decided.\Oh, Master.\Listen.\We're going to leave the country.\What will you do?\I'll return to the capital and talk to Father\Bad idea. response:	If you went back now, you'd only get yourself killed.
context: I've decided.\Oh, Master.\Listen.\We're going to leave the country.\What will you do?\I'll return to the capital and talk to Father\Bad idea.\If you went back now, you'd only get yourself killed. response:	But if you decide to stay with us, I'll keep you safe.
context: Oh, Master.\Listen.\We're going to leave the country.\What will you do?\I'll return to the capital and talk to Father\Bad idea.\If you went back now, you'd only get yourself killed.\But if you decide to stay with us, I'll keep you safe. response:	I can promise you that, if nothing else.
context: Listen.\We're going to leave the country.\What will you do?\I'll return to the capital and talk to Father\Bad idea.\If you went back now, you'd only get yourself killed.\But if you decide to stay with us, I'll keep you safe.\I can promise you that, if nothing else. response:	Come with us, Mel-chan.
context: We're going to leave the country.\What will you do?\I'll return to the capital and talk to Father\Bad idea.\If you went back now, you'd only get yourself killed.\But if you decide to stay with us, I'll keep you safe.\I can promise you that, if nothing else.\Come with us, Mel-chan. response:	Okay.
context: What will you do?\I'll return to the capital and talk to Father\Bad idea.\If you went back now, you'd only get yourself killed.\But if you decide to stay with us, I'll keep you safe.\I can promise you that, if nothing else.\Come with us, Mel-chan.\Okay. response:	We leave before dawn.
context: I'll return to the capital and talk to Father\Bad idea.\If you went back now, you'd only get yourself killed.\But if you decide to stay with us, I'll keep you safe.\I can promise you that, if nothing else.\Come with us, Mel-chan.\Okay.\We leave before dawn. response:	Make sure you're ready.
context: Bad idea.\If you went back now, you'd only get yourself killed.\But if you decide to stay with us, I'll keep you safe.\I can promise you that, if nothing else.\Come with us, Mel-chan.\Okay.\We leave before dawn.\Make sure you're ready. response:	Where are we headed, Naofumi-sama?
context: If you went back now, you'd only get yourself killed.\But if you decide to stay with us, I'll keep you safe.\I can promise you that, if nothing else.\Come with us, Mel-chan.\Okay.\We leave before dawn.\Make sure you're ready.\Where are we headed, Naofumi-sama? response:	I've already got a place in mind.
context: But if you decide to stay with us, I'll keep you safe.\I can promise you that, if nothing else.\Come with us, Mel-chan.\Okay.\We leave before dawn.\Make sure you're ready.\Where are we headed, Naofumi-sama?\I've already got a place in mind. response:	Master!
context: I can promise you that, if nothing else.\Come with us, Mel-chan.\Okay.\We leave before dawn.\Make sure you're ready.\Where are we headed, Naofumi-sama?\I've already got a place in mind.\Master! response:	You knew it had to be done.
context: Come with us, Mel-chan.\Okay.\We leave before dawn.\Make sure you're ready.\Where are we headed, Naofumi-sama?\I've already got a place in mind.\Master!\You knew it had to be done. response:	We can't cross these mountains on a wagon.
context: Okay.\We leave before dawn.\Make sure you're ready.\Where are we headed, Naofumi-sama?\I've already got a place in mind.\Master!\You knew it had to be done.\We can't cross these mountains on a wagon. response:	We'll come back to get it once this all settles down.
context: We leave before dawn.\Make sure you're ready.\Where are we headed, Naofumi-sama?\I've already got a place in mind.\Master!\You knew it had to be done.\We can't cross these mountains on a wagon.\We'll come back to get it once this all settles down. response:	You promise to come back for it?
context: Make sure you're ready.\Where are we headed, Naofumi-sama?\I've already got a place in mind.\Master!\You knew it had to be done.\We can't cross these mountains on a wagon.\We'll come back to get it once this all settles down.\You promise to come back for it? response:	I promise.
context: Where are we headed, Naofumi-sama?\I've already got a place in mind.\Master!\You knew it had to be done.\We can't cross these mountains on a wagon.\We'll come back to get it once this all settles down.\You promise to come back for it?\I promise. response:	Let's take a break here.
context: I've already got a place in mind.\Master!\You knew it had to be done.\We can't cross these mountains on a wagon.\We'll come back to get it once this all settles down.\You promise to come back for it?\I promise.\Let's take a break here. response:	'Kay!
context: Master!\You knew it had to be done.\We can't cross these mountains on a wagon.\We'll come back to get it once this all settles down.\You promise to come back for it?\I promise.\Let's take a break here.\'Kay! response:	You all right, Second Princess?
context: You knew it had to be done.\We can't cross these mountains on a wagon.\We'll come back to get it once this all settles down.\You promise to come back for it?\I promise.\Let's take a break here.\'Kay!\You all right, Second Princess? response:	Yes.
context: We can't cross these mountains on a wagon.\We'll come back to get it once this all settles down.\You promise to come back for it?\I promise.\Let's take a break here.\'Kay!\You all right, Second Princess?\Yes. response:	She must be tired.
context: We'll come back to get it once this all settles down.\You promise to come back for it?\I promise.\Let's take a break here.\'Kay!\You all right, Second Princess?\Yes.\She must be tired. response:	Naofumi-sama, what made you choose Siltvelt?
context: You promise to come back for it?\I promise.\Let's take a break here.\'Kay!\You all right, Second Princess?\Yes.\She must be tired.\Naofumi-sama, what made you choose Siltvelt? response:	The extra security.
context: I promise.\Let's take a break here.\'Kay!\You all right, Second Princess?\Yes.\She must be tired.\Naofumi-sama, what made you choose Siltvelt?\The extra security. response:	There must be a reason they're trying so hard to prevent us from going there.
context: Let's take a break here.\'Kay!\You all right, Second Princess?\Yes.\She must be tired.\Naofumi-sama, what made you choose Siltvelt?\The extra security.\There must be a reason they're trying so hard to prevent us from going there. response:	It might be the perfect place to flee to.
context: 'Kay!\You all right, Second Princess?\Yes.\She must be tired.\Naofumi-sama, what made you choose Siltvelt?\The extra security.\There must be a reason they're trying so hard to prevent us from going there.\It might be the perfect place to flee to. response:	Ah!
context: You all right, Second Princess?\Yes.\She must be tired.\Naofumi-sama, what made you choose Siltvelt?\The extra security.\There must be a reason they're trying so hard to prevent us from going there.\It might be the perfect place to flee to.\Ah! response:	Right!
context: Yes.\She must be tired.\Naofumi-sama, what made you choose Siltvelt?\The extra security.\There must be a reason they're trying so hard to prevent us from going there.\It might be the perfect place to flee to.\Ah!\Right! response:	Father...
context: She must be tired.\Naofumi-sama, what made you choose Siltvelt?\The extra security.\There must be a reason they're trying so hard to prevent us from going there.\It might be the perfect place to flee to.\Ah!\Right!\Father... response:	Tell me something.
context: Naofumi-sama, what made you choose Siltvelt?\The extra security.\There must be a reason they're trying so hard to prevent us from going there.\It might be the perfect place to flee to.\Ah!\Right!\Father...\Tell me something. response:	What happened between you and Father?
context: The extra security.\There must be a reason they're trying so hard to prevent us from going there.\It might be the perfect place to flee to.\Ah!\Right!\Father...\Tell me something.\What happened between you and Father? response:	What?
context: There must be a reason they're trying so hard to prevent us from going there.\It might be the perfect place to flee to.\Ah!\Right!\Father...\Tell me something.\What happened between you and Father?\What? response:	But Mother said to treat the Shield Hero well.
context: It might be the perfect place to flee to.\Ah!\Right!\Father...\Tell me something.\What happened between you and Father?\What?\But Mother said to treat the Shield Hero well. response:	Come to think of it, I've heard nothing about your mom.
context: Ah!\Right!\Father...\Tell me something.\What happened between you and Father?\What?\But Mother said to treat the Shield Hero well.\Come to think of it, I've heard nothing about your mom. response:	She's the queen of this country.
context: Right!\Father...\Tell me something.\What happened between you and Father?\What?\But Mother said to treat the Shield Hero well.\Come to think of it, I've heard nothing about your mom.\She's the queen of this country. response:	The queen?
context: Father...\Tell me something.\What happened between you and Father?\What?\But Mother said to treat the Shield Hero well.\Come to think of it, I've heard nothing about your mom.\She's the queen of this country.\The queen? response:	That means she's higher than Father in the pecking order.
context: Tell me something.\What happened between you and Father?\What?\But Mother said to treat the Shield Hero well.\Come to think of it, I've heard nothing about your mom.\She's the queen of this country.\The queen?\That means she's higher than Father in the pecking order. response:	The queen's more powerful?
context: What happened between you and Father?\What?\But Mother said to treat the Shield Hero well.\Come to think of it, I've heard nothing about your mom.\She's the queen of this country.\The queen?\That means she's higher than Father in the pecking order.\The queen's more powerful? response:	Melromarc is a matrilineal monarchy.
context: What?\But Mother said to treat the Shield Hero well.\Come to think of it, I've heard nothing about your mom.\She's the queen of this country.\The queen?\That means she's higher than Father in the pecking order.\The queen's more powerful?\Melromarc is a matrilineal monarchy. response:	You mean that king married into the royal family?
context: But Mother said to treat the Shield Hero well.\Come to think of it, I've heard nothing about your mom.\She's the queen of this country.\The queen?\That means she's higher than Father in the pecking order.\The queen's more powerful?\Melromarc is a matrilineal monarchy.\You mean that king married into the royal family? response:	What's so funny?
context: Come to think of it, I've heard nothing about your mom.\She's the queen of this country.\The queen?\That means she's higher than Father in the pecking order.\The queen's more powerful?\Melromarc is a matrilineal monarchy.\You mean that king married into the royal family?\What's so funny? response:	He acts like he owns the world.
context: She's the queen of this country.\The queen?\That means she's higher than Father in the pecking order.\The queen's more powerful?\Melromarc is a matrilineal monarchy.\You mean that king married into the royal family?\What's so funny?\He acts like he owns the world. response:	So what if he married into the family?!
context: The queen?\That means she's higher than Father in the pecking order.\The queen's more powerful?\Melromarc is a matrilineal monarchy.\You mean that king married into the royal family?\What's so funny?\He acts like he owns the world.\So what if he married into the family?! response:	But he's adopted royalty?
context: That means she's higher than Father in the pecking order.\The queen's more powerful?\Melromarc is a matrilineal monarchy.\You mean that king married into the royal family?\What's so funny?\He acts like he owns the world.\So what if he married into the family?!\But he's adopted royalty? response:	Let's get going.
context: The queen's more powerful?\Melromarc is a matrilineal monarchy.\You mean that king married into the royal family?\What's so funny?\He acts like he owns the world.\So what if he married into the family?!\But he's adopted royalty?\Let's get going. response:	They're not over here.
context: Melromarc is a matrilineal monarchy.\You mean that king married into the royal family?\What's so funny?\He acts like he owns the world.\So what if he married into the family?!\But he's adopted royalty?\Let's get going.\They're not over here. response:	They can't have gone far.
context: You mean that king married into the royal family?\What's so funny?\He acts like he owns the world.\So what if he married into the family?!\But he's adopted royalty?\Let's get going.\They're not over here.\They can't have gone far. response:	Find them!
context: What's so funny?\He acts like he owns the world.\So what if he married into the family?!\But he's adopted royalty?\Let's get going.\They're not over here.\They can't have gone far.\Find them! response:	Look for them!
context: He acts like he owns the world.\So what if he married into the family?!\But he's adopted royalty?\Let's get going.\They're not over here.\They can't have gone far.\Find them!\Look for them! response:	Where are they?
context: So what if he married into the family?!\But he's adopted royalty?\Let's get going.\They're not over here.\They can't have gone far.\Find them!\Look for them!\Where are they? response:	They've blocked this route off, too?
context: But he's adopted royalty?\Let's get going.\They're not over here.\They can't have gone far.\Find them!\Look for them!\Where are they?\They've blocked this route off, too? response:	Let's backtrack a bit.
context: Let's get going.\They're not over here.\They can't have gone far.\Find them!\Look for them!\Where are they?\They've blocked this route off, too?\Let's backtrack a bit. response:	There they are!
context: They're not over here.\They can't have gone far.\Find them!\Look for them!\Where are they?\They've blocked this route off, too?\Let's backtrack a bit.\There they are! response:	Over there!
context: They can't have gone far.\Find them!\Look for them!\Where are they?\They've blocked this route off, too?\Let's backtrack a bit.\There they are!\Over there! response:	They found us?
context: Find them!\Look for them!\Where are they?\They've blocked this route off, too?\Let's backtrack a bit.\There they are!\Over there!\They found us? response:	Can you run?
context: Look for them!\Where are they?\They've blocked this route off, too?\Let's backtrack a bit.\There they are!\Over there!\They found us?\Can you run? response:	Yes.
context: Where are they?\They've blocked this route off, too?\Let's backtrack a bit.\There they are!\Over there!\They found us?\Can you run?\Yes. response:	We're making a break for it past that big rock!
context: They've blocked this route off, too?\Let's backtrack a bit.\There they are!\Over there!\They found us?\Can you run?\Yes.\We're making a break for it past that big rock! response:	There's nowhere left to run.
context: Let's backtrack a bit.\There they are!\Over there!\They found us?\Can you run?\Yes.\We're making a break for it past that big rock!\There's nowhere left to run. response:	You're are surrounded.
context: There they are!\Over there!\They found us?\Can you run?\Yes.\We're making a break for it past that big rock!\There's nowhere left to run.\You're are surrounded. response:	Cease your resistance and release Princess Melty at once.
context: Over there!\They found us?\Can you run?\Yes.\We're making a break for it past that big rock!\There's nowhere left to run.\You're are surrounded.\Cease your resistance and release Princess Melty at once. response:	Release? It's not like I have her tied up.
context: They found us?\Can you run?\Yes.\We're making a break for it past that big rock!\There's nowhere left to run.\You're are surrounded.\Cease your resistance and release Princess Melty at once.\Release? It's not like I have her tied up. response:	Quit lying. We have all the proof we need.
context: Can you run?\Yes.\We're making a break for it past that big rock!\There's nowhere left to run.\You're are surrounded.\Cease your resistance and release Princess Melty at once.\Release? It's not like I have her tied up.\Quit lying. We have all the proof we need. response:	Heroes, I'm perfectly fine, as you can see.
context: Yes.\We're making a break for it past that big rock!\There's nowhere left to run.\You're are surrounded.\Cease your resistance and release Princess Melty at once.\Release? It's not like I have her tied up.\Quit lying. We have all the proof we need.\Heroes, I'm perfectly fine, as you can see. response:	The Shield Hero kept me safe.
context: We're making a break for it past that big rock!\There's nowhere left to run.\You're are surrounded.\Cease your resistance and release Princess Melty at once.\Release? It's not like I have her tied up.\Quit lying. We have all the proof we need.\Heroes, I'm perfectly fine, as you can see.\The Shield Hero kept me safe. response:	Hang on. Didn't Naofumi abduct you?
context: There's nowhere left to run.\You're are surrounded.\Cease your resistance and release Princess Melty at once.\Release? It's not like I have her tied up.\Quit lying. We have all the proof we need.\Heroes, I'm perfectly fine, as you can see.\The Shield Hero kept me safe.\Hang on. Didn't Naofumi abduct you? response:	A dastardly plot was behind all this.
context: You're are surrounded.\Cease your resistance and release Princess Melty at once.\Release? It's not like I have her tied up.\Quit lying. We have all the proof we need.\Heroes, I'm perfectly fine, as you can see.\The Shield Hero kept me safe.\Hang on. Didn't Naofumi abduct you?\A dastardly plot was behind all this. response:	I asked him to take me and protect my life.
context: Cease your resistance and release Princess Melty at once.\Release? It's not like I have her tied up.\Quit lying. We have all the proof we need.\Heroes, I'm perfectly fine, as you can see.\The Shield Hero kept me safe.\Hang on. Didn't Naofumi abduct you?\A dastardly plot was behind all this.\I asked him to take me and protect my life. response:	Protect?
context: Release? It's not like I have her tied up.\Quit lying. We have all the proof we need.\Heroes, I'm perfectly fine, as you can see.\The Shield Hero kept me safe.\Hang on. Didn't Naofumi abduct you?\A dastardly plot was behind all this.\I asked him to take me and protect my life.\Protect? response:	What could the Shield Hero possibly stand to gain by abducting me?
context: Quit lying. We have all the proof we need.\Heroes, I'm perfectly fine, as you can see.\The Shield Hero kept me safe.\Hang on. Didn't Naofumi abduct you?\A dastardly plot was behind all this.\I asked him to take me and protect my life.\Protect?\What could the Shield Hero possibly stand to gain by abducting me? response:	The queen told me...
context: Heroes, I'm perfectly fine, as you can see.\The Shield Hero kept me safe.\Hang on. Didn't Naofumi abduct you?\A dastardly plot was behind all this.\I asked him to take me and protect my life.\Protect?\What could the Shield Hero possibly stand to gain by abducting me?\The queen told me... response:	This is the time for all of us to work together to thwart the catastrophes.
