context: Why? response:	Mari.
context: What was that?!\You brat...\Stop it! Don't hurt them!\Certainly, I won't...\Fine.\Mari...\You're a smart girl.\Mama... Where is she? response:	Episode 11 Edison's Resilience
context: You brat...\Stop it! Don't hurt them!\Certainly, I won't...\Fine.\Mari...\You're a smart girl.\Mama... Where is she?\Episode 11 Edison's Resilience response:	I see. Episode 11 Edison's Resilience
context: Stop it! Don't hurt them!\Certainly, I won't...\Fine.\Mari...\You're a smart girl.\Mama... Where is she?\Episode 11 Edison's Resilience\I see. Episode 11 Edison's Resilience response:	Episode 11 Edison's Resilience
context: Certainly, I won't...\Fine.\Mari...\You're a smart girl.\Mama... Where is she?\Episode 11 Edison's Resilience\I see. Episode 11 Edison's Resilience\Episode 11 Edison's Resilience response:	By touching the portraits in the book,
context: Fine.\Mari...\You're a smart girl.\Mama... Where is she?\Episode 11 Edison's Resilience\I see. Episode 11 Edison's Resilience\Episode 11 Edison's Resilience\By touching the portraits in the book, response:	the armillary compass takes you to that person's era.
context: Mari...\You're a smart girl.\Mama... Where is she?\Episode 11 Edison's Resilience\I see. Episode 11 Edison's Resilience\Episode 11 Edison's Resilience\By touching the portraits in the book,\the armillary compass takes you to that person's era. response:	Is that it?
context: You're a smart girl.\Mama... Where is she?\Episode 11 Edison's Resilience\I see. Episode 11 Edison's Resilience\Episode 11 Edison's Resilience\By touching the portraits in the book,\the armillary compass takes you to that person's era.\Is that it? response:	You should have just made something up!
context: Mama... Where is she?\Episode 11 Edison's Resilience\I see. Episode 11 Edison's Resilience\Episode 11 Edison's Resilience\By touching the portraits in the book,\the armillary compass takes you to that person's era.\Is that it?\You should have just made something up! response:	You do run your mouth, don't you?
context: Episode 11 Edison's Resilience\I see. Episode 11 Edison's Resilience\Episode 11 Edison's Resilience\By touching the portraits in the book,\the armillary compass takes you to that person's era.\Is that it?\You should have just made something up!\You do run your mouth, don't you? response:	I'd rather be a blabbermouth
context: I see. Episode 11 Edison's Resilience\Episode 11 Edison's Resilience\By touching the portraits in the book,\the armillary compass takes you to that person's era.\Is that it?\You should have just made something up!\You do run your mouth, don't you?\I'd rather be a blabbermouth response:	than someone who ties people up and threatens them!
context: Episode 11 Edison's Resilience\By touching the portraits in the book,\the armillary compass takes you to that person's era.\Is that it?\You should have just made something up!\You do run your mouth, don't you?\I'd rather be a blabbermouth\than someone who ties people up and threatens them! response:	I finally see how he did it.
context: By touching the portraits in the book,\the armillary compass takes you to that person's era.\Is that it?\You should have just made something up!\You do run your mouth, don't you?\I'd rather be a blabbermouth\than someone who ties people up and threatens them!\I finally see how he did it. response:	Why could he auction off the jade cup of Napoleon,
context: the armillary compass takes you to that person's era.\Is that it?\You should have just made something up!\You do run your mouth, don't you?\I'd rather be a blabbermouth\than someone who ties people up and threatens them!\I finally see how he did it.\Why could he auction off the jade cup of Napoleon, response:	thought lost to the tides of history?
context: Is that it?\You should have just made something up!\You do run your mouth, don't you?\I'd rather be a blabbermouth\than someone who ties people up and threatens them!\I finally see how he did it.\Why could he auction off the jade cup of Napoleon,\thought lost to the tides of history? response:	An invention that travels through time...
context: You should have just made something up!\You do run your mouth, don't you?\I'd rather be a blabbermouth\than someone who ties people up and threatens them!\I finally see how he did it.\Why could he auction off the jade cup of Napoleon,\thought lost to the tides of history?\An invention that travels through time... response:	This could mean big business.
context: You do run your mouth, don't you?\I'd rather be a blabbermouth\than someone who ties people up and threatens them!\I finally see how he did it.\Why could he auction off the jade cup of Napoleon,\thought lost to the tides of history?\An invention that travels through time...\This could mean big business. response:	Business?
context: I'd rather be a blabbermouth\than someone who ties people up and threatens them!\I finally see how he did it.\Why could he auction off the jade cup of Napoleon,\thought lost to the tides of history?\An invention that travels through time...\This could mean big business.\Business? response:	That's right.
context: than someone who ties people up and threatens them!\I finally see how he did it.\Why could he auction off the jade cup of Napoleon,\thought lost to the tides of history?\An invention that travels through time...\This could mean big business.\Business?\That's right. response:	An unparalleled travel experience using cutting edge technology...
context: I finally see how he did it.\Why could he auction off the jade cup of Napoleon,\thought lost to the tides of history?\An invention that travels through time...\This could mean big business.\Business?\That's right.\An unparalleled travel experience using cutting edge technology... response:	we'll have people climbing over each other for a chance to try it.
context: Why could he auction off the jade cup of Napoleon,\thought lost to the tides of history?\An invention that travels through time...\This could mean big business.\Business?\That's right.\An unparalleled travel experience using cutting edge technology...\we'll have people climbing over each other for a chance to try it. response:	In addition,
context: thought lost to the tides of history?\An invention that travels through time...\This could mean big business.\Business?\That's right.\An unparalleled travel experience using cutting edge technology...\we'll have people climbing over each other for a chance to try it.\In addition, response:	things lost to war and natural disaster,
context: An invention that travels through time...\This could mean big business.\Business?\That's right.\An unparalleled travel experience using cutting edge technology...\we'll have people climbing over each other for a chance to try it.\In addition,\things lost to war and natural disaster, response:	like precious historical documents, art, and sculptures.
context: This could mean big business.\Business?\That's right.\An unparalleled travel experience using cutting edge technology...\we'll have people climbing over each other for a chance to try it.\In addition,\things lost to war and natural disaster,\like precious historical documents, art, and sculptures. response:	If we could acquire them,
context: Business?\That's right.\An unparalleled travel experience using cutting edge technology...\we'll have people climbing over each other for a chance to try it.\In addition,\things lost to war and natural disaster,\like precious historical documents, art, and sculptures.\If we could acquire them, response:	they could fetch incredible prices at auction.
context: That's right.\An unparalleled travel experience using cutting edge technology...\we'll have people climbing over each other for a chance to try it.\In addition,\things lost to war and natural disaster,\like precious historical documents, art, and sculptures.\If we could acquire them,\they could fetch incredible prices at auction. response:	I won't let you abuse it like that!
context: An unparalleled travel experience using cutting edge technology...\we'll have people climbing over each other for a chance to try it.\In addition,\things lost to war and natural disaster,\like precious historical documents, art, and sculptures.\If we could acquire them,\they could fetch incredible prices at auction.\I won't let you abuse it like that! response:	Abuse?
context: we'll have people climbing over each other for a chance to try it.\In addition,\things lost to war and natural disaster,\like precious historical documents, art, and sculptures.\If we could acquire them,\they could fetch incredible prices at auction.\I won't let you abuse it like that!\Abuse? response:	What an awful thing to say.
context: In addition,\things lost to war and natural disaster,\like precious historical documents, art, and sculptures.\If we could acquire them,\they could fetch incredible prices at auction.\I won't let you abuse it like that!\Abuse?\What an awful thing to say. response:	Your husband is already doing that, isn't he?
context: things lost to war and natural disaster,\like precious historical documents, art, and sculptures.\If we could acquire them,\they could fetch incredible prices at auction.\I won't let you abuse it like that!\Abuse?\What an awful thing to say.\Your husband is already doing that, isn't he? response:	The jade cup of Napoleon that Mr. Mikage mentioned...
context: like precious historical documents, art, and sculptures.\If we could acquire them,\they could fetch incredible prices at auction.\I won't let you abuse it like that!\Abuse?\What an awful thing to say.\Your husband is already doing that, isn't he?\The jade cup of Napoleon that Mr. Mikage mentioned... response:	Someone brought it back from the past and sold it at an auction.
context: If we could acquire them,\they could fetch incredible prices at auction.\I won't let you abuse it like that!\Abuse?\What an awful thing to say.\Your husband is already doing that, isn't he?\The jade cup of Napoleon that Mr. Mikage mentioned...\Someone brought it back from the past and sold it at an auction. response:	It was likely Dr. Hayase.
context: they could fetch incredible prices at auction.\I won't let you abuse it like that!\Abuse?\What an awful thing to say.\Your husband is already doing that, isn't he?\The jade cup of Napoleon that Mr. Mikage mentioned...\Someone brought it back from the past and sold it at an auction.\It was likely Dr. Hayase. response:	Papa did it?
context: I won't let you abuse it like that!\Abuse?\What an awful thing to say.\Your husband is already doing that, isn't he?\The jade cup of Napoleon that Mr. Mikage mentioned...\Someone brought it back from the past and sold it at an auction.\It was likely Dr. Hayase.\Papa did it? response:	Hayase used the money from that
context: Abuse?\What an awful thing to say.\Your husband is already doing that, isn't he?\The jade cup of Napoleon that Mr. Mikage mentioned...\Someone brought it back from the past and sold it at an auction.\It was likely Dr. Hayase.\Papa did it?\Hayase used the money from that response:	to pay back the money we had invested into his matter transporter.
context: What an awful thing to say.\Your husband is already doing that, isn't he?\The jade cup of Napoleon that Mr. Mikage mentioned...\Someone brought it back from the past and sold it at an auction.\It was likely Dr. Hayase.\Papa did it?\Hayase used the money from that\to pay back the money we had invested into his matter transporter. response:	That idiot!
context: Your husband is already doing that, isn't he?\The jade cup of Napoleon that Mr. Mikage mentioned...\Someone brought it back from the past and sold it at an auction.\It was likely Dr. Hayase.\Papa did it?\Hayase used the money from that\to pay back the money we had invested into his matter transporter.\That idiot! response:	Just as your husband used it to pay back our investment,
context: The jade cup of Napoleon that Mr. Mikage mentioned...\Someone brought it back from the past and sold it at an auction.\It was likely Dr. Hayase.\Papa did it?\Hayase used the money from that\to pay back the money we had invested into his matter transporter.\That idiot!\Just as your husband used it to pay back our investment, response:	I will use this system for my business.
context: Someone brought it back from the past and sold it at an auction.\It was likely Dr. Hayase.\Papa did it?\Hayase used the money from that\to pay back the money we had invested into his matter transporter.\That idiot!\Just as your husband used it to pay back our investment,\I will use this system for my business. response:	That's all it is.
context: It was likely Dr. Hayase.\Papa did it?\Hayase used the money from that\to pay back the money we had invested into his matter transporter.\That idiot!\Just as your husband used it to pay back our investment,\I will use this system for my business.\That's all it is. response:	When something is lost in the course of history,
context: Papa did it?\Hayase used the money from that\to pay back the money we had invested into his matter transporter.\That idiot!\Just as your husband used it to pay back our investment,\I will use this system for my business.\That's all it is.\When something is lost in the course of history, response:	that means its role in history has ended.
context: Hayase used the money from that\to pay back the money we had invested into his matter transporter.\That idiot!\Just as your husband used it to pay back our investment,\I will use this system for my business.\That's all it is.\When something is lost in the course of history,\that means its role in history has ended. response:	To bring it back into the modern world
context: to pay back the money we had invested into his matter transporter.\That idiot!\Just as your husband used it to pay back our investment,\I will use this system for my business.\That's all it is.\When something is lost in the course of history,\that means its role in history has ended.\To bring it back into the modern world response:	is like twisting the very fabric of history!
context: That idiot!\Just as your husband used it to pay back our investment,\I will use this system for my business.\That's all it is.\When something is lost in the course of history,\that means its role in history has ended.\To bring it back into the modern world\is like twisting the very fabric of history! response:	The trifling sentimentality of the historian...
context: Just as your husband used it to pay back our investment,\I will use this system for my business.\That's all it is.\When something is lost in the course of history,\that means its role in history has ended.\To bring it back into the modern world\is like twisting the very fabric of history!\The trifling sentimentality of the historian... response:	It means little.
context: I will use this system for my business.\That's all it is.\When something is lost in the course of history,\that means its role in history has ended.\To bring it back into the modern world\is like twisting the very fabric of history!\The trifling sentimentality of the historian...\It means little. response:	What is needed in business is the know-how to succeed.
context: That's all it is.\When something is lost in the course of history,\that means its role in history has ended.\To bring it back into the modern world\is like twisting the very fabric of history!\The trifling sentimentality of the historian...\It means little.\What is needed in business is the know-how to succeed. response:	Isn't that... Dr. Hayase's...
context: When something is lost in the course of history,\that means its role in history has ended.\To bring it back into the modern world\is like twisting the very fabric of history!\The trifling sentimentality of the historian...\It means little.\What is needed in business is the know-how to succeed.\Isn't that... Dr. Hayase's... response:	Hmm? What is it?
context: that means its role in history has ended.\To bring it back into the modern world\is like twisting the very fabric of history!\The trifling sentimentality of the historian...\It means little.\What is needed in business is the know-how to succeed.\Isn't that... Dr. Hayase's...\Hmm? What is it? response:	Um, did something happen here?
context: To bring it back into the modern world\is like twisting the very fabric of history!\The trifling sentimentality of the historian...\It means little.\What is needed in business is the know-how to succeed.\Isn't that... Dr. Hayase's...\Hmm? What is it?\Um, did something happen here? response:	Oh, just a break-in.
context: is like twisting the very fabric of history!\The trifling sentimentality of the historian...\It means little.\What is needed in business is the know-how to succeed.\Isn't that... Dr. Hayase's...\Hmm? What is it?\Um, did something happen here?\Oh, just a break-in. response:	Huh? A break-in?
context: The trifling sentimentality of the historian...\It means little.\What is needed in business is the know-how to succeed.\Isn't that... Dr. Hayase's...\Hmm? What is it?\Um, did something happen here?\Oh, just a break-in.\Huh? A break-in? response:	Come on, now. Go on.
context: It means little.\What is needed in business is the know-how to succeed.\Isn't that... Dr. Hayase's...\Hmm? What is it?\Um, did something happen here?\Oh, just a break-in.\Huh? A break-in?\Come on, now. Go on. response:	Futa, let's go!
context: What is needed in business is the know-how to succeed.\Isn't that... Dr. Hayase's...\Hmm? What is it?\Um, did something happen here?\Oh, just a break-in.\Huh? A break-in?\Come on, now. Go on.\Futa, let's go! response:	R-Right!
context: Isn't that... Dr. Hayase's...\Hmm? What is it?\Um, did something happen here?\Oh, just a break-in.\Huh? A break-in?\Come on, now. Go on.\Futa, let's go!\R-Right! response:	What era is Dr. Hayase in now?
context: Hmm? What is it?\Um, did something happen here?\Oh, just a break-in.\Huh? A break-in?\Come on, now. Go on.\Futa, let's go!\R-Right!\What era is Dr. Hayase in now? response:	What will you do if we tell you?
context: Um, did something happen here?\Oh, just a break-in.\Huh? A break-in?\Come on, now. Go on.\Futa, let's go!\R-Right!\What era is Dr. Hayase in now?\What will you do if we tell you? response:	I'd like to have a long talk with him.
context: Oh, just a break-in.\Huh? A break-in?\Come on, now. Go on.\Futa, let's go!\R-Right!\What era is Dr. Hayase in now?\What will you do if we tell you?\I'd like to have a long talk with him. response:	He broke our agreement.
context: Huh? A break-in?\Come on, now. Go on.\Futa, let's go!\R-Right!\What era is Dr. Hayase in now?\What will you do if we tell you?\I'd like to have a long talk with him.\He broke our agreement. response:	Broke your agreement? Papa did?
context: Come on, now. Go on.\Futa, let's go!\R-Right!\What era is Dr. Hayase in now?\What will you do if we tell you?\I'd like to have a long talk with him.\He broke our agreement.\Broke your agreement? Papa did? response:	Dr. Hayase was developing a matter transporter.
context: Futa, let's go!\R-Right!\What era is Dr. Hayase in now?\What will you do if we tell you?\I'd like to have a long talk with him.\He broke our agreement.\Broke your agreement? Papa did?\Dr. Hayase was developing a matter transporter. response:	He had a duty to report to us any phenomenon
context: R-Right!\What era is Dr. Hayase in now?\What will you do if we tell you?\I'd like to have a long talk with him.\He broke our agreement.\Broke your agreement? Papa did?\Dr. Hayase was developing a matter transporter.\He had a duty to report to us any phenomenon response:	that occurred during the course of that research.
context: What era is Dr. Hayase in now?\What will you do if we tell you?\I'd like to have a long talk with him.\He broke our agreement.\Broke your agreement? Papa did?\Dr. Hayase was developing a matter transporter.\He had a duty to report to us any phenomenon\that occurred during the course of that research. response:	But he didn't do that.
context: What will you do if we tell you?\I'd like to have a long talk with him.\He broke our agreement.\Broke your agreement? Papa did?\Dr. Hayase was developing a matter transporter.\He had a duty to report to us any phenomenon\that occurred during the course of that research.\But he didn't do that. response:	If he returned the research funding,
context: I'd like to have a long talk with him.\He broke our agreement.\Broke your agreement? Papa did?\Dr. Hayase was developing a matter transporter.\He had a duty to report to us any phenomenon\that occurred during the course of that research.\But he didn't do that.\If he returned the research funding, response:	doesn't that mean the contract is over?
context: He broke our agreement.\Broke your agreement? Papa did?\Dr. Hayase was developing a matter transporter.\He had a duty to report to us any phenomenon\that occurred during the course of that research.\But he didn't do that.\If he returned the research funding,\doesn't that mean the contract is over? response:	Mr. Sekota there used to be part of Hayase's laboratory.
context: Broke your agreement? Papa did?\Dr. Hayase was developing a matter transporter.\He had a duty to report to us any phenomenon\that occurred during the course of that research.\But he didn't do that.\If he returned the research funding,\doesn't that mean the contract is over?\Mr. Sekota there used to be part of Hayase's laboratory. response:	He was involved in the development of the matter transporter.
context: Dr. Hayase was developing a matter transporter.\He had a duty to report to us any phenomenon\that occurred during the course of that research.\But he didn't do that.\If he returned the research funding,\doesn't that mean the contract is over?\Mr. Sekota there used to be part of Hayase's laboratory.\He was involved in the development of the matter transporter. response:	According to him, Dr. Hayase, during the development of the matter transporter,
context: He had a duty to report to us any phenomenon\that occurred during the course of that research.\But he didn't do that.\If he returned the research funding,\doesn't that mean the contract is over?\Mr. Sekota there used to be part of Hayase's laboratory.\He was involved in the development of the matter transporter.\According to him, Dr. Hayase, during the development of the matter transporter, response:	through some accident, received a hint about how to use the system to travel through time.
context: that occurred during the course of that research.\But he didn't do that.\If he returned the research funding,\doesn't that mean the contract is over?\Mr. Sekota there used to be part of Hayase's laboratory.\He was involved in the development of the matter transporter.\According to him, Dr. Hayase, during the development of the matter transporter,\through some accident, received a hint about how to use the system to travel through time. response:	In other words, at the time he received that hint,
context: But he didn't do that.\If he returned the research funding,\doesn't that mean the contract is over?\Mr. Sekota there used to be part of Hayase's laboratory.\He was involved in the development of the matter transporter.\According to him, Dr. Hayase, during the development of the matter transporter,\through some accident, received a hint about how to use the system to travel through time.\In other words, at the time he received that hint, response:	the contract was still in effect.
context: If he returned the research funding,\doesn't that mean the contract is over?\Mr. Sekota there used to be part of Hayase's laboratory.\He was involved in the development of the matter transporter.\According to him, Dr. Hayase, during the development of the matter transporter,\through some accident, received a hint about how to use the system to travel through time.\In other words, at the time he received that hint,\the contract was still in effect. response:	You sold out the secrets of Hayase's research?!
context: doesn't that mean the contract is over?\Mr. Sekota there used to be part of Hayase's laboratory.\He was involved in the development of the matter transporter.\According to him, Dr. Hayase, during the development of the matter transporter,\through some accident, received a hint about how to use the system to travel through time.\In other words, at the time he received that hint,\the contract was still in effect.\You sold out the secrets of Hayase's research?! response:	That's awful!
context: Mr. Sekota there used to be part of Hayase's laboratory.\He was involved in the development of the matter transporter.\According to him, Dr. Hayase, during the development of the matter transporter,\through some accident, received a hint about how to use the system to travel through time.\In other words, at the time he received that hint,\the contract was still in effect.\You sold out the secrets of Hayase's research?!\That's awful! response:	But the doctor is far more awful.
context: He was involved in the development of the matter transporter.\According to him, Dr. Hayase, during the development of the matter transporter,\through some accident, received a hint about how to use the system to travel through time.\In other words, at the time he received that hint,\the contract was still in effect.\You sold out the secrets of Hayase's research?!\That's awful!\But the doctor is far more awful. response:	He deceived me, developed this incredible invention,
context: According to him, Dr. Hayase, during the development of the matter transporter,\through some accident, received a hint about how to use the system to travel through time.\In other words, at the time he received that hint,\the contract was still in effect.\You sold out the secrets of Hayase's research?!\That's awful!\But the doctor is far more awful.\He deceived me, developed this incredible invention, response:	and hid it from me.
context: through some accident, received a hint about how to use the system to travel through time.\In other words, at the time he received that hint,\the contract was still in effect.\You sold out the secrets of Hayase's research?!\That's awful!\But the doctor is far more awful.\He deceived me, developed this incredible invention,\and hid it from me. response:	I must find him and receive recompense.
context: In other words, at the time he received that hint,\the contract was still in effect.\You sold out the secrets of Hayase's research?!\That's awful!\But the doctor is far more awful.\He deceived me, developed this incredible invention,\and hid it from me.\I must find him and receive recompense. response:	All I want to do is talk to him...
context: the contract was still in effect.\You sold out the secrets of Hayase's research?!\That's awful!\But the doctor is far more awful.\He deceived me, developed this incredible invention,\and hid it from me.\I must find him and receive recompense.\All I want to do is talk to him... response:	Really?
context: You sold out the secrets of Hayase's research?!\That's awful!\But the doctor is far more awful.\He deceived me, developed this incredible invention,\and hid it from me.\I must find him and receive recompense.\All I want to do is talk to him...\Really? response:	Of course, as compensation, he'll have to give this system to us,
context: That's awful!\But the doctor is far more awful.\He deceived me, developed this incredible invention,\and hid it from me.\I must find him and receive recompense.\All I want to do is talk to him...\Really?\Of course, as compensation, he'll have to give this system to us, response:	and we'll have him help us with our business.
context: But the doctor is far more awful.\He deceived me, developed this incredible invention,\and hid it from me.\I must find him and receive recompense.\All I want to do is talk to him...\Really?\Of course, as compensation, he'll have to give this system to us,\and we'll have him help us with our business. response:	I'll ask you one more time.
context: He deceived me, developed this incredible invention,\and hid it from me.\I must find him and receive recompense.\All I want to do is talk to him...\Really?\Of course, as compensation, he'll have to give this system to us,\and we'll have him help us with our business.\I'll ask you one more time. response:	What era is Dr. Hayase in?
context: and hid it from me.\I must find him and receive recompense.\All I want to do is talk to him...\Really?\Of course, as compensation, he'll have to give this system to us,\and we'll have him help us with our business.\I'll ask you one more time.\What era is Dr. Hayase in? response:	Then I'll just have to go looking for him.
context: I must find him and receive recompense.\All I want to do is talk to him...\Really?\Of course, as compensation, he'll have to give this system to us,\and we'll have him help us with our business.\I'll ask you one more time.\What era is Dr. Hayase in?\Then I'll just have to go looking for him. response:	But she'll be coming with me...
context: All I want to do is talk to him...\Really?\Of course, as compensation, he'll have to give this system to us,\and we'll have him help us with our business.\I'll ask you one more time.\What era is Dr. Hayase in?\Then I'll just have to go looking for him.\But she'll be coming with me... response:	Don't do it! Don't drag Mari into this!
context: Really?\Of course, as compensation, he'll have to give this system to us,\and we'll have him help us with our business.\I'll ask you one more time.\What era is Dr. Hayase in?\Then I'll just have to go looking for him.\But she'll be coming with me...\Don't do it! Don't drag Mari into this! response:	It's Edison.
context: Of course, as compensation, he'll have to give this system to us,\and we'll have him help us with our business.\I'll ask you one more time.\What era is Dr. Hayase in?\Then I'll just have to go looking for him.\But she'll be coming with me...\Don't do it! Don't drag Mari into this!\It's Edison. response:	We lost track of Dr. Hayase during Edison's era.
context: and we'll have him help us with our business.\I'll ask you one more time.\What era is Dr. Hayase in?\Then I'll just have to go looking for him.\But she'll be coming with me...\Don't do it! Don't drag Mari into this!\It's Edison.\We lost track of Dr. Hayase during Edison's era. response:	Edison?
context: I'll ask you one more time.\What era is Dr. Hayase in?\Then I'll just have to go looking for him.\But she'll be coming with me...\Don't do it! Don't drag Mari into this!\It's Edison.\We lost track of Dr. Hayase during Edison's era.\Edison? response:	Edison, the master inventor.
context: What era is Dr. Hayase in?\Then I'll just have to go looking for him.\But she'll be coming with me...\Don't do it! Don't drag Mari into this!\It's Edison.\We lost track of Dr. Hayase during Edison's era.\Edison?\Edison, the master inventor. response:	A great inventor and entrepreneur.
context: Then I'll just have to go looking for him.\But she'll be coming with me...\Don't do it! Don't drag Mari into this!\It's Edison.\We lost track of Dr. Hayase during Edison's era.\Edison?\Edison, the master inventor.\A great inventor and entrepreneur. response:	Then shall we head out, Mari?
context: But she'll be coming with me...\Don't do it! Don't drag Mari into this!\It's Edison.\We lost track of Dr. Hayase during Edison's era.\Edison?\Edison, the master inventor.\A great inventor and entrepreneur.\Then shall we head out, Mari? response:	Wait!
context: Don't do it! Don't drag Mari into this!\It's Edison.\We lost track of Dr. Hayase during Edison's era.\Edison?\Edison, the master inventor.\A great inventor and entrepreneur.\Then shall we head out, Mari?\Wait! response:	Don't move!
context: It's Edison.\We lost track of Dr. Hayase during Edison's era.\Edison?\Edison, the master inventor.\A great inventor and entrepreneur.\Then shall we head out, Mari?\Wait!\Don't move! response:	I told you where the doctor was!
context: We lost track of Dr. Hayase during Edison's era.\Edison?\Edison, the master inventor.\A great inventor and entrepreneur.\Then shall we head out, Mari?\Wait!\Don't move!\I told you where the doctor was! response:	Why are you taking Mari?
context: Edison?\Edison, the master inventor.\A great inventor and entrepreneur.\Then shall we head out, Mari?\Wait!\Don't move!\I told you where the doctor was!\Why are you taking Mari? response:	You might do something to make sure I can't come back.
context: Edison, the master inventor.\A great inventor and entrepreneur.\Then shall we head out, Mari?\Wait!\Don't move!\I told you where the doctor was!\Why are you taking Mari?\You might do something to make sure I can't come back. response:	I want to make sure that you don't.
context: A great inventor and entrepreneur.\Then shall we head out, Mari?\Wait!\Don't move!\I told you where the doctor was!\Why are you taking Mari?\You might do something to make sure I can't come back.\I want to make sure that you don't. response:	We won't do that!
context: Then shall we head out, Mari?\Wait!\Don't move!\I told you where the doctor was!\Why are you taking Mari?\You might do something to make sure I can't come back.\I want to make sure that you don't.\We won't do that! response:	In business, you always need insurance in case of trouble.
context: Wait!\Don't move!\I told you where the doctor was!\Why are you taking Mari?\You might do something to make sure I can't come back.\I want to make sure that you don't.\We won't do that!\In business, you always need insurance in case of trouble. response:	She is my insurance.
context: Don't move!\I told you where the doctor was!\Why are you taking Mari?\You might do something to make sure I can't come back.\I want to make sure that you don't.\We won't do that!\In business, you always need insurance in case of trouble.\She is my insurance. response:	Let go of Mari!
context: I told you where the doctor was!\Why are you taking Mari?\You might do something to make sure I can't come back.\I want to make sure that you don't.\We won't do that!\In business, you always need insurance in case of trouble.\She is my insurance.\Let go of Mari! response:	And having your daughter with me
context: Why are you taking Mari?\You might do something to make sure I can't come back.\I want to make sure that you don't.\We won't do that!\In business, you always need insurance in case of trouble.\She is my insurance.\Let go of Mari!\And having your daughter with me response:	will make negotiations with the doctor proceed more smoothly.
context: You might do something to make sure I can't come back.\I want to make sure that you don't.\We won't do that!\In business, you always need insurance in case of trouble.\She is my insurance.\Let go of Mari!\And having your daughter with me\will make negotiations with the doctor proceed more smoothly. response:	-You coward! -Stay where you are!
context: I want to make sure that you don't.\We won't do that!\In business, you always need insurance in case of trouble.\She is my insurance.\Let go of Mari!\And having your daughter with me\will make negotiations with the doctor proceed more smoothly.\-You coward! -Stay where you are! response:	Well, here we go.
context: We won't do that!\In business, you always need insurance in case of trouble.\She is my insurance.\Let go of Mari!\And having your daughter with me\will make negotiations with the doctor proceed more smoothly.\-You coward! -Stay where you are!\Well, here we go. response:	-Mari! -Mari!
context: In business, you always need insurance in case of trouble.\She is my insurance.\Let go of Mari!\And having your daughter with me\will make negotiations with the doctor proceed more smoothly.\-You coward! -Stay where you are!\Well, here we go.\-Mari! -Mari! response:	The Year 1876 (What is now) Menlo Park, America
context: She is my insurance.\Let go of Mari!\And having your daughter with me\will make negotiations with the doctor proceed more smoothly.\-You coward! -Stay where you are!\Well, here we go.\-Mari! -Mari!\The Year 1876 (What is now) Menlo Park, America response:	Are we really in Edison's time? The Year 1876 (What is now) Menlo Park, America
context: Let go of Mari!\And having your daughter with me\will make negotiations with the doctor proceed more smoothly.\-You coward! -Stay where you are!\Well, here we go.\-Mari! -Mari!\The Year 1876 (What is now) Menlo Park, America\Are we really in Edison's time? The Year 1876 (What is now) Menlo Park, America response:	Probably, yeah...
context: And having your daughter with me\will make negotiations with the doctor proceed more smoothly.\-You coward! -Stay where you are!\Well, here we go.\-Mari! -Mari!\The Year 1876 (What is now) Menlo Park, America\Are we really in Edison's time? The Year 1876 (What is now) Menlo Park, America\Probably, yeah... response:	It seems it is.
context: will make negotiations with the doctor proceed more smoothly.\-You coward! -Stay where you are!\Well, here we go.\-Mari! -Mari!\The Year 1876 (What is now) Menlo Park, America\Are we really in Edison's time? The Year 1876 (What is now) Menlo Park, America\Probably, yeah...\It seems it is. response:	Your father is an impressive man.
