context: Come on, Nat! response:	Why are you following me?!
context: Sorry for disturbing you.\At this rate, it's only a matter of time until I'm bumped up to the 600-meter group.\Heavy...\Hey, Nat! Help me out!\This is seriously heavy. Where'd he run off to...?\Damn it, Nat.\A crimson splitjaw?\What's it doing this far up?! response:	Nat...?!
context: At this rate, it's only a matter of time until I'm bumped up to the 600-meter group.\Heavy...\Hey, Nat! Help me out!\This is seriously heavy. Where'd he run off to...?\Damn it, Nat.\A crimson splitjaw?\What's it doing this far up?!\Nat...?! response:	Oh no! Is that blood?!
context: Heavy...\Hey, Nat! Help me out!\This is seriously heavy. Where'd he run off to...?\Damn it, Nat.\A crimson splitjaw?\What's it doing this far up?!\Nat...?!\Oh no! Is that blood?! response:	What should I do?
context: Hey, Nat! Help me out!\This is seriously heavy. Where'd he run off to...?\Damn it, Nat.\A crimson splitjaw?\What's it doing this far up?!\Nat...?!\Oh no! Is that blood?!\What should I do? response:	Nat's...
context: This is seriously heavy. Where'd he run off to...?\Damn it, Nat.\A crimson splitjaw?\What's it doing this far up?!\Nat...?!\Oh no! Is that blood?!\What should I do?\Nat's... response:	Nat's gonna be eaten!
context: Damn it, Nat.\A crimson splitjaw?\What's it doing this far up?!\Nat...?!\Oh no! Is that blood?!\What should I do?\Nat's...\Nat's gonna be eaten! response:	Oh crap!
context: A crimson splitjaw?\What's it doing this far up?!\Nat...?!\Oh no! Is that blood?!\What should I do?\Nat's...\Nat's gonna be eaten!\Oh crap! response:	M-my arm... is it broken?!
context: What's it doing this far up?!\Nat...?!\Oh no! Is that blood?!\What should I do?\Nat's...\Nat's gonna be eaten!\Oh crap!\M-my arm... is it broken?! response:	It's not?!
context: Nat...?!\Oh no! Is that blood?!\What should I do?\Nat's...\Nat's gonna be eaten!\Oh crap!\M-my arm... is it broken?!\It's not?! response:	Nat!
context: Oh no! Is that blood?!\What should I do?\Nat's...\Nat's gonna be eaten!\Oh crap!\M-my arm... is it broken?!\It's not?!\Nat! response:	Help!
context: What should I do?\Nat's...\Nat's gonna be eaten!\Oh crap!\M-my arm... is it broken?!\It's not?!\Nat!\Help! response:	Amazing... The petrified trees are melted.
context: Nat's...\Nat's gonna be eaten!\Oh crap!\M-my arm... is it broken?!\It's not?!\Nat!\Help!\Amazing... The petrified trees are melted. response:	I think... maybe somebody saved me.
context: Nat's gonna be eaten!\Oh crap!\M-my arm... is it broken?!\It's not?!\Nat!\Help!\Amazing... The petrified trees are melted.\I think... maybe somebody saved me. response:	Wow, beautiful...
context: Oh crap!\M-my arm... is it broken?!\It's not?!\Nat!\Help!\Amazing... The petrified trees are melted.\I think... maybe somebody saved me.\Wow, beautiful... response:	H-hello there...
context: M-my arm... is it broken?!\It's not?!\Nat!\Help!\Amazing... The petrified trees are melted.\I think... maybe somebody saved me.\Wow, beautiful...\H-hello there... response:	No way! He's not breathing!
context: It's not?!\Nat!\Help!\Amazing... The petrified trees are melted.\I think... maybe somebody saved me.\Wow, beautiful...\H-hello there...\No way! He's not breathing! response:	He needs artificial respiration!
context: Nat!\Help!\Amazing... The petrified trees are melted.\I think... maybe somebody saved me.\Wow, beautiful...\H-hello there...\No way! He's not breathing!\He needs artificial respiration! response:	What's with this texture...?
context: Help!\Amazing... The petrified trees are melted.\I think... maybe somebody saved me.\Wow, beautiful...\H-hello there...\No way! He's not breathing!\He needs artificial respiration!\What's with this texture...? response:	Huh?!
context: Amazing... The petrified trees are melted.\I think... maybe somebody saved me.\Wow, beautiful...\H-hello there...\No way! He's not breathing!\He needs artificial respiration!\What's with this texture...?\Huh?! response:	He's not human!
context: I think... maybe somebody saved me.\Wow, beautiful...\H-hello there...\No way! He's not breathing!\He needs artificial respiration!\What's with this texture...?\Huh?!\He's not human! response:	A-a machine?
context: Wow, beautiful...\H-hello there...\No way! He's not breathing!\He needs artificial respiration!\What's with this texture...?\Huh?!\He's not human!\A-a machine? response:	Wow, this is big!
context: H-hello there...\No way! He's not breathing!\He needs artificial respiration!\What's with this texture...?\Huh?!\He's not human!\A-a machine?\Wow, this is big! response:	Never seen anything like this before!
context: No way! He's not breathing!\He needs artificial respiration!\What's with this texture...?\Huh?!\He's not human!\A-a machine?\Wow, this is big!\Never seen anything like this before! response:	He's still warm...
context: He needs artificial respiration!\What's with this texture...?\Huh?!\He's not human!\A-a machine?\Wow, this is big!\Never seen anything like this before!\He's still warm... response:	Must've been moving until a moment ago.
context: What's with this texture...?\Huh?!\He's not human!\A-a machine?\Wow, this is big!\Never seen anything like this before!\He's still warm...\Must've been moving until a moment ago. response:	But, where did this boy come from?
context: Huh?!\He's not human!\A-a machine?\Wow, this is big!\Never seen anything like this before!\He's still warm...\Must've been moving until a moment ago.\But, where did this boy come from? response:	Thanks!
context: He's not human!\A-a machine?\Wow, this is big!\Never seen anything like this before!\He's still warm...\Must've been moving until a moment ago.\But, where did this boy come from?\Thanks! response:	Alright! Nat, just a bit more to go!
context: A-a machine?\Wow, this is big!\Never seen anything like this before!\He's still warm...\Must've been moving until a moment ago.\But, where did this boy come from?\Thanks!\Alright! Nat, just a bit more to go! response:	Screw you! The hardest part is just starting now!
context: Wow, this is big!\Never seen anything like this before!\He's still warm...\Must've been moving until a moment ago.\But, where did this boy come from?\Thanks!\Alright! Nat, just a bit more to go!\Screw you! The hardest part is just starting now! response:	What's the matter?
context: Never seen anything like this before!\He's still warm...\Must've been moving until a moment ago.\But, where did this boy come from?\Thanks!\Alright! Nat, just a bit more to go!\Screw you! The hardest part is just starting now!\What's the matter? response:	Oh, it's just you, Shiggy.
context: He's still warm...\Must've been moving until a moment ago.\But, where did this boy come from?\Thanks!\Alright! Nat, just a bit more to go!\Screw you! The hardest part is just starting now!\What's the matter?\Oh, it's just you, Shiggy. response:	You startled me.
context: Must've been moving until a moment ago.\But, where did this boy come from?\Thanks!\Alright! Nat, just a bit more to go!\Screw you! The hardest part is just starting now!\What's the matter?\Oh, it's just you, Shiggy.\You startled me. response:	Who's that?
context: But, where did this boy come from?\Thanks!\Alright! Nat, just a bit more to go!\Screw you! The hardest part is just starting now!\What's the matter?\Oh, it's just you, Shiggy.\You startled me.\Who's that? response:	Don't know.
context: Thanks!\Alright! Nat, just a bit more to go!\Screw you! The hardest part is just starting now!\What's the matter?\Oh, it's just you, Shiggy.\You startled me.\Who's that?\Don't know. response:	But, for the time being I'm calling him robot boy.
context: Alright! Nat, just a bit more to go!\Screw you! The hardest part is just starting now!\What's the matter?\Oh, it's just you, Shiggy.\You startled me.\Who's that?\Don't know.\But, for the time being I'm calling him robot boy. response:	Huh?
context: Screw you! The hardest part is just starting now!\What's the matter?\Oh, it's just you, Shiggy.\You startled me.\Who's that?\Don't know.\But, for the time being I'm calling him robot boy.\Huh? response:	I get it. So you swiped something again, Riko, huh?
context: What's the matter?\Oh, it's just you, Shiggy.\You startled me.\Who's that?\Don't know.\But, for the time being I'm calling him robot boy.\Huh?\I get it. So you swiped something again, Riko, huh? response:	I'm just sheltering him, okay!
context: Oh, it's just you, Shiggy.\You startled me.\Who's that?\Don't know.\But, for the time being I'm calling him robot boy.\Huh?\I get it. So you swiped something again, Riko, huh?\I'm just sheltering him, okay! response:	Either way is fine by me...
context: You startled me.\Who's that?\Don't know.\But, for the time being I'm calling him robot boy.\Huh?\I get it. So you swiped something again, Riko, huh?\I'm just sheltering him, okay!\Either way is fine by me... response:	Ah, I knew she'd be there.
context: Who's that?\Don't know.\But, for the time being I'm calling him robot boy.\Huh?\I get it. So you swiped something again, Riko, huh?\I'm just sheltering him, okay!\Either way is fine by me...\Ah, I knew she'd be there. response:	Director, we're back home now.
context: Don't know.\But, for the time being I'm calling him robot boy.\Huh?\I get it. So you swiped something again, Riko, huh?\I'm just sheltering him, okay!\Either way is fine by me...\Ah, I knew she'd be there.\Director, we're back home now. response:	Hurry up and get inside.
context: But, for the time being I'm calling him robot boy.\Huh?\I get it. So you swiped something again, Riko, huh?\I'm just sheltering him, okay!\Either way is fine by me...\Ah, I knew she'd be there.\Director, we're back home now.\Hurry up and get inside. response:	How are we gonna get past her?
context: Huh?\I get it. So you swiped something again, Riko, huh?\I'm just sheltering him, okay!\Either way is fine by me...\Ah, I knew she'd be there.\Director, we're back home now.\Hurry up and get inside.\How are we gonna get past her? response:	I think we can manage it.
context: I get it. So you swiped something again, Riko, huh?\I'm just sheltering him, okay!\Either way is fine by me...\Ah, I knew she'd be there.\Director, we're back home now.\Hurry up and get inside.\How are we gonna get past her?\I think we can manage it. response:	Huh?!
context: I'm just sheltering him, okay!\Either way is fine by me...\Ah, I knew she'd be there.\Director, we're back home now.\Hurry up and get inside.\How are we gonna get past her?\I think we can manage it.\Huh?! response:	Kiyui!
context: Either way is fine by me...\Ah, I knew she'd be there.\Director, we're back home now.\Hurry up and get inside.\How are we gonna get past her?\I think we can manage it.\Huh?!\Kiyui! response:	Shh!
context: Ah, I knew she'd be there.\Director, we're back home now.\Hurry up and get inside.\How are we gonna get past her?\I think we can manage it.\Huh?!\Kiyui!\Shh! response:	He gonna understand that?
context: Director, we're back home now.\Hurry up and get inside.\How are we gonna get past her?\I think we can manage it.\Huh?!\Kiyui!\Shh!\He gonna understand that? response:	I hope so...
context: Hurry up and get inside.\How are we gonna get past her?\I think we can manage it.\Huh?!\Kiyui!\Shh!\He gonna understand that?\I hope so... response:	Hm?
context: How are we gonna get past her?\I think we can manage it.\Huh?!\Kiyui!\Shh!\He gonna understand that?\I hope so...\Hm? response:	Book... book...
context: I think we can manage it.\Huh?!\Kiyui!\Shh!\He gonna understand that?\I hope so...\Hm?\Book... book... response:	How many times do I need to tell you?!
context: Huh?!\Kiyui!\Shh!\He gonna understand that?\I hope so...\Hm?\Book... book...\How many times do I need to tell you?! response:	Don't read books out on the veranda!
context: Kiyui!\Shh!\He gonna understand that?\I hope so...\Hm?\Book... book...\How many times do I need to tell you?!\Don't read books out on the veranda! response:	Drop it again and I'll take it away!
context: Shh!\He gonna understand that?\I hope so...\Hm?\Book... book...\How many times do I need to tell you?!\Don't read books out on the veranda!\Drop it again and I'll take it away! response:	Good work out there yesterday.
context: He gonna understand that?\I hope so...\Hm?\Book... book...\How many times do I need to tell you?!\Don't read books out on the veranda!\Drop it again and I'll take it away!\Good work out there yesterday. response:	You didn't manage to excavate all that much, but it was the first time working solo for most of you...
context: I hope so...\Hm?\Book... book...\How many times do I need to tell you?!\Don't read books out on the veranda!\Drop it again and I'll take it away!\Good work out there yesterday.\You didn't manage to excavate all that much, but it was the first time working solo for most of you... response:	so that's only to be expected.
context: Hm?\Book... book...\How many times do I need to tell you?!\Don't read books out on the veranda!\Drop it again and I'll take it away!\Good work out there yesterday.\You didn't manage to excavate all that much, but it was the first time working solo for most of you...\so that's only to be expected. response:	Once again next week,
context: Book... book...\How many times do I need to tell you?!\Don't read books out on the veranda!\Drop it again and I'll take it away!\Good work out there yesterday.\You didn't manage to excavate all that much, but it was the first time working solo for most of you...\so that's only to be expected.\Once again next week, response:	I'll have you base yourselves at the same site 100 meters down and continue working.
context: How many times do I need to tell you?!\Don't read books out on the veranda!\Drop it again and I'll take it away!\Good work out there yesterday.\You didn't manage to excavate all that much, but it was the first time working solo for most of you...\so that's only to be expected.\Once again next week,\I'll have you base yourselves at the same site 100 meters down and continue working. response:	Those of you who lost their equipment, file a request with General Affairs.
context: Don't read books out on the veranda!\Drop it again and I'll take it away!\Good work out there yesterday.\You didn't manage to excavate all that much, but it was the first time working solo for most of you...\so that's only to be expected.\Once again next week,\I'll have you base yourselves at the same site 100 meters down and continue working.\Those of you who lost their equipment, file a request with General Affairs. response:	That is all.
context: Drop it again and I'll take it away!\Good work out there yesterday.\You didn't manage to excavate all that much, but it was the first time working solo for most of you...\so that's only to be expected.\Once again next week,\I'll have you base yourselves at the same site 100 meters down and continue working.\Those of you who lost their equipment, file a request with General Affairs.\That is all. response:	Now, a word from the director.
context: Good work out there yesterday.\You didn't manage to excavate all that much, but it was the first time working solo for most of you...\so that's only to be expected.\Once again next week,\I'll have you base yourselves at the same site 100 meters down and continue working.\Those of you who lost their equipment, file a request with General Affairs.\That is all.\Now, a word from the director. response:	There's just one thing I want to say.
context: You didn't manage to excavate all that much, but it was the first time working solo for most of you...\so that's only to be expected.\Once again next week,\I'll have you base yourselves at the same site 100 meters down and continue working.\Those of you who lost their equipment, file a request with General Affairs.\That is all.\Now, a word from the director.\There's just one thing I want to say. response:	Realize that your possession of a whistle is based on being a student of the guild's orphanage.
context: so that's only to be expected.\Once again next week,\I'll have you base yourselves at the same site 100 meters down and continue working.\Those of you who lost their equipment, file a request with General Affairs.\That is all.\Now, a word from the director.\There's just one thing I want to say.\Realize that your possession of a whistle is based on being a student of the guild's orphanage. response:	Strive to work hard...
context: Once again next week,\I'll have you base yourselves at the same site 100 meters down and continue working.\Those of you who lost their equipment, file a request with General Affairs.\That is all.\Now, a word from the director.\There's just one thing I want to say.\Realize that your possession of a whistle is based on being a student of the guild's orphanage.\Strive to work hard... response:	so as not to shame your parents who fell so nobly.
context: I'll have you base yourselves at the same site 100 meters down and continue working.\Those of you who lost their equipment, file a request with General Affairs.\That is all.\Now, a word from the director.\There's just one thing I want to say.\Realize that your possession of a whistle is based on being a student of the guild's orphanage.\Strive to work hard...\so as not to shame your parents who fell so nobly. response:	Ah, one more thing.
context: Those of you who lost their equipment, file a request with General Affairs.\That is all.\Now, a word from the director.\There's just one thing I want to say.\Realize that your possession of a whistle is based on being a student of the guild's orphanage.\Strive to work hard...\so as not to shame your parents who fell so nobly.\Ah, one more thing. response:	That's two things now...
context: That is all.\Now, a word from the director.\There's just one thing I want to say.\Realize that your possession of a whistle is based on being a student of the guild's orphanage.\Strive to work hard...\so as not to shame your parents who fell so nobly.\Ah, one more thing.\That's two things now... response:	That's two things now...
context: Now, a word from the director.\There's just one thing I want to say.\Realize that your possession of a whistle is based on being a student of the guild's orphanage.\Strive to work hard...\so as not to shame your parents who fell so nobly.\Ah, one more thing.\That's two things now...\That's two things now... response:	Helping yourself to Relics is strictly forbidden.
context: There's just one thing I want to say.\Realize that your possession of a whistle is based on being a student of the guild's orphanage.\Strive to work hard...\so as not to shame your parents who fell so nobly.\Ah, one more thing.\That's two things now...\That's two things now...\Helping yourself to Relics is strictly forbidden. response:	Is she glaring at me?
context: Realize that your possession of a whistle is based on being a student of the guild's orphanage.\Strive to work hard...\so as not to shame your parents who fell so nobly.\Ah, one more thing.\That's two things now...\That's two things now...\Helping yourself to Relics is strictly forbidden.\Is she glaring at me? response:	Relics provide valuable income to the orphanage...
context: Strive to work hard...\so as not to shame your parents who fell so nobly.\Ah, one more thing.\That's two things now...\That's two things now...\Helping yourself to Relics is strictly forbidden.\Is she glaring at me?\Relics provide valuable income to the orphanage... response:	So pocketing them is inexcusable.
context: so as not to shame your parents who fell so nobly.\Ah, one more thing.\That's two things now...\That's two things now...\Helping yourself to Relics is strictly forbidden.\Is she glaring at me?\Relics provide valuable income to the orphanage...\So pocketing them is inexcusable. response:	No matter the punishment...
context: Ah, one more thing.\That's two things now...\That's two things now...\Helping yourself to Relics is strictly forbidden.\Is she glaring at me?\Relics provide valuable income to the orphanage...\So pocketing them is inexcusable.\No matter the punishment... response:	I don't want to hear any complaints!
