context: Wow! response:	Incredible!
context: Oh yeah, the wishing plaques!\Fret not. We all have them.\Isn't it a little too early to give up?\What is your prob\FM: Ko Sub: (non title) in Yunosagi just now.\Sorry, I need to go pick up Ko!\Wait! Should I drive you?\It's fine! Go and fest it up without me! response:	She's a noisy one, as usual.
context: Fret not. We all have them.\Isn't it a little too early to give up?\What is your prob\FM: Ko Sub: (non title) in Yunosagi just now.\Sorry, I need to go pick up Ko!\Wait! Should I drive you?\It's fine! Go and fest it up without me!\She's a noisy one, as usual. response:	Is it okay to let her go?
context: Isn't it a little too early to give up?\What is your prob\FM: Ko Sub: (non title) in Yunosagi just now.\Sorry, I need to go pick up Ko!\Wait! Should I drive you?\It's fine! Go and fest it up without me!\She's a noisy one, as usual.\Is it okay to let her go? response:	I don't see why not.
context: What is your prob\FM: Ko Sub: (non title) in Yunosagi just now.\Sorry, I need to go pick up Ko!\Wait! Should I drive you?\It's fine! Go and fest it up without me!\She's a noisy one, as usual.\Is it okay to let her go?\I don't see why not. response:	What did you write on it?
context: FM: Ko Sub: (non title) in Yunosagi just now.\Sorry, I need to go pick up Ko!\Wait! Should I drive you?\It's fine! Go and fest it up without me!\She's a noisy one, as usual.\Is it okay to let her go?\I don't see why not.\What did you write on it? response:	I want to become a bullet train!
context: Sorry, I need to go pick up Ko!\Wait! Should I drive you?\It's fine! Go and fest it up without me!\She's a noisy one, as usual.\Is it okay to let her go?\I don't see why not.\What did you write on it?\I want to become a bullet train! response:	What do I want to become?
context: Wait! Should I drive you?\It's fine! Go and fest it up without me!\She's a noisy one, as usual.\Is it okay to let her go?\I don't see why not.\What did you write on it?\I want to become a bullet train!\What do I want to become? response:	I may not act like it, but I'm actually pretty pragmatic.
context: It's fine! Go and fest it up without me!\She's a noisy one, as usual.\Is it okay to let her go?\I don't see why not.\What did you write on it?\I want to become a bullet train!\What do I want to become?\I may not act like it, but I'm actually pretty pragmatic. response:	I don't live with the greatest role model.
context: She's a noisy one, as usual.\Is it okay to let her go?\I don't see why not.\What did you write on it?\I want to become a bullet train!\What do I want to become?\I may not act like it, but I'm actually pretty pragmatic.\I don't live with the greatest role model. response:	No...
context: Is it okay to let her go?\I don't see why not.\What did you write on it?\I want to become a bullet train!\What do I want to become?\I may not act like it, but I'm actually pretty pragmatic.\I don't live with the greatest role model.\No... response:	No!
context: I don't see why not.\What did you write on it?\I want to become a bullet train!\What do I want to become?\I may not act like it, but I'm actually pretty pragmatic.\I don't live with the greatest role model.\No...\No! response:	Enishing,
context: What did you write on it?\I want to become a bullet train!\What do I want to become?\I may not act like it, but I'm actually pretty pragmatic.\I don't live with the greatest role model.\No...\No!\Enishing, response:	I just saw
context: I want to become a bullet train!\What do I want to become?\I may not act like it, but I'm actually pretty pragmatic.\I don't live with the greatest role model.\No...\No!\Enishing,\I just saw response:	Hey, do you think this is fine?
context: What do I want to become?\I may not act like it, but I'm actually pretty pragmatic.\I don't live with the greatest role model.\No...\No!\Enishing,\I just saw\Hey, do you think this is fine? response:	Didn't I say that we can say anything to each other?
context: I may not act like it, but I'm actually pretty pragmatic.\I don't live with the greatest role model.\No...\No!\Enishing,\I just saw\Hey, do you think this is fine?\Didn't I say that we can say anything to each other? response:	Hey, Mom, will you buy me a caramel apple?
context: I don't live with the greatest role model.\No...\No!\Enishing,\I just saw\Hey, do you think this is fine?\Didn't I say that we can say anything to each other?\Hey, Mom, will you buy me a caramel apple? response:	Stop joking around.
context: No...\No!\Enishing,\I just saw\Hey, do you think this is fine?\Didn't I say that we can say anything to each other?\Hey, Mom, will you buy me a caramel apple?\Stop joking around. response:	Buy one yourself.
context: No!\Enishing,\I just saw\Hey, do you think this is fine?\Didn't I say that we can say anything to each other?\Hey, Mom, will you buy me a caramel apple?\Stop joking around.\Buy one yourself. response:	Cheapskate. You're just like Ohana.
context: Enishing,\I just saw\Hey, do you think this is fine?\Didn't I say that we can say anything to each other?\Hey, Mom, will you buy me a caramel apple?\Stop joking around.\Buy one yourself.\Cheapskate. You're just like Ohana. response:	You mean, Ohana is just like me.
context: I just saw\Hey, do you think this is fine?\Didn't I say that we can say anything to each other?\Hey, Mom, will you buy me a caramel apple?\Stop joking around.\Buy one yourself.\Cheapskate. You're just like Ohana.\You mean, Ohana is just like me. response:	I want 5,000,000 yen.
context: Hey, do you think this is fine?\Didn't I say that we can say anything to each other?\Hey, Mom, will you buy me a caramel apple?\Stop joking around.\Buy one yourself.\Cheapskate. You're just like Ohana.\You mean, Ohana is just like me.\I want 5,000,000 yen. response:	I want skinnier ankles.
context: Didn't I say that we can say anything to each other?\Hey, Mom, will you buy me a caramel apple?\Stop joking around.\Buy one yourself.\Cheapskate. You're just like Ohana.\You mean, Ohana is just like me.\I want 5,000,000 yen.\I want skinnier ankles. response:	People and their desires.
context: Hey, Mom, will you buy me a caramel apple?\Stop joking around.\Buy one yourself.\Cheapskate. You're just like Ohana.\You mean, Ohana is just like me.\I want 5,000,000 yen.\I want skinnier ankles.\People and their desires. response:	You shouldn't look at other people's wishes.
context: Stop joking around.\Buy one yourself.\Cheapskate. You're just like Ohana.\You mean, Ohana is just like me.\I want 5,000,000 yen.\I want skinnier ankles.\People and their desires.\You shouldn't look at other people's wishes. response:	But it's fun.
context: Buy one yourself.\Cheapskate. You're just like Ohana.\You mean, Ohana is just like me.\I want 5,000,000 yen.\I want skinnier ankles.\People and their desires.\You shouldn't look at other people's wishes.\But it's fun. response:	Jeez...
context: Cheapskate. You're just like Ohana.\You mean, Ohana is just like me.\I want 5,000,000 yen.\I want skinnier ankles.\People and their desires.\You shouldn't look at other people's wishes.\But it's fun.\Jeez... response:	Mom.
context: You mean, Ohana is just like me.\I want 5,000,000 yen.\I want skinnier ankles.\People and their desires.\You shouldn't look at other people's wishes.\But it's fun.\Jeez...\Mom. response:	Check this out.
context: I want 5,000,000 yen.\I want skinnier ankles.\People and their desires.\You shouldn't look at other people's wishes.\But it's fun.\Jeez...\Mom.\Check this out. response:	I want to be Sui Shijima -Ohana.
context: I want skinnier ankles.\People and their desires.\You shouldn't look at other people's wishes.\But it's fun.\Jeez...\Mom.\Check this out.\I want to be Sui Shijima -Ohana. response:	I found a goal.
context: People and their desires.\You shouldn't look at other people's wishes.\But it's fun.\Jeez...\Mom.\Check this out.\I want to be Sui Shijima -Ohana.\I found a goal. response:	I want to be like the Madam Manager,
context: You shouldn't look at other people's wishes.\But it's fun.\Jeez...\Mom.\Check this out.\I want to be Sui Shijima -Ohana.\I found a goal.\I want to be like the Madam Manager, response:	who takes pride in her job and works her hardest,
context: But it's fun.\Jeez...\Mom.\Check this out.\I want to be Sui Shijima -Ohana.\I found a goal.\I want to be like the Madam Manager,\who takes pride in her job and works her hardest, response:	but is a little childish and never forgets her first wish -
context: Jeez...\Mom.\Check this out.\I want to be Sui Shijima -Ohana.\I found a goal.\I want to be like the Madam Manager,\who takes pride in her job and works her hardest,\but is a little childish and never forgets her first wish - response:	her first dream.
context: Mom.\Check this out.\I want to be Sui Shijima -Ohana.\I found a goal.\I want to be like the Madam Manager,\who takes pride in her job and works her hardest,\but is a little childish and never forgets her first wish -\her first dream. response:	But I couldn't find that goal on my own.
context: Check this out.\I want to be Sui Shijima -Ohana.\I found a goal.\I want to be like the Madam Manager,\who takes pride in her job and works her hardest,\but is a little childish and never forgets her first wish -\her first dream.\But I couldn't find that goal on my own. response:	Everyone's bonboris lit my way toward it.
context: I want to be Sui Shijima -Ohana.\I found a goal.\I want to be like the Madam Manager,\who takes pride in her job and works her hardest,\but is a little childish and never forgets her first wish -\her first dream.\But I couldn't find that goal on my own.\Everyone's bonboris lit my way toward it. response:	Well... I guess I lost.
context: I found a goal.\I want to be like the Madam Manager,\who takes pride in her job and works her hardest,\but is a little childish and never forgets her first wish -\her first dream.\But I couldn't find that goal on my own.\Everyone's bonboris lit my way toward it.\Well... I guess I lost. response:	But that just means I need to fest it up.
context: I want to be like the Madam Manager,\who takes pride in her job and works her hardest,\but is a little childish and never forgets her first wish -\her first dream.\But I couldn't find that goal on my own.\Everyone's bonboris lit my way toward it.\Well... I guess I lost.\But that just means I need to fest it up. response:	Fest it up?
context: who takes pride in her job and works her hardest,\but is a little childish and never forgets her first wish -\her first dream.\But I couldn't find that goal on my own.\Everyone's bonboris lit my way toward it.\Well... I guess I lost.\But that just means I need to fest it up.\Fest it up? response:	Haven't you heard Ohana use it?
context: but is a little childish and never forgets her first wish -\her first dream.\But I couldn't find that goal on my own.\Everyone's bonboris lit my way toward it.\Well... I guess I lost.\But that just means I need to fest it up.\Fest it up?\Haven't you heard Ohana use it? response:	Fest it up, eh?
context: her first dream.\But I couldn't find that goal on my own.\Everyone's bonboris lit my way toward it.\Well... I guess I lost.\But that just means I need to fest it up.\Fest it up?\Haven't you heard Ohana use it?\Fest it up, eh? response:	What did you write?
context: But I couldn't find that goal on my own.\Everyone's bonboris lit my way toward it.\Well... I guess I lost.\But that just means I need to fest it up.\Fest it up?\Haven't you heard Ohana use it?\Fest it up, eh?\What did you write? response:	Don't look!
context: Everyone's bonboris lit my way toward it.\Well... I guess I lost.\But that just means I need to fest it up.\Fest it up?\Haven't you heard Ohana use it?\Fest it up, eh?\What did you write?\Don't look! response:	Just a peek!
context: Well... I guess I lost.\But that just means I need to fest it up.\Fest it up?\Haven't you heard Ohana use it?\Fest it up, eh?\What did you write?\Don't look!\Just a peek! response:	That's wonderful, Minchi!
context: But that just means I need to fest it up.\Fest it up?\Haven't you heard Ohana use it?\Fest it up, eh?\What did you write?\Don't look!\Just a peek!\That's wonderful, Minchi! response:	Nako!
context: Fest it up?\Haven't you heard Ohana use it?\Fest it up, eh?\What did you write?\Don't look!\Just a peek!\That's wonderful, Minchi!\Nako! response:	Hey
context: Haven't you heard Ohana use it?\Fest it up, eh?\What did you write?\Don't look!\Just a peek!\That's wonderful, Minchi!\Nako!\Hey response:	Come on, Tsurugi! Just a peek!
context: Fest it up, eh?\What did you write?\Don't look!\Just a peek!\That's wonderful, Minchi!\Nako!\Hey\Come on, Tsurugi! Just a peek! response:	Stop laughing!
context: What did you write?\Don't look!\Just a peek!\That's wonderful, Minchi!\Nako!\Hey\Come on, Tsurugi! Just a peek!\Stop laughing! response:	Come on!
context: Don't look!\Just a peek!\That's wonderful, Minchi!\Nako!\Hey\Come on, Tsurugi! Just a peek!\Stop laughing!\Come on! response:	I hope to catch up to Tohru someday -Minko I'd like to pave for higher grounds as a chef. -Tohru
context: Just a peek!\That's wonderful, Minchi!\Nako!\Hey\Come on, Tsurugi! Just a peek!\Stop laughing!\Come on!\I hope to catch up to Tohru someday -Minko I'd like to pave for higher grounds as a chef. -Tohru response:	You'd better run fast, or you won't be able to catch up to me.
context: That's wonderful, Minchi!\Nako!\Hey\Come on, Tsurugi! Just a peek!\Stop laughing!\Come on!\I hope to catch up to Tohru someday -Minko I'd like to pave for higher grounds as a chef. -Tohru\You'd better run fast, or you won't be able to catch up to me. response:	Balut!
context: Nako!\Hey\Come on, Tsurugi! Just a peek!\Stop laughing!\Come on!\I hope to catch up to Tohru someday -Minko I'd like to pave for higher grounds as a chef. -Tohru\You'd better run fast, or you won't be able to catch up to me.\Balut! response:	Ko, you came...
context: Hey\Come on, Tsurugi! Just a peek!\Stop laughing!\Come on!\I hope to catch up to Tohru someday -Minko I'd like to pave for higher grounds as a chef. -Tohru\You'd better run fast, or you won't be able to catch up to me.\Balut!\Ko, you came... response:	Of course I did.
context: Come on, Tsurugi! Just a peek!\Stop laughing!\Come on!\I hope to catch up to Tohru someday -Minko I'd like to pave for higher grounds as a chef. -Tohru\You'd better run fast, or you won't be able to catch up to me.\Balut!\Ko, you came...\Of course I did. response:	You came...
context: Stop laughing!\Come on!\I hope to catch up to Tohru someday -Minko I'd like to pave for higher grounds as a chef. -Tohru\You'd better run fast, or you won't be able to catch up to me.\Balut!\Ko, you came...\Of course I did.\You came... response:	You look nice in that outfit.
context: Come on!\I hope to catch up to Tohru someday -Minko I'd like to pave for higher grounds as a chef. -Tohru\You'd better run fast, or you won't be able to catch up to me.\Balut!\Ko, you came...\Of course I did.\You came...\You look nice in that outfit. response:	Ko...
context: I hope to catch up to Tohru someday -Minko I'd like to pave for higher grounds as a chef. -Tohru\You'd better run fast, or you won't be able to catch up to me.\Balut!\Ko, you came...\Of course I did.\You came...\You look nice in that outfit.\Ko... response:	Hm?
context: You'd better run fast, or you won't be able to catch up to me.\Balut!\Ko, you came...\Of course I did.\You came...\You look nice in that outfit.\Ko...\Hm? response:	Well, umm...
context: Balut!\Ko, you came...\Of course I did.\You came...\You look nice in that outfit.\Ko...\Hm?\Well, umm... response:	I want to eat yakisoba!
context: Ko, you came...\Of course I did.\You came...\You look nice in that outfit.\Ko...\Hm?\Well, umm...\I want to eat yakisoba! response:	Okay.
context: Of course I did.\You came...\You look nice in that outfit.\Ko...\Hm?\Well, umm...\I want to eat yakisoba!\Okay. response:	One yakisoba, please!
context: You came...\You look nice in that outfit.\Ko...\Hm?\Well, umm...\I want to eat yakisoba!\Okay.\One yakisoba, please! response:	Coming right up!
context: You look nice in that outfit.\Ko...\Hm?\Well, umm...\I want to eat yakisoba!\Okay.\One yakisoba, please!\Coming right up! response:	No...
context: Ko...\Hm?\Well, umm...\I want to eat yakisoba!\Okay.\One yakisoba, please!\Coming right up!\No... response:	I... I have to tell him!
context: Hm?\Well, umm...\I want to eat yakisoba!\Okay.\One yakisoba, please!\Coming right up!\No...\I... I have to tell him! response:	Don't you think the yakisoba at night stands feel special?
context: Well, umm...\I want to eat yakisoba!\Okay.\One yakisoba, please!\Coming right up!\No...\I... I have to tell him!\Don't you think the yakisoba at night stands feel special? response:	Y-Yeah.
context: I want to eat yakisoba!\Okay.\One yakisoba, please!\Coming right up!\No...\I... I have to tell him!\Don't you think the yakisoba at night stands feel special?\Y-Yeah. response:	It's different from the stuff you buy
context: Okay.\One yakisoba, please!\Coming right up!\No...\I... I have to tell him!\Don't you think the yakisoba at night stands feel special?\Y-Yeah.\It's different from the stuff you buy response:	in stores or the ones you have at home.
context: One yakisoba, please!\Coming right up!\No...\I... I have to tell him!\Don't you think the yakisoba at night stands feel special?\Y-Yeah.\It's different from the stuff you buy\in stores or the ones you have at home. response:	I like...
context: Coming right up!\No...\I... I have to tell him!\Don't you think the yakisoba at night stands feel special?\Y-Yeah.\It's different from the stuff you buy\in stores or the ones you have at home.\I like... response:	Yeah, I like the ones at night stands better.
context: No...\I... I have to tell him!\Don't you think the yakisoba at night stands feel special?\Y-Yeah.\It's different from the stuff you buy\in stores or the ones you have at home.\I like...\Yeah, I like the ones at night stands better. response:	I like you!
context: I... I have to tell him!\Don't you think the yakisoba at night stands feel special?\Y-Yeah.\It's different from the stuff you buy\in stores or the ones you have at home.\I like...\Yeah, I like the ones at night stands better.\I like you! response:	I love you!
context: Don't you think the yakisoba at night stands feel special?\Y-Yeah.\It's different from the stuff you buy\in stores or the ones you have at home.\I like...\Yeah, I like the ones at night stands better.\I like you!\I love you! response:	Here you go.
context: Y-Yeah.\It's different from the stuff you buy\in stores or the ones you have at home.\I like...\Yeah, I like the ones at night stands better.\I like you!\I love you!\Here you go. response:	-Thank you! -Thank you!
context: It's different from the stuff you buy\in stores or the ones you have at home.\I like...\Yeah, I like the ones at night stands better.\I like you!\I love you!\Here you go.\-Thank you! -Thank you! response:	Festivals are meant to deliver all wishes to the sky.
context: in stores or the ones you have at home.\I like...\Yeah, I like the ones at night stands better.\I like you!\I love you!\Here you go.\-Thank you! -Thank you!\Festivals are meant to deliver all wishes to the sky. response:	Dear...
context: I like...\Yeah, I like the ones at night stands better.\I like you!\I love you!\Here you go.\-Thank you! -Thank you!\Festivals are meant to deliver all wishes to the sky.\Dear... response:	I felt like I've been running alone ever since you passed away.
context: Yeah, I like the ones at night stands better.\I like you!\I love you!\Here you go.\-Thank you! -Thank you!\Festivals are meant to deliver all wishes to the sky.\Dear...\I felt like I've been running alone ever since you passed away. response:	But I was wrong.
context: I like you!\I love you!\Here you go.\-Thank you! -Thank you!\Festivals are meant to deliver all wishes to the sky.\Dear...\I felt like I've been running alone ever since you passed away.\But I was wrong. response:	I have a granddaughter who dreams to be like me.
context: I love you!\Here you go.\-Thank you! -Thank you!\Festivals are meant to deliver all wishes to the sky.\Dear...\I felt like I've been running alone ever since you passed away.\But I was wrong.\I have a granddaughter who dreams to be like me. response:	If it were possible, just one more time...
context: Here you go.\-Thank you! -Thank you!\Festivals are meant to deliver all wishes to the sky.\Dear...\I felt like I've been running alone ever since you passed away.\But I was wrong.\I have a granddaughter who dreams to be like me.\If it were possible, just one more time... response:	Just one more time...
context: -Thank you! -Thank you!\Festivals are meant to deliver all wishes to the sky.\Dear...\I felt like I've been running alone ever since you passed away.\But I was wrong.\I have a granddaughter who dreams to be like me.\If it were possible, just one more time...\Just one more time... response:	Finale To Bloom One Day
context: Festivals are meant to deliver all wishes to the sky.\Dear...\I felt like I've been running alone ever since you passed away.\But I was wrong.\I have a granddaughter who dreams to be like me.\If it were possible, just one more time...\Just one more time...\Finale To Bloom One Day response:	I'm going to be staying with my son.
context: Dear...\I felt like I've been running alone ever since you passed away.\But I was wrong.\I have a granddaughter who dreams to be like me.\If it were possible, just one more time...\Just one more time...\Finale To Bloom One Day\I'm going to be staying with my son. response:	So much time has passed, when I thought
context: I felt like I've been running alone ever since you passed away.\But I was wrong.\I have a granddaughter who dreams to be like me.\If it were possible, just one more time...\Just one more time...\Finale To Bloom One Day\I'm going to be staying with my son.\So much time has passed, when I thought response:	I was just standing by the boiler.
context: But I was wrong.\I have a granddaughter who dreams to be like me.\If it were possible, just one more time...\Just one more time...\Finale To Bloom One Day\I'm going to be staying with my son.\So much time has passed, when I thought\I was just standing by the boiler. response:	I should probably be preparing to see the afterlife soon.
context: I have a granddaughter who dreams to be like me.\If it were possible, just one more time...\Just one more time...\Finale To Bloom One Day\I'm going to be staying with my son.\So much time has passed, when I thought\I was just standing by the boiler.\I should probably be preparing to see the afterlife soon. response:	I don't plan on ever forgetting the precious memories
context: If it were possible, just one more time...\Just one more time...\Finale To Bloom One Day\I'm going to be staying with my son.\So much time has passed, when I thought\I was just standing by the boiler.\I should probably be preparing to see the afterlife soon.\I don't plan on ever forgetting the precious memories response:	I have of this place.
context: Just one more time...\Finale To Bloom One Day\I'm going to be staying with my son.\So much time has passed, when I thought\I was just standing by the boiler.\I should probably be preparing to see the afterlife soon.\I don't plan on ever forgetting the precious memories\I have of this place. response:	I thank all of you from the bottom of my heart.
context: Finale To Bloom One Day\I'm going to be staying with my son.\So much time has passed, when I thought\I was just standing by the boiler.\I should probably be preparing to see the afterlife soon.\I don't plan on ever forgetting the precious memories\I have of this place.\I thank all of you from the bottom of my heart. response:	I also thank you, Madam Manager.
context: I'm going to be staying with my son.\So much time has passed, when I thought\I was just standing by the boiler.\I should probably be preparing to see the afterlife soon.\I don't plan on ever forgetting the precious memories\I have of this place.\I thank all of you from the bottom of my heart.\I also thank you, Madam Manager. response:	It was a pleasure working with you.
context: So much time has passed, when I thought\I was just standing by the boiler.\I should probably be preparing to see the afterlife soon.\I don't plan on ever forgetting the precious memories\I have of this place.\I thank all of you from the bottom of my heart.\I also thank you, Madam Manager.\It was a pleasure working with you. response:	Enjoy your stay with your grandchildren!
context: I was just standing by the boiler.\I should probably be preparing to see the afterlife soon.\I don't plan on ever forgetting the precious memories\I have of this place.\I thank all of you from the bottom of my heart.\I also thank you, Madam Manager.\It was a pleasure working with you.\Enjoy your stay with your grandchildren! response:	It was a pleasure.
context: I should probably be preparing to see the afterlife soon.\I don't plan on ever forgetting the precious memories\I have of this place.\I thank all of you from the bottom of my heart.\I also thank you, Madam Manager.\It was a pleasure working with you.\Enjoy your stay with your grandchildren!\It was a pleasure. response:	Mom, if you don't mind.
context: I don't plan on ever forgetting the precious memories\I have of this place.\I thank all of you from the bottom of my heart.\I also thank you, Madam Manager.\It was a pleasure working with you.\Enjoy your stay with your grandchildren!\It was a pleasure.\Mom, if you don't mind. response:	I want everyone to hear this.
context: I have of this place.\I thank all of you from the bottom of my heart.\I also thank you, Madam Manager.\It was a pleasure working with you.\Enjoy your stay with your grandchildren!\It was a pleasure.\Mom, if you don't mind.\I want everyone to hear this. response:	I realize that I still have so much more to learn.
context: I thank all of you from the bottom of my heart.\I also thank you, Madam Manager.\It was a pleasure working with you.\Enjoy your stay with your grandchildren!\It was a pleasure.\Mom, if you don't mind.\I want everyone to hear this.\I realize that I still have so much more to learn. response:	I can't catch up to Mom, or even my sister.
context: I also thank you, Madam Manager.\It was a pleasure working with you.\Enjoy your stay with your grandchildren!\It was a pleasure.\Mom, if you don't mind.\I want everyone to hear this.\I realize that I still have so much more to learn.\I can't catch up to Mom, or even my sister. response:	We just weren't born with the same level of talent, I guess.
context: It was a pleasure working with you.\Enjoy your stay with your grandchildren!\It was a pleasure.\Mom, if you don't mind.\I want everyone to hear this.\I realize that I still have so much more to learn.\I can't catch up to Mom, or even my sister.\We just weren't born with the same level of talent, I guess. response:	Mom!
context: Enjoy your stay with your grandchildren!\It was a pleasure.\Mom, if you don't mind.\I want everyone to hear this.\I realize that I still have so much more to learn.\I can't catch up to Mom, or even my sister.\We just weren't born with the same level of talent, I guess.\Mom! response:	Sorry.
context: It was a pleasure.\Mom, if you don't mind.\I want everyone to hear this.\I realize that I still have so much more to learn.\I can't catch up to Mom, or even my sister.\We just weren't born with the same level of talent, I guess.\Mom!\Sorry. response:	I asked you guys to follow me,
context: Mom, if you don't mind.\I want everyone to hear this.\I realize that I still have so much more to learn.\I can't catch up to Mom, or even my sister.\We just weren't born with the same level of talent, I guess.\Mom!\Sorry.\I asked you guys to follow me, response:	but I'm not capable of that yet.
context: I want everyone to hear this.\I realize that I still have so much more to learn.\I can't catch up to Mom, or even my sister.\We just weren't born with the same level of talent, I guess.\Mom!\Sorry.\I asked you guys to follow me,\but I'm not capable of that yet. response:	Mom, I agree with you on shutting down the Kissuiso.
context: I realize that I still have so much more to learn.\I can't catch up to Mom, or even my sister.\We just weren't born with the same level of talent, I guess.\Mom!\Sorry.\I asked you guys to follow me,\but I'm not capable of that yet.\Mom, I agree with you on shutting down the Kissuiso. response:	Enishi...
context: I can't catch up to Mom, or even my sister.\We just weren't born with the same level of talent, I guess.\Mom!\Sorry.\I asked you guys to follow me,\but I'm not capable of that yet.\Mom, I agree with you on shutting down the Kissuiso.\Enishi... response:	But only temporarily.
context: We just weren't born with the same level of talent, I guess.\Mom!\Sorry.\I asked you guys to follow me,\but I'm not capable of that yet.\Mom, I agree with you on shutting down the Kissuiso.\Enishi...\But only temporarily. response:	I don't want it to end forever.
context: Mom!\Sorry.\I asked you guys to follow me,\but I'm not capable of that yet.\Mom, I agree with you on shutting down the Kissuiso.\Enishi...\But only temporarily.\I don't want it to end forever. response:	I'm going to study and train in order to reopen it someday.
context: Sorry.\I asked you guys to follow me,\but I'm not capable of that yet.\Mom, I agree with you on shutting down the Kissuiso.\Enishi...\But only temporarily.\I don't want it to end forever.\I'm going to study and train in order to reopen it someday. response:	And when that time comes...
context: I asked you guys to follow me,\but I'm not capable of that yet.\Mom, I agree with you on shutting down the Kissuiso.\Enishi...\But only temporarily.\I don't want it to end forever.\I'm going to study and train in order to reopen it someday.\And when that time comes... response:	Can I keep the name, Kissuiso?
context: but I'm not capable of that yet.\Mom, I agree with you on shutting down the Kissuiso.\Enishi...\But only temporarily.\I don't want it to end forever.\I'm going to study and train in order to reopen it someday.\And when that time comes...\Can I keep the name, Kissuiso? response:	I want to make an inn that'll make you happy, Mom.
context: Mom, I agree with you on shutting down the Kissuiso.\Enishi...\But only temporarily.\I don't want it to end forever.\I'm going to study and train in order to reopen it someday.\And when that time comes...\Can I keep the name, Kissuiso?\I want to make an inn that'll make you happy, Mom. response:	Young master, when that time comes,
context: Enishi...\But only temporarily.\I don't want it to end forever.\I'm going to study and train in order to reopen it someday.\And when that time comes...\Can I keep the name, Kissuiso?\I want to make an inn that'll make you happy, Mom.\Young master, when that time comes, response:	I'll be happy to lend you a hand.
context: But only temporarily.\I don't want it to end forever.\I'm going to study and train in order to reopen it someday.\And when that time comes...\Can I keep the name, Kissuiso?\I want to make an inn that'll make you happy, Mom.\Young master, when that time comes,\I'll be happy to lend you a hand. response:	So will I, Mr. Ren!
context: I don't want it to end forever.\I'm going to study and train in order to reopen it someday.\And when that time comes...\Can I keep the name, Kissuiso?\I want to make an inn that'll make you happy, Mom.\Young master, when that time comes,\I'll be happy to lend you a hand.\So will I, Mr. Ren! response:	Me, too! I'll leave my husband behind!
context: I'm going to study and train in order to reopen it someday.\And when that time comes...\Can I keep the name, Kissuiso?\I want to make an inn that'll make you happy, Mom.\Young master, when that time comes,\I'll be happy to lend you a hand.\So will I, Mr. Ren!\Me, too! I'll leave my husband behind! response:	Dummy...
context: And when that time comes...\Can I keep the name, Kissuiso?\I want to make an inn that'll make you happy, Mom.\Young master, when that time comes,\I'll be happy to lend you a hand.\So will I, Mr. Ren!\Me, too! I'll leave my husband behind!\Dummy... response:	Me, too!
context: Can I keep the name, Kissuiso?\I want to make an inn that'll make you happy, Mom.\Young master, when that time comes,\I'll be happy to lend you a hand.\So will I, Mr. Ren!\Me, too! I'll leave my husband behind!\Dummy...\Me, too! response:	The dumber your kid is, the cuter, right?
context: I want to make an inn that'll make you happy, Mom.\Young master, when that time comes,\I'll be happy to lend you a hand.\So will I, Mr. Ren!\Me, too! I'll leave my husband behind!\Dummy...\Me, too!\The dumber your kid is, the cuter, right? response:	Yeah.
context: Young master, when that time comes,\I'll be happy to lend you a hand.\So will I, Mr. Ren!\Me, too! I'll leave my husband behind!\Dummy...\Me, too!\The dumber your kid is, the cuter, right?\Yeah. response:	Let's drink tonight!
context: I'll be happy to lend you a hand.\So will I, Mr. Ren!\Me, too! I'll leave my husband behind!\Dummy...\Me, too!\The dumber your kid is, the cuter, right?\Yeah.\Let's drink tonight! response:	Yeah!
