context: Pre! Preparation! response:	I'm not strong
context: P-re-prepare, p-re-prepare, p-re-prepare, cracking apart\P-re-prepare, p-re-prepare, p-re-prepare\If you're not paying attention, be prepared for a poking attack from my fingers\I'm little, but I'll squish you; you're as tiny as a flea to me\What I want is a plastic heart (plus, plus, but it's a minus)\But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet\Simple and clear yet complex and strange stuff response:	I'm only worrying about things that don't matter
context: P-re-prepare, p-re-prepare, p-re-prepare\If you're not paying attention, be prepared for a poking attack from my fingers\I'm little, but I'll squish you; you're as tiny as a flea to me\What I want is a plastic heart (plus, plus, but it's a minus)\But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet\Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter response:	How does it feel? It feels like that
context: If you're not paying attention, be prepared for a poking attack from my fingers\I'm little, but I'll squish you; you're as tiny as a flea to me\What I want is a plastic heart (plus, plus, but it's a minus)\But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet\Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter\How does it feel? It feels like that response:	You're gentle and sincere yet eccentric
context: I'm little, but I'll squish you; you're as tiny as a flea to me\What I want is a plastic heart (plus, plus, but it's a minus)\But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet\Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter\How does it feel? It feels like that\You're gentle and sincere yet eccentric response:	I pretend to be strong all over and compete against you
context: What I want is a plastic heart (plus, plus, but it's a minus)\But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet\Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter\How does it feel? It feels like that\You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you response:	Just by being honest, it's so stimulating and I feel dizzy
context: But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet\Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter\How does it feel? It feels like that\You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy response:	I get hurt, I hurt you, in a preparation of pure feelings
context: Love is something that's bittersweet\Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter\How does it feel? It feels like that\You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings response:	In my head, there's always a pre-parade of pure feelings all by myself
context: Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter\How does it feel? It feels like that\You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself response:	ba ni ra
context: I'm only worrying about things that don't matter\How does it feel? It feels like that\You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra response:	With vanilla salt
context: How does it feel? It feels like that\You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra\With vanilla salt response:	vanilla
context: You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra\With vanilla salt\vanilla response:	If it's just sweet
context: I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra\With vanilla salt\vanilla\If it's just sweet response:	Then let's put salt on
context: Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra\With vanilla salt\vanilla\If it's just sweet\Then let's put salt on response:	Because I want you to know more about me
context: I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra\With vanilla salt\vanilla\If it's just sweet\Then let's put salt on\Because I want you to know more about me response:	More than anyone else, I want to bare my self
context: In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra\With vanilla salt\vanilla\If it's just sweet\Then let's put salt on\Because I want you to know more about me\More than anyone else, I want to bare my self response:	But I can't do it, I've got nothing for experience
context: ba ni ra\With vanilla salt\vanilla\If it's just sweet\Then let's put salt on\Because I want you to know more about me\More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience response:	It's too frustrating
context: With vanilla salt\vanilla\If it's just sweet\Then let's put salt on\Because I want you to know more about me\More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience\It's too frustrating response:	But a love that's just sweet
context: vanilla\If it's just sweet\Then let's put salt on\Because I want you to know more about me\More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience\It's too frustrating\But a love that's just sweet response:	Is slightly different from what I'm seeking
context: If it's just sweet\Then let's put salt on\Because I want you to know more about me\More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience\It's too frustrating\But a love that's just sweet\Is slightly different from what I'm seeking response:	If I'm told it's white
context: Then let's put salt on\Because I want you to know more about me\More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience\It's too frustrating\But a love that's just sweet\Is slightly different from what I'm seeking\If I'm told it's white response:	I'd say it's black
context: Because I want you to know more about me\More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience\It's too frustrating\But a love that's just sweet\Is slightly different from what I'm seeking\If I'm told it's white\I'd say it's black response:	I can't be honest
context: More than anyone else, I want to bare my self\But I can't do it, I've got nothing for experience\It's too frustrating\But a love that's just sweet\Is slightly different from what I'm seeking\If I'm told it's white\I'd say it's black\I can't be honest response:	I say one thing but do another
context: But I can't do it, I've got nothing for experience\It's too frustrating\But a love that's just sweet\Is slightly different from what I'm seeking\If I'm told it's white\I'd say it's black\I can't be honest\I say one thing but do another response:	If I'm told, I love you
context: It's too frustrating\But a love that's just sweet\Is slightly different from what I'm seeking\If I'm told it's white\I'd say it's black\I can't be honest\I say one thing but do another\If I'm told, I love you response:	I'd say, I hate you
context: But a love that's just sweet\Is slightly different from what I'm seeking\If I'm told it's white\I'd say it's black\I can't be honest\I say one thing but do another\If I'm told, I love you\I'd say, I hate you response:	I'm happy, but what am I saying?
context: Is slightly different from what I'm seeking\If I'm told it's white\I'd say it's black\I can't be honest\I say one thing but do another\If I'm told, I love you\I'd say, I hate you\I'm happy, but what am I saying? response:	Like putting salt
context: If I'm told it's white\I'd say it's black\I can't be honest\I say one thing but do another\If I'm told, I love you\I'd say, I hate you\I'm happy, but what am I saying?\Like putting salt response:	Into sweet vanilla...
context: I'd say it's black\I can't be honest\I say one thing but do another\If I'm told, I love you\I'd say, I hate you\I'm happy, but what am I saying?\Like putting salt\Into sweet vanilla... response:	All performances are finished!
context: I can't be honest\I say one thing but do another\If I'm told, I love you\I'd say, I hate you\I'm happy, but what am I saying?\Like putting salt\Into sweet vanilla...\All performances are finished! response:	Oohashi High School Cultural Festival (Finale)
context: I say one thing but do another\If I'm told, I love you\I'd say, I hate you\I'm happy, but what am I saying?\Like putting salt\Into sweet vanilla...\All performances are finished!\Oohashi High School Cultural Festival (Finale) response:	Next Episode Preview
context: If I'm told, I love you\I'd say, I hate you\I'm happy, but what am I saying?\Like putting salt\Into sweet vanilla...\All performances are finished!\Oohashi High School Cultural Festival (Finale)\Next Episode Preview response:	The Palmtop Tiger of Happiness
context: I'd say, I hate you\I'm happy, but what am I saying?\Like putting salt\Into sweet vanilla...\All performances are finished!\Oohashi High School Cultural Festival (Finale)\Next Episode Preview\The Palmtop Tiger of Happiness response:	Geez, stop moving!
context: I'm happy, but what am I saying?\Like putting salt\Into sweet vanilla...\All performances are finished!\Oohashi High School Cultural Festival (Finale)\Next Episode Preview\The Palmtop Tiger of Happiness\Geez, stop moving! response:	You don't need to...
context: Like putting salt\Into sweet vanilla...\All performances are finished!\Oohashi High School Cultural Festival (Finale)\Next Episode Preview\The Palmtop Tiger of Happiness\Geez, stop moving!\You don't need to... response:	This has to be done.
context: Into sweet vanilla...\All performances are finished!\Oohashi High School Cultural Festival (Finale)\Next Episode Preview\The Palmtop Tiger of Happiness\Geez, stop moving!\You don't need to...\This has to be done. response:	It's a beauty contest.
context: All performances are finished!\Oohashi High School Cultural Festival (Finale)\Next Episode Preview\The Palmtop Tiger of Happiness\Geez, stop moving!\You don't need to...\This has to be done.\It's a beauty contest. response:	It's a festival dedicated to beauty.
context: Oohashi High School Cultural Festival (Finale)\Next Episode Preview\The Palmtop Tiger of Happiness\Geez, stop moving!\You don't need to...\This has to be done.\It's a beauty contest.\It's a festival dedicated to beauty. response:	How cute do you think you are?
context: Next Episode Preview\The Palmtop Tiger of Happiness\Geez, stop moving!\You don't need to...\This has to be done.\It's a beauty contest.\It's a festival dedicated to beauty.\How cute do you think you are? response:	In the end, her father couldn't make it to the pro wrestling show.
context: The Palmtop Tiger of Happiness\Geez, stop moving!\You don't need to...\This has to be done.\It's a beauty contest.\It's a festival dedicated to beauty.\How cute do you think you are?\In the end, her father couldn't make it to the pro wrestling show. response:	Kushieda, who had always cheered for Taiga, didn't come backstage.
context: Geez, stop moving!\You don't need to...\This has to be done.\It's a beauty contest.\It's a festival dedicated to beauty.\How cute do you think you are?\In the end, her father couldn't make it to the pro wrestling show.\Kushieda, who had always cheered for Taiga, didn't come backstage. response:	This is 2-C, right?
context: You don't need to...\This has to be done.\It's a beauty contest.\It's a festival dedicated to beauty.\How cute do you think you are?\In the end, her father couldn't make it to the pro wrestling show.\Kushieda, who had always cheered for Taiga, didn't come backstage.\This is 2-C, right? response:	You have twenty minutes until the meet up.
context: This has to be done.\It's a beauty contest.\It's a festival dedicated to beauty.\How cute do you think you are?\In the end, her father couldn't make it to the pro wrestling show.\Kushieda, who had always cheered for Taiga, didn't come backstage.\This is 2-C, right?\You have twenty minutes until the meet up. response:	Crap!
context: It's a beauty contest.\It's a festival dedicated to beauty.\How cute do you think you are?\In the end, her father couldn't make it to the pro wrestling show.\Kushieda, who had always cheered for Taiga, didn't come backstage.\This is 2-C, right?\You have twenty minutes until the meet up.\Crap! response:	I'm a host, so I still have to prepare for that!
context: It's a festival dedicated to beauty.\How cute do you think you are?\In the end, her father couldn't make it to the pro wrestling show.\Kushieda, who had always cheered for Taiga, didn't come backstage.\This is 2-C, right?\You have twenty minutes until the meet up.\Crap!\I'm a host, so I still have to prepare for that! response:	Takasu-kun, how's the clothing going?
context: How cute do you think you are?\In the end, her father couldn't make it to the pro wrestling show.\Kushieda, who had always cheered for Taiga, didn't come backstage.\This is 2-C, right?\You have twenty minutes until the meet up.\Crap!\I'm a host, so I still have to prepare for that!\Takasu-kun, how's the clothing going? response:	Oh, I'm done with it.
context: In the end, her father couldn't make it to the pro wrestling show.\Kushieda, who had always cheered for Taiga, didn't come backstage.\This is 2-C, right?\You have twenty minutes until the meet up.\Crap!\I'm a host, so I still have to prepare for that!\Takasu-kun, how's the clothing going?\Oh, I'm done with it. response:	I just modified Taiga's dress a little bit.
context: Kushieda, who had always cheered for Taiga, didn't come backstage.\This is 2-C, right?\You have twenty minutes until the meet up.\Crap!\I'm a host, so I still have to prepare for that!\Takasu-kun, how's the clothing going?\Oh, I'm done with it.\I just modified Taiga's dress a little bit. response:	It looks good, Takasu-kun!
context: This is 2-C, right?\You have twenty minutes until the meet up.\Crap!\I'm a host, so I still have to prepare for that!\Takasu-kun, how's the clothing going?\Oh, I'm done with it.\I just modified Taiga's dress a little bit.\It looks good, Takasu-kun! response:	R-Really?
context: You have twenty minutes until the meet up.\Crap!\I'm a host, so I still have to prepare for that!\Takasu-kun, how's the clothing going?\Oh, I'm done with it.\I just modified Taiga's dress a little bit.\It looks good, Takasu-kun!\R-Really? response:	The image I aimed for was Juliet's type of dress, an empire silhouette.
context: Crap!\I'm a host, so I still have to prepare for that!\Takasu-kun, how's the clothing going?\Oh, I'm done with it.\I just modified Taiga's dress a little bit.\It looks good, Takasu-kun!\R-Really?\The image I aimed for was Juliet's type of dress, an empire silhouette. response:	It's light and elegant...
context: I'm a host, so I still have to prepare for that!\Takasu-kun, how's the clothing going?\Oh, I'm done with it.\I just modified Taiga's dress a little bit.\It looks good, Takasu-kun!\R-Really?\The image I aimed for was Juliet's type of dress, an empire silhouette.\It's light and elegant... response:	Takasu-kun is dangerous.
context: Takasu-kun, how's the clothing going?\Oh, I'm done with it.\I just modified Taiga's dress a little bit.\It looks good, Takasu-kun!\R-Really?\The image I aimed for was Juliet's type of dress, an empire silhouette.\It's light and elegant...\Takasu-kun is dangerous. response:	It's not his face, but it's still a bit scary...
context: Oh, I'm done with it.\I just modified Taiga's dress a little bit.\It looks good, Takasu-kun!\R-Really?\The image I aimed for was Juliet's type of dress, an empire silhouette.\It's light and elegant...\Takasu-kun is dangerous.\It's not his face, but it's still a bit scary... response:	There some other props.
context: I just modified Taiga's dress a little bit.\It looks good, Takasu-kun!\R-Really?\The image I aimed for was Juliet's type of dress, an empire silhouette.\It's light and elegant...\Takasu-kun is dangerous.\It's not his face, but it's still a bit scary...\There some other props. response:	Taiga, do you want to try it -
context: It looks good, Takasu-kun!\R-Really?\The image I aimed for was Juliet's type of dress, an empire silhouette.\It's light and elegant...\Takasu-kun is dangerous.\It's not his face, but it's still a bit scary...\There some other props.\Taiga, do you want to try it - response:	Are you still waiting for your dad?
context: R-Really?\The image I aimed for was Juliet's type of dress, an empire silhouette.\It's light and elegant...\Takasu-kun is dangerous.\It's not his face, but it's still a bit scary...\There some other props.\Taiga, do you want to try it -\Are you still waiting for your dad? response:	He won't be coming at a time like this.
context: The image I aimed for was Juliet's type of dress, an empire silhouette.\It's light and elegant...\Takasu-kun is dangerous.\It's not his face, but it's still a bit scary...\There some other props.\Taiga, do you want to try it -\Are you still waiting for your dad?\He won't be coming at a time like this. response:	I'm not waiting for him.
context: It's light and elegant...\Takasu-kun is dangerous.\It's not his face, but it's still a bit scary...\There some other props.\Taiga, do you want to try it -\Are you still waiting for your dad?\He won't be coming at a time like this.\I'm not waiting for him. response:	He's probably late because of his job,
context: Takasu-kun is dangerous.\It's not his face, but it's still a bit scary...\There some other props.\Taiga, do you want to try it -\Are you still waiting for your dad?\He won't be coming at a time like this.\I'm not waiting for him.\He's probably late because of his job, response:	so he's going to get me something to make up for it.
context: It's not his face, but it's still a bit scary...\There some other props.\Taiga, do you want to try it -\Are you still waiting for your dad?\He won't be coming at a time like this.\I'm not waiting for him.\He's probably late because of his job,\so he's going to get me something to make up for it. response:	Anyway, I think your lines should be modified a bit.
context: There some other props.\Taiga, do you want to try it -\Are you still waiting for your dad?\He won't be coming at a time like this.\I'm not waiting for him.\He's probably late because of his job,\so he's going to get me something to make up for it.\Anyway, I think your lines should be modified a bit. response:	There's no need to change them.
context: Taiga, do you want to try it -\Are you still waiting for your dad?\He won't be coming at a time like this.\I'm not waiting for him.\He's probably late because of his job,\so he's going to get me something to make up for it.\Anyway, I think your lines should be modified a bit.\There's no need to change them. response:	They're fine as they are.
context: Are you still waiting for your dad?\He won't be coming at a time like this.\I'm not waiting for him.\He's probably late because of his job,\so he's going to get me something to make up for it.\Anyway, I think your lines should be modified a bit.\There's no need to change them.\They're fine as they are. response:	But you're...
context: He won't be coming at a time like this.\I'm not waiting for him.\He's probably late because of his job,\so he's going to get me something to make up for it.\Anyway, I think your lines should be modified a bit.\There's no need to change them.\They're fine as they are.\But you're... response:	Kawashima-san, it's almost time!
context: I'm not waiting for him.\He's probably late because of his job,\so he's going to get me something to make up for it.\Anyway, I think your lines should be modified a bit.\There's no need to change them.\They're fine as they are.\But you're...\Kawashima-san, it's almost time! response:	Sorry, I'm coming right now!
context: He's probably late because of his job,\so he's going to get me something to make up for it.\Anyway, I think your lines should be modified a bit.\There's no need to change them.\They're fine as they are.\But you're...\Kawashima-san, it's almost time!\Sorry, I'm coming right now! response:	So is it really all right?
context: so he's going to get me something to make up for it.\Anyway, I think your lines should be modified a bit.\There's no need to change them.\They're fine as they are.\But you're...\Kawashima-san, it's almost time!\Sorry, I'm coming right now!\So is it really all right? response:	You're annoying.
context: Anyway, I think your lines should be modified a bit.\There's no need to change them.\They're fine as they are.\But you're...\Kawashima-san, it's almost time!\Sorry, I'm coming right now!\So is it really all right?\You're annoying. response:	I see, that's fine with me.
context: There's no need to change them.\They're fine as they are.\But you're...\Kawashima-san, it's almost time!\Sorry, I'm coming right now!\So is it really all right?\You're annoying.\I see, that's fine with me. response:	Hey, what do you mean by lines?
context: They're fine as they are.\But you're...\Kawashima-san, it's almost time!\Sorry, I'm coming right now!\So is it really all right?\You're annoying.\I see, that's fine with me.\Hey, what do you mean by lines? response:	It's nothing.
context: But you're...\Kawashima-san, it's almost time!\Sorry, I'm coming right now!\So is it really all right?\You're annoying.\I see, that's fine with me.\Hey, what do you mean by lines?\It's nothing. response:	It's time to get changed.
context: Kawashima-san, it's almost time!\Sorry, I'm coming right now!\So is it really all right?\You're annoying.\I see, that's fine with me.\Hey, what do you mean by lines?\It's nothing.\It's time to get changed. response:	Takasu-kun, please go outside.
context: Sorry, I'm coming right now!\So is it really all right?\You're annoying.\I see, that's fine with me.\Hey, what do you mean by lines?\It's nothing.\It's time to get changed.\Takasu-kun, please go outside. response:	S-Sure...
context: So is it really all right?\You're annoying.\I see, that's fine with me.\Hey, what do you mean by lines?\It's nothing.\It's time to get changed.\Takasu-kun, please go outside.\S-Sure... response:	Aisaka-san, let's get going.
context: You're annoying.\I see, that's fine with me.\Hey, what do you mean by lines?\It's nothing.\It's time to get changed.\Takasu-kun, please go outside.\S-Sure...\Aisaka-san, let's get going. response:	Yeah.
context: I see, that's fine with me.\Hey, what do you mean by lines?\It's nothing.\It's time to get changed.\Takasu-kun, please go outside.\S-Sure...\Aisaka-san, let's get going.\Yeah. response:	I can't just stand by and watch a friend get hurt.
context: Hey, what do you mean by lines?\It's nothing.\It's time to get changed.\Takasu-kun, please go outside.\S-Sure...\Aisaka-san, let's get going.\Yeah.\I can't just stand by and watch a friend get hurt. response:	Taiga's father...
context: It's nothing.\It's time to get changed.\Takasu-kun, please go outside.\S-Sure...\Aisaka-san, let's get going.\Yeah.\I can't just stand by and watch a friend get hurt.\Taiga's father... response:	You'll come for sure, right?
context: It's time to get changed.\Takasu-kun, please go outside.\S-Sure...\Aisaka-san, let's get going.\Yeah.\I can't just stand by and watch a friend get hurt.\Taiga's father...\You'll come for sure, right? response:	Regardless of how late you are,
context: Takasu-kun, please go outside.\S-Sure...\Aisaka-san, let's get going.\Yeah.\I can't just stand by and watch a friend get hurt.\Taiga's father...\You'll come for sure, right?\Regardless of how late you are, response:	you'll rush here, right?
context: S-Sure...\Aisaka-san, let's get going.\Yeah.\I can't just stand by and watch a friend get hurt.\Taiga's father...\You'll come for sure, right?\Regardless of how late you are,\you'll rush here, right? response:	That has to be it, because that's what it means to be a father.
context: Aisaka-san, let's get going.\Yeah.\I can't just stand by and watch a friend get hurt.\Taiga's father...\You'll come for sure, right?\Regardless of how late you are,\you'll rush here, right?\That has to be it, because that's what it means to be a father. response:	You guys must've waited a long time!
context: Yeah.\I can't just stand by and watch a friend get hurt.\Taiga's father...\You'll come for sure, right?\Regardless of how late you are,\you'll rush here, right?\That has to be it, because that's what it means to be a father.\You guys must've waited a long time! response:	The Miss Oohashi Contest is about to begin!
context: I can't just stand by and watch a friend get hurt.\Taiga's father...\You'll come for sure, right?\Regardless of how late you are,\you'll rush here, right?\That has to be it, because that's what it means to be a father.\You guys must've waited a long time!\The Miss Oohashi Contest is about to begin! response:	Ami-chan! Ami, Ami!
context: Taiga's father...\You'll come for sure, right?\Regardless of how late you are,\you'll rush here, right?\That has to be it, because that's what it means to be a father.\You guys must've waited a long time!\The Miss Oohashi Contest is about to begin!\Ami-chan! Ami, Ami! response:	Ami, Ami, Ami is the best!
context: You'll come for sure, right?\Regardless of how late you are,\you'll rush here, right?\That has to be it, because that's what it means to be a father.\You guys must've waited a long time!\The Miss Oohashi Contest is about to begin!\Ami-chan! Ami, Ami!\Ami, Ami, Ami is the best! response:	Everyone, quiet down.
context: Regardless of how late you are,\you'll rush here, right?\That has to be it, because that's what it means to be a father.\You guys must've waited a long time!\The Miss Oohashi Contest is about to begin!\Ami-chan! Ami, Ami!\Ami, Ami, Ami is the best!\Everyone, quiet down. response:	I'll punish you if you don't.
context: you'll rush here, right?\That has to be it, because that's what it means to be a father.\You guys must've waited a long time!\The Miss Oohashi Contest is about to begin!\Ami-chan! Ami, Ami!\Ami, Ami, Ami is the best!\Everyone, quiet down.\I'll punish you if you don't. response:	So quiet down,
context: That has to be it, because that's what it means to be a father.\You guys must've waited a long time!\The Miss Oohashi Contest is about to begin!\Ami-chan! Ami, Ami!\Ami, Ami, Ami is the best!\Everyone, quiet down.\I'll punish you if you don't.\So quiet down, response:	you bunch of worthless fools!
context: You guys must've waited a long time!\The Miss Oohashi Contest is about to begin!\Ami-chan! Ami, Ami!\Ami, Ami, Ami is the best!\Everyone, quiet down.\I'll punish you if you don't.\So quiet down,\you bunch of worthless fools! response:	A pig who can't fly is merely a pig!
context: The Miss Oohashi Contest is about to begin!\Ami-chan! Ami, Ami!\Ami, Ami, Ami is the best!\Everyone, quiet down.\I'll punish you if you don't.\So quiet down,\you bunch of worthless fools!\A pig who can't fly is merely a pig! response:	Just kidding!
context: Ami-chan! Ami, Ami!\Ami, Ami, Ami is the best!\Everyone, quiet down.\I'll punish you if you don't.\So quiet down,\you bunch of worthless fools!\A pig who can't fly is merely a pig!\Just kidding! response:	Even though she says she's just the host,
context: Ami, Ami, Ami is the best!\Everyone, quiet down.\I'll punish you if you don't.\So quiet down,\you bunch of worthless fools!\A pig who can't fly is merely a pig!\Just kidding!\Even though she says she's just the host, response:	all the attention is focused on her.
context: Everyone, quiet down.\I'll punish you if you don't.\So quiet down,\you bunch of worthless fools!\A pig who can't fly is merely a pig!\Just kidding!\Even though she says she's just the host,\all the attention is focused on her. response:	Let's begin now.
context: I'll punish you if you don't.\So quiet down,\you bunch of worthless fools!\A pig who can't fly is merely a pig!\Just kidding!\Even though she says she's just the host,\all the attention is focused on her.\Let's begin now. response:	Entry number one, Mitsui Yuriko from class 1-A!
context: So quiet down,\you bunch of worthless fools!\A pig who can't fly is merely a pig!\Just kidding!\Even though she says she's just the host,\all the attention is focused on her.\Let's begin now.\Entry number one, Mitsui Yuriko from class 1-A! response:	Isn't she a cute maid?
context: you bunch of worthless fools!\A pig who can't fly is merely a pig!\Just kidding!\Even though she says she's just the host,\all the attention is focused on her.\Let's begin now.\Entry number one, Mitsui Yuriko from class 1-A!\Isn't she a cute maid? response:	You're going for the look of a Victorian maid, correct?
context: A pig who can't fly is merely a pig!\Just kidding!\Even though she says she's just the host,\all the attention is focused on her.\Let's begin now.\Entry number one, Mitsui Yuriko from class 1-A!\Isn't she a cute maid?\You're going for the look of a Victorian maid, correct? response:	Y-Yes!
context: Just kidding!\Even though she says she's just the host,\all the attention is focused on her.\Let's begin now.\Entry number one, Mitsui Yuriko from class 1-A!\Isn't she a cute maid?\You're going for the look of a Victorian maid, correct?\Y-Yes! response:	Thank you very much!
context: Even though she says she's just the host,\all the attention is focused on her.\Let's begin now.\Entry number one, Mitsui Yuriko from class 1-A!\Isn't she a cute maid?\You're going for the look of a Victorian maid, correct?\Y-Yes!\Thank you very much! response:	No one is listening at all...
context: all the attention is focused on her.\Let's begin now.\Entry number one, Mitsui Yuriko from class 1-A!\Isn't she a cute maid?\You're going for the look of a Victorian maid, correct?\Y-Yes!\Thank you very much!\No one is listening at all... response:	Now let me introduce our next contestant!
context: Let's begin now.\Entry number one, Mitsui Yuriko from class 1-A!\Isn't she a cute maid?\You're going for the look of a Victorian maid, correct?\Y-Yes!\Thank you very much!\No one is listening at all...\Now let me introduce our next contestant! response:	She's also a maid, but she has a great smile.
context: Entry number one, Mitsui Yuriko from class 1-A!\Isn't she a cute maid?\You're going for the look of a Victorian maid, correct?\Y-Yes!\Thank you very much!\No one is listening at all...\Now let me introduce our next contestant!\She's also a maid, but she has a great smile. response:	Entry number two...
context: Isn't she a cute maid?\You're going for the look of a Victorian maid, correct?\Y-Yes!\Thank you very much!\No one is listening at all...\Now let me introduce our next contestant!\She's also a maid, but she has a great smile.\Entry number two... response:	A text message?
context: You're going for the look of a Victorian maid, correct?\Y-Yes!\Thank you very much!\No one is listening at all...\Now let me introduce our next contestant!\She's also a maid, but she has a great smile.\Entry number two...\A text message? response:	You've got to be kidding...
context: Y-Yes!\Thank you very much!\No one is listening at all...\Now let me introduce our next contestant!\She's also a maid, but she has a great smile.\Entry number two...\A text message?\You've got to be kidding... response:	Could you please relay this to Taiga for me?
context: Thank you very much!\No one is listening at all...\Now let me introduce our next contestant!\She's also a maid, but she has a great smile.\Entry number two...\A text message?\You've got to be kidding...\Could you please relay this to Taiga for me? response:	Tell her I have to leave for a bit due to my job.
