context: Well then, I'll head to the bath. response:	I guess I'll join you.
context: Jirou-kin and Barusu,\Eloping!\What?\Jirou-kin, it's my first time.\What is this erotic novel?\Yes, at that place, take your glasses off...\Barusu...\Jirou-kin... response:	Wait...
context: Eloping!\What?\Jirou-kin, it's my first time.\What is this erotic novel?\Yes, at that place, take your glasses off...\Barusu...\Jirou-kin...\Wait... response:	You don't need to...
context: What?\Jirou-kin, it's my first time.\What is this erotic novel?\Yes, at that place, take your glasses off...\Barusu...\Jirou-kin...\Wait...\You don't need to... response:	Y-you d-don't ne-need to take them off...
context: Jirou-kin, it's my first time.\What is this erotic novel?\Yes, at that place, take your glasses off...\Barusu...\Jirou-kin...\Wait...\You don't need to...\Y-you d-don't ne-need to take them off... response:	I - can - fly...
context: What is this erotic novel?\Yes, at that place, take your glasses off...\Barusu...\Jirou-kin...\Wait...\You don't need to...\Y-you d-don't ne-need to take them off...\I - can - fly... response:	It's my First Time
context: Yes, at that place, take your glasses off...\Barusu...\Jirou-kin...\Wait...\You don't need to...\Y-you d-don't ne-need to take them off...\I - can - fly...\It's my First Time response:	It's my first time
context: Barusu...\Jirou-kin...\Wait...\You don't need to...\Y-you d-don't ne-need to take them off...\I - can - fly...\It's my First Time\It's my first time response:	Subaru!!!
context: Jirou-kin...\Wait...\You don't need to...\Y-you d-don't ne-need to take them off...\I - can - fly...\It's my First Time\It's my first time\Subaru!!! response:	Why do I have to be in such a situation?
context: Wait...\You don't need to...\Y-you d-don't ne-need to take them off...\I - can - fly...\It's my First Time\It's my first time\Subaru!!!\Why do I have to be in such a situation? response:	Jirou?
context: You don't need to...\Y-you d-don't ne-need to take them off...\I - can - fly...\It's my First Time\It's my first time\Subaru!!!\Why do I have to be in such a situation?\Jirou? response:	Why are you in the male's bath?
context: Y-you d-don't ne-need to take them off...\I - can - fly...\It's my First Time\It's my first time\Subaru!!!\Why do I have to be in such a situation?\Jirou?\Why are you in the male's bath? response:	You know exactly why!
context: I - can - fly...\It's my First Time\It's my first time\Subaru!!!\Why do I have to be in such a situation?\Jirou?\Why are you in the male's bath?\You know exactly why! response:	I guess.
context: It's my First Time\It's my first time\Subaru!!!\Why do I have to be in such a situation?\Jirou?\Why are you in the male's bath?\You know exactly why!\I guess. response:	I somehow managed to fool them by saying Punyuru had returned.
context: It's my first time\Subaru!!!\Why do I have to be in such a situation?\Jirou?\Why are you in the male's bath?\You know exactly why!\I guess.\I somehow managed to fool them by saying Punyuru had returned. response:	I see, sorry.
context: Subaru!!!\Why do I have to be in such a situation?\Jirou?\Why are you in the male's bath?\You know exactly why!\I guess.\I somehow managed to fool them by saying Punyuru had returned.\I see, sorry. response:	I will leave first.
context: Why do I have to be in such a situation?\Jirou?\Why are you in the male's bath?\You know exactly why!\I guess.\I somehow managed to fool them by saying Punyuru had returned.\I see, sorry.\I will leave first. response:	Go ahead, Jirou!
context: Jirou?\Why are you in the male's bath?\You know exactly why!\I guess.\I somehow managed to fool them by saying Punyuru had returned.\I see, sorry.\I will leave first.\Go ahead, Jirou! response:	I understand.
context: Why are you in the male's bath?\You know exactly why!\I guess.\I somehow managed to fool them by saying Punyuru had returned.\I see, sorry.\I will leave first.\Go ahead, Jirou!\I understand. response:	Father?
context: You know exactly why!\I guess.\I somehow managed to fool them by saying Punyuru had returned.\I see, sorry.\I will leave first.\Go ahead, Jirou!\I understand.\Father? response:	Jirou, come here quickly!
context: I guess.\I somehow managed to fool them by saying Punyuru had returned.\I see, sorry.\I will leave first.\Go ahead, Jirou!\I understand.\Father?\Jirou, come here quickly! response:	You were here, you brat!
context: I somehow managed to fool them by saying Punyuru had returned.\I see, sorry.\I will leave first.\Go ahead, Jirou!\I understand.\Father?\Jirou, come here quickly!\You were here, you brat! response:	Oh!
context: I see, sorry.\I will leave first.\Go ahead, Jirou!\I understand.\Father?\Jirou, come here quickly!\You were here, you brat!\Oh! response:	Just when I thought there wouldn't be any people here...
context: I will leave first.\Go ahead, Jirou!\I understand.\Father?\Jirou, come here quickly!\You were here, you brat!\Oh!\Just when I thought there wouldn't be any people here... response:	Say, how do you know my daughter?
context: Go ahead, Jirou!\I understand.\Father?\Jirou, come here quickly!\You were here, you brat!\Oh!\Just when I thought there wouldn't be any people here...\Say, how do you know my daughter? response:	What?
context: I understand.\Father?\Jirou, come here quickly!\You were here, you brat!\Oh!\Just when I thought there wouldn't be any people here...\Say, how do you know my daughter?\What? response:	We're just friends and close classmates.
context: Father?\Jirou, come here quickly!\You were here, you brat!\Oh!\Just when I thought there wouldn't be any people here...\Say, how do you know my daughter?\What?\We're just friends and close classmates. response:	Nothing more, nothing less.
context: Jirou, come here quickly!\You were here, you brat!\Oh!\Just when I thought there wouldn't be any people here...\Say, how do you know my daughter?\What?\We're just friends and close classmates.\Nothing more, nothing less. response:	Well, if that's all...
context: You were here, you brat!\Oh!\Just when I thought there wouldn't be any people here...\Say, how do you know my daughter?\What?\We're just friends and close classmates.\Nothing more, nothing less.\Well, if that's all... response:	I knew you didn't have a relationship with her...
context: Oh!\Just when I thought there wouldn't be any people here...\Say, how do you know my daughter?\What?\We're just friends and close classmates.\Nothing more, nothing less.\Well, if that's all...\I knew you didn't have a relationship with her... response:	Lately, she has been having fun attending school.
context: Just when I thought there wouldn't be any people here...\Say, how do you know my daughter?\What?\We're just friends and close classmates.\Nothing more, nothing less.\Well, if that's all...\I knew you didn't have a relationship with her...\Lately, she has been having fun attending school. response:	You seem to be quite worried.
context: Say, how do you know my daughter?\What?\We're just friends and close classmates.\Nothing more, nothing less.\Well, if that's all...\I knew you didn't have a relationship with her...\Lately, she has been having fun attending school.\You seem to be quite worried. response:	Where would you find a parent that doesn't care about their child?
context: What?\We're just friends and close classmates.\Nothing more, nothing less.\Well, if that's all...\I knew you didn't have a relationship with her...\Lately, she has been having fun attending school.\You seem to be quite worried.\Where would you find a parent that doesn't care about their child? response:	I mean, I am talking about that cute Subaru of mine!
context: We're just friends and close classmates.\Nothing more, nothing less.\Well, if that's all...\I knew you didn't have a relationship with her...\Lately, she has been having fun attending school.\You seem to be quite worried.\Where would you find a parent that doesn't care about their child?\I mean, I am talking about that cute Subaru of mine! response:	Seeing your face really pisses me off after all.
context: Nothing more, nothing less.\Well, if that's all...\I knew you didn't have a relationship with her...\Lately, she has been having fun attending school.\You seem to be quite worried.\Where would you find a parent that doesn't care about their child?\I mean, I am talking about that cute Subaru of mine!\Seeing your face really pisses me off after all. response:	Like hell I will stay in the same bath with you any longer!
context: Well, if that's all...\I knew you didn't have a relationship with her...\Lately, she has been having fun attending school.\You seem to be quite worried.\Where would you find a parent that doesn't care about their child?\I mean, I am talking about that cute Subaru of mine!\Seeing your face really pisses me off after all.\Like hell I will stay in the same bath with you any longer! response:	Let's wait here until he leaves.
context: I knew you didn't have a relationship with her...\Lately, she has been having fun attending school.\You seem to be quite worried.\Where would you find a parent that doesn't care about their child?\I mean, I am talking about that cute Subaru of mine!\Seeing your face really pisses me off after all.\Like hell I will stay in the same bath with you any longer!\Let's wait here until he leaves. response:	Yeah...
context: Lately, she has been having fun attending school.\You seem to be quite worried.\Where would you find a parent that doesn't care about their child?\I mean, I am talking about that cute Subaru of mine!\Seeing your face really pisses me off after all.\Like hell I will stay in the same bath with you any longer!\Let's wait here until he leaves.\Yeah... response:	Why did you come here?
context: You seem to be quite worried.\Where would you find a parent that doesn't care about their child?\I mean, I am talking about that cute Subaru of mine!\Seeing your face really pisses me off after all.\Like hell I will stay in the same bath with you any longer!\Let's wait here until he leaves.\Yeah...\Why did you come here? response:	Wha...
context: Where would you find a parent that doesn't care about their child?\I mean, I am talking about that cute Subaru of mine!\Seeing your face really pisses me off after all.\Like hell I will stay in the same bath with you any longer!\Let's wait here until he leaves.\Yeah...\Why did you come here?\Wha... response:	You said it's a training camp for eloping or curing my gynophobia or something like that.
context: I mean, I am talking about that cute Subaru of mine!\Seeing your face really pisses me off after all.\Like hell I will stay in the same bath with you any longer!\Let's wait here until he leaves.\Yeah...\Why did you come here?\Wha...\You said it's a training camp for eloping or curing my gynophobia or something like that. response:	Even your father came as well.
context: Seeing your face really pisses me off after all.\Like hell I will stay in the same bath with you any longer!\Let's wait here until he leaves.\Yeah...\Why did you come here?\Wha...\You said it's a training camp for eloping or curing my gynophobia or something like that.\Even your father came as well. response:	It seems like there was some sort of reason for coming here.
context: Like hell I will stay in the same bath with you any longer!\Let's wait here until he leaves.\Yeah...\Why did you come here?\Wha...\You said it's a training camp for eloping or curing my gynophobia or something like that.\Even your father came as well.\It seems like there was some sort of reason for coming here. response:	Say Konoe...
context: Let's wait here until he leaves.\Yeah...\Why did you come here?\Wha...\You said it's a training camp for eloping or curing my gynophobia or something like that.\Even your father came as well.\It seems like there was some sort of reason for coming here.\Say Konoe... response:	Hey, brat!
context: Yeah...\Why did you come here?\Wha...\You said it's a training camp for eloping or curing my gynophobia or something like that.\Even your father came as well.\It seems like there was some sort of reason for coming here.\Say Konoe...\Hey, brat! response:	What is it?
context: Why did you come here?\Wha...\You said it's a training camp for eloping or curing my gynophobia or something like that.\Even your father came as well.\It seems like there was some sort of reason for coming here.\Say Konoe...\Hey, brat!\What is it? response:	You're still here?
context: Wha...\You said it's a training camp for eloping or curing my gynophobia or something like that.\Even your father came as well.\It seems like there was some sort of reason for coming here.\Say Konoe...\Hey, brat!\What is it?\You're still here? response:	I found something that perfectly resembles a girl's underwear.
context: You said it's a training camp for eloping or curing my gynophobia or something like that.\Even your father came as well.\It seems like there was some sort of reason for coming here.\Say Konoe...\Hey, brat!\What is it?\You're still here?\I found something that perfectly resembles a girl's underwear. response:	Whose is this anyway?
context: Even your father came as well.\It seems like there was some sort of reason for coming here.\Say Konoe...\Hey, brat!\What is it?\You're still here?\I found something that perfectly resembles a girl's underwear.\Whose is this anyway? response:	A-Actually I'm that type of person.
context: It seems like there was some sort of reason for coming here.\Say Konoe...\Hey, brat!\What is it?\You're still here?\I found something that perfectly resembles a girl's underwear.\Whose is this anyway?\A-Actually I'm that type of person. response:	What kind of excuse is that?
context: Say Konoe...\Hey, brat!\What is it?\You're still here?\I found something that perfectly resembles a girl's underwear.\Whose is this anyway?\A-Actually I'm that type of person.\What kind of excuse is that? response:	Subaru's underwear were like this as well...
context: Hey, brat!\What is it?\You're still here?\I found something that perfectly resembles a girl's underwear.\Whose is this anyway?\A-Actually I'm that type of person.\What kind of excuse is that?\Subaru's underwear were like this as well... response:	Why the hell do you know that?
context: What is it?\You're still here?\I found something that perfectly resembles a girl's underwear.\Whose is this anyway?\A-Actually I'm that type of person.\What kind of excuse is that?\Subaru's underwear were like this as well...\Why the hell do you know that? response:	Don't tell me...
context: You're still here?\I found something that perfectly resembles a girl's underwear.\Whose is this anyway?\A-Actually I'm that type of person.\What kind of excuse is that?\Subaru's underwear were like this as well...\Why the hell do you know that?\Don't tell me... response:	What?
context: I found something that perfectly resembles a girl's underwear.\Whose is this anyway?\A-Actually I'm that type of person.\What kind of excuse is that?\Subaru's underwear were like this as well...\Why the hell do you know that?\Don't tell me...\What? response:	You bastard!
context: Whose is this anyway?\A-Actually I'm that type of person.\What kind of excuse is that?\Subaru's underwear were like this as well...\Why the hell do you know that?\Don't tell me...\What?\You bastard! response:	You had this type of relationship with Subaru?
context: A-Actually I'm that type of person.\What kind of excuse is that?\Subaru's underwear were like this as well...\Why the hell do you know that?\Don't tell me...\What?\You bastard!\You had this type of relationship with Subaru? response:	Wait...Calm down!
context: What kind of excuse is that?\Subaru's underwear were like this as well...\Why the hell do you know that?\Don't tell me...\What?\You bastard!\You had this type of relationship with Subaru?\Wait...Calm down! response:	Shut up, you brat!
context: Subaru's underwear were like this as well...\Why the hell do you know that?\Don't tell me...\What?\You bastard!\You had this type of relationship with Subaru?\Wait...Calm down!\Shut up, you brat! response:	Konoe!
context: Why the hell do you know that?\Don't tell me...\What?\You bastard!\You had this type of relationship with Subaru?\Wait...Calm down!\Shut up, you brat!\Konoe! response:	I wonder if Punyuru-chan will come here...
context: Don't tell me...\What?\You bastard!\You had this type of relationship with Subaru?\Wait...Calm down!\Shut up, you brat!\Konoe!\I wonder if Punyuru-chan will come here... response:	I'm sure of it. Yes...
context: What?\You bastard!\You had this type of relationship with Subaru?\Wait...Calm down!\Shut up, you brat!\Konoe!\I wonder if Punyuru-chan will come here...\I'm sure of it. Yes... response:	Say, I am having temporary memory loss for some parts of last night.
context: You bastard!\You had this type of relationship with Subaru?\Wait...Calm down!\Shut up, you brat!\Konoe!\I wonder if Punyuru-chan will come here...\I'm sure of it. Yes...\Say, I am having temporary memory loss for some parts of last night. response:	Why was I sleeping in the bath, I wonder...
context: You had this type of relationship with Subaru?\Wait...Calm down!\Shut up, you brat!\Konoe!\I wonder if Punyuru-chan will come here...\I'm sure of it. Yes...\Say, I am having temporary memory loss for some parts of last night.\Why was I sleeping in the bath, I wonder... response:	Do you know something?
context: Wait...Calm down!\Shut up, you brat!\Konoe!\I wonder if Punyuru-chan will come here...\I'm sure of it. Yes...\Say, I am having temporary memory loss for some parts of last night.\Why was I sleeping in the bath, I wonder...\Do you know something? response:	No...
context: Shut up, you brat!\Konoe!\I wonder if Punyuru-chan will come here...\I'm sure of it. Yes...\Say, I am having temporary memory loss for some parts of last night.\Why was I sleeping in the bath, I wonder...\Do you know something?\No... response:	Say, is Punyuru-chan really coming?
context: Konoe!\I wonder if Punyuru-chan will come here...\I'm sure of it. Yes...\Say, I am having temporary memory loss for some parts of last night.\Why was I sleeping in the bath, I wonder...\Do you know something?\No...\Say, is Punyuru-chan really coming? response:	I wonder...
context: I wonder if Punyuru-chan will come here...\I'm sure of it. Yes...\Say, I am having temporary memory loss for some parts of last night.\Why was I sleeping in the bath, I wonder...\Do you know something?\No...\Say, is Punyuru-chan really coming?\I wonder... response:	You are only leaning your neck that way!
context: I'm sure of it. Yes...\Say, I am having temporary memory loss for some parts of last night.\Why was I sleeping in the bath, I wonder...\Do you know something?\No...\Say, is Punyuru-chan really coming?\I wonder...\You are only leaning your neck that way! response:	W-Well...
context: Say, I am having temporary memory loss for some parts of last night.\Why was I sleeping in the bath, I wonder...\Do you know something?\No...\Say, is Punyuru-chan really coming?\I wonder...\You are only leaning your neck that way!\W-Well... response:	Then why is your neck bending like that?
context: Why was I sleeping in the bath, I wonder...\Do you know something?\No...\Say, is Punyuru-chan really coming?\I wonder...\You are only leaning your neck that way!\W-Well...\Then why is your neck bending like that? response:	I wonder if I had a stiff neck while I slept...
context: Do you know something?\No...\Say, is Punyuru-chan really coming?\I wonder...\You are only leaning your neck that way!\W-Well...\Then why is your neck bending like that?\I wonder if I had a stiff neck while I slept... response:	Sorry to have kept you waiting.
context: No...\Say, is Punyuru-chan really coming?\I wonder...\You are only leaning your neck that way!\W-Well...\Then why is your neck bending like that?\I wonder if I had a stiff neck while I slept...\Sorry to have kept you waiting. response:	Oh!
context: Say, is Punyuru-chan really coming?\I wonder...\You are only leaning your neck that way!\W-Well...\Then why is your neck bending like that?\I wonder if I had a stiff neck while I slept...\Sorry to have kept you waiting.\Oh! response:	We were a bit late...
context: I wonder...\You are only leaning your neck that way!\W-Well...\Then why is your neck bending like that?\I wonder if I had a stiff neck while I slept...\Sorry to have kept you waiting.\Oh!\We were a bit late... response:	I was choosing glasses, so it took a while.
context: You are only leaning your neck that way!\W-Well...\Then why is your neck bending like that?\I wonder if I had a stiff neck while I slept...\Sorry to have kept you waiting.\Oh!\We were a bit late...\I was choosing glasses, so it took a while. response:	Punyuru-chan!
context: W-Well...\Then why is your neck bending like that?\I wonder if I had a stiff neck while I slept...\Sorry to have kept you waiting.\Oh!\We were a bit late...\I was choosing glasses, so it took a while.\Punyuru-chan! response:	I wanted to see you!
context: Then why is your neck bending like that?\I wonder if I had a stiff neck while I slept...\Sorry to have kept you waiting.\Oh!\We were a bit late...\I was choosing glasses, so it took a while.\Punyuru-chan!\I wanted to see you! response:	Well, yes...
context: I wonder if I had a stiff neck while I slept...\Sorry to have kept you waiting.\Oh!\We were a bit late...\I was choosing glasses, so it took a while.\Punyuru-chan!\I wanted to see you!\Well, yes... response:	Where is Subaru-sama?
context: Sorry to have kept you waiting.\Oh!\We were a bit late...\I was choosing glasses, so it took a while.\Punyuru-chan!\I wanted to see you!\Well, yes...\Where is Subaru-sama? response:	I had him run some errands.
context: Oh!\We were a bit late...\I was choosing glasses, so it took a while.\Punyuru-chan!\I wanted to see you!\Well, yes...\Where is Subaru-sama?\I had him run some errands. response:	Hey, did something happen?
context: We were a bit late...\I was choosing glasses, so it took a while.\Punyuru-chan!\I wanted to see you!\Well, yes...\Where is Subaru-sama?\I had him run some errands.\Hey, did something happen? response:	Now let's go!
context: I was choosing glasses, so it took a while.\Punyuru-chan!\I wanted to see you!\Well, yes...\Where is Subaru-sama?\I had him run some errands.\Hey, did something happen?\Now let's go! response:	What!
context: Punyuru-chan!\I wanted to see you!\Well, yes...\Where is Subaru-sama?\I had him run some errands.\Hey, did something happen?\Now let's go!\What! response:	Wai- Hey, let me go!
context: I wanted to see you!\Well, yes...\Where is Subaru-sama?\I had him run some errands.\Hey, did something happen?\Now let's go!\What!\Wai- Hey, let me go! response:	Wait up, Suzutsuki Kanade, why are you holding hands with idiot-chicken?
context: Well, yes...\Where is Subaru-sama?\I had him run some errands.\Hey, did something happen?\Now let's go!\What!\Wai- Hey, let me go!\Wait up, Suzutsuki Kanade, why are you holding hands with idiot-chicken? response:	Because he is my fiance.
context: Where is Subaru-sama?\I had him run some errands.\Hey, did something happen?\Now let's go!\What!\Wai- Hey, let me go!\Wait up, Suzutsuki Kanade, why are you holding hands with idiot-chicken?\Because he is my fiance. response:	Like I said, you were lying right?
context: I had him run some errands.\Hey, did something happen?\Now let's go!\What!\Wai- Hey, let me go!\Wait up, Suzutsuki Kanade, why are you holding hands with idiot-chicken?\Because he is my fiance.\Like I said, you were lying right? response:	it can't be helped...
context: Hey, did something happen?\Now let's go!\What!\Wai- Hey, let me go!\Wait up, Suzutsuki Kanade, why are you holding hands with idiot-chicken?\Because he is my fiance.\Like I said, you were lying right?\it can't be helped... response:	Let me tell you the real thing...
context: Now let's go!\What!\Wai- Hey, let me go!\Wait up, Suzutsuki Kanade, why are you holding hands with idiot-chicken?\Because he is my fiance.\Like I said, you were lying right?\it can't be helped...\Let me tell you the real thing... response:	He is actually a gynophobic.
context: What!\Wai- Hey, let me go!\Wait up, Suzutsuki Kanade, why are you holding hands with idiot-chicken?\Because he is my fiance.\Like I said, you were lying right?\it can't be helped...\Let me tell you the real thing...\He is actually a gynophobic. response:	Why do you know that?
context: Wai- Hey, let me go!\Wait up, Suzutsuki Kanade, why are you holding hands with idiot-chicken?\Because he is my fiance.\Like I said, you were lying right?\it can't be helped...\Let me tell you the real thing...\He is actually a gynophobic.\Why do you know that? response:	Hmmm, you seem to know as well.
context: Wait up, Suzutsuki Kanade, why are you holding hands with idiot-chicken?\Because he is my fiance.\Like I said, you were lying right?\it can't be helped...\Let me tell you the real thing...\He is actually a gynophobic.\Why do you know that?\Hmmm, you seem to know as well. response:	Hey!
context: Because he is my fiance.\Like I said, you were lying right?\it can't be helped...\Let me tell you the real thing...\He is actually a gynophobic.\Why do you know that?\Hmmm, you seem to know as well.\Hey! response:	Say Jirou-kun, won't you play the shooting game in that shop?
context: Like I said, you were lying right?\it can't be helped...\Let me tell you the real thing...\He is actually a gynophobic.\Why do you know that?\Hmmm, you seem to know as well.\Hey!\Say Jirou-kun, won't you play the shooting game in that shop? response:	How about you as well...
context: it can't be helped...\Let me tell you the real thing...\He is actually a gynophobic.\Why do you know that?\Hmmm, you seem to know as well.\Hey!\Say Jirou-kun, won't you play the shooting game in that shop?\How about you as well... response:	Hmph, bring it on.
context: Let me tell you the real thing...\He is actually a gynophobic.\Why do you know that?\Hmmm, you seem to know as well.\Hey!\Say Jirou-kun, won't you play the shooting game in that shop?\How about you as well...\Hmph, bring it on. response:	Hey!
context: He is actually a gynophobic.\Why do you know that?\Hmmm, you seem to know as well.\Hey!\Say Jirou-kun, won't you play the shooting game in that shop?\How about you as well...\Hmph, bring it on.\Hey! response:	YES!
context: Why do you know that?\Hmmm, you seem to know as well.\Hey!\Say Jirou-kun, won't you play the shooting game in that shop?\How about you as well...\Hmph, bring it on.\Hey!\YES! response:	Ah, sorry, I shot and killed the rabbit.
context: Hmmm, you seem to know as well.\Hey!\Say Jirou-kun, won't you play the shooting game in that shop?\How about you as well...\Hmph, bring it on.\Hey!\YES!\Ah, sorry, I shot and killed the rabbit. response:	You mean shot and dropped, right?
context: Hey!\Say Jirou-kun, won't you play the shooting game in that shop?\How about you as well...\Hmph, bring it on.\Hey!\YES!\Ah, sorry, I shot and killed the rabbit.\You mean shot and dropped, right? response:	And, I'm Usami, not a rabbit!
context: Say Jirou-kun, won't you play the shooting game in that shop?\How about you as well...\Hmph, bring it on.\Hey!\YES!\Ah, sorry, I shot and killed the rabbit.\You mean shot and dropped, right?\And, I'm Usami, not a rabbit! response:	Ah, you were here!
context: How about you as well...\Hmph, bring it on.\Hey!\YES!\Ah, sorry, I shot and killed the rabbit.\You mean shot and dropped, right?\And, I'm Usami, not a rabbit!\Ah, you were here! response:	Since there are more people...
context: Hmph, bring it on.\Hey!\YES!\Ah, sorry, I shot and killed the rabbit.\You mean shot and dropped, right?\And, I'm Usami, not a rabbit!\Ah, you were here!\Since there are more people... response:	There will be an event soon...
context: Hey!\YES!\Ah, sorry, I shot and killed the rabbit.\You mean shot and dropped, right?\And, I'm Usami, not a rabbit!\Ah, you were here!\Since there are more people...\There will be an event soon... response:	What is this event?
context: YES!\Ah, sorry, I shot and killed the rabbit.\You mean shot and dropped, right?\And, I'm Usami, not a rabbit!\Ah, you were here!\Since there are more people...\There will be an event soon...\What is this event? response:	A yukata beauty contest.
context: Ah, sorry, I shot and killed the rabbit.\You mean shot and dropped, right?\And, I'm Usami, not a rabbit!\Ah, you were here!\Since there are more people...\There will be an event soon...\What is this event?\A yukata beauty contest. response:	It's a battle royal.
context: You mean shot and dropped, right?\And, I'm Usami, not a rabbit!\Ah, you were here!\Since there are more people...\There will be an event soon...\What is this event?\A yukata beauty contest.\It's a battle royal. response:	What is that?
context: And, I'm Usami, not a rabbit!\Ah, you were here!\Since there are more people...\There will be an event soon...\What is this event?\A yukata beauty contest.\It's a battle royal.\What is that? response:	There is a fireworks display at the end.
context: Ah, you were here!\Since there are more people...\There will be an event soon...\What is this event?\A yukata beauty contest.\It's a battle royal.\What is that?\There is a fireworks display at the end. response:	It's something to look forward to, right?
context: Since there are more people...\There will be an event soon...\What is this event?\A yukata beauty contest.\It's a battle royal.\What is that?\There is a fireworks display at the end.\It's something to look forward to, right? response:	Right, Punyuru-chan?
context: There will be an event soon...\What is this event?\A yukata beauty contest.\It's a battle royal.\What is that?\There is a fireworks display at the end.\It's something to look forward to, right?\Right, Punyuru-chan? response:	Hey, I don't see her here.
context: What is this event?\A yukata beauty contest.\It's a battle royal.\What is that?\There is a fireworks display at the end.\It's something to look forward to, right?\Right, Punyuru-chan?\Hey, I don't see her here. response:	She was with her just awhile ago...
context: A yukata beauty contest.\It's a battle royal.\What is that?\There is a fireworks display at the end.\It's something to look forward to, right?\Right, Punyuru-chan?\Hey, I don't see her here.\She was with her just awhile ago... response:	Hmm...?
context: It's a battle royal.\What is that?\There is a fireworks display at the end.\It's something to look forward to, right?\Right, Punyuru-chan?\Hey, I don't see her here.\She was with her just awhile ago...\Hmm...? response:	Where is Konoe?
context: What is that?\There is a fireworks display at the end.\It's something to look forward to, right?\Right, Punyuru-chan?\Hey, I don't see her here.\She was with her just awhile ago...\Hmm...?\Where is Konoe? response:	Would you like to know?
context: There is a fireworks display at the end.\It's something to look forward to, right?\Right, Punyuru-chan?\Hey, I don't see her here.\She was with her just awhile ago...\Hmm...?\Where is Konoe?\Would you like to know? response:	I will now do a tongue twister...
context: It's something to look forward to, right?\Right, Punyuru-chan?\Hey, I don't see her here.\She was with her just awhile ago...\Hmm...?\Where is Konoe?\Would you like to know?\I will now do a tongue twister... response:	Butler's art of erasing memory...
context: Right, Punyuru-chan?\Hey, I don't see her here.\She was with her just awhile ago...\Hmm...?\Where is Konoe?\Would you like to know?\I will now do a tongue twister...\Butler's art of erasing memory... response:	Butler's art of erasing...
context: Hey, I don't see her here.\She was with her just awhile ago...\Hmm...?\Where is Konoe?\Would you like to know?\I will now do a tongue twister...\Butler's art of erasing memory...\Butler's art of erasing... response:	Barusu, I want to see everything of yours!
context: She was with her just awhile ago...\Hmm...?\Where is Konoe?\Would you like to know?\I will now do a tongue twister...\Butler's art of erasing memory...\Butler's art of erasing...\Barusu, I want to see everything of yours! response:	Go back...
context: Hmm...?\Where is Konoe?\Would you like to know?\I will now do a tongue twister...\Butler's art of erasing memory...\Butler's art of erasing...\Barusu, I want to see everything of yours!\Go back... response:	Don't interfere.
