context: Huh? response:	The bread I'd bought is gone and has been replaced by three 100-yen coins.
context: Good morning, Rin.\'Morning...\You seem to have slept quite soundly last night.\Not really. Somebody was making noise past midnight.\Oh, we're going out today. Hurry up and get ready.\Going out? Where?\The next town over.\To do what? response:	What else? To go have fun, of course.
context: 'Morning...\You seem to have slept quite soundly last night.\Not really. Somebody was making noise past midnight.\Oh, we're going out today. Hurry up and get ready.\Going out? Where?\The next town over.\To do what?\What else? To go have fun, of course. response:	It's a date, dummy.
context: You seem to have slept quite soundly last night.\Not really. Somebody was making noise past midnight.\Oh, we're going out today. Hurry up and get ready.\Going out? Where?\The next town over.\To do what?\What else? To go have fun, of course.\It's a date, dummy. response:	A date?
context: Not really. Somebody was making noise past midnight.\Oh, we're going out today. Hurry up and get ready.\Going out? Where?\The next town over.\To do what?\What else? To go have fun, of course.\It's a date, dummy.\A date? response:	Between who and who?
context: Oh, we're going out today. Hurry up and get ready.\Going out? Where?\The next town over.\To do what?\What else? To go have fun, of course.\It's a date, dummy.\A date?\Between who and who? response:	Me and you.
context: Going out? Where?\The next town over.\To do what?\What else? To go have fun, of course.\It's a date, dummy.\A date?\Between who and who?\Me and you. response:	Oh, okay. You and I are
context: The next town over.\To do what?\What else? To go have fun, of course.\It's a date, dummy.\A date?\Between who and who?\Me and you.\Oh, okay. You and I are response:	Wh-What?!
context: To do what?\What else? To go have fun, of course.\It's a date, dummy.\A date?\Between who and who?\Me and you.\Oh, okay. You and I are\Wh-What?! response:	Shirou?
context: What else? To go have fun, of course.\It's a date, dummy.\A date?\Between who and who?\Me and you.\Oh, okay. You and I are\Wh-What?!\Shirou? response:	What's this about you going on a date with Tohsaka-san?
context: It's a date, dummy.\A date?\Between who and who?\Me and you.\Oh, okay. You and I are\Wh-What?!\Shirou?\What's this about you going on a date with Tohsaka-san? response:	12 The Final Decision
context: A date?\Between who and who?\Me and you.\Oh, okay. You and I are\Wh-What?!\Shirou?\What's this about you going on a date with Tohsaka-san?\12 The Final Decision response:	This is make-or-break time!
context: Between who and who?\Me and you.\Oh, okay. You and I are\Wh-What?!\Shirou?\What's this about you going on a date with Tohsaka-san?\12 The Final Decision\This is make-or-break time! response:	Stop messing around. I don't know what's going on here, either.
context: Me and you.\Oh, okay. You and I are\Wh-What?!\Shirou?\What's this about you going on a date with Tohsaka-san?\12 The Final Decision\This is make-or-break time!\Stop messing around. I don't know what's going on here, either. response:	Look at you, getting all embarrassed!
context: Oh, okay. You and I are\Wh-What?!\Shirou?\What's this about you going on a date with Tohsaka-san?\12 The Final Decision\This is make-or-break time!\Stop messing around. I don't know what's going on here, either.\Look at you, getting all embarrassed! response:	I'm so jealous! Oh, to be young and in love!
context: Wh-What?!\Shirou?\What's this about you going on a date with Tohsaka-san?\12 The Final Decision\This is make-or-break time!\Stop messing around. I don't know what's going on here, either.\Look at you, getting all embarrassed!\I'm so jealous! Oh, to be young and in love! response:	You have a date today, too, don't you, Fujimura-sensei?
context: Shirou?\What's this about you going on a date with Tohsaka-san?\12 The Final Decision\This is make-or-break time!\Stop messing around. I don't know what's going on here, either.\Look at you, getting all embarrassed!\I'm so jealous! Oh, to be young and in love!\You have a date today, too, don't you, Fujimura-sensei? response:	You do?!
context: What's this about you going on a date with Tohsaka-san?\12 The Final Decision\This is make-or-break time!\Stop messing around. I don't know what's going on here, either.\Look at you, getting all embarrassed!\I'm so jealous! Oh, to be young and in love!\You have a date today, too, don't you, Fujimura-sensei?\You do?! response:	That's right, I do.
context: 12 The Final Decision\This is make-or-break time!\Stop messing around. I don't know what's going on here, either.\Look at you, getting all embarrassed!\I'm so jealous! Oh, to be young and in love!\You have a date today, too, don't you, Fujimura-sensei?\You do?!\That's right, I do. response:	But I don't want you two getting too crazy, got it?
context: This is make-or-break time!\Stop messing around. I don't know what's going on here, either.\Look at you, getting all embarrassed!\I'm so jealous! Oh, to be young and in love!\You have a date today, too, don't you, Fujimura-sensei?\You do?!\That's right, I do.\But I don't want you two getting too crazy, got it? response:	See you later!
context: Stop messing around. I don't know what's going on here, either.\Look at you, getting all embarrassed!\I'm so jealous! Oh, to be young and in love!\You have a date today, too, don't you, Fujimura-sensei?\You do?!\That's right, I do.\But I don't want you two getting too crazy, got it?\See you later! response:	We should go, too.
context: Look at you, getting all embarrassed!\I'm so jealous! Oh, to be young and in love!\You have a date today, too, don't you, Fujimura-sensei?\You do?!\That's right, I do.\But I don't want you two getting too crazy, got it?\See you later!\We should go, too. response:	Okay!
context: I'm so jealous! Oh, to be young and in love!\You have a date today, too, don't you, Fujimura-sensei?\You do?!\That's right, I do.\But I don't want you two getting too crazy, got it?\See you later!\We should go, too.\Okay! response:	So, where should we go? Do you two have any requests?
context: You have a date today, too, don't you, Fujimura-sensei?\You do?!\That's right, I do.\But I don't want you two getting too crazy, got it?\See you later!\We should go, too.\Okay!\So, where should we go? Do you two have any requests? response:	I can't really think of anything.
context: You do?!\That's right, I do.\But I don't want you two getting too crazy, got it?\See you later!\We should go, too.\Okay!\So, where should we go? Do you two have any requests?\I can't really think of anything. response:	Should've known. And you, Saber?
context: That's right, I do.\But I don't want you two getting too crazy, got it?\See you later!\We should go, too.\Okay!\So, where should we go? Do you two have any requests?\I can't really think of anything.\Should've known. And you, Saber? response:	No, I merely came along as Shirou's guard.
context: But I don't want you two getting too crazy, got it?\See you later!\We should go, too.\Okay!\So, where should we go? Do you two have any requests?\I can't really think of anything.\Should've known. And you, Saber?\No, I merely came along as Shirou's guard. response:	Please act as if I were not here.
context: See you later!\We should go, too.\Okay!\So, where should we go? Do you two have any requests?\I can't really think of anything.\Should've known. And you, Saber?\No, I merely came along as Shirou's guard.\Please act as if I were not here. response:	Really? Then you two are okay with completely submitting to my plans?
context: We should go, too.\Okay!\So, where should we go? Do you two have any requests?\I can't really think of anything.\Should've known. And you, Saber?\No, I merely came along as Shirou's guard.\Please act as if I were not here.\Really? Then you two are okay with completely submitting to my plans? response:	Don't be so sinister!
context: Okay!\So, where should we go? Do you two have any requests?\I can't really think of anything.\Should've known. And you, Saber?\No, I merely came along as Shirou's guard.\Please act as if I were not here.\Really? Then you two are okay with completely submitting to my plans?\Don't be so sinister! response:	Anyway, I said I'd tag along with you, not go out on a date with you.
context: So, where should we go? Do you two have any requests?\I can't really think of anything.\Should've known. And you, Saber?\No, I merely came along as Shirou's guard.\Please act as if I were not here.\Really? Then you two are okay with completely submitting to my plans?\Don't be so sinister!\Anyway, I said I'd tag along with you, not go out on a date with you. response:	I thought it would be nice to take a breather.
context: I can't really think of anything.\Should've known. And you, Saber?\No, I merely came along as Shirou's guard.\Please act as if I were not here.\Really? Then you two are okay with completely submitting to my plans?\Don't be so sinister!\Anyway, I said I'd tag along with you, not go out on a date with you.\I thought it would be nice to take a breather. response:	- All three of us. - So sorry!
context: Should've known. And you, Saber?\No, I merely came along as Shirou's guard.\Please act as if I were not here.\Really? Then you two are okay with completely submitting to my plans?\Don't be so sinister!\Anyway, I said I'd tag along with you, not go out on a date with you.\I thought it would be nice to take a breather.\- All three of us. - So sorry! response:	But that's what the world calls a date.
context: No, I merely came along as Shirou's guard.\Please act as if I were not here.\Really? Then you two are okay with completely submitting to my plans?\Don't be so sinister!\Anyway, I said I'd tag along with you, not go out on a date with you.\I thought it would be nice to take a breather.\- All three of us. - So sorry!\But that's what the world calls a date. response:	Girls hate guys who don't know when to give in.
context: Please act as if I were not here.\Really? Then you two are okay with completely submitting to my plans?\Don't be so sinister!\Anyway, I said I'd tag along with you, not go out on a date with you.\I thought it would be nice to take a breather.\- All three of us. - So sorry!\But that's what the world calls a date.\Girls hate guys who don't know when to give in. response:	What girls?
context: Really? Then you two are okay with completely submitting to my plans?\Don't be so sinister!\Anyway, I said I'd tag along with you, not go out on a date with you.\I thought it would be nice to take a breather.\- All three of us. - So sorry!\But that's what the world calls a date.\Girls hate guys who don't know when to give in.\What girls? response:	What girls, indeed?
context: Don't be so sinister!\Anyway, I said I'd tag along with you, not go out on a date with you.\I thought it would be nice to take a breather.\- All three of us. - So sorry!\But that's what the world calls a date.\Girls hate guys who don't know when to give in.\What girls?\What girls, indeed? response:	Shirou.
context: Anyway, I said I'd tag along with you, not go out on a date with you.\I thought it would be nice to take a breather.\- All three of us. - So sorry!\But that's what the world calls a date.\Girls hate guys who don't know when to give in.\What girls?\What girls, indeed?\Shirou. response:	Fine, whatever! I'll tag along with you wherever you want, then!
context: I thought it would be nice to take a breather.\- All three of us. - So sorry!\But that's what the world calls a date.\Girls hate guys who don't know when to give in.\What girls?\What girls, indeed?\Shirou.\Fine, whatever! I'll tag along with you wherever you want, then! response:	Well? Good, huh?
context: - All three of us. - So sorry!\But that's what the world calls a date.\Girls hate guys who don't know when to give in.\What girls?\What girls, indeed?\Shirou.\Fine, whatever! I'll tag along with you wherever you want, then!\Well? Good, huh? response:	It doesn't really taste like anything.
context: But that's what the world calls a date.\Girls hate guys who don't know when to give in.\What girls?\What girls, indeed?\Shirou.\Fine, whatever! I'll tag along with you wherever you want, then!\Well? Good, huh?\It doesn't really taste like anything. response:	Don't be like that! You can tell it's sweet!
context: Girls hate guys who don't know when to give in.\What girls?\What girls, indeed?\Shirou.\Fine, whatever! I'll tag along with you wherever you want, then!\Well? Good, huh?\It doesn't really taste like anything.\Don't be like that! You can tell it's sweet! response:	Well, I guess it's sweeter than it looks.
context: What girls?\What girls, indeed?\Shirou.\Fine, whatever! I'll tag along with you wherever you want, then!\Well? Good, huh?\It doesn't really taste like anything.\Don't be like that! You can tell it's sweet!\Well, I guess it's sweeter than it looks. response:	Well?
context: What girls, indeed?\Shirou.\Fine, whatever! I'll tag along with you wherever you want, then!\Well? Good, huh?\It doesn't really taste like anything.\Don't be like that! You can tell it's sweet!\Well, I guess it's sweeter than it looks.\Well? response:	Well what?
context: Shirou.\Fine, whatever! I'll tag along with you wherever you want, then!\Well? Good, huh?\It doesn't really taste like anything.\Don't be like that! You can tell it's sweet!\Well, I guess it's sweeter than it looks.\Well?\Well what? response:	They're not bad, I guess.
context: Fine, whatever! I'll tag along with you wherever you want, then!\Well? Good, huh?\It doesn't really taste like anything.\Don't be like that! You can tell it's sweet!\Well, I guess it's sweeter than it looks.\Well?\Well what?\They're not bad, I guess. response:	Yes. They make you look intellectual, Rin.
context: Well? Good, huh?\It doesn't really taste like anything.\Don't be like that! You can tell it's sweet!\Well, I guess it's sweeter than it looks.\Well?\Well what?\They're not bad, I guess.\Yes. They make you look intellectual, Rin. response:	Thanks!
context: It doesn't really taste like anything.\Don't be like that! You can tell it's sweet!\Well, I guess it's sweeter than it looks.\Well?\Well what?\They're not bad, I guess.\Yes. They make you look intellectual, Rin.\Thanks! response:	Which ones next...
context: Don't be like that! You can tell it's sweet!\Well, I guess it's sweeter than it looks.\Well?\Well what?\They're not bad, I guess.\Yes. They make you look intellectual, Rin.\Thanks!\Which ones next... response:	I think these would look good on you, Saber.
context: Well, I guess it's sweeter than it looks.\Well?\Well what?\They're not bad, I guess.\Yes. They make you look intellectual, Rin.\Thanks!\Which ones next...\I think these would look good on you, Saber. response:	Looking good, Saber! And you try these on, Emiya-kun!
context: Well?\Well what?\They're not bad, I guess.\Yes. They make you look intellectual, Rin.\Thanks!\Which ones next...\I think these would look good on you, Saber.\Looking good, Saber! And you try these on, Emiya-kun! response:	That's hilarious!
context: Well what?\They're not bad, I guess.\Yes. They make you look intellectual, Rin.\Thanks!\Which ones next...\I think these would look good on you, Saber.\Looking good, Saber! And you try these on, Emiya-kun!\That's hilarious! response:	I will never, ever wear glasses, got it?!
context: They're not bad, I guess.\Yes. They make you look intellectual, Rin.\Thanks!\Which ones next...\I think these would look good on you, Saber.\Looking good, Saber! And you try these on, Emiya-kun!\That's hilarious!\I will never, ever wear glasses, got it?! response:	I look young enough already!
context: Yes. They make you look intellectual, Rin.\Thanks!\Which ones next...\I think these would look good on you, Saber.\Looking good, Saber! And you try these on, Emiya-kun!\That's hilarious!\I will never, ever wear glasses, got it?!\I look young enough already! response:	Oh, right.
context: Thanks!\Which ones next...\I think these would look good on you, Saber.\Looking good, Saber! And you try these on, Emiya-kun!\That's hilarious!\I will never, ever wear glasses, got it?!\I look young enough already!\Oh, right. response:	You're self-conscious about that.
context: Which ones next...\I think these would look good on you, Saber.\Looking good, Saber! And you try these on, Emiya-kun!\That's hilarious!\I will never, ever wear glasses, got it?!\I look young enough already!\Oh, right.\You're self-conscious about that. response:	I don't think you have anything to worry about, Emiya-kun.
context: I think these would look good on you, Saber.\Looking good, Saber! And you try these on, Emiya-kun!\That's hilarious!\I will never, ever wear glasses, got it?!\I look young enough already!\Oh, right.\You're self-conscious about that.\I don't think you have anything to worry about, Emiya-kun. response:	You're perfectly fine as-is.
context: Looking good, Saber! And you try these on, Emiya-kun!\That's hilarious!\I will never, ever wear glasses, got it?!\I look young enough already!\Oh, right.\You're self-conscious about that.\I don't think you have anything to worry about, Emiya-kun.\You're perfectly fine as-is. response:	No, I'm not!
context: That's hilarious!\I will never, ever wear glasses, got it?!\I look young enough already!\Oh, right.\You're self-conscious about that.\I don't think you have anything to worry about, Emiya-kun.\You're perfectly fine as-is.\No, I'm not! response:	I have to grow a little taller.
context: I will never, ever wear glasses, got it?!\I look young enough already!\Oh, right.\You're self-conscious about that.\I don't think you have anything to worry about, Emiya-kun.\You're perfectly fine as-is.\No, I'm not!\I have to grow a little taller. response:	You're pretty average, I'd say.
context: I look young enough already!\Oh, right.\You're self-conscious about that.\I don't think you have anything to worry about, Emiya-kun.\You're perfectly fine as-is.\No, I'm not!\I have to grow a little taller.\You're pretty average, I'd say. response:	I'm nowhere near average! I have to grow at least as tall as Issei!
context: Oh, right.\You're self-conscious about that.\I don't think you have anything to worry about, Emiya-kun.\You're perfectly fine as-is.\No, I'm not!\I have to grow a little taller.\You're pretty average, I'd say.\I'm nowhere near average! I have to grow at least as tall as Issei! response:	Come on, don't worry about it. You'll grow a lot taller.
context: You're self-conscious about that.\I don't think you have anything to worry about, Emiya-kun.\You're perfectly fine as-is.\No, I'm not!\I have to grow a little taller.\You're pretty average, I'd say.\I'm nowhere near average! I have to grow at least as tall as Issei!\Come on, don't worry about it. You'll grow a lot taller. response:	Based on what?
context: I don't think you have anything to worry about, Emiya-kun.\You're perfectly fine as-is.\No, I'm not!\I have to grow a little taller.\You're pretty average, I'd say.\I'm nowhere near average! I have to grow at least as tall as Issei!\Come on, don't worry about it. You'll grow a lot taller.\Based on what? response:	Um, you've got a solid build, so I bet you'll fill out if you eat right.
context: You're perfectly fine as-is.\No, I'm not!\I have to grow a little taller.\You're pretty average, I'd say.\I'm nowhere near average! I have to grow at least as tall as Issei!\Come on, don't worry about it. You'll grow a lot taller.\Based on what?\Um, you've got a solid build, so I bet you'll fill out if you eat right. response:	With plenty of photosynthesis, you'll grow good and tall!
context: No, I'm not!\I have to grow a little taller.\You're pretty average, I'd say.\I'm nowhere near average! I have to grow at least as tall as Issei!\Come on, don't worry about it. You'll grow a lot taller.\Based on what?\Um, you've got a solid build, so I bet you'll fill out if you eat right.\With plenty of photosynthesis, you'll grow good and tall! response:	Do I look like I have leaves?
context: I have to grow a little taller.\You're pretty average, I'd say.\I'm nowhere near average! I have to grow at least as tall as Issei!\Come on, don't worry about it. You'll grow a lot taller.\Based on what?\Um, you've got a solid build, so I bet you'll fill out if you eat right.\With plenty of photosynthesis, you'll grow good and tall!\Do I look like I have leaves? response:	Wait, are you angry?
context: You're pretty average, I'd say.\I'm nowhere near average! I have to grow at least as tall as Issei!\Come on, don't worry about it. You'll grow a lot taller.\Based on what?\Um, you've got a solid build, so I bet you'll fill out if you eat right.\With plenty of photosynthesis, you'll grow good and tall!\Do I look like I have leaves?\Wait, are you angry? response:	Not really. I'll follow half of your advice.
context: I'm nowhere near average! I have to grow at least as tall as Issei!\Come on, don't worry about it. You'll grow a lot taller.\Based on what?\Um, you've got a solid build, so I bet you'll fill out if you eat right.\With plenty of photosynthesis, you'll grow good and tall!\Do I look like I have leaves?\Wait, are you angry?\Not really. I'll follow half of your advice. response:	I can't make you any promises about your height,
context: Come on, don't worry about it. You'll grow a lot taller.\Based on what?\Um, you've got a solid build, so I bet you'll fill out if you eat right.\With plenty of photosynthesis, you'll grow good and tall!\Do I look like I have leaves?\Wait, are you angry?\Not really. I'll follow half of your advice.\I can't make you any promises about your height, response:	but I'm sure you'll become a great-looking guy.
context: Based on what?\Um, you've got a solid build, so I bet you'll fill out if you eat right.\With plenty of photosynthesis, you'll grow good and tall!\Do I look like I have leaves?\Wait, are you angry?\Not really. I'll follow half of your advice.\I can't make you any promises about your height,\but I'm sure you'll become a great-looking guy. response:	You have my guarantee on that part, Shirou.
context: Um, you've got a solid build, so I bet you'll fill out if you eat right.\With plenty of photosynthesis, you'll grow good and tall!\Do I look like I have leaves?\Wait, are you angry?\Not really. I'll follow half of your advice.\I can't make you any promises about your height,\but I'm sure you'll become a great-looking guy.\You have my guarantee on that part, Shirou. response:	You're blushing, you're blushing!
context: With plenty of photosynthesis, you'll grow good and tall!\Do I look like I have leaves?\Wait, are you angry?\Not really. I'll follow half of your advice.\I can't make you any promises about your height,\but I'm sure you'll become a great-looking guy.\You have my guarantee on that part, Shirou.\You're blushing, you're blushing! response:	I love how everything is written on your face, Emiya-kun.
context: Do I look like I have leaves?\Wait, are you angry?\Not really. I'll follow half of your advice.\I can't make you any promises about your height,\but I'm sure you'll become a great-looking guy.\You have my guarantee on that part, Shirou.\You're blushing, you're blushing!\I love how everything is written on your face, Emiya-kun. response:	Geez, you're evil!
context: Wait, are you angry?\Not really. I'll follow half of your advice.\I can't make you any promises about your height,\but I'm sure you'll become a great-looking guy.\You have my guarantee on that part, Shirou.\You're blushing, you're blushing!\I love how everything is written on your face, Emiya-kun.\Geez, you're evil! response:	Do you get your kicks from teasing guys in the same year as you?
context: Not really. I'll follow half of your advice.\I can't make you any promises about your height,\but I'm sure you'll become a great-looking guy.\You have my guarantee on that part, Shirou.\You're blushing, you're blushing!\I love how everything is written on your face, Emiya-kun.\Geez, you're evil!\Do you get your kicks from teasing guys in the same year as you? response:	Of course!
context: I can't make you any promises about your height,\but I'm sure you'll become a great-looking guy.\You have my guarantee on that part, Shirou.\You're blushing, you're blushing!\I love how everything is written on your face, Emiya-kun.\Geez, you're evil!\Do you get your kicks from teasing guys in the same year as you?\Of course! response:	You have the best reactions!
context: but I'm sure you'll become a great-looking guy.\You have my guarantee on that part, Shirou.\You're blushing, you're blushing!\I love how everything is written on your face, Emiya-kun.\Geez, you're evil!\Do you get your kicks from teasing guys in the same year as you?\Of course!\You have the best reactions! response:	Let's stop playing with Shirou and start on the main event!
context: You have my guarantee on that part, Shirou.\You're blushing, you're blushing!\I love how everything is written on your face, Emiya-kun.\Geez, you're evil!\Do you get your kicks from teasing guys in the same year as you?\Of course!\You have the best reactions!\Let's stop playing with Shirou and start on the main event! response:	Before lunch, let's knock a few out of the park!
context: You're blushing, you're blushing!\I love how everything is written on your face, Emiya-kun.\Geez, you're evil!\Do you get your kicks from teasing guys in the same year as you?\Of course!\You have the best reactions!\Let's stop playing with Shirou and start on the main event!\Before lunch, let's knock a few out of the park! response:	One more time!
context: I love how everything is written on your face, Emiya-kun.\Geez, you're evil!\Do you get your kicks from teasing guys in the same year as you?\Of course!\You have the best reactions!\Let's stop playing with Shirou and start on the main event!\Before lunch, let's knock a few out of the park!\One more time! response:	That machine's set to 120kph...
context: Geez, you're evil!\Do you get your kicks from teasing guys in the same year as you?\Of course!\You have the best reactions!\Let's stop playing with Shirou and start on the main event!\Before lunch, let's knock a few out of the park!\One more time!\That machine's set to 120kph... response:	Shirou, what are you standing around for?
context: Do you get your kicks from teasing guys in the same year as you?\Of course!\You have the best reactions!\Let's stop playing with Shirou and start on the main event!\Before lunch, let's knock a few out of the park!\One more time!\That machine's set to 120kph...\Shirou, what are you standing around for? response:	Yeah, I can't get one-upped by Tohsaka!
context: Of course!\You have the best reactions!\Let's stop playing with Shirou and start on the main event!\Before lunch, let's knock a few out of the park!\One more time!\That machine's set to 120kph...\Shirou, what are you standing around for?\Yeah, I can't get one-upped by Tohsaka! response:	Saber?
context: You have the best reactions!\Let's stop playing with Shirou and start on the main event!\Before lunch, let's knock a few out of the park!\One more time!\That machine's set to 120kph...\Shirou, what are you standing around for?\Yeah, I can't get one-upped by Tohsaka!\Saber? response:	What is it, Shirou? I find it uncomfortable to be stared at in such a manner.
context: Let's stop playing with Shirou and start on the main event!\Before lunch, let's knock a few out of the park!\One more time!\That machine's set to 120kph...\Shirou, what are you standing around for?\Yeah, I can't get one-upped by Tohsaka!\Saber?\What is it, Shirou? I find it uncomfortable to be stared at in such a manner. response:	Talk about hating to lose...
context: Before lunch, let's knock a few out of the park!\One more time!\That machine's set to 120kph...\Shirou, what are you standing around for?\Yeah, I can't get one-upped by Tohsaka!\Saber?\What is it, Shirou? I find it uncomfortable to be stared at in such a manner.\Talk about hating to lose... response:	I miscalculated.
context: One more time!\That machine's set to 120kph...\Shirou, what are you standing around for?\Yeah, I can't get one-upped by Tohsaka!\Saber?\What is it, Shirou? I find it uncomfortable to be stared at in such a manner.\Talk about hating to lose...\I miscalculated. response:	I had no idea Saber would get so obsessed with competition.
context: That machine's set to 120kph...\Shirou, what are you standing around for?\Yeah, I can't get one-upped by Tohsaka!\Saber?\What is it, Shirou? I find it uncomfortable to be stared at in such a manner.\Talk about hating to lose...\I miscalculated.\I had no idea Saber would get so obsessed with competition. response:	Yeah, she gets angry if you go easy on her, and sulks if you get too far ahead...
context: Shirou, what are you standing around for?\Yeah, I can't get one-upped by Tohsaka!\Saber?\What is it, Shirou? I find it uncomfortable to be stared at in such a manner.\Talk about hating to lose...\I miscalculated.\I had no idea Saber would get so obsessed with competition.\Yeah, she gets angry if you go easy on her, and sulks if you get too far ahead... response:	You yourself were overcome with combativeness against Rin, Shirou!
context: Yeah, I can't get one-upped by Tohsaka!\Saber?\What is it, Shirou? I find it uncomfortable to be stared at in such a manner.\Talk about hating to lose...\I miscalculated.\I had no idea Saber would get so obsessed with competition.\Yeah, she gets angry if you go easy on her, and sulks if you get too far ahead...\You yourself were overcome with combativeness against Rin, Shirou! response:	When the person in the next cage answers you hit for hit, you get worked up.
context: Saber?\What is it, Shirou? I find it uncomfortable to be stared at in such a manner.\Talk about hating to lose...\I miscalculated.\I had no idea Saber would get so obsessed with competition.\Yeah, she gets angry if you go easy on her, and sulks if you get too far ahead...\You yourself were overcome with combativeness against Rin, Shirou!\When the person in the next cage answers you hit for hit, you get worked up. response:	And seriously, you're way too good at batting, Tohsaka.
context: What is it, Shirou? I find it uncomfortable to be stared at in such a manner.\Talk about hating to lose...\I miscalculated.\I had no idea Saber would get so obsessed with competition.\Yeah, she gets angry if you go easy on her, and sulks if you get too far ahead...\You yourself were overcome with combativeness against Rin, Shirou!\When the person in the next cage answers you hit for hit, you get worked up.\And seriously, you're way too good at batting, Tohsaka. response:	Do you do pushups before going to bed or something?
context: Talk about hating to lose...\I miscalculated.\I had no idea Saber would get so obsessed with competition.\Yeah, she gets angry if you go easy on her, and sulks if you get too far ahead...\You yourself were overcome with combativeness against Rin, Shirou!\When the person in the next cage answers you hit for hit, you get worked up.\And seriously, you're way too good at batting, Tohsaka.\Do you do pushups before going to bed or something? response:	Y-Yes, I do.
context: I miscalculated.\I had no idea Saber would get so obsessed with competition.\Yeah, she gets angry if you go easy on her, and sulks if you get too far ahead...\You yourself were overcome with combativeness against Rin, Shirou!\When the person in the next cage answers you hit for hit, you get worked up.\And seriously, you're way too good at batting, Tohsaka.\Do you do pushups before going to bed or something?\Y-Yes, I do. response:	What's wrong with that?
context: I had no idea Saber would get so obsessed with competition.\Yeah, she gets angry if you go easy on her, and sulks if you get too far ahead...\You yourself were overcome with combativeness against Rin, Shirou!\When the person in the next cage answers you hit for hit, you get worked up.\And seriously, you're way too good at batting, Tohsaka.\Do you do pushups before going to bed or something?\Y-Yes, I do.\What's wrong with that? response:	Uh, nothing...
context: Yeah, she gets angry if you go easy on her, and sulks if you get too far ahead...\You yourself were overcome with combativeness against Rin, Shirou!\When the person in the next cage answers you hit for hit, you get worked up.\And seriously, you're way too good at batting, Tohsaka.\Do you do pushups before going to bed or something?\Y-Yes, I do.\What's wrong with that?\Uh, nothing... response:	Good game.
