context: Rendezvous in the blue sky, cuckoo response:	Discovery of the Suspect's Body
context: Come here right by me, I'm clapping my hands\Where are you? Who are you?\Strain my eyes in the darkness\Can't see anything, don't know anything, but I'll still go\To the place of shining light in which you wait\Episode 2\Pitiless Song\Inspired by Ango Sakaguchis Meijikaika Ango Torimonochou (Meiji-era Ango Detective Stories) Les Miserables response:	Oh, what should I do?
context: Where are you? Who are you?\Strain my eyes in the darkness\Can't see anything, don't know anything, but I'll still go\To the place of shining light in which you wait\Episode 2\Pitiless Song\Inspired by Ango Sakaguchis Meijikaika Ango Torimonochou (Meiji-era Ango Detective Stories) Les Miserables\Oh, what should I do? response:	Everything in the world
context: Strain my eyes in the darkness\Can't see anything, don't know anything, but I'll still go\To the place of shining light in which you wait\Episode 2\Pitiless Song\Inspired by Ango Sakaguchis Meijikaika Ango Torimonochou (Meiji-era Ango Detective Stories) Les Miserables\Oh, what should I do?\Everything in the world response:	is reflected beautifully
context: Can't see anything, don't know anything, but I'll still go\To the place of shining light in which you wait\Episode 2\Pitiless Song\Inspired by Ango Sakaguchis Meijikaika Ango Torimonochou (Meiji-era Ango Detective Stories) Les Miserables\Oh, what should I do?\Everything in the world\is reflected beautifully response:	That's right, this feeling is
context: To the place of shining light in which you wait\Episode 2\Pitiless Song\Inspired by Ango Sakaguchis Meijikaika Ango Torimonochou (Meiji-era Ango Detective Stories) Les Miserables\Oh, what should I do?\Everything in the world\is reflected beautifully\That's right, this feeling is response:	strange, isn't it?
context: Episode 2\Pitiless Song\Inspired by Ango Sakaguchis Meijikaika Ango Torimonochou (Meiji-era Ango Detective Stories) Les Miserables\Oh, what should I do?\Everything in the world\is reflected beautifully\That's right, this feeling is\strange, isn't it? response:	This is incredible.
context: Pitiless Song\Inspired by Ango Sakaguchis Meijikaika Ango Torimonochou (Meiji-era Ango Detective Stories) Les Miserables\Oh, what should I do?\Everything in the world\is reflected beautifully\That's right, this feeling is\strange, isn't it?\This is incredible. response:	Dol-pli, huh?
context: Inspired by Ango Sakaguchis Meijikaika Ango Torimonochou (Meiji-era Ango Detective Stories) Les Miserables\Oh, what should I do?\Everything in the world\is reflected beautifully\That's right, this feeling is\strange, isn't it?\This is incredible.\Dol-pli, huh? response:	Drill pudding?
context: Oh, what should I do?\Everything in the world\is reflected beautifully\That's right, this feeling is\strange, isn't it?\This is incredible.\Dol-pli, huh?\Drill pudding? response:	It's called an idol app.
context: Everything in the world\is reflected beautifully\That's right, this feeling is\strange, isn't it?\This is incredible.\Dol-pli, huh?\Drill pudding?\It's called an idol app. response:	A computerized fashion doll.
context: is reflected beautifully\That's right, this feeling is\strange, isn't it?\This is incredible.\Dol-pli, huh?\Drill pudding?\It's called an idol app.\A computerized fashion doll. response:	So much is evolving these days.
context: That's right, this feeling is\strange, isn't it?\This is incredible.\Dol-pli, huh?\Drill pudding?\It's called an idol app.\A computerized fashion doll.\So much is evolving these days. response:	You didn't know about it, but you're standing in line?
context: strange, isn't it?\This is incredible.\Dol-pli, huh?\Drill pudding?\It's called an idol app.\A computerized fashion doll.\So much is evolving these days.\You didn't know about it, but you're standing in line? response:	It's my part-time job.
context: This is incredible.\Dol-pli, huh?\Drill pudding?\It's called an idol app.\A computerized fashion doll.\So much is evolving these days.\You didn't know about it, but you're standing in line?\It's my part-time job. response:	I was told to buy the new, uh...
context: Dol-pli, huh?\Drill pudding?\It's called an idol app.\A computerized fashion doll.\So much is evolving these days.\You didn't know about it, but you're standing in line?\It's my part-time job.\I was told to buy the new, uh... response:	What is it again?
context: Drill pudding?\It's called an idol app.\A computerized fashion doll.\So much is evolving these days.\You didn't know about it, but you're standing in line?\It's my part-time job.\I was told to buy the new, uh...\What is it again? response:	Song.
context: It's called an idol app.\A computerized fashion doll.\So much is evolving these days.\You didn't know about it, but you're standing in line?\It's my part-time job.\I was told to buy the new, uh...\What is it again?\Song. response:	Song!
context: A computerized fashion doll.\So much is evolving these days.\You didn't know about it, but you're standing in line?\It's my part-time job.\I was told to buy the new, uh...\What is it again?\Song.\Song! response:	Song!
context: So much is evolving these days.\You didn't know about it, but you're standing in line?\It's my part-time job.\I was told to buy the new, uh...\What is it again?\Song.\Song!\Song! response:	Song!
context: You didn't know about it, but you're standing in line?\It's my part-time job.\I was told to buy the new, uh...\What is it again?\Song.\Song!\Song!\Song! response:	Song!
context: It's my part-time job.\I was told to buy the new, uh...\What is it again?\Song.\Song!\Song!\Song!\Song! response:	Song!
context: I was told to buy the new, uh...\What is it again?\Song.\Song!\Song!\Song!\Song!\Song! response:	Song!
context: What is it again?\Song.\Song!\Song!\Song!\Song!\Song!\Song! response:	Song!
context: Song.\Song!\Song!\Song!\Song!\Song!\Song!\Song! response:	Song!
context: Song!\Song!\Song!\Song!\Song!\Song!\Song!\Song! response:	New tune and new voice data.
context: Song!\Song!\Song!\Song!\Song!\Song!\Song!\New tune and new voice data. response:	It's different than that ancient Vocaloid thing.
context: Song!\Song!\Song!\Song!\Song!\Song!\New tune and new voice data.\It's different than that ancient Vocaloid thing. response:	It's 100 indistinguishable from a real person!
context: Song!\Song!\Song!\Song!\Song!\New tune and new voice data.\It's different than that ancient Vocaloid thing.\It's 100 indistinguishable from a real person! response:	I heard a sample and it was awesome, you know?
context: Song!\Song!\Song!\Song!\New tune and new voice data.\It's different than that ancient Vocaloid thing.\It's 100 indistinguishable from a real person!\I heard a sample and it was awesome, you know? response:	Yeah, the song was great, too!
context: Song!\Song!\Song!\New tune and new voice data.\It's different than that ancient Vocaloid thing.\It's 100 indistinguishable from a real person!\I heard a sample and it was awesome, you know?\Yeah, the song was great, too! response:	It reminded me of Yonaga'...
context: Song!\Song!\New tune and new voice data.\It's different than that ancient Vocaloid thing.\It's 100 indistinguishable from a real person!\I heard a sample and it was awesome, you know?\Yeah, the song was great, too!\It reminded me of Yonaga'... response:	Shouldn't have said that...
context: Song!\New tune and new voice data.\It's different than that ancient Vocaloid thing.\It's 100 indistinguishable from a real person!\I heard a sample and it was awesome, you know?\Yeah, the song was great, too!\It reminded me of Yonaga'...\Shouldn't have said that... response:	Not supposed to talk about Yonaga'.
context: New tune and new voice data.\It's different than that ancient Vocaloid thing.\It's 100 indistinguishable from a real person!\I heard a sample and it was awesome, you know?\Yeah, the song was great, too!\It reminded me of Yonaga'...\Shouldn't have said that...\Not supposed to talk about Yonaga'. response:	Dangerous...
context: It's different than that ancient Vocaloid thing.\It's 100 indistinguishable from a real person!\I heard a sample and it was awesome, you know?\Yeah, the song was great, too!\It reminded me of Yonaga'...\Shouldn't have said that...\Not supposed to talk about Yonaga'.\Dangerous... response:	Get us in trouble...
context: It's 100 indistinguishable from a real person!\I heard a sample and it was awesome, you know?\Yeah, the song was great, too!\It reminded me of Yonaga'...\Shouldn't have said that...\Not supposed to talk about Yonaga'.\Dangerous...\Get us in trouble... response:	Only cutesy lyrics and songs that've been throughly checked are on the net.
context: I heard a sample and it was awesome, you know?\Yeah, the song was great, too!\It reminded me of Yonaga'...\Shouldn't have said that...\Not supposed to talk about Yonaga'.\Dangerous...\Get us in trouble...\Only cutesy lyrics and songs that've been throughly checked are on the net. response:	Emergency Exit
context: Yeah, the song was great, too!\It reminded me of Yonaga'...\Shouldn't have said that...\Not supposed to talk about Yonaga'.\Dangerous...\Get us in trouble...\Only cutesy lyrics and songs that've been throughly checked are on the net.\Emergency Exit response:	Excuse me!
context: It reminded me of Yonaga'...\Shouldn't have said that...\Not supposed to talk about Yonaga'.\Dangerous...\Get us in trouble...\Only cutesy lyrics and songs that've been throughly checked are on the net.\Emergency Exit\Excuse me! response:	The Dol-pli expansion data that was due to go on sale today
context: Shouldn't have said that...\Not supposed to talk about Yonaga'.\Dangerous...\Get us in trouble...\Only cutesy lyrics and songs that've been throughly checked are on the net.\Emergency Exit\Excuse me!\The Dol-pli expansion data that was due to go on sale today response:	has been prohibited.
context: Not supposed to talk about Yonaga'.\Dangerous...\Get us in trouble...\Only cutesy lyrics and songs that've been throughly checked are on the net.\Emergency Exit\Excuse me!\The Dol-pli expansion data that was due to go on sale today\has been prohibited. response:	What are you talking about?!
context: Dangerous...\Get us in trouble...\Only cutesy lyrics and songs that've been throughly checked are on the net.\Emergency Exit\Excuse me!\The Dol-pli expansion data that was due to go on sale today\has been prohibited.\What are you talking about?! response:	Don't screw with us!
context: Get us in trouble...\Only cutesy lyrics and songs that've been throughly checked are on the net.\Emergency Exit\Excuse me!\The Dol-pli expansion data that was due to go on sale today\has been prohibited.\What are you talking about?!\Don't screw with us! response:	You made us wait in line for hours!
context: Only cutesy lyrics and songs that've been throughly checked are on the net.\Emergency Exit\Excuse me!\The Dol-pli expansion data that was due to go on sale today\has been prohibited.\What are you talking about?!\Don't screw with us!\You made us wait in line for hours! response:	You don't do this when you wanna sell something to people!
context: Emergency Exit\Excuse me!\The Dol-pli expansion data that was due to go on sale today\has been prohibited.\What are you talking about?!\Don't screw with us!\You made us wait in line for hours!\You don't do this when you wanna sell something to people! response:	Prohibited, my ass!
context: Excuse me!\The Dol-pli expansion data that was due to go on sale today\has been prohibited.\What are you talking about?!\Don't screw with us!\You made us wait in line for hours!\You don't do this when you wanna sell something to people!\Prohibited, my ass! response:	It was canceled, wasn't it?!
context: The Dol-pli expansion data that was due to go on sale today\has been prohibited.\What are you talking about?!\Don't screw with us!\You made us wait in line for hours!\You don't do this when you wanna sell something to people!\Prohibited, my ass!\It was canceled, wasn't it?! response:	Oh, shut up!
context: has been prohibited.\What are you talking about?!\Don't screw with us!\You made us wait in line for hours!\You don't do this when you wanna sell something to people!\Prohibited, my ass!\It was canceled, wasn't it?!\Oh, shut up! response:	Oyamada Arata
context: What are you talking about?!\Don't screw with us!\You made us wait in line for hours!\You don't do this when you wanna sell something to people!\Prohibited, my ass!\It was canceled, wasn't it?!\Oh, shut up!\Oyamada Arata response:	Underground Software Dealer
context: Don't screw with us!\You made us wait in line for hours!\You don't do this when you wanna sell something to people!\Prohibited, my ass!\It was canceled, wasn't it?!\Oh, shut up!\Oyamada Arata\Underground Software Dealer response:	It's a loss for me, too!
context: You made us wait in line for hours!\You don't do this when you wanna sell something to people!\Prohibited, my ass!\It was canceled, wasn't it?!\Oh, shut up!\Oyamada Arata\Underground Software Dealer\It's a loss for me, too! response:	Coming through.
context: You don't do this when you wanna sell something to people!\Prohibited, my ass!\It was canceled, wasn't it?!\Oh, shut up!\Oyamada Arata\Underground Software Dealer\It's a loss for me, too!\Coming through. response:	Oh, no!
context: Prohibited, my ass!\It was canceled, wasn't it?!\Oh, shut up!\Oyamada Arata\Underground Software Dealer\It's a loss for me, too!\Coming through.\Oh, no! response:	What's wrong?
context: It was canceled, wasn't it?!\Oh, shut up!\Oyamada Arata\Underground Software Dealer\It's a loss for me, too!\Coming through.\Oh, no!\What's wrong? response:	A woman who rode in an unlicensed taxi told the driver
context: Oh, shut up!\Oyamada Arata\Underground Software Dealer\It's a loss for me, too!\Coming through.\Oh, no!\What's wrong?\A woman who rode in an unlicensed taxi told the driver response:	that she forgot an important piece of luggage.
context: Oyamada Arata\Underground Software Dealer\It's a loss for me, too!\Coming through.\Oh, no!\What's wrong?\A woman who rode in an unlicensed taxi told the driver\that she forgot an important piece of luggage. response:	There's something else that I have to do.
context: Underground Software Dealer\It's a loss for me, too!\Coming through.\Oh, no!\What's wrong?\A woman who rode in an unlicensed taxi told the driver\that she forgot an important piece of luggage.\There's something else that I have to do. response:	Driver, would you pick up my luggage for me?
context: It's a loss for me, too!\Coming through.\Oh, no!\What's wrong?\A woman who rode in an unlicensed taxi told the driver\that she forgot an important piece of luggage.\There's something else that I have to do.\Driver, would you pick up my luggage for me? response:	Please.
context: Coming through.\Oh, no!\What's wrong?\A woman who rode in an unlicensed taxi told the driver\that she forgot an important piece of luggage.\There's something else that I have to do.\Driver, would you pick up my luggage for me?\Please. response:	The driver did as he was told, driving to the place that the woman indicated.
context: Oh, no!\What's wrong?\A woman who rode in an unlicensed taxi told the driver\that she forgot an important piece of luggage.\There's something else that I have to do.\Driver, would you pick up my luggage for me?\Please.\The driver did as he was told, driving to the place that the woman indicated. response:	And that was the mansion of Yokohama investor Osada Hisako?
context: What's wrong?\A woman who rode in an unlicensed taxi told the driver\that she forgot an important piece of luggage.\There's something else that I have to do.\Driver, would you pick up my luggage for me?\Please.\The driver did as he was told, driving to the place that the woman indicated.\And that was the mansion of Yokohama investor Osada Hisako? response:	As the woman said,
context: A woman who rode in an unlicensed taxi told the driver\that she forgot an important piece of luggage.\There's something else that I have to do.\Driver, would you pick up my luggage for me?\Please.\The driver did as he was told, driving to the place that the woman indicated.\And that was the mansion of Yokohama investor Osada Hisako?\As the woman said, response:	the suitcase was given to him by the gatekeeper at the Osada residence.
context: that she forgot an important piece of luggage.\There's something else that I have to do.\Driver, would you pick up my luggage for me?\Please.\The driver did as he was told, driving to the place that the woman indicated.\And that was the mansion of Yokohama investor Osada Hisako?\As the woman said,\the suitcase was given to him by the gatekeeper at the Osada residence. response:	Figuring it was a valuable article,
context: There's something else that I have to do.\Driver, would you pick up my luggage for me?\Please.\The driver did as he was told, driving to the place that the woman indicated.\And that was the mansion of Yokohama investor Osada Hisako?\As the woman said,\the suitcase was given to him by the gatekeeper at the Osada residence.\Figuring it was a valuable article, response:	he opened it...
context: Driver, would you pick up my luggage for me?\Please.\The driver did as he was told, driving to the place that the woman indicated.\And that was the mansion of Yokohama investor Osada Hisako?\As the woman said,\the suitcase was given to him by the gatekeeper at the Osada residence.\Figuring it was a valuable article,\he opened it... response:	And inside was the corpse of the mansion's owner, Osada Hisako herself.
context: Please.\The driver did as he was told, driving to the place that the woman indicated.\And that was the mansion of Yokohama investor Osada Hisako?\As the woman said,\the suitcase was given to him by the gatekeeper at the Osada residence.\Figuring it was a valuable article,\he opened it...\And inside was the corpse of the mansion's owner, Osada Hisako herself. response:	Osada Hisako
context: The driver did as he was told, driving to the place that the woman indicated.\And that was the mansion of Yokohama investor Osada Hisako?\As the woman said,\the suitcase was given to him by the gatekeeper at the Osada residence.\Figuring it was a valuable article,\he opened it...\And inside was the corpse of the mansion's owner, Osada Hisako herself.\Osada Hisako response:	Investor, Victim
context: And that was the mansion of Yokohama investor Osada Hisako?\As the woman said,\the suitcase was given to him by the gatekeeper at the Osada residence.\Figuring it was a valuable article,\he opened it...\And inside was the corpse of the mansion's owner, Osada Hisako herself.\Osada Hisako\Investor, Victim response:	Interesting...
context: As the woman said,\the suitcase was given to him by the gatekeeper at the Osada residence.\Figuring it was a valuable article,\he opened it...\And inside was the corpse of the mansion's owner, Osada Hisako herself.\Osada Hisako\Investor, Victim\Interesting... response:	Koyama-san, my father is just in the information industry.
context: the suitcase was given to him by the gatekeeper at the Osada residence.\Figuring it was a valuable article,\he opened it...\And inside was the corpse of the mansion's owner, Osada Hisako herself.\Osada Hisako\Investor, Victim\Interesting...\Koyama-san, my father is just in the information industry. response:	He's not a detective.
context: Figuring it was a valuable article,\he opened it...\And inside was the corpse of the mansion's owner, Osada Hisako herself.\Osada Hisako\Investor, Victim\Interesting...\Koyama-san, my father is just in the information industry.\He's not a detective. response:	That's all right. I'm interested in this, too.
context: he opened it...\And inside was the corpse of the mansion's owner, Osada Hisako herself.\Osada Hisako\Investor, Victim\Interesting...\Koyama-san, my father is just in the information industry.\He's not a detective.\That's all right. I'm interested in this, too. response:	This case has so many mysteries
context: And inside was the corpse of the mansion's owner, Osada Hisako herself.\Osada Hisako\Investor, Victim\Interesting...\Koyama-san, my father is just in the information industry.\He's not a detective.\That's all right. I'm interested in this, too.\This case has so many mysteries response:	that the Chairman is the only one I could turn to...
context: Osada Hisako\Investor, Victim\Interesting...\Koyama-san, my father is just in the information industry.\He's not a detective.\That's all right. I'm interested in this, too.\This case has so many mysteries\that the Chairman is the only one I could turn to... response:	Isn't the criminal the woman who took the unlicensed cab?
context: Investor, Victim\Interesting...\Koyama-san, my father is just in the information industry.\He's not a detective.\That's all right. I'm interested in this, too.\This case has so many mysteries\that the Chairman is the only one I could turn to...\Isn't the criminal the woman who took the unlicensed cab? response:	Kaishou Rie
context: Interesting...\Koyama-san, my father is just in the information industry.\He's not a detective.\That's all right. I'm interested in this, too.\This case has so many mysteries\that the Chairman is the only one I could turn to...\Isn't the criminal the woman who took the unlicensed cab?\Kaishou Rie response:	Kaishou Rinroku's Daughter, Lives at Home
context: Koyama-san, my father is just in the information industry.\He's not a detective.\That's all right. I'm interested in this, too.\This case has so many mysteries\that the Chairman is the only one I could turn to...\Isn't the criminal the woman who took the unlicensed cab?\Kaishou Rie\Kaishou Rinroku's Daughter, Lives at Home response:	A different man had left the suitcase there.
context: He's not a detective.\That's all right. I'm interested in this, too.\This case has so many mysteries\that the Chairman is the only one I could turn to...\Isn't the criminal the woman who took the unlicensed cab?\Kaishou Rie\Kaishou Rinroku's Daughter, Lives at Home\A different man had left the suitcase there. response:	Koyama Izumi
context: That's all right. I'm interested in this, too.\This case has so many mysteries\that the Chairman is the only one I could turn to...\Isn't the criminal the woman who took the unlicensed cab?\Kaishou Rie\Kaishou Rinroku's Daughter, Lives at Home\A different man had left the suitcase there.\Koyama Izumi response:	Public Prosecutor, Joint Coordinating Dept., Public Prosecutor's Office
context: This case has so many mysteries\that the Chairman is the only one I could turn to...\Isn't the criminal the woman who took the unlicensed cab?\Kaishou Rie\Kaishou Rinroku's Daughter, Lives at Home\A different man had left the suitcase there.\Koyama Izumi\Public Prosecutor, Joint Coordinating Dept., Public Prosecutor's Office response:	There was a memo stating an unlicensed cabbie was coming to pick it up,
context: that the Chairman is the only one I could turn to...\Isn't the criminal the woman who took the unlicensed cab?\Kaishou Rie\Kaishou Rinroku's Daughter, Lives at Home\A different man had left the suitcase there.\Koyama Izumi\Public Prosecutor, Joint Coordinating Dept., Public Prosecutor's Office\There was a memo stating an unlicensed cabbie was coming to pick it up, response:	so to please hold on to the suitcase'til then.
context: Isn't the criminal the woman who took the unlicensed cab?\Kaishou Rie\Kaishou Rinroku's Daughter, Lives at Home\A different man had left the suitcase there.\Koyama Izumi\Public Prosecutor, Joint Coordinating Dept., Public Prosecutor's Office\There was a memo stating an unlicensed cabbie was coming to pick it up,\so to please hold on to the suitcase'til then. response:	The gatekeeper tried to refuse, but...
context: Kaishou Rie\Kaishou Rinroku's Daughter, Lives at Home\A different man had left the suitcase there.\Koyama Izumi\Public Prosecutor, Joint Coordinating Dept., Public Prosecutor's Office\There was a memo stating an unlicensed cabbie was coming to pick it up,\so to please hold on to the suitcase'til then.\The gatekeeper tried to refuse, but... response:	We believe Osada Hisako was murdered outside of her house.
context: Kaishou Rinroku's Daughter, Lives at Home\A different man had left the suitcase there.\Koyama Izumi\Public Prosecutor, Joint Coordinating Dept., Public Prosecutor's Office\There was a memo stating an unlicensed cabbie was coming to pick it up,\so to please hold on to the suitcase'til then.\The gatekeeper tried to refuse, but...\We believe Osada Hisako was murdered outside of her house. response:	But why did the murderer, that man, go to the trouble
context: A different man had left the suitcase there.\Koyama Izumi\Public Prosecutor, Joint Coordinating Dept., Public Prosecutor's Office\There was a memo stating an unlicensed cabbie was coming to pick it up,\so to please hold on to the suitcase'til then.\The gatekeeper tried to refuse, but...\We believe Osada Hisako was murdered outside of her house.\But why did the murderer, that man, go to the trouble response:	of stuffing her body into a suitcase and dropping it off at her own mansion?
context: Koyama Izumi\Public Prosecutor, Joint Coordinating Dept., Public Prosecutor's Office\There was a memo stating an unlicensed cabbie was coming to pick it up,\so to please hold on to the suitcase'til then.\The gatekeeper tried to refuse, but...\We believe Osada Hisako was murdered outside of her house.\But why did the murderer, that man, go to the trouble\of stuffing her body into a suitcase and dropping it off at her own mansion? response:	Kaishou Rinroku
context: Public Prosecutor, Joint Coordinating Dept., Public Prosecutor's Office\There was a memo stating an unlicensed cabbie was coming to pick it up,\so to please hold on to the suitcase'til then.\The gatekeeper tried to refuse, but...\We believe Osada Hisako was murdered outside of her house.\But why did the murderer, that man, go to the trouble\of stuffing her body into a suitcase and dropping it off at her own mansion?\Kaishou Rinroku response:	Chairman of Japan Justice Network System Holdings
context: There was a memo stating an unlicensed cabbie was coming to pick it up,\so to please hold on to the suitcase'til then.\The gatekeeper tried to refuse, but...\We believe Osada Hisako was murdered outside of her house.\But why did the murderer, that man, go to the trouble\of stuffing her body into a suitcase and dropping it off at her own mansion?\Kaishou Rinroku\Chairman of Japan Justice Network System Holdings response:	And what's the connection with the woman who took the unlicensed cab?
context: so to please hold on to the suitcase'til then.\The gatekeeper tried to refuse, but...\We believe Osada Hisako was murdered outside of her house.\But why did the murderer, that man, go to the trouble\of stuffing her body into a suitcase and dropping it off at her own mansion?\Kaishou Rinroku\Chairman of Japan Justice Network System Holdings\And what's the connection with the woman who took the unlicensed cab? response:	Well, the truth of the matter...
context: The gatekeeper tried to refuse, but...\We believe Osada Hisako was murdered outside of her house.\But why did the murderer, that man, go to the trouble\of stuffing her body into a suitcase and dropping it off at her own mansion?\Kaishou Rinroku\Chairman of Japan Justice Network System Holdings\And what's the connection with the woman who took the unlicensed cab?\Well, the truth of the matter... response:	The suspect is 47-year-old Aramaki Toshiji, a restaurant proprietor.
context: We believe Osada Hisako was murdered outside of her house.\But why did the murderer, that man, go to the trouble\of stuffing her body into a suitcase and dropping it off at her own mansion?\Kaishou Rinroku\Chairman of Japan Justice Network System Holdings\And what's the connection with the woman who took the unlicensed cab?\Well, the truth of the matter...\The suspect is 47-year-old Aramaki Toshiji, a restaurant proprietor. response:	He became the lover of Osada Hisako after her husband died.
context: But why did the murderer, that man, go to the trouble\of stuffing her body into a suitcase and dropping it off at her own mansion?\Kaishou Rinroku\Chairman of Japan Justice Network System Holdings\And what's the connection with the woman who took the unlicensed cab?\Well, the truth of the matter...\The suspect is 47-year-old Aramaki Toshiji, a restaurant proprietor.\He became the lover of Osada Hisako after her husband died. response:	I've heard that this Aramaki has an odd hobby.
context: of stuffing her body into a suitcase and dropping it off at her own mansion?\Kaishou Rinroku\Chairman of Japan Justice Network System Holdings\And what's the connection with the woman who took the unlicensed cab?\Well, the truth of the matter...\The suspect is 47-year-old Aramaki Toshiji, a restaurant proprietor.\He became the lover of Osada Hisako after her husband died.\I've heard that this Aramaki has an odd hobby. response:	Aramaki's hobby is dressing up in women's clothing.
context: Kaishou Rinroku\Chairman of Japan Justice Network System Holdings\And what's the connection with the woman who took the unlicensed cab?\Well, the truth of the matter...\The suspect is 47-year-old Aramaki Toshiji, a restaurant proprietor.\He became the lover of Osada Hisako after her husband died.\I've heard that this Aramaki has an odd hobby.\Aramaki's hobby is dressing up in women's clothing. response:	In other words, the man that handed over the suitcase and the woman passenger
context: Chairman of Japan Justice Network System Holdings\And what's the connection with the woman who took the unlicensed cab?\Well, the truth of the matter...\The suspect is 47-year-old Aramaki Toshiji, a restaurant proprietor.\He became the lover of Osada Hisako after her husband died.\I've heard that this Aramaki has an odd hobby.\Aramaki's hobby is dressing up in women's clothing.\In other words, the man that handed over the suitcase and the woman passenger response:	were both Aramaki in disguise.
context: And what's the connection with the woman who took the unlicensed cab?\Well, the truth of the matter...\The suspect is 47-year-old Aramaki Toshiji, a restaurant proprietor.\He became the lover of Osada Hisako after her husband died.\I've heard that this Aramaki has an odd hobby.\Aramaki's hobby is dressing up in women's clothing.\In other words, the man that handed over the suitcase and the woman passenger\were both Aramaki in disguise. response:	Aramaki's aim was to throw suspicion off of himself
