context: I heard you're Embryo's knight. response:	I wanted to see how strong you've become.
context: I won't let you go to him.\Hear that, Ange?\Huh?\I bet we can go to Aura, though.\All right, I'll take it!\Stop, Ange!\Aren't you going to fight me?\If you get in my way, I'll cut you! response:	Oh? I'd like to see you try.
context: Hear that, Ange?\Huh?\I bet we can go to Aura, though.\All right, I'll take it!\Stop, Ange!\Aren't you going to fight me?\If you get in my way, I'll cut you!\Oh? I'd like to see you try. response:	A Battle With No Tomorrow
context: Huh?\I bet we can go to Aura, though.\All right, I'll take it!\Stop, Ange!\Aren't you going to fight me?\If you get in my way, I'll cut you!\Oh? I'd like to see you try.\A Battle With No Tomorrow response:	Space-time convergence is at 83.
context: I bet we can go to Aura, though.\All right, I'll take it!\Stop, Ange!\Aren't you going to fight me?\If you get in my way, I'll cut you!\Oh? I'd like to see you try.\A Battle With No Tomorrow\Space-time convergence is at 83. response:	Twelve inbound from ten o'clock.
context: All right, I'll take it!\Stop, Ange!\Aren't you going to fight me?\If you get in my way, I'll cut you!\Oh? I'd like to see you try.\A Battle With No Tomorrow\Space-time convergence is at 83.\Twelve inbound from ten o'clock. response:	Understood.
context: Stop, Ange!\Aren't you going to fight me?\If you get in my way, I'll cut you!\Oh? I'd like to see you try.\A Battle With No Tomorrow\Space-time convergence is at 83.\Twelve inbound from ten o'clock.\Understood. response:	I'm a beetle that's flying into the fire!
context: Aren't you going to fight me?\If you get in my way, I'll cut you!\Oh? I'd like to see you try.\A Battle With No Tomorrow\Space-time convergence is at 83.\Twelve inbound from ten o'clock.\Understood.\I'm a beetle that's flying into the fire! response:	Gravity wave interferometer has exceeded 30 TeV.
context: If you get in my way, I'll cut you!\Oh? I'd like to see you try.\A Battle With No Tomorrow\Space-time convergence is at 83.\Twelve inbound from ten o'clock.\Understood.\I'm a beetle that's flying into the fire!\Gravity wave interferometer has exceeded 30 TeV. response:	Five more at two o'clock.
context: Oh? I'd like to see you try.\A Battle With No Tomorrow\Space-time convergence is at 83.\Twelve inbound from ten o'clock.\Understood.\I'm a beetle that's flying into the fire!\Gravity wave interferometer has exceeded 30 TeV.\Five more at two o'clock. response:	Understood.
context: A Battle With No Tomorrow\Space-time convergence is at 83.\Twelve inbound from ten o'clock.\Understood.\I'm a beetle that's flying into the fire!\Gravity wave interferometer has exceeded 30 TeV.\Five more at two o'clock.\Understood. response:	Thanks.
context: Space-time convergence is at 83.\Twelve inbound from ten o'clock.\Understood.\I'm a beetle that's flying into the fire!\Gravity wave interferometer has exceeded 30 TeV.\Five more at two o'clock.\Understood.\Thanks. response:	Massive fleet coming from starboard.
context: Twelve inbound from ten o'clock.\Understood.\I'm a beetle that's flying into the fire!\Gravity wave interferometer has exceeded 30 TeV.\Five more at two o'clock.\Understood.\Thanks.\Massive fleet coming from starboard. response:	Understood.
context: Understood.\I'm a beetle that's flying into the fire!\Gravity wave interferometer has exceeded 30 TeV.\Five more at two o'clock.\Understood.\Thanks.\Massive fleet coming from starboard.\Understood. response:	I shoot them down, but there's no end to them!
context: I'm a beetle that's flying into the fire!\Gravity wave interferometer has exceeded 30 TeV.\Five more at two o'clock.\Understood.\Thanks.\Massive fleet coming from starboard.\Understood.\I shoot them down, but there's no end to them! response:	There's no time to complain.
context: Gravity wave interferometer has exceeded 30 TeV.\Five more at two o'clock.\Understood.\Thanks.\Massive fleet coming from starboard.\Understood.\I shoot them down, but there's no end to them!\There's no time to complain. response:	We're all taking this ship back home.
context: Five more at two o'clock.\Understood.\Thanks.\Massive fleet coming from starboard.\Understood.\I shoot them down, but there's no end to them!\There's no time to complain.\We're all taking this ship back home. response:	Protect it well.
context: Understood.\Thanks.\Massive fleet coming from starboard.\Understood.\I shoot them down, but there's no end to them!\There's no time to complain.\We're all taking this ship back home.\Protect it well. response:	Yes, ma'am.
context: Thanks.\Massive fleet coming from starboard.\Understood.\I shoot them down, but there's no end to them!\There's no time to complain.\We're all taking this ship back home.\Protect it well.\Yes, ma'am. response:	I'm counting on you, Salamandinay.
context: Massive fleet coming from starboard.\Understood.\I shoot them down, but there's no end to them!\There's no time to complain.\We're all taking this ship back home.\Protect it well.\Yes, ma'am.\I'm counting on you, Salamandinay. response:	Such pointless resistance!
context: Understood.\I shoot them down, but there's no end to them!\There's no time to complain.\We're all taking this ship back home.\Protect it well.\Yes, ma'am.\I'm counting on you, Salamandinay.\Such pointless resistance! response:	They can't stop the world from ending.
context: I shoot them down, but there's no end to them!\There's no time to complain.\We're all taking this ship back home.\Protect it well.\Yes, ma'am.\I'm counting on you, Salamandinay.\Such pointless resistance!\They can't stop the world from ending. response:	I'll stop it!
context: There's no time to complain.\We're all taking this ship back home.\Protect it well.\Yes, ma'am.\I'm counting on you, Salamandinay.\Such pointless resistance!\They can't stop the world from ending.\I'll stop it! response:	I made a promise with Ange...
context: We're all taking this ship back home.\Protect it well.\Yes, ma'am.\I'm counting on you, Salamandinay.\Such pointless resistance!\They can't stop the world from ending.\I'll stop it!\I made a promise with Ange... response:	That I'd protect this world!
context: Protect it well.\Yes, ma'am.\I'm counting on you, Salamandinay.\Such pointless resistance!\They can't stop the world from ending.\I'll stop it!\I made a promise with Ange...\That I'd protect this world! response:	What a pitiful man.
context: Yes, ma'am.\I'm counting on you, Salamandinay.\Such pointless resistance!\They can't stop the world from ending.\I'll stop it!\I made a promise with Ange...\That I'd protect this world!\What a pitiful man. response:	Ange is coming with me to the new world!
context: I'm counting on you, Salamandinay.\Such pointless resistance!\They can't stop the world from ending.\I'll stop it!\I made a promise with Ange...\That I'd protect this world!\What a pitiful man.\Ange is coming with me to the new world! response:	Damn you!
context: Such pointless resistance!\They can't stop the world from ending.\I'll stop it!\I made a promise with Ange...\That I'd protect this world!\What a pitiful man.\Ange is coming with me to the new world!\Damn you! response:	Weak.
context: They can't stop the world from ending.\I'll stop it!\I made a promise with Ange...\That I'd protect this world!\What a pitiful man.\Ange is coming with me to the new world!\Damn you!\Weak. response:	You thought you could kill me? Don't make me laugh!
context: I'll stop it!\I made a promise with Ange...\That I'd protect this world!\What a pitiful man.\Ange is coming with me to the new world!\Damn you!\Weak.\You thought you could kill me? Don't make me laugh! response:	Marika's death will be a complete shame, unless I kill you!
context: I made a promise with Ange...\That I'd protect this world!\What a pitiful man.\Ange is coming with me to the new world!\Damn you!\Weak.\You thought you could kill me? Don't make me laugh!\Marika's death will be a complete shame, unless I kill you! response:	It's her fault for getting killed!
context: That I'd protect this world!\What a pitiful man.\Ange is coming with me to the new world!\Damn you!\Weak.\You thought you could kill me? Don't make me laugh!\Marika's death will be a complete shame, unless I kill you!\It's her fault for getting killed! response:	She was used and abused because she was weak.
context: What a pitiful man.\Ange is coming with me to the new world!\Damn you!\Weak.\You thought you could kill me? Don't make me laugh!\Marika's death will be a complete shame, unless I kill you!\It's her fault for getting killed!\She was used and abused because she was weak. response:	So she paid for it!
context: Ange is coming with me to the new world!\Damn you!\Weak.\You thought you could kill me? Don't make me laugh!\Marika's death will be a complete shame, unless I kill you!\It's her fault for getting killed!\She was used and abused because she was weak.\So she paid for it! response:	That's why Embryo-kun made me strong.
context: Damn you!\Weak.\You thought you could kill me? Don't make me laugh!\Marika's death will be a complete shame, unless I kill you!\It's her fault for getting killed!\She was used and abused because she was weak.\So she paid for it!\That's why Embryo-kun made me strong. response:	A Ragna-mail and a knight's crest.
context: Weak.\You thought you could kill me? Don't make me laugh!\Marika's death will be a complete shame, unless I kill you!\It's her fault for getting killed!\She was used and abused because she was weak.\So she paid for it!\That's why Embryo-kun made me strong.\A Ragna-mail and a knight's crest. response:	You think that makes you strong, Salia?
context: You thought you could kill me? Don't make me laugh!\Marika's death will be a complete shame, unless I kill you!\It's her fault for getting killed!\She was used and abused because she was weak.\So she paid for it!\That's why Embryo-kun made me strong.\A Ragna-mail and a knight's crest.\You think that makes you strong, Salia? response:	Embryo-sama gave me everything.
context: Marika's death will be a complete shame, unless I kill you!\It's her fault for getting killed!\She was used and abused because she was weak.\So she paid for it!\That's why Embryo-kun made me strong.\A Ragna-mail and a knight's crest.\You think that makes you strong, Salia?\Embryo-sama gave me everything. response:	Strength. Love. Everything!
context: It's her fault for getting killed!\She was used and abused because she was weak.\So she paid for it!\That's why Embryo-kun made me strong.\A Ragna-mail and a knight's crest.\You think that makes you strong, Salia?\Embryo-sama gave me everything.\Strength. Love. Everything! response:	Love?
context: She was used and abused because she was weak.\So she paid for it!\That's why Embryo-kun made me strong.\A Ragna-mail and a knight's crest.\You think that makes you strong, Salia?\Embryo-sama gave me everything.\Strength. Love. Everything!\Love? response:	He doesn't love anyone.
context: So she paid for it!\That's why Embryo-kun made me strong.\A Ragna-mail and a knight's crest.\You think that makes you strong, Salia?\Embryo-sama gave me everything.\Strength. Love. Everything!\Love?\He doesn't love anyone. response:	He feeds and cares for people...
context: That's why Embryo-kun made me strong.\A Ragna-mail and a knight's crest.\You think that makes you strong, Salia?\Embryo-sama gave me everything.\Strength. Love. Everything!\Love?\He doesn't love anyone.\He feeds and cares for people... response:	So he can use them later.
context: A Ragna-mail and a knight's crest.\You think that makes you strong, Salia?\Embryo-sama gave me everything.\Strength. Love. Everything!\Love?\He doesn't love anyone.\He feeds and cares for people...\So he can use them later. response:	That's how he played me.
context: You think that makes you strong, Salia?\Embryo-sama gave me everything.\Strength. Love. Everything!\Love?\He doesn't love anyone.\He feeds and cares for people...\So he can use them later.\That's how he played me. response:	I lost everything.
context: Embryo-sama gave me everything.\Strength. Love. Everything!\Love?\He doesn't love anyone.\He feeds and cares for people...\So he can use them later.\That's how he played me.\I lost everything. response:	Wake up, Salia.
context: Strength. Love. Everything!\Love?\He doesn't love anyone.\He feeds and cares for people...\So he can use them later.\That's how he played me.\I lost everything.\Wake up, Salia. response:	I told you, I'm not going to believe anything you say.
context: Love?\He doesn't love anyone.\He feeds and cares for people...\So he can use them later.\That's how he played me.\I lost everything.\Wake up, Salia.\I told you, I'm not going to believe anything you say. response:	You're the one who was using me!
context: He doesn't love anyone.\He feeds and cares for people...\So he can use them later.\That's how he played me.\I lost everything.\Wake up, Salia.\I told you, I'm not going to believe anything you say.\You're the one who was using me! response:	Beauty that will never to be tarnished!
context: He feeds and cares for people...\So he can use them later.\That's how he played me.\I lost everything.\Wake up, Salia.\I told you, I'm not going to believe anything you say.\You're the one who was using me!\Beauty that will never to be tarnished! response:	Gallantry like that of a lithe beast!
context: So he can use them later.\That's how he played me.\I lost everything.\Wake up, Salia.\I told you, I'm not going to believe anything you say.\You're the one who was using me!\Beauty that will never to be tarnished!\Gallantry like that of a lithe beast! response:	She is indeed well worth the taming.
context: That's how he played me.\I lost everything.\Wake up, Salia.\I told you, I'm not going to believe anything you say.\You're the one who was using me!\Beauty that will never to be tarnished!\Gallantry like that of a lithe beast!\She is indeed well worth the taming. response:	But you haven't yet seen Ange's wildness...
context: I lost everything.\Wake up, Salia.\I told you, I'm not going to believe anything you say.\You're the one who was using me!\Beauty that will never to be tarnished!\Gallantry like that of a lithe beast!\She is indeed well worth the taming.\But you haven't yet seen Ange's wildness... response:	Clad only in what she was born with.
context: Wake up, Salia.\I told you, I'm not going to believe anything you say.\You're the one who was using me!\Beauty that will never to be tarnished!\Gallantry like that of a lithe beast!\She is indeed well worth the taming.\But you haven't yet seen Ange's wildness...\Clad only in what she was born with. response:	I know.
context: I told you, I'm not going to believe anything you say.\You're the one who was using me!\Beauty that will never to be tarnished!\Gallantry like that of a lithe beast!\She is indeed well worth the taming.\But you haven't yet seen Ange's wildness...\Clad only in what she was born with.\I know. response:	I even know how many moles there are on her inner thigh!
context: You're the one who was using me!\Beauty that will never to be tarnished!\Gallantry like that of a lithe beast!\She is indeed well worth the taming.\But you haven't yet seen Ange's wildness...\Clad only in what she was born with.\I know.\I even know how many moles there are on her inner thigh! response:	You don't know anything about Ange, do you?
context: Beauty that will never to be tarnished!\Gallantry like that of a lithe beast!\She is indeed well worth the taming.\But you haven't yet seen Ange's wildness...\Clad only in what she was born with.\I know.\I even know how many moles there are on her inner thigh!\You don't know anything about Ange, do you? response:	Ange is violent and temperamental,
context: Gallantry like that of a lithe beast!\She is indeed well worth the taming.\But you haven't yet seen Ange's wildness...\Clad only in what she was born with.\I know.\I even know how many moles there are on her inner thigh!\You don't know anything about Ange, do you?\Ange is violent and temperamental, response:	but she smiles and gets angry and cries.
context: She is indeed well worth the taming.\But you haven't yet seen Ange's wildness...\Clad only in what she was born with.\I know.\I even know how many moles there are on her inner thigh!\You don't know anything about Ange, do you?\Ange is violent and temperamental,\but she smiles and gets angry and cries. response:	She's the cutest girl there is.
context: But you haven't yet seen Ange's wildness...\Clad only in what she was born with.\I know.\I even know how many moles there are on her inner thigh!\You don't know anything about Ange, do you?\Ange is violent and temperamental,\but she smiles and gets angry and cries.\She's the cutest girl there is. response:	Tame her?
context: Clad only in what she was born with.\I know.\I even know how many moles there are on her inner thigh!\You don't know anything about Ange, do you?\Ange is violent and temperamental,\but she smiles and gets angry and cries.\She's the cutest girl there is.\Tame her? response:	You're a sad man, aren't you?
context: I know.\I even know how many moles there are on her inner thigh!\You don't know anything about Ange, do you?\Ange is violent and temperamental,\but she smiles and gets angry and cries.\She's the cutest girl there is.\Tame her?\You're a sad man, aren't you? response:	Oh? You've changed, haven't you?
context: I even know how many moles there are on her inner thigh!\You don't know anything about Ange, do you?\Ange is violent and temperamental,\but she smiles and gets angry and cries.\She's the cutest girl there is.\Tame her?\You're a sad man, aren't you?\Oh? You've changed, haven't you? response:	Wait! What have you done to Ange?
context: You don't know anything about Ange, do you?\Ange is violent and temperamental,\but she smiles and gets angry and cries.\She's the cutest girl there is.\Tame her?\You're a sad man, aren't you?\Oh? You've changed, haven't you?\Wait! What have you done to Ange? response:	We did it! We went all the way.
context: Ange is violent and temperamental,\but she smiles and gets angry and cries.\She's the cutest girl there is.\Tame her?\You're a sad man, aren't you?\Oh? You've changed, haven't you?\Wait! What have you done to Ange?\We did it! We went all the way. response:	What?
context: but she smiles and gets angry and cries.\She's the cutest girl there is.\Tame her?\You're a sad man, aren't you?\Oh? You've changed, haven't you?\Wait! What have you done to Ange?\We did it! We went all the way.\What? response:	We touched, kissed, and lay in each other's arms!
context: She's the cutest girl there is.\Tame her?\You're a sad man, aren't you?\Oh? You've changed, haven't you?\Wait! What have you done to Ange?\We did it! We went all the way.\What?\We touched, kissed, and lay in each other's arms! response:	For three days and nights!
context: Tame her?\You're a sad man, aren't you?\Oh? You've changed, haven't you?\Wait! What have you done to Ange?\We did it! We went all the way.\What?\We touched, kissed, and lay in each other's arms!\For three days and nights! response:	You would insult my wife with your asinine lies?
context: You're a sad man, aren't you?\Oh? You've changed, haven't you?\Wait! What have you done to Ange?\We did it! We went all the way.\What?\We touched, kissed, and lay in each other's arms!\For three days and nights!\You would insult my wife with your asinine lies? response:	It's the truth.
context: Oh? You've changed, haven't you?\Wait! What have you done to Ange?\We did it! We went all the way.\What?\We touched, kissed, and lay in each other's arms!\For three days and nights!\You would insult my wife with your asinine lies?\It's the truth. response:	Ange accepted my everything.
context: Wait! What have you done to Ange?\We did it! We went all the way.\What?\We touched, kissed, and lay in each other's arms!\For three days and nights!\You would insult my wife with your asinine lies?\It's the truth.\Ange accepted my everything. response:	With the softest, warmest, deepest part of her!
context: We did it! We went all the way.\What?\We touched, kissed, and lay in each other's arms!\For three days and nights!\You would insult my wife with your asinine lies?\It's the truth.\Ange accepted my everything.\With the softest, warmest, deepest part of her! response:	I'm not afraid of anything anymore!
context: What?\We touched, kissed, and lay in each other's arms!\For three days and nights!\You would insult my wife with your asinine lies?\It's the truth.\Ange accepted my everything.\With the softest, warmest, deepest part of her!\I'm not afraid of anything anymore! response:	How obscene and depraved!
context: We touched, kissed, and lay in each other's arms!\For three days and nights!\You would insult my wife with your asinine lies?\It's the truth.\Ange accepted my everything.\With the softest, warmest, deepest part of her!\I'm not afraid of anything anymore!\How obscene and depraved! response:	I won't forgive you for disgracing my wife!
context: For three days and nights!\You would insult my wife with your asinine lies?\It's the truth.\Ange accepted my everything.\With the softest, warmest, deepest part of her!\I'm not afraid of anything anymore!\How obscene and depraved!\I won't forgive you for disgracing my wife! response:	I'll erase your existence from every universe!
context: You would insult my wife with your asinine lies?\It's the truth.\Ange accepted my everything.\With the softest, warmest, deepest part of her!\I'm not afraid of anything anymore!\How obscene and depraved!\I won't forgive you for disgracing my wife!\I'll erase your existence from every universe! response:	Aura! It's you, isn't it?
context: It's the truth.\Ange accepted my everything.\With the softest, warmest, deepest part of her!\I'm not afraid of anything anymore!\How obscene and depraved!\I won't forgive you for disgracing my wife!\I'll erase your existence from every universe!\Aura! It's you, isn't it? response:	Get out of my way!
context: Ange accepted my everything.\With the softest, warmest, deepest part of her!\I'm not afraid of anything anymore!\How obscene and depraved!\I won't forgive you for disgracing my wife!\I'll erase your existence from every universe!\Aura! It's you, isn't it?\Get out of my way! response:	Particle field down to 17.
context: With the softest, warmest, deepest part of her!\I'm not afraid of anything anymore!\How obscene and depraved!\I won't forgive you for disgracing my wife!\I'll erase your existence from every universe!\Aura! It's you, isn't it?\Get out of my way!\Particle field down to 17. response:	Field has been breached!
context: I'm not afraid of anything anymore!\How obscene and depraved!\I won't forgive you for disgracing my wife!\I'll erase your existence from every universe!\Aura! It's you, isn't it?\Get out of my way!\Particle field down to 17.\Field has been breached! response:	Port impact imminent!
context: How obscene and depraved!\I won't forgive you for disgracing my wife!\I'll erase your existence from every universe!\Aura! It's you, isn't it?\Get out of my way!\Particle field down to 17.\Field has been breached!\Port impact imminent! response:	Status?
context: I won't forgive you for disgracing my wife!\I'll erase your existence from every universe!\Aura! It's you, isn't it?\Get out of my way!\Particle field down to 17.\Field has been breached!\Port impact imminent!\Status? response:	Engine One has stopped.
context: I'll erase your existence from every universe!\Aura! It's you, isn't it?\Get out of my way!\Particle field down to 17.\Field has been breached!\Port impact imminent!\Status?\Engine One has stopped. response:	Aurora is losing altitude.
context: Aura! It's you, isn't it?\Get out of my way!\Particle field down to 17.\Field has been breached!\Port impact imminent!\Status?\Engine One has stopped.\Aurora is losing altitude. response:	Bring it back up!
context: Get out of my way!\Particle field down to 17.\Field has been breached!\Port impact imminent!\Status?\Engine One has stopped.\Aurora is losing altitude.\Bring it back up! response:	I can't, we're descending!
context: Particle field down to 17.\Field has been breached!\Port impact imminent!\Status?\Engine One has stopped.\Aurora is losing altitude.\Bring it back up!\I can't, we're descending! response:	All units, brace for impact!
context: Field has been breached!\Port impact imminent!\Status?\Engine One has stopped.\Aurora is losing altitude.\Bring it back up!\I can't, we're descending!\All units, brace for impact! response:	Damage report.
context: Port impact imminent!\Status?\Engine One has stopped.\Aurora is losing altitude.\Bring it back up!\I can't, we're descending!\All units, brace for impact!\Damage report. response:	Blocks Two, Three, and Seven breached on impact.
context: Status?\Engine One has stopped.\Aurora is losing altitude.\Bring it back up!\I can't, we're descending!\All units, brace for impact!\Damage report.\Blocks Two, Three, and Seven breached on impact. response:	Momoka! Painkillers, please.
context: Engine One has stopped.\Aurora is losing altitude.\Bring it back up!\I can't, we're descending!\All units, brace for impact!\Damage report.\Blocks Two, Three, and Seven breached on impact.\Momoka! Painkillers, please. response:	Okay.
context: Aurora is losing altitude.\Bring it back up!\I can't, we're descending!\All units, brace for impact!\Damage report.\Blocks Two, Three, and Seven breached on impact.\Momoka! Painkillers, please.\Okay. response:	The particle field is gone!
context: Bring it back up!\I can't, we're descending!\All units, brace for impact!\Damage report.\Blocks Two, Three, and Seven breached on impact.\Momoka! Painkillers, please.\Okay.\The particle field is gone! response:	Anti-air guns aren't responding.
context: I can't, we're descending!\All units, brace for impact!\Damage report.\Blocks Two, Three, and Seven breached on impact.\Momoka! Painkillers, please.\Okay.\The particle field is gone!\Anti-air guns aren't responding. response:	Dammit! We're sitting ducks.
context: All units, brace for impact!\Damage report.\Blocks Two, Three, and Seven breached on impact.\Momoka! Painkillers, please.\Okay.\The particle field is gone!\Anti-air guns aren't responding.\Dammit! We're sitting ducks. response:	Mei, can you fix it?
context: Damage report.\Blocks Two, Three, and Seven breached on impact.\Momoka! Painkillers, please.\Okay.\The particle field is gone!\Anti-air guns aren't responding.\Dammit! We're sitting ducks.\Mei, can you fix it? response:	On it. I'll clean it up within twenty minutes.
context: Blocks Two, Three, and Seven breached on impact.\Momoka! Painkillers, please.\Okay.\The particle field is gone!\Anti-air guns aren't responding.\Dammit! We're sitting ducks.\Mei, can you fix it?\On it. I'll clean it up within twenty minutes. response:	I'm counting on you.
context: Momoka! Painkillers, please.\Okay.\The particle field is gone!\Anti-air guns aren't responding.\Dammit! We're sitting ducks.\Mei, can you fix it?\On it. I'll clean it up within twenty minutes.\I'm counting on you. response:	No.
context: Okay.\The particle field is gone!\Anti-air guns aren't responding.\Dammit! We're sitting ducks.\Mei, can you fix it?\On it. I'll clean it up within twenty minutes.\I'm counting on you.\No. response:	Mary, your twelve!
context: The particle field is gone!\Anti-air guns aren't responding.\Dammit! We're sitting ducks.\Mei, can you fix it?\On it. I'll clean it up within twenty minutes.\I'm counting on you.\No.\Mary, your twelve! response:	Did we make it?
context: Anti-air guns aren't responding.\Dammit! We're sitting ducks.\Mei, can you fix it?\On it. I'll clean it up within twenty minutes.\I'm counting on you.\No.\Mary, your twelve!\Did we make it? response:	Ersha!
context: Dammit! We're sitting ducks.\Mei, can you fix it?\On it. I'll clean it up within twenty minutes.\I'm counting on you.\No.\Mary, your twelve!\Did we make it?\Ersha! response:	Why are you taking so much time on these toys?
context: Mei, can you fix it?\On it. I'll clean it up within twenty minutes.\I'm counting on you.\No.\Mary, your twelve!\Did we make it?\Ersha!\Why are you taking so much time on these toys? response:	You're late, Ange.
context: On it. I'll clean it up within twenty minutes.\I'm counting on you.\No.\Mary, your twelve!\Did we make it?\Ersha!\Why are you taking so much time on these toys?\You're late, Ange. response:	Huh?
context: I'm counting on you.\No.\Mary, your twelve!\Did we make it?\Ersha!\Why are you taking so much time on these toys?\You're late, Ange.\Huh? response:	I'll let you take care of the toys.
context: No.\Mary, your twelve!\Did we make it?\Ersha!\Why are you taking so much time on these toys?\You're late, Ange.\Huh?\I'll let you take care of the toys. response:	Wait, you're going to fire that?
context: Mary, your twelve!\Did we make it?\Ersha!\Why are you taking so much time on these toys?\You're late, Ange.\Huh?\I'll let you take care of the toys.\Wait, you're going to fire that? response:	It's the only way we can save Aura.
context: Did we make it?\Ersha!\Why are you taking so much time on these toys?\You're late, Ange.\Huh?\I'll let you take care of the toys.\Wait, you're going to fire that?\It's the only way we can save Aura. response:	Won't it blow Aura away, too?
context: Ersha!\Why are you taking so much time on these toys?\You're late, Ange.\Huh?\I'll let you take care of the toys.\Wait, you're going to fire that?\It's the only way we can save Aura.\Won't it blow Aura away, too? response:	I'll fire at 70 power. Don't worry.
context: Why are you taking so much time on these toys?\You're late, Ange.\Huh?\I'll let you take care of the toys.\Wait, you're going to fire that?\It's the only way we can save Aura.\Won't it blow Aura away, too?\I'll fire at 70 power. Don't worry. response:	Then do it!
context: You're late, Ange.\Huh?\I'll let you take care of the toys.\Wait, you're going to fire that?\It's the only way we can save Aura.\Won't it blow Aura away, too?\I'll fire at 70 power. Don't worry.\Then do it! response:	The wind flies, El Ragna, making promises with destiny.
context: Huh?\I'll let you take care of the toys.\Wait, you're going to fire that?\It's the only way we can save Aura.\Won't it blow Aura away, too?\I'll fire at 70 power. Don't worry.\Then do it!\The wind flies, El Ragna, making promises with destiny. response:	The wind goes, El Ragna, with roaring wings.
context: I'll let you take care of the toys.\Wait, you're going to fire that?\It's the only way we can save Aura.\Won't it blow Aura away, too?\I'll fire at 70 power. Don't worry.\Then do it!\The wind flies, El Ragna, making promises with destiny.\The wind goes, El Ragna, with roaring wings. response:	Space-time Convergence Cannon
context: Wait, you're going to fire that?\It's the only way we can save Aura.\Won't it blow Aura away, too?\I'll fire at 70 power. Don't worry.\Then do it!\The wind flies, El Ragna, making promises with destiny.\The wind goes, El Ragna, with roaring wings.\Space-time Convergence Cannon response:	This song...
context: It's the only way we can save Aura.\Won't it blow Aura away, too?\I'll fire at 70 power. Don't worry.\Then do it!\The wind flies, El Ragna, making promises with destiny.\The wind goes, El Ragna, with roaring wings.\Space-time Convergence Cannon\This song... response:	It's Salamandinay-san.
