context: That bastard! Where the hell did he go? response:	If I go into the alley, I'll only get cornered.
context: I see.\Well, you don't have to tell me if you don't want to.\But if you're planning to head back, I'd wait a little longer if I were you.\With Rotlicht being kind of on edge, and all.\It is?\Since there's a Festa underway right now...\The police have been cracking down way harder than usual.\So the mafia running Rotlicht are acting pretty paranoid. response:	I see...
context: Well, you don't have to tell me if you don't want to.\But if you're planning to head back, I'd wait a little longer if I were you.\With Rotlicht being kind of on edge, and all.\It is?\Since there's a Festa underway right now...\The police have been cracking down way harder than usual.\So the mafia running Rotlicht are acting pretty paranoid.\I see... response:	If that's the case, maybe I should look elsewhere.
context: But if you're planning to head back, I'd wait a little longer if I were you.\With Rotlicht being kind of on edge, and all.\It is?\Since there's a Festa underway right now...\The police have been cracking down way harder than usual.\So the mafia running Rotlicht are acting pretty paranoid.\I see...\If that's the case, maybe I should look elsewhere. response:	Thanks for everything!
context: With Rotlicht being kind of on edge, and all.\It is?\Since there's a Festa underway right now...\The police have been cracking down way harder than usual.\So the mafia running Rotlicht are acting pretty paranoid.\I see...\If that's the case, maybe I should look elsewhere.\Thanks for everything! response:	I'd like to thank you properly if I could,
context: It is?\Since there's a Festa underway right now...\The police have been cracking down way harder than usual.\So the mafia running Rotlicht are acting pretty paranoid.\I see...\If that's the case, maybe I should look elsewhere.\Thanks for everything!\I'd like to thank you properly if I could, response:	but I just don't have the time right now.
context: Since there's a Festa underway right now...\The police have been cracking down way harder than usual.\So the mafia running Rotlicht are acting pretty paranoid.\I see...\If that's the case, maybe I should look elsewhere.\Thanks for everything!\I'd like to thank you properly if I could,\but I just don't have the time right now. response:	It's all right, it's all right. Don't worry about it...
context: The police have been cracking down way harder than usual.\So the mafia running Rotlicht are acting pretty paranoid.\I see...\If that's the case, maybe I should look elsewhere.\Thanks for everything!\I'd like to thank you properly if I could,\but I just don't have the time right now.\It's all right, it's all right. Don't worry about it... response:	Ayato Amagiri.
context: So the mafia running Rotlicht are acting pretty paranoid.\I see...\If that's the case, maybe I should look elsewhere.\Thanks for everything!\I'd like to thank you properly if I could,\but I just don't have the time right now.\It's all right, it's all right. Don't worry about it...\Ayato Amagiri. response:	Look at those speedy reflexes!
context: I see...\If that's the case, maybe I should look elsewhere.\Thanks for everything!\I'd like to thank you properly if I could,\but I just don't have the time right now.\It's all right, it's all right. Don't worry about it...\Ayato Amagiri.\Look at those speedy reflexes! response:	No wonder you're a Phoenix Festa finalist.
context: If that's the case, maybe I should look elsewhere.\Thanks for everything!\I'd like to thank you properly if I could,\but I just don't have the time right now.\It's all right, it's all right. Don't worry about it...\Ayato Amagiri.\Look at those speedy reflexes!\No wonder you're a Phoenix Festa finalist. response:	But you know, I'm a little devastated that you'd be so wary of me.
context: Thanks for everything!\I'd like to thank you properly if I could,\but I just don't have the time right now.\It's all right, it's all right. Don't worry about it...\Ayato Amagiri.\Look at those speedy reflexes!\No wonder you're a Phoenix Festa finalist.\But you know, I'm a little devastated that you'd be so wary of me. response:	How did you know my name?
context: I'd like to thank you properly if I could,\but I just don't have the time right now.\It's all right, it's all right. Don't worry about it...\Ayato Amagiri.\Look at those speedy reflexes!\No wonder you're a Phoenix Festa finalist.\But you know, I'm a little devastated that you'd be so wary of me.\How did you know my name? response:	Well, aside from the fact that you're already a celebrity...
context: but I just don't have the time right now.\It's all right, it's all right. Don't worry about it...\Ayato Amagiri.\Look at those speedy reflexes!\No wonder you're a Phoenix Festa finalist.\But you know, I'm a little devastated that you'd be so wary of me.\How did you know my name?\Well, aside from the fact that you're already a celebrity... response:	I think you should work on your disguise more.
context: It's all right, it's all right. Don't worry about it...\Ayato Amagiri.\Look at those speedy reflexes!\No wonder you're a Phoenix Festa finalist.\But you know, I'm a little devastated that you'd be so wary of me.\How did you know my name?\Well, aside from the fact that you're already a celebrity...\I think you should work on your disguise more. response:	It's totally obvious that it's you.
context: Ayato Amagiri.\Look at those speedy reflexes!\No wonder you're a Phoenix Festa finalist.\But you know, I'm a little devastated that you'd be so wary of me.\How did you know my name?\Well, aside from the fact that you're already a celebrity...\I think you should work on your disguise more.\It's totally obvious that it's you. response:	Y-You think so?
context: Look at those speedy reflexes!\No wonder you're a Phoenix Festa finalist.\But you know, I'm a little devastated that you'd be so wary of me.\How did you know my name?\Well, aside from the fact that you're already a celebrity...\I think you should work on your disguise more.\It's totally obvious that it's you.\Y-You think so? response:	But it's not like I helped you because you're famous.
context: No wonder you're a Phoenix Festa finalist.\But you know, I'm a little devastated that you'd be so wary of me.\How did you know my name?\Well, aside from the fact that you're already a celebrity...\I think you should work on your disguise more.\It's totally obvious that it's you.\Y-You think so?\But it's not like I helped you because you're famous. response:	But then why would you...
context: But you know, I'm a little devastated that you'd be so wary of me.\How did you know my name?\Well, aside from the fact that you're already a celebrity...\I think you should work on your disguise more.\It's totally obvious that it's you.\Y-You think so?\But it's not like I helped you because you're famous.\But then why would you... response:	Who wouldn't help someone in their time of need?
context: How did you know my name?\Well, aside from the fact that you're already a celebrity...\I think you should work on your disguise more.\It's totally obvious that it's you.\Y-You think so?\But it's not like I helped you because you're famous.\But then why would you...\Who wouldn't help someone in their time of need? response:	And besides, you didn't strike me as a villain.
context: Well, aside from the fact that you're already a celebrity...\I think you should work on your disguise more.\It's totally obvious that it's you.\Y-You think so?\But it's not like I helped you because you're famous.\But then why would you...\Who wouldn't help someone in their time of need?\And besides, you didn't strike me as a villain. response:	Sorry. After you saved me...
context: I think you should work on your disguise more.\It's totally obvious that it's you.\Y-You think so?\But it's not like I helped you because you're famous.\But then why would you...\Who wouldn't help someone in their time of need?\And besides, you didn't strike me as a villain.\Sorry. After you saved me... response:	You really are a nice guy, aren't you? Right, it's not like I
context: It's totally obvious that it's you.\Y-You think so?\But it's not like I helped you because you're famous.\But then why would you...\Who wouldn't help someone in their time of need?\And besides, you didn't strike me as a villain.\Sorry. After you saved me...\You really are a nice guy, aren't you? Right, it's not like I response:	For crying out loud...
context: Y-You think so?\But it's not like I helped you because you're famous.\But then why would you...\Who wouldn't help someone in their time of need?\And besides, you didn't strike me as a villain.\Sorry. After you saved me...\You really are a nice guy, aren't you? Right, it's not like I\For crying out loud... response:	How about giving your pursuers a break?
context: But it's not like I helped you because you're famous.\But then why would you...\Who wouldn't help someone in their time of need?\And besides, you didn't strike me as a villain.\Sorry. After you saved me...\You really are a nice guy, aren't you? Right, it's not like I\For crying out loud...\How about giving your pursuers a break? response:	So, was it you?
context: But then why would you...\Who wouldn't help someone in their time of need?\And besides, you didn't strike me as a villain.\Sorry. After you saved me...\You really are a nice guy, aren't you? Right, it's not like I\For crying out loud...\How about giving your pursuers a break?\So, was it you? response:	The bastard who's been looking for somebody?
context: Who wouldn't help someone in their time of need?\And besides, you didn't strike me as a villain.\Sorry. After you saved me...\You really are a nice guy, aren't you? Right, it's not like I\For crying out loud...\How about giving your pursuers a break?\So, was it you?\The bastard who's been looking for somebody? response:	My guys would be interested to hear about that.
context: And besides, you didn't strike me as a villain.\Sorry. After you saved me...\You really are a nice guy, aren't you? Right, it's not like I\For crying out loud...\How about giving your pursuers a break?\So, was it you?\The bastard who's been looking for somebody?\My guys would be interested to hear about that. response:	You're coming with me now.
context: Sorry. After you saved me...\You really are a nice guy, aren't you? Right, it's not like I\For crying out loud...\How about giving your pursuers a break?\So, was it you?\The bastard who's been looking for somebody?\My guys would be interested to hear about that.\You're coming with me now. response:	Well, whoops!
context: You really are a nice guy, aren't you? Right, it's not like I\For crying out loud...\How about giving your pursuers a break?\So, was it you?\The bastard who's been looking for somebody?\My guys would be interested to hear about that.\You're coming with me now.\Well, whoops! response:	Who knew you'd actually chase him all the way here?
context: For crying out loud...\How about giving your pursuers a break?\So, was it you?\The bastard who's been looking for somebody?\My guys would be interested to hear about that.\You're coming with me now.\Well, whoops!\Who knew you'd actually chase him all the way here? response:	What the hell? There's a woman here, too!
context: How about giving your pursuers a break?\So, was it you?\The bastard who's been looking for somebody?\My guys would be interested to hear about that.\You're coming with me now.\Well, whoops!\Who knew you'd actually chase him all the way here?\What the hell? There's a woman here, too! response:	Talk about happy accidents!
context: So, was it you?\The bastard who's been looking for somebody?\My guys would be interested to hear about that.\You're coming with me now.\Well, whoops!\Who knew you'd actually chase him all the way here?\What the hell? There's a woman here, too!\Talk about happy accidents! response:	I mean, that really motivates me!
context: The bastard who's been looking for somebody?\My guys would be interested to hear about that.\You're coming with me now.\Well, whoops!\Who knew you'd actually chase him all the way here?\What the hell? There's a woman here, too!\Talk about happy accidents!\I mean, that really motivates me! response:	Feel free to resist to your heart's content.
context: My guys would be interested to hear about that.\You're coming with me now.\Well, whoops!\Who knew you'd actually chase him all the way here?\What the hell? There's a woman here, too!\Talk about happy accidents!\I mean, that really motivates me!\Feel free to resist to your heart's content. response:	Otherwise, it would be such a bore!
context: You're coming with me now.\Well, whoops!\Who knew you'd actually chase him all the way here?\What the hell? There's a woman here, too!\Talk about happy accidents!\I mean, that really motivates me!\Feel free to resist to your heart's content.\Otherwise, it would be such a bore! response:	Hold up a second! This girl has nothing to do with this!
context: Well, whoops!\Who knew you'd actually chase him all the way here?\What the hell? There's a woman here, too!\Talk about happy accidents!\I mean, that really motivates me!\Feel free to resist to your heart's content.\Otherwise, it would be such a bore!\Hold up a second! This girl has nothing to do with this! response:	You're probably wasting your breath.
context: Who knew you'd actually chase him all the way here?\What the hell? There's a woman here, too!\Talk about happy accidents!\I mean, that really motivates me!\Feel free to resist to your heart's content.\Otherwise, it would be such a bore!\Hold up a second! This girl has nothing to do with this!\You're probably wasting your breath. response:	I mean, he's the type who puts his own hobbies over his work.
context: What the hell? There's a woman here, too!\Talk about happy accidents!\I mean, that really motivates me!\Feel free to resist to your heart's content.\Otherwise, it would be such a bore!\Hold up a second! This girl has nothing to do with this!\You're probably wasting your breath.\I mean, he's the type who puts his own hobbies over his work. response:	Right?
context: Talk about happy accidents!\I mean, that really motivates me!\Feel free to resist to your heart's content.\Otherwise, it would be such a bore!\Hold up a second! This girl has nothing to do with this!\You're probably wasting your breath.\I mean, he's the type who puts his own hobbies over his work.\Right? response:	Former Jie Long Seventh Institute Rank 7, Nguyen of the Twin Snakes?
context: I mean, that really motivates me!\Feel free to resist to your heart's content.\Otherwise, it would be such a bore!\Hold up a second! This girl has nothing to do with this!\You're probably wasting your breath.\I mean, he's the type who puts his own hobbies over his work.\Right?\Former Jie Long Seventh Institute Rank 7, Nguyen of the Twin Snakes? response:	So you know about me?
context: Feel free to resist to your heart's content.\Otherwise, it would be such a bore!\Hold up a second! This girl has nothing to do with this!\You're probably wasting your breath.\I mean, he's the type who puts his own hobbies over his work.\Right?\Former Jie Long Seventh Institute Rank 7, Nguyen of the Twin Snakes?\So you know about me? response:	Well, how awesome is that?
context: Otherwise, it would be such a bore!\Hold up a second! This girl has nothing to do with this!\You're probably wasting your breath.\I mean, he's the type who puts his own hobbies over his work.\Right?\Former Jie Long Seventh Institute Rank 7, Nguyen of the Twin Snakes?\So you know about me?\Well, how awesome is that? response:	I never thought that a Lindwurs Festa semifinalist would be reduced
context: Hold up a second! This girl has nothing to do with this!\You're probably wasting your breath.\I mean, he's the type who puts his own hobbies over his work.\Right?\Former Jie Long Seventh Institute Rank 7, Nguyen of the Twin Snakes?\So you know about me?\Well, how awesome is that?\I never thought that a Lindwurs Festa semifinalist would be reduced response:	to serving as a runner for the mafia!
context: You're probably wasting your breath.\I mean, he's the type who puts his own hobbies over his work.\Right?\Former Jie Long Seventh Institute Rank 7, Nguyen of the Twin Snakes?\So you know about me?\Well, how awesome is that?\I never thought that a Lindwurs Festa semifinalist would be reduced\to serving as a runner for the mafia! response:	Yeah...
context: I mean, he's the type who puts his own hobbies over his work.\Right?\Former Jie Long Seventh Institute Rank 7, Nguyen of the Twin Snakes?\So you know about me?\Well, how awesome is that?\I never thought that a Lindwurs Festa semifinalist would be reduced\to serving as a runner for the mafia!\Yeah... response:	That was a long time ago.
context: Right?\Former Jie Long Seventh Institute Rank 7, Nguyen of the Twin Snakes?\So you know about me?\Well, how awesome is that?\I never thought that a Lindwurs Festa semifinalist would be reduced\to serving as a runner for the mafia!\Yeah...\That was a long time ago. response:	H-Hey!
context: Former Jie Long Seventh Institute Rank 7, Nguyen of the Twin Snakes?\So you know about me?\Well, how awesome is that?\I never thought that a Lindwurs Festa semifinalist would be reduced\to serving as a runner for the mafia!\Yeah...\That was a long time ago.\H-Hey! response:	Knock it off!
context: So you know about me?\Well, how awesome is that?\I never thought that a Lindwurs Festa semifinalist would be reduced\to serving as a runner for the mafia!\Yeah...\That was a long time ago.\H-Hey!\Knock it off! response:	Outta my way!
context: Well, how awesome is that?\I never thought that a Lindwurs Festa semifinalist would be reduced\to serving as a runner for the mafia!\Yeah...\That was a long time ago.\H-Hey!\Knock it off!\Outta my way! response:	Look out!
context: I never thought that a Lindwurs Festa semifinalist would be reduced\to serving as a runner for the mafia!\Yeah...\That was a long time ago.\H-Hey!\Knock it off!\Outta my way!\Look out! response:	Is that the best you can do?
context: to serving as a runner for the mafia!\Yeah...\That was a long time ago.\H-Hey!\Knock it off!\Outta my way!\Look out!\Is that the best you can do? response:	Not bad, little girl!
context: Yeah...\That was a long time ago.\H-Hey!\Knock it off!\Outta my way!\Look out!\Is that the best you can do?\Not bad, little girl! response:	In that case, I'm gonna go for broke!
context: That was a long time ago.\H-Hey!\Knock it off!\Outta my way!\Look out!\Is that the best you can do?\Not bad, little girl!\In that case, I'm gonna go for broke! response:	No...
context: H-Hey!\Knock it off!\Outta my way!\Look out!\Is that the best you can do?\Not bad, little girl!\In that case, I'm gonna go for broke!\No... response:	I've had enough.
context: Knock it off!\Outta my way!\Look out!\Is that the best you can do?\Not bad, little girl!\In that case, I'm gonna go for broke!\No...\I've had enough. response:	If you were still in your prime,
context: Outta my way!\Look out!\Is that the best you can do?\Not bad, little girl!\In that case, I'm gonna go for broke!\No...\I've had enough.\If you were still in your prime, response:	this wouldn't have gone so smoothly.
context: Look out!\Is that the best you can do?\Not bad, little girl!\In that case, I'm gonna go for broke!\No...\I've had enough.\If you were still in your prime,\this wouldn't have gone so smoothly. response:	All right... By the way, are you looking for someone?
context: Is that the best you can do?\Not bad, little girl!\In that case, I'm gonna go for broke!\No...\I've had enough.\If you were still in your prime,\this wouldn't have gone so smoothly.\All right... By the way, are you looking for someone? response:	Well, that's what I heard that guy mention just now.
context: Not bad, little girl!\In that case, I'm gonna go for broke!\No...\I've had enough.\If you were still in your prime,\this wouldn't have gone so smoothly.\All right... By the way, are you looking for someone?\Well, that's what I heard that guy mention just now. response:	Well, yeah.
context: In that case, I'm gonna go for broke!\No...\I've had enough.\If you were still in your prime,\this wouldn't have gone so smoothly.\All right... By the way, are you looking for someone?\Well, that's what I heard that guy mention just now.\Well, yeah. response:	I just might be able to help you out with that... What do you say?
context: No...\I've had enough.\If you were still in your prime,\this wouldn't have gone so smoothly.\All right... By the way, are you looking for someone?\Well, that's what I heard that guy mention just now.\Well, yeah.\I just might be able to help you out with that... What do you say? response:	Help me out? You?
context: I've had enough.\If you were still in your prime,\this wouldn't have gone so smoothly.\All right... By the way, are you looking for someone?\Well, that's what I heard that guy mention just now.\Well, yeah.\I just might be able to help you out with that... What do you say?\Help me out? You? response:	Yes. But first...
context: If you were still in your prime,\this wouldn't have gone so smoothly.\All right... By the way, are you looking for someone?\Well, that's what I heard that guy mention just now.\Well, yeah.\I just might be able to help you out with that... What do you say?\Help me out? You?\Yes. But first... response:	Why don't we go somewhere else?
context: this wouldn't have gone so smoothly.\All right... By the way, are you looking for someone?\Well, that's what I heard that guy mention just now.\Well, yeah.\I just might be able to help you out with that... What do you say?\Help me out? You?\Yes. But first...\Why don't we go somewhere else? response:	Okay, here we are!
context: All right... By the way, are you looking for someone?\Well, that's what I heard that guy mention just now.\Well, yeah.\I just might be able to help you out with that... What do you say?\Help me out? You?\Yes. But first...\Why don't we go somewhere else?\Okay, here we are! response:	Sorry to take up your time when you seem to be in a hurry.
context: Well, that's what I heard that guy mention just now.\Well, yeah.\I just might be able to help you out with that... What do you say?\Help me out? You?\Yes. But first...\Why don't we go somewhere else?\Okay, here we are!\Sorry to take up your time when you seem to be in a hurry. response:	No, I'm the one who should be sorry for dragging you into this.
context: Well, yeah.\I just might be able to help you out with that... What do you say?\Help me out? You?\Yes. But first...\Why don't we go somewhere else?\Okay, here we are!\Sorry to take up your time when you seem to be in a hurry.\No, I'm the one who should be sorry for dragging you into this. response:	I see. I think I might be starting to figure you out.
context: I just might be able to help you out with that... What do you say?\Help me out? You?\Yes. But first...\Why don't we go somewhere else?\Okay, here we are!\Sorry to take up your time when you seem to be in a hurry.\No, I'm the one who should be sorry for dragging you into this.\I see. I think I might be starting to figure you out. response:	Figure me out?
context: Help me out? You?\Yes. But first...\Why don't we go somewhere else?\Okay, here we are!\Sorry to take up your time when you seem to be in a hurry.\No, I'm the one who should be sorry for dragging you into this.\I see. I think I might be starting to figure you out.\Figure me out? response:	Even when you're in trouble yourself,
context: Yes. But first...\Why don't we go somewhere else?\Okay, here we are!\Sorry to take up your time when you seem to be in a hurry.\No, I'm the one who should be sorry for dragging you into this.\I see. I think I might be starting to figure you out.\Figure me out?\Even when you're in trouble yourself, response:	you're a kind-hearted person who can be considerate to others.
context: Why don't we go somewhere else?\Okay, here we are!\Sorry to take up your time when you seem to be in a hurry.\No, I'm the one who should be sorry for dragging you into this.\I see. I think I might be starting to figure you out.\Figure me out?\Even when you're in trouble yourself,\you're a kind-hearted person who can be considerate to others. response:	But you also try to carry the load by yourself,
context: Okay, here we are!\Sorry to take up your time when you seem to be in a hurry.\No, I'm the one who should be sorry for dragging you into this.\I see. I think I might be starting to figure you out.\Figure me out?\Even when you're in trouble yourself,\you're a kind-hearted person who can be considerate to others.\But you also try to carry the load by yourself, response:	and you can't bring yourself to rely on others.
context: Sorry to take up your time when you seem to be in a hurry.\No, I'm the one who should be sorry for dragging you into this.\I see. I think I might be starting to figure you out.\Figure me out?\Even when you're in trouble yourself,\you're a kind-hearted person who can be considerate to others.\But you also try to carry the load by yourself,\and you can't bring yourself to rely on others. response:	But during your semifinal match yesterday,
context: No, I'm the one who should be sorry for dragging you into this.\I see. I think I might be starting to figure you out.\Figure me out?\Even when you're in trouble yourself,\you're a kind-hearted person who can be considerate to others.\But you also try to carry the load by yourself,\and you can't bring yourself to rely on others.\But during your semifinal match yesterday, response:	you did lean on Riessfeld, didn't you?
context: I see. I think I might be starting to figure you out.\Figure me out?\Even when you're in trouble yourself,\you're a kind-hearted person who can be considerate to others.\But you also try to carry the load by yourself,\and you can't bring yourself to rely on others.\But during your semifinal match yesterday,\you did lean on Riessfeld, didn't you? response:	You two really looked like a team out there.
context: Figure me out?\Even when you're in trouble yourself,\you're a kind-hearted person who can be considerate to others.\But you also try to carry the load by yourself,\and you can't bring yourself to rely on others.\But during your semifinal match yesterday,\you did lean on Riessfeld, didn't you?\You two really looked like a team out there. response:	You're pretty perceptive, huh?
context: Even when you're in trouble yourself,\you're a kind-hearted person who can be considerate to others.\But you also try to carry the load by yourself,\and you can't bring yourself to rely on others.\But during your semifinal match yesterday,\you did lean on Riessfeld, didn't you?\You two really looked like a team out there.\You're pretty perceptive, huh? response:	Well, yes.
context: you're a kind-hearted person who can be considerate to others.\But you also try to carry the load by yourself,\and you can't bring yourself to rely on others.\But during your semifinal match yesterday,\you did lean on Riessfeld, didn't you?\You two really looked like a team out there.\You're pretty perceptive, huh?\Well, yes. response:	All right, then, can you tell me what kind of person you're looking for?
context: But you also try to carry the load by yourself,\and you can't bring yourself to rely on others.\But during your semifinal match yesterday,\you did lean on Riessfeld, didn't you?\You two really looked like a team out there.\You're pretty perceptive, huh?\Well, yes.\All right, then, can you tell me what kind of person you're looking for? response:	Oh, but
context: and you can't bring yourself to rely on others.\But during your semifinal match yesterday,\you did lean on Riessfeld, didn't you?\You two really looked like a team out there.\You're pretty perceptive, huh?\Well, yes.\All right, then, can you tell me what kind of person you're looking for?\Oh, but response:	Don't worry.
context: But during your semifinal match yesterday,\you did lean on Riessfeld, didn't you?\You two really looked like a team out there.\You're pretty perceptive, huh?\Well, yes.\All right, then, can you tell me what kind of person you're looking for?\Oh, but\Don't worry. response:	It's not like I'm going to tag along.
context: you did lean on Riessfeld, didn't you?\You two really looked like a team out there.\You're pretty perceptive, huh?\Well, yes.\All right, then, can you tell me what kind of person you're looking for?\Oh, but\Don't worry.\It's not like I'm going to tag along. response:	The point is, you just need the location of this person you're looking for, right?
context: You two really looked like a team out there.\You're pretty perceptive, huh?\Well, yes.\All right, then, can you tell me what kind of person you're looking for?\Oh, but\Don't worry.\It's not like I'm going to tag along.\The point is, you just need the location of this person you're looking for, right? response:	Don't tell me...
context: You're pretty perceptive, huh?\Well, yes.\All right, then, can you tell me what kind of person you're looking for?\Oh, but\Don't worry.\It's not like I'm going to tag along.\The point is, you just need the location of this person you're looking for, right?\Don't tell me... response:	you're a Detection-type Strega?
