context: Wow! response:	It feels so good!
context: Huh?\Sorry, I'm not getting a very good signal.\Were you satisfied?\No!\Please call him back!\Hey, please calm down.\Seances take a lot of concentration.\By the way, where is your father from? response:	New Jersey in America.
context: Sorry, I'm not getting a very good signal.\Were you satisfied?\No!\Please call him back!\Hey, please calm down.\Seances take a lot of concentration.\By the way, where is your father from?\New Jersey in America. response:	All foreign languages will be auto-translated into Japanese.
context: Were you satisfied?\No!\Please call him back!\Hey, please calm down.\Seances take a lot of concentration.\By the way, where is your father from?\New Jersey in America.\All foreign languages will be auto-translated into Japanese. response:	This is an advanced technique that does something-or-other
context: No!\Please call him back!\Hey, please calm down.\Seances take a lot of concentration.\By the way, where is your father from?\New Jersey in America.\All foreign languages will be auto-translated into Japanese.\This is an advanced technique that does something-or-other response:	to the wavelength of the spirit's languages,
context: Please call him back!\Hey, please calm down.\Seances take a lot of concentration.\By the way, where is your father from?\New Jersey in America.\All foreign languages will be auto-translated into Japanese.\This is an advanced technique that does something-or-other\to the wavelength of the spirit's languages, response:	but there will not be an additional fee.
context: Hey, please calm down.\Seances take a lot of concentration.\By the way, where is your father from?\New Jersey in America.\All foreign languages will be auto-translated into Japanese.\This is an advanced technique that does something-or-other\to the wavelength of the spirit's languages,\but there will not be an additional fee. response:	That's amazing! But I'm okay with English.
context: Seances take a lot of concentration.\By the way, where is your father from?\New Jersey in America.\All foreign languages will be auto-translated into Japanese.\This is an advanced technique that does something-or-other\to the wavelength of the spirit's languages,\but there will not be an additional fee.\That's amazing! But I'm okay with English. response:	Now, then...
context: By the way, where is your father from?\New Jersey in America.\All foreign languages will be auto-translated into Japanese.\This is an advanced technique that does something-or-other\to the wavelength of the spirit's languages,\but there will not be an additional fee.\That's amazing! But I'm okay with English.\Now, then... response:	Oh, Hitoshi! How have you been?
context: New Jersey in America.\All foreign languages will be auto-translated into Japanese.\This is an advanced technique that does something-or-other\to the wavelength of the spirit's languages,\but there will not be an additional fee.\That's amazing! But I'm okay with English.\Now, then...\Oh, Hitoshi! How have you been? response:	It's Japanese... Well, whatever. Dad, do you remember?
context: All foreign languages will be auto-translated into Japanese.\This is an advanced technique that does something-or-other\to the wavelength of the spirit's languages,\but there will not be an additional fee.\That's amazing! But I'm okay with English.\Now, then...\Oh, Hitoshi! How have you been?\It's Japanese... Well, whatever. Dad, do you remember? response:	Remember how we used to play ball when I was a kid?
context: This is an advanced technique that does something-or-other\to the wavelength of the spirit's languages,\but there will not be an additional fee.\That's amazing! But I'm okay with English.\Now, then...\Oh, Hitoshi! How have you been?\It's Japanese... Well, whatever. Dad, do you remember?\Remember how we used to play ball when I was a kid? response:	And we did that one thing that was popular on TV back then?
context: to the wavelength of the spirit's languages,\but there will not be an additional fee.\That's amazing! But I'm okay with English.\Now, then...\Oh, Hitoshi! How have you been?\It's Japanese... Well, whatever. Dad, do you remember?\Remember how we used to play ball when I was a kid?\And we did that one thing that was popular on TV back then? response:	Show it to me one more time!
context: but there will not be an additional fee.\That's amazing! But I'm okay with English.\Now, then...\Oh, Hitoshi! How have you been?\It's Japanese... Well, whatever. Dad, do you remember?\Remember how we used to play ball when I was a kid?\And we did that one thing that was popular on TV back then?\Show it to me one more time! response:	Dad?
context: That's amazing! But I'm okay with English.\Now, then...\Oh, Hitoshi! How have you been?\It's Japanese... Well, whatever. Dad, do you remember?\Remember how we used to play ball when I was a kid?\And we did that one thing that was popular on TV back then?\Show it to me one more time!\Dad? response:	Huh? What was that...
context: Now, then...\Oh, Hitoshi! How have you been?\It's Japanese... Well, whatever. Dad, do you remember?\Remember how we used to play ball when I was a kid?\And we did that one thing that was popular on TV back then?\Show it to me one more time!\Dad?\Huh? What was that... response:	Cheeseburger Tornado, the main character's special move
context: Oh, Hitoshi! How have you been?\It's Japanese... Well, whatever. Dad, do you remember?\Remember how we used to play ball when I was a kid?\And we did that one thing that was popular on TV back then?\Show it to me one more time!\Dad?\Huh? What was that...\Cheeseburger Tornado, the main character's special move response:	in Junk Food Fighter Michael, the super popular show at the time.
context: It's Japanese... Well, whatever. Dad, do you remember?\Remember how we used to play ball when I was a kid?\And we did that one thing that was popular on TV back then?\Show it to me one more time!\Dad?\Huh? What was that...\Cheeseburger Tornado, the main character's special move\in Junk Food Fighter Michael, the super popular show at the time. response:	Huh? What the heck?
context: Remember how we used to play ball when I was a kid?\And we did that one thing that was popular on TV back then?\Show it to me one more time!\Dad?\Huh? What was that...\Cheeseburger Tornado, the main character's special move\in Junk Food Fighter Michael, the super popular show at the time.\Huh? What the heck? response:	Anyway, Hitoshi...
context: And we did that one thing that was popular on TV back then?\Show it to me one more time!\Dad?\Huh? What was that...\Cheeseburger Tornado, the main character's special move\in Junk Food Fighter Michael, the super popular show at the time.\Huh? What the heck?\Anyway, Hitoshi... response:	Cut to the chase and tell me what you want.
context: Show it to me one more time!\Dad?\Huh? What was that...\Cheeseburger Tornado, the main character's special move\in Junk Food Fighter Michael, the super popular show at the time.\Huh? What the heck?\Anyway, Hitoshi...\Cut to the chase and tell me what you want. response:	Dad...
context: Dad?\Huh? What was that...\Cheeseburger Tornado, the main character's special move\in Junk Food Fighter Michael, the super popular show at the time.\Huh? What the heck?\Anyway, Hitoshi...\Cut to the chase and tell me what you want.\Dad... response:	If being cordial won't work, then screw it!
context: Huh? What was that...\Cheeseburger Tornado, the main character's special move\in Junk Food Fighter Michael, the super popular show at the time.\Huh? What the heck?\Anyway, Hitoshi...\Cut to the chase and tell me what you want.\Dad...\If being cordial won't work, then screw it! response:	Yo, you shitty old man!
context: Cheeseburger Tornado, the main character's special move\in Junk Food Fighter Michael, the super popular show at the time.\Huh? What the heck?\Anyway, Hitoshi...\Cut to the chase and tell me what you want.\Dad...\If being cordial won't work, then screw it!\Yo, you shitty old man! response:	Tell me the password to the hidden safe! I know there's a fortune in there!
context: in Junk Food Fighter Michael, the super popular show at the time.\Huh? What the heck?\Anyway, Hitoshi...\Cut to the chase and tell me what you want.\Dad...\If being cordial won't work, then screw it!\Yo, you shitty old man!\Tell me the password to the hidden safe! I know there's a fortune in there! response:	Um, I think the password was my birthday...
context: Huh? What the heck?\Anyway, Hitoshi...\Cut to the chase and tell me what you want.\Dad...\If being cordial won't work, then screw it!\Yo, you shitty old man!\Tell me the password to the hidden safe! I know there's a fortune in there!\Um, I think the password was my birthday... response:	Don't give me that crap! It's thirteen letters of the alphabet!
context: Anyway, Hitoshi...\Cut to the chase and tell me what you want.\Dad...\If being cordial won't work, then screw it!\Yo, you shitty old man!\Tell me the password to the hidden safe! I know there's a fortune in there!\Um, I think the password was my birthday...\Don't give me that crap! It's thirteen letters of the alphabet! response:	With that money, I'll chill for the rest of my life!
context: Cut to the chase and tell me what you want.\Dad...\If being cordial won't work, then screw it!\Yo, you shitty old man!\Tell me the password to the hidden safe! I know there's a fortune in there!\Um, I think the password was my birthday...\Don't give me that crap! It's thirteen letters of the alphabet!\With that money, I'll chill for the rest of my life! response:	Oh, now I remember!
context: Dad...\If being cordial won't work, then screw it!\Yo, you shitty old man!\Tell me the password to the hidden safe! I know there's a fortune in there!\Um, I think the password was my birthday...\Don't give me that crap! It's thirteen letters of the alphabet!\With that money, I'll chill for the rest of my life!\Oh, now I remember! response:	The password is...
context: If being cordial won't work, then screw it!\Yo, you shitty old man!\Tell me the password to the hidden safe! I know there's a fortune in there!\Um, I think the password was my birthday...\Don't give me that crap! It's thirteen letters of the alphabet!\With that money, I'll chill for the rest of my life!\Oh, now I remember!\The password is... response:	GETAJOBYOUBUM!
context: Yo, you shitty old man!\Tell me the password to the hidden safe! I know there's a fortune in there!\Um, I think the password was my birthday...\Don't give me that crap! It's thirteen letters of the alphabet!\With that money, I'll chill for the rest of my life!\Oh, now I remember!\The password is...\GETAJOBYOUBUM! response:	Cheeseburger Tornado
context: Tell me the password to the hidden safe! I know there's a fortune in there!\Um, I think the password was my birthday...\Don't give me that crap! It's thirteen letters of the alphabet!\With that money, I'll chill for the rest of my life!\Oh, now I remember!\The password is...\GETAJOBYOUBUM!\Cheeseburger Tornado response:	This is one of Reigen's special moves, where he uses his whole body like a spring
context: Um, I think the password was my birthday...\Don't give me that crap! It's thirteen letters of the alphabet!\With that money, I'll chill for the rest of my life!\Oh, now I remember!\The password is...\GETAJOBYOUBUM!\Cheeseburger Tornado\This is one of Reigen's special moves, where he uses his whole body like a spring response:	and smashes his fist into his opponent's face with a powerful spin.
context: Don't give me that crap! It's thirteen letters of the alphabet!\With that money, I'll chill for the rest of my life!\Oh, now I remember!\The password is...\GETAJOBYOUBUM!\Cheeseburger Tornado\This is one of Reigen's special moves, where he uses his whole body like a spring\and smashes his fist into his opponent's face with a powerful spin. response:	Crap! The client's consciousness logged out!
context: With that money, I'll chill for the rest of my life!\Oh, now I remember!\The password is...\GETAJOBYOUBUM!\Cheeseburger Tornado\This is one of Reigen's special moves, where he uses his whole body like a spring\and smashes his fist into his opponent's face with a powerful spin.\Crap! The client's consciousness logged out! response:	Reception
context: Oh, now I remember!\The password is...\GETAJOBYOUBUM!\Cheeseburger Tornado\This is one of Reigen's special moves, where he uses his whole body like a spring\and smashes his fist into his opponent's face with a powerful spin.\Crap! The client's consciousness logged out!\Reception response:	Limited Time Offer Get 3 evil spirit exorcisms for the price of 2!
context: The password is...\GETAJOBYOUBUM!\Cheeseburger Tornado\This is one of Reigen's special moves, where he uses his whole body like a spring\and smashes his fist into his opponent's face with a powerful spin.\Crap! The client's consciousness logged out!\Reception\Limited Time Offer Get 3 evil spirit exorcisms for the price of 2! response:	Did he pass out?
context: GETAJOBYOUBUM!\Cheeseburger Tornado\This is one of Reigen's special moves, where he uses his whole body like a spring\and smashes his fist into his opponent's face with a powerful spin.\Crap! The client's consciousness logged out!\Reception\Limited Time Offer Get 3 evil spirit exorcisms for the price of 2!\Did he pass out? response:	Yeah... But, well, it was self-defense.
context: Cheeseburger Tornado\This is one of Reigen's special moves, where he uses his whole body like a spring\and smashes his fist into his opponent's face with a powerful spin.\Crap! The client's consciousness logged out!\Reception\Limited Time Offer Get 3 evil spirit exorcisms for the price of 2!\Did he pass out?\Yeah... But, well, it was self-defense. response:	Self-defense...
context: This is one of Reigen's special moves, where he uses his whole body like a spring\and smashes his fist into his opponent's face with a powerful spin.\Crap! The client's consciousness logged out!\Reception\Limited Time Offer Get 3 evil spirit exorcisms for the price of 2!\Did he pass out?\Yeah... But, well, it was self-defense.\Self-defense... response:	What? You look a bit pale.
context: and smashes his fist into his opponent's face with a powerful spin.\Crap! The client's consciousness logged out!\Reception\Limited Time Offer Get 3 evil spirit exorcisms for the price of 2!\Did he pass out?\Yeah... But, well, it was self-defense.\Self-defense...\What? You look a bit pale. response:	If it's self-defense,
context: Crap! The client's consciousness logged out!\Reception\Limited Time Offer Get 3 evil spirit exorcisms for the price of 2!\Did he pass out?\Yeah... But, well, it was self-defense.\Self-defense...\What? You look a bit pale.\If it's self-defense, response:	is it okay to shave off someone's hair, rip off their clothes,
context: Reception\Limited Time Offer Get 3 evil spirit exorcisms for the price of 2!\Did he pass out?\Yeah... But, well, it was self-defense.\Self-defense...\What? You look a bit pale.\If it's self-defense,\is it okay to shave off someone's hair, rip off their clothes, response:	Teru
context: Limited Time Offer Get 3 evil spirit exorcisms for the price of 2!\Did he pass out?\Yeah... But, well, it was self-defense.\Self-defense...\What? You look a bit pale.\If it's self-defense,\is it okay to shave off someone's hair, rip off their clothes,\Teru response:	destroy their pride, make them lose their friends,
context: Did he pass out?\Yeah... But, well, it was self-defense.\Self-defense...\What? You look a bit pale.\If it's self-defense,\is it okay to shave off someone's hair, rip off their clothes,\Teru\destroy their pride, make them lose their friends, response:	and destroy the school they go to?
context: Yeah... But, well, it was self-defense.\Self-defense...\What? You look a bit pale.\If it's self-defense,\is it okay to shave off someone's hair, rip off their clothes,\Teru\destroy their pride, make them lose their friends,\and destroy the school they go to? response:	How can you do that much in self-defense?
context: Self-defense...\What? You look a bit pale.\If it's self-defense,\is it okay to shave off someone's hair, rip off their clothes,\Teru\destroy their pride, make them lose their friends,\and destroy the school they go to?\How can you do that much in self-defense? response:	There are times when my psychic powers go out of control...
context: What? You look a bit pale.\If it's self-defense,\is it okay to shave off someone's hair, rip off their clothes,\Teru\destroy their pride, make them lose their friends,\and destroy the school they go to?\How can you do that much in self-defense?\There are times when my psychic powers go out of control... response:	And it happens when I'm unconscious, to boot.
context: If it's self-defense,\is it okay to shave off someone's hair, rip off their clothes,\Teru\destroy their pride, make them lose their friends,\and destroy the school they go to?\How can you do that much in self-defense?\There are times when my psychic powers go out of control...\And it happens when I'm unconscious, to boot. response:	I don't want these powers anymore.
context: is it okay to shave off someone's hair, rip off their clothes,\Teru\destroy their pride, make them lose their friends,\and destroy the school they go to?\How can you do that much in self-defense?\There are times when my psychic powers go out of control...\And it happens when I'm unconscious, to boot.\I don't want these powers anymore. response:	If nothing else, they're of use to me.
context: Teru\destroy their pride, make them lose their friends,\and destroy the school they go to?\How can you do that much in self-defense?\There are times when my psychic powers go out of control...\And it happens when I'm unconscious, to boot.\I don't want these powers anymore.\If nothing else, they're of use to me. response:	And it's not just me.
context: destroy their pride, make them lose their friends,\and destroy the school they go to?\How can you do that much in self-defense?\There are times when my psychic powers go out of control...\And it happens when I'm unconscious, to boot.\I don't want these powers anymore.\If nothing else, they're of use to me.\And it's not just me. response:	Think of all of the clients you helped with those powers.
context: and destroy the school they go to?\How can you do that much in self-defense?\There are times when my psychic powers go out of control...\And it happens when I'm unconscious, to boot.\I don't want these powers anymore.\If nothing else, they're of use to me.\And it's not just me.\Think of all of the clients you helped with those powers. response:	Don't just focus on the negatives.
context: How can you do that much in self-defense?\There are times when my psychic powers go out of control...\And it happens when I'm unconscious, to boot.\I don't want these powers anymore.\If nothing else, they're of use to me.\And it's not just me.\Think of all of the clients you helped with those powers.\Don't just focus on the negatives. response:	It's all about how you use knives, remember?
context: There are times when my psychic powers go out of control...\And it happens when I'm unconscious, to boot.\I don't want these powers anymore.\If nothing else, they're of use to me.\And it's not just me.\Think of all of the clients you helped with those powers.\Don't just focus on the negatives.\It's all about how you use knives, remember? response:	Don't suppress yourself.
context: And it happens when I'm unconscious, to boot.\I don't want these powers anymore.\If nothing else, they're of use to me.\And it's not just me.\Think of all of the clients you helped with those powers.\Don't just focus on the negatives.\It's all about how you use knives, remember?\Don't suppress yourself. response:	You're the one who holds the keys to maximizing your potential.
context: I don't want these powers anymore.\If nothing else, they're of use to me.\And it's not just me.\Think of all of the clients you helped with those powers.\Don't just focus on the negatives.\It's all about how you use knives, remember?\Don't suppress yourself.\You're the one who holds the keys to maximizing your potential. response:	Trust me.
context: If nothing else, they're of use to me.\And it's not just me.\Think of all of the clients you helped with those powers.\Don't just focus on the negatives.\It's all about how you use knives, remember?\Don't suppress yourself.\You're the one who holds the keys to maximizing your potential.\Trust me. response:	You'll be fine.
context: And it's not just me.\Think of all of the clients you helped with those powers.\Don't just focus on the negatives.\It's all about how you use knives, remember?\Don't suppress yourself.\You're the one who holds the keys to maximizing your potential.\Trust me.\You'll be fine. response:	Huh?
context: Think of all of the clients you helped with those powers.\Don't just focus on the negatives.\It's all about how you use knives, remember?\Don't suppress yourself.\You're the one who holds the keys to maximizing your potential.\Trust me.\You'll be fine.\Huh? response:	The shadow leader system?
context: Don't just focus on the negatives.\It's all about how you use knives, remember?\Don't suppress yourself.\You're the one who holds the keys to maximizing your potential.\Trust me.\You'll be fine.\Huh?\The shadow leader system? response:	Yeah.
context: It's all about how you use knives, remember?\Don't suppress yourself.\You're the one who holds the keys to maximizing your potential.\Trust me.\You'll be fine.\Huh?\The shadow leader system?\Yeah. response:	I completely lost to that shadow leader named Hanazawa,
context: Don't suppress yourself.\You're the one who holds the keys to maximizing your potential.\Trust me.\You'll be fine.\Huh?\The shadow leader system?\Yeah.\I completely lost to that shadow leader named Hanazawa, response:	but the guy who beat him is from Salt Middle School.
context: You're the one who holds the keys to maximizing your potential.\Trust me.\You'll be fine.\Huh?\The shadow leader system?\Yeah.\I completely lost to that shadow leader named Hanazawa,\but the guy who beat him is from Salt Middle School. response:	Someone that strong?
context: Trust me.\You'll be fine.\Huh?\The shadow leader system?\Yeah.\I completely lost to that shadow leader named Hanazawa,\but the guy who beat him is from Salt Middle School.\Someone that strong? response:	Yeah. We're gonna have him be our shadow leader.
context: You'll be fine.\Huh?\The shadow leader system?\Yeah.\I completely lost to that shadow leader named Hanazawa,\but the guy who beat him is from Salt Middle School.\Someone that strong?\Yeah. We're gonna have him be our shadow leader. response:	You're the one who caused the supernatural incident at Black Vinegar Middle, right?
context: Huh?\The shadow leader system?\Yeah.\I completely lost to that shadow leader named Hanazawa,\but the guy who beat him is from Salt Middle School.\Someone that strong?\Yeah. We're gonna have him be our shadow leader.\You're the one who caused the supernatural incident at Black Vinegar Middle, right? response:	U-Um...
context: The shadow leader system?\Yeah.\I completely lost to that shadow leader named Hanazawa,\but the guy who beat him is from Salt Middle School.\Someone that strong?\Yeah. We're gonna have him be our shadow leader.\You're the one who caused the supernatural incident at Black Vinegar Middle, right?\U-Um... response:	You're basically the only person who could do that.
context: Yeah.\I completely lost to that shadow leader named Hanazawa,\but the guy who beat him is from Salt Middle School.\Someone that strong?\Yeah. We're gonna have him be our shadow leader.\You're the one who caused the supernatural incident at Black Vinegar Middle, right?\U-Um...\You're basically the only person who could do that. response:	Oh, but according to the rumors...
context: I completely lost to that shadow leader named Hanazawa,\but the guy who beat him is from Salt Middle School.\Someone that strong?\Yeah. We're gonna have him be our shadow leader.\You're the one who caused the supernatural incident at Black Vinegar Middle, right?\U-Um...\You're basically the only person who could do that.\Oh, but according to the rumors... response:	There's a kid at Black Vinegar Middle who easily throws people around, too.
context: but the guy who beat him is from Salt Middle School.\Someone that strong?\Yeah. We're gonna have him be our shadow leader.\You're the one who caused the supernatural incident at Black Vinegar Middle, right?\U-Um...\You're basically the only person who could do that.\Oh, but according to the rumors...\There's a kid at Black Vinegar Middle who easily throws people around, too. response:	Maybe he's an esper just like you...
context: Someone that strong?\Yeah. We're gonna have him be our shadow leader.\You're the one who caused the supernatural incident at Black Vinegar Middle, right?\U-Um...\You're basically the only person who could do that.\Oh, but according to the rumors...\There's a kid at Black Vinegar Middle who easily throws people around, too.\Maybe he's an esper just like you... response:	And then you two met at Black Vinegar Middle School, and fought.
context: Yeah. We're gonna have him be our shadow leader.\You're the one who caused the supernatural incident at Black Vinegar Middle, right?\U-Um...\You're basically the only person who could do that.\Oh, but according to the rumors...\There's a kid at Black Vinegar Middle who easily throws people around, too.\Maybe he's an esper just like you...\And then you two met at Black Vinegar Middle School, and fought. response:	An esper battle! That's what happened, right?
context: You're the one who caused the supernatural incident at Black Vinegar Middle, right?\U-Um...\You're basically the only person who could do that.\Oh, but according to the rumors...\There's a kid at Black Vinegar Middle who easily throws people around, too.\Maybe he's an esper just like you...\And then you two met at Black Vinegar Middle School, and fought.\An esper battle! That's what happened, right? response:	Twitch, twitch.
context: U-Um...\You're basically the only person who could do that.\Oh, but according to the rumors...\There's a kid at Black Vinegar Middle who easily throws people around, too.\Maybe he's an esper just like you...\And then you two met at Black Vinegar Middle School, and fought.\An esper battle! That's what happened, right?\Twitch, twitch. response:	You don't want to talk about it?
context: You're basically the only person who could do that.\Oh, but according to the rumors...\There's a kid at Black Vinegar Middle who easily throws people around, too.\Maybe he's an esper just like you...\And then you two met at Black Vinegar Middle School, and fought.\An esper battle! That's what happened, right?\Twitch, twitch.\You don't want to talk about it? response:	That's enough for today, then.
context: Oh, but according to the rumors...\There's a kid at Black Vinegar Middle who easily throws people around, too.\Maybe he's an esper just like you...\And then you two met at Black Vinegar Middle School, and fought.\An esper battle! That's what happened, right?\Twitch, twitch.\You don't want to talk about it?\That's enough for today, then. response:	But someday, you're definitely going to tell me all about it.
context: There's a kid at Black Vinegar Middle who easily throws people around, too.\Maybe he's an esper just like you...\And then you two met at Black Vinegar Middle School, and fought.\An esper battle! That's what happened, right?\Twitch, twitch.\You don't want to talk about it?\That's enough for today, then.\But someday, you're definitely going to tell me all about it. response:	Mob-kun?!
context: Maybe he's an esper just like you...\And then you two met at Black Vinegar Middle School, and fought.\An esper battle! That's what happened, right?\Twitch, twitch.\You don't want to talk about it?\That's enough for today, then.\But someday, you're definitely going to tell me all about it.\Mob-kun?! response:	You mean that wasn't the work of aliens?
context: And then you two met at Black Vinegar Middle School, and fought.\An esper battle! That's what happened, right?\Twitch, twitch.\You don't want to talk about it?\That's enough for today, then.\But someday, you're definitely going to tell me all about it.\Mob-kun?!\You mean that wasn't the work of aliens? response:	And that aside, there are espers other than yourself?
context: An esper battle! That's what happened, right?\Twitch, twitch.\You don't want to talk about it?\That's enough for today, then.\But someday, you're definitely going to tell me all about it.\Mob-kun?!\You mean that wasn't the work of aliens?\And that aside, there are espers other than yourself? response:	Yes...
context: Twitch, twitch.\You don't want to talk about it?\That's enough for today, then.\But someday, you're definitely going to tell me all about it.\Mob-kun?!\You mean that wasn't the work of aliens?\And that aside, there are espers other than yourself?\Yes... response:	You can find them, right?
context: You don't want to talk about it?\That's enough for today, then.\But someday, you're definitely going to tell me all about it.\Mob-kun?!\You mean that wasn't the work of aliens?\And that aside, there are espers other than yourself?\Yes...\You can find them, right? response:	Huh? I've only met one other in my life.
context: That's enough for today, then.\But someday, you're definitely going to tell me all about it.\Mob-kun?!\You mean that wasn't the work of aliens?\And that aside, there are espers other than yourself?\Yes...\You can find them, right?\Huh? I've only met one other in my life. response:	That's strange. What about your master?
context: But someday, you're definitely going to tell me all about it.\Mob-kun?!\You mean that wasn't the work of aliens?\And that aside, there are espers other than yourself?\Yes...\You can find them, right?\Huh? I've only met one other in my life.\That's strange. What about your master? response:	Ah...
context: Mob-kun?!\You mean that wasn't the work of aliens?\And that aside, there are espers other than yourself?\Yes...\You can find them, right?\Huh? I've only met one other in my life.\That's strange. What about your master?\Ah... response:	Come to think of it, I don't sense anything from my master.
context: You mean that wasn't the work of aliens?\And that aside, there are espers other than yourself?\Yes...\You can find them, right?\Huh? I've only met one other in my life.\That's strange. What about your master?\Ah...\Come to think of it, I don't sense anything from my master. response:	But that's because his powers are spiritual, not psychic.
context: And that aside, there are espers other than yourself?\Yes...\You can find them, right?\Huh? I've only met one other in my life.\That's strange. What about your master?\Ah...\Come to think of it, I don't sense anything from my master.\But that's because his powers are spiritual, not psychic. response:	Psychic
context: Yes...\You can find them, right?\Huh? I've only met one other in my life.\That's strange. What about your master?\Ah...\Come to think of it, I don't sense anything from my master.\But that's because his powers are spiritual, not psychic.\Psychic response:	Spiritual
context: You can find them, right?\Huh? I've only met one other in my life.\That's strange. What about your master?\Ah...\Come to think of it, I don't sense anything from my master.\But that's because his powers are spiritual, not psychic.\Psychic\Spiritual response:	What kind of rule is that?
context: Huh? I've only met one other in my life.\That's strange. What about your master?\Ah...\Come to think of it, I don't sense anything from my master.\But that's because his powers are spiritual, not psychic.\Psychic\Spiritual\What kind of rule is that? response:	Well, whatever. Let's go on a date after this.
context: That's strange. What about your master?\Ah...\Come to think of it, I don't sense anything from my master.\But that's because his powers are spiritual, not psychic.\Psychic\Spiritual\What kind of rule is that?\Well, whatever. Let's go on a date after this. response:	Huh?
context: Ah...\Come to think of it, I don't sense anything from my master.\But that's because his powers are spiritual, not psychic.\Psychic\Spiritual\What kind of rule is that?\Well, whatever. Let's go on a date after this.\Huh? response:	We're going to find other telepathic people together!
context: Come to think of it, I don't sense anything from my master.\But that's because his powers are spiritual, not psychic.\Psychic\Spiritual\What kind of rule is that?\Well, whatever. Let's go on a date after this.\Huh?\We're going to find other telepathic people together! response:	And then take our first step toward connecting with outer space!
