context: Sleigh Beggy. response:	Dear child, with the name of a neighbor of long ago.
context: That means they multiply during the summer.\There are a lot this year, though.\Are they neighbors?\No, they're closer to animals.\Although very few humans can see them.\Now, let's begin.\Okay.\That's it. response:	You're good at this.
context: There are a lot this year, though.\Are they neighbors?\No, they're closer to animals.\Although very few humans can see them.\Now, let's begin.\Okay.\That's it.\You're good at this. response:	Their wool is perfect for using in magic and sorcery tools.
context: Are they neighbors?\No, they're closer to animals.\Although very few humans can see them.\Now, let's begin.\Okay.\That's it.\You're good at this.\Their wool is perfect for using in magic and sorcery tools. response:	Angelica asks me to do this, too.
context: No, they're closer to animals.\Although very few humans can see them.\Now, let's begin.\Okay.\That's it.\You're good at this.\Their wool is perfect for using in magic and sorcery tools.\Angelica asks me to do this, too. response:	Wow.
context: Although very few humans can see them.\Now, let's begin.\Okay.\That's it.\You're good at this.\Their wool is perfect for using in magic and sorcery tools.\Angelica asks me to do this, too.\Wow. response:	You can use the leftovers to make a pillow or something.
context: Now, let's begin.\Okay.\That's it.\You're good at this.\Their wool is perfect for using in magic and sorcery tools.\Angelica asks me to do this, too.\Wow.\You can use the leftovers to make a pillow or something. response:	You'll probably sleep well.
context: Okay.\That's it.\You're good at this.\Their wool is perfect for using in magic and sorcery tools.\Angelica asks me to do this, too.\Wow.\You can use the leftovers to make a pillow or something.\You'll probably sleep well. response:	You might get to have the dreams you want to have.
context: That's it.\You're good at this.\Their wool is perfect for using in magic and sorcery tools.\Angelica asks me to do this, too.\Wow.\You can use the leftovers to make a pillow or something.\You'll probably sleep well.\You might get to have the dreams you want to have. response:	The dreams I want to have?
context: You're good at this.\Their wool is perfect for using in magic and sorcery tools.\Angelica asks me to do this, too.\Wow.\You can use the leftovers to make a pillow or something.\You'll probably sleep well.\You might get to have the dreams you want to have.\The dreams I want to have? response:	I'll take a little when we're done.
context: Their wool is perfect for using in magic and sorcery tools.\Angelica asks me to do this, too.\Wow.\You can use the leftovers to make a pillow or something.\You'll probably sleep well.\You might get to have the dreams you want to have.\The dreams I want to have?\I'll take a little when we're done. response:	Right.
context: Angelica asks me to do this, too.\Wow.\You can use the leftovers to make a pillow or something.\You'll probably sleep well.\You might get to have the dreams you want to have.\The dreams I want to have?\I'll take a little when we're done.\Right. response:	Oh, don't trim from their limbs. Just the torso.
context: Wow.\You can use the leftovers to make a pillow or something.\You'll probably sleep well.\You might get to have the dreams you want to have.\The dreams I want to have?\I'll take a little when we're done.\Right.\Oh, don't trim from their limbs. Just the torso. response:	Sorry. You could have told me sooner.
context: You can use the leftovers to make a pillow or something.\You'll probably sleep well.\You might get to have the dreams you want to have.\The dreams I want to have?\I'll take a little when we're done.\Right.\Oh, don't trim from their limbs. Just the torso.\Sorry. You could have told me sooner. response:	That's quite a haul.
context: You'll probably sleep well.\You might get to have the dreams you want to have.\The dreams I want to have?\I'll take a little when we're done.\Right.\Oh, don't trim from their limbs. Just the torso.\Sorry. You could have told me sooner.\That's quite a haul. response:	I'll go get a bag.
context: You might get to have the dreams you want to have.\The dreams I want to have?\I'll take a little when we're done.\Right.\Oh, don't trim from their limbs. Just the torso.\Sorry. You could have told me sooner.\That's quite a haul.\I'll go get a bag. response:	You keep practicing.
context: The dreams I want to have?\I'll take a little when we're done.\Right.\Oh, don't trim from their limbs. Just the torso.\Sorry. You could have told me sooner.\That's quite a haul.\I'll go get a bag.\You keep practicing. response:	Oh, right.
context: I'll take a little when we're done.\Right.\Oh, don't trim from their limbs. Just the torso.\Sorry. You could have told me sooner.\That's quite a haul.\I'll go get a bag.\You keep practicing.\Oh, right. response:	Yes?
context: Right.\Oh, don't trim from their limbs. Just the torso.\Sorry. You could have told me sooner.\That's quite a haul.\I'll go get a bag.\You keep practicing.\Oh, right.\Yes? response:	If you find one that seems a bit different, tell me before you touch it.
context: Oh, don't trim from their limbs. Just the torso.\Sorry. You could have told me sooner.\That's quite a haul.\I'll go get a bag.\You keep practicing.\Oh, right.\Yes?\If you find one that seems a bit different, tell me before you touch it. response:	Okay.
context: Sorry. You could have told me sooner.\That's quite a haul.\I'll go get a bag.\You keep practicing.\Oh, right.\Yes?\If you find one that seems a bit different, tell me before you touch it.\Okay. response:	I was going to talk to him as soon as I got home.
context: That's quite a haul.\I'll go get a bag.\You keep practicing.\Oh, right.\Yes?\If you find one that seems a bit different, tell me before you touch it.\Okay.\I was going to talk to him as soon as I got home. response:	I don't know when I should bring it up.
context: I'll go get a bag.\You keep practicing.\Oh, right.\Yes?\If you find one that seems a bit different, tell me before you touch it.\Okay.\I was going to talk to him as soon as I got home.\I don't know when I should bring it up. response:	No, it's that I don't know what to tell him.
context: You keep practicing.\Oh, right.\Yes?\If you find one that seems a bit different, tell me before you touch it.\Okay.\I was going to talk to him as soon as I got home.\I don't know when I should bring it up.\No, it's that I don't know what to tell him. response:	Timing...
context: Oh, right.\Yes?\If you find one that seems a bit different, tell me before you touch it.\Okay.\I was going to talk to him as soon as I got home.\I don't know when I should bring it up.\No, it's that I don't know what to tell him.\Timing... response:	Timing...
context: Yes?\If you find one that seems a bit different, tell me before you touch it.\Okay.\I was going to talk to him as soon as I got home.\I don't know when I should bring it up.\No, it's that I don't know what to tell him.\Timing...\Timing... response:	No?
context: If you find one that seems a bit different, tell me before you touch it.\Okay.\I was going to talk to him as soon as I got home.\I don't know when I should bring it up.\No, it's that I don't know what to tell him.\Timing...\Timing...\No? response:	He's so strict.
context: Okay.\I was going to talk to him as soon as I got home.\I don't know when I should bring it up.\No, it's that I don't know what to tell him.\Timing...\Timing...\No?\He's so strict. response:	Has it always been so hard to talk?
context: I was going to talk to him as soon as I got home.\I don't know when I should bring it up.\No, it's that I don't know what to tell him.\Timing...\Timing...\No?\He's so strict.\Has it always been so hard to talk? response:	It's different from the others.
context: I don't know when I should bring it up.\No, it's that I don't know what to tell him.\Timing...\Timing...\No?\He's so strict.\Has it always been so hard to talk?\It's different from the others. response:	Ruth, look.
context: No, it's that I don't know what to tell him.\Timing...\Timing...\No?\He's so strict.\Has it always been so hard to talk?\It's different from the others.\Ruth, look. response:	Chise!
context: Timing...\Timing...\No?\He's so strict.\Has it always been so hard to talk?\It's different from the others.\Ruth, look.\Chise! response:	What is this thing?
context: Timing...\No?\He's so strict.\Has it always been so hard to talk?\It's different from the others.\Ruth, look.\Chise!\What is this thing? response:	It's so cold.
context: No?\He's so strict.\Has it always been so hard to talk?\It's different from the others.\Ruth, look.\Chise!\What is this thing?\It's so cold. response:	Elias said to get him before I touch it.
context: He's so strict.\Has it always been so hard to talk?\It's different from the others.\Ruth, look.\Chise!\What is this thing?\It's so cold.\Elias said to get him before I touch it. response:	What happens if I touch it first?
context: Has it always been so hard to talk?\It's different from the others.\Ruth, look.\Chise!\What is this thing?\It's so cold.\Elias said to get him before I touch it.\What happens if I touch it first? response:	You little...
context: It's different from the others.\Ruth, look.\Chise!\What is this thing?\It's so cold.\Elias said to get him before I touch it.\What happens if I touch it first?\You little... response:	Shoot, it didn't work.
context: Ruth, look.\Chise!\What is this thing?\It's so cold.\Elias said to get him before I touch it.\What happens if I touch it first?\You little...\Shoot, it didn't work. response:	Chise!
context: Chise!\What is this thing?\It's so cold.\Elias said to get him before I touch it.\What happens if I touch it first?\You little...\Shoot, it didn't work.\Chise! response:	Fire doesn't work, either.
context: What is this thing?\It's so cold.\Elias said to get him before I touch it.\What happens if I touch it first?\You little...\Shoot, it didn't work.\Chise!\Fire doesn't work, either. response:	A baby?
context: It's so cold.\Elias said to get him before I touch it.\What happens if I touch it first?\You little...\Shoot, it didn't work.\Chise!\Fire doesn't work, either.\A baby? response:	Elias.
context: Elias said to get him before I touch it.\What happens if I touch it first?\You little...\Shoot, it didn't work.\Chise!\Fire doesn't work, either.\A baby?\Elias. response:	You're done breeding.
context: What happens if I touch it first?\You little...\Shoot, it didn't work.\Chise!\Fire doesn't work, either.\A baby?\Elias.\You're done breeding. response:	Go back to the fields.
context: You little...\Shoot, it didn't work.\Chise!\Fire doesn't work, either.\A baby?\Elias.\You're done breeding.\Go back to the fields. response:	Chise.
context: Shoot, it didn't work.\Chise!\Fire doesn't work, either.\A baby?\Elias.\You're done breeding.\Go back to the fields.\Chise. response:	Elias, what was that?
context: Chise!\Fire doesn't work, either.\A baby?\Elias.\You're done breeding.\Go back to the fields.\Chise.\Elias, what was that? response:	A snow bug. Unlike wooly bugs, they eat warmth.
context: Fire doesn't work, either.\A baby?\Elias.\You're done breeding.\Go back to the fields.\Chise.\Elias, what was that?\A snow bug. Unlike wooly bugs, they eat warmth. response:	It took her heat.
context: A baby?\Elias.\You're done breeding.\Go back to the fields.\Chise.\Elias, what was that?\A snow bug. Unlike wooly bugs, they eat warmth.\It took her heat. response:	I'm sorry.
context: Elias.\You're done breeding.\Go back to the fields.\Chise.\Elias, what was that?\A snow bug. Unlike wooly bugs, they eat warmth.\It took her heat.\I'm sorry. response:	Chise didn't touch it.
context: You're done breeding.\Go back to the fields.\Chise.\Elias, what was that?\A snow bug. Unlike wooly bugs, they eat warmth.\It took her heat.\I'm sorry.\Chise didn't touch it. response:	It charged at her.
context: Go back to the fields.\Chise.\Elias, what was that?\A snow bug. Unlike wooly bugs, they eat warmth.\It took her heat.\I'm sorry.\Chise didn't touch it.\It charged at her. response:	I know.
context: Chise.\Elias, what was that?\A snow bug. Unlike wooly bugs, they eat warmth.\It took her heat.\I'm sorry.\Chise didn't touch it.\It charged at her.\I know. response:	It must have been hungry, since summer is their breeding season.
context: Elias, what was that?\A snow bug. Unlike wooly bugs, they eat warmth.\It took her heat.\I'm sorry.\Chise didn't touch it.\It charged at her.\I know.\It must have been hungry, since summer is their breeding season. response:	We need to warm her up.
context: A snow bug. Unlike wooly bugs, they eat warmth.\It took her heat.\I'm sorry.\Chise didn't touch it.\It charged at her.\I know.\It must have been hungry, since summer is their breeding season.\We need to warm her up. response:	Eli... as...
context: It took her heat.\I'm sorry.\Chise didn't touch it.\It charged at her.\I know.\It must have been hungry, since summer is their breeding season.\We need to warm her up.\Eli... as... response:	Are you all right?
context: I'm sorry.\Chise didn't touch it.\It charged at her.\I know.\It must have been hungry, since summer is their breeding season.\We need to warm her up.\Eli... as...\Are you all right? response:	I'm quite a bit warmer.
context: Chise didn't touch it.\It charged at her.\I know.\It must have been hungry, since summer is their breeding season.\We need to warm her up.\Eli... as...\Are you all right?\I'm quite a bit warmer. response:	It's actually too hot.
context: It charged at her.\I know.\It must have been hungry, since summer is their breeding season.\We need to warm her up.\Eli... as...\Are you all right?\I'm quite a bit warmer.\It's actually too hot. response:	Where's Ruth?
context: I know.\It must have been hungry, since summer is their breeding season.\We need to warm her up.\Eli... as...\Are you all right?\I'm quite a bit warmer.\It's actually too hot.\Where's Ruth? response:	He went to check on the snow bugs.
context: It must have been hungry, since summer is their breeding season.\We need to warm her up.\Eli... as...\Are you all right?\I'm quite a bit warmer.\It's actually too hot.\Where's Ruth?\He went to check on the snow bugs. response:	Thank you.
context: We need to warm her up.\Eli... as...\Are you all right?\I'm quite a bit warmer.\It's actually too hot.\Where's Ruth?\He went to check on the snow bugs.\Thank you. response:	I'll get out of the way.
context: Eli... as...\Are you all right?\I'm quite a bit warmer.\It's actually too hot.\Where's Ruth?\He went to check on the snow bugs.\Thank you.\I'll get out of the way. response:	Elias?
context: Are you all right?\I'm quite a bit warmer.\It's actually too hot.\Where's Ruth?\He went to check on the snow bugs.\Thank you.\I'll get out of the way.\Elias? response:	It was cold when you were gone.
context: I'm quite a bit warmer.\It's actually too hot.\Where's Ruth?\He went to check on the snow bugs.\Thank you.\I'll get out of the way.\Elias?\It was cold when you were gone. response:	But it's warm with you here.
context: It's actually too hot.\Where's Ruth?\He went to check on the snow bugs.\Thank you.\I'll get out of the way.\Elias?\It was cold when you were gone.\But it's warm with you here. response:	I wonder why.
context: Where's Ruth?\He went to check on the snow bugs.\Thank you.\I'll get out of the way.\Elias?\It was cold when you were gone.\But it's warm with you here.\I wonder why. response:	Uh...
context: He went to check on the snow bugs.\Thank you.\I'll get out of the way.\Elias?\It was cold when you were gone.\But it's warm with you here.\I wonder why.\Uh... response:	Well...
context: Thank you.\I'll get out of the way.\Elias?\It was cold when you were gone.\But it's warm with you here.\I wonder why.\Uh...\Well... response:	Chise...
context: I'll get out of the way.\Elias?\It was cold when you were gone.\But it's warm with you here.\I wonder why.\Uh...\Well...\Chise... response:	Timing...
context: Elias?\It was cold when you were gone.\But it's warm with you here.\I wonder why.\Uh...\Well...\Chise...\Timing... response:	Chise, how was the land of dragons?
context: It was cold when you were gone.\But it's warm with you here.\I wonder why.\Uh...\Well...\Chise...\Timing...\Chise, how was the land of dragons? response:	Uh, it was... well...
context: But it's warm with you here.\I wonder why.\Uh...\Well...\Chise...\Timing...\Chise, how was the land of dragons?\Uh, it was... well... response:	It was fun.
context: I wonder why.\Uh...\Well...\Chise...\Timing...\Chise, how was the land of dragons?\Uh, it was... well...\It was fun. response:	Yeah?
context: Uh...\Well...\Chise...\Timing...\Chise, how was the land of dragons?\Uh, it was... well...\It was fun.\Yeah? response:	There was a huge snake-like dragon in the river, dancing elves,
context: Well...\Chise...\Timing...\Chise, how was the land of dragons?\Uh, it was... well...\It was fun.\Yeah?\There was a huge snake-like dragon in the river, dancing elves, response:	and flowers that bloom with magic.
context: Chise...\Timing...\Chise, how was the land of dragons?\Uh, it was... well...\It was fun.\Yeah?\There was a huge snake-like dragon in the river, dancing elves,\and flowers that bloom with magic. response:	Yeah? That's good.
context: Timing...\Chise, how was the land of dragons?\Uh, it was... well...\It was fun.\Yeah?\There was a huge snake-like dragon in the river, dancing elves,\and flowers that bloom with magic.\Yeah? That's good. response:	Lindel-san told me a lot, too.
context: Chise, how was the land of dragons?\Uh, it was... well...\It was fun.\Yeah?\There was a huge snake-like dragon in the river, dancing elves,\and flowers that bloom with magic.\Yeah? That's good.\Lindel-san told me a lot, too. response:	So did Nevin.
context: Uh, it was... well...\It was fun.\Yeah?\There was a huge snake-like dragon in the river, dancing elves,\and flowers that bloom with magic.\Yeah? That's good.\Lindel-san told me a lot, too.\So did Nevin. response:	Nevin?
context: It was fun.\Yeah?\There was a huge snake-like dragon in the river, dancing elves,\and flowers that bloom with magic.\Yeah? That's good.\Lindel-san told me a lot, too.\So did Nevin.\Nevin? response:	They both gave me a lot of encouragement.
context: Yeah?\There was a huge snake-like dragon in the river, dancing elves,\and flowers that bloom with magic.\Yeah? That's good.\Lindel-san told me a lot, too.\So did Nevin.\Nevin?\They both gave me a lot of encouragement. response:	Elias, did I look tasty?
context: There was a huge snake-like dragon in the river, dancing elves,\and flowers that bloom with magic.\Yeah? That's good.\Lindel-san told me a lot, too.\So did Nevin.\Nevin?\They both gave me a lot of encouragement.\Elias, did I look tasty? response:	Oh, I mean...
context: and flowers that bloom with magic.\Yeah? That's good.\Lindel-san told me a lot, too.\So did Nevin.\Nevin?\They both gave me a lot of encouragement.\Elias, did I look tasty?\Oh, I mean... response:	You were awake?
context: Yeah? That's good.\Lindel-san told me a lot, too.\So did Nevin.\Nevin?\They both gave me a lot of encouragement.\Elias, did I look tasty?\Oh, I mean...\You were awake? response:	I thought it was a dream until Lindel-san told me about it.
context: Lindel-san told me a lot, too.\So did Nevin.\Nevin?\They both gave me a lot of encouragement.\Elias, did I look tasty?\Oh, I mean...\You were awake?\I thought it was a dream until Lindel-san told me about it. response:	But I was just curious.
context: So did Nevin.\Nevin?\They both gave me a lot of encouragement.\Elias, did I look tasty?\Oh, I mean...\You were awake?\I thought it was a dream until Lindel-san told me about it.\But I was just curious. response:	Elias?
context: Nevin?\They both gave me a lot of encouragement.\Elias, did I look tasty?\Oh, I mean...\You were awake?\I thought it was a dream until Lindel-san told me about it.\But I was just curious.\Elias? response:	Eli
context: They both gave me a lot of encouragement.\Elias, did I look tasty?\Oh, I mean...\You were awake?\I thought it was a dream until Lindel-san told me about it.\But I was just curious.\Elias?\Eli response:	Chise, that's a memory that you don't need.
context: Elias, did I look tasty?\Oh, I mean...\You were awake?\I thought it was a dream until Lindel-san told me about it.\But I was just curious.\Elias?\Eli\Chise, that's a memory that you don't need. response:	Understood?
context: Oh, I mean...\You were awake?\I thought it was a dream until Lindel-san told me about it.\But I was just curious.\Elias?\Eli\Chise, that's a memory that you don't need.\Understood? response:	No.
context: You were awake?\I thought it was a dream until Lindel-san told me about it.\But I was just curious.\Elias?\Eli\Chise, that's a memory that you don't need.\Understood?\No. response:	I-It's about someone important to me!
context: I thought it was a dream until Lindel-san told me about it.\But I was just curious.\Elias?\Eli\Chise, that's a memory that you don't need.\Understood?\No.\I-It's about someone important to me! response:	I do need it.
context: But I was just curious.\Elias?\Eli\Chise, that's a memory that you don't need.\Understood?\No.\I-It's about someone important to me!\I do need it. response:	I-Impulse is a scary thing.
context: Elias?\Eli\Chise, that's a memory that you don't need.\Understood?\No.\I-It's about someone important to me!\I do need it.\I-Impulse is a scary thing. response:	You're really not scared of me, Chise?
context: Eli\Chise, that's a memory that you don't need.\Understood?\No.\I-It's about someone important to me!\I do need it.\I-Impulse is a scary thing.\You're really not scared of me, Chise? response:	You seem to think I'm really afraid of you.
context: Chise, that's a memory that you don't need.\Understood?\No.\I-It's about someone important to me!\I do need it.\I-Impulse is a scary thing.\You're really not scared of me, Chise?\You seem to think I'm really afraid of you. response:	Am I not scary to a human?
context: Understood?\No.\I-It's about someone important to me!\I do need it.\I-Impulse is a scary thing.\You're really not scared of me, Chise?\You seem to think I'm really afraid of you.\Am I not scary to a human? response:	I used to have family.
context: No.\I-It's about someone important to me!\I do need it.\I-Impulse is a scary thing.\You're really not scared of me, Chise?\You seem to think I'm really afraid of you.\Am I not scary to a human?\I used to have family. response:	A mom, a dad, and a younger brother who was still very little.
context: I-It's about someone important to me!\I do need it.\I-Impulse is a scary thing.\You're really not scared of me, Chise?\You seem to think I'm really afraid of you.\Am I not scary to a human?\I used to have family.\A mom, a dad, and a younger brother who was still very little. response:	Mom and Dad both had the sight.
context: I do need it.\I-Impulse is a scary thing.\You're really not scared of me, Chise?\You seem to think I'm really afraid of you.\Am I not scary to a human?\I used to have family.\A mom, a dad, and a younger brother who was still very little.\Mom and Dad both had the sight. response:	They were really close to each other.
context: I-Impulse is a scary thing.\You're really not scared of me, Chise?\You seem to think I'm really afraid of you.\Am I not scary to a human?\I used to have family.\A mom, a dad, and a younger brother who was still very little.\Mom and Dad both had the sight.\They were really close to each other. response:	I was always terrified of the scary things that swarmed toward us.
context: You're really not scared of me, Chise?\You seem to think I'm really afraid of you.\Am I not scary to a human?\I used to have family.\A mom, a dad, and a younger brother who was still very little.\Mom and Dad both had the sight.\They were really close to each other.\I was always terrified of the scary things that swarmed toward us. response:	But I was always safe with my dad around.
context: You seem to think I'm really afraid of you.\Am I not scary to a human?\I used to have family.\A mom, a dad, and a younger brother who was still very little.\Mom and Dad both had the sight.\They were really close to each other.\I was always terrified of the scary things that swarmed toward us.\But I was always safe with my dad around. response:	But,
context: Am I not scary to a human?\I used to have family.\A mom, a dad, and a younger brother who was still very little.\Mom and Dad both had the sight.\They were really close to each other.\I was always terrified of the scary things that swarmed toward us.\But I was always safe with my dad around.\But, response:	my dad vanished with my brother.
context: I used to have family.\A mom, a dad, and a younger brother who was still very little.\Mom and Dad both had the sight.\They were really close to each other.\I was always terrified of the scary things that swarmed toward us.\But I was always safe with my dad around.\But,\my dad vanished with my brother. response:	I think my mom was tired.
context: A mom, a dad, and a younger brother who was still very little.\Mom and Dad both had the sight.\They were really close to each other.\I was always terrified of the scary things that swarmed toward us.\But I was always safe with my dad around.\But,\my dad vanished with my brother.\I think my mom was tired. response:	So...
context: Mom and Dad both had the sight.\They were really close to each other.\I was always terrified of the scary things that swarmed toward us.\But I was always safe with my dad around.\But,\my dad vanished with my brother.\I think my mom was tired.\So... response:	She left me and passed away.
context: They were really close to each other.\I was always terrified of the scary things that swarmed toward us.\But I was always safe with my dad around.\But,\my dad vanished with my brother.\I think my mom was tired.\So...\She left me and passed away. response:	I loved my family,
context: I was always terrified of the scary things that swarmed toward us.\But I was always safe with my dad around.\But,\my dad vanished with my brother.\I think my mom was tired.\So...\She left me and passed away.\I loved my family, response:	but they didn't take me with them.
context: But I was always safe with my dad around.\But,\my dad vanished with my brother.\I think my mom was tired.\So...\She left me and passed away.\I loved my family,\but they didn't take me with them. response:	So, I didn't want a family anymore.
context: But,\my dad vanished with my brother.\I think my mom was tired.\So...\She left me and passed away.\I loved my family,\but they didn't take me with them.\So, I didn't want a family anymore. response:	And yet...
context: my dad vanished with my brother.\I think my mom was tired.\So...\She left me and passed away.\I loved my family,\but they didn't take me with them.\So, I didn't want a family anymore.\And yet... response:	Yet, you called me family.
context: I think my mom was tired.\So...\She left me and passed away.\I loved my family,\but they didn't take me with them.\So, I didn't want a family anymore.\And yet...\Yet, you called me family. response:	The future he spoke of always involved me.
context: So...\She left me and passed away.\I loved my family,\but they didn't take me with them.\So, I didn't want a family anymore.\And yet...\Yet, you called me family.\The future he spoke of always involved me. response:	So I let myself think that we had a future together.
context: She left me and passed away.\I loved my family,\but they didn't take me with them.\So, I didn't want a family anymore.\And yet...\Yet, you called me family.\The future he spoke of always involved me.\So I let myself think that we had a future together. response:	I wanted to learn about my family,
context: I loved my family,\but they didn't take me with them.\So, I didn't want a family anymore.\And yet...\Yet, you called me family.\The future he spoke of always involved me.\So I let myself think that we had a future together.\I wanted to learn about my family, response:	but you wouldn't tell me anything.
context: but they didn't take me with them.\So, I didn't want a family anymore.\And yet...\Yet, you called me family.\The future he spoke of always involved me.\So I let myself think that we had a future together.\I wanted to learn about my family,\but you wouldn't tell me anything. response:	So when Lindel-san told me about your past,
context: So, I didn't want a family anymore.\And yet...\Yet, you called me family.\The future he spoke of always involved me.\So I let myself think that we had a future together.\I wanted to learn about my family,\but you wouldn't tell me anything.\So when Lindel-san told me about your past, response:	I was happy.
context: And yet...\Yet, you called me family.\The future he spoke of always involved me.\So I let myself think that we had a future together.\I wanted to learn about my family,\but you wouldn't tell me anything.\So when Lindel-san told me about your past,\I was happy. response:	Happy?
context: Yet, you called me family.\The future he spoke of always involved me.\So I let myself think that we had a future together.\I wanted to learn about my family,\but you wouldn't tell me anything.\So when Lindel-san told me about your past,\I was happy.\Happy? response:	It's not you that I'm afraid of.
context: The future he spoke of always involved me.\So I let myself think that we had a future together.\I wanted to learn about my family,\but you wouldn't tell me anything.\So when Lindel-san told me about your past,\I was happy.\Happy?\It's not you that I'm afraid of. response:	It's you letting go of me.
context: So I let myself think that we had a future together.\I wanted to learn about my family,\but you wouldn't tell me anything.\So when Lindel-san told me about your past,\I was happy.\Happy?\It's not you that I'm afraid of.\It's you letting go of me. response:	Humans lie.
context: I wanted to learn about my family,\but you wouldn't tell me anything.\So when Lindel-san told me about your past,\I was happy.\Happy?\It's not you that I'm afraid of.\It's you letting go of me.\Humans lie. response:	I can't deny that.
context: but you wouldn't tell me anything.\So when Lindel-san told me about your past,\I was happy.\Happy?\It's not you that I'm afraid of.\It's you letting go of me.\Humans lie.\I can't deny that. response:	But...
context: So when Lindel-san told me about your past,\I was happy.\Happy?\It's not you that I'm afraid of.\It's you letting go of me.\Humans lie.\I can't deny that.\But... response:	I'll believe in you.
context: I was happy.\Happy?\It's not you that I'm afraid of.\It's you letting go of me.\Humans lie.\I can't deny that.\But...\I'll believe in you. response:	You're my apprentice, after all.
context: Happy?\It's not you that I'm afraid of.\It's you letting go of me.\Humans lie.\I can't deny that.\But...\I'll believe in you.\You're my apprentice, after all. response:	Say, Chise,
context: It's not you that I'm afraid of.\It's you letting go of me.\Humans lie.\I can't deny that.\But...\I'll believe in you.\You're my apprentice, after all.\Say, Chise, response:	how does one feel when they care for another?
context: It's you letting go of me.\Humans lie.\I can't deny that.\But...\I'll believe in you.\You're my apprentice, after all.\Say, Chise,\how does one feel when they care for another? response:	How can you tell?
context: Humans lie.\I can't deny that.\But...\I'll believe in you.\You're my apprentice, after all.\Say, Chise,\how does one feel when they care for another?\How can you tell? response:	Well...
context: I can't deny that.\But...\I'll believe in you.\You're my apprentice, after all.\Say, Chise,\how does one feel when they care for another?\How can you tell?\Well... response:	As I've said before, I can't empathize.
context: But...\I'll believe in you.\You're my apprentice, after all.\Say, Chise,\how does one feel when they care for another?\How can you tell?\Well...\As I've said before, I can't empathize. response:	So even if I wanted to say to you what you said to me, I would be lying.
