context: Puella Magi Meduka Magica Episode 12 response:	CAN THE SHIT HIT THE FUCKING FAN? LET'S FIND OUT...
context: I finally understood.\I finally found a wish that I want fulfilled.\That's why I want to use this life.\Stop! If you do that...\If you do that, I...\What have I...?!\Sorry, I'm really sorry.\All this time, response:	I've always been protected by Homura-chan.
context: I finally found a wish that I want fulfilled.\That's why I want to use this life.\Stop! If you do that...\If you do that, I...\What have I...?!\Sorry, I'm really sorry.\All this time,\I've always been protected by Homura-chan. response:	It's because of that, I'm still here today.
context: That's why I want to use this life.\Stop! If you do that...\If you do that, I...\What have I...?!\Sorry, I'm really sorry.\All this time,\I've always been protected by Homura-chan.\It's because of that, I'm still here today. response:	I'm really sorry.
context: Stop! If you do that...\If you do that, I...\What have I...?!\Sorry, I'm really sorry.\All this time,\I've always been protected by Homura-chan.\It's because of that, I'm still here today.\I'm really sorry. response:	This is the answer that I've been looking for.
context: If you do that, I...\What have I...?!\Sorry, I'm really sorry.\All this time,\I've always been protected by Homura-chan.\It's because of that, I'm still here today.\I'm really sorry.\This is the answer that I've been looking for. response:	So, please believe in me.
context: What have I...?!\Sorry, I'm really sorry.\All this time,\I've always been protected by Homura-chan.\It's because of that, I'm still here today.\I'm really sorry.\This is the answer that I've been looking for.\So, please believe in me. response:	I definitely will not waste all of Homura-chan's effort.
context: Sorry, I'm really sorry.\All this time,\I've always been protected by Homura-chan.\It's because of that, I'm still here today.\I'm really sorry.\This is the answer that I've been looking for.\So, please believe in me.\I definitely will not waste all of Homura-chan's effort. response:	Madoka...
context: All this time,\I've always been protected by Homura-chan.\It's because of that, I'm still here today.\I'm really sorry.\This is the answer that I've been looking for.\So, please believe in me.\I definitely will not waste all of Homura-chan's effort.\Madoka... response:	You've gathered the cause-and-effects of countless worlds.
context: I've always been protected by Homura-chan.\It's because of that, I'm still here today.\I'm really sorry.\This is the answer that I've been looking for.\So, please believe in me.\I definitely will not waste all of Homura-chan's effort.\Madoka...\You've gathered the cause-and-effects of countless worlds. response:	If you manifest all of those, you can probably fulfill any wish you want.
context: It's because of that, I'm still here today.\I'm really sorry.\This is the answer that I've been looking for.\So, please believe in me.\I definitely will not waste all of Homura-chan's effort.\Madoka...\You've gathered the cause-and-effects of countless worlds.\If you manifest all of those, you can probably fulfill any wish you want. response:	Really?
context: I'm really sorry.\This is the answer that I've been looking for.\So, please believe in me.\I definitely will not waste all of Homura-chan's effort.\Madoka...\You've gathered the cause-and-effects of countless worlds.\If you manifest all of those, you can probably fulfill any wish you want.\Really? response:	So, Kaname Madoka.
context: This is the answer that I've been looking for.\So, please believe in me.\I definitely will not waste all of Homura-chan's effort.\Madoka...\You've gathered the cause-and-effects of countless worlds.\If you manifest all of those, you can probably fulfill any wish you want.\Really?\So, Kaname Madoka. response:	In exchange for your soul, what do you wish for?
context: So, please believe in me.\I definitely will not waste all of Homura-chan's effort.\Madoka...\You've gathered the cause-and-effects of countless worlds.\If you manifest all of those, you can probably fulfill any wish you want.\Really?\So, Kaname Madoka.\In exchange for your soul, what do you wish for? response:	I wish that every Magic was erased before they were even born!
context: I definitely will not waste all of Homura-chan's effort.\Madoka...\You've gathered the cause-and-effects of countless worlds.\If you manifest all of those, you can probably fulfill any wish you want.\Really?\So, Kaname Madoka.\In exchange for your soul, what do you wish for?\I wish that every Magic was erased before they were even born! response:	Every Magic from the entire universe.
context: Madoka...\You've gathered the cause-and-effects of countless worlds.\If you manifest all of those, you can probably fulfill any wish you want.\Really?\So, Kaname Madoka.\In exchange for your soul, what do you wish for?\I wish that every Magic was erased before they were even born!\Every Magic from the entire universe. response:	All of the Magic from the past and the future.
context: You've gathered the cause-and-effects of countless worlds.\If you manifest all of those, you can probably fulfill any wish you want.\Really?\So, Kaname Madoka.\In exchange for your soul, what do you wish for?\I wish that every Magic was erased before they were even born!\Every Magic from the entire universe.\All of the Magic from the past and the future. response:	With these hands...
context: If you manifest all of those, you can probably fulfill any wish you want.\Really?\So, Kaname Madoka.\In exchange for your soul, what do you wish for?\I wish that every Magic was erased before they were even born!\Every Magic from the entire universe.\All of the Magic from the past and the future.\With these hands... response:	That wish...
context: Really?\So, Kaname Madoka.\In exchange for your soul, what do you wish for?\I wish that every Magic was erased before they were even born!\Every Magic from the entire universe.\All of the Magic from the past and the future.\With these hands...\That wish... response:	if you realize this wish,
context: So, Kaname Madoka.\In exchange for your soul, what do you wish for?\I wish that every Magic was erased before they were even born!\Every Magic from the entire universe.\All of the Magic from the past and the future.\With these hands...\That wish...\if you realize this wish, response:	then it's greater in magnitude than tampering with time!
context: In exchange for your soul, what do you wish for?\I wish that every Magic was erased before they were even born!\Every Magic from the entire universe.\All of the Magic from the past and the future.\With these hands...\That wish...\if you realize this wish,\then it's greater in magnitude than tampering with time! response:	It's a violation of the principle of cause-and-effect itself!
context: I wish that every Magic was erased before they were even born!\Every Magic from the entire universe.\All of the Magic from the past and the future.\With these hands...\That wish...\if you realize this wish,\then it's greater in magnitude than tampering with time!\It's a violation of the principle of cause-and-effect itself! response:	Do you really want to become a god?
context: Every Magic from the entire universe.\All of the Magic from the past and the future.\With these hands...\That wish...\if you realize this wish,\then it's greater in magnitude than tampering with time!\It's a violation of the principle of cause-and-effect itself!\Do you really want to become a god? response:	God or whatever is fine.
context: All of the Magic from the past and the future.\With these hands...\That wish...\if you realize this wish,\then it's greater in magnitude than tampering with time!\It's a violation of the principle of cause-and-effect itself!\Do you really want to become a god?\God or whatever is fine. response:	Everyone who has fought Magic up until now,
context: With these hands...\That wish...\if you realize this wish,\then it's greater in magnitude than tampering with time!\It's a violation of the principle of cause-and-effect itself!\Do you really want to become a god?\God or whatever is fine.\Everyone who has fought Magic up until now, response:	and all the Magical Girls who believed in hope...
context: That wish...\if you realize this wish,\then it's greater in magnitude than tampering with time!\It's a violation of the principle of cause-and-effect itself!\Do you really want to become a god?\God or whatever is fine.\Everyone who has fought Magic up until now,\and all the Magical Girls who believed in hope... response:	I don't want them to suffer.
context: if you realize this wish,\then it's greater in magnitude than tampering with time!\It's a violation of the principle of cause-and-effect itself!\Do you really want to become a god?\God or whatever is fine.\Everyone who has fought Magic up until now,\and all the Magical Girls who believed in hope...\I don't want them to suffer. response:	I want them to keep their smiles even to the end!
context: then it's greater in magnitude than tampering with time!\It's a violation of the principle of cause-and-effect itself!\Do you really want to become a god?\God or whatever is fine.\Everyone who has fought Magic up until now,\and all the Magical Girls who believed in hope...\I don't want them to suffer.\I want them to keep their smiles even to the end! response:	And those rules that hinder me from doing so...
context: It's a violation of the principle of cause-and-effect itself!\Do you really want to become a god?\God or whatever is fine.\Everyone who has fought Magic up until now,\and all the Magical Girls who believed in hope...\I don't want them to suffer.\I want them to keep their smiles even to the end!\And those rules that hinder me from doing so... response:	Watch me break them.
context: Do you really want to become a god?\God or whatever is fine.\Everyone who has fought Magic up until now,\and all the Magical Girls who believed in hope...\I don't want them to suffer.\I want them to keep their smiles even to the end!\And those rules that hinder me from doing so...\Watch me break them. response:	Watch me change them.
context: God or whatever is fine.\Everyone who has fought Magic up until now,\and all the Magical Girls who believed in hope...\I don't want them to suffer.\I want them to keep their smiles even to the end!\And those rules that hinder me from doing so...\Watch me break them.\Watch me change them. response:	That is my wish.
context: Everyone who has fought Magic up until now,\and all the Magical Girls who believed in hope...\I don't want them to suffer.\I want them to keep their smiles even to the end!\And those rules that hinder me from doing so...\Watch me break them.\Watch me change them.\That is my wish. response:	My wish.
context: and all the Magical Girls who believed in hope...\I don't want them to suffer.\I want them to keep their smiles even to the end!\And those rules that hinder me from doing so...\Watch me break them.\Watch me change them.\That is my wish.\My wish. response:	Okay, fulfill it!
context: I don't want them to suffer.\I want them to keep their smiles even to the end!\And those rules that hinder me from doing so...\Watch me break them.\Watch me change them.\That is my wish.\My wish.\Okay, fulfill it! response:	Incubator!
context: I want them to keep their smiles even to the end!\And those rules that hinder me from doing so...\Watch me break them.\Watch me change them.\That is my wish.\My wish.\Okay, fulfill it!\Incubator! response:	Episode 12 My Greatest Friend
context: And those rules that hinder me from doing so...\Watch me break them.\Watch me change them.\That is my wish.\My wish.\Okay, fulfill it!\Incubator!\Episode 12 My Greatest Friend response:	Episode 12 My Greatest Friend
context: Watch me break them.\Watch me change them.\That is my wish.\My wish.\Okay, fulfill it!\Incubator!\Episode 12 My Greatest Friend\Episode 12 My Greatest Friend response:	Episode 12 My Greatest Friend
context: Watch me change them.\That is my wish.\My wish.\Okay, fulfill it!\Incubator!\Episode 12 My Greatest Friend\Episode 12 My Greatest Friend\Episode 12 My Greatest Friend response:	Kaname-san, do you understand how scary that wish is?
context: That is my wish.\My wish.\Okay, fulfill it!\Incubator!\Episode 12 My Greatest Friend\Episode 12 My Greatest Friend\Episode 12 My Greatest Friend\Kaname-san, do you understand how scary that wish is? response:	Somewhat.
context: My wish.\Okay, fulfill it!\Incubator!\Episode 12 My Greatest Friend\Episode 12 My Greatest Friend\Episode 12 My Greatest Friend\Kaname-san, do you understand how scary that wish is?\Somewhat. response:	What you are beginning is an endless battle throughout time, in both the past and the future.
context: Okay, fulfill it!\Incubator!\Episode 12 My Greatest Friend\Episode 12 My Greatest Friend\Episode 12 My Greatest Friend\Kaname-san, do you understand how scary that wish is?\Somewhat.\What you are beginning is an endless battle throughout time, in both the past and the future. response:	As such, you definitely will not be the same.
context: Incubator!\Episode 12 My Greatest Friend\Episode 12 My Greatest Friend\Episode 12 My Greatest Friend\Kaname-san, do you understand how scary that wish is?\Somewhat.\What you are beginning is an endless battle throughout time, in both the past and the future.\As such, you definitely will not be the same. response:	It isn't as simple as death.
context: Episode 12 My Greatest Friend\Episode 12 My Greatest Friend\Episode 12 My Greatest Friend\Kaname-san, do you understand how scary that wish is?\Somewhat.\What you are beginning is an endless battle throughout time, in both the past and the future.\As such, you definitely will not be the same.\It isn't as simple as death. response:	Though the future is eternal, the concept of exterminating Magic will be corrected in this universe.
context: Episode 12 My Greatest Friend\Episode 12 My Greatest Friend\Kaname-san, do you understand how scary that wish is?\Somewhat.\What you are beginning is an endless battle throughout time, in both the past and the future.\As such, you definitely will not be the same.\It isn't as simple as death.\Though the future is eternal, the concept of exterminating Magic will be corrected in this universe. response:	That's fine. That's my plan.
context: Episode 12 My Greatest Friend\Kaname-san, do you understand how scary that wish is?\Somewhat.\What you are beginning is an endless battle throughout time, in both the past and the future.\As such, you definitely will not be the same.\It isn't as simple as death.\Though the future is eternal, the concept of exterminating Magic will be corrected in this universe.\That's fine. That's my plan. response:	If someone else tells me that having hope is a mistake,
context: Kaname-san, do you understand how scary that wish is?\Somewhat.\What you are beginning is an endless battle throughout time, in both the past and the future.\As such, you definitely will not be the same.\It isn't as simple as death.\Though the future is eternal, the concept of exterminating Magic will be corrected in this universe.\That's fine. That's my plan.\If someone else tells me that having hope is a mistake, response:	I will reject that statement every time.
context: Somewhat.\What you are beginning is an endless battle throughout time, in both the past and the future.\As such, you definitely will not be the same.\It isn't as simple as death.\Though the future is eternal, the concept of exterminating Magic will be corrected in this universe.\That's fine. That's my plan.\If someone else tells me that having hope is a mistake,\I will reject that statement every time. response:	No matter how many times I would have to.
context: What you are beginning is an endless battle throughout time, in both the past and the future.\As such, you definitely will not be the same.\It isn't as simple as death.\Though the future is eternal, the concept of exterminating Magic will be corrected in this universe.\That's fine. That's my plan.\If someone else tells me that having hope is a mistake,\I will reject that statement every time.\No matter how many times I would have to. response:	That's good, isn't it?
context: As such, you definitely will not be the same.\It isn't as simple as death.\Though the future is eternal, the concept of exterminating Magic will be corrected in this universe.\That's fine. That's my plan.\If someone else tells me that having hope is a mistake,\I will reject that statement every time.\No matter how many times I would have to.\That's good, isn't it? response:	Go try it, regardless.
context: It isn't as simple as death.\Though the future is eternal, the concept of exterminating Magic will be corrected in this universe.\That's fine. That's my plan.\If someone else tells me that having hope is a mistake,\I will reject that statement every time.\No matter how many times I would have to.\That's good, isn't it?\Go try it, regardless. response:	You found a reason to fight.
context: Though the future is eternal, the concept of exterminating Magic will be corrected in this universe.\That's fine. That's my plan.\If someone else tells me that having hope is a mistake,\I will reject that statement every time.\No matter how many times I would have to.\That's good, isn't it?\Go try it, regardless.\You found a reason to fight. response:	You decided not to run and hide.
context: That's fine. That's my plan.\If someone else tells me that having hope is a mistake,\I will reject that statement every time.\No matter how many times I would have to.\That's good, isn't it?\Go try it, regardless.\You found a reason to fight.\You decided not to run and hide. response:	Then it can't be helped, right?
context: If someone else tells me that having hope is a mistake,\I will reject that statement every time.\No matter how many times I would have to.\That's good, isn't it?\Go try it, regardless.\You found a reason to fight.\You decided not to run and hide.\Then it can't be helped, right? response:	The only other option is to charge forward with all your strength!
context: I will reject that statement every time.\No matter how many times I would have to.\That's good, isn't it?\Go try it, regardless.\You found a reason to fight.\You decided not to run and hide.\Then it can't be helped, right?\The only other option is to charge forward with all your strength! response:	Yeah, thank you, Kyoko-chan.
context: No matter how many times I would have to.\That's good, isn't it?\Go try it, regardless.\You found a reason to fight.\You decided not to run and hide.\Then it can't be helped, right?\The only other option is to charge forward with all your strength!\Yeah, thank you, Kyoko-chan. response:	So, I have to return something that you had left with me.
context: That's good, isn't it?\Go try it, regardless.\You found a reason to fight.\You decided not to run and hide.\Then it can't be helped, right?\The only other option is to charge forward with all your strength!\Yeah, thank you, Kyoko-chan.\So, I have to return something that you had left with me. response:	Here.
context: Go try it, regardless.\You found a reason to fight.\You decided not to run and hide.\Then it can't be helped, right?\The only other option is to charge forward with all your strength!\Yeah, thank you, Kyoko-chan.\So, I have to return something that you had left with me.\Here. response:	You're not actually fulfilling your wish.
context: You found a reason to fight.\You decided not to run and hide.\Then it can't be helped, right?\The only other option is to charge forward with all your strength!\Yeah, thank you, Kyoko-chan.\So, I have to return something that you had left with me.\Here.\You're not actually fulfilling your wish. response:	You are becoming hope itself.
context: You decided not to run and hide.\Then it can't be helped, right?\The only other option is to charge forward with all your strength!\Yeah, thank you, Kyoko-chan.\So, I have to return something that you had left with me.\Here.\You're not actually fulfilling your wish.\You are becoming hope itself. response:	Becoming the hope of all of us.
context: Then it can't be helped, right?\The only other option is to charge forward with all your strength!\Yeah, thank you, Kyoko-chan.\So, I have to return something that you had left with me.\Here.\You're not actually fulfilling your wish.\You are becoming hope itself.\Becoming the hope of all of us. response:	Your wishes will definitely not be allowed to end in despair.
context: The only other option is to charge forward with all your strength!\Yeah, thank you, Kyoko-chan.\So, I have to return something that you had left with me.\Here.\You're not actually fulfilling your wish.\You are becoming hope itself.\Becoming the hope of all of us.\Your wishes will definitely not be allowed to end in despair. response:	You won't have to curse anyone.
context: Yeah, thank you, Kyoko-chan.\So, I have to return something that you had left with me.\Here.\You're not actually fulfilling your wish.\You are becoming hope itself.\Becoming the hope of all of us.\Your wishes will definitely not be allowed to end in despair.\You won't have to curse anyone. response:	You won't have to hurt anyone.
context: So, I have to return something that you had left with me.\Here.\You're not actually fulfilling your wish.\You are becoming hope itself.\Becoming the hope of all of us.\Your wishes will definitely not be allowed to end in despair.\You won't have to curse anyone.\You won't have to hurt anyone. response:	I will bear all the cause-and-effects.
context: Here.\You're not actually fulfilling your wish.\You are becoming hope itself.\Becoming the hope of all of us.\Your wishes will definitely not be allowed to end in despair.\You won't have to curse anyone.\You won't have to hurt anyone.\I will bear all the cause-and-effects. response:	So, please!
context: You're not actually fulfilling your wish.\You are becoming hope itself.\Becoming the hope of all of us.\Your wishes will definitely not be allowed to end in despair.\You won't have to curse anyone.\You won't have to hurt anyone.\I will bear all the cause-and-effects.\So, please! response:	Believe in yourself!
context: You are becoming hope itself.\Becoming the hope of all of us.\Your wishes will definitely not be allowed to end in despair.\You won't have to curse anyone.\You won't have to hurt anyone.\I will bear all the cause-and-effects.\So, please!\Believe in yourself! response:	To the very end!
context: Becoming the hope of all of us.\Your wishes will definitely not be allowed to end in despair.\You won't have to curse anyone.\You won't have to hurt anyone.\I will bear all the cause-and-effects.\So, please!\Believe in yourself!\To the very end! response:	That's enough.
context: Your wishes will definitely not be allowed to end in despair.\You won't have to curse anyone.\You won't have to hurt anyone.\I will bear all the cause-and-effects.\So, please!\Believe in yourself!\To the very end!\That's enough. response:	That's enough already.
context: You won't have to curse anyone.\You won't have to hurt anyone.\I will bear all the cause-and-effects.\So, please!\Believe in yourself!\To the very end!\That's enough.\That's enough already. response:	You don't have to hate anyone anymore.
context: You won't have to hurt anyone.\I will bear all the cause-and-effects.\So, please!\Believe in yourself!\To the very end!\That's enough.\That's enough already.\You don't have to hate anyone anymore. response:	You don't have to curse anyone anymore.
context: I will bear all the cause-and-effects.\So, please!\Believe in yourself!\To the very end!\That's enough.\That's enough already.\You don't have to hate anyone anymore.\You don't have to curse anyone anymore. response:	Before you become that way,
context: So, please!\Believe in yourself!\To the very end!\That's enough.\That's enough already.\You don't have to hate anyone anymore.\You don't have to curse anyone anymore.\Before you become that way, response:	I will protect you!
context: Believe in yourself!\To the very end!\That's enough.\That's enough already.\You don't have to hate anyone anymore.\You don't have to curse anyone anymore.\Before you become that way,\I will protect you! response:	This place is...
context: To the very end!\That's enough.\That's enough already.\You don't have to hate anyone anymore.\You don't have to curse anyone anymore.\Before you become that way,\I will protect you!\This place is... response:	Based on the new causal laws that Madoka brought, the universe is reworked again.
context: That's enough.\That's enough already.\You don't have to hate anyone anymore.\You don't have to curse anyone anymore.\Before you become that way,\I will protect you!\This place is...\Based on the new causal laws that Madoka brought, the universe is reworked again. response:	I see.
context: That's enough already.\You don't have to hate anyone anymore.\You don't have to curse anyone anymore.\Before you become that way,\I will protect you!\This place is...\Based on the new causal laws that Madoka brought, the universe is reworked again.\I see. response:	You're a Magical Girl that can travel through time as well.
context: You don't have to hate anyone anymore.\You don't have to curse anyone anymore.\Before you become that way,\I will protect you!\This place is...\Based on the new causal laws that Madoka brought, the universe is reworked again.\I see.\You're a Magical Girl that can travel through time as well. response:	So, let's go see the very end.
context: You don't have to curse anyone anymore.\Before you become that way,\I will protect you!\This place is...\Based on the new causal laws that Madoka brought, the universe is reworked again.\I see.\You're a Magical Girl that can travel through time as well.\So, let's go see the very end. response:	The result of the existence of Kaname Madoka.
context: Before you become that way,\I will protect you!\This place is...\Based on the new causal laws that Madoka brought, the universe is reworked again.\I see.\You're a Magical Girl that can travel through time as well.\So, let's go see the very end.\The result of the existence of Kaname Madoka. response:	That is the Soul Gem that her wish had created.
context: I will protect you!\This place is...\Based on the new causal laws that Madoka brought, the universe is reworked again.\I see.\You're a Magical Girl that can travel through time as well.\So, let's go see the very end.\The result of the existence of Kaname Madoka.\That is the Soul Gem that her wish had created. response:	No way...
context: This place is...\Based on the new causal laws that Madoka brought, the universe is reworked again.\I see.\You're a Magical Girl that can travel through time as well.\So, let's go see the very end.\The result of the existence of Kaname Madoka.\That is the Soul Gem that her wish had created.\No way... response:	The price to realize this oversized wish.
context: Based on the new causal laws that Madoka brought, the universe is reworked again.\I see.\You're a Magical Girl that can travel through time as well.\So, let's go see the very end.\The result of the existence of Kaname Madoka.\That is the Soul Gem that her wish had created.\No way...\The price to realize this oversized wish. response:	Do you know how heavy the burden that Madoka has to shoulder is?
context: I see.\You're a Magical Girl that can travel through time as well.\So, let's go see the very end.\The result of the existence of Kaname Madoka.\That is the Soul Gem that her wish had created.\No way...\The price to realize this oversized wish.\Do you know how heavy the burden that Madoka has to shoulder is? response:	Realizing a wish that is akin to creating a universe.
context: You're a Magical Girl that can travel through time as well.\So, let's go see the very end.\The result of the existence of Kaname Madoka.\That is the Soul Gem that her wish had created.\No way...\The price to realize this oversized wish.\Do you know how heavy the burden that Madoka has to shoulder is?\Realizing a wish that is akin to creating a universe. response:	That also means enough despair to end a universe.
context: So, let's go see the very end.\The result of the existence of Kaname Madoka.\That is the Soul Gem that her wish had created.\No way...\The price to realize this oversized wish.\Do you know how heavy the burden that Madoka has to shoulder is?\Realizing a wish that is akin to creating a universe.\That also means enough despair to end a universe. response:	It's expected.
context: The result of the existence of Kaname Madoka.\That is the Soul Gem that her wish had created.\No way...\The price to realize this oversized wish.\Do you know how heavy the burden that Madoka has to shoulder is?\Realizing a wish that is akin to creating a universe.\That also means enough despair to end a universe.\It's expected. response:	It's all right.
context: That is the Soul Gem that her wish had created.\No way...\The price to realize this oversized wish.\Do you know how heavy the burden that Madoka has to shoulder is?\Realizing a wish that is akin to creating a universe.\That also means enough despair to end a universe.\It's expected.\It's all right. response:	My wish was the destruction of all Magic.
context: No way...\The price to realize this oversized wish.\Do you know how heavy the burden that Madoka has to shoulder is?\Realizing a wish that is akin to creating a universe.\That also means enough despair to end a universe.\It's expected.\It's all right.\My wish was the destruction of all Magic. response:	If it is really fulfilled,
context: The price to realize this oversized wish.\Do you know how heavy the burden that Madoka has to shoulder is?\Realizing a wish that is akin to creating a universe.\That also means enough despair to end a universe.\It's expected.\It's all right.\My wish was the destruction of all Magic.\If it is really fulfilled, response:	Then I... do not need to despair!
context: Do you know how heavy the burden that Madoka has to shoulder is?\Realizing a wish that is akin to creating a universe.\That also means enough despair to end a universe.\It's expected.\It's all right.\My wish was the destruction of all Magic.\If it is really fulfilled,\Then I... do not need to despair! response:	Madoka, this way, your life loses its beginning and end.
context: Realizing a wish that is akin to creating a universe.\That also means enough despair to end a universe.\It's expected.\It's all right.\My wish was the destruction of all Magic.\If it is really fulfilled,\Then I... do not need to despair!\Madoka, this way, your life loses its beginning and end. response:	The evidence and memories of your life on Earth will cease to exist.
context: That also means enough despair to end a universe.\It's expected.\It's all right.\My wish was the destruction of all Magic.\If it is really fulfilled,\Then I... do not need to despair!\Madoka, this way, your life loses its beginning and end.\The evidence and memories of your life on Earth will cease to exist. response:	Your existence will become a higher plane and become a mere concept.
context: It's expected.\It's all right.\My wish was the destruction of all Magic.\If it is really fulfilled,\Then I... do not need to despair!\Madoka, this way, your life loses its beginning and end.\The evidence and memories of your life on Earth will cease to exist.\Your existence will become a higher plane and become a mere concept. response:	No one will be able to sense you.
context: It's all right.\My wish was the destruction of all Magic.\If it is really fulfilled,\Then I... do not need to despair!\Madoka, this way, your life loses its beginning and end.\The evidence and memories of your life on Earth will cease to exist.\Your existence will become a higher plane and become a mere concept.\No one will be able to sense you. response:	You won't be able to interact with anyone.
context: My wish was the destruction of all Magic.\If it is really fulfilled,\Then I... do not need to despair!\Madoka, this way, your life loses its beginning and end.\The evidence and memories of your life on Earth will cease to exist.\Your existence will become a higher plane and become a mere concept.\No one will be able to sense you.\You won't be able to interact with anyone. response:	You are no longer a member of this universe.
context: If it is really fulfilled,\Then I... do not need to despair!\Madoka, this way, your life loses its beginning and end.\The evidence and memories of your life on Earth will cease to exist.\Your existence will become a higher plane and become a mere concept.\No one will be able to sense you.\You won't be able to interact with anyone.\You are no longer a member of this universe. response:	What is that supposed to mean?
context: Then I... do not need to despair!\Madoka, this way, your life loses its beginning and end.\The evidence and memories of your life on Earth will cease to exist.\Your existence will become a higher plane and become a mere concept.\No one will be able to sense you.\You won't be able to interact with anyone.\You are no longer a member of this universe.\What is that supposed to mean? response:	Is this the conclusion that Madoka had hoped for?!
context: Madoka, this way, your life loses its beginning and end.\The evidence and memories of your life on Earth will cease to exist.\Your existence will become a higher plane and become a mere concept.\No one will be able to sense you.\You won't be able to interact with anyone.\You are no longer a member of this universe.\What is that supposed to mean?\Is this the conclusion that Madoka had hoped for?! response:	That's what she got in return in the end?!
context: The evidence and memories of your life on Earth will cease to exist.\Your existence will become a higher plane and become a mere concept.\No one will be able to sense you.\You won't be able to interact with anyone.\You are no longer a member of this universe.\What is that supposed to mean?\Is this the conclusion that Madoka had hoped for?!\That's what she got in return in the end?! response:	What joke is this?!
context: Your existence will become a higher plane and become a mere concept.\No one will be able to sense you.\You won't be able to interact with anyone.\You are no longer a member of this universe.\What is that supposed to mean?\Is this the conclusion that Madoka had hoped for?!\That's what she got in return in the end?!\What joke is this?! response:	This outcome...
context: No one will be able to sense you.\You won't be able to interact with anyone.\You are no longer a member of this universe.\What is that supposed to mean?\Is this the conclusion that Madoka had hoped for?!\That's what she got in return in the end?!\What joke is this?!\This outcome... response:	It's too much! It's worse than death; it's too much!
context: You won't be able to interact with anyone.\You are no longer a member of this universe.\What is that supposed to mean?\Is this the conclusion that Madoka had hoped for?!\That's what she got in return in the end?!\What joke is this?!\This outcome...\It's too much! It's worse than death; it's too much! response:	Wrong, Homura-chan.
context: You are no longer a member of this universe.\What is that supposed to mean?\Is this the conclusion that Madoka had hoped for?!\That's what she got in return in the end?!\What joke is this?!\This outcome...\It's too much! It's worse than death; it's too much!\Wrong, Homura-chan. response:	I can now see all of time, both the past and future.
context: What is that supposed to mean?\Is this the conclusion that Madoka had hoped for?!\That's what she got in return in the end?!\What joke is this?!\This outcome...\It's too much! It's worse than death; it's too much!\Wrong, Homura-chan.\I can now see all of time, both the past and future. response:	I can see all of past universes, regardless if they existed or not,
