context: I'm going to run in the Hakone Ekiden. response:	Starting today, I'm going to win over all the guys.
context: What?\Yuki made it to a prefectural kendo tournament with his team.\The twins and King played soccer for three years in high school.\Shindo used to walk ten kilometers through the mountains to get to school and back everyday.\That's not a sport.\And Musa has a hidden talent.\It's prejudiced to think black people are fast runners.\I confirmed in the bath that you've got good muscles. response:	That's why you're always staring at me?
context: Yuki made it to a prefectural kendo tournament with his team.\The twins and King played soccer for three years in high school.\Shindo used to walk ten kilometers through the mountains to get to school and back everyday.\That's not a sport.\And Musa has a hidden talent.\It's prejudiced to think black people are fast runners.\I confirmed in the bath that you've got good muscles.\That's why you're always staring at me? response:	Then there's Kurahara.
context: The twins and King played soccer for three years in high school.\Shindo used to walk ten kilometers through the mountains to get to school and back everyday.\That's not a sport.\And Musa has a hidden talent.\It's prejudiced to think black people are fast runners.\I confirmed in the bath that you've got good muscles.\That's why you're always staring at me?\Then there's Kurahara. response:	I want you guys to see how he runs.
context: Shindo used to walk ten kilometers through the mountains to get to school and back everyday.\That's not a sport.\And Musa has a hidden talent.\It's prejudiced to think black people are fast runners.\I confirmed in the bath that you've got good muscles.\That's why you're always staring at me?\Then there's Kurahara.\I want you guys to see how he runs. response:	Excuse me, but I wasn't included just now.
context: That's not a sport.\And Musa has a hidden talent.\It's prejudiced to think black people are fast runners.\I confirmed in the bath that you've got good muscles.\That's why you're always staring at me?\Then there's Kurahara.\I want you guys to see how he runs.\Excuse me, but I wasn't included just now. response:	In other words, I don't have to run
context: And Musa has a hidden talent.\It's prejudiced to think black people are fast runners.\I confirmed in the bath that you've got good muscles.\That's why you're always staring at me?\Then there's Kurahara.\I want you guys to see how he runs.\Excuse me, but I wasn't included just now.\In other words, I don't have to run response:	We finally have ten.
context: It's prejudiced to think black people are fast runners.\I confirmed in the bath that you've got good muscles.\That's why you're always staring at me?\Then there's Kurahara.\I want you guys to see how he runs.\Excuse me, but I wasn't included just now.\In other words, I don't have to run\We finally have ten. response:	Apparently, you're included.
context: I confirmed in the bath that you've got good muscles.\That's why you're always staring at me?\Then there's Kurahara.\I want you guys to see how he runs.\Excuse me, but I wasn't included just now.\In other words, I don't have to run\We finally have ten.\Apparently, you're included. response:	I'm not going to run with you guys.
context: That's why you're always staring at me?\Then there's Kurahara.\I want you guys to see how he runs.\Excuse me, but I wasn't included just now.\In other words, I don't have to run\We finally have ten.\Apparently, you're included.\I'm not going to run with you guys. response:	The Ogre's Arrival
context: Then there's Kurahara.\I want you guys to see how he runs.\Excuse me, but I wasn't included just now.\In other words, I don't have to run\We finally have ten.\Apparently, you're included.\I'm not going to run with you guys.\The Ogre's Arrival response:	Kurahara, there's an open seat there.
context: I want you guys to see how he runs.\Excuse me, but I wasn't included just now.\In other words, I don't have to run\We finally have ten.\Apparently, you're included.\I'm not going to run with you guys.\The Ogre's Arrival\Kurahara, there's an open seat there. response:	Huh?
context: Excuse me, but I wasn't included just now.\In other words, I don't have to run\We finally have ten.\Apparently, you're included.\I'm not going to run with you guys.\The Ogre's Arrival\Kurahara, there's an open seat there.\Huh? response:	Latecomers sit over there.
context: In other words, I don't have to run\We finally have ten.\Apparently, you're included.\I'm not going to run with you guys.\The Ogre's Arrival\Kurahara, there's an open seat there.\Huh?\Latecomers sit over there. response:	Have as many helpings as you'd like.
context: We finally have ten.\Apparently, you're included.\I'm not going to run with you guys.\The Ogre's Arrival\Kurahara, there's an open seat there.\Huh?\Latecomers sit over there.\Have as many helpings as you'd like. response:	Thanks for the food.
context: Apparently, you're included.\I'm not going to run with you guys.\The Ogre's Arrival\Kurahara, there's an open seat there.\Huh?\Latecomers sit over there.\Have as many helpings as you'd like.\Thanks for the food. response:	That chair's mine.
context: I'm not going to run with you guys.\The Ogre's Arrival\Kurahara, there's an open seat there.\Huh?\Latecomers sit over there.\Have as many helpings as you'd like.\Thanks for the food.\That chair's mine. response:	Chikusei-so Cleaning Duty Schedule
context: The Ogre's Arrival\Kurahara, there's an open seat there.\Huh?\Latecomers sit over there.\Have as many helpings as you'd like.\Thanks for the food.\That chair's mine.\Chikusei-so Cleaning Duty Schedule response:	I'm going to clean the toilets.
context: Kurahara, there's an open seat there.\Huh?\Latecomers sit over there.\Have as many helpings as you'd like.\Thanks for the food.\That chair's mine.\Chikusei-so Cleaning Duty Schedule\I'm going to clean the toilets. response:	Thanks.
context: Huh?\Latecomers sit over there.\Have as many helpings as you'd like.\Thanks for the food.\That chair's mine.\Chikusei-so Cleaning Duty Schedule\I'm going to clean the toilets.\Thanks. response:	I'm going to feed Nira.
context: Latecomers sit over there.\Have as many helpings as you'd like.\Thanks for the food.\That chair's mine.\Chikusei-so Cleaning Duty Schedule\I'm going to clean the toilets.\Thanks.\I'm going to feed Nira. response:	No one's going along with Haiji's plan, right?
context: Have as many helpings as you'd like.\Thanks for the food.\That chair's mine.\Chikusei-so Cleaning Duty Schedule\I'm going to clean the toilets.\Thanks.\I'm going to feed Nira.\No one's going along with Haiji's plan, right? response:	That thing he mentioned yesterday? Yeah, right.
context: Thanks for the food.\That chair's mine.\Chikusei-so Cleaning Duty Schedule\I'm going to clean the toilets.\Thanks.\I'm going to feed Nira.\No one's going along with Haiji's plan, right?\That thing he mentioned yesterday? Yeah, right. response:	There's no way. Absolutely not.
context: That chair's mine.\Chikusei-so Cleaning Duty Schedule\I'm going to clean the toilets.\Thanks.\I'm going to feed Nira.\No one's going along with Haiji's plan, right?\That thing he mentioned yesterday? Yeah, right.\There's no way. Absolutely not. response:	Oh, really? Good.
context: Chikusei-so Cleaning Duty Schedule\I'm going to clean the toilets.\Thanks.\I'm going to feed Nira.\No one's going along with Haiji's plan, right?\That thing he mentioned yesterday? Yeah, right.\There's no way. Absolutely not.\Oh, really? Good. response:	I was going to run away if you guys said you'd do it.
context: I'm going to clean the toilets.\Thanks.\I'm going to feed Nira.\No one's going along with Haiji's plan, right?\That thing he mentioned yesterday? Yeah, right.\There's no way. Absolutely not.\Oh, really? Good.\I was going to run away if you guys said you'd do it. response:	It's too sudden.
context: Thanks.\I'm going to feed Nira.\No one's going along with Haiji's plan, right?\That thing he mentioned yesterday? Yeah, right.\There's no way. Absolutely not.\Oh, really? Good.\I was going to run away if you guys said you'd do it.\It's too sudden. response:	It's a scam.
context: I'm going to feed Nira.\No one's going along with Haiji's plan, right?\That thing he mentioned yesterday? Yeah, right.\There's no way. Absolutely not.\Oh, really? Good.\I was going to run away if you guys said you'd do it.\It's too sudden.\It's a scam. response:	What did Musa say?
context: No one's going along with Haiji's plan, right?\That thing he mentioned yesterday? Yeah, right.\There's no way. Absolutely not.\Oh, really? Good.\I was going to run away if you guys said you'd do it.\It's too sudden.\It's a scam.\What did Musa say? response:	Between school and work, he's too busy.
context: That thing he mentioned yesterday? Yeah, right.\There's no way. Absolutely not.\Oh, really? Good.\I was going to run away if you guys said you'd do it.\It's too sudden.\It's a scam.\What did Musa say?\Between school and work, he's too busy. response:	So everyone's against it.
context: There's no way. Absolutely not.\Oh, really? Good.\I was going to run away if you guys said you'd do it.\It's too sudden.\It's a scam.\What did Musa say?\Between school and work, he's too busy.\So everyone's against it. response:	Got it, newbie?
context: Oh, really? Good.\I was going to run away if you guys said you'd do it.\It's too sudden.\It's a scam.\What did Musa say?\Between school and work, he's too busy.\So everyone's against it.\Got it, newbie? response:	But...
context: I was going to run away if you guys said you'd do it.\It's too sudden.\It's a scam.\What did Musa say?\Between school and work, he's too busy.\So everyone's against it.\Got it, newbie?\But... response:	I doubt he'd just back down.
context: It's too sudden.\It's a scam.\What did Musa say?\Between school and work, he's too busy.\So everyone's against it.\Got it, newbie?\But...\I doubt he'd just back down. response:	These are the most luxurious dishes we've been served all month.
context: It's a scam.\What did Musa say?\Between school and work, he's too busy.\So everyone's against it.\Got it, newbie?\But...\I doubt he'd just back down.\These are the most luxurious dishes we've been served all month. response:	He's domesticated us, hasn't he?
context: What did Musa say?\Between school and work, he's too busy.\So everyone's against it.\Got it, newbie?\But...\I doubt he'd just back down.\These are the most luxurious dishes we've been served all month.\He's domesticated us, hasn't he? response:	I know, Kakeru. We're going to school today.
context: Between school and work, he's too busy.\So everyone's against it.\Got it, newbie?\But...\I doubt he'd just back down.\These are the most luxurious dishes we've been served all month.\He's domesticated us, hasn't he?\I know, Kakeru. We're going to school today. response:	Wanna join us?
context: So everyone's against it.\Got it, newbie?\But...\I doubt he'd just back down.\These are the most luxurious dishes we've been served all month.\He's domesticated us, hasn't he?\I know, Kakeru. We're going to school today.\Wanna join us? response:	Huh?
context: Got it, newbie?\But...\I doubt he'd just back down.\These are the most luxurious dishes we've been served all month.\He's domesticated us, hasn't he?\I know, Kakeru. We're going to school today.\Wanna join us?\Huh? response:	We thought we'd check things out before the entrance ceremony.
context: But...\I doubt he'd just back down.\These are the most luxurious dishes we've been served all month.\He's domesticated us, hasn't he?\I know, Kakeru. We're going to school today.\Wanna join us?\Huh?\We thought we'd check things out before the entrance ceremony. response:	Kansei University
context: I doubt he'd just back down.\These are the most luxurious dishes we've been served all month.\He's domesticated us, hasn't he?\I know, Kakeru. We're going to school today.\Wanna join us?\Huh?\We thought we'd check things out before the entrance ceremony.\Kansei University response:	Joji, they've got a soccer club.
context: These are the most luxurious dishes we've been served all month.\He's domesticated us, hasn't he?\I know, Kakeru. We're going to school today.\Wanna join us?\Huh?\We thought we'd check things out before the entrance ceremony.\Kansei University\Joji, they've got a soccer club. response:	Yeah, there's about five.
context: He's domesticated us, hasn't he?\I know, Kakeru. We're going to school today.\Wanna join us?\Huh?\We thought we'd check things out before the entrance ceremony.\Kansei University\Joji, they've got a soccer club.\Yeah, there's about five. response:	I don't know which to join.
context: I know, Kakeru. We're going to school today.\Wanna join us?\Huh?\We thought we'd check things out before the entrance ceremony.\Kansei University\Joji, they've got a soccer club.\Yeah, there's about five.\I don't know which to join. response:	You're going to keep playing soccer?
context: Wanna join us?\Huh?\We thought we'd check things out before the entrance ceremony.\Kansei University\Joji, they've got a soccer club.\Yeah, there's about five.\I don't know which to join.\You're going to keep playing soccer? response:	Huh?
context: Huh?\We thought we'd check things out before the entrance ceremony.\Kansei University\Joji, they've got a soccer club.\Yeah, there's about five.\I don't know which to join.\You're going to keep playing soccer?\Huh? response:	Well, you heard what Haiji said.
context: We thought we'd check things out before the entrance ceremony.\Kansei University\Joji, they've got a soccer club.\Yeah, there's about five.\I don't know which to join.\You're going to keep playing soccer?\Huh?\Well, you heard what Haiji said. response:	That makes it harder to play.
context: Kansei University\Joji, they've got a soccer club.\Yeah, there's about five.\I don't know which to join.\You're going to keep playing soccer?\Huh?\Well, you heard what Haiji said.\That makes it harder to play. response:	Who cares if you want to play soccer?
context: Joji, they've got a soccer club.\Yeah, there's about five.\I don't know which to join.\You're going to keep playing soccer?\Huh?\Well, you heard what Haiji said.\That makes it harder to play.\Who cares if you want to play soccer? response:	It's not that we want to play soccer.
context: Yeah, there's about five.\I don't know which to join.\You're going to keep playing soccer?\Huh?\Well, you heard what Haiji said.\That makes it harder to play.\Who cares if you want to play soccer?\It's not that we want to play soccer. response:	The problem is the girls.
context: I don't know which to join.\You're going to keep playing soccer?\Huh?\Well, you heard what Haiji said.\That makes it harder to play.\Who cares if you want to play soccer?\It's not that we want to play soccer.\The problem is the girls. response:	What?
context: You're going to keep playing soccer?\Huh?\Well, you heard what Haiji said.\That makes it harder to play.\Who cares if you want to play soccer?\It's not that we want to play soccer.\The problem is the girls.\What? response:	Who doesn't love a cute manager?
context: Huh?\Well, you heard what Haiji said.\That makes it harder to play.\Who cares if you want to play soccer?\It's not that we want to play soccer.\The problem is the girls.\What?\Who doesn't love a cute manager? response:	Hey, the futsal team is co-ed!
context: Well, you heard what Haiji said.\That makes it harder to play.\Who cares if you want to play soccer?\It's not that we want to play soccer.\The problem is the girls.\What?\Who doesn't love a cute manager?\Hey, the futsal team is co-ed! response:	Seriously? Let's go!
context: That makes it harder to play.\Who cares if you want to play soccer?\It's not that we want to play soccer.\The problem is the girls.\What?\Who doesn't love a cute manager?\Hey, the futsal team is co-ed!\Seriously? Let's go! response:	Manga Club
context: Who cares if you want to play soccer?\It's not that we want to play soccer.\The problem is the girls.\What?\Who doesn't love a cute manager?\Hey, the futsal team is co-ed!\Seriously? Let's go!\Manga Club response:	We are the manga club.
context: It's not that we want to play soccer.\The problem is the girls.\What?\Who doesn't love a cute manager?\Hey, the futsal team is co-ed!\Seriously? Let's go!\Manga Club\We are the manga club. response:	We hope you'll consider joining us.
context: The problem is the girls.\What?\Who doesn't love a cute manager?\Hey, the futsal team is co-ed!\Seriously? Let's go!\Manga Club\We are the manga club.\We hope you'll consider joining us. response:	We're accepting new members.
context: What?\Who doesn't love a cute manager?\Hey, the futsal team is co-ed!\Seriously? Let's go!\Manga Club\We are the manga club.\We hope you'll consider joining us.\We're accepting new members. response:	Want to join the club?
context: Who doesn't love a cute manager?\Hey, the futsal team is co-ed!\Seriously? Let's go!\Manga Club\We are the manga club.\We hope you'll consider joining us.\We're accepting new members.\Want to join the club? response:	In that case, write your name
context: Hey, the futsal team is co-ed!\Seriously? Let's go!\Manga Club\We are the manga club.\We hope you'll consider joining us.\We're accepting new members.\Want to join the club?\In that case, write your name response:	You seem energetic.
context: Seriously? Let's go!\Manga Club\We are the manga club.\We hope you'll consider joining us.\We're accepting new members.\Want to join the club?\In that case, write your name\You seem energetic. response:	Could you not stand there?
context: Manga Club\We are the manga club.\We hope you'll consider joining us.\We're accepting new members.\Want to join the club?\In that case, write your name\You seem energetic.\Could you not stand there? response:	It won't be easy for you to pack, so I thought I'd tell you first.
context: We are the manga club.\We hope you'll consider joining us.\We're accepting new members.\Want to join the club?\In that case, write your name\You seem energetic.\Could you not stand there?\It won't be easy for you to pack, so I thought I'd tell you first. response:	Pack?
context: We hope you'll consider joining us.\We're accepting new members.\Want to join the club?\In that case, write your name\You seem energetic.\Could you not stand there?\It won't be easy for you to pack, so I thought I'd tell you first.\Pack? response:	Apparently, you can't stay at Aotake if you're not on the track and field team.
context: We're accepting new members.\Want to join the club?\In that case, write your name\You seem energetic.\Could you not stand there?\It won't be easy for you to pack, so I thought I'd tell you first.\Pack?\Apparently, you can't stay at Aotake if you're not on the track and field team. response:	In other words, if you refuse to be on the team, you have to move
context: Want to join the club?\In that case, write your name\You seem energetic.\Could you not stand there?\It won't be easy for you to pack, so I thought I'd tell you first.\Pack?\Apparently, you can't stay at Aotake if you're not on the track and field team.\In other words, if you refuse to be on the team, you have to move response:	You're kicking me out?
context: In that case, write your name\You seem energetic.\Could you not stand there?\It won't be easy for you to pack, so I thought I'd tell you first.\Pack?\Apparently, you can't stay at Aotake if you're not on the track and field team.\In other words, if you refuse to be on the team, you have to move\You're kicking me out? response:	No, no. Careful how you phrase it.
context: You seem energetic.\Could you not stand there?\It won't be easy for you to pack, so I thought I'd tell you first.\Pack?\Apparently, you can't stay at Aotake if you're not on the track and field team.\In other words, if you refuse to be on the team, you have to move\You're kicking me out?\No, no. Careful how you phrase it. response:	I'm just saying you can't live there if you don't ru
context: Could you not stand there?\It won't be easy for you to pack, so I thought I'd tell you first.\Pack?\Apparently, you can't stay at Aotake if you're not on the track and field team.\In other words, if you refuse to be on the team, you have to move\You're kicking me out?\No, no. Careful how you phrase it.\I'm just saying you can't live there if you don't ru response:	You're kicking me out!
context: It won't be easy for you to pack, so I thought I'd tell you first.\Pack?\Apparently, you can't stay at Aotake if you're not on the track and field team.\In other words, if you refuse to be on the team, you have to move\You're kicking me out?\No, no. Careful how you phrase it.\I'm just saying you can't live there if you don't ru\You're kicking me out! response:	I guess you could say that.
context: Pack?\Apparently, you can't stay at Aotake if you're not on the track and field team.\In other words, if you refuse to be on the team, you have to move\You're kicking me out?\No, no. Careful how you phrase it.\I'm just saying you can't live there if you don't ru\You're kicking me out!\I guess you could say that. response:	It'll cost a fortune to move all that stuff.
context: Apparently, you can't stay at Aotake if you're not on the track and field team.\In other words, if you refuse to be on the team, you have to move\You're kicking me out?\No, no. Careful how you phrase it.\I'm just saying you can't live there if you don't ru\You're kicking me out!\I guess you could say that.\It'll cost a fortune to move all that stuff. response:	But you don't have to leave if you join the team.
context: In other words, if you refuse to be on the team, you have to move\You're kicking me out?\No, no. Careful how you phrase it.\I'm just saying you can't live there if you don't ru\You're kicking me out!\I guess you could say that.\It'll cost a fortune to move all that stuff.\But you don't have to leave if you join the team. response:	Placement Office
context: You're kicking me out?\No, no. Careful how you phrase it.\I'm just saying you can't live there if you don't ru\You're kicking me out!\I guess you could say that.\It'll cost a fortune to move all that stuff.\But you don't have to leave if you join the team.\Placement Office response:	Take a Job Fitness Exam
context: No, no. Careful how you phrase it.\I'm just saying you can't live there if you don't ru\You're kicking me out!\I guess you could say that.\It'll cost a fortune to move all that stuff.\But you don't have to leave if you join the team.\Placement Office\Take a Job Fitness Exam response:	Eligible subjects
context: I'm just saying you can't live there if you don't ru\You're kicking me out!\I guess you could say that.\It'll cost a fortune to move all that stuff.\But you don't have to leave if you join the team.\Placement Office\Take a Job Fitness Exam\Eligible subjects response:	University students
context: You're kicking me out!\I guess you could say that.\It'll cost a fortune to move all that stuff.\But you don't have to leave if you join the team.\Placement Office\Take a Job Fitness Exam\Eligible subjects\University students response:	Details
context: I guess you could say that.\It'll cost a fortune to move all that stuff.\But you don't have to leave if you join the team.\Placement Office\Take a Job Fitness Exam\Eligible subjects\University students\Details response:	1) Receive an evaluation 3) Find the right job
context: It'll cost a fortune to move all that stuff.\But you don't have to leave if you join the team.\Placement Office\Take a Job Fitness Exam\Eligible subjects\University students\Details\1) Receive an evaluation 3) Find the right job response:	2) Search for job information 4) Plan your career
context: But you don't have to leave if you join the team.\Placement Office\Take a Job Fitness Exam\Eligible subjects\University students\Details\1) Receive an evaluation 3) Find the right job\2) Search for job information 4) Plan your career response:	You'll get to experience all four steps in choosing a job.
context: Placement Office\Take a Job Fitness Exam\Eligible subjects\University students\Details\1) Receive an evaluation 3) Find the right job\2) Search for job information 4) Plan your career\You'll get to experience all four steps in choosing a job. response:	Looking for a job, huh?
context: Take a Job Fitness Exam\Eligible subjects\University students\Details\1) Receive an evaluation 3) Find the right job\2) Search for job information 4) Plan your career\You'll get to experience all four steps in choosing a job.\Looking for a job, huh? response:	What kind of a job do you want?
context: Eligible subjects\University students\Details\1) Receive an evaluation 3) Find the right job\2) Search for job information 4) Plan your career\You'll get to experience all four steps in choosing a job.\Looking for a job, huh?\What kind of a job do you want? response:	Why should I tell you?
context: University students\Details\1) Receive an evaluation 3) Find the right job\2) Search for job information 4) Plan your career\You'll get to experience all four steps in choosing a job.\Looking for a job, huh?\What kind of a job do you want?\Why should I tell you? response:	Mass media, right?
context: Details\1) Receive an evaluation 3) Find the right job\2) Search for job information 4) Plan your career\You'll get to experience all four steps in choosing a job.\Looking for a job, huh?\What kind of a job do you want?\Why should I tell you?\Mass media, right? response:	You already know.
context: 1) Receive an evaluation 3) Find the right job\2) Search for job information 4) Plan your career\You'll get to experience all four steps in choosing a job.\Looking for a job, huh?\What kind of a job do you want?\Why should I tell you?\Mass media, right?\You already know. response:	I bet you could talk about the Ekiden at interviews.
context: 2) Search for job information 4) Plan your career\You'll get to experience all four steps in choosing a job.\Looking for a job, huh?\What kind of a job do you want?\Why should I tell you?\Mass media, right?\You already know.\I bet you could talk about the Ekiden at interviews. response:	It's not something everyone gets to experience.
context: You'll get to experience all four steps in choosing a job.\Looking for a job, huh?\What kind of a job do you want?\Why should I tell you?\Mass media, right?\You already know.\I bet you could talk about the Ekiden at interviews.\It's not something everyone gets to experience. response:	It'll help.
context: Looking for a job, huh?\What kind of a job do you want?\Why should I tell you?\Mass media, right?\You already know.\I bet you could talk about the Ekiden at interviews.\It's not something everyone gets to experience.\It'll help. response:	There wasn't a Mountain God this year.
context: What kind of a job do you want?\Why should I tell you?\Mass media, right?\You already know.\I bet you could talk about the Ekiden at interviews.\It's not something everyone gets to experience.\It'll help.\There wasn't a Mountain God this year. response:	University Ekiden Final Summary
context: Why should I tell you?\Mass media, right?\You already know.\I bet you could talk about the Ekiden at interviews.\It's not something everyone gets to experience.\It'll help.\There wasn't a Mountain God this year.\University Ekiden Final Summary response:	Well, they can't name one every year.
context: Mass media, right?\You already know.\I bet you could talk about the Ekiden at interviews.\It's not something everyone gets to experience.\It'll help.\There wasn't a Mountain God this year.\University Ekiden Final Summary\Well, they can't name one every year. response:	It'd reduce its value.
context: You already know.\I bet you could talk about the Ekiden at interviews.\It's not something everyone gets to experience.\It'll help.\There wasn't a Mountain God this year.\University Ekiden Final Summary\Well, they can't name one every year.\It'd reduce its value. response:	Um, Haiji. This is the library.
context: I bet you could talk about the Ekiden at interviews.\It's not something everyone gets to experience.\It'll help.\There wasn't a Mountain God this year.\University Ekiden Final Summary\Well, they can't name one every year.\It'd reduce its value.\Um, Haiji. This is the library. response:	Keep it down.
context: It's not something everyone gets to experience.\It'll help.\There wasn't a Mountain God this year.\University Ekiden Final Summary\Well, they can't name one every year.\It'd reduce its value.\Um, Haiji. This is the library.\Keep it down. response:	Shindo, how about where you're from?
context: It'll help.\There wasn't a Mountain God this year.\University Ekiden Final Summary\Well, they can't name one every year.\It'd reduce its value.\Um, Haiji. This is the library.\Keep it down.\Shindo, how about where you're from? response:	Your hometown.
context: There wasn't a Mountain God this year.\University Ekiden Final Summary\Well, they can't name one every year.\It'd reduce its value.\Um, Haiji. This is the library.\Keep it down.\Shindo, how about where you're from?\Your hometown. response:	It's pretty mountainous, right?
context: University Ekiden Final Summary\Well, they can't name one every year.\It'd reduce its value.\Um, Haiji. This is the library.\Keep it down.\Shindo, how about where you're from?\Your hometown.\It's pretty mountainous, right? response:	What's more treacherous? That or Hakone?
context: Well, they can't name one every year.\It'd reduce its value.\Um, Haiji. This is the library.\Keep it down.\Shindo, how about where you're from?\Your hometown.\It's pretty mountainous, right?\What's more treacherous? That or Hakone? response:	I've never compared them...
context: It'd reduce its value.\Um, Haiji. This is the library.\Keep it down.\Shindo, how about where you're from?\Your hometown.\It's pretty mountainous, right?\What's more treacherous? That or Hakone?\I've never compared them... response:	You haven't been home recently, right?
