context: Yes? Yes. response:	Mama?
context: Aren't you happy about going back to your homeland?\I'm not going.\Why not?\I don't know.\Kirsi, how do I say this...\You're not the same person I once knew.\I heard there were many people who became like you after a certain point in time.\Your emotions seem unstable... Yes, you must be ill. response:	Listen to me.
context: I'm not going.\Why not?\I don't know.\Kirsi, how do I say this...\You're not the same person I once knew.\I heard there were many people who became like you after a certain point in time.\Your emotions seem unstable... Yes, you must be ill.\Listen to me. response:	Go back with me.
context: Why not?\I don't know.\Kirsi, how do I say this...\You're not the same person I once knew.\I heard there were many people who became like you after a certain point in time.\Your emotions seem unstable... Yes, you must be ill.\Listen to me.\Go back with me. response:	I'm not going.
context: I don't know.\Kirsi, how do I say this...\You're not the same person I once knew.\I heard there were many people who became like you after a certain point in time.\Your emotions seem unstable... Yes, you must be ill.\Listen to me.\Go back with me.\I'm not going. response:	Kirsi...
context: Kirsi, how do I say this...\You're not the same person I once knew.\I heard there were many people who became like you after a certain point in time.\Your emotions seem unstable... Yes, you must be ill.\Listen to me.\Go back with me.\I'm not going.\Kirsi... response:	I'm not go...
context: You're not the same person I once knew.\I heard there were many people who became like you after a certain point in time.\Your emotions seem unstable... Yes, you must be ill.\Listen to me.\Go back with me.\I'm not going.\Kirsi...\I'm not go... response:	I tried to find you whenever I was on tour abroad.
context: I heard there were many people who became like you after a certain point in time.\Your emotions seem unstable... Yes, you must be ill.\Listen to me.\Go back with me.\I'm not going.\Kirsi...\I'm not go...\I tried to find you whenever I was on tour abroad. response:	Why?
context: Your emotions seem unstable... Yes, you must be ill.\Listen to me.\Go back with me.\I'm not going.\Kirsi...\I'm not go...\I tried to find you whenever I was on tour abroad.\Why? response:	Why, you ask?
context: Listen to me.\Go back with me.\I'm not going.\Kirsi...\I'm not go...\I tried to find you whenever I was on tour abroad.\Why?\Why, you ask? response:	Mr. Kastinen, about the money for our expenses... Can you cast it in?
context: Go back with me.\I'm not going.\Kirsi...\I'm not go...\I tried to find you whenever I was on tour abroad.\Why?\Why, you ask?\Mr. Kastinen, about the money for our expenses... Can you cast it in? response:	I knew you were going to say that. That wasn't even funny.
context: I'm not going.\Kirsi...\I'm not go...\I tried to find you whenever I was on tour abroad.\Why?\Why, you ask?\Mr. Kastinen, about the money for our expenses... Can you cast it in?\I knew you were going to say that. That wasn't even funny. response:	Look at the guy next to the cop who's inspecting everyone.
context: Kirsi...\I'm not go...\I tried to find you whenever I was on tour abroad.\Why?\Why, you ask?\Mr. Kastinen, about the money for our expenses... Can you cast it in?\I knew you were going to say that. That wasn't even funny.\Look at the guy next to the cop who's inspecting everyone. response:	He's trying to trace the connection I'm transmitting.
context: I'm not go...\I tried to find you whenever I was on tour abroad.\Why?\Why, you ask?\Mr. Kastinen, about the money for our expenses... Can you cast it in?\I knew you were going to say that. That wasn't even funny.\Look at the guy next to the cop who's inspecting everyone.\He's trying to trace the connection I'm transmitting. response:	Are they looking for contractors?
context: I tried to find you whenever I was on tour abroad.\Why?\Why, you ask?\Mr. Kastinen, about the money for our expenses... Can you cast it in?\I knew you were going to say that. That wasn't even funny.\Look at the guy next to the cop who's inspecting everyone.\He's trying to trace the connection I'm transmitting.\Are they looking for contractors? response:	Cut the line already.
context: Why?\Why, you ask?\Mr. Kastinen, about the money for our expenses... Can you cast it in?\I knew you were going to say that. That wasn't even funny.\Look at the guy next to the cop who's inspecting everyone.\He's trying to trace the connection I'm transmitting.\Are they looking for contractors?\Cut the line already. response:	It's already been done.
context: Why, you ask?\Mr. Kastinen, about the money for our expenses... Can you cast it in?\I knew you were going to say that. That wasn't even funny.\Look at the guy next to the cop who's inspecting everyone.\He's trying to trace the connection I'm transmitting.\Are they looking for contractors?\Cut the line already.\It's already been done. response:	It might have been a little too late.
context: Mr. Kastinen, about the money for our expenses... Can you cast it in?\I knew you were going to say that. That wasn't even funny.\Look at the guy next to the cop who's inspecting everyone.\He's trying to trace the connection I'm transmitting.\Are they looking for contractors?\Cut the line already.\It's already been done.\It might have been a little too late. response:	Hey, what's wrong? Are you all right?
context: I knew you were going to say that. That wasn't even funny.\Look at the guy next to the cop who's inspecting everyone.\He's trying to trace the connection I'm transmitting.\Are they looking for contractors?\Cut the line already.\It's already been done.\It might have been a little too late.\Hey, what's wrong? Are you all right? response:	Hey! Hey! Get a hold of yourself!
context: Look at the guy next to the cop who's inspecting everyone.\He's trying to trace the connection I'm transmitting.\Are they looking for contractors?\Cut the line already.\It's already been done.\It might have been a little too late.\Hey, what's wrong? Are you all right?\Hey! Hey! Get a hold of yourself! response:	Was that one of your abilities?
context: He's trying to trace the connection I'm transmitting.\Are they looking for contractors?\Cut the line already.\It's already been done.\It might have been a little too late.\Hey, what's wrong? Are you all right?\Hey! Hey! Get a hold of yourself!\Was that one of your abilities? response:	An unimpressive one, at that.
context: Are they looking for contractors?\Cut the line already.\It's already been done.\It might have been a little too late.\Hey, what's wrong? Are you all right?\Hey! Hey! Get a hold of yourself!\Was that one of your abilities?\An unimpressive one, at that. response:	I made his heart vibrate sympathetically, which made it come to a halt.
context: Cut the line already.\It's already been done.\It might have been a little too late.\Hey, what's wrong? Are you all right?\Hey! Hey! Get a hold of yourself!\Was that one of your abilities?\An unimpressive one, at that.\I made his heart vibrate sympathetically, which made it come to a halt. response:	My remuneration won't change, regardless of whether it's spectacular or not.
context: It's already been done.\It might have been a little too late.\Hey, what's wrong? Are you all right?\Hey! Hey! Get a hold of yourself!\Was that one of your abilities?\An unimpressive one, at that.\I made his heart vibrate sympathetically, which made it come to a halt.\My remuneration won't change, regardless of whether it's spectacular or not. response:	We only know that much right now.
context: It might have been a little too late.\Hey, what's wrong? Are you all right?\Hey! Hey! Get a hold of yourself!\Was that one of your abilities?\An unimpressive one, at that.\I made his heart vibrate sympathetically, which made it come to a halt.\My remuneration won't change, regardless of whether it's spectacular or not.\We only know that much right now. response:	I'm continuously receiving information from our superiors.
context: Hey, what's wrong? Are you all right?\Hey! Hey! Get a hold of yourself!\Was that one of your abilities?\An unimpressive one, at that.\I made his heart vibrate sympathetically, which made it come to a halt.\My remuneration won't change, regardless of whether it's spectacular or not.\We only know that much right now.\I'm continuously receiving information from our superiors. response:	Can you find out where she is at any time?
context: Hey! Hey! Get a hold of yourself!\Was that one of your abilities?\An unimpressive one, at that.\I made his heart vibrate sympathetically, which made it come to a halt.\My remuneration won't change, regardless of whether it's spectacular or not.\We only know that much right now.\I'm continuously receiving information from our superiors.\Can you find out where she is at any time? response:	That's how it is.
context: Was that one of your abilities?\An unimpressive one, at that.\I made his heart vibrate sympathetically, which made it come to a halt.\My remuneration won't change, regardless of whether it's spectacular or not.\We only know that much right now.\I'm continuously receiving information from our superiors.\Can you find out where she is at any time?\That's how it is. response:	It means that no one can escape the grasp of the syndicate.
context: An unimpressive one, at that.\I made his heart vibrate sympathetically, which made it come to a halt.\My remuneration won't change, regardless of whether it's spectacular or not.\We only know that much right now.\I'm continuously receiving information from our superiors.\Can you find out where she is at any time?\That's how it is.\It means that no one can escape the grasp of the syndicate. response:	If people like you weren't associated with us, you'd probably be a bunch of serial killers or renegades.
context: I made his heart vibrate sympathetically, which made it come to a halt.\My remuneration won't change, regardless of whether it's spectacular or not.\We only know that much right now.\I'm continuously receiving information from our superiors.\Can you find out where she is at any time?\That's how it is.\It means that no one can escape the grasp of the syndicate.\If people like you weren't associated with us, you'd probably be a bunch of serial killers or renegades. response:	Be grateful you're on our side.
context: My remuneration won't change, regardless of whether it's spectacular or not.\We only know that much right now.\I'm continuously receiving information from our superiors.\Can you find out where she is at any time?\That's how it is.\It means that no one can escape the grasp of the syndicate.\If people like you weren't associated with us, you'd probably be a bunch of serial killers or renegades.\Be grateful you're on our side. response:	My ass is on the line, so hurry up and go after her.
context: We only know that much right now.\I'm continuously receiving information from our superiors.\Can you find out where she is at any time?\That's how it is.\It means that no one can escape the grasp of the syndicate.\If people like you weren't associated with us, you'd probably be a bunch of serial killers or renegades.\Be grateful you're on our side.\My ass is on the line, so hurry up and go after her. response:	How's the connection?
context: I'm continuously receiving information from our superiors.\Can you find out where she is at any time?\That's how it is.\It means that no one can escape the grasp of the syndicate.\If people like you weren't associated with us, you'd probably be a bunch of serial killers or renegades.\Be grateful you're on our side.\My ass is on the line, so hurry up and go after her.\How's the connection? response:	Still broken. There needs to be water nearby.
context: Can you find out where she is at any time?\That's how it is.\It means that no one can escape the grasp of the syndicate.\If people like you weren't associated with us, you'd probably be a bunch of serial killers or renegades.\Be grateful you're on our side.\My ass is on the line, so hurry up and go after her.\How's the connection?\Still broken. There needs to be water nearby. response:	That's a tough remuneration you have.
context: That's how it is.\It means that no one can escape the grasp of the syndicate.\If people like you weren't associated with us, you'd probably be a bunch of serial killers or renegades.\Be grateful you're on our side.\My ass is on the line, so hurry up and go after her.\How's the connection?\Still broken. There needs to be water nearby.\That's a tough remuneration you have. response:	To tell you the truth, it doesn't have to be cigarettes.
context: It means that no one can escape the grasp of the syndicate.\If people like you weren't associated with us, you'd probably be a bunch of serial killers or renegades.\Be grateful you're on our side.\My ass is on the line, so hurry up and go after her.\How's the connection?\Still broken. There needs to be water nearby.\That's a tough remuneration you have.\To tell you the truth, it doesn't have to be cigarettes. response:	Anything will do, as long as I put it inside my mouth and spit it back out.
context: If people like you weren't associated with us, you'd probably be a bunch of serial killers or renegades.\Be grateful you're on our side.\My ass is on the line, so hurry up and go after her.\How's the connection?\Still broken. There needs to be water nearby.\That's a tough remuneration you have.\To tell you the truth, it doesn't have to be cigarettes.\Anything will do, as long as I put it inside my mouth and spit it back out. response:	It's a habit from your days as a human, isn't it?
context: Be grateful you're on our side.\My ass is on the line, so hurry up and go after her.\How's the connection?\Still broken. There needs to be water nearby.\That's a tough remuneration you have.\To tell you the truth, it doesn't have to be cigarettes.\Anything will do, as long as I put it inside my mouth and spit it back out.\It's a habit from your days as a human, isn't it? response:	It looks like luck's on our side.
context: My ass is on the line, so hurry up and go after her.\How's the connection?\Still broken. There needs to be water nearby.\That's a tough remuneration you have.\To tell you the truth, it doesn't have to be cigarettes.\Anything will do, as long as I put it inside my mouth and spit it back out.\It's a habit from your days as a human, isn't it?\It looks like luck's on our side. response:	We will be stopping to allow the oncoming train to pass.
context: How's the connection?\Still broken. There needs to be water nearby.\That's a tough remuneration you have.\To tell you the truth, it doesn't have to be cigarettes.\Anything will do, as long as I put it inside my mouth and spit it back out.\It's a habit from your days as a human, isn't it?\It looks like luck's on our side.\We will be stopping to allow the oncoming train to pass. response:	The delay will be approximately five minutes.
context: Still broken. There needs to be water nearby.\That's a tough remuneration you have.\To tell you the truth, it doesn't have to be cigarettes.\Anything will do, as long as I put it inside my mouth and spit it back out.\It's a habit from your days as a human, isn't it?\It looks like luck's on our side.\We will be stopping to allow the oncoming train to pass.\The delay will be approximately five minutes. response:	Kirsi, are you sure someone's...
context: That's a tough remuneration you have.\To tell you the truth, it doesn't have to be cigarettes.\Anything will do, as long as I put it inside my mouth and spit it back out.\It's a habit from your days as a human, isn't it?\It looks like luck's on our side.\We will be stopping to allow the oncoming train to pass.\The delay will be approximately five minutes.\Kirsi, are you sure someone's... response:	They're coming after us.
context: To tell you the truth, it doesn't have to be cigarettes.\Anything will do, as long as I put it inside my mouth and spit it back out.\It's a habit from your days as a human, isn't it?\It looks like luck's on our side.\We will be stopping to allow the oncoming train to pass.\The delay will be approximately five minutes.\Kirsi, are you sure someone's...\They're coming after us. response:	Hey, where are those two?
context: Anything will do, as long as I put it inside my mouth and spit it back out.\It's a habit from your days as a human, isn't it?\It looks like luck's on our side.\We will be stopping to allow the oncoming train to pass.\The delay will be approximately five minutes.\Kirsi, are you sure someone's...\They're coming after us.\Hey, where are those two? response:	Now isn't the time to be sleeping! You could have at least watched over them while I was using the toilet!
context: It's a habit from your days as a human, isn't it?\It looks like luck's on our side.\We will be stopping to allow the oncoming train to pass.\The delay will be approximately five minutes.\Kirsi, are you sure someone's...\They're coming after us.\Hey, where are those two?\Now isn't the time to be sleeping! You could have at least watched over them while I was using the toilet! response:	Damn. We're getting off at the next station!
context: It looks like luck's on our side.\We will be stopping to allow the oncoming train to pass.\The delay will be approximately five minutes.\Kirsi, are you sure someone's...\They're coming after us.\Hey, where are those two?\Now isn't the time to be sleeping! You could have at least watched over them while I was using the toilet!\Damn. We're getting off at the next station! response:	Come on. Wake up!
context: We will be stopping to allow the oncoming train to pass.\The delay will be approximately five minutes.\Kirsi, are you sure someone's...\They're coming after us.\Hey, where are those two?\Now isn't the time to be sleeping! You could have at least watched over them while I was using the toilet!\Damn. We're getting off at the next station!\Come on. Wake up! response:	No, you can't touch me there...
context: The delay will be approximately five minutes.\Kirsi, are you sure someone's...\They're coming after us.\Hey, where are those two?\Now isn't the time to be sleeping! You could have at least watched over them while I was using the toilet!\Damn. We're getting off at the next station!\Come on. Wake up!\No, you can't touch me there... response:	What are you taking pictures of? That could be considered voyeurism.
context: Kirsi, are you sure someone's...\They're coming after us.\Hey, where are those two?\Now isn't the time to be sleeping! You could have at least watched over them while I was using the toilet!\Damn. We're getting off at the next station!\Come on. Wake up!\No, you can't touch me there...\What are you taking pictures of? That could be considered voyeurism. response:	Hey! N-No...
context: They're coming after us.\Hey, where are those two?\Now isn't the time to be sleeping! You could have at least watched over them while I was using the toilet!\Damn. We're getting off at the next station!\Come on. Wake up!\No, you can't touch me there...\What are you taking pictures of? That could be considered voyeurism.\Hey! N-No... response:	I'm going to find something to burn. Wait inside.
context: Hey, where are those two?\Now isn't the time to be sleeping! You could have at least watched over them while I was using the toilet!\Damn. We're getting off at the next station!\Come on. Wake up!\No, you can't touch me there...\What are you taking pictures of? That could be considered voyeurism.\Hey! N-No...\I'm going to find something to burn. Wait inside. response:	Kirsi?
context: Now isn't the time to be sleeping! You could have at least watched over them while I was using the toilet!\Damn. We're getting off at the next station!\Come on. Wake up!\No, you can't touch me there...\What are you taking pictures of? That could be considered voyeurism.\Hey! N-No...\I'm going to find something to burn. Wait inside.\Kirsi? response:	Episode Fourteen A Heart Unswaying on the Water's Surface... (Part Two)
context: Damn. We're getting off at the next station!\Come on. Wake up!\No, you can't touch me there...\What are you taking pictures of? That could be considered voyeurism.\Hey! N-No...\I'm going to find something to burn. Wait inside.\Kirsi?\Episode Fourteen A Heart Unswaying on the Water's Surface... (Part Two) response:	Go ahead. Play it.
context: Come on. Wake up!\No, you can't touch me there...\What are you taking pictures of? That could be considered voyeurism.\Hey! N-No...\I'm going to find something to burn. Wait inside.\Kirsi?\Episode Fourteen A Heart Unswaying on the Water's Surface... (Part Two)\Go ahead. Play it. response:	I had a daughter in the past. An infant baby.
context: No, you can't touch me there...\What are you taking pictures of? That could be considered voyeurism.\Hey! N-No...\I'm going to find something to burn. Wait inside.\Kirsi?\Episode Fourteen A Heart Unswaying on the Water's Surface... (Part Two)\Go ahead. Play it.\I had a daughter in the past. An infant baby. response:	Her father was a creep. I broke up with him shortly after she was born.
context: What are you taking pictures of? That could be considered voyeurism.\Hey! N-No...\I'm going to find something to burn. Wait inside.\Kirsi?\Episode Fourteen A Heart Unswaying on the Water's Surface... (Part Two)\Go ahead. Play it.\I had a daughter in the past. An infant baby.\Her father was a creep. I broke up with him shortly after she was born. response:	She was unbelievably adorable,
context: Hey! N-No...\I'm going to find something to burn. Wait inside.\Kirsi?\Episode Fourteen A Heart Unswaying on the Water's Surface... (Part Two)\Go ahead. Play it.\I had a daughter in the past. An infant baby.\Her father was a creep. I broke up with him shortly after she was born.\She was unbelievably adorable, response:	just like an angel.
context: I'm going to find something to burn. Wait inside.\Kirsi?\Episode Fourteen A Heart Unswaying on the Water's Surface... (Part Two)\Go ahead. Play it.\I had a daughter in the past. An infant baby.\Her father was a creep. I broke up with him shortly after she was born.\She was unbelievably adorable,\just like an angel. response:	Even though I was a singer, I was a heavy smoker. Sad, isn't it?
context: Kirsi?\Episode Fourteen A Heart Unswaying on the Water's Surface... (Part Two)\Go ahead. Play it.\I had a daughter in the past. An infant baby.\Her father was a creep. I broke up with him shortly after she was born.\She was unbelievably adorable,\just like an angel.\Even though I was a singer, I was a heavy smoker. Sad, isn't it? response:	I stopped smoking while she was in my womb,
context: Episode Fourteen A Heart Unswaying on the Water's Surface... (Part Two)\Go ahead. Play it.\I had a daughter in the past. An infant baby.\Her father was a creep. I broke up with him shortly after she was born.\She was unbelievably adorable,\just like an angel.\Even though I was a singer, I was a heavy smoker. Sad, isn't it?\I stopped smoking while she was in my womb, response:	but I should have stopped for good.
context: Go ahead. Play it.\I had a daughter in the past. An infant baby.\Her father was a creep. I broke up with him shortly after she was born.\She was unbelievably adorable,\just like an angel.\Even though I was a singer, I was a heavy smoker. Sad, isn't it?\I stopped smoking while she was in my womb,\but I should have stopped for good. response:	I carelessly left a cigarette somewhere within her grasp.
context: I had a daughter in the past. An infant baby.\Her father was a creep. I broke up with him shortly after she was born.\She was unbelievably adorable,\just like an angel.\Even though I was a singer, I was a heavy smoker. Sad, isn't it?\I stopped smoking while she was in my womb,\but I should have stopped for good.\I carelessly left a cigarette somewhere within her grasp. response:	She put it inside her mouth. Before I realized it, she had already choked to death.
context: Her father was a creep. I broke up with him shortly after she was born.\She was unbelievably adorable,\just like an angel.\Even though I was a singer, I was a heavy smoker. Sad, isn't it?\I stopped smoking while she was in my womb,\but I should have stopped for good.\I carelessly left a cigarette somewhere within her grasp.\She put it inside her mouth. Before I realized it, she had already choked to death. response:	It was so sudden.
context: She was unbelievably adorable,\just like an angel.\Even though I was a singer, I was a heavy smoker. Sad, isn't it?\I stopped smoking while she was in my womb,\but I should have stopped for good.\I carelessly left a cigarette somewhere within her grasp.\She put it inside her mouth. Before I realized it, she had already choked to death.\It was so sudden. response:	I wept for the next several nights. Before I knew it, the night sky had changed.
context: just like an angel.\Even though I was a singer, I was a heavy smoker. Sad, isn't it?\I stopped smoking while she was in my womb,\but I should have stopped for good.\I carelessly left a cigarette somewhere within her grasp.\She put it inside her mouth. Before I realized it, she had already choked to death.\It was so sudden.\I wept for the next several nights. Before I knew it, the night sky had changed. response:	Why did you save her the other day?
context: Even though I was a singer, I was a heavy smoker. Sad, isn't it?\I stopped smoking while she was in my womb,\but I should have stopped for good.\I carelessly left a cigarette somewhere within her grasp.\She put it inside her mouth. Before I realized it, she had already choked to death.\It was so sudden.\I wept for the next several nights. Before I knew it, the night sky had changed.\Why did you save her the other day? response:	Kirsi?
context: I stopped smoking while she was in my womb,\but I should have stopped for good.\I carelessly left a cigarette somewhere within her grasp.\She put it inside her mouth. Before I realized it, she had already choked to death.\It was so sudden.\I wept for the next several nights. Before I knew it, the night sky had changed.\Why did you save her the other day?\Kirsi? response:	Mama...
context: but I should have stopped for good.\I carelessly left a cigarette somewhere within her grasp.\She put it inside her mouth. Before I realized it, she had already choked to death.\It was so sudden.\I wept for the next several nights. Before I knew it, the night sky had changed.\Why did you save her the other day?\Kirsi?\Mama... response:	Kirsi...
context: I carelessly left a cigarette somewhere within her grasp.\She put it inside her mouth. Before I realized it, she had already choked to death.\It was so sudden.\I wept for the next several nights. Before I knew it, the night sky had changed.\Why did you save her the other day?\Kirsi?\Mama...\Kirsi... response:	You were thinking about that night, weren't you?
context: She put it inside her mouth. Before I realized it, she had already choked to death.\It was so sudden.\I wept for the next several nights. Before I knew it, the night sky had changed.\Why did you save her the other day?\Kirsi?\Mama...\Kirsi...\You were thinking about that night, weren't you? response:	I think I know why you don't want to go back.
