context: That peddler said it was just behind that mountain pass. response:	More like three mountains.
context: I'm not walking any further even if that blacksmith isn't here.\No, I need this.\If not here, we walk more.\I know, I didn't really mean that.\Okay.\I think he said the swordmaker's name was Munetsuna.\All right, let's go bro.\Betrayed this world response:	And it simmers within
context: No, I need this.\If not here, we walk more.\I know, I didn't really mean that.\Okay.\I think he said the swordmaker's name was Munetsuna.\All right, let's go bro.\Betrayed this world\And it simmers within response:	Rupturing my innards
context: If not here, we walk more.\I know, I didn't really mean that.\Okay.\I think he said the swordmaker's name was Munetsuna.\All right, let's go bro.\Betrayed this world\And it simmers within\Rupturing my innards response:	Swelling a reddish black
context: I know, I didn't really mean that.\Okay.\I think he said the swordmaker's name was Munetsuna.\All right, let's go bro.\Betrayed this world\And it simmers within\Rupturing my innards\Swelling a reddish black response:	Until the sun burnt skin ruptures
context: Okay.\I think he said the swordmaker's name was Munetsuna.\All right, let's go bro.\Betrayed this world\And it simmers within\Rupturing my innards\Swelling a reddish black\Until the sun burnt skin ruptures response:	There is a light in the depths of the seething darkness
context: I think he said the swordmaker's name was Munetsuna.\All right, let's go bro.\Betrayed this world\And it simmers within\Rupturing my innards\Swelling a reddish black\Until the sun burnt skin ruptures\There is a light in the depths of the seething darkness response:	Confirming each other's voices in the distance
context: All right, let's go bro.\Betrayed this world\And it simmers within\Rupturing my innards\Swelling a reddish black\Until the sun burnt skin ruptures\There is a light in the depths of the seething darkness\Confirming each other's voices in the distance response:	As if to stroke with wet fingertips
context: Betrayed this world\And it simmers within\Rupturing my innards\Swelling a reddish black\Until the sun burnt skin ruptures\There is a light in the depths of the seething darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips response:	I'd like to touch you one day
context: And it simmers within\Rupturing my innards\Swelling a reddish black\Until the sun burnt skin ruptures\There is a light in the depths of the seething darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day response:	There is a light in the depths of the darkness
context: Rupturing my innards\Swelling a reddish black\Until the sun burnt skin ruptures\There is a light in the depths of the seething darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\There is a light in the depths of the darkness response:	Confirming each other's voices in the distance
context: Swelling a reddish black\Until the sun burnt skin ruptures\There is a light in the depths of the seething darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\There is a light in the depths of the darkness\Confirming each other's voices in the distance response:	As if to stroke with wet fingertips
context: Until the sun burnt skin ruptures\There is a light in the depths of the seething darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\There is a light in the depths of the darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips response:	I'd like to touch you one day
context: There is a light in the depths of the seething darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\There is a light in the depths of the darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day response:	19 The story of the Amanojaku
context: Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\There is a light in the depths of the darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\19 The story of the Amanojaku response:	Munetsuna? He lives on the outskirts of the village.
context: As if to stroke with wet fingertips\I'd like to touch you one day\There is a light in the depths of the darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\19 The story of the Amanojaku\Munetsuna? He lives on the outskirts of the village. response:	-Really? -Yeah.
context: I'd like to touch you one day\There is a light in the depths of the darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\19 The story of the Amanojaku\Munetsuna? He lives on the outskirts of the village.\-Really? -Yeah. response:	But you're not going to ask him to forge a sword, are you?
context: There is a light in the depths of the darkness\Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\19 The story of the Amanojaku\Munetsuna? He lives on the outskirts of the village.\-Really? -Yeah.\But you're not going to ask him to forge a sword, are you? response:	But he's a really skilled craftsman, right?
context: Confirming each other's voices in the distance\As if to stroke with wet fingertips\I'd like to touch you one day\19 The story of the Amanojaku\Munetsuna? He lives on the outskirts of the village.\-Really? -Yeah.\But you're not going to ask him to forge a sword, are you?\But he's a really skilled craftsman, right? response:	Nah, he's nothing of the sort.
context: As if to stroke with wet fingertips\I'd like to touch you one day\19 The story of the Amanojaku\Munetsuna? He lives on the outskirts of the village.\-Really? -Yeah.\But you're not going to ask him to forge a sword, are you?\But he's a really skilled craftsman, right?\Nah, he's nothing of the sort. response:	Hey, that's not what the peddler told us.
context: I'd like to touch you one day\19 The story of the Amanojaku\Munetsuna? He lives on the outskirts of the village.\-Really? -Yeah.\But you're not going to ask him to forge a sword, are you?\But he's a really skilled craftsman, right?\Nah, he's nothing of the sort.\Hey, that's not what the peddler told us. response:	He forged that hatchet for me, but I'm not impressed at all.
context: 19 The story of the Amanojaku\Munetsuna? He lives on the outskirts of the village.\-Really? -Yeah.\But you're not going to ask him to forge a sword, are you?\But he's a really skilled craftsman, right?\Nah, he's nothing of the sort.\Hey, that's not what the peddler told us.\He forged that hatchet for me, but I'm not impressed at all. response:	And his daughter, Okowa, is really ugly and has a bad personality.
context: Munetsuna? He lives on the outskirts of the village.\-Really? -Yeah.\But you're not going to ask him to forge a sword, are you?\But he's a really skilled craftsman, right?\Nah, he's nothing of the sort.\Hey, that's not what the peddler told us.\He forged that hatchet for me, but I'm not impressed at all.\And his daughter, Okowa, is really ugly and has a bad personality. response:	I've never liked them too much.
context: -Really? -Yeah.\But you're not going to ask him to forge a sword, are you?\But he's a really skilled craftsman, right?\Nah, he's nothing of the sort.\Hey, that's not what the peddler told us.\He forged that hatchet for me, but I'm not impressed at all.\And his daughter, Okowa, is really ugly and has a bad personality.\I've never liked them too much. response:	Yes.
context: But you're not going to ask him to forge a sword, are you?\But he's a really skilled craftsman, right?\Nah, he's nothing of the sort.\Hey, that's not what the peddler told us.\He forged that hatchet for me, but I'm not impressed at all.\And his daughter, Okowa, is really ugly and has a bad personality.\I've never liked them too much.\Yes. response:	Coming. Here to complain about my papa again?
context: But he's a really skilled craftsman, right?\Nah, he's nothing of the sort.\Hey, that's not what the peddler told us.\He forged that hatchet for me, but I'm not impressed at all.\And his daughter, Okowa, is really ugly and has a bad personality.\I've never liked them too much.\Yes.\Coming. Here to complain about my papa again? response:	Who are you?
context: Nah, he's nothing of the sort.\Hey, that's not what the peddler told us.\He forged that hatchet for me, but I'm not impressed at all.\And his daughter, Okowa, is really ugly and has a bad personality.\I've never liked them too much.\Yes.\Coming. Here to complain about my papa again?\Who are you? response:	Hi.
context: Hey, that's not what the peddler told us.\He forged that hatchet for me, but I'm not impressed at all.\And his daughter, Okowa, is really ugly and has a bad personality.\I've never liked them too much.\Yes.\Coming. Here to complain about my papa again?\Who are you?\Hi. response:	Is this Munetsuna's place?
context: He forged that hatchet for me, but I'm not impressed at all.\And his daughter, Okowa, is really ugly and has a bad personality.\I've never liked them too much.\Yes.\Coming. Here to complain about my papa again?\Who are you?\Hi.\Is this Munetsuna's place? response:	Yeah, that's my papa.
context: And his daughter, Okowa, is really ugly and has a bad personality.\I've never liked them too much.\Yes.\Coming. Here to complain about my papa again?\Who are you?\Hi.\Is this Munetsuna's place?\Yeah, that's my papa. response:	Then you're Okowa?
context: I've never liked them too much.\Yes.\Coming. Here to complain about my papa again?\Who are you?\Hi.\Is this Munetsuna's place?\Yeah, that's my papa.\Then you're Okowa? response:	Yeah, so what?
context: Yes.\Coming. Here to complain about my papa again?\Who are you?\Hi.\Is this Munetsuna's place?\Yeah, that's my papa.\Then you're Okowa?\Yeah, so what? response:	We were traveling and heard that your papa forged great swords.
context: Coming. Here to complain about my papa again?\Who are you?\Hi.\Is this Munetsuna's place?\Yeah, that's my papa.\Then you're Okowa?\Yeah, so what?\We were traveling and heard that your papa forged great swords. response:	Oh, a customer. Yeah, my papa's the best swordmaker in the land.
context: Who are you?\Hi.\Is this Munetsuna's place?\Yeah, that's my papa.\Then you're Okowa?\Yeah, so what?\We were traveling and heard that your papa forged great swords.\Oh, a customer. Yeah, my papa's the best swordmaker in the land. response:	But you see...
context: Hi.\Is this Munetsuna's place?\Yeah, that's my papa.\Then you're Okowa?\Yeah, so what?\We were traveling and heard that your papa forged great swords.\Oh, a customer. Yeah, my papa's the best swordmaker in the land.\But you see... response:	The villagers...
context: Is this Munetsuna's place?\Yeah, that's my papa.\Then you're Okowa?\Yeah, so what?\We were traveling and heard that your papa forged great swords.\Oh, a customer. Yeah, my papa's the best swordmaker in the land.\But you see...\The villagers... response:	Jeez. The people here always lie like that.
context: Yeah, that's my papa.\Then you're Okowa?\Yeah, so what?\We were traveling and heard that your papa forged great swords.\Oh, a customer. Yeah, my papa's the best swordmaker in the land.\But you see...\The villagers...\Jeez. The people here always lie like that. response:	But they still come to Papa for help.
context: Then you're Okowa?\Yeah, so what?\We were traveling and heard that your papa forged great swords.\Oh, a customer. Yeah, my papa's the best swordmaker in the land.\But you see...\The villagers...\Jeez. The people here always lie like that.\But they still come to Papa for help. response:	So he's really good?
context: Yeah, so what?\We were traveling and heard that your papa forged great swords.\Oh, a customer. Yeah, my papa's the best swordmaker in the land.\But you see...\The villagers...\Jeez. The people here always lie like that.\But they still come to Papa for help.\So he's really good? response:	Of course he is.
context: We were traveling and heard that your papa forged great swords.\Oh, a customer. Yeah, my papa's the best swordmaker in the land.\But you see...\The villagers...\Jeez. The people here always lie like that.\But they still come to Papa for help.\So he's really good?\Of course he is. response:	Then can he reforge these for us?
context: Oh, a customer. Yeah, my papa's the best swordmaker in the land.\But you see...\The villagers...\Jeez. The people here always lie like that.\But they still come to Papa for help.\So he's really good?\Of course he is.\Then can he reforge these for us? response:	Wow, they've really been through a lot.
context: But you see...\The villagers...\Jeez. The people here always lie like that.\But they still come to Papa for help.\So he's really good?\Of course he is.\Then can he reforge these for us?\Wow, they've really been through a lot. response:	Hey, bro!
context: The villagers...\Jeez. The people here always lie like that.\But they still come to Papa for help.\So he's really good?\Of course he is.\Then can he reforge these for us?\Wow, they've really been through a lot.\Hey, bro! response:	Okowa.
context: Jeez. The people here always lie like that.\But they still come to Papa for help.\So he's really good?\Of course he is.\Then can he reforge these for us?\Wow, they've really been through a lot.\Hey, bro!\Okowa. response:	What are you doing!
context: But they still come to Papa for help.\So he's really good?\Of course he is.\Then can he reforge these for us?\Wow, they've really been through a lot.\Hey, bro!\Okowa.\What are you doing! response:	Bro, I told you not to do that!
context: So he's really good?\Of course he is.\Then can he reforge these for us?\Wow, they've really been through a lot.\Hey, bro!\Okowa.\What are you doing!\Bro, I told you not to do that! response:	Why?
context: Of course he is.\Then can he reforge these for us?\Wow, they've really been through a lot.\Hey, bro!\Okowa.\What are you doing!\Bro, I told you not to do that!\Why? response:	You just can't.
context: Then can he reforge these for us?\Wow, they've really been through a lot.\Hey, bro!\Okowa.\What are you doing!\Bro, I told you not to do that!\Why?\You just can't. response:	-Why? -Because I say so!
context: Wow, they've really been through a lot.\Hey, bro!\Okowa.\What are you doing!\Bro, I told you not to do that!\Why?\You just can't.\-Why? -Because I say so! response:	I don't get it.
context: Hey, bro!\Okowa.\What are you doing!\Bro, I told you not to do that!\Why?\You just can't.\-Why? -Because I say so!\I don't get it. response:	He might get mad if we disturb him.
context: Okowa.\What are you doing!\Bro, I told you not to do that!\Why?\You just can't.\-Why? -Because I say so!\I don't get it.\He might get mad if we disturb him. response:	Wait right here.
context: What are you doing!\Bro, I told you not to do that!\Why?\You just can't.\-Why? -Because I say so!\I don't get it.\He might get mad if we disturb him.\Wait right here. response:	First impressions are really important, you know.
context: Bro, I told you not to do that!\Why?\You just can't.\-Why? -Because I say so!\I don't get it.\He might get mad if we disturb him.\Wait right here.\First impressions are really important, you know. response:	Have your sword out.
context: Why?\You just can't.\-Why? -Because I say so!\I don't get it.\He might get mad if we disturb him.\Wait right here.\First impressions are really important, you know.\Have your sword out. response:	Hey, look at that funny thing.
context: You just can't.\-Why? -Because I say so!\I don't get it.\He might get mad if we disturb him.\Wait right here.\First impressions are really important, you know.\Have your sword out.\Hey, look at that funny thing. response:	Papa, you have customers.
context: -Why? -Because I say so!\I don't get it.\He might get mad if we disturb him.\Wait right here.\First impressions are really important, you know.\Have your sword out.\Hey, look at that funny thing.\Papa, you have customers. response:	He wants you to reforge some swords.
context: I don't get it.\He might get mad if we disturb him.\Wait right here.\First impressions are really important, you know.\Have your sword out.\Hey, look at that funny thing.\Papa, you have customers.\He wants you to reforge some swords. response:	He probably wants to marry me, too.
context: He might get mad if we disturb him.\Wait right here.\First impressions are really important, you know.\Have your sword out.\Hey, look at that funny thing.\Papa, you have customers.\He wants you to reforge some swords.\He probably wants to marry me, too. response:	-What are you doing! -Hey.
context: Wait right here.\First impressions are really important, you know.\Have your sword out.\Hey, look at that funny thing.\Papa, you have customers.\He wants you to reforge some swords.\He probably wants to marry me, too.\-What are you doing! -Hey. response:	Papa, don't get angry.
context: First impressions are really important, you know.\Have your sword out.\Hey, look at that funny thing.\Papa, you have customers.\He wants you to reforge some swords.\He probably wants to marry me, too.\-What are you doing! -Hey.\Papa, don't get angry. response:	First impressions are important, okay?
context: Have your sword out.\Hey, look at that funny thing.\Papa, you have customers.\He wants you to reforge some swords.\He probably wants to marry me, too.\-What are you doing! -Hey.\Papa, don't get angry.\First impressions are important, okay? response:	Those swords.
context: Hey, look at that funny thing.\Papa, you have customers.\He wants you to reforge some swords.\He probably wants to marry me, too.\-What are you doing! -Hey.\Papa, don't get angry.\First impressions are important, okay?\Those swords. response:	What have you killed with them?
context: Papa, you have customers.\He wants you to reforge some swords.\He probably wants to marry me, too.\-What are you doing! -Hey.\Papa, don't get angry.\First impressions are important, okay?\Those swords.\What have you killed with them? response:	Why are we doing this? We've never purified a sword before.
context: He wants you to reforge some swords.\He probably wants to marry me, too.\-What are you doing! -Hey.\Papa, don't get angry.\First impressions are important, okay?\Those swords.\What have you killed with them?\Why are we doing this? We've never purified a sword before. response:	You don't need to know.
context: He probably wants to marry me, too.\-What are you doing! -Hey.\Papa, don't get angry.\First impressions are important, okay?\Those swords.\What have you killed with them?\Why are we doing this? We've never purified a sword before.\You don't need to know. response:	Bishamon, the guardian god looks over this temple.
context: -What are you doing! -Hey.\Papa, don't get angry.\First impressions are important, okay?\Those swords.\What have you killed with them?\Why are we doing this? We've never purified a sword before.\You don't need to know.\Bishamon, the guardian god looks over this temple. response:	Papa and everyone else at the village pray to it.
context: Papa, don't get angry.\First impressions are important, okay?\Those swords.\What have you killed with them?\Why are we doing this? We've never purified a sword before.\You don't need to know.\Bishamon, the guardian god looks over this temple.\Papa and everyone else at the village pray to it. response:	That Hyottoko is another god. One of forging.
context: First impressions are important, okay?\Those swords.\What have you killed with them?\Why are we doing this? We've never purified a sword before.\You don't need to know.\Bishamon, the guardian god looks over this temple.\Papa and everyone else at the village pray to it.\That Hyottoko is another god. One of forging. response:	This is a god? It has a funny face.
context: Those swords.\What have you killed with them?\Why are we doing this? We've never purified a sword before.\You don't need to know.\Bishamon, the guardian god looks over this temple.\Papa and everyone else at the village pray to it.\That Hyottoko is another god. One of forging.\This is a god? It has a funny face. response:	That's because it's blowing on the embers.
context: What have you killed with them?\Why are we doing this? We've never purified a sword before.\You don't need to know.\Bishamon, the guardian god looks over this temple.\Papa and everyone else at the village pray to it.\That Hyottoko is another god. One of forging.\This is a god? It has a funny face.\That's because it's blowing on the embers. response:	Blowing on embers?
context: Why are we doing this? We've never purified a sword before.\You don't need to know.\Bishamon, the guardian god looks over this temple.\Papa and everyone else at the village pray to it.\That Hyottoko is another god. One of forging.\This is a god? It has a funny face.\That's because it's blowing on the embers.\Blowing on embers? response:	It's been passed down for generations in our family to keep away misfortune.
context: You don't need to know.\Bishamon, the guardian god looks over this temple.\Papa and everyone else at the village pray to it.\That Hyottoko is another god. One of forging.\This is a god? It has a funny face.\That's because it's blowing on the embers.\Blowing on embers?\It's been passed down for generations in our family to keep away misfortune. response:	The Hyottoko god, blowing on embers huh.
context: Bishamon, the guardian god looks over this temple.\Papa and everyone else at the village pray to it.\That Hyottoko is another god. One of forging.\This is a god? It has a funny face.\That's because it's blowing on the embers.\Blowing on embers?\It's been passed down for generations in our family to keep away misfortune.\The Hyottoko god, blowing on embers huh. response:	Nobody blows on embers like this.
context: Papa and everyone else at the village pray to it.\That Hyottoko is another god. One of forging.\This is a god? It has a funny face.\That's because it's blowing on the embers.\Blowing on embers?\It's been passed down for generations in our family to keep away misfortune.\The Hyottoko god, blowing on embers huh.\Nobody blows on embers like this. response:	What's wrong, bro?
context: That Hyottoko is another god. One of forging.\This is a god? It has a funny face.\That's because it's blowing on the embers.\Blowing on embers?\It's been passed down for generations in our family to keep away misfortune.\The Hyottoko god, blowing on embers huh.\Nobody blows on embers like this.\What's wrong, bro? response:	Hey.
context: This is a god? It has a funny face.\That's because it's blowing on the embers.\Blowing on embers?\It's been passed down for generations in our family to keep away misfortune.\The Hyottoko god, blowing on embers huh.\Nobody blows on embers like this.\What's wrong, bro?\Hey. response:	Put the swords there.
context: That's because it's blowing on the embers.\Blowing on embers?\It's been passed down for generations in our family to keep away misfortune.\The Hyottoko god, blowing on embers huh.\Nobody blows on embers like this.\What's wrong, bro?\Hey.\Put the swords there. response:	Okay.
context: Blowing on embers?\It's been passed down for generations in our family to keep away misfortune.\The Hyottoko god, blowing on embers huh.\Nobody blows on embers like this.\What's wrong, bro?\Hey.\Put the swords there.\Okay. response:	What the heck are you doing, bro?
context: It's been passed down for generations in our family to keep away misfortune.\The Hyottoko god, blowing on embers huh.\Nobody blows on embers like this.\What's wrong, bro?\Hey.\Put the swords there.\Okay.\What the heck are you doing, bro? response:	-What...? -Jeez.
context: The Hyottoko god, blowing on embers huh.\Nobody blows on embers like this.\What's wrong, bro?\Hey.\Put the swords there.\Okay.\What the heck are you doing, bro?\-What...? -Jeez. response:	This isn't the time to fool around.
context: Nobody blows on embers like this.\What's wrong, bro?\Hey.\Put the swords there.\Okay.\What the heck are you doing, bro?\-What...? -Jeez.\This isn't the time to fool around. response:	INN
context: What's wrong, bro?\Hey.\Put the swords there.\Okay.\What the heck are you doing, bro?\-What...? -Jeez.\This isn't the time to fool around.\INN response:	I'm pooped.
context: Hey.\Put the swords there.\Okay.\What the heck are you doing, bro?\-What...? -Jeez.\This isn't the time to fool around.\INN\I'm pooped. response:	That Munetsuna guy said he'd bring the swords here when they're done.
context: Put the swords there.\Okay.\What the heck are you doing, bro?\-What...? -Jeez.\This isn't the time to fool around.\INN\I'm pooped.\That Munetsuna guy said he'd bring the swords here when they're done. response:	The swords will come here...?
context: Okay.\What the heck are you doing, bro?\-What...? -Jeez.\This isn't the time to fool around.\INN\I'm pooped.\That Munetsuna guy said he'd bring the swords here when they're done.\The swords will come here...? response:	Yeah. So let's get some rest till then.
context: What the heck are you doing, bro?\-What...? -Jeez.\This isn't the time to fool around.\INN\I'm pooped.\That Munetsuna guy said he'd bring the swords here when they're done.\The swords will come here...?\Yeah. So let's get some rest till then. response:	It's not going to cost us as much as I thought, so we can just relax here.
context: -What...? -Jeez.\This isn't the time to fool around.\INN\I'm pooped.\That Munetsuna guy said he'd bring the swords here when they're done.\The swords will come here...?\Yeah. So let's get some rest till then.\It's not going to cost us as much as I thought, so we can just relax here. response:	Don't need them.
context: This isn't the time to fool around.\INN\I'm pooped.\That Munetsuna guy said he'd bring the swords here when they're done.\The swords will come here...?\Yeah. So let's get some rest till then.\It's not going to cost us as much as I thought, so we can just relax here.\Don't need them. response:	I must be really tired. I thought I heard you say you didn't need them.
context: INN\I'm pooped.\That Munetsuna guy said he'd bring the swords here when they're done.\The swords will come here...?\Yeah. So let's get some rest till then.\It's not going to cost us as much as I thought, so we can just relax here.\Don't need them.\I must be really tired. I thought I heard you say you didn't need them. response:	Don't need them...
context: I'm pooped.\That Munetsuna guy said he'd bring the swords here when they're done.\The swords will come here...?\Yeah. So let's get some rest till then.\It's not going to cost us as much as I thought, so we can just relax here.\Don't need them.\I must be really tired. I thought I heard you say you didn't need them.\Don't need them... response:	What the heck do you mean? You need them to get your body back.
context: That Munetsuna guy said he'd bring the swords here when they're done.\The swords will come here...?\Yeah. So let's get some rest till then.\It's not going to cost us as much as I thought, so we can just relax here.\Don't need them.\I must be really tired. I thought I heard you say you didn't need them.\Don't need them...\What the heck do you mean? You need them to get your body back. response:	Mr. Hyaku, Dororo. It's me, Okowa.
context: The swords will come here...?\Yeah. So let's get some rest till then.\It's not going to cost us as much as I thought, so we can just relax here.\Don't need them.\I must be really tired. I thought I heard you say you didn't need them.\Don't need them...\What the heck do you mean? You need them to get your body back.\Mr. Hyaku, Dororo. It's me, Okowa. response:	Come in.
context: Yeah. So let's get some rest till then.\It's not going to cost us as much as I thought, so we can just relax here.\Don't need them.\I must be really tired. I thought I heard you say you didn't need them.\Don't need them...\What the heck do you mean? You need them to get your body back.\Mr. Hyaku, Dororo. It's me, Okowa.\Come in. response:	Mr. Hyaku?
context: It's not going to cost us as much as I thought, so we can just relax here.\Don't need them.\I must be really tired. I thought I heard you say you didn't need them.\Don't need them...\What the heck do you mean? You need them to get your body back.\Mr. Hyaku, Dororo. It's me, Okowa.\Come in.\Mr. Hyaku? response:	I thought you might be hungry, so I made this.
context: Don't need them.\I must be really tired. I thought I heard you say you didn't need them.\Don't need them...\What the heck do you mean? You need them to get your body back.\Mr. Hyaku, Dororo. It's me, Okowa.\Come in.\Mr. Hyaku?\I thought you might be hungry, so I made this. response:	Thanks, I was getting hungry.
context: I must be really tired. I thought I heard you say you didn't need them.\Don't need them...\What the heck do you mean? You need them to get your body back.\Mr. Hyaku, Dororo. It's me, Okowa.\Come in.\Mr. Hyaku?\I thought you might be hungry, so I made this.\Thanks, I was getting hungry. response:	Wow, looks yummy.
context: Don't need them...\What the heck do you mean? You need them to get your body back.\Mr. Hyaku, Dororo. It's me, Okowa.\Come in.\Mr. Hyaku?\I thought you might be hungry, so I made this.\Thanks, I was getting hungry.\Wow, looks yummy. response:	No, Dororo. The master of the house gets to eat first.
context: What the heck do you mean? You need them to get your body back.\Mr. Hyaku, Dororo. It's me, Okowa.\Come in.\Mr. Hyaku?\I thought you might be hungry, so I made this.\Thanks, I was getting hungry.\Wow, looks yummy.\No, Dororo. The master of the house gets to eat first. response:	Master? And who's that?
context: Mr. Hyaku, Dororo. It's me, Okowa.\Come in.\Mr. Hyaku?\I thought you might be hungry, so I made this.\Thanks, I was getting hungry.\Wow, looks yummy.\No, Dororo. The master of the house gets to eat first.\Master? And who's that? response:	Hey, bro and I are on a really important journey right now.
context: Come in.\Mr. Hyaku?\I thought you might be hungry, so I made this.\Thanks, I was getting hungry.\Wow, looks yummy.\No, Dororo. The master of the house gets to eat first.\Master? And who's that?\Hey, bro and I are on a really important journey right now. response:	Once the swords are done, we're leaving.
context: Mr. Hyaku?\I thought you might be hungry, so I made this.\Thanks, I was getting hungry.\Wow, looks yummy.\No, Dororo. The master of the house gets to eat first.\Master? And who's that?\Hey, bro and I are on a really important journey right now.\Once the swords are done, we're leaving. response:	I'm prepared to go with you.
context: I thought you might be hungry, so I made this.\Thanks, I was getting hungry.\Wow, looks yummy.\No, Dororo. The master of the house gets to eat first.\Master? And who's that?\Hey, bro and I are on a really important journey right now.\Once the swords are done, we're leaving.\I'm prepared to go with you. response:	Are you crazy? It's not some joyride. I'm the only one who can handle it.
context: Thanks, I was getting hungry.\Wow, looks yummy.\No, Dororo. The master of the house gets to eat first.\Master? And who's that?\Hey, bro and I are on a really important journey right now.\Once the swords are done, we're leaving.\I'm prepared to go with you.\Are you crazy? It's not some joyride. I'm the only one who can handle it. response:	Don't worry. I'm the daughter of the land's best swordmaker.
context: Wow, looks yummy.\No, Dororo. The master of the house gets to eat first.\Master? And who's that?\Hey, bro and I are on a really important journey right now.\Once the swords are done, we're leaving.\I'm prepared to go with you.\Are you crazy? It's not some joyride. I'm the only one who can handle it.\Don't worry. I'm the daughter of the land's best swordmaker. response:	Dang it, you tell her bro.
context: No, Dororo. The master of the house gets to eat first.\Master? And who's that?\Hey, bro and I are on a really important journey right now.\Once the swords are done, we're leaving.\I'm prepared to go with you.\Are you crazy? It's not some joyride. I'm the only one who can handle it.\Don't worry. I'm the daughter of the land's best swordmaker.\Dang it, you tell her bro. response:	That you can't be with Okowa.
context: Master? And who's that?\Hey, bro and I are on a really important journey right now.\Once the swords are done, we're leaving.\I'm prepared to go with you.\Are you crazy? It's not some joyride. I'm the only one who can handle it.\Don't worry. I'm the daughter of the land's best swordmaker.\Dang it, you tell her bro.\That you can't be with Okowa. response:	I will be with Okowa.
context: Hey, bro and I are on a really important journey right now.\Once the swords are done, we're leaving.\I'm prepared to go with you.\Are you crazy? It's not some joyride. I'm the only one who can handle it.\Don't worry. I'm the daughter of the land's best swordmaker.\Dang it, you tell her bro.\That you can't be with Okowa.\I will be with Okowa. response:	Mr. Hyaku!
context: Once the swords are done, we're leaving.\I'm prepared to go with you.\Are you crazy? It's not some joyride. I'm the only one who can handle it.\Don't worry. I'm the daughter of the land's best swordmaker.\Dang it, you tell her bro.\That you can't be with Okowa.\I will be with Okowa.\Mr. Hyaku! response:	Hey, you shouldn't joke around like that.
context: I'm prepared to go with you.\Are you crazy? It's not some joyride. I'm the only one who can handle it.\Don't worry. I'm the daughter of the land's best swordmaker.\Dang it, you tell her bro.\That you can't be with Okowa.\I will be with Okowa.\Mr. Hyaku!\Hey, you shouldn't joke around like that. response:	Not joking.
