context: The All Magic Knights Thanksgiving Festa response:	It appeared as though humanity would be destroyed by the demons.
context: of the Wizard King has been passed down through generations.\The Wizard King commands the Magic Knights, and they protect the kingdom together.\The Magic Knights are comprised of nine squads of mages\that specialize in combat, all under the command of the Wizard King.\This band of heroes protects the kingdom with their lives.\To become the Wizard King or a Magic Knight is the aspiration of all in the Clover Kingdom.\And now,\a passionate and intense battle between the Magic Knights Captains is about to begin! response:	Huh?! What is this?!
context: The Wizard King commands the Magic Knights, and they protect the kingdom together.\The Magic Knights are comprised of nine squads of mages\that specialize in combat, all under the command of the Wizard King.\This band of heroes protects the kingdom with their lives.\To become the Wizard King or a Magic Knight is the aspiration of all in the Clover Kingdom.\And now,\a passionate and intense battle between the Magic Knights Captains is about to begin!\Huh?! What is this?! response:	What's about to begin?!
context: The Magic Knights are comprised of nine squads of mages\that specialize in combat, all under the command of the Wizard King.\This band of heroes protects the kingdom with their lives.\To become the Wizard King or a Magic Knight is the aspiration of all in the Clover Kingdom.\And now,\a passionate and intense battle between the Magic Knights Captains is about to begin!\Huh?! What is this?!\What's about to begin?! response:	You're making me wear this ridiculous hat? You can't be serious.
context: that specialize in combat, all under the command of the Wizard King.\This band of heroes protects the kingdom with their lives.\To become the Wizard King or a Magic Knight is the aspiration of all in the Clover Kingdom.\And now,\a passionate and intense battle between the Magic Knights Captains is about to begin!\Huh?! What is this?!\What's about to begin?!\You're making me wear this ridiculous hat? You can't be serious. response:	The quiz competition starring Black Clover's Magic Knights Squad Captains
context: This band of heroes protects the kingdom with their lives.\To become the Wizard King or a Magic Knight is the aspiration of all in the Clover Kingdom.\And now,\a passionate and intense battle between the Magic Knights Captains is about to begin!\Huh?! What is this?!\What's about to begin?!\You're making me wear this ridiculous hat? You can't be serious.\The quiz competition starring Black Clover's Magic Knights Squad Captains response:	and a couple of special guests is about to begin!
context: To become the Wizard King or a Magic Knight is the aspiration of all in the Clover Kingdom.\And now,\a passionate and intense battle between the Magic Knights Captains is about to begin!\Huh?! What is this?!\What's about to begin?!\You're making me wear this ridiculous hat? You can't be serious.\The quiz competition starring Black Clover's Magic Knights Squad Captains\and a couple of special guests is about to begin! response:	Hosted be me, Finral, the most popular, hottest guy in the Magic Knights, and...
context: And now,\a passionate and intense battle between the Magic Knights Captains is about to begin!\Huh?! What is this?!\What's about to begin?!\You're making me wear this ridiculous hat? You can't be serious.\The quiz competition starring Black Clover's Magic Knights Squad Captains\and a couple of special guests is about to begin!\Hosted be me, Finral, the most popular, hottest guy in the Magic Knights, and... response:	Yay, la la la!
context: a passionate and intense battle between the Magic Knights Captains is about to begin!\Huh?! What is this?!\What's about to begin?!\You're making me wear this ridiculous hat? You can't be serious.\The quiz competition starring Black Clover's Magic Knights Squad Captains\and a couple of special guests is about to begin!\Hosted be me, Finral, the most popular, hottest guy in the Magic Knights, and...\Yay, la la la! response:	My meal-saving prince!
context: Huh?! What is this?!\What's about to begin?!\You're making me wear this ridiculous hat? You can't be serious.\The quiz competition starring Black Clover's Magic Knights Squad Captains\and a couple of special guests is about to begin!\Hosted be me, Finral, the most popular, hottest guy in the Magic Knights, and...\Yay, la la la!\My meal-saving prince! response:	You can do it! Favoritism for the win!
context: What's about to begin?!\You're making me wear this ridiculous hat? You can't be serious.\The quiz competition starring Black Clover's Magic Knights Squad Captains\and a couple of special guests is about to begin!\Hosted be me, Finral, the most popular, hottest guy in the Magic Knights, and...\Yay, la la la!\My meal-saving prince!\You can do it! Favoritism for the win! response:	And now, let's introduce our challengers!
context: You're making me wear this ridiculous hat? You can't be serious.\The quiz competition starring Black Clover's Magic Knights Squad Captains\and a couple of special guests is about to begin!\Hosted be me, Finral, the most popular, hottest guy in the Magic Knights, and...\Yay, la la la!\My meal-saving prince!\You can do it! Favoritism for the win!\And now, let's introduce our challengers! response:	La...
context: The quiz competition starring Black Clover's Magic Knights Squad Captains\and a couple of special guests is about to begin!\Hosted be me, Finral, the most popular, hottest guy in the Magic Knights, and...\Yay, la la la!\My meal-saving prince!\You can do it! Favoritism for the win!\And now, let's introduce our challengers!\La... response:	The Captain of the Silver Eagles, Nozel Silva.
context: and a couple of special guests is about to begin!\Hosted be me, Finral, the most popular, hottest guy in the Magic Knights, and...\Yay, la la la!\My meal-saving prince!\You can do it! Favoritism for the win!\And now, let's introduce our challengers!\La...\The Captain of the Silver Eagles, Nozel Silva. response:	I can't fathom the reason for this quiz tournament,
context: Hosted be me, Finral, the most popular, hottest guy in the Magic Knights, and...\Yay, la la la!\My meal-saving prince!\You can do it! Favoritism for the win!\And now, let's introduce our challengers!\La...\The Captain of the Silver Eagles, Nozel Silva.\I can't fathom the reason for this quiz tournament, response:	but now that I'm involved, I'll just have to win.
context: Yay, la la la!\My meal-saving prince!\You can do it! Favoritism for the win!\And now, let's introduce our challengers!\La...\The Captain of the Silver Eagles, Nozel Silva.\I can't fathom the reason for this quiz tournament,\but now that I'm involved, I'll just have to win. response:	That is my duty as royalty.
context: My meal-saving prince!\You can do it! Favoritism for the win!\And now, let's introduce our challengers!\La...\The Captain of the Silver Eagles, Nozel Silva.\I can't fathom the reason for this quiz tournament,\but now that I'm involved, I'll just have to win.\That is my duty as royalty. response:	The Captain of the Crimson Lion Kings, Fuegoleon Vermillion!
context: You can do it! Favoritism for the win!\And now, let's introduce our challengers!\La...\The Captain of the Silver Eagles, Nozel Silva.\I can't fathom the reason for this quiz tournament,\but now that I'm involved, I'll just have to win.\That is my duty as royalty.\The Captain of the Crimson Lion Kings, Fuegoleon Vermillion! response:	It's been so long since I was allowed to talk!
context: And now, let's introduce our challengers!\La...\The Captain of the Silver Eagles, Nozel Silva.\I can't fathom the reason for this quiz tournament,\but now that I'm involved, I'll just have to win.\That is my duty as royalty.\The Captain of the Crimson Lion Kings, Fuegoleon Vermillion!\It's been so long since I was allowed to talk! response:	All I've been doing lately is sleeping.
context: La...\The Captain of the Silver Eagles, Nozel Silva.\I can't fathom the reason for this quiz tournament,\but now that I'm involved, I'll just have to win.\That is my duty as royalty.\The Captain of the Crimson Lion Kings, Fuegoleon Vermillion!\It's been so long since I was allowed to talk!\All I've been doing lately is sleeping. response:	She sells seashells by the seashore! She sells seashells by the seashore!
context: The Captain of the Silver Eagles, Nozel Silva.\I can't fathom the reason for this quiz tournament,\but now that I'm involved, I'll just have to win.\That is my duty as royalty.\The Captain of the Crimson Lion Kings, Fuegoleon Vermillion!\It's been so long since I was allowed to talk!\All I've been doing lately is sleeping.\She sells seashells by the seashore! She sells seashells by the seashore! response:	Yes! My enunciation is on point. I'm getting fired up!
context: I can't fathom the reason for this quiz tournament,\but now that I'm involved, I'll just have to win.\That is my duty as royalty.\The Captain of the Crimson Lion Kings, Fuegoleon Vermillion!\It's been so long since I was allowed to talk!\All I've been doing lately is sleeping.\She sells seashells by the seashore! She sells seashells by the seashore!\Yes! My enunciation is on point. I'm getting fired up! response:	The Captain of the Green Praying Mantises, Jack the Ripper!
context: but now that I'm involved, I'll just have to win.\That is my duty as royalty.\The Captain of the Crimson Lion Kings, Fuegoleon Vermillion!\It's been so long since I was allowed to talk!\All I've been doing lately is sleeping.\She sells seashells by the seashore! She sells seashells by the seashore!\Yes! My enunciation is on point. I'm getting fired up!\The Captain of the Green Praying Mantises, Jack the Ripper! response:	Keh! Who cares about a stupid quiz tournament?
context: That is my duty as royalty.\The Captain of the Crimson Lion Kings, Fuegoleon Vermillion!\It's been so long since I was allowed to talk!\All I've been doing lately is sleeping.\She sells seashells by the seashore! She sells seashells by the seashore!\Yes! My enunciation is on point. I'm getting fired up!\The Captain of the Green Praying Mantises, Jack the Ripper!\Keh! Who cares about a stupid quiz tournament? response:	I'd rather have a cabbage-chopping contest!
context: The Captain of the Crimson Lion Kings, Fuegoleon Vermillion!\It's been so long since I was allowed to talk!\All I've been doing lately is sleeping.\She sells seashells by the seashore! She sells seashells by the seashore!\Yes! My enunciation is on point. I'm getting fired up!\The Captain of the Green Praying Mantises, Jack the Ripper!\Keh! Who cares about a stupid quiz tournament?\I'd rather have a cabbage-chopping contest! response:	The Captain of the Blue Rose Knights, the enchanting Charlotte Roselei!
context: It's been so long since I was allowed to talk!\All I've been doing lately is sleeping.\She sells seashells by the seashore! She sells seashells by the seashore!\Yes! My enunciation is on point. I'm getting fired up!\The Captain of the Green Praying Mantises, Jack the Ripper!\Keh! Who cares about a stupid quiz tournament?\I'd rather have a cabbage-chopping contest!\The Captain of the Blue Rose Knights, the enchanting Charlotte Roselei! response:	Whether it be in battle or in a quiz tournament, I will not lose to any man!
context: All I've been doing lately is sleeping.\She sells seashells by the seashore! She sells seashells by the seashore!\Yes! My enunciation is on point. I'm getting fired up!\The Captain of the Green Praying Mantises, Jack the Ripper!\Keh! Who cares about a stupid quiz tournament?\I'd rather have a cabbage-chopping contest!\The Captain of the Blue Rose Knights, the enchanting Charlotte Roselei!\Whether it be in battle or in a quiz tournament, I will not lose to any man! response:	Gueldre
context: She sells seashells by the seashore! She sells seashells by the seashore!\Yes! My enunciation is on point. I'm getting fired up!\The Captain of the Green Praying Mantises, Jack the Ripper!\Keh! Who cares about a stupid quiz tournament?\I'd rather have a cabbage-chopping contest!\The Captain of the Blue Rose Knights, the enchanting Charlotte Roselei!\Whether it be in battle or in a quiz tournament, I will not lose to any man!\Gueldre response:	The Captain of the Purple Orcas, Gueldre Poizot, will be sitting out due to reasons.
context: Yes! My enunciation is on point. I'm getting fired up!\The Captain of the Green Praying Mantises, Jack the Ripper!\Keh! Who cares about a stupid quiz tournament?\I'd rather have a cabbage-chopping contest!\The Captain of the Blue Rose Knights, the enchanting Charlotte Roselei!\Whether it be in battle or in a quiz tournament, I will not lose to any man!\Gueldre\The Captain of the Purple Orcas, Gueldre Poizot, will be sitting out due to reasons. response:	Next, we have the Captain of the Coral Peacocks, Dorothy Unsworth!
context: The Captain of the Green Praying Mantises, Jack the Ripper!\Keh! Who cares about a stupid quiz tournament?\I'd rather have a cabbage-chopping contest!\The Captain of the Blue Rose Knights, the enchanting Charlotte Roselei!\Whether it be in battle or in a quiz tournament, I will not lose to any man!\Gueldre\The Captain of the Purple Orcas, Gueldre Poizot, will be sitting out due to reasons.\Next, we have the Captain of the Coral Peacocks, Dorothy Unsworth! response:	The Captain of the Aqua Deer, Rill Boismortier.
context: Keh! Who cares about a stupid quiz tournament?\I'd rather have a cabbage-chopping contest!\The Captain of the Blue Rose Knights, the enchanting Charlotte Roselei!\Whether it be in battle or in a quiz tournament, I will not lose to any man!\Gueldre\The Captain of the Purple Orcas, Gueldre Poizot, will be sitting out due to reasons.\Next, we have the Captain of the Coral Peacocks, Dorothy Unsworth!\The Captain of the Aqua Deer, Rill Boismortier. response:	I'm going to do my best!
context: I'd rather have a cabbage-chopping contest!\The Captain of the Blue Rose Knights, the enchanting Charlotte Roselei!\Whether it be in battle or in a quiz tournament, I will not lose to any man!\Gueldre\The Captain of the Purple Orcas, Gueldre Poizot, will be sitting out due to reasons.\Next, we have the Captain of the Coral Peacocks, Dorothy Unsworth!\The Captain of the Aqua Deer, Rill Boismortier.\I'm going to do my best! response:	I've been getting no screen time at all lately,
context: The Captain of the Blue Rose Knights, the enchanting Charlotte Roselei!\Whether it be in battle or in a quiz tournament, I will not lose to any man!\Gueldre\The Captain of the Purple Orcas, Gueldre Poizot, will be sitting out due to reasons.\Next, we have the Captain of the Coral Peacocks, Dorothy Unsworth!\The Captain of the Aqua Deer, Rill Boismortier.\I'm going to do my best!\I've been getting no screen time at all lately, response:	so I need to make an impression tonight!
context: Whether it be in battle or in a quiz tournament, I will not lose to any man!\Gueldre\The Captain of the Purple Orcas, Gueldre Poizot, will be sitting out due to reasons.\Next, we have the Captain of the Coral Peacocks, Dorothy Unsworth!\The Captain of the Aqua Deer, Rill Boismortier.\I'm going to do my best!\I've been getting no screen time at all lately,\so I need to make an impression tonight! response:	The Captain of the Black Bulls, Yami Sukehiro!
context: Gueldre\The Captain of the Purple Orcas, Gueldre Poizot, will be sitting out due to reasons.\Next, we have the Captain of the Coral Peacocks, Dorothy Unsworth!\The Captain of the Aqua Deer, Rill Boismortier.\I'm going to do my best!\I've been getting no screen time at all lately,\so I need to make an impression tonight!\The Captain of the Black Bulls, Yami Sukehiro! response:	Man, what a pain. I need to take a dump.
context: The Captain of the Purple Orcas, Gueldre Poizot, will be sitting out due to reasons.\Next, we have the Captain of the Coral Peacocks, Dorothy Unsworth!\The Captain of the Aqua Deer, Rill Boismortier.\I'm going to do my best!\I've been getting no screen time at all lately,\so I need to make an impression tonight!\The Captain of the Black Bulls, Yami Sukehiro!\Man, what a pain. I need to take a dump. response:	And now for our special guests, the most promising newbie Magic Knights...
context: Next, we have the Captain of the Coral Peacocks, Dorothy Unsworth!\The Captain of the Aqua Deer, Rill Boismortier.\I'm going to do my best!\I've been getting no screen time at all lately,\so I need to make an impression tonight!\The Captain of the Black Bulls, Yami Sukehiro!\Man, what a pain. I need to take a dump.\And now for our special guests, the most promising newbie Magic Knights... response:	Yuno from the Golden Dawn and Asta from the Black Bulls!
context: The Captain of the Aqua Deer, Rill Boismortier.\I'm going to do my best!\I've been getting no screen time at all lately,\so I need to make an impression tonight!\The Captain of the Black Bulls, Yami Sukehiro!\Man, what a pain. I need to take a dump.\And now for our special guests, the most promising newbie Magic Knights...\Yuno from the Golden Dawn and Asta from the Black Bulls! response:	Hmph.
context: I'm going to do my best!\I've been getting no screen time at all lately,\so I need to make an impression tonight!\The Captain of the Black Bulls, Yami Sukehiro!\Man, what a pain. I need to take a dump.\And now for our special guests, the most promising newbie Magic Knights...\Yuno from the Golden Dawn and Asta from the Black Bulls!\Hmph. response:	I'm gonna do my best!
context: I've been getting no screen time at all lately,\so I need to make an impression tonight!\The Captain of the Black Bulls, Yami Sukehiro!\Man, what a pain. I need to take a dump.\And now for our special guests, the most promising newbie Magic Knights...\Yuno from the Golden Dawn and Asta from the Black Bulls!\Hmph.\I'm gonna do my best! response:	Our judge will be the Captain of the Golden Dawn, William Vangeance!
context: so I need to make an impression tonight!\The Captain of the Black Bulls, Yami Sukehiro!\Man, what a pain. I need to take a dump.\And now for our special guests, the most promising newbie Magic Knights...\Yuno from the Golden Dawn and Asta from the Black Bulls!\Hmph.\I'm gonna do my best!\Our judge will be the Captain of the Golden Dawn, William Vangeance! response:	I look forward to a magnificent battle.
context: The Captain of the Black Bulls, Yami Sukehiro!\Man, what a pain. I need to take a dump.\And now for our special guests, the most promising newbie Magic Knights...\Yuno from the Golden Dawn and Asta from the Black Bulls!\Hmph.\I'm gonna do my best!\Our judge will be the Captain of the Golden Dawn, William Vangeance!\I look forward to a magnificent battle. response:	I have a special prize prepared for the victor.
context: Man, what a pain. I need to take a dump.\And now for our special guests, the most promising newbie Magic Knights...\Yuno from the Golden Dawn and Asta from the Black Bulls!\Hmph.\I'm gonna do my best!\Our judge will be the Captain of the Golden Dawn, William Vangeance!\I look forward to a magnificent battle.\I have a special prize prepared for the victor. response:	A special prize?!
context: And now for our special guests, the most promising newbie Magic Knights...\Yuno from the Golden Dawn and Asta from the Black Bulls!\Hmph.\I'm gonna do my best!\Our judge will be the Captain of the Golden Dawn, William Vangeance!\I look forward to a magnificent battle.\I have a special prize prepared for the victor.\A special prize?! response:	Yes. It's the most magnificent thing in existence.
context: Yuno from the Golden Dawn and Asta from the Black Bulls!\Hmph.\I'm gonna do my best!\Our judge will be the Captain of the Golden Dawn, William Vangeance!\I look forward to a magnificent battle.\I have a special prize prepared for the victor.\A special prize?!\Yes. It's the most magnificent thing in existence. response:	I'm sure everyone will be envious of whoever receives it.
context: Hmph.\I'm gonna do my best!\Our judge will be the Captain of the Golden Dawn, William Vangeance!\I look forward to a magnificent battle.\I have a special prize prepared for the victor.\A special prize?!\Yes. It's the most magnificent thing in existence.\I'm sure everyone will be envious of whoever receives it. response:	A special prize, huh?
context: I'm gonna do my best!\Our judge will be the Captain of the Golden Dawn, William Vangeance!\I look forward to a magnificent battle.\I have a special prize prepared for the victor.\A special prize?!\Yes. It's the most magnificent thing in existence.\I'm sure everyone will be envious of whoever receives it.\A special prize, huh? response:	Okay! I'm gonna win, get the special prize,
context: Our judge will be the Captain of the Golden Dawn, William Vangeance!\I look forward to a magnificent battle.\I have a special prize prepared for the victor.\A special prize?!\Yes. It's the most magnificent thing in existence.\I'm sure everyone will be envious of whoever receives it.\A special prize, huh?\Okay! I'm gonna win, get the special prize, response:	and send it to everyone back at Hage Village!
context: I look forward to a magnificent battle.\I have a special prize prepared for the victor.\A special prize?!\Yes. It's the most magnificent thing in existence.\I'm sure everyone will be envious of whoever receives it.\A special prize, huh?\Okay! I'm gonna win, get the special prize,\and send it to everyone back at Hage Village! response:	Right, Yuno? They'll all be super happy, won't they?
context: I have a special prize prepared for the victor.\A special prize?!\Yes. It's the most magnificent thing in existence.\I'm sure everyone will be envious of whoever receives it.\A special prize, huh?\Okay! I'm gonna win, get the special prize,\and send it to everyone back at Hage Village!\Right, Yuno? They'll all be super happy, won't they? response:	I won't let that happen!
context: A special prize?!\Yes. It's the most magnificent thing in existence.\I'm sure everyone will be envious of whoever receives it.\A special prize, huh?\Okay! I'm gonna win, get the special prize,\and send it to everyone back at Hage Village!\Right, Yuno? They'll all be super happy, won't they?\I won't let that happen! response:	I'm the one who'll be thanked by everyone back at the village!
context: Yes. It's the most magnificent thing in existence.\I'm sure everyone will be envious of whoever receives it.\A special prize, huh?\Okay! I'm gonna win, get the special prize,\and send it to everyone back at Hage Village!\Right, Yuno? They'll all be super happy, won't they?\I won't let that happen!\I'm the one who'll be thanked by everyone back at the village! response:	I won't lose to you, Asta!
context: I'm sure everyone will be envious of whoever receives it.\A special prize, huh?\Okay! I'm gonna win, get the special prize,\and send it to everyone back at Hage Village!\Right, Yuno? They'll all be super happy, won't they?\I won't let that happen!\I'm the one who'll be thanked by everyone back at the village!\I won't lose to you, Asta! response:	O-Okay, then...
context: A special prize, huh?\Okay! I'm gonna win, get the special prize,\and send it to everyone back at Hage Village!\Right, Yuno? They'll all be super happy, won't they?\I won't let that happen!\I'm the one who'll be thanked by everyone back at the village!\I won't lose to you, Asta!\O-Okay, then... response:	Huh? What is this?
context: Okay! I'm gonna win, get the special prize,\and send it to everyone back at Hage Village!\Right, Yuno? They'll all be super happy, won't they?\I won't let that happen!\I'm the one who'll be thanked by everyone back at the village!\I won't lose to you, Asta!\O-Okay, then...\Huh? What is this? response:	Why's he being so competitive?
context: and send it to everyone back at Hage Village!\Right, Yuno? They'll all be super happy, won't they?\I won't let that happen!\I'm the one who'll be thanked by everyone back at the village!\I won't lose to you, Asta!\O-Okay, then...\Huh? What is this?\Why's he being so competitive? response:	I have no idea what's going on!
context: Right, Yuno? They'll all be super happy, won't they?\I won't let that happen!\I'm the one who'll be thanked by everyone back at the village!\I won't lose to you, Asta!\O-Okay, then...\Huh? What is this?\Why's he being so competitive?\I have no idea what's going on! response:	Now, let's get right to the first question!
context: I won't let that happen!\I'm the one who'll be thanked by everyone back at the village!\I won't lose to you, Asta!\O-Okay, then...\Huh? What is this?\Why's he being so competitive?\I have no idea what's going on!\Now, let's get right to the first question! response:	First, please take a look at this.
context: I'm the one who'll be thanked by everyone back at the village!\I won't lose to you, Asta!\O-Okay, then...\Huh? What is this?\Why's he being so competitive?\I have no idea what's going on!\Now, let's get right to the first question!\First, please take a look at this. response:	Question 1
context: I won't lose to you, Asta!\O-Okay, then...\Huh? What is this?\Why's he being so competitive?\I have no idea what's going on!\Now, let's get right to the first question!\First, please take a look at this.\Question 1 response:	Let's see who can become the Wizard King!
context: O-Okay, then...\Huh? What is this?\Why's he being so competitive?\I have no idea what's going on!\Now, let's get right to the first question!\First, please take a look at this.\Question 1\Let's see who can become the Wizard King! response:	That was one of the key moments in Black Clover.
context: Huh? What is this?\Why's he being so competitive?\I have no idea what's going on!\Now, let's get right to the first question!\First, please take a look at this.\Question 1\Let's see who can become the Wizard King!\That was one of the key moments in Black Clover. response:	Now, please redub their lines with something super hilarious to go with the scene.
context: Why's he being so competitive?\I have no idea what's going on!\Now, let's get right to the first question!\First, please take a look at this.\Question 1\Let's see who can become the Wizard King!\That was one of the key moments in Black Clover.\Now, please redub their lines with something super hilarious to go with the scene. response:	This scene involves Yuno and Asta, so they'll be sitting this one out.
context: I have no idea what's going on!\Now, let's get right to the first question!\First, please take a look at this.\Question 1\Let's see who can become the Wizard King!\That was one of the key moments in Black Clover.\Now, please redub their lines with something super hilarious to go with the scene.\This scene involves Yuno and Asta, so they'll be sitting this one out. response:	Hold it!
context: Now, let's get right to the first question!\First, please take a look at this.\Question 1\Let's see who can become the Wizard King!\That was one of the key moments in Black Clover.\Now, please redub their lines with something super hilarious to go with the scene.\This scene involves Yuno and Asta, so they'll be sitting this one out.\Hold it! response:	Is something wrong, Captain Fuegoleon?
context: First, please take a look at this.\Question 1\Let's see who can become the Wizard King!\That was one of the key moments in Black Clover.\Now, please redub their lines with something super hilarious to go with the scene.\This scene involves Yuno and Asta, so they'll be sitting this one out.\Hold it!\Is something wrong, Captain Fuegoleon? response:	You call this a quiz?! It's just a comedic performance!
context: Question 1\Let's see who can become the Wizard King!\That was one of the key moments in Black Clover.\Now, please redub their lines with something super hilarious to go with the scene.\This scene involves Yuno and Asta, so they'll be sitting this one out.\Hold it!\Is something wrong, Captain Fuegoleon?\You call this a quiz?! It's just a comedic performance! response:	Let's not worry about the details!
context: Let's see who can become the Wizard King!\That was one of the key moments in Black Clover.\Now, please redub their lines with something super hilarious to go with the scene.\This scene involves Yuno and Asta, so they'll be sitting this one out.\Hold it!\Is something wrong, Captain Fuegoleon?\You call this a quiz?! It's just a comedic performance!\Let's not worry about the details! response:	Anyone who says something funny gets ten points!
context: That was one of the key moments in Black Clover.\Now, please redub their lines with something super hilarious to go with the scene.\This scene involves Yuno and Asta, so they'll be sitting this one out.\Hold it!\Is something wrong, Captain Fuegoleon?\You call this a quiz?! It's just a comedic performance!\Let's not worry about the details!\Anyone who says something funny gets ten points! response:	So it is a comedic performance!
context: Now, please redub their lines with something super hilarious to go with the scene.\This scene involves Yuno and Asta, so they'll be sitting this one out.\Hold it!\Is something wrong, Captain Fuegoleon?\You call this a quiz?! It's just a comedic performance!\Let's not worry about the details!\Anyone who says something funny gets ten points!\So it is a comedic performance! response:	Good grief.
context: This scene involves Yuno and Asta, so they'll be sitting this one out.\Hold it!\Is something wrong, Captain Fuegoleon?\You call this a quiz?! It's just a comedic performance!\Let's not worry about the details!\Anyone who says something funny gets ten points!\So it is a comedic performance!\Good grief. response:	All right, please go ahead, Captain Charlotte!
context: Hold it!\Is something wrong, Captain Fuegoleon?\You call this a quiz?! It's just a comedic performance!\Let's not worry about the details!\Anyone who says something funny gets ten points!\So it is a comedic performance!\Good grief.\All right, please go ahead, Captain Charlotte! response:	M-Me?
context: Is something wrong, Captain Fuegoleon?\You call this a quiz?! It's just a comedic performance!\Let's not worry about the details!\Anyone who says something funny gets ten points!\So it is a comedic performance!\Good grief.\All right, please go ahead, Captain Charlotte!\M-Me? response:	R-Rock, paper, scissors.
context: You call this a quiz?! It's just a comedic performance!\Let's not worry about the details!\Anyone who says something funny gets ten points!\So it is a comedic performance!\Good grief.\All right, please go ahead, Captain Charlotte!\M-Me?\R-Rock, paper, scissors. response:	It's a draw!
context: Let's not worry about the details!\Anyone who says something funny gets ten points!\So it is a comedic performance!\Good grief.\All right, please go ahead, Captain Charlotte!\M-Me?\R-Rock, paper, scissors.\It's a draw! response:	The sloppily-drawn crowd is super hyped over that answer!
context: Anyone who says something funny gets ten points!\So it is a comedic performance!\Good grief.\All right, please go ahead, Captain Charlotte!\M-Me?\R-Rock, paper, scissors.\It's a draw!\The sloppily-drawn crowd is super hyped over that answer! response:	Such a beautiful answer! You get ten points!
context: So it is a comedic performance!\Good grief.\All right, please go ahead, Captain Charlotte!\M-Me?\R-Rock, paper, scissors.\It's a draw!\The sloppily-drawn crowd is super hyped over that answer!\Such a beautiful answer! You get ten points! response:	Next, Captain Fuegoleon!
context: Good grief.\All right, please go ahead, Captain Charlotte!\M-Me?\R-Rock, paper, scissors.\It's a draw!\The sloppily-drawn crowd is super hyped over that answer!\Such a beautiful answer! You get ten points!\Next, Captain Fuegoleon! response:	I cannot lose!
context: All right, please go ahead, Captain Charlotte!\M-Me?\R-Rock, paper, scissors.\It's a draw!\The sloppily-drawn crowd is super hyped over that answer!\Such a beautiful answer! You get ten points!\Next, Captain Fuegoleon!\I cannot lose! response:	We are men.
